Great 	 Hilton away great business hotel , Thanksgiving weekend , perfect hotel location go mutliple play . NYC many time , convenience time fabulous . hotel perfectly locate middle everything well well run , good service . lovely high level room . one small , encounter rude breakfast waiter big hurry get shift 11 , odd exception . 
 Mar 5 2007 	 great location good service . 	 husband stay 4 night week first trip NYC . want central location book use Priceline ( $ 125 / king / night ) . highly recommend biddingfortravel.com priceline advice . airport taxi hotel $ 45 + $ 4.50 toll + tip ( 30 min ride non rush hour traffic ) .The lobby 22nd floor , bellman show way . lobby take 2nd elevator room . never wait minute elevator . staff courteous eager assist way . hotel room 35th floor view Empire State Building . hotel room clean large functional bathroom . Toiletries Crabtree Evelyn . towel good ' ve hotel long time . room flat screen tv , dvd player , cd player , business desk fax printer . find next day run clerk check we , mistake put we new & quot ; high tech & quot ; room . offer move need , insist stay room . concierge also helpful , happy reservation ( choose restaurant ) , make rest trip . location hotel great . close lot Broadway theatre . walk Avenue Q . across street BBKings Blues bar . hear great live blue first night town $ 10 drink minimum . multiple subway line within block , use daily basis . Grand Central Station also walkable distance away , make trip twice . would definitly stay . 
 Mar 4 2007 	 Great Girl 's Weekend 	 stay first weekend February 5 girlfriend . two room adjoin door ( two double one king ) . hotel great , clean , modern , etc . service ( especially concierge ) wonderful . hotel great location restaurant , store , theatre train . would recommend anyone . would definitely stay . 
 Feb 28 2007 	 WOW ! amazing experience ! 	 say enough experience hilton Times Square . first time go New York , hesitant stay , know instantly make well possible choice . hotel locate middle Times Square walk distance pretty much anywhere ! check - in counter warmly greet , ask travel immediately check - in . tell first time could give room view , say would see could say definitely could . give key send room ... wow ! give room 43rd floor , two bedroom suite ! book Priceline pay $ 125 / night end room big apt . back home ! could ever ask . staff say hello everytime walk , hotel overall great felling . dissapointment hotel bar . & quot ; hip & quot ; scene place would brag friend back home . everything else great , Hilton Times Sqaure make first ny trip absolutely great ! 
 Feb 23 2007 	 book please ! 	 folk ... word warning , book one night Hilton Times Square way Houston . book smoking room mistake since smell like ashtray . service restaurant mediocre good . good thing hotel reception , man efficient personnel . well choice Manhattan money spend , Millenium UN Plaza example , say another review . 
 Feb 21 2007 	 enjoyable stay 	 girlfriend spend 3 night , pay $ 279 night . positive : - brilliant location - close Broadway ( see two show ) , right near Port Authority ( useful get Woodbury Commons ) right near number subway station . 's super easy get around here- great soundproofing - despite right heart Times Square , never hear much whisper crowd traffic . probably help room start 23rd floor . peaceful restful stay - generally good service - pay 2 double ask ( upgrade ) king room check - in- incredibly comfortable bed . stay lot 4 5 star hotel travel work , amongst comfortable bed ' ve ever sleep on.- nice touch room - good toiletry , radio alarm clock double speaker mp3 player ( come require cable ) - reasonable gym : weight machine free weight ( although dumbbell go 30 lbs ) negative : - main negative maid service - girlfriend ask extra tea milk never come . ask 3 separate occasion finally get right . she also ask extra face towel twice never came.- also , bit eager - put disturb sign call we phone ask we aware disturb sign ! course - 's .. asleep time , would annoy . all , would recommend great place stay - particularly exceptional location . P.S . like brand shop , go Port Authority bus station right next Hilton , pay $ 38 make hour trek Woodbury Common . good outlet shopping ' ve ever , brand include Gucci , Chanel , Prada , Versace , Zegna , Ferragamo , Tumi & amp ; Samsonite mention . also , like pizza , love pizza Famous Famiglia 's right around corner - eat every day . 
 Feb 18 2007 	 perfect short break 	 return 4 night getaway Hilton Time Square . location fantastic - enter building taxis 41st st . realise exit go lead straight heart Time Square bright light ! plenty fast food establishment close ( well other ! ! ! ) reccommend Dave Buster 's ( door hotel ) light bite frozen cocktail bar area . also problem find good restaurant area , reception staff hotel welcome helpful . bring wrong plug adaptor one send room within 5 min follow phone call check arrive . request Time Square view however none available turn good thing beautiful view Empire State building instead - much tranquil . fact find hard believe busy street look 40th floor hear thing . room extremely spacious , clean comfortable . nothing flash use base find perfect . bathroom small adequate power shower excellent . bed comfortable find temperature room good ( consider freeze temp outside ) . eat hotel use bar find barman serve we rude - however problem drink far cheap elsewhere well atmosphere service . find good location walk main attraction city close subway use get town ( fact proud working use ! ) look clean , spcious , friendly base great location place ! 
 Feb 16 2007 	 Excellent Hotel ! 	 take daughter New York 18th birthday . choose hotel primarily location say fantastic . from moment check ( 3 hour early ) meet friendly staff could do enough we . the hotel immaculate . bag take room 23rd floor . request - 2 double bed . room adequate size , spotless . bathroom small size nothing worry we gal . go New York sit hotel bedroom ! ! great view room overlook 42nd St. eat Hotel , look nice always busy . breakfast Applebees ( next door ) . disagree comment make food . lovely breakfast 3 day row , serve friendly staff . say , good different viewpoint . when New York FREEZING COLD ! ! -9 first day ! ! kid , never feel cold like . end buy ridiculous hat street vendor ! ! would recommend bus tour Downtown Loop . good value take sight . on first day visit Ground Zero . find humble sad . also worth visit St. Pauls church across road . turn sort museum telling story part 9/11 . move . a wee tip , want go Staue liberty- go early book . overall brilliant time would hesitation recomende hotel all . you leave bag check free charge great make last day . I say everyone meet ncie helpful real pleasure . wait go back ! ! 
 Feb 13 2007 	 sell choice Times Square area 	 first stay Hilton property locate 42nd Street . location good like close proximity 2 large movie theater 42nd . block New Amsterdam across street 2 theater . south end theater district , several block walk theater . room nice sized , fact , seem good bit waste space near window . important consider big negative hotel tiny bathroom . could take another 5 foot bedroom add bath . , hardly turn around bathroom , bathroom door awkwardly place open shy edge commode back tub / shower . small bathroom , would probably return hotel . only breakfast Restaurant . order menu find bacon near raw . another day eat buffet bacon . $ 20 + breakfast however order ( menu buffet ) , impressed . try Applebees breakfast right next door , though cheap , food truly terrible . the main negative room noisy plumbing sound . whenever anyone adjoining room ( next , ) would flush commode use shower , evident us room . even wake one night loud . with negative mention , would rule completely future trip . price reasonable $ 300 per night . room large bed comfortable . design quite nice . PRO'S- large room- decent location- nice design- fair pricecon's- tiny bathrooms- busy 42nd street entrance- noisy plumbing- 2 elevator trip room street 
 Feb 11 2007 	 absolutely satisfied 	 wife stay Times Square Hilton 5 night 1st Feb. word ! New York cold week ! ( 11 degree F ; -10 C Noon . ) hotel excellent arrival departure . can not well location . 's 42nd Street , 100 yard Times Square . walk least 5 theatre 2 cinema cross one street ! view bedroom corridor window breathtaking . we greet kerb doorman make sure not handle luggage room . check swift , simple friendly . request requirement fully comply ( non - smoking , 2 double bed . ) lift fast . Reception Hotel Lobby 21 floor street level reach second . bank 5 lift ( 6 really , one action . ) whisk we onwards room floor 27 . minor grumble air - con unit blast bitter cold air corridor lift bedroom , room climate control keep temperature want - quite warm time give outside temperature , cooler have thaw turn thermostat . room plenty big enough two double bed , average sized desk two chair , armchair footstool , tv / minibar / safe unit drawer unit . wardrobe ample five day requirement contain hairdryer , iron & amp ; iron board two fluffy towelling robe ( slipper ! ) linnen change daily : towel , bath mat bed . room clean freshly decorate bed linnen always fresh clean . bed comfortable pillow right degree softness . coffee machine bathroom always well stock produce excellent coffee , decaf , tea herbal tea . word housekeeping secure extra supply need . problem deal urgently - dead lightbulb quickly replace ; mess room safe combination response get sort virtually instant . staff encounter , maid , receptionist , doorman , bell boy , restuarant bar staff , concierge , always friendly helpful . impossible walk lobby without respond several friendly greeting . Dinner Restaurant ( actually lobby low floor hotel , still 21 floor 42nd Street ) first class Prix Fixe menu good value give dollar / sterling exchange rate visit . drink bar perhaps cheap , 4 * * * * hotel heart Times Square , Manhatten ! check painless check . queue free convenient luggage storage late afternoon departure airport . our stay not cost great deal would 2 * * 3 * * * establishment enquire , relieve have opt Hilton . first visit New York ( first visit U.S.A. actually ) excellent accomodation go long way towards thorough enjoyment holiday . 's first trip , Empire State Building ( not fool think top rock adequate alternative . ) go 9:00 not queue . get 7 day Metro card use bus subway , $ 24 's incredible value hop bus one stop inclined ... try helicopter trip - take $ 62 Lady Liberty tour seem get upgrade £ 112 & quot ; New York , New York & quot ; great ! Macy 's bloomingdale must look round Tiffany 's . Horse Carriage ride Central Park also must , regulate fare will not rip - 's $ 40 carriage , charge person . Ground Zero course , much building site history moment . on balance - Hilton Times Square absolutely satisfy every requirement New York break . 
 Feb 1 2007 	 great hote ! ! 	 go NYC weekend celebrate daughter 's birthday moment check , hotel fabulous . staff friendly , helpful , attentive professional . location perfect easy get anywhere . wonderful turn service evening . would stay ! ! 
 Jan 31 2007 	 good value New York 	 stay 6 night 9th January . have wait till 4 pm room ( official check time 3 pm ) offer complimentary drink pot tea would nice offer . room big NY standard good view NY ' ve 6 stay city . central attraction staff helpful efficient . very surprised nobody mention Westway diner 9th Avenue 41st 42nd street great place breakfast - or matter meal - they be open 24/7 . 
 Jan 30 2007 	 Excellent stay 	 stay Hilton Times Square boyfriend first trip New York . love . location hotel perfect bed comfortable either we ever sleep . noise inside room perfect busy day sightseeing shopping ! find staff hotel helpful polite , particularly concierge arrange bus transport Woodbury Common ( must hardcore shopper ! ) .It shame not get time fit everything want 4 night stay .... shame , mean will book go back ! , will definately Hilton Times Square . 
 Jan 24 2007 	 Fabulous Location 	 Hilton times square great location , be locate right next next New Amersterdam Theater . location work wonderful able walk 5th avenue , central park many touristy destination . staff helpful , give we exact train need take get Yankee 's game . hotel bar charming , bit pricey something would picture NYC . room spacious NY standard room clean . would definately stay ! 
 Jan 23 2007 	 Great Location Midtown 	 hotel know average facility accomodation great location Midtown . room , restaurant , bar ok . wall paper thin business center like closet . positive side , room large recently refurbish location perfect . price , 's good option . 
 Jan 22 2007 	 Nice stay Hilton Times Square 	 husband stay Hilton Times Square win bid Priceline $ 112 . super happy find stay Hilton low price . tip : check betterbidde website priceline bidding strategy . arrive 8:00 room ready , understandable . hung lobby warm desk person wave we come . room ready get room 8:30 . think really nice acknowledge wait give we room early . room big clean . bed super comfy - comparable Westin heavenly bed . bathroom good size lot towel nice amenity . also think strange coffee maker bathroom . desk ? room low floor - 24th , happy view . street noise , hear housekeeping hallway time could hear toilet next room flush time . negative experience bellhop . ask store two small bag act like ask cut limb . keep say not go around later stand hand . tip since worried would sabotage stuff not . would stay , like Westin Times Square well . feel trendy , yet elegant , staff always super . 
 Jan 22 2007 	 Hilton Times Square : good place stay ! 	 stay Hilton Times Square pre - christmas rush . get real bargain price booking directly via website September . stay 13th 17th December ( 4 night ) 2 bed deluxe room 1,279.32 usd . amazingly low take exchange rate Sterling account . the room spacious ( much big NYC hotel ' stay ) spotlessly clean . spectacular view Empire State Building . hotel quite festive large Christmas tree lobby Menorah , since Hanukah stay . the hotel good possible location want heart action . noise problem inside . ' eat hotel . many food outlet nearby , include Applebee ' , locate ground floor hotel , good breakfast , burger , milkshake etc . BB King Blues club locate across street good place see live band . subway station end block , make easy get Fifth Avenue Bloomingdale ' via Grand Central Station . Macy ' short walk town . staff member friendly extremely helpful . ask information ship something back Ireland arrange everything , include packaging , without service charge . also make use safety deposit box reception . prove useful ' want leave laptop room safe . come time check ask check hour late . agree charge . close time decide would like stay another hour say would problem would small charge $ 25 . finally check ' charge . also free nightly turn - down service chocolate leave pillow . this fourth trip New York good hotel experience yet . ( particular hotel ! ) definitely consider stay . 
 Jan 21 2007 	 Location 	 stay recently like size room . area swarm people , middle . look leisurely area stay . 's much area would take eternity explain . 
 Jan 8 2007 	 Good Location 	 stay Hilton Times Square last April mum young sister , book direct Hilton website however long flight UK arrive Hilton tell room available 2 double bed book , would stay king bed room extra roll away bed ! I m exactly sure happen , receptionist say something people occupy room night decide check stay bit long ? ? bit mess ! anyway make knock $ 50per night bill give we free breakfast every morning ( spend 5 day ) ! messy check - in everything else hotel fine , room huge - bed big bed I ve even see - comfiest ! ! hotel actually times square literally stone throw away , do not room face time square view be not much - hey do not go new york sit look window ok ! , service excellent , room lovely location great , concern hassle room book - visit new york think would splash bit go Hilton Millenium - look fab ! ! 
 Jan 6 2007 	 Excellent Stay Hilton Times Square 	 recently stay Hilton Times Square 2 night right Xmas . book room early Sept Hilton Honors Member dept . request room w/2 bed travel w / our teenage daughter . call check numerous time confirm double room . day leave tell we room w / just King bed would try provide cot . call upper management move suite top floor . suite lovely w / beautiful view city . king bed room w/ large bathroom sit / living room w/ pull coach small bathroom . quiet room not know New York City unless look window . breakfast morning buffet could order menu . also dinner firstnight arrive try make show ticket . dinner good - complaint enjoy breakfast well . would highly recommend hotel , especially go see show . Nederlander Theater right outside 41st St. entrance hotel . Times Square area nice area walk around close proximity everything . room keep clean area hotel . would definitely stay visit New York see show . . 
 Jan 6 2007 	 Excellent location excellent service excellent view ! 	 great stay hotel . downstair may look bit small entrance check - in area ( second floor ) open total different atmosphere -- upscale , business - orient restaurant / bar , clean extremely comfortable room ( great pillow comfortable bed ! ) place walk Broadway show also shop . book package 700 dollar 3 night , quite inexpensive ! great thing matter noisy outside , room totally shield outside noise . internet access ( wire work room wireless . ) bathroom amenity complete nice ( Crabtree Evelyn . ) phenomenal place stay pleasure business . highly recommend ! ! 
 Jan 3 2007 	 enjoy Hilton 	 stay Hilton Times Square , Marriott Times Square Crowne Plaze Times Square . ( actually immediatley check Crowne Plaza see grungy room deal rude staff ) Hilton nice enjoy stay . linen nice , shampoo product nice ( Crabtree Evelyn ) , room nice size . hotel quiet peaceful well . however , little suprised hotel note & quot ; Best Luxury Hotel NY . & quot ; nice , nothing top . comparison Marriott - Hilton little away bed / linen not quite nice . view well Marriott well . however , room Hilton slightly large ( although Marriott room nice size ) Hilton significantly cheap . overall , think would recommend Marriott first Hilton close second . 
 Dec 8 2006 	 great location wonderful service ! 	 stay one night follow move previous hotel . great location , stay 30th floor face Empire State great . room lovely comfortable , staff could helpful courteous . especially transport 85 kg luggage ! return New York definitely stay : ) 
 Dec 7 2006 	 Location Location Location 	 stay December 2006 . great location . check - in service fast , friendly efficient . room sound - proof quiet . room okay . nothing special , clean large ( New York City Standards . ) would stay . pay $ 500.00 per night taxis add . worth location alone . nightly turndown service nice . associate bell staff , front desk housekeeping friendly either acknowledge smile pass . guest room wear , scratch wall , carpet wear , artwork wall fade . clean- would still recommend hotel . 
 Nov 26 2006 	 great location great service 	 husband return one - night stay well - locate , comfortable hotel . reserve two connect room , use Hilton HHonors reward . daughter , husband two child connect room . 24th floor , great view 42nd Street Hudson River New Jersey . find bell - hop , front desk , concierge staff efficient helpful . location could not beat . Madame Toussad 's next door , Applebees McDonalds ( good quick breakfast ) . Bryant Park , grandchild ice skate free , two block east , theater many restaurant within walking distance , American Girl Place Rockefeller Center . room modern , roomy spotless , everything one need short stay . parking convenient , though quite expensive , subway station right , hotel quite accessible . family eat Tony 's Dinapoli 43 Street , food abundant good quite affordable large family . quick delicious sandwich , try Cosi restaurant , spread around city . , would give hotel four star . would definitely stay ! 
 Nov 5 2006 	 Perfect first timer ! 	 hotel everything hope would . perfect location sightseeing nearby subway . friendly , efficient check - in check take less 5 minute . room 42nd floor great view Manhattan Hudson . large , spotlessly clean room contemporary decor comfortable king size bed , plush towel robe tea / coffee making facility , albeit bathroom ! hardly hear noise even though face 42nd street ! quite self - sufficient traveller not require hotel service , neither use bar restaurant look ok little staid we . overall would say hotel average , although luxurious grand . fabulous stay would definitely consider hotel return NY . would recommend anyone look great location , large modern room great view high floor . 
 Nov 1 2006 	 impressed HIlton Times Square 	 pay $ 406 / night Deluxe room 35th floor N / W corner view look North towards Midtown . money well spend . staff friendly NY standard , room impeccably clean nicely appoint , view spectacular . even well , window open ( rare NYC ) , snap picture city without obstruct window . hotel Times Square crossroad , actually quite peaceful quiet . be Hilton Honors Silver member check early check late . great hotel ! 
 Oct 28 2006 	 nice beware good rate guarantee 	 stay Hilton Times Square 3 night . 4th trip NY 1st stay Times Square . concern noise level give location , however never problem hotel . room 36th floor excellent view city never even hear drop pin ! room spotless average size New York standard . Turndown service nice touch . bed comfortable . bathroom nicely equip quite cramp , even one person . never eat hotel . breakfast find Applebee 's next door convenient inexpensive . my complaint book room via Hilton website within 24 hour find identical accomodation $ 30 less per night via NYC.com . file claim via Hilton 's good rate guarantee -- big mistake ! ! claim deny , despite screen capture show identical date term . ask claim re - evaluated , staff ( Memphis ) never authority match rate . claim continue escalate manager , never return call , e - mail fax inquiry . however upon check - in , express disattisfaction give copy item previously submit . manager duty apologetic quickly match rate . 
 Oct 25 2006 	 nothing special - great - bad 	 guess bit disapointe really - much want really stylish average place short break . ny see Barbra Striesand ( fab way ) . use review choose Hotel overall rating ( 7th top rank New York - bad ) , pay £ 800 ( £ $ 1400 ) room three night , expect something bit special ( really much money central location - Times Square ) .The check quick , room 29th floor standard type Hilton , whole Hotel need freshen , look bit tired . bed big comfy , room plenty space , great manhattan view nothing stylish design . room service staff efficient good job , although previous review corridor seem perminently litter use old food tray - big deal though . bar lounge really invite , think . nothing bad report . nothing outstanding either , money - wish have try Hotels consider . 
 Oct 25 2006 	 wonderful stay 	 stay Hilton Times Square 4 night October , 2006 . room clean . People wonderful . bed comfortable slept hotel . nightly turn service nice . would definately stay . 
 oct 9 2006 	 Pretty Good Hilton Times Square 	 suppose 5 night arrive day late thank flight cancellation ( thanks United ) . check easily ask high room ( read warning view / noisy exterior air conditioning fan ) . not get particularly high room complaint - noise seem fine . room certainly average compare many early hilton late Hilton style . overlook 42nd street . stay Westin Doubletree Times Square . three think choice would probably come back . Westin seem overpriced compare Doubletree feel slightly ' live ' , although be nice get extra space ( good new Year ) .Only real complaint lobby bar seem particularly poor value poor ambience . hence use . not experience dining experience plethora cafe / deli / restaurant close proximety want revisit ! concierge helpful ( although advice need get Yankee stadium -sadly ) .Location good ' ve ever stay area . would definately come . 
 oct 9 2006 	 overall -- nice experience 	 book Hilton Times Square large part due positive review TA , plus also Hilton Honors member . call hotel directly make reservation request room high floor also book standard room . , deluxe room 20 square foot large cost $ 20 / night extra . arrive hotel , long line check 2 clerk working desk , wait 30 minute . upon check - in , learn upgrade deluxe room request high floor honor . get room 37th floor great view Empire State Building . overall , hotel room nicely decorate blond wood furnishing . positive thing hotel -- every night turn service . bedcover turn maid leave two bottle water two piece chocolate . room keep clean . staff encounter , friendly helpful . week , get complimentary copy & quot ; USA Today & quot ; . closet surprisingly spacious . downside -- -there one small trash room , bathroom . small , mean throw two empty water bottle , little room anything else . trash removal -- sometimes maid bit zealous . one day , leave copy & quot ; USA Today & quot ; desk maid throw . day , maid would not take old newspaper leave next trash -- go figure ! shower pressure not well often case hotel anyway . hotel lobby 21st floor . enter street level either 41st 42nd Street take elevator lobby . lobby , take yet another elevator room . note easy miss entrance 42nd Street due fact street clutter large , bright sign , thus easy bypass entrance . overall , would stay . think positive outweigh negative . 
 Oct 4 2006 	 Great room ok service . 	 stay Hilton Times Square 5 night business event . room average NYC clean . service not great ok . get room 41st floor great recommendation sport bar around corner , quality service go hill . ask concierge help get reservation new restaurant city not aware . Ted 's Montana Grill open week want get buffalo steak . find place call Ted 's Buffalo could get . give url number place call . great location need center everything ! 
 Oct 3 2006 	 Loved Hilton Times Square NYC ! 	 family ( party 4 ) stay hotel Sept 2005 6 night . get good rate $ 249 / night deluxe room high floor . excellent view 42nd Street view Times Square . hotel excellent . notice people complain , understand complaint . room comfortable spacious , bathroom large size , bed comfortable elevator fast . staff member meet friendly . even check we let we go room morning arrive NYC 7 am ( although check time suppose noon ) . return trip Europe , go London Nice pay even hotel . price pay London Nice , hotel average . Hilton Times Square definitely 5 star compare hotel stay Europe exactly price pay . location Hilton Times Square can not beat . walk distance site attraction Times Square . next subway stop be also close city tour bus stop . 's far walk either 5th Ave , Macys , Central Park . even walk UN hotel last year , bad walk be . bunch restaurant , delis , bar area . need eat hotel 's restaurant 24 hour room service , be expensive . delis go 24 hour food inexpensive good . location awesome ! noticed hotel rate go since last year , still get good rate be come back Thanksgiving 2006 whole week , time family member . book 7 month advance get $ 299 / rate Thanksgiving week . look website 's $ 600 / night room . hotel room rate Manhattan skyrocket expect pay stay Manhattan peak time .. one reason , 's lot conversion hotel room condo / loft , less less hotel room available Manhattan . research hotel , even 2 star hotel cost $ 200 / night peak season . plus many people world want go , would mean demand less supply make expensive stay Manhattan . Loved NYC can not wait go back month ! 
 Oct 3 2006 	 Totally tourist trap ! 	 stay Hilton fashion week per room rate $ 500 large average ( NYC standard ) room much else . the staff friendly enough nothing stand exceptional money . location good going show good restaurant area expensive . moreover , Times Square constantly fill tourist Nebraska Iowa think 's Las Vegas style ! stay Soho uptown least see NYC really . 
 Sep 29 2006 	 go Hill 	 stay hotel 4 time past 2 year . hotel prefer spot due location , clean room , friendly staff great breakfast buffet . pass visit , staff professional & quot ; friendly & quot ; level . furniture numerous mar , chip scratch shower bathroom need replace . next morning become ill eat breakfast buffet previously well taste selection . time find another hotel ! 
 Sep 18 2006 	 300 $ accomodation ? ? 	 stay Hilton Times Square Sep 05 1 night . though staff somehow friendly NY standard agree traveller comment . due cruise start NY suitcase carry help . two different bellman dept charge luggage . 1st street level 21st floor,2 nd . reception room mean tip twice one service , yes , bellman division fight regard tipps . unpleasant situation fot guest ! ! room average , bathroom small welcoming equip . bed far soft comfortable . due late arrival leave hotel food drink decide take glass bar . bar / restaurant / reception locate kind station hall without optical accustical dividing . sound level high conversation . price level even high .... decide go room order something eat 24 hr . roomservice . inform roomservice end 10.30 pm due new procedure . well , make hotel worth money , define hotel nightly price ? lack service ? ? ? ? agree definitly avoid hotel future . management divide hotel cost structure cancel service moment profitable expect hospitality place 
 Sep 15 2006 	 Outstanding Location 	 girlfriend stay Hilton Times Square mid - august.vvour room high floor overlook Empire State Building reasonable place . hotel 15 minute walk Grand Central Station 20 - 25 minute walk Central Park . room service pricey cheap restaurant Manhattan . overall enjoy stay would definitely stay . 
 Sep 15 2006 	 worth price beware bogus charge ! ! 	 $ 500 / night expect something well painfully average room uncomfortable bed . yes , location good , many hotel New York Times Square matter . seriously , price could stay Ritz . my husband stay business add $ 50 charge lobby bar never make . take 30 minute agree remove somewhat rude . colleague secure special corporate rate check tell error try make pay another $ 200 even though confirmation rate . , take 30 minute much arguing resolve . be dirty run ? . bad hotel NYC ? long shot , going dig deep pocket , favor stay somewhere worth . 
 Sep 12 2006 	 great location 	 stay bad snow storm hit New York recent history , therefore somewhat limited movement . find hotel great location , facility quite good . room sizeable view excellent . the restaurant quite good staff helpful 
 Sep 6 2006 	 Great Hotel 	 recently stay Hotel niece . trip NY 18th birthday present first visit NYC . stay NY several time usually around Times Square area first stay Hilton . previous review read prove accurate certaily disappointed Hotel . read previous review ask room high possible ensure good view people mention . check allocate room onteh 23rd floor first floor room view building opposite . room lovely disappoint witht view go back reception without hesitation move we 39th floor stunning view Statue Liberty much light . , receptionist , wonderful always say hello we pass reception . location perfect , staff friendly room clean . much well value overall Hotels stay far expensive less room often view . I would hesitation recommend Hotel would certainly stay . 
 Sep 4 2006 	 average 	 family four stay 6 night August . Booked hotel mainly due good review Trip Advisor whole feel disappointed . room fair size New York , although bathroom small size , clean well service housekeeping staff , nothing particular note , average . problem noisy neighbour two night although Hilton recompense we disturb . the lobby / bar / restaurant together think annoying . possible sit relax drink hoard people keep pass way room visit reception . the staff polite helpful though fault location . summary average hotel , great location , definitely cheap side , especially bar restaurant . 
 Aug 30 2006 	 Excellent Round 	 can not say enough good thing hotel . prime location around corner Times Square 42nd St. , let we check hour early , room large spotless great view Manhattan staff polite courteous . there one minor thing look , minor ' m almost embarrassed mention . hotel offer facility play Ipod room get 's really small bedside alarm clock plug ipod barely hear . far ' m concerned , 's complaint ' ve get hotel ' ve do really well ! 
 Aug 15 2006 	 great location ! 	 room clean & amp ; comfortable . even get check early . park lot across street . 's cheap hotel lot . toilet extremely loud flush & amp ; service restaurant theater dessert good , dessert & amp ; martini delicious . can not beat location . 's theater district & amp ; walk distance Javits Center business purpose . walk 9th avenue nice bistros well pricing . lot choose . 
 Aug 13 2006 	 exceed expectation 	 travel NYC daughter 's 16th birthday gift March ' 06 . spend 2 night -- Friday Saturday night . pro : great staff -- feel attend moment arrive departure . Doormen , concierge , hotel check - in , housekeeping , restaurant staff -- everyone great . frankly , really like place . staff hotel 's great asset opinion . send daughter nice birthday gift -- card wonderful fruit platter - for we enjoy upon arrival . location heart 42nd street -- noisy outside one might expect ... inside hotel , be calm , quiet peaceful . easy walk distance family lot theater , shopping , Rockefeller Center , Penn Station , etc . clean room ; comfortable bed ; iron board safe room ; tv work well ; great PAX market across street w/ reasonably price item ( muffin , sandwich , pizza , etc . ) con : room average size ; hotel restaurant pricey not surprised , food good . breakfast dinner 2x . bottom line : 's 3 star hotel EXCELLENT job w/ basic . NYC , spend $ $ $ still get basic cover . yes ! ! stay . 
 Aug 12 2006 	 absolutely fantastic ! 	 first time New York obviously want heart brilliant first impression disappoint ! staff friendly happy assist . room clean , modern , big come booklet New York - especially help first - timer like ! could not ask well view either , 37th floor , overlook like Empire State Building ! connect Applebees good alternative breakfast would like cereal , hotel ideally locate block many Broadway theatre , guide bus tour start , share street many shop , restaurant Madam Tussauds . we would definitely stay hotel 
 Aug 7 2006 	 unbeatable location 	 stay 6 night - wife 2 kid 15 11- HTS late July - stifle outside hotel oasis coolness peace right heart Times Square . room large comfortable ny standard well hubbub noise problem - add benefit great view Empire State BuildingStaff pleasant happy recommend hotel 
 Jul 14 2006 	 great kid ! 	 minute step rain , doorman start we wonderful stay HTS . although 3 hour early , room ready ! two little boy ( 6 & amp ; 10 ) , thankful ! front desk personnel friendly , professional , even take time remember son 's birthday weekend . later , even provide complimentary ice cream party celebrate ! wonderful ! ! Omar take care baggage wiske we right room . pleasure meet ! friendly informative , kid love ! remember son 's name always go way say hi ask day . room large , two queen bed , desk space , chair ottoman , separate , large , bath non - smoking floor . everything look new fresh . non - smoking floor important , although nose like bloodhound , could not smell anything floor . Maid service great , prompt , plenty fresh towel pillow . amenity nice quality promptly replace . view fantastic , hear peep room outside . location fantastic , close NYC tourist venue , sure find bronze statuary throughout hotel . cute ! give try , disappointed ! ! ! definitely back HTS ! ! ! 
 Jul 13 2006 	 stay ! ! ! horrible experience ! ! ! ! 	 hotel run ... bed extremely soft -- hotel make excuse say & quot ; well sir , instal soft bed & quot ; could sleep -- bed soft back . rude front desk staff accomadating -- put board mattress . leave hotel check Westin . never stay Diamond elite member Hilton . 
 Jul 11 2006 	 great hotel hospitable ! 	 great location . great room diamond membership - 42nd floor.room clean . view hudson river chrysler building.front desk hospitable . 
 Jul 10 2006 	 love 	 nice room second top floor . fantastic view , large space , separate livingroom bedroom 1.5 bath . everything new shape . would definitely stay . 
 Jun 26 2006 	 impressed 	 take girlfrind birthday come ireland , price pay hotel bed expect fantasic room . surprised arrive average room . hotel way price would recommend anybody stay . price food absolutely rediculous . 
 Jun 26 2006 	 Location location location .... 	 clean hotel , great bed , location , location , location . stay spouse two boy ( 6 & amp ; 8 ) . New Amsterdam Theater half block , Dave & amp ; buster next door , ESPN Zone one block away , toy ' r Us flagship store two block away . price commensurate location ... little leg can not go far life get miserable . boy make walk Penn Station without problem . find entrance tricky , clock picture Hilton 's website exactly see get . enter ground floor take elevator lobby . professional staff check we . three people behind counter move language flawlessly . Kudos Hilton put right people right place . check , stay check smooth . baggage handler store bag check additional sight seeing . 
 Jun 19 2006 	 great sheet clean safe convenient location 	 hard find front door , later realize hotel sit atop 22 - story building . street - level elevator take lobby . security always ask see room - key getting onto elevator . yes , thing expensive -- weak breakfast $ 36 two , mm $ 3.50 in - room fridge ) , hey 's New York . USA Today provide room M - F.This hotel convenient theatre subway . 's Starbucks right across street . 's great magazine / newspaper store right next door open 3 a.m. Checkout breeze . Doormen helpful hail cab . not ask much conceirge , gladly answer basic question get Ellis Island . despite another comment , stay 25th floor air - conditioning unit not bother we , be Florida use noise . the sheet bed high quality , dreamy . good mattress . 
