3 	 husband stay 3 night . location good . lobby probably 20 sqm . staff polite welcoming . the room : really really small . bathroom : really really small . bed : really really small soft 's 2 prepare cudle night long will sink midle . view . so , try another hotel . amount money shoreham cost will find hotel , also well locate ( well ) bed actually sleep . it take white wall funny lamp modern luxury hotel . would recommend . 
 Mar 29 2006 	 many small problem 	 get back week NYC . unfortunately , Shoreham not & quot ; positive & quot ; review describe . well turn bit saga . arrive spend first night literally roll towards middle queen bed . needless say , not get much sleep . bed way soft actually show quite bit wear . surprised first time ' ve experience NYC . try go least twice year . ' ve stay old Empire , Pierre , Barclay , Drake , name , never problem . next day ask change room tell phone room book good could change flip mattress . well , change mattress , could not detect difference . go directly front desk ask see could do . sudden , 3 room come available ! first 2 room problem -- -- bed slope middle . guess one person would okay 2 . finally , offer handicapped room king bed . Hooray , firm bed not show kind wear . rest room okay . small thing become bothersome especially want think hotel vacation . bathroom door not close properly . sink , faucet toilet loose afraid might come apart careful . Sunday morning , could not get water warm enough shower . bottom sheet 2 day small keep bunch night . knew not go coffee maker room ( fine since hotel room coffee borderline anyway ) instead coffee machine available 1st floor . problem machine break 3 day . ask wake call twice finally give . first day fine . second morning phone ring 45 min . early appoint time . third day , not request wake call , receive call 6:30 ! like location staff friendly young . may problem -- -experience ! well manager oversee hotel , especially detail , Shoreham would definately improve . erin front desk save stay ! thank ! , unless get good rate , $ 160 US less , be recommend . 
 Feb 21 2006 	 Cosy comtemporary retreat 	 stay NYC coldest weekend year . although rear lobby cold ( bathroom ) , thoroughly enjoy stay . room small , clean bright , staff pleasant , location safe ideal theater , shopping , dining . perk include free daily newspaper , internet access , much appreciated cappucino machine lobby . adjoining bar ( sleek contemporary ) offer full view 55th street , great people watch . would return Shoreham . 
 Feb 20 2006 	 Good Value Friendly People 	 great value , find Hotwire $ 149 / n show boutique hotel midtown . location excellent Penninsula Hotel St. Regis across street . walk 5th avenue 1 minute Times Square 15 minute . bed comfortable seem brand new linen would expect five star hotel . place undergo full renovation show , however actual quality work poor would expect within year place begin look shabby . staff friendly ( especially Emily ) free internet access , latte ( american ) champagne nice touch . would recommend place friend . 
 Feb 19 2006 	 like fine 	 hotel priceline $ 110 night . bargain ! location great tourist , right midtown , close park 5th avenue . staff friendly , room fine par Manhattan Mid range hotel . like coffee machine ALOT . shower weak seem hot water sunday . would definately stay able get price . maybe rack rate . 
 Feb 13 2006 	 Trendy Hotel Great Location 	 Shoreham good - look hotel . lobby restaurant / bar area remind small , intimate version Paramount . & quot ; modern / trendy & quot ; feel . room 100 % well Paramount , though . still small , almost point uncomfortably , room well appoint great bed great large bathroom . love design , wish room could bit big , especially around bed desk area . since mostly come New York business , always need desk area one definitely lack . service middle road , par everything else ' ve experience New York hotel . breakfast next morning ok . set restaurant lounge / bar seating make conducive meal . since folk visit New York nothing sleep hotel room ( meaning , not expect hotel resort ) , fine choice . overall fine hotel experience want stay someplace new modern New York good price good location . 
 Feb 9 2006 	 love 	 love Shoreham . great location . staff warm . check get glass champange bottled water . room nice little small . the complaint loud . room doors slam airconditioner loud . 
 Feb 1 2006 	 Mediocre Stay 	 book room hotel around $ 180 / night , give price NYC , would expect . stay mediocre -- nothing horrible definitely nothing great . problem get hot water shower . fridge , cappuccino machine break stay . staff friendly , not ask direction anywhere will give wrong one . unless price fall , not think stay . 
 Jan 25 2006 	 love . 	 book room Priceline get good deal . classify Midtwon West hotel , right border Midtown East , excellent location shop also theatre . they offer upgrade we double room , preferred Q bed , non - smoking floor . bed comfortable , new clean . bathroom big , nice . room small , need . quiet hotel staff helpful . cappucino machine also provide tea hot chocolate addition coffee steam milk , neat little bonus . we would stay . 
 Jan 23 2006 	 pretty ghastly overall 	 arrive hotel check - in time 15:00 neither room ready we . wait 16:30 get room . however , upgrade suite could provide smoking room reserve . fridge , minibar coffee maker room , lot high - tech equipment plasma tv ( cable ) . central location staff friendly incapable operate efficient manner . view outside room parking lot . management must well . not think stay . 
 Jan 18 2006 	 Charming hip hotel 	 every time go ny stay , choose Shoreham every time . constantly recommend hotel family friend , . stay 4 occasion length 2 week . staff knowledgeable , pleasant . not stuffy , tight hotel . 's uniquely charming , modern flare sophistication . 
 Jan 4 2006 	 great hotel ! 	 stay Shoreham New Year 's Eve get great deal Priceline . pay half people pay 1 star Manhattan New Year 's book 2 day stay . service excellent . hotel room clean little small side welcome longggg day Times Square . free cappucino 's lobby plus . : ) great location ! Times Square short walk away well Rockefeller Center . would recommend hotel . 
 Jan 2 2006 	 New Year 's Eve Shoreham 	 stay Shoreham New Year 's Eve . book late use Hotwire get excellent deal . location perfect could walk festivity Times Square watch ball drop ! room elegant bed extremely comfortable . bathroom modern . service excellent . definitely great place stay sure check Cassidy 's irish pub door west 55th street - great food atmosphere ! ! Happy New Year 's ! ! 
 Dec 21 2005 	 Amazing 	 stay six night late October year ( 2005 ) . little wary construction read TripAdvisor , arrive look like would pretty bad -- construction inside outside hotel . talk staff ( quite friendly throughout stay ) , get room , immensely relieved . room refurbish -- brand new , fact . modern modern ( like , say , Alex Royalton , way modern ) ; old - world , definitely , still quite comfortable . room huge , big king - sized bed , comfortable . good part room , course , would plasma T.V . wall front bed ( , nice ! ) , bose sound system , clean , modern shower five shower head . room , must say , good ' ve see city except large suit Hilton ( ' ve see room Hilton NY , Michelango , Intercontinentel , Alex , Royalton , Hudson ( horrible , horrible hotel , way ) , Sheraton Towers ) .Oh , cappucino every morning fantastic ! downside : construction bad -- one point hear noise , lot dirt hallway elevator , scaffold outside entrance ; cappucino - maker stop work last two night stay ; one elevator working time , quite small . on hand , seem like construction end right left , restaurant bar ( refurbish , course ) re - opening . second , since fitness center open yet , gave pass Bally 's block . , finally , location pretty good . 
 Dec 19 2005 	 disappointing 	 quite look forward stay hotel . advertise & quot ; boutique & quot ; & quot ; cool & quot ; .First , area ok , fantastic . 's central convenient , get well location be loke go , people watch etc . be pretty much business district . but be ok , fault . fault not tell 70 % room refurbish actually really small ! stay unrefurbished room 2 night , awful . $ 300 + rip . smelly , old , bad soundproof , small etc . furthermore , request non smoling floor , woman room opposite mine chain smoking time , despite multiple complaint nothing ... threaten hotel report relevant authority investigate issue . move refurbish wing , nice , w view interior courtyard ( awful , least quiet ) .lastly , room service appalling : not able eat chicken , one mouthful taste rotten , brerakfast really bad , although staff nice , either incompetent rude ( ) . read previous review , see come surprise . if want advice , $ 100 , stay W hotel , way way well . case , bad value money , would disrecommend go . 
 Dec 13 2005 	 Met expectation 	 friend return weekend Shoreham . clean , comfortable hotel excellent location . staff friendly helpful reservation , etc . spend $ 400 / night pretty small room , apparently deal b / c book well advance . similar room around $ 6 - 700 / night weekend . seem excessive experienced . bed size simple double , queen , bed rough pillow like cinder block ( get feather pillow request instantly ... ) . small size hotel boutique atmosphere plus . stay Sheraton Hilton previously feel like cattle car ride , whereas stay personal memorable . note roll morning , spartan continental breakfast ( fruit , yogurt , granola ) -- look complimentary -- actually $ 16 / person , bit insulting be pay $ 4 - 700 / night . free access nice espresso machine plus . also , gym opening soon , presumably require & quot ; donation . & quot ; would stay , might tempt try different hotel variety . excellent stay previously Le Parker Meridien price . 
 Nov 28 2005 	 complete nightmare ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 ok , start , read good bad Tripadvisor review decide make booking , review site say make sure ASK ROOM new WING . book twin room room three people online ( three month advance ) specify would like room new wing . arrival , informed could not room new wing not accommodation three people - something find odd considering give room two double bed ( mean single bed room new wing ? ? ? ) .anyway , room not bad , bathroom absolutely horrible . toil block call reception three time fix . know since started even complete renovate old wing thing may better aware bathroom still tiny ( airplane toilet size - , ' m kid ) ! reception area lounge hotel look nice - even well photo ( ! ) quality room match comparison ! anyway , ok stay thing really start go wrong return London check credit card bill find two charge make shoreham credit card statement . correct charge relate stay well incorrect charge equivalent 4 - night stay . not bad enough , ring hotel get bottom tell charge make 7 day prior arrival New York . ' m kid take 4 week get matter resolve . send detailed letter , credit card statement flight coupon prove New York time incorrect charge make , make countless phone call lady call Melissa Bourne . Miss Bourne unhelpful person ever encounter life . every time call , put hold make numerous enquiry . end every phone call promise call back ring ! give work , home mobile number well e - mail address fax number totally incompetent ring back . threaten take legal action say would arrange credit card refund . however , week later , still reimburse . rang Miss Bourne find go another silly excuse . yet phone call finally get confirmation money charge back credit card . the Shoreham may ok hotel - especially new renovation - would never ever recommend hotel anyone . million year ! 
 Nov 6 2005 	 highly recommend 	 Mother , 6 month baby stay Shoreham 4 day long weekend . stay Hotel many time pre-2001 bite anxious whether go downhill interim . happily - thing many instance , well . staff lead new GM Joe Front Desk Manager Aaron warm responsive , technician come fix laptop cheery doorman [ still year ] . decor room still minimalist stylish japanese accented sort way , bathroom clean bright , free coffee machine still nice touch . location still wonderful . beef room not officially available 3 pm , fly 20 hour plus Far East like , bit pain , though credit manage rush cleaning get we little . be look unpretentious stylish place stay Mid - town , Shoreham comes highly recommend . 
 Oct 19 2005 	 good staff ! 	 stay Shoreham recently , time , husband Conference . time like important one feel comfortable staff , well room & amp ; hotel quality . guy terrific ! room excellent - next size Standard . roomy , recently re - decorate & amp ; extremely comfortable . they still undergo largescale renovation , time time one lift floor stop work . amazingly , instead peeve exhausting day walk round city , lovely young Concierge turn delightful adventure . give glass champagne , carry shopping bag 6 flight stair , chat charmingly way up . absolutely priceless - will definitely try stay ny . 
 Oct 11 2005 	 enjoy stay Shoreham 	 Booked Hotel Priceline . Asked receive Non Smoking / two bed room . hotel staff friendly . ask receive renovate , clean quiet room 8th floor . exactly like picture . bed comfortable . coffee machine many coffe tea selection great . lobby little odd wall write guess good way cover renovation go . great location . 
 Aug 23 2005 	 Fabulous Hotel 	 recently stay night newly renovate wing Shoreham could not well . staff tremendously helpful accomodating . room extremely comfortable , especially bed , noisy . lounge , become increasingly popular local hotel guest alike , excellent , staff personable knowledgeable , food drink well - conceive type patron . course , can not beat location value . entire renovation complete , hotel clearly give many other run money . 
 Aug 20 2005 	 terrific stay Shoreham 	 mother , daughter stay shoreham several night . hotel new manager since previously post negative review . Manager Joe Reyes , Aaron , Scott rest staff everything possible make guest feel welcome comfortable . room immaculate bed unbelievably comfortable . wonderful terrace table chair . location great shopping , Central Park theatre . 
 Aug 14 2005 	 like ! 	 husband & amp ; check review book hotel . review extremely helpful . ask room renovate section . pleased room . decoration chic modern . review say room tiny . true , be expect NY city . room clean , bed comfortable . location good . nothing extraordinary bad place . complimetary self serve hot beverage machine difficult figure use , milk would run , line up result would get people fustrate . 
 Aug 5 2005 	 Loved Shoreham 	 take family vacation NYC past 10 year far good hotel experience . return 4 day Shoreham Hotel gem find NYC . staff welcoming take care need . champagne walk door 24 - hour cappuccino machine staff , family heaven . shoreham everything could want especially long day city . ideal location , conveniently locate step away good shopping , show , restaurant even Central Park satisifed ( believe family hard ) . every last detail take care robe , wireless internet room , daily paper deliver every mornre personal favorite luxurious bathroom . overall experience incredible look forward trip back Shoreham Hotel winter . thank . 
 Aug 2 2005 	 great staff wonderful location 	 spend 3 nite hot July find hotel cool several way . problem air conditioning night manager Aaron could not nicer . cappucino machine lobby ( along sparkle water champagne ) . room ny small , huge downstair lobby internet make . course loacation perfect . 
 Jul 21 2005 	 great 	 recommendation well - respect friend live city , book 2 room shoreham week June 13th . travel city many time never bad experience , always first time everything . upon arrival , happen one hot day city ( be Florida ) , 8 we walk low - ceilinge , close - in lobby Shoreham lost tiny halogen bulb burn brightly , make small room even hot . definitely decorate modern , minimalist style , attention comfort minimal , . offer Champagne water desk clerk , nice , big deal make . check , appear lose one reservation , one room available . take luggage narrow corridor elevator could fit 3 people time ( without luggage ) . elevator , , bright , hot halogen bulb , imagine cold winter month probably feel nice cozy , make we sweat even . one room available , small bathroom even NY standard , window AC unit work . point , hotter hotel outside . leave hotel come back hour later learn room still available , first room cool . one member group discover hole next AC unit large enough get arm . tell would send maintenance repair AC unit wait around another 45 minute . time figure obviously & quot ; old & quot ; section hotel read . ask could move new section , could accomodate we . 3rd inquiry check room , well 3 pm check time , decide hotel go suit need . take upon re - locate large , comfortable well hotel locate Times Square . perhaps guarantee room & quot ; new & quot ; section , travel winter , get really low rate , would worth stay hotel , will not take chance Shoreham . 
 Jul 17 2005 	 great location ! good price performance . 	 without doubt , Shoreham 's location simply great . arrive 9 am , way early check - in , unable give early check - in , sell apparently . come back 3 pm , first put quiet room face back building . room pretty nice , extremey small dark . could not tell time day even look window . immediately feel claustrophobic ask room change . move room face 55th St . nice natural light surprisingly , noisy . staff , seem rather unprofessional initially , extremely accomodating request . room get range $ 249 - 289 good stay short stay . room small , bath ( shower stall ) , fridge , minibar ... think well keep , clean ( -looking ) carpet , free internet connection , , LOCATION . get bare minimum essential top location great price . kinda wish least small fridge keep drink , hey ... night , live without . 
 Jul 12 2005 	 Shore Bet 	 Shoreham Hotel Midtown Manhattan shore bet New York City traveler search boutique - style hotel unbeatable location . ultra hip building ( currently expand add approximately 100 room ) small entry chic lobby lucite counter illuminate neon within . upon register , guest offer bubbly water champagne efficient , knowledgeable , friendly staff . room large standard ( manager happen check tell celebrate 20th anniversary upgrade room , send we champagne ) aware , even upgrade room small side . regardless , chic decor continue 's spare without cold . the Shoreham offer computer seat area behind bank elevator , complimentary espresso bar day , bar / restauarant offer good & quot ; small plate & quot ; unique cocktail . seek something modern ideal midtown location , Shoreham Hotel sure please . 
 Jul 11 2005 	 say Cockroaches ! 	 yes , NYC , come . not expect roach room & quot ; boutique & quot ; hotel . complained & quot ; extra guest & quot ; room simply reply & quot ; be NYC . & quot ; aweful ! 
 Jul 9 2005 	 excellent VALUR 	 shoreham small boutique hotel rennovation time visit . sure reserve & quot ; inside room & quot ; new section outside room noisy - street noise . room small extremely comfortable clean . service excellent . give ever increase rate New York City Hotels , Shoreham & quot ; value & quot ; however rate doubt increase new section complete . probably big & quot ; positive & quot ; hotel location half block fifth avenue . yes , would stay ! ! 
 may 25 2005 	 Great Shopping Location block 5th Avenue ! 	 lobby nothing much ... think & quot ; asian minimalism & quot ; . hotel restaurant good expensive . room lovely slightly small . however , clever design element learn really love Shoreham . especially enjoy window seat large walkin shower room . hotel pricey nice choice NYC shopping trip . 
 May 22 2005 	 great little place 	 hotel lovely , staff friendly helpful well place get major attraction . Woud definitely recommend cheap , clean base explore ! would stay . 
 Jan 18 2005 	 Rundown boutique hotel 	 disappointed hotel . look website , really look forward stay long weekend . find rundown room stain carpet , chair sofa ( not even want think stain come ) , wobbly table , chip sink dirty bathroom . employee helpful luggage be help find we good restaurant . admit lobby look nice , bad could not sleep . next time think ' m go stick W one schrager 's hotel . 
 Jan 17 2005 	 beautiful elegance 	 upon enter , greet complimentary champagne offer upgrade penthouse suite ... take blast . the room normal NYC small complete kind hip trendiness . mulitple call room make make sure ok need anything else ... something virtually unheard of.great place , great price book online.enjoy stay 
 Jan 2 2005 	 Great Hotel 	 stay shoreham week Christmas great time . ' ve many New York hotel one probably favorite . stayed & quot ; new & quot ; side hotel room excellent . small , course , extremely clean extremely new . bed one comfortable hotel bed ' ve ever sleep linen , pillow , etc . high quality . not require much staff deliver limited request . highly recommend hotel . 
 Dec 31 2004 	 great hotel great location great price ! 	 return wonderful vacation New York . please Shoreham Hotel . read past review website , know ask room new section , face inside . concern could promise room would new section actually arrive . hotel make note request thankfully able stay section . room quiet , even though 2nd floor . request inside room important ! also , would suggest check hotel price quickbook booking room . price website $ 199 . - real deal good hotel area ! phone hotel quote $ 249 . type room . question price difference , person desk ask website use match low price . our room small , comfortable . everything top quality -the linen , decor , bed , even bath product . staff helpful . complimentary internet room , New York Times , Time Magazine , coffee , tea , hot chocolate add bonus ! even bank machine hotel - convenient . we walk everywhere central location - Times Square , theater disctrict , along Broadway , 5th Avenue , Madison , Central Park . definitely stay . also , breakfast Astro ( small diner near hotel ) nice way start day ! 
 Dec 28 2004 	 Shoreham ... Pretty Cool 	 book hotel first visit NYC satisfied stay . review Trip Advisor seem overall good , go . one suggestion see lot sure reserve room new building . reserve room new building nice , never learn go old building . room big , okay fiance canvass city time . hotel sleep shower ( shower excellent ! ) . room face 55th sixth floor . small room show shoreham website , okay fiance . hotel live modern , stylish , hip , etc ... upon enter lobby hear hip music play sort loud ( problem two 24 year old traveler ) . room surprisingly quiet even though window face street . walk much around city exhausted end day earthquake could wake . problem run arrive 1 pm room ready would 3 pm . check give free glass champagne guest provide free coffee , cappuccino , tea anytime day hotel lobby . location hotel great visit tourist site Times Square , Central Park , Rockefeller Plaza , Trump Tower , endless amount retail store shop . whether stay , strongly suggest visit italian restaurant also 55th St. call Il Corso . reasonably price NY service food top notch . far good meal eat visit . 
 Dec 2 2004 	 nice worth 4 star 	 fiance book night 's stay Nov. 27th , ' 04 Hotwire get room $ 200 . request room rennovate side base review read graciously accomodate ; also get glass champagne check - in . problem Hotwire reservation handle directly Hotwire give we trouble . lobby design hotel clean modern ; likewise room , though fairly unadorned look light cellar . bathroom shower large one aveda product nice . hotel not fairly basic thing , like robe , mini - bar , table chair room , would definitely expect four star hotel . close nice Best Western would expect NY boutique hotel . the room service menu look tasty , well breakfast menu could order deliver night . however , real problem -- go think complimentary continental breakfast next morning dining room bowl cereal coffee get leave present w/ bill $ 34 . turn , breakfast provide hotel , call cheap even Ho Jo offer $ 17 per person coffee cereal absurd . talk manager adjust charge one person still leave feel like somehow not add average experience . would recommend Library Hotel thousand time one 's comprably price nicety one lack . 
 Nov 29 2004 	 hip good location great experience 	 great reprieve night NYC . stay one mid - week night Thanksgiving . staff pleasant , champagne offer reception desk , candle fresh flower reception area . ask room renovate portion , use previous note Tripadvisor . Assistant tell we , yes , non - renovated room large up - to - date . enjoy room -- yes , small ' ve stay NYC room 's bad . extremely clean , minimalist design , Aveda bathroom product , full - length mirror shower .... good . would definitely stay . get good deal priceline ( & lt ; $ 200 ) . 
 Nov 29 2004 	 Thanksgiving Stay place 	 really worry place read many mixed review . get reservation We d night HotWire Thanksgiving Thurs call place Thurs morning make sure rooom & quot ; renovated & quot ; part hotel . arrive place staff amazing - offer we water right away check friendly answer question . place remind type hip - disco club ; lot modern - glass - theme decor . room definitely small - think 's sort New York thing anything else . bed comfortable , though . well linen place ' ve stay ; pillow / comforter . cappaucino machine lobby great - use every morning / afternoon need pick - up . also & quot ; business center & quot ; 2 computer surf net ; even come printer . overall , pleased see - one people really care view , gym / pool , etc , place . want comfortable room sleep / relax full day NYC , . 
 Nov 28 2004 	 small room hip people great value 	 stay one night small comfortable room new tower . walk Champagne , wake New York Times , enjoy free hot drink , find experience great value ( book via Expedia less $ 175 ) . aveda bath product make imperfection room ! wife thoroughly enjoy comfortable bed . anyone think place dump never stay many New York City hotel .... dump ; great mid - town location parking next door subway around corner .... 
 Nov 27 2004 	 Pleasant Surprise 	 Room immaculate . great location . quiet clean hotel . staff warm & amp ; personal . learn name use frequently . would stay , highly recommend . important note ... bathroom private . 
 Nov 23 2004 	 terrible terrible hotel 	 awful , terrible hotel . want hip boutique hotel fun weekend city husband -- get dumpy , run - down place far expensive got . splurge queen suite -- toilet run 24 hour day , bathroom dark nasty ( chip tub , stain toilet , mildew tile ) dread take shower . detail like cedar - line closet would nice board not warp , water - stain , miss place . & quot ; Minimalist & quot ; approach furnishing would okay four piece living room area not wobbly , dirty , banged , generally disgusting . Dank hallway water - damage carpet -- totally unimpressive . I do not understand hotel 's priority term quality . 
 Nov 23 2004 	 Book ! 	 book one night pass NYC .... great location close shop subway lovely Rockerfeller Centre . room huge , want stay . great cocktail bar ... try Cosmolini ! ! 
 Nov 18 2004 	 good deal Town 	 stay Shoreham november 11th till november 15th . compare severall price get perfectly locate shoreham good price . especially consider travel periode location . read reviews tripadvisor must say bit worried . upon arrival pleasantly surprised hotel . friend get room new wing get one old wing . first think room new wing everything look clean room modern decor . realise friens new wing bring something . must say , although hallway new wing light , room old wing comfortable clean . usually stay big hotel like Waldorf say shoreham less comfortable . certainly would go back low rate , 218 $ via hotel website . 
 Oct 27 2004 	 absolutely wonderful experience ! 	 book Priceline ( ~ $ 230 / night include taxis ) Oct.22 - 24 . find Shoreham , check review Tripadvisor get little worried , considerable number negative -- especially one mention Priceline . ( maybe hotel treat Priceline customer differently ? get hotel , fear disspelle . right away start see little touch elegance foretell great experience store we . hotel facade sleek , modern look , colorful light spelling name . meet curb bellhop luggage trolley . glass champagne available behind front desk . lobby fill interesting modern art cool art - deco lighting . staff professional polished whole stay . I ask room & quot ; new building & quot ; ( tripadvisor review ) , request accommodate without question . accidentally go & quot ; old building & quot ; elevator get chance see hallway old building first -- look little ratty . finally make way new building , contrast obvious -- thing look much sharp new . our room ( # 717 ) clean cozy , big comfortable bed luxurious puffy bedding . bathroom small wisely allocate half space nice big shower ( mirror rear wall -- nice touch ) . room service menu extensive innovative ( reasonably price ) , food delicious . example : & quot ; three mini - hamburgers brioche & quot ; ( come french fry mini bottle Heinz ketchup ) . also snazzy - looking bar lobby floor . guest see go seem happy place . the housekeeping staff great job . front desk happy hold baggage we check ( give we ticket stub reclaim ) . needless say , location second - to - none . overall , stay shoreham absolute delight . would recommend anyone . would also encourage people ask room & quot ; new building & quot ; . ( leave face hotel facade -- be access left elevator room number end 10 high . ) two note criticism : ( 1 ) parking garage door hotel sign say & quot ; validate parking Shoreham Hotel . & quot ; find check - out time case & quot ; validate parking & quot ; mean pay $ 45 / night instead $ 50 / night . ( 2 ) even though room attractive cozy , wall bare -- cry framed print . 
 Oct 20 2004 	 well expect 	 stay Shoreham 10/15/04 - 10/17/04 . first trip NYC , bit worried find decent hotel . pleasantly surprise Shoreham ... good : -room renovate side hotel . nicely decorate , up - to - date bathrooms.-location . 5th & amp ; 6th 55th convenient Central Park , 5th Ave , far time square - front desk personel . friendly accomodate . help get family member move another room , help early check - in we , give late check - out . do not give we hard time thing . -free cappucino machine . thought would joke , be go full speed NYC weekend , nice free good - taste caffeine wait lobby.-free internet access lobby . also think would not use , need get online , nice option.-overall ambience . Hotel nicely appoint , silver color good music play elevator . get style . the bad : -The unrenovated room ' bathroom . see one room , scary . definitely ask room renovate side hotel.-Noisy old side hotel . do not think well insulated . problem renovate side.-room tiny . think NY thing . also depend room . square footage take useless hallway , other not . overall , happy get nice , new room reasonable ( NY ) price . definitely would stay Shoreham could lock renovated room reservation time . 
 Oct 1 2004 	 easy please ? 	 's true room small . enough room slide end queen bed small tv clothing drawer /built - in cabinet . also closet tiny . however plus side friendly , helpful staff , cappucino machine lounge lobby work 24/7 complimentary computer / internet ( w/ 2 computer available ) . also maid service prompt efficient room ( fifth floor view onto drab brick wall ) quiet . shower , good sized . ( one shower wall full length mirror -- definite work - out / diet incentive ! ) get decent rate Hotwire . consider almost three star hotel $ 200 , comparative value okay . obtain comparable rate next time ' m New York City , would stay . 
 Sep 28 2004 	 yike room small ? ? ? ? 	 room stay extremely small super teensy weensie bathroom . nearly bonk head sink wipe ass . closet fit wallet pair slipper . oh can not forget darn ironing board fit midget like grandmother ; board rest bed cry loud . thing like boutique Hotel free one - time use citrus - scented lotion blue bottle . 
 Sep 21 2004 	 hotel 	 terrible hotel . air conditioner loud would not cool room . toilet run night . could not sleep staff refuse move we . use Hotwire purchase hotel , never . apparantly set aside uninhabitable room Hotwire customer refuse move guest fix room . also Hotwire refuse even discuss adjustment bill . ( 4 star -- rate ) bed not normal sized queen . paint bathroom peel wall calk aroung tub dry peeling . play hideous nouveau techno fusion music 24 hour day . room get towel & amp ; New York time deliver daily , we -- another Hotwire bonus assume . hotwire fraudulent scam . 
 Sep 9 2004 	 Average Hotel Stay 	 husband stay Shoreham June 23 - 27 . location convenient we . easy walk many place nearby . room clean comfortable . window face street could hear everything go outside . staff big problem . not answer question seem put we ask thing . concierge awful . ask direction subway practically beg piece paper write . overall stay ok , hotel choice NY probably would not stay . rate reasonable $ 160 / night . 
 Aug 29 2004 	 Excellent hotel 	 spend one night Shoreham . staff friendly room clean modern decor . location ideal - easy walking distance Times Square Central Park . would stay . 
 Jul 8 2004 	 would stay 	 recently stay shoreham . get room thru priceline . nice hotel . staff courteous accommodate . nyc , room spacious plently daylight , though view . bed firm , get day refresh . shower pressure excellent . cedar closet fridge nice touch . location perfect 5th 6th ave . easy walk theatre district . two long block popular deli ( ben ash , stage , carnegie ) .short walk rockefeller center . 4 block run central park . would stay . 
 Jul 7 2004 	 small room Drop modesty 	 book two room priceline get response Shoreham $ 122.00 per night . compare price 2 night stay area ( short walk Times Square ) think pretty well rate . problem call shoreham reservation make check whether would queen bed 2 double . tell would call back Monday talk front desk . could not give additional information not really seem want help . call back Monday tell room book queen size bed would need pay additional $ 50.00 per night per room want double bed . $ 122.00 per night become $ 177.00 per night per room . option pay price 3 people room . ( problem priceline giving option advise many people type bed want . ) get Shoreham room & quot ; New & quot ; tower renovate party old tower renovate . got room nice , clean small . would wife , suppose would ok . get third person luggage suddenly cramp . lose modesty , bathroom basically right room separate frosted glass wall lock door . nice look private . second none renovate room actually lot big nicely decortate nice renovated room . however , least bathroom small offer privacy need , lock door . issue important mother - in - law . toilet keep back maintence call every night correct it . bed comfortable clean , pleased . elevator extremley small barely enough room get 3 4 people , claustrophobic , stair may well option . stay ok , good location everything good restaurant close . however , $ 177.00 per night worth . once arrive staff friendly helpful , not offerend free drink upon arrival long trip NY traffic , could use ! website deceive not think getting see , picture & quot ; New & quot ; tower get unless upgrade get penthouse room . small room overprice rate look Shoreham . otherwise homework , could stay much nice hotel area price $ 177.00 per night . 
 Jul 5 2004 	 Loved ! 	 daughter get back 4 night stay Shoreham . get reservation Priceline . originally book Queen bed , non - smoking room . arrive hotel , desk clerk ask want room 2 bed extra charge . happily accept . room nice size , clean comfortable . enjoy stay would definately stay . staff pleasant polite . think bad experience stay . would happy stay Shoreham . 
 Jun 19 2004 	 Wine Cheese 	 choose Shoreham Hotel b / c want stay city birthday two night 6/16 - 6/18 . go site get cheap rate hotel either book rate triple usual amount . finally settle shoreham hotel cheapticket . get deal $ 220.99 / night two night , include tax . book room , nervous read many review trip advisor . think going see roach , excess charge card incidental , work incompetent staff . none occur . tell : get hotel fire alarm ring . since arrive late around 10 pm , room . worried ! ! ask choose hotel ? well , woman work friendly . manger feel bad happen . since birthday , feel bad . send Mansfield Hotel upgrade amazing suite , valet room . arrive Mansfield send free bottle red fruit cheese . go back Shoreham next day check 3 pm , upgrade amazing suite , also red wine chocolate send room . guess one patience want thing run smoothly time , may gamble . however , go flow everything turn fine . amazing two night city . 
 Jun 1 2004 	 Beware - Trouble worth 	 take lot wait major hassle front desk order get room reserve . manager finally get housekeeping ( shortstaffe ) clean room late afternoon , finally settle . everything seem fine point . check , credit card bill charge not authorize . ' m still dispute credit card company . inconvenient hotel ever deal . next time , will go back Crowne Plaza , service always impeccable . 
 May 12 2004 	 Loved ! 	 great hotel . attentive staff ( send extra towel right away , even midnight ) . beverage check - in nice touch . room clean , decor attractive . will definitely stay . tip : try book room directly hotel 's website . $ 10 travel site want upgrade suite . 
 Apr 2 2004 	 nice hotel 	 worry read negative review property pleased stay . first negative : water room cost $ 5.00 bottle , on - site workout facility , long offer free breakfast room small . travel web site say water breakfast free . far room size- room ' ve ny small , Shoreham 's average . plus 2nd floor street noise . location great- nice quiet street close F line . ( 12 block walk Times Square ) would nice close subway line close 5th Ave shopping , central park MOMA St Peter . staff great- helpful , one example call get information UN building , even though concierge close , front desk person look info spot , plus schedule print deliver room . 
