great 	 choose hotel location - near Green Park tube . go back . service mediocre - sometimes good , sometimes standoffish helpful . room really disapointe - corridor small lot step pain . overall well worth avoid unless get great rate not plan spend time room . 
 Sep 16 2006 	 Excellent location 	 Front desk staff slightly friendly . always seem catch bad time , one seem happy job . problem change make date stay big ordeal get fix . the concierge staff great ! always willing help point we right direction . also , unfortunate bomb plot incident happen , happy take we local Mail Boxes , Etc . around corner carry back box ! many people would ! thrill w / the restaurant . much choose dinner menu , English Breakfast bit price . needless say , grab quick bite Starbucks PRET start day . the location excellent ! beautiful stroll Green Park Buckingham Palance . tube station couple block bus right across street . rode tube everywhere . highly recommend get oyster card ! be worth every penny ! room nice . 3 we travel . unfortunately adjoining room , luckily floor least . one double bed , nice sized room ! 2 single bed . litte small , certainly nice place hang hat night . bathroom nice , annoyance light switch outside bathroom . a / c share room , fan help . single room big a / c unit . there construction work go . window replace double pane window , loud early morning . one good thing , not able waste day sleep ! much see ! overall , good experience . would probably stay , mainly location . 
 Sep 13 2006 	 great location AC available King size room 	 bad : need Air Conditioning book King size room get one portable AC unit . 1 ice machine hotel hide 3rd floor . Hallways lot weird short stair go couple step back step later anyone walk problem avoid room gorund floor . take small slow elevator stairwell right scary ( kind outdoor stairwell tin metal sheet lighting ) .Hotel claim non - smoking , sign tell folk refrain smoking . family put neighbor cigarette smoke , call front desk light stoggie ( cigar ) . staff nothing tell room number offender say call left note one answer ( LAME ) . damp towel door , make coffee smell something else open window help we get thru night . if small room smoking bother stay new Hitlon Park Lane block away . good : able cut price booking first night Hiton rest week Expedia ( Expedia say full try book entire week ) . opt non - breakfast booking , end tell breakfast free anyways get ( great breakfast buffet ) .hilton Green Park one London 's desirable neighborhood , May Fair . one block Green Park , one 3 large green space London , pleasant walk Buckingham Palace . underground tube stop 3 block away . Starbucks Mark Spencers grab go food store 1 block away . get coffee cheap internet access close hand . Coin laundromat wash cheap hotel 2 stop away tube ( Pimlico station Victoria line ) . Red & amp ; White Laundries , 6 Lupus Street SW1V 3dy another 64 Lupus Street SW1V 3eq 
 Jul 22 2006 	 ok great 	 pro : quiet neighborhood , great breakfastcon : air conditioning , small roomsHilton Diamond member , family four ( two adult , two kid 5 10 ) stay ( 2 separate room ) July , serious heat wave . swelter , place not air conditioning . snafu checkin misplaced reservervation , correct spot . hotel near subway line , Green Park ( kid run free ) , good full english breakfast . 
 Jul 9 2006 	 Bad hotel - great location 	 Excellent location overprice . could manage small room , tastefully decorate , air conditioning available - hotel provide small fan . one window face onto noisy alley . impossible keep shower flood bathroom towel use mop floor later fold replace rack housekeeping reuse clean . first last visit hotel . 
 Jul 6 2006 	 Four Star 	 HiltonHonor Members stay 6 - 20 - 06 thru 6 - 23 - 06 . staff helpful check go well . upon check - in remodeling work lobby think much . arrive room , face Half Moon Street , french door / window open let air . temperature pleasant 70 degreeduring stay , without window open air . air conditioning hotel . mold around bath tub , corner bathroom . door bathroom spring close prop open get light one light . bed consist mattress wooden board , spring . complain manager say would try fix window , next day . also say would try upgrade mattress , , also tell we air conditioner would try get room . air conditioner . hotel great location vacation stay . 
 Jun 19 2006 	 cramp 	 location would hard justify cost staying . room cramp time remove ironing board , luggage rack , telephone directory scarcely room swing proverbial cat . the wardrobe small bed noise renovation building next door horrendous ( Hilton 's fault admittedlly ) , advise advance . window bathroom crack panel sink hold together series sticky pad , youwould expect 4 star Hilton food good quality well present , difficulty speed service staff recognise way complimentary drink . & quot ; discretionary & quot ; service charge apply even drink bar aware extortionate add on . not hotel would recommend . 
 Jun 18 2006 	 Good Location issue 	 great location however issue . air - con although get portable unit loud big , however hot night take quickly . need good night sleep , provide fan - Hilton price acceptable . room small stuffy well present . room safes room lodge article front desk hassle . gym ( great park run end street ) lastly , iron faulty ask front desk fix , response whatsoever . breakfast buffet excellent staff really good . . actually staff friendly helpful offset issue however business hotel need get sleep make sure look presentable morning , gear london summer . tourist hotel heart London , great location . 
 Jun 7 2006 	 really Lovely Hotel 	 stay hotel May birthday get good deal lastminute ( - ) .The hotel close tube station really handy arrive check quick . reception staff nice ask special occasion , reply birthday . get room find bottle complimentary wine whichc really ncie touch . I find hotel room pleasently decorate actually alot nice public area . we really enjoy stay however might get great reduced rate , full price seem expensive actually get . 
 May 29 2006 	 quaility honor member ! 	 Hilton Honours member 9 year use enjoy stay accros UK Europe . I give stay 18 month ago quaility service start drop . having build thousand point think would night london use point . the Hilton Half Moon Street Mayfair great location close site . check ok room little big double bed ( UK Double ) dirty carpet poorly clean bathroom etc etc . bear mind Hilton Honours reward program regular guest would think would least ensure reward night room resonable size , clean inviting . ( still , complain spend approx £ 5000.00 Hilton group earn enough point free ( ? ) night ) apart location think thing else reccomend hotel . 
 May 28 2006 	 O.K . 4 Star Prices 4 star Quality . 	 spend 6 night Green Park Hilton London . positive note , hotel well position sight London , underground station Green Park couple minute walk hotel . Buckingham Palace half mile straight walk across Green Park , Piccadilly Circus , maybe half hour walk . upon arrival hotel , deluxe room available , give complimentary breakfast excellent , save we £ 20 per person . however , standard room give overlook Half Moon Street , heating hotel overpoweringly high , could alter room , attempt open window . window would stay open , despite several request correct , six day later window prop open glass bathroom . unfortunately , window open , noise Half Moon Street , throughout night often difficult deal . room comfortable , , small , even London . staff polite , often unable help . restaurant staff particularly could often understand request English inadequte . maybe would different impression hotel receive deluxe room . summarise , would say hotel , opinion come 4 star standard previously accustomed , excellently place sight London . however , price restauant bar expensive , even 4 start hotel . probably would use hotel , alternative hotel available nearby . 
 may 24 2006 	 Excellent location 	 travel London 17th March 2 night stay friend book Hilton Green Park . we take underground Heathrow get Green Park hotel literally minute away - although map reading skill leave lot desire point right direction friendly doorman ! ! upon arrival check quick hassle free allocate room . room locate ground floor one wing . room large enough we clean tidy . per previous review minibar good knowledge vend machine late night soft drink - way order room service coke ! ! hotel fabulous location many attraction walk distance . eat Hard Rock Cafe Friday night restaurant Leicester Square Saturday night pleasantly surprised book get table straight away ! negative side - hotel bar extremely pricey however one force drink plenty watering hole nearby ( slightly ) cheap ! redecoration take place hotel duere stay however cause disruption whatsoever . all staff friendly helpful credit hotel . would definately recommend hotel would also choose trip London . 
 Apr 17 2006 	 wonderful staff ! 	 book Hilton King Deluxe two night ask quiet room . room super traffic noise . must achievement consider Hotel situate close Piccadilly ! hotel full not feel particularly busy . problem check . ( couple small point - bulb table lamp bathroom extractor fan working . not detract stay fan annoy anyway . ) staff helpful service restuarant excellent . food good -breakfast dinner . first evening meal include find little odd menu not price , decide try else second night . lovely italian restuarant side street - street - direction away Piccadilly Circus . call Prezzo reasonable price . Green Park Hilton couple hundred yard tube station excellent position visit everything . walk London Eye , Westminster , Buckingham Palace , Trafalgar Sq , Oxford St Covent Garden . many theatre road problem walk back late night . I recommend Hotel not see standard size room can not comment . book room stay . 
 Mar 2 2006 	 Pluses minus 	 Room small decor / carpet touch tired , excellent shower - powerful experience . fantastic London location - beautiful Green Park two minute away , multitude tousist attraction doorstep . comfortable bed . 
 Feb 14 2006 	 great location yet still beat path 	 stay hotel three week early January secure permananet accomodation London . room , even deluxe , small adequate - clean . the positive location breakfast buffet actually may live & quot ; good breakfast London & quot ; claim . traditional US UK favorite . the wait staff restaurant hyper - attentive , clear plate within second . bell staff - much - grant everyone seem check in / check time here . the hotel actually bunch townhome piece together quiet street Mayfair . - depend room - likely hear floorboard squeak people around - that s age structure . 
 Feb 13 2006 	 never ! ! 	 book deluxe room change room three time first night due numerous problem . room small tatty . however staff friendly . 
 Feb 2 2006 	 Great Hotel Perfect Location 	 recently stay Holton Green Park impressed . arrive room , although nice situate next lift certain amount noise could hear . contact reception arrange 3 room we look upgradre we superior suite . new room perfect , large spacious good bedding hotel long time . breakfast excellent , plenty choice tiger brasserie much well expect . stay Hilton 's dinner free first night deal hotel food menu base carvery . say food excellent . location hotel great . use public transport . excellent hotel , would reccommend 
 Jan 16 2006 	 nice comfortable hotel 	 arrive hotel receptionist appear first friendly . however realise staying could helpful . I give double room fifth floor rear hotel . however side street not think room would subject much external noise . location hotel ideal , opposite green park around corner tube station Ritz fancy afternoon tea ! room veery comfortable , yes , american hotel standard room small unless go spend day room will not disappoint size enough room case two people . the negative comment would say room not really bother think room refurbish tea coffee tray move boil kettle socket nowhere near . also bath extremely slippery take shower bath mat put down . breakfast excellent great variety food . thing spoil bit attitude female member waiting staff appear quite unfriendly border rude . staff hotel accommodate friendly bit personal touch . all lovely comfortable convenient hotel . would definately stay ! 
 Dec 31 2005 	 satisfied 	 stay 3 - day break Christmas New Year please . bargain break deal expect might get inferior room , although pretty small , quite adequate well appoint , good bathroom . like decor public area whole place cosy , English feel . buffet breakfast really excellent , dinner restaurant . drink price high expect central London . also , concierge service first rate , really friendly , knowledgeable advice . finally , location ! would definately go back . 
 Dec 23 2005 	 Cosy well - locate town house hotel 	 Hotel enjoy great location close Piccadilly ( west end thereof ) ( little zig - zagging ) not far Bond Regent Streets either . cosy feel staff friendly . breakfast pretty good buffet fare though not Hilton Park Lane standard not optional la carte menu ( room expensive big HPL ) . standard room hotel small side surprised find minibar - tea / coffee make facility . bit pain order diet coke room service ! in - house gym go HPL function small size . front can not say noticed noise . PS folk think merit room high level one pay complain afterwards ( see negative comment back ) ? problem aspect housekeeping service . enjoy stay would recommend . 
 Nov 18 2005 	 glass always half full half empty .... 	 good room back hotel . bar price bar price hotel , accept ... drink somewhere else ! breakfast standard Hilton breakfast good standard . Front house staff polite helpful would expect . would stay good location . ask room back think impact noise level . 
 Nov 16 2005 	 Excellent Experieince 	 read several review leave trip return find number people stay different Hilton Green Park . 8th trip London past ten year always stay different hotel different location . would stay Green Park moment ! location beat offer immediate vicinity , tube stop minute away access multiple line , especially street access Picadilly Street theatre district relatively short walk . the hotel like many other London area , series building link together . find facility , lobby , restaurant , common area clean almost new . I admit used point pay room receive upgrade large room front hotel . say noise street take little getting use , bed comfortable trouble sleep . room nice , overly do bathroom large . find staff extremely friendly , constantly check sure happy . front desk friendly , wait room arrive 9:00am ( know would happen ) one we early afernoon . would hesitate , fact return hotel . 
 Nov 6 2005 	 really dissapointed Second Time around . 	 second time stay hotel second time write review . first review list rave hotel , however 11 month later complain . arrive Australia early morning , however , pay night ensure check 8 am . tell girl reception ( refuse make eye contact ) wonderful stay 11 month ago could possibly room least type . answer ! ! book type room answer . helpful , yet book 7 night . go tiny room find towel , computer connection break fire alarm keep go . unpacked go straight meeting . return ask say computer connection work , could stay room . agree move , size room . repack move . hallway grubby whole place really go down - hill 11 month . recommend hotel many people , . hotel staff interested making stay enjoyable . say , location fantastic . 
 Nov 3 2005 	 Excellent Choice 	 husband stay hotel past 3 year weekend London . would recommend anyone . location perfect . they usually special weekend deal good value . staff polite professional . room , although small ( ish ) , verycomfortable . breakfast ( buffet style ) well ever hotel . one small negative point , excessive bar price , seem way hotel . will definately stay . 
 Aug 29 2005 	 GREAT Location ...... GREAT Hotel 	 stay August bank holiday . fault place anyway whatsoever . room excellent , good size , comfortable bed & amp ; nice size bathroom . dinner absolutely superb breakfast many choice . location brilliant , Piccadilly opposite Green Park nice quiet street . Green Park tube station 3min walk . understand positive review leave . 
 Aug 16 2005 	 Cosy hotel great location ! 	 stay Hilton London Green Park two night August 2005 . book two deluxe room Hilton internet page get great offer ( £ 129.50 per room per night , VAT breakfast buffet include ) . room large nicely decorate ( white bed , light brown carpet chair ) bathroom huge . dinner first night include good , breakfast buffet excellent , plenty choice choose . location great , 50 meter Piccadilly 7 minute Piccadilly Circus , side street little traffic . pleased hotel , good three hotel stay London ( two other Sheraton Park Lane Holiday Inn Mayfair ) . point fact restaurant enough room guest , wait ten minute dinner first night breakfast second morning . 
 Aug 7 2005 	 great . 	 really believe four five star posting . rant must divulge stay use Hilton point ... not cost we anything . reason could think high rating price . this nice hotel forty year ago . essentially four five building stick together form hotel . yes , location good . shabby lobby , dark narrow hall , tiny room , air conditioning , etc . , make location . good italian restaurant around corner ; Pappagallo . expensive , like everything London . grit tooth pay . 
 Mar 14 2005 	 would stay 	 stay one night business favorably impressed . room small twin bed cold ( stay 3/9/05 ) . call front desk ask several blanket , person deliver ask another person room ! bathroom clean look newly renovate . find staff indifferent , good , even check - out ask stay . would stay . 
 Feb 27 2005 	 great location 	 recently stay one night , staff accomodate pleasant . room ground floor face road although secondry glaze noisy expect central london want location ! ! ! ! ! ! ! ! ! room comfortable plenty tea coffee . definatly stay . 
 Dec 1 2004 	 get well . 	 real estate , Location ! location ! location ! walk distance Green Park Tube station . convenient theater , museum , etc . this third visit hotel fourth trip London . urgently need renovation complete minimialist decor . room still size . clean neat ! front desk staff expect believe say room available upgrade . first room , # 505 , top floor , face rear quiet fitting Gosford Park servant twin half bed use double ottoman chair . we able change another standard room , # 114 , , face front , noisy , across elevator , queen size bed one real chair . the bathroom large bright . amenity minimal . the concierge staff wonderful anything earth , except get well room . the bar overwhelm cigar smoke air circulation . bar staff pride motto , & quot ; way get coffee , food snack 11:00 pm , liquor beer . & quot ; ignore , stay hotel send erol fabulous concierge regard . sincerely , Howard Newman 
 Nov 1 2004 	 GREAT value DELUX HOTEL CENTRAL LONDON 	 staid many hotel london , include Hilton's . a minor problem really . book delux room allocate standard due lack availability . standard room small , a / c small bed . air concern , upgrade junior suite ( pay £ 40 extra ) £ 40 well spend . major improvment standard room . wait bout hour house keep clean room . spacious tastefully decorate suite . large lounge sit area huge bathroom . a / c portable unit work full brim water . ask reception come empty , never come . apart minor service issue , pleasant boutique style hotel good location west end . 
 Sep 21 2004 	 nice place 	 stay hotel 9/9 thru 9/14/04 . feel hotel nice place ... let us face , many hotel Europe american standard . know hotel air conditioning ( least room book ) , luckily hot . give room back 2nd floor 2 window . though bit small , happy . hotel gracious enough allow we rest available room first floor face street get , take red eye US . would suggest request room back possible , street loud . staff accomodate , hotel great location , 2 minute walk Green Park station , pick 3 line tube . take Picadilly line directly Heathrow Green Park , take 45 minute rush hour ... ' m sure driving would take long . would definitely stay recommend hotel . 
 Sep 7 2004 	 New zen 	 July 4th July 6th 2004.I give newly refurbish room pure zen style , much beautiful classic english style advise photo gallery site hotel . the conditioning efficient , although provide portable air conditioner place near window . minibar , be matter ? good breakfast , although air condition high . good restaurant good service . non existent concierge . prefer hotel Hilton nearby ( Hilton London Mews ) .Overall , good hotel wonderfully position heart Mayfair , one minute away Piccadilly right front Green Park . unforrtunately , close Wagamama restaurant : mean need walk twenty minute sit dinner ! 
 Aug 17 2004 	 lovely hotel excellent location 	 stay hotel August 2004 would highly recommend . nice small hotel homely feel decorate contempary style throughout . staff great could enough we , even serve we complimentary cocktail bar one evening . Breakfast delicious although wait quite table one morning . room quite small clean modern . issue fact airconditione room ( although fan provide ) , minibar / fridge safe find quite poor 4 star property . location hotel fault . situated quiet side street heart Mayfair walk major West end attraction . not use tube two day stay . also lovely pavement bar restaurant courtyard back hotel . , great stay . 
 Jun 29 2004 	 Spoilt lack air con 	 hotel excellent location well present , impressive welcome foyer . Bedrooms beautifully decorate , contemporary furnishing quality bathroom . staff pleasant anxious please . standard housekeep high . the one big problem lack air conditioning bedroom ( although instal attractive restaurant ) . make difficult sleep summer month . tell reception staff progressively introduce suite deluxe bedroom September 2004 . suggest anyone think stay check beforehand . if lack air conditioning , would award hotel four star . , deserve three . 
 Jun 29 2004 	 good value great location 	 nice stay Hilton Green Park - old hotel give nice contemporary feel . upgrade deluxe room nice - slightly odd layout room , clean fresh feel , big bed good bathroom . the hotel also take note a / c complaint , since mobile a / c unit room , fan . breakfast buffet include rate great , Friday night dinner buffet ( also include ) really worthwhile . the location great - central everything , quiet street little noise . look central , clean hotel good breakfast decent rate could lot bad Green Park . 
 Jun 28 2004 	 little old 	 hotel close central London ( 15 - 20 minute walk Piccadilly ) Green Park Tube Station ( 2 minute ) . nothing special report . room small clean , bathroom look dirty , old . 100 % british style . it worth money pay . 
 Jun 3 2004 	 great experience .... 	 love stay . minor irritant , hotel handle well . arrive last Saturday , not upgrade we , request upgrade , oblige nice room , overlook back alley noise . ask move possible second night indeed move we . fine suite , room 529 , still overlook back alley . 5 level ground , noise . room stylish , clean , spare design . comfortable king - size bed , great bathroom , great water pressure . breakfast good . breakfast nice bar probably comfortable place find entire UK trip sit drink . spacious comfortable easy chair couch . sit window open fresh air feel wonderful rest weary bone smoke comfortable chair . price drink bit ridiculous . 8 pound glass white house wine , translate almost $ 15 glass house wine ! inclined put fuss bill , follow day nice gesture . due high wine price bar , have buy nice inexpensive bottle small shop , drunk half bottle leave day . upon return , bottle go . call ask bottle wine disappear deliver full bottle much high price wine room within minute . terribly expensive gesture , kind gesture make appreciate place . btw , location perfect . quiet side street , within block Green Park , 1 block Shepherd Street area behind hotel least 10 restaurant / pub choice nice evening , serve outside , 1 block shop cheap wine snack available . able easily walk every sight want see sole exception London Tower Globe access boat . 
 may 22 2004 	 recommend Hilton 
 Apr 26 2004 	 Green Park Hilton London 
 Apr 13 2004 	 Negatives Positives 
 Mar 18 2004 	 in - room safe 
 Jan 5 2004 	 great refurbishment Fabulous Staff 
 Nov 19 2003 	 amazing refurb . New 
 Apr 23 2003 	 Tatty 
 Mar 12 2003 	 worth money 
 Mar 11 2003 	 Quiet 
 Jan 30 2003 	 well Hilton buy 
 Aug 17 2009 	 Decepcionante caro 
 Aug 17 2009 	 bien placé petit hotel 
 Apr 13 2009 	 Hilton Green Park Trop bruyant ! 
 Oct 27 2008 	 ? ? ? ? ? ? 
 Oct 21 2008 	 ? ? ? ? ? ? ? 
 Jan 22 2008 	 da evitare 
