Great 	 family & amp ; stay past week . room good size 2 double bed ; 2 side chair ; desk ; walk closet ; kitchenette bathroom ! room clean front desk staff helpful / friendly ! location superb ( 2 block Central Park ) several local eatery within 1 block ! negative street noise throughout night ( window close must thin ) . price though - great find NYC ! ! 
 great family Holiday 	 Excellent hotel . close popular attraction . 
 Room Size vs. Price Location well 	 go NYC always prefer stay Salisbury Hotel people earth hospitable . room quite large NYC price reasonable especially consider location . also love breakfast . always stay December see rockette Christmas decoration . leave tomorrow NYC . 
 Feb 17 2009 	 great value money 	 well locate far Carnegie Hall trump Tour . comfortable suite + /- 60m2 . two thing imporve : breakfast variety shower hot water . overall , , good choice . stay next time ny . 
 Feb 13 2009 	 Good Value Excellent Location 	 wife stay 7 night January ' 09 . salisbury modest old hotel 57th Street , right across Carnegie Hall . location good – ' bus stop outside hotel entrance subway stop connect line short block two either direction . Central Park short walk north , 5th Avenue couple block east . cold visit wound take bus subway quite bit – recommend multi - day pass , good deal . room surprisingly large , two double bed , large dresser , work desk chair , night stand bed , two upholstered reading chair , flat - screen tv . entry hallway build closet alcove bar sink , small refrigerator , coffee maker . tile bathroom moderate - size tub / shower combination single sink . counter space . room quiet bed comfortable . complaint control steam heat system night warm . manage moderate heat somewhat open one window night , ' effective drape block airflow . wonder might relate problem summer , window air conditioner ( least individual setting ) behind drape . optional $ 4 per person continental buffet breakfast available , reasonable convenient nearly every day ( good alternative small restaurant door away hotel ) . buffet adequate – juice , cut mixed fruit , couple cereal , boil egg , pastry , coffee milk .. front desk staff friendly efficient . quickly take care problem toilet , arrange Super Shuttle service back airport . housekeeping staff thorough , though start early morning , ' want disturb might want put door sign . salisbury good value recommend . well - locate comfortable , despite minor problem enjoy stay . 
 Feb 13 2009 	 Massive Room Mini Price ! ! 	 bargain , stay New York twice . room huge ( 4 time size Hotels use ) . upgrade King Suite living room seperate bedroom , LCD flatscreen tv room . the decor Hotel & quot ; old fashioned & quot ; like chain Hotel make place feel homely relax long day tour Manhatton . furnishing good order hotel clean . we book room Virgin get complimetary free breakfast , breakfast great think normally cost $ 4 still absolute bargain . Centraly locate Times Square , Central Park 5th Avenue within 5 minute walk . if think book place , great money ! 
 Feb 11 2009 	 Salisbury Hotel - Excellent location clean 	 return 6 night stay Salisbury Hotel . find little gem reading report Trip Advisor . many hotel choose glad choose one . brilliant location , 2 minute walk Central Park , walk distance attraction . hotel little date add charm . lift little slow sound like & quot ; rubber band would snap moment & quot ; , make we chuckle ! room spotless . large fridge , microwave coffee maker small sink kitchenette area , tea coffee supply everyday . Towels bedlinen could change everyday ask . room large walk wardrobe , iron ironing board safe ( free use ) . $ 4 breakfast excellent value money . fantastic time , would certainly recommend hotel anyone visit ny . 
 Feb 8 2009 	 nice price downside 	 return four day stay Salisbury . really great location . right middle thing close subway . reviewer mention , decor date , clean care . room huge ! bathroom quite small clean . minimal interaction staff pleasant . complaint could not control heat ( would burn cold ) incredibly hard bed . like sleep wooden board . end move sofa bed . price great would consider stay elsewhere simply not enjoy wake neck back pain ' m vacation . 
 Feb 3 2009 	 30th birthday 	 good hotel great location . close time square central park 5th avenue shop . two tube stop within one minute walk . staff helpful breakfast good value . hotel little bit date give character least ! room spacious bed huge comfy ! overall impressed ! 
 Jan 31 2009 	 Best Value Location New York 	 ' ve stay Salisbury twice occassion service facility 1st class . with many hotel choose New York Salisbury real gem . locate two minute walk Cenral Park , 2 minute Tiffanys 15 minute Time Sq ideal traveller . we get marry Central Park book 9 room hotel directly , staff really helpful well organise make arrangement anything require manage large number group without fuss . Most hotel room NY cramp coffee make facility Salisbury use apartment lounge kitchen area separate bedroom bathroom large enough rival hotel suite ! two large LCD tv aswell walk wardrobe ! anyone visit New York first time someone bad hotel experience highly recommend Salisbury 
 Jan 29 2009 	 really impressed huge room 	 read great review tripadvisor hotel decide give try . anyone stay New York know difficult find affordable hotel New York - room usually small overpriced . hence , unsure expect . when arrive reception little bit disappointed - date need refurbishment . also busy wait quite time check - in , however New York Marathon large group stay hotel Europe . once check - in take old slow elevator appropriate floor . goodness , transformation ! corridor clearly refurbish well room . impressive size room - huge New York standard . well equip , tastefully decorate really comfortable bed . really impress much well 5 star hotel stay New York . restaurant ( although excellent buffet breakfast room ) bar , need city , step outside front door could ever need ! hotel fantastic location highly recommend . 
 Jan 29 2009 	 Great Hotel 	 get great deal hotel get upgrade get . place great location broadway , 5th Ave central park within 2 min walk . room bed massive clean . also $ 4 per person breakfast big bargain New York . would definitely stay . 
 Jan 23 2009 	 great location value 	 stay Salisbury long weekend travel DC inauguration . great location , big room , comfortable bed clean . good value money would recommend absolutely anyone include lone traveller family . 
 Jan 23 2009 	 highly recommend 	 's since trip ( August 2007 ) , enjoy stay much want sure post positive review ! location terrific ! be within easy walk distance 5th Avenue , Times Square , Central Park ! enjoy able throw running shoe morning short block enter park . room nice , clean , fairly large . stay , include continental breakfast ... nothing sing song though : mostly doughnut starchy thing . plus , usually quite line . 's minor nit though , recommend hotel anyone ! reasonable price excellent location . 
 Jan 11 2009 	 Fantastic 	 back Salisbury , stay 5th - 10th Jan 09 family friend . hotel great location Central Park , 5th Avenue etc close hand . room spacious clean . staff courteous could helpful . continental breakfast 4 US $ brilliant . great selection plenty available . definitely stay would recommend hotel anyone . 
 Jan 7 2009 	 NY Holiday 	 wife & amp ; stay Salisbury 12/29/08 thru 1/04/09 . would stay . 15th floor NWC building affect 57th Street noise . room approximately 350 SF size . old hotel , find room clean spacious . bed mattresse hard , indicate review , problem we . also , indicate review , 2 elevator capacitie 10 person / elevator probably inadequate number hotel guest . however , usually continental breakfast hotel 9 a.m. problem , indicate review , elevator service . breakfast hotel reasonably price allow maximize sight seeing time . Angelo 's restaurant serve good pizza close proximity Salisbury . close proximity subway stop , Central Park , Theater District asset Salisbury . also recommend Red Eye Grill 7th near 56th . look forward stay Salisbury whenever travel ny . Norman A.-Texas 
 Jan 6 2009 	 great hotel ! ! ! 	 stay Salisbury right New Years love . little unsure mixed review , great . hotel 100 year old room big . walk - in closet good - sized bathroom . staff great housekeeping respond quickly request extra towel . wonderful location : right across street Carnegie Hall russian Tea Room . subway stop end block one two stop Times Square . also within walking distance Central Park . not try $ 4 breakfast hear pastry , plenty restaurant close Starbucks right across street . the bad thing slow elevator fact shower curtain stick rod inside shower . minor thing . review say room overheat . true , easily remedied adjust fan room . warm first 3 minute , comfortable rest stay . would highly recommend Salisbury definitely stay next visit New York . 
 Jan 5 2009 	 Excellent Location Good Value 	 Salisbury certainly good hotel ' ve try , would still recommend family seek convenient location good value . we stay full week New Year 's , mean room rate significantly higher normal , half cost room nearer Times Square . New Year 's Eve , city experience record low temperature , thrill hotel choice watch Times Square festivity tv comfortable warmth hotel room kid ( 13 9 ) , able step outside minute midnight , join deliriously excited crowd half block hotel , watch ball drop Times Square . behind we , firework explode Central Park . fantastic ! ! vacation , enjoy opera Met , Jazz Lincoln Center , couple Broadway show , ice skate Central Park , Mass St. Patrick 's Cathedral . within easy walk distance Salisbury Hotel . jaunts Greenwich Village Soho , Chinatown Brooklyn , subway stop half block away . give location a+.our room large enough fit roll - away bed ( push two double bed couple foot ) . walk - in closet nice , along large dresser enough space clothing luggage family four . the staff friendly helpful . great pizza place ( Alfonso 's ) nice cafe ( Green 's ) practically next door . a downside : - roll - away bed cost extra $ 25 per night . ( maybe be cheap non - holiday week . ) - elevator slow arrive morning . fortunately , 6th floor easy matter use stair . breakfast 3rd floor -- easy descent.- two pc lobby , fee use internet . annoying service free many hotels.- shower rod mount far inside bathtub shower curtain hang right face . also annoying , many hotel curve shower rods.- breakfast boring -- mostly dry bagel donut weak coffee . grant , $ 4 per person , young child not eat much , preferred choose fresher breakfast item Green 's , not cost much more . all , be plan spend much time room , would recommend Salisbury convenient location pretty good price relatively large room . 
 Jan 3 2009 	 Hotel de Broken promise 	 first trip NYC April 2008 , friend quickly book second trip June 2009 would celebrate birthday . we give trip think opt stay Salisbury location amenity , though value play huge part also . with trip book three month , look forward revisit wonderful city ... last week , . receive letter Salisbury inform we would unable provide we one four room book . distraught desperate information , call travel agent duly contact Salisbury regard succinct , unhelpful letter . our travel agent inform hotel take booking , would pay commission tour operator / travel agent , would make money say booking . order accommodate booking ( pun intend ) , hotel renege booking take travel agent ( include ) send aforementioned letter number unfortunate traveller . give option cancel holiday completely find alternative accommodation – unenviable task less six month go one visit city planet . luckily we , travel agent manage secure we four room nearby Wellington Hotel compensate we pay difference price book new room . so , kudo helpful , trip - save travel agent ; unfortunately , ' say disappointing Salisbury Hotel . boo hiss , indeed . 
 Jan 3 2009 	 New York Salisbury 	 stay Salisbury december 26th till 1st january 2009.i read lot Salisbury beee outdate etc well perfect . you sleep watch tv . restaurant cafe enough choose NYC.I need fitness either walk around NY excercise enough . the 2 bedroom suite HUGE ? spotless . there delivery hotel chinese regency find great . the green cafe perfect also burrito box . Shelley 's neighbourhood . across street Starbuckks . a Duane Reade corner . they sell phone metro card . it true front desk people would much pretty smile face . I recommend stay again . when enroll club get night free . ( get 2 happy , ment money shop giong eat ) thank Salisbury 
 Dec 30 2008 	 great location downside 	 hotel excellent location West 57th Street 6th 7th avenue two block south Central Park , block half west major 5th Avenue shop short walk upper part Broadway . 57th Street subway station also within half block Hotel enable easy access part City . also within easy stroll distance large number restaurant eatery . ( recommend Cafe Europa cnr W57th 7th Ave Kennedy 's Irish Pub / Restaurant W57th ) .We give one bedroom & quot ; suite & quot ; sixth floor face 57th Street two Queen bed bedroom sofa bed living room . room clean date one bathroom & quot ; kitchenette & quot ; consist sink , mini fridge micro wave . find room incredibly noisy street activity ( one probably expect degree ny ) also guest floor . lift slow seem insufficient service number people stay Hotel . consequently like many guest resort use stair . a continental breakfast available $ 4 per head every morning third floor whilst food plentiful broad range number seat available similarly insufficient cater guest seek table every morning . either wait line table become available grab food / drink take back room consume . the Hotel us place put head night day enjoy NY offer visitor . good value dollar wise family five probably hotels vicinity provide excellent location well facility . 
 Dec 26 2008 	 Fab stay Salisbury 	 boyfriend stay Sailisbury November amazing experience . Sailisbury perfect we . room huge lovely comfy bed ! huge tv radio , also coffee maker , fridge microwave . location brilliant ! close central park , times square 5th Avenue . would recommend go Empire State weekday originally go sunday two hour queue , go back tuesday queue atall ! ! ! ! amazing time basketball , would recommend anyone . want go New York stay clean central hotel , stay Salisbury , dissapointe ! ! ! 
 Dec 22 2008 	 great location 	 Salisbury unusual New York hotel feature large room - frankly huge , bathroom . clearly be since be update 'd rather spend cash be NYC room , can not beat Salisbury . location fantastic , close park , walk distance fantastic restaurant theater district . be look hotel bar scene room service , place ! pay $ 4 breakfast , will understand cost $ 4 get - 's basic trick . , would definitely stay look spoil . 
 Dec 21 2008 	 Love Hotel great location ! ! ! 	 stay mom 4 night perfect ! ! ! hotel everything need . first arrive lobby not big nice people really polite helpful . then arrive room really impressed room size really big bed big plasma . the hotel near everything like time square 8 block , central park 2 block , 5 avenue 2 block subway 1 block hotel go macy 's empire state building less second . the breakfast really good 4 dollar bagel , donut , juice , salad fruit , bread lot more . I personally recommend hotel anyone . via hotels.com get rate 143 $ night ! ! ! 
 Dec 16 2008 	 great central hotel 	 salisbury great basic hotel . clean , staff friendly & amp ; good central shop sight . Times Square 10 minute walk , Tiffany road , Central Park 2 minute round corner easy get anywhere . 9 we stay everyone we think excellent great value money . thing miss bar would handy meeting point we lovely deli 's nearby nice pizza resturant next door . room 's huge , load room hoard cheap shopping . second time stay hotel definately stay next time . 
 Dec 15 2008 	 Nice Price 	 return 3 night stay Salisbury Hotel . hotel great location .. easy walk distance shopping , Restaurants , Broadway . hotel clean like everyone say bit outdated . small restaurant two door & quot ; Green 's Cafe & quot ; good breakfast . good hotel price . 
 Dec 15 2008 	 old good location 	 family four stay hotel family trip NYC . location good - able take reasonable walk place - block Carnegie Hall . hotel old , although new furniture room , hotel show 's age . room spacious , although 4 we , 2 double bed difficult . bathroom small , 2 closet leave plenty room store suitcase . benefit include microwave mini - fridge . light continental breakfast offer $ 4 per person . locate small banquet room always plenty space line . cheap could get bagel coffee shop . definitely ask room not face street - noise problem whatsoever . first arrive put room freshly paint smell overwhelming . within 5 minute call front desk send someone help we move luggage comparable room . front desk staff housekeep friendly , not need service often . 
 Dec 12 2008 	 not fool rating ! ! ! ! ! 	 family travel New York City December 2007 , celebrate daughter 's Sweet Sixteen . party , include number extend family member cover three generation , agree upon Salisbury base price location . upon arrival , please overall asthetic lobby reception area . however , pleasure short live . deficiency numerous list suffice say moldy ceiling rock hard ( mean ROCK HARD ) mattresse suite , party unanimously agree change venue . hotel staff understand agree charge we 1 night stay rather 5 day book . 
 Dec 9 2008 	 Great Hotel 	 Fantastic hotel great value . join Trip Advisor think would leave review hotel . free breakfast add bonus even bargain get hotel . oolder build spolessly clean room huge . would definitely return . 
 Dec 7 2008 	 would probably stay 	 excellent hotel . clean , excellent room , excellent staff , excellent breakfast , perfect location . 
 Dec 5 2008 	 old hotel good location 	 Salisbury Hotel no - frill hotel , old building show age . choose hotel rate half less hotel city , , opinion , get entirely hand . first , pro : great location , block Times Square Rockefeller center , 2 block Central Park , Carnegie Hall right across street . room large many NYC , reasonably comfortable , although bed little firm side . choice , request room back side hotel , street side room well sound insulated bit noisy . closet huge hotel standard , room wide screen , flat tv unexpected plus . offer continental breakfast $ 4 per person , big asst . bread pastry item couple cereal choice , couple fruit choice would nice . con : Dec. , room keep way warm , thermostat available regulate temp . use AC compensate make room comfortable sleeping temp . also need update shower low flow shower head , pressure almost unbearable drain could keep flow , almost flood bathroom ! overall , stay acceptable price pay room . 
 Dec 4 2008 	 Fabulous Hotel 	 Fantastic Hotel stay ( 4 woman ) week end November . location hotel great . subway end block . Central Park minute away . Times Square 10 minute stroll . staff , friendly & amp ; ' enough help . ' enough towel room , call reception & amp ; deliver room within 5 minute . suite huge , enough room 4 adult without feel fall other . the décor little date , especially bathroom spotlessly clean . lift little slow take stair way . stay recommend anyone . 
 Dec 2 2008 	 great 	 book 2 suite hotel 3 grandchild daughter . arrival give 1 , rectify daughter grand daughter give suite floor originally book . 2.30 daughter awaken something crawl face ! wake daughter move bed find bug crawl wall other tne floor . catch glass take reception . pack case move another floor . needless say neither get sleep night . move suite next day , plenty room . People room next say find roach & quot ; big enough put boot & quot ; . stay happy one , reception staff quite rude helpful ( take 2 hour get fresh towel . other staff really great especially doorman . I receive refund suite do not use charge extra people suite ! .good location , bad service bug . Church own hotel tell ( church onthe 5th floor ) full milk human kindness though ! 
 Nov 28 2008 	 would go back flash . 	 wow ... Salisbury perfect we . room kitchenette , 2 bed still plenty room . location Salisbury great , 2 block central park close subway . staff great , continental breakfast cheap good . everything great , expect shower listen carefully room flush toilet , soon hear get water - go soo hot - scold hot ! ! get catch time come rather pink ... oh lift - little slow morning ... little mean alot ! : pover great room , service location . 
 Nov 24 2008 	 recommend anyone - brilliant 	 partner book trip ny 30th birthday surprised engagement . we book 5 night Salisbury hotel NY base review Trip Advisor , price per night compare other area , would recommend hotel anyone . pay £ 148 per night room well expect , two large bed , flat screen tv , two walk cupboard worth space , free safe room , coffee tea make facility , microwave , fridge , ironge board , basically everything could possible need ! ! ! room make fresh cup glass every day . I see previous comment wait lift lengthy time , 6 day problem experience , 17th floor , lift must ! ! ! noise outside night normally use live home , tired walk around NY , bed comfortable say partner not problem sleep , struggle keep eye open , one night bed 9 pm fully exhausted ! ! ! bargin breakfast $ 4 head first morning , muffin , doughnut , boil egg , toast soft cheese , cereal , fruit salad , fruit juice tea , coffee etc available , $ 4 think fantastic ! ! go breakfast recommendation one tour guide ' all eat buffet breakfast ' personally hate , cup tea , $ 7.99 pay extra drink ! food , well stuck fruit would think well , could personal taste . I allergic egg , one thing notice breakfast egg , one morning go restaurant breakfast , order something menu , ask could put egg plate , tell would cost different , say ok problem , not expect plate sausage ( 3 sausage ) , plate bacon ( rather well do portion scratching would say ) plate mushroom cost nearly $ 15 - nearly £ 10 breakfast ! ! ! ! want egg ! ! ! remain part holiday go back breakfast back hotel , not see anywhere / one give great breakfast money - superb value ! ! ! previous people advise decor hotel bit date , really not matter , hardly , , sleep small point make , hotel staff really helpful could not enough stay importantly extremely clean - brilliant , go ny , would definately come back Salisbury ! ! ! 
 Nov 23 2008 	 ideal place 	 Salisbury ideally situate New York expereince . room everything need clean . experienced breakfast want pancake etc go beyond hotel . yes noisy night not sleep well , city never sleep expect anything different . staff friendly . would definetly stay would recommend . 
 Nov 20 2008 	 convenient location good value 	 wife bring kid first NYC trip week ago , choose Salisbury location value . book suite ( two room ) , plenty space ( include closet space anyone could ever dream use ) . convenient subway , Manhattan within reach . also 2 block south Central Park , kid love . complaint slow elevator ... morning breakfast buffet third floor , not unusual wait several minute one two elevator . although soundproof , room quiet . would stay also recommend friend . 
 Nov 19 2008 	 great hotel great location great value 	 stay Salisbury three night end long road trip across USA . usually stay Milford Plaza , book freind Salisbury . ' star ' rating , well quality stay . ' suite ' large clean . stayed 12th floor , face 57th . previously state , traffic noise , 's New York , expect . use sofa bed comfortable . large living area ( New York City ) flat screen large tv . also kitchen area microwave , fridge , coffee maker etc . bedroom large two double bed . bathroom ( although clean ) slightly date , small . problem shower pressure hot water . ideal location , within minute Central Park Times Square . also walk Madison Square Garden hockey basketball . subway within yard front entrance . $ 45 taxi JFK . great stay , maybe tempt use hotel future visit NYC . highly recommend . 
 Nov 17 2008 	 good hotel - two essential tip 	 good value NYC - big , clean room . Decor bit date consider noone go NYC spend time hotel room not put . staff friendly helpful . brilliant location state previous review , walk distance ( easily ) central park , shop 5th avenue time square also near subway station travel afield . tip stay here:1 & gt ; much earler review state incase not read back . request room back build 2nd last review state 57th st busy siren night day NYC . ask room back read advice tripadvisor problem noise room back building.2 & gt ; be worth know ; cute cafe call green cafe couple building salisbury ( towards 6th avenue ) good , cheap breakfast food include pancake french toaast well muffuns+bagel . 
 Nov 17 2008 	 great Stay Salisbury 	 return long weekend Salisbury . seven we total , two adult five teen . book one bedroom suite huge . bedroom two full bed living room sleeper sofa . rent two roll away bed $ 25 per night boy could bed . even rollaways sleeper sofa open still room small kitchen table two chair chair desk . room large flat panel tv . small refrigerator , microwave sink kitchen area . would bring plastic utensil plate plan eat anything room . breakfast $ 4.00 bagel , donut , muffin , fruit cereal . enough get we go morning . location great . block subway use quite bit . go NYC MTA subway trip planner enter start point end point plan train take subway . Central Park block away Broadway street Times square 15 block center Times Square lot see 15 block . hotel great , clean old . able check 10:00 Friday great check noon Sunday . would highly recommend hotel location large room . drawback one bathroom seven people manage much fuss . 
 Nov 16 2008 	 Fine hotel 	 good hotel . stay week November 2008 pleased hotel . location Upper Midtown excellent . service correct friendly . room clean spacious . price reasonable . problem recognize sound street . New York never sleep 57 : th street main street lot traffic every hour . sound insulation window poor sound police vehicle other leak room . 
 Nov 15 2008 	 5th november 2008 	 hi , get back NYC last week , wish still ! ! ! ! ! ! ! ! ! ! ! check get room , spacious 2 double bed , 2 walk - in wardrobe , massive flatscreen t.v . OH get free SAFE ! ! ! ! . room clean fridge , microwave coffee machine not use . hotel great location , walk distance Central Park , Radio City , Times Square , Macy 's , Empire State Building even walk Madison Square Gardens , good half hour walk . last day ask reception book us taxi airport , good end fantastic holiday limo turn take we airport x . would deffo stay hotel . 
 Nov 15 2008 	 Salisbury wonderful ! 	 husband stay Salisbury Hotel Sept . hotel clean nice . time get back room everyday clean . hotel within walk distance alot thing ! ! overall , wonderful stay ! 
 Nov 8 2008 	 Salisbury NYC Charm ! ! 	 group four couple , visit NYC celebrate 50th birthday Milestone ! Salisbury conveniently centrally locate many big tourist attraction New York . also enjoy pizza restaurant right next door . walk lot & quot ; City not Sleep & quot ; , night go , go , see day , Salisbury 's comfort charm welcome sight . catch wink , enjoy Continental breakfast $ 4.00 daily . highly recommend seek long weekend getaway . great time NYC ! thank memory ! ! 
 Nov 6 2008 	 lovely hotel 	 Salisbury Hotel 57th st New York 31 october 2008 return fantastic week New York daughter , stay Salisbury Hotel great location load room 5 woman plus shopping ! comfortable bed plus 3 walk wardrobe lovely cosy old style hotel stay next year ! 
 Nov 2 2008 	 great location 	 great location , although noisy . nice area close central park . nice take morning stroll . great breakfast . staff ok . bad lift . room large clean , big bathroom . fridge coffee maker etc . great value money 
 Nov 2 2008 	 great rounder 	 get back Salisbury NYC .Had previously use Beacon West side recent price hike refurb put high . as family hotel Salisbury hit mark , great room lot space clean good friendly staff . sure room style little old bathroom wonderful nescaf coffee theme matter house staff clean well .. other say breakfast well worth $ 4 dollar although get 8 am avoid wait table.lift get busy wait ... minus beware SUV service airport , concierge staff driver appear little back scratch set cost seem high .. 
 Nov 2 2008 	 well situate atypically spacious ( ny ) date good 	 place stay be explore New York , Salisbury excellent value ( ny standard ) seek fine aspect hotel luxury . it be well situated , close Central Park , 5th Avenue couple Metro stop , whilst decoratively tired room spacious , clean equipped good tv , fridge microwave . hotel bar restaurant although arrangement delivery several nearby restaurant seek in - room dining . for fan 70 's bathroom must brown ceramic floor wall tile fixture match ! clean functional good water pressure shower . if return ny , would seriously consider stay . 
 Nov 1 2008 	 good place stay NYC 	 return 3 night stay Salisbury not find noise problem back 17th floor ! facility room suprise microwave , fridge coffee maker ( also free safe ) . understand people say tired furniture , bathroom ok could little modernising . lifts problem breakfast time patience virtue ! $ 4 breakfast good value eat , queue peak time ( 08 - 30 10 - 00 ) allow take food away want eat room . staff friendly helpful . excellent location , turn leave subway 200 yard away , Carnegie Hall way Times Square steady walk . would recommend good value ( New York ) money . 
 Nov 1 2008 	 Loved Salisbury 	 return 5 night stay 1 bedroom suite . 4 us plan return . noisy overlook 57th street light sleeper however tired daily sightseeing problem we . staff come contact extremely polite helpful . last day pour rain bell boy stand outside luggage hail us taxi . room spacious clean tidy 2 flat screen television ( wer not actually use much ) ample cupboard space hide suitcase shopping bag . location excellent Central Park , Times Square 5th Avenue , Rockefeller Centre within easy walk distance . agree previous review decor bang date hotel would charge lot . personally hope not change thing probably would able afford stay . 
 Oct 31 2008 	 Fab return stay 	 second time Salisbury year great time . first trip girlie April time go partner . sign frequent stay card trip upgrade suite great bonus exhausted evening nice perch bed . yes furnishing tired outweigh friendly staff , cleanliness , size room location . look forward return ( year ! ) recommend hotel other 
 Oct 30 2008 	 great Stay salsibury 	 back 5 night stay one bed suite Salisbury . overall pleased choice base review TA . room lovely - expect bit tired base read large , well furnish clean . room bite dark plenty lamp fine . three huge closet easy store everything way . we request room two double bed end king sofa bed . bed comfortable sofa bed fine kid . other comment noise - surprised little noise . room not face onto 57th though . think hotel great location , close everything . walk place get cab relatively cheap . staff encounter helpful polite . not sample breakfast - many great place try ! would definitely stay Salisbury ! 
 Oct 27 2008 	 great location 	 Salisbury Hotel whilst situate busy road superbly locate short 10 minute walk Times Square Broadway . central park close . hotel clean friendly offer good value continental breakfast buffet $ 4 . aware though 57th Street noisy day night , much problem fall bed exhausted night . would recommend hotel single traveller family definately use go back . 
 Oct 26 2008 	 good mid - range hotel . 	 read review Salisbury prepared get exactly get : * good location * helpful staff * good lobby service * neat corridor need light * room clean , need re - furbbeds high hard , jet - lag thing stop we sleep . plenty storage space , fridge useful ( we ) .The breakfast arrangement ok ' continental ' bag . wait seated peak time , staff ball . lift take much long arrive Westin Times Square ( stay ) , complaint there . all ; functional , flash , comfortable , need . would go back ? yes , would book direct rather agent order get good rate . location get four , otherwise three . 
 Oct 26 2008 	 good location noisy 	 need hotel central location near Fifth Av . close Theatre district excellent choice . however hotel also problem . family room sleep four one room 2 small double bed . try avoid room streetside extremely noisy . Breakfast say continental , way resemble continental breakfast . breakfast full & quot ; sweet & quot ; item press juice . would recommend ? ..... guarantee room away noice . 
 Oct 23 2008 	 terrific Stay Salisbury 	 spend four night Salisbury . yes , corridor look bit run , furniture dowdy , will never stay anywhere else future trip NYC . ? great price huge , clean one bedroom suite fit family three perfectly . three walk - in closet two wide - screen tv' . a delicious continental breakfast $ 4.two block Central Park , close Time Square theater , 1/2 block subway . a friendly helpful staff . one caveat : street noise bother night , bring earplug , 57th Street bustling hour . Less problem room street . 
 Oct 15 2008 	 Love NYC ! ! ! ! 	 first time partner visit city New York quite excited go . stay Salisbury hotel first impression think great place . staff helpful , really could ask anything would help much could . location hotel perfect one block central park , next 5th Avenue subway . get major attraction Salisbury subway , little nervous use NY subway easy make sure know whether want go north south usually use yellow line N , W , andQ train go whole way south . find get ferry statue liberty get yellow train whitehall , turn right follow sign ferry , quite small keep eye . plus buy ticket online print get , go first thing morning quieter avoid line . from hotel walk evening 57th broadway Times Square Empire state love . Rock day amazing get chance rockerfella empire go well worth . get Empire State building ticket advance well recommend get express go day , buy go night quiet , incase always buy express ticket . hotel room little tired clean tidy , get use noise NYC noisy place hear street noise window minor negative , salibury ideal hotel use base location ( maybe honeymooner ) reasonable location , walk day night room long except sleep . take good walk shoe / trainer get ache foot walk . all say go walk around way see city . go west village load boutique great shop , head towards Blecker St wander around area , hidden jem . night go little Italy cute great italian La Focaccia 51 Bank St 4th , book day . great area good food . must visit meat packing district truley amazing experience day meat packing district night think plce elite place go drinking , avoid posh bar go Brass Monkey area good great music , see rooftop clubs celebs go atmosphere amazing itis geat place walk around . if tell fall love NYC already plan next trip Salibury ! ! 
 Oct 11 2008 	 great location good hotel 	 good hotel magnificent location.the hotel old fashioned alwys clen general good condition ... ' stay ! 
 Oct 2 2008 	 Great Price Great Location 	 friend come New York Chicago little shopping see Yankees vs. Red Sox game . blast hotel locate conveniently everywhere want go . definitely stay since price location good . three us plenty room since get 800 square foot suite 2 double bed pull . be not plenty closet ( one us ) bathroom clean . also love fact continential breakfast everyday 3rd floor low cost ! another great deal New York ! downside follow : shower bit dark . could use light elevator . elevator bite small time would wait 3 - 4 elevator pass we could get . completely understand since old building . stair everything work great . be sure stay . well worth money ! 
 Sep 27 2008 	 could not ask well 	 Location , Location , Location . stay 7 night 4th September . great staff , helpful friendly . room little old , plenty space spread . double 10th floor face street . little noisy expect , big city not . hum air - conditioner drown street noises night . bed bite hard , new . do not try breakfast . subway end block.2 block Central Park . place eat around . definitely go back . 
 Sep 27 2008 	 central clean hotel 	 stay 6 night Salisbury - first trip NYC . great location , large room really clean - housekeeping great job . 9th floor . negative street noise seep seal around airconditione slow lift . breakfast good value $ 5 continental breakfast . ideal location central park , 5th avenue , time square , sightseeing bus . really recommend mid price hotel NYC . 
 Sep 14 2008 	 stay ! 	 go rate ( reasonable ) NYC hotel room around $ 250 . pay via hotels.com . stay Pennsylvania New Yorker price , far well ! enter room , NYC - appartment feeling : kitchenette ( microwave , coffeemaker , fridge ) , spacious living room ( huge LCD ! ) , separate bedroom ( another LCD ) bathroom ( clean , good hot water ) . $ 250 location . as state review , wall could use paint ( appartment home ! ) , clean . carpet clean stain , room fresh . we contact hotel via e - mail , ask room rear hotel . within 48 hrs frontdesk reply , state good . deliver : room 1118 , exceed expectation . clean , spacious , comfortable . location ( 2 major subwaystation within one block , Central Park right behind ) perfect . 
