nice 	 husband sepnd three day NYC friend 's wedding ; Millenium Hilton chose hotel wedding party guest . first . plus : hotel elegant well appoint ; stay junior suite 21st floor , view Manhattan WTC construction site , well Hudson river - can not beat ! compare average NYC room , Millenium Hilton spacious room ; even bathroom large . bed comfortable . for minus : construction WTC site go overnight interruption - first night sleep ! addition unbeliavable construction noise , fact hotel facade completely open expose wind - strong gust wind - feel like window break . , despite comfy bed , sleep . thsi really ruin experience .... another ( small ) issue restaurant close 2 5 pm , time frame even room service - arrive 1:45 refuse service . minor point go local eatery , hurry get somewhare time spare . also , concierge recommend nearby italain restaurant fact close ( least know concierge ! ) would recomme hotel people bother loud , constant noise throughout night ; would suggest wait major contruction WTC ( couple year ? ) 
 Excellent Stay 	 happy stay Millenium Hilton , especially since get $ 130 per night Priceline Thanksgiving weekend . since holiday weekend , noise really issue we although jackhammere hour Friday afternoon . go day , see people would upset . hotel try make thing right - even check room , offer we sound machine earplug . think current price probably reflect noise inconvenience . the location fine easy take subway anywhere . Cortlandt Station right front hotel . also walk across Brooklyn Bridge , nearby . lot go area not really matter NYC since easy get part town . the tv remote annoying . first thought need new battery , turn hold certain angle change channel . would nice would something . small nitpick , love stay would happy stay . 
 Jan 9 2008 	 excellent 	 travel new york 21st birthday stay millenium hilton soon get hotel staff could not enough . take upstairs bell boy 52nd floor view amazing ! ! ! massive plasma t.v big comfortable room good bed ever sleep ! ! do not eat hotel look nice 5th floor . thought may look upon young nice hotel non staff hotel nice ! outlet call centry 21 next hotel ebgland like tk max like sort thing do not buy anything.the subway next hotel nice london tube handy get centre . get taxi back.the thing hotel work go outside front hotel ground zero letter room arrival manager apoligise noise offering ear plugs need partner do not struggle sleep high believe walk mile around new york get back big bed noise problem could sllep anything ! ! love hotel would personaly give 5 * ! 
 Jan 6 2008 	 great hotel beware hidden charge 	 accomodate ! arrive New York 7 am Saturday morning , allow we check early . stay smoking deluxe King bedroom 55th floor . view spectacular Brooklyn Bridge , Manhattan Bridge ... etc . husband smoke , nice find upscale hotel dead winter allow smoke room . would HIGHLY recommend hotel anyone not see NYC need recover long distance travel explore New York . 's low Manhattan , literally across street Ground Zero . be quiet neighborhood , ( quiet mean need walk several block find restaurant open Saturday night , ) 's 100 foot subway station , shop nearby sell good deli sandwich huge cheap breakfast $ 3 . big Tip : not use inroom fridge store leftover . remove soda can top shelf put take - away food , upon check bill $ 100 & quot ; amenity . & quot ; apparently sensor fridge automatically charge room feel weight move . front desk clear false charge quickly , wish warning . oh yes , wireless internet available hotel . internet plug charge $ 12.95 / day . great place stay first night NY . be nice quiet place ( construction occur , get room high floor . ) like , would go back . 
 Jan 6 2008 	 great hotel interesting area 	 nice hotel , little unlucky noise moment . WTC reconstruction behind schedule constucter fine every day fall behind certain deadline . hotel fault though . provide sound machine ( enough though ) ear plug . much . say would wait month go stay work almost 24 * 7 right now . the room great , bar , room service , reataurant ... everything want hotel . particular note , ear poppingly fast lift . find staff friendly sympathetic noise room ready arrival treat we free drink bar ( make ) .I not like area hotel much . aware business area guess since 9/11 lot business close result even weeknight , few option elsewhere may need travel .. thankfully metro route seem cross around good location planning use train system lot . overall satisfied . would probably try another area next time would recommend hotel other . 
 Jan 4 2008 	 nice hotel stay whilst WTC construction still process 	 search many website find perfect hotel 5 night stay New York eventually settle Millenium Hilton . photo website look nice value money good give 5 night stay include New Years Eve . doubt really hotel would fine give Hilton name . the hotel nice , clean stylish decor first impression good . our problem however start check . pre - booked king room city view tell none currently available , 2 choice , wait room become available later afternoon ( 4 pm try check ) take low room . decide wait room view want . we pretty tired long journey sit patiently hotel bar room . hour go back desk allocate room 48th floor . room nice view right WTC Statue Liberty distance . perfectly aware construction work go prior book hotel presume work would stop evening continue morning someone sleep well think would pose problem – wrong could ? decide quick kip heading something eat 1st evening , lay bed 2 hour 5 7 ' sleep wink due loud construction noise . way something eat ask reception time work would stop , tell maybe 11 pm sometimes early sometimes later ( helpful ) ask ear plug appear plenty of . the long short construction go night sleep wink , even ear plugs pillow head . phone reception morning ask move quieter room alternatively relocate we another hotel intention stay 5 sleepless night . we take luggage reception go day . tell would allocate another room . return hotel 8 pm find yet allocate room , ½ hour find we new room . twin beds city view room quiet tired argue difference receptionist seem bother anyway . intend take Hilton return home . on positive side actual hotel nice . ideally locate town Manhattan subway doorstep cost $ 2 single journey anywhere Manhattan . New York fantastic place , everything think place visit least . shop amazing cheap comparison UK , many bargain . food also fantastic , eat Fish Greenwich Village whole lobster £ 15.new York time year busy , would definitely return although probably quieter time year . go busy expect queue everything . with regard hotel would definitely stay construction finish would recommend anyone stay moment . 
 Jan 3 2008 	 Great Location shame noise elevator ! 	 stay 4 night end Dec 07 . location hotel great - much preferred Midtown . view water Statue Liberty , plus construction site WTC . one downside - 48th floor , noise site go 24 hour could hear level hotel good light sleeper . room pleasant , clean comfortable . staff ok - rude overly polite . good thing proximity subway system take anywhere Manhattan , plus could walk Tribeca SoHo restaurant , bar shopping , way cool anything Midtown offer . downside - elevator get crowd 9 - 10am tourist try get , point dangerously overload people try squeeze wait 20 min , management supervise .... 
 Jan 3 2008 	 new yorkmillenium hilton 	 arrive millenium hilton early hour morning 29th dec bus 2 hour , get subway much quick , go back airport end stay , check book city view 30th floor , give level 25 ! say guy behind desk book city view level 30 , say one momment 10min later say 49th floor , much well , thou guy , sorry , bit rude really smile ! get room great , lovely view . thou would get decent night sleep ready day shopping ! WTC work noisy stop till new year eve , work 24 hour day even 49th floor could still hear , loud . month behind finishing.went woodbury outlet , great , bargin mostly last year stock many size ! busy 2 half hour bus come back ! go empire state build another 2 half hour wait every one push , finely get top great view stand around wait get top take edge , one good thing get snowing.could , really find place eat mexican twice , nice , times square mad really city , sleep.we book new year eve party JOONBUG cruise half moon , well state cocktail / semi formal man attire . bring lovely cocktail dress partner wear suit , could go jean t - shirt ! food rubbish drink plastic cup 8 $ ! music good start right rubbish play really loud ! another thing ticket say 8 , late , , move marine till nearly 11 pm go river towards fire work new year go fast boat go forward across river unless u front deck could , see fire work ! thou be.another thing , touch food drink mini bar charge cheap , food expense , fancy food 24 hour service good , also none smoke hotel , , warm heater outside.this 1 dream come new york , do , would , would , come back hotel untill WTC work finish . 
 Jan 2 2008 	 Christmas Hilton 	 last year - oct 2006 family stay Hilton Millenium , visit really good , would give 9/10 . second visit December 21st - 27th 2007 ; sorry Hilton , let side . would give 3/10 visit . starter , book room almost year advance , request 53rd floor city view . get 53rd floor city view . phone call , get 45th w / city view . think year advance request like - easy plan . child ( 21,19,16 ) want see breathtaking skyline Christmas . king size junior suite , nice size , shower work , maid service good , bed make , clean towel room keep tidy . one thing really get .. must honest , bar staff particular ( main bar resturant bar 3rd floor ) friendly ( anyone ice pic ? ) - rude side . travel Hilton business throughout Europe , service well , staff approachable friendly . overall ... would go back ? . like feel bit welcome . suggest Hilton management get bar staff customer relationship course . teach serve smile ..... 
 Jan 2 2008 	 impressed ! 	 book Hotel look nice website . e - mail Hotel let know need twin room away lift , preferbly corner . disappointment , get double bed , next lift front construction work sleep . staff tell we fully book could give we another room totally ignore fact get email confirmation say would get twin room . ask time construction work would finish , say 10 pm ! well , go WHOLE night lie we . extremely disappointed attitude , standard Hotel lack knowledge . would never recommend Hotel anyone . 
 Dec 28 2007 	 bad first impression . 	 partner secretly arrange staff bottle champagne , champagne glass send bloomingdale , two tux 's room arrive . even tell time arrive . upon check tell room & quot ; might ready & quot ; , tell 's ok , check bag , walk around come back later . instead , send room . simple ... front desk could stall ask we seat bar , not . get room & amp ; not 30 second champagne arrive . glass & amp ; tux 's arrive time later ... seperatly ... mind , sit downstairs concierge morning . give verbal appology manager , can not undo something like expect enough . could compe champagne , not pursue . high hope property reading posting , hotel blow big time . 
 Dec 27 2007 	 need close 1 	 hotel uninhabitable . 24 hour day construction noise Ground Zero bad , one able sleep without drug . hotel web page talk neighborhood construction , say nothing nonstop noise . hotel close work do . 
 Dec 18 2007 	 want buy pillow ! comfy / modern / nice ! 	 stay 3 night June 07 hotel wonderful ! fancy , clean , modern , spacious . love could plug iPod alarm clock could listen music . flat panel tv nice , furniture modern . good part pillow ! actually look online saw could buy . expensive pillow - want couple still ! ! would complain construction Ground Zero noise night could still sleep . feel safe 3 am not anything eat unless want walk block ( would not , small female ) . subway close not take friend 's place ChinaTown / Little Italy kind pain sometimes , take taxi . excellent hotel financial district grind zero visitation . 
 Dec 15 2007 	 Hilton Wins 	 first stay financial district somewhat hesitant location since NYC 's attraction midtown . however , impressed Millenium Hilton convenience public transportation area , notion quickly dissipate . our room ( # 1813 ) beautiful live 4 - star billing . also great view work perform WTC site . please see attached photo . if shopper , Century 21 right around corner Soho accessible . my wife would certainly stay . 
 Dec 12 2007 	 elegant bargain 	 lovely hotel , clean new due recent remodelling , seem complete . ( 12/07 construction east side hotel , affect hotel access . ) breathtaking view Hudson River WTC site . close tribeca , subway , step train station wtc.you get great deal directly website , probably build business remodel . highly recommend . 
 Dec 10 2007 	 excellent stay 	 return first trip NYC stay last 3 day Millenium Hilton , overly pleased stay . stay Times Square first 2 night stay little worried leaving area another hotel . but pleased choice . hotel Hilton , speak . modern , clean staff willing help occasion . we book room Hotwire $ 244 / night feel great price hotel NYC time year . we deluxe room king bed ( promise ) complaint whatsoever room . overlook ground zero , bit noisy morning 21st floor hear level nothing complain . yes noise , nothing may even notice . we not eat restaurant hear good . they great pool , fitness center . business center amenity , charge use internet , ( perhaps opinion negative thing hotel ) . hotel price , think internet access available extra charge . staff great answer many question NYC try help whatever way could . the location hotel downtown area , concern we , subway convenient get we need 10 minute . overall fabulous time NYC hotel . would definately recommend hotel , would stay 
 Dec 7 2007 	 ok bit noisy construction .... 	 hotel overlook Ground Zero , World Trade Center Towers use , room hear construction noise work going build something new . start early , even weekend . this first time back hotel since 9/11 . hotel room renovate well design equip , especially business traveller guess due location main guest . the desk work proper work chair make huge difference . great , modern coffee make machine ( wish hotel ) really huge flat screen tv . bed large comfortable Sheraton Westin . there surprising lack choice place eat drink . small bar lobby one restaurant 3rd floor ( satisfactory stunning buffet ) . fitness centre get trip . the hotel right next famous Century 21 discount label department store easy 10 minute walk South Street Sea Port area shop museum major drop pick round Manhattan bus tour . overall , handy destination tourist far shopping area Central Park etc . overall , like room lot noise construction wake early would like glad stay short . when World Trade Center across road much well eat shop etc , sure again . you often get good deal hotel construction put lot people . massively troublesome minor distraction reality . 
 Dec 3 2007 	 exceedingly average 	 hotel opposite Ground zero , great location look around Manhattan . unfortunately lot building work near hotel , noise could heard hotel room despite high floor . also wake middle night couple argue hallway ! hotel food also expensive , chocolate bar mini bar cost $ 6 ! staff friendly either . expect Hilton hotel ! 
 Dec 3 2007 	 good altenative price right 	 need go NYC realize major tourist season . try mean possible get nice hotel $ 500 - 600 / night weekend Thanksgiving Xmas avail . we decide blow entire hotel point account 2 night different hotel ideal get we . continue search however , break though last minute deal . hotwire list 4 star hotel Soho $ 249 . Bingo ! examine description ( mention pool ) search find 4 * hotel Soho pool uber - hip Gansevoort . jump chance book , find , commit , reservation Millennium Hilton . we quite disappointed ( would even say bit mad ) since although hotel South Houston .... way Soho . we many opportunity stay past decline . .... sucked check wrote & quot ; 's place sleep shower & quot ; .I say pleasantly surprised . proximity subway path train make incredibly convenient location . since Gold member , upgrade room fantastic view downtown river . sunset spectacular . fascinating watch activity go rebuild WTC across street . check decent sized , modern clean room nothing really complain . staff helpful friendly . while sleep shower busy weekend , would consider stay price prohibitive favorite location . 
 Dec 2 2007 	 nice NYC hotel 	 staying & gt ; 20 hotel NYC year - Hilton Millenium rate high . great location Chinatown - Lil Italy - Battery Park - Chelsea - Soho - low Manhattan . standard room - nice- ave sized . typically go wrong Hilton - always nice comfortable . location basically overlook construction Ground Zero . one might complain construction noise - little we . time fitness / pool / restaurant . pool look nice photo page . staff nice cab easy come . train station across street ( Ground Zero - path ) . cab - $ 15 Midtown . 
 Dec 2 2007 	 nothing less superb ! 	 stay 40th birthday nothing less superb ! second trip NYC . would previously stay equally excellent Fitzpatricks lexington June ' 06 December rate could match value get Millenium - five night € 700 , less $ 200 / night ! worth every penny ! victor , extremely efficient guy take reservation ensure get one ( 14 ) smoke room 54th floor excellent view Jersey eerie eagle eyed perspective WTC site . location Downtown NY close Wall street , right next door Century 21 two min walk Abecrombie & amp ; Fitch make shop easy cab fair town cheap . check instant ! door man first class , everyone friendly funny numerous concergie 's vary . one guy , Joe , condescend rude manage mess dinner reservation big four oh another guy 's name slip mind give we excellent advice catch Arsenal V Chelsea match - Nevada Smiths 3rd ave 11th & amp ; 12th absolutley brillaint atmoshpere - pack chant fan persuasion , half expat amazingly , many avid new york soccer fan ! eat breafast dinner hotel excellent super service . bar staff great , especially retire cop guy do not fail set we freebie several round tip . talk freely horendous event 9/11 incredibly hotel survive serious structural damge despite directly opposite WTC . ( first nitght watch movie WTC room weird look site time - God bless America ! ) nonetheless Millenium close two year follow disasterous event require substantial superficial rennovation contribute pritine appearance today . public area excellent , room / bathroom superb . leisure cetnre small adequate nice pool rarity Manhattan sadly jacuzzi ! view upper floor stunnne ! final morning awoke start find guy clean window momentarily scare cr * p we last thing would expect see height ! check completely hassle free , bill settle automaticaly reciept post door more departure hotel store bag untill leave airport 4 pm . nip Century 21 buy extra suitcase transport purchase ! , absolutley superb hotel price ! can not wait go back ! MP1 
 Nov 30 2007 	 great choice price right ! 	 stay Millenium long Thanksgiving weekend ( arrive parade ! ) visit daughter live Brooklyn . previously stay hotel Times Square , opt something different time around . see really good nightly rate online call hotel directly get rate . ask & quot ; City View & quot ; King room thrill walk large room , extremely clean , bed comfortable lavish linen ( lot pillow ! ) . 51st floor , look directly west ( WTC site ) New Jersey . could see south Statue Liberty north Broadway . window 51st floor elevator lobby afford terrific view Brooklyn Bridge ( Brooklyn ) river . plasma TV wall terrific , modern desk dresser . comfortable chair , large closet - lot well - place lamp read light . bathroom clean lot counter space ( hair dryer , really really nice towel lot , usual shampoo , etc . ) . nice touch umbrella closet use ( not need ) safe provide well . lobby nice ( bit noisy coming going ) lobby bar bar full , place & quot ; hang & quot ; . concierge great , good recommendation . Bellmen & quot ; johnny spot & quot ; apologize delay leave cab ( leave Monday rush hour ) call one specifically we get we airport time . really enjoy stay Millenium ( price right ) . slightly amuse price pay not get free internet ( neither room business center ) Burger King street ( well business ) ! even cheap hotel room Eau Claire , Wisconsin offer free WiFi ! ! also , plasma screen tv really nice big , restrict number cable channel disappointment . could not offer movie channel ( HBO ) popular cable channel ? watch much tv , walk day nice unwind lovely room . not hesitate stay Millenium price right budget ( pay $ 300 inc . taxis per night think bargain NYC ) . 
 Nov 28 2007 	 good choice 	 partner stay Hilton four night long weekend New York . hotel downtown area easily accessible public transport taxi ride midtown $ 17 . arrive transatlantic flight evening immediately whisk luggage take care . receptionist ( Angie think name ) extremely helpful request smoking room high floor . excel give fantastic room 54th floor overlook ground zero Brooklyn Bridge . room exceptionally large New York standard amnesty could wish : good internet connection ( reasonable $ 12 / day ) , LCD TV , mini bar , large bathroom excellent bed . service overall efficient friendly . concierge help we make restaurant reservation taxi flag quickly . the downside stay vary service bar next lobby . price drink order seem vary staff one point bar tender refuse allow we take drink upstairs ( explanation short particular style glass , well order ) .There limit choice area good food , try Les Halles 15 John St good basic choice , 2 minute hotel . may travel bit get high quality restaurant . love Lever House Restaurant 390Park Avenue . I highly recommend Millenium Hilton ( even spell annoy ) consider normally ridiculous room rate New York Hilton definitely bargain . 
 Nov 24 2007 	 great bad 	 book room first night arrive ny mix up date first choice hotel ' available night . want leave straightforward review experience hotel . say overwhelmed sense – great , bad , nothing write home . arrive , staff professional curt . book high room city view . room available get room face Ground Zero . view look straight Ground Zero . reviewer say , heavy equipment operate loud noise literally 24 hour day ' expect quiet night . exhausted get order room service feel ill meal . morning , eat expensive breakfast buffet hotel restaurant . far room , room , though tidy clean . price overall ' experience ' , completely underwhelmed . all , so - so experience combine disappointment relative price ( expensive marathon time ! ) 
 Nov 22 2007 	 Met expectation 	 Wife Millenium three night Diamond award stay right Thanksgiving 2007 . location hotel perfect , eschew car take Amtrak Washinigton , DC . come PATH station World Trade Center station , hotel stare we right face ! upon check , front desk clerk tell we room ready . ask upgrade promptly assign corner junior executive suite floor 38 . room fantastic , impressive vista WTC site . know go noisy thank previous posting many other , not overly bother we . subway station within two block hotel , take anywhere want go city . end stay save probably $ 30 take subway Penn Station catch train Pennsylvania , instead hail cab . during trip , fulfil lifelong dream visit Ellis Island . Battery Park , catch ferry , 15 - minute walk . dinner South Street Seaport one evening , another pleasant 15 - minute walk . only possible side entire visit thing pretty much fold evening , way compensate . overall fantastic time would stay . want thank previous poster insightful review helpful suggestion . 
 Nov 21 2007 	 great hotel 	 really nice hotel . provide everything would expect hotel class , great deal weekend financial district quiet . excellent bed , helpful staff - problem . Century 21 , truly wonderful department store - discount tacky - right next door . however - Midtown anywhere near like walk . find subway convenient might : station close Ground Zero rebuild long weekend , ticket machine would not take note , coin . arrive , not many coin - take ! bus not take note either . could buy pass credit card , obviously need travel fair bit make worth . None Millenium 's fault - aware come prepared . one problem location restaurant within walking distance . 's nice hotel , prepared use public transport lot . previously stay Midtown certainly spoil choice restaurant close , course , pay . money - pay $ 400 australian per night - 's great . 
 Nov 20 2007 	 amazing great view 	 round amazing trip , make even special hotel . millenium hilton amazing , ok little bit noisy work trade centre site . stone away , i d recommend every1 want see new york use subway , little daunting 1st time way see new york city , example catch cab mid town cost $ 12 35 min subway tokk 7 min $ 2 . trip , hotel , experiance amazing let manner people new york , might manner cost anything . 
 Nov 19 2007 	 good value good location 	 NYC get expensive month 's really difficult find decently price business - type hotel Manhattan day ..... please find Millennium Hilton . book directly via hilton.com pay 200 US dollar , great price location . the room spacious , modern , fast internet service exactly would expect Hilton hotel . hotel definitely design business traveller .... little lobby space , extra amenity much concierge service . Wall St short walk away , hotel top subway station 's easy get around . bargain hunter please know Century 21 right next door too . yes people may moan view , expect ? ! look beyond ground zero construction site perfectly nice view river , way across statue liberty .... 
 Nov 16 2007 	 Millenium Hilton Nice ...... 	 recently stay Millenium Hilton like much . we go NY see Grease end see strike . upgrade we suite weare Hilton Gold Card member . suite nice , people work hotel always nice attentive . eat lunch breakfast restuarant 3rd floor also good , expensive . locate bit far Times Square - take cab $ 16 way . nice walk Seaport / Waterfront area Century 21 right around corner . would stay property nice around . Linguica 
 Nov 12 2007 	 scary view 	 nothing wrong hotel . location not everyone , far downtown proper shopping / eat option . room pretty nice - standard modern Hilton . staff bit snooty . wake every 15 minute room next elevator , & quot ; ding & quot ; annoying , housekeeping phone right outside room keep ring . staff comment & quot ; oh , would like we shut elevator ? & quot ; however - one thing bear mind hotel overlook Ground Zero . directly . fact , probably will not get well view site fall twin tower anywhere . maybe 's , find rather disturb sight . course people find interesting . find chill . 
 Nov 12 2007 	 Nice Downown Location 	 give hotel average stay Hilton New York week . hotel good many , way , fixture , comfort bed , quality ammentite high standard . not seem plush . business hotel though , lobby small compact staff serve vry efficiently , not expect huge smile pamper - job - get room asap.the porter nice bloke , concierge helpful - especially hen Blue Shuttle not arrive & amp ; grab cab . hotel directly opposite Ground Zero barely hear noise - major inconvenience . close - healthy 15 minute walkto Southport shop & amp ; restaurant Wall street . downside bar night weekend . 
 Nov 7 2007 	 great hotel ! 	 get free night certificate result bad experience Hilton Toronto Airport , decide use here . request dry room age ( 20 ) get it . I room 46th floor great view ground zero . room clean , although expect , small . elevator fast ; take 20 second go 46th floor . the one thing not like way towel ; like sandpaper . would definitely stay give opportunity ! 
 Nov 7 2007 	 Great Downtown Hotel 	 stay 1st 5th November total 3 room . need make change one room , complete complete assistance staff . room decor layout excellent spacious bathroom , extremely comfortable bed course large plasma tv . location much downtown reason depend Taxi 's subway . e line locate pretty much outside front door Port Authority 5th Avenue minute . not opportunity eat hotel , price quiet high availability food doorstep never stick . find staff helpful great recommendation concierge . overall stay extremely relaxing would use hotel . 
 Nov 4 2007 	 great hotel 	 truly enjoy stay hotel . arrive ask different type room hotel staff make change positive attitude . member hotel staff polite friendly . room wonderful , tastefully decorate comfortable bed , great view Ground Zero . one day feel well decide stay room & quot ; disturb & quot ; sign outside door . later day get polite call housekeeping service ask everything ok offering bring room anything might need . travel New York least year good hotel experience ever . 
 Oct 29 2007 	 expensive professional 	 book two room property 20th - 27th October ' 07 . location great , downtown , close Wall Street , Century 21 , South Seaport like . get wonderful cheerful welcome - send we large platter strawberry dip chocolate check ! room lovely , nice large Plasma tv , fantastic view property front , Ground Zero right beneath we , lovely bathroom stack Crabtree & amp ; Evelyn product . comfortable . service way standard , need call someone would room whisk . room service food simply fantastic , though expensive . lot lot place eat nearby , one easily walk food ! 7 day dot excellent service , professional concierge , happy door man - great experience . room size large ( New York ) , double king bed extremely comfortable . lot space keep bag , iron board steam iron provide room ( help lot meeting ! ) , Lavazza coffee tea maker replenish time use it . on downside , internet access expensive - nearly $ 13 daily - business hotel give complimentary thought . food also expensive imagine - beware breakfast charge restaurant ! ensure decide plan want take sit will pour yo orange juice charge $ 4 ... highly recommend place , though $ 15 - 17 cab ride midtown . well connect tube though . 
 oct 22 2007 	 round winner 	 stay 5 night - 10th 14th October . hotel great location explore downtown area , short walk subway number different line . walk along South Street Seaport two morning relax coffee deck boat pass along East River . the room mixed bag . double first night turn two queen bed – certainly enough room three sleep comfortably . bed incredibly comfortable – big enough . luckily book Junior Suite next four . difference . 29th floor , spacious , three huge plate window look towards Battery , construction site Ground Zero , bustle traffic Hudson lovely way greet morning . not find off - putting – 's hive activity symbol people determine recover . iconic ' cross ' section original building stand front church little way Church Street , still move . we love big 42 " plasma screen , not improve quality programme ! 's go course . room internet access $ 12.95 per 24 hour . yes noisy – work early morning late ( mean late ) night , except Saturday night . buy earplug , work treat . $ 4.99 hundred Duane Reades choose ! eat place nearby . go stage Door Deli across way great breakfast real theatre courtesy staff . ever see bagel fly ? well , . also eat Woolworth Building Kitchen excellent value . hotel 's restaurant serve similar fare expensive less atmospheric either these . be right next door Century 21 another plus – even get early morning late evening get far busy . staff courteous helpful , ensure pick - up airport time . I would go back tomorrow . fact wish could ... 
 Oct 22 2007 	 Met expectation 	 Millenium Hilton meet expectation . fab price location amenities- walking distance Battery Park/ Statue Liberty departure , multiple subway stop nearby . area around hotel walkway pedestrian , not trouble get around . aware construction noise , not keep good night 's sleep super - comfy bed . view 27th floor overlook WTC site , find interesting sad- good see progress . refrigerator snack drawer weight system , not plan store food beverage . hotel New York City- parking limit expensive use , two single bathroom lobby . ( woman behind line rude complaint fact . ) 
 Oct 19 2007 	 thank Goodness Hilton ! ! 	 planning trip NYC daughter 's 18th birthday present , ask get good hotel , bother , would not anything sleep . well , thank goodness precocious 17 year old would , want spend extra good hotel . choose Millenium Hilton City & amp ; Show website , actually get pretty good deal . as turn , daughter EXTREMELY ill trip , 5 day spend . start faint plane ( BIG BIG thank wonderful guy Continental Airlines help oxygen ) . get Newark , get taxi hotel , daughter not leave ( except hour Bloomingdales pre - booked helicopter trip ) . could not walk one block not even see Ground Zero . so stick fantastic hotel room 44th floor , excellent view towards Empire State . busy work mum , actually find enforce stay relax - catch movie big flat screen ! staff helpful , bed extremely comfortable . hotel make could utterly miserable trip , bearable . I meal restaurant one evening pleasant . also , hotel right next Century 21 , ideal cut - price shopping . World Financial Centre also worth look , well church across road time still hold memorabilia lose love one 9/11 tragedy . the problem ( ' m give 5 rating ) instruction phone ring international call back home Ireland , inadvertently dial various number ( include Africa apparently ! ) work hard reception staff charge exorbitant amount . I think would like somewhere central next time , want downtown , place . daughter recover get back home course , know someday will able laugh ( yet ! ) . 
 Oct 18 2007 	 Great Place stay 	 hotel locate right next Ground Zero .. therefore bit noisy , especially night ! however , stay Junior Suite 23 floor room clean , staff could not helpful . unecessarily bother , room good size standard . particuarly like Lavazza coffee maker room . would definately stay 
 Oct 17 2007 	 great stay Millenium 	 arrive Millenium Friday night , October 12 , 2007 . problem check go to put we room 30th floor accommodate request something high one overlook WTC site . end 44th floor look right onto WTC site .... not know expect saw site somewhat disturbed feel little emotion really , like other say , construction site . see steel cross wreckage visit St Paul 's Chapel next door emotion finally get .... hard see dump truck rebar expect touch .. see pew rescue worker lay weary body .... wow . could also see Statue Liberty window ..... back hotel ..... beautiful , room immaculate . complaint follow : expect would free wireless internet , know , seeing pay several hundred dollar night stay , nope , would pay additional $ 5.95 per hour ... thank . even lobby free ... figure Hilton could afford . let address & quot ; noise & quot ; construction site . know book hotel adajcent WTC site . one must expect noise construction site ... look quiet place vacation , maybe look beach mountain NYC , . say , little bit noise go late night begin early morning care . do not disturb . know worker . try repair destroy .... bad thing ? . road make narrow construction do not impede we way . reserach expect . pizza place street name Steve 's Pizza open late , four slice big slice pizza two coke 20 buck know ? ten time well pricey meal eat NYC . small restaurant , family own & quot ; cheap & quot ; place awesome . high dollar place sell place , view , etc , other sell food ... remember . also spot awesome well . champ , 5 block away , cheap sooo good . check em . [ -- ] subway good way get around ... $ 7.00 day buy unlimited ride day ... use alot . beat taxi ride , much cheap , fast , scary like see tv , haha . second complaint remember ... strange smell pillow .. maybe like stale smell mix Lysol ... kind smelly , be not huge deal . 
 Oct 10 2007 	 Hilton Millenium good great 	 Hilton Millenium locate across street WTC complex room overlook area , bit depressing . handle , hotel locate great location . several subway stop within couple block area little less hectic mid - town . the room pretty nice , nice plasma tv ( watch tv NYC ? ) . service so - so . construction around hotel pretty aggrevating . construction noise not bad , sidewalk narrow street vendor around slow get back hotel subway . 
 Oct 10 2007 	 go back ... 	 husband return 5 day trip ny fantastic time . hotel room 4111 junior suite three huge window fantastic view . look WTC site across Statue Liberty , look Broadway towards Empire State Bldg across towards Brooklyn Bridge . find hotel staff helpful friendly , complaint . find room little noisy work go WTC , sometimes work would start early morning ( even Sunday ) end quite late . say view room make it . we eat hotel find food ok although dining room character . good deli across road , Stage Door . carry out breakfast , hightly recommend . great location though would stay . worth take helicopter trip . 
 Oct 8 2007 	 great stay Millennium Hilton 	 mom really enjoy stay hotel . room clean comfortable . not hear street / construction noise room 12th floor . hotel accommodate , give we room 2 double bed even though book king priceline . room quite large NYC standard . 's accessible public transportation , easy get via train Newark Airport . also , able print boarding pass lobby , big plus . 
 Oct 7 2007 	 Worst Service NY ! ! ! 	 stay hold meeting 25 hotel NYC say hotel far bad experience ever . can not understand hotel give 4 star . Ground Zero right , even get hotel nightmare , nevermind $ 90 parking , rude hotel staff front desk way F & amp ; B Manager less sparkling room ! everyone seem chip shoulder act LUCKY stay . understand slight issue hotel would never give & quot ; terrible & quot ; rating unless well deserve . price cheap reason people- look elsewhere ! ! ! 
 Oct 5 2007 	 overrate 	 Stayed 14 - 17 September 2007 . hotel 's new modern feel lack character . 42 & quot ; plasma nice touch cheap 42 & quot ; plasmas therefore quality picture great , however , be really important unless consider spend whole time wathce tv bedroom . hotel staff average / above average i.e . good , crap ! Church & amp ; dey restaurant like morgue , basically nobody seem go reason , maybe bread ( like chew brick ) . waiter / esse look something ( never see waiter fight take empty plate kitchen ! ) . small , crowded reception area , extremely noisy outside WTC construction . + be next Century 21 opposite train station . look suite stay Embassy Suites Battery Park , similar price + free buffet breakfast 
 Oct 3 2007 	 view WTC pit 24/7 Noise Site 	 stay northwest corner suite . Noise never end WTC site . 
 Oct 3 2007 	 great stay 	 great hotel wonderful location . book online Expedia get fantastic deal Jr. Suite . room large clean . staff general nice , give bar staff big kudoo . complaint husband miss place key , front desk would give another one , room book name . however , check ask name anyone else staying room . not ( shower time ) would hvae loke return . go downstairs ask name not add guest list , recieve blank stare ask want get another key . great stay since Centry 21 right next door return soon husband think ! LOL 
