affordable 	 stay Allegro Chicago 3 day thanksgiving break . book hotel priceline cheaply worried quality hotel . well , worry disappear soon walk hotel . large room family , spacious , clean , modern looking . hotel employee friendly housekeeping lady great job everyday ! ! impress control quality hotel low rate . recommend place travel family , significant other , etc . 
 great 	 minus hotel provide free morning coffee Kimpton hotel . great place stay theater rate say morning coffee . the robe room take long time ( hour ) great place . concierge excellent . 
 different side Chicago 	 want try little different hotel mega hotel Wacker Michigan Avenue area , via travelzoo , find excellent deal huge room Hotel Allegro . super location Theatre district , hotel boutique hotel upscale & quot ; neo & quot ; urban feel . funky decoration lobby , loud ( loud really ) new techno - type music , fast paced feel good service greet door . reason dinge service Restaurant 312 corner connect hotel bad service one day , otherwise bellman , desk people , housekeeper security great . trendy look lobby seat area , complimentary wine service early evening complimentary continental breakfast morning . hotel also lot old / historic charm recently undergo large scare upgrade . room well however . suite , great seat area 60 's style couch light fixture , inroom bar , flat panel HD tv ( not work great ) table sit one office work . bedroom large kind sized bed ( comfy ) , high end pillow , sheet mattress , huge armoire hd tv . bedroom view building , nothing special , great & quot ; blackout & quot ; blind . bath awesome giant , two person whirlpool tub . high end fixture , funky flooring decorate . different feel sure . great time friend would say fit top 5 Chicago hotel sure . thing would tell management -- -turn crazy euro - tech muszak ... exepecte see Hans Franz work lobby least skinny white guy dancing . 
 Feb 13 2007 	 Allegro Hotel wonderful 	 Allegro wonderful hotel right heart Chicago theater district , step Loop . decor art deco bright flamboyant colorsWe stay two kid go see show . love well . suite fold couch , two person tub ! plush , funky time . staff friendly , lobby beautiful . try sister hotel , Hotel Burnham near flagship Marshall Fields / Macy 's store . also beautiful . 
 Feb 11 2007 	 Great Hotel ! highly recommend ! 	 book via Priceline.com weekend getaway get room $ 75 per night . arrive via Midway take Orange Line within block hotel $ 2 . hotel easy find . never feel uncomfortable neighborhood / area . see homeless panhandler . walk place . great location hotel $ 5- $ 6 cab ride major attraction / shopping / restaurant . hotel almost gawdy color / decor , be different cruise ship decor . annoying decor mean . check painless service great ! hear noise whatsoever ... report & quot ; thin wall & quot ; greatly exaggerated . wall concrete thick ... hear nothing night ! highly recommend hotel ! room small crowd two people ... old style hotel room .. classic 
 Feb 10 2007 	 Much Little 	 stay Allegro Hotel interview position Chicago . read review mix , since property suggest organization ( due location ) , book room . true review , room extremely small , cold ( heater blow cold air -2 degree weather ) , generally uncomfortable . closet hung suit doorknob door adjoining room . bathroom extremely small although tidy , especially clean ( dusty ) . bed ( suppose queen really full ) quite low sheet hard . arrive late , order room service . little space room wait staff approach desk / table sideways . although free wireless ( plus ) , keep get kick system , lie , reconnect on - line record 16 time . finally , top , television stop work little midnight . one evening ( even 12 hour ) enough . suppose 4 star boutique hotel ' ve stay well 2 star property . on positive side , staff nice friendly , food reasonably good , lobby really vibrant . martini bar ( although come , hotel guest complain unsually smokey ) look interesting . overall though , good stay ' ve . will not stay . 
 Feb 6 2007 	 many extra 	 wonderful intimate hotel . large room two bath standard room ! room service immediate perfect . well stock mini bar Aveda amenity . restaurant wonderful especially $ 9.95 breakfast . lobby wonderful blend funky elegant breakfast bar . STAFF friendly helpfulness good , 
 Feb 4 2007 	 cute big hotel ! 	 greatly enjoy Allegro : nice location loop , novel theater - theme decor , restaurant equally good breakfast , dinner , drink , excellent help concierge . 
 Jan 30 2007 	 great -- prefer Burnham 	 stay April 2006 able get room Burnham street . tell hotel block away , boy difference block make ! travel business trip join Chicago 79 year old mother . arrive one help luggage -- one front door . since Lobby one flight -- yes , elevator -- manage luggage . never see someone door two night . one help cab nothing . apparently someone evening busy get cab people Theatre next door . the staff nice although trouble find reservation know member Kimpton 's loyalty program give number twice . our room nice clean properly . many takeout container fridge , garbage wastepaper basket -- include food . desk not wipe cover something sticky . went let know thay say would take care go shop . return , fridge clean bathroom ( not see ) empty beer can sink tub filthy ! fortunately go dinner stop desk let know take care although desk never wipe . make feel room rather dingy . my main concern hotel area . hotel use big tourist hotel next Theatre . theatre get evening , cab tie half hour area get creepy -- lot homless wander around within block . honestly feel area unsafe . two business colleague -- one travel London also stay time meet one , woman travel alone , actually check early go another hotel . , old english gentleman ( travel world ) remark feel neighborhood run well disappoint one hotel front door . make point share cab back . it also bite noisy wall bit thin bang door people get back night early norm . one people going not bother could see people travel business would bothered . hotel , although cheap Chicago Kimpton hotel great experience . tight budget o.k . careful ! ! 
 Jan 26 2007 	 ok wanted 	 arrive Allegro Monday evening . doormen wonderful polite helpful entire stay . check go fairly smoothly , although woman check we not seem know anything city hotel . pay $ 189 / night room website list hotel $ 178 . ask front desk price matching long , blank stare , clerk inform us rate got & quot ; Best Available & quot ; would change rate . Hmmm . 's website say , ok . suppose attend tape Oprah show 7 next morning . ask front desk clerk could tell we far studio hotel . , blank stare . try ask know time catch cab . say 6 am . not sound right , glad check doorman later . ( studio 2 mile away . ) finally go room . room 725 . pink decor pretty cute . like . however , big problem room lack horizontal surface . absolutely nowhere put stuff . tiny nightstand , vary small desk barely room single laptop also phone , lamp , hotel book brochure top . one chair room vanity bathroom . would fine one us two we stay overnight . 4 night stay , uncomfortable . also closet . even small one everyone else mention . closet . size room bother we . comparable Westin Hilton king bed . seem unfurnished . bathroom average size tub incredibly tiny . bed hard pillow small . comforter nice , sheet soft . place put plug - in coffee pot , end set lid close toilet bathroom . Lucy , bartender Encore Lounge , fabulous . go see every evening . excellent take great care . lunch Encore one day order Philly Cheese Steak . portion HUGE . sandwich probably would served 3 people . one morning , order american Breakfast room service . , enormous portion . 2 egg , 8 piece bacon , 4 piece toast , least 2 serving hashbrown , pot coffee , large glass orange juice , fresh fruit . would easily fed two people . pancake order another day bit reasonable - 3 pancake 3 sausage link . pancake come cover powdered sugar , request mine without . the concierge service great . remember name , husband call Anderson Cooper Mario Lopez . give we detailed direction get around town also make dinner reservation we . nice chat helpful . we take part wine reception every evening . plan attend , sure bring room key . offer two wine also bottled water . aside front desk staff , hotel staff helpful polite . hotel nice , expect . want stay boutique hotel hindsight , stick Westin comparable price . would stay Allegro , would love try Kimpton property . 
 Jan 16 2007 	 Fun place 	 mother & amp ; book night Hotel Allegro right Christmas . delighted find block Macy 's Christmas storefront & amp ; excellent Christkringel market . also easy walk Michigan Ave & amp ; wonderful shopping . price great Chicago ( even $ 30 parking ) . online reservation system simple use easy change reservation need reschedule different day . service wonderful - Valet parking check - in & amp ; ( take mere second ) . bed comfortable , avedo product nice bonus , & amp ; decor fun - often stay pink / green / brown / yellow / black room stripe / check / triangle / diamond , etc ... ? not impress attached restaurant - would recommend eat somewhere else . 
 Jan 15 2007 	 iit 's Kind Hotel .... 	 Chicago 3rd stop five - week tour States , say not disappoint , least accomodation Hotel Allegro . a friendly welcome front desk staff , courteous helpful throughout 4 - night stay , pleasant concierge staff , great room service . yes room small side care 's much see outside ! frankly , room adequate need , well - furnish excellent bathroom satisife expectation . I definitely return Chicago hesitation stay hotel . 
 Jan 4 2007 	 Allegro Hotel 	 stay Allegro fantastic time . bag personality little touch make difference ! drink lobby Manager early evening make feel really welcome , fire blaze Christmas decoration make feel really festive . I would definately return . 
 Jan 2 2007 	 Perfect long weekend 	 book room hotwire , never get & quot ; botique & quot ; hotel , impressed . pay $ 100 / night , downtown Chicago fabulous . inside hotel beautiful , first class check concierge . even free wine happy hour ! ! room nice clean , problem little small , though expect old place . 
 Dec 30 2006 	 accomodate 	 arrive 11 am Thanksgiving Day ( be time train arrive Memphis ) allow check immediately - wait lobby . also provide list resturant open day . nice decor room one nice ' ve stay whilst visit US . 
 Dec 14 2006 	 nice room 	 want check 4:30 p.m. drive day - room not ready . sit wait lobby let we . say something - get excuse apology . room nice , lobby beautiful - 
 Dec 4 2006 	 bad room improvement 	 not know hotel last renovate , like reviewer felt begin look little tired , especially bathroom . would also echo complaint cleaning : number thing carpet appear come bottom someone 's shoe , situation could easily avoid someone pass vacuum around room arrival . my complaint breakfast , available restaurant 7 am . travel business early meeting 2 3 morning Allegro , mean forced eat breakfast coffee bar lobby , plastic plate paper cup . hotel suppose standard offer breakfast 6 am , not seem much ask Allegro same . on plus side , however , think room good size , , unlike other , not object pink decor . staff absolutely charming , seem eager could make stay comfortable possible ( except , perhaps , vacuum carpet ) .I not think hotel offer particularly good value money , charge stay company , issue , all - in - all reasonably pleasant stay . 
 Nov 17 2006 	 typical Kimpton ... 	 another reviewer lament , also could get Hotel Monaco Hotel Burnham stay Chicago , stay Allegro . please not get reviewer wrong , hotel okay , typical first class Kimpton Boutique Hotel . agree reviewer 's : bathroom extremely tiny , light terrible room little pink little tired . plus : room service prompt food delicious great portion . bed also comfortable . my beef Kimpton not upgrade hotel comparable first - class establishment ? overall , hotel bad average traveler , associate Kimpton Hotel chain . 
 Nov 14 2006 	 would recommend 	 usually stay Hotel Monaco stay Allegro Monaco book . allegro similar Monaco 's decor ( less traditional funky interior ) nearly nice . linen high quality Monaco room decorate nice . room also small . main reason would recommend hotel though , bathroom . old tile floor , old sink , old toilet . remind something would find man 's locker room . although Allegro instal nice mirror , make limited counter space dingy apperance . also , layout bathroom terrible . toilet close wall toilet paper sit lap sit toilet . also , room clean well . floor room dirty find crumb drawer . would recommend stay Monaco , Hard Rock , Soffitel hotel little less traditional still nice . 
 Nov 13 2006 	 hotel need help ... 	 Hotel Allegro Kimpton Hotgel group leave lot desire . Kimpton reputabel boutique hotel chain ... allegro fall short reputation . room average technology ( small tv inconsistgent wireless internet access ) well old building allow strong cellular signal room . room average & quot ; bright & quot ; Kimpton decor ( room wallpaper pink . the bad part stay suite next door & quot ; election night party & quot ; 2 am . repeat ( four ) call management throughout latter part evening early morning nothing dissuade guest continue love ( blue red ) candidate . know four one half hour sleep evening ... quite blue . 
 Nov 7 2006 	 nice stay Allegro 	 stay Allegro one night due miss flight O'Hare airport . first time ever Chicago . hotel easily accessible El Train O'Hare . get train stop downtown little confused . however find hotel without much hassle . probably 2 block station . can not miss hotel . big , bright light . walk , take elevator stair lobby locate second floor . lobby beautiful . nice contemporary feel . however lobby music bit loud taste . wait line check - in get desk , check - in fast efficient . take elevator room . nice elevator music . hallway retro touch . get room impressed . not anything special nice average hotel room . room good size . view nice . decor quirky . bathroom small job . could see might problem two people staying room . aveda product nice . bed nice . pillow heavenly . absolutely love . sleep well . settle , go downstairs ask could get toiletry . walgreen around corner . convient . also 7 - 11 . not want pay high price item room walk around corner . Cadillac Theater right next hotel imagine get lot theater buisness . not eat resturant get room service can not comment two item . noise problem outside inside hotel stay . water temperature pressure fine . not interact much staff seem nice whenever see . tv old model job . desk good size . overall like stay . issue mold room . old building show age area , i.e . bathroom . however , hotel fix break scratch decorative molding room hallway . not stop enjoy stay . little picky part . get back O'Hare simple . hotel great location . 
 Oct 26 2006 	 could great deal 	 stay regular room late October $ 100 thank Hotwire . price , good hotel . pro : nice white duvet cover ( know clean ) linen . great bed ( small ) .free glass wine lobby evening - first time see like . nice social event evening . Quality Aveda toiletry . also , q - tip cotton ball bathroom . location , want Theatre section city . elevator old - travel fast cool music play . Free NY Times . con : feel like old , old building ( could pro depend ) . con hear room , toilet flush ( upstairs example ) .Colour palette room over - the - top strange . ( another personal preference ) tv minimum number channel HBO . plus position high watch comfortably bed . the bar fridge distractingly loud . my room really small . no free local call - hate this . conclusion : pay Hotwire , satisfied . would likely stay regular price though . 
 Oct 10 2006 	 like hotel 	 second stay Hotel Allegro past year . like Hotel two reason : staff always helpful , location great -- right heart Theater District , adjacent & quot ; L & quot ; , free Trolley stop nearby , reasonable number restaurant choice ( price range ) nearby . room bathroom small side -- would expect old hotel refurbish , give price pay Priceline Chicago inside loop good value . free wine taste lobby early evening nice touch . would definitely stay , especially ' m town Opera Theater . 
 oct 9 2006 	 great ambiance noisy 	 stay Allegro spending week sister property , Burnham . Allegro fabulously stylish property mix everything - walk sight breeze . staff super friendly music theme blast . but wall paper thin ! first room , could hear regular conversation neighboring room well plumbing ! complain , hotel promptly move minimal improvement . even construction across street , Burnham significantly well . 
 oct 9 2006 	 Time face lift Allegro ! 	 wonderful stay Hotel Monaco Denver ( another Kimpton Hotel ) , really look forward spend Christmas king / jacuzzi suite Chicago Allegro husband . say , pretty disappointed . first , good : 1 ) everyone hotel ( exception one front desk clerk clueless concierge ) extremely polite , attentive friendly . 2 ) hotel locate loop , everything could possibly need want close easily accessible cab public transportation not car . now , not - so - good : 1 ) l ( elevate train ) run right next hotel side suite locate ! check , bellman assure we would not hear thing ... right , sort . train go , could not hear , music , tv , could certainly hear rattle window rumble train . obviously , ask move another suite , suite hotel not train side book . can not believe designer hotel put every suite one within 50 foot train ! dumb . downgrade small room promptly apologetically accomodate we . 2 ) two room Allegro , say far shabby chic . furniture really beat ... dirty drapery , dirty carpeting , WAY wear upolstered sofa , mark wall , break decorative molding miss handle wood furniture . pair neon hotel light shone window , feel like flop house $ 200 night hotel . 3 ) room service menu REALLY limit basic place portend & quot ; hip . & quot ; 4 ) maybe matter personal taste , decor bedroom bilious ... wall color somewhere highlighter pink hunter 's vest orange , accent color room maroon light lime green . not white wall house , color combination really bad . sit room okay , worn say . I would stay , would recommend anyone . Chicago much nice place money . 
 Oct 8 2006 	 fear unfounded 	 read horrible review Allegro , bit skeptical staying , however , thoroughly enjoy 3 day stay . old hotel , occasional strange noise toilet flush turn water shower ( not turn hot water fast .... pipe make loud noise ! ! ) , , , retro - style room brightly paint wall make pleasant change pace standard hotel room . room small thought would problem small bathroom . room clean , bed comfortable , room face street , noises train . enjoy & quot ; world & quot ; music play elevator hallway . always invigorate ! ! 5:00 wine / piano reception fun way meet guest find interesting thing Chicago . although big fan wine , hotel break vintage wine reception . taste like low end , , experience still enjoyable . if visit Chicago day utilize train transportation , recommend buy visitor pass , believe , $ 20 3 day . save time hassle purchase pass time use train . because allegro theater financial district , may place stay want go mad 3 day shopping spree quite distance good shopping unless want take train . positive note , Allegro 1 block train , , good location respect . all , pleasant experience would return . 
 Oct 7 2006 	 Awesome ! 	 get stay Allegro August far good hotel ever stay ! staff accomidate , clean , room amazing , give Mr . bubble bubble bath ! would definatly recomend stay ! 
 Sep 26 2006 	 Loved Allegro 	 recently spend weekend Hotel Allegro Chicago . please hotel service , room great location theatre district . hotel excellent restaurant enjoy dinner . staff helpful concierge helpful , go beyond information provide we . room clean bed wonderful . would definitely return ! 
 Sep 24 2006 	 Kimpton norm comfort / ambience 	 often choose kimpton offer good value ; hotel consistently clean , well maintain , comfortable , generally stylish , reasonable price . allegro low range value , though : decor garish ; bed small accommodate tight room , service bar / restaurant quite slow . aspect stay go seamlessly usual , reservation easy , maid accomodate efficient , bell hop desk clerks attentive helpful . price good ; dissatisfied . 
 Sep 7 2006 	 Tasty Shiraz Stale Cheezy Poofs . 	 four friend stay Allegro past Labour Day weekend . book room three month ago Priceline happy get $ 75 per room . as see post elsewhere , service somewhat indifferent desk staff , although nicety offer , like free umbrella rainy Labour Day Monday . much smile welcoming , though . ( concierge helpful , though , print Blue Line El schedule make reservation Smith & amp ; Wollensky we . ) music allude posting hardly & quot ; blaring & quot ; stay . not even notice lobby , elevator , think nice touch . the queen bed room small closet laughably . actually challenge hang anything inside , try fit suitcase almost impossible . ditto bathroom . alone room , someone else would kind cramp move around room . next time request two - bed room , especially one right next elevator , large walk - in closet ( almost another room ! ) . appointment inside pleasant tasteful , although bit wallpaper bathroom peel . bed comfy , armchair well . view speak look onto Randolph . flatscreen tv small decent selection . Minibar well - stock , although Cheezy Poofs open incredibly stale ( tell desk not charge ) .The complimentary wine hour lovely touch good chance we regroup busy day head dinner theatre . wine choice September Fetzer enjoy glass Shiraz night . we also breakfast Atwood Cafe Hotel Burnham , another Kimpton property , excellent . apart lack smile front desk cardboard cheese snack , great experience ! 
 Aug 29 2006 	 Nice Little Hotel 	 GREAT price thru hotwire , complaint , snag ( confirm twice - first time use hotwire ) . room small queen bed , closet infinite .. ( tiny ! ) . bath small ok . hubby room often . room clean . window face brick wall , crane neck get glimpse sky day 's weather outlook . : - ) ask twice extra pillow , get 2 . staff great . room quiet bed comfortable . one concierge great , adequate . steer Kinzie Chophouse birthday dinner . within walking distance recommend ; pricey , overly - good food . walker , walk distance comfortable Millenium park , EL , restaurant . lucke gorgeous weather . happy free WIFI . work well . recommend trip Oak Park via EL tour Frank Lloyd Wright home studio lyou like Prairie architecture small village . plus Dress Barn Woman building . regular size store next block big government building . would definitely try stay price pay little more . I business conference call one night , hubby go lobby bar . expensive ha one beer . spend time bathroom would not overhear call . negative . 
 Aug 29 2006 	 good hotel 	 stay 6 night 18th August . room quite small clean . reception efficient helpful , although non - stop background music little try . hotel good place stay , excellent establishment breakfast road . avoid in - house restaurant , find expensive disappointing . 
 Aug 15 2006 	 Perfect Location ! 	 location hotel real draw . like walk , pretty much get main tourist draw not like walk , subway close by . the room small , cute . hotel seem somewhat old , cool , retro charm . check check quick service complaint ask twice foam pillow pillow bring seem anything like foam . Lollapalooza noise hall night due people get home concert , bed comfortable still sleep well . would definitely stay . 
 Aug 10 2006 	 great Find ! ! 	 group 7 we stay Allegro girl ' weekend . originally book Inn Chicago ( Best western ) overbooke ant send we Allegro upgrade two king suite . first upset Allegro south river think would far walk . turn wrong . from moment arrive , place incredible . reception incredibly nice . ' ve stay multiple Michigan Ave . place reception usually & quot ; big city & quot ; cold . guy great .... smile , funny , conversational , fast . hotel extremely trendy style . great oversized velvet couch , beautiful fireplace , even elevator nice hardwood floor pipe smooth music . our suite incredible . extremely spacious queen pull bed king bedroom . pull not comfortable bed world , pull out never . middle theater district would never know night , quiet dark room . bathroom spotless Aveda amenity fantastic . the walk millennium park 5 mintue . 's great park , miss . walk Michigan Avenue long , be nice walk . probably take 30 minute taxi $ 6.the hotel street Corner Bakery , perfect breakfast . much surprise Garrett 's popcorn street without line Mich. Ave branch ! great hotel , would stay . 
 Aug 8 2006 	 great reception 	 stay allegro three night , great reception staff . room small nicely decorate clean . complimentary product nice also great location . wine reception excelent opportunity meet guest gain information first time visitor uk . would recommend hotel . 
 Jul 9 2006 	 fine price ... 	 european , not issue room size North american guest might , admit room ( 17th floor ) small average US hotel , clean , airco working fine ( manage change temp ) , bed comfy enough ( heavenly sweet fine ! ) . bathroom small , single traveller adequate . would not want bathe small kid family traveller . reception arrival ok ; say kind impression walk cheap version W ( hip / trendy music , quite loud without w - style , confess particular fan anyway ) . free WIFI room give perfect service whole stay ( signal 11mbps time , not bad free WIFI ! ) . functional gym open 24 hour - cardio equipment free weight . swimmer 's 60 ' lap pool use Allegro guest road ( usd 12 day ticket ) Randolph Athletic Club ; need little love investment , fine keep swimming routine . find Allegro staff friendly . concierge ( Paul ) helpful knowledgable . crunch , have pay usd 200 , would disappoint price / quality ratio - get good corporate rate , mean would almost definitely consider stay . location fine . close Metro want explore wide city shopping walking distance . 
 Jul 5 2006 	 Star treatment ! ! ! ! 	 awful experience Allegro hotel Chicago . exception bell staff , 312 restaurant food quality serivice Security staff . I check hotel loud hip hop music lovely sunday afternoon . front desk agent gum mouth welcome smile ! get room , size shoe box wall colour salmon . towel bedsheet rip water luke warm . luckily hurry 312 restauarnt fantastic . Louis , server take good care we food quality price vey good . end night - 10 pm ... breakfast tray lay corridor morning . the service lobby coffee bar extremely slow especially want coffee muffin . also safe female traveller say room # loud infront customer wait line ... need sign charge room . upon check , pleasure experience agent arrive hotel . smile ..... gum mouth ... hum song blast lobby mention hoping would return . 
 Jun 28 2006 	 Staff make stay delightful 	 Allegro 's wine reception plus long day shopping , lobby far suitable lounge small hotel room . go girls shopping weekend . fair share Wicker Park Bucktown enjoy theater crowd eatery area near hotel . State Michigan indeed walkable -- shopping . noise room problem one issue -- order late night snack -- quickly resolve night manager . order late night Chicago restaurant simply decide deliver . learn call lobby 2 a.m. , manager disappear bit emerge chicken potato lovely tray complete linen . late grateful . also charge . ' m sure though would stay unless rate significantly less . pay $ 200 double room . much amount space . ' ve pay less city . decor great indeed bit worn . in - room coffeemaker convenient take maneuver get go step suitcase try bump iron board . oh fantastic fitness room . 
 Jun 20 2006 	 3 star hotel 4 star price ! 	 room wasvery tiny warm . give illusion control temperature . bathroom small . tub plastic retro fit state another review , crackle foot . , personally , find water pressure fine bath ammenitie good quality . public area nice good hang . basically old hotel update . comment closet true , actually indescriable . hear everything occur room . location convienent many hotel . stay , fly Midway , take Orange Line , go wrong . 
 Jun 14 2006 	 Wicked Packages Allegro 	 daughter recently visit Chicago shop see Wicked . allegro seem one hotel advertising package deal include ticket . first stay Allegro , 4th trip Chicago . positive side , location shopping State Street Theater District fantastic . block ticket make available hotel wicked seating good . train Midway put we one easy block front door . staff immediately friendly accommodating . room clean , bed comfortable . room service quick nice choice . hotel restaurant site delightful surprise . negative would small bathroom ( mention frequently post ) plumbing noise . actually awaken several morning due loud noise room . & quot ; King Premier & quot ; room lovely view brick wall next door . deco / contemporary decor funky fun , although bit tired worn case . overall , would say favorite hotel Chicago , would consider another stay due great location friendly customer service . ( will remember pack earplug ! ) 
 Jun 5 2006 	 Great Location -Pretty Hip Hotel 	 third time Allegro , wonderful location Theater District easy access airport Wrigley via train . Miami kind vibe except service way fast ! forgot thin wall old hotel - bathroom small like NYC , clean need date . room decor minimal contemporary . downstair bar great place catch quick eat prior show . walk distance lakefront , great restaurant . excellent choice weekend city . 
 May 28 2006 	 okay 	 dissapointe hotel . plus side , good location theatre district , evening wine hour decent , choice white wine red wine , munchie , hotel evening reception much well lot variety . large lobby area , quite bit seat . the minus = very small room , king room,1 king bed , armoire , desk , chair,1 easy chair,2 small nightstand , crowd . one small bathroom see , counter space . bad part loud pipe room flush take shower , noisy night .Pillows okay , bed comfortable , hard . complimentary coffee lobby start day . good rate $ 100 , will not say will not ever go back , least favorite Chicago time , choice take different hotel next time , lot well alternative . 
 may 23 2006 	 '' CONFUSE COZY SMALL 	 Hotel lobby great place hang , especially nightly wine hour ( though not drink ) . greet vibrant color retro furniture compliment artsy decor ambience throughout entire lobby . staff friendly knowledgeable hotel central many site within Chicago Loop , especially Theatre District . comforter pillow comfortable many fantastic restaurant site within 10 - minute walk hotel , include & quot ; 312 & quot ; restaurant lounge adjacent hotel lobby . however , proximity downtown hot spot exclusive Hotel Allegro could say numerous hotel downtown Chicago . room Hotel Allegro could fun young theater - go couple one two night stay ( lucky enough get one large one ) , definitely would recommend business travel extend stay . room vary wildly size , small . travel coworker barely enough room ( 5 ' 9 & quot ; 185 lbs ) let lone small meeting discussion coworker anyone else may travel . closet not even wide enough hang suit without cram sideways , wall literally paper thin reveal everything go next door , desk chair provide enough room work laptop . queen bed small make feel like one seven dwarf , lighting room awfully dim ( turn every single lamp entire room , include bathroom read night ) nowhere put suitcase without constantly step trip . shower not enough water pressure bathroom serious need renovation , especially hotel pride hip , modern feel downstairs . wireless connection room seem spotty time , noise come nearby l train Palace Theater constant . disappoint stay hotel Allegro . hear mix mostly positive review impress upon enter lobby . unfortunately attention detail first greet visitor upon enter hotel not seem continue step elvator room . Suffice say stay elsewhere next time come town . 
 Apr 7 2006 	 Fun hotel 	 stay hotel whenever go lyric opera . love location ( close civic opera house ) decor . locate theater distric chicago thus close number venue . it break theatric atmosphere evening . decor funky , something ever home , fun short . love aromatherapy bath product . restaurant also nice . always refresh stay place , something different . recommend , particular planning go nearby theater . 
 Apr 7 2006 	 Details ! 	 hotel great location great theater museum two , even shop . seem decor french contemporary , modern classic touch . love room , pink , yet dim neutral color quite cozy . quality linen comfortable bed . free wireless internet excellent connection . sure choose & quot ; Kimpton & quot ; wireless ... 5 other show option surround business . there automate wake call , cd stereo room , coffee maker torrefazione coffee , Aveda toiletry . they great lounge , food , wireless internet . restaurant italian cuisine . excellent food wine . menu consist one page dining , 5 page wine ! , know italian wine lot choose . price seem little high , 's downtown Chicago . negative : sure ask room away elevator . room right next elevator service door . constant noise guest , hotel staff , door , cart , hotel staff radio . room small , expect city old building.bathtub plastic seem little cheap . 
 Apr 5 2006 	 romantic Fun ! 	 husband stay Hotel Allegro March , 2006 . great time ! upgrade suite , enjoy jacuzzi tub Mr . bubble , animal print robe , luxurious king- sized bed ! suite nice , problem noise room street . boutiquey , lobby lovely . enjoy complementary wine hour . staff attentive , stay Kimpton hotel make first - time trip Chicago memorable ! would return ! 
 Mar 29 2006 	 wonderful Stay Allegro 	 great stay Hotel Allegro . room comfortable complete good touch - quality linen pillow , cd player , Aveda product bathroom , dim light lamp . staff friendly prompt room service food ok . hotel even room recycle yoga kit borrow along dedicated yoga tv channel . the hotel go redone come winter tiniest bit wear around edge overall effect stylish elegant . 
 Mar 28 2006 	 one word .... '' [ -- ] '' ! 	 bathtub cheap plastic retrofit job crackle feettheir called & quot ; complementary high speed internet access & quot ; joke , barely get strong WiFi signal laptop secondsI think go end tear shower flange wall try adjust showerhead .. be poorly instal 
 Mar 17 2006 	 great staff nice decor great room 	 sure people find much complain . stay day March great time . front desk staff friendly helpful ask million question eat fun weird hour . lobby fun decor , lounge not bad ( drink kinda pricey friendly bartender ) . aveda product room great . room not huge unless ' ve get two obese clumsy people need suite order comfortable , will find nothing complain really . thing worth mention toilet flush loud 's really big deal . hotwire rate $ 100 fantastic deal . 
 Mar 9 2006 	 good value experience Allegro 	 Allegro trendy hotel well - appoint public area guest room . although small side , single - queen room comfortable term furnishing bed . bathroom definitely small , servicable , quality bath product provide . free wireless internet access nice touch . hotel 1 block train easy walk point throughout downtown . would stay . 
 Feb 16 2006 	 not go ! ! ! 	 wil never stay ; never recommend anyone care ! bad experience ' ve ever non - communist - country hotel . we patient people , many experience total lack service , staff 's continual seem lack desire ability meet need guest , extremely disappointed stay . also -- not expect & quot ; pet - friendly & quot ; hotel , advertise : tell , arrive ( have ask ahead time ! ) , actually nowhere pet & quot ; business & quot ; -- -except concrete alley back ! yuk ! 's also cast crew entrance Cadillac theatre ! close spot grass -- narrow sidewalk -- actually several block away front Holiday Inn river . do not believe free Internet access be allude literature , either -- be actually $ 24 hour ! room Allegro tiny could barely turn around .... bathroom well . hard get door close , bathroom , without contortionism . much equipment room malfunction , also , include boom box , tv , refrigerator ( mold ) . staff also provide promise dog bed , doggie gift pack , late check - out ( due Husband 's certification exam nearby ) , empty mini - bar . ask , .... guess .... long time thing happen . access restaurant guide major hassle , well .... will spare frustrating detail , include anger part Front Desk staff mention , middle temper tantrums , type information actually standard everywhere else ' ve stay . process alone take hour . the concierge almost never available , either , yet another frustration . guest meet Holiday Inn 's grassy strip dog say room much big nicer . we tell Manager duty never work hard get need meet .... except hotel rural China English speaker . it be Holiday Inn Merchandise Mart we next time . 
 Feb 14 2006 	 Great Theater Experience Allegro 	 sister - in - law go Chicago see ' Wicked ' , stay Allegro offer package include two orchestra level ticket sell show . love ! arrive Thursday , February 9th , leave 11th . to begin , convenient get O'Hare airport hotel . get Blue Line Clark / Lake little walk hotel . arrive front door , doorman help we bag direct we lobby , really sight see . beautiful , everything BIG ! window , sofas , decor , everything grand scale . love bright color . front desk staff extremely helpful polite , room time . the walk lobby room interesting wallpaper hallway . beautiful brown cream vertical stripe , be extremely sensitive motion sickness bring blinder ! get tickle we little dizzy walking past stripe ... room ( # 1505 ) pretty small , since not plan spend lot time room , not care . quickly freshen , head ask concierge make plan night . helpful , end point we deli lunch , get half price ticket see ' menopause : musical ' ( , way , true side - splitter ! ) . way HotTix buy play ticket , see actually close blue line , red line , , nice . play night , approach front desk ask good place eat pizza 10:00pm Thursday . desk clerk point we , coupon hand , Giordano 's Prudential Plaza walk snow storm get . well worth walk , though . Friday morning head spa appointment Spa Space . short walk hotel , treat like queen ( ) short time . Shawn ( Spa Space ) great . owe part fun ! go way get us appointment short notice . we eat dinner Friday night 312 Chicago , right hotel . food good , service ok . good Chicago , certainly bad . dinner , short walk Ford / oriental theater ' Wicked ' , FABULOUS ! overall , enjoy Allegro . room small , pipe little loud , service friendliness staff make little quirk . bed comfortable , care spend two day schleppe Chicago . would definitely stay . 
