worth 	 fly SF extend family gather San Fran wine country . stay hotels world expect clean well appoint room japanese hotel chain . lobby impressive really look everything chip , scratch dire need repair update . room show light color carpeting extensively stain , lamp shade dirty stain , furniture bang . ask room change explain hotel go renovation would move room complete renovation project . well , two room later gave decide go condition room . try UPSELL we checkin two three top floor ' Nikko ' floor $ 89+/night . not realize unless upgrade - would get stick ! ! ! ! 
 Oct 24 2007 	 expect great choice area 	 town Nike Women 's Marathon past weekend share room Nikko another runner . originally book Orchard Garden , interest save money decide share room friend instead . already book Nikko - proximity Union Square ( start line ) well price cheap . first appearance , hotel extremely nice . marble foyer , great valet staff , front desk extremely helpful kind , concierge . huge compliment staff . unfortunately , room compare . bed soft bedding nice comfortable . room little small , believe standard San Francisco , can not complain . separate tub shower nice , big complaint shower . shower door would stay closed . water pressure continue get weak weak showered . runner , appreciate awesome high pressure hot shower marathon . . . shame shower go light drizzle time ( every runner shower ? ) not stay hot . bad part mold mildew shower stall . attach picture not want reader think exaggerate . disappoint see cleaning staff not make enough effort prevent much growth . four star , $ 225 / night quality . much nice hotel area price . choose wisely go San Francisco opt stay near Union Square . hopefully Nikko clean room stay much well - rounded . shame room quality not match superb staff . 
 Oct 24 2007 	 clean need update 	 stay hotel Nike Women 's Marathon . front desk staff handle large crowd well common area well maintain . say , room need refresher - carpet room stain , dirty pull . separate shower / bath nice feature , aged well . far location , Starbucks lobby , budget handle , would suggest one nice hotel Square one several Kimpton boutique hotel area . 
 Oct 22 2007 	 Nice hotel clean friendly 	 Booked hotel web site Otel.com . Hotel Nikko rate 4 star , feel close , room need update . pay $ 150.00 night , book 7 month advance . check rate prior leave go $ 339 night Otel.com . Flew Columbus Ohio non stop Oakland . taxi ride fare Oakland Nikko , ( financial district ) $ 52 tip . around $ 55 come back . PUlled hotel greet bellhop , express hellos etcc .. nice appeal . go escalator next level check . massive open lobby , marble , white , massive area read , sit , people watch . check breeze polite , asian staff , always smile . arrive 3 pm , probably check do fast . offer king , yet ready , ready queen . take queen need get shower go dinner . the elevator plenty . 6 exact , wait never issue . room small side , bath / shower , marble , pinkish tile tub could use update . room plasma , 2 safe , mini bar , coffee station , raio / cd player , phone bath . mini bar triggeed charge weight , pick bottle Coke , put back , might well drink ( $ 4 ) . well stock . use $ 20 room beverage . bed soft , make nicely . many pillow etc ... air work fine heat need . thermostat 2 botton . 1 distrub , 1 making room . press choice , make small light turn outside room see maid service . nice touch , classy compare paper door hanger . shower / bath plenty hot high pressured water . order room service Sunday , ( kid ) 10 minute wife scrabmle egg , bacon , toast fruit coffee . Stayed Four season Maui August , room service not fast . wow ! hotel Sundays quartet play breasfast brunch . partake , catch flight , look classy . high end sushi hotel , never could find time enjoy . reservation highly suggest . gift shop , also starbuck inside hotel . however go twice line door .... , along other not want wait . directly across street small coffee shop , plenty roll , muffin . like small mom pop coffee place . 5 people line , , not want wait 30 minutesin line Starbucks . , valet always whistle cab problem . overall , nice hotel ... 4 star ? ? ? ? close cigar . 3.8 one could say . would sure stay , Ritz Four season , well worth cost . 
 Oct 17 2007 	 Great experience great staff 	 return 5 night Nikko get say fault location , service quality hotel . get good deal use Travelsupermarket upgrade arrival . room fab gym pool , although small , well keep . bar bit expensive cocktail excellent . leave important document safe manager go personally pickedx keep safe . fantastic ! 
 Oct 17 2007 	 Tranquil classy hotel great location 	 arrive hectic 4 day schedule fly UK , attend wedding LakeTahoe , arrive hotel Nikko bliss . upgrade room 2 queen size bed room large , extremely comfortable quiet . bed comfortable high quality mattress pillow . location superb , couple block Union Square . slight criticism breakfast hotel expensive service quiet polite . first class . 
 Oct 14 2007 	 lovely hotel great location 	 begin end stay Hotel Nikko wonderful . hotel staff friendly helpful location perfect . hotel lobby beautiful room massive ! stay 16th floor view city . spectacular still nice . television quite large particularly like powder room . room immaculate staff quick respond request . I like pay internet pool . $ 10 day internet extra $ 10 day pool / gym area . however pool area really nice . locate indoor heat . would recommend hotel anyone look stay San Francisco near Union Square . 
 Oct 12 2007 	 Excellent Hotel 	 return three night stay Nikko book Priceline . get fantastic rate bidding Priceline ( $ 95 ) check , say room would queen size bed type room give airline personnel stay . $ 40 extra ( per night ) , offer & quot ; Deluxe Queen , & quot ; room twice size queen room . option King Size room breakfast ( one ) free internet . offer $ 60 . take $ 40 upgrade , pleased . room 19th floor & quot ; city view , & quot ; afford we glimpse bay , fine . 2 queen size bed amazingly comfortable bathroom lovely separate glass shower . dress area outside bathroom hairdryer locate . daily newspaper deliver even paper lobby take ( USA Today , Wall Street Journal , San Francisco paper ) NY Times deliver door . other say hotel need refurbish definitely case room . lobby marble serene . starbuck attach hotel bonus cable car , shopping , dine close . thoroughly enjoy stay Nikko . 
 Oct 6 2007 	 Great Hotel Business Travelers 	 Hotel Nikko centrally - locate , comfortable , modern hotel gear business traveler . excellent option business traveler desire comfortable , spacious attractive accommodation strong business service . room Nikko spacious well - appoint . room decorate sleek grey blue accent , offer excellent internet access , spacious desk , large , flat - screen television set . room offer large dressing bath area , equip dressing room , countertop sink , excellent shower water closet . size dressing / bath area alone equivalent square footage room small San Francisco establishment . Book Nikko website enhance affordability . book three night short notice , early day . date initial checkin , force book directly hotel pay hefty $ 359 . follow two night , book travel site , rate $ 229 , well worth -- outstanding value . Dining Nikko pricey , cuisine excellent . hotel 's menu offer japanese cuisine western offering . choose sushi California white wine -- excellent . sushi afficionardo , try sushi -- warn price steep -- case , $ 18 7 generous flavorful piece . seek affordable option , ample excellent dining immediate neighborhood . Service Nikko efficient . capable , bit austere business center well - equip available hour one 's room key . clientele cosmopolitan , asian western guest . bottom line : excellent value business traveler , especially book website . 
 Sep 29 2007 	 Great Location Great Value 	 need escape work despite many trip US would never San Francisco , want stay somewhere comfortable central . find Nikko great value - ' ve stay many hotel much expensive claim 5 - star , could not match Nikko . 5 - star ? barely , be probably use rate 4 - Star Deluxe . not pay extra Nikko Floors , still room high great view Union Square bay . cable car block away , Union Square Westfield SF Center second beyond want close shopping . 's easy walk Chinatown , anywhere else . hotel 's offering aside location ? room comfortable , great bed , large flat - screen tv , comfy armchair large window . bathroom luxurious , prett good - ' m fussy . ' m surprised review mention tired worn bathroom - mine spotless . service always friendly , irritated long wait reception ( staff hand , one seem fluster overwhelmed pressure ) . concierge however competent helpful . not want pay pricey room - service hotel breakfast ? could eat day breakfast buffet restaurant ANZU , 's Starbucks street - level , building . hotel surround restaurant - diners expensive venue . Summary ? 's Four Seasons , be much well Marriott ... 
 Sep 22 2007 	 disappointing true 4 - star 	 ' ve stay lot hotel San Francisco , choose Nikko trip slightly ( greatly ) less expensive 4 - star area , photo make look comparable hotel ' ve stayed like ( Grand Hyatt , Hyatt SF , Westin , etc ) . find arrive hotel uneven inconsistent upkeep , maintenance standard . the lobby unmemorable feel like entrance office building . wall floor mostly cold/80 's look white marble brass , slightly random collection chair sofas . hallway room floor mixed bag - attractive new carpeting old , date flourescent lighting / wallpaper . booked & quot ; deluxe king & quot ; , apparently translate ( accord fire escape floor map ) one four small room floor . technically everything suppose ( king bed , desk , easy chair / ottoman ) , leave little room walk around . exapmple , drawer front bed , open , touch bed . look candid traveler photo , appear room category may slightly large , annoying ( believe room category comparable ) . remodel thing room nice , amazing bed rival & quot ; heavenly & quot ; style bed big chain , massive plasma tv . accent wall behind bed also look recently redone stylish , climate control system modern easy use . however , room half - renovate -- carpet clearly 20 year old , stain dirty , bathroom one sorriest / ugly one ' ve see 4 - star hotel long time . pink tile floor remind high school locker room - old , ugly grotty . fixture sink light old - school well . tub small , seperate shower advertised website ( guess mean say & quot ; & quot ; & quot ; & quot ; room ) . desk drawer pretty large , also pretty knicke scratch . also & quot ; desk chair & quot ; regular table chair , short stiff uncomfortable . light poor mostly date look . light desk , example , classic late 80 's banker 's style light not really illuminate actual desk . lampshade bedside lamp pretty knicke torn place . 's weird contrast new ( plasma , bed ) old ( carpet , bathroom , lighting ) . almost seem like start remodeling run money finish . side note : tv channel selection underwhelming - one premium channel ( HBO ) many regular one ( 15 ) . nice hdtv , would expect least one two hd channel , dice . all , property hold recently - renovate 4 - star Union Square area . get extensive remodel make consistently 4 - star appearance amenity , last resort be look price range . 
 Sep 19 2007 	 quiet comfortable great location . 	 great location view ( 16th floor ) , quiet . staff helpful courteous room clean update ; right street interested ride cable car . fan & quot ; Starbucks & quot ; be one connected lobby . con ? : long average check - in $ 10 fee use water facility . 
 Sep 17 2007 	 Lovely - concierge double charge theatre ticket -330 usd instead 160 	 Nikko Hotels belong japanese Airline ( JAL ) POSITIVE factslovely interesting hotel ( mix Japanese - international ) . japanese breakfast & amp ; restaurant excellent ! ! staff kind . central location heart SF , close Union Square Chinatown . room clean . nice view ( upgrade deluxe ) . sell convenient international phone card business center . stay 5 day enjoy stay . negative FACTSConcierge charge transparent . concierge double charge we fot theatre ticket ( 330 usd two ticket musical ' the Jarsey Boys ' , would cost 160 usd buy directly Curran Theatre , two block away hotel ) . ask explanation , say use brooker .. would recommend never use concierge reserve event tour stay Hotel Nikko San Francisco . any extra unreasonably expensive . regular double actually single room ( need upgrade deluxe room ) . Continental Breakfast two 50 - 60 usd . business center -to use computer laptop you- expensive ( pre - authorize 65 usd internet session ! ) . valet parking available 45 usd night ! convenient garage across street . 
 Sep 15 2007 	 stay Hotel Nikko 	 stay Hotel Nikko 3 night happy experience . stay hotel trip well , since area total 9 day ( 3 night wine country 2 night back SF ) . compare hotel stay , Hotel Nikko beat mile . bed comfortable love many pillow . room large , bathroom . water pressure shower really good . location awesome use public transportation , near lot shopping option . next time SF , stay Nikko . 
 Sep 12 2007 	 good well - run ' wow factor ' 	 really good hotel . meet standard one would expect central City hotel . really comfortable room . bathroom little shabby around door accept small effect age . I give three not get ' wow ' . nikko floor staff exceptional every time encountered - pick first night honeymoon check - in give we complimentary bottle sparkle wine - couple negative . pay $ 10 pool gym , discover 15 metre - long pool 3 - foot deep one end 5 - foot . pay swim not expect vary stroke avoid break foot bottom pool . breakast slightly disappointing , cook breakfast unnecessarily fatty scope improvement . I recommend stay trash establishment ilk , ' m maybe little harsh perhaps hope little . 
 Sep 7 2007 	 Fantastic Hotel ! 	 first trip San Francisco definately make memorable stay Nikko Hotel . ideally locate heart Union Square . within 2 block Powell Line Cable car large shopping district San Fran ! staff friendly helpful throughout entire stay . room comfortable . stay Nikko floor , give corner room one floor great view city . bed comfortable tv definately plus ! great restuarant close hotel , China town within 6 block walking distance Fisherman 's Wharf ( stand hill ) mile walking distance . summer , time , go Ferry Building ( 6 block Nikko Hotel ) hang Farmer 's Market Saturday 's Thursday 's . not bother get rental car , parking expensive across entire city . , take BART train airport Powell Street exit , purchase one cable car ticket station 1 3 day transportation pass . give access Metro bus , cable car line , Metro train antique cable line fisherman 's wharf . would stay Nikko Hotel location visit future . 
 Sep 5 2007 	 love 	 spend week 's vacation . great location , close major downtown site . staff helpful friendly - conceirge , bell staff front desk . housekeeping replace mal - function hair dryer within minute call . ANZU restaurant serve good food - bit pricey . definitely stay . 
 Sep 5 2007 	 Hotel comfortable 	 Stayed Nikko four night end August , review Nikko Floor room stay experience one floor could different . room clean ; find size room acceptable . bed comfortable although way many pillow cram closet way , small complaint really . bathroom nice size , phone next toilet find bit odd . plasma tv nice nothing watch , in - house movie selection poor could many good movie moment . end watch stuff bring laptop . right lead might able hook laptop tv right plug side sure would work , worth try next time . wireless internet work well find speed fine . one issue though forgot turn wireless connection computer shutting , effect laptop turn back . take hour go start option rather usual 30 - 60 second . view great , bad , overlook Hilton side street , ask well view next time . room service quick choice menu quite limited food room service good world . breakfast buffet excellent value , get coupon use book Nikko Floor room ( cost sure worked rate ) good choice food set nicely day . use mini - bar fridge store personal item milk whatever phone front desk first tell need space mini - bar charge take stuff . use ice ice bucket keep carton milk work fine , remember put new ice first thing morning evening . complaint : window open , hotel area , Hilton street stay . quality choice food via room service . wireless connection screw computer forgot turn connection turn laptop . would stay : yes , next month . 
 Sep 2 2007 	 fancy hotel 	 stay 4 night 3 - year old daughter Nikko SF please facility , service quality . the pool fitness center confortablen food ( japanese Nikko japanese hotel ) good staff nice . it fancy we -we appreciate simpli things- think will not go back , be personal taste : ) like 4 star , Nikko perfect . 
 Aug 27 2007 	 sad place . 	 arrive 7:30pm Monday . one offer help luggage trudge reception pull bag . one 2 room water soak , stain carpet , stain linen , lot mildew / mold bathroom look like see well day . get move well room , general , hotel overdue major TLC . even Nikko floor room stay , suppose large regular room , size typical Holiday Inn room anywhere . restaurant nice concierge nice helpful . general , staff pretty nice . overall , family 's reaction not horrible stay , return SF , will definitely try somewhere else . 
 Aug 26 2007 	 ` ` go '' Hotel SFO 	 great location near Market Street , Union Square & quot ; Theatre District . & quot ; good indoor swimming pool city short lap . in - and - out parking allow . room comfortable , tastefully decorate impeccably clean . get pay ! 
 Aug 24 2007 	 fee Fees Fees ! ! 	 ok , FYI ... charge many fee ... might well charge breathing . please note , aware ... charge $ 50 night use debit card pay time hotel ... please advise ... not budget ... really mess . basically incidental charge ... 
 Aug 23 2007 	 ok Hotel Price 	 4th time San Francisco stay Hiltons last two occasion . check quick easy corner room . look map room back door appear little small other floor ground window view good . room clean bed comfortable . bathroom start show age furnishing ( mainly thing like mirror ) overall room fine pay ( get good rate Expedia expect good room read review ) .We use leisure facility one go swimming . bit waist time swimming pool shallow end 2 foot deep hit knee bottom really pool swimmer . use concierge number occasion find restaurant find knowledgeable helpful . 
 Aug 22 2007 	 great conference 	 stay Hotel Nikko 3 day alone conference . book petite queen Hotels.com excellent price include transportation SFO air . Plasma tv , granite bathroom plush comfy bed need . starbuck inside building coffee Foleys Pub next door excellent food . eat Foleys twice walk two block Cheesecake Factory . sure lot homeless , downtown San Fran . food available inside hotel asian cuisine starbuck snack - but convenience store across street stock drink munchie . would take item minifridge could store snack . look soda vend machine could not find one - minifridge price outrageous . conference facility nice . not much sightseeing since alone , petite queen enough one two people . 
 Aug 21 2007 	 great stay 	 great stay 21st floor . fantastic view city bay . room really well decorate equip large plasma tv integrate music system . check friendly efficient . the hotel great location shopping sight seeing . the bar hotel lack warmth , worth visit even quick night cap . breakfast choice american Japanese . the charge pool ridiculous , downside stay 
 Aug 20 2007 	 Family Loved ! 	 stay seven night family vacation , wife imperial room 22nd floor partial view SoMa south SF , kid deluxe room 9th floor view building accross street . imperial room expensive roomy , one neat tv bathroom mirror , stereo sound system . also come complimentary lounge serve continental breakfast morning , wine cheese evening . also provide complimentary voucher breakfast buffet . time stay , hotel switch wireless internet , include room rate , $ 10 / night deluxe room . use in - door pool , hot tub exerise equipment regularly . also regular Starbucks inside hotel . enjoy modern japanese decor art . all type transportation right outside door , wife daughter may attest , number shopping opportunity Union Square Westfield Center mind boggle . all , great home base vacation . 
 Aug 19 2007 	 Spot ! 	 book hotel strictly review . honestly say dissatisfied . perfect location Union Square , shop many bus route , Powell street cable car , Bart station . many great resturant coffee house around . complaint bathroom three star four star hotel feel free internet access room ( WiFi instal leave ) . staff housekeep fabulous . 
 Aug 18 2007 	 Nikko place stay centrally San Francisco 	 spend four night Nikko San Francisco . hotel centrally locate bottom Mason Street , close Market Street , Powell Street ( BART ) Station , Powell Street cable car , shop Union Square . despite action seem height tourist season quiet hotel . the room 16th floor comfortable nice view towards Market Street . bathroom decor okay water pressure shower poor . room safe , reception staff helpful free safe deposit box . find staff efficient friendly . guest seem tourist Asia region business people . in summary , comfortable well present hotel great central location . 
 Aug 18 2007 	 fantastic . 	 Nikko brilliant . great staff front desk really helpful . its right near everything great . lovely view room . if ever manage get back San Fran . stay again . there big problem homeless people everyone else say since Nikko good loctaion bad all . bed great size really comfy . our tv huge plenty channel . bathroom clean toiletry really nice . really love hotel . 
 Aug 16 2007 	 nickel - and - dim death ! disappointing experience . 	 frequently travel bay area business Seattle . try hotel first time last minute trip usual option not available . usually stay nice B & amp ; b 's business type hotel ( Courtyards , Starpoints ) . will not stay again . my frustration hotel primarily like vacuum cleaner attach wallet soon check . company pay extra , hate & quot ; padded & quot ; time thing include room rate . would rather charge high rate need , use low one ( ~ $ 200 plus / night ) get soak later . fee ? extra $ 45 / day park ( okay , guess 's part downtown , still bit steep ) ; $ 10 / day use treadmill part gym , $ 10 day internet . $ 6 bottle water bed , $ 18 use extra bath product place room ( shampoo , lotion , etc ) . check , quickly shower go afternoon meeting ... one small bar soap small bottle shampoo , conditioner , lotion bath . use later night shower run ... barely anything leave morning . suppose could call housekeeping instead & quot ; buying & quot ; package $ 18 convenience , go . level hotel stock plenty bath product complimentary . feel like profit center rather guest . another big difficulty switch ethernet wifi stay . good internet access business . 1st day ethernet work great ... next day cancel wifi nearly worthless rest stay . switch ethernet wifi without buffer time switch . internet completely unavailable half day . room service would not offer anything outside limit menu despite nice japanese restaurant downstairs . ( try get plate sushi , could get roll ) room okay boring ... furniture bit beat carpet wear . plasma tv nice wire come dresser attach cd player look unfinished nice hotel . look like student 's dorm room . I usually like use minibar fridge store thing ( pop , fruit , milk ) one ... sensor base charge soon pick anythingon good side bed comfortable , plasma tv nice bathroom clean . in mind , multi - star hotel . 
 Aug 12 2007 	 Great Stay 	 could fault hotel location , efficient check quality comfort room . slight problem fact pay $ 10 day per adult use swimming pool ( child free ) . hotel centre San Francisco excellent value money would certainly stay return visit . 
 Jul 31 2007 	 Loved ! ! ! 	 stay hotel 4 day love . ask non - smoking , give we smoking room instead first night fully book . employee check we say would transfer we next day , would send & quot ; ozone machine & quot ; air freshener night . move we next day , promise . get luggage ready , bellhop move thing day . time get back , new room . room clean . great view city . size room substantial . beds immaculate & amp ; comfortable one ' ve ever sleep . knowledgeable helpful concierge . staff friendly , valet nice . great location . overall , would stay go back San Francisco . 
 Jul 22 2007 	 good location value 	 great location . good service . room small size adequate . not lot bar restaurant hundrede within easy walk . starbuck build . reasonable business service price . not charm small boutique hotel look commerical hotel perfect location good price , highly recommend property . 
 Jul 22 2007 	 Nice hotel great location 	 stay Hotel Nikko 4 night deluxe king room . first , say bed comfortable ever sleep ... maybe even comfortable Simmons Beauty Rest ! bed exactly show website comfy pillow . room clean would rate condition 4star . room air conditioning ( many old hotel ! ) . bathroom generally clean also . tell bathroom need upgrade soon bottom door scratch countertop little scuffed , etc . staff friendly hospitable . greet hotel staff sight . location , great ! close enough Union Square slightly away crowd . 's convenient location walgreen around corner . love japanese food , hop muni bus # 38 block hotel take straight Japan Center ( Post Geary ) Japantown back . Japan Center basically collection Japanese Restaurants one shopping center . many choice . overall , enjoy stay would go back hotel . 
 Jul 17 2007 	 NIce Hotel Service need Polishing 	 offer upgrade Nikko Floor check - in ( $ 60 / night offer large room view , breakfast two free internet ) . take offer . the hotel location nearly perfect , close Union Sq , yet quiet side street . Union Sq . much improve last year IMHO great palce tourist stay . the room ( 2103 ) large nicely furnish understated , elegant vaguely japanese manner . view spectacular . kind size bed comfortable . bath seperate shower bathtub gigantic . flat screen tv stereo nice touch . unfortunately in - room safe break nobody able repair . cd player stereo not work properly radio reception terrible . view make ! one day maid not put enough towel . neither call housekeeping around noon Guest Services around 6:00 p.m. result towel . the breakfast not worth . usual spread , cold egg , option order anything kitchen . breakfast staff not terribly efficient refill coffee etc . much well option around Union Square . as free internet , many free public WiFi site around Union Square could receive room not really need hotel 's offering . 
 Jul 11 2007 	 great location great stay overall ! 	 boyfriend stay Nikko July 4 - July 8 . price Expedia well deal hotel 's website directly offer call Nikko match . upon arrive check immediately help friendly staff . line take minute . our room 1523 yes room kind small never room not matter . bed comfortable flat screen tv add bonus . not spectacular view hotel room not reason decide come San Fran . bathroom old side serve 's purpose fine . issue ever not clean room one day . even call twice day ask come clean arrive back room 11 pm still not clean . , problem . the location absolutely perfect . easy get cable car shopping . Taxis always line street Nikko Hilton . drink farley across Starbucks First Crush OFarrell Cyril . dark romantic nice service . sit bar see couple get engage behind we . never make Anzu although hear great . starbuck every morning always line go fast . check easy b / c problem bill could check tv . overall , great stay ! 
 Jul 8 2007 	 center small 	 friend stay Hotel Nikko 5 days/4 night . locate Union Square main shopping district San Francisco . also near numerous bus line , especially F line , run Market Street Embarcadero . the room hotel spotless . come hair dryer , iron , mini refrigerator . concierge helpful guide we go . one suggestion though -- book Napa & amp ; Sonoma tour guideyou.com hotel not make commission . will save $ 6.the bad thing say room small . petite queen . thought could upgrade 2 double bed , want charge we additional $ 20 / night . suffer . pay $ 105 / night worth money opinion . 
 Jul 6 2007 	 pay use pool ? ! ? ! ? ! 	 hotel seem like big rip . pay $ 10 per person use pool fitness room . pay man , disappointed . pool tiny ! ! ! jacuzzi dirty . equipment cluster together point could rub elbow person treadmill next . likely person would unsupervised soak wet , barefoot kid . ' ve get nothing wrong barefoot kid . fact like , expect $ 10 provide least much entertainment good movie .... 10 bottle Coca Cola . Nikko , definitely underwhelme . our room nice , comfortable bed sheet , great view city , member family less lucky . one room small , could not watch ( GIGANTIC ) tv . close blurry . Breakfast Anzu restaurant acceptable . option japanese breakfast appeal interesting . egg , however , runny . nikko great location , be surround many hotel , offer competitive price ... not charge pool . recommend Hilton , St Francis , Sir Francis Drake , exceptional hotel neighborhood . 
 Jul 4 2007 	 Excellent Hotel Experience 	 stay hotel June 29 July 4 get holiday special rate 170 / per night Nikko Floor Room . think deluxe room definitely go Nikko Floor instead . 30 - 40 dollar extra night get guarantee room 20th 21st floor , slightly large room , nightly turndown service , free voucher buffet breakfast every morning Anzu . consider buffet breakfast normally 20 dollar per person , 2 people party make extra money spend right . buffet breakfast quite good , get free . usual continental stuff ( bagel , pastry , cereal , fruit ) sausage , bacon , french toast , egg , potato selection japanese item . room Nikko Floor nice two comfortable bed ( either two queen two king , I m really sure ) large plasma screen tv ( hd reception ) large window nice view . bathroom standalone shower large soak tub . mold standalone shower , nothing could not live . employee polite make stay even enjoyable . overall Nikko nice definitely stay . 
 Jul 3 2007 	 great stay 	 accommodation staff hotel outstanding . arrive early place luggage check area room available afternoon . upon return , luggage deliver room . decor furnishing appeal bed extremely comfortable . large LCD tv wall bathroom quite large tub separate shower . hard find something criticize establishment . 
 Jun 23 2007 	 First visit/ Hotel Nikko 	 Nice hotel 2 block Union Square . 1 block Powell line cable car . ( get Muni pass ; $ 18 3 - day pass vs $ 5.00 one - way trip without . ) 's Starbucks lobby great asian style restaurant , Anzu , expensive . concierge awesome helpful . hilda life saver reservation hard get restaurant tour fly . room nicely appoint small . double large ` king room . plasma tv , great ventilation ( foggy mirror bathroom ) mildew problem tub area 2 room rent . overall clean however . linen , top line plush , comfortable bed great pillow . safe refrigerator room , though . room quiet . charge $ 10 / day health club pool unless stay club level . ( Club Nikko ) . hotel SF , park $ 40 / day . high $ 60 / day . leave car home . hard get around park . use public trans pass . you will thank later ! overall , love city , hate huge homeless problem . put stain whole feel city can not understand taxpayer not press issue . little visible police presence even tourist area . shameful . fun , night tour Alcatraz . well worth extra . dress warm , cold . Skip Pier 39 except sea lion . visit Ferry Building . nice shop good food . try Red Door . take ferry Saulsalito hour lunch . will want buy home ! prepare , & quot ; fixer upper & quot ; set back 2 - 3 million ! gorgeous place ! 's sunny awesome view San Francisco . pry wife 's finger dock rail get go back hotel ! want stay ! can not go SF visit Muir Woods day Sonoma Napa . awesome fun . nice , small , friendly winery . 're & quot ; big red & quot ; fan try Viansa Winery Sonoma . offshoot Sebastianis taste good big red ever ! could not drink ( carry ) enough ! Muir Woods redwood . surreal , quiet majestic . one even talk . peaceful ride super . love nature , not see anything like . Deer wander snap picture brook . remember dress warm . June temp 50 's morning foggy alot time . will great food . small , restaurant fresh ingredient . thing organic will pay price . SF one expensive place ever visit outside Hawaii London . 
 Jun 22 2007 	 Nice HotelGood Value 	 stay Hotel Nikko SF May31 - June 3 2007 go San fran friend 's wedding . we choose hotel great value offer . unlike previous reviewer complaint bathroom overall cleanliness room , room 6th floor keep clean time . the bed comfortable plenty pillow like plasma TV.We problem plumb tub one point soon notify frontdesk , fix right away . our room include use pool fitness area want take 30min . swim pool ask front desk would waive & amp ; 10 fee , oblige . room service menu late night limit freshly prepare 24hr indian food rest . across street pretty good ' ve hear . if go San Fran , would likely stay Nikko again . if plan rent car , rent enterprise locate hotel expensive , go National / Alamo across street , will get well value 
 Jun 21 2007 	 please run 	 ruin night City LoveMy girl freind want treat stay City . have live freguent visitor suggest Ritz Carlton , stay 2 - 3 time year . previous stay positive experinece Hotel . , much dismay , joke Hotel want decribe self Star Hotel . Booked Executive Level room , great view , find move anther room rent out . move anohter mechaincal Problems . say Hallways 10 degeree cool room even termostat set 60 degree . leave short , Hotel offer we discount return stay.when drink spoil milk go back 2nd Drink . Dont Waste Money , SF wonderful many great Restaurants Hotels one . 
 Jun 15 2007 	 Nikko great 	 boyfriend stay Hotel Nikko first trip San Francisco . seriouly research number hotel internet phone question . Nikko seem like good value location , size room , trendiness price . location good . close Union Square , public transport , restaurant shop . entrance , lobby , front desk appear nice , clean modern . room different story . size room bad , consider hotel room San Francisco seem small side . think Delux Queen room . bathroom small , fit really one person . big complaint bathroom pretty grungy . previous reviewer mention , use white tile grout bathroom floor sink , dirty dingy dark grey . make want walk barefoot bathroom . could still see original white corner . ask extra bathmat put walk barefoot bathroom . tub also dingy . carpet give creep . also , day housekeeping staff & quot ; clean & quot ; bathroom , stray hair leave behind white sink tub . clearly boyfriend , wrong color . super picky , clean bathroom something would expect 4 - star hotel . could live perfect bathroom motel , least would know getting pay . rub wrong way want guest pay extra toiletry leave bathroom . pay use pool workout facility , kind cheap . great anyway . our bed large comfortable . reviewer mention could get internet room work . experience . complimentary in - room internet access one reason choose hotel , boyfriend could get work company laptop , never problem anywhere else . front desk person connect help . never get work . upon checkout , attempt charge we $ 40 mini - bar item , not touch thing . take charge without protest , another customer check time us complaint . overall , expensive got . room go grubby anyway , might well pay Best western . stay . view room W Hotel one night dinner , would rather pay little bit next time stay , get money 's worth . 
 Jun 12 2007 	 comfortable bed ever ! 	 deal travel agent value money be not issue we . view room amazing , bed absolute heaven ridicolous amount cushion would never use still happy anyway . the cleaning room do everyday impeccable . hotel pool ok , gym equipment abit wear . the downside could pick reception desk , usually wait half hour min anytime . 
 Jun 8 2007 	 perfect location 	 check breeze . 3 people front desk fast easy . our room clean , simple bright . would want complimentary internet access though . we personally enjoy flat screen tv.very close union square , shopping ? ! concierge , valet bellhop friendly helpful . check fast . 
 Jun 5 2007 	 average hotel 	 bf suggest hotel , pleased arrive . mom come visit day arrive . room upgrade , complain front desk shower mold , chip tile , gross . upgrade room , bathroom still problem . bf come conclusion pick hotel . would stay , although get pay . 
 Jun 4 2007 	 worth money 	 photo website , really expect wonderful experience , hotel lot problem need resolve . first room tiny ! mean really tiny . $ 179 night expect room would large walk closet . second , charge everything . boyfriend go fitness room soak hot tub tell pay $ 10 per day use facilite ! shocked . third , late want order food , offer food 10PM ! list menu title & quot ; Late Night Menu & quot ; follow choice 1 . basket popcorn 2 . Assorted Dorritos side Salsa ! see , begin wonder place really deserve 's 4 star rating . never go never recommend anyone . suppose charming weekend San Francisco , turn well Travel Lodge . even Travel Lodge not charge $ 10 use pool ! 
 Jun 2 2007 	 Excellent Hotel Location 	 wife stay hotel first visit San Francisco . mid 20 hotel excellent price . room little small , extremely comfortable bed flat screen tv make lose , typically unused floor space . room immaculate , service exceptional , concierge helpful . 
 may 31 2007 	 Love Nikko 	 second stay Nikko say stay many hotel year lovely city , would rather stay Nikko . room immaculate , staff helpful non - obtrusive , bed like sleep cloud , decor zen - inspire luxury . want clean , quiet , hotel great location , will not go wrong Nikko . 
