know 	 well , hotel real pleasant surprise ... make reservation caution ... seek great value watch budget two day NYC Holiday experience . usually stay Omni Bershire Michaelangelo , rate still steep recession . park hotel 's official lot instruct ( self park ) one block hotel . hotel 's entrance say .... artsey unique little signage . lobby small adorable decor steep music . staff accomodate help we get early , matinee ticket Wicked . room turn entire one bedroom NY City apartment spectacular view 6th Avenue 57th Street . & quot ; suite & quot ; hugh high ceiling crown molding , closet large NYC hotel room fully appoint kitchen . suite clean immediately feel home . know performer Carnegie Hall love hotel . oh yes ... Carnegie Deli deliver suite . the hotel entire bank washer dryer guest get ... soda machine cost 85 cent ! ! ! ! property well locate one wonder folk across street live multi million dollar condo not sell move Buckingham . explore area city direction find former Coliseum Columbus Circle treasure . check huge sculpture & quot ; Somebody & quot ; lobby , can not stop laugh . 's fun watch reaction shopper first gaze upon formidable male sculpture . back hotel ... Director Front Office , Sandra Arias GEM ... simply leave hotel unsatisfied let know need help . 's live like NYC millionaire recession budget get ... can not miss stay . 
 Great Location not mind sleep Noise 	 love NYC . many time . keep simple . close $ 300 / night , would expect able sleep . oh ! ! sleep pullout couch son , wife daughter bedroom . turn , put we 4th floor , face 6th ave . take word , busy avenue . window latch quite right , regardless , need double pane window . beyond loud 24/7 . room sauna , heat shut open window increase noise level . bed spring basically cushion / padding . Marvin , lovely gentleman helped bag bright spot . location great long 17th floor face nothing resemble activity . sad turn way first time take family together NYC . 
 Jul 24 2007 	 great location spacious 	 find Buckingham Hotel provide pleasant base explore NYC . attempt accentuate tie early twentieth - century musician , part adornment lobby , interesting , frankly low point hotel due small size sometimes enthusiastic , sometimes lethargic front desk staff . on - time check late check seem hit miss several guest , include . amentie , though , make great choice , especially familie old child . suit quite large full bedroom living room complete sleeper sofa , desk full dining table . kitchenette small , functional equip necessary appliance , i.e , microwave , coffee maker , toaster , etc . bathroom tiny , everything work well , include fabulous water pressure endless hot water heater real departure & quot ; green & quot ; fixture home . yes , hotel old ; however , great care appear take upkeep . suite , parquet floor brightly wax good repair wall crown moulding freshly paint . linen clean properly present . Maid service unobtrusive excellent quality . beyond regularservice , clean dish leave plenty toiletry newspaper day . the location fabulous . hotel literally block south entrance Central Park . try meandering park get Metroplitan Museum . make great walk . hotel also within easy walk distance Lincoln Center , FAO Schwartz , shopping Theatre District . also two subway stop within block hotel carry block Theatre District Battery Park Statue Liberty Ferry even non - stop ride Coney Island . ( would recommend Coney Island become thing past . neighborhood bit edgy around hotel , be like step back time , teenager love . ) kid : dreadfully cheesy place call Jekyll Hyde Club adjacent hotel 6th Ave . campy touristy , could make good departure kid subject overdose museum , opera fine art . animatronic ghoul , werewolf ancient dietie interact patron main attraction , food decent . 
 Jul 20 2007 	 Weekend Birthday Celebration 	 Location , Location , Location . Central Park write around corner . , take 20 minute carriage ride $ 40 . walk theater district pay $ 5 8 minute cab ride . hotel street ( r , N & amp ; Q ) line take straight Battery Park catch ferry see Statue Liberty . choose drive N.Y. , self park garage run $ 35 / day car $ 50 / day SVU . hotel room course not match one picture hotel website room surprisingly spacious clean little necessity like working kitchen , CD / Radio , DVD / VCR player two T.Vs . staff nice . must warn sleep sofa bed . believe contain springs mattress . would stay hotel , mainly location price . 
 Jul 12 2007 	 great hotel - convenient ! 	 hear special sale June TravelZoo $ 219 night Deluxe 1 br . book directly Hotel 's site . room , bed , sofa - bed little tired out - of - date clean . service provide daily . location can not beat kid . stay 16f . weekend rate slightly high - $ 239- $ 259 . internet pretty high - $ 12.00 day device . however , business lounge 2nd floor provide free wireless ( albeit slow ) almost across street Carnegie HallGrocery store - 1 block west past 7th . Whole Foods basement TimeWarner building Columbia Circle . great place stock get pre - cooked meal . Great mac - n - cheese kid . Duane Reed - one across street , 2 7thstarbuck - across streetDry Cleaning / Laundry Service ( charge pound ) - 2 behind hotel 58th . much cheap hotel 's service . Deli - Green Cafe - get cheese slice soda $ 5.00subway - stop 6th 57th take mid - town.2 block take Columbia Circle catch 1,2,3 downtown . mom / Dads - Central Park - Hecksher playground 3 block away ( walk distance ) . absolutely wonderful play area toddler kid . [ -- ] 
 Jun 26 2007 	 Location Clean Friendly Spacious 	 take wife Buckingham part surprise anniversary weekend NYC . location perfect could walk Central Park later Theater District . suite spacious , full fridge kitchen , though spend little time room ! good shower ' ve year - water pressure like stand waterfall . staff friendly , place clean well decorate , within sight subway stop . book package flight , hotel $ 220 one night . stay Buckingham future trip NYC . 
 Jun 9 2007 	 great experience great value 	 's rare find good hotel deal NYC , Buckingham . comfortable hospitable stylish enough fun without & quot ; top . & quot ; 
 Jun 5 2007 	 NYC weekend 	 really one nice hotel stay -- quaint appearance enormous personality ... staff amenitiesplenty BIG towel hot water Bathroom . atmosphere great -- staff wonderful -- helpful.2 block Central Park -- would come back FANTASTIC LOVED . 
 May 4 2007 	 Gem City good 	 well say would back Buckingham Hotel . stay great time , able get great deal Orbitz one bedroom suite . room spacious remember time company , wife son join I . the staff great helpful , joke around son make feel special everytime come lobby , love play light floor . Candise Gerald desk great help , King bellman help we get taxi dinner . the Room clean enough space family feel cramppe . call first night extra bedding sofa sleeper , staff quick bring we . I know say , say , back . thank Buckingham Hotel great time . 
 Apr 24 2007 	 great location great value 	 wife stay Buckingham Hotel 5 night mid - April 2007 . book via hotel website , get rate $ 219 ( plus taxis ) standard room . well - equip ( video player , CD , kitchnettett , safe ) . stay 15th floor , room face 57th Street bit noisy , 4 garbage truck , 24/7 police siren , sensitive , might want choose room face back . otherwise hotel flawless : desk downstair , amenity , cleaning , bed , everything perfect ( pretty fuzzy ) . free wireless comfortable business center ( charge $ 12 want room ) . Faboulus value location standard . highly recommend . nice breakfast deli next door . 
 Apr 23 2007 	 excellent value 	 family four , include two young child , decide spend week New York , land Buckingham Hotel five day April 2007 . book reservation hotel 's website , convinced find great deal : spacious suite convenient location less have historically pay well - know place , occupy people suitcase , seem offer cramp room - turn - obstacle - course . disappointed . admit , however , initially take aback , day arrive , confirm reservation phone . person speak quite rude , insist confirmation number -- one have give , email prove -- incorrect . ' m pleased report , though , actual stay every employee encounter pleasant helpful . first impression , suite look bit date dingy . pass day , feel comfortable . due small part excellent housekeeping staff . morning , cleaned vacuum thoroughly , leave ample supply , include linen , shampoo / conditioner , soap , dishwashe liquid paper towel kitchenette . hotel seem occupy healthy mix business traveler , family , people assume professional musician . pleasantly surprise unexpected amenity -- include free wireless internet access lobby nicely appoint second floor lounge , more - than - adequate fitness center sauna . course excellent location , close Central Park , Times Square / theatre , Fifth Avenue shopping -- not disappoint . drawback : pull - out sofa mattress uncomfortable good , kitchen cabinet contain plate / bowl , cup , etc . , parquet floor joltingly slippery . positive -- generous space , numerous closet , divide room , kitchen appliance , world - class & quot ; elevator music & quot ; in - room cd player ( 2 tv ) -- far outweigh negative . wholeheartedly recommend Buckingham , especially value - minded family appreciate extra elbow room . definitely return . 
 Apr 2 2007 	 great buck 	 stay hotel 2 daughter spring break 3/28 - 3/30 2007 . pleasantly suprise room , see stay hotel new york price ( pay $ 200 per night promotion travel zoo ) hotel good deal . agree review date hotel close subway central park nice little walk theatre district . thing deep clean area rug room , little dingy looking beside , room clean . overall great hotel would highly recommend . fact decide whenever come new york , definately stay Buckingham . 
 Mar 25 2007 	 love Buckingham ! 	 stay @ Buckingham 2 night 11 day cruise NY . 9 year old daughter come flu day arrive check we @ noon follow day report pier 4:30 departure aboard NCL . Buckingham give we 3:00 check daughter could lie ship Extra charge ! a+a+a+ superb location abundance room family 4 . 
 Feb 23 2007 	 ideal weeklong stay 	 husband reserve one bedroom deluxe suite . request high floor optimal view . artist , sketch see hotel window . first room send 7E ; tell high room available . look 6th Ave . wall adjoining building : ( . 7E dingy , cold , anywhere nice hotel 's website picture . without delay -- know would happy 7E 8 night , call front desk see alternative . man , rather woman initially check we , answer . hear request nice room , without pause , tell 16 G available . 16 g spectacular ! right corner 6th W57th fabulous cityscape , long view many window : ) . much large 7E ( would charge price ) , look nice website photo , serve need perfectly . since eat one meal ( usually midday ) staying week , stock ample , apartment size kitchen breakfast food evening snack . even use oven heat Andre 's Bakery cabbage strudel . problem heat one Janauary 's colder week . livingroom / diningroom great come back unwind make plan next day 's excursion . bed comfortable . bathroom adequate ( great water pressure always hot ) . great closet space . housekeeping superlitive . bad not wireless ethernet room . choose pay extra hookup room , go lounge second floor free wireless ethernet connection . location can not beat : walk , take subway immediatley catch cab . Buckingham set high standard want NYC stay . $ 239 / night 16 g , find excellent value . 
 Feb 14 2007 	 Best Valentines Gift ever 	 past Sunday stay Buckingham Hotel part valentine Day Gift girlfriend . hotel great , staff helpful , location great , walk Moma shopping 5th Ave . could walk 2 block central park freezing . stay Martinelli Penthouse , opinion one good NYC . also see regular suite , like cool NYC apartment week . highly recommend hotel . 
 Dec 15 2006 	 Location location locaiton 	 hotel great base location . can not beat 2 block Central Park , walk distance subway , Times Square , Rockefeller Center , Carnegie Hall , etc . staff hotel pleasant , however room 4th floor noisy right bus stop . one night sheet bed rip , , room clean . agree previous customer bathroom date , however , shower pressure great , complaint ! area hotel great , be look place crash long day sightseeing , . 
 Dec 13 2006 	 bad not expect lot 	 stay one night December . bottom line : accomodation date , clean comfortable . hotel nexxt amenity , location excellent . the room decorate various shade brown , like kind thing . old bathroom fitting ( shower control could probably fetch good sum antique market ! ) everything clean . tv cable , cd player VCR . internet sevice come device rent send data electrical outlet - work perfectly well . no restaurant , room service , great restaaurant 7th Avenue beyond . hotel tradition host musician , Carnegie Hotel almost opposite , pipe opera music hallway night ! never much like opera , really can not stand ! 
 Nov 1 2006 	 well Located Hotel Theater District 	 New York hard town find decent , clean , reasonably price hotel . Buckingham Hotel definitely fit criterion , be hard recommend wholeheartedly little care attention could really much more . maybe lobby create impression . 's hip , lighting floor , designer furniture warm , deep red wall . get room ( & quot ; suites & quot ; be call ) feel cut edge design totally dissipate . man , room need coat paint ! significant floor covering . stark white wall wood parquet add depress dingy feeling . would easy , really expensive , remedy this . that say , hotel fine need : great location near theater restaurant mid town ; clean ; kitchenette bathroom ensuite ; comfortable bed ; work tv CD player . would not pay anymore $ 200 . 
 Sep 24 2006 	 Great Families 	 stay Buckingham Labor Day weekend 2006 . 4 party : husband , , kid age 7 10 . room actually good - sized apartment . one large one corner . huge room king size bed living room queen pull bed . kid love space . ton closet space . bathroom bite small date , problem -- everything work fine . full kitchen equipment need cooking meal . subway stop block Carnegie Hall -- convenient Times Square , museum , shopping , Central Park , etc . want space normal New York hotel room roughly price , give place try . 
 Jul 21 2006 	 excellent location price ! 	 stay Buckingham May 19 - 22 , 2006 . come across hotel look suite net . location great ( midtown - west ) , half block Central Park . hotel room seperate bedroom pull couch . room clean , nicely furnish include cable , cd player , AC kitchen . $ 10 cab ride low Manhattan subway station around corner . also great restaurant within step well convenience / drug store across street . the staff friendly approachable . all - amazing price suite give location city . would highly recommend . 
 Jun 27 2006 	 Great experience 	 stay 1 - bedroom deluxe suite June 12 - 17th terrific experience . room huge NYC , stay quite midtown hotel year . clean , complaint whatsoever . location excellent , right subway line generally walk everywhere anyways could always get cab right front hotel . would stay without question . 
 Jun 23 2006 	 great time Buckingham ! 	 boyfriend stay Buckingham April 3 - 7 ( 4nt ) , stay Executive King Suite ( w/850 sqft ... superb New York hotel , city matter ) . get seasonal rate $ 279 / not well worth . get suite 8th floor face Duane Reade 57th St , bright spacious throughout . nice little kitchenette w / silverware ; dining area w / table chair , large living room entertainment center include cd & amp ; dvd player next writing desk . private bedroom could not well -- two closet , one house in - room safe , large king - sized bed extra sheet inside one closet . skeptical first review would read check hotel even bring sheet , arrive hotel fear put rest , hotel wonderful . few con : be use street noise , come prepared -- 's New York City -- be go hear honk car horn , emergency vehicle siren , name ... use live NY already know store . bathroom small enough space manuever . really trouble one thing -- heat . visit unusually cold week April ( snow Wednesday ) , heater blow cold air time . the hotel staff courteous professional ; knowledgeable area . the location great -- be across street Carnegie Hall , two block Central Park , within walk distance Radio City Music Hall , Times Square sparkly bright light area . mention easy access subway . all , could not ask well hotel , would gladly stay . 
 Jun 12 2006 	 terrific bargain - almost like home 	 stay regularly Buckingham NYC , find delightful . build residence hotel , room fairly large closet huge . downside small bathroom . staff extremely friendly , feel like be come home return end day . occasional problem ( noisy airconditioner , leaky faucet ) fix quickly notify desk . think hotel one New York City 's great secret . 
 May 9 2006 	 Primo Location Lots Space ! ! ! 	 girlfriend stay Buckingham Hotel April 27 - May 1 , 2006 . decide guard yet optimistic base review read hotel . say pleasantly surprised hotel staff . the front desk staff nothing helpful moment arrive check - out . anticipate need schlep bag room without concierge service . wrong . staff willing answer question transportation direction regard subway system . even arrange private car take we airport . now agree reviewer room , one bedroom deluxe suite , resemble room show website . however , room clean , comfortable large room comparable price NYC . kitchen fully equip stove , microwave , refrigerator utensil . coffee maker leave lot desire though . ' little four cup model woefully slow make weak coffee . coffee free charge restock every day say . thankfully , ' starbuck every block surround hotel . major street repair go throughout city unfortunately , right front hotel . see repair make night , difficult get good night ' sleep stay . even construction noise cease , street traffic hard get use . need sleep vacation right ? ! primary reason return hotel future location . ' perfectly situate many attraction midtown Manhattan . able walk Rockefeller Plaza , Central Park , Times Square , many luxury shop W. 57th . wide variety subway line available across street hotel well . thoroughly enjoy stay Buckingham would recommend hotel anyone . 
 Apr 22 2006 	 mixed Bag 	 decide give hotel try base Trip Advisor review . mixed bag , good , bad . first good : get room $ 209 mid - town , shocking . room large . studio suite big , least 400 square foot . small , fully appoint kitchen microwave , several electric burner , toaster , coffee maker refrigerator . staff overall friendly housekeeping great job . location ' beat . overall layout room ok , nice sit area couch television , vcr , cd sound system . the bad : alarm clock , bedside clock , clock dimly light cd player . mirror entire room bathroom sink . ' need stare day wan ' make sure look somewhat presentable . bed uncomfortable . sheet scratchy , eek , bedspread look like ' wash month , along one brown crusty look blanket . give two pillow . think bedspread outlaw , yuck , germ breeding ground . the television sit area ' swivel ' watch bed , must sit directly front couch . I e - mail call pre - concierge service ask water , sodas refrigerator arrive . check ask room back hotel , clerk say problem , also book non - smoking room . room go , face street reek smoke nothing refrigerator . call front desk say ' sorry , let see else call back , say , thank , ' want stink like smoke way down . mistake happen realize . fifteen minute later give room fifth floor back build next elevator ! luckily pretty quiet sleeping pill , dinge still wake . fly LA ' want go whole process . tell sell weekend . call front desk pre - arrival concierge request , record tell Duane Read across street . fine , ' advertise something obviously ' do . suppose get NY Times every morning front desk tell , morning , New York Times , call ask . carry NY Times , newsstand across street . elevator require key card access 6 pm great , peephole door , much security . I call front desk ask direction somewhere ' hear , go day ask give we new phone . next morning call request NY Times suppose say fine , knock door 5 minute later bellman say ' hear want know want . phone fix two day later , three request . the hallway reek smoke , ' sensitive type thing husband plug up . so sum stay , great location , ok room great price . book stay June ' going cancel go stay Le Parker Meridien across street comfortable bed bedspread attentive staff . I would recommend hotel someone budget conscious might stay city 5 day kid willing realize going get exactly pay , ' lot . ' pay anything $ 250 room . 
 Apr 3 2006 	 Buckingham great choice 	 spend three week NYC end March business . Buckingham perfect -- fancy , doorman , valet whisk rental car garage two block away , still lovely . would book studio suite , upgrade one - room , feel guilty space ( colleague stay have assume upscale hotel two , Shoreham -- said not bother stay , room miniscule ) . bed fine , room warm , bathroom & amp ; kitchen perfectly adequate . wish have wireless available room ( be free guest 2nd floor lounge ) . also love location , enjoy breakfast Mangia 57th toward 5th . plenty food store nearby pick provision , prefer . bring cd , 's player disposal ! 
 Apr 1 2006 	 anyone like hotel ? 	 family stay Buckingham Hotel think dark dirty dump . suprise place get good review . stay deluxe suite , yes large , dirty extremely noisy . room hot could't control temperature make cool . bathroom tiny reach sink turn shower faucet . shower hot cold faucet incorrectly label son nearly scald . refrigerator door bang corner stove everytime open . book room least month advance call confirm day come . mention deafen drilling noise permeate elevater , gym business center fade low din back bedroom suite . apology construction way . staff defensive actaully tell we worse usual NYC noise . drilling start 7 am last almost 5 pm day though tell would end 2:30 pm . last day route another doorway & quot ; rejuvinating & quot ; marble floor lobby . entrance block tape say & quot ; Danger , enter ' beleive , will not enter ever . 
 Mar 31 2006 	 LOVED Buckingham Hotel 57th Street NYC NY 	 hotel GREAT ! love ! ! perfect location , great room , great dressing room , large bathroom , large living room , bar , & quot ; kitchen table & quot ; , dish , refrigerator , microwave , wet - bar , coffee machine , etc . perfect we ! well appoint room beat location ? ? 2 block Central Park , run , walk , play , within 1 block several different subway line , good walk MET MOMA Frick ( hightly recommend ) . drug store across street misc . stuff , cute , great little cafe next door ( Green Cafe - something like ) breakfast late night snack amazing restuarant within stone - throw - ie . Normas Parker Le Meridian . stay Buckingham next time son we ! 
 Mar 6 2006 	 new favorite hotel NYC ! ! ! 	 live NYC many year , visit numerous time stay several upscale hotel . Buckingham favorite .. size room , include large living room , large bedroom entertainment system wet bar small refrigerator welcome relief hour walk , tour etc .. location could not well art ( Carnegie , Lincoln Center ) outdoor enthusiast ( runner , etc ) Central Park 2 block away . next visit .. Buckingham ! ! 
 Mar 5 2006 	 New Gem NYC 	 Buckingham Hotel ( 57thSt./6thAve ) new favorite midtown . large suites beautiful pleny sun view midtown . staff helpful , friendly , knowledgable . block two Central Park , Carnegie Hall , Lincoln Center , east side , west side , 5th Avenue shopping . parking garage block away . also dog - friendly ! ! stay St. Regis ( far beat path ) Essex House ( small , worn room ) , discover Buckingham ! 
 Feb 26 2006 	 Valentine 's Buckingham 	 ok , could not afford $ 150 K Valentine 's special , still great time . room spacious anything expect Manhattan , service courteous efficient , hotel middle everything . even snobby friend happy , price hotel charge time , spend big $ $ dinner nearby BLT Steak seem bargain . 
 Jan 17 2006 	 look elsewhere 	 hotel dump . bed extremely thin , especially sofa bed . slept width wise becaise length wise impossible . overall room quite dirty , especially bathroom . desk manager , staff member completely clueless . location good , otherwise , hotel waste . 
 Jan 16 2006 	 Great Location Value ; clean Spacious Suite 	 Thanksgiving 2005 third Thanksgiving row spend week Buckingham . plan go back 2006 . suite clean , spacious , provide great value anyone stay night two . location simply could well , great access theater district , MOMA , Central Park , Lincoln Center , Fifth Avenue shopping . room , particularly bathroom , bit idiosyncratic ( e.g. , one room showerhead mount side wall tub rather end ) , find idiosyncrasy charming annoying . partly residential hotel restaurant limit service , many good place eat within one block . want spend time hotel bar ( limited interest we ) , Parker Meridien Hotel directly across 57th Street front door . 
 Nov 19 2005 	 perfect Noo Yawk hotel ! 	 Woah , think title may little much ? wait ' til stay will think otherwise . hotel spot - on every sense . huge suite mod con , great view west 57th street close subway , lean window could almost touch ( recommend ) . service second non cleaniness room faultess . staff polite helpful usual smary way , earth straight point . want , gritty rude true Noo Yawk attitude , go Rock ' n ' roll deli round corner good breakfast bagel area . three english guy come back ten day break USA / Canada place round perfectly . would recommend hotel anyone everyone meet . may dent wallet slightly , three we well worth . would go ? would try evict next time ! David Woosley , England . 
 Oct 11 2005 	 great palace - like room 	 arrive , reception look lovely , elegant , classical mucic play nice . lady receptionist not v.friendly guy ( asian , softly / well spoken ) ! lifts nice , corridoor lovely , classy calm soft music play . room absolute palace ! ! ! ! knowledge , pay cheap room get 2 queen size bed , make beautifully seperate lounge area , desk , sofa , MA - HOO - SIVE tv - ( 2nd tv bedroom ) , cd player , kitchen .... problem , try drag away actually go ! would agree review say bathroom small shower need update , hey ! much time du wan na spend bathroom anyway ? ! clean , main thing . air conditioning could work lil ' well would nice lil ' help luggage , get taxi train station catch flight . end stand outside hotel 35 minute try flag one .... apart basically ... cool . palace - like suite classy definatly worth money . location quality , 1 block leave there s Central Park ! recommend pub call Mickey Mantles round corner - nice atmoshpere sport bar . C ya peep ! enjoy ! 
 Jun 12 2005 	 every day something room stop work 	 select Buckingham base location , trip advisor review . location certainly fantastic need give room back building request . tell one & quot ; remodel room & quot ; ( look anything like website show ) think small dingy expect indeed quiet clean . bathroom however , size small port - a - potty cap 4 & quot ; pipe stick floor . try turn T.V . remote not work , turn T.V . stick Spanish . bastardize another remote get battery still go . someone came deal fairly quickly . sink handle loose use cold water wash face sink soft uncomfortable bed ever . end day one . next day , fridge , headboard , showerhead , various light bulb weird large silk tree take lot space cause issue . serious problem phone . friend wait hour lobby try ring phone not work , finally send someone knock door . & quot ; tell not know follow phone direction friend hear 4 people complain phone system lobby . ' m sure room Buckingham new , large less problem ( work phone ) one stay . get one understand hotel service , one ice machine basement really & quot ; quiet elegance & quot ; try portray , location cleanliness make worth consider . 
 May 14 2005 	 Loved ! 	 ' ve usually stay & quot ; big & quot ; name hotel New York definitely come back one -- price can not beat , room huge - clean - quiet location could not well . book , read review bit worried like Buckingham Drake much five star hotel city . staff super -- thank good NYC trip ever ! 
 may 3 2005 	 Buckingham Hotel -Great location 	 3 friend return stay Buckingham 4/28 - 5/1 . impressed size one bedroom suite . enough room 4 we . impressed size closet bedroom . water pressure shower EXCELLENT . buy grocery cook dinner one evening . room face street noise never bother we , noisy also . everyone group satisfied room state would stay . subway station end block convenient travel different place . staff extremely helpful especially & quot ; K & quot ; believe name . must admit bit hesistant read recent post , stay believe post disgruntle guest . must admit although tell room remodel last year , still need update . floor look old ! return son , definitely one choice due location , price room square footage . 
 Apr 26 2005 	 great value . clean old little noisy . 	 stay Buckingham April 17 - 23 , 2005 . room ( call suite kitchenette bathroom suite make ) 16a . pay $ 199 night think hotel great value NYC . room clean , well decorate comfortable . bathroom fixture could use update clean work well . make use kitchenette also clean well supply dish , cutlery like . complaint first night discover two ( small ) pillow room . call desk get two tell pillow AVAILABLE ENTIRE HOTEL ? please ? go next morning buy travel pillow return pillow buying excursion find two extra pillow room . complaint minor almost not merit mentioning become source humor we . shower keep quit we . water , pull tab faucet turn shower . twice per shower . say , little thing . all , love location , walkable everywhere -- big walker near many excellent restaurant , across street Starbucks ( Seattle fix ) street great breakfast place ( Cafe Europa ) corner 58th 7th . would stay price NY minute . 
 Apr 5 2005 	 Huge ! ! clean ! ! great ! ! 	 four us girlfriend stay Buckingham Hotel , across Carnegie Hall , Feb. 24 - 28 . place typical NY hotel , since huge ! ! spacious den , huge bedroom , eat area small , complete kitchen . den queen sleeper sofa bedroom king bed . bathroom tub / shower , even though be small , be like come NY bathroom ! besides , plenty mirror den bedroom makeup hair dry . Book stay early , hotel small , well worth stay . oh , way , price Feb. $ 300 night . feel like living apartment , much comfortable tiny , stuffy hotel . 
 Apr 4 2005 	 Buckingham Hotel -- Poor Choice 	 overall service horrible . leak bathroom knowledge cause , hotel try charge nearly $ 2000 suppose water damage . manager tell hotel history leak . addition , mouse appear several time room , essentially tell expect old hotel . offer discount 50 % first night mouse appear subsequent night . room next 57th Street noisy night . hotel cheap compare nearby hotel , would recommend spend additional money deal problem . 
 Mar 23 2005 	 watch NY cheesecake - will get fat . 	 take trip New York March 17th - 20th . stay Buckingham three night . room good size . however , not look anything like website . website obviously feature shoot renovated room . not . end , not really matter , be hotel sleep . bed clean comfortable . complaint room smell . nothing nasty , old wood carpet something . furniture seem fairly old . new suite , probably will not problem . anyway , hop across street buy air freshener drug store fix problem - although temporarily . heater / air conditioner not work well . sometimes hot set cool ( hot air blow ) , sometimes cool set hot . bathroom small . staff friendly . hold bag checkout flight not late evening , welcome use restroom lounge second floor relax . not find noisy , probably room toward back building , view brick wall , ventilation system . good quiet - except annoying pigeon . overall , good experience money , can not beat . great location , step Carnegie Hall , importantly , Carnegie Deli . like cheesecake , stage Deli well cheesecake . cheer beer . 
 Mar 16 2005 	 Lg Suite great location nice ambience noisy hot 	 book hotel 4 night Christmas New Year 's , read review website . be husband / wife 2 boy age 17 21 . tell would suite 2 bed LR boy , cot would provide . ! upon arrival tell cot take would not available stay . ask extra mattress place floor would accommodate we . boy alternate pull sofa one sleep floor night , & quot ; nest & quot ; bedding . room spacious , although bathroom tiny , ledge space . heater work properly either room , keep window open although outside temperature 20 degree . noise unbearable , face 57th St. 4th floor . unbelievably , noise bad window close ! first night , ask change quieter location , , accommodate , busy season . overall , front desk service , although one clerk able give we good direction involve bus subway . although value excellent NYC room large NY standard , would go back . 
 Feb 21 2005 	 big room noisy 	 read great review Tripadvisor place get really dissappointe get . find apartment noisy . double glaze corner 7th Avenue 57th , mean lot traffic noise . apartment large - , noise real inconvenience . would go back hotel . also , note room / apartment look like photo website quite oldfashioned . quite fussy , surprised high review place . 
 Feb 17 2005 	 Great Location ! 	 stay Buckingham Hotel 4 night late 2004 . suite good size everything require & amp ; clean although bathroom little small side need modernising . location hotel great perfect nature trip . reception staff vary , one shift receptionist extremely helpful pleasant follow shift receptionist rather unfriendly , unhelpful aloof . ever return New York definitely would consider stay Buckingham provide good value money combine great location . 
 Jan 29 2005 	 Good Choice 	 husband , adult daughter stay Buckingham Dec 15 - 20 1 bedroom suite . check early afternoon , disappointed room assignment . 4th floor , face street , roomy , important we , date look old paint furniture . clean , unpacked thing go site seeing . come back hotel midnight , come back cold suite . two heating unit , one bedroom one living area . one live area work fine .. bedroom unit work . twenty degree could feel cold air blow window . went talk guy front desk . first , solution put space heater room . heater look like see well day . tell really not like space heater idea would prefer could possibly move we different room . 15 min searching , come another room 10th floor . give key ask check sure acceptable . go immediately impressed . room renovate new furniture / paint , lighting , appliance , etc . heater work move night . wonderful stay . not know would enjoy quite much stay first room . second room arrange slightly different bathroom central hall instead bedroom , much well we . find staff helpful friendly . maid service come daily great . nice washer dryer basement ( $ 1.75 per load ) . location wonderful . could hear street noise even 10th floor ... seem always siren , car honking , etc ... get use quickly not trouble sleep , etc . one night go front desk , feel sorry group lady England check . look mother , grandmother two teenage girl . say travel long time tired . book room internet think book regular double hotel room . clerk try explain everything hotel suite not room two double bed . end pay second one bedroom suite . besides guy come laundry room one night , never really see guest . could hear hallway room , could not hear anything inside room . know people , think service lot people perform Carnegie Hall . hear one opera singer singing room hall one night ... could not hear inside room . all , 's good place stay . try get renovate room ... make big difference . would stay could sure get renovate room .... not like dingy room . 
 Jan 18 2005 	 great 	 hotel great . stay New Year find location perfect , staff helpful , room lovely . hotel perfectly situate visit site subway station end block . Central Park literally around corner . room good well - room away road not noisy - big tv , cd player , newspaper every morning , daily ( excellent ) maid service , adequate kitchenette bathroom lot storage space . not glamourous room world exactly want . gripe soft bed dip middle ! will definately stay Buckingham go back ny . 
 Dec 31 2004 	 head Back 	 sister stay Buck May 2002 . street view , noise problem . think room adequately clean . kitchenette nice breakfast store leftover . location awesome - easy walking theatre , Rockefeller Center , Central Park , Macy 's , FAO , Bloomingdales , Museums . location , price , size room ( hear can not even walk around NYC hotel room ) bring we back Buck spring . would reccomend hotel anyone go NYC . 
 Dec 16 2004 	 love marathon weekend ! 	 great service , great location helpful people LOT space price ! 
 Dec 6 2004 	 superbly situate Hotel ! ! ! 	 girlfriend spend four night Buckingham end November 2004 . good sized one bedroomed suite clean everyday include Sunday . staff helpful pleasant happy help . hotel superbly situate 5th Avenue Central Park nearby , drug store across street wonderful little Deli 4 door road . the side small bathroom fact safety deposit box within room . hardly noise situate away road . read negative review Trip Advisor , quite aprehensive book hotel far exceed initial expectation would hesitate return . 
 Nov 2 2004 	 average overall experience 	 Suite fine , room noisy cold / drafty ( stay late October ) . . . location good , be plan spend lot time room , rest peacefully good night 's sleep , think option . 
 Oct 25 2004 	 excellent suite great location 	 wonderful midtown location . queen 1 BR suit large comfortable , obviously recently renovate . Kitchenette usable , though use mainly take food breakfast . not go expect full hotel service . go want excellent value plenty space two people . expect street noise , especially low floor -- part NY experience , get use quickly . 
 Oct 5 2004 	 love Buckingham Hotel 	 husband , sister , spend three night Buckingham first weekend Oct 2004 . suite , one bedroom & amp ; live room . far exceed expectation . room clean , good - sized ; thing small bathroom . furniture nice , sofa bed sister sleep comfortable . little street noise , part NYC . hotel far exceed expectation price . worried hand negative review Trip Advisor . not pay attention , great place ! staff gracious accommodating . location wonderful ! 
 Sep 8 2004 	 bad - great 	 definitely good location , would stay ready put ) street noise try sleep b ) so - so , totally clean room c ) pretty disintereste hotel staff . maybe be way New York , not know - seem like able get $ $ charge . 
