strip 	 ' ve palm business many time , first time stay . previously stay across street Rio Gold Coast . guess travel department get good rate , put trip . the bed comfortable , hd tv room , bathroom nice . complaint amenity . hotel locate strip , plenty , even want walk hotel across street travel strip . several trendy club ( include Playboy club ) . club scene , pay $ 20 Ketel one outrageous , hey , Vegas ! fantastic view club , locate top hotel , be worth it . the restaurant ok ... like Mexican one , cafe slow service , food be ok . good value buffet . 's small strip hotel buffet 's 's enough selection tasty food satisfy anyone . there be also food court frozen yogurt stand ( similar Pinkberry NYC ; serve however much want , put whatever topping want , pay per ounce . ) be also movie theatre hotel , enough table show , catch flick . think palm cater young crowd strip hotel to . I not stay previously room rate high comparable hotel , travel department would pay difference . however , get palm good rate , definitely worth . Vegas hotel vie business , good buy . palm worth pay premium , creme de la creme like Wynn Bellagio , right price , be great deal . 
 Jul 12 2007 	 great stay palm 	 stay palm may . say great experience overall . hotel room typical deluxe double bed definately comfortable inviting ever sleep . view room spectacular night could see way mandalay bay . service prompt , issue lamp someone send room within 5 min . room rate get spectacular enjoy every minute stay palm . worried palm since read lot bad review , great time would recommend friend . 
 Jul 11 2007 	 would not go back ... will go back Hard Rock strip next time . 	 stay Palms July 1st weekend , Thursday - Monday . must say upon first impression , like place . arrive Thursday afternoon ( know off - strip , fine ) impress overall appearance . check - in breeze , one , casino empty , Thursday . room nice , good design , clean . immediately call housekeeping towel , robe , etc . three room , need . arrive quickly , great ! shine begin wear . walk casino level look around , notice LINE pool . 4 pm , 105 degree day . take aback . go back , take quick shower , drain stop . try brush tooth , sink not drain either . friend arrive , call maintenance , go dinner . come back , bathtub fix , sink . next day , day , come back partially clean room . new sheet , new towel , trash remove , dirty glass leave . friend arrive , check - in send dirty room . go use pool , early remember LINES , wait 30 minute get 1/2 pool area close find empty chaise pool 's edge , tell reserve . sign . blonde waitress say , oh mean put sign . well , sorry , wait 1/2 hour opening , choose . get & quot ; lifeguard & quot ; muscle express disapointment stay thus far . allow keep . got back room day , trash empty , dirty glass , new sheet towel . spa , ready workout gym , excite use trainer , tell not weekend . say one ? apparently . trash can flow gym , empty water bottle . man 's lockerroom , fruit basket one apple . ask banana , tell sure thing . come shower , apple leave , trash can empty . say , could get banana ? oh , right , sure thing , finally arrive . rude waitress 24 - Cafe . sink still back . top , day check - out , call front desk late check - out 1 pm , 1130am , send family 4 2 baby room occupy . feel bad . hotel compe we last night , take internet charge , $ 150 saving . concierge helpful get we Celine ticket day Friday . , fact , yes , nice chic LOOKING hotel , operation need serious overhaul . would not recommend Palms . 
 Jul 10 2007 	 modern young fun 	 husband stay Palms Sunday Tuesday early July . check - in seamless , upgrade deluxe guestroom junior suite . disappoint first , hope superior guestroom new Fantasy Tower , room generously - sized ( especially bathroom -- love Aveda amenity , plus toothpaste , woman 's razor eyedrop ) feature two window fantastic view ( one face mountain face strip . read previously indifference hotel / casino staff , staff encounter stay nothing courteous professional . customer service grievance leave mobile phone charger plug check room , one able return ( even visit front desk multiple phone call next two day ) . visit pool late Sunday afternoon , able find comfortable wicker chair two . pool definitely party atmosphere well suited twentysomething , see couple child appear fun . unable attend nightclub ( give free pass line pass check - in ) restaurant due time constraint , order room service . delivery fast friendly . food court offer wide variety fast food option , McDonalds Chinese Pizza Ben & amp ; Jerrys . casino , notice mix old patron may local , along young clientele . decor modern , yet classy -- departure traditional Vegas flash . side note : read somewhere 's nothing kid Palms , however , noticed storefront child 's program inside food court . overall , husband enjoy palm would love return . 
 Jul 8 2007 	 good bad ! 	 check - in check - out , dislikes like . con : customer service pretty bad around , reception , Club card service , bar service , housekeeping ... impressed . husband early 30 's travel Las Vegas 4 - 6 time per year . stay Palms pool low price . check - in , ready we 2:30 pm say would call anything become available . never receive call , check - in 6:00pm . however , time King room available . , plan romantic vacation spouse , strange sleep double bed . although disappoint , room clean nice view Palms tower pool . housekeeping clean room even though privacy sign hang door ? Club Card service tell we two different story earn point would honor point earn ? however , pro : pool nice inviting , casino room clean price great . next time , however , probably book elsewhere . 
 Jul 1 2007 	 everything expect ! 	 graduation gift ( MPA ) birthday present husband decide book trip Las Vegas ! always want stay palm watch Real World ... research Trip Advisor book room directly hotel . special date reduce rate go directly website . arrive early check luggage give we key pool . check pool decide gamble instead . buffet amazing , eat every morning . staff great ! could not figure tv withe 30 minute someone door . checked ask upgrade without hesitation ! ! ! save money book regular room ask check upgrade ! also recieve complimentary entrance play boy Club , Moon Ghost Bar ask . can not wait go back definately stay . hotel great young couple , single young adult want good time . would bring kid ... nothing hotel . 
 Jun 25 2007 	 Fun Hotel group friend 	 stay two night June 21st 2007 . plam offf strip take cab go anywhere ( long walk ) room Fantasy Tower ( junior suite ) well furnish , nice large flat screen tv , clean - large bathroom nice king bed . actually bring we roll - up since 3 we stay there.the pool great , large actually two numerous lounge chair cabanas , go early want seat near pool reserve chair ! ! ! friday , pool party worth get cabana group people . really nice , especially new one . the food pool good well drink , service quick , however pricey , stay four season two day , price actually around , guess go rate drink around . actually LIKED ROOM PALMS BETTER FOUR season , service wise , FS blow away . eat 9 Steakhouse , great , eat ( last 4 year ) still really good . the casino fun night , line club really long , use host get table ( bottle ) order wait hour get in . last year stay Palms tower ( 53210 room number ) actually access elevator straight Ghost bar , do not wait all . I like palm , relatively young crowd , however see different age fun pool casino . would recommend family 's small child . 
 Jun 23 2007 	 Nice hotel - really trendy 	 recently book stay Palms base reputation trendy hotel . stay Palms Tower , junior suite upgrade & quot ; grand & quot ; suite . room clean comfortable amenity nice . however room different thousand Marriots around world . casino , restaurant trendy casino hotel Vegas . pool nice , nearly nice pool hotel strip - definitely welcome child ( though one ) . think 's trendy hotel scene . however , hotel Vegas bar club least cut edge Palms . that say , room comfortable , clean , everything operate . one maintenance request fulfil almost immediately . one downside check - in / check - out . line check 30 minute long , not check via television , line check least long . its worth note hotel strip , cab nearest strip hotel least $ 10 . thing consider , will stay somewhere else next time . 
 Jun 11 2007 	 not Believe Hype 	 book one night stay Palms website Deluxe King room $ 159 / night . look forward stay palm enjoy restaurant nightlife . check - in , upgrade Grand Suite free charge . Grand Suite actually two adjoining standard hotel room , couch place bed one room . drop thing room go downstairs check restaurant pool . majority restaurant close private function night stay , pool . inquire club , find Ghost Bar Playboy Club open- , other close private function . girlfriend gamble while- find casino worker roulette table nice , blackjack dealer could miserable . night improve decide leave Palms head pure @ Caesars catch PussyCat Doll Show . ( recommend ) return palm much later visit Ghost bar drink . Thursday night place busy . complimentary pass hotel guest thing make visit worthwhile . pay get , would disappoint . grab quick bite 24/7 restaurant . food ok good . it might nice notify hotel guest restaurant , club , etc unavailable . know option Palms night limit , probably would book elsewhere . 
 Jun 10 2007 	 great place young people ! 	 lot fun stuff young crowd . problem place far strip . nice place overall ! 
 May 28 2007 	 Professional Unwelcome 	 book 2 ngts stay early April , double room old tower ( forgot name ) ; read lot feedback comment , almost everyone get upgrade new tower , ask check upgrade ; guy even raise eye throughout checkin coldly answer : & quot ; ; ok , nice start . after check - in , try get info shuttle service concierge desk , girl actually flirt another staff wait least 3 minute finally realize desk wait , ( well , actually want test fast good service ) give timetable , immediately turn away continue flirt ! ! ! ! room : small size compare hotel , clean , amenity nice , housekeppe good job ; , like ordinary room city ; statye diff hotel Vegas almost everyone small specialty , palm nothing . location : far far strip , walk distance , take car sure , even take shutlle schedule really flexible finsh 5 , world Vegas go back room 5 . service : one word : bad effort madenothing impress lure go back Palms , location , food , room moderate . say staff rude , professional , cold [ -- ] make effort serve right make feel welcome . vacation , much well hotel Palms Vegas make feel comfortable welcome . 
 May 23 2007 	 good start .... 	 hubby rent party suite Palms 20th anniversary party 20 friend . first , call night leave home tell current guest Celebrity Suite book refuse leave , bump Hot Pink Suite . 350 square foot room ... still kind hassle consider invite list suite name . , arrive limo pickup promise . end call hotel getting bounce around end talk someone transportation pool . tell never receive info regard pick . finally drive limo not clean ( glass lipstick print drink holder ) . complain get hotel connect someone tell & quot ; would make right & quot ; . , come time party , bouncer entrance bank elevator lead party suite refuse tell guest floor party room number ! say , & quot ; 's friend , know room number 's ! & quot ; finally , find party , needless say aggravate wander around look suite ! call downstairs girl front desk , actually suggest come lobby register party guest staying room , could hand room key ! ! crazy tell . , party husband receive call cell phone confirming pick airport 11:00 pm night ! ? ! evidently , pick suppose happen 11:00 morning ! finally , speak event contact person listen varied complaint promise something make . check next morning , wipe room service bar tab ( never find much would ... ' m guess $ 500 ? ) reduce room rate . , comp something , exactly smooth experience . 
 May 17 2007 	 first trip Vegas Loved ! 	 arrive Friday , pool pack & quot ; Ditch Fridays & quot ; party . rest weekend trouble find chair , always 10:00 . great extra long towel water perfect temp . Loved 6 . shallow pool lie . lucky enough dine N9NE , service nice , macaroni & amp ; cheese awesome side ( favorite ) . & quot ; disturb & quot ; & quot ; housekeeping & quot ; button door nice bed amazing . look forward crash every night . stay Fantasy Tower great view pool 11th floor room . nice large shower flat - screen tv . casino pretty standard , 24 hour McDonalds food court nice staying till 2 am gambling . visit Playboy Club Moon Nightclub Sunday night pretty disappoint dead . Playboy Club basically another casino bunny deal card whereas expect nightclub . warn , expect free drink play video poker Playboy Club , must $ 20 bet max bet every time else pay $ 12 drink . stayed someone consider & quot ; VIP & quot ; get pick green limo airport , free beverage vip checkin , pass nightclub resort , overall good service . 
 may 17 2007 	 Loved ! ! can not wait go back ! ! ! 	 place awesome ! ! ! husband go honeymoon . room amazing ... problem tv bathroom work . call come fix never . , everything great . awesome view . pool nice clean . hotel crowd .... plus . go hotels area mob people . employee nice . mexican restaurant inside hotel wonderful . ghost bar nice . go week not crowded .... wait return ! ! ! ! ! ! 
 May 15 2007 	 Good Stay Palms 	 get back 4 night stay Palms . arrive late Thursday night . not double room request switch next day problem . room good size really comfortable bed . aveda tolietrie nice also really like super large bath towel . went Ghostbar Moon night arrive blast . really like outdoor space surreal party high strip . $ 20 cover get club Playboy club . eat Nove dinner . really nice food great . waste money Bistro Buffet . go breakfast good ... cheap food many choice . food court convenient grab quick bite . pool party Friday fun . get busy need get 10 get chair . service pool really good food awesome . would consider stay palm esp . b / c rate good good choice restaturant nightlife . 
 May 12 2007 	 problem first- finally fix 	 arrive Palms little bit check - in front desk person take cell number say would call room ready . say check bag valet - well wait 20 minute someone come bell desk gave haul luggage casino . 4:40 decide check room receive call . ask speak manager quickly apologize tell would immediately send bottle liquor mixer trouble . nice , hour wait refreshment call room service see come . even put order yet ! assistant manager finally get drink send room , alright stay Palms . get feel staff could not care less customer satisfaction . however , one good thing eye drop give bathroom - 's real & quot ; eye - opener & quot ; . 
 May 5 2007 	 Love Palms pratically live ... 	 palm without doubt favorite hotel Las Vegas ( ' m local ) . 's plenty ( spa , movie theatre , AWESOME concert venue , mention FOUR club venue ) love place . food great , be something every price range . room Fantasy Tower beautiful . stay December 21st birthday celebration disappoint . ' m plan spending 22nd birthday ! ! ! beware , security guard totally power tripping ( mainly one club outside tower check key ) . front desk staff wonderful ! want great rate , try check online wholesaler ; especially summer . lot website buy one night get second night free promotion week night . book one online $ 107 first night second night free ! small child , might good place stay . activity ( small arcade , movie theatre , childcare facility ) , try keep expose 21 Vegas crowd , place . hotel cater senior citizen crowd day 21 crowd night . not fit one group , might uncomfortable . otherwise , be great time ! 
 Apr 18 2007 	 well expect 	 get back 1 night stay Palms . book stay superior room Fantasy Tower . upon arrival upgrade premier corner room without even ask . room well anticipate . large King bed , large flat screen TV & quot ; hip & quot ; modern decor . room spacious probably need since travel alone . view great two corner window face strip ; although warn strip probably mile away intend walk . complaint bathroom . not get wrong , large well appoint , previous reviewer comment , sink engineering disaster . impossible wash hand even rinse toothbrush without pour water granite countertop . almost electricute leave blowdryer plug sit countertop try wash face notice water flow top surface . besides flaw design , room service good . would certainly stay . 
 Apr 13 2007 	 maybe bit cool school 	 Vegas business girlfriend tag along , company book we Palms . hear youthful trendy become , curious . ' m 42 , quite twenty - something scene anymore , think would nice break depress scene casino hotel . it definately hip happen , often annoyingly . area around fantasy tower feel like meat - market neon - night club , maybe many twenty - something dress alike ( guy : fashionable blue jean , leather shoe , button long - sleeve shirt cuff roll back one fold , killer look wrist watch , tassle / spiked hair . girl : high heel , mini skirt tiny dress , tiny purse , hair iron flat ) try see see . there bouncer - like guard post base Fantasy tower , check see people room key . reassuring , also add whole grease - ball - night - club - bouncer feel . keep joke girlfriend go deny access room not wear trendy clothe . make great sport count number guy see stalk style trendy thread hairdo . one point count six could get 15 yard front desk . I room fantasy tower , room wonderful . lcd wide screen tv nice work ( digital channel tend freeze lot ) , jacuzi tub fantastic . bed comfortable . girlfriend could get wireless keyboard / internet work . light around entertainment center sorely lack , make hard see anything . bring flashlight . I thrill assortment soap , toothpaste , shaver goody . come handy since forgot thing -- save we walk meat - market go get thing front desk . Food Palms ' 24/7 cafe so - so . reason take long time get seat , even though easily half dozen table vacant . weird ... ( trendy make people wait nowadays ? ) snooty waiter make experience even less memorable . end find hugely well meal across street otherwise bore Gold Coast Casino . fantastic dim Sum chinese restaurant inside . well worth wait get joint . ( dim sum Chinatown , Los Angeles good ) .would go back palm ? probably . 
 Apr 11 2007 	 room = great overall = ok 	 stay Palms friend ' 40th birthday . stay ok , exception room . upon arrive , wait front desk traveler check - in wait , wait , wait . finally , girl say , & quot ; oh , ' m sorry . wait check - in ? & quot ; whatever , like not see we . anyway , kind enough upgrade we Fantasy Tower beautiful suite . room clean huge three plasma tv 's , separate living room , bathroom jacuzzi tub third plasma . indeed nice room awesome view totally make stay . regard stay , casino restaurant hotel quite boring . many people . real draw factor . UFC fight schedule week majority folk see young cover tattoo . crowd . pool open non - eventful . woman walk around small bikini 's totally approve , walk around 4 inch heel ? ? ? ? ? ? come . drink ongoing pool fine , beer can toss around pool leave . get sandwich Vegas Sandwich Shop good pricey , wait 20 minute . 's counter service sandwich shop , sit - down several people angry myself . the Playboy Club / Moon club locate hotel see nice site enter leave , ' m pay $ 40 cover . , be Vegas . everything associate & quot ; partying & quot ; expensive . they shuttle price take strip airport , find cab actually cheap . also movie theater locate hotel / casino , could not go since could see movie anytime home . quite tempt nothing really PalmsWould stay .... probably . far strip actually enjoy Vegas enough make stay palm . 
 Apr 10 2007 	 would go back pay 	 ask room nice view give room view construction site next door . hole comforter chair Stains carpet . toilet flush ( something float .. sure imagine ) bathroom plumming shake wall think mirror would fall . front desk rude ask differnt room . tell would wait speak manager would not next morning . stay night . avoid Avoid Avoid . 
 Apr 9 2007 	 thing know go ! 	 wife get back spend six night Palms . want touch thing wish know left . early flight Philadelphia , want get Las Vegas plenty time enjoy first day vacation , Palms say check three- mean ! know get 10:30 would early check , front desk take number say would call soon room ready . find plenty 2:30 check back desk female employee let know & quot ; check 3 2:30 & quot ; six hour flight really want check get shower . get room great . stay fantasy tower huge king size bed hot tub great view ! spend time sportsbook nice employee .... keep mind can not bet NBA action owner Palms also NBA team . food would hit cheap spot like 24/7 stay away high end place . spend $ 200 meal two Nove food great . would plan hit pool , get early get busy noon . staff outstanding ! plan get food drink keep mind go take long TIME see server drink food .... really rush hit bar right pool . go Pearl see UFC event venue top notch . sure event hold would worth go see . palm nice hotel do not plan get room anytime three ! ! ! 
 Mar 29 2007 	 mortify Mom 	 family go March25th - March 27th nice weekend get ~ away celebrate son birthday .. celebration .. check hotel noon tell room ready . front desk agent tell would call room ready .. receive call go back 530 pm check status room . give room previously request . talk front desk finding sell evening waut next morning get alternate room . follow day indeed upgrade Fantasy Tower beautiful suite thank Hotel Manager ... room clean huge . kid enjoy three plasma tv 's , seperate living room , bathroom jacuzzi tub ... nice room ... expect hotel . problem next day clean toy get ready check husband find drug room ... mortify , think what - ifs ... know can not control go room people clean lady need well job cleaning . also think customer problem perhaps need double check reassigning room ensure meet standard . I do not think go back Palms ... stay almost hotel strip get well service way around ... beware go kid ... 
 Mar 23 2007 	 Pleasant stay palm 	 boyfriend & amp ; decide Palms 3 - night , 2 - day stay Vegas March . rate reasonable like reputation attract young crowd . problem upon check - in except receive room 2 bed instead 1 king request . woman front desk polite tell we check next day around noon , move room king bed next day promptly noon issue . our first room 8 - 117 , overlook front drive casino Flamingo Road . room spacious , bathroom amenity nice , bed comfortable , though maybe deserve & quot ; Comfortable Bed Vegas & quot ; title . lot pillow , thick comforter two sheet . find little excessive personally not bother it . our second room , 30 - 112 , overlook Fantasy Tower pool . also clean exactly describe . one gripe room air conditioning cool area directly front really nothing cool rest room . March , major problem , summer month may hassle . as rest property , eat 24/7 Cafe 3 time , twice breakfast snack dinner . staff morning bit surly service slow - couple eventually storm 2nd morning . morning , completely different atmosphere - waitstaff pleasant hurrying help everyone . also eat Panda Express food court . overprice quick - something can not say makeshift buffet open new Fantasy Buffet do . wait line buffet 10 minute table open leaving . we big gambler use slot video poker machine complaint . palm ' casino floor not dark , depress atmosphere casino comparatively quiet . also sit pool one afternoon really enjoy atmosphere design area . my hesitation Palms distance Strip . spend $ 10 one - way trip Strip time . always cab wait front drive , problem , time money add . not want see hotel want take advantage Palms ' restaurant , club , quiet casino floor , mean , stay , first - timer like , would recommend stay Strip save Palms Vegas veteran . 
 Feb 12 2007 	 Fabulous Hotel - Stay ! 	 stay various hotel Vegas , one good ! staff helpful suite fantastic - value money ! definitely stay . 
 Jan 20 2007 	 Great Nightclubs .. watch elevator 	 stay Palms resort business January 14 - 17 2008 . room nice oversized pillow comforter . nightclub good part casino . lounge nice lighting cool atmosphere . casino smokey . non - smoker feel like smoke pack cigarette every morning wake up . a group we get stick elevator go Fantasy Tower . hotel handle horrible fashion . call fire department help we . stick hour without air . bring cell phone elevator case problem . apparently , elevator weight sensitive . third & quot ; elevator mishap & quot ; two day . palm strip need take $ 10.00 cab ride strip . overall , would stay palm . 
 Jan 19 2007 	 palm must ... affordable weekday 	 book room Travelocity day get rate Palms website . palm one good hotel ' ve stay Vegas , though admit usually prefer cheap room save money . highlight : * easy access- 's right freeway Flamingo exit . 's ton daytime traffic , foot traffic leave turn valet easy . check - in smooth ( 3 pm Monday ) easily access elevator ( Fantasy Tower ) security guy make sure guest could go . * room ! - second walk know be palm everyone rave . room up - to - date , nice linen duvet , flat screen tv , bose wave radio alarm clock bed ( think buy one ! ) , desk next window , bath huge , marble counter , whirlpool bath / shower shower head high ' ve ever see . usually stooop take shower one 6 foot great pressure . comfy towel , close swing away mirror lot goody like body scrub , special shampoo lotion , even new razor toothpaste ! low price room ! * food- go italian restaurant expensive ( steak start $ 44 ) way top ( 53rd floor ) great view . extensive italian wine list . 24/7 Cafe next casino reasonably price food , good quality , fast service multiple big screen plasma watch be alone ! * Clubs- Playboy Club awesome despite $ 20 cover people go Ghostbar guest get free . separate elevator access really control . club small , bar run one side . lot reserved sign table , might need reservation . view big pation incredible . 's 55th floor 's plexiglass window floor ( gut ) walk ! freeze ( 29 degree ) extra cold weather heat lamp . come late March comfortable . other thing tell parking garage east side hotel- make leave light get Palms- close casino elevator . slot machine not loose , though huge Wheel Fortune machine . pool area currently closed look awesome . the room well stock bar since price outrageous not touch anything , remove bottle get electronically charge instantly ! explain not want ! 
 Jan 16 2007 	 big Palms 	 book room old tower front desk lady upgrade we deluxe room new Fantasy tower . nice , although act like ecstasy something , crazy force over - smiley .... 's Palms vibe guess . we step room wow room ! ! Dark modern , comfy bed beautiful bathroom . , open water bathroom 's sink comes even wash hand tap far away sink end splash all'ov sink 's top ... mean , really splash ... ton water .. 's bad construction thing ! ! room even beautiful start boring wannabe hip , be never happy go back . loud music elevator really annoying unless be 21/25 year old kid drunk drug , wich typical customer Palms ( ' m 33 , gf 31 ) .They ' ve renovate cafeteria , wich use call Sunrise cafe ' use serve terrible food . now be call 24/7 cafe food be still really disgusting . oh ... staff attitude too . I guess mr Maloof need take vacation , always look tired picture , comeback pplace relax clean iit mess little bit . do pretty good crap table , palm , thank . 
 Jan 3 2007 	 Bad service not bother 	 valet service , bad husband experience . lazy valet , unsecure , window wide open go pick suv , not open drop . go eat lunch 24/7 cafe could not get service , even seat , couple stand ahead we treat , leave also . hotel overrate , hype , not bother . 
 Dec 31 2006 	 wonderful stay 	 stay palm 21st 25th . great time . rate 89 get free grade ask anniversary . lot free tolietrie give we electronic razor everyday . staff friendly . yes strip time cab ride $ 6 $ 8 dollar bad . cab airport house $ 25 husband . anyway b - f buffet great $ 5.99 end 10 close right 10 . saturday brunch $ 11.99 good regular buffet . breakfast one great . cheapest find . , also lunch dinner buffet . staff friendly , able get show ticket normal price , curtious , hold we cab whenever need . room also wonderful , nice soft bed , big jaccuzzi tub . anyway price pay get great hotel . hotel price range , new york new york , look lot old , New york , new york great visit , stay night . feel happy stay . , would recommend anyone stay 
 Dec 19 2006 	 Loved Palms 	 admit little hesitant staying read many negative review , find awesome deal Expedia Thanksgiving holiday could not pass . check , ask room upgrade accommodate . frony desk staff courteous we . suite give we end hall overlook Strip . room nice clean . davy Gate product bathroom great . numerous review mention everyone young casino , find case -- -the average age group 40 actually feel pretty young compare lot people . also give complimentary pass Ghost Bar . fantastic view Las Vegas - go check - 's beautiful ! , would definitely recommend stay palm . 
 Dec 10 2006 	 palm : rudest hospitality ever 	 upon book room Palms , realize pricy hotel . palm also WAY strip . , think , hell ... good friend receive Masters Degree Architecture & amp ; make pretty big stride successfully year think splurge . sure would worth . wrong .. staff arrogant , rude , & amp ; snobby time arrive . certainly & quot ; customer friendly & quot ; type hotel . basically , bother staff even simply upon check . key room never work . go back lobby get new key program everytime try re - enter room . staff eager explain basically idiot somehow desensitize key ... EVERYTIME . security rude , valet , front desk . literally , nobody friendly . bizarre . also , sit play slot one evening , palm , homeless man sit next we proceed steal cig bag . literally , take . like .. & quot ; hello ... SECURITY & quot ; . feel safe , nobody care happy . could get kind hospitality prison . 
 Dec 2 2006 	 not impressed 	 's hotel . however sonic within walking distance you re hungry , want gamble Gold Coast right across street . if get motel 6 price 's worth stay . nice pool close 5:00 pm . 
 Nov 27 2006 	 Shakey start .... turn great 	 book king bed thanksgiving week Expedia couple month advance . checked ask could upgrade ( read review ) say would $ 30 / night - would put we Fantasy tower , well room necessarily ... turn go original room . little upset walk 2 double bed instead king . call front desk tell come back could move king , still clean would take hour .... get desk tell we room think , good 'cause break faucet - want king upgrade fantasy tour ... get 2nd room , also 2 bed instead 1 king time jacuzzi tub ! call desk move we low floor - least king size bed , jacuzzi - , never get charge & quot ; upgrade & quot ; . jacuzzi relax amenetie ( ionic cermaic hair dryer , disposible elec . razor , etc ) nice touch . concierge little clueless ( give we wrong direction know nothing 1/2 price ticket booth ) , love coffee bean ( starbuck ) one Food court . pool close , spa expensive , RAIN ( favorite club ) close season . eat Ni9N , Cafe , Buffett - Delicous , Good , Aweful . we decide $ 40 much cover ( couple ) peek inside moon Playboy club . 
 Nov 22 2006 	 palm awesome ! ! 	 make reservation palm Nov. 19 - 21 little escape Vegas . arrive early morning drive around check sight check since early . check - in painless awesome customer service . Erin , check - in agent , give we service smile ! reserve regular king room , upgrade we new Fantasy Tower superior king room . quite surprise since pay $ 39 / night . also include plenty coupon free admission club Palms . Fantasy Tower modern clean . doorbell every room disabled press & quot ; Disturb & quot ; button inside room . sign hang door handle anymore awesome . room spacious big tile nice clean carpeting . plasma tv , bose radio , two couch , desk chair , huge comfortable king bed . window huge great view . bathroom nice granite countertop tub huge whirlpool jet . could believe get room amount pay per night . overall would definately stay ! ! 
 Nov 14 2006 	 Great Place young - not go otherwise ! 	 stay Palms Vegoose - Halloween weekend Friday Saturday . 20 , place awesome . people age pool look good time . service good enough room perfectly fine . stay place cool vibe young crowd . doubt stay anywhere else twenty . see couple 40 would absolutely hate . 
 Oct 29 2006 	 get tired bad service 	 another let palm . time new Luxury Tower . generally difference original tower . Everytime stay palm something construction . last two time pool ( complete ) site adjacent Palms ( construction also 24 hour ; book room face old tower get high floor ; Rm 28225 especially good fantastic view price ; friend stay ) .... anyways , get room , bloodstain sheet , stereo remote battery stereo external control prevent use . room service champagne choc . strawberry order advance suprise girlfriend . not arrive . room service remind another 45 minute delivery . box spring also uncover look like hell big paper tag still stapelle they . will likely long stay palm . Hotel Mandalay Bay MUCH well . besides lacklustre room , pool finally complete cabanas nice ( tv stereo control ; though not work ) . spa treatment adequate nothing memorable service nine bad usual ( though food phenomenal ever ! ! ! ) .Little Buddha food also good ; service stank . server southern gal seemingly idea sushi . suprise , consider sushi restaurant ! check - in / out staff equally poor ; do not think grasp concept & quot ; hospitality & quot ; industry . even smile ; plus try charge t - shirt hip flask mini - bar ; neither take first place . generally speak go back Palms tatoo shop , gambling atmosphere ( plenty hot woman occasional celebs ; Jenny McCarthy , Chriss Angel , Joey Porter , Caprice ) likely never stay . 
 Oct 20 2006 	 palm do not waste time $ 	 go Palms casino las vegas go Playboy Comedy club . previously purchase ticket 10/14 Ticketmaster . arrive 1/2 hr early request . wait line 1/2 hr past show schedule start . 30 people enter whole line , presume guest someone important purchase ticket . seat small seat one next many could fit tight row . 1st comedian E soup funny . everyone else suck . waste $ $ . palm fill drunk 20 year old . leave show taxi line everyone else 20 say thing . like palm would go back . 
 Oct 16 2006 	 great stay ... will definitely back ... 	 wife take couple day week head Vegas 11th anniversary . wife celeb nut , figure good bet would Palms ... arrive Vegas via car ... easy 3.5 hour drive home North Phoenix . drop car valet ... hey - boy bell stand promptly take bag check - in . the hiccup stay check - in , end fine ... well fine . reserve king , non - smoking room ... regular room . not available . non - smoking room 2 double bed ... umm , anniversary , double be not go to cut . smoking room 2 queen bed . well ideal ... wife , expert subtlely work people get want , go work girl behind counter . time leave check - in , manager charge check - in area release grand suite we ... low , low price $ 129 night . the room great ... great view , great lighting , comfortable furniture , great flat screen tv Bose surround , cool bar , great shower jet everywhere . wife heaven tub ... big enough 2 , jacuzzi jet everywhere fill hole ceiling ... cool . night # 1 ... eat Gardunos first night since want light fare ... mixed dip roll taco amazing . head upstairs ghostbar . kind disappointment ... convention hotel room full 50 - year - old wear shiny tinsel wig giant foam cowboy hat glow stick hang neck glow stick belt . staff door break rule let group guy large 4 bar . hope even mix folk young , slightly less glow stick wear crowd . leave hit slot ... night # 2 ... eat N9NE ... steakhouse awesome dinner . wife parmesan crust lamb chop filet mignon course . also order crispy fry , way crispy come pile big look like tumbleweed . many potato die nest make ... split bottle Martinelli Pinot Noir ... definitely worth price , matter price . decide give ghostbar one shot . much well second time around . conventioneer go crowd roughly 50 - 50 male - female . will back ? absolutely ! will not stay anywhere else Vegas . other Vegas hotel ' ve stay comparison ... Las Vegas HiltonRitz - CarltonFour seasonsluxoraladdinflamingo 
