give 	 spend Saturday night hotel , must say big mistake . a West end show , romantic dinner night great area London spoil hotel . although staff pleasant helpful , room tired / antiquated bathroom / pathetic toiletry / dirty windows / tatty net curtain / filthy window runner / mini bar ( 4 star London hotel ? ? ) breakfast awful ( hotel try charge , prepaid B & amp ; b term / bad stain carpet / basic bed pillow - miserable room . I sure Health Safety regulation , ever fire corridor outside room stay , occupant would perish window could open all- secure mean obvious screws window frame . 's hotel like give London bad name - room two star well - stay expect 4 star ! 
 May 3 2007 	 Quaint need refresh 	 like spirit 70 's like , look like nothing change since . room clean find lot hide place cover dust , bathroom look awfull shower curtain need change . bed confortable duvet . I book call hotel directly , book room day arrival , sure one wrong . pay 120 GBP single room bad value money , stay well hotel area less . think conveniently locate , high stree Kensington station around corner . hotel face railtrack room noisy even double glaze window . AC huge noisy well . 
 May 2 2007 	 Apartments plan Copthorne Tara site 	 London newspaper report recently plan turn Copthorne Tara residential apartment . maybe management not replace torn wallpaper , flake paint wear carpet . service erratic , breakfast room meet - and - greet people terse , though inconvenience . 
 Apr 30 2007 	 Soo disappoint 	 Los Angeles , CAWe book stay hotel travel agent . tell four star hotel . read previous review dubious stay one hope well think maybe experience different . plus side location good , centrally locate tube . lobby nice clean ground floor . unfortunately , go room travel time . room extremely drab , tear furniture stain carpet wall . stay little time possible room . first night friend accidently spill ketchup duvet . think housekeeping would replace duvet next day . housekeeping flip duvet put stain underneath sight . personnel polite helpful . would gladly stay remodel room . 's downfall . 
 Apr 27 2007 	 frighten review 	 ' never hear Copthorne Tara prior purchase non - refundable night online . read various review , admit ' look forward arrival . well pretty nice , especially consider pay . room fine , clean , etc . location perfect , especially ' like eat drink locally ( non hotel ) staff really surprised ! wonderful ( usual London experience ) every level contact , could nicer helpful . ' gladly stay . 
 Apr 20 2007 	 Disappointing . 	 make reservation via hotel 's website , ask non - smoking room , get email confirmation even call make sure room get indeed non - smoking one . guess ? arrive , non - smoking room available . the hotel stuffy , guess ok , like sort thing , staff not polite . I tire , 5 hour flight want put foot somewhere . stay one night , not cancel reservation go look different hotel . a day later mean stay London night , time book room different hotel , turn much well . 
 Apr 1 2007 	 ok business hotel 	 ok business hotel , except in - room internet ( wire ) 20 pound . gym 5 pound per day . something feel be extract every pound possible . fairly institutional , would not want use leisure . reasonably cheap London . room large ( typical US hotel room size ) . back onto Underground line , light sleeper would bother , think . 
 Mar 28 2007 	 Copthrone Tara Hotel 	 room large London standard clean . location good , close Kensington High Street tube station . price , good . one reason choose hotel review receive . 
 Mar 27 2007 	 do not expect much 	 Got hotel Priceline $ 85 night . try zone make mistake add Kensington . location good . busy hotel tour group airline crew . give & quot ; priceline & quot ; room ( bad room hotel ) . lovely view train track 15 foot room . front desk girl assure stop run 11 pm .. true ... forgot mention start back early . stay , take ambien . wall paper thin . bathroom old remind old Motel 6 's . make sure stay day come back late night tired . spend night Hilton Metropole ... much nice hotel . however ' m glad stayed , wonder like . say do .. do not need . do not pay rack rate .. ouch 
 Mar 15 2007 	 good location fine stay 	 stay night . hotel great location ( walk distance underground station & quot ; High Street & quot ; Kensington . ) ... be so - so experience . the room okay , definitely outdated show age . there free internet , be nice . while would not mind stay , would probably shop around see anything well . major problem hotel , would rather try something else . 
 Mar 6 2007 	 well good location 	 well enthusiasm muster hotel say fairly good location . other good location , can not really recommend hotel tired respect , quite dowdy . I certain hotel use bed night , room stay dingy sparse . it difficult review write much hotel offensive , atmosphere whatsoever , seem like bed breakfast type hotel near bygone un - fashionable seaside resort . 
 Mar 6 2007 	 great location good service 	 hotel book company 3 night stay exhibition attend Olympia . good location purpose exhibition centre short walk away lot shop restaurant nearby . room good size nice clean although bathroom start look bit tired . see lot bad though ! mini bar fridge drink also iron iron board . can not open window room , seal use heating / air con adjust temperature . actually stay one night fall ill go home . however charge two night miss check 12 pm . order room service 2 am feel ill need drink . arrive within 30 minute quite pricey - £ 6.50 large bottle water little bottle Appletise . also rang reception 9 am ask breakfast could buy room feel ill go restaurant . buy lovely continental breakfast cereal milk , orange juice , fruit salad , croissant bread roll wihin 15 minute . receptionist check helpful friendly concierge ask folder pass onto boss arrive . eat restaurant night leave lovely meal prawn black bean sauce egg fry rice . would definately stay - much nice hotel normally stay work ! ! 
 Feb 28 2007 	 Excellent value location 	 return 5 night stay Copthorne Tara Hotel kensington . Approached trepidation , read comment Trip Advisor beforehand , really pleased stay ( book excellent website -- -.com ) .the room ( 2nd floor ) large , clean supremely comfy bed . agree slightly date bathroom , everything clean staff could not enough - smile ! mere 5 minute walk take Kensington High Street - straight forward 15 minute bus ride centre Covent Garden , Trafalgar Square etc . hubby disappoint basic 2 sachet coffee biccie room day , fridge make ( & amp ; road want stock ! ) .would definitely recommend . 
 Feb 28 2007 	 rude staff poor English 	 check receptionist rude ' speak good English . not understand arrive 8 hrs flight two kid ( 8 mnt , 4 yrs ) sleeping keep we wait 1 hour . room ready , though not call we check till approach ask room ready . housekeeping shout wife late open door immediately . manager nothing sorry offer cup hot chocolate ! ! ! ! housekeeping not change bed sheet 4 day stay ! ! one thing ; stay NON - smoking floor guest smoke heavily floor . notify front desk two time stay . every time send security floor investigate situation guest keep smoke . this first time ' ve come across situation . staff usually friendly nice time staff change become rude not speak good English . 
 Feb 27 2007 	 visit teacher 	 able book hotel asiaroom , Kayak website . cost $ 150.00 per night . every thing go exactly want check check . room large , Europe house keep top everything . coffee / tea small refridgerator nice touch . Marks Spencer , nearby , provide nice source fresh fruit lite snack , etc . problem us noise underground , 10th floor . become use , room low floor would problem run 6:00 A.M. midnight . wife light sleeper learn sleep . room could obtain opposite side tube , would wonderful stay . meet guest like room , see problem . would definitely consider stay . second time . 
 Feb 27 2007 	 be like ? 	 great location . good - sized room London standard . comfortable bed . view London . clean everything work . friendly , competent staff . cheap upgrade full english breakfast serve waiter buffet . reasonably - price car parking . excellent value price pay ( £ 78 ) . 
 Feb 23 2007 	 good - 2nd chance ... 	 since October 2006 , stay London hotel weekly basis business . employer pay stay ( include breakfast ) , comment value money ( term room ) ... stay Tara early January 2007 . first night , arrive long tiring journey Edinburgh . long wait check ( 2300hrs ! ! ) , eventually see , Receptionist absolutely ' not bovvere ' . get room , fancied/ need drink , try order brandy room service . first time , response call ! ! try minute later , get ; wait 30mins drink arrive . wish have never order ! want go sleep . the stay marginally improve . wait breakfast service ( oppose buffet ) nice idea , depend upon two thing - firstly , enough staff serve , secondly , able understand enough English take one 's order . neither thing happen ; five breakfast , one order . disappointing . the redeem feature ? well , complete feedback form detail , , astonishment , day later receive letter manager apologise offer upgrade club room stay ! select hotel employer ( within cost limit ) , decide give Tara another chance , stay ( upgrade ) next week ( Sunday 25th ) ... post see improvement . best bit - nice view 8th floor , excellent location Tube shop . bad bit - breakfast service rude receptionist . 
 Feb 21 2007 	 4 Star Discrase 	 Hahahaha , luxury hotel ... picture say everything ! never ... 
 Feb 4 2007 	 Judge book cover 	 choose hotel , stay business ... thank goodness stay one night . exterior hotel tell story . old , shabby , dirty . refurbish hotel , fix lobby , clean quite nice . upon arrival non - smoking room , smell mixture mildew stale cigarette . bathroom sink two spigot ( not see since grandparent 's old house ) . floor dirty stained sheet seem wash , bit threadbare . since room 7 hour sleep , decide stay get . luckily take sleep pill , woke , check pretend never happen . redeem quality hotel proximity High Street Kensington station . 's . stay . 
 Jan 24 2007 	 still bit shabby 	 stay 4 night mid - January 2007 . ' ve stay many time , last review ( July 2007 ) say would give one try , excellent location next shop Kensington High Street good transport link . reception friendly , although unable allot we room high floor 2nd , look flat roofspace , traffic noise like last time . however , room obviously sometimes use part family room , interconnect door next room - securely locked , problem , cut sound insulation . one night guest come midnight proceed watch tennis tv - know ? could hear every hit ball ! room also stuffy , despite a / c full blast . in general stay fine , breakfast good one dinner eat delicious , full mark staff friendliness helpfulness . hotel could overall freshening - up - impression dark brown , bathroom peel ceiling . certainly would not pay full rack rate E225 per night - 's pay per person 4 night plus full breakfast Superbreak . I ' m back London May try somewhere else next time ( consult TripAdvisor recommendation ! ) . hotel great location , nice staff past sell - by date far decor concern . 
 Jan 23 2007 	 Tara be go wind 	 stay 3 night 1 Jan - 4 Jan , 2007 . old hotel - 70' - ish . 's desperate need upgrading . upon check , try upsell . not go , glad not . say upgrade room not much well . my room hot Hades , keep A / c turn entire time . sink mixer - separate faucet hot cold , sure , one would scald , give hypothermia . say one thing , shower pressure - none U.S. water - save stuff , full waterfall . 's good location Kensington Station could catch tube , go Nero 's coffee , Boots drugstore , Pret Manger quick meal . 
 Jan 23 2007 	 complaint 	 stay hotel weekend january.it part coach/ show weekend package base kensington close royal albert hall.our room 10th floor overlook railway cause noise problems.the room bathroom clean decor good.the room also benefit refrigerator.the package also include breakfast , continental english enjoy generous portions.the hotel list breakfast £ 15.the hotel restaurant venture thi restaurant 2 min away open 1 a.m. food excellent reasonably priced.there several place eat main high street 5 min away.there also supermarket wine shop stock refrigerator .. first time visitor , get tube cental london , far , major site within min walk , i.e . trafalgar square , down street , house parliment , big ben , china town , major theatres.the open top tourist bus great last two hour & quot ; get . certanly visit london . 
 Jan 22 2007 	 good .... great ... 	 book hotel London short notice business trip , surprised get 4 * hotel less £ 100 per night . ( good old [ -- ] ) 20 minute ( time ! ) wait reception ( busy 2 staff ? ) give room Mezzannine level . they keen push teh & quot ; executive upgrade £ 35 per night , include & quot ; big room & quot ; breakfast , choose decline ( leave early next ! ) room disappointingly small , two twin bed ( even though book double ) . see Pics att . having say , clean tidy , little dated . airconditioning make heck noise , turn ! ( might able summer though ) 
 Jan 20 2007 	 definitely go back .. 	 friend go London New Years Eve 2007 . find place net , price seem reasonable considering locate High Kensington ( expensive area tell many , include Londoners ) .Location : be excellent , convenient literally 5 min walk tube station ( Circle District line ) , be main street , plenty shop restaurant . staff : friendly part ( reception , concierge , bar ) , room service operator horrible . I m go let one staff speak whole place . concierge knowledgeable nightlife , would not ask go , nice try helpful , be go give good recommendation would part research first 's first time London . room : pleasantly surprised . I m Canada usually accustom spacious hotel room like US . tell expect small old room turn pretty nice . bit small still enough room fairly clean . real concern . remember read another review hot water pressure weak , well , guess get lucky pretty hot lot pressure shower . overall , think hotel great would definitely return next visit . hope help . 
 Jan 19 2007 	 Fantastic Hotel - Stay 	 book another hotel ( Kensington Rooms ) find could not stay hotel poor . I book Copthorne Tara last minute . extremely helpful sympathetic situation , staff whole stay ( 1 week ) helpful efficient . the food restaurant great , although eat breakfast , one lunch one evening meal . rest time room service meal , excellent . my room comfortable , quiet . tip : ask room higher quiet want one - accommodate , not know might put low room get rail noise , railway 's close . I would always look Copthorne Tara first go London - bite , will stick great hotel future . 
 Jan 15 2007 	 good location shame room 	 arrive back stay Hotel . location excellant , close tube station , shop restaurant , unfortunately room definitly 4 star . air conditioning work properly room shabby musty smell . definitly need modernisation espescially bathroom . thankfully hardly spend time blessing . the reception staff concierge helpful provide we useful information report faulty air conditioning act promptly send someone fix problem . look hotel good location excellant choice not expect 4 star standard . 
 Jan 11 2007 	 Excellent Staff pitty Hotel 	 spend 4 night Hotel 70 year old mother . staff friendly , could not enough think great busy hotel . the Breakfast great . however hotel let we . hotel hot matter air con not work . wall paper thin could everything room next door . one night turn tv 1.15 not switch till 6 am . thought would go crazy . carpet room burn look like poo ! wind whistle window windy night one night glass window start shake . the bathroom could clean feel people would fine . overall would not stay hotel . 
 Jan 5 2007 	 much well anticipate 	 read many negative comment place , anticipate something like Best Little Hellhole London . possibly step . actually , room quite nice ! be true 4 * get Priceline not US 4 * accomodation , room clean , bed comfortable , shower excellent water pressure . 7th floor , window face train track . identify ( loud ) sound ( train pass ) , hardly even notice stay . location really good -- could not two three block near Tube station ( High Street Kensington , Circle District line ) . would never buy breakfast , several much affordable option short walk away . say anything negative place would toilet not lot flush power , seem universal isolated London hotel . also , need give kudo hotel come we . due mistake part , need make hasty reservation extra night -- Dec. 31 ! price significantly high Priceline rate , still glad could make arrangement we almost literally last minute . 
 Jan 3 2007 	 nice stay end year 	 wife spend 4 night ( Fri Tue ) Tara Copthorne 2007 New Year 's Day weekend . book hotel website late moment pleasantly surprised fact offer standard double room attractive price mid - central London ( 100 GBP average rate include full english breakfast taxis ) . far convenient hotel reservation web service , often raise room rate New Year 's eve three four time standard price . would recommend everybody check hotel website look elsewhere . concern hotel , opportunity use service , eager spend time outside visit London . however , impression : pros- location : tube station ( Circle Line ) short walking distance , well restaurant , fast food shops.- room : get room eight floor ; quite modern , spacious clean ( especially confront London hotel experience past ) include table / press iron set ( quite unusual european three - star hotel ) - full english breakfast : food ok , experience little bit confusion Sunday morning , hotel almost full , service considerably well day . might want consider whether spend 15.25 GPB ( plus taxis gratuity ) rate include breakfastcon - room : request non - smoking room , answer none available stay ( indeed , term condition website clearly specify additional request might honoured ) . room slight moldy smell ( find many smoking hotel room ) face Underground track : disturb noise , though people might . ask even - numbered room , possible.- bathroom : despite relatively modern look hotel , basin bathroom feature old - type tap , separate cold hot water . definitely disappointing aspect face : even wash face comfortably , hot water definitely & quot ; hot & quot ; cold water ° cold & quot ; ! ! ! - staff : though staff member absolutely courteous , front - desk people appear little bit indifferent . however , whole , stay Tara Copthorne definitely good would recommend hotel traveller . 
 Jan 1 2007 	 V Good Accommodation Excellent Location 	 stay long weekend end October boyfriend birthday . location excellent . literally 4 minute walk tube station . staff really friendly helpful . the room good . average size good facility . not wow be London 's want spend whole day hotel room . side room warm night time , drunk night not mind much . if sober would probably bother I . Kensington lovely area hotel surround nice restaurant great shop . be right beside tube station central line everything within easy access . I would likely return hotel 
 Jan 1 2007 	 Noisy . 4 Star . 	 ' look restful night sleep look elsewhere . noise train run right beside hotel would bad enough ' beginning . heating unit make noise every 10 min . sound like someone tap window . could clearly hear conversation anyone pass door , tv " noise " adjoining room , toilet noise several room every direction . addition noise , standard room hotel 4 star room . old , worn , smell bit moldy . ' stay 1 star B & amp ; b room nicer . even fancy marble bath see photo actually pressboard marble look finish . complain room ' 4 star room promise advise 4 start room " Club Rooms " available additional 30 pound ( US $ 60 ) per night . ' pay 2 star price hotel sound sleeper may find hotel acceptable . good location . ' pay 4 star price ' bitterly disappoint . 
 Dec 27 2006 	 good location Nice Hotel 	 book Copthorne Tara weekend getaway London : relatively inexpensive Friday / Saturday night , well - locate near Heathrow Airport Tube . print map , need find way local street come Heathrow : be outside thepay - zone central London , will not incur toll . Copthorne cul - de - sac nice area London , lot . check , offer we upgrade 34 GBP per night , , remember review regular room , take . result room still reasonably price nice ( picture ) . breakfast evening drink include , even cost : lounge area downstair attend rather buffet style . room large comfortable , expansive terretorial view . large king bed , free internet access ( wire : also free access lounge hotel terminal ) comfortable working area . bathroom nice well appoint : hot water adequate good pressure . issue parking : cost third much room park lot beneath hotel , charge fractional day go 24- 48 - hour period . 
 Nov 30 2006 	 fabulous location 	 Booked internet get amazing price per person hotel . check quick easy , problem . room non smoke one high floor request . comfortable sized room good sized bathroom . part room little bit worn price pay irrelevant . breakfast little disorganised major problem . good hotel , good location back onto kensington underground station , good base explore city . 
 Nov 27 2006 	 good beware 	 stay London Tara two night business November . hotel large modern building 800 room . Location Kensington , shop , pub , tube , bus , restaurant , museum park within walking distance . Taxi rank outside hotel . tara large lobby , porter service welcome staff . tara several restaurant , theatre booking service shop . try indonesian restaurant serve good food reasonable price ( 9 £ main course ) . english breakfast serve table additional buffet sparse . breakfast include rate , save 15 £ ( ! ) find café nearby . tara nice bar beer tap . five fast elevator take floor . miss possibility walk stair . however gym attend 5 £ . room large comfy bed . fresh air system , work room . tv , fridge sadly safe . bath room nice old fashion wash basin . comes warn ! hotel many room adjoining door . pay 138 £ pr night absolutely privacy . could hear whatever person . hotel full room available . Book hotel , get good price guarantee private room . 
 Nov 22 2006 	 ' ve stay despite review ok time hotel 	 location superb . move room 3 time one stank smoke one clean noisy neighbour ! 3rd room OK hotel could accomodate we . bed small double though ! bad . 
 Nov 1 2006 	 well expect 	 Easy get Heathrow via Paddington Kensington High Street . little concerned get room 2nd floor railway side . train noise problem , double glazing work brilliantly . room great condition little worn . bed comfortable bathroom clean . a.c work fine . location excellent continental breakfast pretty good . staff helpful friendly enough , problem . 1200 checkout good . lot good food within 10 min walk . would stay . 
 Oct 23 2006 	 Great Hotel 	 stay Copthorne Tara end August 2006 . honestly say great time problem . read review worried go encounter think voice opinion . staff friendly could not enough . small fitness room everyone use really handy . breakfast include rate adequate . 2 restaurant hotel , one serve thai , traditional british . also internet cafe son please could talk friend back home ! room clean , comfortable bed , aircon great . suppose decor could done update . hotel around corner High Street Kensington Tube Station , plenty shop restaurant nearby . would definitely stay . 
 Oct 21 2006 	 Decent Hotel superbly convenient transport 	 book hotel , believe rating see 3 1/2 - 4 star . however think star rating standard american hotel vs european hotel . Hotel- look new front , build old furnishing outdate . first room stay 9th floor face toward front hotel ( standard ) room 976 978 ( sorry forgot ) 2 single bed ( see picture ) . hallway stuffy HOT , room smell musty / moldy . room , linen , bathroom clean . request ( standard ) room double bed give room floor face toward BACK hotel . room window double pan reduce noise train . Service- Unwelcoming , unfriendly , bottomline poor . Convenience- superb location super close tube , shop , couple cafe 's . 
 Oct 19 2006 	 Met Expectations 	 stay Copthorne Tara last two night honeymoon . happy rate obtain Priceline . previous review read lead we expect average hotel little charm , good location friendly desk staff . fact , exactly get . room decent size UK standard . clean , attractive . first night , give we room two twin bed room really close track -- little noisy romantic . desk staff good change we room double bed ( little cramp two folk 6 foot tall - not fault tall ) . new room overlook front hotel much quiet comfortable . fine hotel get good rate ( $ 150USD ) , need close tube stop , not expect quaint British B & amp ; b experience . 
 Oct 16 2006 	 little wear Comfortable Good Value 	 get room two twin bed second floor Priceline $ 115 US total . lobby , bar , hallway hotel elegant clean . front desk staff concierge gracious helpful . room small little shabby ( decor circa 1960 ) bed comfortable , linen new clean , bathroom fully functional . would not recommend Copthorne luxury experience perfectly functional charm . 
 Oct 16 2006 	 good hotel - great location 	 stay hotel Sept. 10 , 2006 5 night . lot homework site leave . majority review positive , take chance , pleased . lobby nice clean , staff concierge helpful . room plain side clean . ( twin ( think little roomier ) . mattresse wonderful plain white fluffy comforter . bathroom white tile nice lighting ( important ) , sink need update . old style faucet knob set wide apart . shower great , lot hot water strong water pressure . nice small frig coffeemaker . complaint could not plug universal converter bathroom anywhere room , plug close floor bathroom countertop , rectangular plug would fit . could not use blow dryer flat iron . husband speak security nice enough let we charge camera security room overnight . location excellent , two block High St. Tube shop . breakfast either Muffin Man ( okay ) way Tube , McDonalds across Tube . thai restaurant also fantastic ( first Thai meal ) classy atmosphere , reasonable price . Next Muffin Man . italian , Dino 's Restaurant , near Tube across church good also . 
 Oct 11 2006 	 pleasant stay underrated hotel 	 not need add much say previous review regard hotel , person great job detail feature pretty much say lot would state . book room vay , via Priceline pretty much price . oh , review accurately point outside , place appear see well day , be inside 's much well look . would even go far state lobby carry bit chic look . base separate review week back , request receive non - smoking room 9th floor , direct view Albert Hall distant London Eye . we utilize Concierge great deal , mostly deal kind , elderly chap name Jim . book behalf dinner reservation , day trip Windsor / Stonehenge / Bath , often suggest good bus tube line take get point b . like little cafe express past Concierge 's desk , usually grab quick something morning head day 's activity . also dine hotel 's brasserie night aforementione daytrip , get back 9 bush go hunt alternative restaurant . brasserie kinda split two , one side pretty much standard british / french type faire , feature asian cuisine , emphasis Singapore malaysian speciatie . opt asian side speciatlie , quite good expensive . finally , would like point yes , ' short - cut ' High Street tube stop , be well save 50 yard walk . generally use go station , often choose ' long ' street path return , take charm neighborhood . overall , extremely satisfied stay Cop , would highly recommend , especially get Priceline cost . 
 Oct 11 2006 	 book advise go else 	 couple comment feed back find unsatisfactory - give room east side keep awake Tuesday night pass train combine room fridge loudly buzz night way turn off . so make sure stay east side ... also late Olympia next morning due lift issue - one lift work result wait 25 min get ground floor . one colleague stay floor one take 20 min get bottom floor , cleaning staff could not direct stair case wait age get down . we exhibit late look ? get back evening guess ? nothing do fix lift take stair meet old lady ask help , get worry one floor go ... obviously boss complain ... really want know say ? sorry happen sorry .... engineer wayThe restaurant nice breakfast ok staff could helpful ... understand talk one waiter ... get pay peanut .... get donkey ' ? wait taxi talk problem friendly porter ; mention lift issue happen could recommend we hotel next time , point finger competitor , mean ' crazy ' think ? overall great stay location great use hotel listen porter recommendation stay next door let know soon stay next week . 
 oct 9 2006 	 satisfied . 	 get hotel via Priceline Sept 30 - oct 6 $ 102 / night + priceline taxis / fee . I little apprehensive get hotel win bid . review read pretty bad . tell quite pleased hotel . lobby really nicely decorate , know lobby would good representation room , little date . the room decently size ... small thought would . hotel accommodate we 2 single bed . bed anything spectacular sleep , sufficient . also stay nonsmoking floor , smell smoke . I not much interaction hotel staff , little amount interaction go really well . nice job expect . room ready arrive , wait 30 minute . big deal went walk along High Street Kensington explore area . concierge gladly hold luggage . stay 6 night , seem quite busy entire time . lot airline flight attendant stay hotel . think see least three four airline stay here . the bathroom decent size , good water pressure . yes , tub little high , not rubber mat nonskid surface , old people need careful . two set towel ( second set closet ) , wash cloth . provide conditioning shampoo bath / shower gel , soap , shower cap . yes , light outside door , switch neat master switch turn everything time . similar console nightstand . also Disturb button press housekeeping not try come early hour morning . experience first night . luckily 2nd lock , well chain . learn turn button . fridge nice touch , water pot tea coffee . tv not many channel , not expect . a / c work fine . wall really thin , easily hear people outside hallway . not think anybody stay room next we not hear neighbor . ask room opposite side subway track , hotel accommodate , not hear subway noise . , say good stay . lot well expect . 
 oct 9 2006 	 good location friendly staff 	 hotel via Priceline $ 70 ( yes , dollar , pound ! ) night August 26 29 , 2006 . hotel easy get London Heathrow ( one transfer ) . since arrive States , arrive hotel around 8 am room available , check luggage bellman , able hold room available . prior arrive , e - mail hotel request high floor face away train station . well , give , since request full sized bed , give room two double bed ! full sized bed available evening . recommendation would e - mail request full sized bed face away train station . sure well advance arrival . the next day , hotel able locate room full sized bed , face train station . say request high floor train loud even double paneling window . ( could hear train roar hallway ) say , hotel nice . not use staff whole lot , friendly ask question . hotel lobby always seem busy -- hotel seem popular tour group tour bus street loading unloading group people . front desk able move group rather quickly though -- never wait line 3 - 4 minute . would highly recommend use Easy Internet cafe 3 block hotel save money use internet . ( cafe disable use usb port upload picture digital camera , major bummer ) picture post accurately reflect experience hotel , would stay hotel . 
 Sep 30 2006 	 6 day London 	 Bed leg break use dresser drawer hold bed one side . 2 dresser drawer break never fully unpacked . a / c work well though . paper thin wall . could hear people next room talk even hangar closet move . excellent location . safe near everything . lobby clean update room . smoke room plus . buffet breakfast every morning . slice ham , grapefruit slice , 2 cereal pitcher milk , ice chill . one day large bowl yogurt community use . chill . Ice Europe preference though . ask u want toast prepared pay extra . pay phone do not work . location make . could change room convention book . all awful need major updating . hot water good a / c major plus . 
 Sep 24 2006 	 ' m generous give 2 star 	 everything ' ve see write , almost seem like two Copthorne Taras . perhaps room renovate other ? give star feel like deserve base good water pressure bathroom , decent location ( course , hundred hotel good location throughout London ) lobby clean looking , front desk check - in speedy . I tell husband walk & quot ; mixed bag & quot ; review not know expect . one night , thank goodness - Priceline rate , still seem high receive . hope use Priceline Holiday Inn Kensington Forum , great location clean room ( least last year ) . last night 2 1/2 week trip , not big deal stay . we have stay good value hotel throughout Europe - include 4 night wonderful Bed Breakfast London area $ 104.00 usd ( full breakfast ) trip . one not choose - would certainly recommend it . the bathroom ... well , tub yellowing , metallic stuff come handle bottom ( almost look like wad gum sitting , whatever behind metal ) . go get drink water glass , glass sit dusty black tray , not bother . numerous area room dust . everything look date , like 80 's . REALLY need refurb , need someone actually clean . bathroom smell odd - like Paris Subway , really . not know clean use , not smell clean ( second blanket put ) .We end twin bed , separate small desk . would really like one bed , really small terribly comfortable . , one night . not find room tiny - large , probably small room would stay trip , adequately sized . refrigerator room , almost get husband bottle Coke cold overnight . location fine - like Marks Spencers Food Hall close . selection movie mention bedstand , must sell lot porn tv.personally , think stay London , find lot well . try Holiday Inn Kensington Forum , one . Copthorne Tara leave lot desire . 
 Sep 22 2006 	 Adequate 	 husband stay Copthorne Tara 19th September reading review rather apprehensive despite go friend 's recommendation . lobby nice reception staff welcome friendly . room clean need refurbishment . one thing appreciate continental breakfast deliver room extra cost . however , hotel excellent location - shop tube station end road . I not think would stay like try different hotel prefer little luxury . 
 Sep 19 2006 	 pretty much expected 	 read lot review lot London hotel , book Copthorne Tara Trafalgar Tours Sept 2006 weeklong stay London . give hotel grade , have a- . want write fair review someone come London near future . BEDS : two twin bed husband , bed two pillow , pillow linen change daily . one day feather , next day cotton / poly blend filler . bad . however , instead actual blanket get european style bed quilt / comforter really cover mattress like abundance cover , will problem . NOISE LEVEL : even number room 9th floor face front courtyard thing pretty quiet . hear people walk hallway conversation , much noise get . tube station side building , could see would loud , never hear thing . silence every night . BATHROOM : shower 's water pressure well home . however , hot cold tap bathroom sink , run together warm . nice size , . two set towel . also , light switch bathroom hallway outside bathroom , awkward . tub wall pretty high , old traveler may problem get . food : hotel 's free continental breakfast every morning , never wait always food . friendly service good coffee , coffee snob sure . misc : ask safety deposit box , tell use . think be like 200 + room hotel , not safety deposit box set aside room ? also , hotel hallway smell little musty , room always smell clean fresh . internet access 50 p 10 minute - expensive . hairdryer perfect -- low high work well low - maintenance hairstyle . LOCATION : hotel 100 ft away ( ' m kid ! ) Kensington High Street tube station , Circle line , hit good stop London . definitely plus ! ! ! not forget buy travel pass online go -- buy 7 day pass perfect . , enjoy stay . 
 Sep 16 2006 	 fairly price clean mediocre overall 	 Priceline call hotel 4 - start assure . good , 3.5 star . lobby clean , bright , nice ; however , front desk staff knowledgeable hotel . need room two bed even call make note reservation . put 3 room get two bed . visit London tourism , place fine . will not spend much time room location near good shopping right around corner tube . overall , ok . 
 Sep 8 2006 	 Excellent value service 	 hotel one bargain London . overall appearance clean . wife great king size bed , great size boot , ! bathroom clean maid cooperative ask towel toiletry daily . my gripe smell smoker non smoking floor . ( always amazed large , room plentiful hotel smoker request non smoking floor ! ! ) enjoy London restaurant . say , London expensive , part ther reason go London experience food , nightlife tourist attraction . we would definitely return . 
 Aug 24 2006 	 great place stay 	 daughter go London 18th birthday / high school graduation gift . 4th visit , 3rd . arrive early , 8:30 , check bag . have fly overnite , exhausted . clerk reception desk want check we , room ready , ask another clerk say early . oh well , 3pm official time . anyway , allow check bit 12 . have book twin room , get double . sleepy not complain take long nap . stay 10th floor . ' ve read review complain noise etc . 8/15 8/20 never hear sound . bed comfortable , room clean refrigerator blessing Mark Spencers block away . buy many meal . London expensive , live outside New York City . daughter remind , think would cost Manhatten . right . really not much expensive thing cheap . get great theatre ticket , Phantom Avenue Q much less would pay City . someone be travel student , bring ID . many student discount include Buckingham Palace , Tower London play . issue hotel concern blow dryer light bulb . blow dryer not work low speed smell burning . take 4 day complaint get replace . , housekeeping say would not replace not report burn smell , blow dryer 2 speed ! ! ! miss light bulb never replace . complain 3 time reception . convient High Street Kennsington Station tube easy navigate . like stay different location , probably will not return Copthorne Tara . would recommend anyone visit London . bargin expensive city . 
 Aug 22 2006 	 so - so experience 	 two - night stay pretty anonymous hotel ... great location reasonable foyer - room show age . first time find air conditioning & quot ; & quot ; position cold yet , switch , leave room overheat quickly . at almost £ 140/ night ( without overpriced breakfast ) would reckon would find character money hotel close - by . however , get cheap , be probably worth money . 
