love 	 hello , stay Soho Grand one time fantastic experience . room noisy first day ask change room give one 15th floor great view . staff nice helpful left good tip ; ) go back January book there . relation quality - price : excellent . 
 Jun 12 2006 	 Service Style ! 	 woman complicated taste ... please Soho Grand 's style amenity . room terribly small , service spectacular , food ( especially Mac & amp ; cheese ) fantastic , toiletry unparalle ( good , fact , walk hour find tiny shop make ... could spend $ 160.00 bottle lotion ) . although hotel not giant gym , oppulent spa ... staff make feel though wish thi demand . would recomme hotel high maintenance friend ... 
 Jun 12 2006 	 Soho Grand grand ! 	 use live NYC , since relocate eastern end Long Island , husband still like spend occasional weekend Manhattan . become somewhat challenging since birth son , almost year old . hotel , know , take every opportunity charge anything , ' ve become accustomed , especially need crib room ( average $ 40 per stay , experience ) . delighted report Soho Grand complimentary program people baby , include crib baby toiletry , everything else wonderful well . join Grand Guest program , give 10 % room welcome ammenity . choose fruit cheese basket , lovely ample treat . also book Seduction Soho package ( many package available ) , include 2 cocktail ( $ 12 - 18 cocktail , quite nice surprise ) , late checkout , early check - in , chocolate , glass champagne , full american breakfast two . freebie often subpar , . breakfast delicious - eggs fluffy scone buttery . staff accomodate without fawn , helpful get - go . doorman point free parking spot block , though could ' ve easily hawk hotel 's $ 45 parking . baby spit sheet middle night , someone cheerfully come change sheet we . not change room service tip , server gracious say thing happen tell worry . course , make want hunt tip even get change , ! nothing bad say hotel wholeheartedly recommend . 's great location , room decent size , perk endless . 's official hotel city - can not think high praise ! 
 Jun 8 2006 	 mixed experience Soho Grand 	 great asset hotel location style . mix experience previous stay need stay area , decide give Soho Grand another try . upon arrival prompt , friendly service front desk . take 45 minute wait phone call part get luggage bring up . on positive side , room clean , well soundproof , offer stunning view Manhattan . housekeeping service good responsive need . on less positive note , furnishing poor , shabby condition clearly thorough check room prior occupancy . previous stay defective tv set . time , tv set fine floor lamp work , light switch visibly break . replace satisfaction . the in - room telephone also defective . every single attempt call either guest service room service would result interrupted connection -- , manage get dial tone . request in - room phone check replace need . not know whether . , second phone also problem . last call , request luggage pick - up checking , cut ( usual ) . second try , staff member front desk tell line function well morning . since function well past six day , sadly surprised . by way , request luggage pick follow . call yet twenty minute later , time hotel appear particularly swamp arrive depart guest . the room service staff prompt courteous . however , six morning room service tray include plate ( never mind two ) we eat , say , pastrie continental breakfast . disappointed room service menu . find , like hotel , heavy concept light satisfaction . good - quality deli across street hotel become , default , daily source appeal option . the doorman helpful , friendly , professional . not make various annoyance pop stay pointed lack true attention detail . steep price , stylish hotel neglect basic good service degree Soho Grand . 
 Jun 8 2006 	 Polite efficient helpful 	 pleasant room nice view Uptown . everyone deal polite without formal helpful . manage get table Gramercy Tavern short notice . will go back . PH 
 Jun 5 2006 	 fabulous hotel epitome NYC 	 arrive late delayed flight London stay Soho Grand Hotel everyone doorman reception friendly . bar open late funky lay back yet sophisticated atmosphere . great location , go morning run along river central numerous place eat shop . good size room well . would recommend . KimmberlyLondon , England 
 Jun 4 2006 	 great location 	 love stay . forth visit . location great near shopping restaurant always get good service . like modern decor . 
 Jun 4 2006 	 love every thing ! ! ! 	 39 42 year old couple come back 3 night Soho absolutely LOVED ! ! ! first important take everything perspective . talk New York City . room expensive small , view usually non - existant . , personally , make good hotel room , comfortable bed living space , friendly staff , great location , good amenity . Soho Grand thing . the room average small definately comfortable . way furnishing place definately make room appear feel large . bed extremely comfortable pillow fluffy duvet , plasma tv ; be nice touch , bathroom also small well lay . room feel new fresh . good airconditione window also open prefer . pedestal sink also shelf table bathroom allow lay thing comfortably get ready . shower marvelous - great pressure nice hot . ton towel . yes true not coffee maker room ( although in - room bar nicely stock nice assortment drink goody ) marvelous machine every floor make good coffee , hot chocolate , water tea , etc . comfortable stroll pj 's robe - never see anyone anyways ( regadless room , could not 30 step less ) . complimentary continental breakfast nice touch morning - fantastic pastry coissant . hotel amenity perfect we . fantastic lounge restaurant . cool chic - bit expensive side , quality good . service fantastic - front desk , conscierge , cleaning staff ( turndown service nice also ) , room service .... everything quick everyone extremely polite . the location superb ! ! ! ! enough uptown midtown , time decide stay soho could spend limited time great neighbourhood soho , grenwich , etc . hotel BEST location ! ! ! ! right West Broadway . within 50 step amazing restaurant shop disposal . oh yeah , forgot mention - taxi fare Laguardia airport hotel also nice surprise . hotel $ 24.00 hotel back airport $ 33.00 ( get stuck traffic ) - much less fare reading . Taxi fare uptown Rockefeller Centre / Saks / Lord taylor/5th Avenue Shopping approximately $ 10.00.we definately recommend hotel anyone look boutique style experience hip , cool relaxed area soho greenwich area . definately would going come back . fact would not stay anywhere else anymore . go enjoy ! 
 Jun 3 2006 	 Soho Grand around excellent ! 	 go NYC several time throughout year .. whenever stay overnight stay SOHO grand . grand sheek & amp ; sophisticated ... pretty staff , l room , add touch offer .... favorite fish ! ( bringing pet- allow , offer supply w/ & quot ; pet goldfish & quot ; keep company stay- generally room upon arrival ) .... location great walking ... lot shopping , restaurant , & amp ; gallery - perfect artsie type .... town ... $ 20 ( ish ) cab ride .. price cheap , sometimes offer fun package & amp ; peak season definitley good buy ! fussy someone like , can not say anything bad- even mistake make , ( hey be human ! ) , recovery satisfactory ! hope enjoy . 
 May 31 2006 	 grand 	 price reputation , Soho Grand meet expectation . stay May 2006 part wedding party fairly disappointed service . reception staff stuffy unaccomodating . even though call ahead one day morning , unable check one minute offical 3:00pm check . request extra towel , receive 2 hour room make . room small , typical ny , bed comfortable . hotel clean modern location great , feel hotel overly pretentious ordinary 's service level price . 
 May 30 2006 	 enjoy stay SoHo Grand Hotel NYC 	 although stay overnight SoHo Grand Hotel experience average . bed room comfortable . basic like coffee , tea , hot chocolate compimentary , available hour day night . service immediate . meet friend , come New Jersey . hotel staff coordinate arrival without issue . staff polite , friendly accomodating ! service personal feeling . 
 May 30 2006 	 Excellent B - Day Package 	 take husband NYC whirlwind tour , start stay Soho Grand . Booked B - day package ( cupcake , champagne toast , free gift , early check - in / late check - out , etc . ) overall happy would certainly visit . must admit bit nervous choice read Fodor 's 2006 ( old tired decor ) 1 star review Trip Advisor , find nothing sort true . the staff nothing gratious . 1 snafu ( champagne toast promise upon arrival - ask twice , apologetic friendly situation ) .The room great - contemporary , view uptown request , etc . loved cd selection Bose radio flat screen tv . b - day cupcake well ever ( cake person ) .We love location hotel - minute foot cool shop / restauarnt etc SoHo . Grand Bar great - good drink , great app ( not full dinner ) , great music . happen scene , & quot ; SCENE & quot ; , feel comfortable . we tend pretty picky ( never stay another & quot ; W Hotel & quot ; ) - think hotel great . 
 May 26 2006 	 bad 5 - star hotel 	 issue card key every day go slow elevator reception time . sometimes hotel staff happened help . ( actually nice ) reception usually shorthande wait ... make feel miserable end day , look relaxed bath ! room throughly clean , fact find one grass particle floor , fortunately inujure . amenity replenish leave note ask .. ( tip ! fyi ) coffee maker room , big coffee machine outside along ice maker . many people go bathrobe .. .. even though teach go room attire : p Afterall five - star hotel , expect comfort certain extent , thought could expect ! ( rating base expectation hotel grade , let know . ) 
 May 23 2006 	 Loved Soho Grand 	 love spontaneous unexpected , hence love visit ny . also like something ground . Soho Grand use . always make sure stay . 
 May 16 2006 	 SoHo Grand Top Notch Service 	 return weekend SoHo Grand . second stay service continue first rate . every staff member encounter warm , friendly helpful . room large average NYC hotel , well appoint room lack size hotel make amenity , service location . besides , room walk front door enjoy SoHo ? 
 May 15 2006 	 love soho grand 	 love area , great location soho . room small comfortable , great amenity . 14th floor . pretty quiet . really enjoy stay . architecture hotel cool.i would recommend hotel 
 May 8 2006 	 Soho Grand GRAND ! 	 choose Soho Grand area love , welcome pet dog open arm doggie treat . add bonus , room extremely comfortable , service impeccable , give good discount return guest . would highly recommend Soho Grand anyone visit New York . 
 may 8 2006 	 Grand Hospitality 	 relocate native New Yorker , delight visit home town stay SoHo Grand . every member staff manager housekeeping could not nicer . atmosphere one downtown sophistication , service like family estate . 
 May 7 2006 	 goldfish great view 	 Dear Ian , love Soho Grand ........ thank much consideration . there time get new keycards one fail . mean trek back reception . luckily wife bear fortified bowel . nevertheless , serious complaint not recognise goldfish water change . thank , Paul & amp ; Kai 
 May 6 2006 	 great place stay ! 	 like hotel much top list place stay Manhattan . travel business refreshing stay hotel full & quot ; suit . & quot ; since be locate Soho , clientele young , hip , artsy . staff accomodate efficient . room terrific north view city comfortable cozy . feel like hotel room . another plus hotel allow pet . highly recommend place stay . 
 May 4 2006 	 Exceptional service 	 lack space , make service . , completely honest ... tear travel LOT business past two year stay everywhere Four season Ritz Rivington NYC alone . room SoHo Grand far small price anywhere stay NYC . hand , service parallel well . even treat hotel General Manager amazingly delicious cupcake note birthday ! everyone super friendly concierge quite helpful . food hotel excellent atmosphere . hotel locate great location -- walk distance multitude trend - set bar , restaurant shop . far pet friendly concerned , dog mork amazing experience . send comfy pet bed bowl upon arrival . heaven . live goldfish room fun add touch . complimentary coffee , hot cocoa tea every floor ! also , register Grand Guest program receive complimentary yummy pastry , tea coffee , juice daily . great business traveler , especially since wifi work seemlessly . would definitely stay service location ... ideal world , would love couple spacious , modern room . remember ... NYC make choice ... space scarce general always trade - off , whether neighborhood , service , whathaveyou ... opinion , SoHo Grand excellent service fun vibrant neighborhood . work . , remember ... room small , compare standard , might bit skewed , definitely keep mind . overall , give & quot ; A. & quot ; 
 May 2 2006 	 Great Hotel 	 3rd time husband & quot ; Grand guest & quot ; stay tribeca Soho Grand Hotels find enjoyable . room although small luxurious necessary amenity . service excellent great attention detail . & quot ; Seduction Soho & quot ; & quot ; Tryst Tribeca & quot ; package include breakfast bed . ( Breakfast tribeca well ) would highly recommend either hotel . 
 May 1 2006 	 Great Hotel Great Location- Impressed ! 	 return 4 night stay Soho Grand , vey impressed . read review woman Luxembourg post , ( ) say experience opposite : find hotel staff courteous helpful . even offer we & quot ; loaner & quot ; umbrellas ( nice big one ) rain part stay . although bring dog , also love fact pet - friendly hotel . as mention reviewer , hotel great location- one good neighborhood New York , lot great dining option nearby . also pleasantly surprised room service . order 2 late night snack one breakfast , arrive within 30 minute still hot actually surprisingly good food room service . hotel lobby bar area also nice . room quite large New York standard , maybe jade last time stay one tiny jail cell atthe Hudson hotel last stay . ( could touch 3 wall time ) . hotel also offer nice business room , access several Mac pc computer free . bring computer check email , need it- definitely leave home . overall great stay ! 
 May 1 2006 	 one word : HORRIBLE 	 stay 2 night usd 500 night , shower do not work properly , room small extremely ordinary . send shirt iron day mess get back 2 hour late charge . trust , travel lot everywhere one bad experience ever . 
 Apr 30 2006 	 Soho Grand revisit 	 husband stay Soho Grand April 21 - 25 , 2006 . 3rd . stay past 2 yr . , mainly fantastic location . past would rate okay , problem . last visit pleasant surprise mark improvement ! moment arrive time depart service attentive detail . believe contact every department hotel . professional courteous manner staff member , young woman front desk maid service , room service , concierge doorman commend . remind previous stay great service hotel worldwide . our room , small U.S. standard , newly refurbish . great bed great linen ! basket fruit , turndown service nice touch . needless say , happy stay plan stay next time . 
 Apr 26 2006 	 great stay Soho Grand - much well expected 	 read review little worried end lovely time Soho Grand . check - in check - out find staff polite , friendly helpful . possible exception may doormen concierge basic job that s ( not rude forthcoming perhaps New York ! ) . book Seduction Soho package 40th birthday stay 4 night Easter weekend . give nice room ( spacious expect ) view Empire State ) . package include champagne arrival , breakfast room everyday drink bar ( issue regard last bit - i.e . promise booking give arrival swiftly pleasantly resolve satisfaction Sonya front desk ) . fact Sonya go far send sparkle wine chocolate room make stay even enjoyable . lovely thought ! love location - convenient subway , restaurant , bar , shop etc . bar Soho Grand fun standard food good . 
 Apr 25 2006 	 stay 	 beautiful , hip , urbane , exciting . perfect location . great bar . spacious room ( NYC ) reasonable price . attentive knowledgable staff . 
 Apr 24 2006 	 place avoid 	 arrogant incompetent staff – small noisy room . worth $ 250 / night . over last 20 year , stay various hotel NY city , range $ 200 $ 700 night . stay Soho Grand definitely bad experience . notably due behavior staff : arrogant , unpleasant , unhelpful , attitude . • front desk , like room service , badly understaffed . check around 2:00 pm , front desk lady advise we wait full hour , room ready , since " official " check time 3:00 pm . even bother call clean lady could speed bit ' wait another full hour 8 - hour plane trip Europe . even Motel 6 ! eventually , leave luggage hotel come back around 6:00 . give room ( 901 & amp ; 1101 – number avoid ) , , surprisingly enough , could see see adjacent corner room ! thus , close curtain single window room whole stay retain little intimacy . ask change room , tell hotel fully book – course ; • room ordinary , extremely small , noisy , furniture cheap ; bathroom chronically undersupplied toilet paper tissue , insufficient water pressure , clean . floor lamp break come , like curtain ( ask fix ) , hanger leave closet ; • morning , decide order breakfast . tell we wait hour . say would late . reply would cancel order ! fabulous ! evening , ask deliver next day 8:30 8:45 . arrive 9:20 ! without excuse , miss crescent order back unpleasant room service lady . , price cheaper make order day , low quality food ( coffee tasteless brown water liquid anything else ) . know quality service mean , pretend ; • one evening , drink bar , bring 2 cold drink – one fake " freshly squeeze " orange juice , wait another 10 minute see warm drink come ; • come forward staff , seem annoyance . seem attend high task serve . indeed pay . leave tip store luggage , two would stop reply ! ; • climax journey come try take picture totally empty lobby ground level , wait friend . woman show say " photo policy " . see tourist take picture day , concierge never say word , arrogant woman decide could ( carry expensive camera around neck ? ! ) . look superiority - although suspect could really afford spend $ 1800 left day , ask security guard repeat message ! ! ! absolutely unheard ! ! ! fact , could advise " photo policy " room lobby . 
 Apr 23 2006 	 great stay 	 nice stay Soho Grand . room bit small , king bed . ( share girlfriend , would prefer two bed ) . bathroom need update . bar great fun , relaxed . location great . concierge helpful . second stay , would . wish room large . 
 Apr 19 2006 	 Great Location impersonal service 	 would highly recommend Soho Grand location , Soho fantastic bar , restaurant shop . hotel lovely , room small everything need . downfall lack friendly service ! staff stoney face , one offer help take bag room be not offer kind guide hotel ( bar / restaurant / gym etc ... ) almost help we . cheap stay one expect much well service money . 
 Apr 17 2006 	 Brilliant 	 Unbelievable view Manhattan north . issue noise ( 14th floor ) . friendly helpful staff . couple issue lamp handle quickly . super convenient location Soho subway . defnintely stay . 
 Apr 17 2006 	 . . . Goldfish : ) 	 incredibly cute hotel , great amenity ( include iPods , loaner goldfish , need one ) .great location Concierge service really know neighborhood city . incredibly friendly efficient staff . love ! ! 
 Apr 16 2006 	 amazing hotel superb location impeccable service 	 stay around world several ' Leading Hotels ' , frequently impressed service . however , SoHo Grand recommend New York ideal area , ditch Leading Hotels opt SoHo Grand . ' m glad . upon arrival , goldfish already instal 's bowl room , seem quite ease . room beautiful , extensive view SoHo Corner King . bed sumptous , bathroom understate beauty . suppose overall style reminiscent 1920 's luxury hotel , hotel far stick past . plasma screen tv room , well iPods BOSE sound dock upon request ( free ) , well BOSE CD player . gourmet mini bar treat gummi bear organic chocolate , well usual alcoholic treat . bathroom , selection ' we live like ' product ( shampoo / conditioner / shower gel / cream ) provide , well thick lucious towel . the communal area hotel impeccably present beautiful . large adornment flower around , contrast well industrial style . fitness business centre well equip , bar great excellent service . uniform staff wear fashionable , beautiful black dress front desk staff . concierge knowledgable courteous , provide amazing dinner recommendation ( Kittichai high - end Thai highlight ) .The actual hotel second away luxury boutique well connect main tourist destination . all , excellent hotel , comes highly recommend . 
 Apr 13 2006 	 regularly stay Soho Grand 	 enjoy comfortable room bed , great service , quiet night 's sleep . great access restaurant shop well NYU . 
 Apr 11 2006 	 still sophisticated unpretentious 	 spend weekend SoHo Grand Hotel . stay hotel many time continue feel hotel strike near - perfect balance attentive service respect privacy . the room comfortable , staff elegant fun , especially appreciate fact doorman bellman know name genuinely seem happy see return . 
 Apr 9 2006 	 Location Service ! 	 stay Soho Grand recently business , find fantastic term service location . block heart Soho shop restaurant , Chinatown , subway , etc . the service fabulous well . everyone helpful full smile , always make difference . the lounge become great hangout place night , great place morning coffee . I will definitely stay . 
 Apr 5 2006 	 not go 	 's like secret not . mean , year people stay SoHo Grand . never go Tripadvisor , time scare uneven review . lead stay many different place : Rivington , Hotel Gansevoort , W , etc . must say , really loathe write feel certain responsibility like - minded individual , SoHo Grand good hotel ' ve stay city . period . first , be beautiful , beautiful New York way . personal taste might one thing another , SoHo Grand capture New York City ( good part anyway ) put every single detail , large small : black white photography adorn wall , dress code sleek handsome staff , large , glorious coffee cup wait hotel room -- be even present right glorious Terrazzo floor step upon first enter stunning hotel . far guest room go , comfortable , even homey . bathroom lovely white brick - style New York ' tile , bathtub deep , roomy , large -- , bath person , enjoy , water pressure remind one every New Yorker brag New York plumbing . lotion lovely vanilla aroma , shampoo actually works ! even hardware like sink handle , etc . sort white porcelain black writing would think would see stay grand hotel Manhattan twenty forty . maybe SoHo Grand Algonquin like day ( ' ve stay -- not bother , unfortunately ) . let say view north side hotel stunning ( can not vouch south , not stay ) . picture postcard . will probably photographic view Empire State Building smack - dab middle large spacious bedroom window . get well ? yes . bed good NYC . put way , be right Hotel Gansevoort must say , well . ' m think buy whole thing . one thing find considerate unusual drapery . thick heavy , cloth drapery pull efficiently block much light , would venture guess , noise well . commodity Manhattan . as far social aspect go , bar lounge hop interesting people ACTUAL NEW YORKERS . come NY , live city decade ago , love place attract real - deal people . be sophisticated lot . be go see Bridge & amp ; tunnel people . think have kick -- okay , be mean , know , would feel uncomfortable . high - caliber place . snooty , necessarily , certainly scene taste , culture little bit wealth worldliness prevail . like SoHo 's another thing . course evaluate part city would like , money , SoHo exciting , beautiful area reason , right , be well 's year . can not quite pin . whole city seem alive way not year SoHo capture . 's pretty thrilling certainly make heart swoon New Yorkers ' ve difficult tragic time . but back hotel : free WiFi lounge guest well well - function Business Center 3rd floor helpful . people . door hold open , problem Axl people front d take care right away . kind , remember take care . fact , staff much well model Rivington ( review , Nov. 14 , 2005 , little . experience , would give 3 4 rating ) . not want mislead . employee Grand also easy eye , unlike Rivington 's Abercrombie & amp ; fitch runway concierge , addition SoHo 's people super - duper competent , friendly efficient . sorry , Rivington , truth truth . perhaps ' ve improve time , , apology . oh , forget , request , put luscious goosedown pillow room goldfish pet -- love . much girl meet elevator request take back Ohio . say , would die . look sad let carry around plastic bag awhile . see , hotel , every respect , good place planet . which , fellow traveller , think not tell . want Eloise stay time always special room ( actual number choose share ) place like favorite restaurant word get . know , something good , people treat well , feel must reward hugely possible . besides , get go NYC twice year . say , desire always able stay -- ifs and but , let us keep little note we , okay ? 
 Mar 17 2006 	 love room 	 Soho Grand gorgeous hotel , courteous staff . love queen size bed . comfortable linen comforter exceptional . trouble sleep hotel bed try hotel , get great night sleep . 
 Mar 13 2006 	 Classic cool 	 location Soho Grand can not beat ... 's right middle everything . room predictably small ( welcome NY ) , claustrophobic . well - decorate , rest hotel . stay regular room , well Penthouse suite ( complete 600 sq . ft . terrace ) . size room varied , well - appoint , beautiful , clean . not rely service hotel much , opinion 's good not notice ( i.e. , not ask thing ' ve take care everything ) . regard , service SG excellent . be pricey , worth ... particularly weekend NY . 
 Mar 10 2006 	 re Soho room 	 guarantee reservation room We d night . dinner nearby , go Soho Grand 9:00pm check . room ; & quot ; sell & quot ; . offer even pay high class room .. anything . room . hear could problem cowrker endure similar experience , go far press reservationist ahead time . ensure would room available . well , room . offer pay $ 5 cab ride Tribeca Grand . nothing else . tribeca Grand , room supposedly available 3rd floor overlook bar area . , door already open get . find another guest hall someone else room , apparently liked leave ! Soho Grand ... tribeca Grand ... place bar / restaurant also happen hotel . Service nowhere find . quality product terrible . never return . 
 Mar 9 2006 	 Great Hotel good part NYC 	 love hotel sister hotel street , Tribeca Grand . staff awesome helpful everything . room small stock many amenity feel home immediately . location Lower Manhattan not convenient Midtown ( need go anyway ! ) Cool SoHo shop mere block away , everything else short cab subway ride away . the SoHo Grand first choice NYC ! 
 Mar 7 2006 	 love stay 	 great hotel , great location , great continental breakfast deliver right room , perfect place stay city . 
 Mar 6 2006 	 ideal location staff amenity 	 Soho Grand prove ideal location hotel trip NYC . drink upon arrival await front desk , bell man could grab taxi one minute , goldfish room bed comfortable enough queen . love ! one additional perk 's closeness Soho Chinatown . 
 Mar 4 2006 	 Soho Hot 	 great night Soho Grand . staff friendly accomodate uptown facing room great amenity like flat screen tv , cd player internet connection . room minimalist comfortable . lounge great place late night drink . adrienne front desk one accomodate invividual ever meet travel . 
 Mar 3 2006 	 Great Place Great Service 	 frequent traveller NYC , ' ve stay many hotel , strong preference Soho Grand . location great , convenient work , restaurant , nightlife , number hotel area . set apart -- among thing -- people service . as frequent guest hotel , request minor modification upcoming visit . pleasant surprise , respond quickly request , go way ensure request carry through . sometimes 's little thing memorable keep come back . 
 Mar 3 2006 	 can not fathom write great review mediocre hotel 	 stay hotel four day Dec 2005 , can not imagine anyone would write glow review place . travel great deal - ' ve 32 country live three different continent - think reasonable basis comparision . line many review , think staff completely fake overblown air superiority . personally , would not describe ' great service ' people get pay service we , hotel 's customer , treat we annoying interruption important task . dripping attitude ? suspect one could afford shell $ 600 / night hotel take we . also like many reviewer , bathroom clean , water pressure feeble good , shower drain ineffectual , chronically undersupplied toilet paper tissue . Believe , number circumstance less pleasant call front desk toilet paper ! one final note - arrive long transatlantic flight , another reviewer complain , spend 20mins try find check - in desk . could shell $ 50 $ 2400 gave put sign direct guest upstairs . hotel charge $ 200 - 250 / night would not write negative review . however , $ 600 / night expect bit SoHo Grand . 
 Mar 2 2006 	 Lipstick Pig -- two - Star Mediocrity masquerade 4 - Star Hotel 	 reading review site , seem two Soho Grands , hip , trendy 4 - star hotel two - star cramp room , spotty cleanliness rude staff . unfortunately , stay second one ( see hint first exist ) .The room pitifully small , particularly clean . minimal space anything sleep . bathroom likewise tight squeeze . moreover , bed / bed 4 - star standard . problem unique single room , move twice finally give suffering night there . the first room smoking room absolutely reeked , stain carpet , scratch - up furniture . second room , supposedly non - smoking room , likewise reek smoke obviously well - clean since disgusting , rust pair tweezer lay middle tiny table double room 's & quot ; desk . & quot ; ( photo ) . offer leave would refund money , refuse . finally , move describe & quot ; upgrade & quot ; room , guess mean & quot ; room stink , & quot ; noticable improvement . also , not expect sound night 's sleep . SoHo Grand locate exit Holland Tunnel . Know come Holland Tunnel night ? truck . lot . big , loud truck roll tunnel night long , snorting belch motor exhaust noise amplify echo chamber effect tunnel . the staff 's snooty unhelpful attitude add insult injury . worse still , front desk guest service badly understaffed . result , several time wait line hold 10 minute pleasure subject shabby treatment . true , bathroom nice toiletry room plasma screen tv , smear lipstick pig . SoHo Grand advertise price 2 - star hotel , would complain ( course , would never book ) . appear guest establishment european tourist , seem know american 4 - star hotel suppose like . ( perhaps ignorance bliss . ) unfortunately , spend hundred night dozen New York City hotel year , know well . bottom line , dump compare unfavorably Holiday Inn Express Hampton Inn . expect quality , stay away , stay far away . 
 Mar 2 2006 	 beautiful hotel top - notch service 	 beautiful , hip hotel great part town . everyone staff exceptionally friendly helpful , request treat care . really can not think anything could do well ! 
 Feb 27 2006 	 Soho Grand - Amazing Pet - Friendly Special Occasion Weekend Destination 	 terrific luxury weekend getaway place -- staff welcome helpful . location also stellar enjoy walk around variety great neighborhood ( without dog ! ) .There well place pet . Collie LOVED place place ' ve ever take -- bed bowl room abundance attention public area , include able join we cocktails lobby lounge area -- really fun scene fill character trendster weekend night . truly welcome ( oppose permit tolerate many nice hotel ) .The room small ( welcome Manhattan ) , really well - appoint nice view busy street one side Empire State building distance . surprisingly , widescreen tv really low quality equipment nice place otherwise . bed great . bathroom fine . housekeeping efficient charming meet -- handle dog room really well . twice , room service breakfast service food quality low point stay . lounge area food later day far well reason . communal coffee service ice machine hallway also adequate impressive . the fitness center small sufficient basic workout need . 
 Feb 23 2006 	 Cool place 	 Cool hotel , nice mix industrial , euro old world . order W , without much attitude . Plasma TV , soft bed . great location SoHo near financial district work well business - price bit well NYC hotel . would stay 
 Feb 21 2006 	 Weekend 	 's beautiful hotel ; simple elegant . location great -- perfect walk city access good restaurant . 
 Feb 20 2006 	 Nice Locale Mediocre Accommodations 	 book stay SoHo Grand base trendy reputation proximity SOHO 's shop hang - out . trip late valentine 's gift ny , aim something fun , Soho - ish , sexy / romantic . expect , location nice lounge / bar enjoyable . grant get regular suite , ' m disappointed say hotel service significantly less impressive . Pros - unbeatable location - great Bar Lounge - Innovative ammenitie ( e.g . iPod station option , CD 's room ) - Decore consistent feel neighorhood - nice viewthe Gripes - many service staff seem pretty junior un - train hotel service . - bed home well - poorly stock toiletry - smelly room - tv may one give goodwill 10 yr ago . - trash front hotel neighore store . mean lot trash . - poor quality towel . - list sort go ... ( unfortunately ) problem stay motel , fact , sort like , pay nearly $ 300 room . overall , hotel price expensively great location , good enough leverage . can not recommend great part town . may want look elswhere little homework stay Soho Grand . 
 Feb 20 2006 	 great location 	 great view , great location , great ambience , Great City 
 Feb 19 2006 	 wonderful hotel . 	 stay night Soho Grand wonderful experience . staff welcome efficient ( glass champagne offer check - in lovely touch ) . location NY great . can not wait another excuse stay . 
 Feb 13 2006 	 nice 	 hotel absolutely outstanding . service amazing , book easy simple . although not stay room long , high standard . will definitely stay . 
 Feb 11 2006 	 room view 	 treat long weekend Soho Grand Thanksgiving holiday . fly way CPH hometown arrive hotel tired jetlagge . check - in warm friendly ( remember NYC ) . upon arrival , notice birthday ( man birthday 3 day apart ) deliver deliciious chocolate cake room . thoughtful . service throughout stay extremely high . room service fast , delicious expensive worth . room small . , New York space commodity . small thoughtful amenity cd player room , also varied selection music , put Soho Grand step traditional hotel . Thanksgiving Day , treat free - flow hot pumpkin cider . good view wake every morning go sleep every night . hometown never look well . Soho Grand downtown NYC hotel , plus whole lot . 
 Feb 6 2006 	 beyond expectation 	 truly enjoy stay Soho Grand . room spacious lovely . stay . 
 Feb 6 2006 	 soho seduction 	 beat soho grand romantic weekend away . wife shock take shop soho weekend , hotel great easy everything soho . package weekend seduction big plus . 
 Jan 31 2006 	 stay Soho Grand 	 daughter come Florida Soho Grand hotel . throughly enjoy stay hotel . design decor hotel unique appealing . restaurant fun good food . good place shop eat step away hotel . busy part New York , still plenty energy . 
 Jan 24 2006 	 lot style ... need substance 	 stay twice Soho Grand , business romantic weekend wife . it incredibly cool hip hotel . staff ultra smooth cool overtly friendly -- seem look upon guest nusiance . room small comfortable -- room service never answer phone -- - probably check mirror . the bar weekend extremely busy benefit resident -- queue along everybody else table . that say spy whole bunch celebrity etc bar please wife end ! know deal ( e.g . first morning breakfast dining room -- bacon egg serve lady look like step straight Robert Palmer Addicted Love video ! ) good not expect overtly warm welcome ! extremely cool friendly . the location however second none -- Soho etc doorstep -- great bar /restaurants/ shop . 
 Jan 19 2006 	 Good Usual 	 Returned Soho Grand 3 day MLK weekend . great time usual . people concierge desk always extremely helpful pleasant . remodel room look great . 
 Jan 19 2006 	 Hotel Comforts Home 	 nice concept hotel . enjoy fact top - heavy staff . whole experience feel like stay luxury apartment . always enjoy stay Soho Grand . staff courteous , service good public space nice . recently discover website call Tablet Hotels since spend time daydream stay world . come actually , always good price . 
 Jan 19 2006 	 Soho Grand stay home ! 	 Soho Grand ' get ' . place stay go ny . great staff . even give goldfish like ! 
 Jan 16 2006 	 Amina Greatest Concierge 	 Amina Blacksher , Concierge , really make stay memorable . 
 Jan 15 2006 	 Hip Hotel Great Neighborhood 	 stay Soho Grand four day first trip New York . Queen Deluxe room much large would expect NY hotel , appoint tastefully . large pillow soft sheet make comfortable sleep . time relax lounge bed watch flat screen tv . hotel new ( build 1996 ) , retro quality . lobby cool atmosphere eclectic music play softly throughout day . night , DJ play lounge . location excellent plenty restaurant nearby . close several subway station well . unique hotel cool neighborhood nice break light noise mid - town . Bonus feature- Soho Grand email prior arrival see want loaner iPod Bose docking station , well goldfish room ( yes , Goldfish ) . 
