small 	 stay club room find slightly small large enough rarely room . adequately clean club room come breakfast great , plenty fruit , yoghurt , bagel , toast , juice , cerial coffee . check quick staff always friendly . last day one group though lose passport hotel staff could not helpful , particularly Curtis . would definitely stay 
 Perfect location 	 book trip March 09 slightly worried review read say please people ! ! check service could not well show nice room 8th floor 2 double bed . massive room small mean clean sign bug ! service security good make we feel safe know people show room card use lift . all would definately go back Milford although maybe renovation price will not attractive , would shame could not got hotel well location . 
 good hotel excellent location 	 hotel close soon renovation approx two year want say superb hotel -friendly staff excellent location around corner time square 
 Old tired 	 even suppose ' upgrade ' corner room dumpy small old smelly furniture drape saggy mattress . would receive ' upgrade ' wait half hour check clerk try find reservation , file misspelling name . wait 15 - minute line check . ( always line front desk . ) bathroom clean internet room work well . the location good want near Times Square , not know would want stay . area mob tourist , line people mill around theater make difficult walk hotel point east . price , well choice . 
 value money 	 Milford Plaza fantastically base hotel around corner Times Square walk distance fifth avenue , rockafella empire state building walk . right middle Broadway look show hotel must . room bit small , bit grubby really warm , put air con November . downside room small side , smell musty way hot otherwise good base sleep leave belonging behind . safe bedroom find staff totally trustworthy , helpful really pleasant . Milford Plaza due close December 09 refurbishment though must say look bit tired could . would definately go back refurbish well worth visit . oh take notice comment bed bug cockroache definately none bedroom find linen clean , enjoy 
 friendly hotel excellent security 	 friend stop milford plaza 31 oct 5th nov 09 . 40 . read review already book 50/50 expect . pray have not make mistake needent worry arrival show room deluxe room 2 double bed 16th floor . expect room small review say . think room small need feel comfortable . even hairdryer bathroom great . also safe free u select password open . room clean daily . noise hear emergency service blaring past hotel . the security could well feel safe staying . show room key allow lift good make u feel even safe know body good would get past security man . underground station outside hotel much cheap getting taxi . use quite alot newyork . good thing though hotel location . right middle new york city . not forget theatre district . we ask security man new good restaurant go direct we one 9th ave call west side 5 10 min walkfrom milford u like pancakes place eat . local police also eat good sign good food . service top mark . orange juice lovely also . hotel though close 12 dec 18months 2yrs I ve hear renovation cousin live newyork tell goint build top milford plaza apartment . next time guess dig deeply ur purse stay , do not think budgit hotel much long hope I m wrong . also watch taxi driver airport get sting . airport milford cost we 64dollers that s man write paperwork give driver driver go wrong hotel mistook say charge we 84dollers . tell reception milford one set price matter drop we . goodluck need worry hotel be not dirty least floor . great hotel . great location . say xx Bridget coventry . 
 Feb 18 2009 	 pay stay elsewhere 	 arrive late evening wait reception extremely slow staff check we . state give $ 50 one debit card cover charge incur stay hotel . arrive room find nothing would incurr charge , mini bar . room smell damp musty . bathroom wallpaper peel wall lot mould radiator , wall ceiling . could hear resident due thin wall noise lift night . staff extremely rude unhelpful . ask concierge restaurant get something eat reply & quot ; not one & quot ; , ignore we first time . although website state cafe sell breakfast , lunch dinner hotel . having look around local area would advise people pay little money stay one brand hotel right Times Square . 
 Feb 15 2009 	 Hell Hole ! ! ! stay well away .. thank 	 stay Milford Plaza New York never diguste hotel . room bed bug , dirty water shower would not even expect animal stand . care read understand week . numerous problem , person believe bad really . enter hotel feel positive , reception area look impressive reach check - in staff everything downhill . check staff unhelpful , rude everything chore . welcoming , hand we map even show hotel . floor except 1st ( reception ) 3rd ( conference center ) shabby rundown . open enter ' dog box ' room- small , fridge , 60 's tv , even bad ... bed cover tear middle , wallpaper hang wall numerous place turn air con off - we realise noise come unit - but massive generator outside . tired would put annoyance could sleep noise . therefore complain get move another room time level 16 ( level 5 ) , apologie help move bags- room awful noise bad . past midnight beyond argue people customer service skill . really understand hotel no - where near full , give people awful room - maybe bad ? second day ' do disturb ' sign door ' , long day travel change room , want leave alone . instead housekeep bang door 10 am ! loud - chat throughout corridor , consideration guest , give try sleep . third day- security bang door , think problem , frightened jump bed . open door ( bed clothe ) face male security guard tell still ' do disturb ' sign'on door hotel policy 3 day let cleaner . say would back 3 pm would appreciate we room . shock annoyed . stay hundred hotel ( 3 month trip ) , pay lot less never treat like . insist manager come room discuss this- especially policy display room ( even welcome pack ) . wait half hour ' head clean ' security guard grace us presence . give speach since 9/11 ' policy ' place . however , argue feel imply cleaner would go stuff . say could bin emptied- would also class óur room serviced'- totally contridict policy . plus believe cleaner clean do cleaning room , filthy . I explain feel security issue we let strange room- could see live clean tidy manner . agree give we complimentary access ' Milford club '' . offer arrival extra $ 30 per person , per day . include free continental breakfast , snack throughout day free internet access , plus big room . fail tell 8 computer room , take food room big bedrooms- apparently size ( informed reception complain day 1 ) . justify $ 60 per day queue computer ! ! ! ? ? ? ? ? also inform mean 2 1/2 star hotel majority room 1 star ( ) . day 4- saturday morning drilling start 6 am . workman road outside hotel double glazing ( day age ) loud . video tape it- show expedia bad noise 16th floor ! ! give sleeping go . return early stroll room key would work . reception staff moody wait security let we room . day 5- return day , room key would work . key ' Milford club '' would work . go back reception explain problem , woman reception basically accuse steal card . say ` ` accord system not even card , 's problem not work . get ? '' explain issue early week give access . sigh say would get manager- believe we . card re - issue fed write email now- whilst holiday . to add insult injury everyone get electric shock everytime use lift ! unless want position sit full bed bug feel disgusting please save . complainer everytime go downstairs people complain something- smoky room , window not open , air con will not turn , something stollen . understand positive review cos look websit ( ) seem agree ) . check yahoo travel one . could nice hotel , great location .. not care . 
 Feb 14 2009 	 beware ! ! ! 	 Location excellent ... ... room awful ! room move paper thin wall ! ! ! put listen guest next door phone night . complained reception move we another paper thin wall room listen couple next door chat night sit bed ! ! ! without doubt never stay ! ! ! ! 
 Feb 13 2009 	 Milford Plaza may wan na think 	 location ideal ; block everything . desk staff rude minute walk , wait hour able check . room finally give full mold . next morning go downstairs switch room lady desk roll eye , alas move . everything work , never stay 
 Feb 12 2009 	 bad hotel ever stay avoid cost ! 	 visit NYC 2nd time summer , stay Sheraton Times Square give huge deluxe corner room look forward return NYC . search hotel net come across Milford Plaza , website make hotel look outstanding decide give go . huge mistake . moment arrive want leave , get car no - one greet we , carry luggage stair lift break , que hour check . friend seperate room request place near , yet end completely different floor side hotel . room dark , view window block neighbouring apartment block . corridor small cramp , housekeeping spend grand total 5 minute cleaning room , dusty , mouldy dirty . bed linen feel damp , lamp not work keep curtain shut man apartment block next door choose sit window watch whole 3 day . staff rude un - friendly , especially housekeeping . location hotel fantastic , whole experience hotel completely ruin NYC vacation . strongly advise pay little bit extra hotel . Milford Plaza website completely misleading still disappointed . 
 Feb 11 2009 	 great hotel wonderful staff ! ! 	 stay milford Plaza 2nd-8th February 2009 . come New York get married friend . say , amzing hotel . luggage lose airline Britsh Airways , do not arrive 5th , mean wedding cancel . time staff could not helpful . give we clean bit clothing wash could wash clothe . call airline we everyday make we feel well situaution . room clean everyday , do not worry leave thing , although walk away time square , 20th floor , noise be not bad . complain size room noise , say get it - its new york , trip lifetime , go room sleep night . concierge fantastic , especially guy call eugiene . help we end , although partner mine special day ruin , make we smile . price pay great hotel , deserve credit get , plus . 
 Feb 11 2009 	 Excellent Location Ok Hotel 	 stay 3 friend 5 night shopping trip NY end January 2009 . book directly website special deal include breakfast . get room 7th floor give sister small twin room ( book ) , tiny bathroom . open suitcase floor would nowhere walk bedroom . not like locate corner build door visible corridor . 2 friend meanwhile upgrade room 2 double bed . go back reception complain upgrade not agree upgrade we free charge . new large room much well . staff friendly follow morning go get breakfast argued not include booking ( even though paperwork ) never get breakfast provide . breakfast area close set small breakfast bar type could get pastry coffee . price staff extremely rude . positive note hotel , clean bit date feel secure . would stay would definitely book large room . location absolutely spot Times Square , Port Authority etc . 
 Feb 11 2009 	 good value money 	 stay Milford Plaza 7 night Milford Club . give room 15th floor New York standard , decent size room . sceptical reading review , surprised quality hotel . definitely recommend . breakfast lounge add bonus . 
 Feb 10 2009 	 Milford Plaza NYC 	 stay Milford Plaza first visit NYC way back 2002 . although time ago , imagine hotel change little . friend twin room extremely small . 18 , well travel , hell , New York ! go ny sit hotel room ? ! young , could not go drinking night spend evening room , comfortable albeit small . hotel locaiton . could see Time Square room - litteraly minute walk away . location make hotel next trip ny , stay Time Square - cos 's ! do not expect Plaza would say ! NY city space limit accommodation good location generally cheap . compare somewhere like Wellington , would choose Milford Plaza day ! 
 Feb 10 2009 	 Impressed . great price great hotel . 	 husband travel NYC often , fun . use stay Wolcott year ago $ 100 / night good deal . price rise $ 290 . trip find Milford Plaza $ 129 go . not expect much except place sleep pleasantly surprise nice . small room , small bathroom yes , big deal . nice view 8th Ave , unexpected plus . continental breakfast free internet lounge & quot ; Milford Club & quot ; status . close Times Square close ACE subway line . recommend realistic expect price NYC . 
 Feb 10 2009 	 Milford Plazacheap cheery ! 	 get back 7 night stay today bad hotel . the outside brickwork clean inside last decorate Huggy Bear main man ! outside scaffold look permanent hold place up . towel bed sheet change everyday there s coffee / tea make facility room . there safe room shower mold Stevensons Rocket ! ! there s hotel security face look really good check many people see room key . we complain one night next door people room be not register . that another thing wall make tissue hear everything . the hotel position top notch night life everything within 15 minute walk . its one safe city world explore there s police everywhere . the first 3 day freeze police stand street corner frozen death snow storm . Id stay hotel good price many option search net . 
 Feb 8 2009 	 check 1 night . 	 mom initially set stay Milford Feb. 4 Feb. 8 , check 1 night move Belvedere 3 block away Milford Hotel . main reason choose Milford 's location . check - in staff friendly offer we upgrade $ 30 per night , include unlimited internet use , continental breakfast , unlimited snack soda throughout day . think pretty good deal , decide take . hotel lobby nice clean security tight , everything else go downhill there . we get 1 Milford Club room 2 double bed flat screen tv . room locate 12th floor . get elevator hallway date bad paint job , lumpy area . hallway 's lighting bit dim . get room , fairly impressed set - up . room small , NYC . mom happy decide unpack , be find curly hair bed cover . carpet close bed clean . find feather close side bed . bathtub couple long hair crumb tray apparently clean glass . housekeep personnel bad job prepare room next guest . mom get hotel 6:30 pm , plenty time prepare room since check - out 12 noon . we tire complain decide morning . next morning , itching see 3 bug bite leave arm . pack bag leave . ' m luxury traveller . never never . family always stay modest hotel love long clean , room Milford absolutely filthy . read negative review Milford site decide ignore great stay hotel blast Tripadvisor . ' m never stay Milford . upgrade room dirty , literally would hate see standard room . 
 Feb 8 2009 	 Location Location Location 	 first time New York hotel fit need perfectly . go three friend share double room together . bit tight squeeze location wicked . you close theatre district near street good food , public transport culture option available . the thing book hotel keep check rate case price reduce b4 go . bathroom room clean staff polite helpful . the thing do not agree pay keep bag hotel day check complaint tell good hotel overall . this sound hotel would stay . 
 Feb 8 2009 	 Hostel hotel 	 thing hotel go location . room size stamp , could control heating , could sleep noise . old hotel surely 80 odd year time spend money place , bad hotel ever stay ( include 2 * greek island ) 
 Feb 4 2009 	 Rotten Apple 	 moment head hit pillow , loud clanging radiator every time heat go , keep night . apparently , warn heater would malfunction shut , leave room icy cold awoke morning . addition noisy radiator , middle night hear loud thud , turn ceiling fixture plummet floor . call maintenance restore heat , take half hour find someone . disaster ! 
 Feb 1 2009 	 love stay ! 	 first time New York . go boyfriend stay 4 night . hotel location fab , Times Square around corner . hotel right theatre sightseeing bus stop . buy 3 day tour bus pass 60 dollar definately worth hop city . also another ' tkts ' office South Street Seaport ( get tour bus ) . queue half price broadway show ticket nothing compare mile long queue Times Square . the room clean clean towel etc every day . smell bit musty ( leave window open get rid smell ) . staff friendly helpful . ask high floor give we room 25th . room big tv , iron , hairdryer tea / coffee make facility . also secure . show key staff could take lift room . lift great way . the hotel not posh ( sleep shower ) , definately value money ! would definately stay . 
 Feb 1 2009 	 Great Location 	 arrive back 3 night Milford Plaza , great location - 2 minute walk Times Square . read review Trip Advisor do not really know expect , yes hotel look tired could load money spend NY location , location , location fair sleep ! ! room clean , , small , kettle / tea coffee making facilite coffee shop lobby open 7 am till1pm . TIP - buy tea / coffee gift shop cheap coffee shop nicer . check quick , security lift make feel safe . need leave case pay $ 3 per case later flight . hotel also arrange shuttle back airport $ 24 pp work cheap flat fare ( plus tip ) taxi trip Manhattan . although good hotel I ve ever stay would stay location excellent ! ! ! 
 Jan 31 2009 	 great location 	 great place stay new york . room bite small clean mod con . location key hotel 5 minute walk time square . 2 miute walk bus station . staff friendly always helpfull .The millford plaza good hotel just need small bit refurbisment . 
 Jan 29 2009 	 good value 	 third stay hotel , second business stay get great rate . staff efficient friendly . Everytime arrive ( 11 ) room we although actual check - in later . time room ( # 1535 ) small ( 14x15 ) , adequate clean . decor home ( whole hotel ) could use update . bathroom OK ; tub recoate material ( Bath Fitters ? ) bottom bouncy . althought bed feel soft , sleep extremely well . heating unit hard regulate ( keep time ) occasionally make strange noise , like something try get . elevator replace state art equipment . press floor number direct particular elevator -- fast efficient ! great hotel stay want theatre district continue use . 
 Jan 28 2009 	 Fantastic ! 	 ideal location everything NYC . room great price , honestly not expect get good value money New York . bathroom clean , great shower . staff friendly , security good . can not fault ! 
 Jan 27 2009 	 great place stay modest budget 	 fiancee stay 7 night complaint . accommodation basic clean really retro 30 decor add atmosphere . view Times Square ( ) ACE 2/3 minute away Broadway . 's little shop hotel refreshment , gift etc coffee bar lobby limited opening hour . not use Club Lounge ( floor ) wish read last review ! hotel lobby well - keep always plenty friendly staff around assist . baggage store service invaluable we final day , . $ 6 case . not expect luxury Milford Plaza - expect decent , convenient stay . also , check Virgil 's BBQ side Times Square ... 's ACE ! also little belgian bar nearby show European Football ( SOCCER Americans ! ) . 
 Jan 24 2009 	 thank God believe review ..... 	 back five night stay Milford Plaza say brilliant hotel ! read review extremely anxious go stay cockroach infest dump , seriously contemplate change hotel last day ! first time New York city hotel really make special ! location absolutely brilliant ! 2 minute walk Times Square , ten minute walk theatre ! Port Authority bus station even five minute walk hotel , nearest subway station less 10min , perfect get airport not want fork $ 55 taxi ! staff hotel brilliant , really helpful polite friendly , security tight feel nice safe ! opt Milford Club room , would definitely recommend other ! day access free soft drink , tea coffee , bottled water cookie crisp , also free internet access ! really great thing ! also room really quite big great view Hudson 8th Avenue ! room really nice clean , load room move luggage , shop etc . really lot big expect ! really could not fault stay hotel , personally would say equal 3 + star hotel home advantage Milford Club definite plus ! would definitely stay , would recommend choose Milford Club room ! ! 
 Jan 24 2009 	 nothing write home okay . 	 stay Milford Plaza 5 night November . want book Salisbury stay last year time , friend suggest Milford . okay , okay . check we early , good . 2 room . friend get much big room we pay price . also well view . room not even closet . first laugh try make good . one we would get bed let one pass , think kind funny . see friend room ask big one tell room big one hotel . huh ? ? willing pay , would not . tell we get room two double bed instead one queen size . go stair , wait line , explain , finally settle room two double bed . think whole thing bit shady pay friend get room one bed plenty room also , pay less upgrade . also , location right Times Square , kind crappy part Times Square , go outside could not really walk anywhere cool , always cab ride everywhere . okay , let explain ridiculous elevator system , ' ve never see anything like . 8 elevator . punch floor number keypad wait one elevator open . top elevator , tell floor 's go . say something like , 4,8,9,15 . floor , jump . 's bad floor room locate , 1st floor . middle floor alot people , get confusing . especially couple drink . time , time check . not know think system , ? logical reason . also , concierge suck . deal couple give we bad advice , wrong address , etc . not know two deal bad day ( twice ) , not bright people . will leave . lighting bathroom ( , way , design people 5 ' 9 short ) dark . shower pressure good , figured let hot water run ten minute could get hot water . everything mission . eat Palms , 6 block walk hotel . palm great restaurant totally recommend . 's little pricey ( $ 175 2 ) worth . none place eat trip worth mention . would not really recommend Milford Plaza anyone know unless great deal compare hotel area . pay $ 289 / night not like place . okay . would not go back . 
 Jan 23 2009 	 Brilliant 	 Milford Plaza get mixed review , get back amazing . mum delighted room 15th floor , great view Hudson . location unbelievable could not ask . hotel staff friendly security excellent . 
 Jan 22 2009 	 safe secure place 	 Los Angeles . read bad review hotel price not expect much . check early , not wait , five minute top . everything work great , plenty towel , toiletry , hot water , heat , normal size room SE corner 25th floor . elevator work , security tight , lose room card key not get anytrouble report , not pay extra replace . center everything , Times Square around block , tour bus block away , Central Park nice leisure ten block away . perfect ! ! ! 
 Jan 19 2009 	 Location Fine Room Marginal 	 old NY hotel ; convention . front desk staff pleasant security elevator good . upon exit elevator tenth floor realize old hotel . thick coat paint cover everything musty smell pleasant . corner room , other travel party comment small . internet access not exist , other say marginal . hotel near theater district one block Subway block Times Square . prefer get experience one chain hotel like Marriott , Hilton Hyatt , disappointed Milford . hotel bargain price New York City ' visit city , ' stay room much anyhow . 
 Jan 16 2009 	 Location location location . . . bargain ! ! 	 PROS - go NYC Broadway Theater , like , beat location . simply well . we love proximity small neighborhood restaurant 8th Ave , 46th St ( Restaurant Row ) surround area . charming reasonably price . the price pay room fantastic New York City . find internet special include Milford Club privilege . club privilege include continental breakfast every morning , plus chip cookie coffee beverage throughout day , wire internet access additional charge . Milford Club lounge lovely , absolute nice part entire hotel . even pay extra , consider future , pleasant convenient . security excellent . the bed comfortable . ' m guess 's & quot ; newer & quot ; rest furniture room . ( read rest room info ) .The elevator fast hotel size . the couple death family . say hotel staff nice accomodate , allow cancel remainder reservation , check - out late , extra charge . think thoughtful . CONS - Check L W. arrive 11:30 . couple , able check immediately . tell room ready , check bag venture city . return 2:30 pm , still room . even though official check - in time 3 pm , ridiculous , since slow season tourist . desk staff friendly regard delay check - in . the entrance exterior first floor . front desk second floor . regular elevator stop second floor . escalator go , Grand Stairway go . leave hotel daily basis , mind use stair . however , check , discover could take luggage elevator first floor . elevator 2nd floor 1st floor , available handicap access . basically , want force use bellman , order generate tip . carry luggage stair . I think staff generally friendly . finally , state many review , Milford need renovation . CLEAN , wallpaper pealing bathroom , paint around bathroom door look like 50 year old ( bumpy , like paint ) . furniture shabby . would stay . definitely . keep mind bargain hotel luxury hotel . 
 Jan 14 2009 	 Awesome ! ! 	 hotel awesome location ! ! staff friendly accommodate helpful . check room nice not great view go back front ask could change room well view give we room fantastic view ! ! love hotel location price reasonable ! 
 Jan 14 2009 	 great value location 	 apprehensive staying hotel read review beforehand . say pleasantly surprised book standard room ! stay five night find staff extremely helpful pleasant especially check - in counter , ( thank Jennifer ! ) . request nice room arrival give two corner room tell big away elevator noise . room luxury ideal people look put head site see holiday . room clean clean daily basis . good part hotel location , nearly major attraction within walking distance . would definitely stay ' ever NY 
 Jan 13 2009 	 look another hotel 	 ' ve stay Milford Plaza - NY 6 night - Christmas till 6th Jan. there work renovation go - wich tell before . we would like refer besides location , everything expect . the room get correspond description show receipt Hotels.com . we get room two double bed , get small tiny room two single bed little space move around , also clean good . the ( small ) lobby always crow , place sit , could room , space get bed ! ! hope next time , next costumer site get well service . 
 Jan 12 2009 	 Excellent location 	 first trip NYC spend Christmas New Year Big Apple . hotel location excellent behind Time Square 2 minute walk . would advise join Milford Club add benefit late check , continental breakfast entry lounge free internet access , snack day soft drink ( especially good child ) . location would pay lot high bit piece . staff good polite . gym ample clean . plenty restaurant theatre near hotel . 
 Jan 12 2009 	 great experience ! 	 could not please choice Milford Plaza 2 night stay NYC . boyfriend decide take post - holiday get away sightsee explore city . upon arrival 10:45 , promptly check give room key . surprised room ready since check - in not 3 pm . arrive find rather small ( expect ) room excellent condition . hotel bit date worn area nothing worry . hotel currently undergo renovation inside block area . bathroom clean well room . other mention hot water bathroom believe 's probably due follow direction turn shower . clearly mark instruction indicate hotel & quot ; anti scald system & quot ; shower . direction follow , water work fine . not follow , hot water never begin flow start process . location absolutely perfect term access theater , restaurant , attraction especially Times Square . hotel security excellent get room anywhere near elevator without show visible security personnel room key . room 20th floor past NYC hotel pose problem regard get elevator . many situation wait elevator become huge hassle high volume traffic limit elevator . Milford Plaza , excellent system request elevator . certain elevator allocate section hotel . pass security , push button floor go keypad give correspond elevator ( , b , c , ) wait . never take minute elevator arrive also eliminate need stop several floor arrive . one warning though , elevator arrive need ready wait door open close quickly . hotel nice lobby ( two floor ) reception area . also offer baggage check day departure $ 3 per bag . convenient well worth money we . able spend extra 7 hour city check catch flight home . hotel also offer use restroom first floor guest already check room . quite helpful day departure return claim bag catch flight home . restroom monitor security must show room key get restroom key enter . , wonderful trip great hotel excellent location amazing price NYC ! motto go , 's & quot ; Lullaby Broadway & quot ; . 
 Jan 8 2009 	 great hotel money 	 husband stay Milford Plaza week Christmas . apprehensive going read many poor review hotel . when arrive hotel greate friendly security staff show we go . use reception twice- book , ask use telephone , occasion approachable friendly . upgrade room $ 30 dollar day . mean large room , breakfast , toast , muffin etc , find food New York expensive glad facility . snack refreshment available throughout day free internet access , really helpful try locate place New York keep touch family . the hotel hall need updating , start , immediate impression walk room like back university , however , bedroom fine , little musty smelling time , soon go . long day walk New York , always please back hotel . comfy , warm safe . the room small , not need one big , time spend room sleep , room perfect we . clean comfy view Times Square . towel bedding get change every day . not find room noisy , 23 floor . tv room access date movie $ 11 per viewing . hotel amazing position , could not ask well . many theatre choose from- not pre - book , go theatre day show want see buy ticket . friend go see Grease , $ 140 per person . family 3 go pay $ 109 total box stage ! also , around corner cinema comfy chair ! ! ! across road big information centre book trip get lot information go . also across street main bus station . buy ticket shop Woodbury Outlet , definite must want shopping . hour bus cost $ 100 per couple , sound alot , save get certainly make . buy extra suitcase whilst ! see shopper ( obviously regular ) go suitcase put shop in- great idea ! yellow cab easy catch , would advise walking place evening road get busy take long time lot money get . not bus tour ( people red yellow jacket everywhere try sell ) , friend go time say well worth . amazing time , position hotel friendly New York people really make . would reccommend hotel friend family . 
 Jan 7 2009 	 Cheap Nasty ! ! ! 	 want honeymoon white Christmas one holiday book travel agent . big mistake ! ! ! upon arrival place room size dog box view brick wall ! upon complain tell useless staff one star hotel could get suite pay extra $ 700 . give # # honeymoon . room end bar fridge tv make 1960 's . thing go place truely location . next time skip New York go straight Vegas ! ! ! 
 Jan 7 2009 	 clean good location tired noisy . 	 great location , clean noisy room poor service . every single night around 12:30AM 1:30am woken noise laundry basket wheel elevator laundry room right next room ( room 2126 ) . call several time one anything . challenge member staff whilst make noise , yet still stop . imagine people room put year unless laundry room move tell something attitude customer service . put carpet ! limit hour work , stop use room . or ... ignore offer relocate guest complain , suggest Milford philosophy continue be . also - lift floor give electric shock summon elevator . , change throughout 5 day stay . guess Milford not depend repeat custom . 
 Jan 6 2009 	 avoid place 	 well location excellent , say . when check realise leave bag room . return security later day report , handed . somebody find nice new Kipling bag room keep - feel steal from . service abysmal - leave case leave - luggage leave airport . queue three quarter hour retrieve bag - think guy go slowly possibly could . the room scruffy , noisy size large dog kennel . noise adjoining room keep we awake . 
 Jan 6 2009 	 keep look 	 location doubt excellent , , Milford Plaza Hotel nothing else go it . our hotel room dump . look like forgot finish cleaning . obviously not vacuum . trash dresser sink bunch someone else 's hair . pretty disgusting . room miniscule , not expect Times Square . really get basic 's really look , problem basic Milford Plaza fall apart . tv not work . vend machine floor not work . far annoying though hot water . $ 200 night , least expect hot water . please also note Milford Plaza Hotel not distinguish difference queen - sized bed full - sized bed . queen - sized bed actually full - sized bed . reject different hotel slightly low price close theatre simply queen - sized bed book full - sized available . turn not make difference . our package say come free complimentary breakfast , ask front desk , say breakfast . ummm , okay . I would recommend hotel anyone . stay . hotel location price ' m certain step - up Milford Plaza . 
 Jan 4 2009 	 Flithford Hotel ! 	 minimum time 2 day spend hotel enough sum feeling hotel . mound dust floor , sweet wrapper leave previous guest strand hair pillow bed sheet . bar hotel ' under construction ' . get queen size bed confirm book website . reception staff reflect quality hotel 's overall service . positive location reflection extra dollar would go long way positive experience . 
 Jan 1 2009 	 deal ! 	 book Milford discount website base solely price . large family group , small child go New York see light Christmas need something cheap central . get clean , incredibly locate hotel amazing price . definitely well value expect . the negative thing would say room ' tired ' . , clean , enough room move . deal include breakfast , well unlimited snack beverage . two employee breakfast room polite , friendly helpful . personally love security entrance elevator . travel two teenager never worried . 
 Jan 1 2009 	 definately stay ! ! 	 week arrive ny read review Hotel somewhat dissapointe negative review consider change hotel , arrival tell check room be not ready tell would wait another hour wish change , however return check room available still apprehensive do not need worried room 2709 large room fridge tv internet fantastic view , clean do not experience & quot ; musty & quot ; smell ! . could not ask well location first visit NY everywhere easily accessible , advantage first stay visit large city day get around . hotel security excellent one allow past concierge desk without show room key feel safe . would definately consider milford plaza stay . critisism present bar area relax evening beleive introduce . absolutely complaint . 
 Dec 30 2008 	 Fantastic Location date room 	 stay Milford Plaza 4 night 28th Nov – 2nd Dec . hotel perfect location . 1 block west times square ! ! ideally place theatre shopping . the room stay 2705 situated corner hotel view north 8th avenue across east river . room strong musty smell need updating . hotel New York room ' big , double bed , wardrobe chest drawer tv top . bathroom also small wallpaper wall wet room , peel . however , due lack time actually spend hotel room whilst New York ' problem . hotel lobby nice reception staff concierge friendly willing help query . book helicopter trip around island via internet prior travel call confirm book NY , ask concierge could we happy . gentle reminder anyone travel NY USA England , expect tip around 15 % - 20 % service . big ask american people friendly always helpful . a word warning , rain New York , forgot take umbrella get wet one day , bear mind . 
 Dec 29 2008 	 locationlocationlocation 	 stay week christmas hotel basic need revamp . the room however clean tidy cleaning service every day fesh towel daily . the room small need overhaul . the location save grace one block time square action . we visit woodbury common find lot bargain massive bus station one block south hotel bus run every half hour beware journey back take two hour depend traffic . the sightseeing tour bus excellant value hop hop service . I would recommend celtic bar one block north hotel lovely pint murphy charley & quot ; , & quot ; opposite hotel good range meal reasonable price . the hotel bar resturant small coffee shop open 7 1.but whatever get enjoy vibrante city world ! ! ! ! ! ! ! 
 Dec 28 2008 	 great hotel 	 well family apprehensive read negitive review , pleased hotel , ' ve stay ny many time would recommend hotel , room clean , bathroom clean always clean towel , view room great ! security good , lot place eat near hotel want see show go round corner hotel fantastic location ! ! price pay can not say enough booking next year ! ! 
 Dec 24 2008 	 Lighten folk ! Milford great ... 	 stay Milford family vacation week Christmas . book flight hotel reservation month ago , read Milford 's recent review trip , begin get sink feeling have make wrong choice . however , upon arrival , relieve discover doubt wash away Milford 's fantastic location great attribute . after travel possibly bad day ( 650 flight cancel NYC day , lucky get Newark 12 hour anticipate original arrival ) , Milford virtual snowy oasis ! book 3 room , request ( proximity , bed size , etc . ) accommodate upon arrival ( even though 2 am ' m sure staff would ' ve much rather asleep ! ) . part charm hotel fantastic location well history wall . build Depression , room small ( current expectation time ) . traveler expect huge room over - the - top luxury great price not know New York hotel . room clean , bathroom closet clean ( though also small ) standard hotel amenity ( iron , hanger , television , soap ) . choose towel sheet change daily short time be ( be welcome , Mother Earth ! ) housekeeping staff would ' ve absolutely like clockwork , ever - present Privacy please hanger , require choose recycle linen . in short , Milford Plaza great hotel head New York city , hotel room . be want lie around 1,000 + thread count egyptian cotton sheet pamper day , go somewhere else , sensible traveler happy Milford . ever venture frigid temperature NY Christmas ( part experience ) , Milford definitely list . say not live ' ve walk Times Square snow . : ) Milford 's truly outstanding aspect location- block Times Square great restaurant , every theatre would ever want visit hustle bustle NYC know . try Junior 's around corner great breakfast great dessert ( cheesecake suppose vote good city , will award Carnegie Deli 's titanic - sized portion honor hand - down , along to - die - for pickle , pastrami corn beef . ) Carmine 's also good italian will ever put mouth , serve huge family - style portion , be around corner . expect wait , unless be lucky enough get reservation . be bit walk , venture Lombardi 's Little Italy fantastic pizza- bill old pizzeria America . show , can not recommend Jersey Boys enough ( husband say , lead sound like Frankie Valli Frankie Valli ever ! ) girl , be plan meet Daniel Radcliff exit show , Equus , get early beat gather throng girl take zoom lens ! , fantastic trip , make even well quality Milford . 
 Dec 23 2008 	 big disappointment 	 plan trip surprise birthday gift husband . arrive utter confusion crowd main lobby . arrive early know would not get room 3 pm . time crowd lobby vanish check not hectic . walk narrow hallway end hall get assign corner room extremely small . dirty cup floor next bed bathtub mold grow around faucet . sink clog barely drained . good thing busy not stay room much really depressing . must say Milford Club nice attendant friendly helpful . next visit New York City Milford Hotel plan . 
 Dec 23 2008 	 Basic hotel great location great low rate 	 stay Milford Plaza long weekend Dec. 2008 . choose hotel 's location central city ( near subway station ) price cheap Expedia.com $ 129.00 per night . hotel room small basic tv , bed , nightstand , desk . Bathroom small work well two people . window overlook city loud night need earplug sleep . , part ! convenient many nearby theatre go NYC . we , never stay Times Square area , subway day go north south Met , Guggenheim , Central Park , Little Italy SOHO eat sightseeing . go back probably get hotel quieter part city . Times Square bad part city crowd ! one street , many little quaint romantic place quiet . overall enjoy experience recommend take subway , never get lose . 
