location 	 stay Thanksgiving , reduce rate , would disappointed pay full price . first impression upon walk lobby much potpurri , must hide bad smell . room ( jr . suite ) roomy , gloomy . obviously water problem paint / wallpaper chipping peel , large swatch patch ceiling . bathroom small put use towel bath kit . next ice machine make pound noise day night . & quot ; continental & quot ; breakfast available upon request , rich price plus 18 % tax . room service . location excellent , 2 block mag mile 2 block lake . doorman attentive , could even reach front desk call . room available sale nominal price $ 450,000 , basically efficiency . 25 million dollar renovation brag appear go purchase flat screen , 2 per room decor . 
 stay somewhere else next time 	 warm feeling walk lobby . woman behind small desk not smile seem put bit . stay two night . upgrade Deluxe King Suite . room nice clean . sofa hard uncomfortable sit . bed comfortable , bathroom size postage stamp . room two people put anything . fact , toilet close wall would sit toilet paper rub leg ( ' m petite size 6 ) . take shower husband splash water wall outside small shower . tub ! call reception checking see room large bathroom tell none , one large bathroom big upgrade not available . definitely enough room two people time ! live outside Milwaukee travel Chicago quite often stay many hotel downtown . choose Raffaello big renovation . old hotel upgrade room quite bit . stay back mid-80 's lot improvement since . convenient Magnificient Mile $ 400 two night little much get . also eat new restaurant & quot ; Michelin star James Beard Award & quot ; chef . neither we impress decor meal . okay nothing write home . aware bar ( six seat ) right door everytime open , cold air swirl - brrrrr . 
 Sep 18 2007 	 Happy Choice Raffaello Hotel ! 	 look place stay city , google hotel near Michigan Avenue could walk right shopping sight . pick Raffaello look website . picture right ! hotel absolutely beautiful , recently renovate . love new decor ! clean snacks beverage room choose purchase , convenient . staff friendly , welcome helpful . king size bed comfortable , great night 's sleep ! price right , much less Westin right across street think nice . someone mention elevator problem . elevator small never wait long . problem we . hotel Monday Tuesday crowd like might weekend . like cocktail evening , lounge could go right across street Westin cocktail lounge restaurant . also , directly across street quaint restaurant call Mrs. Park 's Tavern - - eat delicious breakfast . love location Raffaello within walk distance thing want see . another wonderful restaurant definately try , also within walking distance , QUARTINO , North State Street . look delicious italian wonderful wine , find Quartino will glad give try ! food fresh , delicious serve different would expect . mention Shrimp Risotto warm home - make zeppoli dip warm honey chocolate die ! restaurant huge great decor ! bathroom 's newly decorate & quot ; retro & quot ; - bring back italian grandmother 's house ! choose Raffaello Hotel stay inside city , one block Michigan Avenue ( Magnificant Mile ) , within walk distance lot sight , include beautiful & quot ; green & quot ; Lake Michigan , think will happy choice , ! would also like add people Chicago friendly , talk many people happy share we good place visit . wonderful city visit . 
 Sep 10 2007 	 Unreliable reservation 	 book suite hotel couple month advance wedding night . ask reservation flagged wedding night hope would not hiccups . confirmation number everything not anticipate problem . get around midnight ( wedding clothe ) , front desk tell we room long available ( explanation ) . also tell we room leave double / double ( king bed available ) . almost leave go back apartment , tired since agree comp room stay hotel . double bed small uncomfortable ended sleep separate bed . needless say , disappointed get laugh whole experience . 
 Sep 6 2007 	 great stay Raffaello 	 get great deal stay Raffaelo Sunday night . two room 16th floor view John Hancock building . one room great corner room window two side . room beautiful clean . room large bed plus - comfortable great sheet . room cool able turn air conditioner . stay comfortable comforter bed . walk across street restaurant name Mrs. Park 's great breakfast . location great goodservice staff . front desk people efficient , concierge make dinner reservation we doorman lot fun around . even maid make conversation we see hallway . get GREAT value money . 
 Aug 27 2007 	 worth price ... benefit 's Location 	 average hotel ... note spectacular , command price charge .... gift certificate teavelocity ... valid 2 night room , pick expensive room .. hotel stay grand suite , little disappointed say leastthe advantage hotel ? _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 2 flat screen tv 's dvd player ( bring movie ) neighborhood good chicago , be directly across street water tower place block john hancock bldgthe disadvantage ? _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ no resturantno swimming poolcharge $ 40 day 4 parking2 small elevator , even bellboy use , u want avoid , stay low level floor take stairsthe shower head adjustable . u 6 ft ready squat downthe bed hard uncomfortablethe view 24th floor view back alley garbage dumptstersthere resturant sitecharge computer access , even room , u go another floor use computerscharge $ 10 buck continental breakfast coffee muffin ( previous hotel name change offer thing 4 free ) mini bar fridge load $ 3.00 candy bar $ 4.00 small 8 oz soda .... hotel charge $ 350.00 night good room area expect something money ..... stay free , hotel get pay regardless ( ) hotel benefit location ..... see hotel area room stay ... even though Lalalpalooza music festival go 1/2 mile away grant park -- - 
 Aug 24 2007 	 Classic boutique 	 RECOMMENDED . Tony boutique hotel behind John Hancock building , prime location . book via Hotwire . checkin uneventful . 12th floor room , quiet , small , # xx06 , room get stick 2 people afternoon . room size due vary , assume get small one Hotwire . nice amentitie , bed extremely comfortable nice decor . Bathroom hi - tech , well illuminated , quite small , classic boutique good overall experience . do not eat hotel , numerous nearby choice hour . 
 Aug 19 2007 	 Nice Hotel .. Service need Tweaks 	 get great deal hotel . picture depict hotel precisely . beautiful room , nice ambience . arrive early ( 1 pm ) .. tell preregister come back later get key . kill 2 hour get back around 3:00 tell housekeeping still work room would done 20 minute . check back 30 minute later .. new girl desk ... check first assign room immediately looked find another room book we . room fantastic ... tv phone work properly .. call front desk ... immediately send someone fix ( minor glitch ) . stay 4 day .. find employee nice .. particularly doorman seem go way kind , friendly helpful . girl behind front desk seem bit inexperienced , .. nice do not seem understand four star hotel .. need make sure guest satisfied .... problem question come seem indifference . .. also issue one night manager issue construction floor we .. apologize offer we free night .. would definitely give Raffaello another try .... love location , building , room amenity need get expereince help . 
 Aug 4 2007 	 great room great location Poor service 	 daughter stay 3 night end July . overall , room great location well , service indifferent good . towel miss room one day coffee next . phone call front desk correct problem . front desk personnel pleasant , terribly helpful . really like evening doorman . however , morning check , one offered help we load luggage car . rather surprised . also , lack restaurant unfortunate . 
 Jul 30 2007 	 Great service 	 want take moment let know much doorman , Robert , help we . friend visit Chicago last weekend celebrate birthday . soon check hotel , Robert service . first visit city happy assist us direction recommendation weekend . one member party disable Robert go beyond make sure accessible transportation whenever need . excellent member service industry make trip enjoyable memorable . thank 
 Jul 30 2007 	 Trifecta Location Price Room Trumps Poor Service 	 return weekend Raffaello Hotel Chicago . book Hotwire month advance , get really good deal ( 150 / night ) Raffaello . read review , though , bit nervous staying hotel . arrive around 11 , figure could least check bag . check 4 pm , initially tell return - concierge tell we could come back 2 room would probably ready . fine - sightseeing return . room yet ready ; however bellman already bring bag rechecke . problem far . come back 4 check go smoothly - however lose bag . frantic search different employee ' office , finally locate . 's kind disintereste service ethos really bring Raffaello - 's level service one would expect college town Days Inn . employee Raffaello affable enough , really not want concern problem question guest may - seem universally want guest go away leave alone . lousy service aside , room picture - quite lovely actually . bed great - tv nice - snuff . location can not beat price - right Michigan Ave . behind Hancock building . would probably still stay - would not check bag . find way work service kink could quite nice hotel . fyi - charge 40 buck day valet parking - drive car deck across street . self park $ 23 24 hour . 
 Jul 25 2007 	 Room look exactly like one website ! 	 family stop Raffaello two night mid July . overall room cost approx . 100 pound per night . double . consider price british hotel , think hotel extremely good value money . I think first time ever , say room stay look almost exactly one show website . normally never happen . think room fantastic . decor beautiful luxurious ... spacious ( room 812 ... brother even big one ) . maybe lucky , ' m sure . decor furniture modern tasteful . I think shower fantastic , 5 7 & quot ; , fit underneath . boyfriend struggle , unaware adjustable ( instruction ) .The location great , block away John Hancock build Magnificent Mile ( shopper beware - spend fortune ) . plus couple block lake . not really problem staff , not much cause use . however , small check - in desk lobby , imagine could get crowded busy time . try charge we drink minibar not drunk , clear quickly . breakfast bit disappointment . ask desk night check could recommend go , point place across street Hilton . desk morning make plan eat discover offer continental breakfast buffet . think slightly odd staff not mention . breakfast hotel day - ok worth $ 10.other , stay pleasant indeed . would stop also recommend friend stop . 
 Jul 24 2007 	 Great Value 	 expect much hotel since pay $ 200 night downtown Chicago . include parking , $ 40 per day , privelege . list 4 star hotel Hotwire , 4 star hotel area $ 300 / night . decide take chance save $ 100 buck nice dinner Hugo 's . overall , pleasantly surprised , couple negative surprise well . the hotel right behind John Hancock building . check get nervous two different people come complain problem room . get different room . problem room . room bath clean , everything work . miss towel , deliver later . the room decor simple modern neutral color . bed comfortable comforter lot pillow . view speak , 5th floor . large flat screen tv dvd player . bring dvd demand movie $ 15 . much else watch , since 8 tv channel . call car least 15 minute need , make sure front desk get number right . end get wrong car , wait another 15 minute . doorman really nice , go way help we . House keeping come knock 8:00 morning , return several time afterwards . disturb sign room . front desk send one up . for money , location , night , great place stay . definitely need take lack hotel ammenitie consideration , especially long stay . 
 Jul 24 2007 	 good hotel not depend much service 	 get great deal room Raffaello overall quite happy hotel . location terrific , decor nice , amenity adequate , room clean decent size . issue encounter service - relate . although staff member interact extremely friendly try helpful , encounter problem range wake - up call never happen incorrect telephone direction hotel location less 10 block away . also overhead couple front desk deal hotel somehow & quot ; lost & quot ; luggage . anyways , although would still recommend hotel overall , would probably also recommend rely heavily staff stuff like wake call , case ! 
 Jul 23 2007 	 rough around edge 	 husband book room ( suite ) hotel 's website pay $ 268 / night . allow check early tell room ready . first glance , hotel room seem nice , inside minute realize problem . first , housekeeping do incomplete job make room ready . towel floor sit area , handful change table , somebody else 's eyeglass shelf bathroom . flip hotel 's service guide find restaurant ( despite section guide restaurant ) . shower low husband ( 6 ' 0 ) , bend shower . ( contrary another person post site , shower height - adjustable , unless count hand wand . ) hdtv 's ( one sit area one bedroom ) equip HD programming , image always & quot ; stretch & quot ; look . continental breakfast include package rate , otherwise would eaten . ( $ 10pp cold cereal selection bake good - none stellar - seem bit much . ) plus side , bed extremely comfortable , furnishing lovely , problem whatsoever staff ( always seem courteous ) . location excellent anyone hope spend time Michigan Avenue Oak Street Beach . overall , expect money . hotel nice still need work kink . 
 Jul 20 2007 	 horrible front - desk service 	 room okay -- great , passable -- front - desk staff unbelievably poor . could list numerous oversights example incompetence , will mention bad . even though fully prepay hotel reservation online booking service , hotel 's front - desk staff erroneously charge credit card entire stay , well . nearly month , ' m still wait credit account tell ' ve process . 's egregious long list problem , range refuse send additional towel , mischarge valet parking , name . city full nice hotel , 's good reason take gamble one . 
 Jul 20 2007 	 great stay 	 stay Raffaello long weekend getaway enjoy much . contrary review , find staff friendly accomodate . arrive early room available yet , check bag go get lunch . call within half hour let we know ready . also check bag upon checkout flight evening . umbrella loan rainy day . bed comfortable room quiet other state . actually like rain shower showerhead boyfriend 6 ' 2 & quot ; problem . ( adjustable ) other complain size room also small room floor plenty big we . location hotel great . rent car problem getting need go bus train . overall stay pleasant , however con . blower AC little weak room . time comfortable time wish could get little cool room . also , feel hotel offer free internet continental breakfast , 's greedy charge $ 10 / day either . although think offer free internet business center . like other , go across street Hilton hot breakfast price . would consider stay . 
 Jul 19 2007 	 Fantastic ! 	 husband live Chicago two year ( 2005 - 2007 ) stay hotel last two night apartment pack move . LOVED . behind Hancock Building / Water Tower Place two block Michigan Ave . room small ( think small one floor look map door ) extremely nice well furnished . furniture nice seem new . flat screen tv room , king size bed pillow top padding , ton pillow ( pet peeve hotel give two ! ) , granite counter top , wonderful bathroom ... etc . not know hotel offer breakfast , not offer food . Chicago ... good food world ! not eat hotel .... waste . food , not stay downtown . eat Lincoln Park , Gold Coast ... etc . get see Chicago really like . side note . hotel say parking , not mention least $ 20 day $ 40 want get car day . recommend drive around block find street parking ... hard day , easy early morning 5 pm . 
 Jul 16 2007 	 good room Terrible Service 	 start . well , check difficult good . wife book room travelocity confirmation number problem . couple even confirmation number tell reservation . take 30 minute sort . front desk staff clueless good . certainly tell young property lack kind customer service . go ordeal , concierge nothing help anyon many people wait line behind we . consider queue right front desk flipping magazine , seem pretty thoughtless . evident need get good manager get handle staff place last hotel . wife pleased room get . despite second floor , hear lobby noise nothing hallway . shower awkward door close showerhead sprinkle type instead jet . additionally mount tall 5 ' 8 & quot ; go terrible time . one complaint room seem two air conditioning unit . one control wall switch control whatsoever . like cold room , ice BOX . ask front desk fix three day fruitless . restaurant site even small convenience type store pick thing . , would stay simple fact hotel nice price range full service . 
 Jul 9 2007 	 disappoint 	 book deluxe room three night stay , get first night , overbooke . night staff completely useless . bump double , not even able get money back claim know much pay room pay online , even though book website ! bit haggle , decide give place chance . tired , suck one night , get bump back next two night . turn bad idea ! elevator extremely small 2 . advice , somehow end stay , request room low floor walk . room ok . though people mention amenity great , say impressed . overall , would dissatisfy , find end overcharge . could not tell much room charge , find via credit card bill . make sure would incur extra charge room fiasco ! final word : incompetent staff . 
 Jul 2 2007 	 never ! 	 experience unpleasant . hotel rom a / c work properly , room without internet connection elevator ( tiny ) reduce intermittant service due mechanical problem . ask late checkout order find another outlet internet service order complete work assignment , front desk mamager gruff repeatedly offer 1 pm checkout . many hotel neighborhood . look elsewhere save difificulty ! 
 Jun 6 2007 	 great experience ! 	 's lovely hotel , husband , family wonderful time stay hotel . pro : room big trendy . newly renovate . quiet night time . nice size bathroom , enough counter space . friendly staff . comfy bed . Prompt service . just two block Mag . mile . nice toiletry -- Gilchrist & amp ; soamescon : trouble telephone network . message light phone blink entire time family 's room . try call front desk solve problem , keep redirect room service . restaurant inside hotel . book hotel hotel 's website , use AAA card get extra discount . sweet deal ! 
 Jun 5 2007 	 love Raffaello ! 	 hotel real find Chicago - 1 block Magnificent Mile close Water Tower Visitors ' Center , get info . public transportation , museum , etc . Chicago great walk town , nice able catch bus subway ( close hotel ) another neighborhood ( like Loop , millenium park , Navy Pier ) . room clean contemporary robesmicrowave , frig . , etc . staff nice accommodating . need washcloth , prompt . desk staff let we check early , print boarding pass day leave check luggage enjoy city check . convenient deli ( l'appetito ) corner Michigan Ave . cheesecake factory - locate & quot ; hole & quot ; front Hancock building . great Blues Buddy Guy 's Legends blue club ( reach subway ) , walk distance many bar restaurant Rush State street . definitely stay recommend friend . 
 Jun 3 2007 	 Loved Staff Location 	 recent visit Chicago ( May 27 - June 2 , 2007 ) , stayedat Raffaello Hotel 4 night Hotel Allegro 2 night . raffaello superior , far . other reviewer express displeasure hotel staff . our experience complete opposite . arrive hotel early check - in day ( 11 am ) bell man rescue we awful taxi driver , promptly unload bag check we since would not able check couple hour . concierge sit we go plan upcoming day . give we recommendation thing discount pass . type itinerary we . stay help get we start front desk staff helpful question request . bell man always friendly give hotel welcome feel . nice & quot ; come home & quot ; Raffaello Hotel long day sightseeing shopping . maids also efficient courteous . one reviewer expresseddispleasure maid early arrival say & quot ; disturb & quot ; sign . overall sorry leavethe staff Raffaello stay up . our room pretty spacious - grand suite one king bed . couch fold - out bed also arm chair andtwo dining chair , coffee table , small dining table . flat screen tv living room bedroom dvd player living room . also refrigerator , coffee maker microwave . small grocery store across street hotel ( be bottom floor - basement - , can not see street ) , ask one bell man will point right direction . stockedup sodas , water , snack there . for food , recommend go Gibson 's special night lunch ( filet mignon sliders fabulous lunch $ 12 , essentially little sandwich filet ) - be within walking distance hotel . also , across street Gibson 's Carmine 's good italian food cocktail . nice sidewalk seating also , want casual atmosphere . want quick bite eat go Food Life - food court Water Tower Place . be look post office nearby hotel , be one Hancock Center bottom floor , near Cheesecake Factory . & quot ; El & quot ; station ( Chicago Stop Red Line ) walk distance recommend take Belmont stop go Ann Sather 's breakfast . it be right stop , convenient . Trust 's worth - cinnamon roll die , biscuit gravy delicious , even fresh fruit well . price bargain get . stay Raffaello , especially get good deal Expedia . will not disappoint . 
 May 30 2007 	 good 	 husband book hotel orbitz - rate $ 177 / night good rate time book . location good - right Michigan Ave near Bloomingdales Hancock Tower . safe location close bus metro . check easy - room available hour prior check - in time ( nice ) . room 506 . five floor street , room pretty quiet ( every room every city noise ! ! ) . SHOCKED size room . believe small hotel room ever stay . honestly , laugh see ! bathroom also small . shower rainfall head plenty room shower lot room near sink shower . interestingly , look exit route door , blue print floor - draw scale , room half size every room floor . wonder get small room book throught Orbitz . hotel also condo seem set tourist . one booklet chicago main lobby map , nothing else . front desk staff good understanding city much interest help we time . want get resturant quite distance hotel ( north ) ask metro / bus instruction . girl desk say not know . not even offer call place we . second request find good way get Museum Scienec Industry ( great ! ! ) . girl tell we not know ask three people someone behind desk tell we bus get . get bus stop , seem bus run weekend mid - morning mid - afternnoon ..... Thurs 8:30am ! ! lastly ask stamp ...... tell , & quot ; & quot ; . not even offer direction post office . plus side , hotel clean ..... maid knock door first morning 8:15am clean room ( leave , would happy wake we ! ! ! ) also 10 am day check ( check time 12n ) . also microwave coffee maker use . I would not stay . 
 May 6 2007 	 Great Location 	 stay hotel April 2007 , exchange rate two dollar pound . think location behind John Handcock Tower great , handy shopping , eat sight seeing . room small high quality facility advertise . complain understand another guest do would switch large room . hotel fact ' condo ' room / apartment own private buyer let hotel behalf . problem feel lack cafe / bar area , athough small lounge pleasant enough . one breakfast Hilton road resident Raffaello give 20 % discount . breakfast small cafe beside Handcock Tower , less expensive , fine we . use Hilton bar night , discount ! highlight trip meal Hugo 's Frog Bar & amp ; Fish House North Rush Street . many restaurant area place brilliant , live entertainment provide piano player bar area . wife 's birthday eat drink whatever fancy , ( lobster ) , bill still £ 20 . order sweet , ( fantastic ! ) , tell waiter birthday , staff gather around give rugby style ' happy birthday ' chant . great place . 
 Apr 6 2007 	 wonderful 	 husband love Raffaello weekend . pick great price ( downtown Chicago hotel ) , find quality service excellent point , well . clean modern ; large room great front desk service . couple short block Magnificent Mile shopping , next door Hancock Tower , amazing view city beyond . restaurant , place pretty close perfect . definitely return Raffaello visit Chicago ! 
 Apr 3 2007 	 Rafaello disappointment 	 recently spend 3 night newly open Rafaello Hotel , Magnificent Mile . despite nicely furnish room lovely robe , soap , etc . , enormously disappointed hotel . first night stay , awaken room telephone ringing - someone ask Valet bring car . complain front desk , admit problem telephone network , would address problem . next day receive call room housekeeping ( & quot ; toilet clog -can send someone ? & quot ; ) numerous call valet . time , informed front desk . check , ask something do we ( free night ? ) make extreme inconvenience , say need discuss manager 's meeting . take name number . three week pass hear nothing , despite leave message . customer service terrible - condescend snooty . high - end establishment website lead one believe ! 
 Mar 25 2007 	 Hotel great 	 hotel great time pull door check , everyone friendly , although housekeeping could courteous knock 8:00 a.m. clean room - vacation ready leave day 8:00 . room well keep . would absolutely stay - would use valet parking . shocker go pay bill . , EXPENSIVE next time would definitely park car , even mean walk couple block get car . aside - breakfast Mrs. Park 's Tavern , across street hotel , absolutely fantastic . would highly recommend breakfast . would nice hotel restaurant , hopefully 's plan . 
 Mar 24 2007 	 great night town ! 	 husband return stay one night Chicago , treat nice night . love location Raffaello , stay many time across street Westin Michicgan Ave . get great rate even upgrade suite ( could Wednesday night ) . flat screen tv bedroom separate living room . beautiful boutique hotel , small bathroom complaint . arrive early check check luggage easily free shop day head straight suite return . clean , super comfortable bed , love ! ! would stay heartbeat ! ! 
 Mar 23 2007 	 Hotel Raffaello = dump 	 spend St. Patricks Day weekend & quot ; hotel & quot ; . good experience . first 2 small elevator service entire hotel . would end wait 10 minute every time go room . fun . feel like wait line bathroom sport arena every time . frustrating . the room get small kind dirty . outside hotel look nice expect something comparable . . mold shower , 1 roll toilet paper bathroom . not normal hotel clean room beforehand supply excess toiletry . location hotel fine . overall experience far average . top , charge extra night 's stay so - call & quot ; clean - up & quot ; fee . room sleep . make mess . perhaps mess room arrive . regardless , rather obstinate take away charge , work sort deal week haggle phone , give they . this hotel honestly complete crapola . 
 Mar 22 2007 	 Boutique style comfort 	 wife enjoy comfort quiant , sharply design , hotel . staff really friendly make stay enjoyable . hotel also reasonable locate nice district Chicago . downside lack bar restaurant on - site , enough bar hotel within area big deal . overall , pleasant stay would certainly reccomend young couple single . 
 Mar 16 2007 	 quaint hotel great location 
 Mar 12 2007 	 great weekend Raffeallo Hotel 
 Feb 27 2007 	 good 
 Feb 25 2007 	 great ... business travel 
 Feb 19 2007 	 go elsewhere 
 Feb 4 2007 	 Location Location Location 
 Jan 31 2007 	 Brand New Hotel ! ! ! 
 Jan 18 2007 	 worth money .... 
 Nov 22 2006 	 WOW 
 Nov 1 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Mar 19 2009 	 Perfecto hotel en inmejorable ubicación 
 May 7 2008 	 sehr feine Hotel 
