good 	 comfortable hotel enjoy trip good location 
 Feb 26 2007 	 HGI rock ! excellent stay 	 excellent mid - level hotel convenient location , good price Chicago . Front desk service = Jessica Diane , superb ! super nice welcome helpful efficient , handle request perfectly . room 20th floor nice view North Hancock Tower , absolutely quiet , spotlessly clean , comfortable . nice amenity include complimentary high - speed in - room internet access , fridge , microwave ( perfect family ) , good - sized desk , lounge chair w / ottomon , Neutrogena bath product , well small pool & amp ; hot tub gym / exercise room . hotel also offer & quot ; Business center & quot ; ( 3 ) computer , printer , supply everything business , along conference room 12th floor ... guest . hotel 2.5 short block famous shopping Michigan Avenue , & quot ; Weber Grill & quot ; restaurant attach . try restaurant , seem perfect meat lover ... price like steakhouse ! plenty restaurant , club , bar area well . Red Line subway station conveniently right outside front door . only minor minus : heat / AC unit turn ( like HGI ' ve stay ) seem noisy / loud first , get use . problem sleep . yes , would stay .. without hesitation . 
 Feb 20 2007 	 Loved HGI 	 book 3 room HGI past weekend thru Travelzoo 89 $ back November . mom kid 's weekend hotel could not nicer . request early check accomodate set we corner 22nd floor together . they room fairly laarge microwave fridge Neutrogena product . everyone desk helpful direction , transportation . location EXCELLENT . walk everywhere red line right outside . Navy Pier Trolley right street . I would definitely stay would recommend it . only drawback ..... hot tub fill entire time theree cold day would appreciate . secondly , would recommend Webber Grill breakfast ... long line buffet . 
 Feb 3 2007 	 Veru nice great location .. 	 find Hilton Garden Inn clean , fresh update , location beat . get great rate Hilton web site $ 129 night third night free . breakfast serve microwave mini - frigerator . restaurant locate lobby , mainly barbque , room service offer , numerous restaurant within block . staff friendly accomodating . indoor pool nice small . Nordstroms Northbridge Shopping Mall short block away , Michigan Avenue , aka , Magnificent Mile , two short block hotel door . parking availible , fee , course , garage attach hotel heat circular driveway may load unload car . Bell hop valet readily available , way service push upon . would definately stay hotel . 
 Jan 15 2007 	 Excellent Stay ! great hotel 	 great location 3 day weekend Chicago . staff friendly helpful , room clean comfortable . locate 2 easy block Michigan , lot great restaurant close , 1/2 mile walk State Macy 's ( former Marshall Fields ) , Red Line step front entrance , Jewel grocery across street , Trader Joe 's also 2 block away .... really find location accomodation great ! front desk list bar restaurant neighborhood . arrive midnight front desk give we several option place grab bite late hour . opt Mother Hubbards ( State Hubbard ) . sport bar definitely ' local ' kind find . simple good bar type food . not miss Volare , really nice italian restaurant one block east Michigan Grand . recommendation share appetizer ( roll eggplant exceptional ! ) , pasta meat course get good value especially since serving ample large . 
 Jan 13 2007 	 Loved Location ! ! 	 stay hotel Christmas , hotel great , great location , staff helpful . red train line outside door $ 5 cab ride nearest blue line ( use alot ) take great shopping mall . breakfast great include room price , lovely buffet . say miss proper meal like potato veg meat , hard get , sick fast food second day . eat restaurant hotel time ok . order room service one nite , chicken cold end get food poisoning , kind ruin holiday . complain hotel would recommend store across street Jewel stocking food fridge microwave room . 
 Jan 7 2007 	 absolutely Perfect ! 	 location ! arrive , park car , walk everywhere . breeze checking , staff incredible , $ 93 / night ! definitely come back future . 
 Jan 5 2007 	 great experience 	 husband go Chicago somewhat short notice ( take care relative 's estate ) . since go stressful trip , not want worry quality hotel . find reasonable price travelocity book stay , not disappointed . end extend stay able get even well rate front desk Hilton website . we not rent car , able get around easily ( metro stop literally outside hotel , mention another review ) . small fridge microwave room allow we keep food cost . 's Jewel / Osco block away , Trader Joe 's two three block away . plenty good restaurant area , . housekeeping staff take good care room friendly want sleep . 
 Jan 2 2007 	 Weekdn getaway kid 	 great stay two kid week Christmas . price right ( $ 93 Hilton website ) , location great ( Nordstrom 's wife daughter , ESPNZone son around corner ) staff efficient friendly . probably dozen restaurant withina one block radius . the exercise room not huge three treadmill machine . pool small overly - chlorinate kid love same . I would recommend hotel get good price ! 
 Jan 2 2007 	 Perfect Location Perfect Weekend 	 come home last night two night stay Hilton Garden Inn . find good price New Years Eve weekend hotels.com . ( later well price $ 89.00 per night become available travelzoo , could not cancel original reservation ) location perfect . park attach self park garage - nobody front desk mention anything parking validation , ask check - out . save $ 11.00 per day . make sure ask ! room clean spacious great view . fridge microwave nice leftover meal turn midnight snack . may seem silly , love toiletry provide . Neutrogena product . like know use instead mystery brand . Weber Grill first floor make great lobby bar . eat breakfast one morning disappointed see buffet $ 12.00 . hope could order steak egg . be okay . food good - omlete bar could order egg cook like scramble one want . appreciate security hotel New Years Eve . 10 pm provide room key picture ID get elevator . also strict rule regard noise level multiple guest room . not issue , nice know problem , something would do . perfect location shopping , dining , drink fun . will back ! 
 Dec 27 2006 	 convenient everything ! 	 stay Bears game general sightseeing . red line right outside door , able go everywhere want easily . hotel also locate right across nice Jewel food store . great soda snack . check breeze employee friendly . request king nonsmoke king smoke ready we . nice security feature must use room key use elevator . our room fairly large , especially city standard spotless nice furniture . also microwave refridgerator along coffee pot . view Hancock Building window open slightly fresh air . it good size bath also spotless nice toiletry include lotion mouthwash often give . good water pressure plenty hot water . the bed comfy make double sheet nice touch . pillow okay foam variety little hard . free internet nice feature charge local phone call little cheap opinion . the Weber Grill locate hotel serve wonderful breakfast buffet great service . overall great stay would definitely stay . wonderful location Michigan Avenue nice clean , friendly atmosphere . could ask . 
 Dec 18 2006 	 Good True 	 another great stay Hilton Garden Inn . 3rd time stay two year . adjoining room Mother , Wife three kid . pay $ 89.00 nite . rate travelzoo . hotel excellent location . staff friendliest people . say everyone contact . find people Chicago general friendly ( must midwest thing ) . also return March . 
 Nov 28 2006 	 another GREAT stay ... 	 third stay two year hotel . terrific location nice sized room . microwave small frig room definite plus , particularly w/ wonderful market right across street snack . really nice view hotel , 's good value short walk Michigan Avenue . complaint w/ hallway door . SLAM shut , mean SLAM ! hear everyone come go not think grab door . would definitely stay though -- probably next Thanksgiving go back Chicago . 
 Nov 13 2006 	 Outstanding every way 	 five college friend delightful stay . exceptional customer service ( front desk , housekeeping , bellman , etc . ) large , clean , comfortable room , find hotel outstanding every way . 23rd floor , view city fantastic ; street - side , location Grand State great -- step away lively Michigan Ave . offer . especially impressed hotel staff 's willingness abilitiy honor request adjoining room -- one two bed ; murphy suite double bed , large sit area sofabe , plus kitchenette . previous experience hotel optimistic likelihood would get request make reservation . call night arrival , front desk staff housekeeping make sure get ask . ' ve stay 5 - star Omni previous trip find 3 - star Hilton Garden Inn superior every way . will back ! 
 Oct 24 2006 	 relief ! 	 Mom stay Hilton Garden Inn , downtown Chicago past August girls trip . stay 4 night . hotel clean , service awesome , staff eager help question , quiet room comfy bed . breakfast well downstairs ! pool little small ( especially 10 kid ) .Mom Chicago King Tut exhibit Field Mueseum . hotel hop skip jump Magnificent Mile , transit super easy . originally book another hotel , read 's review site , switch , relieved do . one thing , Mom ask corkscrew concierge . get room super fast however break bottle . moral story ? not ask hotel corkscrew . pretty cheap . 
 Oct 12 2006 	 Good Hotel 	 stay three night September year . hotel great location everything . good sized room ok view everything clean well maintain . staff across board helpful . Weber Grill great breakfast ( $ 12.95 buffet ) also steak . highly recommend hotel . 
 Oct 3 2006 	 love location ! 	 stay Hilton Garden Inn Chicago 4 night last fall . average price ( Chicago ) parking locate site . park car walk take public transportation everywhere need go . the check - in quick , lobby attractive , room nice size , clean , suprisingly quiet . nice view window . adequate sized refrigerator microwave room , too . directly across street hotel ( west ) Jewel Supermarket buy breakfast food snack / sandwich food save money trip . there Weber Grill restaurant ground floor hotel fantastic buffet breakfast ( eat Sunday morning ... not know 's every - day thing weekend ) . many , many , many restaurant locate within walking distance . walk Gino 's Pizza Rainforest Cafe . if want take subway , well , be super - convenient , subway entrance corner hotel ! buy multi - day pass rode bus , subway , El train tourist spot -- John Hancock Building , Magnificent Mile , Navy Pier , Shedd Aquarium , name few . would also highly recommend & quot ; Chicago Hauntings & quot ; bus tour ( walk hotel tour embarkment ) Wendella 's Lake River tour ( 90 minute ) 
 Sep 12 2006 	 Good Stay 	 nice 4 - night stay hotel mini vacation last week August . location convenient walk many thing . room fairly spacious , clean , everything good shape ok view . fairly well equip refrigerator , microwave , coffee maker , iron , internet service , etc . one thing forgot check book in - room safe , . safe deposit box front desk work fine we . request high floor follow put we top floor . staff wonderful . enjoy stay would return . Sun - Wed stay get we free night , great deal class hotel . 
 Sep 10 2006 	 Paper Thin wall 	 hotel paper thin wall hear evrythe room next door hall . stay 1 star motell private . also call hotel direct reservation , transfer central call center . know hotel Weber Grill lobby . reservation center say several downtown lockation could sure one reserve one ask adress . 
 Sep 8 2006 	 worth every penny ! 	 first want say sound bit pricey , definitely worth every penny . location could not convenient , especially tourist Chicago . addition , find staff friendly helpful , room nice , extremely clean spacious . one good hotel ' ve ever stay , stay ' m give chance . 
 Aug 30 2006 	 Great Place stay Friendly Staff 	 stay 3 night business trip . surprised friendly staff , include housekeeper night shift ! unusual . room comfortable , lot plus ( like complimentary internet access ) .I & quot ; wowed & quot ; bed linen , reasonably comfortable . good value . 
 Aug 23 2006 	 great location great place 	 see 3 night price two promotion book . see another promotion Travelzoo $ 115 per night August , could beat book . arrive via blue train get lose . ton cab ride cab four minute hotel . 's noon want check bag score ticket Wrigley Sunday . ' m stand line desk spot two bellman walk onto lobby . tell guy situation boom , claim ticket Red Line , see Cubbies . back hotel 5 pm checkin problem , fact think pre assign room , king non smoking . room design last stay , clean except drink glass . microwave , mini fridge comp pass real fitness gym one block away . jewel grocery across street . rental car need public transit pretty fast . rent car last day drive outside downtown return 5 pm . score parking meter one block away hotel , leave 7 am , free night . second stay city hotel . third . 
 Aug 17 2006 	 else say - excellent ! 	 return five night stay Gardenn Inn say hase not already say - place excellent . travel lot would highly recommend hotel . front desk awesome . wear & quot ; Problem & quot ; badge not gimmick , anything ! great location right red line . will not disappoint hotel . also , info since seem , visit Federal Reserve Bank , free else get close one million buck leave $ 364 free ! also , check Blue Man group show great time guess , right red line Belmont quick ride back hote ! 
 Aug 9 2006 	 great stay 	 stay wife 6 night 31 July 6 aug . US Airways manage lose baggage arrival check staff provide we toothbrush , toothpaste etc nice touch . ask corner room recommend give one . hotel require include 24 shop sell essential , starbuck , smallish pool hot tub . business centre 12th floor 3 terminal provide free internet access printer . one occasion printer not work front desk online flight check I . there Weber Grill attach hotel great buffet breakfast $ 12.95 great food evening . wait time hour evening eat , call , mention stay hotel get table pretty quickly . location great . Metro stop outside Navy Pier free trolley round corner . room clean well even clothe bed fold . 3 star hotel , superb . many people , include Americans meet en route suprise would take vacation Chicago , fantastic . go ! 
 Aug 8 2006 	 great .... 	 husband & amp ; get back 4 - night stay HIlton Garden Inn Chicago . great location , convenient wonderful Mag Mile shopping red line train . wonderful staff able answer question might get around City , etc . housekeeping efficient , polite thorough . my complaint - mattress horrible ! ' m generally picky person , sleep board take 's toll 4 - night . hotel replace mattress , probably will not come back ! 
 Aug 1 2006 	 Hotel Staff Five Star ! 	 hotel staff could not enough ! part engagement evening , couple special item deliver room specific time . come hotel . hotel rate high 3 star beyond ! 
 Jul 3 2006 	 Excellent Stay 	 enjoy four night stay Hilton Garden Inn could ask mid - range price hotel . staff extraordinarily friendly helpful . room clean fresh look new recently renovate space . bathroom good water pressure shower , generous counter space plenty towel adequate size . love convenience mini fridge . microwave provide well . closet drawer space adequate . comfort level bed could compare pillow top mattress home , mattresse pillow provide reasonable level comfort hotel . firm without hard . traffic noise even 19th floor , sound proof within hotel excellent not hear noise room even hallway . location ideal tourist Jewell grocery store across street , across Red Line subway stop near bus stop be within easy walk distance Chicago 's good restaurant shop Michigan Ave .. buy 3 day visitor 's pass unlimited travel transit system really easy get around . get Art Institute Museum Campus walk Upper Michigan Illinois take bus . 146 . get Lincoln Park Zoo walk Grand LaSalle take bus . 156 . be interested architecture Frank Lloyd Wright visit Oak Park make fun day . take Red Line Lake / Clark exit transfer Green Line get Harlem stop . sight within easy walk distance . get Second City take bus . 36 Grand State . starbuck kiosk lobby sell pastry coffee Cosi chain block two east Grand sell good cheap breakfast . also Mary 's 2 3 block away . front desk give direction . great place stay . 
 Jun 18 2006 	 Loved hotel ! 	 excellent night Hitlon Garden . convenient close everything . room nice welcoming . Starbucks lobby plus . service great . complaint . recommend hotel .. try priceline good rate . 
 Jun 16 2006 	 Disappointing overprice 	 stay Hilton Garden Inn 3 night travel business . room rate $ 359 per night outrageous average poor room amenity . bed comfortable , pillow flat , bedspread dirty . Yuck ! disappointing experience . room smell like overdose air freshener sinus headache every morning . 
 Jun 15 2006 	 Kind Place 	 celebrate 38th wedding anniversary Chicago stay Hilton Garden Inn . much well expect . room wonderful , corner view , Room 2170 , clean bright . would recommend hotel anyone travel chicago . really hard time decide price finally decide factor . pleasantly surprise everything , include location , wonderful . hotel deliver bottle champagne complimentary breakfast pass anniversary . staff pleasant , friendly helpful question . 
 Jun 5 2006 	 Perfect Place Birthday 	 choose hotel many available due comment make value offer . disappointed least . check check , everything wonderful except last night housekeeping miss we think due Disturb sign door till 10:00AM . one call ask room 5pm leave baseball game need . lucky get 2107 , beautiful corner room wonderful view . 50th birthday management send bottle champagne . lovely touch . hotel great location . 2 block Magnificent Mile , kiddy corner Nordstrom 's , 2 block river , right front subway baseball park ! safe . feel safe downtown Chicago place ever . people great , number excetional resturant walk distance amazing . try Osteria via Stato , around corner State Street . $ 39.95 prix fix menu incredible thus name Bon Appetit magazine top 50 restauirant USA . great value . back hotel , bed comfortable window open althought noise even 21st floor could little loud big city . think room size right 2 would definately stay value , service location . full breakfast Weber 's downstair come room everything need . Bacon , sausage , scramble egg make order , french toast make order panckaes omlette . fruit selection bread round selction complete fresh coffee fresh juice . great birthday hope come back soon ! 
 Apr 25 2006 	 Disappointing 	 motto du jour presumably entire Garden Inn chain & quot ; 100 % problem free & quot ; . true ! initially assign fully accessible room , although neither we require request accomodation . know , full accessibility feature cavernous washroom double - wide door , extra - tall toilet , curtain - off alcove line rung handrail lieue bathtub , display inconveniently - place showerhead ( think YMCA ) . , fact , & quot ; problem & quot ; soak - craving partner , immediately call request new room . exchange key relieve two coupon free bottle water ill - stocked un - manned pantry beside front desk . upon arrival one floor note , contrary registration profile , directly elevator ice machine , new room also accessible ( although degree previous one ) . tired flight , endure almost constant traffic outside door within wall head bed elevator whir hum next morning . also unplug noisy ( empty ) bar fridge , commence emit sour smell . second call front desk generate assurance bellboy would momentarily key third room . 15 minute third call prompt receptionist inform we would deliver personally . wait hall outside room baggage 10 minute let back answer call tell we actually really truly way . meet we elevator assure move corner room second - to - high floor , far elevator stairwell . , fact , corner room , also directly across hall stairwell . , however , normal bathroom well view . short stay note housekeeping thouroughly clean tub toilet , fully replenish amenity one occasion . bedside table contain requisite bible , also discard porn magazine ! troubling , though , hotel offer room service , opt instead rely service third - party restaurant neighbourhood close early , open late specialize steak pasta . , request cutlery plate front desk eat carry - out indian food , simply never arrive ... wish not either . 
 Apr 21 2006 	 absolutely fantastic ! 	 wife stay & quot ; fun & quot ; trip April 17 - 20,2006 great time . hotel room clean spacious unpleasant surprise . staff courteous helpful time . eat on - site Weber Grill upon arrival good burger live , complete fry cole slaw , $ 10.00 . hotel restaurant price league satisfied comfortable . hotel within easy walk distance & quot ; Magnificent Mile & quot ; , 5 block Navy Pier five minute bus service Museums ( bus 146 - remember ! ) plan go somewhere else Memorial Day decide return Chicago Hilton instead ..... stay great ... 
 Apr 10 2006 	 one well value - for - money deal 	 Chicago 2 week stay HGI 27/3 - 31/3 . ' ve also stay two ' inn'-type hotel Chicago downtown area HGI full busy Apr convention / conference / exhibition / spring break month . $ 139 pernight , get single rm microwave , mini - fridge plus : free internet connection ! ( place charge abt $ 10perday ) . room clean bathroom well - stock . Netrugena line product nice touch . staff nice friendly well . the location ideal : trip Ohare airport hotel cost USD2 subway station right outside entrance ! convenient get grocery Jewell Osco opposite hotel mention numerous eating place nearby . definitely spoil choice ! : ) ' ve hotel defnitely one well one ( $ 150 bracket - type ) Chicago . 
 Apr 8 2006 	 hgi satisfactory 	 stay 3 night last night sofitel review shortly.location excellant jewel shop subway stop across road mag mile around corner.room good size fridge etc clean.staff always helpful.weber grill attach lively - breakfast average.hgi luxurious comfortable well priced.fridge room bit noisy plug overnight ! summary hesitation recomende hgi . 
 Apr 6 2006 	 great Stay -- hiccup though 	 husband check Hilton Garden Inn 3/27/06 stay 3/31/06 marvelous trip Chicago . see taping & quot ; Jerry Springer Show & quot ; ( bizarre sureal ) , go see musical & quot ; Wicked & quot ; Oriental Theater ( highly recommend ) go see Black Hawks defeat St. Louis Blues overtime ( ! ) United Center . eat excellent meal Heaven Seven Redfish ( see seperate review Redfish ) . also eat Mother Hubbards seem like drinking establishment dinner place ( would recommend ostrich burger ) . HGI excellent base stay within walk distance virtually everything ( although take express bus hockey game highly recommend $ 2.00 per person way ) . Sears Tower quite hike HGI lovely day walk back forth ( hey give we license eat great dinner guilt ) ! take cab Union Station check HGI Monday key card open door properly take many try ( typically 4 ) get door open . problem happen virtually every time try get room . frustrate yes , learn laugh take bet many time would take ! inside room instantly notice pillow -- bizarre phone request tell send . later unpack noticed iron , iron board . go grocery / snack / wine shop Jewel - Osco store ( nice full service grocery store close ) across street later afternoon ask front desk send we iron also mention room still without pillow . apologize assure we everything would taken care . return 30 minute later knock door iron appear still pillow . phone call front desk check iron , remind still pillow . pillow quickly dispatch . hate sound like complainer certainly minor issue seem odd cleaning person would certainly notice absence pillow probably notice miss iron . way -- rest week clean service excellent could strange occurrance . I would definately stay HGI rate $ 139 per night reasonable . needy demand people king bed non - smoking room request ( receive ) suit need fine ( really GREAT ) ! also love business center could check email , able get info regard express bus United Center save we ton money cab . also appreciate mini - refrigerator use coffee maker microwave . unfortunately lazy tired late night -- 's story stick -- use pool exercise center look great . also kudo blackout curtain HGI standard every hotel overlap center large ray light streaming room morning . all FABULOUS trip Chicago location ammenitie Hilton Garden Inn really allow we enjoy stay . would highly recommend hotel certainly attempt use return ! ! 
 Mar 25 2006 	 Greta place stay Chicago Downtown ! 	 return stay Hilton Garden Inn . book room base review post trip advisor web site . stay 4 night college - age daughter friend . hotel exactly hope . centrally locate downtown Chicago , directly across street Grand Street EL station ( red line - north ) . purchase visitor pass use EL extensively . desk staff excellent ! give we 2 bottled water great room view . mention reservation PF Changs restaurant ( end block ) , give we coupon free appetizer . whenever ask direction certain loaction , staff provide we mapqu map get destination . price excellent . room small fridge microwave access business center computer terminal printer . highly recommend hotel GREAT place stay downtown Chicago . 
 Mar 23 2006 	 ok think Homewood Suites well Hilton choice 	 return . room clean , small , OK . housekeep weak link . first day stay return room 4:30 housekeeping . go downstairs wait lobby . 5:15 ask front desk tell & quot ; daily housekeeping unless call & quot ; . seem impossible believe , comply ask housekeeping every day . ( desk clerk say , & quot ; really want housekeeping every day ? & quot ; ) difficult people , even Motel 6 daily housekeeping heaven 's sake . put & quot ; rush & quot ; room , 45 minute later clean towel clean sheet . pay $ 139 price give three star . would inappropriate . valet parking $ 36 day , need & quot ; unlimited & quot ; aspect service . unfortunately , forgot factor & quot ; write stone & quot ; Sunday morning obligation , almost late take well part hour get car . call ahead , valet boy busy count tip go fetch vehicle . finally , one ask need help say call car leave room . point , one boy actually stuff fold money back pocket go get car . upon leave , wait several minute valet boy pocket tip move car make impossible us exit . cool . as Hilton Honors member think would receive preference request & quot ; high floor & quot ; . . originally place 13th floor , ask corner room place 19th floor . 23 floor , not & quot ; view & quot ; room . true , & quot ; gold & quot ; level platinum . even , 2 bottle water seem like minimal acknowledgement Hilton loyalty . walk 50 step another Hilton property , Homewood Suites . talk staff member really open property Honors Gold member automatically assign 12th floor verify completely non - smoking comprise actual two - room suite amenity Hilton Garden ( free hot breakfast ) plus free cocktail / dinner evening mon.-thur .. well choice extra $ 50 night consider also get kitchen guest laundry . , stay many downtown hotel , Homewood Suites good Hilton choice . Embassy Suites block crowd noisy lobby , minimal room furnishing , expensive . Hilton Garden Inn clean modest , paper - thin wall real acknowledgement Honors benefit . 
 Mar 21 2006 	 Great Weekend 	 return long weekend husband Hilton Garden Inn . wondeful time - room clean , location great . staff helpful get ticket show , navigate train ! stay Westin prefer location well , close walk mile , great restaurant . red line trolley Navy Pier outside front door . price , can not beat service location ! can not wait go back ! 
 Mar 15 2006 	 Super ! ! ! 	 family stay one night family weekend get away . location great . stroller two young child location hotel make easy get around . free trolley service right across street drop we right door Navy Pier , back . use one free crib , picky think good enough baby , although put sheet . use pool entertain kid , strange smell clean fun . bath tub actually could fill bath kid pool . all staff helpful extremely nice . look forward stay . 
 Mar 15 2006 	 lovely helpful cheerful staff Garden 	 spend two day mid - week visit family . usual amenity standard , specially notice cheerful helpful staff , common downtown anywhere . breakfast great - continental include stay , $ 1 could ` work ' , include omelettte cook order . fifth Chicago hotel ' ve try , first ' ve like enough want come back . 
 Mar 4 2006 	 great location . great price . great service . 	 stay Friday night short weekend visit . pay $ 100 , not know expect . plesantly surprised . staff nice . room nice good view city . pool hot tub enjoyable . negative parking situation , true almost hotel downtown Chicago . location close everything . would definitely stay hotel many expensive place . 
 Feb 27 2006 	 great ! 	 good experience overall . staff friendly helpful . room nice -- complaint . location great . check - out easy , not even stop front desk . would recommend anyone . easy , no - hassle trip ! 
 Feb 27 2006 	 great value location 	 stay August two night girlfriend see baseball game . second visit Chicago since place receive favorable review give shoot , turn great choice . Location - great area north river 3 block west Michigan Ave next State St. one huge bonus subway station right outside door , come handy go baseball game . El , 10 minute walk Michigan Ave plenty retail estabishment nearby , car need . area feel safe walk day night . room - old tower hotel , room small expect adequate 2 people . air circulation good bedding furnishing fine . staff - despite late arrival , King N / S Upper Floor confirm . front desk staff guy great , point Bijon 's american Bistro couple block away late night dinner . also , need bandaid , instead point we drugstore , give we cabinet . housekeep efficient room clean . amenity - delicous breakfast Weber 's . go dinner use pool / gym . lobby rather small except small nook snack / toiletry much else way service . Weber 's restaurant . price - rate Hilton Website $ 170 not midweek stay . sure weekend rate less probably would include breakfast . HHonors member get free bottled water nice warm weather . always say , reason use Hilton website sign HHonors , price chance much well will not get bump put crummy room place full . this great place stay look quality , value good location . want full service hotel luxury may want one large place directly Michigan Ave . 
 Feb 22 2006 	 average hotel 	 pick cold weekend year visit Chicago . lucky we . husband take 7 year old Chicago sightseeing fun . favorite part weekend , course , pool . pool small . five family fill pool make crowded . hot tub hot . enjoy hot tub water hot . scare small child go . everyone see come red skin . location hotel nice . Espn Zone 's backyard nice 7 year old boy . nice time Hilton not overly thrill we . 
 Feb 20 2006 	 Chicago home ! 	 Feb. 17 - 18 : take girl trip two friend . Chicago native want show ' Frisco friend great city Chicago . start finish , Hilton BEST ! first , arrive 10 Midway ( EL Orange line txf Red line Roosevelt Grand stop - FYI - EL drop right front hotel ) , think would drop luggage shop could check - in ( 3 pm ) . surprise delight , desk say room ready ! Hilton Honors member , also give voucher 2 bottle water ( one large ) $ 5 use towards pantry ( snack stuff ) . also include breakfast 3 we ( Weber Grill inside hotel ) . include continental Weber , Venti & amp ; Pastry Starbucks ( also Hotel ) , , $ 1 , Deluxe breakfast make order omelette pancake . go rest see Chicago ! 10:30 eve , look restaurant late dinner , desk extensive list ( pricing ) even call ahead check seat hour . wonderful meal ( GREAT STAFF well ) recommend Volare ( 201 E. Grand ) . room clean , staff accomodate , go beyond ( many time mention ! ) . stay - will not regret ! btw : 137.33 / night Hilton website . 
 Feb 8 2006 	 great location ; great staff ; great price 	 great price , consistently helpful , friendly staff , clean nice , small touch everwhere . corner room w/ two window , microwave . refrigerator , easy chair nice closet bathroom $ 130 night . course , February assume price seasonal . would pay quite bit stay regardless . near Nordstroms , small grocery store & amp ; retail come handy . also free use Crunch gym almost next door ( well nice hotel gym ) . Weber Grill restaurant reasonably price breakfast buffet excellent service nice & quot ; go & quot ; option . well run hotel . wish like . definitely stay . 
 Jan 30 2006 	 great hotel 	 stay Christmas New Years hotel staff amazing . frequent flier account not attach HHonors account rep check insist take care follow call say do . room immaculate , modern ( bed comfy ) heating work well . fridge microwave clean . Kudos business center , color printer available guest use remote printing feature room great secure ! location great next door pf chang short walk Nordstrom Michigan Ave . 
 Jan 27 2006 	 Excellent hotel . great value money 	 want follow early review . hotel one good deal town . prepay stay [ -- -- -- -- ] $ 89 + tax get great room . like reviewer hhonor membership , give voucher adequate continental breakfast , free voucher bottle water good 24hour pantry . service excellent throughout . location pretty quiet Chicago , reasonable walk everything red line subway station right outside door . least , much well choice previous stay around Loop . overall , highly recommend . 
 Jan 21 2006 	 Nice Hotel Reasonable Price 	 Great Location . service always great check check . cost great downtown MI AVE hotel . 
 Jan 11 2006 	 love 	 find hotel via Tripadvisor tell review right money . place excellent , clean , service impeccable . think hotel one good place stay Chicago without spend fortune . 
 Dec 28 2005 	 great place stay 	 stay brother come UK see Bears game . 's great location couple block Magnificent Mile ( Michigan Ave ) within walk distance Loop . even walk Soldier Field back might want hop bus subway stop almost right outside door . hotel everything hope would - room nice clean staff friendly . great view John Hancock Center corner room ( room possibility view top Sears Tower ) . attach Webber Grill offer breakfast buffet every morning reasonable price , convenient . would definitely stay . 
 Dec 27 2005 	 far crowd 	 stay hotel twice December 2005 . front desk staff friendly genuinely concern quality hotel stay time . ( one clerk even say & quot ; welcome home ! & quot ; ) Hilton Gold member , give top - floor room , voucher breakfast , Starbucks coupon , bottled water coupon , $ 5 coupon gift / snack shop . room nicely proportion comfortable bed , mini - bar microwave , desk complementary Internet service . bathroom moderate size , clean , well - light . overall , hotel floor quiet orderly . find parking spot street not pay parking ( 6 pm Saturday , parking free meter find right across hotel entrance ) .The breakfast voucher continental breakfast Weber Grill , one upgrade full breakfast dollar ( total $ 9.95 pay without voucher ) . find food atmosphere appetize inviting . steal Chicago unlimited breakfast buffet . must reiterate staff hotel make stand far competitor . stay hotel & quot ; star & quot ; , HGI Chicago Downtown deserve 2.5 superior & quot ; & quot ; attitude staff vast array guest service . 
 Dec 19 2005 	 Fantastic 	 Great Location , great view , quiet - inconvenience high cost parking , be worth . grocery store right around corner help since microwave fridge room . one major complaint stay rare . , use phrase see early , hide gem city . 
 Dec 6 2005 	 hide treasure 	 hotel wonderful much expect . 's new , modern , furnishing room new , coffee maker fridge room . front desk employee ready help direction way could . ice cake location ! be close everything . right heart shopping couple block North Michigan Avenue . short walk store state theater district . right around corner hotel grocery store ! perfect ! lobby modern , minimal look . high price mini convienent store right front desk . starbucks lobby , pleasant employee . hotel Priceline be label 2.5 star . 's way well . whether win hotel bid purchase , can not loose . negative room service breakfast . overprice horrible . skip room service go Starbucks lobby . this hidden tresure city Chicago . 
 Nov 22 2005 	 definitely stay 	 superb location , nice room friendly , helpful staff . book thru Priceline ( $ 50 per night ) . arrive 5 am hope could leave luggage check - in late - problem , room ready also give free breakfast voucher ( HH Gold ) . late check - out problem . call free high speed internet would connect room within 10 minute reboot system work perfectly . room clean decent size bed comfortable . definitely stay . 
 Nov 9 2005 	 nice place stay 	 Hilton Garden Inn nice place stay . great location , subway stop right front hotel . room clean comfortable . one exception : dust ruffle bed tear way around . would not know . bed comfortable bathroom clean . room tad small ok we . staff exceptionally friendly . move we high floor check - in hear relative . houseclean crew not clean room till 4 pm Friday . breakfast buffet corner bakery street great breakfast choice . one suggestion : may want choose another place eat besides hotel 's weber grill restaurant . Chicago many great place eat . not eat relative say Weber grill expensive food ok . 
 Nov 2 2005 	 nice hotel excellent location ! 	 ( family 4 ) stay Hilton Garden Inn downtown Chicago 3 night . desk staff friendly helpful , room clean , really appreciate fridge microwave room , especially since grocery / drug store right across State Street hotel ! save we quite bit money , able eat breakfast light dinner / snack room . I love location , . 's subway stop right outside doorway hotel . park car hotel ( $ 21 / night , in - out privlege ) , buy 2 - day CTA visitor pass $ 9 use combination subway , el , bus get around Chicago . two night eat dinner restaurant within walk distance hotel ( lots restaurant nearby ! ) . eat breakfast room 2 morning , Saturday morning eat downstairs Weber Grill . excellent reasonably price breakfast buffet . not know buffet available every morning weekend . I would definitely stay ! 
