awesome 	 right Central Park - beautiful view park . service spectacular . not type bagel want breakfast , go Whole Foods buy . 
 Fantastic 	 Excellent respect exception extra charge internet exorbitant charge $ 16 bowel cornflake breakfast though include milk fruit garnish . spite grumpy old man gripe staff great , room comfortable well appoint , breakfast great ( civilised full service meal rather usual buffet ) . pool gym excellent . look forward next stay . 
 Sep 6 2006 	 Extrarodinary Hotel 	 read several rather negative review TA , wonder expect $ 1,000 night Park View Grand de Luxe Room . 7 night another 5 go , plenty opportunity work pro con . I write regular guest 4 season , Ritz Carlton like frequent visitor Hong Kong good hotel world . I lose word excellence hotel surpass expectation , pretty much previous hotel stay expreience . truly superb hotel . beautifully fit , service excellent ( possibly 9 10 owe glitch public lobby lounge well staff guest area ) overall experience one pamper luxury . contrary experience describe review , staff excpetionally friendly ( maitre have know Asiate know name one visit make point greeting name thereafter ) .There wonderful pool . small uncrowded wonderful lap wallow . the view Central Park ( 52nd floor ) superb , even allow fact Trump Hotel block part view . the hotel exude air oppulent luxury well - being . there one issue , price . everything phenomenally expensive ( continental breakfast room around $ 45 ) laundry cost would replace item launder . on occasion pick tab price , therefore , disturb . think price probably account great deal dissatisfaciton expressse review , hard imagine hotel could ever really deliver people would expect room cost upwards $ 1,000 per night , price come pocket . in summary wonderful hotel , would advise stay pay make detailed cost benefit analysis . place expense , celebs , truly harden pay hotel class recognise splash large amount money unusually opulent treat . 
 Sep 5 2006 	 top notch service 	 Service would expect pay kind money -- top notch . everyone encounter solicitous eager help . room flat panel tv computer control , include internet access , never use -- hey NYC ! bathroom roomy marble , would expect . comfy bed . open curtain turn light - great view sleep by . lot vip stay . see Danny Devito street level lobby , nice enough talk . next upper lobby , be 5 star restaurant ( Asiate ) bar outstanding view Central Park . great location : Columbus Circle subway step away . also private passageway & quot ; Shops Columbus Circle & quot ; mall Time Warner Center . Lincoln Center block north . cab second wait energetic doorman ground floor lobby . 
 Sep 5 2006 	 amongst good ny 	 certainly not large room Manhattan hotel feel New York -- quintessentially , overlook park , upper floor slick ( perhaps soulless ) skyscraper . modern room ( probably amongst new city ? ) slick far superior competitor like Four Seasons , although large . location good excellent access throughout city , aside park , not much immediacy Fifth Avenue heart SoHo stunning lobby view Central Park . like Mandarin Orientals , service extremely professional although little cold time ( especially marble ) . prix fixe lunch Asiate reasonable deal well -- outstanding food , well worth price . 
 Aug 23 2006 	 state - of - the - art like price tag 	 stay Mandarin Oriental Columbus Circle three night ; book grand deluxe double room view Time Warner Center ' second tower partially Hudson River Columbus Circle . everything look fresh new room well appoint , ' definitely decent size , consider Manhattan standard ; particularly enjoy Samsung LCD tv screen dvd player . bathroom awesome offer bathtub separate shower , small flat panel LCD screen locate near mirror touch class ; everything state art . hotel lack complimentary wi - Fi access , 15 buck grant internet access 24 hour ; definitely would expect free connection property standing . hotel " signature " connection option need check mail surf web , ' isp reachable room public hotel area ; thank God Starbucks ' T - Mobile connection across road hotel entrance . breakfast Asìate restaurant , place offer unmatched view Central Park Columbus Circle , corner table awesome view Central Park stunning sunshine day , cuisine exquisite though expensive , dining party cost Zegna suite , ' worry always buy new one Fifth Avenue . staff exceptionally friendly . ' experience definitely try . finally , hotel conveniently position upscale Columbus Circle private access Time Warner Center shopping restaurant . the Mandarin Oriental New York oasis tranquility style , everything come price . 
 Aug 21 2006 	 Mandarin 's dirty Little Secret 	 's dirty little secret : hotel not face Park . any time face Park , really face back Trump 's hotel ( least 50 % view Trump hotel ) . Park stretch north south , 59th Street 110th Street . doubt see north 65th Street point entire Mandarin hotel , except maybe roof . on Hudson River side , view actually well , room awful . footprint hotel Hudson River room across hall either elevator , service elevator , Housekeeping Closet . ask change room opposite elevator ( literally , bed , could hear people make small talk wait elevator ) , warn room bad . true . take room opposite Housekeeping Closet ; might well take shift , close action . really , much ask $ 750 night figure way get room quiet ? Mo Bar fine : view fair ( , Trump Hotel ) , food poor , drink ok , price absurd . the spa qactually uite nice , well New York , price obscene ' ve ever encounter anywhere . overall , ' ve stay well Mandarin hotel , ' ve stay well hotel New York . impressed . 
 Aug 17 2006 	 complete rip ! 	 part honeymoon new husband stop Manderin Oriental New York . request Central Park view tilt head look high rise building could make tree . also book honeymoon package would champagne strawberry room arrival ( champagne strawberry find ) also exclusive use spa vip room include treatment . ask could use facility give look & quot ; not already book date ? & quot ; . turn someone spa contact we make booking not happen . luckily able squeeze we really fantastic . bit stay . arrange airport transfer hotel rather costly sum speak concierge arrange transport back tell payment make take we one way , would pay another $ 151.12 take back airport . total $ 302.24 ! rub salt wound driver tell we contact Virgin Atlantic would transfer free . first night arrive late decide eat hotel restaurant , food fine overprice ( left still feel hungry ) . insult come settle bill . decide pay cash use available fund we settle bill leave rather moderate tip . ( service not exciting warrant huge tip ) waiter take money send restaurant manager back ask leave 10 % tip usual 15 - 20 % . honest not think especially look not sweep foot service . room overprice nothing write home . comparision Hilton pay $ 90approx per night oriental $ 2200 per night ( include tax ) room not different . rip even pay access internet room ( would think $ 2200 night able access email free ) .The hotel complete rip , food nothing special , room standard , staff seem mind thing rather look guest would never stay . contact Manderin Oriental explain , even fill post holiday questionnaire - still not receive response . ( perhaps people deal customer complaint busy eat strawberry drink champagne ) 
 Aug 2 2006 	 Great Place Stay 	 return 7 day stay Mandarin Oriental . let first start good points.1 . chaffeur courteous . moment taxi stop front hotel , open door , wish we hearty welcome ! 2 . go 35th floor great view skyline lobby.3 . turn service great . 4 . actually book twin bed deluxe room , not available upgrade we King Bed- Hudson River View room rate . - complain . great view room 53rd floor.5 . bathroom great view Hudson river . enjoy Flat Panel tv room well bathroom.6 . walk distance attraction . take subway 59th street subway right front hotel South Ferry station ( 15 - 20 mts . ) roam around Financial District , Ferry Statue Liberty etc . , need rent car.7 . hot HUMID always provide ask bottled water . now aspect ... day depart , trash place plastic bag leave bathroom never pick leave . could person room clean forget take trash - not happen five star hotel . except one incidence , stay great . btw , plenty restaurant Broadway , 7th , 8th , 6th , 5th , Lincoln center ( also walk distance ) find great food well cheap price . I definitely stay . 
 Jul 24 2006 	 New York state mind 	 hesitation stay Mandarin oriental read lukewarm review . stay July 5 night , book 2 Central Park suit 2 Deluxe room . group 8 find service , accommodation location outstanding . stunning decor , exceptional friendly service , especially since preteens teen tow . perfect location Columbus Circle shop wth access Whole Foods , restaurant , bakery , book store etc . hotel provide complimentary full english breakfast every day find service exceptionally attentive . stay many top resort world recommend Condé Naste , Europe , Asia , french Polynesia etc . would definitely count Mandarin oriental great hotel . 
 Jul 6 2006 	 could ok not end 	 stay 5 night - maybe one last central park view : be another skyscraper grow take sight ! room modern comfy , service fivestar . a bad surprise airport - transportation service . order Mercedes $ 180 , want charge $ 250 . checkout tell we clear book creditcard extra $ 70 . 2 week later charge creditcard 70 buck without ask ! careful booking . 
 Jun 23 2006 	 lovely room nice staff security problem 	 stay Mandarin different city many time particularly excited stay property New York . staff wonderful reflect service moment enter woosh lobby 35th floor . request non - smoking room enter room discover someone obviously smoke room . staff respond immediately relocate another room . room amenity wonderful . food room dining deliver time exceptional dining experience restaurant . onto one serious problem . twice stay , someone key try get room . second time , force great literally tore bolt security bar door . hotel respond apologetic -- experience unsettling . compensate trouble leave rather shake . suppose could happen hotel , fact happen property demand excess $ 700 per night room really disappointing . positive note , hotel act swiftly , apologize right thing face circumstance . satisfied handle situation . would return property -maybe body guard ! -- wonderful staff -- especially bellman Robert . 
 Jun 10 2006 	 one Night Anniversary Treat 	 wife live Brooklyn 2nd anniversary decide spend night city top hotel . decide Mandarin never even Time Warner center know Mandarin new luxury hotel city . price way high decide go let go . book room glitch pricing system room go $ 166 . decide book right away see would honor . offer upgrade class room buy standard rate . get premiere Central Park view room standard room price - still that s $ 750 one night . also get 20 % discount spa activity although plan that . we check Friday 3 pm - take elevator 35th floor elegant lobby . room ready check fast . take guest - only elevator ( key card require operate ) room 52 floor . floor hallway tastefully do , well ever see , proceeded room . the room also elegantly design feel new . room large bed quite comfortable large ottoman window . view great although obstruct Trump Hotel across street . still could see park Central Park South - quite attractive . bathroom big . love soak tub shower rainshower feature water comes pour large multi - hole showerhead fix ceiling . when book inform reservation agent anniversary hotel deliver complimentary champagne , cake chocolate evening - thoughtful gesture make we feel special . in afternoon use pool nice lap relax still one person besides we enjoy 30 minute stay . as extra treat see Lance Armstrong elevator way dinnerthe bed comfortable sleeping night . the next morning room service deliver breakfast . major disappointment stay . egg watery glass apple juice $ 8 ! . buy apple juice Duane Reade across street keep morning . $ 70 breakfast worth it . all expensive 24 hour one - time - only treat great time feel adequately pamper . I m sure well hotel value NYC ' m sure provide level luxury . 
 May 23 2006 	 Sublime Hotel 	 wife stay Mandarin honeymoon April . say apart fantastic . stay central park suite 46th floor great view overlook central park hudson river . $ 2300 night would expect slightly big room , NY space limit , be not disappointed . read review say room look worn , look fine . modern flat screen tv every room include bathroom . plenty wardrobe space bed extremely comfortable . service great food worth every penny . breakfast expensive go B & amp ; b option book advisable . gym adequate would want anymore holiday . , could fault Mandarin make honeymoon even well espeically touch like free champagne , cake chocolate . 
 Apr 10 2006 	 Satisfying experience 	 self - make millionaire , investment mean , accustomed fine hotel . one typical classy hotel . attend meet NYC investor , millionaire friend mine stay one luxurious room . spot - on . bar great place meet other achieve success . give b+ . 
 Apr 7 2006 	 Lovely could well . 	 husband stay Mandarin Orient Columbus Circle December . hotel lovely . however , glitch decrease satisfaction . hotel lose reservation able accomodate we . bath tub not work ! serviceman spend hour room try fix never could . hotel not even offer reduce rate send apologetic fruit basket . shopper , adjacent mall nice . would probably stay , many nice hotel NY work tub . 
 Mar 23 2006 	 Fantastic Hotel ! 	 view city dramatic , hotel decor extremely elegant , tasteful , peaceful . corner room view Hudson River king bed huge , well - design suited need perfectly . opulent bathroom tub rain shower , one sink . lounge drink seat reserve hotel guest beautiful view city , excellent restaurant Asiate . staff warm , polite , efficient , attitude whatsoever , room service fast . excellent location , convenient theater district ( 10 - 15 minute walk , time cab ) directly across Central Park , locate brand new Time Warner center ( nice mall ) renovate Columbus Circle . first choice among New York hotel . sleep curtain open -- wake night , get glimpse galaxy city light morning rosy light dawn east face building shore New Jersey . 
 Feb 21 2006 	 great hotel problem . 	 wife big fan Mandarin Oriental , naturally , choose recent trip nyc.the hotel gorgeous , fantastic view , decoration , furnishing , restaurant , location . could fault anything . the corner hudson view room great floor ceiling view , though big . two flat screen tv ( one bathroom ) , great style . unfortunately , look like someone big party room right get big stain right middle carpeting , one tv plastic casing crack / chip . already unpacked time notice ... let go . the lobby beautiful , food / wine Asiate ( restaurant ) first rate . add bonus Columbus Circle location not need leave build top restaurant NYC ( per Se , Masa , etc ... ) .In summary , luxurious stylish hotel , good service fine food . assume room much well shape , relatively new hotel . obviously , extremely expensive , part , worth money . 
 Feb 20 2006 	 Blizzard 2006 ! 	 stay hotel 7 night special $ 500 night room 49th floor , record break snow fall 26.9 inch snow fantastic ! ! Central Park right across street everyone fun loving , snow ball fight kind mood . ask upgrade avaliable however hotel book solid , please take advantage one time free & quot ; Welcome coffee service & quot ; room arrive . everymorne walk starbuck right across street java enter Time warner building connect Mandarin stop Borders book / Dean Deluca coffee great big doughnut Doughnut plant Choc almond Croissants Balthazar 's bakery . the fitness room great extra fee attach use room . the restaurant bar area amazing view ! ! bar area serve light lunch , brk afternoon tea . drink run least $ 17 , bar menu look great well mini burger bento box . we eat dinner restaurant , food good , exceptional view outstanding ! staff service great , never snobby pretencious . house car avaliable first come basis take mile hotel . we see 2 celebrity , could not miss one wear bright red coat valentine day . each night recieve 2 bottle Fuji water , chocolate , two small fruit like plum date turn service . do check hotel bill check 2 overbill dinner bill charge room add $ 300.00.great memory indeed ! ! 
 Jan 30 2006 	 Best ever 	 stay 21st birthday 4 night well ever ! check - in get room upgrade corner room top floor look Hudson River - amazing ! also arrive lovely little cake small bottle champagne great ! stay New York exceed expectation . would definately stay next time visit . beautiful hotel , excellent room view great location . could want ! ! 
 Jan 13 2006 	 luxuriousexquisitespolit life ! 	 stay Mandarin Oriental end June 2 night celebrate husband 's 40th . the hotel without doubt amazingly beautiful hotel stay take beating . can not believe 's rank low ! outside 's breathtake shiny tower inside well ... even well . lift whisk reception lobby amazing central park view . Central Park view room although quite small height luxury . bed quite luxurious comfortable bed stay awake half night jet lag ! bathroom beautiful amazing dinner plate size shower head - actually giggle sheer deliciousness place whilst shower ! whole hotel amazing blend East meet west spa great example this . it style beautiful oriental way yet every turn head amazing view Manhattan skyline . finally - good burger will ever taste go lobby Parker Meridian hotel behind curtain authentic burger joint ! 
 Jan 12 2006 	 Brilliant Hotel expensive great - spa might suit though 	 great hotel , good ever stay , room finish high standard everything could ever need thing not - one thing wish know go . hotel partly sell spa , one good New York think . book presume guest hotel could use spa , ie fancy shower steam room etc - arrive find use spa unless treatment , massage facial etc cost minimum $ 190 per person . however - busy spa hotel guest use facility cost $ 50 per person . bad . facility separate man woman , go husband boyfriend , will not able go together . make clear website - don't . I would not reject hotel know help inform . disappointed could not use spa husband pay extra . however , lose , not want can not afford treatment , use hotel pool fitness centre , separate spa . pool lovely view river long , 25 meter . small sauna male female change room . the bar reception lovely , view columbus circle central park . after moan , would go ! 
 Jan 10 2006 	 expensive nice 	 husband stay Mandarin four day early December . find hotel well - locate , staff kind efficient , decor pleasing , view spectacular . yes , expensive , even outrageously expensive , ' ve pay nearly much elsewhere receive value dollar spend . room , large , immaculate comfortable . view window amazing well yet , hear absolutely noise outside . think nice touch maitre ' lounge reserve table hotel guest even bar pack , 's table wait . air bit thick smell money celebrity ( see Bono ) felt treat well . wish could stay long , would definitely go back . Mandarin come feel much like home time . 
 Jan 7 2006 	 well worth expense ! 	 regular Plaza , NYC previous visit Big Apple , keen find hotel would live always high expectation . recommend MOH friend book two room directly hotel . later discover somehwat mixed review site even think might idea cancel stay another hotel . however worry unfounded report stay outstanding every way . stay five night ( $ 700 per room per night ) upgrade central park suite 54th floor ( high floor available ) . although maybe large room NYC view breathtaking result us sleep curtain open admire lifetime view . staff credit company concierge able obtain great seat Fiddler Roof 24 hour notice excellent dinner reservation Cipriani . morning every single staff member greet we smile good morning welcome . room always keep well stock clean . eat Asiate ( twice ) , althought food maybe good world excellent well worth go view . bar , although small , mix great cocktail great place people watch . all rate hotel highly enough take alot beat mind . 
 Jan 4 2006 	 love everything Mandarin except outrageous price ! 	 would love write glowing , wonderful review Mandarin , except . praise location , beat . able walk park , midtown , upper east side upper west side . especially easy access shopping Time Warner Bldg . hotel spectacular . room spacious luxurious . love plasma tv bathroom , view Hudson River 40th floor gorgeous . bed comfortable room immaculate . check - in quick easy , check - out . always taxi wait outside we need it . my problem price . pay $ 600 per night basically get great room , great view , great location . kind money , expect little extra term service . price , would like conceirge lounge beverage light snack . would also like make massage appointment cost $ 280 1 hour massage ! room service would nice , pancakes coffee $ 50 per person ? strange luxury hotel , strange NY area . stay Mandarins , Ritz - Carltons Four Season 's , live NY 20 year , price even shock ! money burn , place stay , otherwise , may want read review , make reservation . 
 Dec 27 2005 	 Good Views Bad Service 	 stay one Central Park Suites .... suite much space price , not get wrong small , $ 2,100 night , expect large living room bathroom . room service take forever check - in .. also hotel charge twice room service , get take credit card .. next time think stay Ritz - Carlton Central Park South . 
 Dec 9 2005 	 service ok disgusting room 	 3rd stay Mandarin Oriental could believe condition room , sofa chair cushion cover within room dirty stain would think drag park . sofa change complain never allow room occupy condition . staff hotel polite always friendly , real maintenance issue need resolve quickly . 
 Dec 8 2005 	 Disgrace name Mandarin Oriental 	 hotel belong Mandarin Oriental Group . the room may beautiful one need hotel . the service disgrace . management totallly disintereste disingenuous . letter simply ignore . beware price hotel many different rate category accommodation even staff know charge ! would disaster stay . city fill top class hotel need go . 
 Dec 2 2005 	 Service horrible 	 stay away hotel . very bad service - not mind pay $ 1200 room expect level service rate . wait 15 min outside airport car hotel arrive . breakfast room service arrive without cutlery - food cold arrive . next morning - room service one hour tweenty minute arrive . not would expect Mandarin Oriental . 
 Nov 21 2005 	 Mandarin Oriental - absolutely Perfect ! ! ! ! ! ! 	 say ? ? everything Mandarin Oriental Hotel New York perfect - staff accommodate , helpful courteous . room beautiful - hotel lobby bar marvelous ! ! ! want go home . wait stay . 
 Nov 12 2005 	 stay away spa 	 book two room three girlfriend weekend . ask early check - in receive one regular check - in one late check - in ( 4:30 pm ) . room fine obstruct view ( Hudson River ) even though book high elevation room well view . room quite small bathroom comparison Four Seasons New York . massage spa disappointing experience . masseuse late , tour , overhead music problem , bed available rest area follow massage ( spend $ 1300 massage ) . massage last two hour alright great . would save money stay somewhere else opt Four Seasons New York . 
 Nov 8 2005 	 confirm : top pick 	 stay second time within 2 month time frame . time , book standard room . upon arrive , welcome heartly get well room , 54th level . view Hudson River bath tub amazing . breakfast fresh tasty , pool must see / must . bed heavenly , entertainment system room unique . turn service great little attention like card wise word . also cookie big bottle Fiji water . concierge service top . last time elevator William Shatner , time front P. Daddy . , 9.5/10 book promotional rate package , go . 
 Nov 5 2005 	 beautiful hotel ! ! ! 	 stay 4 night Mandarin Grand Deluxe Room , room beautiful view spectacular . highlight Rain Shower , put right sleep night . bath tub also delight view window room well bed soooo comfortable . order room service first night quite yummy . friend mention birthday day amazing cake send room . service top couple Celebrity sighting get elevator . lobby die , make sure go night cap lobby bar . I already plan might return trip June next year . 
 Oct 10 2005 	 great location small room great value 	 great location , good service ( normally high standard Mandarin Oriental hotel ) , small room price ( though well lay out- room fine one person would small two supposedly executive suite ? ) feel room expencive much well value elsewhere New York . would stay need close Lincoln Center tight schedule 
 Sep 25 2005 	 ` ` value money '' Scale worst Hotel ever Stayed 	 see high end guest , stay Four Seasons , Ritz - Carltons , top property worldwide . ( obviously ) hotel charge $ 400 - $ 500 offer exceptional setting , environment , service level , something else make cut rest . see ready spend $ 500 + night transcendental experience Mandarin Oriental New York , one word : & quot ; PASS ! & quot ; Central Park & quot ; view & quot ; room , include ludicrous local taxis add $ 100 + night , $ 800 ! get spectactular view .... trump monstrosity across street . hotel stay easily worst - ok , stupid - hotel decision ever make . room expensively furnish , enough justify price . window not open . chicken sandwich room service soda cost $ 39 . sure , convenient access mall Whole Foods downstairs , stay half block away Central Park South HALF money ? move early , go & quot ; W & quot ; Park Avenue near Union Square , lovely huge room wonderul area ( near Village , SoHo , tribeca ) half pay Mandarin . Mandarin view strictly business people expense account , , come think , appear demographic guest anyway . & quot ; n lifetime & quot ; splurge sure , guarantee never come back unless someone pay stay . 
 Sep 13 2005 	 Excellent honeymoon destination 	 recently travel New York third time stay Mandarin Oriental . honeymoon want something really special hotel dissapoint we . we order car take we airport - driver extremely courteous helpful . however quite surprpise overcharged price quote Mandarin Orientals website also charge extra fee ' waiting time ' get plane . car $ 300 already , charge extra $ 50 quite shock . admit take hour half clear immigration ( fault ) willing pay extra charge however appear expect car second flight land that s charge begin ! even give we time clear immigration . complain , hotel stick original quote willing budge wait time end pay waiting time moment flight land ! thing potential spoil holiday . we book premier corner hudson river view room tell park view obscure . room lovely , bright clean , view excellent - 52nd floor . bed comfortable ever sleep ! staff friendly courteous time make stay pleasant one . turn service good flower proverb leave pillow nice touch - biscuit water ! view Lobby Lounge excellent spend many hour relax great view . service great . eat Asiete despite charge three time someone else 's meal - however easily resolve telephone call . the pool also lovely however four lounger little small side . tv machine gym make exercise lot easy ! hotel expensive - drink particular well food brilliant time - honeymoon willing pay kind price . all feel pamper , happy patronise . sad leave luxury stunning view . we love Mandarin Oriental much look try one Bermuda next year ! 
 Sep 1 2005 	 Oasis Manhattan 	 hotel occupy upper floor Time Warner center stunning view city New Jersey . location short walk Lincoln Center , boutique shopping Madison Avenue , Broadway theater . book corner suite living room view Central Park bedroom view park hudson river . room absolutely perfect . Mandarin instal flat screen , HD tv 's hd program room treat . floor ceiling glass wall room make incredible view . restaurant wonderful stunning central park view soak morning sun . can not think well place leisurely breakfast . lobby lounge become crowded bit small handle demand patron overflow cramp , uncomfortable bar area peak pre - theater hour . bar one misstep drink outrageously expensive , even Manhattan hotel standard . crowded evening , staff limit seat lounge register guest , still occasional waiting list . spa may Manhattan 's good ( book ahead ) large lap pool miss . 's swim along Hudson . ' ve stay top hotel around globe , many New York , property among good . 
 Sep 1 2005 	 Nice view absurd price 	 unfortunately , develop brand , Mandarin Oriental not seem able produce hotel come anywhere near charm original Oriental Bangkok . New York hotel case point . arrive , one bother accompany we lift go reception 35th floor not escort room either . bad , place , noisy , awful vibrating sound come lifts party noise room reception area . Staff nose - in - the - air attitude price service high even New York standard . hotel like Caryle Four Seasons choose , place well pull sock . 
 Aug 28 2005 	 bit stuffy we 	 sister stay one night half day spa service . look forward stay MO , since hear many great thing spa hotel . go AMEX platinum card breakfast lunch include stay . also tell would upgrade one available , wasn't . check swift ask want tea room , oblige ( however , tea never arrive , call remind hour later ) .upon enter room two single bed corner room away elevator , exactly ask ( tell noise sensitive ) . view breathless . nice view river NYC . however , quickly noticed hotel room across hall we construction use table see deafen . quickly call front desk try rectify situation , unfortunately receive unprofessional response . basically woman front desk say accord computer construction across hall we , hold phone ask could hear saw blaring say & quot ; & quot ; . feel call liar . event , said & quot ; room move we & quot ; needed & quot ; wait 20 minute , not stop , call we back & quot ; . think awful customer service hotel charge $ 549 night . wait 40 minute , see stop , call , time bit aggressive , manager come & quot ; investigate & quot ; make stop . go lunch lounge spa , pleasant . service prompt professional . food good . highlight trip spa . event remember long time . steam whirlpool offer treatment divine . towel , water , lavender infuse cold towel fresh flower everywhere . meticulously clean . general Swedish Massage Shirodhara ( oil scalp massage ) . nice . relaxation room private bed treatment , tea heavenly . go back steam leave amazing ( generally one steam room , top ! ) .After treatment , decide grab food Whole Foods market call early night room movie . great selection food LOT less expensive ! come turn service 10 pm think late service , hey , NY , bed 10 pm Friday night except we ? breakfast next morning good . service , professional . however , upon return room breakfast , infamous & quot ; table saw & quot ; full gear across hall . oh well . overall , Mandarin oriental opinion place see see . several celebrity sighting , although bill one night spa service come $ 1800 , could not help feel like staff management view us & quot ; common folk & quot ; . even though hotel spa wonderful , never make feel truly & quot ; welcome pampered & quot ; . always feel tad stuffy we . think stay usual address like Four season Ritz - Carlton . 
 Aug 11 2005 	 leave early .... 	 excited stay Mandarin Oriental . look forward stay somewhere ( anywhere ! ! ) besides four season 57th usual home NYC , hope would spend time park give location . request one bedroom suite view Central Park . probably great thing MO negative lead we check first evening . the good : location ! across street park , shopping complex . excite Whole Foods market underneath we ... case need something . unfortunately , since leave hotel early , not get check shopping . I also like chihuly glass sculpture painting hotel lobby . staff great . , love bring hot tea room arrival beautiful assortment cookie , fruit , chocolate welcome we room . gift book , read glass , lap blanket , chaise lounge bedroom ... many wonderful thoughtful touch suite . the bad : room . small cold . yes , one bedroom suite , spacious . feel like long rectangular space partitian wall divide bath bedroom bedroom living room . & quot ; look & quot ; room furniture fantastic . straight Metropolitan Home . , close inspection everything cheaply make , furniture insubstantial uncomfortable . club chair light ( 120 lbs ) could slide one back simply sit . bathroom cabinetry also poorly make , interior cabinet unfinished ( expose unpainted drywall ) . worse cheap track home . not make habit act like build inspector , cabinet look place store thing . mention little closet space ? clothe take closet space .... husband never get unpacked . the overall feeling room cold , part wood floor area rug . since little area , rug furniture , always walk cold floor . great plasma tv , movie channel tv operate properly . picture repeatedly disappear 5 - 10 minute time leave sound . good & quot ; watching & quot ; movie dancing ! one could help , although someone try .... right away . not charge movie . the food . end eat dinner lounge evening get settle room . little dark dinner , service weak . menu item great , other poor . realize try hard enjoy meal husband obviously trouble warm hotel . the next morning pack go back Four Seasons . price return one bedroom suite , comparison suite Mandarin Oriental , like house . hallway lead various room , & quot ; real & quot ; furniture , wall wall carpet , phenomenal master bath ( nothing unfinished room ! ) four Seasons suite , everything feel good look . I would never even try stay MO . idea room compare , deluxe , one bedroom suite worth money , compare luxury Four Seasons . 
 Jul 8 2005 	 Great Hotel Great Location 	 recently stay Mandarin Oriental three night . good advice book far advance possible secure decent rate . get Hudson View Room 38th floor 429.00 per night great value . room small amenity ambiance make . bathroom fantastic rainshower shower real treat . shower one large ever see . hotel quiet spotlessly clean . stay hotel New York future . lobby nice wonderful view Central Park . staff professional unobtrusive . 
 Jul 4 2005 	 love place 	 love place . go back . beat Trump Intl Hotel Tower around corner ' rent usually stay year past . 
 May 27 2005 	 simply well ... 	 business New York , distinct pleasure stay Mandarin Oriental Hotel New York . one great hotel experience , hope near future able grace hotel . arrive 10PM , tired long flight , entire hotel staff gracious helpful , get room , quick tour room reassurance need anything , front desk call away , gladly go sleep . ' get much chance explore city , view room give glimpse city offer . I even get chance try spa . situated 35th floor hotel , view simply breathtake . treatment relax rejuvenate . I definitely recommend Mandarin Oriental ! although stay 3 day , experience certainly worth . 
 may 13 2005 	 Magical Mandarin 	 street level entrance prepare sight experience reach small spectacular lobby view Central Park . choose room high floor get ; reward breathtaking view Park , City Hudson . stay Hudson Deluxe River View Room ; room beautifully appoint 450 square foot small comparison room similar price ( $ 800 ) , say , Ritz Carlton Four Seasons . the bathroom , overlook River , rather lovely . Breakfast Asiate treat . choose Mandarin charm staff bedroom decor magical view every direction . the trilogy Ritz Carlton , Four season Mandarin Oriental ; need well excuse visit NYC ? 
 May 9 2005 	 Fantastic ! ! 	 absolutly fantastic hotel perfect location , stay Deluxe Hudson River view 47 floor view overlook west Manhattan Hudson River . we stay 4 night enjoy every minute stay . the room huge bathroom amazing , huge marble shower rainforest shower head certainly wake morning . we use gym pool great Lobby Lounge great place drink food amazing view Central Park . all staff friendly can not wait stay . 
 May 1 2005 	 love 	 return , love hotel . room 50th floor , excellent view . bring we complimentary tea . love gym lap pool . food service great . since hotel next door Time Warner shop , go Whole Foods great food . hotel supply Fiji water everywhere . nice annoying mini bar expensive water . first time ever stay NYC could hear traffic .. would return . 
 Apr 15 2005 	 ' wait return 	 fantastic hotel . Central Park View Suite connect Double Room accommodate family . afford room 54th floor spectacular view Central Park Broadway look towards Times Square . from moment arrive staff go way accommodate need , hotel work well two child . upon enter room gift wait child ’ bed . along child friendly toiletry , child bath robe slipper use hotel restaurant breakfast day stay service exceptional along quality food . also complementary lunch part package equally good . the concierge team fantastic ; able accommodate every request have . in summary hotel offer discreet , attentive service whilst anticipate need . Mandarin oriental one New York ' fine expensive hotel shaky bedding period . 
 Apr 14 2005 	 Great Hotel 	 stay Mandarin Oriental Easter weekend Grand Double Deluxe 53rd floor . unlike reviewer think room big mine great view Hudson river . bathroom huge well equip , unlike small bathroom find old hotel . large walk wardrobe sufficient room store suitcase . find staff extremely welcoming , courteous helpful . view Asiate exceptional perfect way start New York morning , breakfast option extensive filling . hotel 's location Time Warner Centre bonus number really good restaurant . eat V Steakhouse - enjoy really good meal good service . suppose hotel expensive - equivalent 5 * hotel provide similar level luxury care . be certainly shortlist hotel stay whenever go back NYC . 
 Feb 24 2005 	 small room great view . 	 small room , great view . deluxe double fabulous view theHudson river . room nicely furnish , quite small . fact thebathroom door not shut chest drawer block . room nicely kitte sheet divine . even bath view . surprised lack toiletry provide . 5 star hotel experience . restaurant , Asiate , lovely , meal bad send back ( charge full price least ) . reserve hotel near Gates nice view Park Lobby Lounge Asiate ( room ) . 
 Feb 8 2005 	 fabulous hotel fantastic staff 	 Perfect location , fabulous decor , friendly staff . go spa pamper . lunch Asiate excellent . Book river view room excellent view . bathroom super luxurious . highly recommend . would definitely stay ! ! ! 
