excellent 	 wife truly enjoy recent stay Sheraton Hotel . value money outstanding - know price pay reflection current difficult economic condition really worth much money . room facility comfortable become home week constant activity . look forward come back room every evening , & quot ; island tranquility & quot ; , overlook river quiet . front desk housekeeping staff make we feel like special guest every day . really like free internet access link café ; complimentary Starbuck 's coffee Tazo tea generous welcome amenity . every hotel employee meet helpful pleasant . love central location stay Thanksgiving Week hesitate return hotel next opportunity present . much could say little thing make stay enjoyable , obvious staff training attention detail well intangible , & quot ; positive attitude , pride willingness please customer & quot ; evident throughout facility . 
 Sep 27 2007 	 Great Location Comfortable Beds 	 stay Sheraton past weekend ( September 21 – 23 ) explore Chicago go Cubs game . check - in fast , clean room comfortable bed . room 22nd floor view city ( fast elevator ; never wait long ) . although non - smoking floor , room strong smell smoke . shower also drain slowly . ' sure could switch room ' bother ask . location great ; within walk distance park , beach , Navy Pier , restaurant , shopping , public transportation , etc . night take short cab ride ( mile ) bar / club Division & amp ; Rush . the Concierge Desk helpful . give we walk direction restaurant breakfast ( West Egg Cafe ) El ( Red Line ) get Wrigley Field . however , El stop Grand & amp ; State ( 7 block away ) construction weekend . take complimentary CTA shuttle bus another stop . be $ 2 get around El convenient construction . decide take cab back Wrigleyville ( $ 15 ) .The mini bar pricy ( $ 4 soda , $ 4 small bag & amp ; m ) Walgreens & amp ; liquor store right across parking lot Illinois Ave . ( block front door ) . ' spend much time hotel eat . Stephan Chi Bar make great martinis flat bread pizza tasty . although hotel charge internet usage , offer complimentary boarding pass printing Business Center ( behind Bell Desk ) . overall , good stay hotel would definitely return . 
 Sep 25 2007 	 great location staff stay 	 upon booking , uncertain due previous review hotel . seem place . negative review seem old posting -- whereas new one positive . B / C uncertain contact guest coordinator prior stay . great -- follow ( ensure we great room ) -- follow - up upon arrival . would recommend uncertain . 's take : location : hotel great location -- position Mag mile Navy Pier . excellent view river city skyline . right NBC building . room amenity : free amenity limit . item room overprice . recommendation go Walgreens across street ( literally across ) . actually Walgreens everywhere Chicago . great place grab snack . charge internet ( shocking -- many hotel stay -- charge . hampton really place ' ve stay free in - room access ) . Hotel Amenities / Transportation : try pool -- not even see . gather access pool free . charge work - out facility . recommendation : go walk Mag Mile . walk everywhere go ( Navy Pier , Mag Mile , Milli . Park , John Hancock Building ) . take shuttle to / from airport -- timely . take cab Seoond City . housekeeping : room hotel area see clean . kind inspect thing -- b / c stray hairs bed shower gross -- not see . housekeeping also nice non - intrusive . go everyday 10:30a-1:30p -- room pick - up / clean time get back -- plenty towel / washclothe / etc . happy -- b / c several hotel ' ve stay -- issue . check - in : easy / pleasant / quick . room size : small size ( tiny ) compare -- downtown Chicago tell common many hotel downtown base review one . 's Chicago -- not stay room much anyway -- enjoy view late evening . agree previous reviewer -- turn loveseat coffee table around -- great idea -- sit back enjoy view . favorite thing Chicago : view room , lounge 95th floor Hancock building , explore downtown / Milli . park - eat Chicago pizza day , Second City -- current revue great -- great team actor . trip husband . would definitely stay . really not think would super - kid friendly place . great adult . stay Chicago kid -- want stay downtown -- think might try Swissotel ( close Sheraton ) -- see website room specifically decorate kid . however , price bit . 
 Sep 18 2007 	 great locationgreat hotel 	 stay hotel 4 night August . wait check even though quite desk open , little annoying receptionist seem work two 's . room great view Navy Pier good size . bed comfortable room spotlessly clean . location hotel well , walk Navy Pier Michigan Ave . breakfast buffet great although little pricey bar relax nightcap two . would certainly recommend hotel would stay . 
 Sep 12 2007 	 Good Location Great Views 	 stay three night combo weekend / business conference , host within hotel . though property sizable , problem either check check . ask room view disappoint . be locate convenient nexus ( be go one various architecture boat tour popular , include one give CAS , leave within easy walk distance hotel ) , great view Navy Pier Chicago skyline , north Chicago River . the room decent size , though huge . complaint hotel , HVAC , emphasis & quot ; ac & quot ; . room comfortable , could never quite get cool enough . meet room complete opposite , often cold enough hang meat . of course , big complaint traveler day insistence well chain charge internet access . place like Residence Inn offer guest free internet access Sheraton Hilton beyond I . all , enjoy stay would stay , right rate . 
 Sep 7 2007 	 Great Hotel 	 spend 5 night Sheraton Hotel Towers Chicago husband 2 boy , age 11 9 . hotel clean comfortable . room ( double ) little small side fine . queen size bed , double little cramp husband share bed . location several block Michigan Ave ( approx , 5 - 8 minute walk , especially kid ) . room , able see Lake MIchigan Navy Pier . think location hotel could well lazy kid we . young son like walk anywhere want take cab . city bus locate Michigan Ave take 5 - 8 minute walk . take bus town . train take we 2 ball park . subway away , approxiamtely 10 - 15 minute foot . food hotel price . Starbucks lobby charge $ 3.00 samll coffee $ 3.00 bagel . one restaurant hotel open breakfast lunch great kid menu approximately $ 4.00 . food adult also overprice i.e . $ 21.00 breakfast buffet , $ 12.00 waffle , etc . across street Walgreens snack , water , box cereal , etc . buy snack room cereal kid breakfast . also across street Dominicks supermarket . starbuck coffee half price hotel . bakery section usual section chain supermarket . lap pool hotel overlook Lake Shore Drive Navy Pier . kid fun sometimes share pool adult want lap . we d. night 9:30 , able see firework Navy Pier pool . great view ! overall , hotel fine . kid , would recommend stay close Michigan Ave near bus train unless mind walk . state street also great place stay since near shopping form transportation . not mind walk bit , Sheraton great place stay . 
 Sep 7 2007 	 Great Location Caring Staff 	 girlfriend travel frequently , primarily recreation . plan attend couple Cubs game Labor Day weekend , quickly find many hotel Chicago full expensive . able get decent deal Sheraton Chicago , GREAT location , stay right across river Hyatt previously . the TripAdvisor review concerned bit , must say , feel like different hotel . stay great , although glitch , staff work thing out . the common area hotel really excel . modern , clean inviting . not eat hotel , mainly be Chicago many good restaraunt try . eat club lounge ( free cont . breakfast guest Club Floors ) mediocre good . one person work busy sell weekend . food basically always empty . the room adequate . stay standard room ( reservation error - book club ) , kind small , offer great view clean . note old hotel , room probably renovate numerous time , really basic hotel room . location , previously mention , perfect . river . walk Navy Pier , Magnificent Mile , pretty much everything downtown offer . need branch ? problem , El stop brisk 5 minute walk away ( State Grand ) , $ 2 fare get anywhere city ( least within block ) . usually fly Midway take El downtown hotel . Sheraton , would recomment pay cab fare ( $ 25 - 30 ) . close El stop , bit daunting , doable ( way back not rush time ) luggage tow . the staff really excel . busy , sell weekend , staff seem execute ease ( except poor woman understaffe Club Lounge - fault , work full blast ) . Front desk / check - in friendly efficient . every staff member encounter smile pleasant , management right housekeeping . as mention , book club level room roughly $ 90 / not standard room . slightly big , top floor , provide free access club lounge breakfast / afternoon snack , health club . book , box Sheraton website could fill room request . request King bed , non - smoking room , face lake / river possible . fully understand available basis ! get nice , small room 30th floor , great view request meet . great , think . problem later learn club room floor 31 - 34 . pay club , get standard . call ask , front desk explain way could fullfill request standard room . well , that s fine , pay standard room , request overide room category . upon return home , email one front desk manager , Mr. Tim Duba , inform stay great issue room assign breakfast issue . Mr. Duba go beyond truly make feel though issue thoughrouly address staff , measure place correct problem . like staff encounter stay , really get impression Mr. Duba care guest . I would highly recommend stay Sheraton Chicago . previous stay Hyatt across river good , Sheraton well , north side river slightly well want close action . set expectation thrill hotel . expect clean room , friendly staff / management care , great location , can not go wrong here . I will back next time ' m Chicago ! 
 Sep 6 2007 	 safe predictable large chain hotel 	 huge chain hotel . Predictable & amp ; safe decor . large bright airy lobby , clean & amp ; rather modern look common area make think might rather upmarket hotel . room would expect large chain . room ( 26th floor - 2 double bed ) rather tired look . much paintwork scuffed wallpaper mark . arrive room make trash empty noticed couple hair shower . nothing worth complain highlight poor attention detail . complaint room space - plenty closet space floor area . high speed internet available room ( $ 13 24 hour inc tax ) . minor annoyance room safe hardly secure - small & amp ; narrow key locked box wall closet . proper full size ironing board , iron proper hairdryer ( usual wall mount hotel one ) make : ) swimming pool ( free guest ) lovely . clean large enough swim properly . Gym well equip cardio machine though $ 12 charge ( hotel guest ) little steep . this business orient convention hotel . look something bit special would not recommend . 
 Sep 4 2007 	 nice many way 	 nice hotel many way . desk service good . burger place tolerable nothing outstanding . Schulas always treat . location river fun . pool good kid - nice warm . nice decor . nice room . good location . well do ! 
 Sep 3 2007 	 beautiful hotel great service 	 Sheraton wonderful surprise , not expect great . try get familiar hotel Hotwire , instead lucke beautiful hotel pleasant staff . check - in fast concierge great pointing right direction . ' ve Chicago couple dozen time decide take one city tour . luckily , one stop right across street perfect . single room spacious , good view city . bed extremely comfortable room clean . would definitely stay . 
 Sep 3 2007 	 Shabby Small Rooms nice common area 	 Staying Sheraton Hotel Towers Chicago recently bite disappointment . location conference association pick tab room choice matter stay . however , stay various hotel vicinity last year , would rather recommend Hyatt across river , well yet , swissotel ( also across river Wacker ) . & quot ; common & quot ; area hotel ( lobby , elevator , seat area , conference area bar / lounge area nice obvious Sheraton put alot area . minor problem encounter poor service get coffee morning lounge bar lobby . employee seem put not give great service , minor issue . room however problem . small ok , everything shine . however , small shabby stink . bathroom shower contain partially use soap shampoo previous guest , little counter area put anything ( shaving , tooth stuff , deodorant , etc .. ) bathroom generally small . bath , corner dirty , room also dirty look area disrepair . view river city nice . fun , decide see soap would go next day , along soap shampoo set , leave other shower well . amazement , none move & quot ; housekeeping & quot ; visit day either . amuse . call , not really care , clearly not take care room well . think know consider hotel . 
 Sep 3 2007 	 always Pleasure 	 whenever visit Chicago , make top priority stay Sheraton Twin Towers Downtown . locate Chicago River , be scenic , top service optimally place visit local hot spot ( restaurant , museum , shopping , etc ) . critique cost park hotel extremely high ( $ 41 / night ) , park everywhere Chicago rather expensive . not need car , get cab / shuttle either O'Hare Midway airport ( ~ $ 20 - 25 ) save money nice dinner . Recommend Shula 's Restaurant Sheraton ... be fantastic ! 
 Aug 20 2007 	 lot recommend 	 stay Sheraton August 10th 14th , ' terrible stay ' find lot recommend place , either . pro con . pro : many mention , great location , central everything one would want downtown Chicago . great view , – get room face river lake . get lie bed Saturday night watch firework Navy Pier . river traffic always interesting . riverwalk nice touch ( especially remember " old " Chicago ) provide pleasant escape crowd Michigan Avenue . , despite con list , quite nicely appoint room . con : another reviewer mention , common area hotel freeze cold . much cold sit relax lobby / bar . would want anyway , music blare full blast 24 hour day ? ' look around sweater ( despite heat street ) shout hear drink . also way cold club level lounge fear morning coffee would ice linger long . note management : ' hotel , meat locker . as also mention previously , make bed apparently lose art Sheraton . sheet simply drape mattress wake foot twist one occasion . one plain old ' ever understand . , already mention , long line everywhere – front desk concierge bar – every time walk lobby . really forgive , though . height summer vacation . savvy traveler recognize one indication big , crowded , somewhat noisy hotel . finally , front desk staff botch move low level room club level , leave luggage unattended day , leave we new room wait get back day ' business . leave beleaguered bellman apologize mix - up . I imagine stay Sheraton might altogether different , much pleasant , experience season . perhaps winter – ' likely turn AC then … 
 Aug 13 2007 	 Great Place Stay ! ! 	 husband celebrate 10 year anniversary Sheraton Chicago Hotel Towers . Danita Harth - Bates , CEO , wonderful wonderful wonderful ! receive confirmation email trip , ask need know anything arrive . email Ms. Harth - Bates tell 10 year anniversary . champagne strawberry ( dip different coating ) deliver room . can not say single thing wrong stay . room great . view great . highly recommend stay hotel . everyone pleasant . check lady wish happy anniversary . food great . service impeccable . thank Ms. Harth - Bates make stay memorable . 
 Jul 24 2007 	 amazingly good surprise ! ! ! 	 wow . just spend five night Sheraton Chicago business . ' ve stay top Chicago hotel , honestly , place far mark set well . I see Chicago excellent US hotel city Sheraton may finest Sheraton one top Starwood property ' ve stay . superb concierge . susie help many thing incluse Cubs ticket . work two full day find right seat right price . I Club Floor - service lounge also superb . food lousy - room temperature deep fry junk rubber beef - atmosphere comfortable drink cold . I corner room huge . criticism bathroom , average . bed amazing , plasma tv rotate room layout intelligent . Shula 's Steakhouse lobby among Chicago 's good - must see be NFL fan . this hotel nice element boutique hotel convenience big chain . great lobby sit area , average bar PERFECT Chicago location . again , great surprise certainly back . when compare SPG property town ( two W Hotels , two Westins ) be even close - Sheraton win Magnificent Mile ( little Chicago reference - catch ? ) 
 Jul 20 2007 	 beyond customer service 	 strand Chicago two day since flight home cancel , airline put we touch hotels.com find we room Sheraton Towers . long frustrating day end we still Chicago , arrive Sheraton joy . entire staff wonderful . bell staff great help we ( finally ) let go heavy bag , Jonathan check helpful us room upgrade we time . enjoy location facility property unexpected stay would highly recommend location other . can not say enough staff . Chicago future definitely return ! 
 Jul 15 2007 	 beautiful hotel 	 attend conference hotel April 2007 , conference facility excellent . room nice , fancy expect see lobby & amp ; conference facility . room decent sized bathroom leave upon enter , small hallway lead main bedroom . hotel room routine size include king size bed , small desk , small sofa tv sit cabinet contain mini - bar / snack machine . overall , visit hotel nice beautiful view Lake Michigan . 
 Jul 12 2007 	 good bad 	 follow mix - up book needahotel.com give room hotel . talk good luck ! stay 12th 15th June . on arrival tell not room book we move well room , riverview , voucher bar access executive lounge 34th floor . the lobby immense , spotless busy . everyone sit area seem work laptop . check smooth quick . the room big average hotel room certainly big ' ve usa.a little off - putting look almost $ 8 litre water . not dare look price mini - bar ! term cleanliness 's impossible fault hotel room . the executive lounge lovely range pastry available morning great . while use gym extra , pool free use . say , pool pretty small time go use , full kid seem unsupervised . make impossible actually swim . would strongly recommend something management look at . the location hotel great . 's Michegan Avenue place would want see walk distance . would stay , would not pay rack rate ! 
 Jul 8 2007 	 great 	 Chicago , always think top hotel . however , stay one night . disappointed . Pros - great location access north MIchigan Ave . downtown Chicago . nice decor . con - comfortable general . fan bathroom ! sheet bed tuck , wake morning bare mattress . lobby way cold sit around , like freezer ; get coffee inside go outside drink ! garbage can lobby either ( fancy ) , carry trash around room . concierge line 6 people deep , use . finally , leave 1 liter water bottle room look like complimentary gift - wife open one notice fine print cost $ 6.95 ! scam . complain take bill . this hotel look nice comforable human . would try someplace else next time . 
 Jun 18 2007 	 Great Location View get tip money ! 	 hotel beautiful lobby . check wonderful give ' upgrade ' however , upgrade bed son ! think misunderstood say 3you could sleep we , 16yo . view incredible room tiny , expect big city . hallway terrible smell entire time . internet work room use cell card . 16yo end sleep floor bedspread nice king bed . location hotel wonderful . aware advertised fitness room cost use ! amenity opinion pay extra . pool free . try get luggage cart load leave , bellhop refuse give we one , basically force use bellhop . prepare use service tip often ! 
 Jun 11 2007 	 great location 	 hotel great location . convenient Navy Pier , Millenium Grant Park Magnificient Mile . service good check - in check -out . big hotel , be look intimate experience , look elsewhere . spacious room need update ! wallpaper dark , carpeting wear , sititng couch light nearby enable anyone read , two heating / cool unit hard adjust . a four star location 3 star room . 
 May 29 2007 	 Great Visit Sheraton 	 spend Saturday Monday Memorial Day weekend Sheraton Lakefront wife . not know , hotel good location get downtown Chicago . walk distance Michigan Ave , Navy Pier , Millenium Park ( mention incredible restaurant option less mile away ! ) check breeze , despite conference go hotel . hundred conference attendee around , hotel lobby / sit area HUGE , make feel comfortable . book corner suite view river lake , perfect Saturday night summer -- firework end Navy Pier ! perfect view area patio along river corner room ! room bathroom clean bed well ! order room service two separate occasion , excellent service ... reasonably price compare local restaurant , tasty well ( molten chocolate cake GREAT desert ! ) pool / Fitness center spacious / update well worth visit . parking steep -- 39 buck / day , reason extra $ 125 / day room charge list bill .. ask , immediately apologize , take right , quite say ... glad ask ... .... check bill ! overall , would stay 
 May 15 2007 	 great Stay ! 	 stay weekend . room beautiful view . room nice . 
 May 14 2007 	 Shameful 	 follow paraphrase excerpt take email send hotel experience terrible stay : · hotel able provide adequate hot water bathing morning . · bathtub spigot even attach wall . · shower diverter valve channel water shower head . · bathtub drain properly result shower take stand water . · soundproof adjoining bathroom poor . People adjoining bathroom audible action word . · bureau drawer space totally inadequate installation mini - bar guest clothing storage space . · Riverside Cafe staff inadequate handle breakfast surge . waiter bus - boy harry , inattentive , unavailable . · elevator usually one form trash another floor . · Java Bar Starbucks coffee station second rate , inadequate afterthought . · unable / unwilling switch booking credit card one would preferre use check - in : · charge toll - free call smack money - grub , exorbitant local call charge . · ditto shameful wi - fi charge . · blatant , in - your - face , peddle $ 4.50 bottled water use space tiny guest table . on positive side find staff , part , pleasant : well serve housekeeping staff . enjoy comfortable bedding champagne acknowledging anniversary . however , minimal positive item normally expect four star hotel serve offset negative issue . disappointment ! ! 
 May 6 2007 	 Decor need update clean comfortable 	 daughter stay Shraton Chicago Hotel tower two night - room great view Navy Pier , clean comfortable decor bit outdate need upgrading . I find staff welcome helful . location hotel great downtown going museum city . also would like catch movie evening AMC Theatre across streeti think bathroom bit small side . we get good deal room would definately book priceline . I would stay away room service expensive food quality okay . we also find Obel & amp ; Fox market cafe mention previous post . highly recommend place snack , lunch dinner . daughter student city ' m sure frequent place special treat . 
 May 4 2007 	 Great Location Ammenities Lacking 	 stay Sheraton Chicago Hotel Towers 2 night ( April18 19 ) conference . will start like hotel : lobby first floor hotel nice . spacious fancy looking . always taxis wait outside need go anywhere . location hotel excellent - righton river , block two Michigan Avenue . also short walk ( maybe 10 minute ) nearest train station , weather nice 's need taxi . grocery store block two away , along many wonderful restaurant . room 14th floor , great view river , Michigan Avenue , many building ( include new Trump building ) . window near elevator , could see Navy Pier . bed comfortable , nice flat screen tv room . would probably saythat general , room much nice room ' ve 3 star hotel ... not bad room , average , nothing really amazing set apart . view incredible alsoreceive complimentary USA today outside door every morning . common area hotel ( mostly first floor / lobby ) freewireless internet . concierge front desk helpful finding place eat . now thing not like much : seem like hotel nickel dim every little thing . there wire internet access room , pay . gym / workout facility , pay . parking across street , cost $ 29- $ 39 per night ( expect , be downtown , parking go expensive ... not car though , not matter ) . well stock mini - bar tv , not seem close properly , thing not cold , course price outrageous . walk across street grocery store , pick beverage breakfast / snack food , save ton money ( think breakfast hotel $ 12- $ 15 per person ? ... sure , not eat hotel ) . room adjoining door room next door , door sound - proof . try sleep second night , keep sound neighbor watch adult movie television high volume . overall , hotel nice , great location , wonderful stay major complaint . would definitely stay hotel , go know pay location convenience , amenity . 
 May 1 2007 	 Excellent Choice ... surprisingly 	 go Chicago April 20 - 23 conference area university able snag good university rate it . I hesistant book Sheraton - ' ve poor experience Sheraton property around country like & quot ; 3 Strikes be & quot ; sooooo glad ! hotel really nice - vibrant alive . stuffy even though conference go Saturday - Sunday . the people front desk warm helpful - go upgrade possibility we , etc . room great - spotlessly clean first thing check . first room problem internet connection promptly relocate . ( charge 11.95 net room free wireless public area ) .My mother drink multiple bar area staff friendly engaging . definitely try gourmet burger place downstairs - 36 buck 2 burger fry beer 's hotel . good thing burger cafe right river 's nice place relax ! use business center early morning printout - rate reasonable .20 / page hour great - open til 10 pm weeknight open 7 am Saturdays . the hotel close Michigan Ave , Navy Pier , legendary deep dish pizza spot else 's taxi right outside front door . without doubt , stay ! 
 Apr 26 2007 	 Sheraton fine ! 	 bid Priceline 4 - star hotel Mich Avenue / Loop area Sheraton Hotel Towers $ 129 . read TripAdvisor review promptly decide ruin weekend . expect bad conference hotel planet ! fortunately , not turn way . lobby typically big - city good look busy conventioneer tourist . front desk could not nicer . request king room , person front desk say two leave poor view ifi would take double bedded room would great view . right ! directly Chicago River , view north lake south city . romantic night . boutique hotel chi - chi design touch , handsome clean . housekeeping finish room check stop make sure everything fine . two double bed nice duvet pile pillow , desk , easy chair , tv honor bar beneath , huge closet safe , nice bathroom . towel thick huge shower work perfectly ( could done water pressure , plenty hot water . ) not care not use , mini fridge not seem cool anything all . the close el stop decent walk , walk two block Michigan Avenue catch bus go Michigan well directly Museum campus . consider hotel look weekend least $ 229 night , $ 100 less , would book sure . 
 Apr 24 2007 	 OK 	 stay Sheraton conference . room rate ( conference rate ) $ 199 / night . great conference hotel . conference facility nice convenient . hotel restaurant choice gift shop many option snack . burger place bottom level great lunch . main dining room wonderful breakfast buffet . lobby Java Bar coffee , drink , pastry fruit . also Chi Bar Shula 's steakhouse . the location pretty good . be short walk Michigan Avenue plenty shop restaurant . view hotel nice since right Chicago river . however , come pleasure , prefer stay towards northern end Michigan Avenue like easy access lake . the room fine . flat screen tv . internet charge $ 13 / day . start 24 hour whenever want . wireless room . think be ripoff . free wireless connection lobby . room could clean . notice spot wall shower time get leave . also not clean sink thoroughly . underside faucet filthy . one thing bother loud door slam loud hallway day . go upstairs rest middle day could door slam housekeeping staff talk loudly hall . gym nice , , another ripoff . charge $ 12 / day $ 20 / visit . think pool free use . gym nice equipment , tv treadmill work well . desk staff concierge helpful . concierge always available need . nothing bad long line concierge desk . recommend great place eat . two recommendation make : lunch go across street restaurant first floor NBC building . great taco , sandwich salad . also pick drink , fruit , snack , etc . be quick , convenient get much bang buck hotel . however , omelette breakfast not like it . if like persian food , check Reza 's Ontario . 's popular place , large not much trouble get table . also eat around corner Emilio 's tapas . delicious . overall , be pretty good hotel , think much well choice stay pleasure rather business . 
 Apr 15 2007 	 would stay somewhere else . 	 first , stay many hotel , would consider 4 star , like 2.5 star . old , dark outdate . first place non - smoking room smell sit next 3 smoker . promptly move another room odd musty smell , least well smoky smell . think Sheraton want keep 4 star rating , need re - model upgrade . kid state pool temperature cool side . staff friendly attentive , even busy time . choice Chicago , definitely stay somewhere else next time . 
 Apr 13 2007 	 Great Location - Elvis Room Old 	 Sheraton Chicago Hotel Towers ideal location enjoy Chicago 's Michigan Avenue , Miracle Mile , Millennium Park sight sound . say , 15th floor room stay appear decorate Elvis ' Graceland interior designer . leopard print wall paper bathroom mustard color wall bedroom really need update . unfortunately hotel embrace kitchy cool retro look ; instead , decor outdate tacky . would recommend Westin , Intercontinental , even Hyatt 21st century surrounding . 
 Apr 11 2007 	 price right get 	 book hotel Yahoo receive good price $ 130.00 night . since drove get hit $ 27.00 night self park $ 39 night valet parking . average city parking keep mind drive . hotel may offer big break parking . the room stay room # 2007 . although comfortable clean need update . old everything , wallpaper , furniture , tv ... staff helpful nice . location good , short walk MILE five minute walk Navy Pier . $ 20 cab / $ 2 PP bus ride museum . hotel , price , crowded business people rush . necessarily negative aware walk anyware go convoluted path . however international mix people interesting . eat expensive hotel expect . eat convenience expect pay high price fair food . well bet would pay high price excellent food one many nearby restaurant . Bandaros Shaws ( Excuse Spelling ) excellent money Shulas cafe hotel service great . there several low cost alternative eat pier . so ... ok , safe , clean , place stay price .. not pay full book price ... not drive park ... not expect four star . feel free email questionsfrank Wendy 
 Apr 9 2007 	 Loved stay Sheraton Chicago 	 stay Sheraton Chicago tower 3 night Easter weekend . room terrific -- beautiful comfortable bed ! pool complimentary although cost $ 12 use exercise equipment . previous poster correct everything seem cost extra well marked ; surprise ! even though weather really cold , sight ( Art Museum , Michigan Ave shopping , Symphony Center ) want see within walking distance . many , many restaurant choice area well . rather surly receptionist ( downpoint whole stay ) tell we valet parking . mention call tell self - parking , admit see bell hop ( say full -- not ) . would definitely stay -- especially rate slightly $ 100 / night rate get Sheraton website . 
 Apr 8 2007 	 Dingy date poorly light . 4 - Star hotel ! 	 live Chicago . know 4 star suppose mean town . pricelined 4 - star hotel couple night wife , dump we Sheraton . 's decent business traveler 's hotel , find staff awesome , be outright lie call 4 - star hotel . bed nice , soft comforter pillow , rest room clearly redo since 80 's , poorly light . hallways dark appear vacuum regularly -- paper scrap crud floor day leave day check . finally , almost insult internet access still cost 12 buck day . even side - of - the - road motel give free internet . -- good -- 3 - star hotel . W make Sheraton seem like Motel 6 comparison . by way , Priceline rate ( taxis ) $ 70 still disappointed . 
 Apr 7 2007 	 great price housekeeping need help 	 stay Sheraton much happy . bottom line , staff helpful friendly exception housekeeping . upon check - in notice dirty sink ( toothpaste , hair , coffee drip , etc . ) find hard believe housekeeper could think bathroom clean . silly string headboard bed , cobwebs ceiling ... complain ... time move room , leave similar review comment card . on positive side ... great location , great view , great coffee cinnamon roll cafe , friendly porter , door man . 
 Apr 7 2007 	 Decent 	 First get great deal room three night . pay rack rate would say well place stay price . husband travel mini - vacation daughter age 10 14 critique base family trip business trip . good point hotel : - lot family stay snobby feel . - great location easy walk Navy Pier , Michigan Avenue train . - movie theater , bowl Walgreen 's across street . - great , great , great local organic grocery cafe call Fox & amp ; Obel within two block Illinois . - every room good view ... city , Chicago River , Lake Michigan . - Chicago River nice walk along river . - comfortable bed well average linen . thing keep mind : - get two double bed one room , two queen sized bed available standard room . - separate vanity bathroom area standard room . - restaurant hotel pricey get . ( not hotel restaurant ? pay cenvenience . ) - not count use pool fitness center , small busy . - parking suck , consider come hotel use public transportation . - mini bar bottled water price insane course . cheap way bring killer stuff Fox & amp ; Obel . ( see website . ) 
 Apr 6 2007 	 Great Location ! 	 husband stay Sheraton Hotel Towers two night 4/2 - 4/4 - 07 . check relatively smoothe . problem . question answer completely . room face Chicago River . request view give room problem . hotel room average room nice comfortable bed . bathroom sorta small small bathtub low water pressure . far site , everything want walking distance , short taxi ride would option . take cab location . fare not expensive expect . time walk . first day Chicago go movie right hill next door Walgreen store across street liquor store . walk movie enjoy two hour outing theatre . nice clean theatre ( AMC ) . also , not want go movie could go next door bowl . , walk North Michigan Ave . approximately two block . many store restauarant see choose avenue . however , not see bargain probably get thing hometown . next day go Jerry Springer show enjoy watch people act fool . Jerry Springer Judge Mathis show tape NBC studio across street leave . therefore , plan audience one taping , hotel stay . pretty much walk across street . lastly , able walk Navy Pier . like pier many thing visit Children Museum , ferris wheel ride , cruise Spirit Chicago Odeyssey . lastly , final day eat downstair breakfast pretty expensive Riverside Cafe . expect pay least $ 40.00 two . , check hotel problem proceed Midway Airport . conclusion , great time stay busy hang outside . 
 Apr 2 2007 	 Decent Place 	 boyfriend stay two night past weekend enjoy stay . beautiful lobby extremely helpful concierge staff . room nothing fancy , fine stay . not expect much way bathroom cosmetic . also , pool nice full kid TIME . gym well , pay separately . really look forward swimming , far many child . hotel offer gorgeous view city room . 's walk distance sea port / marina many place . also walk hotel subway station ( take airport ) . 's bit walk , definitely do - able , especially be use walk like we New Yorkers . ; ) , would not mind stay . 
 Apr 1 2007 	 pay get less 	 expect quality experience hotel hand moderate chunk change room , experience exactly opposite . starter forget use pool , entire time open flood kid . high class sauna miserable closet sized room heater . honestly fit 3 people . want work , feel pay extra 20 buck little corner couple treadmill gazelle pretty ridiculous . lure bottle water look like complementary end 5 buck . later , ask front desk bring packet coffee receive 4 hour request . last day ask force check without morning cup joe , due fact never bring . charge girlfriend 1.99 local call . WIFI 4.99 HALF HOUR . day age comparable charge someone breathe air . WIFI free everywhere ! ! ! bottom line hotel presentation nice , room clean ( although small ) , housekeep prompt . amount money pay stay room , amount money will spend everyday commodity free free hotel , end crummy hotel experience worth time . 
 Apr 1 2007 	 way Overpriced- Rude staff 	 stay Sheraton unpleasant . first , room extremely small price pay , way overprice everything . pay self parking rental car take chicago . also charge extra horrible excuse fitness center , internet access even local phone call ( conveniently not tell make call ) . mean , come understand charge long distant call local ? also , pool really small constantly full kid . love kid , many pool time , not even chance go entire stay . top everything else , hotel staff nice . call front inquire mysterious charge appear credit card woman front rude treat like stupid even call . call another time ask coffee , take two HOURS bring . go restaurant bar hotel fear would file bankruptcy . thing like Sheraton 's location . close Michigan Avenue . however , ton hotel conveniently locate . experience stay Sheraton Hotel tower ever . 
