Fantastic 	 Dispite say , one , good hotel stay Chicago . travel Big City three time year pleasure James rate well . upgrade staff make stay worth special weekend visit . not believe disapointe . 
 funky decor shame lifts 	 stay James weekend work Chicago area . location fantastic shopping sightseeing . room 14th floor not notice noise reviewer mention . like decor ( modern ) find room comfortable free wireless useful . toiletry ( Kiehl 's ) particularly nice . eat restaurant ok . main problem hotel lift - end wait colleague 15 minute one occassion one two customer lift action lift tiny . would also recommend staff correct british guest use word & quot ; lift & quot ; rather & quot ; elevator & quot ; - 15 minute wait quite irritating . 
 Aug 10 2008 	 James = average 	 James & quot ; trendy & quot ; hotel good - size room , decent service . room noisy music blast 12.30am various event 3rd floor . overall , impressed quality service would stay hotel . 
 Aug 4 2008 	 enjoy James 	 husband spend 4 night James end July . stay studio suite 450 square foot quite spacious . bathroom large offer Kiehls bath product nice . bed extremely comfortable quite room 12th floor . although room nice , staff courteous helpful like restaurant . food average slow service . waiter ask we order 30 second tell one else restaurant 's alot order remember . first morning order Belgain waffle cream berry -- 3 berry cream cool whip ! restaurant prides reknowne chef -- guess must holiday ! lobby hotel nice small . bar though offer complimentary coffee morning although one mention we check - in not discover morning leave . desk top computer lobby email internet use great . concierge 's pleasant helpful . make sure call make reservation ask package . apparently park package parking include night summer month . ask package book reservation agent tell we package not hotel husband notice internet . ask parking inculde abit ordeal however manager go ahead take $ 46 day parking bill great . all think James nice need fine tuning . turn service nice different cookie put bed night . robe room nice touch housekeeping good job . may stay probley enjoy try new place unless great experience . 
 Jul 31 2008 	 Brilliant 	 thoroughly enjoy stay here . excellent location - min shopping ! service absolutely superb - doorman , waiter lovely staff spa ( great value ) .the restraunt excellent value tasty generous steak . deal room service breakfast lovely . room comfortable , quiet complete every entertainment need . love Kiehls toileterie ! toilet block first night stay - pleasant experience , reaction night porter staff good , practically forgot . 
 Jul 30 2008 	 Loved James . 	 want say love James . agree review ... location fabulous , staff wonderful bed world . concierge helpful suggestion great . say one good mini vacation long time . read elevator noisy ask room away put room could not hear anything . little extras great ... robe , slipper , treat turn Kiels shampoo make stay enjoyable . would highly recommend anyone stay Chicago . go try go Cubs game take boat ride night around 9:00 enjoy look city light . wonderful . 
 Jul 29 2008 	 good place stay ! 	 great hotel ! 's fantastic location , handy shop Magnificent Mile load place eat / drink nearby . service perfect - friendly intrusive . atmosphere spot - trendy stand - offish . bed well ' ve ever sleep love turn service , complete yummy biscuit , mood light cheesy 80 pop radio ! ( would think have look I - Pods ! ) David Burke restaurant attach hotel also superb . ate join various celebrity feel quite low key . cheesecake Lollipop Tree absolute must . could go .... wish could moved forever ! 
 Jul 27 2008 	 cool oasis Chicago 	 James Hotel meet exceed expectation . cool , uncluttered comfort hot , crowded congenial city . locate within step great art , architecture , culinary cultural opportunity anywhere North America , staff James provide we home away home week visit . check - in quick flawless king suite calm , restorative oasis . difficult over - praise friendly , attentive staff ; hotel truly act together ! day visit end , experience problem room 's air conditioner . technician unable quickly solve problem , immediately upgrade one - bedroom apartment stunning view Chicago skyline . eagerly await open new James Hotels city . 
 Jul 17 2008 	 belive hype ! 	 believe hype ! skeptal frist hotel great review , agree great place stay wonderful urban -mod - setting . staff really go way make sure everything prefect . room clean confortable . need say . restuant great , lunch dinner . Dinner prepeare wonderfuly . good dine two evening row . also great wine list wine lover . hotel lay back enjoy congratgate lobby evening . busy part chiago , do not want hear street noise request upper floor back side . location great close everything . starbuck across street Due Pizza ( awesome ) next door . 
 Jul 1 2008 	 fabo ! 	 Chicago business bring family along . first stay James , pleased ammenitie business kid . , free wireless internet , printing service , kid , great restaurant , turn - down service cookie ( complimentary ) . example well treat - daughter lose & quot ; Coconut & quot ; dog call front desk phone number restaurant leave . husband explain happen , front desk call restaurant . upon learn Coconut , desk staff send cookie milk note daughter say sorry lost friend . ( PS - Coconut recover bookstore visit ) . overall , James clean , well - keep , quiet . bed great , ammenitie , gym also great . place stay Chicago . not miss dim Sum brunch Sunday , either . 
 Jun 30 2008 	 Pretty cool 	 great design . feel cool . service excellent . bed comfortable . dig . 
 Jun 29 2008 	 Superb ! 	 stay 16year old June 22nd thru June 25th ..... 3 night whistle - stop visit plan shop sight - see ! would definately recommend James . check breeze , quick efficient enter room impress 2 large double bed , plasma tv wall , full length mirror ( daughter think great viewing look various outfit buy ! ! ! ! ) , lovely bathroom , dress robe slipper - everything clean chic ! ! ! ! location James 2nd none .... walk door , turn right , take 100 step Michigan Avenue - Magnificent Mile . find shop , range H & amp ; M / Express ( cheap end market , still great ) Chanel / Louis Vuitton .... perfectly place numerous restaurant , can not go wrong , TGI 's , Rainforest Cafe , Mcdonalds , .... eat Drake Shaws CrabHouse ( must go Chicago ) everywhere walkable James - do not need taxi' . we do not actually eat hotel , find staff excellent job - want buy junior trainer son , neither Nike , Adidas Puma sell age group , ask concierge could suggest anywhere .... within second print map 6 storey sport store sell brand , turn 5 minute away James , opposite direction ususally walk ..... excellent , get trainer football boot ! ! ! ! , would definately recommend James ....... course Chicago ! ! ! ! 
 Jun 21 2008 	 great location . great value . 	 James locate great area , street Magnificent Mile . decor modern minimalist . plasma tv , player iPod , free internet . the staff friendly helpful . drawback washroom slide door , not offer total privacy . soap cream provide smell great . the bar always people , atmosphere great sit drink . for price , can not beat . would go back . 
 Jun 18 2008 	 stunningly wonderful 	 moment arrive stunned excellence hotel . certainly standard , amenity , cookie - cutter place , much charm . staff incredibly friendly , swift accomodating . James extremely clean well take care . fantastic location would stay heartbeat . tough sell too- call impossible please come accomodation . time . great job James ! 
 Jun 11 2008 	 fantastic boutique - style hotel 	 husband stay business trip book client . beautiful lobby bar , wonderful fitness room , rich furnishing detail room , friendly helpful staff . also doggie treat pet pamper option travel animal . group dinner , drink , dessert large reception room upstairs . great venue large group ( think 300 people ) . food drink take care hotel , good . staff event good well . elevator , stairway , hallway , room nicely do warm yet brightly light . room large window look Chicago 's famous building . we really like location well . able walk lot good bar restaurant shop ( shopping , Michigan Avenue walkable ) . also Whole Foods Trader Joe 's block away . refrigerator extremely well - stock mini bar room , get grocery 5 night . some fun feature include attractive ipod dock / radio mini bar , full gourmet Chicago steak dinner available room service ( vegetarian , sound like good idea meat eater ) , large flat screen tv , port - hole shape frosted glass slide bathroom door . 
 Jun 8 2008 	 great clean boutique hotel FANTASTIC location - little noisy 	 stay many hotel Chicago , book James Orbitz fantastic price ! pay $ 135.00 night ( half hotel 's website rate ) . staff friendly helpful . restaurant really nice great food . bar relax trendy full people . bed comfy bathroom clean . radio always return evening relax atmosphere room . wonder do cover noise outside . stay 12 floor could hear outside noises night . also noisy neighbor . price would stay . sure would pay full price noise limited sleep . 
 May 31 2008 	 almost flawless 	 wife stay James recently great experience . the hotel other mention ideal location . 's quiet location , yet close many neighborhood want go to . we upgrade studio room totally worth additional cost . do not midcentury furniture website photo , elegantly appoint , spacious , inside build quiet . service amazing . everyone extremely friendly helpful , well knowledgeable . true doorman front , people desk servers restaurant . concierge deal great suggestion , able understand style sensibility help we out . the breakfast prime downstairs among good ever hotel , go room service well . dinner good , great . I mention almost flawless , situation occur involve Spa hotel . involve scheduling aggravating , hotel actively encourage use . however , Caroline one hotel manager amazingly competent job make sure satisfied , follow progress true pleasure deal . experience could left bad taste mouth resolve quickly . overall , leave extremely satisfied stay look forward many future visit . 
 may 27 2008 	 would definitely stay ! 	 girlfriend return Memorial Day weekend getaway Chicago , stay James . find great deal Expedia couple week early ( non - refundable rate $ 176 / night 3 night ) find bargain compare could ' ve pay stay inferior hotel nearby . we early morning flight Boston arrive hotel 9:30am ; staff friendly accommodate , make we feel welcome moment step cab check 3 day later . able early check - in , make major difference opportunity relax bit freshen head out . the staff member take we room 7th floor show we amenity - minibar , mini - stereo w/ iPod hookup , flat - screen tv , bathroom , explain service provide hotel , etc . room west corner hotel , long walk elevator , quiet could not hear anything outside . room feature minimally chic decor king bed much comfortable hotel bed ' ve sleep . room also feature small sit corner also feature long & quot ; bench & quot ; window 2 drawer . plenty space store luggage without visible obstructive room , feel way room lay make look feel big actual square footage . the minor issue find room closet bathroom bite small . rectangular pedestal sink bathroom beautiful , not much space toiletry . addition , tub couple scratch , much happy plenty towel ( bath towel especially plush oversized ) 2 set robe slipper use . as aspect hotel , particularly like lobby , feature numerous lounge - style seating area bookshelf full coffee table book magazine . lobby bar ( bridge lobby David Burke Primehouse ) great gathering spot drink lively hangout throughout stay . we eat breakfast one morning David Burke Primehouse , bit mistake . go 10AM even though couple table occupy , take 15 minute server even come we start take order . take another 15 minute server return bring juice ; point , frustrated poor service speak general manager , explain situation . apologetic compe we breakfast , server come apologize lack service well . family seat two table also complain poor service manager also compe breakfast . problem breakfast weekend , & quot ; american dim sum brunch & quot ; start 10:30 ; however , also breakfast daily 11AM . overlap , along transition period 10am-10:30am , seem result inattentive service come late breakfast staff ( server , kitchen , etc . ) focus set brunch . suggestion guest want eat breakfast hotel either:1 ) order room service breakfast2 ) go early sit - down breakfast3 ) stay weekend , go 10:30 brunch . my suggestion restaurant curtail breakfast weekend 10 10:30 ensure smoother transition brunch . even though experience disappointing , appreciate way manager handle situation . there also lounge / club attach hotel call J Bar . check first night stay might right scene , not we . expect relax lounge , turn club anything else . crowd , DJ , loud music - walk , grab drink , quickly retreat back room upstairs ... misadventure dining / drink aside , would highly recommend James . stylish boutique hotel think people would love room service provide hotel staff . think hotel definitely appeal sophisticated trendy ( yet unpretentious ) traveler , would definitely stay future . 
 May 14 2008 	 Great Trip ! 	 amazing hotel , good Chicago ! ! great location right next magnificent mile amazing restaurant hotel . good steak ' ve eat ! room spacious ( book suite ) staff seem professional . go blue club ( try b.l.u.e.s good will hear since 60 's ) .I would go back anytime Chicago . 
 may 14 2008 	 great hotel 	 Family four recently stay fun . love James . excellent hotel ; safe location ; helpful friendly staff ; great facility ; everything need ; clean ; well organized ; sophisticated snooty ; location perhaps well ' ve ever stay ( ' ve visit Chicago numerous time ) . definitely return . 
 May 11 2008 	 Awesome ! 	 let say one fine hotel ever pleasure staying . staff nice professional see quite time . room spacious , clean comfortable . arrive hotel doorman meet we cab , unload luggage call we name impressed friend . hotel restaurant high quality food simply outstanding . friend hard press leave move conference hotel time come . staff James Hotel friendly , helpful sincerely interested assure comfort pleasure Chicago . recommend hotel highly ! 
 Apr 21 2008 	 Friendliest luxury 	 welcome check - in hellos maintenance staff pass , not believe ever stay welcome hotel . lobby bar comfortable modern without impersonal . room spacious , bed luxurious style element really give personality . toiletry product Kiehls really nice touch . love all - white bed linen smell industrial cleaner bleach . everything spotlessly clean . exceptionally welcome aspect check - out 2 pm . civilized meant could still enjoy morning city without arrange storage bag . we lunch Primehouse highly recommend American Dim Sum brunch . restaurant not interestingly design , high quality staff food great importance . conceirge service incredibly helpful even offer umbrella rainy afternoon . 
 Apr 15 2008 	 Great Hotel Service 	 stay James three night business . great hotel location . extremely professional staff time enter way room . also , nice see Mac friendly desktop lobby guest use . great bar fitness center well . would highly recommend either business pleasure . 
 Apr 8 2008 	 can not beat James 	 choose James Expedia short break book night arrive . away business normally stay Raddisson , Marriott , Hilton , Sheraton etc etc end pretty similar good pleasant staff , sometimes great restaurant help pull room reservation . vacation try independant hotel luckily decide try James visit Chicago . partly deal get partly review here . I ' m really glad definately rate one good hotel ' ve stay . one thing define , combination extremely friendly helpful staff , cool public area , large stylish bedroom , high standard cleanliness , amazingly comfortable bed , 42 & quot ; plazma tv , stereo jack ipod , free internet , great location mag mile mean close many attraction , shop bar etc . I honestly can not understand negative feedback , especially come compare hotel typical 3 * . way could view 3 * , facility , standard room , well train staff make much Ramada , Holiday Inn chain hotel . booking , remember boutique hotel , nature , normally small high standard , offer personal service . also can not understand anyone expect pay less $ 100 day high standard room centre city like Chicago ! get real guy .... opinion personal subjective worth , mine can not really go wrong James . 
 Apr 7 2008 	 would try ... 	 sister spend weekend James excite upon arrival upgrade suite . cool room medium room could watch free dvd provide hotel . product bathroom great - Kiehls bed super comfortable . David Burke restaurant hotel outstanding concierge point we exactly perfect spot breakfast ... disappointment noise weekend hotel hold wedding reception room stink like smoke . would definitely give another shot though next weekend Chicago base location , price , overall experience 
 Mar 25 2008 	 great staff 	 pleasant surprise James - nice little boutique hotel lovely staff . think W hotel without attitude . great bed ... mean great , Kiehls product bathroom , fabulous restaurant hotel great cookie turndown . I will definitely back James thoroughly recommend ! 
 Mar 24 2008 	 Loved James ! 	 wonderful experience stay James . teenage daughter stay 2 night Spring Break fun Chicago . staff wonderful extremely helpful get we walk direction place want see . doorman also give we great restaurant recommendation . room cozy bed comfortable ' ve ever sleep hotel ! stay 8th floor although elevator small also quick . pose problem we wait long one . bar area get hop pretty good night although since teenager not get chance check . highly recommend valet parking , be $ 10 public parking , pull door take there . I definitely stay James Chicago ! 
 Mar 11 2008 	 Trendy Convenient 	 stay James three time business . always accommodate . find location convenient need go cabby familiar intersection . staff attentive helpful . business center lobby sparse , need make ton copy stuff ( ) be probably joint . love Kiehls bath product bed comfortable . tv 's nice , room service David Burke restaurant lobby . hallway bit dark really care . definitely stay . 's worth price ' m business , stay pleasure might try find something little affordable . 
 Mar 11 2008 	 favorite hotel Chicago 	 often stay Chicago business sometimes stay James . first let start say subscribe Dwell Magazine love thing modern . soon walk hotel feel love wonderful art modern layout . walk room stark white blend well dark light wood flash red . bed extremely comfortable . skincare regime include many thing Kiehl 's line thrilled find offer bathroom . last time around flight cancel get really experience hotel ( usually ' m busy work get see J Bar bed ) . check back upgrade suite . order room service restaurant - steak salad delicious . next day breakfast - $ 22 price fruit , english muffin coffee little steep . gym great - clean , late equipment . hotel situate close Michigan Ave 's close great shopping , restaurant , etc . recommend hotel anyone go Chicago ! bargain price wise well worth afford go business . 
 Feb 28 2008 	 ok Hotwire Price definately worth publish rate 	 end James Hotel & quot ; blind & quot ; Hotwire hotel purchase . research list ( via BetterBidding.com ) thought would receive Conrad hotel base upon hotel feature price . after learn book James , online research satisfied review . our check - in swift pleasant . front desk easily look reservation provide we room key , direct we elevator . use Valet parking , end cost $ 46 one night ( in / out privilege ) . valet service fast courteous . the elevator exactly expect ( thank Tripadvisor advice ) . TINY ( tiny ) somewhat scary ( buzz , rattle , shake ) . however , manage get we go time . we end upper - floor room street view . ask king bed , end double . 's big deal , consider method booking . hotel decor modern , interesting artwork hallway . room decor modern , well , little artwork . layout room somewhat awkward / cramp . the room clean , could definately tell not much attention detail renovation . the bathroom nice , window view shower ( unusual , nice ) . light throughout room great , dimmer anything everything . 42 & quot ; plasma nice , push analog signal , grainy . the turndown service nice , minimuffin pillow . the good part stay find 2:30 pm checkout ! ' ve never experience city hotel . great , long evening club . I would stay , pay $ 100 room . well deal downtown Chicago ... 
 Feb 24 2008 	 okay pay 	 group 3 woman stay convention get great rate $ 129 Travelzoo . agree 5 star hotel pay would happy . our room small 2 comfortable double bed . bathroom large either . room sorely lack mirror , seem trivial unless one woman staying room . wish even mirror outside bathroom door . none we go risk disaster happen hair , humid shower run . resort use reflection one picture room hair groom . we 16th floor , quite frankly dark dirty . take we even figure room , nothing mark . there lot dark brown unfinished curtain hide everything freight elevator ice machine dirty hall . I would want woman stay alone hotel , since anyone street could hide behind curtain ! front desk staff courteous , hotel lobby bar J bar fun hip . eat restaurant , sure smell look good . the late check ( 2 pm ) definite plus plan take advantage Chicago 's awesome nightlifeThe location fantastic , old Lenox Suites use be . we stay W hotel , feel 3 star version 4 star W. way 5 star property ! 
 Feb 17 2008 	 Love James 	 think hotel great . husband stay two weekend ago come back two teenager past weekend . think James wonderful . first location ideal , one block MIchigan Ave . Ontario , many great thing nearby . hotel right size , big enough good amenity , great bar , restaurant , workout room , small enough feel intimate . staff wonderfully friendly accomodating . discover return stay two week early , pleased really bend backwards give we exceptionally nice room . room somewhat small , think really typical downtown metropolitan hotel . large flat screen tv nice . would recommend hotel highly sure stay . find great price James Expedia Orbitz . 
 Feb 17 2008 	 Loved every bit ! 	 James hotel beautiful . thing negative could think mention tiny elevator . fit couple people luggage comfortably . the room beautiful comfortable though . love big screen tv Kiehl 's bath product . bar stock mini full sized bottle . think neat touch . mp3 player plug right speaker . great . bed super comfortable time project onto ceiling . nice touch . slipper nice . business , not pay room can not speak value impress hotel room ! 
 Jan 30 2008 	 fabulous ! 	 wow , can not believe review james ! ' ve stay james numerous time business , wonderful . love room - be small modern - like coziness ( love kiehls product ) . also ' ve find staff incredibly helpful friendly . especially business travel ' m incredibly picky , want everything go smooth possible - find james exactly need stress o'hare far long business meeting . would recommend stay anyone ! 
 Jan 27 2008 	 great place 	 one good stay 's wife anniversary . stay 5th floor studio . truly superb . the doorman friendly peole . bed comfortable flat sceen tv wall nice . also alarm clock project ceiling . nice touch . interior design modern yet comfortable . wife interior decorating be describe . agree . highly recommend property . 
 Jan 23 2008 	 romantic chain 	 great time here . Lot 's , great restaurant bar . wonderful feel hotel , cookie cutter type chain . well worth money spend . room nice comfortable great touch everywhere . 
 Jan 17 2008 	 Super hotel ! ! 	 James brilliant , super sleek hotel . excellent room , super service , good location , trendy throughout . you regret book hotel - miss steak house hotel ! ! 
 Jan 17 2008 	 good location 	 stay James celebratory weekend choose competitor due ' recent inclusion Leading Hotels World . check - in perfunctory clerk add congratulation afterthought . beautiful flower room though add gesture . ask dvd player room sadly one could instal without difficulty abandon idea . check front desk transpired allocate inferior room type move junior suite extremely comfortable somewhat minimalist style . great bed , shower view across city though . issue housekeeping ; ASK room service one day , dirty cup glass remove another occasion return room late one night , radio lead we believe perhaps staff member enjoy facility ! also room key continued problematic entire stay lead front desk staff & quot ; accuse & quot ; we keep near moblie phone untrue . wonderful food restaurant spoil Maitre 's superior attitude . excellent doorman always courteous , informative fun ( much like rest city ) location could well . a & quot ; cool & quot ; ( hate word ) slightly pretentious property promise actually deliver minor caveat really stop & quot ; leading & quot ; category . * * note * * beware . staff inform & quot ; block & quot ; $ 100 per night credit card guarantee ; difficult budgeting . 
 Dec 27 2007 	 would not stay ! 	 husband conference book room thru website , call confirm we 1 night instead 4 , easily change . first morning cold , cold shower , not complain , next day fine . phone work , call every day complain , every day say would fix get back room , never . dial tone , unable call restaurant , call car call room service . finally , last night someone come room fix . hotel beautiful , room great everyone nice , even complain nice . great gym area also , love restaurant . , money could easily find another hotel nice working phone . 
 Dec 22 2007 	 Great Hotel experience 	 absolutely love hotel start finish . stay 4 night December hot cider cranberry cookie available reception every night kiehls bathroom toiletry , heavenly bed impeccable service great hotel experience . the bathroom small side well equip . room keep spotless throughout stay cake cookie deliver nightly turn service nice touch . we order room service David Burke 's primehouse food delicious beautifully present . breakfast also good , love West Egg diner street . an early morning checkout swift efficient . overall satisfying , especially consider great rate Expedia . will back soon possible ! 
 Dec 13 2007 	 LOVE JAMES 	 LOVED hotel . room chic trendy , bed comfortable , great slipper robe . love Keihl 's bath product bathroom . go birthday weekend , card plate pastry waiting room . get great deal junior suite Travelzoo , try take another trip Chicago , deal go . really recommend hotel . LOVED . problem David Burke Steakhouse . service horrible , switch order table next 's compensation take $ 7 side dish order ( nice enough charge we side dish not get ) . not go . go Lawry 's accross street . but stay James . ( btw- 3 - star hotel like website lists- least 4 - star ) 
 Dec 12 2007 	 Horrible Service 	 one bad hotel experience ' ve ever . first night , overbooke get send another hotel get airport midnight ..... valet bell attendant outside time drive stay . next night , lose reservation daughter 's room another huge hassle manager . next day , unable locate car valet HOUR . unapologetic , unhelpful staff border rude , WASTE money ! ! ! 
 Dec 6 2007 	 Tres Sexy 	 ok ... could never afford stay put company quick business trip could not happy . the modern design hotel pure sexiness nth degree . superb example minimalism lot white space . bed sooo comfortable ! staff could not nice ( hell , almost $ 500 buck night treat like king ) . location pure downtown great shopping walking distance . unfortunately not get explore hope next trip get opportunity stay hotel . ( PS : sure check minibar offer beyond booze ... funny ) . 
 Dec 1 2007 	 average 	 James chic cool . lighting room sexy . David Burke restaurant hotel big plus - never steak one serve . location central - near shopping , restaurant importantly , starbuck . service fantastic . front desk staff help fax important document . check quick . showered bathroom convenient space soap shampoo water . elevator compact make crowded people wed . bed sumptuous comfortable . great stay . 
 Nov 5 2007 	 high price low quality 	 hotel good review conference material DMA07 Conference , stay ten day say place avoid . the bathrooom door close , colleague stay another room problem . room television service , audio promote last hotel convenience , visual display . the fixture bathroom barely attach wall tap bathroom come wall turn shower . the architrave air conditioning duct fit correctly make room look unfinished . the quality control prepare room guest absolutely appal . overall poor experience one advise book agent repeat . 
 Nov 4 2007 	 Meh 	 's hard explain dissatisfaction hotel . consider expensive place , probably 30 hotel Chicago money would well spend . first , ' ve never see poor elevator situation . normally one not feel compel write elevator , be clearly indicative experience hotel ... first , not stay 17th ( top ) floor . elevator shake entire floor every time someone take elevator ... sound like top floor one big racquetball court . second , two elevator , approximately 15 square foot , mean every single time one take elevator , one experience 5 6 stop elevator 11 people , comparable squeeze 11 people honda civic hatchback ( moderate sarcasm ) .The food : terrible . forget , not care go free , ( gift father - in - law ) . everything incredibly salty . honestly , not consider food big factor choose hotel . however , terrible , think 's important , forget it . another thing : try order breakfast daily , reason , first day , refuse send breakfast order form . give we every day , . call ask , would say & quot ; absolutely , sir , will send right up . & quot ; course . next day , thing . really ? hard take care something simple ? , big deal , definitely representative level service . furthermore , two complimentary drink part package ( reminder : package completely pay father - in - law ) , not get coupon . tell front desk show bartender package deal summary sheet , . bartender take full 5 minute analyze card give , packed bar patron glare we like farmer , ask coupon mention . , tell front desk tell we . tell we need ask manager . 10 minute pass . finally return say & quot ; know can not find manager anywhere , ' m going go ahead give drink . & quot ; thank , buddy , unbelievable favor give two drink cost $ 2 , already pay tune $ 1750 . really stunning customer service . wow . oh god . the wall paper thin . forget bar . horrible , packed , pretentiousI could go , chance ' ve already stop read . the point : $ 300 / night ( pay $ 500 ) , place place . housekeep good . room 's decor nice . little medium nook nice well . 
 Oct 30 2007 	 fantastic location wonderful city 	 spend two week work suburb look somewhere comfortable , central little intimate chain hotel Michigan Avenue . have stay Marriott Meridian not enjoy experience . the hotel one block west Michigan Avenue behind Marriott . great location start explore city . check breeze hot towel welcome . not come hotel view . 16 floor 's dwarfed surround property . room 12th floor face south . deluxe double room book Hotels.com . $ 100 / night rack rate . although huge room comfortable bed large have sleep . great touch like Kiehl 's bath product , free wireless internet , 42 & quot ; Plasma iPod equip stereo . can not comment Bar Restaraunt not dine . one tip .... head West Egg breakfast - great food fantastic value money . be five minute walk Ontario . 
 Oct 30 2007 	 Nice dig 	 stay 3 nite conference . hotel trendy boutique hotel convenient locate near Magnificent Mile ( Michigan Ave ) . lobby pretty small 1/2 overtaken extended bar Prime , hotel 's steakhouse restaurant ( hear good thing restaurant ) . staff efficient totally friendly . notice tendency staffer congregate feel intrude space go check in / out feel rather uncomfortable . room rather small clean line decor make room . bed flat - screen tv nice , corner room stay quiet throughout night . Kiehl 's bath product good , housekeeping staff really friendly bed turndown service cookie ( ) .door staff extremely helpful friendly , go ask question rather ' bother ' front desk staff . concierge ? not notice . maybe tastebud would order drink bar . order G & amp ; taste like soda instead tonic ; could fix resort another drink . pro : convenient location . Starbucks Trader Joe 's right across . good eat block right across . friendly door staff . decent mini bar . con : room pricey rather small ( small NYC hotel room ) . small elevator . 
 Oct 19 2007 	 Love James 	 third time stay JAMES business . staff great , upgrade medium loft , 2 bed 2 plasma plus projector screen . everything do make comfrotable- kiehls product ipod hook up.the gym also big well organize . I would come back - reccomend everyone 
 Oct 18 2007 	 ` ` shagalicious baby ! '' 	 spend two night James Hotel attend conference inChicago . receive upgrade room upon check , even without requestingone . room nice -- straight Austin Powers movie , complete shag rug corner bed / couch projection dvd player surround sound . fact , room also include additonal fairly large flat panel tv main area , small one face bed ( though could not get one work ) small stereo cd unit . probably everyone 's style , think pretty cool . alone , would think would great choice couple . service staff ( front desk , bellman ) helpful courteous . location quite good Chicago hot spot , pretty far McCormick Place , area 's hotel . 
 Oct 16 2007 	 well home ! 	 stay James business pleasantly surprised level service attention detail provide boutique hotel . combination heavenly bed ( even heavenly Westin ’ version ) , modern amenity , cool ambiance , location make hotel winner . entire hotel SPOTLESSLY clean , complimentary slipper robe , Kiehl 's product , turn service . also note great 2 pm standard check time , great people like morning meeting . wall seem well insulated hotel pretty crowd disturbed people housekeep walk hall night early morning . staff ever- present overbearing although tip well , accord feel solicit way . would recommend hotel anyone stay James return Chicago . 
 Oct 15 2007 	 stay James ! 	 hotel full little touch separate mainstream pack hotel . blend style , price , location , available service , level service - really make James special . nice sized room , contemporary feel , awesome mini - bar , dual plasma TV ' , comfy bed , light switch dimmer , ' hear outside noise . bellman / concierge / housekeeping REALLY go way make feel welcome day . front desk provide good service , warm . comp wireless internet room , room service prompt food well par . walk distance Magnificent Mile , John Hancock , Millennium Park , Art Institute Chicago , Red Line Subway ( 5 min China Town , $ 4 round trip ) . eat Pizza Rio Uno ( deep dish pizza ) West Egg ( great breakfast ) , walk distance . glad stay , definitely get repeat business ! 
 Oct 4 2007 	 Hear Hear 	 person Minnesota previous review sum ! hotel good feel like home staff extend family . traveller , ( originate outside US particular ) nervous stay big city , check hotel immediately feel relaxed . wonderful ! 
 Sep 17 2007 	 fantastic boutique gem near Magnificent Mile 	 husband take summer road trip Chicago book James Hotel Hotwire.com . get great rate , especially great boutique hotel right Magnificent Mile shopping area . James easy find ( print direction Google Maps ) valet parking available , although self - park car next door garage save dollar . check - in breeze front desk staff well - groom , friendly helpful . ask breakfast recommendation tell we West Egg , street ( 5 - 6 block away ) . bellman extremely helpful helped carry bag room husband parking car . room nice , flat panel tv cable , premium Kiehl 's toiletry plush , clean towel . bed plush love hotel use white sheet comforter instead old style comforter ( gross ! ) . Turndown service evening also include bedtime snack ( think cookie sort ) . housekeep good job pick thing day . good part hotel definitely 's location . be block away Michigan Ave able walk Navy Pier , Millenium Park many attraction . James Hotel allow we vacation luxury , keep within budget . 
 Sep 16 2007 	 great hotel 	 stay James 2 night stay Palmer House Hilton road . comparison , James bright , modern real ' buzz ' foyer bar area . staff professional , friendly helpful . good part hotel bed ! amazingly comfortable great linen . 
 Sep 10 2007 	 Rudist service 	 right away everything go wrong ! book suite 4 people tell we reservation 2007 , 2009 ! first , would book 2009 ! secondly , begin make seem like friend fault , put tear ! say we king size room , four us woman sleep one bed ! not bother , far well hotel neighborhood price . 
 Sep 5 2007 	 wow ! ! Sweet Hotel ! 	 well boyfriend stay night James Hotel September 1st , 2007.first impression not good room ready arrive around 2:30 pm . go lunch Pizzeria due around corner . return around 4 pm find room still ready . wait another half hour finally ready . desk clerk apologize offer we free breakfast two . room amazing . stay 17th floor amazing view city . brown spot ceiling not appeal . also bathtub would fill water shower . around along beautiful room free breakfast great experience . stay Millenium Knickerbocker next night like night day . would highly recommend stay James . 
 Sep 3 2007 	 Amazing Hotel ... 	 find good deal James hotel TravelZoo $ 169 night , search , find James good review decide book night 's stay anniversary ( surprise husband ! ) book stay , mention date upon checkin room already upgrade suite . go keep review hereon nice simple ... James Hotel AMAZING . suite beautiful ( contemporary ) , clean , room service fantastic . front desk extremely accomodate friendly . hotel also right Michigan Ave . whenever spend night downtown surely stay James . like , disappoint ! 
 Sep 3 2007 	 staff cater every need ! 	 wow ! really impress James . centrally locate , super chic hotel , staff really know make vacation even well . great & quot ; welcome back & quot ; every time return daily / evening excursion . bartender concoct amazing cocktail - the front door man recommend mojito arrive disastrous airport situation mention need drink right ! mojito really hit spot ! concierge service well ever . Esperanza particular , make suggestion book tour restaurant turn trip great vacation unbelievable amazing adventure . fitness center great size open 24 hour . room tone brown red spacious , minimalist chic look , perhaps do point lack function ability . hate bathroom sinks- wide flat therefore drain well also take counter space need . however , overall pleased room . bed extremely comfortable , mini bar great selection half bottle liquor bartende equipment make famous James bond cocktail ! would definitely recommend hotel especially single traveler want great service hip atmosphere ! 
