simple 	 overall hotel provide exactly need - base 2 - day sighting see trip around London . location good since right near Earl 's Court Station allow we get everywhere want go . otherwise much near hotel . the room actually big anticipate . basic though . negative one woman desk not helpful question . would recommend basic sightseeing stay . 
 Jul 5 2006 	 great locationquaint Quiet 	 go London Wimbledon tennis want stay near though . train come Euston easy use tube station . arrive Earl 's Court tube Barkston Gardens Hotel across road turn leave . travel far find . pleasant Hotel , quaint quiet . room big enough . tea coffee facility hand . choice complimentary continental breakfast english couple pound . bed comfortable . room hot air - con fan room good . probably usually hot England , would probably ok time year go 5 day heatwave . 30 's . get back North England find tennis call rain . staff friendly request let we put coolpack freezer overnight . hotel close Restaurants eatery . also foodstore open 24hr Tesco . would stop Hotel . 
 Jul 4 2006 	 convenient location disappoint hotel 	 stay hotel two night go watch tennis Wimbledon . location great term convenience tube proximity restaurant shop ( ie Boots , & amp ; , Somerfield ) however hotel disappointing . really quite tatty cleanliness room leave lot desire , especially bathroom . also surprised find dinner room service stop serve 9.30pm . staff not overly helpful either . room also hot noisy night 's expect London summer . overall hotel fine base sleep shower glad near Earl 's Court Tube Station let shabby appearence , lack cleanliness heat noise level . 
 Jun 29 2006 	 excellent location quiet 	 wife stay hotel two night early June 2006 . location , other comment , good convenient travel around Underground . room washroom clean space adequate we . room ( X08 , face garden ) really hot , especially afternoon . open window widely ( day long ) help much , think major problem ( well , room see sunset ) . remember room air - condition . staff helpful other okay . 
 May 18 2006 	 Perfect jumping point tour London 	 read recent review , decide book room hotel 3 day sightseeing around London . book directly hotel 's web site get really good deal include continental breakfast ( nothing impressive definitely enough food & amp ; choice take lunch ) . room small single - plenty room luggage - nice roomy bathroom . cheery , clean , comfortable , lose hot water last shower . theory may well shower night , opposite guest , probably , may hot water available . room , warm , leave window open day & amp ; night , problem solve . fortunate hardly rain - sure solution would work rain blow . be quiet everyone else say , traffic people noise wake window 's open . garden view pretty . be ridiculously close Earl 's Court tube station - could not convenient . Marks & amp ; Spencer Simply Food market block away come handy many time ! staff friendly helpful . 's computer internet access room lobby be usually busy - 's also McDonald 's ( ugh , know ! ) internet cafe attach way tube stop . recommend hotel comfortable , affordable tourist - class hotel . many frill lot charm nice neighborhood . 
 Apr 1 2006 	 good value nothing exciting . 	 hotel great location good value money . room small bit worn , clean . breakfast good staff polite helpful . be budget - conscious not plan spend LOT time hang around hotel , Barkston Gardens fine place stay get reasonable price . 
 Feb 20 2006 	 fine hotel 	 hotel nice neighbourhood , close bookstore drugstore . bit way , would recommend location good . brightly paint wall ! 
 Dec 22 2005 	 Barkston Gardens -- okay Budget traveler 	 room small , consider , big deal . comfortable bed , bathroom shower room , desk , television , phone , room service ( additional cost ) . breakfast include price room good . service okay . hotel locate two minute Earl 's Court tube station , plus . 's Ritz , good budget traveler . 
 Oct 20 2005 	 good customer serviceold hotelnasty bathroom 	 london summer vacation august 3rd 8th . I decide go barkston hotel come three star hotel look line . I notice good customer service .. however room small ugly . there something wrong bathroom .. hot water mix cold water make really hard take shower . you get one side tap pour water hot hell otherside tap cold water . the hotel nice location need whole lot renovation . 
 Oct 19 2005 	 decent great location 	 stay London often . understand baseline hotel way place . last year seem try improve . Barkston one example . hotel free wireless access hair dryer . someone desk 24 hour . breakfast room large clean . breakfast plenty eat , croissant , cheese , ham , yogurt , can fruit . full cooked breakfast 2 GBP . room en suite , lift . half room large . ask Room 405 , large twin full bath . room first floor noisy . weekday downright cheap 58 gbp ; weekend lot . Earl 's Court location absolute good , catch Circle , District , Picadilly line . tube Heathrow go direct 2.40 take 30 minute . three good pub , & amp ; food shop , wine shop within 50 yard . , bad place stay . 
 Sep 19 2005 	 good price 	 book online good price , room location get good deal . room single en - suite quite good size . hotel still old shape ... creaky floorboard , bit aged decor ... etc get picture . location great ... around corner tube stop . room look garden nice . think top floor swelter day woul dhave problem without air conditioning . oh lift would take age come . 
 Jun 2 2005 	 Gret Value Money 	 stay Barkstone Gardens Hotel attend concert Earls Court .... great idea 10,000 people try cram onto tube afterwards . I d read review TripAdvisor be not disappoint . location wise 200 m underground 5 - 10mins walk Earls Court exhibition centre relatively quiet tree line square . true flashest place , especially public area - carpet little worn paint could done attention , room relatively modern , clean , quiet , comfortable large central London . what s come duvet bed television , trouser press , hairdryer tv work ! £ 59 double lateroom think place bargain . think full price £ 105 be not unreasonable cause part London . Earls Court many & quot ; dumps & quot ; get rip think Barkstone Gardens real find would not hesitate stay . 
 May 24 2005 	 stay much well place similar money . 	 stay one night May 2005 attend concert nearby Earls Court arena . positives : Location - 1 minute walk Earls Court tube station . 2 minute Earls Court Arena . cleanliness - room bed clean . staff - friendly helpful . negative : air - conditioning - room impossibly hot . make bad window would not stay open unless prop open telephone directory . overall condition Hotel - think hotel describe little bit tatty . marble floor reception crack . carpet corridor fade ill - fitting . paintwork decor overdue overhaul ( woodchip wall paper example - 70 's anymore ! ) . 1 inch gap room door mean light corridor illuminated room night . overall VERDICT : much well hotel London price - pay £ 88GBP one night . expensive London , shop around will find major hotel chain offer genuine 4 * room price . 
 Oct 11 2004 	 great price 	 ' ve stay hotel twice . room little old , decent money pay . location perfect , 3 min walk tube station . room hotel large , small . , bad tourist class hotel . 
 Aug 19 2004 	 awful location filthy room 	 stay Barkston Gardens first week August . bad went look alternative next night despite fact prepay . 2 room , 2 night , filthy , one room toilet would not flush , noise incredible , even kid complain ! street outside cover vomit break beer bottle 9yo daughter verbally sexually harass walk pass pub frightened would not open window room despite hot weather ! location might alright 're bar pub family . big gripe fact give adddress Kensington entirely different type neighbourhood 
 Mar 23 2004 	 Great Location 	 Location truly good part hotel . Earl 's court tube station literally right around corner . room another story . great bathroom , large , full tub , great shower w/ shower curtain . Rug stain multiple place bed uncomfortable ever sleep . bed also noisy . wall paper thin , noisy neighbor .... bring earplug . continental breakfast include rate . adequate breakfast , skip coffee go tea . waitstaff mixed , overly friendly , good enough . eat area , lobby , etc clean . local paper provide lobby along lot tour paper , sightseeing booklet . front desk staff great . Coffee / tea maker room nice . provide little packet tea , coffee , sugar , etc . skip coffee . Pub end street loud rude people . waitstaff unfriendly . lot place go food . 
 Mar 19 2004 	 ' ve stay 5 time like 	 stay 5 time past 3 year like hotel staff nice , breakfast pretty good , be not important thing , coffee terrible , usually walk street Coffee republic Costa coffee get good coffee . stay 2 dif kind room , reg double room family room 2 double bed fold couch like . bathroom large Europe love Earls Court location . stay 3 hotel area . Burns , Oxford Rushmore like well . good restaurant around also . try Dinos right next tube Earls Ct RD . 
 Jan 21 2004 	 great location good value 
 Jan 11 2004 	 surprisingly pleased ....... 
 Dec 4 2003 	 never ! 
 Nov 30 2003 	 Location 's good feature 
 Nov 15 2003 	 Filthy Terrible experience 
 Oct 13 2003 	 Quaint convenient 
 Sep 9 2003 	 great English Breakfast 
 Aug 28 2003 	 good service great location 
 Jul 8 2003 	 Convenience Location 
 Jan 16 2003 	 beautiful private park across street 
 Jan 16 2003 	 très bon rapport qualité - prix ! 
 Jan 16 2003 	 Earl 's Court ? ? ? ? ? ? ? ? ? ? 
 Nov 9 2009 	 Molto carino .... scricchiolante 
 Nov 6 2009 	 ? ? ? ? ? ? ? ? 
 Nov 6 2009 	 Buon rapporto qualità / prezzo 
 oct 22 2009 	 consigliato ............. 
 Oct 15 2009 	 Incubo ` ` mouse '' 
 Oct 9 2009 	 très beau séjour 
 Sep 24 2009 	 Hotel correcto te dan lo que pagas 
 Sep 23 2009 	 non vale quanto costa 
 Sep 21 2009 	 bien placé 
 Sep 4 2009 	 Super Lage winzige Betten 
 Aug 26 2009 	 Tout à fait convenable dans l'ensemble 
 Aug 26 2009 	 Un hotel muy bueno bien situado precio razonable . 
 Aug 20 2009 	 horrible 
 Aug 2 2009 	 Guter Durchschnitt günstige Lage 
 Jul 29 2009 	 Bon rapport qualité / Prix 
 Jul 15 2009 	 ? ? ? Earl 's Court ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Jul 1 2009 	 Ottima posizione 
 Jun 11 2009 	 Emplacement idéal et confort à Londres 
 Jun 2 2009 	 Conveniente rapporto qualità / prezzo 
 May 17 2009 	 hotel très bien placé 
 May 10 2009 	 Un scarso 3stelle 
 Mar 30 2009 	 buon hotel 
 Mar 30 2009 	 Ottimo rapporto qualità - prezzo 
 Feb 25 2009 	 ? ? ? ? ? ? ? ? ? ! ! 
 Jan 15 2009 	 non economico semplicemente il prezzo giusto per un ostello con camere doppie 
 Jan 8 2009 	 Hotel bien placé mais ..... 
 Jan 7 2009 	 nie wieder 
 Jan 3 2009 	 Mica male ! 
 Jan 2 2009 	 Ottima posizione 
 Dec 18 2008 	 Buena relación calidad precio . Recomendable 
 Nov 25 2008 	 Non consigliabile 
 Nov 5 2008 	 très bon hotel 
 Oct 31 2008 	 super hotel 
 Oct 28 2008 	 Abgewohnt und immer kalt 
 Oct 22 2008 	 consigliato ! 
 Sep 2 2008 	 Esperienza positiva 
 Sep 2 2008 	 Buon rapporto qualità / prezzo 
 Aug 18 2008 	 très convenable pour londre 
 Aug 1 2008 	 lo recomendaría nadie 
 May 30 2008 	 ottima sorpresa 
 Mar 29 2008 	 Buena opcion para visitar Londres 
 Mar 7 2008 	 Ottimo Hotel 
 Jan 13 2008 	 Hotel da dimenticare 
 Jan 2 2008 	 era lo que me esperaba 
 Nov 30 2007 	 comodo e confortevole 
 Apr 23 2007 	 Un hotel muy correcto 
 Feb 12 2007 	 Londra prezzi ragionevoli 
 Mar 31 2006 	 Esperabamos más 
