Nov 	 Favorite City 	 Great Hotel close Moscone Convention Center work downtown walking distance anything want . 
 Sep 12 2007 	 good location 	 review stay three night marriott , August . ( + / positive ) * excellent central location , Market Street . , catch cable car ( beware queue particularly terminus ) , bus also convenient streetcar go Ferry Building various wharf . also close Union Square , main department store . short walk China Town . many restaurant diner around * hotel easily accessible use BART train SFO . cost $ 6 , take 30 minute . Station Market Street 3 min walk hotel * good modern clean room , large LCD tv screen , excellent bed * good breakfast buffet , slighly expensive . lot choice * indoor swimming pool jacuzzi : fantastic adequate free . pool quite large , lot lounger towel * lot lift queue ( - / negative ) * mini bar / fridge use store food drink . one model automatically charge something remove * refurbish work currently do hotel . reception area move first floor , quite small long queue . also , get noisy day noise sledge hammer like . however , stop late afternoon inconvenience guest * air conditioning noisy * window not appear clean often : even difficult tell weather ! * robe , would useful swimming pool * quite old fashion/70 's style hotel . big impersonal 
 Sep 10 2007 	 Wonderful Rooms Expensive Add - on Charges 	 stay SF Marriott downtown order attend convention nearby . book room via priceline $ 150 night ( $ 175 taxis charge ) . room 15th floor view surround downtown building . overall , room nice - large , clean seem newly remodle . hotel overall exceptionally large lay odd fashion ( check - in different floor pull car etc ) . main concern hotel add - on charge . parking $ 40 . item room ( snack etc ) also expensive . hotel also provide number service seem require ( cab flag service , luggage hold , bellman service ) also require tipping . surprise much additional money spend tip park one - night stay . overall , add $ 75 nightly bill . location heart downtown walking distance Union Square . bit walk Emarcadero close hotel area seek . room quiet give sheer size hotel pretty noisy place common area . ' m sure would stay even though room nice equal hotel cheap well location city . 
 Sep 4 2007 	 San Francisco marriot- great place stay 	 spend Labor Day weekend Marriot . tow two small child find hotel perfect location . one block Yerba Buena complex child 's museum , playground carousel . one block excellent shopping , F train old fashioned trolley BART . staff super friendly , buffet breakfast delicious fresh room large clean cofortable bed . stay town . book expedia everything go smoothy important travel child . criticism tile deck around swimming pool slippery one extra careful fall . , wonderful stay look forward return visit . 
 Aug 30 2007 	 Good Marriott Construction 	 hotel nice locate great place . within short walking distance bart street car . union square couple block away . many restaraunt close , even sport bar corner hotel ( can not remember name . ) hotel construction . normal front lobby renovate check in upstairs . beds awesome want take one home . beef room microwave fridge ( could get one front desk believe . ) another beef room & quot ; snack thing & quot ; remove one snack would charge .... $ 4 little chocolate bar ! HA 's Walgreens street cry loud ! not understand charge candy bar . becareful knock bottle water & quot ; snack thing & quot ; will get charge ! mini bar tv awful price well . tv nice view room great . play music park across street nice listen room . church next hotel rang bell every . staff friendly assist we ease . not get chance eat hotel go View floor go pool .... busy see San Fran ! 
 Aug 29 2007 	 Parking Charge ! ! 	 make sure get excellent room rate pay nose parking . charge $ 49.02 one night . 
 Aug 26 2007 	 San Francisco Marriott - great hotel 	 stay 3 night February 2007 long weekend . room large clean ; nice view . we access concierge lounge , wonderful . pop , bottled water , coffee , tea , snack 24 - hour day . computer free Internet access print available . nice buffet breakfast , hot snack dessert evening concierge lounge . we take subway / train airport hotel . station less 5 minute walk hotel . hotel also 5 minute walk street - car turn - a - round stop . quite mall shopping area around hotel 10 minute walk Chinatown hotel . there Marriott hotel Fisherman 's Wharf area , would suggest stay small child not enjoy walk around lot , tourist action . San Francisco Marriott probably suit business people shopper . however , not mind walk around get go , great location we . 
 Aug 26 2007 	 Good Location well maintain 	 hotel great location within walk distance attraction ( short bus journey tired ) . hotel great bar top fantastic view city . the gripe ( like many hotel trip ) unable confirm room two queen bed give sinlge King ( family four ) arrival . fortunately upgrade we King Suite complain , although kid camp bed , least space move . the breakfast buffet good whilst cheap adult ( c $ 20 ) , good value child ( c. $ 7.00 ) 
 Aug 16 2007 	 Good Location okay hotel 	 good location Market Street convenient access Fisherman 's Wharf shopping . 's big hotel not expect personalized service . say , everything work efficiently complaint . 
 Aug 12 2007 	 uneventful stay 	 stay room 1020 Marriott 5 night recent business trip . big problem , nothing amazingly good either . room relatively clean , bug , noise room , hvac problem , billing problem . coffee maker room , along iron , hair dryer , safe . location good tourist not want stay near Fisherman 's Wharf , be 2 block moscone . restaurant everywhere . someone tell next business trip would take back Marriott , have okay it . however , Marriott not one place wonder everything perfect . cd player clock radio not work call get fix not help . bathroom not spotless , though second day , unidentified stray hair go . minibar empty . plumbing growl groan shower use , be something hear 8am . lobby always crowd mix vacationer people attend convention . get taxi never quick . the staff universally friendly , distant corporate way far memorable . not remember man woman handle checkout 2 day ago . contrast , Palomar across street quirky memorable , fun way seem specialty Kimpton 's hotel , not stay trip . the bar top floor worth check , even not drink . view really nice fog find seat next window . 's expensive place drink dinner ( 4 us drink bill $ 50 ) be worth once . sure , would go back without complaint . next time will probably stay somewhere else variety . 
 Aug 6 2007 	 extremely clean comfortable ! ! ! ! ! 	 husband stay third anniversay past weekend , great thing say hotel ! ! ! ! super clean , spacious , comforatable , central downtown union square close financial district ! love much- stay corner room view awesome- could see busy street w/ people yet could barely hear thing ( 6th floor ! ) bed nice too- mattress super comfy bed clean crisp comfy ! tv large flat screen ( husband love ) bathroom nice modern granite ( ? ) type floor large bath tub . even smell room nice ! location great well- take we 5 minute get Bart station Powell , three minute get Walgreens water snack . location also feel safe within minute great shopping place eat . not rent car- walk maybe catch cab go fisherman warf ( $ 13 btw via cab ) actually walk Fishermans warf hotel take we 20 minutes- cut financial district pretty walk . stay - well worth staff also super friendly helpful ! 
 Aug 5 2007 	 fabulous 	 family best vacation ever ! use one good website ever . call airfarewatchdog.com . gather search engine one place . receive daily update airfare price . happen find great flight Phoenix . search engine good price Travelocity . combine hotel give we rate $ 1800.00 . include 4 roundtrip ticket 2 room Marriott . stay 5 night . room quite large kid adjoining room . Marriott always first choice . one hotel cream crop term service , cleanliness hospitality . one night room near us bachelorette party . needless say , LOUD . complain someone quickly warn . tone 5 minute rev . call . management come pull 16 people room . unfortunately , remained manage loud . call people remove . security management involve . room compt manager personally apologize . quite embarrassed apologetic . satisfied even though lose couple hour sleep due problem . regardless , room clean comfortable bed . two priority . everyone come contact kind friendly . 's Starbuck , nice restaurant concierge desk helpful friendly . give we great advise place . also helpful car rental place ( Hertz ) site . rent car whenever leave San Francisco cheap rent need one ( daily ) parking car . great advise give hotel employee . the location hotel also ideal . 1 block away location could catch street car . Walgreen 's close , help forget many thing . course , middle shopping mecca . honestly , want leave . first time really feel comfortable hotel . can not wait go back hope anyone else stay wonderful experience exception bachelorette party . 
 Aug 3 2007 	 Love Marriott 	 room big confortable , view superb , staff helpful ; else ask ? book trough Priceline check late , 8:00pm ; therefore , though going give & quot ; left & quot ; room , surprised staff 's treatment . ask type bed room ( smoking ) want give we room 16th floor view Yerbabuena Gardens Metreon . overall great stay ! ! 
 Jul 28 2007 	 Great Choice 	 family four ( include 6 8 year old ) stay 5 day late July . positive experience . room clean service efficient unobtrusive . gym presently redone , equipment available carpet conference room 4th floor do August . pool great San Francisco hotel , large hot tub . hotel atrium restaurant actually pleasant surprise — the service quick , food good price comparable local place . find location hotel good , mainly due proximity excellent public transportation city . Whole Foods supermarket prepare food 3 block away ; cable car Union Square equally close . would strongly urge traveller familiarize public transportation go — we car feel need one . easily cheaply get attraction public transportation ( include inexpensive trip airport BART station half block hotel ) . example , take trolly bus ( # 30 46 work ) Giants game $ 4 4 we . & amp ; Park 7 block hotel . cab airport $ 35 tip . complaint part surround neighborhood little rough around edge , homeless people accustom similar area Philadelphia New York . never feel threaten , come surprise . overall , would definitely return . 
 Jul 26 2007 	 nice stay nice hotel excellent area 	 spend 3 might hotel , begin July 22 nice stay . we arrive location inform need go different area parking / check - in . make initial annoying experience good one fact personnel curb direct pre print map drive direction correct entrance . nice touch . check - in fine quick . bell service prompt friendly . park hotel outrageously expensive ( $ 49.02 night ) , convenient . proceed room 14th floor mid - rise tower . room well appoint , spacious clean . nice bathroom great flat screen tv . another excellent feature & quot ; wire room & quot ; concept . centralize station connect laptop , Ipod etc . listen Ipod flat screen much stay . we visit Starbucks lobby didi not use food outlet . gym currently transition locate banquet room . although location not ideal , equipment brand new top notch . temporary gripe . our problem stay first arrive room , sheet bed dirty rip . would expect see , single phone call need prompt action . service manager apologize excess , within 2 3 minute ( swear , place 1,500 room ) , housekeeping manager room . apologize offer something make modest inconvenience ( not take offer none truly need ) . promise housekeeper would momentarily change sheet within couple moment appear well . all pleasant stay . $ 140 night plus tax , think fair price nice , centrally locate property employee care experience . 
 Jul 25 2007 	 great central location especially 1st timer 	 go SF first time husband conference hold . get room $ 140 via priceline . hotel great location , heart downtown , close Chinatown step BART ( metro ) . little upset call tell we way get airport taxi ( $ 45 ) supershuttle ( $ 16 / pp ) nd take cab . turn , take metro ( way back ) $ 5 / pp . POWELL station block away hotel . the bed pillow amazing , like float cloud . actually look pillow brand get bedroom . coffee offer room really good . warning : park hotel $ 50 day try find alternative solution do not want spend much parking . TIP : internet $ 13 day room $ 4/15min busin ess center . right across street & quot ; Organic coffee & quot ; use computer lot cheap $ 5 day . someone tell SOny station across street free buti see . 
 Jul 20 2007 	 Excellent overprice 	 stay 8 night hotel . conference . great place , pricey , breakfast place impersonnal . room nice , clean , confortable think worth $ 250 night price tag . room service expensive average : order burger burn uneatable . location ideal though staff helpful may expect high stand hotel . sky bar fantastic well worth view feel pressurised keep order : 
 Jul 19 2007 	 Great Property - Great stay 	 great stay property . good room service , great breakfast restaurant . accomodate staff . 
 Jul 18 2007 	 good stay 	 three day stay business . got good rate $ 129 per night . nice clean spacious room , must upgrade recently - good standard furnishing , LCD tv HD channel . hotel location good , close Union square etc . would stay , helpful staff . 
 Jul 17 2007 	 Great Location Avoid Valet Hotel Parking ! ! ! 	 hotel excellent location . Union Square within walk distance Financial District Nob Hill . take cab Fisherman ' Wharf $ 15.00 Cable Car back Powell Street $ 5.00 . room clean bed comfortable . bad thing could say hotel Hotel Parking horrible . charge $ 49.00 day check Sunday like expect wait car hour . stay Hotel take BART drop Powell Street Terminal less 10 minute walk Hotel . 
 Jul 12 2007 	 Hotel First Class 	 stay Jun 28 July 3rd love ! location hotel excellent , especially SF before . you literally around corner Powell Underground Station catch MUNI BART train . alsoaround corner F line Ground Streetcars , also block Famous Cable Cars . located edge Financial District also stone throw Union Square . shop around hotel exceptional favourite like Macys right high end store like Cartier Neiman Marcus . staff hotel wonderful , pleasant , customer service orient helpful . concierge staff particulary helpful seem genuinely love thi city . lobby hotel always bustle , room floor always peaceful relaxed . room lovely large plasmatelevision great view City . bed wonderful housekeeping excellent . starbuck lobby like , well are2 house restaurant . 39th floor find & quot ; View & quot ; cocktail bar amazing view every angle city . worth look pic . I would hesitate stay . sure check hotel website deal ..... room rate $ 159.00 per night , normally $ 449.00this hotel wonderful ..... check . 
 Jul 12 2007 	 quite pleased except parking fee 	 enjoy prime location hotel plush amenity remodel room . rate $ 151 / night two weekend night . not enjoy view internal & quot ; courtryard & quot ; ( room low - rise portion hotel ) 4th floor - though ask low floor - nothing really complain about . one real bummer $ 49 / night ( incl tax ) valet parking . 's steep ' ve see , NYC otherwise . $ 100 Marriott gift certificate use - not think twice - would perhaps sway vote another trip ... 
 Jul 6 2007 	 first class accommodation 	 close 1500 room huge property . facility first class staff responsive cheerful . great place stay . good location . lot shop around plenty restaurant . cable - car around corner Market St. ' also find F train , Muni BART . word , transportation option want right around corner . way , use transit system ( excl BART ) plan town three day , get three - day pass $ 18.ask helpful concierge service restaurant recommendation even make reservation . highly recommend family - run italian restaurant short walk away call Pazzia . ' small make reservation . my room good quite small . bed comfortable . the interconnect connection require ethernet cable claim charge $ 12.95 / day right connect , opinion money - grab . need , see get internet connection throw room rate . the bathroom small . anyone Marriott reading review , please pass hotel manager would good idea one towel hook bathroom wet towel . certain go towel would , place hang dry . word , towel rack would actually pay term reduce laundry cost . the fitness facility currently renovation equipment locate temporary conference room . say , equipment brand new fantastic . even well tv connection cardio equipment properly instal . overall great place stay . safe travel - thedonk 
 Jul 4 2007 	 great hotel great location ! 	 beat location hotel . BART ride airport . BART stop literally outside door hotel . next huge mall great gourmet fast food . Beard Papa behind hotel get yummy cream puff . easy walk Union Square , China Town , etc .. staff professional courteous . get attitude room book via Priceline Hitlon . naturally bit apprehensive . well wrong ! check lady could enough accomodate need ! ! ! shock ! room overlooks bay bridge . Room immaculate ! housekeeping staff good . offer turn service nightly good chocolate ! ! ! last night , give chocolate beautiful post card . hated pay internet minor issue . stay hotel heartbeat ! 
 Jul 1 2007 	 nice stay housekeeping issue 	 stay last week business . nice business hotel . quiet , comfortable room , great plasma tv , negative experience stay ... check , bathroom obviously clean well , hair previous guest floor . bath towel hole . sheet bed probably need update large mattress . fit sheet never fit entire 5 night stay . one nice thing business office provide 20 complimentary page / fax . drawback $ 4.00 per 15 minute internet charge . alternatively , $ 14 per day unliimite room . ' ve never quite understand moderate price hotel frequently offer free internet . high end hotel routinely charge it . the shoe shine guy extremely nice great job shoe . highly recommend he . in summary , nice stay . would return without hesitation . 
 Jun 19 2007 	 Wonderful Marriott Great Location 	 Located Fouth Street right market near Powell Street Cable Car turnaround could not well location . car need ' ve park . guess downside , valet $ 49 per night , worth price security . hotel extremely comfortable service great . room spacious relaxing . 
 Jun 18 2007 	 Way Cool ! ! 	 go SF raider , steeler game . hotel nice ! great view window bridge . would stay . 
 Jun 9 2007 	 enjoyable stay SF Marriott 	 recently stay San Franciso Marriott business , would recommend hotel without hesitation other seek nice hotel reasonable cost . hotel within 10 - minute walk Union Square , $ 10 taxi ride Fisherman 's Wharf . check - in quick courteous , request high floor city view honor . Marriott Rewards profile indicate prefer refrigerator , person check - in offer one deliver , particular room one . decline , think nice offer . the room comfortable . long desk along window wall , glorious view Bay Bridge . large , flat screen tv nice touch . hard - wire internet connection work well log - in instruction easy follow . sleep well bed comfortable outside noise minimum . my negative comment room safety deposit box . available front desk , yet would much rather one room . my business associate seek concierge advice place dine receive wonderful advice . lunch Sushi Boat , near Union Square , dinner McCormick & amp ; Schmick 's . latter , concierge suggest arrive early dinner , seated wait . visitor desire hotel close Union Square and/or tourist attraction might think hotel somewhat inconvenient -- fact , make wrong turn walk back Union Square , find way courtesy map provide concierge . still , would certainly stay . 
 Jun 4 2007 	 recommend 	 arrive check room use previous guest . seem surprised move we immediately clean room . bell staff jump ( literally ) get luggage politely decline help three occasion . still come drag away us process make we trip send luggage fly . fight amongst get guest first get tip rude intrusive . seem happen States believe gratutitie guest discretion . believe reward good service . also believe job provide service guest service ( good ) reward . want take luggage able without feel want tip opening door smile . one concierge answer outside call middle talking . room adequate without fridge . bed comfortable . housekeeping turn air conditioning leave window open . sense ? ! location good . staff appear disintereste lack common customer service skill . must stay advise : park . charge $ 50 night plus tax can not take car bring back day without charge another $ 50 . Park one public car park close significantly cheap ( 5th mission garden ) 
 Jun 4 2007 	 Nice Hotel Great Location 	 find stay San Francisco Marriott good experience . front desk staff courteous . lobby , hall , elevator , room keep high standard . room stay ( two bed , view ) comfortably accommodate two people , two would fit need . bed comfortable , LCD tv nice touch . ( bad Discovery come HD ! ) view lounge top floor stellar . pool hot tub bustle people , good cross section hotel guest latter -- child senior . ( pool almost entirely use child . ) also , in - lobby snack shop handy not feel like walk nearby Walgreens candy bar . there five thing make visit 4 - star experience 5 - star experience : 1 . tv channel guide provide . 2 . window excessively dirty . 3 . free wi - fi internet access available . 4 . water pipe vibrate slightly wall many people take shower . 5 . personal touch , complimentary coffee lobby mint pillow . I would suggest hotel other . fact , friend stay . San Francisco Marriott handy location Bay Area local : since hotel south Market , one will not get stuck crowd around Union Square drive walk to / from BART Muni . hustle bustle couple minute away ! 
 Jun 3 2007 	 good great 	 Stayed builder 's convention .... nice bed , good location . . oh , starbuck downstairs .... besides hote charm must locate near fire station hear siren lot use stay Grand Hyatt street Stockton . stay threw party Presidential Suite company room poorly decorate straight 1980 's movie . outdate poor use space . stay city want great hotel , go Hotel Vitale . way worth money ! ! ! ! 
 May 31 2007 	 nice 	 excellent convention / business hotel . convenient . great location overall . room clean spacious . nice flat screen Tvs . good fitness facility pool area . overall , satisfied stay . ' ve stay Grand Hyatt Mandarin Oriental SF Marriott much nice Grand Hyatt really much inferior Mandarin half price . 
 may 30 2007 	 lot action nearby hotel 	 nice bed ! stay Hyatt trip , bed noticably well . location excellent popular Union Square , Moscone Center Yurba Buena facility . lobby nothing special window terribly dirty . otherwise , room nice amenity staff friendly . 
 May 24 2007 	 Convenient Moscone Center 	 hotel convenient stay attend Moscone Center ' short walk . hotel really nice complaint ever . room wide - screen tv bed really comfortable . time also love fact hotel within walk distance ton shop . hotel serve Starbuck 
 May 21 2007 	 wonderful vacation 	 great vacation ! stay hotel daughter , conference . staff friendly knowlegdable surround area . great room service . 
 May 12 2007 	 Typical Marriott good location 	 San Francisco Marriott great choice attend convention Moscone . block away , 's relief walk far spend whole day foot convention . it standard , full - service Marriott . bed comfortable room okay size downtown . overall , not leave overwhelming impression one way , sad really want impressed hotel . service good bellman especially helpful . room service typical Marriott menu . yet , ' m frustrated charge internet service . there several good restaurant close , movie theatre across street . Whole Foods Market block away want get nice snack . would probably stay convenience sake close convention center . however , stay San Fran reason , Fairmont Palace would first choice . 
 May 9 2007 	 Great Location ! 	 location perfect concierge get anywhere easily . give direction take bus daughter Golden Gate Park . simple cost $ 2.50 way . the room average . ask close elevator get room behind elevator . elevator make noise pass not awful . distant swooshing sound might disturb other . view average , Marriott reward elite member hope well , especially since room & quot ; deal & quot ; .The room update linen 's rather small luggage rack suitcase . ' m crazy decor , look like Target . silver mirror lamp rather dull . tv large flat screen not think mini - bar not that . the lobby busy service front desk walk bell captian plesant . sport bar hotel OK . table service week , order bar sit . Plenty tv 's food adequate . 
 Apr 28 2007 	 Good Location quality 	 pick hotel want something reliable good location . not disapointe . right next good shopping mall Downtown ( Bloomingdale's / Nordstom 's ) 1 block Powel St cable car Union Sq . hotel well maintain room well equip , mini - bar fridge . wide - screen hd television good selection channel . not great view could see bay bridge building ( 29th floor ) . room common area well decorate clean . view lounge 39th floor well worth visit . bad thing say want use decent swimming pool either change toilet pay $ 5 health club , think free web site . 
 Apr 25 2007 	 complaint 	 stay wife 's conference Moscone Center . start negative hotel ... not really accept look quiet place stay . b / c hotel close convetion center get busy loud common area ( room ) . well maybe another negative parking expensive parking garage across street . hotel great : good service house keep front desk . room clearn , large comfortable bed working area . the location close shopping , convetion center , Cal Train , BART trolley line . the fitness center one well use hotel . get three large room plenty good equipment . also pool , not use . 
 Apr 24 2007 	 Stale odor 	 check - in quick , valet quick , room clean nice view ( corner , 25th floor ) non - smoking room musty stale odor . $ 350 / not , smell nothing . 30 minute check go across street Palomar , accommodate without reservation , $ 199 / nt room odor whatsoever . Palomar also quiet , low key boutique hotel , whereas Marriott overcrowd . 
 Apr 7 2007 	 helpful - even Priceline Customers 	 ' ve book Marriott via Priceline 100 $ per night contact hotel afterwards via email ask 2 double bed . three hour later get answer reservation number guarantee 2 double bed . think 's great service . ' m look forward stay september . 
 Mar 31 2007 	 beware priceline guest ! 	 expect poor front desk attitude book priceline . not stay hotel yet base phone room request guess will not high expectation , manage fine without expect service . room priceline $ 89 night , steal right ? would complain already ? well excited , right reservation confirm , call hotel directly room request eventhough trip SF still 4 month away . Priceline state special request room contact hotel directly , . never ever treat low hotel ' ve stay . review read guess lot people book hotel priceline feel way ? ' m really fussy staying hotel , request room 2 queen/2 double bed maybe refridgerator since ' m still breastpumpe . lady speak ( Georgia ) refuse let make special request keep state book room Priceline ( not right make special request , happy even get room hotel bargain ) also not want even let know type room will . feeling frustated contact Priceline take care . first time book hotel Priceline . really recomend Priceline customer satisfaction profesionalism recomend hotel even good deal . write another review SF trip . 
 Mar 22 2007 	 Great Location SF 	 hotel huge ! fairly nice . people polite . lobby big . carpet little date make hallway smell little funny . , everything great . room bed wonderful . sheet bed soft comfortable . be much well bed home . hotel great location heart downtown . be across street SONY Metreon Moscone Center . 's also block Union Square . be 1.5 block BART . also take BART SFO ( airport ) . plenty shopping resaurant surround area . 's 3 block famous 7 story Nordstrom 's . be also free internet . take bus Fisherman 's Wharf . Valet parking little expensive not get car , not . overall , would recommend place anyone ! 
 Mar 20 2007 	 Great Location 	 Marriott Rewards member , husband accrue point stay Marriott Courtyard hotel , recently decide use point free night SF Marriott . visit family see sight there . marriott treat reward customer like royalty . stand line check ; room upgrade extra charge whenever available ; service kind outstanding . room corner gorgeous view city peek Bay building . king - sized bed second comfortable ' ve ever sleep ( good Zagreb , Croatia -- bit far go good night 's sleep ! ) . linen smooth fresh . room temperature perfect , although hotel locate middle one busy area city , quiet ! bar top excellent view city , although drink price bite high , one also pay view good service . dine hotel evening . I disappoint two thing : buffet breakfast , contain excellent variety dish , cold . especially can not stand cold scramble egg , cool room temperature . meat french toast not much warm . the shock ( San Francisco , realize ) $ 50 per day parking fee . wow ! prepare $ 25 $ 30 , bit much . highly recommend hotel , however , stand parking fee . might want walk street & quot ; Sears Fine Food & quot ; ( affiliate dept . store ) pancakes breakfast one bakery nearby . 
 Mar 14 2007 	 Great Hotel SFO 	 visit friend San Francisco stay Marriott . first amazed size hotel seem convention headquarters . check - in request nice size room city view be exactly receive . staff hotel friendly always ask anything could . location perfect look central location everything San Francisco offer . 
 Feb 14 2007 	 great hotel great location 	 Hotel great . nothing fault room pretty large city hotel . the reception service good cookie wait reception check ! hotel extremely busy almost 24 hour day mainly excellent location . literally 3 minute walk Union Square . I would return SF Marriott second think . forget check amazing view bar top floor ! ! 
 Feb 2 2007 	 Poor Hotel 	 many thing wrong hotel hard find positive apart location bed . the concierge singularly unhelpful four occasion consult advice reservation ; restaurant appallingly manage - ask take ticket stand line behind 20 guest one morning breakfast . complain tell uncertain term use & quot ; Starbucks & quot ; lobby ! maid service perfunctory say least ; old newspaper remove daily room remain untidy even service . fact one day service box leave room remain three day ! service & quot ; View & quot ; terrible surly barman grudgingly provide & quot ; service & quot ; be . this big , characterless total impersonal hotel . seem attract business traveller 's easy access local conference centre seem incapable excercise kind discretion tact & quot ; business & quot ; public area . avoid unless desperate . 
 Feb 1 2007 	 Marriott ashamed 	 attend large conference San Francisco Marriott January 2007 . attend alot large conference , many experience compare . two dreadful thing hotel . first fact four people group report blood stain room . either floor bedsheet . official report make security . know many & quot ; stains & quot ; find report . second abomination food . every single meal , buffet formal banquet horrible . eat restaurant order room service , can not speak . two glaring negative , hotel mediocre . 's big benefit location near Union Square . second floor bar area nice , bartender friendly . room wear old - look . mini - bar , safe , robe , nice amenity . ' ve stay many hotel downtown San Fran would certainly consider return SF Marriott . 
 Jan 19 2007 	 Terrific Hotel 	 return awesome trip SanFrancisco . Marriott Fisherman 's Wharf terrific Hotel . arrive Hotel 11 expect leave luggage Bellman check - in time . warmly welcome give room immediately . everyone Marriott friendly helpful . would highly recommend hotel 's clean room , friendly staff , location service . 
 Jan 18 2007 	 simply issue - great Stay ! 	 travel City per year weekend get - a - way . book Marriott priceline $ 90 per night expect bad ( seem many hotel treat priceline purchaser second - class citizen . ) experience entirely positive . arrive 9:00 a.m. Saturday room already ready . king bed ask provide comfortable . room nothing amazing , large clean bathroom . staff friendly helpful time . the hotel locate South Market quick walk Union Square , North Beach nearby museum . would not hestiate recommend Marriott . pay $ 300 per night , might happy , priceline rate steal . 
 Jan 5 2007 	 nice stay SF Marriott 	 stay SF Marriott Dec. 30 wonderful experience . room clean , bed comfortable , room brightly light . hotel room bright enough read even light . SF Marriott problem . location close many major attraction . valet staff helpful . look forward stay SF Marriott ! 
 Jan 3 2007 	 thank room change ! ! 	 wife stay Marriott Downtown December 30 31st . first night room adjacent early New Years Partyers . keep think noise would stop call security . next day voice concern front desk promptly give another room another floor . question hesitation ( sure hotel computer show we Priceline guest ..... mention except apology inconvienience ) . New Years Eve night great .. thank management making stay First Rate ! 
 Jan 1 2007 	 one favorite ! 	 wonderful location SoMa , across Yerba Buena park , close moscone meeting , near Union Square SF Centre shopping , 2 block Powell St cablecar terminus Halliday Plaza BART . little & quot ; convention - y & quot ; perk make thisService excellent , room immaculate would nice in - room coffee free internet 
 Dec 27 2006 	 real dissappointment 	 ' ve stay SF Marriott ( & quot ; Jukebox & quot ; ) previously without complaint time really bad . check extremely slow . carpet not vacuum room , slimy substance nightstand bathroom nasty look stuff tile floor . be bad , bed sharp little feather poke sheet poke we night give level room 's overall cleanliness , wonder sheet last change . we call front desk discover room condition immediately , apologize say would send housekeeping right away . go & quot ; night town & quot ; . upon return find chocolate pillow nothing clean . time quite late go bed . we normally stay Marriott 's nationally internationally , typically 12 - 15 night year . bad experience ' ve anywhere . 
 Dec 11 2006 	 Good Stay 	 ' ve return three night stay Mariott . staff helpful always smile . room bathroom clean bed comfortable . room size , though somewhat small , typical size would get major city . bar 37th floor offer magnificent view city well worth ride elevator . hotel great location . near shopping center , 10 minute walk China Town , short walk cable car , around corner SF muesum modern art . hotel great place buisness pleasure . 
 Nov 13 2006 	 Awesome Place 	 book room Priceline.com get beautiful room $ 125 night Friday Saturday . everything everyone valet service housekeeping fantastic . valet full information extremely kind . bellboy awesome . front desk people go way help we . room clean , newly - renovate , extremely comfortable . bed die . drawback park $ 49 night hotel . valet recommend park street Mission Fifth Garage ... park whole weekend $ 46 . hotel close shopping , close Powell / Market cable car stop , within footstep world 's good restaurant . even breakfast buffet hotel great . would stay day ! ! ! ! 
 Nov 2 2006 	 busy place ! 	 come away several impression three - night stay . first , Marriott bustle busy place . lot covention traffic . vacation , lobby vibrant center activitiy . yet floor room , great place unwind relax . love oversized desk overlook San Francisco skyline . complaint room . breakfast buffet could ask . hotel location close good shopping transportation tourist attractiion . staff friendly helpful . visit lounge 37th floor offer great view , although bit crowded enjoy drink . can not fault popular . really business / conference hotel probably gear typical tourist . nonetheless , satisfied accomodation location Marriott . need . 
 Oct 29 2006 	 great time 	 get excellent rate Priceline Marriott . husband stay three night . although Marriott lack ambiance character small boutique hotel , hit everything else right head . customer service great . promptly check smile . request king room view grant without question . bag bring we room , spacious clean . bathroom large , new , spotless . shower great always hot water . full sized iron ironing board room . bed soft , thick featherbed top mattress . bed probably one comfortable ' ve ever sleep far hotel go . not want leave bed morning ! hotel 's location also superb . 4th Market , right middle shopping district . entrance bart / muni literally right outside hotel . bus , cable car , street car right intersection take anywhere city . brand new upscale mall right across hotel make exciting shopping . bar top hotel 39th floor . husband go one night see view , beautiful . bar tall floor ceiling window . unable drink bar crowd . in summary , hotel great . clean , employee always smile helpful , nice spacious room soft bed . one complaint : pay internet access . hotel magnitude free room wireless service , especially number business traveler accommodate . 
 Oct 24 2006 	 great bar ; great hotel ; great city 	 staff , facility , location AAA . SF - Cool place , cool people . SF - f ever get bore USA , detach continent come Europe ? must resident however . must travel pair . one must travel khaki two piece . Darth Vader outfit . go top floor bar opening time , whilst empty , re - enact light sabre scene Empire Strikes back . seriously , great bar . great great bar . travel five month old boy ( also jedi ) feel welcome . 
 Oct 16 2006 	 Genuine rip - off 	 partner stay hotel book priceline , feel be treat & quot ; low tier & quot ; human . complaint , clerk front desk make point remind we book room priceline , make we feel belittle unworthy staying establishment . complaint clerk register we charge $ 100 card , unbeknownst we . front desk manager , although apologetic polite , state would call bank reverse charge . next day promise we make call . never , bank verify call ever make . tell bold faced lie right face . manager ! front desk personnel contact really need attitude adjustment and/or severe refresher course good customer service . unless pay full price one room , expect less great customer service . location room so - so , previous poster say , try gouge money every turn . coffee pot room , , 4 - star hotel , give . $ 13 / day internet ; hotel ' ve stay offer free Wi - Fi . alcohol bring ; say 's law ( although not find anywhere online ) , even though serve lounge restaurant charge exorbiant price . 
