Great 	 clean , great service location . close cable car turnabout shop . stay Studio suit travel family free breakfast promotion beat . negative & quot ; private & quot ; toilet room bathroom pretty standard staying suite . kid love ride glass elevator 19th floor location . 
 Oct 3 2006 	 Excellent stay JW Union Square 	 stay JW Marriott downtown San Francisco 3 night Sept . location hotel perfect , 4 block BART station , midst Union Square lot chain shop also boutique , great restaurant , theatre least one nightclub . new Bloomingdales open couple block away week visit . lobby reception area nice . room nice size ( double double ) , large bathroom tub separate shower . furniture carpet room need update sole complaint hotel . bed comfortable , window open , a / c incredibly quiet . front desk , doorman , housekeeping staff friendly courteous . turn service nice touch . 
 oct 2 2006 	 Great Weekend 	 stay September 21 - 24th . use BART airport walk 4 block property Powell Street Station . discover great central location good value price ( compare property area ) .quick , friendly check - in ( true experience staff - friendly , gracious , helpful , respectful , knowledgeable observant ) . room service quickly deliver first night . room clean daily maid service excellent , though agree previous post room show minor sign wear tear ( scuff mark , start peel wallpaper , etc ) ; also , mattress & quot ; pillow & quot ; seem bit worn nearly comfortable Marriotts ' ve stay , adequate important enough report management . otherwise , room spacious enough two we prepare day morning comfortable enough stretch evening . loved bathroom setup ( not watch much tv though ) .We get nightcap & amp ; dessert one evening exposure hotel 's food & amp ; drink offering . Service previously mention standard delicious bread pudding satisifed wife 's craving sweet . to accomodate late afternoon flight home ask receive extra hour check ( 1 pm ) . generally nice experience . 
 Sep 18 2006 	 Marriott 's first Five Star hotel San Francisco 	 last April , Marriott take previous Pan Pacific Hotel , luxury hotel corner Marsh Post street one block away Union Square . choicest location opinion . stay Pan Pacific think fine , already ... 5 month , Marriott show deft touch improve property . greet front desk full smile , room immaculate valet service turn service . breakfast good hotel breakfast ever doorman garage attendant could not accomodate friendly , absolute hit we already big improvement . Marriott two hotel property Fisherman 's Wharf . first luxury property City San Fran . proud alreadyarroyo Grande , CA 
 Sep 10 2006 	 Nice Hotel 	 stay JW Marriott Sept. 4 - 8th mom . book hotel Priceline $ 90 night exceptional deal consider room go $ 200 plus night . gracious enough accomodate room request 2 double non - smoking ( although hotel schedule go non - smoking end week anyways ) . also give late check - out ( 2pm instead noon ) .The room nice . bed extremely comfortable , bathroom nice , although would forgone large sink tub roomy shower second sink . ( 2 woman get ready morning , second vanity always nice ) . shower pretty small hard maneuver . water pressure okay . tv bathroom nice touch . room always clean return night turndown service available night . call front desk first morning trouble hairdryer . someone door new one minute . although request always pretty simple mostly direction orient , concierge extremely nice always happy help smile . seem like hotel suit business traveler , work fine tourist well . would recommend hotel . several starbuck within block radius - 's 2 block Union Square Powell Cable Car turnaround , near lot shopping . 
 Sep 7 2006 	 Great Location JW 	 stay JW San Fran 3 night . really enjoy . chain hotel , feel luxurious personal way . check extremely gracious . book travelzoo , rate good ( 160 / night ) trevalezoo web site say mention upgrade posiibility check . upgrade city view room . nice room update new carpeting new decorate etc . hate see non - view room view average .... least could see ocean hill distance . also building right next we . huge comfy . bathrooom behold ... marble marble marble . seperate shower treat , bu tub would need change ... look place beautifull bathroom . small television well . room plasma gateway ... nice indeed . my complaint bout housekeeping . think understaffed . call thing ( stain Pillow sham ) time take forever service come . opinion , acceptable hotel claim 5star ... right ? bar area nice , 3 oversized fireplace ... plan order unless wan make feel place want read fire ..... strange service approach ! love Sanfrancisco JW great , central place visit ! 
 Aug 25 2006 	 Perfect stay ! 	 fantastic location ! could not happy JW Marriott experience . stay 3 night girlfriend celebrate anniversary . we arrive early Thursday allow early check - in also upgrade . check - in ask doorman breakfast recommendation hotel towncar drop we Dottie 's true Blue Cafe . get back room , vivian front desk bottle Merlot handwritten card congratulate we . the JW good choice we ! 
 Aug 14 2006 	 okay need serious update 	 book reservation expect & quot ; JW Marriott & quot ; brand flagship Marriott chain , example high end hotel . case . general , hotel look like touch since 1980 's . cheesy brass mirror fixture everywhere . marque great hotel well small detail address . case , carpet wear dirty , baseboard trim room scuff dirty , wall mark . $ 12.95 per day internet access HORRIBLY slow , mini bar room never refill . time major renovation hotel . service standpoint , staff terriffic ! people encounter great job take care we , really anticipate need . service issue . , hotel worth stay , long not pay $ 170 night . 
 Aug 13 2006 	 enjoy stay 	 decide choose JW Marriott base review read TripAdvisor . glad rely review . wonderful experience . hotel great location , one block Union Square . service wonderful . concierge probably well ever hotel . knowledgeable always able provide assistance . room perfect . comfortable bed . view city day . happy opted car city rely public transportation cost parking bit high $ 42 per day . I would definitely recommend hotel . get great price Travelzoo special . 
 Aug 10 2006 	 Great Hotel ! ! 	 stay Marriott 4 night San Francisco . check staff friendly impressed room . view , spend much time room anyway . bed extremely comfortable , almost feel home great extra pillow room . bathroom amazing , tub incredible relax every day . television bathroom add bonus soak tub . read many review lot people happy flat screen television , think great - much well hotel . get amazing deal hotel . wait week leave find Travelzoo half price website . location perfect . block Union Square many different restaurant walk . rental car , give back early since would use city . walk everywhere take taxi need . recommendation breakfast Cafe Mason , incredible croissant french toast Sears around corner pancake . staff extremely friendly help anything need . I definitely recommend hotel anyone go San Francisco can not wait go back ! ! good suggestion anyone travel San Francisco pick guide book next newspaper street corner , great map , also discount restaurant attraction . 
 Aug 7 2006 	 may one well hotel area .... 	 ... base travel experience , give property 3 star . grant , first trip SF , return AWESOME experience Renaissance Lodge Sonoma . high expectation base posting TripAdvisor , sorry say single one meet . it true encounter real problem JW , however , discourage follow : - one staff management acknowledge special occasion celebrating , note reservation . hotel stay trip offer room upgrade , coupon special service , even simple & quot ; congratulation . & quot ; - room small , strangely shape , lot waste space , poor view ventilation , non - functioning air conditioner.- yes , bathroom huge many modern amenity , 's flimy slide door ? - staff enter room offer quick knock enter instead give opportunity actually respond.- pastry cart , coffee shop , gift shop hotel -- simply high - end restaurant not look like place need eat.-strange 1 - cup coffee maker.-outrageous $ 47 parking fee.- bore date art - deco decor.- young inexperienced staff member . definitely feel indifference employee . like say , 1st time SF maybe hold city 's standard 4 - star lodging , not hold mine . will not back . 
 Aug 6 2006 	 nice hotel 	 stay hotel 3 night . arrive Sunday night long flight London UK . taxi driver know hotel , full address . seem hotel recently change Pan Pacific JW Marriott . maybe tip pr people Marriott include taxi driver publicity campaign ! room quality bed could better . location great . one block Union Square close theatre . meal hotel although food high standard find restaurant little atmosphere . restaurant locate main lobby totally open . seem much business mostly empty eat past . hotel could good coffeeshop . 
 Aug 1 2006 	 Lovely Hotel . 	 stay JW Marriott last night holiday treat ! rest trip ( include Vancouver , Seattle , San Francisco previous weekend , Yosemite Santa Cruz ) budget decide blow budget last night catch two flight home follow day take 20hour total . hotel lovely . worth every one $ 249 pay . arrive 1 pm check 3 hour early normal check time not even mention we check . room book available checking give well room fine we . ( imagine room would slightly big maybe couch something ! ) well open door room get shock . give suite huge ! bed could sleep 6 people big ( super comfortable ) ! seperate dressing room , huge bath room ton space . ice cake fabulous holiday . staff hotel lovely . friendly face time . use valet parking hotel find fantastic . bit novelty use valet parking common come ! hotel one black Union square great . eat resturant look nice . drink bar plesant . overall would hesitation reccommende JW Marriott San Francisco would stay . 
 Jul 28 2006 	 delightful ! great location ! 	 book JW per tripadvisor review . travel child ( 7 8 ) inlaw . hotel spotless - particularly bathroom ! decor lovely staff really wonderful ! eat breakfast hotel nice ( 1/2 price kid ) , not eat meal . location could not beat - well stay right Union Square , congested - right around corner ! one caveat , atrium design - bar lobby 3rd floor - room 6th floor . Saturday night loud due roudy bar crew - call front desk noise quickly die . sleep lightly - higher well . rental car tip - hotel contract Hertz - Budget close hotel 1/2 price Hertz ... GREAT HOTEL ! ! ! ! great experience ! ! ! ! 
 May 29 2006 	 Preferred Hotel San Francisco 	 ' ve stay JW Marriott , start Pan Pacific many , many time last several year . business . 's centrally locate downtown SF ( block Union Square ) . be large enough amenity want business traveler ( decent room service , reliable , in - room high - speed internet ( $ 9.95 / day ; though hotel often waive without ask ) comfortable bed bathroom . good desk chair work . fitness room mcuh well youraverage hotel fitness facility -- equipment , well - miantaine , cheerful ( dingy basement . ) little intimate big , glitzier hotel . I like decor , modern , Asian - inlfuence do gentle , warm neutral palette . understand staff , however , renovate begin July 2006 like Marriott 's . hope not ruin 's charm . however , begin need renovation , may bad thing . the staff friendly unpretentious ; efficient without over - present . want fawn , might want spend stay Four Seasons Ritz - Carleton Fairmont . always like little low - key , still elegant . if ike upper end mid - range , something little intimate without short amenity , great choice . to see Marriott . last stay May , essentially . 
 may 26 2006 	 Nice Hotel 	 actually stay JW Marriott right . vacation schedule end Sunday , want get fresh mind . the hotel nice hotel . however , must agree previous poster say little dark drab . think asian theme . beautifully decorate JWs one Atlanta one Cancun Mexico . even though case , still decorate nicely . this like hotelstaff : upon arrival upgrade executive level corner room . everyone housekeeping staff concierge helpful . staff always offer help . room : , not particularly care whole cream , brown , black decor , room large comfortable bed . say appear furniture could use change table room multitude scrache chest outside bathroom . Room Service : food exactly order good . course room service expensive , ( breakfast 2 $ 40 ! ) really good . location : hotel close everything . go see play Lorraine Hansbury Theatre walk 1 block hotel ..... sweet ! Union Square 2 block away Chinatown 5 block away . also 1 block street car line take close Fisherman 's warf . the Bathroom : great ! ! ! ! towel nice product hand good too . cleanliness : entire hotel spotless . what disliked .... Small LCD tv - tv small large room . although clear , still hard see . not matter tv bathroom , main tv large enough see . Decor : like say early . like color scheme . make hotel dark . need color . know 's asian theme , hotel want known JW Marriott Pan Pacific , decor change . the robe : come on . never see JW waffle robe . robe need deep , plush , soft , long terry robe . little robe barely cover big woman . overall , JW Marriott nice hotel would stay . especially since get military rate $ 130 per night great ! . 
 may 20 2006 	 Mediocre 	 eager try new San Francisco JW Marriott ( formerly Pan Pacific ) great experience JWs worldwide . overall , stay mediocre expectation . LIKED .... * comfortable bed -- comparable quality comfort Westin Four Seasons bed . blow away Marriott 's standard fare , even new revive bed * excellent bathroom -- separate shower / bath , good lighting , lot amenity * hotel car -- available almost every time need taxi . save boatload money , though not like remind & quot ; take care driver & quot ; time use * great location -- awesome shopping , attraction , restaurant surround hotel every direction * friendly staff -- staff encounter ( housekeeping , front desk , bell desk , room service ) friendly disliked .... * construction noise - start every morning 6 - 8am . avoid room face Post Mason Street enjoy sleep . stay instead back corner hotel , though even will hear bit noise due JW 's horrible window . annoying ! * Small LCD tv - standard room come 23 & quot ; Gateway LCD TV , ridiculously small give size room table sit . can not so - call & quot ; luxury & quot ; hotel afford 26 & quot ; 32 & quot ; unit ? * mediocre service - check smoking room request nonsmoking . next day work , hotel move nonsmoking room without warn neglect move half luggage . lock old room visit front desk figure happen . good intent , horrible execution * dull decor -- interior atrium bit dark drab . Marriott really need freshen designoverall , JW Marriott way go compete top hotel San Francisco . ' ve recently stay Omni , Fairmont , Four Seasons , Mandarin , prefer JW ( though admittedly latter two different league ) . 
 Apr 17 2006 	 Loved Pan Pacific ! 	 April 8 - April 12th , fiance travel San Francisco . stay Pan Pacific hotel locate near Union Square . absolutely perfect never stay anywhere else visit San Francisco . bit pricey , totally worth . concierge valet friendly anything . lose cell phone first day call airport shuttle airport track phone . eventually phone return cab driver deliver valet hotel , hold return dinner . 21 floor , stay 20th floor . room large , bed extremely comfortable , bathroom amazing ! beautiful bathroom robe , small television , big mirror , telephone , large tub separate shower . also personal butler simply press button . butler bring we sugar salt food , 10 extra hanger , extra towel , even give we bath bead / salt bath . hotel staff member expert San Francisco . every question , lot , staff prompt reply . supply us map , direction , recommendation . even stop taxi we , wipe seat make sure wet since rain lot . every time want go eat concierge recommend great place . hotel 's restaurant great breakfast also -- even though bit pricey , BEST San Francisco . one day rent car , hotel set we . car Hertz , literally right across street luxurious -a 2006 Toyota Avalon everything . name two con : flat screen tv could well picture would like hotel pool ( even though access one fee ) .It great , not want leave hotel , love visit ! thank everyone Pan Pacific make stay San Francisco remarkable ! 
 Apr 7 2006 	 Pampered Pan Pacific 	 thoroughly enjoy two - night stay Pan Pacific . get low on - line rate $ 179 / night , really bargain class hotel city . lobby attractive , large , interesting sculpture , seat area next modern fireplace , bar look like good place quiet drink . restaurant look bit sterile . eat , can not comment food . room modern hotel arrange around central empty space look balcony lobby watch glass , pod - like elevator go . room look much like room picture another traveler 's candid photo one hotel 's website . bathroom luxurious attractive , separate tub marble shower stall . hairdryer usual one make people want bring anyway . turbo type . jacuzzi shower massage , luxury hotel may . complimentary toiletry nice include shampoo / conditioner , shower gel , lotion . room street , view room another hotel ( close though ) , quiet . room off - white color attractive art . turn - down service include chocolate , ice - fill ice bucket , lay robe ( ) bed , turn soft jazz radio -- nice come home . complimentary & quot ; USA Today & quot ; deliver morning . mattress inner - spring type cover fill - type mattress topper . sheet smell really fresh , lot comfy , large pillow . furniture nice , piece sustain nick -- perhaps luggage vacuuming . carpet handsome . desk chair ergonomic type . room separate bathroom closet small hallway . agree traveler in - room coffee . in - room coffee always bad , think maybe nice hotel would figure way make drinkable . also , real cup , paper . would recommend hotel romantic get - away -- especially get good , on - line deal . location fantastic . 
 Feb 11 2006 	 Welcome Suprise ! 	 usual guest Ritz Carlton Fairmont , choose Pan Pacific time spending weekend want near Union Square . rate excellent decide try .. wonderful surprise ! location superb , room huge well lay . service excellent unobtrusive . mostly business unlike previous reviewer , problem internet access , layout room feel comfortable working . ability walk everywhere huge draw staff always friendly helpful . soft good room renovation may order mostly , problem . agree mini - bar selection upgrade well bright bathroom light -room service offering could also great us & quot ; chain computer . & quot ; definitely stay Pan Pacific , look forward ! 
 Feb 6 2006 	 excellent -- quiet clean friendly 	 Stayed hotel one night . Checkin quick give we upgrade room , tell meant & quot ; big bathroom & quot ; . hotel new classy inside room feel private nice quiet . bed extremely comfortable . upon exit hotel go dinner tell bellboy need taxi offer we hotel towncar -- free service , & quot ; tip driver & quot ; . nice touch . all positive 4 * experience good location San Francisco would definitely stay . 
 Feb 2 2006 	 great location 	 spend long weekend Pan Pacific business . 2nd time stay location ( first time primarily deal find travelzoo ) . hotel ' ve visit SF , one favorite , because:1 ) location -- be less one block Union Square , close enough pop Saks far enough not walk right tourist crowd . 2 ) service -- amazing . man valet park ( $ 40 / d privilege , competetive reasonable area ) , concierge , room service , everyone please . always greet name call anywhere botel . server restaurant remember like breakfast . problem room safe service tech 5 minute . 3 ) clean -- room bathroom . little touch like crown molding ceiling add nice touch.4 ) price -- much affordable Four Seasons even Westin , not feel like ' m miss anything . even minibar affordable . the cons:1 ) storage space room . one little bureau . 2 ) business traveler , be nowhere hotel really eat well , good restaurant SF block away . also , charge internet printer use high . 
 Jan 26 2006 	 2nd Time Charm 	 stay last July ( see review ) horrible experience . get home , go hotel 's website much surprise , list manager department include contact information . contact Director Room Operations explain experience ( via email ) . hat Jim Bolinger ( Director Room Operations ) quick follow - up sincere concern experience . reply email within day , apologize profusely experience offer we gift certificate free night 's stay . type service lack many establishment . hotel , lucky get general information phone number send corporate call center , hotel , contact information manager list right hotel 's website . during return visit , check - in flawless reception person quite friendly . room spotless extremely comfortable ( though ' m still sure people need large room vacation big city , event ) . horror previous stay erase restful night 's sleep . the Concierge offer we spot suggestion place hear live Blues music . send we Biscuits Blues , block half away . music great food delicious ! Concierge 's recommendation breakfast follow morning good . I ' m glad go back give Pan Pacific another try . delighted experience plan make hotel choice quick & quot ; big city & quot ; getaway . 
 Jan 24 2006 	 check ! 	 husband Boston travel quite extensively . go San Francisco Christmas spend time daughter . end stay month . ' ve always want stay Pan Pacific , not really want spend much money , especially extend stay . call reservation manager ask cosideration base length stay payment front . accomodate . Loved ! stay many hotel San Francisco ( budget boutique fancy ) worth every cent . go thier way make stay comfortable possible . bellman super courteous helpful , concierge could not enough , Michelle Bar girl great , Christine , THANK . home away home . room good size , bed - super plush comfy , bathroom large , marble , tv 'S . even regular price , get pay get lot expect . would suggest Pan Pacific anytime ! 
 Jan 19 2006 	 nice business traveler 	 stay hotel 10 day business , overall nice . amazing view city especially gorgeous night . however , construction roof build next door tend detract - mention wake bright early despite late work hour . the problem impression business - orient hotel . . assistant computer problem , whop 49 cent minute use business center . even decent budget , way beyond reasonable range leave we stuck could get new computer . internet access expensive , wireless available room . be chain desk . also , even ' ve pay $ 10 / day in - room access , still pay additional $ 10 per day want use wireless lobby . parking budget - breaker $ 42 plus tax per day , expect . not expect long would take get car . even call , often 20 - 30 minute . , lose car make we late important meeting . finally , in - room coffee terrible get two packet . luckily , be great little coffeehouse door . not count late - night caffeine kick available be work presentation . honor bar choice awful , nothing healthy nowhere get quick munchie . this would nice place stay fun , expect basic business amenity , not let comfy office chair advertise fool . will work efficiently basic Courtyard . 
 Jan 10 2006 	 good Value ! 	 back Pan Pacific San Francisco pretty hard like . quick review : location : Excellent - Union Square - one block away handy everything downtown . room : furnishing excellent quality - excellent bed ( new well launder ) - upgrade Mattress - extra long tub - bathroom exceed expectation - Room come two robe rather standard 1.Butler service - ' use it . car service - excellent - use 4 time dinner transportation - everyone polite ' receive resistance ask use it . concierge : excellent . good dinner recommendation within price range / service expectation cuisine preference . also able get short notice reservation Garry Danko ( AAA 5 diamond restaurant ) .Front Desk - polite efficientmaid service - unobtrusive efficientvalue - $ 200 + night service level $ 150 night rate . Noise - San Francisco fairly loud - la Manhattan . 15th floor room quite . final thought - Pan Pacific attractive hotel architectural standpoint . however room impeccably clean ; excellently furnish staff competent . quite reasonably price . food recommendation : Garry Danko - 5 star cuisine $ 200 + range 2rue lepic - near Pan Pacific - french home style cooking - standard Bistro fare - $ 70 2afternoon Tea - Neiman Marcus Rotunda Room - $ 50 2.breakfast - Sears Fine Foods Union Square - excellent portion - really well prepared - good menu - two block Pan Pacific . 
 Jan 4 2006 	 Fantastic Hotel 	 recently choose Pan Pacific destination two night celebrate anniversary . extensive research area many hotel choice , choose Pan Pacific receive great deal internet . pleasantly surprise extremely happy choice . upgrade high floor explain anniversary . welcome large room extensive view city , along complimentary plate fruit , cheese , cracker . room spotless bathroom beautifully decorate marble , mirror , even television watch soak tub ! time return hotel walk , greet & quot ; welcome back & quot ; morning greet & quot ; Good morning & quot ; smile face . staff ( especially guest registration desk doorman ) great we , doorman even remember name . also provide complimentary car service ( certain hour ) , driver great recommend restaurant we . like work excess calorie ingest vacation , hotel nice gym 3 television , water , complimentary fruit snack . overall , great stay Pan Pacific definitely make hotel choice visit city . 
 Dec 29 2005 	 mixed feeling 	 husband get back San Francisco . stay 2 night . high expectation hotel since family stay many many time Pan Pacific around world always experience first class service . good : - assign room disable , therefore , shower tub promise . ask reassign nice man check we previously able reassign we another room tub . friendly accomodate . - room nice .. spacious . Liked design . - bed comfortable . lot extra fluffy pillow . - perfect location . one block Union Square . close enough walk shopping area , smack middle crowd . - love big bathroom . small tv bathroom nice touch . love take bath watch favorite sitcom time . bad : - & quot ; doormen & quot ; unfriendly . even ever say hello smile we walk . fact , one time husband say hello ignore even though clearly look we . - another bad experience unfriendly & quot ; doormen . & quot ; tell hotel provide car service . ask doorman car would take we Japantown . start laugh condesendingly say , & quot ; be 15 block here . & quot ; simple & quot ; & quot ; would . - check , nice man mention mention take advantage butler draw bath guest . sound nice , think , . , get room , request buttler draw bath . first , butler lady puzzle request ( check , list one service provide guest ) . come room , ask would . give bowl bath salt leave . not mind , advertise service deliver . end , could rate hotel 3 5 . maybe employee need class & quot ; Customer Service . & quot ; 
 Dec 28 2005 	 one good hotel experience ' ve ever ! 	 pleasure stay Pan Pacific San Francisco three night , include Christmas Eve Christmas day . prior arrival , already call two time confirm type room would would arrive late night . upon check - in , upgrade Jr. Suite ( King bed , pull sofa , huge bathroom ) , double room full . person front desk extremely helpful pleasant give we call 30 minute late make sure everything room okay . room quite large , corner large window side . 11th floor , view not spectacular , could see bit Union Square hustle bustle San Francisco Streets . during stay seek service concierge couple different time , always meet prompt friendly service , include help we find place open around city Christmas day . also help we check - in flight print boarding pass . employee hotel encounter extremely helpful , friendly polite . room service food quite good , prompt abundant reasonable rate ( room service ) . bed extremely comfortable . able check late 2 p.m. departure day . overall , great hotel experience ! 
 Dec 22 2005 	 big room ambivalent service poor plasma tv 	 two - night stay early December 2005 . service level , unfortunately , depend greatly individual employee encounter . check standard room non - working tv two double bed ( ' m 6 - 4 . ) return desk 11:35 pm , luggage tow , say , & quot ; will try - tv will not turn either remote button TV . & quot ; without look give eye contact , clerk say & quot ; will engineering go bit . & quot ; 11:35 pm . answer expect look ; certainly apology empathy . , escalate & quot ; well , give ' m 6 - 4 , would prefer king bed anyway , let us go ahead try another room . & quot ; clerk 's response : & quot ; not king room leave . & quot ; say flat tone voice , still without eye contact . lucky , clerk originally check ( good hospitality ) come moment recover nicely clerk , immediately place PP call & quot ; junior suite & quot ; actually large corner room king bed . if Pan Pacific property remind Hyatt , vertical interior atrium room arrangement , 's 's Portman pre - hyatt design . lot thick wall , thick marble , thick circle . room large reasonable , date . bathroom generous & quot ; Family Affair / Buffy / Jody & quot ; decor - much almond / beige , include fixture . tv room far small , standard - definition signal come , result too - soft , smeared picture . this hotel stay view city . additional snarky service experience hotel bar concierge . colleague ask concierge tape secure box . without look , employee rummage drawer , produce roll plastic tape , place counter , go back paperwork . class hotel , one expect least & quot ; certainly sir , go ; & quot ; & quot ; would like secure ? need send anywhere ? & quot ; evidently beyond comprehension employee . 
 Dec 18 2005 	 great find 	 stay Pan Pacific 5 night Thanksgiving research tripadvisor . get great deal superior room Expedia . it be great hotel room lovely big . location fabulous , 2 minute walk Union square hustle bustle downtown . concierge fantastic secure us table wonderful restaurant celebration . I think hotel high rating , excellent value money . 
 Dec 5 2005 	 Excellent 	 another great choice base TA review . the location -- Union Square -- ideal . walk Chinatown , BART , cable car ( must ) , shopping , soma , restaurant . area west bit seedy nite , perspective downtown SF safest - seem big city ' ve US . hotel also complimentary town car -- take CalTran station -- idea much push it . from outside nothing special upper lobby ( base atrium ) sort impressive modernist sculpture nice ( pricey ) bar . plenty irish pub area . notice one reviewer pan restaurant . serve right . within block great indonesian place , Morton 's , wonderful taqueria , good Chinese outside China . anyone travel bit attest : loser EAT HOTEL ! room clean , bright , large enough , large immaculate marble bathroom separate shower bath . service efficient , though mysteriously stingy replenish soap . PP really first - rate business hotel work great vacation , though nothing particularly charming , romantic historic . be SF business probably find something close financial district / Embarcadero cost thing nite . highly recommend . 
 Dec 2 2005 	 absolutely love hotel 	 stay Pan Pacific 4 night , amazing time . arrive hotel around 2 am long flight New York small child , manager desk friendly , get upgrade suite even though pay double room . get room notice one king size bed , call desk right away bring roll - away bed son , take 5 minute . great stay , staff friendly helpful . room clean , bed comfortable . think lunch hotel restaurant menu not good bit pricey . plenty good restaurant around , check Cheesecake Factory nearby ( Macy 's ) . would definitely recommend hotel stay next time ' m San Francisco . 
 Dec 2 2005 	 Peachy Pan Pacific 	 wonderful two night stay Pan Pacific . wife use wheelchair room , room book traditional accessible - type , call make reservation , concierge maintainence go measure bathroom door opening make sure would work she . this kind service make stay enjoyable . room 18th floor spacious , clean , night - time quiet despite block Union Square . Kudos Pan Pacific . back . Jim Myers 
 Nov 30 2005 	 dine restaurant 	 dinner restaurant food wassimply awful ! ( regular food - japanese style ) inform head waiter disappoint food . could say wasthat sorry.when get back home send letter Pan Pacific Hotel San Francisco . letter Customer Relations one Hotel Management one Restaurant Manager far have't hear . 
 Nov 28 2005 	 great hotel great location 	 stay Pan Pacific four night weekend prior Thanksgiving . stay Superior room . superior room comfortable spacious enough keep feel claustrophobic . loveseat side chair addition desk area great , especially relax end day prior go bed . the bathroom clean modern . book room Expedia problem entire stay . book Deluxe room one night visit friend live outside city , though room noticeably small superior room , ( couch side chair Deluxe room ) , nice , clean spacious bathroom . I would recommend Pan Pacific anyone travel San Francisco area . 
 Nov 28 2005 	 great stay Pan Pacific 	 partner return 4 - night stay prior Thanksgiving overall , really enjoy stay . although stand reservation Prescott across street ( stay year ago love ) decide give Pan Pacific try see special web promotion offer superior king room $ 129 / nt + tx . disappointed ! first , Pan 's location excellent . 's stone 's throw Union Square , situate far enough square 's traffic noise crowd sidewalk . be also short walk Market St. , Chinatown North Beach make great base operation SF vacation ( people love see town foot ! ) 8th floor room decent view Mason & amp ; post intersection comfortable well appoint . feature include exceptionally large bathroom , separate dressing area , tastefully decorate bedroom . enjoy three phone Herman Miller desk chair , good room 's ultra - comfy pillow - top bed . would put right & quot ; heavenly bed & quot ; feature Pan 's competitor ( e.g . starwood property like W Westin ) . sleep really , really well trip ( often case ) give lot credit bed ! front desk , bell hop , personal butler service available floor , service consistently professional , warm friendly . speak butler service , butler encounter prompt , friendly gracious . service unique welcome feature hotel , little surprised learn be also way obtain ice room . would nice also offer guest do - it - yourself option ice , rather summon help time . ring butler , wait phone call back clarification , follow wait doorbell knock , awkwardness whether tip time ... well ... seem like many hoop jump ( many minute wait ) simple bucket ice . clarify much complaint , observation/ suggestion . please - not let little ice delivery issue keep check fine hotel ... summary , Pan Pacific 's prime location , friendly staff , tasteful room design ( well - represent web site ) comfy bed add great stay . would gladly return ! 
 Nov 21 2005 	 Pan Pacific San Francisco stay early - November 2005 	 husband stay hotel recent visit San Francisco . idea expect tremendously pleased decision . 's main reason : location : excellent . literally couple minute walk Union Square wonderful shopping possibility ( e.g . Macys , Neiman Marcus , Saks , etc ) . also close public transport stop , tram sub - way stop . walk everywhere : Fisherman 's Wharf , Market Street , Embarcadero , North Beach .. etc . food : Zagat - rate restaurant in - house . Expensive delicious . pay around usd 35 , Caesar Salad 2 hot chocolate . service : friendly non - intrusive . room comfort : superior - room spacious clean comfortable king - sized bed . get deal internet site usd 153 per night incl . taxis . fitness room : range fitness equipment available ( cross - trainer , treadmill , bike , weight , machine ) 24 - hour . 
 Nov 6 2005 	 large room 	 book room Expedia $ 194 per night . stay 2 night . parking expensive catch ride city catch Bart city . Bart convenient long luggage not large heavy . room large 2 closet , robe , desk ergonomic chair great , LCD television screen , Bose radio , couch , coffee maker , king size bed , bathroom lot counter space pedestal sink , Gilchrist Soames toiletry , hair dryer , tub , shower stall mold visible look good . corner room quiet . butler button need one , staff seem nice helpful . also safe state fit computer . think location great ! hotel close union square , market street , shop . probably would stay would want pay less . 
 Oct 24 2005 	 Disappointing 	 really go downhill since last visit year ago . seem like magic disappear . room ok eventhough try pretty hard get good view- not happen . hall carpet wet wash floor- much ambience . parking rip . concierge match level other similiar hotel . probably spend little stay elsewhere next time around . 
 Oct 21 2005 	 good 	 major complaint . room large clean , well appoint . minor beef color scheme bathroom- kind ugly peachy / cream color . go basic white . nice stall shower well bathtub . good water pressure , plush plenitful towel , nice robe anywhere.decent city view . nice LCD tv , albeit little small . ( must acquire bottom fall flat panel price ) .very nice workout area new equipment.the staff decent enough , occasionally indifferent doorman . butler concept do not quite get , see , whatever , I m sure work me.even though block union square , reason still feel bit remove . perhaps particular neighborhood bit shabby.overall excellent hotel , professionally run . decent choice . 
 Oct 14 2005 	 great location San Francisco 	 impress Pan Pacific . great location , close transport , shop good restaurant . huge hotel not feel impersonal , service swift friendly time . get good deal Expedia feel great value money - would definitely go back visit San Francisco again . PS : though ' ve hear much mention ' construction ' see hear . 
 Oct 5 2005 	 nice 	 nice experience hotel . book line thru discounter dissapointe lack view .. price pay worth ! one gripe pay close $ 8 print plane boarding pass thru business center . felt free feature hotel class . highly recommend hotel location , amenity luxury ( Bathroom incredible ) ! ! 
 Sep 23 2005 	 get butler regardless room choice ! ! ! 	 warmly welcome , check really fast give guide tour room . huge room must add cheap one net $ 170 . big cosy bed , flatscreen tv , Bose radio , tv bathroom whilst soak bath , huge vanity area , seperate shower great water pressure , bathroom scale see many pound gain trip ! ! last least every room button call personal butler every whim . say use everything already provide you . right union square , 5 min walk BART / MUNI , right trolley car line , courtesy house car take wherever wish downtown ....... excellent hotel . also 3 minute walk 643 Post St GREAT Thai Restaurant call Ar Roi . give Mortons Steakhouse direction miss though . 
