MGM 	 beautiful room , great view , close much fun , include much need Walgreens & amp ; CVS Pharmacy . Nathans awesome & quot ; fast & quot ; food . pool gorgeous . Television City fun . casino crowd cool . negative free amenity ; mini - fridge , coffee pot , essential family . otherwise fantastic ! 
 Great Hotel ! 	 hotel great ! busy , always treat like value . bed extra comfy , show KA David Copperfield MGM see ! like MGM something every time day . great pool , huge casino , lot show , lion habitat , amazing ! would stay ! 
 good family 	 not come gambling nightlife , come chill end long road trip . although Vegas mad hard work find hotel relax pool complex fantastic . hotel 's location great low end strip monorail back bus stop front - would not bother monorail time ' ve walk back hotel could bus away strip . grand tower room ( clean v comfortable ) 29 , bit daunt first worthwhile view great get free wifi skyloft . 6yr old daughter love pool , ( sleep ) lion , Rainforest Cafe , New York fairy castle across road , good bellagio fountain 20 minute strip . 
 Grand 	 first trip Vegas book MGM high hope - take we around 30 min get check . seem enough front desk staff handle volume people come through . when get room disappointment - firstly smell damp ( possible Nevada ? ) . one kid immediately need restroom report back toilet clean . room miss coffee maker fridge old tube tv - feel 10 - 15 date . pay Internet $ 15 / night seem steep quite low speed . the Grand buffet disappointment breakfast - carbo heavy offering little fresh fruit cereal - display counter top cooking station clean several week judge thick layer dust . also poor Sudio Cafe breakfast - Denny 's quality $ 30 per head . the casino however one well play week . we stay 2 night happy move strip venetian order magnitude well . go somewhere else well money ................ 
 MGM good 	 First hotel huge ! something like 6,000 room . good part ton thing hotel without ever leave . , leave , right middle everything . highly recommend Ticketbooth block street . get ticket Cher $ 60 ! hotel , room nice bed comfy . stay regular room time try West Wing . not bother spend $ upgrade . room small bathroom room - door , shower next sink toliet . strange . regular room much well , large view ( West Wing bed window ) . third time MGM would stay . use trip advisor get great deal $ 25 day activity credit along $ 70 night rate . far good rate internet . thank trip advisor ! 
 watch wallet ! 	 MGM blatant corporate edifice . want coffee ? starbuck available , least 5 . catch movie ? nope . . eat reasonably ? ha ! really joke . free WIFI ? yes ... $ 14.95 / day . the whole experience depress . take 45 minute check . afraid take long , could check time . stay away MGM . 
 great stay 	 Awesome hotel / casino .... absolutely monumental size great value money . casino look far great rounder . superb food shopping , really friendly staff nicely present room 
 hotel meet Las Vegas requirement ! 	 glad book MGM 5 day Vegas . staff accommodate check check , room clean beautiful view . bed extremely comfortable . restaurant range plush plush special section McDonalds Nathans want something simple . starbuck add also . its also great place gamble good location . 
 Las Vegas MGM Grand 	 Top Notch Hotel ! please accomodation ! 
 Great Service - Lotsa Fun 	 thoroughly enjoy stay MGM . take lot walk around get bearing , moment arrive , impressed . massive hotel benefit Cirque , shop dining right doorstep . one thing , prepare cost dine one many restaurant within hotel . delicious , expensive dinner seablue . great bar plenty slot . would return . 
 Sep 29 2009 	 many choice well one 	 although room nice , amenity cheap , bring Shampoo ! ! room service breakfast expensive buffet restaurant terrible . try number thing buffet , one thing worst next . casino floor reek smoke . service poor . People would put meal tray outside room tray would day . 
 Sep 29 2009 	 not believe negative grand ! ! 	 stay West Wing wife week book read ( show ) negative review TripAdvisor . not believe ! West Wing room certainly big suite stay NYNY last year enough 7 night stay . anyone complain size room clearly spend much time room , bring many suit case live ranch . agree large enough 2 people plenty space everything need include luggage content , well gear buy outlet mall mile away . yes , glass door shower toilet heavily frost even see shadow ! bed massive perfect . complaint find pillow soft - two pillow case fix ! Lets get negative way:1 . hotel massive set large expanse . unfortunately pool ( & amp ; restaurant ) West Wing either side expanse course go to walk two . head pool throw t - shirt loose dress swimming gear will fine . expect 10 minute walk time get two trust , be worth . many lovely pool load choose . think director pool allow kid , good want bit quiet time . LOADS fun head Lazy Pool - hundred yard wind heaven , power underwater current mean float take easy - swim current bit exercise . literally negative include ( partiality ) room key not work get room . not bother much tbh happen many hotel around world certainly limit MGM Grand . reception fix immediately even say happen call would come up . some choice positive : wife manage lose key room also card room number . one staff reception sort within minute extremely friendly . buffet excellent , although fair never see buffet Vegas choice quality food amazing . cleaning staff leave room immaculate every day . perfect location - plenty good hotel around monorail right back door . so many fantastic restaurant - would recommend Pearl ( chinese ) SeaBlue ( seafood ) - awesome . there many positive can not list want add article counter negative room specifically , especially size location ! ! side note , bit fin , hit Bills Gambling Saloon - think might small scale casino leave main strip . 
 Sep 29 2009 	 everything big include room ! 	 stay four night complaint . room big - 2 queen sized bed view New York New York Excaliber great fun watch Strip since next within walk distance main hotel . room maid bit obcessive think , every day toiletry straighten couple day even tuck toothbrush flannel ( not ask ! ) . downside big felt bit impersonal guess be pick fault lack other . oh , get chance , book walk tour Grand Canyon Grand Adventure , definatly highlight trip . 
 Sep 29 2009 	 Loved MGM 	 love stay MGM Grand . check hte airport good idea , pretty quick , even though woman answer we not nice . i'ts big hotel , take time get be want go know way 's bad . room 15th floor grand tower . great view Excalibur NYNY . room clean spacious comfortable bed . grand pool complex amazing , lot fun spend time , especially lazy river . eat food court fiew time . eat studio cafe Rainforest cafe , witch be great . deli OK , Fiamma 's awful . 4 us bad meal really expensive . not go . spend 10 day MGM great experience . staff meet be nice polite . like casino atmosphere poker room , lion habitat great , even see 2 cub one morning . deuce stop right front hotel Monorail station right MGM , even hotel south endof strip , be really easy travel strip . centrifuge good place quiet drink . want snack drink buy elsewhere expensive hotel . 's wallgreen 5 minute MGM . great stay recommend hotel everyone 
 Sep 29 2009 	 great value great time ! ! 	 Husband stay MGM Grand Grand Tower room 12th floor September 21 , 2008 , September 24 , 2008 , Vegas wedding . Vegas four previous occasion . week time none problem people complain loud noise , much drunken activity , dirty room , lack lounge chair pool . check - in , try upgrade room slip check - in person $ 20 ' take normal room decent view strip ( roof building ) . room clean bed comfortable . end extra person room sleep couch call housekeeping 3 show within 10 minute pillow blanket . really impress especially give size hotel fact middle night . complaint would mirror room -- bathroom – several girl trying get ready wedding difficult everyone get ready time . pool area fabulous take advantage drink special . also see " Ka " phenomenal . word describe . like lot think probably like " " well see last trip . eat Wolfgang Puck restaurant . food great overprice Vegas , yummy . also bachelorette party Tabu Monday night super helpful nice . problem MGM ' location strip . ' usually wear sensible shoe girlfriend take lot cab ' big deal . spend one day Premium Outlets really good upscale shopping . rip wifi $ 14.99 day . pleasantly surprise MGM Grand would stay – especially give low price pay room . 
 Sep 28 2009 	 Nice Hotel Great amenity ......... 	 stay 5 night , probably long Vegas . great place kid hotel fine . little bit date , good location pool good child , even though bit warm . the hotel everything need , lot restaurant facility . HIGHLY RECOMMEND japanese restaurant . great staff fantastic food , wish find early would eaten every night ! ! ! ! 
 Sep 28 2009 	 possibly stay 	 friend ( 21 ) stay MGM 1st 4th Sept , get que quite long wait excited Vegas do not mind people might ? check good woman polite helpful . its huge hotel u easily get lose spent hour look around see much would need mini map hehe . our room lovely great view 17th floor quite well view ! bed comfortable do not want get ! Bathroom clean everyday fresh towel , bed make everyday aswell . its locate south end want walk end see everything spend day , people say can not walk one end quite time say 21 do not find problem heat etc . would stay think next time go may stay north / central end experience otherside more . all mgm good place stay , depend much walking want LOT ! : ) 
 Sep 27 2009 	 love MGM Grand 	 fiance stay MGM five night Septmber 13th 18th . wonderful time . second time MGM first . memeber player club get great deal . room 49.00 night worth . room clean , spacious . MGM big miss whole floor last time come ! ! ! want chill relax stay hotel enjoy amentie offer . Cirque Du Soleil show KA theater wonderful . also , lion exhibit nice . staff nice helpful . even though line long check , big deal nice . 's hotel 's employee people want stay . MGM vacation spot visit Las Vegas . recommend hotel anyone consider travel Las Vegas . 
 Sep 27 2009 	 would stay heartbeat ! 	 okay ' ve read review compalin walk , yes , big hotel , seriously be much walking . anyone walk daily basis nothing , be probably people use drive everywhere time complain . room great , stay main tower , bed sooo comfy ! shower pressure little hard really nitpick , 's thing notice whole time stay . casino great ! ! ! find lucky one strip , buffet die ! dessert alone amazing , sugar free dessert well , carrot cake fav ! hotel great location strip , go July get awesome deal rate top choice come back ! ! ! 
 Sep 27 2009 	 good great 	 back five night stay . stay grand tower & amp ; view new york new york . happy enough room . big & amp ; couch , big bathroom & amp ; lovely king - size bed . location south - end trip & amp ; return las vegas - would go somewhere central . use monorail involve lot walk 5 $ one way- quite expensive . cost we 20 $ go strip . use deuce get stick traffic . hotel load restaurant & amp ; bar etc . starbuck expensive san francisco annoyed bit . everything expensive & amp ; time felt really rip . casino quite dark & amp ; smoky spend much time walk get anywhere ! pool area nice also . get drink available . 
 Sep 27 2009 	 good hotel excellent value 	 stay MGM Grand 5 night September . booked expedia get fantastic deal ! read negative review not sure expect however hotel not disappoint ! check - in quick employee friendly . room clean spacious . the bed extremely comfortable ! ! housekeeping service fantastic , would go pool every morning 1 pm room always clean time return . problem elevator , read review long wait elevator though would usually take stair option . pool amazing , 4 5 swimming pool ample seating , spend time lazy river awesome . drink pool extremely expensive , would reccomend buy something food court bringing . first time Vegas location not ideal . boyfriend active not think would matter much location hotel strip MGM Grand bit far . lot show see Tresure Island around area probably 40 min walk get . next time would stay bit central strip . complaint ! 
 Sep 26 2009 	 HUGE Place lot love every moment 's complain ? ? ? ? 	 wife stay September 21 - 25 celebrate 5 year anniversary 1st time Vegas . read review little skeptical .... seriously heck problem people ? ? ? ? ? love hotel . huge , sign everywhere always smile hotel face point right direction . clean staff constantly clean day long . even see guy vacuum damn ceiling 6:00am . pool area amazing . room clean everything work nicely . buffet one day good value . would recommend hotel anyone heartbeat . kudo staff make trip enjoyable , guess hotel size go get one 2 bad apple like complain . 
 Sep 26 2009 	 complaint would stay MGM Grand 	 visit start bad note stand line check - in forever hotel clerk try sell Primo deal customer front we , totally ignore line form front . finally get counter , hotel clerk say would upgrade room high floor , sure know annoy long wait next line . think wrong MGM require reservation clerk try sell expensive add - on package check - in line . enjoy rest stay hotel . staff always greet we go job , hotel huge , clear sign indicate want go . casino much alive kind people activity go day night . bed comfortable shower good water pressure . everything work room , would nice coffee / hot water machine pay internet service , something almost unheard today . internet $ 15 day - choose use laptop carry Vegas happy . also , carpet room wear dirty . nice brillant white bedding , dingy carpet . overall , experience MGM good one would stay , quit charge internet . 
 Sep 25 2009 	 absolutely brilliant 	 really nice hotel . big difficult find way around sign around keep look up . the room really nice , air conditioning good really need hot . location end strip monorail want stay street . quite expensive bar around hotel . like sport gambling area place bet sporting activity . shopping mall lot takeaway food ice cream bar . also load designer shop that . I like hotel good accommodation least quite long walk get round everywhere . 
 Sep 25 2009 	 will not stay 	 MGM large good service . upgrade celebrity spa suite long charge $ 500 room , would not problem , put spa suite ajoining room could next door shout scream night . next day ask move suite ajoine room much well . hotel tired need uplift . queue check awful also complain make inquire etc , personal service . room clean , whole hotel smokey . pool area crowd many drunk people around . trump much well stay MGM . 
 Sep 25 2009 	 2nd favorite 	 friend stay hotel couple time always great stay . greet bellman take care 20 + bag lol . give nice room view back . bed comforter soft bed . room movie MGM texture . nicely decorate . issue light AC front send people right away take care situation . pool amazing . lazy river . float kinds expensive share one day work . waterfall couple pool well . many great resturant choose . buffet great brunch .. yummy ! lion sometimes little cub see . u want see great show see KA love would see . 
 Sep 24 2009 	 MGM Grand ! disappoint poor service 	 really look forward spend honeymoon Vegas high expectation MGM Grand seriously disappoint . hotel huge although impressed overall size grandure hotel , room stay really basic , outdated need minor repair . room not even basic thing like tea / coffee maker fridge , ' ve stay 3 star hotel luxurious ! surprised people able smoke throughout hotel casino anything add make place feel like stick 80s/90s ! customer service MGM Grand worst ever experience America . think due size hotel staff not time friendly offer personal service . first hotel ' ve stay long time offer complimentary WIFI ( $ 15 24hrs ) seriously annoying . on positive note pool facility impressive food hotel restaurant good ( despite long slow queue poor service ) .I would certainly stay MGM Grand recommend ! 
 Sep 24 2009 	 honeymoon hotel ! ! ! 	 well mgm certainly live name . massive . hotel clean well air condition always lively matter time day . room clean bathroom well equip . criticism would hot drink facility room personally like cuppa get bed without trek mile get one . although 3 starbuck site ! restaurant always full menu look good , little expensive budget plus vegi choice good else . would strongly reccommend Denny 's near Harrahs , although one build MGM . onsite nightclub always queue get guest list start mid afternoon . do not venture way honeymoon catch site sound vegas . handy location travel along strip , wih monorail also bus stop outside . do not expece extras mgm grand . travel honeymoon even get congratulation . seem mgms policy pack em ship em . lack personal touch apparent hotel . go back vegas would head venetian . 
 Sep 22 2009 	 would absolutely reccomend hotel stay . 	 stay spa suite get great rate . try check early room available . still room 3 complain give we credit choice restaurant . negative , casino clean fun , food eat good , staff friendly helpful . go back March ' 10 folk 50th stay MGM , west wing . like MGM much ! 
 Sep 22 2009 	 average experience . 	 take long time check line up front desk . unlike hotel strip , decor spectacular . could spend enjoyable hour look around hotel , like could New York , New York Monte Carlo ( example ) . room clean quiet . someone smoke pot room , inhale whenever walk room . notice second night complain next day . front desk person offer give we new room , one night leave not feel like move . say would send security get stop smoke pot , nothing change . pool really nice , open 11:00 a.m. 7:00 p.m. walk casino get pool , buffet , arena everything else . imagine hotel Vegas like , casino MGM Grand big , feel like walk forever . we feel money pay , worth . 
 Sep 22 2009 	 GREAT DEAL MGM 	 stay Febuary come Nascar know expect . check - in breeze room package book explain us print give include . pay $ 69 per night include day buffet 2 poolside cocktail . find buffet offer decent selection 2 day never get ' bored ' offer , find breakfast excellent especially enjoy corn beef hash ! ! ! . never bother lunch can not comment ( rate cheap not even matter whether eat ! ! ) room ( large ) good condition time view Hooters airport - say enjoy strip view early year ! ! someone leave safe locked get room call get someone fix , within 15 min secruity arrive problem sort ( can not figure whether people think funny leave safe lock whether plain stupid , either way FUNNY ) problem sink drain slowly , never complain problem first night note leave maintainence advise problem fix - great service . a special note cleaning - find maid service one good Vegas . we find drink hard come trip find slot quite tight . not use pool restaurant time know great . food court handy also . after 2 great night bellagio 5 night - fantastic well worth extra get good deal . think MGM good value strip moment , even offer we free 4 night stay October check player card on - line upon arrive home ! ! ! ! think twice year enough Brit ( would go can not afford ) good luck MGM 
 Sep 22 2009 	 Fun stay good service .. 	 book room MGM birthday vacation Vegas . get pretty good promotion deal website include slot play credit , complimentary access Studio 54 tabu , free spa access fee well . check around 5 pm , pull car valet lane . bellman take key notice ton luggage , ask need cart help load everything . try get attention several time , finally run call someone help . people line check hotel arrive , staff member sorting line ' mess . get desk , front desk agent seem annoyed , previous guest ' reservation could find - prompt guest get angry finally walk business center print confirmation . agent little rude find celebrate birthday . proceed offer PRIMA card deal . politely decline , continue tell perk include VIP / comp access 2 club inside hotel etc . ( package already include access club , even line go ) , say ' interested . , try convince need since birthday could use hotel . finally annoy , tell ' planning use $ 500 property short stay . point , seem annoyed answered rest question short answer , look stupid ask receive credit come package book . assign last room end long hall . customer service definitely need improvement , front desk least . seem every guest line problem complain something screw . hand , thing really like hotel . Fat Tuesdays downstairs plus , love send boyfriend morning Starbucks food court hotel . casino fun , nice atmosphere . buy 24 hr . monorail pass , leave hotel convenient . bed comfy , nice duvet cover . eat italian restaurant Fiamma , pretty good - staff great . overall , good trip ' think hotel staff meet customer service expectation . 
 Sep 21 2009 	 great locqation stuf service pool ! ! ! 	 stay 2 night good hotel trip ! clean , room cozy large . bed comfortable sheet soft . hotel many shop , restaurant , good pool . 's great young people child . definitely suggest hotel stay Las Vegas . 
 Sep 21 2009 	 GOOD 	 travel two night partner 14th-16th Sept . could not fault MGM - use airport check - in noone que excellent . my Grand Tower room clean spacious excellent view . ( bed die comfy ) . Bathroom everything need . Food & amp ; drink - eat food court breakfast go explore . Drank Central Bar ( can not remeber name ) good fun dancing bar etc etc many choice Bars Resturants will not dissapointe . pool excellent clean big shortage sun bed , image place avoid weekend . all people age stay hotel cater big will not get bored . enjoy stay would reccomend anyone . 
 Sep 20 2009 	 well expect good experience would stay 	 stay two night 7th 8th September . got grand tower room 16th floor . ( 16 - 211 ) decline upgrade check . check take lot people check . check 4.20pm lot staff . take ( always end slow line ) . apprehensive room read tripadvisor exceed expectation . clean , date , large enough 4 people , minor flaw nothing affect we . partial view strip towards planet Hollywood hotel stratosphere across city . quite nice actually sit end day look . buzz place lot people downstairs . bar good . walk strip visit every hotel far Venetian . think MGM people buzz . not get chance use pool facility look great . Mandelay Bay Luxor relatively dead comparison . long walk Venetian , take mono rail stop MGM . not go gamble see sight , not go show . read long walk room not think bad half way along wing tower . big map useful first day . I would stay . well experience anticipate . 
 Sep 20 2009 	 Fabulous can not wait return 	 many friend Vegas vary preference hotel stay boyfriend stay decide MGM one . MGM superb number levels.1- Location strip supber monorail stop hotel , walk walkway New York New York short walk Monte Carlo , Bellagio , Paris many more2- well large choice restaurant hotels3- Tabu really cool bar / club Studio 54 also pretty good4- probably good bed , pillow duvet ever ! sleep much sleep heavenone point would like suggest hire car , something would thought drive San Francisco real bonus car would def . get see much car self parking car park hotel free ( unusual city ) hire car drive Red Rock Canyon 20 - 30min drive fantastic view . Vegas much offer gambling go back certainly would stay MGM everything need , lovely bedroom , great choice restaurant , great position stip amazing breakfast Grand Buffet $ 16 inc tax per person amazing food set day . hotel lovely MGM price one excellent value money . Vegas also nice staff . 
 Sep 20 2009 	 oh upgrade room ? 	 total waste money upgrade West Wing room instead standard Grand Tower room . room tiny , window tiny view obscure another building outside . initial request high floor totally ignore . problem initially room:1 . light shower do not work . maintenance come fix , leave plaster debris lie base shower . 2 . recent repair blind tiny window . part leave window sill remain entire trip.3 . STUPID system light . whenever housekeeping try get room , room light come . nice heavy night night want hour extra bed.4 . corridor shortcut casino . God help people unfortunate stay ground floor . 5 . cheap room far nice West Wing room . corridor dark , seem dirty weird smell . 6 . segregate bathroom . round corner sleeping area hide modesty 2 glass door . 7 . lift old , dirty tv screen do not work . hotel go standard seriously past couple year although staff world would anything help . stay , recommend dont upgrade West Wing . however ideal location reasonable . 
 Sep 19 2009 	 Great Value Money ... 	 return back Las Vegas , stay MGM Grand . overall hotel great location end strip . arrive give room new west wing ground floor . room small small window stay 6 night type room would pleasent . ask move main part hotel , problem . make sure take map hotel first arrive , due size . great value money would return . 
 Sep 19 2009 	 worth every penny 	 MGM Grand . we stay MGM 27 August 30 August standard room could fault thing . room immaculate contain everything need stay . pool superb brown hot Vegas sun casino one good strip . great location get strip monorail depart MGM . one night eat Nobhill Tavern honestly say good meal two week stay US food quality & amp ; service quite simply good get . worth every penny . 
 Sep 19 2009 	 Clean quiet 	 get back Las Vegas . stay MGM - west wing . worth every penny . check breeze . get resort 11am figured would wait get room arrive early . ! even though line check huge line people check line move quickly efficiently ... even reduce staff hand . book give room early big bonus . Maid service fantastic . clean / quiet room comfortable king bed . large selection resteraunt decent buffet . nice pool bar service . make sure take advantage spa little pricey hey , everything strip ! bring lot cash fun . 
 Sep 18 2009 	 Disappointing Service ! perspective hotel manager . 	 trip book US Airways Vacations find great deal website . four couple four room separate flight . two couple arrive early day . arrive MGM Saturday , September 12th 2009 around 2:00pm . bell staff unload luggage taxi give we claim ticket use reach room . instruct go inside toward large video screen check - in front desk staff . least ten people work massive desk ( include concierge staff ) . lobby rope line guide continuous group people check need assistance everyone gather disorganized cluster await assistance . finally reach desk give young lady name Jennifer name . 10 minute search room Jennifer inform we reservation cancel August 8th US Airways . incorrect reservation confirm date . Jennifer also let we know would able stay MGM Saturday would pay high rack rate … $ 699.00 per night . course infuriate other party . unfortunately leave confirmation kitchen counter rush get airport departure early morning . ask business center could print confirmation email . business center locate lobby . aware complimentary cost $ 5.00 + use internet . date two charge bank account LogicLink MGM ' business center . one $ 19.50 one $ 15.00 , use business center one time . return " line " front Jennifer instruct since know situation . wait 30 minute , another couple ahead us problem , give Jennifer confirmation US Airways . take moment miraculously find reservation . name misspell whatever employee MGM enter information US Airways Vacations . ' still confuse Jennifer find name cancel reservation confirm reservation . time one travel companion make walk front desk pool offer assistance . arrive early day confirm reservation check . also pay upgrade West Wing room versus Grand Tower room room type package . trouble find reservation , Jennifer offer upgrade final two room West Wing add free meal Grand Buffet . feel nice gesture ready forget whole incident . call September 1st request room upper floor Strip view . ( person speak time find reservation cancel August 8th ? ) Jennifer tell we new room low floor view ' good . ok less view well room . West Wing quite walk front desk escort bellman unfamiliar hotel quite challenging , especially frenzied check - in leave somewhat discombobulate . arrive room locate 2nd floor immediately begin wonder room upgrade . room large Grand Tower room although modern bathroom include walk glass shower . glass door water closet / toilet lock unnerve anyone spouse room . open window see view . literally cement wall , load dock dumpster . although Jennifer inform we view ' good explicitly tell we would view would stay Grand Tower room . immediately call front desk find another room available upper floor . point Rachel answer call explain situation . tell we room 8th floor West Wing available . anger 8th floor room offer first place accommodate previous request . Rachel apologize say bellman would escort we new room within 10 - 15 minute . wait bellman arrive another guest open door enter room . say ; " room " . leave go back desk . front desk already re - assign room give key verifying move . also tell housekeeping require inspect room guest move necessary . bell staff call bring new room key get luggage claim number . Hohns bellman deliver luggage bring key . escort we new room . arrive door ajar deadbolt locked keep door open . Hohns open door proceeded room . inside noticed bathroom scale sit chair room . bed make room look clean first glance . look window reason move . , wall although look could see building Strip . point ready give decent view , tired ready settle get vacation . Hohns unload luggage tip send way . preoccupied view ' look bathroom Hohns leave huge mistake . open water closet towel shelf , hanger leave previous guest , toilet paper hanging floor . open shower find still dirty well water sit floor . amenity soap , shampoo , bath gel place room . move dirty room . absolutely furious . I call front desk ask speak manager . hold 10 minute , watch clock , hung phone call back . ambrosia name lady take call . want know call reference rather immediately put manager phone . go entire situation ask would able help otherwise direct manager . Ambrosia place hold come back say could move we another room offer nothing else . Ambrosia ' tone dismissive consider valid complaint provide . also apologize problem ask speak manager . Airdell supervisor / manager take call . say listen conversation Ambrosia correct nothing could done time move we another room . also ' guarantee room go well view . Airdell say want room well view could call desk Sunday morning move . unpacked moving option . Airdell Ambrosia basically skirt problem offer apology . however blame housekeeping department turn dirty room clean guest arrival . time around 4:30pm , two half hour waste . together exhausted deal hotel staff , reservation room issue . tell Airdell get we clean room matter view . tell go move another room floor . hung phone could hear room number assign immediately go hall 8515 . move luggage stand hallway wait key arrive . 10 minute stand hallway suited member staff approach we without introduce although clear bring key new room . ask identification appreciate security . gentleman offer apology behalf hotel escort we new room . simply hand we key walk away . " may see ID " utter mouth without even address we name . inside room 8515 immediately investigate entire room view . room clean view although ideal much much well . could see desert background well Luxor , Mandalay Bay , Excalibur look hard right Statue Liberty New York , New York . across roof part MGM . final room although clean well view problem . security latch inside room break . way lock door deadbolt . point thoroughly disenchant lock break almost comical . course call desk none call result major response management . simply go 3 day vacation . situation speak volume MGM Grand manner handle guest . happen day return home watch show call " Extreme Megastructures " ' know MGM Grand one structure . thousand room behemoth property revolve door guest seem unless VIP high - roller another number forget overlook . manager luxury hotel hometown understand way guest treat way problem deal put guest ease . MGM deserve AAA Four Diamond rating experience similar other . suggestion book room elsewhere ! ! ! ! 
 Sep 18 2009 	 big hotel Vegas deny one ... good stay ! 	 ok , stay MGM Grand middle August 2009 4 night . Grand Tower ( turn upgrade know room would big give we space ) , stay 15th floor , not view strip not really matter . the hotel vast ... fact word not even cover ! people say , take age get strip hotel set back strip itself . the room big , comfortable air - conditioning , much need 105 degree dry heat ! huge number restaurant bar well lion enclosure ( although not get start ) ... casino MASSIVE ... sister one $ 160 second draw slot machine , 30th BD ( albeit 4 am jetlag ! ) ... eat Sushi restaurant one night , amazing . expect pay around $ 50 per person evening meal drink . night saw & quot ; KA & quot ; Cirque Du Soleil play theatre MGM . guest get 40 % ticket mean could get really really good seat $ 80 . show world . ' ve lucky enough see 4 Cirque Du Soleil production Royal Albert Hall London nothing beat see home venue . stage definitely star show , gasp amazement much adapt move . the main trip helicopter trip GrandCanyon would say well worth money . view amazing trip not end take whole day good time short ! think next time go Vegas will definitely stay bit strip MGM bottom , hey , win lotto will Bellagio ! 
 Sep 17 2009 	 Great Pool ... lot opotion . 	 hotel large lot amernitie . pool GREAT poolside waitress . loved big casino RIGHT strip . enjoy Club 54 Wolfgang Pucks without break bank . 
 Sep 17 2009 	 wish everything Vegas good value 	 stay celebrity spa suite two night , seem incredibly cheap , possibly midweek . bedroom huge , star bathroom jacuzzi , double basin walk - in shower . negative point line check - in desk . 
 Sep 17 2009 	 definitely come back ! negative ... 	 first visity Las Vegas , pretty happy ! think Las Vegas hotel , MGM Grand one jump mind decide book 4 day/3 night stay . arrive 9AM , check - in wait fairly short ( wait 9 minute ) , bell - hop take back could not get room 11am give we key card number call find room , pretty convenient ! hotel room nice , except could hear people room above / below air vent window . make would night try get LITTLE sleep . mini - fridge , find odd , make without one . lobby beautiful , hotel casino area cool ( not gamble really ) , pools GREAT ( salt water much nice traditional chlorine pool ! ! ) , always lawn - chair available . pay get WET REPUBLIC though , worth DJ nice chair . drink expensive hotel & amp ; pool , liquor store / convenience store like 1 2 block away hotel complex , recommend go instead spend $ 50 bottle rum $ 3.00 20 oz . Coke ! NIGHTCLUB , Studio 54 & amp ; Tabu right hotel , Club Rok across street NEW YORK NEW YORK . recommend Studio 54 Rok , pretty good close ! drink expensive though ! also , LIVE LION EXHIBIT Casino ! really cool get close lion , even session one Lion cub ( money course ) ! check take , still let we leave bag bellhop go pool wait flight . the Location not close rest famous place Strip , offer monorail ( kinda pricey , less cab ) take South Las Vegas Boulevard , walk see lot thing anyways ! would stay MGM Grand , really like layout hotel offer great consider much money spend stay ! happy ! 
 Sep 17 2009 	 excellent 	 large hotel . prepare walking . despite size , great deal attention detail . provide every ammenity . large choice food , type price . pool area great Spa . location bit hotel , short bus taxi ride . say good thing . 
 Sep 16 2009 	 Loved 	 stay 4 night Celebrity Spa Suite 7 Sept 11 Sept. Room great , locate 21st floor end corridor . room spacious , well equip quiet ( probably end corridor ) . bed massive comfortable . we book deal include Grand Buffet complaint . good selection food , could try something different meal . food include carvery meat ( turkey , beef ham ) , italian , .Mexican Sushi mention . find food hot tasty . also good selection fruit include healthy option , could resist wide selection dessert . surprised find buffet include soft drink tea / coffee . pool lovely . , prefer lazy river pool quiet . pool play music time . the hotel big take get pool strip , happy trade location room . stay near lift likely noisy , due number guest . use MGM airport checkin facility locate terminal 1 , near baggage reclaim allocate room give key 10.00 , real bonus . use taxi hotel , quick easy . overall delighted hotel would happily stay 
 Sep 16 2009 	 much well expect 	 good hotel ok location amazing deal avalialbe buffet bargain price get day passamaze pool area fav vegas farwe lovely strip view grand tower roomcasino little impersonal thoughotherwise decent bargain price ( cost we 60 $ night include food gamimg token drink .. 2 ! ! ! ) 
