clean 	 arrive New York train hotel locate couple block Penn Station , location convenient . price reasonable staying city . room clean ( always top priority ) .The front desk staff friendly . breakfast include room include buffet cereal , fruit , bread , pastry , coffee , egg , etc . busy breakfast rush , problem find table . wireless free work great room . my complaint noise level room . could hear everything hallway . neighbor room night could hear door open slam shut every time . 
 Feb 16 2008 	 Great Hotel great location 	 look hotel New Year 's Eve Holiday . place outrageously expensive Holiday Inn Express near MSG perfect . it spotless staff friendly . the breakfast great price plentiful . the location can not beat . couple block Madison Square Garden ( MSG ) , lot subway station , walk distance Time 's Square , Empire state , shopping area may need ( wife love ) ! staff tell we shuttle leave MSG take bus JFK Newark airport , save lot vs. cab fare hassle carry luggage subway . absolutely complaint definately stay next time be town . 
 Feb 12 2008 	 great experience -- would definitely return 	 look cheap place stay New York , book room Hotwire $ 120 expect bad . instead , find courteous staff , spotless room stuff amenity . besides free continental breakfast , also offer snack coffee throughout day . location hard beat , easy access two subway line taxis could hope half block away . I would also like note , desk clerk phase least we clearly gay couple . 
 Feb 11 2008 	 pleasantly surprised ! 	 pleasantly surprised . I get great deal priceline $ 86./nt thought HI express would plain . the staff nice . the room nice neat clean classy , little small typical nyc.they also 3 computer free internet guest use downstairs . 
 Jan 29 2008 	 great Stay ! 	 mother stay Holiday Inn Express Madison Square Garden , enjoy . not great view large room , , look place sleep since much . two block Penn Station ... great since go Brooklyn several time stay . also enjoy free breakfast ( although madhouse morning ) cut expense we . even snack , coffee , tea wait we lobby return night ! complaint group high school kid stay floor one night . loud obnoxious ... kid hotel . all , would stay ! 
 Jan 20 2008 	 Clean Nice NYC hotel 	 mom stay 3 night weekend . find nice place stay . pay $ 140 night , consider , great place money . staff quite icy try put we bad room possible booked priceline . beg non - smoking room . , get room , decent size NYC clean . bed comfy bathroom nice . locate couple minute walk # 1 subway line . breakfast good continental . would stay price right . 
 Jan 18 2008 	 GREAT Customer Service ! 	 husband arrive red eye West Coast around 8 morning , find we room freshen , breakfast wait free ! grant , good breakfast ever eat , free ( include room price want look way ) convenient . addition large selction muffin , roll pastry , serve cereal , juice , toast , bagel & amp ; cream cheese , hot item every day - scramble egg omlet , bacon sausage . prefer bagel cereal hot stuff . our room lovely , small New York room , clean comfortable . jacuzzi tub wonderful long day walk around cold city . the hotel close Penn Station short walk , get anywhere subway bus - buy metro card . free use computer basement checking restaurant tourist info . everything need take care quickly courteously . I would definitely stay ! 
 Jan 15 2008 	 great place 	 nice hotel room clean clean every day staff helpful friendley breakfast excellent good selection food hot cold would stay again.well do holiday inn staff 
 Jan 13 2008 	 great Stay ! 	 want say wonderful stay hotel . check - in quick easy , front desk staff pleasant . room nicely size NYC hotel room . bathroom small poorly set , job . anyone interested , shampoo , conditioner , lotion , body wash , soap mouthwash provide . room clean amenity great . able accept fax front desk , use business center get online print , also fax / copi order stay . complimentary breakfast great - sausage , egg , toast , biscuit , yogurt , cereal , donut , muffin , much . appear coffee available throughout day complimentary USA Today available outside elevator make sure decline deliver room save $ .75 / day . 1/9 subway line around corner convenient . make sure need snack though get early day drug store corner close quite early ( 9pm maybe ? ) not much else close . another example helpfulness - bunch stuff ship home . ask front desk box packing tape . tell could use packing tape would go buy box fedex - ask one housekeeping staff though happy empty box use . get wonderful rate hotwire . , GREAT stay trip would highly recommend hotel look nicely price , clean place stay NYC . 
 Jan 10 2008 	 plus plus plus 	 great hotel price ... fact , feel like not pay enough get . free computer / internet access downstair w/ printer , free morning breakfast ( hot cold : hash brown , toast , muffin , cinnamon roll , etc thing get to wake early good stuff be go ) . locate right near subway entrance 28th street ( leave front entrance hotel , take right , another right will see right ) . also Duane Reade drug store right . great stay , great experience , would definitely stay future . 
 Jan 8 2008 	 Better Hudson Hotel Club Quarters Downtown 	 stay Holiday Inn Express , Hudson Hotel , Club Quarters Downtown Holiday Inn favorite . for price , place can not beat . Pluses- Newer room , mine King size bed bathtub . toilet get plug service speedy.- free breakfast , get early avoid rush get doughnuts.- friendly staff - 3 different people help directions.- quiet room - Hudson Hotel noisy comparison- Regular tv without ad turn on.- free coffee juice night- Subway 1 line one street down . negatives- 2 elevator make pain go morning.- room pretty small , two suitcase could opened- congested lobby breakfast 
 Jan 8 2008 	 good deal well locate clean 	 hotel well locate , near subway station middle NYC allow easily go West / East North / South . even room pretty small , comfortable clean , bathroom seem brand new . the weakness would breakfast room , pretty small compare number people rush 8 am 9 am , breakfast outside hotel NYC nice weakness seem important I . last point , use Priorityclub point pay hotel , able judge price quality would easily pay 200 $ stay ( accord NYC standard , hôtel well price ) . 
 Jan 7 2008 	 HI Express Madison Square Garden 	 stay hotel 28th December 2007to 4th January 2008 find clean comfortable . room not particularly large adequate week stay . jacquzzi bath nice touch long cold walk city room big tv well hairdryer coffee machine kettle although catering area lobby hot water juice available 24hrs . hotel store bag 2 dollar fee per bag staff helpful although not clue contact doctor medical advise . hotel within easy reach 28th st subway , Madison Square Garden Macys several manned taxi rank block away . bad point crowded breakfast area morning - get 8 get table continual thump thump nearby nightclub start 10 pm not stop ' till 6 next morning . room back hotel not know room overlook street affect . overall pleasant stay can not help think spend extra couple hundred dollar stay Marriott Sheraton would well stay . 
 Jan 4 2008 	 Good Value 	 First , admit use hotel point stay , think get fantastic value ! hotel good condition convienient area get location Manhattan . Taxi 's readily available , subway short walk away . free breakfast good , fairly typical Holiday Inn Express . room small side , comfortable , well appoint clean . make hotel stand attentiveness staff . travel work regularly rare find Holiday Inn Express staff enthusiastic help tourist . people offer & quot ; WOW & quot ; factor . assistance get around town important , find hotel worth money ! parking garage block away . park , drop bag first , bit hike . , not pay room , pleased value . think pay $ 250 night , would feel like not get anything special . 
 Dec 31 2007 	 Excellent value location service . 	 not usually write review holiday staying thought . come New York day christma far good hotel ever stay in . the room quite small ( need big room ? ? ? ) slight negative have . we arrive 4 hour early allow we go room early lot hotel don't . the location great near place people go New York for . room clean , bed tv quite big . nothing much trouble staff i.e . safety deposit box , direction etc . breakfast great ( good selection fruit cereal sausage egg ) .Coffee tea available day long . when come back New York definately stay again . GARY 
 Dec 27 2007 	 NYC Myth Buster ! 	 amazing hotel amazing service . family 1st trip NYC hotel provide everything little country crew TEXAS need . staff excellent courteous . visit Christmas front desk provide everything forget Phillips screwdriver local direction . even get advice buy knock - off bag city . room small extreamly tidy clean . bathroom provide evening escape usually take home nice bathtub warm bath . the free breakfast great start nothing major ; bagel , toast , sausage , oatmeal fresh fruit . I stay . 
 Dec 16 2007 	 Good Location 	 small new hotel great location , parking right next door $ 36 / day ... clean room breakfast area ... Inexpensive City ( $ 250 / night ) ... short walk Madison Square Garden area / Penn Station subway ... nice employee ... comfortable bed pillow ... & quot ; issue & quot ; : small room ( care , not go room much anyways ) , garbage truck pickup wee hour morning wake we night ( room face front-29th . St . ) 
 Dec 8 2007 	 Better Value Hotels open Chelsea 	 stay three time time hotel lose charm . first open everyone friendly . check try extra bit . first two room Whirlpool tub time sell . whirlpool room glass wall main room door open seem much large regular room find tiny time . Maids seem care noise make- start 7 am . room also claustrophobic . fine one night week want light . breakfast mad house although free prefer walk road avoid mayhem . time stay Hilton Garden Inn 28th Street block away room twice nice . really comfortable bed , flat screen tv hundred channel . good still Breakfast possibly good NY type hotel . one big complaint elevators- two 169 room . service also much well Holiday Inn Express . 
 Nov 30 2007 	 Good Hotel 	 stay 3 friend Thanksgiving Weekend get good rate lastminute.com ( 2 room £ 300.00 per room 3 night ) .this hotel good location shopping , sight transportation , feel unsafe time . room clean small mean daily shopping , pack everything away rather leave thing corner would able move around room . breakfast fine ( except pancake - dry around edge ) since free ; hot cold drink available day night nice . local call also free useful . the hotel charge $ 2 per bag store luggage . I will definitely stay . 
 Nov 26 2007 	 Holiday Inn Express NYC Madison Square Garden -No problem 	 Nov 26/07we stay two night Nov. 22 - 24/07 . problem , staff friendly accommodating . phone ahead get room 9:30 . close enough ny sight sound , quite enough sleep . room small planning much anyway . 
 Nov 15 2007 	 Superb location bedroom good dwarf ! 	 location excellent , three block Penn Station , four block Empire State Building well within ten minute walk Macy 's , Time Square , several subway station , restaurant , etc , be need worry account ! build 2004 , city space always premium , architect obviously figure cram many revenue generating room small footprint possible , compact hotel , helpful extremely friendly staff . say , ( typical NYC ) , room small . small . fact , small , turn light night bed asleep , rom go dark ..... , NYC therefore , expect ! say , bathroom , ( ' small ' bathroom ) , clean , modern well appoint , room well present , bed comfortable , elevator , ( two ) , slow , work whilst include breakfast may ' Continental ' , 's enough choice everyone , all - day coffee nice touch . affordable rate , excellent location , great staff high standard , go make attractive place lie head visit New York , even room little compact size ! ( be english small ) .recommende short people , , share room , know well . recommend anyone claustrophobia ! ! ! 
 Nov 8 2007 	 Great Location ... well hotel area 	 small room , pretty standard New York . first arrive , room foul smell , quickly move new room , question ask . ( turn foul smell AC unit switch AC Heat AC , etc . ) .Bed average . Shower head nice high us 6 ' not duck wash hair . nice complimentary breafast every morning usually egg meat ( sausage link patty ) , waffle pancake , juice coffee , well pretty good cinnamin roll . Juice , coffee water available free 24 hour lobby . three block walk Penn Station / Madison Square Garden restaurant every ethnicity within 2 block direction . local place deliver help make lack room service . we fly Newark take train back forth wherever need go . path , NJ Transit , 1,2,3 , b , c line Metro , Amtrak one place ... perfect want skip rental car ... do . free room wireless well computer room next gym . three computer printer print direction boarding pass , etc . associate stay hotel area description , make way well , especially newness room free breakfast . there onsite concierge , not use he / she ... always lobby . definately recommend tourist business traveler without car . not seem much kid , though , right middle Manhattan .. kid friendly type place anyway . 
 Nov 5 2007 	 good hotel great position 	 stay hotel week late October , get cab airport ( $ 45 plus toll tip ) . room ready arrive 3.30pm . room small perfectly adequate , two we plus 12 year old daughter , never feel room small . bathroom good , clean new . view Empire State room ! Room clean rather late day around 3 4 pm much problem . experience noise slam door noise room either side . location fabulous , short 15 minute walk Times Square plenty restaurant shop , subway round corner 28th St. subway line take directly 5th Avenue 8th Avenue Penn station . breakfast good see free ! plenty fresh fruit cereal etc . appreciated coffee juice available anytime . very nice garden terrace sit busy day , handy business centre downstair check email etc . even manage check online BA flight home ! ! would recommend luxurious clean , comfortable good location 
 Oct 26 2007 	 serve purpose not take shuttle 	 stay Sunday Thursday last week . arrive hotel early ( plan ) ask could leave bag check , problem , cost we $ 2 bag . come back 3 pm room ready . room clean , comfortable , bit wee side , convenient class take directly across street . the breakfast good , choice daily pastry , bread , muffin , fruit , yogurt , cereal , always egg sort , like omlet one day next scramble one . always meat like sausage . first hotel ' ve ever stayed offer free.one thing would tell sure not take hotel shuttle back airport leave . tell pick will get airport certain time , case late pick we 30 min , make 4 stop people get airport alot later want to . just call car company , use one get hotel $ 32 two we . subway right around corner 28th street . ever go back New York would not problem stay hotel . 
 Oct 25 2007 	 good location Basic Hotel 	 book hotel late , hotel price quite high - $ 475 per night . however basic hotel $ 170 per night stay one good hotel Tokyo , right Ginza . New York basic hotel short otice command high price . the location central however place like Time Square would 15 min walk away . the breakfast hotel basic , like american food , load carb , - cereal yoghurt put sweet , juice ( Cranberryetc ) also came sugar . bathroom room fine room - quite acceptable place stay way luxorious . however awall room paper thin - could waisly hear people come go even speak adjoining room . the area around hotel quite rundown , seem safe - never feel uneasy around evn though lot constructon go result poor lihgting scaffold palce . if NY would happily stay hotel price considerably less . Best Shopping Jersey Mall . 
 Oct 17 2007 	 dump place ... 	 place dump . arrive noon would not allow early check . someone come get bag check forgot manager FINALLY help I . after late dinner , get back midnight still take forever check . got room someone inside cleaning ! want back downstairs ( I m tired point ) basically do not room wait wait . assure early day check late would not cause issue . finally , give room ground level - lucky right next maid clean room chat storm start 5 am . breakfast start 6 am people shuffle around make noise . the breakfast barely edible . avoid place cost . much hassle noone seem truly want make thing right . I ready give feedback check nobody even ask stay go . 
 Oct 17 2007 	 good position 	 return tour holiday North America first stop . location good able walk site want see . Central Park 40 min walk ( would quicker not traffic light ! ) . think well view Rockerfeller Tower Empire State lot short queue . subway around corner , load restaurant nearby , helpful staff , would definitely consider hotel go back New York . 
 Sep 8 2007 	 Good Value 	 return stay hotel would problem stay again . it short walk 7th Ave Times Square Theatre District , 15 minute . it also close many Subway line get around city easily . room small not go New York sit room . one drawback 2 elevator peek time might short wait get one . also express checkout room . I see long line time wait checkout . area around hotel look little doubtful problem stay . free hot breakfast nice plus . also staff helpful answer question .well worth pay . 
 Sep 3 2007 	 pricey beautiful comfortable well situated . 	 husband , daughter stay hotel dropping daughter college ( two block away ) . hotel beautiful - room nice , bed extremely comfortable . staff accommodate - room look back sooooo quiet .... 's huge room good size New York ( keep mind five huge piece luggage room get way ! ) . hotel easy walk Times Square , 8 block away . breakfast great - excellent experience . cheap , could pay whole lot less also . would definitely stay ! 
 Aug 31 2007 	 Loved ! 	 husband spend 5 day 4 night Holiday Inn Express NYC Madison Square Garden . love . location great - safe fairly quiet ( even front building ) , though hear door slam guest not careful . room small , sleep . room update clean . breakfast great - hot cold food . get 10:15 a.m . guest usually eat food staff start clear everything away . staff desk friendly enough , concierge helpful pointing right direction , help book tour , etc . travel fairly extensively , focus always city , hotel . look luxury will not look Holiday Inn Express anyway . little hotel , get exactly expect : good clean room low rate ( pay $ 180 / night Priceline - great rate NYC ) , substantial breakfast , perfect location walk city , grab subway , etc . highly recommend stay would . oh - try cinnamon bun - awesome ! 
 Aug 29 2007 	 Nice hotel good location 	 return 3night/4day stay Holiday Inn Express Chelsea . hotel sell almost entire stay . hotel sell usually expect problem . however , stay not experience problem except maybe long wait time use elevator . overall , hotel clean neat . the room assign right next elevator make small room start with . for whatever reason , even small room choose put king size bed . I appreciate big bed , big bed small room make limited space , problem . bed comfortable too . the temperature hit low 90 's weekend high humidity , airconditione room keep cool without problem . breakfast provide hotel morning excellent . even tho dining area pack constantly dozen people coming go , never run food dining room never get messy . appreciated food much . we would definately stay Holiday Inn Chelsea . 
 Aug 26 2007 	 impressed 	 stay 4 night find overall good many way . room quite small fine want time . well locate many thing easy walk distance subway . breakfast good . good value money . 
 Aug 25 2007 	 great value great location Great Stay . 	 get back three night stay NYC book two room hotel Hotwire . pay around $ 180 room - pretty good value hotel area . pleasant stay . hotel around 10 month old modern clean . arrive hotel right check time 3 pm tell & quot ; non - smoking & quot ; room available right away - would another hour ready ( guess book hotwire not specific room reserve right away ) . could however get couple smoking room 12th floor right away . none party smoke ponder minute rain already soak decide take room . room spotless - faint smell smoke one room not strong enough cause we bother . room well appoint comfy - two double bed . also never notice smoke odor come room 12th floor . all staff encounter friendly , always smile obliging . bellboy helpful friendly answered question patience . clean staff polite never make we feel like way . room clean thoroughly every day always get fresh linen lot clean fluffy towel . breakfast include reservation also great . plenty good hot cold food available morning . busy every morning show good ! crowd impossible find somewhere sit little patience . three pc low floor internet access etc . lovely little garden terrace unfotunately unable take advantage due weather . overall perfect day NYC , family really enjoy visit , first time city . would hesitate book hotel . ' ve stay real dump time - last time stay NYC Pennsylvania awful . Holiday Inn Express superior every sense far well value . highly recommend . 
 Aug 16 2007 	 Bad experience 	 book room toll free number . couple couple question book agent give positive answer . booking make thought confirm hotel management give totally opposite answer really annoyed . nevertheless cancel reservation . reach hotel day suppose check - in say room book available give really bad room place , even though give credit card info hold desire room . management seem friendly unresponsive . top charge incorrectly stay ' ve try contact billing department past 3 day sort problem get response . 
 Aug 11 2007 	 terrible Unresponsive Management 	 room may fine , management terrible . book block room weekend , give credit card pay , Friday morning tell we not room , even though Thursday tell everything set . city completely sell . management unresponsive , even refuse take call . book would even assist find we room . general manager , Joe Montagne , would take call , return repeat message . sale manager , Andy Henricks , also would take call return message . way run business . hotel may ok unless run problem , one assist . would suggest book hotel city sell . may end street New York nowhere stay . 
 Aug 5 2007 	 Excellent service tiny room 	 stay Holiday Inn Chelsea Aug 3 - 5 . book double room , tiny -- even NYC standard ! picture site convey small room ! nightclub nearby hear bass thumping 3 am . location convenient Penn Station 28th St # 1 train . neighborhood little dodgy -- esp night , street people , etc . breakfast free hot cold food , coffee juice available 24/7 . bad choice familiar NYC need place sleep , first time traveler nyc , would recommend midtown location . 
 Jul 19 2007 	 Holiday Inn Express Chelsea AMAZING 	 stay Holiday Inn Express Chelsea back May 2007 New York City Tattoo Convention believe 's crack . hotel spotless clean room . room 16th floor problem 2 elevator sometimes would wait couple minute . room typical city room pretty average size really much time spend room ? clean smell spotless , bathroom clean well . right around corner room snack machine well soda machine reasonably price snack soda case get crave something night . breakfast amazing well , muffin , coffee ( brew throughout night ) , scramble egg , bagel , cereal , toast , pancake , orange juice thing . needless say taste great . downstair lobby computer room 4 computer well workout room . if familiar city hotel locate W 29th street 7th 8th ave . 2 great/ affordable restaurant right around corner well access subway . this hotel really everything read definitely stay next year . 
 Jul 18 2007 	 clean hotel great customer service ! 	 stay hotel July 3 , 2007 2 night . hotel renovate last year . room clean small thought . however , must common since NYC . breakfastwa tasty , room small ( overcrowded ) . staff SUPER ! helpful parking hint ( park right front hotel commercial street . save we 2 day parking ( 40 $ /day approx ) . lucky arrive onjuly 3 early evening July 4 holiday . when leave , hotel staff give we goody trip ( head towards Florida ) kid absolutely impressed ! sure make feel special ! would recommend hotel friend would stay . 
 Jul 10 2007 	 Nice Hotel 	 stay hotel 7/4 - 7/7 2 friend . room 2 double bed . room small , 15 inch bed wall 2 foot bed . not room much not big deal ( would not want little kid room ) . room clean bed comfortable . breakfast great , long not want hot item . egg flavorless . french toast stick & amp ; sausage taste like cheap frozen food heat badly . say , bagel , toast , cinnamon roll , doughnut , cereal , fruit yogurt great . juice available day nice . as far noise , could hear people hallway , room . room corner near stairwell , not bad . the area around hotel seem safe . quiet night though get little dark . would definitely stay hotel , price right . 
 Jul 3 2007 	 2nd trip Holiday Inn Express 	 2nd time New York City also 2nd time Holiday Inn Express Madison Square garden . hotel nice clean , room little small care New York City spending lot time hotel anyway . breakfast buffet awesome , hot breakfast egg , sausage , ECT . also juice machine lobby area available free juice day long , ' nice save dollar bottle juice soda , go lobby get cup juice . location hotel great subway station block away . good pizza joint 1 block hotel right across street subway station , stay hotel check pizza place ' good pizza mozzarella stick ever . also restaurant right next door hotel ( leave hand side ) serve pasta eat horrible food bit pricy get . Holiday Inn Express wonderful hotel much worth stay . 
 Jun 24 2007 	 Great Hotel 	 ( group three ) stay hotel week June enjoy it . the hotel fashion district 7th 8th Avenues upper mid - town Manhattan , close Madison Sq Gardens Penn Station , Macy 's , Empire State Building . 's 15/20 minute walk Times Square/42nd Street . there two local subway station - one 28th 7th Avenue 1 line take down - town Battery Park area , ferry Liberty / Ellis island depart . be two block Penn Station 7th Avenue pick number line service different part city . the area quiet evening number fur shop street , be safe . say area around area 8th Avenue definitely bit & quot ; seedier & quot ; , would tend come in / go via 7th Avenue far attractive . get back hotel , location great gather . room somewhat small two bed . bed , way , Doubles - Queens . however , room adequate intention spend little time possible room , get early explore city . room clean every day fresh towel leave . the clientelle seem split family vacation business people stay short break . the breakfast room ground floor opposite reception , complimentary self - service breakfast , extensive : - tea / coffee / juice - toast / bagel / muffin - fruit - pastry / doughnut / muffin - cereal / porridge - egg / bacon / sausage / hash brownsThe breakfast area tend get busy 8 am 9 am good time . pick refreshment anytime day . nice cool juice drink need walk sub - way . there internet room basement small gym beside . also find terrace back quite sizeable well - lay table , chair , parasol , no - one seem use . hotel could advertise nice little extra . have week probably put good position see positive negative hotel , say honestly little down - side stay . all - in - all would recommend group 2/3 people willing share double room require central safe location explore city . 
 Jun 19 2007 	 good location good clean hotel 	 small hotel centre New York . room bit small , clean well maintain - bathroom clean lot clean white fluffy towel . reception staff helpful friendly . 20 year old son spend 5 night queen double tight space round bed . not go New York spend time hotel room - want see sight hotel suit need . complimentary breakfast good could eat much want witih lot fresh coffee , fresh fruit salad well hot food . think price bite expensive , would go back 's location cleanliness . Macy 's short walk away subway bus nearby - walk Times Square Empire State building . good internet ' business centre ' basement printing facility . think area safe would definitely stay . 
 Jun 15 2007 	 fantastic location breakfast 	 stay Holiday Inn Express 6 night visit New York . actually pick hotel read review travel advisor . hotel perfectly position tourist landmark - Madison Sq , Empire State Macys . handy subway easy navigate . first night book ground floor room unfortunately near kitchen far lift . near lift mean room bit noisy start breakfast early awake early . ask move - problem . next room 9th floor perfect - quiet . room smallish adequate especially think room rate New York reasonable . inclusive breakfast absolute bliss . breakfast room seem crowded patient get table . everything could want breakfast available . coffee available lobby time well . staff extremely helpful . fantastic holiday help stay right hotel ! 
 Jun 11 2007 	 NIce Stay 	 return NYC . stay Holiday Inn Express first time many hour research different Hotels Manhattan . get fair rate $ 239.00 USI stay June 2 - 7/07.the hotel staff friendly , hotel nice new . the free hot / cold breakfast awesome way start day explore nyc.the free wireless internet nice kindda slow . I find area 1 - 2 block around Hotel bit bit seedy , prepared walk alone night . get beyond Hotel feel safe amongst people . the housekeeping staff leave thing like bag towel vacuum cart hallway , quite eyesore clumsy get around . my room small , extremely small okay since two we , prefer clean large room day . did'nt really sleep well night , ice machine door close people hallway keep wake we . recommend wax earplug . I would consider stay price right , maybe far away ice machine possible . 
 Jun 10 2007 	 good value must return 	 stay May 31 - June 3 . room 11th floor comfortable clean . would willing return good rate , would probably consider lodge first . hotel full weekend , make elevator slow , breakfast crowd , etc .. despite crowd , not many noise problem . slam door definitely audible imagine noise could problem depend neighbor . everyone rave breakfast , ' m impressed . hot food barely palatable ; & quot ; coffee & quot ; brown water . appreciate fresh fruit yogurt though . also appreciate beverage available time day . location : convenient location sightseeing , definitely business district slow , much NYC ever , hour . one last thing : tell aircon unit build operational ; newly open hotel , become aware problem process replace faulty unit . fortunately , work , overhear complaint people room without work aircon . 
 Jun 8 2007 	 nice enough 	 brand new facility great shape ! room little small well furnish comfortable . stay 3 night . one night nightclub behind hotel pump bass 5:00am make impossible sleep . report front desk , aware problem say contact authority club 's owner able agree anything . give hotel credit try remedy situation . hotel say normally would relocate another room however fully book . hotel deliver extra pillow kind apology . two night restful . location good want explore Chelsea Garment District . close subway # 1 28th street . Penn Station two block away , schleppe luggage difficult practical . would recommend hotel careful room assignment . think high floor another room building would provided relief club noise . 
 Jun 3 2007 	 Great Hotel 	 overall nice clean hotel , front desk friendly accommodated request . my deal $ 200 per night think really good deal group 4 travel Manhattan . Book early bit cheap . a credit breakfast , different thing everyday many choice . well roadside Holiday Inn Express stay before . also snack provide day , drink anytime ... 
 May 29 2007 	 great hotel ! 	 spend 4 night hotel weekend break friend ideal need . room quite small problem read hotel norm new york ! bonus hotel open six month mean everything clean new . book non - smoking twin two double bed . end smoking room want check early - fine even though corridor smell slightly smoke room . bed comfy room air conditioning welcome consider 80 's F night 90 's daytime ! iron iron board coffee maker room add bonus . bathroom bath good powerful shower . clean towel every day bed sheet change every day . free breakfast big bonus - although get early want bagel ... seem go quickly ! ! good selection - cereal , toast , bagel , fruit tea , egg , bacon , fruit , yoghurt - eat much want ! get busy prepared take - out back room can not get table . free internet available business centre downstairs . also terrace somewhere hotel - ; time investigate though . location handy - close Penn station madison square garden minute walk Macy 's . easy Times Square Empire State Building ( could see window ! ) everything would expect holiday inn express plus little bit . helpful staff great location make stay great one - go back soon ! 
 May 28 2007 	 okay good . 	 stay hotel May 23 - May 27 , okay good . room small , 's problem consider sleep . major problem faulty air conditioner . room stay 80 degree day despite sit thermometer 60 degree . first think break unit , switch room . twice . total three room none air conditioner good . thank goodness not Auguest . not expect sub - zero temperature , pay $ 180 night hotel room expect decent temperature . complaint , albeit large one . maintenance man send three room check AC time say unit fine , need time cool . would return 8 hour later room still hot temperature change . , hotel fine . breakfast nice , free coffee / juice lounge day night . close everything ... walk Times Square problem . city amazing . reccommend catch Phantom Opera . spectacular . hotel not bad , not great either . doubtful stay Holiday Inn Express . 
 May 21 2007 	 great new Hotel 	 get back stay hotel , new hotel close sight , get rate 180.00 per night web site . get free breakfeast stay room little small nice clean . 
 Apr 30 2007 	 Gem ! 	 book several room group we attend convention . wait long book hotel traditionally stayed book ( i.e. Hilton ) . everyone little nervous tell Holiday Inn Express ... surprise place turn . yes , room small place immaculate staff superb . bathtub make small cupboard hang clothe . lucky enough room complaint ! moment hobble way much luggage people go way make comfortable . hot breakfast buffet ( actually taste decent ! ) morning hot snack evening add bonus . roamer feel safe - sure rather strange people street nobody threaten - day evening . plenty place eat drink around corner either direction . rave enough staff ... ! pleasant stay . 
 Apr 23 2007 	 call bark dog hotel . 	 Hmmmm . well , ' m happy . major problem . front desk friendly unaccommodating . also 3 star rating , ' ve stay much nice 2 star downtown nyc.the first problem bark dog . apparently pet hotel . Saturday night horrible . room next leave small yappy dog room alone day . dog bark , yelp , cry wind day night 4 morning owner return . ANIMALS ? would never leave pet alone scare hotel room . ' m town job interview get sleep . none . exaggeration . hear everything wall dog sound like 2 foot away . hotel nothing . hotel sell could move room . send security verify yappy whine dog room . . next heat / air work . , could not switch room sell . keep window open try cool room . also , want late check . 100 % willing pay - want check 2 noon MONDAY flat say . inquire say would pay say would $ 50 charge . ask long would give hey say 1/2 hour . CRAZY . CRAZY . crazy.the room clean well sized NYC hotel . clean secure . would call Chelsea . Technically be close Madison Square Garden Empire State build anything quiet trendy like Chelsea . location fine though , be close subway line . get good deal hotwire . equal price 1 star share bathroom weekend . would stay average full price $ 320 night . way ! ! ! ! never . would go Exchange Avenue much cheap pleasant experience money . the bark dog bad . ' m unhappy . 
 Apr 22 2007 	 price right ? 	 inexpensive acceptable New York standard . room small compact nicely arrangedwith amenity need shortstay . since hall narrow room close together , slam door difficult hear , especiallylate night . light sleeper , may problem , I . also , part Chelsea , near Madison Square Garden , desirable part NYC . close tosubway neighborhood would care strollin . , need cheap place stay not expect tolinger hotel , worth consider , particularly ifyou get discount rate , e.g. , Priceline.com . incidentially , large tour group attract hotel -- whichmay may bode well quality hotel . 
 Apr 21 2007 	 Hotel fine ; staff terrible 	 hotel fine . be new -- open October . room tiny tad dirty ( ' ve see far bad New York ) . breakfast crowd , hard find table . housekeeping leave cart hallway time , give idea kind place be . my complaint , fact housekeeping . travel business ; leave receipt desk room . housekeeping throw . near garbage , sit middle desk . speak manager ; trouble , next day return room discover door room leave wide open . fortunately nothing go , far tell . , silly left receipt desk ( ' ve know well ) throw . even put note effect & quot ; not throw stuff & quot ; -- not matter . crown achievement housekeeping also help small amount cash leave desk accident ( less $ 5 ) . speak manager first day never hear . left couple message . also really annoying fact street front hotel re - paved ( 29th St ) . -started- work 6 pm wrap around 1 morning . be 4th floor face street exactly conducive sleeping ... ask front desk long would going say not know ; go back outside ask worker . would think front desk staff could least take initiative appear helpful .... would avoid place . certainly would not stay . 
 Apr 16 2007 	 Excellent hotel 	 return week New York Holiday Inn Express , Chelsea . would fully recommend hotel , great location , convenient site see , clean , good sized room huge tv , great bathroom strong shower , comfortable bed . breakfast free copious ( hot cold , egg , bacon , pancake , waffle , bagel , muffin etc ) , restock every hour 10 . coffee tea available day - welcome day walk ! reasonable rate - much cheap uptown hotel . one downside , noise within hotel night - spring break load high school student invade hotel , hence bang door etc ventilation /heating system quite noisy . however , minor disturbance would certainly return . 
 Apr 12 2007 	 comfortable 	 problem report , clean & amp ; comfortable , whirlpool bath fantastic relax day walk . stay one night . breakfast room small , hotel busy expect could wait table ! continental breakfast good quality . quick check & amp ; check . everything would expect Holiday Inn Express . 
 Apr 11 2007 	 excellent place stay ; include breakfast make valuable . 	 last minute decision , planning stay DoubleTree Times Square , sooo glad switch . build new not show Google Earth April 2007 . every thing promise -- room bathroom super clean , provide breakfast morning wonderful - fill , tasty offer wide variety . coffee juice available 24 hour , tank thermos trip home . bell hop leave bag friendly competent , front desk staff friendly efficient , call request new battery tv remote , come replace minute later . hotel conveniently locate one short block 28th street Red-1 subway station easy five short block Penn Station . cap , room AAA discount $ 150 / night less expensive DoubleTree ( admittedly offer much big suite king size bed . ) bathroom soap miniature scented cinnamon real hit -- would buy shampoo home use HIE would sell large quantity travel size ... press , thinkg would point problem elevator somewhat slow . otherwise stellar , recommend place stay . 
