good 	 stay single hotel 2 night . choose location amenity show website . request early checkin 2 pm instead 3 pm . reach hotel 2 pm , good welcome reception . show internet booking show room . single accomodation room show website far different thn actually offer . actually look like servant 's quarter dirty linen , filth floor badly smell . refuse accept room come back reception . suddenly smile face receptionist change rude look . insist room give show describe website . finally ask talk manager . Manager bluntly tell book thru travel website , gurantee room . insist booked room thru hotel 's website . say put opinion internet , get scared change tune . finally say , offer inferior room ask early checkin . want describe room wait till 3 pm . already 2.30 agree . finally painful face , allot room 3.30 ( 30 min later check time ) another news . say room old wing , walk long distance go stairs luggage , board lift . room surround exterior window except open garbage collection area . however , tired time accept room go bath . oohh . suddenly someone enter room another key come right upto bathroom door . shout go away . call reception tell clean staff know room . accept apology . 10 min , get ready evening , ..... another girl come surprised . time really get nervous worried intention staff , secluded room probably one nearby room . Manager offer apology free breakfast ! ! ! keep think two day , free breakfast wipe away bad thing do Hotel Manager intentionally un intentionally . may exception incidence , bad . 
 Bad experience 	 1 . room shabby need upgrade 1970 decor.2 . elevator completely inadequate size building number guest . walk 7 flight stair , accompany HUNDREDS fellow guest , multiple time wait elevator exceed 30 minute good part day.3 . wait line check - in check - out , entertain stream people complain major aspect stay . counter clerk disappear & quot ; consult manager & quot ; every complaint , return & quot ; sorry , anything this . & quot ; 4 . valet parking cost $ 35 guess -- -- -- valet check - out . walk 5 Manhatten block parking garage luggage . thank introduction NYC . 
 Heart City 	 comfortable , walk everything ! clean , little old - fashioned add charm . 
 FANTASTIC location 	 great location , central , 5mins central park 5mins time square . as base excellent , warn noisy pipe night , much move room 1night . 16th floor racket , every half hr night , dressed 5.30 could not sleep . move much well room 27th floor , 1 night non sleeping , great 4 we . not put complain . apart noise though fault report 
 badi will not live wellington hotel . 	 bad experience . book hotel priceline . arrive , front desk ask we pay . believe . room clean . never live hotel like . will not go anymore . 
 perfect location excellent service Thanksgiving weekend NYC . 	 could satifie visit Wellington Thanksgiving weekend . suite spacious clean . ( might put date room -- love enjoy feeling like New York experience instead Hotel Anywhere ) . staff service pleasant , prompt helpful . enjoy Park Cafe -- many place eat nearby . the location can not beat -- couple block direction want -- Central Park , 5th Avenue , Time Square ... look 7th Avenue see Wellington sign look like welcome beacon long walk park day shopping night time square warm heart soothe ache foot . definitely place stay city -- stay several place uptown , midtown downtown . thank great timel . 
 Mar 11 2009 	 Room view 	 stay Wellington 3 night . expensive New York want stay middle thing search search cheap place come place . certainly great location , opposite Carnegie Hall minute walk Times Square . ask room high floor great view get , 22nd floor view Times Square , amazing night ! . room quite small , quite small bed , fine we small people ! warm cosy whish perfect freeze winter night . bathroom basic good shower clean . hotel still 70 's style hotel do not really modern amenity NY need room sleep fine . cafe breakfast lunch dinner also greek restaurant good review go alot ny quite expensive . great stay would definately return . 
 Mar 10 2009 	 Good Hotel Great Location 	 stay Wellington 5 night thoroughly good time . staff friendly helpful whenever ask advice . find room comfortable , keep spotlessly clean nice warm , nice consider freeze weather stay . location hotel perfect Times Square , 5th Avenue , Cental park minute walk away . we breakfast time Fluffies Bakery nice good value , also breakfast twice Carnegie Deli , massive portion , hard work trying eat all . great stay , would definitely stay Wellington 
 Mar 8 2009 	 small bedsroom small minded receptionist 	 book suite 3 adult double room . the double bed suite 4 ft wide bed single sofa ( really book expect , ) COMPLAINED receptionist name Kathleen argure bed queen size less dismiss like dirt shoe , least that s feel , tea & amp ; coffee make facility yes , cup , do not make laugh.if anything make mind never go back send review , stay away tell friend stay away 
 Mar 6 2009 	 great location great service clean tidy great food Park Cafe 	 Hotel nice arrival , warm welcome , room comfortable clean , clean bed linen towel everyday , decorate need modernising not bother we wear not hotel long sight see NY day . Adjacent hotel Park cafe - great value huge meal , breakfast dinner night , clean , fast service , great value money . subway outside hotel , take right bottom manhatten 25 - 30 min trip , safe , everywhere seem safe even night . tourist information centre close hotel helpful , buy citypass , worth money . definately stay 
 Mar 4 2009 	 Fantastic Trip ! 	 stay 12 - 16th feb boyfriend . initial thought well expect staff not friendly / enthusiastic especially u.s.a ( rude ) ! reception always busy mostly around 3 pm ( check ) 12 pm ( check ) . sure 's issue though . room small expect two we fine . date yes bathroom could re - vamp sleep shower . room warm well , never heat ! everyday bed made/ towel changed/ bin empty . matter stay NYC walk mile one attraction another . Wellington right edge Time Sq ( great busy outside ) . 5th Ave shop 5min walk away ! cheap accommodation lastminute.com expect worst happily prove wrong . want somewhere lie head hardcore shopping ! stay , cheap one good location ! 
 Mar 3 2009 	 great View Loudest heater ever ! 	 book hotel trip early November 2008 . location great , corner room , mean lean window little bit , could see corner Times Square . subway stop outside door , coffee shop could use update lobby , decent breakfast . room decor fine old hotel , bathroom tiny ( functional ) . front desk staff super - helpful , insist show we room ( tip course , even though rolling bag require assitance ! ) business center lobby feed dollar bill internet time , pay $ 9 / day use wireless . lobby center probably well deal need look something , $ 1 2 - 3 minute internet time . greek restaurant next door excellent ! problem room heater . could adjust temperature , heater fan loud , could sleep ! would run quietly 10 - 15 minute , start drift gently dream land , would start bang clang thump like angry monkey inside whack heater gut repeatedly hammer . absolutely awful sound ever hear come machine design comfort , especially be try sleep ! control temperature , either hot enough roast turkey , turn . 2nd night sleep , finally opt turn heater , wear extra clothe bed . get corner room high floor , test heater accept room ! overall servicable hotel , good deal discount service , have tick pay go rate monkey - heater room ! 
 Mar 3 2009 	 Decent Rooms good location good staff 	 hotel good , room clean , shower water hot . 's simple , location Fantastic ! able go Times Square 5 minute foot take walk Central Park . our room 26th floor great view Central Park . the girl front desk kind helpful . the problem employee room service . he insult we due tip laugh face , offer money back say little money . mexican leave room speak word spanish , ble understand . 
 Mar 3 2009 	 amazing location - would go back ! 	 everything consider - have read many review say book via Expedia , , would land we tiny room - disappoint . room large , will clear - adequate . city like New York , be centrally locate Wellington , much time go spend hotel room anyway ? also reason matter window look onto shaft ! ( & amp ; noise problem night ) bed notably small , mattress seem roll husband spot towards middle ! ! however uncomfortable . room small bathroom , everything work well , though shower water take drain . also small closet - extra space handy . room equip tea & amp ; coffee make facility , would nice . provide however iron ironing board . cleaning do promptly effiiciently towel change every day . checkin checkout fast smooth . staff civil - would not say particularly friendly , ok . small internet centre ( 5 computer ) handy flight check - in general browsing . price $ 0.20 per minute minimum spend $ 1.00 . internet speed fast not need spend fortune . hotel 's decor modern , ' ancient ' . perfectly acceptable . hotel tick box would certainly consider stay future trip ny . decent , well - price hotel 10 minute walk away Times Square one side , 10 min walk away Central Park , yet find serious fault . 
 Mar 1 2009 	 poorly manage hotel - check - in room clean slow 	 disappointed hotel . day , lobby look like another airport terminal people wait check - in . nowhere near enough chair , people sit floor . the check - in time 3.00pm , could not bother clean room 4.00pm . apology whatsoever . queue check - in long . eventually get room , small , fortunately clean ! ! crumbs carpet outside room door . four day carpet never vacuum ! travel extensively never stay badly - run hotel . love New York hope go back one day , certainly will not hotel . give impression could not care less customer . 
 Feb 26 2009 	 bad hotel ever 	 begin describe horrible experience hotel . begin , hotel general feel uncleanliness . shower curtain bathroom cover mildew . one lightbulb many function bathroom . complain both- issue remedied . could not get old dirty everything feel . stay business , August , notoriously hot humid time year city . astonish see rather tall build two elevator , small 5 - 6 people fit . morning , wait catch elevator least 15 minute . mention hallway wait air - condition . one morning , hotel employee notice wait uncomfortably long period time , send service elevator . opt stair morning . hotel also lack fitness center , day age make little sense . luckily , Central Park block away . I would never , ever stay hotel . although location nice , many hotel nearby much well . 
 Feb 26 2009 	 Good Location 	 sister stay Wellington 5 night . hotel good location , within walk distance many attraction . room little small side , room much adequate . lovely clean towel change everyday . 
 Feb 26 2009 	 great value 	 great location room great value . will back ! 
 Feb 25 2009 	 great location ! 	 return NYC boyfriend stay Wellington 5 night . arrive hotel 11 pm , check staff friendly offer help bag room . room 26th floor amazing view Central Park . room medium size , comfortable clean well daily . bathroom sign general use clean . sheet towel replace day . the hotel great location site , times square block 7th Ave Central Park two block . literally walk walk , explore city taking offer ! actually walk hotel Battery Park Statue Liberty Ferry - take 2 hour , great walk ! not sample restaurant hotel , eat breakfast Fluffy 's meal . drink hotel bar , expensive fabulous cocktail ! ' m already plan next trip NYC definitely stay Wellington ! 
 Feb 25 2009 	 amazing location clean friendly staff perfect rounder ! ! 	 visit Wellington Hotel November 08 part leisurely shopping break . hotel overall quite simply basic ( although clean ) , however location make one stand . first time traveller New York bit unsure stay ideal location . Metro station right outside door , Carnegie Hall next door , fab breakfast / lunch / dinner next attached hotel , Times Square block away , Central Park minute away also . amazing Deli right across road . call 55st Deli , breakfast deal amazing , sooo cheap delicious . friendly staff hotel . room clean every day bed make , bathroom supply replenish etc . internet right reception area handy , research good shop , place eat etc . lot flyer little book luggage desk offer discount shop , restaurant etc . fab place , can not wait go back ! ! hotel suitable age group . bell man always willing help . ( worth $ 1 note pocket tipping ) . beautiful Christmas . 
 Feb 22 2009 	 great location ! 	 hotel could really well location ! ! walk 3 minute one direction heart Times Square 3 min another Central Park ! room small expect hear Manhatten hotel room tiny ! ! room warm however lovely cold February evening ! downside room filthy bathroom really not mind much not spend lot time room . staff friendly , help luggage opening door . also book trip problem pick points- man reception phone tour company sort us- helpful ! ! trip ( movie location ! ) also provide we another insight hotel- use Borat movie ! ! , perfect we planning spending lot day away hotel explore city would definitely recommend Wellington ! 
 Feb 18 2009 	 great room fab location would love return ! 	 Bell hop help we luggage taxi step onto trolly trice ! flight early although room ready able complete check formality store luggage . not mind room be not ready tell beeen upgrade . [ previously email say celebrate silver weddinng possible allocate ' nice ' room ] return 2 hour later find room ready pleased ! two window . one view look directly Times Square look onto 57th st . 17th floor . whilst room huge , perfectly adequate need huge wardrobe iron , iron board hairdryer . thing miss kettle tea coffee make facilite ! room always warm , sometimes little hot , could always open window . plenty hot water bathroom well stock toiletry . the maid service day excellent , return day find beautifully clean room bathroom fresh towel day . whilst decor might everybodys taste would fit more'traditional ' catogory , rather boutiquie , provide excellent value money . location second none . take 10 minute walk Times square 5 minute central Park . surround place eat . use Fluffy , { excellent bakery breakfast . good cup tea ! } lot interesting local restaurant prepare venture bit 9th Ave . find fantastic place call Hour Glass , well worth visit . 4 course meal coffee 20.95 ! also lot local deli 's shop around , never stick anything ! really go far wrong Wellington term location great value money central New York ! 
 Feb 17 2009 	 good value money NYC - unbeatable location ! 	 girlfriend recently return 8 day visit NYC . stay Wellington , simply amazing . receive complimentary wireless internet , make sorting 's do not 's NYC breeze . ever find need ride to / from airport , ask Sami limousine service . great guy . honestly say Sami nice cab driver ever encounter entire life . wonderful hotel unbeatable location . subway entrance unbelievably close hotel , Times Square , Columbus Circle Central Park within 3 - 5 minute walk . having also stay fine establishment NYC , never much consider stay hotel future . 
 Feb 13 2009 	 Fantastic Location 	 fantastic location . 10mins central Park 10 min Times Square . hotel require update . staff curteous . step get hotel pain daughter stroller . doorman offer assist odd occasion . room also require update . internally dark old style colour bathroom suite clean . book double room end suite lovely surprise . suite include kitchenette . fridge useful . surprised room size hear NY hotel room generally small side . we 11th floor . get noise always tired day walk crash really not bother we . I definately stay price great location . 
 Feb 11 2009 	 Great Value 	 Basic facility adequate . great location two minute walk Time Square one direction Central Park . want see hotel dvd watch Borat movie get elevator think room . 
 Feb 9 2009 	 Choose Battle 	 stay 1/30 - 2/3 husband . book deal Pricleline $ 65 night ! ! ! ! pro : perfect location , clean , warm , safe , friendly staff ..... con : small date room , small bathroom , door look like someone try & quot ; breakout & quot ; . certainly complain price pay . stay previously last summer child large room , date . consider value ... sleep shower , safe , clean , friendly . consider stay get good deal . nothing worry , know expect . 
 Feb 4 2009 	 great hotel great location great staff 	 stay Wellington christmas 2008 . arrive 8 am . enter 7th Ave entrance - bell man help we case . go step get actually hotel not ideal struggle luggage anyway bell man always see always willing help . check not available 3 pm ask possible room view lady desk explain come back around dinner time room ready . kind pre - check we - take detail i.e credit card info , name etc etc come back case hand key / card room . come back around 1 - 2pm - room getting finish . hang around 5/10 minute look around foyer - lovely christmas tree , nice warm feel - quite ' old fashion ' like add feel hotel opinion . fire place christmas tree nice add feel hotel . not modern hotel will ever come across nice homely hotel . Bell man going take we room say thank thank . have trek right america suitcase think could manage take lift say always need . read review regard lift - quite small not slow . experience ' slow moment ' like head one morning around midday . around time lift obviously go get full people luggage work way check . 23 24th floor ( can not quite remember - either 2324 2423 : ) ) . exit lift remember think - ' nice decor ' - wall full mirror ! ! not know make corridor look big actually walk away lift realise really narrow . walk room locate right end corridor around corner . first quite disappointed size room honest think would spoil 3 hotel would stay trip ( NYC mind ) . stay double room great view central park ( check picture ) . aware come room NYC not bit elsewhere need bed , bathroom , work desk , television . also cupboard wih enough room suitcase house iron board iron . reality room big enough - big would waste ( ' m glad not pay suite ) . bathroom however small - everything need include hairdryer amentie soap etc honest spend even less time room honest not end world . shower however little tempremental - please take care ! ! thing dislike air conditioning unit . make quite bit noise - woke one evening feel around floor adament leak water pipe . loud begin soon get use . housekeep great job - considering , let say , ' old ' hotel ( old new comparison other ) , clean room quite modern alot nicer make first impression get corridor . would certainly stay - research alot trip come cheap . book direct hotel enable cancel / amend necassary . 5/10 minute central park right exit hotel 5/10 minute times square area leave . subway underneath hotel would say one main line take anywhere central park brooklyn bridge ( although transfer maybe necassary ) . Park Cafe also underneath hotel ideal unless ' m mistaken provide room service . get little something one evening nice reasonably price . also gift shop street outside also connect hotel - not open time majority day . say want anything there s couple deli 's round hotel include carnegie deli across road . you will not disappoint stay - bargain hotel fantastic location . enjoy ! ! 
 Jan 31 2009 	 Great Location 	 agree previous review hotel . it quiet bit date room lack modern mod con . that moan hotel room spot less , receptionist bell boy hard work friendly . location central Manhatten could not fault position . yes resterant coneted hotel pricey well cheap one 's close i.e great flurry . if look room use base New York rest sleep hen Wellington you . if look bit hotel look else .I know next time go New York stay Wellington . 
 Jan 31 2009 	 great location ! 	 recently Stayed Wellington Hotel Manhatten . nice hotel , great location , 5 minute walk times square 5 min walk central park . there also subway right next hotel . hotel bit date problem toilet shower . toilet leak whenever flushed floor always soak wet shower make horrific loud noise turn hot cold shower whole time , be not nice -8 outside ! complain receptionist nothing do . besides problem bathroom , bedroom nice . quite basic everything need . 
 Jan 30 2009 	 good cost / benefit NYC 	 staie hotel 5 night . tell location excelente , room old fashioned clean good size , good bed , bathroom small clean plenty hot water . reception staff efficient , outside coffee shop good food honest price . would definitively stay . 
 Jan 29 2009 	 Apple 's core ! 	 centrally locate many NY 's good site place stay . be blandly refurbish international copycat hotel , still retain certain character despite spank new . it offer good value room get businessof see New York . I personally room NY view previously dream about . the Hotel attach sort Cafe serve good food also surround variety type place eat . so want bolt hole catch refresh get back Streets place . the Ritz . however experience spoil . 
 Jan 27 2009 	 complaint ! ! 	 partner stay Wellington 13 night January 09 . initially , little worried book hotel reading review . honestly say dissapointe Wellington . room good size , bed comfy every bit hotel see spotlessly clean . maid clean room give we clean towel every day . location hotel - really get much well ! Times Square block one way Central Park block end street . subway station right outside hotel Park restaurant underneath hotel . eat breakfast although nice , little pricey breakfast . the restaurant also provide room service hotel . opposite hotel starbuck next block one ( towards Times Sqaure ) couple great deli / cafe ( Fluffys Cafe Metro ) serve tasty breakfast , sandwich , wrap , coffee , pizza , salad , pasta .. ! check choice cake Fluffys ! ! see hotel consider book ( also expensive ) definately pick well Wellington busy area night feel lot safe return back room . would definately recommend hotel would think twice return ! ! 
 Jan 24 2009 	 brilliant location great atmosphere 	 brilliant location , great atmosphere , hotel quite old , us New York , character , go Christmas tree lobby beautiful add whole experience . room ar not big go see site sit room , clean well present staff really nice . everything short walk away breakfast Park restaurant delicious , go every morning , staff really friendly . would consider hotel next stay . 
 Jan 23 2009 	 bad hotel stay entire world ! 	 dissapointment hotel . thought would great 's excellent location , service & amp ; state hotel terrible ! write whole article , example : room ready , get room also ready ( bed make , champagne glass etc . ) next room sewerage problem . say room . fight give we room . room look fine , go bed , bed dirty ( hair etc ) Everytime complain , treat we like enemy . totally unfriendly , unhelpful plain rude . also , view rubbish dump dark alley . also charge we quote paper . unwilling change back . 
 Jan 22 2009 	 Great Location 	 stay 3 night December . location great , 5 min walk Times Square . reception staff helpful info require . room fine hot . would stay . 
 Jan 21 2009 	 Great Location 	 Hotel whole fantastic . helpful staff , clean room great location . look hotel use base explore city . not expect 5 star hotel . room spacious double bed single bed small bathroom . heating system room make strange noise , shower not know bad ! however , room clean daily fresh towel supply . hotel stone throw Times Square major attraction . lot restaurant diner choose starbuck right across street . eat braekfast Lindy 's diner try Redeye restaurant across street , excellent ! whole would recommmend hotel young couple group friend . would definitley come back hotel serve 's purpose . 
 Jan 20 2009 	 Good Hotel 	 reasonably happy hotel . location excellent price ok . service cleanliness generally ok . two bedroom toilet one great ; prone backing flush properly . stay New York January , obvious worry cold . however , opposite problem apparent . room way hot . window open outside temperature freeze room still hot . 
 Jan 17 2009 	 Great Location 	 ok , will honest hotel . 's good , be need stay New York , want 5 min away Times Square , possibly budget . from arrival noticed doorman rarely open door , struggle bag reception . notice hallway / reception area pretty small 's putting . receptionist , friendly , sometimes look bit miserable . young girl probably bore work ! check quick . visit send email ask chance possible upgrade Girlfriends birthday whilst stay . get reply , tell upgrade whilst check . ' want ask want get room . the hotel way make sure bell boy get extra . like many review , reception would say ' get one guy check room ready help bag . ' really say ' already guide room ! well , tell we go back hotel get one lift floor . find stay Pent House . upgrade ! happy ! room one double single , dinge table two , desk large mirror , flat screen 32 inch tv , room perfect ( we anyway ) .only problem room , heating set timer would usually come evening , around day around would bit chilly ( ny , go stay ) . , one day come back find room clean ( always good job ) notice toilet fill water tissue . ' like leave , ' guess clean . call reception say get hold janitor send . think ' hour 5 min knock door crack . perfect ! even fix handle , loose , without ask . apart , light shower ' work ( still enough light room though ) , wear tears wallpaper ' obvious people stay knocked bag . last bit people like moan littlest thing ' understand janitor ’ much time check every single room , well ' let reception know thing , know fix they . location perfect , step hotel surround shop ( mostly deli ' ) . leave 5 - 10 min walk straight Times Square , right 5min walk Central Park . walk 20mins behind hotel 5th Avenue ! hotel right sightseeing everyday need room evening . 
 Jan 13 2009 	 love 	 moment arrive , time leave Wellington welcome , friendly well situated . staff wonderful , room ( 32 ) suite , much view clean spacious ( New York , yes ) .useful kitchenette , plenty wardrobe space , bed settee , kingsize bed , table chair 2 tv , sgood sized bathroom , plenty towel , ask pillow arrive asap . our daughter , son law grandson king size room , ( 68 ) big bed , plump mattress , bathroom lovely , hotel provide cot grandson , double playpen . the Molyvos restaurant pricy food fantastic , wait staff lovely , bar staff attentive.the attach cafe , good breakfast , early , busy later food good , top little gift shop , bad price helpful event ticket , may gather love . 
 Jan 12 2009 	 Location location location 	 stay four night part honeymoon . the location fantastic . Metro stop hotel 's doorstep five min walk Times Sq 10min walk Central Park . our room tiny approach reception see could move . apparently small room could not believe . try upgrade we / move we tell honeymoon , hotel fully book . find hotel room need redecorate date . useful internet provision small fee avaiable lobby . however , would look different hotel stay , great location hotel score highly want everything doorstep/ 
 Jan 11 2009 	 New Years Eve New York 	 HOTELMe boyfriend stay Wellington Hotel , New York 31st 5th January 09 . pleasently surprised location hotel , central expect , block right Central Park leave Times Square take 5 minute get . hotel nice , could update , 8 am every morning , not return 9 pm night , time ready bed , serve good purpose lovely warm . room small , basic , enough two people , tv , lot different channel , option buy Movie channel $ 12 even England . gripe hotel light switch opposite shower , water full power would come close switch worrying , one plug point opposite shower . 14th floor , could hear noise outside , view great , ( grey build opposite ) could bad thing worry hardly , one side building look Central Park . lift lobby hotel slow sometimes wait second lift due amount people wait . staff friendly , helpful especially Frank ConceirgeOUTSIDE HOTELThe tube station literally outside door , however never need use walk everywhere . lovely greek restaurant hotel , access hotel great day not want go far dinner face cold , , cold . think London bad ! FOODWe find food general quite expensive , tip expect 20 % , quite forthcoming asking . fact eat burger bar opposite hotel , first night leave $ 3 , shout waitress , say must leave $ 8 despite helpful . similar situation happen throughout holiday , aware not leave tip , probably challenge . new YEARS EVEWe arrive new year eve , be mean good place celebrate , quite disappointed . decide go 9 pm , assume still ' early ' time many people , pavement shut , could not walk outside hotel congregate road . I never expect front , assume would put big screen / speaker see hear happen , side road leading time sq , however nothing , although close , due amount people , could see hear anything . one hour stand cold move forward decide go bar hotel , come back 11.45pm , nice atmosphere everyone count firework let central park . not get back hotel see celebritite event throughout night take place Times Square look fantastic unfortunately not see anything . apparently people start congregate 4 pm , early , honest even arrive early cold , impossible stand long . aware want aim front get early , move toilet / food lose place alcohol allow . SHOPPINGI would strongly recommend trip Woodbury Common , 's hour Port Authority Bus Terminal cost $ 40 money save comparison shop 5th Avenue , regret , price cheap , offer discount go visitor centre , receive big booklet discount use offer work cheap.5th Avenue not cheap , great experience , walk Central Park 34th Street , manage fit lot sight seeing . would recommend flat comfortable shoe go winter , hat , scarf glove . SIGHTSEEINGOn last night visit Marriott Marquis Hotel , revolve restaurant / bar 47th floor . amazing ! see everything , room lovely decorate , romantic , group people cater everyon . lovely atmosphere . aware even stay drink , charge view $ 12 , make aware , we worth great experience . 
 Jan 11 2009 	 good value location money 	 stay theWellington hotel 6 night new newyear great location . room clean expect facility except do not provide tea / coffee facility . rebooke Wellington August hotel bit tired still great loaction subway outside centralpark time square 5 min walk . good value money friendly staff . 
 Jan 11 2009 	 disappoint 	 small room ever encounter stay US , ditto bed , UK double equivalentno facility make drink roomstaff helpful friendlylift -patience need ! ! ! ! Park Cafe greta food quality quantitylocation good 
 Jan 10 2009 	 great location 	 arrive hotel 30th December although book year ago mix room we first ! room small clean , stay room 1141 ( face road ) first night move room 4.30am sure kind rodent crawl heating system heating keep make clunk noise . move room road view alot quieter nice . the advantage hotel location 3 min central park subway station outside hotel . Don ` eat cafe next hotel although food good price high , go round corner telon cafe food half price busy , also eat 9th Ave lot choice fantastic price . 
 Jan 8 2009 	 lovely stay wellington 	 location great , walk straight south right time square . book expedia get well room brother law book directly hotel . room twice big 25 % less pay . room cute traditional decor , clean . staff okay , guy work gift shop amazing . get we really good ticket broadway cheap , pretty much help we everything since first time . 
 Jan 4 2009 	 Great Location 	 stay hotel two friend December ; book double double room , consist two bedroom little kitchenette . hotel see well day could decorate decor little jade . room dark windows look shaft . room always hot way reduce heat . provide little kitchenette , cup cutlery kind . kettle fridge could not make cup tea seem rather pointless . hotel clean location excellent . , suit we want somewhere central , clean reasonably price . hotel fine plan spend little time hotel , want sit hotel New York . 
 Jan 2 2009 	 Good Value Location 	 reading review worried stay hotel . require update , clean cosy great central location . 
 Dec 31 2008 	 US Standards 	 choose hotel b / s next Carnegie Hall one block Times Square . half price Park Central across street . however , due condition ammenitie , uncomfortable bed , low quality sheet , poor upkeep , wish have double hotel budget stay elsewhere . remind hotel 100 - 200 year old Europe ... frankly , sleep window close still worried night rodent visitor ( window leave open upper floor hallway ) . antiquated elevator become stuck even hold hotel personnel convenience ... visitor wait ! ! ! stay 13th floor penthouse pay extra room ... like storage closet tv . foldaway bed provide unusable green gum stick bottom ; would fold lie upon ... little dangerous son sleep . subway outside hotel nice . stay , know get . 
 Dec 30 2008 	 Love Hotel ! 	 friend book hotel Thomas Cook . great value brilliant flight time ! arrive hotel early ( 11 am ) give room strait away ! rush upstairs chuck case quickly get change freshend ! need look Google map see central hotel ! FANTASTIC ! walk everywhere ! mean everywhere ! yes hotel room small gorgeous view Times Square make , do not eat hotel find good little cafe street ( way time square ) call ' Fluffys ' well ... suit we ground ! hot toste bagel every morning really realy good look muffin reasonable price ! would recomend goin see Emire state obviously would not recomend go ! Rockerfeller Cheaper , big , que bonus get empire state picture view ! evening meal .. entertainment highly recomend ' Ellens Stardust Diner ' time square ( ) wait staff profome art school work broadway try make big , oh man sing ! ! wil burst song serve ( food tasty ) much fun ! look Tube sneeky preview ! already book next visit march 09 stay Wellington : ) hope help ! 
 Dec 29 2008 	 great stay 	 stay Wellington Hotel week Christmas five night fantastic time . Hotel centrally locate , check quickly bag take room straight away . although not much view , room spacious , clean comfortable need 8.30 day night . room clean daily clean sheet towel . 5 minute walk Times Square 5 minute Central Park , Subway across road numerous Delis choose . find Deli immediately across road quite expensive , Fluffy 's stage Deli enjoyable reasonable . Cafe attach hotel pay $ 12 two small beer . tip seem eat holiday budget quite lot . find within walk distance Empire State Building Macy 's , although bit trek , also Rockerfeller Centre . pay $ 49 around City hop hop bus trip Grayline Red bus tour , uptown tour , downtown tour holiday light night tour , could Brooklyn tour pick bus south side . could get time like , visit place want jump back next available bus come every 15 min . find hotel fantastic base , staff extremely helpful , day leave , soon come suitcase , porter ask need taxi airport would keep suitcase rest day need leave . $ 55 order luxury Sedan take we airport , yellow cab cost $ 45 plus $ 5 toll plus tip airport . everything well organise . would not hesitate book hotel hope go future . PS . must visit Charmin Restrooms Times Square ! 
 Dec 28 2008 	 Great Location 	 far positive thing hotel location - near Times Square , Central Park , Radio City numerous place interest . hotel pleasant enough- not go New York spend time hotel . lobby area always really busy sometimes wait age lift . room little wear around edge , generally clean warm . 4 female member family room two double bed . nicely set we , bed two separate area , two separate bathroom . attach cafe nice enough breakfast busy sometimes queue door - therefore feel bit rush . plenty , less busy , place breakfast area . consider location price pay , would say hotel offer good value money . 
 Dec 27 2008 	 Wellington Hotel Bait Switch 	 book double double July vacation Christmas . arrive hotel yesterday instead room , tell sell send & quot ; sister & quot ; hotel . see several guest stand . sister hotel old room tiny . season business traveler , know hotel bait switch see . traveler beware book Wellington Hotel NYC . 
 Dec 27 2008 	 simple hotel great location 	 Wellington Hotel special : room small ( small ) ; bathroom simple clean . location however great : 300 ft Central Park next metrostation . 
 Dec 19 2008 	 ! 	 stay Wellington December 16 - 18th . arrive red - eye kindly allow check - in around 10:30AM even though state time 3PM . call day advance make request . arrive single traveler give two bedroom / two bathroom suite 24th floor view Central Park north . hotel conveniently locate major attraction . wear tear ( door casing scuff , carpet stain , etc . ) , room clean . bed mattress quite soft . drawback hotel room small fridge coffee maker , generally standard many hotel room . would like save left over expensive meal , way keep fresh . would suggest take / buy collapsible vinyl cooler get ice ( provide room service ) chill drink / leave over . nearby deli , benash , immediately south hotel 7th 55th , place would RECOMMEND . lunch $ 27 ( chicken salad sandwich , fry $ 5.95 drink ) plus $ 5 tip total $ 32 lunch one . sandwich ridiculously over - sized end waste half fridge hotel room . secondly , deli charge $ 6.40 canoli , tasteless crust limp / damp . bakery right next door south sell canolis $ 3.50 . hotel lot tourist stay good bargain overall . staff friendly . 
 Dec 19 2008 	 Travel Agent Review ... Fab ! ! 	 friend travel New York Sunday 14th stay 3 night Wellington Hotel , fly JFK staright forward wait passport control hour . Taxi outside airport flat rate $ 45 inc toll tip straight forward . hotel : upon arrival Wellington hotel happy , check busy quick , give room 426 ( 4th floor ) clean tidy everything need order lie head NYC stay room day ! bathroom facility need bath toilet sink powerful shower consider old shower , minor prob friend double bed ? ? book throu hayes jarvis say standard room twin bed , case , say need sleep bed big enough comfy enough we . lift little slow rather small high floor may issue we do not mind . location : fantastic location ! ! 7th Ave 55th Street . Central Park end 7th Ave literally 3min walk , Times Sq 5 - 10min walk , go 5th Ave perfect end shop ! Rockafella Centre block Empire State bit walk 34th Street walk , back ! ! 5mins 53rd Street Subway take e train last stop Ground Zero walk Ground Zero ferry port Liberty Ellis Island ! price : idea anyone travel NYC near future , Liberty Ellis Island $ 12Rockafella Top Rock $ 20subway Round Trip Ground Zero $ 4ppempire state Building $ 25taxi JFK $ 45 plus tipprivate car Newark arrange hotel $ 75 plus tipCentral Park Ice Skating $ 23 inc skate hire , locker skate long like $ 6 return lockerscentral Park Zoo $ 10tips : Rockafella Top Rock 11 pm pratically empty fab New York Skyline ourselves . bloomingdale offer 11 % visitor card , get visitor station get 11 % everyte food perfume . overall : overall fantastic holiday , extra night would nice make perfect break . would defo stay hotel , budget want location friendlyness hotel number 1 choice . can not wait go back sooo much ! give year go back , otherwise would not able appreciate . 
