great 	 book two deluxe double double room spacious . bed comfortable . room hot despite turn heat turn a / c . second room plumbing issue . staff really friendly helpful display none superior attitude often encounter upscale hotel . 
 Oct 28 2007 	 Noisiest Boutique Hotel ever ! 	 ' ve stay Marcel three time . reason come back even though room minscule , nicely appoint - everything new give impression be stay upscale hotel - even though Manhattan , would describe mid - price . problem stay - third floor - fairly well accessible stairwell oppose elevator - program skip floor make total round trip - get many people stop get ... frustrating watch wizz several time stop ... sigh . event , low floor , stairwell door never stop slam . also , hotel staff luggage cart bang way hall without regard much noise be make ! maintenance staff - housekeeping etc . nice . ' ve find front desk staff variable - three time , never see person 2x . well say 5 star stay Seattle ( price might add 2.5 - 3 star hotel Manhattan ) . would stay , guess . Manhattan choice good price limit . bring earplug ! 
 Oct 27 2007 	 bad stay ever hotel 	 room queen - get double . could literally stand bed touch two side wall . arrive 50 degree outside - room least 85 - likely close 90 . gummi bear honor bar melt ... lie . turn window AC unit - blow hot air , rather useless front desk staff advise we & quot ; Central Air & quot ; turn season open window , spend night listente parade fire truck , garbage truck wonder would visit pigeon . floor thrid floor give degree make one feel would drop , sheet smell pleasant fridge also good heating thing ..... truly horrid stay - stay hostel well ammenitie cheap . 
 Oct 24 2007 	 Practical Affordable Place Stay 	 would say anyone look reasonably affordable hotel accomodation New York , good option . location 's good , staff fine , be great breakfast place road room recently refurbish , clean comfortable . it be always hard find nice affordable place big city , sound choice . 
 Oct 15 2007 	 good value building work complete 	 spend 4 night standard room would recommend look good value frill hotel . like other wonder let read early review stay actually quite pleasant . building work appear lift work . room small unduly hotel class NYC do could furnishing give bit style . clean fixture mostly new . staff deal efficient helpful . aircon bit noisy , instruction room safe , room not actually contain one ! also agree minibar overprice superfluous . overall good play stay would come back . Liked area too- far Lexington Avenue line plenty restaurant 3rd Avenue . 
 Sep 24 2007 	 great little hotel 	 reading review Marcel , would say alittle worried location perfect work need NYC . say Marcel meet exceed expectation . customer service exceptional decor right alley size room , perfect room clean . let face folk NYC spend day hotel room something seriously wrong you . the location close public transport , hotel NYC walk subway , what s couple block good city world walk . negative experience Marcel reading review say never travel , oh travel , travel alot make point stay great hotels.cheer Marcel back stay several friend Feb 08 week . 
 Sep 23 2007 	 great place stay clean without problem 	 stay Marcel hotel Deluxe room two night actually love beginning . room like show internet pic , clean , love detail , actually able look right onto empire state bed . I especially love bathroom , hasa rain shower great Art Deco look . the happiness lastet till 7 a.m. next morning , one neighbour shower discover hotel problem pressure water pipe , end terrible noise . front desk manager tell we problem new would try fix day , tell later technican , problem actually well known . quite lot disussion upgrate we suite second night , fact really great , without noise . overall , great hotel , besides waterpipe . would recommend , book room , make sure be 9th floor ( that s problem ) . 
 Aug 29 2007 	 will come back ... 	 great central location . loud , really : New York City , . two thing need next time : empty fridge ! not want buy price soda , water beer ! would like store , less expensive palatable item fridge ! would also like local phone directory room . the room small adequate . clean comfortable . the air conditioner rather loud . pleasant staff . yes , one two lift ( still ) service.thank , tomh 
 Aug 19 2007 	 sure check get ! 	 stay Hotel Marcel twice August 2007 , 6th-11th 17 - 18th , mother . I aware place renovate , look much well time second stay , however believe feature sorted hotel open . my initial impression Hotel not great , outside look rather tacky brown cover brown window give impression place close . inside however modern tastefully decorate , albeit little cold due excessive use air conditioning . time first stay one lift work , slow , wallpaper peel wall wire hang would safe small child . room ( one two bed ) though like hotel lobby , tastefully decorate , rather small , suitcase place floor ( two ) little space ground move . big flat screen tv look rather place room size . Fortunatley hot stuffy room , air conditioning unit rather noisy , cause problem particularly night . wall thin traffic could hear whole night last three night road outside dig 6 am could hear drill use . bathroom however clean & amp ; tidy amenity soap , shampoo , conditioner rather useless shower cap provide ( suggest bring ) . shower fix one locate bath want hot shower could control ammount water come , mean water would go everywhere . the Hotel central location , take 30 - 40 min bus subway train get Times Square restaurant currently renovate ( despite claim many website open ) .On 2nd stay despite request 2 bed room mother & amp ; end one bed room cramp dark , ( window round corner let natural light room ) despite fact stay one night ask move . luckily two bed room free much big light . by time 2nd lift work 1st one renovate , though restaurant still close . if end stay hotel , even will request two bed room check will get . 
 Aug 16 2007 	 good 	 bad experience Marcel . arrive , window blind work properly ( would go way ) . ask someone come fix go . get back later evening , still fix . ask next day . second day , housekeeping leave we washcloth soap ask . third day , housekeeping leave we absolutely towel . daughter notice finish shower ! ! ask bring we towel stand dripping wet . check try charge $ 32 item mini - bar use . wait get hold someone go upstairs verify everything still . clerk never apologize billing mistake , make we wait . 
 Aug 14 2007 	 Tell staff need . 	 probablly would stay price . would note , water temp barely warm one tv station . call downstairs , tell thing call . would tell management 5 minute thing fix . hall clean full towel sheet stair ( guess not much workable space ) staff friendly , tell good home cook breakfast place . not breakfast hotel . room small clean . hotel still remodel ( lot ) do seem do someone not good finish work ( nail hole mold fill not sand paint , nice marble bath sprinkler caulk around , carpet nice modern pattern carpet installer not lay straight wall , lot little unfinished thing . ) flat screen tv , ipod radio , nice bathroom , modern furnishing , single woman feel safe . next time would ask room chair , tell want 5th floor traffic noise non smoking room , accomadate evererything ask . 
 Aug 3 2007 	 good hotel 	 return week Marcel hotel . hotel clean never experience incredible service . also ipod station room , wake music charge ipod . overall would say probably good hotel ever stay holiday positive it . will defenitly return back Marcel next year . 
 Jul 20 2007 	 extremely clean modern fantastic location would definitely book hot 	 stay 3 night Marcel July . yes , room small , expect NYC . room extremely clean , plenty space bathroom hairdryer small shelf ( enough toiletry ) , armoire dresser clothe , iron & amp ; iron board , mini fridge , flat screen tv , comfy bed , pillow comforter desk . upset forgot ipod … the alarm clock ipod cradle ! ! 1 work elevator , use construction , mean wait one whole minute elevator ! omg ... horror ! case ' get , sarcasm ! numerous restaurant bar area well . also grocery store street . ' go back hotel till late night , street still busy , safe walk . Doormen always nice staff . valet parking , ' NYC , ' crazy car first place ! 4 minute walk green subway line . , incredibly convenient . buy $ 7 day pass go city . this hotel perfect location , be half way uptown ( time sq , TOTR , grand central , central park , etc ) downtown ( financial district , battery park , chinatown , wtc , etc . ) walk block madison sq park eat Shake Shack 's worth wait ! ! ' let other discourage place , everyone else standard must super high really picky . price great hotel would definately stay next time visit . I take picture proof room really nice , do not right . want see , will gladly provide . 
 Jul 15 2007 	 Comfortable Night 	 friend come town dance night away city Marcel seem like good deal find online . look little different virtual tour online travel website , still look nice modern clean . elevator undergo renovation , not look good . room , decor , staff make minor detail . room , though small , comfortable , especially one night stay . actually wish would ' ve stay another night really appreciate cappuccino bar sleep - in comfortable bed . really feel like lucke Marcel . 
 Jun 28 2007 	 avoid hotel 	 leave hotel feeling , angry . one half front desk absolute joke . unhelpful , slow , discurtious good . ' ve stay dozen hotel NY find , bad experience 5 year . hotel seem unfinished . electrical panel lay bare outside room , lift appear fall apart . room spacious smell damp . mid price hotel wish have spend buck go elsewhere . 
 Jun 26 2007 	 love room 	 stay several NYC hotel find room Marcel average size extremely clean comfortable . bathroom small since travel alone issue . also find front desk staff courteous however get request wake call one morning . luckily ihome alarm clock work . doormen / bell staff another matter . cam back afternoon generally sit outside front door ( prop open ) smoking . also one offer & quot ; deal & quot ; airport transportation ( $ 40 LaGuardia ) . explained pay $ 32 include tip get get huffy . go 3rd Ave . get cab -- fortunately problem . also regard transportation , Marcel bite far subway stop , escpecially theater district . 
 Jun 23 2007 	 amazing hotel price 	 doom gloom read line , Marcel amazing , stay hotel NY least month . Harry front desk cute extremely personable nice . already recommend hotel friend . room look like picture ( spacious NY term ) . would give 1/2 star less Hudson Hotel ( considerably cheap ! ) star less Hyatt Intercontinental ( hundred dollar ) room well Paramount ( Paramount 's lobby nice ) approximately price . 
 Jun 14 2007 	 do not stay ! ! ! 	 stay hotel one night terrible ! ! staff useless totally unhelpful / rude . room smell damp ant corridor dingy unfinished . total waste money never describe boutique hotel ! ! I ve well service Mcdonalds ! ! 
 Jun 9 2007 	 get pay ... 	 know Marcel & quot ; boutique hotel & quot ; . room may seem small people ... think room size ok . chest drawer , could annoy anyone not like living suitcase . closet hang item . find room , face 3rd Ave . , , loud . could hear every street sound , dog barking , etc ... even air conditioner run . would recommend get different room , find city noise annoying . service fine . lastly , area reasonably price place eat . Important Marcel room service . area city feel comfortable safe ( however , not dark ) . 
 may 28 2007 	 Quieter midtown 	 Marcel Gramercy Park / Flat Iron region quieter midtown many attraction . short walk flat iron building , across small park , surround coffee shop restaurant . never far Starbucks appear lot lot . hotel undergo renovation write , lobby lot room complete - stylish . hotel restaurant appear closed time currently redecorate . plenty good restuarant 3rd 2nd Avenues . try Bao Noodle , Andreas ' . two lift floor one work construction high floor go . front desk staff always helpful . the coffee / cappucino machine lobby lounge free easy use . recommend tourist not want bright light Times Square . Nearest subway three avenue walk away , 5 - 8 minute . 
 may 26 2007 	 expensive get 	 room way small , like duvet cover bedspread . clean important way expensive . would stay ? lower rate ! cost $ 325 night need improve 's hotel find , be , bad ! ! 
 may 15 2007 	 stay away ! ! ! 	 begin ? choose Marcel celebrate 3rd anniversary . Booked Expedia 3 night - get treat second class minute arrive . first last trip NYC - hesitant go . first , room stifle hot look like college dorm . come twice try fix window a / c unit , leave sharp metal filter stick half way . front desk clerk , call ' manager & quot ; ( later find ) lie we room available . rather give we another room , clerk suggest cab one sister hotel across city - even though prepay 3 night Mercer ! well front desk become arrogant minute . nearly pass heat , show 2 available room , A / c 2 floor . , not even try disturb front staff talk friend cell phone ... , new room , ' well ' - move around 11:30 pm . however , night , awaken bysomeone slam door hallway oh yes , bed bug ! paper thin wall , room A / C , room bug - wow ! try open curtain see bird dropping window , look onto main A / c unit ( ironic since a / c first room ! ) . . whenever ask help direction recommendation go , give help whatsoever . even tell ' no , not cork screw ' idiot front desk , someone else bring one . talk personal ! , room supposedly ' clean ' leave wine glass dirty ( need lot survive experience - basically avoid hotel anything sleep ) not clean , return room full fruit fly spend entire evening try get rid they . it horrendous experience - ' ve stay 1 star hotel Europe well ! ask room change refund , tell ' deal expedia , book ' choice endure . well , follow Expedia refund we 1 night stay base horrific experience . would well sleep bench central park ! 
 May 14 2007 	 nothing Wrong Marcel Hotel 	 boyfriend stay Marcel three night . book mainly price , location , duvet cover - really not like sleep bed unwashe bedspread . read lot bad review TripAdvisor , admit sway reviewer write , & quot ; go New York hang hotel room see city ? & quot ; room king size bed , great tall bookshelf leather cushion headboard , desk chair , wardrobe , chic white leather chair . view non - existant . window great black - out curtain make feel like sleep womb . bathroom clean , tub 's enamel chip . carpet little torn , kind cool funky . construction go hotel , whatever not bother we , be light sleeper . third floor , room end long winding hallway , maybe be not hear anything ( ? ) . overall , Marcel Hotel fine . hold bag we , order car service , loan we corkscrew , etc . , not problem service . free cappucino machine not make great coffee , free okay pinch . room clean , quiet , reasonably price . ask , people ? ? ? 
 May 9 2007 	 Shockingly Bad 	 say NY hotel stay far bad . realize 2.5 star hotel not lot expectation . however , expect place room would get sleep wake 7:00 drilling hammering , loud construction worker , able perhaps watch movie 9:00 pm without feel sit jack hammer . service abysmal , many choice NY hotel would suggest look somewhere else . 
 Apr 30 2007 	 Warning Marcel Hotel 	 want warn hotel , stay last fall , put someone else 's charge creditcard addition charge , refuse admit make mistake , finally creditcard company take charge account , person get free stay credit card company 's expense , maybe friend ? , recommend hotel 
 Apr 4 2007 	 awful ! ! 	 stayed look nice online fairly close relative 's apartment . bed practically touching wall ... definitely tiny room ' ve ever stay . fairly noisy , . near Baruch college , convenient need . otherwise , fairly way everything . 5th floor , elevator ( yes , singular plural ) break . UGH ... staff friendly helpful . think decor lobby area nice . coffee / cappuccino machine lobby break well . DEFINITELY would not stay , would recommend . 
 Mar 19 2007 	 shocked terrible service 	 stay hotel year ago . think iI might uniquely bad experience , upon read other review , appear much change . love decor design hotel deeply disappointed service . my friend arrive , discover give twin room request , one double bed . night manager oblige move we room king - sized bed try get room we . room , toilet not work , move we nice room two double bed . time later call say leave room long available . guess decide sell room someone else place we there . we move back small room one double bed , bad first room . three room change one night , mistake . never move room resemble one reserve . never apologize , offer incentive continue stay , return hotel . day manager extremely rude . devoid customer service skill . thisi time write complaint letter hotel , despite send several letter explain happen , neither contact acknowledge way . the Marcel Mistake ? 
 Jan 30 2007 	 go Live Room sleep ? 	 NYC ? well , will say much : not stay hotel room . expectation price pay , bed comfortable price . ' ve pay four time pay bed super soft linen . admit unmentione renovation lobby make worry , room small . let real , could not hear worker . two we comfortable . admit trepidation review , think people book expectation hotel like would get suburb , extra sprawl space . need room cartwheel , not place . but NYC people . get see sight , take nap awesome bed . 
 Jan 23 2007 	 Hmmm sure would stay great bed despite 	 be take long time write review . remember use webpage research another hotel . anyway , husband stay Marcel Hotel July 2006 6 night . hotel look great hotel website , decide book travel agency despite bad review read . think people might bit picky , entirely wrong ! ! ! ! ! ! ! ! ! upon arrival face construction work , really problem we , get early every day . July , review ' m read , be still go , would wait . room , must say request corner room view , request meet , claim hotel full , allocate room 1st floor , along dark corridor . room quite small ( norm NY ) , manageable . one good point bed , really really comfortable fluffy duvet . downside , see photograph , tv closet , barely room clothe , 2 shelf 2 tiny drawer not open close properly . cheap piece furniture . window blind not go properly . another nightmare air conditioning , noisy . bathroom , complaint , spotless . full bath shower . clean toilets new toiletry every day , although buy bottle shampoo , shower gel etc , not usually like one hotel provide . as service must say 1st day go reception ask safe put valuable ( passport ... ) . tell safe reception room ... ask let know one nice room vacate could change , never . good service , must say . always polite , not much please customer ... expect tip ! ! ! ! Breakfast include ( , norm NY ) , problem plenty lovely cheap diner around area breakfast $ 10 2 people . favourite locate corner 22nd St 3rd Ave , can not remember name . good food , low price great service . not go one around corner hotel , can not remember name either , pay $ 25 breakfast 2 not return . hotel great location , central , also , Starbucks road ( well , be hard ny , ? ) underground station 2 minute away . all , hotel okay want base sleep shower , I´m sure would stay , opinion 's value money . maybe refurbish exist room first add floor . carpet ..... eeewww ! ! ! ! 
 Jan 18 2007 	 terrible experience 	 come back trip new york . go save time tell hotel : freeze new york night heating system break give extra blanket , room breakfast , noisy due construction , small room , dirty hall way , plumme terrible take shower foot swap water ....... switch another hotel 2 night misery sleep well comfortable also save money 
 Jan 7 2007 	 worth try 	 must admit nearly cancel stay reading review go little trepidation . stay hotel previously whilst hotel certainly go little recent year still good bet . it true construction work ongoing , room refurbish . might unfortunate enough next one room theni imagine would quite disruptive day . experience occasional worker lift inconvenience manageable . the room indeed small , experience seem norm New York . room view little natural light small window rear . room see seem slightly large large window onto street . bathroom door close tv control work put right immediately hotel , whose staff helpful throughout stay . thing hotel 's favour price pretty reasonable get one deal available expedia , similar . location , whilst notable many great neighbourhood bar shop . Bull 's Head nearby cool young bar lively band night . Molly 's fantastic classy irish bar good place spend hour bar , good hand . there number great diner , area huge tasty breakfast , Lyric Cosmos particularly good , hotel supply free coffee machine lobby . the hotel within good walk range Chelsea East Village close subway , block along 23rd St. the room clean bed comfortable . bathroom , tiny , spotless full - size bath supply clean towel daily necessary soap , lotion etc . all would recommend hotel , albeit reservation . plan spend lot time room would recommend elsewhere , probably not New York anway case . I would go back would happy current ' improvement ' make . 
 Dec 18 2006 	 avoid cost ! 	 book hotel base hotel website , holiday present son achieve great result GSCE's . upon arrive hotel notice scaffolding , ehich mention description , enter meet dust lobby , ex [ planation give work , staff hospitable , offer show we room , struggle upstairs riggety old lift , room , tired look like picture . bathroom could face lift aswell , least sheet clean ! God know stay thinfg go 's favour location . 3rd night stay hear rustle bin room see huge RAT ! complain reception alarm , something hear million time . Hotel totally ruin hoilday , something save year . advise avoid cost ! 
 Dec 11 2006 	 hotel bad review say 	 stay Marcel hotel 2 week ago think bad review say , mayby 's get old ( hotel renovation ) , room comfotable three get enought space , room bath clean . decoration 's beautifull , litle bit dark , u go NY see city think 's important room 's beautifull , important think 's comfortable . the personal hotel helpfull , get problem . yes hotel renovation , not notice noise trouble renovation . talk noise street , room window third street sleep night do not hear anything . second floor . 
 Dec 2 2006 	 bad Hotel ever stayed ! hated ! 	 wish know website hotel book . every bad review match experience . Dodgy area town , construction STILL go , price way expensive worth , hammer noise ! view window brick wall , lack food / no room service / no mini bar . nothing . get lift one day builder come - toilet . nice ! ( ! ) hotel good stay . stay hotel world much well hotel . paint job dodgy , wall chip . awful every way . meet client embarrass hotel location . crappy hotel try make look cool . stay away ! 
 Dec 1 2006 	 mixed bag mediocre overall 	 take chance Marcel Priceline could get 3 star hotel $ 250.00 late November . pay $ 227.00 plus tax Marcel . hope review TripAdvisor would prove overly negative . unfortunately , negative comment prove true . hotel construction , worker lobby ride shabby elevator day . seem work upper level build , hassle construction 4th floor , stay . reception friendly allow check early ( around noon ) . nice doorman come right help luggage . bad part hotel , hallway outside room . look like would expect flophouse -- dimly light , peel paint , door lead spooky vacant room . hotel room ok . decor remind something would see Trading Spaces -- cute modern design , do cheap . stripe roman window shade already break . desk room , tv , drawer clothe , bedside lighting , wireless internet ( $ 9.95 per day extra ) , iron board . bathroom fine , green marble tile respectable toiletry . good part room bed , like picture internet . , other note , lot noise 3rd avenue . not find problem sleep , since mainly car drive along , could pretend hear ocean ( ok , call Pollyanna ) .I not bother coffee machine lobby , since Starbucks nearby . plenty nice restaurant around corner , too . I wish get slightly well price ( $ 200 ) could overlook demerit easily . will not stay -- would worth $ 50 & quot ; normal & quot ; hotel . 
 Nov 27 2006 	 dreadful avoid cost ! 	 shock hotelrude counter stafftiny , borderline dirty room even tiny , horruble bathroomsout way location almost anything nycwould never go back -- review site show experience isolate , wish read book ! 
 Nov 23 2006 	 horrible 	 bad hotel ever stay even though rate high . pay 300 $ single room , floor filthy everything little bit shabby . concierge friendly either . one night even mouse room - bad experience - fo camping ! ! never stay ! ! 
 Nov 12 2006 	 dreadful hotel 	 quite simply bad hotel ' ve ever stayed ' ve travel extensively . simply check take forever , not recognize Expedia reservation ID # issue uponmake booking . Expedia fax hotel confirmation booking , Marcel not receive would not let we check without . would think e - mail Expedia Marcel Hotel would efficient way could communicate something simple booking . upon call Expedia not correct fax # file hotel , give correct fax # , still nothing show . finally get front desk clerk agree call Expedia , grudgingly tell responsibility take care . great service , eh ... finally conversation permit we check 45 minute arrive hotel . use elevator extremely slow tatty appearance , enter corridor equally substandard . upon arrive room door card work force return reception get new one issue we ( occur everytime left room ! ) . finally get enter room also disappointing . tiny room clean , poor workmanship appear corridor also apparent bathroom . bed comfortable , small . ice machine hotel four floor away room . I witness two guest similar problem check reception . occassion front desk clark rude unhelpful . also wait extended period time eventually grant permission go room . ' ve problem hotel undertaking renovation , mind pay much money witness occur first hand . close , complete revnovation re - open new facelift ( sure need ! ! ) , 
 Oct 27 2006 	 bad hotel ' ve ever stay ! 	 please take everyone 's comment consideration book ! 's dump far overprice . truth matter hotel absolutely describe profile 's website . hotel construction ( appear long time , reader say site ) major inconvenience guest , remorse staff management . do close hotel , renovate , re - open . clearly poor management . one travel companion suggest like Fawlty Towers , , total gong show , be nothing funny paying . not stay . $ 400 / night average ? worth $ 50 . 
 Oct 23 2006 	 Shabby expensive 	 return week stay Marcel . photo 's internet expect really nice hotel meet expectation ! hotel shabby messy . guy desk unfriendly place pack construction worker redo place ( really necessary ! ) . pay almost EU 1.000 , - four day stay way expensive . room small comfortable time unable use elevator construction worker also use day . would not pay thousand euro 's advance surely would left ! fact bad consider file complaint @ msterdam hospitality get refund ! 
 Oct 17 2006 	 review correct ! 	 wish read review book hotel . 48 hour cancelation policy . reason walk lobby total mess ( hazordous -- nothing prevent mark potential three floor drop ) . weekend seem lot better/ put together . material use hotel great craftmanship hotel awful . look like someone 's retarded brother - in - law construction . still go . 7 every weekday . make sure ASK CONSTUCTION go WATER LEAKS ceiling -- see last day stay , lobby not rainne outside ) . , room fine . service okay . phone work sometimes not work time . stay five day / four night . love neighborhood . want stay Times Square book hotel . truely neighborhood . lot great indian , veggie restaurant . cool , hip scene ( young single ) night . good area . hope complete construction soon , look like go go year . bite bullet spend $ $ thing right way . clean little . learn paint cock hang fixture straight ( remove bug ceiling light fixture ) . Crazy 's look frickin ' dirty . would stay ? hmmm . ' m tear . nice service price ( everyone say really cheap 279 per night really cheap ? ) not know . hate chain hotel -- really wish one live 's photo website . good luck . hope help . check cancelation policy BOOKING . 
 Oct 17 2006 	 Marcel Hotel -- noisy ! ! ! 	 stay Marcel last weekend , business trip / conference Friday Saturday Columbus Day weekend . first night ( Thursday ) boyfriend greet less enthusiastic receptionist , send room . arrive welcome clean small room queen size bed ( though request king ) . everything fine try go sleep .... mind you- also Philadelphia live right city , unprepared 3rd Avenue loud throughout entire night- like window . call front desk see could switch hung twice . next morning planning check , go front desk tell woman experience , promptly switch we king - sized interior facing room apologize we . name Melba , exceptional throughout next day ( see couple time check ) . room switch clean , quiet . , recommendation stay away request interior room , make stay much pleasant . 
 Oct 10 2006 	 bad hotel New York 	 stay hotel base excellent description website . truly awful ! say espresso bar sushi restaurant , consist Mr. Coffee machine ! whole hotel tired , grubby construction . worker hotel , ride ( clogging ) elevator . room less average . phone work time not hot water . hotel manager seem care completely unhappy . stay hotel , truly awful . 
 Oct 6 2006 	 horrible Dirty Scared 	 hello stay september 29,06 mini hotel horrible , walk many time door hotel like hotel door . lobby dirty , never like photo internet , never , elevator liked never clean dirty rug dirty never clean door inside hotel broken room scare photo see internet fraude hotel . make check , another person angry try cancel reservation hotel poor house carga elevator scare inside . all atraction , , , far mini hotel . price , high place . try stay less time possible 4 hour make reservation another hotel Times Square Zone . 
 Sep 22 2006 	 small hotel room I ve ever . 	 friend stay Marcel Hotel last year admit one bad hotel ever stay .... first ur first time viste New York stay . 20mins walk everything . end spend Taxi fare anything else . book twin room arrive give we double room complain tell we nothing could we .... room suitable one person ... small u could bearly walk around bed window do not close right freezing also noise Fire engine police car nearly deaf .... chance good night sleep hard day shop .... go back Airport decide book limo Hotel ... 5mins get limo crash driver have not get word english get hand sum money driver drive we Airport ..... total disaster ... stay hotel ...... 
 Sep 7 2006 	 terrible 	 extremely poor room . outside window load compressor view terrible . also free LAN / WLAN . 
 Aug 1 2006 	 Hated Marcel 	 MAJOR construction hotel . construction start 7h every morning . recommend . 's dangerous full dirt . staff good though . 
 Jul 9 2006 	 Splendid 	 Marcel wonderful little boutique hotel , perfect hate monstrocstie 9000 room . staff could not lovelier . friendly accommodate . ac room could colder , perfect . room decorate warm modernity clean . location fabulous . nothing touristy . feel like be live NYC . two block walk subway , get uptown downtown minute , enjoy walk either direction find wonderful little surprise around corner make NYC unique place planet . would definitely stay . oh yes , price incredible . Marcel undergo renovation , not present problem far noise danger , read review . folk not leave home say . 
 Jun 18 2006 	 good budget 	 read review hotel , prior trip March little apprehensive ! disapointe ! hotel clean staff friendly helpfull ! particular chamber maid ! clean room excellently every day , 3 we sharing could not help make mess . provide plenty extra clean towel , glass pillow request . room little small expect New York ! refurbishment not disturb . bed comfy bathroom clean spacious ! trip cost £ 489 include flight impressed get money ! great location 10 block Empire State Gramercy Park , easy access subway load place eat nearby . fly ointment lack security presence , last night 2 friend high floor wake terrible violent row one room , quite scared rang reception , one appear . eventually quiet , say would not stay , rest we would ! ! ! 
 Jun 10 2006 	 Excellent ! 	 think Marcel lovely . room large spacious , bathroom . everything clean tidy , staff friendly . really enjoy stay hotel would recommend . 
 May 4 2006 	 major construction top 2 floor 	 major construction go top floor . loud one morning , think earthquake ! ( ' m California ) . check see construction complete . room small , bed large . would prefer regular queen bed little walking room . could open suitcase wide open one corner room , unfortunetly exact place could put iron board ( outlet available ) . hate put suitcase white duvet , choice .. stay last summer staff seem interested look trendy , stay , helpful several occasion . Marcel improve ; construction complete fine . 
 May 3 2006 	 great price 	 clean , comfortable , modern . NYC hotel notoriously expensive . ( ? ? ? ! ) . could not find anything , anywhere else city price come near ( pay $ 100 per night ) .Does not food breakfast free cappucino machine great touch ! 
 May 1 2006 	 Marcel react unbelievably well 	 stay Marcel night entire hotel evacuate due weather relate issue . Marcel hotel take upon duty relocate we another wondeful hotel free CHARGE . feel staff handle situation unbelievably well , along assist young infant elderly guest safe unharmed . ask hotel employee stay calm tense moment clerk respond , & quot ; hotel NYC prepare situation give moment , contingency plan almost event situation come along . & quot ; bellman drive young infant elderly hotel area , thankfully front desk able relocate lovely hotel & quot ; Bentley & quot ; . unfortunately happen 2 , Marcel react incident way less would say would not reccomend . however , Marcel react extremely well would recommend hotel , know go sleep gentleman downstairs watch we , safety other . 
 Apr 28 2006 	 marcel Terrible Extremely unsafe ! ! ! 	 last week - end , stay Marcel mother friend . live New York 4 year , ' ve stay many mid / low price New York Hotels . never AWFUL EXPERIENCE . place room construction go head . wake non - stop , Hammering , Drilling Yelling 6:00 . next day , change room , wake NYC FIREMEN 2:00 , Marcel flooding , building evacuate . contsruction top two floor cover properly , entire building flood rain . scary . water pour everywhere . manager hotel even show . pack thing frantically find another hotel stay OURSLEVES ( along hotel guest ! ) 2:00am . , Marcel nerve charge we anyway , never apologize . marcel completely unsafe closed . never stay ! ! ! ...... unless want see fdny action middle night ! 
 Apr 24 2006 	 enjoyable stay 	 October 2005 decide take wife New York wedding anniversary , somewhere always dream go . decide Marcel small hotel , wife like use lift . book , little worried read review . need worried . find staff pleasant helpful . room clean , water always hot bed comfortable . also find ideally situate walking site wish see . would therefore recommend anyone look small reasonably price hotel . 
 Apr 11 2006 	 Modest feel spoilt 	 land JFK subzero ( Celcius ) temperature , find hotel room well heat staff friendly helpful . linen change daily bathroom toiletry deserve special mention . also like range up - to - date magazine room . extensive library great cappuchino machine downstair large invite foyer . stay . 
 Mar 28 2006 	 Loved Marcel 	 Excellent service super clean room . management helpful knowledgable 
 Mar 27 2006 	 clean comfortable Hotel 	 stay various hotel NYC price , Marcel hotel bad . love boutique style furniture room well photograph . find room clean staff friendly . definitely stay . restaurant adjacent Hotel also good . 
 Mar 13 2006 	 great place stay 	 live New York year come back three night stay see friend shop . marcel perfect hotel . travel alone expect small double bed , pleasantly surprised size room - ton space huge bed . clean , everything work order relatively quiet - Manhattan ! ! staff polite helpful ( order cab pass message ) . great location price - great deal ! lot well place stay NYC . definately go stay . 
 Feb 24 2006 	 crap 	 begin seven member family stay marcel one night 24th November 2005 previously book hotel near Central Park join cruise ship Queen Mary 2 facility whatsoever drink room window would close , hot water shower either night morning . unable get drink 11 o'clock a.m. walk three block little cafe get breakfast would strongly recommend gave marcel wide berth also brother electricity room . 
 Feb 10 2006 	 comfortable stay 	 nice place , especially price . room spacious comfortable ( although able see room rather small , nice ) plan stay 3 night end stay 4 pleased . one elevator get & amp ; take extra minute , big deal ; also one ice machine 's second floor - FYI . capuccino machine awesome ; great bakery resturaunt within close walking distance , easy get around location . 
 Jan 10 2006 	 Marcel fine ! 	 get scared read bad review page Marcel Hotel , finally pleased . price pay ( 112 $ usd per night ) , find decor average , service discrete efficient , everyone nice , room nice clean coffee machine lobby appreciate . Third Avenue little noisy , can not expect ! not let scared away comment , Marcel nice affordable place stay , unless expect something luxurious . 
 Jan 8 2006 	 cold unable sleep 	 hade four night marcel December find room cold heating work . tempory heater room sleep clothe one night try keep warm . window help close tight get constant draft room . room 2nd floor face 3rd Avenue , window give soundproof noise traffic bad , find impossible sleep noise go night . I do not think stay well hotel available cost . 
 Jan 8 2006 	 nice stay 	 little worried read hotel review prior go prepared sort disappiontment however arrive hotel appear well expect . reception fine problem , room small side adequate , not spend much time there . window overlook main road noisy room great people / traffic watch ( sad know come english countryside ) room clean , air con work well , location hotel good , walk everywhere easy walk Empire State , abit furthur Times square ( 4 time 3 day ) even walk back Chinatown 80 degree heat . however downside hotel- free coffee machine order time even though promise fixed hotel staff . toilet room overflow , fortuatly clean water everywhere . lift slow finally place lock leave vaulable . decide leave passport room lock case take everything else I . overall hotel fine reasonably price hotel large city would return . 
 Jan 1 2006 	 great place value 	 although room small ( NYC room ) , bed pillow soft . bathroom recently renovate nice . never problem staff friendly helpful need . would stay . 
