clean 	 spend Thanksgiving holiday hotel . see negative review , pleasantly surprise friendly staff clean , comfortable room -- view ! sure , street noise -- welcome big city ! ! ! still , great location , easy access public transportation . streetcar stop right front hotel Bart Muni step away . would definitely stay . 
 Jan 28 2005 	 good deal 	 consider price one pay , good deal . room spacious , clean , radio , phone voicemail , hairdryer , compllimentary safe lot tv channel . helpful staff . need buy portable heater , run stay ther early January really cold weekend , central heating not switch 7pm . 
 Jan 19 2005 	 Loved Renoir taxi driver 	 last week stay Renoir hotel downtown San Francisco . experience hotel totally satisfactory , consider excellent rate pay excellent service get money ( big credit helpful young bellman ) . room ( fifth floor , McAllister Street side recommend quieter ) large , clean everything need : comfortable king size bed , bathroom , cable tv , phone internet acce ( although relatively expensive dial - up connection ) . tell process upgrade room Wireless - great ! live Santa Ana fly San Francisco quite frequently , especially weekend . homeless population visible allover downtown not scare we , last week cold , less visible usual . also , city seem aware take care poor people can not continue let hang front hotel restaurant wherever go . one unpleasant experience though : taxi driver take we city try & quot ; divert & quot ; we Renoir , tell we bad neighborhood city know much well place & quot ; people like we & quot ; ( ! ) , price . know exactly expect choose hotel ( prepay anyway ) , decline bring different place ( will not give name ) , really insist lot . get impression somehow & quot ; interested & quot ; ( $ $ ? ) convince hotel guest follow property potentially could receive commission referral . come San Francisco , not believe everything taxi driver tell , might & quot ; special & quot ; reason give advice . 
 Dec 31 2004 	 hotel among homeless people 	 not ever stay hotel around Market Street area not want walk outside hotel feel unsafe meet big group homeless people . first , park major problem . know hotel guest would scare park car outside incase something happen hotel would take advantage take money guest . want save money hotel pay money parking . $ 32 valet parking $ 23 self parking per night hotel 's price parking rental 's garage 2 block street across away sign $ 15 per night . always walk fast parking area hotel . one think want choose ? consider ask parking info first book hotel . well get money well hotel quality . basically hotel 's room & amp ; room 's service ok , one bell man front desk man hotel pleasant manner . stop car infront hotel loading shopping bag . say , & quot ; car ? & quot ; not like park car infront hotel choosen self parking $ 23 pernight . 's kind annoying little bit see everytime walk lobby . fiancee not ever want go back San Francisco hotel first hotel stay experience San Francisco . may decide look hotel outside San Francisco like Monterey San Mateo next time enjoy hotel 's facility surounde 's area . wish could find perfect hotel enjoy sightsee San Fransisco . 
 Dec 17 2004 	 great hotel central location excellent price 	 stay Renoir twice December 2004 2 3 night . staff really friendly helpful . hotel excellent value money ( NZD $ 100 ) , clean centrally locate . excellent internet cafe across road back entrance tram stop right front entrance . Bart / Muni subway across road make airport run bag really easy . fruit vegetable market near Bart station Wednesday Sundays good value . 's two block Union Square ( center everything ) walk 2 3 time day . reviewer mention homeless never problem . fact plight often sad include elderly asian woman look garbage bin food . ( homeless congregate large soup kitchen next block plus Social Security Market Street plus social service ) . try get ' standard king room ' top floor large street noise ( homeless seem stay night talk singing ) . Market Street noisy siren tram go , be never unintereste sun stream window . bus stop Golden Gate bridge side hotel . Civic Centre 's grand building asian museum next block . stay enjoy sight sound . 
 Dec 7 2004 	 great little place ! 	 girlfriend stay november 28 2 night , enjoy renoir Hotel lot ! lobby totally cool , gold decoration greek colum , nice music fantastic exhibit California mission . also , staff , especially teh reception , freindly helpful . clean , housekeep people good ! easy get around , use tram Market Street time . 
 Oct 27 2004 	 bad 	 Hotel Renoir perfectly fine place stay be short trip San Francisco . would say two night ' ve city . lobby nice room bit spartan , clean . surround area not great , Union Square pretty short walk away . 
 Oct 20 2004 	 give Chance 	 husband stay Renoir little week . terrified arrive , dark riot police surround area keep war protest control . fight get hotel making room , want go home . room small 2 double bed ( want one king queen ) , pretty cramp set iron board , impossible walk around room . window face rear able look see building housed & quot ; interesting & quot ; people . see several fight possible drug deal . area immediately outside scary , bus / trolley stop directly front door , be need walk around not feel safe . staff really great , help we book several day tour fun . ( hope guy name Gordy not tour guide - 's awful ) . not eat brazilian restaraunt unless Brazilian ( get intimidate look , food ok though ) . # 1 thing , make sure spend least one night hotel bar Manny bartender . even not stay Renoir , go see Manny . awesome , really nice , interesting talk , give we great advice thing see . drink every night . bottom line - will shock get hotel ( especially book online ) , not run away . will find 's convenient location friendly staff affordable room . say hi Manny we ! 
 Oct 7 2004 	 nothing wrong staying 	 sister in - law stay September 2004 read review hotel little concerned two lady travel alone almost tempt call cancel book thank goodness never fine place stay staff helpful . ok homeless people times noisey never felt threaten anyway . would recommend hotel stay budget . 
 Oct 1 2004 	 pleasant 	 stay San Francisco conference four day September . can not remember pick hotel guess not read review site . first impression hotel not bad . staff front desk okay . room average , bathroom clean . tv phone . not like view window . face Market Street XXX neon sign one side , luckily sevent floor , away street . night constant sound police siren people shout & amp ; scream . walk around place feel safe . numerous homeless people street & quot ; homeys & quot ; hang street corner . street look & quot ; bad & quot ; shop store would not want step . walk road side side pavement , away building , safe side . moto & quot ; walk fast not look anyone & quot ; . say nobody ever bother say anything . feel bad elderly tourist hotel walk street probably thought get trick stay part city . 's sad hotel probably quite nice place get stick nieghborhood like . good thing close location Powell Street ( 10 minute walk ) . would want stay hotel would recommend anyone know care . 
 Sep 28 2004 	 Nightmare Hotel 	 husband , two teenage daughter fly drive July . last stopover San Francisco Renoir . nightmare place . look like set old Alfred Hitchcock movie . porn sex shop front build house homeless destitute back . strange smell place everything scream two star rating . book particular hotel travel company shall remain nameless . not stay . book reputable hotel Fisherman 's Wharf instead . vivid memory probably stay we time come . sorry discover web site book awful place . discover early would never allow anyone book we Renoir . still shudder mention name . 
 Sep 11 2004 	 look elsewhere 	 fair Renoir , hotel not horrible dive . room standard , definitely need upgrade . bathroom okay , bit hard work cleaning would appreciate . it be cheap , want room 's average standard , hotel . however , aware - reviewer mention - Renoir seedy part town . the homeless people not bother , ' ve always know big problem San Francisco . get nerve open curtain view porn theatre . I ' m prude , wake morning flash neon XXX not inspire . 's weird , five minute either direction be much nice part town . if budget main issue , consider place . enjoyment main issue , look somewhere clean , safe area , otherwise heart sink arrive . 
 Sep 7 2004 	 Red Light district- law abide citizen stay away 	 hotel locate across strip club , first day San Fran . walk back hotel offer crack ( crack head might hotel stay , easy access stripper , hooker course drug ) hotel manager tell we homlessness city wide problem , lot homeless people San Fran . hotel seem headquarter . let us make mistake , homlessness problem location hotel & quot ; resident & quot ; ... would refund money ( make reservation orbitz.com ) spend entire trip . single woman stay hotel circumstance . 
 Aug 29 2004 	 Nice Hotel - really like . 	 really nice hotel . one cheap could actually find downtown .... yes , see somw homeless , actually around city ... quite sad ... fun ! staff really nice helpfull ! 
 Aug 25 2004 	 unexpected surprise 	 hotel lobby decent . rest basically like Motel 6 . staff excellent . however ... hotel surround side vagrant , druggie , dirty movie , peep show , etc . afraid walk around ... take taxi 's place . bus fairly close problem day . next time book trip , check internet . stay neighborhood feeble hearted . 
 Jul 23 2004 	 pay money stay somewhere else 	 June 2004 . get past lobby , hotel dingy well . hotel AC , mean need keep window open hear trolley night noise large population street people well . huge neon sign porn theater across street add delightful ambiance experience , inhabitant flop house across street rear entrance hotel . pay money stay somewhere else . 
 Jul 23 2004 	 Bad Reviewers Suggest 	 stay Hotel two different occassion recent March , 2003 . yes hotel locate undesireable area . however , within 5 min walk attractive area around Union Square . opt economy room last time visit - internal room mean street noise . room clean price good value indeed . yes lot homeless people around - however , experience beg hassle . not look like tourist fine . ok hotel couple single man - single woman may feel little uncomfortable due location . 
 Jul 21 2004 	 nut ? 	 oh God ! bad hotel ever see life . escape 20 - 30 smelly homeless people ever experience step run dingy lobby . , rude Manager check we . arrive room dingy seem unclean . small could swing sock around hit four wall . sound siren night scream people street not seem bad find cockroach wall . check 3 day early , would recommend experience anyone . stay ! ! would suggest sleep car can not find place stay . 
 Jul 15 2004 	 nice desk clerk rude reservation 	 stay hotel early July . somehow co - worker could not make reservation online , call hotel directly morning . ask hotel someone pick phone , explain well politely . , transfered reservation get rate . think reservation agent not know talk ! talk like friend something . hear room rate , said & quot ; wan na stay ? & quot ; not feel respect customer . need make plan day okay deal , decide stay anyway . desk clerk bellman polite helpful , surprising , since bad experience phone conversation . recommend hotel staff except reservation agent .... 
 Apr 26 2004 	 experience Renoir ..... 	 read review decide post feedback Renoir Hotel . spend four day three night hotel mixed feeling . hotel renovate opinion , think satisfactory . ' necessarily give five star rating , would settle three star . hotel clean staff pleasant . room clean everyday ask iron , bring within minute . complaint hotel . however , mixed feeling come surround area . really bad . outside , different environment . ton homeless drug dealer loiter near vicinity hotel . boyfriend literally witness drug deal . scary try avoid area much could . dread come back hotel , inside , feel safe . recommend hotel single woman travel alone . ' use type scene , hotel good place stay , plus rate affordable ' tight budget . 
 Apr 5 2004 	 stay Getto 	 arrival hotel see homeless poor people lie sleep doorway , good place walk always ask money beggar , hotel okay , wrong place staff try good . would recommend go part San Fransisco , visit Fishermans Wharf nice area good get . 
 mar 27 2004 	 Disgusting Dump 	 not stay ! ! go place horrendous experience . open hideous curtain room perfect view porn theater across street . two store street another porn theater . across street main entrance residence hotel . street fill homeless , street reek urine fece three block every direction . bed old saggy , towel yellow stain hole . front desk guy even start hit boyfriend ! bad place ' ve ever stay ever . not make MISTAKE ! 
 Mar 26 2004 	 Dodgy neighbourhood nice staff 	 scare walk street anytime neighbourhood . odd people loitering everywhere look . wake 3 am people scream swear street . anyone floor flush toilet turn tap think suck vortex loud . feel sorry staff nice , area BAD ! 3 block , 5 minute walk cable car Fishermans Wharf even scary wonder whether even go make back hotel alive . porn city . 
 Mar 1 2004 	 Porn overload 	 female friend & amp ; stay disappointed , disgused due fact could leave hotel without heckled homeless people camp front , across street totally nude club open hour night . hotel extremely noisy location several porno store / club within 1 block radius . would recommend hotel one know . 
 Jan 20 2004 	 excellent staff 	 stay Renoir Hotel December . employee nice helpful room clean . seem like front desk clerk multi - lingual know San Francisco well . even though many bad review web , would recommend hotel . see good arrive . convenient go anywhere , friendly excellent staff , historical building . 
 Dec 15 2003 	 stay ! ! ! ! ! 	 bad hotel ever . smell hotel enough ruin trip could not tell hotel get pan handler side . chemical use clean place even post health warning every room eventually narowe strange smell wonder . room also crap . place paint many time look like wall sort melt carpet must original judging wear ( affraid walk barefoot nasty looking ) . amenity : Cable tv ? ha ! ! ! none ! safe room ? make feel safe . nice bathroom ? reason not post picture ! many reason stay not time patience write . , stay would suggest pay go rate nearest hostle . 
 Nov 4 2003 	 centrally locate ........ 	 partner l come back stay San Francisco . land back UK Saturday 01st Nov 2003.we stay Renoir Hotel . entrance lobby nice worldly feel , transport back opulence 19th Century . girl reception arrive nice , however male staff encounter subsequent day obviously happy job perhaps search career involve deal general public . the room could well describe shabby chic . clean see well day . especially bathroom shower take good 5 minute spout hot water stream weak . arrive midst Indian Summer temperature hit 90f , hotel air conditioner . however supply fan . room look internal dingy courtyard . plus view not put noise siren Market Street . Twice turn late afternoon find room clean make . call house keeping send someone promptly . on first morning go Cafe Brazil breakfast attach hotel . food good service appalling . staff rude almost comical . brit read bit like Fawlty Towers Brazilian Accent . especially old lady rude detrimental business . needless say eat . always empty people l see restaurant stay 8 ! ! hotel locate near Tenderloin district run gauntlet homeless people either drunk high something . other plain mad . couple time l find near entrance hotel take pee . day although harrow passable night l feel distinctly ill ease . having say hotel , could sort something horde homeless central location within easy reach main shopping area BART Electric Trams bus within foot hotel . grant hotel cheap reflect overall appearance service , work Travel Industry many year l personally would recommend hotel client . boutique hotel l feel meet requirement title appearance neglect . perhaps could put room attention detail lobby would much well overall effect . however single lady traveller brilliant homeless druggie real nuisance menacing night . 
 Nov 3 2003 	 stop ... keep look ! ! ! 	 couple friend stay Renior Hotel Halloween weekend please Hotel service . service really bad . people care customer . really rude ! first not record reservation , charge friedns credit card twice . charge $ 25 valet parking DAY ... ( somewhat understand parking crazy ) , finish pay $ 50 valet parking leave want charge extra $ 10 , cover extra 3 hours valet parking , ask reciept would give we none , sound fishy top .... really rude ! ! also really rude customer we try check , man keep say & quot ; charge credit card & quot ; without customer consent ! ! Arrrrrrgh ! must say , never return Hotel . way surely will not miss Hotel view xxx theatre show bum . look Hotel keep look ! ! 
 Oct 3 2003 	 Dodgy Area 
 Jun 26 2003 	 not go ! bad location . 
 May 21 2003 	 great public transport 
 May 5 2003 	 room decent Vagrants outside ! 
 Apr 30 2003 	 Hotel ' Hood 
 Apr 11 2003 	 Hotel wonderfulbut neighborhood not ! 
 Dec 19 2002 	 Nighttime bit scary 
 Aug 16 2002 	 expect .... 
 Oct 17 2009 	 Nicht nochmal ... 
 Oct 11 2009 	 ? ? ? ? ? ? 
 Sep 9 2009 	 Buen hotel noche inseguras 
 Sep 4 2009 	 Unbedingt meiden 
 Aug 20 2009 	 Come iniziare male una vacanza ... 
 Aug 18 2009 	 Bis auf die Lage ok 
 Aug 15 2009 	 Totalement dépassé 
 Jun 1 2009 	 Abstenerse luna de miel similare 
 May 19 2009 	 Comodo 
 Mar 15 2009 	 è un bivacco di homeless 
 Jan 30 2009 	 comodo e centrale 
 Oct 2 2008 	 Obrobrio 
 Sep 11 2008 	 ? ? ? ? ? ? ? 
 Sep 10 2008 	 se volete una esperienza ` ` forte '' questo hotel fa per voi ! 
 Sep 7 2008 	 hotel da paura 
 Aug 12 2008 	 hotel médiocre 
 Aug 11 2008 	 Tristounet 
 Jul 30 2008 	 aceptable 
 Jul 27 2008 	 hotel aceptable en zona desagradable 
 Jul 17 2008 	 san plus 
 Jun 4 2008 	 Zona insegura 
 May 23 2008 	 Alrededores inseguro 
 Apr 8 2008 	 Pudo haber estado bastante mejor 
 Mar 30 2008 	 Bitte vermeiden Sie das Renoir ! 
 Mar 23 2008 	 Hôtel interessant mais rue ! ! ! ! 
 Feb 10 2008 	 Halten Sie hi nicht 
 Oct 30 2007 	 bel hôtel mais quarti ... spécial 
 Oct 1 2007 	 un posto INFERNALE ! 
 Sep 25 2007 	 Bon hôtel bien situé 
 Sep 21 2007 	 pourrait être bien MAIS ....... 
 Sep 25 2006 	 Punto de partida para visitar San Francisco 
