location 	 agree early post , decor look slightly tired , could possibly facelift , location superb , view central park spectacular , subway 2 minute away , 5th 6th avenue.time square 15 minute walk rockefeller centre empire state building .A great alternative afford Plaza , Ritz Trump , overall good value money . 
 Sep 15 2007 	 Aging Dowager 	 Booked company Helmsley Park Lane , excited , never stayed look forward experience . Set Central Park South , hotel great location . room ( 4315 ) & quot ; partial view & quot ; park . bad really . I encourage attentive friendly check - in staff , aside construction work go inside lobby , great start . once onto floor , noticed wallpaper need repair ( mention gaudy quite dated ) . could sign thing come ? ? ? yes ! room large enough high enough get good view , obviously age need major upgrade . wallpaper paint peel away furnishing must grand ... day . bathroom small , large tub . however , shoddy unkempt . vanity bad 60 's movie caulk around tub moldy pealing . even thing & quot ; repaired & quot ; seem attention pay detail . repair grout floor instance , match original . the bed large comfy , & quot ; Heavenly Bed & quot ; mean . finally , window fully seal , street noise wind easily hear . now , New York , not spend great deal time room , stay hotel famous Helmsley name , expect little . room little less . I hear remodeling room may one last do , review temper information . I would say , despite decor shoddy repair work , actually comfortable stay late Leona 's place . 's good , be bad either . 
 Sep 7 2007 	 bad quite smart like think 	 stay Helmsley Park Lane birthday treat partner can not complain pay we . the Park Lane good hotel great area , league smart hotel face Central Park e.g . Plaza . still nice rub shoulder afford stay posher hotel . hotel look little tired need makeover . room peel paint shower plug bath would work . corridor outside peel wallpaper , suprise give status hotel pretention ' one lead hotel world' . still , small niggle aside , room large well appoint nice touch like complementary umbrella , dress gown ( bathrobe ) slipper . room 21st floor downtown view , not experience view central park , back fairly ugly tower block . the staff seem attentive room well clean , complaint . overall , Helmsley Park Lane good , great hotel , fantastic location . would stay , would try get park view ! 
 Aug 31 2007 	 Great experience ! 	 use Hotels . com first time , bit apprehensive would receive ; read / hear many hotel treat consolidator second class citizen . not need worry ! gracious greeting early check - in ( arrive around 11 a.m. fly night ) , receive nothing first - class , * * * * * star service . ask renovate non - smoking room check . one not available time ( one smoking ) accept non - renovated room . ( tell we renovate room would possibly available little later day . ) lovely room , large , good city view -- poor air conditioning . go lunch , get back , apparent room not get cool . husband go desk come back new key card non - smoking renovated room another floor -- GREAT air conditioning , lovely room -- even big -- partial view Central Park ! enjoy 5 night stay much ! try room - service ; expensive ( meal find NYC ! ) excellent food , presentation service . hotel right next - door major subway line , make commute U.S. Open Flushing Meadows easy ! , love Helmsley Park Lane hope make annual tradition ! 
 Aug 27 2007 	 fantastic view 	 stay nyc one night celebrate special occasion kindly management upgrade room . the room 's view ( 45th floor ) truly amazing , make want leave room keep take photo ! hotel central , ideal location , room enormous good size bathroom , plasma tv nicely decorate . we breakfast deliver room enjoy sit room table next window overlook central park building downbelow , priceless ! breathtaking view hotel room really make 48 hrs nyc bit special make experience unforgettable . 
 Aug 27 2007 	 great Stay Helmsley Park Lane 	 stay Helmsley Park Lane tenth night August 2007 . book double room convertible triple , arrive find crew still instale roll bed . quick call reception take care . although hotel style maybe quite old - fashioned , everything room comfortable King size bed roll one , bathroom perfectly work faucet amenity . AC work perfectly , good since first day stay really hot . staff also helpful caring , would attend quik enough need . pleasantly surprised arrive room one evening find dish chocolate - cover strawberry await we . kind detail show care hotel . we could not get Central Park view room , recpcionist , deception provide we room 40th floor grant we great view city . all , fantastic stay Helmsley Park Lane go next trip NYC plan . 
 Aug 13 2007 	 Helmsley Park Lane -- great location . 	 be always nice arrive early hotel room ready . front desk staff Park Lane provide nice welcome . early room ready . book room face Central Park . arrive , ask renovated room . hotel old , room renovate . greeter explain we room face Central Park yet renovate . explain old , spacious . boy right . furniture wallpaper probably ' 70 's , room huge . 19th Floor . view spectacular . flat - screen tv , nice . bathroom spacious , room toiletry , room spare . towel large fluffy . water pressure shower great , water hot . there two closet room , safe , two nice bathrobe , large umbrella . location hotel great , subway station , restaurant , shop nearby . round comfortable room . the concierge bellman helpful answer many question area , subway use , etc . we definitely book hotel next trip . next time request renovate room city view , try something new . 
 Aug 1 2007 	 awesome 	 room Deluxe ( 33rd floor ) king stay lovely . view Central Park stunning , housekeep great , room service fast , overall great experience . location perfect -- -5th Avenue , museum , short walk Broadway show , subway 1/2 block away , bustle nice walk Central Park make perfect . the flaw : bathroom need remodel . bathroom bite dingy aged , although shower self powerful well most . other bathroom , large , nicely decorate , quiet room amazing view Central Park . would book -- -- especially Hotel.com 4 night discount ( otherwise expensive ) . 
 Jun 10 2007 	 Luxury ? 	 regularly visit New York business familiar nice New York hotel . Helmsley several year ago remember good value money . late trip surprise . disappoint general run condition room . room cost $ 700 night fairly high expectation kind money . first problem break plumbing prevent take shower . next morning complain helpful staff provide new room . bathroom peal wall paper second bathtub looked stain well use . counter top crack also stain . recently carpet second room use cheesy maroon carpet look like belong kid tv room . room really nice Holiday Inn Ramada worth price . check day , attempt call front desk car bring around find phone dead . return hotel ' ve read gut rehab . 
 Jun 6 2007 	 enjoy Park Lane 	 pleasantly surprise Park Lane stayue weekend . small elegant lobby Central Park South augment extension go 58th St. , table chair , ouitdoor section also table chair . service excellent . room 36th floor view downtown ( Park - expensive ) . Thke room adequate buitcomfortable , queen bed , dresser , desk , two easy chair table , lot drawer space , good bathroom bath / shower combo lot room toiletry , plus enormous bath towel . evenhad umbrella closet , pluks terry cloth robe slipper . luxurious , terrific online price . could walk theater restaurant . 
 Jun 6 2007 	 shaky start please overall . 	 get low rate on - line ( average $ 229 / night ) pleasantly surprise despite city view room . large , comfortable , well appoint plasma tv refrigerator . room renovate , however , sure request one booking check . room key never work first two ( seven ) day book . literally call security every time return room -- trouble get well . , claim replace lock second day , key still not work , make noise . long story short , upgrade gorgeous Central Park view room 41st floor remain five day NYC . problem solve delight new dig . staff helpful friendly . housekeep invisible efficient . enjoy stay much despite shaky start . know although many hotel NYC suffer small room , Helmsley one . huge comparison . enjoy stay would definitely return Park Lane . P.S . great exercise room compare , be weight training rather aerobic . several Cebex machine cover major body group . couple treadmill stair stepper round & quot ; well & quot ; setup . 
 May 31 2007 	 shock 	 New York wedding stay Park Lane many guest stay . rate reasonable , expectation modest well .. wonderful greeting bellman , desk clerk tell we upgrade one bedroom suite park view ... also say would really like room . bellman take luggage . we live New York many year , & quot ; view & quot ; special take breath away . view Central Park window . love it . the suite large , two bathroom , available wi - fi , plasma tv 's room comfortable bed . room service early afternoon snack breakfast next morning . expensive , food delicious , service friendly efficient , add experience . while ' m sure would upgrade future , would definitely return Park Lane future . 
 May 26 2007 	 audacity matire have 	 business trip boss always stay hotel . go breakfast hour suppose meet boss downstairs important meeting . order OMLETTE ( take 6 min top make ) expensive breakfast menu start wait order come . wait wait ... 45 minute later still nothing ... 50 minute nothing ... pissed show get leave get tell maitre ' . said & quot ; know difficult make ! blah blah blah & quot ; old sit comply . omlette finally come last five minute . one bite meet boss . next day boss criticise make scene breakfast room . could not believe audacity man . pay something like 35 dolar tax stupid omlette could not ate got tell . oh hotel look beautiful every way prefer Morgans switch soon meeting come end . 
 May 25 2007 	 pleasantly surprised ! 	 pleasantly surprised walk lovely lobby Park Lane Hotel . even surprise open door spacious well decorate room . ( room look like decorate antique blue / orange motif . ) room much large would find NYC hotel . stay another Helmsley hotel side Manhattan ( care ) expect hotel luxurious . stay one night weekend , wish could stayed long . location excellent walk Central Park close Carnegie Hall . shop nearby , course , phenomenal . you disappoint stay Park Lane . 
 May 23 2007 	 Fantastic ! 	 wonderful option @ wonderful location ! stay one night whileattende fundraiser . room view central park , extremely spacious , huge closet , clean bathroom comfy towel , well equip w/ kit , flat screen tv . staff helpful attentive . want great breakfast , Sarabeth 's two door ! ... Bergdorf Goodman 's step away wonderful shopping , food hair salon ! 
 May 12 2007 	 great hotel well expect 	 invite New York guest talk show . stay New York short ... actually less 24 hour . read awful review site , kind afraid stay . keep say , show would make we stay rinky dink hotel .... know wouldn't . we arrive May 8 around 10 pm . hotel lobby grand , receptionist friendly , kind well mannered . quickly escort room pretty large . bell hop put luggage away , turn light TV , wish we great night . bed already turn , chocolate bedside . fresh fruit Fuji water table .... nice touch ! plasma tv nice touch , since first hotel stay feature . the bathroom clean , grout sparkle white . sink deep . magnify mirror help see every unwanted blemish face . blow dryer mount , turn , bathtub / shower combination nice . water pressure good , water hot . experience stand water tub like read review actually make nervous . absolutely problem sink shower . towel bathroom big ever come across hotel . large hip , bathtowel cover well , extra go around . soap , shampoo , conditioner , shower cap , shoe polisher , lotion , etc ... bathroom counter top convenience . the bed super comfortable . fall asleep night awake . 12th floor , window view another building . stay long 12 hour , would want well view . hotel locate right across Central Park corner Avenues Americas . night get go walk around 10:30 pm , within minute Radio City Music Hall , Rockerfeller Center NBC studio . run artist street portrait , $ 5 nearly 1 hour sitting , daughter get awesome portrait almost replica herself . we eat hotel , order room service . plenty deli 's , etc ... walk distance hotel not mind walk short distance . overall , great experience . would stay especially room view . would also recommend hotel anyone , 
 May 1 2007 	 great hotel ! 	 stay Helmsley P.Lane 8 day April . check quick give room 44th floor fantastic view city Central Park ( see photo ) . find one room renovate top floor ( end 10 ) , elevator fine , hardly wait 30 second get ride room . Wi Fi work fine , problem connect internet . hotel well situate find people reception friendly attentive . eat hotel 's restaurant , room service excelent room spotless clean bed confortable . every morning copy NY Times wait we door . Plasma tv great ! recommend hotel everyone , could recognise bad stuff read review ! Couple Danmark , Europe 
 Mar 28 2007 	 Grand Lady still Grand 	 guest Park Lane many year ago recent trip , read online review , decide revisit . we disappoint . yes , room bit date , true many old hotel . room spacious current standard , room clean bathroom clean . even nice view king size bed . room service prompt show extraordinary attention detail . restaurant bit pricy line New York hotel . lobby impressive staff fabulous . would certainly revist Park Lane recommend other . P.S . cost stay much less New York hotel similar quality . Grand Lady still Grand . JPW , Wilmington Delaware 
 Mar 23 2007 	 Faded Somehat Neglected Still Good Choice 	 Park Lane frequent stop mine ' 80 's . location park view , remain , unmatched . not stay twenty year come across great price TripAdvisor . completely unlike , stay often , book room read review . read review concerned . time short decide proceed . negative comment leave baffle , instance slow elevator rude , indifferent staff . 29th floor never wait elevator extremely fast . staff friendly helpful , well average . complain turn service . well ' m NYC room evening love return turn bed . simply leave Disturb sign door object . Park Lane 's turn service well : bedding , chocolate , trash empty , towel replenish , room tidy . be like ? agree room much need update . furniture decor make like enter time warp ; fact , nothing change since last 1986 . be sad one premier hotel city allow age . despite , housekeep superb job room bathroom immaculate . also park room quite spacious , although non park room average size . , want super location , fortunate park view room , want friendly , clean hotel willing settle out - of - date decor , Park Lane 's good choice . balance , will definitely go back . Leona , please spend billion Harry leave bring Park Lane back former glory . 
 Mar 21 2007 	 feel like celebrity ! 	 locate right across Central Park , hotel make feel like royalty . horse carriage await across street hotel staff quick answer every request . mean feel like celebrity . one point , walk find flank man machine gun . apparently , celebrity dignitary next door Mickey Mantle 's restaurant extra security necessary . our room 32nd floor utilitarian comfortable . lot thick rich towel , robe , slipper . flat screen tv wireless internet provide issue . miss refrigerator room mention front desk , happy provide one . although upscale , still use horrible scratchy fingernail - catch bed cover . room temperature tough control cope turn fan raise heat . elevator plentiful fast . staff attentive pleasant . location perfect within easy walk access everything Times Square Central Park , Rockefeller Centre Radio City Music Hall good restaurant city . tour bus across street subway block . convenient ! expensive not watch sale . would stay heartbeat long catch reduce rate . 
 Mar 21 2007 	 careful concierge ! 	 wonderful stay Helmsley Park lane : hotel great location , room great , spacious , modern sophisticated . the hotel restaurant nice view really expensive . worth go coffe croissant read newspaper feel rich . unpleasant experience dishonest concierge . ask ticket Blue Man Group tell we , difficult find would still try get we . get back US $ 400 ticket ( lucky night , say ) . say thank curiosity call theatre . ticket night stay buy , less US $ 200 , ticket great place night . ' ve call police ! 
 Mar 16 2007 	 mixed Bag 	 travel New York read , matter course , review TripAdvisor regard Park Lane . really want stay central view Central Park room . read review somewhat hesitant booking room think , bad go two night ! book room thought would ask Park Lane defend hotel give level reassurance state room . despite email several people , include Mr Anoussis general manager , receive absolutely response . make assumption hotel staff could make assurance basis , faith hotel . shame , litigious environment perhaps surprising . regardless , decide would book hotel . opinion this … on minus side . room bit date , fact think 1970 ( ' whatever happen likely lad ' , Paisley print shirt long wing collar … kind thing ! ) ' idea décor . possibly kitsch , really depend upon taste . personally bother one way other . the bathroom , like bedroom , need refurbishment ( minimum good steam clean ) . fridge bathroom , nice touch , one take advantage . could find ice vend machine make assumption need take ice fridge call room service . , room 1970 ( purple wallpaper wall … ceiling ! interesting dated wall light ) fixture show age … except hairdryer . in general , let repeat , room date really deserve remodel opinion ! positive . ignore unanswered email , find hotel employee pleasant , helpful real credit hotel . room good size , plenty hang space drawer nod modernism LCD tv wall . safe interesting . rather ' think number ' type , use credit card , simply swipe lock use card unlock . but one really great reason stay here … view . get park view room side fade insignificance , well … we . spend hour sit window ledge look park reading paper … ' even notice wallpaper behind ! pleasant night day . right outside door , 5th Avenue sensational array shop . hop horse draw carriage trip around park , park right outside hotel … little pricey ! , recommend hotel long look sensational New York vista reasonable price live date functional furnishing . make sure get park view though ! guess also worth consider , hotel refurbish … clientele would foot bill . neighbouring hotel also offer view Central Park ( Ritz , Trump , Jumeriah ) probably well furnishing , view different price band . also worth consider property price still boom Manhattan ( regardless happen rest US ) always possibility Helmsley take route Plaza street close hotel convert condominium , start around $ 1 m mark go up … considerably . hope help ! 
 Mar 5 2007 	 need renovation 	 positive aspect first . location unbeatable park view outstanding . lobby , bar , breakfast , elevator , concierge , staff adequate . room flat screen tv great internet connection , refrigerator . our room shower curtain , mattress pad , bottom sheet . problem could correct . decor dreadful . furniture carpet wear stain . bathroom need update ( badly ) . feel dirty whether actually not . however , party nicer room somewhat update . room blue , city view . room red , view . price same . the hall also need update . I ' ve stay hotel many time year location price . think decor tacky gaudy even new , 's taste . be wear out . the location perfect many thing overlook . will not back renovation . 
 Feb 12 2007 	 comfortable stay work sightseeing 	 travel Helmsley Park Lane work pleased location . hotel situate one block west 5th Avenue directly across street Central Park . CBS , FAO Schwarz , Tiffany 's , Henri Bendel 's , Rockefeller Center , St. Patrick 's Cathedral moma within walking distance . double room face city . tapestrie headboard age furniture not noticeable great view . ample closet space , minifridge bathroom sink , flat screen tv . front desk manager lovely staff seem listless . concierge helpful . bartender Harry 's Bar attentive . housekeeper seem ever present use ' do Disturb ' sign want avoid housekeeper 's 10:30pm knock turn service . small workout center low level . look elliptical machine hotel not offer one . cybex machine great though . overall , stay Helmsley comfortable would stay hotel . 
 Feb 1 2007 	 bad review ? ? 	 read review hotel Tripadvisor , be not sure expect pull outside taxi . when get desk receptionist say room ready 21st floor ( city view ) .The room spotlessly clean , large great view . never go bar ... spend day shopping ! ! find everyone desk helpful . I read one review say lift slow .... lift like speed sound ! ! guy door always helpful . a tip do not want breakfast hotel 2 good delis nearby . the Green cafe , outside back entrance hotel Angelos 6th Ave ... cheap great food . so maybe get lucky , find hotel great location , probably good New York . 
 Jan 13 2007 	 decent room bad service 	 positive : room bathroom clean spacious . bed comfortable . hotel locate right front central park location certainly plus point . negative : staff hotel disorganise , unhelpful slow . book hotel many day advance travel agent make complete advance payment room . arrival evening 6 p.m. , call front desk ensure everything order tell book name ! fax copy payment confirmation booking detail , , thrice , assure hotel staff would look matter . upon arrival , obvious staff member do anything case . continue tell book name refuse let check - in without obtain personal credit card detail . leave meeting urgently , take risk provide personal credit card detail give room long wait . tell problem could sort upon return front - desk staff would available upto 11 p.m . return 10 p.m. person duty say could anything would speak morning staff ! awfully worry double charge . morning call travel agent ask help sort problem . since tie - up hotel , matter finally resolve . for one night 's stay , could live without headache stress put through . all well ! 
 Dec 30 2006 	 not waste money 	 recently stay Park Lane four night . first problem room explain make reserrvation . complain , necessary change , hesitantly , make bellman intercede we .. first room dreadfully furnish bed actually sink middle . second room large bed not sink . towel robe terribly rough slipper men large . numerous stain carpet adequate reading light lack . a / c not cooladequately , first night uncomfortable . room service please part experience item omit every order . staff hurry not friendly , helpful attitude . entire hotel needs upgrade badly . absolutely never stay hotel next trip 
 Dec 29 2006 	 Location Location 	 hotel nice great location . sadly , bad experience employee back . staff seem friendly enough above - and - beyond service like price implie . sure place stay cheap area . 
 Dec 15 2006 	 well alternative 	 rating probably generous . reason give hotel rating receive good service , rare NY hotel . room however , dump - small , old stained carpeting , peel wallpaper , outdated fixture . room need complete overhaul . company pay way much stay . well alternative similar price . take many trip Midtown Manhattan business know experience hotel area dreadful . favorite Essex House , right street Park Lane , New York Palace Hotel . nice room good service . stick two trust favorite go forward . one disclaimer , however , Essex House change management since stay regular basis . therefore , sure anything change worse . 
 Nov 29 2006 	 Fantastic Location Good Service 	 Girlfriend stay Thanksgiving holiday , decidedto sample Holiday menu prepared guest . ] stay Ritz several fine hotel 4 - 5 star category . view room upon arrival magnificent bettercentral park horse draw carriage small -partof grand view room . Plasma Tv comfy bed make look feel well . hotel locate NYC course building old compare city like Miami/ Houston . room extremely clean nicely decorate give location age building there . M thank give dinner outrageously delicious never Turkey good ; taste catch forr . as well wait staff address Sir every time speak .It second time stay Hilton say stay far surpass NYC stay Hilton . location great right near 5th ave Tavern Green . great weekend retreat especially holiday . 
 Nov 20 2006 	 stay elsewhere 	 hotel truly horrible . room desperate need update . previous reviewer cite stained carpet , peel wallpaper , etc . absolutely spot . addition aforementione issue , also leak sink bathroom ( manage soak entire floor ) several burn light bulb . additionally , issue feel staff accommodate modest request . view fabulous , especially fall . thing hotel go . 
 Nov 8 2006 	 People actually pay stay ! ? 	 hotel old , wear state disrepair . 's redeem grace wonderful view Central Park greet get bed morning . problem note include : stain carpetscracked headboard bedrusty door hingespeeling wallpaper paintstaine / wear floor bathroomlitte bug around shower fixturehole wall previous picture hangingsthe staff seem pleasant enough , must take lot abuse people outraged pay high price low quality hotel ! stay business not bother complain ( since not $ $ ) , pay pocket , would disappoint . yes , view location great -- , someone use live NYC , amazed hotel low standard manage stay business . Helmsley hotel near UN much well shape . , skip Leona 's empire together stay somewhere else ! 
 Nov 6 2006 	 great position - awful hotel 	 other say , position hotel first rate ( right 5th 6th , Central Park South ) make hotel fade staff rude people New York . main complaint : -bathroom old stainedDecor uglylift slow inadequate lead long waitsno loungeno coffee shoprude unhelpful staffthe darkest bar NY45 floor one staff member check ingood thing : free internetpositionclean roomsnice breakfast room ( expensive slow service ) summary far well hotel area price 
 Oct 28 2006 	 Overrated Lacking Business Ethics 	 bellman let cab drive one bag , starter ... management duck responsibility . room par . hotel qualify Leading Hotels World , 3 star hotel major city . would rate . travel extensively , never disappoint , although price surprising low book . guess get pay room , great disappointment complete lack ethic management . bellman fail get wife 's cosmetic & amp ; jewelry bag trunk cab , arrive dimly light Central Park Ave street , bellman enough moral terpitude admit mistake . admit job get bag cab speed away , hotel manager quickly start duck . face - to - face comment & quot ; know bag not leave airport ? & quot ; bag turn local police precinct , turn cab driver next morning , would think hotel management would recognize malfeasance part . , refuse meet , send chief security ( former NYC beat cop ) meet deny liability . assure manager would contact checkout , time come contact , manager ducked claim ' on phone . ' ( could see talk staff side room . ) able file report document claim ( valuable ( jewelry makeup , etc , ) go bag turn police ) heat exchange head security . not lawyer , might intimidate . prepare fight problem hotel . room , might add , partially renovate floor , still 50 yr old fixture door . ' deluxe king city view ' mar buidle renovation across street , big blue sheet plastic construction worker peer room . look Park view room , not renovate remind Super 8 force stay one time . Yuck . oh yea , read Trip Advisor ( booking ) renovation go room renovate , personally call hotel reservation ask case assure renovation go room recently renovate . bold FACED LIE ! favor stay somewhere else . 
 Oct 23 2006 	 Cheapest room overlook Central Park ! 	 hotel get razz lot . book room overlook Central Park will pay much be get qualitatively . certainly slew fine NYC hotel value $ 300- $ 500 range . I stay overnight quick city visit wife . love view park ( title prompt booking ) 's picky ( jackpot ! ) . realistically - critically - room decor bit garish , wear tear not evident room price range - , prominant carpet stain minorly damage wall paper bathroom . one telephone ( two ) inoperative . check - in , give room two queen bed rather king book ... autumn view park lovely though . goal ( mine ) can not get less . park front competitor charge least 30 % ( well room ) view . result , wife enjoy beautiful view overlook shortcoming . & quot ; Queen Mean & quot ; octagenarian Leona Helmsley live top floor hotel . perhaps vibe account property 's shortcoming . location hotel however could not well otherwise . 
 Oct 10 2006 	 need renovation 	 hotel ok . location perfect , face park . desk clerks nice bellhop retrieve check luggage extremely helpful . room date worn . sort gaudy baroque way . bathroom need work , instance mirror loose wall . slow elevator . perhaps would stay again- find bargain would oppose location , would highly recommend hotel friend . 
 Oct 2 2006 	 bad hotel ever stay ! 	 bellman smart walk door . college educate turn nose we say , & quot ; ? & quot ; EXTREMELY rude . group nineteen people . service terrible . room ready get room pay . room service would answer several time . roll way ( mess reservation ) take two hour time 11:30 night . roll way terrible odor 1960 's . terrible experience . clean . never stay hotel . 
 Sep 14 2006 	 ok . . . 	 August 10 - 16 two room . ' ve stay several time like . fade year , location next CP great like away bustle . employee one testy frankly unfriendly check - in clerk nice helpful ( check people look friendly ) . rain hard 10th 11th way dinner , doorman literally wade street get soak get we cab . room service always responsive . room well decorate they re & quot ; OK & quot ; annoying thing : light dim night even light read anything right lamp . room 's toilet askew wall ; hole wall sink visible door bit unsightly . toilet second room inoperable check . fix right away call , leak . another call fix . new TV 's ' ve put often patchy reception . air conditioning fall flat 11 pm so . the Breakfast menu & quot ; Room View & quot ; good bit old hat unreasonably expensive . worth look park . people nice . last : not fool promise park view upgrade : could get one even book agent insist would problem b / c would full August return guest etc . 
 Aug 19 2006 	 Awesome Place 	 hotel situate right across street Central Park . really check hotel , clean , excellent bed water pressure awesome . turn service , maid come folds comforter leave chocolate pillow every night/.The room spacious New York City . see bug whatsoever . get fridge every room . television plasma satellite programming . furniture classy . look hotel long weekend New York City , hotel , price reasonable . Toronto , Ontario Canada . take tour bus great cheap , 
 Aug 15 2006 	 Little Secret 	 guess bad review people get & quot ; old & quot ; room . speak front desk nice treat nice . inform 1/2 hotel rennovate 6 month ago . that s right brand new room . deor simple elegant . actually go steal way design bathroom . ask new room disapointe . pay $ 225.00 2 bed huge room room 1511 . concierge eresta Anthony helpfull , find work Plaza , know exactly . also great time Qualtiy Meats new rest , next door . 
 Aug 1 2006 	 hate hotel . 	 arrive late Thursday evening . check process straight forward staff helpful enough . decor room terrible . room tired feeling , wallpaper old , peel shabby , carpet . not even want try bed . bathroom dirty , limescale mould , fitting rusty ' mini bar ' fact small , dirty , shabby , smelly little fridge bathroom floor one 's four leg miss ( list like sink ship ) . really get fact room big plasma tv Internet access wirelee keyboard . much cost ? not money spend refurbish hotel ? ironically hotel , immediately open duty free vodka use expensive in - room internet / plasma tv system check hotel area promptly book Hilton 6th Avenue round corner - far well hotel . 
 Jul 26 2006 	 never ! 	 say disappointing . rarely see hotel staff disintereste provide service . ignore bartender , dismiss concierge , abandon bellstaff . room never get 77 degree despite numerous service call . decor underwhelming . believe expensive piece real estate ( smack dab Ritz Plaza face Central Park ) run poorly . return . 
 Jul 20 2006 	 great location 	 decor little top really nothing bother we . the amenity tidy , lift relable , staff friendly enough , free internet , great LCD TV , location outstanding . hotel overlook Central Park one block 5th Avenue . close Museum Modern Art Rockefeller centre . there small fridge mini bar bathrrom . there nice little deli ( backddor , right ) serve range breakfast option good price even decent coffee . 
 Jul 20 2006 	 disapointing 	 arrive hotel around 10:00am drop luggage . room available understand . front desk tell could check 3:00pm . walk hot city day want relax room try check 3:30pm . room still ready line people problem . room assign around 4:30pm disgusting . bathroom fall apart , air conditioning work , headboard stain . many complaint front desk assign another room . room bit clean , still good air conditioning . top disappointment room , check weekend clerk tell additional charge since book room Hotels . noticed follow week hotel charge visa stay anyway . ' m work visa company cancel charge , try work hotel directly could never get anyone . huge disappointment NYC many hotel choose . 
 Jul 19 2006 	 not get ? ? ? 	 read bad review hotel Trip Advisor , bit apprehensive choose venue spend week daughter trip New York City , return ( July , 2006 ) . happily , fear realize . everything hotel perfect -- even price . one thing people compaine happen we . travel various part world 2 month year , stay many , many hotel , usually 4 - 5 star . suggest find hotel lack anything spend day five star hotel Mexico . 
 Jul 17 2006 	 not trust Leading Hotel ! 	 & quot ; LUXURY SET 'S apart - lead HOTELS BRINGS TOGETHER & quot ; - stay hotel two night ( room 4506 ) probably one bad Leading Hotels stay . generally wonder , quality tester , lead Hotels write ervery newsletter Leaders Club , , check bad facility like ? - room 4506 generelly need refurbish bathroom . - minibar available . bathroom ( ! ! ! ) old , icy empty refrigerator disgusting . - alarm clock not work repair first evening . - turn - down simply forget first evening , blank move away dirty several part . - turn - down second night put dirty blanket away . curtain not close paper basket not empty . - press service later evening not possible , press utility room old , damage dirty . - frottee - slipper available . housekeeping tell contact concierge , concierge tell contact housekeeping . together tell , buy slipper next morning gift shop . need sleeper ugly bathroom carpet room decide step neighbour Ritz - Carlton , ask frottee - slipper . appollogize , stay Leading Hotel get slipper complimentary within two minute typical Ritz Carlton charming way . - one bell man store luggage lobby - seven ( ! ) guest wait service complaining . will not stay anymore . 
 Jul 10 2006 	 lot technical difficulty nasty . can not believe LHW 	 high hope , definitely see hotel rank low website . redeem quality location right Park central park . option right nearby , trust not go ! be cheap compare nearby hotel like Ritz , reason ... front desk people interested nice helpful . pre - request high - floor room . reserve park view room , want one high . front desk person say & quot ; sure & quot ; mention , give 7th floor . ask , tell option no - park view , smoking , double - bed room . take 7th floor room . would consider partial park view , could see tree right across street . as review mention , decor hideouo . white floral upholstery . purple silver wall carpet . could see good shape might look good . wall could tell nice one time . be stain nasty . fugly couch - ? ? hallway really bad gold plant pattern wallpaper something , like Donald Trump 's blind grandma decorate place . tacky - fun way like Madonna Inn California , tacky painfull , hurt look sort - of way . then actual problem begin . try watch tv , tv would not work . re - boot apparently . call help , treat really rudely front desk . tech person try reboot remotely , say try minute . 20 minute later tv still do not work . call , say they d send someone . come 30 minute later , turn power button leave seeing work , still not ! could see sad poodle ( Leona 's ? ) image line flicker it . so give tv go take shower ... , notice water would not drain . drain plug break shut . call front desk mistreat , send person fix 30 minute later . no minibar , disappointing . AC joke , not much . 7th floor could hear street noice , enough distant faint murmur totally fine . leave really bad chocolate room well . do favor choose place , hotel need serious change . I say though bed comfortable . 
 Jul 7 2006 	 Park Lane hold Central Park South 	 stay Park Lane two night July read review bit nervous . however , stay could well ! staff helpful friendly , tv internet work fine , room clean , style bit old fashioned room feel stale musky . location excellent - near subway ( N , R , w,1 ) , great shopping ( fifth avenue , barney ) , place eat ( Whole Foods ! ! ) . great city view room king bed 21st floor face 58th street look south 210.00 night . problem call confirm reservation one night request two change problem . would definately stay ! 
 Jun 7 2006 	 great hotel ! 	 husband stay Park Lane Hotel 5 day March 2006 . location hotel excellent . the room little oldfashion , clean large . staff friendly , helpfull . didn´t problem . if like oldfashion look , would find hotel beautiful . the next time visite NY , deffenetly stay Park Lane Hotel . 
 Jun 5 2006 	 bring sunglasses- need ghastly decor . 	 second visit second hotel New York space week . regular ( least month ) visitor city . first impression ..... fresh flight caribbean check late evening pay upfront expedia worried rrom available . ask high floor tell 8th high queen available ( 46 ? ? ? ? ) . Cheekily ask could give king high floor , . king 10th floor- well nothing suppose . Anyway- wait slooooooooow elevator arrive , tell bellboy repeatedly want carry bag ( lug around airport time- manage poxy elevator thank ) arrive room . well ....... like cross old indian grandmas living room , sort royal palace tribute . hideous word . please see picture conformation . picture justice utterly foul decor room be . the hallway floor exactly same . nice flat screen LCD tv free wire internet access ....... except available cable be not cable tioe behind desk 2 foot long , mean stand use . great . add smell bur whenever use internet ( look behind dek see spaghetti wire , router box fan panel cover wall see smell ) great would first appear . wireless connection detect building . Windows open 2 & quot ; . Bathroom marginally well decorate ( brown shagpile rug ? ? ? ? well red gold suppose ) Aircon work fine noisy . room clean confortable- pity revoltingnoisy guest thin door / wall par course large hotel like this . the location great- park . idea park view worth extra $ 100 ! night ..... be not prepared pay . grand kind old skool way- date . place like exactly hate huge hotel - far impersonal , noisy usually badly decrate need update .. pay location- nothing more . for money NYC well . 
