quiet 	 celebrate wedding anniversary trip NYC enjoy quiet Ritz Carlton . room 6th Avenue , able see Central Park . room spacious , spotless serene . service impeccable . hotel highly recommend ! 
 Feb 12 2006 	 Bentley 	 feel compel begin confess never like Ritz - Carlton portfolio . room show ad campaign often remind grandmother 's condo Boca , whole & quot ; Ladies gentleman serve Ladies Gentlemen & quot ; slogan seem little pretentious . be almost like Madonna try fake british accent . despite negative first impression , decide stay Ritz Central Park rave review site well outstanding location . needless say , rate paying , arrive high expectation . the moment get cab realize location indeed stellar . lobby intimate check - in process flawless . excellent service free & quot ; lady gentleman & quot ; attitude . elevator access guestroom require guestroom key , think outstanding idea ensure safety guest ( especially single female traveler ) .although deluxe room look build 's courtyard ( i.e . mechanical space ) , room well appoint . design scheme conservative / traditional four season Mandarin Oriental , almost like new version Carlyle . room slightly small standard room Four Seasons , though significantly large Upper - east - side gem Carlyle Mark . four - fixture bathroom modern cozy , although find strange yet pleasurable window next toilet . give favorable review thus far , may wonder prompt award hotel three star rather five star . subject title suggest , 's & quot ; Bentley & quot ; . friend , frequent guest property , remind numerous occasion must use hotel 's house car . basically Bentley hotel use take guest around midtown area free - of - charge . car service run first - come - first - serve policy , head lobby 7:15 8:00 dinner appointment 15 block away , instruct one bellman want use house car . bellman respond ask wait lounge . ask long would wait , answered & quot ; 15 minute & quot ; .Two glass Sancerre many cashew nut later , become impatient . 's 7:45 car - less . walk see everything okay , witness couple hand bellman tip , immediately direct Bentley . strange , think . approach bellman ask 's another house car come soon , say , & quot ; , one , come back & quot ; . interesting . car leave discussion . ask , long people wait , wait half hour lounge . he say , & quot ; tell want use car , otherwise would not give car & quot ; . turn people never line , due miscommunication & quot ; part & quot ; , overlook . needless say , furious . & quot ; tell one bellman & quot ; , say , & quot ; ? & quot ; & quot ; go dinner & quot ; , say , & quot ; never tell & quot ; , be fault . okay . & quot ; not tip ? & quot ; ask . say , & quot ; ... & quot ; get cab leave . the next afternoon , business meeting see Bentley park front hotel . bellman . give tip ask & quot ; time could use car & quot ; . jerk provoke . three second later car , really quite nice . will come back ? without Bentley incident , maybe . Bentley ? way . meanwhile return Four Seasons Carlyle , not blame guest staff miscommunication . 
 Jan 28 2006 	 disappointing 	 need transportation back hotel ballet good hotel could car minimum 2.5 hour $ 95 / hour . pay $ 1200 suite , thought could do well . 
 Jan 27 2006 	 truly special place . 	 ok , pay nose stay , matter get money ' worth ? course , one stay number top - end hotel ( Waldorf New York , Savoy London ) Ritz - Carlton first place ' ever , without exception , fail disappoint . my wife stay 6 night 4 month old daughter , first time travel ' family ' little apprehensive . get slight reduction standard rate contact hotel directly - $ 675 night Park View Room – expectation pretty high . check - in quick efficient room beautiful , complete promised view Central Park . slight side 9th floor , view tree rather park itself . the follow morning , 7.30am , upon flush toilet bathroom flood . big time . call reception , maintenance chap we 3 minute , follow two staff armed mop . manager follow shortly offer option move room , take , move similar room 20th floor . much well view , throw complimentary breakfast room every morning stay compensation ( probably $ 400 worth breakfast ) . even refunded tip make room service . ok , shame first room flood , thing happen , real test quality hotel react problem . case Ritz - Carlton , handle perfectly , happy deal with . other point note ? bathroom great wonderful shower , bed provide good night sleep ' ever , lobby bar shine example understate elegance , level service every member staff – manager maid doormen – exemplary . make sure carry pocket full loose dollar tipping ! 
 Jan 12 2006 	 V. Nice 	 stay five night . romantic trip experience New Year 's . Park View Room expensive view great worth & quot ; special treat & quot ; . great location stay . staff friendly . get breakfast one morning - unsurprisingly cost arm leg surprisingly quality food be not great ..... 
 Dec 3 2005 	 worth money- 	 wife two child stay suite Ritz Carlton impress . room nice , clean well appoint . dresser broken drawer , hard monitor temperature room . bathroom wonderful , clean marble throughout . room small . lobby small bar area nothing special . do not really care pro athlete wear muscle shirt adorn ble use profanity . huge turn . go charge top shelf price- enforce dress code ! ! complain front desk language staff apologetic really willing anything . overall nice would rush back , lot great hotel NYC less money equal accomadation . 
 Oct 23 2005 	 great Anniversary ! 	 husband stay tenth anniversary . must say Marek , ( sure spell ) hotel 's driver FABULOUS . drive we two venue , also recommend great place cocktail anniversary dinner . take advantage hotel 's car get ... nice ! concierge great get reservation restaurant choice ... La Bernardin . Champagne send room , along fabulous chocolate - cover strawberry . bar hotel great , great mojito ( close ... sorry , bartender ! ) around , GREAT experience . prepared pay dearly everything ... breakfast , coffee , room , special experience ... be worth ! 
 Oct 10 2005 	 wow ! 	 come hotel wedding night - staff pull stop we amazed high standard service attention detail . the hotel expensive worth . stay room 2214 22nd floor lucky enough spectacular view Central Park - breathtaking . , take afternoon tea Star Lounge - service great , surrounding beautiful . the hotel send champagne strawberry room even make we fantastic wedding cake complete surprise - could not ask . great thing hotel , staff make huge fuss we know special occasion , pay attention every detail . lose count many hotel management come congratulate us - fantastic feel like royalty . , stay . 
 Sep 23 2005 	 Quick Weekend NYC 	 busy weekend NYC hip hotel Lower Manhattan book . luckily , able secure Deluxe King room ( settle 3rd floor ) . room incredibly spacious New York standard bathroom top ! Frederick Fekkai product , great finish . bed linen fabulous ! lobby tiny , location beat ! highly recommend stay want Central Park location . Classic Ritz Carlton service ! superb ! ! ! 
 Sep 21 2005 	 SOOOOOOOOOOO Fabulous ! 	 stay week club level access . place good place ever stay . service , room , food , friendliness ... absolutely fantastic . location could not well . never stay anywhere else go New York . 
 Jul 31 2005 	 Superb 	 wife stay three night July 2005 celebrate tenth wedding anniversary . book Amex platinum travel great rate $ 685 Park View King room include breakfast . upon check , wish happy anniversary high room request give we . also give late checkout 1600 invite use Club Lounge duration stay . escort room 18th floor usual explanation give . main area room king bed , day geat selection daytime pillow , easy chair , table , desk chair , tv , DVD , Satellite / Cable great selection storage space . room also entrance foyer table lamp closet . bathroom separate WC door , bath , one wash basin separate shower cubicle . super selection designer toiletry constantly replenish . good part room two picture window fantastic view Central Park . we make use Club Lounge every day stay . welcome always personal , warm genuine . service times day professional efficient . ambience casual spite quite formal surrounding . food beverage selection imaginitively present quality never falter . the atmosphere Lobby bar private club . 's position allow guest view coming going hotel famous famous guest . eat hotel restaurant menu look good price would expect pay hotel like city . my wife spa treatment La Prairie Spa impressed . the location hotel second none greenery Central Park activite across street . Times Square easy walk distance . we thoroughly enjoy stay hotel would hesitate return . service attention staff first rate personal . bottle champagne tray chocolate dip strawberry even send room help we celebrate wedding anniversary , extra touch need ! 
 Jul 22 2005 	 nice ... 	 overall : nice hotel expect . fairly clean , although fly club lounge . several minor issue people would probably overlook . would go back feel Pierre much well hotel overall . room : Deluxe King well decorate good amenity . one regular chair , make In - room Dining bit difficult . typical , large Ritz bathroom half size actual guestroom . wife find bed pillow comfortable . Club Lounge : invite atmosphere much variety food . food quality great either . in - room dining : food come quickly . one time delay , receive call telling would another 5 minute . however , take hour 2 phone call remove table room ( 2 occasion ) . food quality average . 
 Jul 18 2005 	 do not get well 	 travel quite frequently blow away staff ritz , attentive without obtrusive , every request answer & quot ; would pleasure take care & quot ; . room huge nyc standard , comfortable bed , nice spa product , separate shower tub . absolutely love definately stay whenever nyc . 
 Jun 18 2005 	 Spectacular ! 	 husband stay 2 night April ; get club level room . location great - close many thing right Central Park . disappointment view ... brick wall - wonderful ! room beautifully decorate , bed comfortable , bathroom large cover marble . evening turn - down service jazz music nice touch . club lounge great , nice sit lounge enjoy food drink overlook Central Park . especially enjoy afternoon tea service . club concierge helpful . spa wonderful . hotel staff pleasant always greet name . top , stay free use Mastercard reward . definitely return Ritz Central Park look forward ! not know Maybach , will try next visit ! husband 's 1st visit NYC 2nd - love already plan another trip ! 
 may 23 2005 	 live expectation 	 every bit professional impressive expect . ( charge ! ) take mother treat 60th last November not regret pay extra - great location staff fantastic . if win lottery will definitely return ! 
 May 4 2005 	 exceed high expectation 	 stay Parkview room 22 - 25 April 2005 celebrate 10th wedding anniversary . no - expense - spare blow - out . little anxious high expectation might meet - need not . room great , staff friendly , welcome eager please . read internet Bentley ' house car ' available guest boldly ask doorman available take we Empire State building . call round stretch Maybach mention previous reviewer ( truly astonishing car ) , concierge provide we hotel 's VIP pass Empire State , allow we jump queue . 20 minute . burger room service one lazy afternoon good burger ' ve ever ( ' ve ! ) . 10 year work top 20th anniversary . fault ? well , everything be expensive ( food , cocktail ) expect , quality justify high price . 
 Apr 26 2005 	 Loved Ritz 	 wife stay Ritz Carlton Central Park April 22nd 23rd . experience wonderful . employee hotel friendly helpful . example , ask doorman catch we cab dinner unsuceesful less minute call hotel limo take we . limo $ 400,000 Maybach mercede Benz . think go beyond great customer service . I m selective come hotel seldom please . stay refreshing . ' ve stay many five star hotel would say Hotel rank among good . enjoy will not disappoint . 
 Apr 17 2005 	 's service 	 Service hotel strong point . travel child appear put 5th floor back . view , back building around , bad not want open curtian . travel friend thi two child . impressed location room . would negative thing could say hotel . everything else great . attitude staff make feel welcome . food good . many celebrity stay hotel include Jennifer Anaston , Courtney Cox , Frasier ( Kelsey Grammer ? ) Charles Barkley . location great , around corner 5th ave shopping . across street Central Park , one block away subway station , not need hotel car ( 450 K Maeback ) sure correct , available drop . true 5 star hotel . say recently misfortune stay Sheraton dba Starwood hotel claim 5 star really one star hotel . really nice hotel great service , give try . 
 Apr 17 2005 	 Ritz Carlton - average ! 	 book Ritz Carlton finish Queen Mary 2 cruise style . sadly 4 night , 5 day stay impressed . ( 2nd 6th April 2005 ) staff young seem poorly train . park view suite ( £ 1,000GBP per night ! ) . example ; every day ask towel ; mini bar examine minute detail whilst room . also niggle regard standard cleaning operation Club Lounge . know might sound like nit pick cost reputation experience lot well . stay top hotel go ' no expense spare ' cruise holiday two child age 7 9 . disappointingly , visit Ritz Carlton , Central Park , NYC standard expect . 
 Apr 13 2005 	 perfectly fine nothing Fantastic 	 five day spend Ritz - Carlton Central park mark first visit back New York since move away city . splurge travel ... usually four Seasons addict , FS New York property leave much desire , try find luxe hotel NYC . look website , Ritz - Carlton website , decide stay hotel . book Park - View room $ 590 per night , AmEx Platinum . upon arrival , give Club Lounge access upgrade . first room receptionist escort unacceptable : dark , shabby ( fringe tear curtain ) , ugly gold color not suit taste . not like room , kind enough show two other , one perfectly lovely . bellman kindly move luggage flower giftbasket place room arrival ( however , lose card arrive , idea someone say , & quot ; get flower ? ? ? & quot ; ) .Yes , room nice ... nothing die . ( sometimes wonder home tripadvisor user must look like since be drool hotel room decor ... ) Small elegantly furnished . room service little well average . lobby bar happen every night , restaurant EMPTY . whole & quot ; club lounge & quot ; concept not scene . guest excite free food drink hover around appetizer platter disappoint . lovely hotel , service good . , good NYC offer ? good get ? , ' m terribly disappointed . imagine much . think every hotel aspire like George V Paris : absolutely flawless . 
 Apr 7 2005 	 stay anywhere else ? 	 Ritz everything speak ... get incredible rate company , hard say . not faboulous club level room , room 100 time well anything else ' ve stay New York . room huge , bathroom fantastic , service top notch . great star - gaze place , . 2 day see 4 & quot ; low key & quot ; celebrity come happen come . 
 Apr 2 2005 	 luxurious good Ritz 	 stay Easter Weekend 3 night . club level room . view use club lounge concierge . great location opposite central park . room luxurious internal view ... pay $ 625 per night , two kid we room 2 double bed bad . lobby small spectacular Ritz stay doubt New York short space ! Club Lounge little disappointing . concierge low key ... helpful yes overly . food presentation pretty meagre ( compare Ritz Key Biscayne go ) eg champage leave . ask it . overall favourite Ritz , like we sight seeing day probably not need spend much room . would go back New York ... yes ! would stay Ritz ... not think . like luxury try somewhere else next time 
 Apr 1 2005 	 treat like Royalty 	 propose girlfriend Ritz Carlton couple week ago . book Park View Room work hotel staff make moment perfect . Katie guest service rest staff exceed expectation . upgrade room stunning view , feel pamper - hotel staff make we feel like royalty . stay top hotel Hawaii , Paris , Italy across US , experience Ritz Carlton Central Park without compare . 
 Mar 29 2005 	 good everything 	 spend 3 fantastic day New York Ritz . great large room new interior construction . service perfect front desk bellman check . sure ask concierge house car available take dinner theatre . arrive Maybach get stare celebrity . 
 Feb 28 2005 	 rate 	 really can not see fuss here . the room ok ( small ) rate way over - price . location ok everything else average . - still , ' ve get money burn , not listen word ! 
 Feb 20 2005 	 die Gone Heaven .. Meet Saint Ritz Carlton ! 	 enough star galaxy rate fabulous hotel . we really go anyway . Valentine 's Day spoily excess already book . be talk Park View access Club Lounge package . cheap wife initially somewhat awe $ 845 per night price tag . , ' it well good ' scenario . needless say crown emperor hotel world deliver beyond wildest expectation . start ? cheekily ask upgrade initially turn down . embarrassed , smile mutter something one not ask one not get . escort accross lobby , deft sign language / telepathy/5 star communication system unique good hotel indicate yes upgrade available later day . we go Museum Modern Art ( tip : avoid Mondays , fabulous museum stuff full world 's great treasure , need dedication wait cold rain 45 minute queue yet deposit bag ) return several hour later . we allocate brand new Park View suite ( 2014 ) 20th floor . we literally second third set people stay there . it smell wonderfully new view park unbeatable . art lover much look forward see Gates installation concerned room would afford much overview . imagine delight see 20th floor entiresaffron ( think orange ! ) multi million dollar art extravaganza front window ! prefer plain decoration somehow Ritz Carlton furnishing work wonder pattern . French style without overkill . I adore stripey pad wall . if afford , strongly urge go Club Lounge package . staff helpful friendly 6 complimentary food presentation sumptuous . admit take full advantage hotel 's generosity include champagne wife vodka tonic I . we treat well staff genuinely thankful $ 10 tip . delightful young woman reception show we $ 1695 ( think ) suite , even initially refuse tip ! send way everyone cheery smile plenty banter . commissionaire open taxi door commiserate we regard next sojourn Hotel Giraffe , be another story get print ! word Kojak ..... ' Ritz Carlton ... love ya baby . ' 
 Feb 11 2005 	 absolutely impeccable ! 	 spend three night mother daughter ( age 8 ) . second stay hotel enjoy even last year . location wonderful . walk MoMA , American Girl Place , Barney 's , theatre much ! level service excellent travel daughter seem get even well service without . upon arrival one staff member give daughter Lizzie Maguire dvd watch room . first morning , way door , doorman greet daughter name ! bellman grateful tip ... everyone fantastic ! room back hotel . need two double bed book low room category , way get 2 double . exquisite ! still three large window , include one spacious bathroom . breakfast every morning hotel 's restaurant , Atelier . again , service unparalleled . Dinner Atelier last night divine ( prix fixe ) ; Master Sommelier kind . although love shopping explore downtown ... never able stay anywhere Ritz Carlton central Park - long afford . absolutely dream hotel ! ' m hope take daughter summer . 
 Feb 6 2005 	 Perfect ! 	 wife return trip NYC , stay Ritz - Carlton Central Park five night . everything perfect inculde room , food concierge service . small let lack gym / pool facility . 
 Jan 22 2005 	 absolutely beautiful 	 absolutely beautiful . the bad thing 's shame people New York cold sometimes . would great alot friendly . 
 Jan 6 2005 	 Staff Putting Ritz 	 property fantastic ! linen room way lobby decorate , know deluxe environment . the restaurant , Atelier outstanding . surprised hear original chef move . menu remain inspire , food delicious service fantastic . the lobby bartender extremely attentive informative wine serve . course Norman , institution Ritz , also Celine . Celine friendly always professional . take personal interest ensure guest wonderful experience inbibe creation . celebrity , tactfully ensure privacy remain intact without insult curious guest . really asset organization . overall , feel Ritz property NYC 's fine hotel . great location , great amenity great staff make great experience . 
 Dec 23 2004 	 great Stay New York 	 Great Classy hotel . fantastic service ... really nice hotel ever stay . really comfortable bed important ( bad back ) . 
 Dec 2 2004 	 think everything 	 perfect get hotel . although rate steeeeep , service impeccable room . dvd player bath product pillow ( good ) , room appoint perfectly . room service tad dissappointe ( especially give price $ 22 caesar salad $ 14 bowl soup ) , everything else hotel superb . 
 Nov 5 2004 	 perfect Hotel 	 spend 3 night Ritz Carlton say beautiful perfect hotel ever stay . find staff friendly , efficient helpful always courteous . especially like juice apple lay return morning jogger every morning ! room spacious real plus New York . also quiet - back room - although not view Central Park , not feel disappointed . bed comfortable ever sleep - busy change bed - bathroom simply luxurious . hotel could fault recommend . 
 Oct 29 2004 	 Awesome 	 Perfect location , great service , friendly helpful staff , good concierge , well - equip workout facility , good spa , beautiful view parkview room , convenient quick valet parking , intimate size - cheap , worth every penny . well all - around hotel visit NYC . 
 Aug 23 2004 	 First Rate 	 stay two night think well ' ve stay far NYC ( much well run - down Plaza next door ) . room great , bathroom huge , service excellent . pay much , get . complaint . 
 Aug 17 2004 	 wonderful stay ! 	 boyfriend stay long weekend comfortable splendid stay . room absolutely wonderful - best BEDS ever high quality sheet , GORGEOUS large marble bathroom huge tub , separate shower , separate room toilet , high end toiletry , robe , slipper , DVD / CD player , stock fridge , impeccable service . notice room turn twice day , leave morning evening . replace towel toiletry use throughout day , remade bed , leave chocolate fresh water bed every evening return dinner . doorman absolutely wonderful - open door , greet we , call taxis we . concierge know area well make dinner reservation we . fitness center also fantastic ! state art equipment personal tv , fresh fruit ice cold evian water bottle hand ! not indulge spa , definitely look invite staff extremely courteous top ! not move new york , would definitely stay time visit ! ! worth price ! 
 Aug 16 2004 	 great hotel . 	 room , service , food great . view park fantastic hotel convenient location . walk easy midtown location , hotel gladly drive . can not go wrong stay . 
 Jul 27 2004 	 good value NYC 	 luxury hotel ' ve stay NYC include Peninsulas Four Seasons , Ritz Carlton Central Park hotel would look forward go back . great service , decent - sized room , nice bathroom , Frederic Fekkai shampoos cleanser ! ! 's rare find NYC . actually not think New York hotel bad stay Ritz . 
 Jun 1 2004 	 pure luxury 	 stay fine hotel one definately fall category 5 star . stay three young child beautiful park view suite . magnificent . staff could enough we greet we time see . bar lounge area well restaurant excellent every way . love hotel can not wait go back weekend getaway . good part warm hospitable towards child . 
 may 7 2004 	 FIRST class 	 surpirse husband birthday - Easter ~ yankess / White Sox opener weekend getaway April . finer hotel New York City . Ritz Carlton ~ Central Park superior service , amenity ambiance . Park View Room 19th floor overlook Central Park magical . concerige service , room decor , frette linen , club level amenity , Central Park location / view overall luxury melt heart pleasure . way rekindle marriage , Ritz , first class ! 
 Mar 28 2004 	 elegant room beautiful Central Park view 	 stay last weekend January love . room , although small side , gorgeously decorate good view NYC hotel ' ve stay . even telescope windowsill , Central Park snow breathtaking , especially dark . room service amazing -- cocktail deliver within 10 minute placing order , come rise bud vase tray . grant , lobby public area confine , everything beautiful elegant . 
 Mar 24 2004 	 location luxury car ! 	 spend five day . can not imagine could well . room bath luxurious , staff available over - bearing . good hotel car available evening take we theatre . la prairie spa expensive lovely . obviously great location . last time nyc stay waldorf ritz outshine many time .. 
 Mar 1 2004 	 simply good 	 spend weekend Ritz Carlton Central Park hard press think luxury hotel even come close offer stellar service Ritz Carlton . suite enormous , immaculate impeccably decorate . reserve suite enable we take advantage exclusive Club Lounge offer delightful Breakfast , light Lunch , Afternoon Tea Dinner fare - all complimentary high quality . request grand Concierge even able secure last minute reservation exceptional restaurant- normal impossibility NYC . one get feel Staff well train also treat well truly enjoy job - nothing gratuitous service time - even car deliver upon departure present 2 bottle evian trip home - it 's detail matter . ( familiar NYC Ritz Carlton perfect location - accross Central Park Upper East side - convenient theater district , 5th Avenue , Rockefeller Center , etc ... ) Ritz Carlton Central Park everything right - we never stay anywhere else New York again~ 
 Feb 14 2004 	 use ... 	 stay . good service food ( order room service ) come luke warm lobby tiny ! worth money , ok , view great central park , great location . 
 Jan 6 2004 	 expect little 
 Oct 30 2003 	 could well .... 
 Oct 29 2003 	 great quiet place 
 Oct 28 2003 	 look back 
 Oct 21 2003 	 be not use . 
 Sep 8 2003 	 Perfection .... 
 Mar 3 2003 	 perfection 
 Feb 5 2003 	 good 
 Jan 30 2003 	 superb 
 Oct 24 2002 	 St. Mortiz Park 
 Oct 9 2009 	 Geschäftsreise New York 
 Dec 1 2008 	 ? ? ? ? ? 
 Aug 14 2008 	 couper le souffle 
 Mar 14 2008 	 La Grande Classe donnant sur Central Park 
