grandview 	 return place two day ago . nice place stay complaint accomodation , disappointed staff . screw ever turn , arrive late evening family check early day , hotel staff harass mother several time evening show desk credit card & quot ; calm & quot ; front desk staff . ( reservation name , call get permission check early ) arrive 10:30pm give credit card settle issue , next day 11:30 night return evening lock we room ( one key work ) call front desk say not pay bill . explain situation flight delay pay 10:30pm night etc . record credit card . nightmare . go stairs resolve charge mother credit card ( yet still lock we ) note attach account state & quot ; charge credit card wait show credit card & quot ; . reverse charge embarrassed problem cause , perplexed happen . leave hand definitely not know right hand . room miss soap , miss shampoo , call get need give we run around , never deliver soap shampoo . customer service lack BIG TIME & gt ; CAREFUL . can not wait see final bill . sure screw . 
 great place 	 exception & quot ; free breakfast & quot ; really sale presentation , great property . would highly recommend 2nd 3rd timer Vegas vacationer little tired strip . great place bring family . would recommend rent car strip / show visit . find garage strip ( near & amp ; store ) could park $ 3.00 day . full kitchen time spend look place eat . property close Whole Foods Wal - mart . parking challenge come late show . close Casino road want gamble not want deal strip . recommend Red Cup cafe 3 meal . portion generous . bring leftover put full size refridgerator available . stay ! 
 cook can not swim : cold pool 	 room big , kitchen well appoint . not eat every meal . disappointed none pool heat enough swim . sofa bed mattress awful . 
 would recommend resort spacious accommodation decor . 	 begin visit frustrating lack coordination resort rci- neither would assume responsibilty us registration list even though call make agency 3 week ; 5 day ; day . hour , finally room take immediate nap- wake red , itchy , swollen eye , familiar animal smell . definite animal dander leave behind . housekeeping manager handle graciously offer move different room ( garantee , even though animal allow ) , settle carpet shampooed linen comforter replace . way , guest later enter elevator dog . allergy pet dander , beware ask safety cleaning . work well . $ 1.00 charge coffee ridiculous waive protest . nice deli site . food good . shuttle service good - timely considerate . prepare tip ! resort shuttle activity good allow freedom movement without $ 8 regular shuttle service . even though overall resort experience good , effort toward friendliness could exemplified front end staff - bit aloof involve guest service care experience resort . 
 May 23 2008 	 Unexceptable Behavior ! ! ! 	 family stay Grand View January 2008 . complete disaster ! stay entire hotel floor stayed flood dirty , smelly water . SON NEARLY ELECTRICUTED ! ! ! electronic item completely ruin . make matter bad , one offer we help . people cry intercom system help . completely awful horrible . never go hotel would certainly recommend one else stay either . almost June one hotel call back apologize , let we know water hazardous , thing . offer we one simple apology ordeal . anyone else stay hotel January simular experience please contact talk behavior hotel completely UNSATISFACTORY UNEXCEPTABLE ! ! ! 
 May 19 2008 	 okay 	 property leave lot desire . much like cheap apartment gold crown condominium . two bedroomswould like 2 one bedroom studio . unit complimentary shampoo , bubble bath , facility guide likeamenitie . recommend rental car ( good idea ) parkingis scarce . parking 6 p.m. will park casino next door . laundry room door unit repair poorly door would barely close . tv would not work cable box unit ready occupancy . blackout drape living room bedroom . not sleep living room . time sharepresentation , tell would not buy $ 500.00 let alone $ 24,000 . would stay strip hotel would stay . ' ve stay Jockey Club , Grand Vacations Hilton , Harbour Lites , Portofino , several Blue Green property one not cut . doubtful hear back management even though leave summaryof shortcoming upon check . stay form opinion beware . 
 may 19 2008 	 nice place stay ! 	 nice time . yes away form & quot ; strip & quot ; we plus ( sure rent car ) . gamble South Point Casino across street . time share resort ( not realize get ) , unlike time share resort stay , people freindly pushy . ask attend presentation , decline , . room nice comfortable . pool area beautiful ! thing see need improve parking . come back late well prepared park somewhere away building . not take wrong not bad ! go back , would stay ! ! 
 May 12 2008 	 parking 	 trade Grandview RCI Wynfham point , warn we . not get wrong , accomodation fine problem preclude we return . we decide try stay strip first time . and say strip mean strip . the problem like visit strip casino night . imagine . return midnight , parking . last night think park three block away unit . construction going get bad . I seem nice resort place stay . wif e say pool area lovely . go Vegas pool . we disappoint casino well . lack variety think slot tight . also $ 10 charge use safe bs . happens not pay charge . rob room safe use ? anyway , stay strip . 
 May 6 2008 	 horrible 	 Booked exchange rcithe room cheap furniture clean stay smoking room could not beleive smell . we stay never find parking spot near 12 story building walk 1000 foot parking night room key would not allow we cut pool thus walk quite bit long . speak key go front desk 3 time get key gate pool finally give , one morning late show key work room . we awaken sound 16 floor building go 8 every day . the customer service suck , push way could space timeshare tour take build 4 ( lily ) day . once pool ( 2 small pool hundred unit currently 9 building 12 floor ) stare thousand timeshare tourer . I never complain first reveiw stay many timeshare never bad . 
 May 2 2008 	 horrible service ! 	 arrive send we & quot ; VIP & quot ; check . believe think sucker . try make we sign 3 hour ordeal sell we time share hotel end will give we discount ticket local show . tell we find mix reservation . put we wait room could fix it . I end fall asleep wait long . turn forget we . find someone remind leave we freeze waiting room . finally give we room key , one room ready check in . at first glance room nice , close look thing get ugly . the shower disgusting . mildew bottom , tile shower door . shower head tiny water pressure way low . mind give show large enough fit 3 people it . our bed absolutely disgusting . could not believe . hair one blanket . not discover 2 day check . know fact not hair certainly not anyone else room . I LOVED light shine brightly room night . blind terrible job block light bedroom , living room heavy curtain make dark constantly . the parking ! would think room would provide least one spot per room . horrible . 12 parking street . parking bad part stay . 
 Apr 21 2008 	 Long Time Owner ... First Time Stay 	 get timeshare honeymoon Vegas ' 04 . not get chance stay 2007 . bit hassle actually book room , finally get date sometime around aniversary . bring son , fortunately mom come along watch , hubby could time alone . first impression room well remember ' 04 . impressed . week go start notice little thing , like wear furniture scuff mark bed spread . also , run jacuzzi tub gook come jet . still try make . really not feel noise . first night get radio room next door come full blast middle night . take good hour get someone staff come go empty room turn . turn jackcrack set radio alarm go volume full blast . jerk . course folk we , seem move furniture everynight 11 pm 2 . even annoyed hubby , usually pretty lay back . course really , pretty much manditory meeting go could try upsale owner . whole day , even though end upgrading , mostly waste time . & quot ; resort & quot ; pretty decent . mean 's way could stay equivalent hotel vegas amount 4 people week . plus like south point casino right across street , couple night not even drive way vegas blvd strip , walk across street . also restaraunt across stree really good give 20 % discount staying grandview . worth . 
 Apr 19 2008 	 Excellent Place Stay 	 husband stay Grandview week , Friday Friday use exchange week RCI . read interest previous review , keep mind complaint noise construction , whirlpool tub , scrape chair , noisy neighbour , lack park various bldg . pushy time share agent . book Iris Bldg , adjacent main registration bldg . highly recommend . unit recently renovate , step Casino opposite lot parking ( never problem find space ) . ask unit overlook front construction back bldg . hear occasional scrape chair , floor tile noise can not help . People around we considerate whirlpool tub - Grandview rule usage ( 8 a.m. - 10 p.m ) . problem time share agent . tell interested leave we alone . overall : definitely recommend rent car stay . never use bus service ( rent car ) hear inconvenient costly family . really like location Strip , step away really great Casino , South Pointe . eat two Casino restaurant ( Garden Buffet Coronado ) - excellent value money . suggest check . car , grocery shopping minute Grandview . food 4 less en - route airport Albertsons Walmart close by . facility : one - bed unit excellent . large separate bedroom . huge bathroom shower - definitely build wheelchair access . Kitchen fully equip stock dish washing / dishwasher / laundry supply . tip : bring universal sink plug ( dollar store ) plug bathroom sink . pool bldg . close due on - going , construction , main pool open load sun lounger available . 2 pool - 1 use child , adult . also small work - out room , quite adequate short stay ( use ) . on - site grocery / cafe : small grocery / cafe main pool . make salad / other small meal take reasonable price . 
 Apr 17 2008 	 Loved . 	 2 bedroom 6 people . give we 2 condo 's , work great . 2 kitchen , 2 bedroom , 2 bathroom give we room spread . condo well equip , beautifully furnish , immaculate . across street South Point Casino big bonus . like gambling , casino appeal everyone group . also give we flexibility come go pleased always group . we rental car , easy visit Strip run grab bite eat . go stay Strip , definitely recommend get car . sure cost compare - use RCI point book . negative construction go part complex - noise start 7:00 day , would frustrating be early riser . 
 Apr 13 2008 	 great situation 	 suite great walk door . everything clean set great vacation ... however , 6:00 a.m. every day , loud construction start build next door . deinitely could not sleep start . you could hear hot tub surround room & quot ; quiet times & quot ; night . definiitely loud enough wake solid sleep . there shuttle service downtown strip want go , pay $ 30 cab ( accord staff ) ride city bus ( recommend staff ) , take city bus , take 1 1 & amp ; 1/2 hour every time go strip . scary night . would recommend take bus dark . plus want waste 2 - 3 hour roundtrip nasty bus ? like sleep dark room , sleep livingroom . bedroom blind useless . I feel bad anyone way Grandview . well , plan stay hotel swimming pool go town 's bad ..... be strip , go elsewhere ! 
 Apr 11 2008 	 great vacation ! 	 husband spend week Grandview ( Mar 28 - Apr 4 , 2008 ) . overall acommodation average . unit 1 bedrm Primrose Bldg . Unit offer need ..... bed linen could upgrade somewhat . enjoy pool area . South Point Casino across street great . good food , lot gambling option , movie theatre show . rent car week pick Groceries Albertson 's 3 - 4 minute drive East Silverado Drive . Strip 6 - 7 mile Grandview . sure bus system not use ..... however hear good good review . staff Grandview helpful friendly . pressure time share presentation , ask would like sign & quot ; complementary breakfast / time share presentation & quot ; next moring arrive . politely decline tell decide want time share pre would touch .... take care that . the business center main bldg leave little desire room share children craft center . 3 computer always line people wait use .... room tend noisy . however , say use computer manage get work do .... hugh problem . if return back Grandview late evening may park street enough parking space around building ... parking street problem we , car safe enough . overall , great vacation Las Vegas would return Grandview . 
 Apr 8 2008 	 5 year anniversary 	 celebration 5 year marriage wife decide stay Grandview Las Vegas . stay first week April . let first start say definitely come back . room great ! felt like home away home . decide hit grocery store around corner stock couple thing , eat every meal . great location right strip , want gamble South Point meet need stone thow away . love low limit table , along variety slot . ( something everyone ) use work room , big , suggest get early . pool little cold swim nice lay . property work do interfere stay . great trip look forward return trip . 
 Mar 29 2008 	 First Family Vacation 	 first family vacation Las Vegas . typical vacation spot 6 month old baby girl , nevertheless , enjoy herself . the Grandview offer great accomodation beautiful suite . read negative review early morning construction parking difficulty , encounter problem . staff efficient friendly , room clean well stocked . middle night arrival meet friendly face pressure purchase time share . need play pen 4 little darling , bring room 10 minute . great full kitchen not want go , let us face , get tiring ! outlet mall close Grandview enjoy couple shopping day stay . rent car , make easy get around , experience shuttle ride . be travel family , recommend rent car reserving ( advance ) child car seat . car rental company offer car seat first come , first serve basis . I would definately recommend Grandview young family travel Vegas . amenity offer make much easy travel baby . 
 Mar 28 2008 	 pretty good place stay want stay strip : ) 	 let begin say really trust people take time write review place stay .... rely quite bit make travel plan ... take seriously want provide objective feedback ... stay whole week Grandview ( Vacation Village property funny realize actually stay sister property orlando couple year ago - this resort really remind one ! ) .Our villa ( 1 bedroom ) spacious everything new - in fact guy check we say build 2 month old ! villas nice ... timeshare exchange within RCI book place rate Gold Crown resort - and think pretty good job ... although also Westin timeshare really would consider 5 star ! overall experience good thing could make even well ... -children 's activity list update confusion day day go when - the resort claim RCI office site space RCI sign one RCI ever ( big deal RCI member hope get talk someone ask question ) -the complaint parking review experience we ... actually find problem parking - there construction go right next we - while affect we weekend , mon - fri , awaken sound construction.-this really picky know towel awful - they kinte place ... annoying wear anything black ! -the livingroom curtain & quot ; hotel & quot ; shade even daylight make feel like night ... reason , not put bedroom alot light come through - because blind room ... face i-15 freeway huge neon sign advertising casino next door could't block light .... fine husband need complete darkness sleep ! kitchen stuff new good shape . grocery store within minute ( drive ) . buffet South point Casino next door pretty good price ... although doubt would want go twice ! : ) resort try get come timeshare presentation decline fine .... try one time it . the pool area nice time year accomodate everyone want ... get warm -- think may seem little small . would nice little market next pool would allow put thing room bill - same thing kid activity ... want pay separately ... need make sure always money ! ... think pretty good place stay ... away strip good family sure ... away hub bub strip . also conveniently locate minute away i-15 . hope helpful ! 
 Mar 26 2008 	 Great Place ! ! ! ....... enjoy stay ! 	 stay Grandview Mid - March experience issue past review talk . stayed & quot ; Iris & quot ; great 1 bedroom unit appear new seem clean . first night little noise kid whirlpool tub next door , sign ask , quite 10:00pm . rest stay not return midnight later problem find parking space . grant , not get front row , find parking building 's lot . since , car problem Grandview mile Strip . convenient jump onto i-15 go Strip Downtown . Casino 's free parking . not want deal Valet , park & quot ; self parking & quot ; ramp lot casino . never problem quick easy . would recommend deal Las Vegas Blvd . good way I-15 cross street need , Tropicana Flamigo . go Downtown , follow sign . casino next door great . be new , spacious food good . complaint unit ; hot water hot ! kid along would dangerous . also , would liked see effort recycle . indication place recycle can , bottle , etc ..... great stay would stay . 
 Mar 24 2008 	 cheap stay large room parking Several problem 	 find Grandview incredible value willing accept many limitation find research . able book $ 52 / night ( 4 5 night minimum ) , directly hotel . & quot ; 6 mile south strip . & quot ; problem , rental car . take 10 - 15 minute get anywhere Strip . & quot ; not include daily housekeeping . & quot ; problem . & quot ; parking might problem . & quot ; understatement ! book , suppose get 500 AA mile per night . enter code provide AA # . mile never post , far not able get they . the suite large functional ( full kitchen ) . not utilize kitchen much . suit 800 sq . ft . , huge almost anywhere Vegas . Vegas , be & quot ; big & quot ; . many room & quot ; normal & quot ; Vegas hotel 400 - 650 sq . ft . range , be much big . far & quot ; plain & quot ; Vegas hotel . parking problem , particularly 10 pm . night , park quite way build . one night , circle entire complex almost hour ( probably dozen other thing ) . parking place anywhere . RV park , take five spot . many park street illegally . not go park street . not go park hotel / casino next door . not go park illegally & quot ; check - in & quot ; spot . nothing open . park & quot ; check - in & quot ; go lobby complain . tell RV . say not would take care . continue circle . nothing . finally squeeze partial spot next rv ( take 1/3 spot ) . next morning , RV still . never anything . spot several day . the Jacuzzi tub room would nice , sign say use 10 pm . 's room 10 pm ? checkout day , 15 minute checkout time , finish packing . wait put clothe last thing would not wrinkle clothe . housekeeper barge , without even knock ! ! ! totally unprofessional ! still consider Grandview future stay Las Vegas , can not find anything else even close price . 
 Mar 22 2008 	 fantastic spot ! ... 	 could ask nice spot ...... two thing drag resort is:1 ) 11 pm good luck find parking spot ! probably park South Point Casino next doorif get back 11 pm ! guess Vegas baby ! will not get back afterward 11 pm 55yo.2 ) expect quick response management e - mail question probably e - mail twice . feel everyone much busy day try sell tell share . early watch mercede rolling take precious spot front near office & quot ; Sage & quot ; building . appear time share closer . take wrong , parking response time e - mail great spot stay rental car . ( 15 min action strip ) . Scott L 
 Mar 20 2008 	 Beaten Track 	 property would first choice Las Vegas . 's 6 - 7 mile southern - most strip hotel ( Mandalay Bay , Tropicana ) . , amazed see growth . stay business room serve well small group meeting . definitely need car evening dinner , etc . bed , pillow , linen would expect timeshare . expectation high find room . marriott vacation property provide much high quality appointment way around . overall , seem though Grandview build quickly , cheaply , appoint economy / low moderate furnishing , bed , linen . renovation , , need happen soon , remain competitive attractive . Taxi service hard come . need cab airport tell go next door neighbor casino hotel . follow advice go next door wait 35 minute cab . will stay ? hmm -- sure . would opt stay location first , might consider , rate suitable . 
 Mar 14 2008 	 easy problem free beautiful place stay . 	 recently stay Grandview 4 day & quot ; girl weekend & quot ; .3 we share 1 bedroom suite complaint facility . room amazingly clean well stock anything might need . since 3 girl , noone even approach we sale pitch . one party flight significantly delay staff accomodate next day check suite . Coffee supply we free room use , also continental breakfast type layout lobby morning . we love tub , even 3 girl bathroom mirror , feel crowded . we spend fair amount time next door southpoint casino find nothing bad say . nice able walk back room moments 5 be significant amount alcohol . so downside .... pull couch completely uncomfortable . however couch put together comfortable bed home . city provide shuttle service reliable make sound , happy pay $ 20 - 25 taxi strip get fast . decided still save money low cost room Grandview . ( would spend extra $ 300 stay one & quot ; strip hotel & quot ; spend much taxi fare ) overall , impressed stay . so much infact , trip husband child plan near future already book Grandview stay ! 
 Mar 13 2008 	 great Stay Vegas 	 Grandview provide nice condo style accomodation ( strip ) right level activity / privacy . use resort exchange deal timeshare . read reveiw post advance prepare problem check find everyone willing accomodate request . room decorate quite nicley kitchen everything one need fix quick meal vacation dining . call service desk could not get tv work within ten minute great young man we fix -- -he simply put right remote husband 's hand ! bathroom whirlpool tub one real pleasure trip . resort locate across street new casino several nice dining choice . resort pool clean nicly appoint bit cold stay February . problem , really take advantage hot tub ( two ) enjoy visit guest . think shuttle service available shoppoe area casino strip never connect . rent car use trip town . cab downtown resort run $ 25 one way seem bit steep short trip Vegas . aware houskeeping service offerre general call fresh towel linen need . big problem unless pretty spoil true resort service . grandview big parking problem . simply enough resort parking guest car park . know start major expansion guest . RV 's take 15 space alone make park trailer area . resort secure key entry . lot nice shopping mall outlet style complex . two grocery store road nice variety produce well typical fridge cupboard stock . yes , ask accept timeshare presentation . accept hear resort building go around place . nice tour guide , breakfast , get see Mama Mia mix . aside resort ... go Vegas chance see Terry Fator Hilton GO ! guy America 's Got Talent . providede hour forty - five minute constant top notch entertainment . big Las Vegas fan general , not gamble . like show site . grandview worth trip hope visit . sincerely , Dixie 
 Mar 9 2008 	 Customer Service ? safety issue ? parking spot ? follow - up ? 	 family fly Las Vegas , NV last week attend old son ' wedding . arrive February 24 , 2008 register Grandview Las Vegas . pickup courtesy vehicle , shuttle van Grandview airport like hotel provide arrive guest . upon arrival , couteous cab driver drop we luggage door , pay , son see two 20 - 22 year old bell captain , doorway registration building use luggage cart . proceed ask one could get one cart place luggage . irritable tone voice one state " mine ' " . keep talk walk parking area . wish one could tell we could go secure one . want use cart place luggage purpose checking resort . disabled request room handicap . young lady greet we behind counter 7:00 P.M. state " room building need type room " . son wander around find cart , push towards entrance door building , see helpful disabibilty type ramp way . ride elevator 7th floor , check facility week long stay . clean enough , problem . notice shower stall step low enough get in / out also see safety type grab bar ( violation ADA ) , type sit stool stall , shelf hold shampoo , hair conditioner , shaving equipment , soap . everything place floor . thank God , floor ' slippery wet . later evening , son future wife take cab back airport rent van transport we week long stay . first night , park van front lobby check parking spot anywhere near building . next morning notice three parking space handicap doorway building . person attend bring along handicap display card Wisconsin . approximately 12 floor least 10 room floor per building , five building . construction noise apparent midst expand building ground . give guest card upon check - in place rent vehicle windshield security purpose . one day alone , count least six vehicle , take valuable parking space pay guest resort . wed party time van , wife , son future daughter - in - law never get handicap space time . week stay opportunity speak guest invite son ' wedding . least seven family individual stay location different building . everyone type comment concern show stall , noise , lack handicap parking spot facility . many we see abuse automobile , truck van without guest card dashboard throughout week . ' security ? unauthorized vehicle tow away make room pay guest . employee nice people offer help whenever request . feel need lack safety measure look disabled parking spot increase number . state , never see type ramp wheelchairs ground . call RCI 3/7/08 register comment , get name contact person Tamara Valerio – Administrator resort . call 3/8/08 10:15 a.m. – CST . yet – 3/9/08 11 : : 00 a.m.- receive reply . true review stay . 
 Mar 9 2008 	 impressed 	 husband stay Grandview Feb 28 - Mar 7 , 2008 . book Grandview exchange week RCI . check do efficiently even though 2 am . receptionist super - friendly helpful . next morning phone rang ask come main desk . greet young man want invite we introductory breakfast would give we $ 100 coupon meal Vegas . immediately suspicious ask time - share presentation . say overview go Vegas . unfamiliar Vegas , finally agree go . ask several time & quot ; presentation ? & quot ; . several time tell . showed & quot ; breakfast & quot ; meet representative take we tour property . say think attend breakfast meeting . inform we time - share presentation . point say thank walk away bad taste mouth . 1 bed suite mainly acceptable , although standard ownership resort . major complaint dirty bedroom carpet - fit walk around bare foot . after pay $ 25 taxi ride airport ( tell Grandview staff arrive would shuttle available - true ) decide rent car . rarely park building , fortunate close main office park there . the close grocery store couple mile away attend conference time tight , walk across street South Point Casino complex eat breakfast Buffet . cheap ( $ 6 person ) good variety food . before leave speak Guest Services Manager explain happen mis - represent time - share presentation . we fill customer satisfaction report finally give we back deposit husband give ' breakfast ' not get . also return ' free ' bottle wine give . love Vegas would go back , even though gambler , would stay Grandview . 
 Feb 29 2008 	 Great Resort Price ! ! Definite Keeper ! ! 	 arrive hotel Saturday evening . check - in go smoothly . harrassment resort / timeshare presentation , guess trick avoid late check - in . room accommodation expect price . priceline great value $ 80 buck night ! ! keep check back not initial price first time . hotel come unavailable several prior search get online Saturday morning great price .... could believe eye ! live room / kitchen well equipped . Jaccuzzi tub heavenly . bedding could little comfortable resort . starwood owner guess spoil Heavenly Beds property . parking fine night arrive back room night get back resort early 10 pm . problem circuit breaker keep go couple time . would call maintenance come reset . all , wonderful stay . would definitely stay ! already recommend everyone know . , believe good review take bad one grain salt . 
 Feb 23 2008 	 stay want Park Car 	 book hotel mom 's RCI time share network . free us week . the room nicely decorate 1 bedroom jacuzzi tub sleeper sofa full kitchen washer / dryer unit . positive side thing . upon check make go 2nd staff member ( salesperson ) & quot ; parking pass . & quot ; try get sign time share breakfast presentation ruse give 1/2 ticket certain show . tell set show ticket turn nasty rude . Las Vegas 2 young child visit friend area . every night return build 1 parking space ENTIRE complex approx . 6 high - rise building . husband would drop sleep kid build walk approx . 1/4 mile close parking spot . kid upset cry walk far alone dark . truly believe worried selling time share accomodate guest . location resort make nearly necessity car get anywhere . resort take occasional trip 1 specify place daily , shuttle . also phone ahead make sure pool heat tell . excited kid get pool , frigid , dirty tree branch lie bottom . good part entire trip leave resort 2 day drive San Diego stay wonderful accomodation . staff stare everyone go complain parking situation . every single night , one exceptionally busy time . unit also overlook construction site even build take place can not accomodate parking . upon checkout , one ask stay be - they truly not want know . read review ahead ot time listened- figure bad could free ? stay AWAY- would much rather pay top dollar stay somewhere concerned family 's comfort ! 
 Feb 19 2008 	 Vegas baby ? do ! ! 	 second trip Vegas wife many year , time around bring 6 month old daughter we . last time stay Cliffs Peace Canyon via RCI exchange , time figure would try new sister resort , Grandview Las Vegas . disappoint . check quite easy . however , not impressed immediate attempt get attend presentation . situation , get later , tired flight , hungry grocery shop ahead we yet ( would something condo eat next morning ) , luggage not make connection not arrive yet , scream , exhausted baby boot . really wait least day people settle properly try pitch . be courteous . they try lure free bottle wine . take risk . be pretty good say ; not twist arm like place . even be owner another resort , will still try upgrade somehow already . not matter one way another . the condo nice . tv not work properly ; . dvd player not read DVD 's ; get we new one 15 minute . crew people around resort walkie - talkie , like cop beat , respond problem call around clock . be service ! problem experience minor . exactly lack parking . rather , be guest parking front building . night get back activity , may drive little building find parking , walk little , pool area wherever get building get build . still enough parking everyone , be spread everywhere . think kitchen could use utensil - large family , enough bowl , plate , utensil , etc . get day without hand wash ( go vacation try get away possible ) . balcony building . miss balcony . big thing Cliffs Peace Canyon place . the account unit picture accurate - nice place stay . south Point next door handy - buffet half price anything will find Strip , well ( make Grand Buffet MGM total rip - off ! stay Strip want value dining ! ! ) .And yes , impressed daughter first trip . travel well sit show extremely well . even look like enjoy ! ! generally would not recommend bring young kid Vegas , , many show attraction enjoy . Las Vegas little something everyone . 
 Feb 11 2008 	 clean main strip 	 nice hotel . stay week true complaint DVD player not work . one quick call front desk fix within 10 minute . room open everything need . bit distance main strip , car ok , free parking casino 's , would recommend Paris , pretty easy get right middle . Southpoint casino also right across street . bad casino , slot seem little tight not good luck table , see people quite well . would definitely stay Grandview . 
 Feb 10 2008 	 Great Deal 	 stay week Grandview Las Vegas great package price find Hotdeal . many reviewer mention high pressure sale presentation sell time share . avoid say front trip business trip wear business logo shirt . make entire check - in fast friendly no - hassle . unit fully equip kitchen include fry pan dish . food purchase nearby ' food 4 Less ' store north location . early review mention free dvd borrowing front desk guest service . discontinue . dvd player main tv living room , Blockbuster two mile East location . also several area McDonald 's red box DVD vend machine $ 1 rental . pool area ( two pool ) secure nice waterfall . large round ground hot tub also available use . SouthPoint casino across road north complex . maybe six place eat include oyster bar . cheap eat try Golden Gate 99 cent shrimp cocktail downtown ( validate parking Golden Nugget ) , try great $ 6.99 steak dinner ( ask , menu ) Ellis Island ( behind Ballys Koval ) , deal can not beat 24/7 . love Grandview hotel 's value location , hope deal still availabe next time travel Vegas . photo 's everyone else post accurate , room clean . 
 Jan 25 2008 	 Awesome place ! ! ! 	 love place ! rest family ! rent 2 side side 1 - bdrm unit ( use RCI point ) well worth RCI point . place far enough away craziness strip , yet , close enough we go everyday walk look around . problem , minor , lack parking space , especially night . ' m sure resolved building go parking lot create . can not wait go back summer swimming pool playground instal back . stayed & quot ; Jasmine & quot ; building , tell , open like 3 week ! 
 Jan 19 2008 	 Great Stay 	 get back week Grandview amazing stay . check breeze hassle time share presentation ( probably helped check midnight ) . top floor room lily building view pool , beyond , view construction progress . room clean well appoint , great big tub two , double shower tasteful decoration . noise neighboring unit , none . time share presentation midweek worth freebie . hard sell prepared polite . transportation turn big deal , catch CLS shuttle airport eight buck piece round trip make Grandview 15 minute . set next day CAT , Vegas ' mass transit system . catch 117 Grandview South Point ride South Transfer Station . take 45 minute get ample opportunity along way pick grocery , liquor stop Vegas Outlet Mall . transfer station 's short ride deuce , double decker bus , strip . traverse entire strip Mandalay Bay Fremont Street course week . deuce stop every attraction along way five dollar day pass cover mass transit throughout city . use CAT system hit Zappos outlet Maryland ride route downtown station catch Deuce back . end catch bus airport ten minute ride the109 south transit station . staff Grandview cordial helpful , security always visible maintenence quick helpful malfunctioning lock . definitely stay Grandview . 
 Jan 17 2008 	 great place stay Vegas yet away crowd . 	 wife stay Grandview Jan 5 12 2008 ; trade one RCI week location , glad . general , great place stay . the resort compose several high - rise tower ( 13 story high ) . room lockout connect room , two family , stay next . time stay , 4 tower operation , another build . understand build future . stay room 708A Sage building , overlook pool area close building main desk building . people comment paper thin wall , hear anything nearby room . however , tile floor dining kitchen area , movement chair floor we could hear time , rather loud . since spend time outside resort , real problem we . would recommend take along one white noise generator sleep - one take we every trip ; completely block external noise allow we get good night 's sleep . the resort relatively new clean . pleased accommodation . staff friendly , helpful came assist outside event .. example , want see ' the bone yard ' , require advance reservation , staff refuse get involve we . appear lot staff main lobby , however , sale people , aggressively try sell us unit . mean aggressively ! intention buying , avoid cost . Vegas , like real estate country , downswing , thank part subprime mortgage crisis . lot expansion Vegas , property value low right , difficult unload timeshare there . speak expansion , gps practically useless .. many newly develop area gps map . give idea fast Vegas grow . the living room large tv , although CRT , new flat panel screen . bedroom . lot cable channel choose . kitchen well equip expect appliance utensil . even garburator sink . resort supply complimentary coffee coffee machine . main bedroom also large , good firm queen size bed , lot storage space . bedroom , washroom , Jacuzzi tub . lot hot water available . washroom large , two wash sink lot counter top space . also storage drawer cupboard sink . hairdryer include wall . shower stall large , almost twice size normal shower stall , glass wall door . light unit compact fluorescent even work 3 - level intensity . unfortunately , bad lit room kitchen , rather dim pot lamp ceiling . unit individual heating air - conditioning control . unit also clothe washer dryer – handy ! although tell resort fully occupy week , see people . temperature low .. 2C night , 10c day - definitively type weather sit pool . two hot tub outside pool area , water luke warm hot . choose use hot tub room instead . poolside , small deli / convenience store , open day . also indoor gym / workout room next deli , however nothing say since use it . the resort locate 6 mile south main strip . car highly recommend . shuttle bus could take strip , cost $ 8 per person per day , . also city bus run resort area , need transfer another bus get strip area . also shuttle run strip SouthPoint Casino across street . speak car rental , new central car rental area airport , run efficiently . common shuttle bus run airport back . major car rental company building , locate south airport away heavy traffic strip . rent car drive Grandview minute . airport Grandview Las Vegas Boulevard , number place eat , well large Food Less store grocery item , well well stock Discount Liquor store . there Las Vegas information building directly across street new car rental building . however , appear little ' information ' , seem sale agent building get buy timeshare . anytime ask married long town , beware ! friend come answer , & quot ; yes , married , other . & quot ; seem turn sale agent ! good information building find Vegas across street Convention Centre ( Paradise Convention Drive ) , locate west side walkway Paradise . the whole area around Grandview newly build , include large SouthPoint Casino / Hotel directly across street . one minute walk Grandview .. great gambling loading free drink , since not drive back . casino main strip , minimum bet table $ 5 .. 15 25 like many large casino strip . SouthPoint also great breakfast dinner buffet reasonable price . while Grandview advertise wireless internet every room , charge , cheap . $ 8 day , $ 50 week . free internet terminal activity room main lobby , 3 terminal tend rather busy time , despite timer one limit usage 20 minute per session . also couple ethernet jack room , bring notebook connect free ( bring ethernet cable ! ) resort complex appear fairly secure ; night building well light locked , need room key enter building . see security personnel patrolling ground . despite , see one incident car break - in one morning - car window smash police take statement owner . decide keep gps anything value car overnight . in summary , find stay Grandview pleasant . away main strip , yet close enough we get easily . would definitely return would recommend . 
 Jan 17 2008 	 Loved - go back May 	 stay Grandview CES convention Jan 4 - 11 , 2008 . suite overlook pool area . furnishing new , bathroom huge - separate area whirpool tub , bathroom shower , toliet double sink . kitchen nice feature , use washer dryer . hot tub outside nice use time late night . pool open - cold we get . great thing minute walk south point . several meal also could gamble night walk & quot ; home . & quot ; ' ve book May girl week . 
