great 	 SF stay Holiday Inn around corner . opt Express price include breakfast : - ) amazing breakfast . plenty eat set we day . the bed truly amazing , comfortable choice pillow too . it great reception area could actually sit - many hotel not day . also conference facility barely noticable . hotel tend forget ' holiday ' guest do not . staff encounter friendly , polite helpful . the 2 pc 's + printer useful item . the room spacious ample space bathroom . great place stay go sightseeing - also purchase 3 day muni pass ( $ 18 ) - great saving - ( one cable car $ 5 one way ! ) good shopping / shopping centre easy get . 
 Feb 29 2008 	 Holiday Inn express great deal 	 family 4 spend night Holiday Inn Express , pleasantly surprise great location comfort room . family suite second floor . large , living room , small kitchenette huge bathroom . nicely decorate , marble sink , nice furniture . everything need hang long day traipse around city . husband & amp ; could read living room kid watch tv bed . free continental breakfast perfectly adequate , variety pastry , cereal & amp ; fruit . location great - block Fisherman 's Wharf , Ghirardelli Square & amp ; cable car . book last minute , without shop around much , think bargain $ 225 , ' m sure shop around , could get well price Expedia Priceline . come back SF week , definitely would stay - everything . 
 Jan 26 2008 	 well expect 	 ' m wrap stay San Fran 's Holiday Inn Express Fisherman 's Wharf . overall would rate experience average . entire 4 day city rain / downpoured , entertain none less . hotel nice clean staff always around . room second floor , hardly ever hear road be pretty light sleeper . serve continental breakfast morning nothing extravagant nice little meal start day . internet room two computer community use lobby . computer pretty old though always people wait would bring go email often . parking pricy , see business work pay ... $ 37 night . Try & quot ; Mood- Thai foor Sushi & quot ; Beach St. one block away . yellow curry pineapple fry rice oh good pretty inexpensive . if weather permit reccomend hike Muir Woods , Golden Gate Pirates cove ... eat Dipseas lunch . overall can not beat hotel 's location . 's right fisherman 's wharf bargain price . 
 Jan 22 2008 	 Great Location 	 Location , location , location . hotel perfectly locate . Fisherman 's Wharf area 2.5 block north cable car turnaround Union Square 1.5 block south . Pier 33 Alcatraz tour 15 minute ( 8 block ) walk . if drive SF leave car park hotel walk take public transportation everywhere . hotel valet parking $ 37 per 24 hour period . stay Holiday Inn Express give priviledge amenity ( swimming pool ) Holiday Inn locate next door next block . front desk staff friendly helpful . room extremely clean . in - room safe include . bed could use new mattress . & quot ; dead & quot ; , spring bounce . would stay next time visit Fisherman Wharf area . 
 Jan 20 2008 	 Great Location 	 stop New Years sight seeing . location hotel amazing major brand hotel cluster around . right next streetcar , cable car wharf . walk distance bar restaurant . hotel build Holiday Inn . the room small compare other hotel clean well maintain . front desk helpful although always busy often stand line could speak somebody . great free breakfast , food beverage service available inside hotel . Valet parking $ 35 per day unlimited access ability enter leave park . great place stay cheap surround hotel . 
 Jan 1 2008 	 nice hotel 	 family book hotel last day vacation return Vancouver . see review online expect hotel nice . pay ~210 1king sofa bed stay New Years Day Dec31 07 . going stay best western near SFO end great location near Wharf . 's ~5minute walk ! staff courteous polite . room look pretty new everything seem shape , leaky faucet , squeeky bath tub , bust light bulb .. etc . complaint pricey $ 39 parking , be not even valet . guess that s market price around area city anyway . security hotel seem pretty good . people watch parkade room key need access hotel guest room . definately stay future come back San Francisco . 
 Dec 17 2007 	 Location Location Location 	 wife love SF , 50th birthday roll around , be want go . get good deal Hotwire two night . room standard fare , clean , large bathroom , firm , queen bed . closet safe , tv , table chair , coffee maker , thick towel , internet access , hair dryer stuff come expect well hotel enhance stay . we be run . two easy block , slightly downhill Fisherman 's Wharf . stroll , observe , stop snack . even get pull street performance . need slightly overweight , big guy , pick girl stand performer chest lay broken glass . daughter slightly embarrassed whole thing wife crack . eat well , spend little normal tourist trap , part good ... wife partial fish crab .. wharf good place find itthe next day , continental breakfast , ( love feel quite complete generous ) decide take bus Union Square shopping . $ 1.50 head , free transfer . ride thru chinese area way . many old lady get shopping bag gossip breakneck speed . pass , noticed store sell food jam . feel transport crowd Asia . quietly comment asian wife look right home bus year chat old lady .. comment overheard lady sit across we laugh loud upon hear . chat laugh . fun shopping store . Macy 's 7 floor side street , 7 man , 7 woman . pretty cool .. buy wife nice gift . a reasonable $ 10 fare take we taxi back hotel .. rest , strolled , jacket ready cold San Francisco night . sleep well night come home safely . the hotel serve 's purpose adequately . location , full continental breakfast , cleanliness room stand mind . bed sturdy comfortable .. staff friendly helpful . negative damn parking fee SF , $ 35 night plus tax . could save 7 - 10 dollar night parking site walk not really worth . hotwire mostly deal offset .. know Holiday Inn Express deliver comfort convenience traveler tourist . without equivocation , tell 's good well 4 star hotel ' ve visit . 
 Dec 17 2007 	 stay away ! ! ! 	 idea many good review hotel . quite possibly one ugly hotel San Francisco , inside . bed room bad sleep year . wake sore back . room outdate . floor wet one corner room . heating / AC loud . guest loud staff quiet . ask switch room , request deny . we find use tissue floor room upon check - in . ask front desk good place eat San Francisco , mecca good restaurant , tell go hotel 's on - site denny's.this hotel disappointing . way deserve 4 . service poor . housekeep poor . look smell hotel poor . location decent , care walk around sore back day hard bed could outline individual spring . would never recommend hotel anyone . 
 Dec 16 2007 	 exceed expectation 	 stay last resort use point impressed . like other mention , good location . walk fisherman 's wharf dinner Alioto 's ( highly recommend ) . room clean , nicely furnish , concierge helpful helping find restaurant dinner . breakfast brunch good , although little pricey , overall service good . try avoid Holiday Inns stay property ... definitely exceed expectation . 
 Nov 30 2007 	 Great Location nice hotel 	 stay hotel last leg golden triangle trip , clean bright , much new two hotel stay , although seem business like . the room large , 2 double bed , nice bathroom clean daily , although wish stay room later 8 am would hang privacy tag door maid knock early loudly ! ! ! ! breakfast basic , free , convenient . location hotel great , much preferred wharf oppose staying near Union Square town ..... one thing complain valet parking , may complaint take travel company fore - warn pay $ 35 per day valet parking , option open we . the transportation fantastic , cable car great fun ! ! ! would definately recommend San Francisco ! ! ! ! 
 Nov 19 2007 	 worth price pay 	 reading review hotel think would well bet family - weekend San Francisco . seem good location , competitive price , fairly new . find good deal pre - pay directly hotel website even choose mini - suite would , wife , two young boy want little extra room . so , check - in go fine valet parking great . $ 35 + tax per day in / out privilige . hotel decorate well clean . hallway wide , overall , ' feel ' appealing . find room ( 4th floor overlook wharf ) bit disappointed . mini - suite mean fold - out couch sit window area area setup sink , mini - fridge , microwave . admit kitchenette area good , room much large normal room . expect bit guess - oh well . once unpacked noticed wall thin . could hear tv room next we , water running seem every bathroom , noise people hall overwhelming . huge turn - off we . realize get noise hotel bit extreme . the next morning go Continental Breakfast . definitely nice , although quality food great . expect much Continental Breakfast take comment , comment . check - out go smoothly , able extend check - out 2 pm , good tired not need leave airport 2:00.All - in - all , Holiday Inn - seem , , go downhill recent year . get room similar price almost hotel wharf look around . 
 Nov 17 2007 	 great location family 	 could find nothing wrong hotel . room size good 2 x queen size bed 4 we ( 2 adult 2 child ) . bathroom excellent . also quiet consider room street level . internet access via 2 computer near lobby . continental breakfast adequate . plenty shop restaurant nearby , include Fisherman 's Whart . starbuck around corner . safe easy get around night . would hesitation recommend hotel anyone . definitely list place stay . 
 Nov 10 2007 	 like ! ! 	 enjoy stay hotel . staff reception deskwa friendly helpful . get map information SF check . problem luggage storea check - in - time ( 3 p.m. ) . room nice clean size o.k . , . view need view SF town day long ... Wi - fi free . we like free beakfast . plenty choose from . the location perfect : minute Fishermans Wharf , close cable car stop , Trader Joes around corner ( welove ! ) plenty restaurant shopping possibility . pool HI next door use fromguest HI express , too . we glad stay st Wharf . yes , tourist area , aren´t tourist ? 
 Nov 8 2007 	 Great Location 	 stay Holiday Inn Express 3 night impressed . the room good size clean tidy . excellent breakfast - boy love doughnut & amp ; pastry offer . excellent location short walk Fishermans Wharf Pier 39 . great area kid feel safe walking around night . enjoy stay San Francisco would liked stay long . 
 Oct 27 2007 	 could please ! 	 hotel offer travel agent book full . find hotel tripadvisor.com agent book read review . wife spend two day SF please find review right . Hotel Fisherman 's Wharf close Cable Trolleys , Pier 39 , shopping , bar , dining , city wide transportation , site seeing . great time able everything list . 
 Oct 25 2007 	 ideal 	 stay 2 night would happy spend week . if hotel London would getat least 4 star . the room absolutely spotless , bathroom large really great shower load lovely fluffy towel . the complimentary breakfast fine , excellent doughnut real american proportion ! staff helpful , problem get hold car hire firm receptionist smile . hotel easy walk Fishermans Wharf tour bus stop . this hotel ideal introduction San Francisco America , standing ceremony , relax courteous . 
 Oct 25 2007 	 great base San Fran tourist ! 	 great base San Fran vacation . stay one nite transferring across street Hyatt conference . preferred hotel , hand ! staff warm accomodating . room well - sized comfortable . Priority Club member upgrade & quot ; suite & quot ; microwave refridgerator . room clean comfortable bed . check delay 10 minute offer free movie inconvenience ( without ask .. ) cable car stop step hotel , well Fisherman 's wharf , Pier 39 , Giardelli Square sweeping view Bay , Golden Gate Bridge Alcatraz . highly recommend . 
 Oct 5 2007 	 Decent hotel good tourist location 	 Booked hotel Hotwire good deal could get trip . location great first time tourist SF close Fisherman 's Wharf , Trolley Car , short walk Columbus ' Little Italy ' Chinatown . Lombard Street Coit Tower also within walk distance . the hotel clean bed comfortable . able offer we room 2 bed , give we room King bed offer roll - away bed free . free breakfast include cereal , toast , donut , fruit , cinnamon roll muffin . Coffee , juice , milk also available . free internet access lobbyeasy , although long , trip airport : - take BART ( $ 5.15 - 30 minute ride ) airport Embarcadero / Market Street - go street level catch Muni # 10 ( $ 1.50 - 10 minute ) bus towards Vanness / North Point . - Exit North St & amp ; Jones St 
 Oct 2 2007 	 Comfy Room 	 stay 4 night part California coast trip . hotel nice , room big comfortable . continental breakfast serve 6.30 9.30 cold buffet tea.coffee , juice cereal toast , pastry etc ... think good . location fisherman wharf touristy spot , handy we go see Alcatraz Golden Gate bridge . plus go downtown 10 minute . really like think rather go downtown next time visit well choice bar restaurant . apart location really enjoy stay . 
 Sep 28 2007 	 central eveyrthe 	 friendly staff , quick check . build around corner , much trek . room big , good air conditioning . bed big comfortable pillow system , get choice 4 different type pillow , pick one like . good coffee tea facility supply enough brit like tea , use cafe , find couple great breakfast place road towards cable terminal , every breakfast imagine , service friendly reasonable , could sit outside , enjoy early morning sunshine enjoy leisurely breakfast . great view bridge cable terminal , everything close , load shop Piers . bus tour within block informative interesting . have great stay , would stay . 
 Sep 27 2007 	 worth ! 	 overall , good would stay . good point - room , cleaning , continental breakfast , location , swimming pool ( Holiday Inn next door ) reception . poor point - lift ( slow ) coffee facility room . coffee percolator en suite ? ! enough coffee / milk / sugar one maybe 2 cup . Overcome ' borrow ' tea bag , milk sugar breakfast . get coffee room right ? homeless see area . excellent location Fishermans transport part city . overall , happy . 
 Sep 26 2007 	 Great Location 	 say location everything . case H.I Express Fisherman 's Wharf true . wife return four night stay . everything within short walking distance . wharf block away , cable car another block away , famous F line also block away . room face street problem noise . staff nice helpful , even give direction . side , would say , room bit small side pricey . however , adaquate clean . would definately go back . 
 Sep 21 2007 	 great location clean hotel 	 love location hotel San Francisco . need rent car transportation around need time day night . also take numerous tour pick we front hotel . decide rent car rate per night hotel w / tax approx . $ 42.00 . Holiday Inn Express clean unusually large soundproof . bed upgrade see many year abuse . use point pay anything put mini suite include fridge microwave . view Wharf room run entire week pleasure come back leave location . breakfast could better maybe lot people country take advantage fill bag dessert - blame San Francisco charge ridiculous price food especially breakfast . tell Denny 's around corner charge 3 people average $ 72.00 . New York much cheap city . also , homeless control every place walk good area beg , try touch sleep street . fact control make uncomfortable police little security around . even outside hotel feel fine husband 15 year old son . alone would enjoyable . stand line Trolley Cars grab beg . every park , every landmark , every place ton ton even sleep Trolly 's roll . interested take one Trolley 's step bus think one work transit almost get corner 4 husband come behind . city SAFE single woman . think need stop protect clean San Francisco beautiful place visit . everyone meet feel way fact one woman England go baseball Giant Game night attend 3 homeless man sit next every time move homeless follow one fall split open chin bleeding refuse help paramedic leave scene . call bum almost get head chop many tour guide take trip . one place stop take picture walk son ahead husband feel someone right behind pick bag carrying think instead homeless right face . people would stop visit would choice something . 
 Sep 10 2007 	 job nicely ! 	 stay part two day stay San Fran say perfect , Close Fisherman 's wharf & amp ; Pier 39 , vintage tram ( must ! ) take shopping union square , also close alcatraz ferry ( one highlight 2 week stay US ! ) .The hotel well present & amp ; feel modern . apart poor view room , please overall , free wireless bonus complementary continental breakfast hit spot . would definitley recommend hotel short stay San Fran . 
 Sep 8 2007 	 good Locationniceclean hotel 	 return 2nd trip many year wonderful , diverse San Francisco . wait plan another trip favorite city country ! Stayed Holiday Inn Express Fisherman 's Wharf . we like staying wharf area choose hotel . hotel locate close anything need . store , shop , food , wharf , Ghiradelli , Cannery . great area . hotel clean . plenty room move around room , helpful friendly staff . request refridge room ( daughter 's dietary need ) . get check arrive room not fridge . call front desk within minute one deliver room . positive comment concern staff front desk . back room , bed comfortable , everything look fairly new nice bath product leave every day . the maid service good . funny thing once ~ never , see maid , maid cart sign entire stay . room always clean time return day excursion . the negative think absolutlely view room . & quot ; inner & quot ; quiet room request , view wasa wall room . maybe stay high floor ( 4 think ) may view . street side room may view , noisy traffic . not huge deal use room clean sleep . compare different hotel stay previous vacation . watch Alcatraz , water every morning coffee .. , probably unfair compare . free cont . breakfast adequate . if want fresh , cook order breakfast , several place within step hotel . I feel be free nobody right complain . all feel price good deal could find . complaint hotel staff . great time . 
 Sep 4 2007 	 wow .... make trip special ..... 	 hotel excellent . staff include Brandy check we hotel , make sure everything correct special . great view ocean .. alcatraz even top golden gate bridge . room extremely neat clean everyday . bed make , carpet clean , bathroom sparkle . breakfast wonderful way start day sight seeing . always busy always well stocked . internet access throught computer fast even able print direction . check breeze . stay nine night can not wait stay ! ! ! ! Bob Donna ... Tn fan land golden hotel 
 Sep 4 2007 	 step Wharf 	 one night stop . first timer 4 party 6 . step Wharf night life need . great food vendor shop along walk Pier 39 . clean room . courteous front desk worker . valet parker excellent , wait a.m. leave ! view except room , hardly spend time room except sleep . AC work well , hot . shower water pressure okay . continental breakfast great , oatmeal , coffee / tea / hot chocolate / juice , toast , danish , cereal , muffin , apple & amp ; orange . quick check available . would stay , recommend other . pool disappointing ! 
 Aug 28 2007 	 good location . 	 Loved - Location cleaniness room . free breakfast . improvement need - Closet door break . Shower wall cracked & quot ; fix & quot ; tape . able check 1 1/2 hour check time . room ready . 
 Aug 27 2007 	 Perfect Short Stay - Ideal Location 	 stay Holiday Inn Express Virgin Holidays . three night stay reason hotel fine . room large bed confortable . stay one room 2 child ample space . fantastic location get around San Francisco . bed linen clean maid service supply every day . include continental breakfast choose eat Denny 's around corner . lot help desk staff advise we get around good plass visit get . suggestion must visit Alcatras book ticket home normally fully book go buy ticket dock day . 
 Aug 24 2007 	 enjoy stay .. 	 stay Holiday Inn 4 night February . arrival put smoking room complain neither , husband 6yr old smoke . Virgin apparently allocate smoking room family beware . anyway give another room straight away . room nice . nothing get excited . location hotel brilliant though . eat breakfast hotel lobby also across road Denny 's locate adjacent building . ok . check problem parking charge , tell virign booking would free . hotel apparently not know anything . let we though end . would recommend hotel , nice stay . San Francisco BRILLIANT .... 
 Aug 20 2007 	 stay away dennys 	 Stayed H. Inn july , hotel good location , decent size room etc . second building across street ' Dennys ' situatedstay away ' Dennys ' daylight robbery . ... basic breakfast 2 adults+1 child consist coffee , toast , ceral , fruit etc approx $ 45 - 50 . much well try ' Latte Express ' deli across road Beach street . great selection cereal , juice , sandwich , excellent coffee etc stay go suit family either budget not like getting rip off . go slide door beside concierge desk onto street latte express across road right hand side . 
 Aug 18 2007 	 great ! 	 hotel great location Fisherman 's wharf great breakfast . although morning feel like scramble table food , plenty choice could stock day ! staff pleasant room adequate need nothing special . free internet access hotel lobby bonus hotel modern well keep . 
 Aug 16 2007 	 Great Budget Hotel 	 stay day November 2006 really nice stay . hotel great location explore Fishermans Wharf minute walk main attraction . room ample reasonably furnish . staff ok , although breakfast bar get crowd little messy . 
 Aug 5 2007 	 Best Buy near Fisherman 's Wharf 	 client office near Fisherman 's Wharf must check several time year . try alternative , ' ve settle Holiday Inn Express good place stay area . the room cost reasonable . room clean set business traveller ( free high - speed internet , decent desk ) .I ' ve stay room street view , room face interior courtyard . good news room quiet , street view room heavy traffic noice . bad news view city famous great view . Holiday Inn Express offer breakfast every property ' ve stay . get job do , not expect anything fancy . coffee , cold cereal , toaster waffle / english muffin , cinamon roll , orange colored liquid claim juice . if drive car , prepared pay $ 40 daily charge park hotel . high price parking pretty standard San Francisco hotel , shocker not prepare it . want restaurant recommendation ? try Pompei 's Grotto . be 2 block away , West zooey part Fisherman 's Wharf . good seafood reasonable price . search fantastic mega - meal view , McCormick & amp ; Kuleto 's Ghiradelli Square well . 
 Jul 22 2007 	 Pick room street 	 pick convenient location . first night hell , light sleeper . first floor , 10 foot trolley line busy street . night lobby manager awful . go get quieter room 6 sleepless night refuse make change next two book night . say would wait 11 room check . 8 day reservation clerk , young woman name Ady come duty . immediately change room quiet inner one . unused handicap room could get immediately . want wait , even offer later put we suite . take first room get Berkeley 9 work great . why can not chain like Holiday Inn train staff kind accommodate like Ady ? first guy make want never book Holiday Inn again . the hotel great location get around site , though street extremely crowd summer vacation . not take cable car nearby huge line . the free breakfast adequate - cold food lot fruit , bread , pastry & amp ; cereal , hard boil egg beverage . lobby room clean modern . you fridge , microwave exercise room ( 3 treadmill ) , sleep central location touriste , fine ( get inner room ) . 
 Jul 17 2007 	 Great stay 	 need hotel friend come visit 7/7/07.our friend stay Holiday Inn Fisherman 's Wharf . we manage get reservation Holiday Inn Express . cost per night $ 200 pricey we . time arrive , treat well . hotel look like recently renovate lobby , floor hallway room self . update furnishing well do . the free continental breakfast okay limited . but outrageous we pay $ 30 night HOTEL TAX . wow ! 
 Jul 17 2007 	 hate holiday inn express 	 hotel shabby carpet thread bear linen shabby . staff etremely rude move homeless people foyer 
 Jun 25 2007 	 Excellent value 	 great location , quiet minute walk Fishermans Wharf . excellent room , share 2 child find room great size standard 2 x double room . bathroom good size , modern , great shower , spotlessly clean . continental breakfast good plenty offer . staff helpful . I would definately stay hotel . excellent value . 
 Jun 23 2007 	 wonderful Stay 	 great location , friendly staff , clean room . far good hotel stay vacation San Francisco . would definately reccommend place friends family . accommodate we every turn could happy . would stay heartbeat . thank Holiday Inn Express Wharf make vacation pleasure ! 
 Jun 18 2007 	 Adequate say 	 stay hotel recommend coworker . room typical Holiday Inn , clean safe . closeby fisherman 's wharf public transportation desire . the breakfast cold . milk expire sour staff pull soon complain .. thing warm get toast . somewhat disappointed not even microwave roll muffin . coffee good . there breakfast place close great bar across street . close enough go coffee fresh bread coffee wharf . see homeless previous post speak , least near hotel . start get dark see area park . beware pay $ 35 day parking . underground privledge . decide take hit car safe cover parking . all , would stay . 
 Jun 13 2007 	 great value location service . 	 stay Holiday Inn Express honeymoon San Francisco . room clean pleasant ( could see Golden Gate Bridge ! ) , housekeep superb - well average , staff pleasant helpful . location excellent - great Wharf , bike tour bridge , well locate tram bus stop . lot restaurant round Wharf area lot - would great family . thoroughly enjoy stay would definitely go back . bed large comfortable , good choice channel room free broadband great bonus . excellent . 
 Jun 10 2007 	 Close Wharf Cruise Terminal ! [ = 	 prior cruise Alaska , quick night stay H.I . Express Fisherman 's Wharf . travel 7 other , opt stay another chain hotel nearby ... reservation mess , check late hotel expensive . we ? check right , good luck receive one 3 room & quot ; wharf & quot ; view , generous late check - out next day . forewarned , room small side ( think New York hotel room ) staff extremely helpful , room clean locate great place ~ 3 block Fishermans Wharf ( close enough walk , far enough quiet ) short cab ride cruise ship terminal . please H.I . Express Fisherman 's Wharf offer . thank other post review site ... cuz be help decide stay ! ! ( sorry photo ... excited cruise remember take ! ! ) 
 May 29 2007 	 love 	 get back Memorial Day Weekend getaway San Francisco stay Holiday Inn Express Fisherman 's Wharf . location supberb Fisherman 's Wharf easy access transportation area San Francisco . hotel offer standard Holiday Express amentie great job . one addition would nice would indoor pool would time much San Francisco . facility clean modern look . room nice size large city . drawback bed seem sit little low preference . staff awesome . everyone encounter friendly go way assist . 
 May 10 2007 	 Hidden Gem 	 nice , clean , comfy hotel . block wharf trolly . Vallet park underground $ 35 day . Cont breakfast expect hard boil egg , cinnamon roll , pastry along cereal doughnut . room comfortable even coffee maker . interior room view well , not stay view . friendly helpful staff . great direction . would recommend budget watch folk still want stay within walk distance wharf . overall , great stay complaint . 
 May 10 2007 	 VFM great location ! 	 wife spend eight night April , 2007 thoroughly enjoy . hotel conveniently locate many attraction Fisherman 's Wharf five minute walk cable car terminus . cable car ( San Fran & quot ; must & quot ; ) take right heart shopping area centre Union Square . indeed cab fare Square $ 8 four people ( join daughter son - in - law day 3 ) well deal . the hotel could wish - spacious room , queen - size bed , cable tv , iron board / iron , complimentary tea / coffee etc . add inclusive continental breakfast bargain . hotel 's warm cinnamon bun die ! build - in ramp wheelchair etc figure lobby upper floor honestly think negative . would certainly stay visit San Fran more . do visit Alcatraz ( book advance ) , Ghiradelli Square Pier 39 . also enjoy open - top double decker bus tour tour World War II DUKW . 
 May 9 2007 	 good value money 	 hotel good value money staff helpful . slight problem noisy party next door one night , desk staff attend complain problem . room reasonable size , view Coit Tower , location excellent . breakfast area get bit crowded weekend small price pay . would go . 
 Apr 29 2007 	 holiday inn express san francisco 	 stay Holiday Inn Express February 2007 fantastic . recommend anyone want fisherman wharf area hotel room spacious clean , also get free continental breakfast rarity U.S . also Sports bar opposite friendly atmosphere ( much nice bar neighbouring Holiday Inn ! ) problem area town distinct lack nightlife regular tram take Union Square much livli . a great hotel great price 
 Apr 25 2007 	 great value ! 	 good tourist location , modern clean room bathroom . helpful reception staff . valet parking expensive .. around $ 40 tax , convenient - car park garage hotel . want save money , possible park less block two away . breakfast acceptable & quot ; free & quot ; breakfast , choose eat Hollywood Cafe next door inexpensive big american breakfast ! overall would highly recommend hotel . 
 Apr 19 2007 	 good location 	 stay 4 night eventful journey airport via BART ! Checkin quick & amp ; cheery & amp ; helpful although insist 2 bed ! room nice real view bed comfy & amp ; pillow plump . great location 2 block Fisherman sWharf . Breakfast include & amp ; good always plentiful . consist cereal , fruit , juice , coffee , croissant , donut , bagel & amp ; toast . 9 be ok do not expect everything ! staff helpful direction . the hotel clean & amp ; fresh & amp ; pleasant ! free internet access lobby . hotel surroundedby hotel & amp ; lot souvenir shop . 7 - 11 & amp ; walgreen nearby ( different direction ! ) great stay ! 
 Apr 16 2007 	 great find 	 great hotel . king room interior . quiet , also turn fan mask hall noise . noisy toilet , though . room nice size upholstered chair , small desk withcomfortable work chair , internet access , good lighting , safe , small bathroom lot counter space . use lobby computer printer boarding pass . nice folk front desk . nothing exciting breakfast bar get busy , typical big city hotel . luggage trolley available use - no bellman . I attend conference Hyatt AAA room rate $ 35 less Hyatt conference rate include opinion . 
 Apr 15 2007 	 great location family 	 stay past week girl 8 10 . perfect . junior suite include kitchenette - fridge microwave . great snack . clean room large . comfortable . breakfast tippical perfect one girl 6:30 starve 8 . close everything . would recommend convenient / safe / clean place stay . nothing fancy . 
 Apr 12 2007 	 well expect 	 hotel clean , quiet , modern conveniently locate . staff always helpful free continental breakfast quite adequate . decor something art deco modern / contemporary . many restaurant within walk distance view water room fabulous . internet access easy excercise room pleasant bonus . askedfor handicap accessible , smoking room king size bed exactly get . strange odor otherundesirable surprise . drawback $ 35 per day parking fee . parking valet service swift polite . would stay . 
 Apr 9 2007 	 Loved Location Hotel ! 	 stay Hotel Spring Break Week , April 3 - 8 , 2007 . book mini - suite notify free upgrade full suite upon check - in ! prior arrival , hotel book city tour Muir Woods / Sausalito tour daughter . hotel clean . the continental breakfast benefit - save money . healthy eater find , fruit ( banana , organge , apple ) , boil egg , fat free milk , wheat toast , raisin bran & amp ; tea sufficient . plenty muffin , crousaint , danish , etc . also available . full hot breakfast available across street & quot ; Knuckles & quot ; Hyatt try mom pop shop adjacent H.I . Express eat inside curb ! restaurant hotel , sport bar , Knuckles , across street . want something late nite like ? Denny ' open 24hrs 3 - 5 minute walk H.I . Express . very short walk Fishermans Wharf ! would stay . hotel street Major hotel . would easily choose Hotel . business man travel lot since 1985 . 
 Apr 6 2007 	 Perfect location 	 stay 5 night 20 - 25th March location superb . hotel check good room , although little & quot ; tired & quot ; ready arrival clean . it usual facillitie nice quiet . the breakfast adequate , good selection , ( toaster could replace ) .fisherman wharf good , would HIGHLY recommend try clam chouder serve bread bowl , gorgeous . Alcatraz still well worth visit book early day get place boat across . we lovely walk Golden Gate bridge ( get taxi though ) carry walk right round Sausalito dosnt take long coffee overlook bay really nice . take tram car experience , plus street hilly , take walk Lombard Street , keep go Coit Tower . this lovely city plenty see , do not miss Chinatown . once lot street performer homeless people beg sleep street do not cause trouble . go San Francisco enjoy , wonderful , stay hotel , adequate . 
 Apr 4 2007 	 could fault 	 stay hotel 2 adult 3 child . I must say great 3 day hotel well expect clean , room spacious ground floor , seem like new hotel . close tourist thing . breakfast great staff helpful , could not fault hotel . we definately recommend hotel friends.rickrock 
 Apr 4 2007 	 second time good first 	 stay HI Express September last year 5 night please time last . excellent free breakfast serve reception get busy , place quickly tidied would not know hundred people eat . large disabled access room immaculate roomy . large bathroom well stock towel toiletry . Front desk staff 2 year ago , like . would definitely stay actually like near Wharf close transport . great value . 
 Mar 11 2007 	 Great Location 	 good thing hotel location . literally minute touristy Fishermans Wharf even close bus cable car stop . nothing flash hotel provide quiet , relaxed base explore San Francisco . the room spotlessly clean decent size although bathroom little compact . say , room everything need stay . room safe , tea / coffee , hair dryer , iron , etc include free charge . huge bed comfortable provide sound night sleep . breakfast disappointing . continental selection small warm food available apple cake . not bad , prefer cooked breakfast , least option one . there small fitness room hotel six seven exercise machine available free charge . the hotel bar one directly across street ( knuckle ) excellent would recommend BBQ pizza big enough two cost $ 13.the Holiday Inn Express design customer use hotel sleep rest get balance right . perfect base explore San Francisco restful night sleep hill walking . I would use hotel 
 Feb 23 2007 	 good location average hotel 	 good thing hotel location . 's easy walk distance Fishermans Wharf touristy stuff go . venture downtown SF , feel lot threaten fisherman Wharf . hotel quite bland , clean comfortable . plan spending lot time room fine . whilst pour rain time , find room quite small try dry soggy clothe . hotel also get complimentary breakfast good variety , good start day . do not like get early holiday fact breakfast available 9.30 plus we ! know SF hilly , still surprised - thank god cable car tram ! ! great time , mainly becauise rather hotel great . hotel basic functional - clean breakfast good , convenient location , otherwise do not think would stay . mainly like stay different place time , also room small hope , seem bland . 
 Feb 22 2007 	 Great Ideal 	 travel world Flight Attendent always stay 5 star hotel go vacation stay Holiday Inn Express , Fishermans Wharf . situate fantastic location , near pier transport different part city . room clean daily clean high standard . reception staff extremely helpful nothing much trouble , especially funny Brandy . fitness centre adequate purpose free internet bonus . free complimentary nice early want eat every morning much choice big city . overall think hotel amenity close hotel fantastic . 
