sparkle 	 Good point Hotel : Location . the Room - excellent size comfortable bed . nice view Jubilee Gardens quiet . good bathroom tea tray always welcome . Nice Bar pleasant view London Eye . Helpful Concierge ( one . helpful ) breakfast buffet also good breakfast staff efficient pleasant . not good point : room ridiculously far away lift - talk 7 minute walk . foot injury struggle brisk trot require . one previous poster state wished golf buggy scooter ferry we down . secondly check staff brusque lack charm . London graduation ceremony would think way funeral , dour . Marriott Rewards membership , sometimes staff check upgrade . however occasion book another website staff attitude effectively reflect this . not welcome Hotel wish pleasant departure spend small fortune accomodation . the ATP tennis tournament O2 many resident either tennis player supporter . get impression part troope staff do not give toss . addition , lift cover advertising tournament find tacky bizarre . completely spoil ambience beautiful old building . we find one give we direction concierge . absent one morning ask doorman direct we Covent Garden vaguely point sky mumble . attempt get taxi via staff door useless well luck public street . acceptable 5 star hotel . my final gripe oh pay £ 15 day wi fi ( concierge try convince free ) go Starbucks coffee get free ? ? always stay Mariott ( work many year ago ) know extremely high standard training require staff always apparent Marriott stay . however next occasion return one another London . 
 good even kid 	 stay 3 night little man forst birthday say go well hotel near perfect . food brill , service perfect , clenliness perfect , describe . issue distance lift room - miles pram tough lovely view London eye jubilee gardens can not really complain . great location dead centre London . 
 Jul 17 2007 	 location good room 1970 style old every way 	 staff arrogant rude , accomodating , fire allarm go two day row call front desk response . wife whent stair investigate @ 5 , staff site , finally answer telephone pleasent reassure way , restourant staff rude , first night refuse sit we main dining room , set next day , still open ! ? ? ? next morning 40 minute afther order breakfast inform forgot place order ! many miss list . general manager listen complain agree , ..... never go back , 5 star hotel ? ? ? ? mist print mine - ( 5 ) good . 
 Jul 14 2007 	 lack communication late check - out 	 miss last train home , decide find hotel rather wait Waterloo 4 hour first train home - Marriott seem ideal , be conveniently situate round corner . late ( 2 am ) enquire possibility late departure , lady desk kindly offer arrange 2 pm check - out , gratefully accept . offer Deluxe room - unfortunately non - smoking room available - late tired , agree . since overnight bag , ask toothbrush deodorant - get toothbrush ( complimentary ) deodorant . signage hotel poor , eventually find room , smell quite strongly smoke . fortunately room big view Big Ben , unexpected bonus . 9.30am unexpectedly awoken member staff knock briefly door open without answer we . soon realise still bed , apologise shut door - reason give visit . unfortunately , woken 11 am , another knock door , time maid have ask check we Reception make room - apologise left tell have promise late check - out . astonishingly , another visit 12.15pm - member staff claim record late check - out came find leave . leave explain story ( ) . upon finally check 12.40pm , mention event male hotel receptionist , become defensive , deny knowledge late check - out arrangement , visitation would receive , claim never offer late check - out fully book . disappoint service highly - rate high - profile prime - location hotel . 
 Jul 9 2007 	 generally good gripe 	 stay Marriott County Hall parent June . transit London way back Marrakech decide night ballet . choose County Hall historic building location beat . the service generally excellent . treat incredibly well check reception staff extremely helpful throughout stay . however , request non - smoking room could not fulfil bedroom particular smelled strongly smoke . the room extremely comfortable ( especially London standard ) bed luxurious . , however , long walk elevator father , walk difficulty , find hard go . our gripe get bag bring room . take terribly long time happen several call customer service . experience concierge generally good pretty bad temper disrespectful . as Sunday father 's day , breakfast deliver room . breakfast absolutely delicious deliver friendly lady . I really enjoy stay County Hall , apart minor glitch . however , hotels general area provide similar service less money , opinion ( Royal Horseguards , instance ) 
 Jul 3 2007 	 disappoint 	 book hotel overnight stay Central London partner Saturday night June use Marriott Rewards . cost lot reward always fancy stay think ? stay lot Marriotts US Europe always pretty good , particularly service . time around different . happen allergic feather cause problem place bed normally involve quick change non feather bedding . in place , despite mention book form , check also twice course Saturday afternoon , get back room midnight find change call duty manager result tell late anything do not anything help . sleepless night follow itchy eye morning ! ! wish never go . morning reception tell manager would contact would refunded point , think least could do , ok fair enough would go that . a week still no - one contact point beed refund , honest not surprise I . I suspect place would ok problem require anybody anything advice stay someplace . 
 Jun 18 2007 	 get well time 	 complete 5 night stay family early June third hotel . stay vacation business , hotel great either . room show wear , carpet furnishing change . also , entire southbank really come alive year since theCounty Hall open .... location get well everytime . gripe room tempertaure thermostat terrible . stayin 20 hotel per year can not figure thing . possible heat kick AC set beyond . couple helpful hint : 1 . Use Westminster Tube station . much easy Waterloo walk across bridge great . 2 . Neds Noodle Bar behind hotel free WiFi , beat pay $ 30.00 US per day need check email . 3 . go Wagamama street dinner . 4.the Star Wars Dali exhibit still , Arcade , McDonalds Aquarium . right next London Eye , worth wait money . 's great hotel .... will not disappoint . 
 Jun 18 2007 	 Excellent ! 	 fabulous view , lovely hotel , superb staff . overall excellent stay ! 
 Jun 11 2007 	 Great Hotel 	 previous trip London stay elsewhere always say check place , finally . staff nice , room well - appoint London large . one good attribute hotel 25 meter indoor pool . good pool use non - resort property . anyone like swim love feature , pretty rare London . room quiet , hallway noise minimal . negative experience ( fault hotel ) arrive Waterloo ( close hotel , reality 5 - minute walk ) , taxis refuse take we close . overall recommend hotel look forward stay again . like : Good Location , quiet room , great pool , nice new hotel cool old building . dislike : expensive , compare similar property London good value . 
 Jun 6 2007 	 Outstanding Hotel 	 stay Marriott County Hall ten day May . could well stay . use Marriott point pay room , upon request , front desk upgrade we river view room . room look Big Ben London Eye . window open , could clearly hear Big Ben 's chime . staff hotel phenomenal doorman housekeeping . sit bar wait wife join waiter quickly come ask would like newpaper read wait . french manager bar nice long conversation we offer sightseeing tip . room large city hotel standard shower hot strong . enjoy tea / coffee maker room housekeeping replenish tea bag ( tea biscuit ) daily . restaurant also good , although move Library ( formerly bar area ) formal restaurant undergoe renovation . could well stay Marriott London County Hall ! 
 Jun 2 2007 	 outrageous Bizarre experience ! 	 come back London Ireland , London 5 day . stay hotel 2 day inexpensive hotel 3 . yes , gorgeous hotel although room give poor view alley type area . but , first night husband tell bump appear face . later day , notice large bump form finger foot . start itch . sightseeing day , outside bundled time not give much thought see multiple bump back , leg foot get ready bed . the second night wake horrible itching leg , back , etc . bad , sleep floor rest night . when wake , 100 bite body , obviously dust mite , allergic too . despite allergy , never happen hotel travel extensively . kicker tell hotel reception next morning- nicely may add - they send someone room right away investigate promise . when call reception tell problem add filing claim threaten way request female member staff come see bad problem leave morning . protective cover mattress dust mite allergy common . simply not want happen someone else , want see & quot ; evidence & quot ; problem check . reception say would send manager- female- right room . I add train catch would leave hotel 30 minute also leave London morning . 15 minute later , one show . two call total 30 minute first , still one arrive even call . get dress leave hotel could catch train airport . I outrage treatment ! especially 4 5 star hotel . I will not let ruin pleasant memory vacation overall , bizarre experience surely taint end vacation . train ride flight back home States , uncomfortable entire journey . 
 may 30 2007 	 Mixed Feelings County Hall 	 go book number one rank hotel Tripadvisor , seem County Hall good picturesque view ( Big Ben / Parliment ) . book river side view via Marriot 's reservation office roughly 182 gbp plus vat . arrive hour check driver wane drop bag make sure know . bag porter quickly come car open door car bag . go front desk tell name . surprise room ready go . hotel reservation guy ask want upgrade offer upgrade say yes would great . mention desk lady look like insult not press . not talk sort warmth voice happiness bit dissappointing . baggage port take uggage us room . us hotel bar resturant locate way also tol us floor pool spa locate . room nice king size bed large marble bathroom deep tub . couple thing disappoint room1 . room corner partial view river could see Big Ben , could partially see parliment building . 2 . tv like 15 inch standard tube tv . hotel nice would expect flat panel tv least . also distance tv bed ( six foot ) make tv look like 10inch . 3 . windy London like go may want change room . maybe becuase corner , would hear wind howl outside room , outside not hear howl . 4 . eat hotel around 12:00am turn wrong way whitehall could find anything open look decent . walk hotel bar/ resturant say could offer sadnwiche problem . serve drink menus promptly , promptness end . signal waiter get glass fill one time say food one way . take 1 hour serve club sandwich steak sandwhich chip . signal waiter fill water glass quess manager walk look like upset that . now good things1 . bed maybe good thing ever sleep fill comforter nice consider cold weather . also love six pillows.2 . bathroom large bright . water pressure great aromatherapy toiletry nice . 3 . hotel stunning walk hotel without staff say hello try help find something.4 . location central far subway , look like double decker tour bus stop front . westminster abbey across bridge London eye behind hotel . conclusion would stay Hotels London , make comparison . service nice , times disappointing look back never feel really welcome . say speak one english person manager , everyone else eastern European seem nice enough get trouble managment . price would give average rating . slightly cheap would give average rating . feel like way people feel welcome cost hotel monie . 
 May 28 2007 	 Excellent 	 Marriott County Hall deserve 5 star rating . room elegant , well furnish maintain . not hesitate look good central London base business tourism . 
 May 21 2007 	 wonderful traditional hotel . pleasant stay hotel . 	 book 3 night hotel directly phone ; travel husaband two child , website bite unclear accomodation option available 2 adult 2 child . brief phone call hotel ... able book Big Ben Executive Room two queen bed . room large London ... balcony .... room overlook river Big Ben . building build 1920 's ... window large ; therefore , expect expansive view river / Big Ben . view small ... ... new sound - proof window addition original window . sound - proof window close ... quiet peaceful room . our room allow we access Executive Lounge 4th floor ; feature small , continental breakfast . nice feature . the hotel large pool ... child enjoy . the location superb ... allow easy access main sight nice stroll along river . service outstanding ! arrive 5 pm , room ready yet . escort Executive Lounge approximately 10 minute ... room key deliver Lounge . staff extremely apologetic helpful . throughout stay , find staff friendly helpful . the room cheap ... family 4 London ( Europe matter ) hard stay central location price . hotel would require 2 seperate room . 
 may 11 2007 	 great hotel location 	 great stay Marriott county hall , often stay London pick hotel close hospital father law treat . hotel carparking charge 24 hour arrival time £ 30.00 per 24 hour . we book directly marriott website get good deal compare brooker website always check out . the room spacious , would not bother much river viewfor high floor not really get view , 3rd floor good view house parliment etc , . good amenity , book non smoking room guarantee allocate smoking room due late arrival , not acceptthis room take approx 1/2 hour reception sort out . swimming pool gorgeous , right temperature sit morning lady come aqua aerobics class , change room small good option use robe room change room . late checkout option . Buffett breakfast really nice good selection food . Approx 400 yard westminster tube station , horseguards parade down street around corner . London eye cheap book line would highly recommend express pass busy time , go 7.30pm queue see light turn London , really lovely . 
 may 10 2007 	 disappointing 	 return weekend London.this hotel disappointment pay . I request early check arrive room not ready receptionist say would ring we room clean priority . this 12 clock return hotel 3.10 pm hear nothing room still available eventually get room bag still stair porter busy wait another 30 minute bag . our twin room fine , spacious clean tiny tv poor picture channel . bathroom nice big bath one set toiletry we though mean .The hotel central lovely view river easy walk covent garden etc . our room face onto yard start move trolley laundry 7 wake we two 3 morning . I complain second morning impossible get sleep Sat Sunday morning avail noise continue . breakfast good staff pleasant .The hotel old parliament build interesting divide focus point little way atmosphere . 
 may 8 2007 	 Best Hotel 	 able stay wonderful hotel week use Marriott Rewards point . could pick well hotel . staff friendly helpful . location put we right heart city . view Westminster , Big Ben London Eye . arrive morning store luggage send we Concierge lounge , since room ready . later return wonderful corner room view Thames London Eye . room large , roomy two double bed . comparable US hotel room . two tube station nearby much walk distance , even Big Bus tour stop right front . truly perfect hotel first trip London . time left say would miss huge tub sound Big Ben hour . do not miss superb tea library . 
 Apr 26 2007 	 absolutely tip top ! 	 hi ! ok - lucky enough stay London 's great hotel , include Savoy . Grosvenor , Hilton Park Lane Waldorf etc . even not match Marriott County Hall . great place . book room 1 hour get . arrive , reception apologise profusely room not ready . thought would go hit bar hour . ! say not ready , would upgrade us river view suite ! give have give hour 's notice stay , not issue original room ready - hotel , hence upgrade . well - simply superb . great size room , lovely bathroom balcony table two chair . unusual - balcony room London , hotel not let go outside ! great . could hear Big Ben chime , watch people go round round London Eye , watch people stroll along southbank .Breakfast great . also spot magnificent swimming pool would try , not tog we . look invite though . nice bar well . , importantly , really good location - especially ' ve come via Eurostar ( move St Pancras ... ) general , look stay 5 star London , would really recommend Marriott . well ' ve mention , pretty good ! find rate reasonable , staff accomodate , really great stay . thorougly recommend : ) 
 Apr 25 2007 	 Great Hotel Great Location 	 Excellent hotel . great old building , great atmosphere . room awesome -- large clean nice bathroom . build great -- nice restaurant , library , pool , etc . close walk across bridge Parliament Westminster , well site , tube . price great get . la carte breakfast good , breakfast buffet 20 pound . would definitely stay . 
 Apr 16 2007 	 wonderful family 	 hotel wonderful ! also stay Grosvenor Square Marriott like property lot . would say pick County Hall child , especially not interested shopping County Hall location close many tourist attraction huge add bonus pool . staff extremely nice give top floor room balcony stunning view River Thames , Big Ben feel though pratically touch Eye . take room arrive 8A US , elect take standard non view room husband could take show noon meeting . really , really appreciate early check - in . friend property top floor room must say - view well ever see hotel , mention balcony sit enjoy wine Big Ben chime . also , Dali exhibit great ( sculpture exhibit museum Figueres ) , literally attach acquarium Eye . great location . negative comment circumstance let child jacuzzi 4 kid ( 2 family ) , often shiver 20 minute dip pool . would recommend relax little . also Grosvenor Square Marriott close proximity lot neighborhood restaurant great family business . 
 Apr 14 2007 	 lucky last minute find 	 lucky book family room ( 4 we include 2 teenager ) Saturday night Easter weekend day £ 203 include breakfast lastminute.com . need realise have manage book wrong night Premier Travel Inn round corner ! use stay budget hotel approach hotel feel grand bit intimidating . staff pleasant though service excellent . slight problem reception not normally allow four people room - however specify book . easily resolve though smile . the room two double bed ( comfortable ) spacious . bathroom nice - although say Travel Inn shower well ! manage squeeze 20 minute swimming - 16 leave pool 7 pm bit pain especially nobody else . pool good hotel pool . breakfast good - beautiful sunny day view river . lot choice beautifully present buffet . even manage make good scramble egg . would not pay £ 80 though come family four - well include room rate . Travel Inn 's excel breakfast free 15 feed family four well £ 12.the hotel within walk distance Eurostar terminal - 10 - 15 min wheelie bag - choose it . all lovely treat would choose Travel Inn next time - half price actually prefer less attention . 
 Apr 12 2007 	 outstandlingly superb ! 	 stay 2 night recently two child upgrade river view suite balcony . say feel like royalty - superb hotel , absolutely faultless . it must good location London hotel - right bank river overlook Houses Parliament . expensive say husband get probably not go worth find fault something honestly say true 5 * plus hotel . lot hotel class 5 * fall well standard . hope staff least double normal rate certainly deserve - creme de la creme hotel staff . pool brilliant - 25 metre long child use 7 pm . drink bar expensive would expect standard hotel . breakfast would expect superb . treat stay Marriott County Hall guarantee will not disappoint . problem we think ' ve stay good hotel ever think always find fault other future . 
 Mar 11 2007 	 history within grasp 	 recently read letter british national newspaper say review Tripadvisor can not trust , unreliable majority probably write hotelier . well hate shatter writer 's illusion ) affilliate hotel chain simple punter b ) always refer Tripadvisor book hotel time , great success . yah boo suck ! anyway , back County Hall Review . the plus points:1 . 's fab location - right South Bank , next door London Eye opposite Houses Parliament . 's really buzzy area perfect stroll along river , load go , lot restaurant cafe - gallery , theatre ' street ' entertainer . go Eye river trip - really good fun pleasant helpful staff . go Borough Market , farmer ' market , beyond Tate Modern .... bit walk well worth . 100 year ago , South Bank use poor part London , would never know today . 's pack brim art centre , culinary treat trendy loft apartment . try walk way Tower Bridge , really interesting will see replica Shakespeare 's Globe way . can not bear walk back , get rv1 bus back - drop right London Eye . ( Big Wheel ) 2 . entrance hotel impressive set standard rest building . use GLC ( Greater London Council ) grandiose style , imagine politician huddle together gossip Ken Livingstone dark wooden corners.3 . staff - fantastic ( except one , see ) . porter exceptionally welcoming , manager constantly evidence smile face , receptionist really helpful , wait staff efficient chambermaid sweet , pleasant , efficient . staff seem genuine always greet hello smile . nothing much trouble them.4 . building - load wooden panel wall , strongly decorate carpet ( bit top place - not get drunk whatever , confusing design ! ) oldy - worldly feel whole building . come back entrance will discover marble staircase wonderful sense history buildng . people might find bit austere place lovely sense old private club.5 . bedroom - massive bed , clean immaculate room , towel robe , hospitality tray usual tea , biscuit etc , large tv , great view overlook Big Ben ( price ! ) , important , quiet ! stay hotel , BBC transmit live tv programme , Fame Academy . bit concerned music would constantly blast , fact , not hear thing ..... whenever bump BBC crew , always pleasant . drawback back side door lock 6 pm stop fan come in.6 . pool gym - brilliant , absolutely massive busy . definitely worth go into.7 . restaurant food - good see ..... also gather afternoon tea good although good not go . maybe next time .... ok , minus point ( many worth note ) :1 . reservation - really quite tricky . spoke times time , get someone whose English quite frankly not scratch keep get confused asking . ' m sure hotel 's direct reservation service generic Marriott Reservation service , athough pleasant , really wee bit difficult ! 2 . price - £ 329 ( include tax ) room overlook Big Ben . yes view lovely window be not big room - really , would well book cheap room without view . always walk along river get wonderful view free ! 3 . bar - oh dear , smoking bar . room not think smoking allow Library room , quite frankly evening , bit austere sit . someone mention however smoke due ban post - July long go . not actually mind smoking think one bar smoke free . allow smoking bar bit much - not Marriott American - own ? have think would definitely ban it.4 . restaurant - wait staff fab , eager help quick complaint . food good , god , portion small cheap . think cuisine minceur go year ago ! room also rather large bit souless .... eat say food well cook choose dish wisely . plum crumble tiny faint dribble creme anglaise ( custard ! ) 5 . Executive Room - have book executive room entitle use Executive Lounge 4th floor . pleasant non - smoking windowless room ..... bit like first class airport lounge . drink free comfortable seat . get breakfast reason ordinary white brown bread , croissant flavour bread ... maybe blip eat ( marmalade tomato flavour bread interesting combination ! ) also get canape late afternoon . ' m go say complimentary £ 329 something throw ' for free ' ! however canape hour , room absolutely pack everyone rush get freebie canape plate ! tasty way . sometimes 's nowhere sit eat stand . could always pick plate , make excuse leave . could ....... one thing annoy we ( minor really ) visit Executive Lounge get couple tiny cake take back bedroom ( something good telly not want miss ! ) . stop lounge 's abrupt male receptionist say & quot ; take today tomorrow , will not allow it . & quot ; simply say thank leave room small plate , smile . stare . quite frankly , attitude really rude totally over - the - top . know probably job tone annoy we . not seem sign anywhere say could not anyway , be problem ? one small plate chambermaid clear room . hardly major ordeal anyone . unless ulterior culinary motive ie get encourage people use room service menu ! anyway , sorry digress , aside little experience , everything else really good would recommend hotel - although want REALLY good view river try Swiss Howard north bank . fab good buzzy location . 
 Mar 7 2007 	 5 star plus ! excellent choice . 	 one good hotel far . staff professional , facility include pool excellent like traditional afternoon tea , forget one . restaurant bar locate river fantastic view towards House Parliament City skyline . worth money first choice short trip London . 
 Feb 24 2007 	 expect need 	 stay one night onward trip , find comfortable . the room good size , well equip nice bathroom lovely view eye . hotel great location explore bar restaurant facility good , although little overprice . a comfortable night , ' special touch ' . lack human touch . 
 Feb 18 2007 	 wonderful comfortable stay london County Hall 	 choose Hotel view Big Ben London Eye , lucky get upgrade room overlook river really make stay special . room comfortable , especially bed bedding , pool excellent facility breakfast table view London Eye - fabulous ! staff friendly accommodate wait return . another example get pay ! ! ! 
 Jan 26 2007 	 accommodate every way 	 have intend write review several week ago , return States . New Year come go , still , wonderful experience hotel not dim passage time . grand entrance ( gracious welcome -- -by several hand ! ) beautiful river - view room exceptionally helpful staff Club Lounge Concierge desk , can not praise hotel enough . multi - national team provide we warm , thoughtful service brilliant advice dine three young child . ( end , Giraffe , locate South Bank past London Eye commuter bridge , wonderful option we . wide variety interesting food adult appeal child 's menu -- love ) .Our spacious , nicely - appoint room plenty room we , well & quot ; kid gear & quot ; include stroller toddler 's travel crib . bed comfortable room well insulate outside noise . room look hotel 's large outdoor balcony onto River Thames , Parliament Big Ben . magical experience child ( age 6 , 4 2 ) love hear clock tower watch pass boat . access Club Lounge , convenient way get family fed , water move morning . lounge provide fill breakfast fruit , cereal , muffin pastry , cheese , lox , juice , tea coffee . evening , appetizer beverage . staff efficient pleasant . the hotel location Westminster Bridge excellent -- -we walk past Parliament Westminster Abbey , St. James ' Park Buckingham Palace even get wave Queen pass we motorcade . big Bus tour stop right outside hotel gate Underground station river boat tour step away . husband british citizen live U.S. ' ve travel back forth UK frequently last 13 year , far , one enjoyable visit . Marriott County Hall ideal & quot ; base & quot ; particular London excursion . want share one favorite city child believe hotel , location offering really help we . stay . 
 Jan 16 2007 	 peace 	 say ? .. every single aspect stay perfect . my wife stay Balcony Suite Wedding Anniversary . whilst chilly morning , breakfast balcony overlook Thames Big Ben chime background people London Eye take picture jealousy fantastic ! hotel provide we complimentary bottle champagne fruit bowl - presumably know anniversary . lovely start welcome we room , good size ( enourmous like may expect word & quot ; suite & quot ; ) . include room price access Club Lounge soft drink , tea / coffee , snack & amp ; canape . nice touch quiet retreat ... arrive early whilst room ready hotel give we access lounge relaxed watch tv wait . location fantastic ... lot hustle bustle outside South Bank , take step inside County Hall building immediately feel million mile away 's peace tranquility . build interesting grand worth little exploring . from hotel walk many usual London attraction . went shop Oxford Street take tube take 3 minute ! walk along Embankment South Bank great - favourite part London . day street entertainer keep amuse , night peaceful safe maybe odd musician playing . would therefore highly recommend hotel family know kid not like walk much , love entertainer . we eat restaurant service fantastic , food well ever view river great . subsequently also stay afternoon tea library , also great fun great experience . , view , Library also wealth history building use Council office . also useful ' London Skyline ' guide window advise look - great uninformed tourist ! previously afternoon tea Ritz , operate strict timeslot 1 hour ... tourist attraction chance enjoy relax . would much rather recommend County Hall - cheap , well location , great view , relax sit long want , formal dress code - style stuffy , touristy Ritz ! service staff exemplary . room service excellent pipe hot due heater underneath trolley - incidentally get turn full sized oval table . concierge friendly attentive look luggage car stay afternoon tea . not cheap place overall , aware advance . accept cost , disappointed location , service quality hotel . 
 Jan 7 2007 	 wow ! 	 book hotel wedding anniversary celebration . find Superbreaks brochure ( part Thomas Cook ) deal include Bed , breakfast London Eye £ 89 . fantastic location - walk everywhere - mainly lot Underground station close weekend maintenance also be central everything include Leicester Square & amp ; Covent Garden , St Paul 's Cathedral , Big Ben , House Parliament & amp ; Westminster Abbey . reception staff helpful Concierge fantastic organise trip Eye . drawback Hotel size . reception area Westminster Bridge - room bottom Eye - great view . we choice full english breakfast continental - chef hand cook egg fresh coffee tea refillable . continental breakfast great choice fresh fruit , cereal ham & amp ; cheese , yogurt etc . once would check able leave bag locked room could enjoy rest day without carry overnight bag we . enjoy nice amble along river ( side ) . one pub go end Westminster Bridge great view Big Ben . all great weekend . 
 Jan 6 2007 	 perfect new year celebration 	 stay hotel new year want family see New Years eve celebration firework take place every year thame . the hotel ideally position approximately 100 yard leave London Eye . on new year eve large outside balcony open resident pole position good view London firework . river view room nice overlook Thames Big Ben even though window small side . over new year period buffet breakfast ( hot cold ) excellent alot well hotel revert back normal breakfast selection follow New Year . the reservation managerwas pleasant knowledgeable . would stay quieter location general feeling space hotel . 
 Jan 4 2007 	 Excellent location 	 stay hotel Christmas break super time . really could not ask well location Houses Parliament , Big Ben London Eye minute away ! hotel impressive grand entrance professional courteous welcome . family room spacious bed comfortable . bathroom clean lot hot water ! complaint ... view bedroom window well disappointing . overlook tiny courtyard several skip locate centre building . would worth ask view book ! would thoroughly recommend hotel ! 
 Dec 1 2006 	 great view Big Ben 	 arrive Saturday overnight flight . arrive take train Victoria Station cab hotel . tell room would ready 30 minute , wait lounge . bring key take room . whole nine day perfect . love stay even able broadcast live webcam video big ben London Eye family back States . complaint would price internet . 
 Nov 29 2006 	 fabulous location view service 	 spend 4 days/3 night Marriott London County Hall wonderful experience . listen watch Big Ben chime midnight across river really , really nice . location can not beat walking distance everything Parliament , Big Ben , Westminster , Buckingham , Trafalgar Square , Theater district , London Eye ( right next door ) . traveler arrive Eurostar train , hotel 2 block away less 10 minute walk pull suitcase . the old County Hall building enormous , need note hotel occupy center section ( build bow ) block room side close London Eye . however , main hotel entrance bridge end ( Big Ben end ) building . also additional & quot ; back & quot ; entrance street behind hotel ... side away river . enter however , must wander bit old building ' til get section Marriott occupie . back entrance handy run Starbucks italian place Yo ! sushi joint street . also sort restaurant row ( Giraffe Wagamamma noodle good choice ) past London Eye Golden Jubilee Bridge .... 5 - 10 minute walk along river park . will often will find live entertainer perform . like guy playing theater hit water glass silver statue guy . suprise see Krispy Kreme donut Waterloo station hear friend make front Harrods . kid , aquarium , video game room Mc Donalds ground level hotel river side . ( not personally visit 3 , want make note ) staff extremely friendly helpful . let concierge make arrangement .... helpful catered need 4 kid age 11 . room spotless , although carpet wood molding ( doorway ) bit worn . bath towel huge tub large deep good quality shower head . bed top notch comfortable . pool nice lap ( 4 lane X 25 ) 2 lane rope lap swimmer 2 kid playing , etc . breakfast exceptional continental buffet , pricey L20 . ( Approx . $ 40 time visit . ) include room price help quite bit . Library hold traditional Afternoon Tea great view Big Ben comfy chair sink . side note , crazy thing happen occasionally staff gracious helpful child get violently ill stomach bug need extend checkout time . move one room , let we stay feel well enough venture . , excellent place say , although probably budget concious . weekend rate make worthwhile get supurb quality service . Marriott know quantity connect room ( hard find Europe ) make easy large family . 
 Nov 21 2006 	 great location 	 book 2 night , arrival 3 pm ( 1 hour check ) tell room ready would not least another 20 minute , show main bar area give cup tea house . we wait perhaps another 45 minute expect told room ready nothing happen go back reception appear forgot promptly give key give room . that blip otherwise faultless stay . the room good , Thames view room , really worth extra money , good thing bed . it comfortable ever sleep , wonderful . the hotel pricey food drink good . the staff nice , alas , hardly English accent hear , sometimes lead confusion . the location superb , 2 tube station close hand , right next London Eye , across Westminster bridge Houses Parliament . its fine short stay , try get deal breakfast include ! stay next year , shall start save , worth bed . 
 Nov 21 2006 	 outstanding location view 	 use Marriott point week 's stay andupgraded river Big Ben view . wellworth extra expense ; especially foundout continental breakfast , evening snack anddessert include ! everything withinwalke distance easy access theWestminster Tube across river bridge . our room excellent ; staff excellent ; rarelysaw quest ; extremely quiet room hoursof day . Felt secure feel like walkinginto little oasis every time come back tothe hotel end day . recommend thishotel ? BET ! back ! ! 
 Oct 4 2006 	 Loved Stay Marriott County Hall ! 	 good way end 2 week european vacation ! ! stay two night absolutely enjoy ourselves . we arrive Heathrow airport decide save money take tube . although direct train airport hotel , change train twice ( Picadilly Jubilee ) arrive Waterloo station . 's easy walk Marriott , probably around 5 -10 minute . hotel , past reviewer mention , County Hall building . share build another hotel aquarium . check - in easy every staff member encounter always smile ask could help we . our room locate top floor ( believe 6th floor ) . huge room , almost like suite ! 2 separate window look across lawn London Eye . bathroom spacious well clean . use olympic size pool one night . gain entry , must go downstairs spa sign get code . go pack pool punch code number pad door unlock . pool big , basically lap swimmer since go evening , not many swimmer around . plenty towel available need bring one room . location hotel great ! leave front entrance hotel turn right ... Big Ben front . another tube station across bridge , Embankment , use everyday . take train Tower London , walk along Thames River way back hotel . take since festival , plenty booth look eat ! starbuck , cafe chinese noodle place right behind hotel . course , London Eye right next door along McDonalds ! would definitely go back Marriott 's County Hall next trip back London . pricey ( even discount ) well worth ! 
 Oct 4 2006 	 great location fine service . 	 although inexpensive , County Hall terrific location , nice sized room , quite good service . room view river Westminster especially seek . altogether fine place single family . 
 Oct 3 2006 	 Big Ben alarm clock 	 hotel really can not beat location . wake every morning bong Big Ben must one all - time good alarm call . location stunning , worth pay extra good river view room . surprisingly quiet despite central location -excellent double glaze dull London buzz . annoyance arrive check - in time 2 pm finding room still ready , though fair hotel offer upgrade - smoking floor . room service good service excellent . hard fault hotel . 
 Sep 21 2006 	 Awesome Location housekeeping staff need improvement 	 location excellent Marriott property sit alongside Thames River next London Eye . across big Ben . walk distance Waterloo station . staff nice housekeeping staff not speak English , shocker consider England . leave 2nd camera battery / charger mistake hotel take 3 international phone call explain issue . since roam around country ( Paris , Geneva return back London ) stay difficult understand sense urgency mail item hotel ( ) Paris . since going come back London last leg give hotel staff hotel staff keep ( canon battery / charger ) till physically pick week later . thankful Teddi ( Guest relation manager ) keep equipment safe sound . like other , agree housekeeping staff need attentive guest ' need . 
 Sep 8 2006 	 talk Upgrade ! 	 couple month ago make reservation guarantee river view room two double bed wife , two child view Big Ben Parliament one night stay MCH . upon check , informed booked room unavailable , inste , place Westminster Suite alternative . staff member check we apologetic fact room one king bed indicate would place cot crib room . speak , seem though stick back room view well could . since stay one night , make sense make fuss ... boy , glad keep mouth shut ! upon arrive 5th floor , start see sign point Westminster Suite ... bellhop tell we would love room . came set double door walk room easly 1500 sq . ft . actually , several room . two bathroom , kitchen , great room dining area ( table 10 ) , three sofa , two desk , several chair bid screen tv bedroom ( huge ) several closet . room hige set window dead view Parliament Big Ben ... one top room entire hotel . view room truly spectacular room big enough kid play hide seek ! instead go resuaturant , simply room service deliver dinner room could eat table view Big Ben background ... shabby . overall , service hotel good staff friendly . say even though amazing room , finish need touch furniture could use refreshing . location hotel excellent want ride London Eye visit Parliament , Big Best , Westminster Tate . hotel 5 minute Waterloo station convenient tube Eurostar . overall , would recommend hotel family nice pool everyone friendly . 
