pay 	 get cheap deal local travel shop 99 train hotel 2 night . arrive queue day night . 4 room 13 us 2 family 's room 3 small single bed camp bed kid refuse sleep . one room clean get look like someone party rang reception say would sort . great location tube bus 10 min away king cross . day come back around 10 pm room not do 5 kid is'nt ideal . breakfast horrendous like cold rubber staff really unfriendly go nearby cafe breakfast next day great . price pay did'nt complain pay full price something like 110 per room would happy 
 basic warm good location .... 	 book hotel ' weekend rail deal ' exactly get - deal ! room basic warm . hotel closely locate London 's sight seeing exhibit . want book somewhere impress would not reccommend , however , room book hotel . 
 like jail 	 simply price buy part good rate London BA.com . 's giant hotel right Russel Sq , convenient king X Piccadilly Line Tube . , be pretty much horrible stay . single bed suitable chlld 10 , adult . courtyard middle look like jailyard , miss weight . blanket drape hang window , wait fire start , especially drunk Belgian Standard Liege football supporter scream . take pub lobby courtyard lose Arsenal . heat room unbearable would not switch . sleep window open , hope noise drunken Belgians would soon go away . bathroom ok , pretty clean except towel stain . bring toiletry stay b / c will get 3 mini bar soap that s . be look bed hotel 's well locate , reasonable safe , cheap , stay . though , would recommend sister hotel , Tavistock Royal National . luxury missus definitely enjoy stay get lucky . thank goodness travel male friend , use place crash going drink London . convenient vist Arsenal Football Club . 
 try hotel side street 	 well arrive queue mile long book , every morning afternoon , wait half hour give key room . room adequate special , neither alot space . spend day come back 9 pm buy drink bar no - where sit go din area get kick drink unless buy hotel ? ? four we ask would need buy able sit din area almost empty , smile know get repeat automate statement ask much glass water ! ! say £ 5 agree say would ask leave . spoke manager reception say not dept ? ? go bed.8am get knock door house keeping .. & quot ; leave today ? & quot ; & quot ; er tommorow . & quot ; ok need clean room . go downstairs speak manager explain would well keep night bar sleep knock we 8 morning holiday , get bar becasue space . say would speak housekeeping , dept . go breakfast queue 3/4 hr room , actually get straight back room 10.15 not clean ? ? next morning thing happen again . so summary room small , great queue , slow book , broken lift , morning wake call clean wether need . one responsible not anyone dept.you buy drink drink . positive food good 's near station . would go , way ! ! accross road stay president , ambassador county hotel 100 % well , price much friendly . it would appear way make hotel change attitude let customer know alternative . 
 Feb 6 2009 	 poor customer service ! 	 stay hotel 40th birthday due poor customer service never back would not recommend anyone ! friend send telegram hotel ask say not . time do not look ! ask would forward ( price stamp ) would not did not pay stamp . unbelievable , much look customer .... 
 Feb 3 2009 	 Location negative frill 	 stay group short weekend trip . thing go location . sure room actually clean . wall paper thin window nothing keep street noise . bad offense several occasion staff come room unannounced , stand disbelief towel . 
 Jan 27 2009 	 ... 	 stay Royal National one night Nov 08 . conference hotel next morning , figure would well stay hotel overnight ( could get little later stay another hotel ) .The hotel main road Russell Square , huuuge - take whole block . check - in quick painless . were7 8 staff .... get lift scared - tiny , scratched / graffiti everywhere , dirt side , astro - turf ( yes - astro - TURF ! ) wall . corridor seemingly endless , look like last paint 70 's smoke since ( literally ) . room small , enough night . two small single bed not look accommodate . room basic , bathroom small trick , 's little storage space . main problem room window would close properly ( overlook main road ) . could not sleep noise traffic ( ' m use London noise , ridiculous ) . main problem hotel seriously date job . ' m snobbish come hotel , quite poor ( right pillow sheet ) . not recommend hotel . say : ' ve get one night stay , budget £ 70 , place ... 
 Jan 25 2009 	 Budget hotel good location 	 hotel ok budget break London . hotel good location . close British Museum 1 min walk Russell Square underground station Piccadilly line . Royal National massive hotel feel youth hostel , lot large party teenager coach party . room clean , small basic adequate short break ' spend much time room . twin room seem small double room see . book hotel part theatre break Superbreaks . price relation standard hotel show excellent . would definitely recommend watch Oliver ! one downside hotel breakfast . windsor dining room like big school canteen table 8 + . find clean table squeeze diner . dining room busy unorganised . room rate include english breakfast ( £ 4.50 extra want upgrade continental breakfast ) continental breakfast consist orange juice , water , tea coffee , milk bread roll , jam butter choice 2 cereal . english breakfast edible nothing get exit . look cheap hotel close west end Russell Square hotel would adequate . pound spend would recommend Kingsway Hall hotel high standard . 
 Jan 22 2009 	 pretty basic complaint 	 husband late 40 be plan last minute week London . stay Royal National January 7 - 15 , 2009 . hotel part package deal Air Transat Vancouver . read review bit anxious stay hotel . expectation not high reading reiview ! pleasantly surprised . hotel wonderful location near University London British Museum . hotel within easy walk distance Oxford street hour walk tower London , buckingham palace etc . lot walking also buy oyster card subway bus - oyster card definitely cheapest easy way travel London . take train Gatwick King 's cross find easy 10 minute walk pull suitcase hotel . area feel safe Russel tube station minute hotel . store , restaurant etc . within minute walk hotel . hotel big definitely basic room clean quiet . ( would compare motel room North America - basic adequate ) bed clean comfortable , window able open wide , nice . tv not use seem work fine . bathroom clean water pressure tub / shower great . hotel room decent size . people meet work hotel friendly helpful - complaint . hotel big next time would prefer small hotel . hall long basic need paint place , much time spend hallway . continental breakfast fine - nothing special , not bad either . bit boring thing everyday - toast bun variety jam / jelly , 4 kind cereal , include Mueseli , orange grapefruit segment , apple orange juice , coffee , tea hot chocolate . fine . extra 4 pound could get full breakfast , not look exciting ! busy hotel , busy ever wait anything . hotel feel safe people stay seem mostly tourist world - age . high expectation fancy hotel plan spend lot time room , not go hotel . would recommend hotel people want budget hotel good location . think bad thing hotel 's big - would likely try small hotel next time - lot area . 
 Jan 15 2009 	 perfect location 	 , daughter friend book hotel / theatre break choose hotel one night London . ten min walk king cross station one min walk russel square station . four tube stop piccadilly station . Perfect want late night distance central london hotel . staff friendly . room basic clean tele good power shower ! great breadfast morning .. either cook breakfast , cereal , fruit juice . able leave bag close oxford street able go shopping go back hotel bag get two oclock train home . would definitely stay hotel . although basic central , get everything need friendly ! 
 Jan 13 2009 	 good solution 	 wife son stay three night . clean room . nice location . the staff friendly , continental breakfast bad.we shall visit hotel . 
 Jan 10 2009 	 Watch bug 	 let start say Royal National central . first trip London , really appreciate fact close tube station , british museum , fascinating . breakfast adequate , one day treat hot breakfast delicious . room allocate spotless , bed furniture old dilapidate . lady clean room consistently rude offhand bump , berate we last day clear room time , despite we make arrangement management late departure time ( flight leave late evening ) . absolutely bad thing find bed bug bed . time know - wake early hour morning , discover tiny reddish - brown bug bed look similar small tick . take spare blanket cupboard night , assume perhaps tick come blanket . pick tissue flush . big mistake . next couple day bite every single night . begin get suspicious bedbug , want ruin family sightseeing holiday , stuck . soon way home , check bedbug Internet , horror discover bed - even telltale & quot ; breakfast , lunch dinner & quot ; bite mark describe article . well , nightmare . leave luggage garage , wash clothe hot water , spray insecticide luggage , place could wash hot dryer . advice anyone go hotel check mattress get , suspicion bug - report management immediately , preferably evidence hand , insist room change . high volume guest go hotel , sure experience problem nature time time . next time definitely pay well hotel , even mean central location . 
 Jan 8 2009 	 never 	 family 5 , child 24 year 14 , stay 28th December 31st December 2008 . room clean enough extremely basic . breakfast unforgettably bad child still squirm memory . like busy railway station low quality food free try get seat . hotel like backpacker hostel 3 star hotel . would recommend hotel family , however handy central London shopping , theatre etc ... bad hotel experience Europe America particulary cheap . 
 Jan 7 2009 	 Central - perfectly Acceptable Budget Accommodation 	 Royal National large hotel , would not recommend romantic break , purpose base see sight London , perfect . location excellent , walk Covent Garden , take around 20 min , pleasant walk . hotel also around corner Russell Square Underground Station Picadilli Line , 2 stop Covent Garden , around 5 Leicester Square . Royal National also round corner British Museum well worth visit , free & amp ; house amazing collection . egyptian collection amuse 2 boy , aged 12 & amp ; 15.the hotel huge , long queue check ( go fairly quickly , take around 20 minute check ) . room ok , shabby place , end world , bathroom large , clean & amp ; towel etc change daily . downside hotel breakfast , like cattle market & amp ; difficult find somewhere sit together family - family 5 , able eat together one morning . would stay , good value money Central London , take earplug light sleeper & amp ; get breakfast early & amp ; will fine ! 
 Jan 5 2009 	 Great Xmas Break 	 partner book superbreak 3 day xmas deal hotel , link Imperial . read reviews hotel , bit wary , could not happy arrival . room clean plenty room ( although believe depend side hotel room ) . 7th floor , lift always ok . impressed whole xmas break , food great ! location hotel really good , Oxford Street , Covent Gardens , many attraction short walk , bus ride away . 
 Jan 5 2009 	 pleasantly surprised ! 	 read review hotel decide go hotel open mind , book Christmas package . arrive 2.00pm xmas eve . check fine , staff proffessional polite . room clean comfortable look like recently refurbish . we stay xmas eve 29th December . xmas package excellent price . que hot buffet service excellent amount people . food hot buffet lovely half bottle wine per person include . can not comment breakfast ( never make ! ) husband , however , say good . maid service also good . royal national central everywhere London minute tube station . if take another trip London , would hesitate book hotel . 
 Jan 4 2009 	 eat risk ! ! 	 6th New Year trip get Christmas Sales . always stay Royal National , find comfortable . also convienance close Oxford street Tube Post Office etc . also enjoy eat lunch dinner Hotel . last year January 2008 wait coach come take us airport see worker remove rerstaurant furniture . tell go refurbish . big mistake .... first Continental breakfast usual . country also get cheese , ham , hard boild egg . restaurant cold . leave jacket eat . 4 day get fed breakfast opt buy breakfast . choice ok serve pay meal get table food cold . cold fried egg not go well . dinner different . meat cook well , potato hard centre , veggie give enough count cold . group could stand two meal . also must say unlike year restaurant diner . last time open another room diner . but heat kitchen , oh , behind serve counter staff kitchen manager go like cat dog . shout course indian Chinese not know say behaviour allow restaurant . to end really disgust restaurant . price well meal restaurant place warm food hot service good . even recommend slice cold toast place . certianly hope Hotel management read this . Thankyou , Compo 
 Jan 3 2009 	 Location price - quite acceptable hotel ! 	 group 18 ( adult young adult ) stay Royal National Dec 26 , 2008 -jan 2 , 2009 find hotel quite acceptable . group make teacher , former student , relative . worried reading review , pleasantly surprised experience . location : excellent - short distance Russell Square tube station block half British Museum . lot excellent restaurant nearby well internet cafe , small market , pub , shopping mall . room : good - clean , small ( be London not surprised ) . book room two twin bed - bit cramp nothing could not handle . suite bath - shower tub . hot water time - 's something not always find Europe . bring washcloth , though - not come towel ! Maid service timely thorough . problem toilet seat room ( come unhinged ) - call maintenance fix jiffy . tv set not program correctly work not go London watch tv not problem we . breakfast : rate include continental breakfast serve 7 - 10 ( cereal , toast , bagel , jam , coffee , milk , hot chocolate , juice ) . want substantial breakfast , add supplement ( two kind egg , sausage , bacon , oatmeal , tomato , bean ) 4.50 pound . people group eat continental breakfast fine . service : check - in smooth - room key bedroom card ready we . prepare fill information card passport number , home address , etc . concierge desk helpful ready answer question - book tour , special excursion , get theater ticket . staff not helpful other will find everywhere . amenity : several restaurant hotel , currency exchange , ATM machine cash , gift shop , free newspaper concierge desk , couple lounge / pub hotel . this huge hotel always busy ... obviously use many tour . even hustle bustle , find room quiet enough - & quot ; loud & quot ; evening New Year 's Eve even quiet midnight . if want double bed , must ask ! one married couple we get two twin bed - way move together . , sure make clear book room . I ' ve stay comfortable , & quot ; luxurious & quot ; hotels Europe Royal National fine ... want save money lodge could spend way . fit bill . if be look romantic getaway , probably will not fit need . family , single , young adult , even we old traveler satisfied get money . 
 Jan 3 2009 	 bad Hotel stay anywhere world 	 Royal National would bad hotel ever stay . dirty , dirty , dirty , nosiy , noisy , noisy . arrival staff extremely rude room date . would never advise anyone stay hotel . Shame Contiki use homebase London . walk room first time bed make sheet clean bathroom . disappointing consider first exposure London . 
 Dec 26 2008 	 cheap 	 reading review bit worried , fine - family ( 2 adult , 3 kid 13,11,8 ) stay 2 night recent trip capital . twin triple , room en suite clean . tea , coffee telly , continental breakfast include price fine kid £ 4.50 porridge full english - keep we go day ! staff friendly heplful . place central great getting , British Museum short walk away , evening meal can not comment resturant attach - find great little place eat ( 3 min walk ) call Girraffe -happy hour 5 - 7 4 starter , 4 main + child meal + drink = £ 72.00 nice decor great staff . recommend place hotel call denise 's -not good '' waste money . hotel ideal want somewhere stop tourist stuff , not time see everything back London summer definatly stay - never mind plastic teaspoon ! 
 Dec 22 2008 	 relax Folks 's Fine . really . 	 return great two - night London visit teenage son Royal National . long keep mind big , ugly , affordable , tourist class hotel , problem . problem check find twin room ( 4th floor ) . elevator work never crowd . room face inner courtyard quiet . staff courteous enough . not expect early check , not surprised not get one . , however , able leave bag baggage room charge problem . room quite clean -- particularly bath , seem spotless . come prepared toiletry , problem . can not say enough hotel 's location ; literally step Russell Square tube British Museum . able use Piccadilly Line direct Heathrow convenience money - saver . also lot cafe shop close hotel . repeat : tourist class hotel approach manner . take deep breath , relax , save money . will fine . really . 
 Dec 18 2008 	 good stay 	 read bad review hotel be not look forward go . book travel agent tell we would single bed could request double . get staff polite ask we kind room would like . ask double get 1 . room simple clean , u stend long room . leave go noticed lot child school trip get back shocked late run around pj 's . think staff must say something cause never hear thing . breakfast ok staff do not look like work load dirty plate . u people mess get table . tea n coffee HORRIBLE ! that s bad thing . leave glad luggage room charge 50p . bona . think nice clean hotel would booking future tell people book x 
 Dec 9 2008 	 well expect 	 book Royal National read terrible review ( even spring stick bed ) ; fear four scary night ahead . bad seem thing bear mind stay . firstly , large hotel many tourist group ; crowd , queue noise make nervous , place well avoid . secondly , breakfast bread awful indeed ; first morning inspect near food shop ( many close ) buy bread food offer , cheese yogurt . english breakfast pay gbp 4.50 quite ok . room basic clean , quite large comfortable enough ; course , neither furniture wall finish new perfect common hotel range . tv teapot ok , bed also comfortable . convenient niche shelf store luggage purchase . bathroom also clean , functional , pleasant shower ; thing bit dirty shower curtain . many review mention staff rude ; experience agree – ask reduce room heating , technician girl turn less 10 minute solve problem . 5th floor , pub noise probably go high ; neighbour also happen drunkard slam door midnight . also use health club service fine swimming pool ; true , cost GBP 8.00 would small 5 people time early morning crowd . location hotel good indeed ; apart close Russell Square tube ( tend crowd go Heathrow ) also walk St Pancras rail station rail service . 
 Dec 7 2008 	 low price family room 	 low price , center London , near Tube ! Red Bus Station place ( good / bad ) .Pub placeNot clean . terrible breakfast ! 
 Dec 1 2008 	 feel like train station 	 wife stay 4 night book British Air . hotel large . feel train station time . hotel use group tour operator . crowd time day night . elevator slow always full . the room clean clean every day . need paint . hotel offer anything except small soap . tissue . ask shampoo . hair dryer available 20 pound deposit . continental breakfast so - so : toast preserve plus coffee . , feel train station self - service restaurant . however , hotel conveniently locate subway nice area . 
 Nov 25 2008 	 hotel fine 	 hotel fine . stay family quad room brilliant time . book go back next month . ignore moaner stay , great value money . 
 Nov 24 2008 	 royal National 	 read review booking stay royal national , say worried terrible review would understatement . dread go . however enjoyable 3night visit . room clean service everyday . experience noise even though hotel busy , staff helpful courteous . breakfast adequate . budget hotel value money . location hotel bonus central transport closeby . would visit . 
 Nov 24 2008 	 Hotel Hell ...... 	 hotel Hell .... consider stay not . husband stay two hellish night travel around Europe 5 week , fine accommodation department . Royal National deserve 3 star , would surprised would get one . room apalle , dirty , smelly basic not even come close . goo sheet blanket , pin hair floor , third room move we . first room something would not put dog , second leave group drunken teenage keep belt door try break shoulder door . room ' apparently ' renovate room ..... good grief place need condemn . staff not bad seem sympathetic ... think know place hole well . stair contantly rowdy drunken underage teenager obviously pick action ..... kow mean .... really bad . please ever .... never stay , sanity health . 
 Nov 23 2008 	 awful 	 trip London stay hotel 2 night . awful . food terrible , dusty dirty horrible . hotel cover dust , lift horrible fake grass grow side . hotel full foreigner hotel temporary accommodation pay government . find experience eat breakfast next someone never meet could speak . terrible ! room cold throughout night could hear loud drunken people sound police car drafty single glaze window . would never stay . 
 Nov 20 2008 	 like 	 plan 4 day trip London search central expensive hotel stay . get deal & quot ; nice central hotel & quot ; 379 £ portuguese travel agency , see review Royal National get bit scared bad review . we get Reception 3 pm make check - in right away , staff polite helpful . ask quiet room , get double room last floor overlook courtyard . the room clean small . t.v remote , water boiler tea coffee . we find room bit hot remove blanket .We sleep well hear noise . the hotel well locate , next tube ( Russel sq . station ) , near British Museum 10 minute walk Oxford street . at breakfast get bit crowdy cantina style , easily find spot . continental breakfast bad . easily quick snack pret manger tesco express locate front tube station . we dinner one night , do not recomend , find bit overpriced quality . you draw cash ATM machine locate reception hall hotel also use internet pay 1 £ per 15minute . overall thumb , like would probably return . 
 Nov 17 2008 	 never 	 recommend hotel location . it far bad hotel ever stay in . check terrible . 10 trainee fight two pc' . no personality knowledge . Reminded Fawty TowersRoom poorly present . milk go one tea bag coffee . coffee shop- disposable cup ! ! ! ! ! ! ! ! terrible cheap coffeebreakfast cafeteria / refectory BUN fight . thank goodness require eat Restaurant . food look inedibleAte indian , bad overcharged . whole trip spoil terrible hotel 
 Nov 16 2008 	 dog house making 	 want feel be like kennel clean forever , book hotel . 's say would even let dog sleep ( stay matter ! ! ) hotel room like one past week . arrive tiring journey basic hotel . fine thought , London know accommodation centre could pricey , succumb long clean . wrong ! room could refurbish since hotel first build . fit carpet reek decompose carcass ( actually look around bed see one ! ) , furniture must collected scrap heap somewhere bed hair strand . really one complain keep mouth shut listen partner end phone tell couple day . wardrobe hanger catch sight one receptionist duty floor ask bring . return dinner , hanger . report receptionist morning wake nothing bring ask go work . long day 7:30pm , hanger still room call Housekeeping Department hanger within 5mins . follow morning , know nothing do request hand useless receptionist concierge duty , speak one maid floor give room thorough vacuum . fob ok nothing ever happen . still strand hair floor . tea / coffee condiment never replenish last day , mould visible bathroom ceiling linen towel replace everyday even though tell need ( three day not feel need - hotel follow rules eco - tourism ) . Breakfast leave much desire none staff ever show one single smile . sincerely wish take photograph show everyone apart little time , want stereo - type tourist seem trend nowadays . wrong ! ! ! ! 
 Nov 4 2008 	 quite Experience Worth ! 	 know expect want fairly decent room night London , will fine . there thousand guest hotel end sometimes feel like ' ve process conveyor belt , especially breakfast . however , cheap ( get 2 night B & amp ; B Dinner one night rail travel Scotland £ 109 via Thomas Cook High Street shop , pretty good , consider train fare alone would £ 105 ! ! room small , clean big enough . Bathroom clean . tv remote not work , Housekeeper change straight away . we room overlook courtyard 7th floor . radiator jam permanently , leave window open night . mean lot noise reveller 7 floor , holiday , not end world . the bed weird habit slide try sit read watch telly , be slippy castor headboard , , big deal really . and give we twin instead double , figure quite nice room not gamble possibly get downgrade insist double . so , good ? check - in / reception staff professional , polished . breakfast good - get full English include bargain price . one morning one serve woman abrupt rude wife could not understand Carribbean / London accent , otherwise everyone polite enough , queue food ! dinner neighbouring Cafe Jacques part deal . , cafeteria atmosphere , albeit table service , boy , food good ! Bottle house white £ 10 , , much profiteer claw back margin . great location , next Tube . not good hotel ' ve stay , long chalk , get deal , would go back . 
 Nov 2 2008 	 avoid hotel 	 stress strongly enough bad hotel be . my room smell urine . switch room second room look like ceiling fall point tired anything it . the plug not work , be extremely noisy ( hotel 's fault admit ) , breakfast inedible staff bore quite rude . I ' m Londoner , grand scheme thing not problem . however , trip London ruin ! 
 Nov 2 2008 	 do not say 	 stay hotel Russell Square , please do not say , price might good , get pay , pay £ 180.00 2 night family room . room small 1 double 1 singhle bed 1 camp bed , bathroom need good makeover , window need replace front . breakfast ok . would think twice go hotel , hotel need LOt money spend . would like anymore information please email . 
 Oct 29 2008 	 bad ! 	 read terrible review , quite pleasantly surprised hotel . stay 2 night grandson find central location easy access underground good . yes , check could improve terrible queue could not find reservation - however quickly clear lack findable reservation be not issue . the room clean probably quite spacious london . price well expect . bathroom fine shower plently hot water enough power blow bath ! clean daily fresh towel provide . clean good always give we cheerful greeting . quite noisy window open , that s expect choose hotel centre town ? breakfast fine choice toast , roll , cereal , tea , coffee , fruit . could choose pay extra £ 4.50 full cooked breakfast want , fill available . I think view massive turnover hotel - staff friendly effecient . hotel may ritz does'nt ritz price - suit we fine . 
 Oct 25 2008 	 wave goodbye stuff / space / yummy breakfast ... 	 stay part college trip , would dearly like word whoever arrange we stay . disappear item , lack power socket , slidey bed await ... shiny lobby first bit see , not fool thinking rest hotel quality this . once get check room find one plug socket two we , tiny kettle , would never need charge phone anything . male friend room 3 , extra campbed put room , low , definitely nowhere near standard proper bed , leave hardly room move bedroom , still one plug socket ! friend sharing go reception ask could hire ' four gang ' converter make 4 socket , tell go housekeep someone desk rude unhelpful attitude . not , go buy one . other problem include bed huge wheel meaning could not even sit bed read without slide away , bedclothe consist sheet , cover - thing , extremely scratchy blanket , type would expect find bed emergency camp . bed comfy enough , would really appreciate decent duvet . the shower bathroom fix mixer tap one , bathroom perfectly clean enough , would nice handheld - able shower . the free wifi nice - whenever try look e - mail Internet Explorer , AVG anti - virus tell get trojan . AVG deal use Firefox usually , ok . careful use internet Explorer ! breakfast disappointing , poor quality food , bread especially ( actually think roll plastic pick - kid ) , ' toast ' lukewarm bread cold have reach table , hot breakfast ( bacon , egg etc ) £ 4.50 extra not go - not look appetising . bearable thing grapefruit . the major problem encounter mysterious disappearance hoodie another girl 's camera second day . leave clothe bed , come back find night - clothe fling chair hoodie ( sentimental value ) absolutely nowhere . girl trip leave digital camera drawer get back day 's excursion go . no - one else friend themaid access room . I go housekeeping ask hoodie - foreign worker not get ask first - say could take laundry . cross ask laundry do . Friday ( disappear Tuesday ) still find . leave address hope turn accidentally catch bedding . ... please , be look somewhere , look somewhere ! can not believe company college use choose waste money ( considerable amount ) level accommodation . extremely disappoint angry loss value hoodie . oh , milk sachet room water solidify milk bit ! good morning coffee ! 
 Oct 21 2008 	 centrally situate hotel ..... 	 group ten long weekend London . hotel well situate Russell Square . arrive 12.00 tell could not check 2.00 . able leave luggage hotel . arrive back 2.00 foyer pack people try check , must half hour . eventually go room okay , adequate need . look square centre hotel unlike previous Tripadvisor guest noise quite cold outside . place look bit like hospital ! go breakfast 8:45am next morning restaurant full show another place elsewhere hotel . bit like canteen . tea coffee urn . place pack queue fair getting serve . food average . second morning went 07:45am show restaurant lot well . I would stay hotel room basis location good . 
 Oct 19 2008 	 never 	 shoddy , ok location worth money . true not expensive get lot well same . we stand 2 hour waiting check eventually get room horrible . 2 single bed shove together cot corner , 3 spring stick . wall paper come wall , radiator break could not turn make room like sauna . we try leave window open noise much 8 year old sleep uncomfortable cot . there real door bathroom , rail keept either come getting stuck , trap person inside . when complain tell room available already waste half one 2 day hotel decide get holiday . I not expect Ritz pay expect clean basic acceptable souronding . do mention damp wall bathroom . the positive thing say location ok plenty other close . never stay . 
 Oct 16 2008 	 nice value money budget hotel . 	 book hotel family ( trple room ) online , BAholidays . read various review tripadvisor , sure expect . however , pleasantly surprised hotel , 3 * property budget hotel , exactly expect price pay . early check - in , request book online , available arrive around 9 am room without delay . room old , clean functional . the early review warn long queue breakfast , non - existent . even weekend , hotel crowd ( capacity approx . 1200 room ) , manage crowd two restaurant - north south wing , well hardly wait . the staff level smile , courteous helpful . it centrally locate tube stn , bus stop , bank , post office , shop restaurant within short walking distance . having say , one observation - privately run coffee shop premise keep open beyond 7pm . I would use hotel recommend other , want budget holiday Central London . 
 Oct 15 2008 	 never 	 ' ve stay 6 night hotel September ( 22 - 28 ) Extremaly noisy ! bed awful ! want place rest , forget Royal National . nevertheless room not tiny like hotel Europe shower good ! hotel nice location indeed part staff friendly . 
 Oct 13 2008 	 Noisy Hotel lot sleep 	 book hotel five day break . initial room third floor overlook courtyard outside table pub . noise incredible lot shout people within pub show respect resident . cause we get sleep complain ask another room move around midnight . interestingly find easy move we rather stop noise therefore put profit guest . half room hotel overlook courtyard pub situate busy . put another room fifth floor hotel overlook main road . noisy nearly bad pub side . waken several time night week people return hotel early hour make lot noise slam door . room shabby date decor breakfast like school dinner . management hotel pull sock 
 oct 13 2008 	 Basic Hotel Great Location 	 return weekend break London . Stayed Royal National Hotel honest not know expect due review already submit . arrive 2 pm yes , huge queue people waiting check , not wait 10 minute due number receptionist . hotel huge , not expect personal service , however concierge staff extremely helpful ask direction place etc . room basic quite date ( blue / orange carpet , orange bedspread ) , clean , adequate size bathroom absolutely fine . location hotel excellent . major attraction within 15 minute walk . breakfast bit joke . due number guest , restaurant resemble canteen . end day , visit London break , go hotel much , overall would recommend hotel anybody want clean , basic , cheap centrally locate hotel . 
 Oct 11 2008 	 awful ! ! 	 conference book & quot ; hotel & quot ; day , naturally think good idea book room aswell - BIG MISTAKE ! moment arrive reception clumsily - manage check - out twelve hour later , place feel like many hotel read Eastern Germany - before fall Berlin wall . check - in , group scruffy teenager composite & quot ; uniform & quot ; mill behind desk , seemingly disintereste . when finally grab attention one , not think look smile whole process . then , strange thing - payment ADVANCE please ! ( negotiation ) .When arrive room , understand why - dingy draughty , ill - fitting old 1970 's aluminium window ( single - glaze ! ) .The noise square intrusive , group drunken people open drinking area street level begin recount life - story within earshot all . the tiny en - suite bathroom smell damp - and ! prepare turn night , hear drip - drip leak ceiling bath . I well accommodation student 25 year ago ! hard pillow lack even basic creature comfort & quot ; hotel & quot ; make fitful night sleep . breakfast follow morning joke undigestible - I suspect prison food well ! really AWFUL hotel - it seem cater mainly foreign coach party arrive late night depart small hour morning ( noisily , might add ! ) .what impression must get capital ! check hurridly , well - before time next day , vow never return DUMP ! 
 Oct 10 2008 	 okay 	 stay @ hotel couple day take contiki tour . not much say hotel . room clean clean everyday . british museum 15 min walk away . russell sqaure station 5 mintue away . my voltage converter blow , hotel loan voltage converter couple day . complain noise level since pub downstair get pretty noisy night 
 oct 9 2008 	 Savvy senior 	 senior age 73 76 , stay Royal National 12 time . aside rowdy soccer player Wales one time , enjoy . room small basic , clean comfortable . continental breakfast acceptable . get Russell Tube Station five minute , West end theatre fifteen minute . last time son , book triple room . get breakfast , already get theatre ticket night . enjoyed light big Christmas tree Trafalgar Square lunc ; heon concert St. Martin - in - the - Fields . take tube , possible walk Royal National theatre British Museum . go London , spend little time room , find Royal National great bargain . 
 Sep 23 2008 	 frill accomodation 	 stay Royal National last weekend two child . book hotel internet company call Alpha rooms- offer discount hotel , unfortunately arrive hotel realise would save £ 35.00 book directly hotel . room shabby , say bed comfortable although room overlook road , not noisy , although window close , might case summer . go breakfast morning really look forward english breakfast , really disappointed hover around table wait one free , like canteen environment hotel setting . eventually find table share another family stand long queue hot breakfast tell unless pay £ 4.00 entitle continental breakfast , consist cold toast pile tray , jam , cereal tin pineapple hard roll . plus side hotel proximity tube . feel want luxury want place sleep frill place you- like hostel hotel ! 
 Sep 23 2008 	 want sleep not stay 	 still intent stay take note follow : -do not turn room 2 pm - everyone turn away unhelpful reception staff - 2 pm everyone turn hell let loose everyone try book - organisationour first room first floor - look fine night realise reception constant traffic pub overspill tables street make constant noise - television turn order hear - window hotel single glaze - sound proof - pub noise music go 3amthe next day go reception give another room staff ( apology noise sleep ) . time room 4th floor another part hotel - pub noise constant traffic day night.ps - not bother breakfast either - tea , coffee luke warm , toast hardly touch toaster , fresh orange hard . see people pay extra cook english breakfast leave tell something ? experience repeat - like holiday wake refresh ready start day - thing brilliant london ! ! ! ! ! ! 
 Sep 19 2008 	 Shabby Hotel 	 travel London 31st wedding anniversary taking show ( Mama Mia , ( fantastic ) ) stay overnight Royal National Hotel London , be central , large could go wrong ? mistake , book least one month prior arrival check box request early check - in ( normal check - in 2.00pm ) , , arrive 11.00am approach busy reception desk . young lady receptionist look reservation form say & quot ; come back two & quot ; , say request early check - in , & quot ; come back two & quot ; reply , ok , tired hungry ventured hotel restaurant , canteen like bad . 2.00pm go reception check - in , send third floor room two single bed different area room , counter top bathroom break whole room shabby , back reception desk went request another room . time different receptionist send we another floor double bedded room move luggage ( help course hotel ) new room , wife sit bed sit bad matress could ever imagine , spring stick almost matress cover , back reception go demand speak Manager , young man answer without move head paper look , continue request another bedroom inform condition second room give , still speak without look ( unbeliveable ) .Again move another twin bed room time fith floor , also move luggage without help offer help . really tired accepted room . we live Spain travel extensively Spain , well Middle East , Caribbean know & quot ; get pay & quot ; , hotel central London claim big hotel London well , & quot ; say least & quot ; disgust general treatment condition room we , british citizen , & quot ; way treat tourist capital city & quot ; . complain hotel BA recommend hotel , reply hotel , well , shabby . tell breakfast arrangement ? not will say not stay Royal National Hotel . 
 Sep 14 2008 	 well thought 	 father recently travel London . book Royal National read review make nervous upcoming stay . well read lot review much different experience . hotel room small compare north american standard come expect , two bed , clean washroom , clean towel every day . staff pleasant accomodate . issue long night flight not able check room 2:00 p.m . check line horrible long encounter number pushy traveller . negative experience hotel whole week . excellent service adjoin London Pub , Lobby bar . porter helpful numerous question . breakfast little something desire , first day , know big lunch . would say be go London much sight see possible look reasonably price hotel stay one . be look north american large hotel ammenitie need , well look somewhere else . ever return London , would consider stay . 
