Wonderful 	 book Chancellor first trip San Francisco , base price location trip advisor review . subsequent conversation people would staying , discover 2 3 people know previously stay rave hotel really look forward stay . disappointed . stay 7 night twin room 14th floor . email hotel day arrival request high floor possible – receive prompt personable reply Kevin , Reservations Manager . other say , room small , ' need lot space , anyway spend little time room . closet big see suitcase take space . bathroom also small , sufficient . similar sized one home ' perfectly adequate . free wireless internet big bonus often pay expensive hotel . work absolutely fine . internet terminal Reception also great service , book something online need printer . staff deal hotel super nice efficient . issue safe room go ' sleep ' twice report reception fix less 10 minute occasion . lady tour desk give great recommendation restaurant . although tell we Alcatraz night tour book online 3 month early ' exist send we bit spin , phone call company quickly sort fact run ! ! eat breakfast hotel morning lovely restaurant staff great . cookie reception delicious , wish start eat early week ! ! location hotel absolutely fantastic one cable car run right outside door . love San Francisco certainly go back sometime future . definitely stay Chancellor Hotel tell anyone know ' go San Francisco book hotel . 
 Superb ... everything ! ! 	 actually boyfriend 's favourite hotel stay whole 3 week holiday ! honest , not like San Francisco much thrilled hotel . as everyone say , right middle everything need - shopping , restaturant , BART walk anywhere . end walk hotel , alllllll way hilly road , turn leave walk bit really zig - zag windy street , allllllll way Fisherman 's Wharf . long warm , quick cable car ride back comfy bed hop rest exhausted body . I read review beforehand noticed room say quite small . agree not huge room , would not say be small . 2 we fair bit luggage comfortable . decor room beautiful add old - fashioned , classy feeling place . lady bar friendly go drink , staff restaurant lunch departure day . little kiosk / desk able get help organise shuttle back airport , buy ticket cable car also postcard stamp send . front desk send postcard nice touch they . as everyone else , would definately recommend stay . free tea , coffee cookie come handy ! 
 superb clean hotel amazing location bag character 	 friend stay research heap hotel San Fran . want somewhere central four day character soul . step Chancellor Hotel complete superb service favourable rate . after send enquiry room , helpful chap call Kevin get straight back offer room period need reserve . keen make sure thing ok end call chat pleasure , even nice phone . offer give we room top face square ; could ask for . as stay , well good email phone experience . clean hotel , amazing location square , helpful staff ( especially lovely lady run bar ) room be right . ' ve read people think room small little run . nonsense really hotel real , proper San Fran hotel 's template chain . super clean , everything need perfect stay San Fran . earth folk want big room ? party ? short have whole heartedly recommene stay . ' ve see lot hotel travel one remember right reason . would stay recommened guess true test whether be good . 
 Honeymoon revisit 	 34 year ago stay 10 day Chancellor honeymoon . property update since lose 's charm . advise General Manager anniversary first time back , greet nice gift bottle sparkle wine room arrival . room small , neat recently refurbish . luque bar hoot night . Hotel Union Square right cable car line , make convenient Fisherman 's wharf well multitude nearby restaurant , theater , shopping attraction . rate reasonable , staff friendly accommodate . use 5 * hotel may find hotel less expectation , simply stature , stay 5 * accommodation frequently would definitely stay boutique hotel . 
 step door everything 	 fab location want buzz zone San Francisco . staff friendly + helped play along ' surprise ' visit . room fine 3 night + suit we fine - may small long stay . walk everywhere - shop , restaurant , BART , taxis door want . 14th floor + hear city noise night window open bot bother we . would stay future visit . 
 self favour stay 	 return home long holiday gather thought would like post review Chancellor Hotel Union Square San FranciscoI would like say can not go wrong staying , 5 star Chancellorwe stay begin August , room decent size right two we , large wardrobe personnel safe inside , comfortable queen bed , nice clean room pleasant decor , table chair window , even view Union square nice indeed Fan ceiling good especially get hot night , enough keep cool not like sound city , close window nice quitethe bath tub nice deep one , relax fall asleep , wonderful day Segway tour walk around San Francisco good thatand location right middle city , nice place eat next door around corner , Staff friendly helpful time good , sense humourso want good hotel stay , central city cable car front door , right good shopping outlet , nice eating , drink etc rate will not break bank place , stay , see self , Best Wes K & amp ; K 
 Mar 26 2009 	 Fantastic hotel - great value money 	 Hotel totally exceed expectation - fantastic value money . room spacious decorate high standard . hotel staff helpful . location ideal , right next main shopping district good transport link . be fly San Francisco Airport ( SFO ) around $ 5 take BART train directly Powell St. station , walk around 4 min - much cheap taxi , probably lot quick . would definitely recommend stay ' m ever town . 
 Mar 24 2009 	 Perfect Stay Chancellor Hotel ! 	 Chancellor Hotel provide perfect four - night / five - day stay we ! charm & amp ; feature establish , small hotel . standard room ( # 601 ) comfortable fresh , updated & amp ; contemporary decor . room face Powell Street . sound - proof good & amp ; enjoy peaceful sleep . service hotel staff excellent . location near Union Square Powell - Hyde Street cable car line convenient shop , restaurant & amp ; transportation link . there thing note Chancellor Hotel : & gt ; arrive San Francisco early - morning flight & amp ; hotel able honor request early check - in ! invite sit bar area & amp ; cup coffee wait short time room ready . & gt ; celebrate 25th wedding anniversary . bottle sparkle white wine , two champagne glass & amp ; card hotel wait we room arrive ! lovely ! & gt ; umbrella available room use . & gt ; hotel provide number pillow choice comfortable sleep ! small gesture make big impact ! appreciative ! service , comfort , location & amp ; value good reason stay Chancellor Hotel . return Chancellor next visit San Francisco ! 
 Mar 23 2009 	 Chancellor Hotel- Home away home ! 	 absolute pleasure stay Chancellor March 15 19th . initially book hotel base rave review read Trip Advisor . hotel ( restaurant ! ) live positive review many way . moment register , feel like stay somewhere special . room adorable , fresh , clean fabulous view Union Square . location fantastic sound cable car go treat . anything though , people Chancellor make experience delightful . bellhop bring bag affable guy name Matt make laugh . stay much impersonal hotel night really need giggle ! : ) two morning , eat hotel restaurant serve extremely kind gentleman . wish could remember name ! Wednesday Thursday morning really miss big smile friendliness . food scrumptious ! ! ! banana pancakes withe praline syrup good meal entire trip ! Lawrence bellhop sweetheart well . tell would post review Trip Advisor mention cute . : ) also kind electrician work hotel lovely conversation Ferry Building . travel alone mean much surround many wonderful people . bottle wine , 2 glass picture frame lovely gift . thank ! travel often stay many hotel . time Chancellor delightful set new bar hotel try beat . believe , see happen time soon . time San Francisco phenomenal stay Chancellor Hotel perfect ! ! ! : ) Dawn Hattie : ) 
 Mar 21 2009 	 great location good value price . 	 hotel clean , nicely update staff friendly efficient . generally , travel , hotel need good place sleep . long window close , hear little noise street . tend find get warm night without window open , use ceiling fan cool we , work fine . room small ( issue we ) , recent renovation make feel clean , modern fresh . complaint rare burger room service , ask well do internet tv slow check status flight email . would stop stay however . 
 Mar 20 2009 	 pretty damn good 	 stay review TA . worth . great location room bad . decent size . 1 night would stay 
 Mar 20 2009 	 great hotel ! 	 let us see ... great locationfriendly helpful staffnice - sized room comfortable bed linen flat screen TVClean bathroom huge tubreasonable ratesrestaurant breakfast lunch good club sandwich everwhat say ? ? ? 
 Mar 12 2009 	 Best Location Value . love stay ... 	 Thanks Tripadvisor , decide stay hotel many review . choose Diva , glad . LOCATION Price FANTASTIC . go San Fran first time , want handy place stay . Chancellor Hotel ! ! walk , 's Cable car + shopping , bus stop , restaurant entertainment . one good value money hotel ever stay in . the hotel beautiful charming . clean friendly staff . love . highly recommend definately stay . 
 Mar 10 2009 	 Outstanding hotel 	 return honeymoon spend first 8 night Chancellor . get warm friendly greeting staff helpful stay . room gorgeous . lovely decor fantastic view Union Square . location beat . lovely bottle champagne gift room lovely touch . really fault hotel . brilliant stay . love little touch like sweet room , tea coffee always available along yummy cookie reception . look great hotel convenient location San Francisco not cost earth , can not go wrong hotel . 
 Mar 5 2009 	 nice old hotel attention detail 	 yes , old hotel room small , heater sometimes work , sometimes not . hotel well maintain attentive staff . room cozy , clean , furnish good bonus get big walk - in closet nice hide luggage there . we use & quot ; parking package & quot ; big relief SF . be come car 's brainer . Valet service ( $ 6 extra ) convenient , say take 20 - 30 minute bring car hotel reality usually take 10 - 15.hotel pretty noisy due old Union square . 11th floor probably high floor quiet . location superb , especially shopper . Alreay book next stay . 
 Mar 1 2009 	 totally exceed expectation 	 second visit San Francisco first time stay hotel . attend Web2.0 Expo Moscone Center look decent hotel ( within low budget ) locate convenient place within walking distance Moscone Center . base review TripAdvisor find one not much expectation much cheap other area . turn great choice . US $ 100 per night , tastefully - decorate , spacious single room huge twin bed , walk - in closet , free internet access ... location unbeatable , situated right city centre Union Square . as solo female traveler , tidiness hygiene room ( especially bathroom ) huge importance . would highly recommend female traveler hotel worthy least 4 - star standard every aspect . after 3 - night stay , check leave Silicon Valley ( next stop ) follow day realize leave passport , credit card cash safe room ! immediately call hotel staff superb - tell someone else already check room safe would unlocked presence two senior staff guest check . return three day later keep stuff safe custody ( carefully wrap ) arrange handed person even though go 5 a.m. morning catch next flight . staff extremely helpful friendly , could not remember name would always grateful service . 
 Feb 28 2009 	 great location 	 visit San Francisco , stay Chancellor Hotel 2 night . can not get well location . room adequate , big , cosy . service fine . upon departure forgot stuff drawer , promptly Fedex'ed next stop day call . 
 Feb 26 2009 	 great location may want $ far room go . 	 step outside Chancellor hop cable car 15 stride less . great location connection Mission St. BART , trolley bus possible tourist site . shop anyone might want / need ? well within walking distance Union Square hotel . sad sight street people pan handle every corner . well many restaurant , store , museum . one heart go need . job choice . Chancellor nice enough . room adequate size one , two married . kind maintain paint hiding age building ; think NYC tenement . AC ever need . one radiator heat leave glad could shut window night ; much warmth ol ' girl . desk / staff kind helpful . ever make return trip , would probably risk look choice far hotel . many area . @ $ 85.00 per night , good deal . shop around enjoy GREAT city ! 
 Feb 26 2009 	 good value price ! 	 read several review right hotel we , Chancellor Hotel really stand . enjoy read blog General Mgr ( Wes Tyler ) write hotel 's website , kinda feel like already know personally ! love way respond back negative review . use work Hotel Industry , know lot people sometimes expect much , plain ignorant . already know expect room small , hotel 's age size , fine . hotel lot character , regardless . staff friendly ( bellman , front desk agent , housekeeper ) also choose hotel base fact parking package , pay $ 15 p/ night room park garage around corner , really worth . hotel charge $ 35 $ 55 p/ night parking , , throw $ $ $ window ! - CJ 
 Feb 24 2009 	 Extraordinary Customer Service 	 Mr. Tyler , Chancellor 's GM , go beyond accomodate we visit San Francisco . level customer service provide Chancellor Hotel exemplary surpass kindness . much appreciation ! JaneZionsville , 
 Feb 21 2009 	 great service charm ! 	 meet Rory upon check Chancellor . everyone else expect - friendly , efficient , attentive ! park around corner time walk back room ready . surprised gift room staff celebrate anniversary - champagne , glass , chocolate , gift wrap picture frame Chancellor ! also please size room ( especially city ) , small view Union Square , comfortable king size bed , cleanliness ! offer 12 different type pillow ( yes , 12 ! ) almost many different in - room way relax ( foot bath , massage chair , etc .... ) . room quiet even though lot people . small bar downstairs perfect night cap end long day . question answer simple answer . highlighted map , personal knowledge suggestion give appreciate . hotel old - school charm staff make amenity new hotel would . centrally locate cable car pick across street safe , 30 - minute walk Wharf . would highly recommend hotel everyone ! 
 Feb 15 2009 	 Perfect Hotel Visitors San Francisco 	 ' ve read review , already know location hotel can not beat . add fact be relatively economical , package can not match . if be summer , ask room one top floor ( 14th 15th floor ) , ideally overlook Union Square ( 14 1503 05 ) , open window , street noise will not loud . start day breakfast two door hotel Sears ( world famous silver dollar pancake ) get , end day drink hotel bar Rex , knowledgeable convivial bartender . not forget grab fresh cookie bag popcorn late - night snack room . the concierge / travel desk helpful recommend terrific Mandarin restaurant , well book car day tour Muir Woods . free , high - speed wireless room another plus . 
 Feb 15 2009 	 great value location 	 hotel great value Union Square . book well advance , later check rate note drop . email hotel honour low rate hassle all . due flight delay arrive exhausted 2 am . check could well friendly . slow somewhat rude guest ahead line , check clerk manage acknowledge , make feel welcome get quickly could still pay attention person ahead . check quick easy . my room small compare modern chain hotel really ' issue . enjoy attention detail bed , modern furnishing , safe , flat screen tv , huge closet , lot big fluffy towel quality bathroom amenity . thing ' expect hotel rating . bed comfy . room spotless . in - room wifi work well every time log on . they variety pillow type try . in - room , order ( free ) . bring pillow travel , fun addition room experience . coffee , tea cookie lobby nice touch . potential guest remember fancy hotel , exceed expectation 3 * hotel . would hesitate stay , recommend friend . 
 Feb 12 2009 	 another perfect stay Chancellor ! ! 	 stay second time October/08 . book directly hotel get two adjoining room , clean comfortable . first thing order pillow pillow menu use home due dh 's feather allergy ... treat ! location perfect seeing sight , cable car right outside door . parking valet work well we . go anywhere else ? 
 Feb 12 2009 	 wonderful cosy hotel 	 family 4 ( 2 adult & amp ; 2 child age 11 & amp ; 6 ) stay Chancellor Hotel 2 day December 2008 & amp ; another 2 day January 2009 . read reviews hotel TripAdvisor impress . hotel exactly everyone state . clean , excellent location cosy ! hotel recommend 2 occupant per room strongly agree . request interconnect room provide Queen size bed room 2 single bed kid . 12th floor room 1200 & amp ; 1201 view Macy's . the staff hotel incredible . hospitable willing anything . day fresh cookie eat yummy . eat breakfast Sear 's Fine Foods next door one morning ok . would not say anything special . street corner Sutter Powell Sts Lori 's Diner , old style 50 's diner complete old fashioned car juke box . food really good service OK . eat breakfast dinner - 's worth try . the hotel locate 1 block Union Square find Macy 's . top floor Macy 's Cheesecake Factory serve amazing meal & amp ; cheesecakes delicious ! ! Boudin Bakery various location , one street level Macy 's man 's store , another Fisherman 's Wharf . must try clam chowder curry soup sour dough roll . also enjoy lunch special half sour dough baguette soup salad . so many thing see San Francisco , make sure comfortable walking shoe . 
 Feb 11 2009 	 great location great price 	 husband recently 2 - night stay Chancellor part long weekend . hotel serious bargain , locate Union Square near ton restaurant shop . room not huge certainly big enough , hotel clean pleasant . not love restaurant breakfast , head block Lori 's diner well one . chancellor well worth money . 
 Feb 6 2009 	 great location 	 stay Chancellor San Francisco part Honeymoon USA . arrive room ( lovely , comfortable spacious ) hotel leave we bottle bubbly gift picture frame - think lovely touch - esp none hotel do anything like acknowledge honeymoon . location perfect - right next cable car stop atmosphere around Union Square evening great . bellboy bar man particular helpful friendly . could stay chat night ! hotel also provide tea , coffee lobby area ( though unfortunately find last night ) even popcorn Saturday night . would definitely recommend hotel anyone - nice busy & amp ; atmospheric part San Francisco still quiet peaceful inside . 
 Feb 2 2009 	 Location location location ! 	 location , Union Square , ideal . 's , twin - bed room spacious well - appoint . staff , desk clerk barman ( woman ) housekeeper courteous helpful . endless supply tea , coffee , cookie , apple lobby treat . rate economical quality service receive . 
 Jan 28 2009 	 Perfect ! 	 honeymoon pleasantly surprised . start welcome gift champagne , glass wooden picture frame . location safe seriously right cable car stop . hotel also close great restaurant like Sears ( breakfast ) Uncle Vito 's ( Lunch / Dinner ) . hotel respectful privacy . left & quot ; Disturb & quot ; sign go day skip room cleaning . come back polite note door say acknowledge sign would happy bring we fresh towel would like . thing would warn elderly disabled get tub may difficult . tub set much high . complimentary coffee , tea cookie nice addition stay . can not beat price location hotel . recommend stay . 
 Jan 22 2009 	 classy gem 	 Chancellor classy reasonably price gem : superb location ; friendly , helpful staff ; comfortable room ( other comment room small -- adequate large several ' ve stay Europe ) . Pillow Library great , especially since prefer pillow , rarely standard issue . nice touch : complimentary coffee , cookie , apple , newspaper ( include New York Times ) . 
 Jan 19 2009 	 great stay SF 	 plan suprise trip San Fran Pheonix boyfriend . choose Chancellor price , location , review fact manager respond negative review site . figure would reflect hotel staff . love Chancellor ! room size slightly small , SF fine we . bed comfy . location great although rental car , city convienient walk everywhere . valet dollar day , HIGHLY RECOMENDED . do not worry get car crazy city ! would call 20 min early ( breakfast ) car would wait right front . go north Muir Woods , absolutely beutiful , highly recomende . also travel south pebble beach round golf . bathroom amnetie nice , steal rubber ducky room little souveni . reason I m give four star service last day leave airport . car bring front .. bell boy helpful arrive watch drag luggage ( inluding large golf bag carrier ) rental car . expect help female ! unfortunate , overall hotel great place would stay . 
 Jan 16 2009 	 Second stay great first 	 stay 2 night holiday visit son San Francisco . request high view Union Square exactly get . hotel great , quaint terrific staff . yes old part charm . keep great shape problem whatsoever . not hear noise street . this second stay two year . last time request quiet room room back hotel . quiet . the location great plan come back often . 
 Jan 15 2009 	 Chancellor - 5 star experience 	 second time ' ve stay Chancellor , could not happy traveler . the hotel ideally situate corner Union Square ; service throughout hotel splendid staff polite helpful . parking breeze city parking usually pain . San Francisco one attractive city world return Chancellor like return familiarity home away home . cozy , historic hotel perfect stepping place sightseeing , shopping , theatre , gallery great start experience warmth magic town . 
 Jan 15 2009 	 Fab location 	 love location hotel , going stay San Fran , Union Square place , surround shop restaurant right cable car easy get around . the staff really friendly helpful , book honeymoon last minute Thailand fall due trouble , go flow booking hotel require , spend lot time computer . Breakfast delicious , massive portion , though cheap , none San Fran ! room ok , nothing special main really . 
 Jan 13 2009 	 wonderful experience Chancelor Hotel 	 I ve many hotel far good stay yet= ] .I love location everything near . I enjoy experience Chancellor Hotel friendly helpful employee ..... GREAT TEAM ! clean organized ( love comfy bed ) would highly recommend place anyone . 
 Jan 13 2009 	 Love Chancellor Hotel 	 stay Chancellor night absolutely love . hotel clean staff nice helpful . perfectly locate Union Square . see trolley drive get anywhere need go . would certainly recommend Chancellor Hotel ! 
 Jan 12 2009 	 great hotel Union Square 	 live San Francisco 11 year ( 25 year ago ) . miss three distinctive sound city , foghorn , bark seal clang cable car . past holiday season spend 3 lovely night Chancellor Hotel friend . moment wife arrive meet friendly , attentive staff check - in breeze . room queen size bed choice different pillow , safe , flat screen tv , wireless internet , large walk - in closet , nice bathroom plenty towel toiletry include rubber duck bath ( nice touch ) . room quiet comfortable night could hear sound clang cable car . can not wait return ! 
 Jan 12 2009 	 fantastic hotel great service ideal location - love ! 	 stay Chancellor 3 night December 2008 love time hotel ! book Trailfinders not exact idea cost stay , seem great value perfect location . fab view union square room 14th floor - obviously within easy reach , fisherman 's wharf ( long - ish walk , plenty public transport option ) main san francisco sight , shop restaurant . plus handy walgreen pharmacy starbuck practically next door.we arrive hotel long trans - atlantic journey unpleasant immigration experience find staff incredibly welcome . Nate ( think ) check we feel acknowledge remember throughout stay , lovely touch.my husband email hotel advance advise would celebrate first wedding anniversary touch gift wait us room . wish happy anniversary check check simple , yet lovely touch.really not want mention negative really love hotel , little warning ... might wait elevator lucky enough get room view top hotel ! ! sure previous heating issue room lovely cosy - ceiling fan time ! also love walk - in wardrobe / closet properly sized bath ( not tend find many US ! ) .thank chancellor ! 
 Jan 10 2009 	 Excellent Location 	 hotel locate right Union Square easy access everywhere . the room small cozy clean . very pleasant experience . good deal get parking include . would stay . 
 Jan 7 2009 	 simply good 	 husband pleasure stay Chancellor 4 night begin December love it . this second time stay , break three year not know would still good , even well ! ! spotlessly clean , comfortable bed everywhere stay whilst six week vacation , good spot right union square , well efficient staff encounter . this , sure General Manager Mr Wes Tyler , pleasure meeting visit . care hotel 's reputation show every aspect run hotel . Breakfast Luques restaurant faultless every morning , staff friendly efficient , especially Yesmie ( hope name spelt ) probably efficient wait person ever encounter . Susan tour desk , believe 35 year , know everything know SF , worth pick brain information . all , , wonderful time Chancellor plan go back eighteen month . hotel make break holiday , one certainly make . husband keep say whilst & quot ; would stay anywhere else & quot ; Congratulations Mr Tyler staff job well do ! ! 
 Jan 7 2009 	 super little hotel super spot 	 husband stay 3 night December return NZ.This hotel fabulous location- right Union Square tram go right past door ! room bit small side everything need clean . the staff front desk helpful lady organise taxi take we airport . we would definitely stay . border next door Walgreens block . hotel restaurant good breakfast . I recommend hire bike Fisherman 's Wharf cycle Golden Gate bridge Sausalito- get ferry back past Alcatraz ! also great little bistro find Powell - Hyde tram line call 1550 Hyde Hyde St. www.1550hyde.com . delicious food nice atmosphere . 
 Dec 17 2008 	 great hotel perfect location 	 stay three night Chancellor mid - december , perfect we . location excellent , hotel staff extremely helpful room advertise . the room small U.S. standard , large many room comparable quality stay Europe . room funishe nicely keep clean staff . anyone read review site hotel 's website surprise small size room , seem go way make sure people understand type hotel be . overall , find everyone Chancellor nice hotel excellent value . stay . 
 Dec 16 2008 	 Rough Start ... recover 	 everything could say say ... hotel good value location . the management take great pain make pleasant spite age . the heating system poor , uneven loud . room portable heater get temperature up . the manager aggressively address problem . 
 Dec 16 2008 	 Nice Hotel 	 stay september honeymoon San Francisco first stop , day know want something central nessecarily luxurious get . room pretty small well keep clean , location right union square plenty shop etc tourist may find spending quite bit time around fisherman wharf area . I little annoyed mention congratulation honeymoon book especially reviewer mention get champagne etc special occaison , anyway not big deal little thing make difference . overall want hotel central , clean decent price , not think go wrong place . 
 Dec 15 2008 	 Lovely Hotel . Great Location 	 stay part honeymoon trip California . hotel central , Union Square door Westin St. Francis . the room small everything need include massive walk wardrobe . bathroom basic job need do . we order room service breakfast morning reasonably price tasty . hotel also free internet pc guest use . would definitely return ! 
 Dec 15 2008 	 good value Chancellor 	 San Francisco conference lovely stay Chancellor . female travel alone feel perfectly safe hotel . room plush tastefully decorate proper duvet , tv , little bowl sweet etc . bathroom tiny nice good , hot shower . free tea coffee - free wifi room - nice touch . good thing hotel location - right Union Square . not eat restaurant ( be worth queue famous Dottie 's true blue cafe round corner brunch ! ) , can not comment . 
 Dec 14 2008 	 Comfy Bed Cozy Room 	 great value . room small , beautifully appoint , great , comfy bed lot little extra make stay really nice . example , pillow option available upon request ( satin one keep hair - do nice , one , body pillow , knee pillow , etc . ) . bathroom tiny , tub deep , would make nice bath . also , old building ( thus small room ) , window open -- great bonus sleeper like fresh air . lastly , location convenient : Union Square literally right side front door ; famous Sears breakfast place next door ( be crowd , hotel 's restaurant serve great breakfast ) ; public transportation , include cable car step away . would definitely return recommend without reservation . room back hotel quiet . room front may noisy , ask desk . 
 Dec 14 2008 	 well expect 	 family book stay Chancellor 800 number , base favorable rating Trip Advisor . helpful young man give we internet rate , lock room rate , adjoining room , queen next 2 twin high floor . disappointed . can not beat location , note reviewer , historic SF hotel elevator , room bathroom cozy . hotel spotlessly clean , well maintain , recent renovation wonder . tastefully do . nice linen furnishing . far well many overpriced SF hotel stay . back . one good deal room rate cost parking include request . add $ 15 room rate one room , site block away excellent value privilege . sorry will not find fancy monogrammed robe room , portable heater , umbrella use event weather change . next door Borders Books , 24 hour Walgreens last minute need . say hotel spotlessly clean well maintain ! enjoy stay . 
 Dec 13 2008 	 overall okay experience minor issue 	 book hotel three night via Expedia $ 500 canadian . good : - free wireless Internet- Excellent location - less block Union Square- Comfortable bed great pillow & quot ; menu & quot ; - rubber ducky bathroom - hilarious ! - large walk - in closetBad / ugly : - room quite cold ( San Francisco go bit cold spell ) central heating system reliable . thankfully electric portable oil heater room.- coffee tea room- Bathroom looked date tub chip discolored- Ironing Board cover extremely discolor - afraid iron shirt case stain would transfer cover ! 
 Dec 11 2008 	 Perfect place 	 live San Francisco many year want well - price downtown location . request receive upper floor room view . high floor view Union Square . perfect . room small clean , large closet , desk , sit area regular sized bathroom . staff terrific , location unbeatable would definitely stay next visit . fall asleep wake wonderful sound cable car bell . home ! know city beat price location . highly recommend . 
 Dec 9 2008 	 Place stay 	 aunt desperate room previous accommodation fall . approach number hotel happy get Chancellor delight obtain room everything need staff kind helpful . the central location great access everything easy . I certainly book Chancellor visit San Francisco see family . JaniferAustralia 
 Dec 4 2008 	 great location rate 	 great hotel , close lot good part town brilliant people love shopping 's tram line outside touristy stuff : ) rate excellent parking add time booking . 
 Nov 29 2008 	 great choice 	 husband stay 4 night end 3 month rtw trip . research extensively trip advisor choose hotel base review plus hotel 's website . TA book we , cheap rate could , positive begin . last trip San Francisco stay Fisherman 's Wharf , want stay Union Square time . we extremely please everything Chancellor . room size fine , especially spend time Europe , room small . bathroom may small , requisite bath ( nice deep one ) , shower , washbasin , toilet shelf toiletry , need ? mention rubber ducky toiletry . enquire whether ducky complimentary - , give another ( well ) one well . body lotion lovely , also shampoo , bath salt , shower cap , cotton ball cotton bud . bed extremely comfortable pillow fine . avail pillow menu , enough fussy sleeper . , tv change flatscreen . plenty space wardrobe hang thing . leave one suitcase stand , one room . also room safe , used , iron ironing board , not use umbrella , thankfully , not need . we avail tea coffee ( occasional cookie ) foyer , prefer able make room . however , well hotel stay Europe , none free tea coffee , room elsewhere . we eat breakfast hotel twice , find tasty filling , cheap place . actually time holiday breakfast provide , find additional meal expense have rather ( australian dollar drop dramatically value away , everything become much expensive 'd anticipate ) .Our room 3rd floor front hotel , noisy window open . however , want sleep , close window use ceiling fan cooling . enjoy hear city noise , anyway , least good view . the staff always friendly helpful , although never see Wes , manager . enjoy read trip advisor post , review section San Francisco forum . able leave bag hotel departure day , helpful , 10.30 pm flight ( 14 half hous ) home night . 12 noon checkout also good - give time pack rearrange luggage morning . for price pay location highly recommend hotel . ever make third visit San Francisco , will definitely stay . 
 Nov 28 2008 	 great location great place ! ! 	 stay Chancellor 5 night early November . my husband travel 23mth old son , although room little squish crib , livable . room lovely , nicely decorate comfortable . location Chancellor perfect , shop close , public transport breeze . staff friendly helpful . really nothing fault stay ! though travel child ( bottle still ) please remember old hotel renovate , room fridge microwave . difficult make way around ! 
 Nov 24 2008 	 love 	 stay chancellor 5 night November . hotel location perfect , bed comfortable , staff helpful ... thank Rory ... cookie delicious . all excellent value money . would highly recommend hotel 
 Nov 22 2008 	 Return visit 	 stay April , return California decide spend couple night back here . again , could not fault hotel way . think get right staff reception friendly without overdoing . enquirie make body lotion , return room discover five extra bottle - nice touch . the room fine bed comfortable . always mention , location can not beaten . after stay go Yosemite , decide return Chancellor another night set coast - back room ( three time room - may ask different one change ever go back ) .It really great hotel , staff make . oh yes , cookie great , especially cranberry one ! 
 Nov 20 2008 	 good location 	 old hotel centre sf cable car stop outside small room clean much hotel much sf .car park site 5 min walk valet parking much like good usefull go cable car buy 1 2 3 day pass $ 5 per single trip 
 Nov 18 2008 	 great experience 	 couple french people : great vacation trip across USA summer 08 , spend four night Chancellor . as lot people , love hotel : convenient , comfy , quiet ( back hotel ) , good price , etc ... yes , nice plastic yellow duck bathroom ! BRAVO staff : kindness , professionnalism , great sense humour ( thank Steve , Matt , Nate , Martin , Shamina , Desiree other . ) fine wine bar ( ' remember name , barkeeper know job – Frenchman , know little wine ... ) , really GREAT stay Chancellor wife . definitely recommend hotel .... ' sure Wes Tyler exist ... thank he . Philippe 
 Nov 17 2008 	 Perfect location ; great service ! ! 	 return week Chancellor Hotel Union Square San Francisco . location perfect , service excellent , room clean . email manager , Wes , ahead time ask recommendation great room achieve full experience San Francisco offer . reserve room us 10th floor look Union Square . look forward ' stress free girl 's week ' San Francisco , ' disappoint . check room find bottle wine two gift compliment Chancellor Hotel , nice card Wes wish we fun ' stress free ' week ! room , two twin room plenty big . walk closet ( help store luggage site ) , tub nice deep soaking long day . love pillow menu , take advantage . hotel full charm clean . little nervous 10th floor elevator . New York & amp ; Chicago , 's seem take forever get elevator go be already full people . Chancellor , always get elevator timely manner surprisingly , usually empty . always something complimentary drink ( coffee tea ) lobby area , day cookie evening find popcorn munch on . the lady travel info desk lobby helpful . not , would miss one tour ! explain Muni pass we get 7 day one . perfect . could ride cable car , muni bus anytime , anywhere . not hesitate go across town see something , even eat . cable car run right front hotel , board intersection . run way Fisherman 's Wharf . plus , cable car engineer full character . watch one like sneak try scare enjoy site : ) everyone make work fun like ! Chancellor walk distance good shopping ' ve find day ! lot restaurant area well . many coffee house ... love Sugar Cafe ( coffee , omelet potatoe yummy well ! ) . place breakfast ( not mind wait line 10 - 15 minute ) right outside Chancellor ... Sears . good breakfast around ... try Swedish Pancakes go back next day try omelet ... look good ! overall , great experience Chancellor Hotel would definitely go back . highly recommend anyone travel budget ( not late ? ! ) . 
 Nov 14 2008 	 fantastic location - right Union Square 	 fantastic location , right Union Square cable car route . not stay expect & quot ; facility & quot ; - gym etc - room clean comfortable , although bathroom small . free internet lobby tourist booth . convenient - would certainly stay . 
 Nov 11 2008 	 Fantastic Honeymoon Location 	 return California drive Honeymoon first 4 night trip spend Chancellor . originally different hotel book stay read review TA decide change Chancellor be pleased . location fantastic , much see within short distance . Cable Cars stop right outside door take place need explore . check breeze , put room 1205 , 12th floor , side room overlook Union Square Macy 's . room fantastic , clean tidy nice bottle Champagne wate we ! stay many small room space store luggage room fine we . bed fantastically comfortable . bathroom little small everything work fine clean not cause problem . food credit come room eat breakfast Luques day lovely food . service great , never end supply coffee menu extensive neither us thing twice . to honest not bad thing say Chancellor . return San Francisco - yes , return Chancellor - definitely . would recommend place family friend may thinge visit . 
 Nov 10 2008 	 enjoyable stay 	 stay Chancellor Hotel 3 night would recomend . position central accessing area San Francisco , room although small , well eqipe comfortable , staff helpful , coffee cookie always available free charge lobby plenty local restaurant choose . city hotel consider pay little could fault . 
