Nov 	 good hotel great location 	 good clean hotel excellent location two minute pier 39 
 Jun 9 2007 	 confuse nasty stairway access 	 can not believe nobody mention use outside stairway get second floor , passkey hallway elevator floor . lobby access room , multiple public access point stair . absolutely feel safe stair hall . shabby carpet , dinge - up veneer furniture , wallpaper peeling , window would not stay open ( course ) screen . worth money save ( AAA deal - free parking ) . avoid one like safe , control room access ! ! ! ! 
 Jun 3 2007 	 price sized 	 $ 300 / Night get tiny room threadbare carpeting , wear furniture , closet wardrobe along bed take room . bathroom fan rattle like crazy bathroom small . hall cramp dingy lobby . expect money . location good , could walk everywhere not make price lack ammenitie . 
 Jun 2 2007 	 good location value 	 ' ve stay hotel three time past . recent stay May 07 . like hotel , pro con . pro : location : be locate Fisherman 's Wharf . people may criticize area ' tourist trap ' , find interesting lively area . stay downtown waterfront view bay , Golden Gate bridge Alcatraz island ? hotel also within walk distance cable car , Muni busline F - line ( streetcar ) . plus , plenty restaurant shop around . price : cost compartively less surround hotel Fisherman 's Wharf . however , Radisson five - star accommodation ; be look something like Ritz , go Ritz ! basic amenity / service : somewhat slow check - in ( apprx . 15 - 20 min . ) , big deal , esp . since go SF holiday weekend . request advance room near elevator , honor request . lobby clean helpful concierge . room size ( city view w / king ) comfortable single traveler ; would fine two well . overall , clean everything work . another plus - they ' sleep number ' / sleep comfort bed ( customize ) , , room . con : location : room face back street , could somewhat noisy time . overall , not much problem get sleep ( okay room day ) . additional amenity / service : minor ' complaint ' air conditioning , bit old - style making bit noise turn . also back entrance / exit lead directly main street wharf . tell door work time swipe room card . hotel not restaurant not offer continental breakfast , not big deal since many nearby restaurant . overall , good stay good value . would recommend hotel people . 
 May 24 2007 	 difficult choice 	 Hotel accommodation SF expensive - fact . Fisherman 's Wharf US equivalent Blackpool ( offence mean ) . , look & quot ; reasonably & quot ; price accommodation convenient location ( SF one night book Alcatraz tour ) Radisson fair option . not expect frill . the room look directly onto ( ) car park - pay $ 30+tax park . even though hotel close water front , not expect view . the room clean , tidy well furnish although lacked character . 's middle vast swathe restaurant entertainment need not stay long necessary get good night sleep . 
 may 15 2007 	 Travel Agent Visit 	 great location want stay Wharf area . 5 - 7 minute walk Pier 39 . outside hotel attractive not let worry you . room small nice . room 4th floor ( 4 floor ) streetside . could hear traffic night put fan , street sound go . there restaurant site hotel . many restaurant within walking distance . coffee stand lobby offer simple breakfast grab go item . next door ihop offer good food service . a small courtyard offer small pool . staff polite helpful . parking $ 40 per day . the public transportation within 1 - 2 block hotel . I use airport shuttle service cost $ 15 one way . 
 May 11 2007 	 Poor 	 can not believe many people list room clean bonus - not pre requisite Hotel ? check greet rude staff seem want get rid we soon possible , room basic small chain stay , outside door car park would not shut - exactly secure.still , location Fisherman 's wharf great , unlike city hotel , information offer see sight - strange touristy area . 
 May 6 2007 	 well expect 	 Reviews hotel vary good poor , not really know expect , pleasantly surprised good sized room , comfortable king size bed , clean . complain toilet run , fix next day . 2nd floor , parking lot ( sparsely used ) view Alcatraz Fisherman 's Wharf , enjoy . find convenient shopping could pop one floor Jefferson Street , right middle shopping restaurant . would not recommend ihop - busy great food . Johnny Rockets make good breakfast , try Boudin 's Clam Chowder sourdough bread bowl . close tour bus , Pier 39 Alcatraz ferry ( recommend ) . 
 May 2 2007 	 good option Fisherman 's Wharf 	 RadissonThe location Radisson ' well , block Fisherman ' wharf , Pier 39 pier leave boat Alcatraz , close restaurant Cable Car stop . expensive ride taxi airport : US $ 45 . Union Square US $ 8 . also get Cable Car downtown ( US $ 5 , 25 per person ) , stop 3 block entrance hotel . enjoy lot walk around instead take cab . our room clean , king bed nice clean linen extra pillow . bathroom complete set shampoo , conditioner , soap body lotion replace every day . also hair dryer iron room . service great front desk housekeeping . we get good rate entire trip ! : comfortable close everything . first time SF great stay place close tourist attraction , maybe next time ' try different neighborhood . 
 Apr 30 2007 	 Location LocationLocation 	 stay 2 night Radisson Fisherman 's Wharf San Francisco 4/14 4/16 . get early post check time allow go room 3 hour early . Matt , hotel clerk courteous accommadating . room spacious , clean , comfortable , balcony overlook pool . hotel locate across street Fisherman 's wharf Pand within walk distance Pier 39 , Alcatraz cruise , Trolley . restaurant entertainment aplenty near hotel . 
 Apr 23 2007 	 bad stay 	 stay business meeting think average pay . contrary review , problem size cleanliness room ( King sleep number bed ) . problem concierge 's knowledge city . go across street information center Pier 39 ask question , say frequently guest hotel ask question . location , might think 's great . however , not excite close Fisherman 's Wharf . congest everywhere go . 's fine short visit Fisherman 's Wharf , prefer somewhere little remote extend stay . whenever would go lunch , would always real hassle get around people find somewhere eat . 
 Apr 22 2007 	 Good Experience w / Radisson SF 	 hotel wonderful everything location , service , cleaniness convenience . hotel across street wharf nice step onto street walk Pier 39 surround area . cable car route conveniently 3 block away . nice park car day hotel explore city public transit . receive coupon breakfast IHOP restaurant locate downstair ; service fast even though crowd tourist . bed wonderful comforter , definite luxury ! many restaurant around wharf want get away seafood , go Columbus Ave . block away . street many italian restaurant ! chinatown minute away well . 3 child stay hotel help make SF wonderful experience we . 
 Apr 11 2007 	 great location comfy bed 	 stay Radisson March , find great deal Travelzoo include free parking . stay worth free parking run average $ 28 day . check pretty late staff curtious swift get we room . definetly utilize conceriege 's knowledge city , be . bed comfy , upgrade king sleep number . room spacious quiet consider middle Fishermans Wharf . bring location . GREAT ! right across street Pier 39 short walk cable car stop , would recommend anyone ' ve never see San Francisco . overall , great trip enjoyable stay ! 
 Apr 11 2007 	 Ouch ! 	 family vacation , decide splurge little pay little nice , safe well locate hotel . price pay expect . upon arrival , tell need pay parking hotel , additional $ 45.00 per night . OUCH ! tell standard hotel area book directly website would aware large additional fee . lady front desk pleasant . could hear people floor us - walk . room clean , small . price .... worth . stay ! 
 Mar 25 2007 	 Perfect Location 	 stay Raddison November one problem arrival . exhause 16 hour journey give we key occupied room . go straight back reception resolve straight away ! room get large clean bed comfy ! ! position hotel PERFECT . hear sea lion night pier 39 close ! first morning went walk 7.00 ( jet lag ! ! ) peaceful see stall holder set day could see Golden gate bridge distance . walk back see sealion ride carousel pier 39 . ( absoulute must kid heart ! ) alcatraz need book ticket advance make sure take audio tour ! hotel within easy walk distance tram turnaround Hyde street . make sure go early morning though long wait day ! price hotel location fault , would definetly use ! ! 
 Mar 21 2007 	 great location ! 	 take Dad Mom SF spend long weekend . Dad good health , want hotel good location . Radisson definitely fit bill ! lot within walking distance . breakfast ihop good , really enjoy lunch Johnny Rockets . hotel room average ... not sleep number bed ( brother unexpectedly join we , reserve room day check , pay almost 1/2 pay , get view sleep number bed .. view parking lot ) ... hotel honor request connect room . staff attentive need , respond quickly request . do not expect luxury .... be far , clean , basic necessity need .. would stay ... think great place family .. 
 Mar 20 2007 	 fair good ............ 	 stay March 11 - 13 . let start say first time San Francisco hotel PERFECT location ...... right middle everything wharf . however , location front desk staff good . the front desk staff attentive friendly , almost make hard complain hotel . hotel old need re - model . hallway long , narrow , musty . doorway room small cruise - ship , get luggage room real treat . the room small small bathroom . call request top floor room view Alcatraz . room top floor ( 3rd ) , end hallway ( farthest away elevator ) view street . room hot musty , window air conditioner not seem work well initially , try open window . window must originals old metal frame make almost impossible open close . the good news air conditioner kicked work well throughout stay . we sleep number , king size bed .... unfortunately , bed take room . really not even place put suitcase bed . my big complaint smell hallway . kind fake citrus smell ... probably cover musty smell .... WAY strong ... make want puke everytime hallway . coke machine floor faulty ... would eat money . front desk refund , inconvenient access soda machine . pool area small , seem clean water warm . I would say ' motel ' okay want good location alcatraz trip , tour , pier 39 , etc . not worth $ 99 / night , deal find online . also , FYI , cab trip airport pier area $ 45 - 50.00 ... would recommend rent car San Francisco , plenty way get around parking expensive ! ! ! 
 Mar 12 2007 	 Great Location . Top QualityWould definately use ! 	 stay Radisson 1st March-8th solo traveller find top quality excellent hotel . location perfect tourist area . literally come fo rear entrance hotel past pool across road Pier 39 street performer side shop resturant . get good rate $ 99 per night tax fantastic rate hotel standard good location , stay Radisson chain one good one far . I room 4051 4th floor King sleepnumber bed comfortable indeed , make everyday least 6 cofmortable pillow nice cover . room nice spacious quiet night noise come front guest matter . nice sized television channel need complimentary Wi - fi broadband available room use laptop room desk area . the bathroom clean spacious good sized bath / shower plenty fresh towel toiletry leave daily nice welcome . the hotel ajoine Johnny Rockets handy pool great , never get try gymn area see look pretty cool . nice seating area outside enjoy warm weather cool drink occassion lot seat area lobby relax drink newspaper . the location need use public transport , walk everywhere include Chinatown , North Beach , Lombard street / Nob hill front one hot day walk hotel Golden gate bridge along costal pathway / chrissy field within walking distance do not mind walk . there great place next door offer full american breakfast $ 6.99 next seven eleven good value food I - hop side regular food place withina 2 min walk well burger king / mcdonald etc . I would definately recommend hotel anyone would stay find town , area safe walk hour even 1.30am morning alone problem usual homeless situation part america will not bother do not let put off . I lot pic attach shortly work moment , feel free contact question . thing would recommend : -Use Supershuttle SFO offer $ 15 door door service handy although BART hard navigate shuttle nice sit back relax long flight.-try Clam Chowder Sourdough across road hotel back entrance great - and finally definately see city foot ( bike ) see much car public transport get real experience . 
 Mar 6 2007 	 great spot 	 spend one night ( Friday night ) . grow near San Francisco ' ve Fisherman 's wharf many time many year . actually get great deal , $ 99 include parking , stay . property old , room nice price can not beat location . literally right Fisherman 's Wharf walk 100 yard Alcatraz Ferry another 100 yard Pier 39 go way , be 5 minute walk Ghiardelli Square terminus Cable Car . dinner , go Scoma 's restaurant plain sight . not miss Buena Vista world 's good irish Coffee . 
 Mar 2 2007 	 good hotel great price 	 stay hote 1 night advance 6 night stay plan take family May . I find hotel reception staff friendly helpful . the room really big two queen bed , large tv , good bathroom iron / board . major plus free internet access ! wrong time year pool , look nice . the location good , one block water front Fisherman 's Wharf . I not try restaurant bar ( fact not even know either ) . top pancake omelette next door ihop ! 
 Mar 2 2007 	 Excellent Location ... great value comfort ! 	 wonderful time hotel . nicely remodelle comfortable . nice sleep select comfort bed . service desk great . parking nice affordable area . good thing hotel 's location right accross street Pier 39 . can not say enough location ! ! price compare hotel close excellent least 10 % less ... make great value ! search something criticize -- bathroom could little big . 
 Feb 25 2007 	 location ! - rather Motel Hotel experience 	 spend two night Radisson . location brilliant tourist - right front Fishermans Wharf . pay little extra , get partial view bay specially Alcatraz . however , hotel really old even San Francisco standard expensive . use motel Radisson take . room ok bed really comfortable . need basic accommodation , Radisson definitely suitable . 
 Feb 22 2007 	 great service good price nice room pool free wireless -- can not go wrong ! 	 stay Radisson Fishermans Wharf Presidents Day weekend great experience . large retail store , plus travel lot , courteous service extremely important . Radisson 's employee exemplify excellent customer service . friendly cheerful even teenager remark & quot ; everyone ' nice ! & quot ; room right , nothing fancy , everything clean work well . sleep number bed comfy . nice pool , . free wireless internet huge plus -- usually get charge $ 15.00 . pay $ 130 per night , include breakfast coffee cart . without even ask , front desk upgrade free breakfast ihop next door , could not get double bed . our complaint low water pressure shower . 
 Feb 20 2007 	 pleasant 	 room clean even though hotel completely full relatively quiet . parking easy bascically right wharf . room small expect San francisco . would stay . 
 Feb 14 2007 	 Great Location 	 stay hotel 4 night Dec 12th 2006 - Dec 16th 2006 . Hotel centrally locate directly across road water , 5 min walk Pier 39 . room clean small 4 us 2A + 2 teenager . 2 bed room consist 2 double bed 2 queen size . bathroom adequate size bench space small . room look Alcatraz overlook pool area . McDonalds next door Subway around corner ihop next door . good variety restaurant within 2 - 5 minute walk . free internet access handy , ATM locate foyer well breakfast cart offer bagel , fruit coffee morning 11 am . fridge room ice bucket . price great consider location staff helpful . parking available around $ 30.00 per night . San Francisco would probably stay location unbeatable . 
 Feb 5 2007 	 disappointing stay family small kid 	 return four - night stay Radisson disappointed . travel two small child ( 3 year old 3 month old ) . tv need fix twice . door tv armoire right toddler - head height , slide armoire open flush rest piece . son hit head several time . lock slide door lock firmly , 3 - year old able open door fourth floor balcony . customer service terrible . parking expensive ( $ 28 / day plus tax ) . power go part town one night ( hotel 's fault , course ) generator , way get hotel parking walk parking structure ramp ( easy feat toddler infant ) , emergency lighting apology hotel inconvenience . instruct last day hotel , room would entered 3 - hour window time alarm system testing . , accomodate travel family . write letter Radisson stay . response yet . positive stay : sleep number bed . great feature . adjustable water flow selection shower . distance Fisherman 's Wharf excellent . 
 Jan 27 2007 	 Great Price Great Location 	 come across great deal via Travelzoo ( $ 99 / night ) , book MLK Jr. Day weekend getaway . fact room rate INCLUDED PARKING major bonus , want car stay . hotel nothing fancy ( occasional smell smoke hall , duct tape hold laminent room door , must go outside get gym / lobby rest room [ freezing weekend ] ) , plenty pro make worth price ( parking include , close crowded , tourist - ride Fisherman 's Wharf , nice staff , ability print boarding pass lobby ) . room 4022 incredibly large balcony , & quot ; dress area & quot ; room & amp ; bathroom , large bathroom . room keep clean housekeeping . good temperature controll bed comfy . bottom line : would not want pay , happy stay . 
 Jan 24 2007 	 Radisson bad hotel remember . 	 room smell horrible . think smoke , despite fact ask smoking room . ask king bed room , close elevator . get two double 500 foot elevator . 500 foot walk luggage . strange plan design . sheet feel like sandpaper ; poor quality . good thing say great location ; never would stay . 
 Jan 21 2007 	 Excellent position - wonderfully comfortable bed 	 great position centre Fisherman 's Wharf , 2 minute Pier 39 . room view Alcatraz Island hotel outdoor pool - use weather ! king size bed wonderfully comfortable separately adjustable electrically . coffee machine room good sized tv . consierge really helpful . 
 Jan 21 2007 	 go extra mile . 	 choose hotel via travel agent pleased initial uneasiness . arrive one staff member desk small queue . suferre jet - lag impressed standing , another staff member soon arrive . however , bit surly really would employ front - of - house ( first impression ? ) . since first tilt , thing improve though , staff deal helpful even seem ' hover ' bit , anticipate need without conspicuous . location superb even hotel quite old , keep excellent condition housekeeper ( room cleaner ) top , totally non - intrusive . bit like home away home staff like neighbour , drop fix / replace / loan thing need ! nothing seem bother they . at end day , do not spend whole time room important time sleep , hotel excell . BEDS electronic control ( handheld ) programme bed degree softness / hardness desire . pillow super ( feather ) always load fluffy towel bathroom . really enjoy time initially give ( mentally ) hard time . fabulous would hesitiate recommend anone . oh , make sure call advance special end , 1 week tidy little discount . 
 Jan 19 2007 	 disappointing experience 	 disappoint hotelthe room extremely small - much room beyond double bed . fixture fit old tired . bathroom drab need modernising . the room also noisy - lot noise road also room . the hotel appear zero facility - near bar Sheraton across road . office facility , WiFi etc . concierge desk doormanIt terrible - clean front desk staff ok , give Radisson name also nightly rate relative hotel area , would expect 100 time 
 Jan 6 2007 	 great location expect 	 location fabulous . walk pool area secure hallway be litteraly pier . everything within walking distance choose rent car take shuttle airport 's less expensive renting car three day pay another $ 30 day park . great meal fire work pier New Year 's eve wonderful . disappointing meal & quot ; Joe 's Crab Shack & quot ; . fish chip highly recommend server . serve frozen fish box top onion ring . ask chip ( fry ) reply walk off . again , hotel great location , amenite . restaurant , bar lounge . room service . small worn room first hotel . iron attach iron board make difficult use . not know iron hot item . pun intend . , be average hotel good good location . 
 Jan 2 2007 	 Travelodge kind Radisson name 	 Disappointing . nicer hope Radisson . great location though . room , shower entire corrider impressive . stay Wharf Inn right across street one night could find much difference Radisson Wharf Inn . luckily AAA else would another 20 - 25 $ daily parking 
 Dec 20 2006 	 Fantastic Location ! ! ! 	 stay sight inspection work ( travel agent ) .locate directly opposite Fisherman ' wharf Radisson great value money fantastic location . room medium size offer fabulous view Fisherman ' Wharf Alcatraz Island . bed feature control guest customize mattress soft firm require . property would great family , couple business traveller . 
 Dec 3 2006 	 relative always stay come visit 	 live San Francisco always advise visit friend famiy stay always happy . reviewer say location good wharf . bayview room wonderful $ 300 + neccessary , spend time room except sleep ? think hotel bayview room year make reservation family usually sell view room unless reserve advance . also , sell room mean room leave upgrade guest . guess get pay , normal room fine . the staff always easy deal , especially maid . room clean , somewhat date . mom visit recently get try one Sleep comfort bed remote , get kick say comfortable . anyway , hotel clean comfortable wonderfully locate . 's choice hotel wharf . 
 Nov 30 2006 	 Great Location ! 	 awesome location . pier 39 across street . Alcatraz cruise couple block Pier 33 . easy access Muni F Line take downtown thru Market St way Castro neighborhood . clean hotel , friendly staff . stay . 
 Nov 18 2006 	 Location location location ! 	 can not get close wharf . passage behind courtyard lead Jefferson Street Pier 43 1/2 . pier 39 close hear sea lion bark window open . many room balcony overlook outdoor pool . sleep number bed seem mostly hype discard mattress - like coverlet light blanket . housekeep quick respond request ; concierge helpful efficient . morning 6:00 noon breakfast cart lobby selling take away juice , pastry , muffin fruit . I - hop hundred foot Beach Street . right courtyard Johnny Rockets . full breakfast play oldie nickel jukebox . also convenient North point Shopping Plaza block away . Walgreen 's drugstore , Safeway supermarket Bank America ATM find , well Radio Shack galaxy - class telescope store . F Line streetcar stop block away . some unexpected benefit : enjoy walk ( railed ) edge open second level parking area , ' private balcony ' overlooking never end activity Jefferson adjacent pier area . would also go feed seagull breakfast scrap watch pelican fly formation . Compass Grille Sheraton ( cocktail , lunch , dinner ) right across street . convenient location principal asset . would happily stay . 
 Oct 31 2006 	 great location 	 comfortable , clean hotel fantastic location . plenty food nearby & amp ; Pier 39 directly back entrance , perfect ! concierge helpful ! would stay . 
 Oct 22 2006 	 Excellent stay 	 return 6 night stay Radisson . fist bit sceptic mixed review site . however could find something negativ . check - in 4 pm let we check - in 2 pm wait 4 . room great . clean , spacious good facility e.g . big ( empty ) fridge big in - room safe coffeemaker . staff hepfull friendly . day leave arrange towncar airport conciergedesk fix price 50 dollar . also room do perfect housekeeping everyday . the location also perfect . exit hotel right Fisherman 's Wharf restaurant walking distance . also fastfood like IHOP . Johnny Rocket , subway etc 2 min walk . another great benefit large supermarket 2 block away powell street . walk attraction even Union Square foot . take 1 hour , way see lot e.g China Town . take 2,5 hour tour tourbus make cable car . stop golden gate also 30 min . car also right outside hotel . also right outside hotel boat take Alcatraz Pier 33.one thing influence weather , also great time year . could walk outside till late . feel completely safe also be . I would certainly stay . good location , good food nice people . TIP : take bayarea guide find yellow box sidewalk . information map . 
 Oct 10 2006 	 Great Location 	 great location Pier 39 , Fisherman 's Wharf , Aquatic Park . also easy access bus line China Town . hotel clean safe area walk . Conceige helpful provide suggestion restaurant , attraction , car rental , bus info etc . fancy hotel , well worth rate . staff pleasant , room clean early . stay 3 time never disappoint . 
 Sep 30 2006 	 Great Hotel 	 Radisson expect , brilliant . staff friendly accommodate . even though book standard view room upgrade we Bay View room free charge next day . facility quite basic restaurant bar enjoy stay tremendously . clean friendly efficient service . the situation Fisherman ' wharf stunning . walk pier 39 6:00am lot activity , luxury liner load supply . sound Sea Lion colony gull cry .... fantastic ! not use highly expensive room phone make call though ; callbox outside reception area pool . highly recommend . 
 Sep 21 2006 	 Average 	 stay Radisson two night mid September . good thing hotel location Fisherman 's Wharf AAA waive parking fee . restaraunt hotel , plenty place nearby . room average although sleep number bed . choice wharf area think would try someplace else . know people travel sight $ 200 night expect little . 
 Sep 19 2006 	 disappointing holiday 	 return stay Raddison impressed , bed dirty complain manager would come see send bell boy insead . transfer another room offer apology . also object pay 33 dollar per night parking . never stay 
 Sep 18 2006 	 Location Location Location 	 want middle Fisherman 's Wharf good price stay . park car Friday get not even go back till Sunday leave . walk distance everything ! ! room typical room , typically not go somewhere like San Francisco sit hotel room . people watcher , like boyfriend , stand second floor parking lot look end , see Wharf people walk . restaurant everywhere ice cream shop : ) wonderful time even able take short nap site seeing , close everything . only thing caution careful go anything hotel not hold room , first come basis . almost not get room , two double bed , going stay one king bed sleep roll away bed . arrange something . nice staff take care . 
 Sep 12 2006 	 good location 	 family stay August 3 night , pool quite small weather really warm enough swimming outdoors . room ok fantastic - pay upgrade pool view . quiet end corridor . staff friendly helpful , particularly reception concierge . breakfast cart lobby visit IHOP next door ! good location Pier 39 . good diner open hotel street . would stay . 
 Aug 21 2006 	 happy choice 	 book hotel recommendation travel agent read mixed review . get back 6 night stay thought would add opinion . people say , location superb , two entrance one right Wharf main f - line system easy transport downtown . room comfortable comfy ( dial - a - number ) bed clean bedding . concierge reservation staff helpful friendly . would definately stay lucky enough able re - visit SF . 
 Aug 3 2006 	 location can not beat ! ! 	 Glad choose Radisson ! find location excellent , price right , hotel accomodate ! check 2 pm room ready ... go Johnny Rockets return hour later . room assign , change due guest decide still additional day . , give we even well room face pool , balcony Sleep # bed ! ! ! think hotel clean well maintain ! ! say love location ? ! close everything ! ! ! even walk China Town back hotel ... night ... 3 kid never feel unsafe ! ! would stay ! 
 Jul 29 2006 	 great location 	 ( family four ) stay hotel 6 night could fault . location excellent private access fisherman 's wharf , close tro thecable car lot excellent family restaurant cafe . room large enough staff friendly helpful . follow previous comment room email several day ask room overlook pool provide - good option get view bay Acatrax balcony . room overlook street back could get noisy . happy recommend . 
 Jul 17 2006 	 great location experience 	 think one complaint . hotel fantastic location . staff friendly helpful . room large clean . pool nice quiet place take break relax . feel safe area would stay hotel . 
 Jul 11 2006 	 Heart Action 	 be go stay right Fisherman 's Wharf , good place . hotel open directly onto Embarcadero action , short walk restaurant attraction . room nice , nice radisson ' ve stay . restaurant hotel , many right outside , concierge helpful dining recommendation , book tour ticket , etc . pool area private nice . complaint , would probably stay . 
 Jul 9 2006 	 good place stay Wharf 	 arrive 4 night stay Radisson intrepidation due mixed review site recently . ..... problem . receive friendly welcome reception room good size ( vs. british hotel ) quiet - 2nd floor rear overlook pool extremely quiet . adjustable bed comfortable bathroom / shower facility completely adequate , clean . coffee / pastry cart hotel restaurant facility , direct access & quot ; Johnny Rockets & quot ; diner pool area great breakfast , relatively inexpensive ( waiter also entertain occasional dance routine fav tune come jukebox ! ) . also expensive IHOP ( International House Pancakes ) immediately next door . chic city centre hotel manner mean . comfortable motel heart touristy Wharf area - probably place stay SF young kid . wharf attraction doorstep tram , bus cablecar part city minute away . feel $ 160 / night good deal get complaint . concern several recent comment unsavoury character surround street - certainly never see bum vagrant street US city SF , apply Wharf area . liberal California bad ! however , wander city Wharf time day night problem . wharf aim fair square tourist family probably safe area . 
 Jul 7 2006 	 's Smell ? 	 think expect nice hotel Radisson experience . hotel distinct smell stale urine area ... include room . room small , seem clean . smell ... strong , smell . help offer baggage . plus , side staff courteous . parking self - parking garage conveniently attach hotel . Radisson sleep - number bed condusive good night 's sleep . location good , pier 39 close many attaction access public transportation . overall , recommend hotel . think Sheraton next door may well choice . 
 Jul 4 2006 	 Sketchy experience 	 area Radisson locate sketchy . excessive amount homeless people interesting individual wander around time night . tourist area , however , careful . hotel clean . however , night different sleep interruption . one night knock door , next scream parking lot , last someone call room phone midnight . possibly bad crowd , maybe hotel attract poor clientle . whatever case make stay unenjoyable . the staff friendly , however not supply we luggage cart make transport suitcase difficult . small selection morning food available breakfast highly price poor quality . internet connection big plus . if ask would stay , would think twice . 
 Jul 1 2006 	 Bay view room must 	 look room winter , look many different hotel , read many review . mother stay Tuscan Inn 10 year ago really like ( coutyard room ) . look Sheraton ( across street ) choose Radisson potential bay view room . four night book . car get free parking 50 ( senior discount ) otherwise $ 28 night , rather pricey , something consider . start partial bay view w/o balcony , overlook pool area , think money worth . one night transfer full bay view , quote extra $ 50 per night change charge $ 20 . staff helpful move stuff we . not care room view , might consider stay elsewhere , stay hotel location potential view - I want see ! full bay view ( overlook parking lot deal ) roomy mini - fridge kingsize & quot ; sleepnumber & quot ; bed . big breakfast eater fridge come handy stock milk fruit cereal . gocery store block ( shortcut sheraton driveway ) . least could save money spend nice dinner ! noise wharf not bad , everything wind 10 - 10:30 ( least far street performer concern ) . love get everymorning , coffee breakfast balcony look bay . fog Bay could issue last morning another thing consider . like fitness room work everyday . ' ve include couple picture balcony ( picture alcatraz review clear ) 
 Jun 30 2006 	 Radisson Hotel Fisherman 's Wharf Fantastic Hotel 	 excellent hotel San Francisco . everything want hotel . first , heat pool cool weather San Francisco . second , restaurant breakfast , lunch , dinner . Johnny Rocket 's ihop inside . also small fitness room . staff hotel friendly place clean . room average size , balcony room incredible view bay alcatraz island . bed comfortable Sleep number bed room clean . good thing hotel great location fisherman 's wharf . close Pier 39 popular place san francisco near lot restaurant wharf . also , close ghirardelli square . altogether , great hotel stay family tourist . 
 Jun 8 2006 	 great location 	 love location hotel . convenient attraction . pier 39 favorite . hotel close compare hotel . everything walk distance except Union Square , go couple hour . bike Golden Gate . first arrive non - smoking room , smell stale smoke . tell front desk quickly give we new room apologize . new room smell fine . hotel old pay . pay $ 130 hotels.com . street noise hear day problem night . bed sheet comfortable . shower mildew repulsive . would definately stay . 
 Jun 2 2006 	 love plumbing ! 	 review , great location , good hotel , clean , roomy great staff . small annoyance ( hope picky ) another room use tap , shower etc water pipe make lot noise . apart great hotel price . also stay fancy good drink go & quot ; Tierans & quot ; ( spell may ) irish bar near cable car turn great place bite eat drink . live music every night great staff . Popmpei Grotto wharf also great food . we stay four night find fisherman wharf safe . walk around midnight every night look every part tourist 's . tip : cable car get busy try go peak weekend stay allow . tip : Alcatraz , book ticket go , went sell 5 day advance . people wait stand Q 's 
 May 29 2006 	 good location good price good hotel 	 first impression hotel bit date . see Fisherman 's wharf look like something 1970' . however get inside good hotel good price . 5 star luxury clean comfortable good amenity . room good internet connectivity provide free room safe . bathroom clean reasonable shower . good thing hotel location second attraction restaurant Fisherman ' wharf . lack proper restaurant facility hotel make selection place eat location . visit holiday short break ideal hotel . 
 May 18 2006 	 overprice area really rough 	 not read review hotel stay unexpectedly tour type holiday . decide want extra night San Fran not think would fit 2 day . after stop hotel Wharf , settle Radisson maily get feed look ( long drive ) one cheap ask ( Hilton , Sheraton , Holiday Inn etc ) .The check staff great room huge , bathroom , also clean , complaint there . basically get pay one noght fine . the thing would say Fishermans Wharf day okay , Pier 39 good bit . step night feel really unsafe look seedy cheap . much go back room . maybe ' m unfair hotel scoring , Fishermans Wharf hate . would recommend , yes want stay right wharf , good value money . would go back , never would go Fishermans Wharf ! 
 May 14 2006 	 pleasantly surprised ! 	 read various early report hotel , arrive geat apprehension long flight UK via LA . plead tiredness , ake quiet room immediately allocate one top floor end one wing . consequently well away noise actually give we partial view bay . room clean perfectly adequate - inflatable mattress fun play ! say , achieve quiet stay expense route march to / from ice machine , even , elevator . however , certainly worth well away numerous school / youth party hotel seem specialise . undoubtedly would make noisy stay central room . party also seem agreement iHop breakfast , prefer either danish / coffee option lobby Johnny Rockets , extremely convenient good value , even provide impromptu song / dance routine wait staff ! additionally , nearby Safeway store handy stocking in - room fridge wine , etc . , 's question location , location , location ! hotel difficult beat ground , staff extremely polite helpful , room perfectly acceptable , luxurious . well worth consider day City . 
 May 2 2006 	 Radisson ... wonderful 	 friendly helpful staff . wonderful room . sleep number bed well . great View . close everything . would highly recommend Radisson . 
 Apr 25 2006 	 great location Hotel could better 	 great stay March 2005 , decide stay Radisson Fisherman 's Wharf 3 night April 2006 . although location superb find issue 's time . check stressful ( room ready time ) 1 towel room ( family 4 ) , constant noise night ( door bang ect ) . not fool hotel close pier 39 hotel fisherman 's wharf area great base vacation . 
 Apr 18 2006 	 ok place stay 	 excellent location whistle stop stay SF read many review hotel book go open mind . SF 3nights need hotel spot hotel . advise review request room look pool area get , not view car park would recommendation . 10 hour flight UK want clean comfort bed night exactly get . yes wall little thin could hear neighbour nothing cause we problem . direct access Fishermans Wharf also prove bonus . Ihop next door fine breakfast alot else . find staff polite helpful . would recommend hotel 's location , apart ok nothing special sort place . 
 Apr 7 2006 	 ask Bay View - advance 	 well read good / bad / terrible report Hotel book thing find wer not total surprise.1 . Fantastic Location - walkthrogh FW useful.2 . email Hotel couple day prior arival ask Bay view room - get . hindsight ask 3rd floor room floor totally non smoking . we problem noise . I ask smoking room - get -but 4th floor - also smoke room - make corridor smell.3 . yes , carpet / decor little date , room clean , bathroom nice.4 . food / restaurant - go IHOP Johny Rockets attach - find IHOP slow expensive compare Johny Rockets good . pleny place eat nearby.5 . Front desk consierge helpful.6 . pool gym ok - much SF long go ? 
