excellent 	 stay 7 night - 2 different room . room noisy morning hear people talk loudly slamming door . second room next room renovate may explain noise - sure first room . staff mostly ok except grumpy lady 30 awfully unhelpful . provide locker $ 2 per usage need leave bag hotel check - out . first room small second slightly big new . sell point hotel location 31st & amp ; Broadway 2min walk Macy 's 1min walk subway 1 stop Times Square . wife Thanksgiving could catch parade literally around corner . yes , need cab , get one street one , reception charge ridiculous price . room come free wi - Fi internet access LCD tv hd channel . 
 Aug 3 2007 	 great budget hotel 	 $ 99 night , book on - line web site , hotel bargain satisfactory every way . small old room spotless , air - condition , -room safe , super comfortable bed , bathroom clean towel change every day ... short , everything need single traveller . view complaint look dark inner court allow lot sunlight . concern vanish though everytime think price quiet , face street . Coffee , tea , hot chocolate available free 24hrs . location also great , three block Penn Station 1/2 block 5th . Ave . close subway bus . neighborhood seem perfectly safe several place eat nearby . would hesitate stay hotel . 
 Jul 31 2007 	 trip nyc 	 good hotel full center manhattan midtown.central.just regret = personnal sympatical . 
 Jul 30 2007 	 Perfect location clean 	 stay 3 night 4 day hotel clean comfortable .. location great 7th Avenue near Penn Station & amp ; Madison Square Garden ... also close Empire State Building 5th Avenue .. Times Sq 7th Ave abt 10 block away enjoy take walk weather lovely could take sight scenery ... price reasonable expensive rest budget could go shopping spree , food souvenir ... -Dianne Bermuda- 
 Jul 28 2007 	 Best Value ! 	 book small single room upgrade Queensize room extra charge . staff friendly nice ! leave bag luggage locker room check not afternoon , guy front take time go map tell site go visit wait . travel alone feel safe hotel , walk distance many great place . might ideal everyone , traveller budget can not think anywhere well . 
 Jul 22 2007 	 Happy Stay 	 really unsure stay NYC , do not want spend ton money do not want stay dump either . friend tell Herald Square Hotel must say live expectation . room relatively spacious 2 comfortable double bed . bathroom could use little renovation bad . room flat screen tv dvd player plenty closet room . complaint room not head light near closet hard see inside suitcase night time . lobby free 24 hour coffee hot chocolate various time cookie candy . also , parking garage nearby gave consider great rate - $ 21 / day ! definately stay return NYC . 
 Jul 8 2007 	 Lovely Hotel Fantastic Location 	 stay 4 day end June , begin July love ! location fantastic ! 2 block away subway , close shopping ( macy 's , victoria 's secret , manhattan mall , etc ) major sight ( empire state building , madison square garden , etc ) . hotel 's facade construction stay , interior lovely ( despite glass - encase front desk / reception ) . lovely breakfast area offer free coffee / tea sweet biscotti , peppermint patty , wafer . also lounge comfortable couch . also thing make hotel convenient on - site laundry facility , ATM , locker arrive check , check way actually depart city . staff also quite nice . room simple , bed heaven , pillow plush , everything clean ! Windows small , view not anything write home , 's air conditioning adequate lighting within room . stay queen room find spacious ! complaint hotel . price quality location make hotel huge huge bargain ! would definitely stay ! 
 Jul 4 2007 	 Charming hotel 	 lovely stay Herald Square hotel NY . choose location centre city close a.o . Empire State Building , good price , experience traveller website . simple , small hotel , everything need . room rest hotel lovely decorate picture Life magazine . comfortable bed clean room . view room wall , be sleep . would definitely stay recommend other . 
 Jun 27 2007 	 great hotel great location 	 HSH great ! one cheap hotel could find NYC glad get room . not much sunlight not bad . bathtub , free cabel - tv great bed great pillow , could wish ? facility hotel great also , ATM , laundry - room , internet - computer , free coffee ( great coffee ! ) 2 phonebooth soda - machine . breakfast dining Dunkin ' donut around corner . ' m use staying hotel money , would stay hotel even go NYC ... . 
 Jun 26 2007 	 Good NY hotel price 	 book hotel read review tripadvisor quite pleased got . Hotels NY generally horrendously expensive much , quite happy price location . couple block Empire State short walk Macy 's . generally not spend much time room ( New York , ) A / c cable tv ( although channel tend drop , drop little bit ... ) room clean , although little small - travel Europe pleasant surprise . also , give we 10 % student discount , think great - book website though . overall , would recommend other : ) 
 Jun 18 2007 	 single room 	 stay single room bath cost $ 99 night . great price NYC . book room tell small room , prepare . room back hotel 5th floor . 8 x 10 foot size plus private bathroom tub . room basic , window open air shaft . allow light enter , view solid wall building . bed comfortable one pillow . room clean . one instance bug , call downstairs offer change room spray . the staff hotel friendly helpful . enjoy tea candy entrance area . hotel two elevator . great location , close Penn Station . recommend hotel . prepare tiny room choose single . stay . 
 Jun 15 2007 	 Affordable Hotel Family look Adventure NYC Budget 	 faithful tripadvisor user trust review site , boy , let . Herald Square Hotel affordable option single mom child . save money , comfort , cleanliness , great location . as mention , bed pure heaven get five great night well - need sleep . room face street never distruptive night due noise street . bedding linen equally nice clean . shocked get find bed four fluffy , comfortable pillow . person sleep least two pillow estatic see would two pillow without call front desk . the room spacious double room well - maintain clean daily . kid plenty room move around feel comfortable play carpet toy . one room refurbish , bathroom fine . clean , plenty hot water , fabulous fluffy white towel . one day leave room early come back mini rest pretty early day . 9:00 room already clean . nice surprise , . hotel locate 31st 5th two convenient subway stop easily walk . eat , Speedy 's , Dunkin Donuts , Empire Pizza , quick bite eat . even two pharmacy store ( CVS Duane Reade 's ) close . two kid , seem pop pharmacy least day ... allergy medicine , snack , etc . I also say staff really friendly . staff always greet we ask day plan / have do day . impressed always greet child . enjoy complimentary coffee , hot chocolate , biscotti . highly recommend Herald Square plan stay lucky enough visit Big Apple . FAMILY FRIENDLY hotel . love NYC Herald Square . 
 May 27 2007 	 Excellent budget hotel 	 husband stay Herald Square Hotel 3 night may can not recommend highly enough . book budget hotel price much low have find anywhere else bit worried would find get . however room , recently refurbish think , decent size , spotless newly carpet . bed bed really comfortable clean . private bathroom also spotless bath shower clean white fluffy towel provide every day ( bath slightly short really problem ! ) . room - safe , wardrobe slide mirror door little dressing table large mirror chair . also bedside cabinet cabinet tv storage underneath ( old tv not go NY watch telly ! ) . nice little lounge downstair foyer area table chair case want pop nearby bagel place bring back breakfast , free hot drink dispenser coffee , hot chocolate , tea etc , tea bag every variety even bag Hersheys Chocolate Kisses Mints help ! find staff friendly helpful , one arrange shuttle service collect take we airport leave . the hotel 5 minute Empire State Building ( go open 8 am first queue ) within easy walk distance lot place want see , subway also . macey round corner leave hotel , turn right walk street find friendly irish pub ( O'Reillys ) serve nice food reasonable price . I would definately stay . actual location hotel slightly dark dingey look side - street feel safe enough area walk back night . 
 May 22 2007 	 great memory 	 hotel , husband , want ! place go , dropp gear go paint town red finally sleep . hotel great people likley stay city mainly . the bed fantastic . clean comfortable miss . lap luxury find nice surprise need standard hotel . staff honest helpful would return back next time . 
 May 21 2007 	 Wonderful Hotel ! ! 	 husband recently stay Herald Square Hotel ( May 18 - 20 ) wonderful experience ! ! stay one newly renovate room pleased experience . arrive hotel 1:30pm able check even though check - in 3:00pm . room spotless ! small expect , , clean . stay many hotel , include Ritz - Carlton Four Seasons , hotel room could compete term cleanliness . time we leave , hotel call we car service , arrive time minute ! hotel location also great ! ! near shopping mall many restuarant subway station . New York City price , think well go find . husband hesitate stay ! ! 
 May 20 2007 	 Medium opinion 	 good location . average ( clean ) room . staff friendly . strange find reception behind glass wall ( adminstration ) . Breakfast include breakfast site . ( service provide free coffee / tea / chocolate machine ) . decide buy breakfast good bagel 's shop 5th avenue , bring back hotel eat lounge use free coeffee machine . 
 May 17 2007 	 totally unacceptable hotel experience 	 recently stay four night , average cost $ 200.00 per night , largely base favorable recommendation , hotel 's charming website , location . total disappointment ! hotel door lock arrive mid day , attract staff member 's attention & quot ; buzz & quot ; . two surley receptionist cubicle behind appear bulletproof 1 inch thick plexiglass , tiny slot bottom slide payment . my7th floor room dark , cramp equip small tv mount near ceiling , almost impossible see except bed . window open scant ventillation stuffy room , neighborhood noisy , open window make difficult sleep . good thing room comfortable queen bed . housekeep good job daily well . reception staff remain surly entire time . get hair dryer , require $ 20.00 deposit , firm instruction refundable unless hair dryer return person reception desk . final insult fail call cab , promise , nearly miss flight JFK . beware ! place dive , overprice poorly represent overly optimistic website . never ! 
 may 14 2007 	 Perfect first time New York ! 	 great experience hotel last August . first time New York poor dirt , also like privacy not want stay hostel . small room ensuite bathroom , tv , free wi - fi , safe . everything young single girl traveler would want . Located Mid - town Manhattan able walk everywhere also several subway station nearby . feel completely safe room surround area . free coffee morning , soda vending machine , locker , even book tour right . staff front courteous , also efficient not make stand around wait long . also arrive nice , little old man walk around lobby tell story building use newspaper headquarters handing keychain gift new guest . budget hotel , feel like really get good deal would certainly stay ! not go expect room service extra amenity will completely satisfied ! 
 May 11 2007 	 Best Value Hotel NYC ! 	 stay Herald Square Hotel May 8 - May 10 impressed hotel room , service hotel . though Herald Square one star budget hotel , decor hotel not great , new queen room nice extremely clean . small blood stain bathroom wall arrive , report front desk take care immediately . also try take shower one afternoon notice hot water , call front desk hot water come immediately afterwards . well value hotel NYC , long not raise price , continue stay ( new queen room ) everytime ' m NYC ! 
 May 7 2007 	 comfortable clean superbly locate 	 impressed hotel . would echo observation come NYC hotel experience , go elsewhere , be look convenient base offering value money probably will not find much well this . I upgrade arrival ' refurbish ' room , whatever mean . room small ground floor back hotel , tastefully furnish . amenity include large flat - screen tv , safe clock radio . bathroom bath / shower . room clean arrive keep clean stay . the Herald Square three block Empire State Building well position attraction . energetic walker be well within striking distance Central Park north , Ground Zero Battery Park south , Broadway northwest UN east . nothing spoil experience Herald Square . break lamp soon fix . air conditioning next - door building outside window loud use earplug bother . all , would go back flash , would recommend other . 
 May 1 2007 	 great Stay Herald Square 	 return fantastic week New York great stay Herald Square Hotel . staff friendly helpful , room ( standard ) clean look like recently decorate . plenty room store case shopping bag bed comfy . downside air con quite noisy street outside - not go New York peaceful holiday ! would definately stay . 
 Apr 18 2007 	 find hotel trip advisor - very impressed ! 	 perfect hotel - great staff , great value money , great room location . search trip advisor moon stay . get upgrade arrival - make stay ! 
 Apr 18 2007 	 nothing amazing comfy bed good value ! ! ! 	 find Herald Square realy good value . nothing amazing bed really comfy , room clean staff nice . quite good location , close good attraction good short one time ! good price especially new york ! 
 Apr 16 2007 	 bad 	 stay around Christmas time . location excellent , easy access subway . room ok budget hotel , hall work stay { noise paint fume } .No breakfast , many great place around . centrally locate , historically significant { old Life Magazine building } . MUCH cheap Manhattan hotel . friendly staff . , bad { especially price } . 
 Apr 5 2007 	 please overall 	 stay 5 night Herald Square , start Mar 17 ( St Patrick 's Day , right blizzard ) . choose price , location review , disappointed . room seem smallish first , comfortable clean , bed great . look attractive lot good lighting . steam heat make noise , not spoil sleep . first one awake use small cozy lounge beside lobby avoid disturb roommate . bathroom clean & amp ; functional , fresh towel every day . lot place eat nearby , either Broadway towards Lexington , include trattoria 31 & amp ; Lex reasonable good . subway stop convenient direction , bus . feel safe neighbourhood , not see anything alarm we bad home . street quiet night , half block Broadway . only complaint hotel - construction noise renovation start 7am . overall , pleased would gladly return . 
 Apr 2 2007 	 right place right price clean . 	 's question : come New York stay hotel see experience city ? plan hang room , will probably feel little disspointed hotel . frankly , be kind person stay hotel room , not come New York right reason , ? hotel tick important box ( clean , safe central ) -what 's more- highly affordable . be rare . make hotel rather wonderful . & quot ; complaint & quot ; ( be even .. gripe ) staff behind counter seem tad stress life . ok , guess 's fact life be check 30 40 people every day . handle socially stay polite , staff helpful . 
 Apr 1 2007 	 can not go wrong Herald Square 	 stay Herald Square couple night ( March 16 & amp ; 17 ) . get excellent feedback friend would stay . get excellent rate Expedia . get early though could not check early 'cause place fill capacity , leave luggage locker 50 cent . think room would small 1 ) not one renovate room 2 ) have hear horror story room size walk closet NY , surprise , room quite spacious nice . bed , like everyone say , fabulous , soooo comfortable clean , room . bathroom clean -- though not hair dryer : ( water nice . tv ok , many channel choose . safe room . complain , thing heater little loud night . , room quite comfortable . try freebie lobby ( can not go wrong Van Haute coffee ) . also good hot chocolate , latte & amp ; mocchaccino . wide variety tea also biscottis -- include , nice . be also Dunkin donut right corner . staff extremely nice helpful . recommend couple place lunch ( cafe call Bon Gout right 5th 31 particularly good , hot cold buffet , good coffee pastry even beer ! ) location hotel could not well . walk concert Madison Square Garden . Macy 's Empire Estate Building within walk distance many NY landmark well . , not think will stay anywhere else ever visit ny , especially consider rate . ; - ) 
 Mar 27 2007 	 first class accommodation 	 return New York stay Hearld Square . good central location around corner Macys / Empire State Building . within easy walk distance Time Square . 34th Street Subway block awayaccomodation first class get upgrade Queens Room . room large well finish . bed particulary comfortable hard leave morning . flat screen tv film channel , hairdryer large safe . room clean daily high standard . excellent coffee facility biscuit lobby . need area well serve cafe / resturant delis . staff helpful go back New York stay else give reasonable price . look forward return Hearld . 
 Mar 26 2007 	 great place 	 hotel came highly recommend tenants.i look place central everything.and affordable . place right money room cozy feel . renovate room lovely . expensive room renovate worth shell money you re go spend time room outside . you re look marriot hotel feel budget . staff super friendly helpful . hotel give overall feel home . nothing comercial . 
 Mar 14 2007 	 Small perfectly form bargain ! 	 Small perfectly form bargain ! hotel New York generally expensive little apprehensive $ 99 night double room Herald Square Hotel pleasantly surprise , room clean , bed comfortable , private bathroom always hot water ( although sometimes litte hot ! ) cable TV . room fairly small perfectly adequate 4 night stay free coffee machine lobby great warming sightseeing . hotel 's locate midtown convenient subway sight , although preferred area downtown nightlife cheap cab ride away . 
 Mar 5 2007 	 convenient friendly clean . bargain ! 	 friend stay Sept. ' 06 , us UK . have separately NYC , stay expensive hotel - shame not see place . room clean tidy - fresh towel , bathroom clean room tidy daily . fresh soap even one use ! room little compact , $ 99 per night middle Herald Square district care ? shower water always hot . tv major news channel . air conditioning . staff friendly helpful happy order taxi answer question . handy locker room stash suitcase last day . great location - 10 min walk Times Square . 5 min walk Penn Station . subway close . oh , big department store nearby . ; ) definitely come back hotel next time go NYC .... C. Sharp . 
 Feb 26 2007 	 Perfect 	 one best , good , hotel stay manhattan . amazing value , great location ( 2 block Empire State Building , 5th ave broadway ) . hotel staff friendly work problem promptly . everything clean , spotless ! couldn´t find well deal . 
 Feb 21 2007 	 great Location ! ! 	 definitely stay Herald Square ! great location , great value . share - bathroom problem since never occupy need always spotless clean ! room extremely small bed comfortable . choose hotel location stay 5 day work assignment trip . can not beat NYC ! 
 Feb 17 2007 	 Good Hotel Nice Stay 	 stay girlfriend Feb 07 perfect require . price good Manhattan . midtown 2 min Empire State build 5 min Macys . load subway stop within 5 min walk . room clean comfortable . bathroom basic , clean shower good complaint . staff friendly absolutely wait check . would definitely stay . 
 Feb 12 2007 	 Excellent Value Manhattan 	 Herald Square Hotel great find . move away Manhattan late last year thought would not able afford decent hotel return visit . ' m happy ! whenever get homesick jump train hour . , hotel not luxurious , nice . provide excellent value price . 's clean staff could not helpful . apparently , put old unrenovated part ( flatscreen tv ! next time will know request new room ) , towel soft fluffly bed die . bad thing say 's location tourist hell , midtown Manhattan . New Yorkers avoid midtown liker plague 's good subway stop one block away hotel provide quick easy fast escape blight , expensive part town . this hotel become new & quot ; home sweet home & quot ; New York City . 
 Jan 28 2007 	 beware false reservation charge 	 make reservation 2 night stay hotel , however cancel reservation , 2 week advance . the day suppose stay charge 2 room ( one ) plus call , man read reservation number never hear . precise come write kind information . confirmation cancellation number one read soooo far . make reservation right hotel website cancel way . people work customer service hotel idea ? stressful situation especially someone live budget like . beware unless money throw away . call bank hotel get straighten . never ever try hotel . 
 Jan 26 2007 	 Super hotel stay 	 boyfriend stay Herald Square Hotel September 2006 , disappointed . go New York , absolut stay again . the hotel near lot thing , 2 minute walk Empire State Building , 5 miunte walk Macy be on . the room perfect , service cleaning absolute okay . be go New York , stay Herald Square Hotel , promise love . 
 Jan 13 2007 	 appreciation herald square 	 visit herald square increase appreciation . travel alot whenever go ny , get stay another newly remodel room herald square . new room compare 4 5 star hotel manhatten 1/3 price . love thehotel 's central location appreciate free wifi . staff nice bed first class . flat sreen tvs welcome bonus decor history hotel , make stay wonderful treat . highly recommend herald square , want great quality affordable price . newort beach can 
 Dec 28 2006 	 Nice Place Good Location 	 influence glow review book on - line hotel web site , good rate , Christmas night . the hotel locate little - use side street 5 dark lonely feel . 32nd St , next street , bustle lots korean restaurant , nice Ramada hotel , car park polite uniformed attendant , etc . the car park arrangement Herald Square parking , tab one night SUV $ 21 . can not beat New York . without ask , room upgrade one renovated room , hospitable Reception . the room indeed nice , beautifully do , high ceiling . bathroom one large ' ve ever see NYC hotel clean bright . warning : toiletry even shower cap bring own . Brilliant LCD tv mount wall easy view bed , small sit area two chair marble - top table one corner . heating fine -- steam radiator decorative cover , cool fine -- window unit , loud . coffee / tea - make supply room . also hot water issue , hotel guest probably take shower once . the hallway utilitarian point reminiscent old soviet - style drabness , look freshly paint . the refreshment room Lobby nice comfortable sit area , decorate Christmas , picture window face street . coffee good , hot chocolate offer well good biscotti -- complimentary . be lap luxury ? no . would stay ? definitely , be clean great location . 
 Dec 24 2006 	 continue great value money 	 read review hotel Tripadvisor wife take plunge booked week December 2006 . disappoint early review prove reasonably accurate . as wife basically shop trip plan spend much time room - priority us security cleaniness affordble price . regard room safe access building via security door man 24 hr reception . linen change every day water normally perfectly hot ( run cold one evening 6 ) . location 31st street convenient Macys Empire State Building . Manhattan $ 100 ! downside room ( esp bathroom ) tiny apparently norm NYC . advise upgrade room extra bed - upgrade suspect room must quite small . room decor pretty grim dark although nothing suggest unclean . hallway process badly need redecoration although new colour will not inspire anyone . the coffee area restroom foyer spotless comfortable . ecellent value money will back . 
 Dec 16 2006 	 look mosquito 	 stay hotel 4 night wish book else , room number 804 next air conditioning unit , extremely noisy throughout . also bite several time mosquito complain bite . tell would pay extra move differen room . even buy spray keep pest away . the receptionist unhelpful concerned filling room deal issue . good avoid one want good time New York . 
 Dec 15 2006 	 make great 1st trip ! ! 	 would like thank Herald square making stay plesant one . service great , room . will deffinatley book next visit ! 
 Dec 14 2006 	 great room great location 	 recommend stay american friend mine , check hotel website find look good . arrive Penn NY Stn two block 31st street , definately walk distance . lobby not greatest - look lift / stair corridor not smart , plenty sign apologise appearance - process re - decorating . staff friendly enough . room ( 120 ) first floor good - new Queen Room . window over - look fire - escape ajoine building great . plasma screen decribe beautifully decorate . small claustrophobic . safe work , good . bathroom spacious good shower , however towel rail prone fail apart drop towel face cloth toilet ... conclusion , would recommend hotel other . 's good location , block Empire State Bld 100yrds 5th Ave . aware be redecorate . 
 Dec 6 2006 	 say small mean SMALL ! 	 give hope able afford fall weekend New York check hotel 's website ( -- - ) learn & quot ; small single & quot ; room $ 100 . experience teach Manhattan hotel room small , figured must really tiny . price , hotel reasonably well rate , book it . and tiny : bed ( big enough , ' m 6 ' 2 & quot ; ) , shelf unit hold tv double rude desk , little safe phone phone book sit , bathroom sink , stall seat , be . one person , one night well , since 's place hang anything , even hook wall , scarcely room baggage beyond overnight bag . as hotel : 's comfortable sit area lobby . ( coffee machine not work . ) 's laundry room internet kiosk actually work . place overall seem bit shabby side - , however , confused seedy . location convenient Empire State Building , Macy 's Morgan Library . New York , public transit get almost anywhere . price , could pay taxi need one . will ? maybe - ' m likely pay real room . 
 Dec 6 2006 	 5th year still love ! ! ! 	 back 8 day stay fab hotel Heart New York City . location , hotel could not well , around corner Macys , Empire State Building 5th Avenue . value , find well hotel price . service , well , staff could not nicer helpful try , Monica front desk , diamond . room comfortable always keep clean , update one good bed soooooo comfortable 's hard get other say , double queen room far good size . tea coffee reception great , especially shop trip time waste breakfast , grap cuppa run . go last 5 yrs , find mistake good mistake ever make . 's great hotel stay NYC back . 
 Dec 5 2006 	 look elsewhere 	 book hotel on - line review picture . Plasma TV ? hell ? mine average everything red . picture web site show beautiful room , spacious , tout amenity . mine small , closet , step bathroom ( cause many stumbling ) , clock . , ask . Told & quot ; & quot ; room clock , dresser / drawer . & quot ; extra $ 40 + tax /night . decline . could not open window , constant noise AC outside anyway . Hair dryer check desk deposit . thankfully bring . not worry tip doorman . not one . hotel staff behind glass . bullet proof ' m guess . nice towel good pillow . coffee , tea , etc . lobby . be pretty much . afford buck , go elsewhere . 
 Dec 5 2006 	 Luxury room Bargain Price 	 wonderful hotel ! ! ! although lobby may look like much , amazed room 's ammenitie . beatifiul bathroom new fixture , flat screen tv , amazing , plush bed -I could not believe great room little pay ! room well appoint , clean ( certify neat freak ! ) .another great thing Herald Square Hotel 's location . Herald Sqaure great area , full excitment centrally locate New York 's sight attraction . I never stay anywhere else New York ! 
 Nov 30 2006 	 beware room 108 ! 	 book 2 room March stay November year . read review site rang September make sure 2 upgrade room . when check give 108 118 , one least 40 % big . 108 pleasant room way charge rate 118 . speak various people culminate manager , nothing prepare . tell ' it old building blah blah ' , maybe New York , come York England date back 1200s , not impressed excuse . I mostly annoy book far advance would think would put we comparable room . overall good stay - clean comfortable bed . not go New York stay room . just aware room 108 tiny , single wardrobe , offer check first . 
 Nov 23 2006 	 perfectly place 	 return 5 night trip New York stay Herald Square hotel . book hotel read good review Trip Advisor . hotel exactly describe . location excellent , important ny . book large room two double bed get . bed extremely comfortable blissful sink full day shopping sightseeing . room thoroughly clean day fresh towel also supply daily . definitely recommend hotel return . stay ' upmarket ' hotel last year , Herald Square beat hand . 
 Nov 21 2006 	 perfect great location 	 stay Herald Square Hotel November 2006 generally find experience positive one . hotel definitely Ritz - value accommodation question . struggle find hotel room New York night want stay happy pay $ 169 + tax hotel discover available . hotel look far luxurious outside grandeur building evident , walk inside illusion lose fail disappointed see bullet proof glass surround reception slightly date unattractive decor foyer area . lucky enough give refurbish room , be fairly small basic . however , clean comfortable bed . air conditioning incredibly noisy wall thin could quite easily hear people adjoining room . nice , however , give complimentary coffee foyer even manage connect laptop wireless network free charge . location hotel opinion hotel 's great asset . literally stone 's throw away Empire State Building Macy 's . Overall Herald Square great option look well price , clean hotel frill fabulous location . manage get refurbish room , hit jackpot ! 
 Nov 18 2006 	 great hotel great location 	 price hotel fantastic , room basic clean . bed good bathroom good size . tv load channel also aircon unit ( even bit noisy . ) area hotel locate quiet . great tea coffee facility reception staff helpful . location hotel fantastic 2 min walk empire state building , metro Penn station 15 min walk Tiime square . nice Irish Pub 100 yds away plenty place get breakfast.make sure book hotel website benefit good price good room . I use hotel next time visit New York would also recomend friend family . 
 Nov 15 2006 	 hide jewel 	 advise friend try . stay NY 100 time year . far , good value ' ve find city . great location , minute everything . helpfull , courteous knowledgable staff . room new , quiet , clean , amazing bed , flatscreen tv . bathroom spacious , bright large shower bath . the history hotel quite interesting . week early November . highly reccomende friend family . overall outstanding gem stay future trip NYC . website also do great spirit NYC . fun , live high , save alot money . Mark Los Angeles . 
 Nov 15 2006 	 Life big city 	 stay two night four hotel try New York favorite . fact office building Life magazine still apparent hallway seasonal display life cover nice touch . they midst renovation warn hallway still look bit rough room common area comfortable . staff beyond expect budget hotel . I stay single room [ comfy twin bed ] renovate although room small clean certainly deal $ 89 night ! bathroom clean tub meant get soak walk self around city . location great explore midtown onsite laundry internet terminal real plus . I ' return price , staff make feel welcome gift key chain [ one cherub facade ] ice cake . 
 Nov 14 2006 	 tiny room 	 reasonable location , safe area , near korean restaurant , Macy 's , Herald Square , subway , etc . small single room , bathroom hall . room small , could not even open door way get ... still $ 100 per night . clean quiet , real waiting use bathroom hall , also clean . absolutely room open suitcase floor anywhere else , except bed . staff reasonably friendly polite helpful arrange airport transportation . free coffee / tea lobby nice . renovation go hotel , try get renovate room renovate floor . New York hotel expensive , think room small price . 
 Nov 11 2006 	 love Herald Square Hotel ! ! 	 travel around world must say reasonable rate also one nice room see long time ! bed incredibly comfortable whitest , softest sheet blanket include comforter feel like bed fine european hotel . bath room deep luxurious marble bath double sink great lighting , hair dryer plenty room get ready night . watch movie listen music large flat screen television sit together lovely private cafe style table room share bottle wine night coffee morning beneath large arched window . long dress table light magnify mirror make get ready simple . every person front desk maid clean room- polite , helpful always smile . splurge good room anniversary rate actually plenty left go eat fine restaurant city ! back ! 
 Nov 10 2006 	 Herald Square Hotel - one good deal town 	 last month ( 8 - 15 October ) , cousin stay Herald Square Hotel , extremely happy overall experience . share large double / double room ( two double bed ) face W31st Street , adequate need . everything immaculately clean , include bathroom , admittedly small , compensated fact full tub well shower , water hot , wonderful pressure . towel beautifully large fluffy , replace every day . bed amazingly comfortable , tv enough channel keep we happy night not go . one thing particularly impressed staff reception . unfailingly friendly helpful , something always encounter previous visit hotel NY . two futher pluse limitless tea / coffee / hot chocolate available 24/7 lobby , laundry available use guest , state - of - the - art washer dryer . location also great , many great eatery vicinity , course Macy 's short two block away ( make good use sale ! ) .We pay $ 189 per night first five night , $ 199 last two , book hotel 's website . right till time leave trip , keep check various hotel see could get well deal , everything else far expensive - apart Radio City Apartments , always seem book month month advance ! heartily recommend hotel excellent value budget price . 
 Nov 8 2006 	 small room ! ! ! 	 inspire positive review hotel decide book single room 5 night . contact hotel couple day see could get one newly renovate room inform single room yet do assure getting & quot ; nice room & quot ; . see room admit shock disappointed small actually . able stand arm outstretched touch two wall . small window not give much light look onto building opposite . big concern , window not open , would get event fire . smoke alarm would not much help fire corridor outside . air conditioning unit look 50 year old make lot noise use . overall stay pleasant enough day return late hotel sleep . room bathroom clean fresh towel supply day . staff friendly helpful free tea coffee lounge definitely plus . location excellent New York sight see shop - although not buy much little storage space room . would probably stay would perhaps pay double room one renovate room . 
 Nov 3 2006 	 Labor Day Weekend Treat 	 wife stay hotel Labor Day Weekend . rain day Saturday , hotel dry cheerful . raise spirit . treat ! historian teacher doubly thrill spend time historic building magnificent art work , cover Life Magazine , display hotel . room stay magnificent . extra comfortable queen size bed , comforter pillow , flat panel tv , bathroom beautiful wife want re - decorate home similar theme . bed , bed like sleep cloud ; soft , clean , invite . bad back often trouble sleep bed bed home , Herald Square Hotel , fall asleep soon head hit pillow . one restful sleep ever away home . also say something staff ; attentive , helpful , courteous , every way helped make stay terrific . definitely stay Helald Square hotel next trip NYC . 
 Nov 2 2006 	 Perfect stay . 	 clean , comfortable great position city . HSH perfect short stay ny . highly recommend . 
 Nov 1 2006 	 great location 	 doubt room small size ... large suitcase large rucksack full manage ok . great hotel fantastic location couple block away Empire State Building . there really good free coffee downstair lounge look like decorate ( cause we problem ) reservation ( excuse pun ) use 
 Oct 30 2006 	 Beware Bedbugs ! 	 stay Herald Square hotel October 16 - 20 . lucke get amazing room 9th floor think . first morning girlfriend wake bite hand arm . think maybe might bug could not see bed room nice thought , could ? second night wake middle night something bite . morning call front desk tell happen . want come room see bite say would get change come time , 2 minute later , someone housekeep door ready inspect bed . really annoyed guy came go bed still pajama ! could not find anything say must allergy pillow . girlfriend doctor inform allergy present like , would not believe . change room much small one another floor room seem fine . aside irritate we believe could bug , hotel staff friendly complaint water pressure lack hot water . reason write know Herald Square budget hotel come certain level expectation pay one & quot ; new queen room & quot ; although look nice not worth . second time stay first time well experience .... renovation . look nice good disappointing . 
 Oct 28 2006 	 great deal ! 	 clean room clean bathroom free coffee GREAT position .. could ask cheap price ? ? ? boyfriend pleased hotel must spread word ! ! 
 Oct 26 2006 	 Budget Hotel Excellent Location - overall great value money 	 six we stay Herald Square eight night recently confirm review pretty accurate . - hotel fantastic location ( short walk Macy 's , ESB Madison Sq . Gardens ) . - 's clean bed super comfortable- room need renovate currently process ( possible , pay extra one newly renovate room really nice ) .- staff nice helpful , upgrade four we well room book ( e.g . fiancé book standard room upgrade we queen . friend book queen upgrade new room ) . would recommend be couple go least queen room option . way might get upgrade new room be lucky , , queen room fine ( although need update decent size really comfie bed duvet instead horrible scratchy blanket ! ! ) basically - not expect luxury will not disappoint ! oh one final word warn - single room absolutely tiny ! 
 Oct 19 2006 	 good choice ask refurnish room 	 come back 5 night Herald Square Hotel friend agree review : be clean , location simply perfect , area safe full restaurant ( prefer one around Madison Avenue , be plenty choice everywhere walk distance ) , price ok . ' ve also find staff quite friendly helpful : impression try really hard give guest need , free coffee nice thing get be back busy day . in general , hotel pretty basic room small side . ... surprise surpise . renew hotel , bit bit , & quot ; old & quot ; room , leave , guy desk ( maybe manager ? ) insist show we one refurnish room . new room * gorgeous * ! still small well furnish , sparkle bathroom plasma tv : definitively 3 star level 1 star price ! , try get one new room , stay change right heavenly ! tell we good way book online call ask . ( will definitively next time ! ) Claudia 
