great 	 quaint hotel right Union Square far trolley car busline . staff always helpful . room keep clean maintenance clean people great . four time ask room away elevator stair go relax enjoy . get king size bed last time comfortable even write ask type pillow bed ! one thing San Francisco exclude hotel bothersome we , panhandler . without exaggeration , take walk block away , approach minimum six time money . love King George talk maybe stay next time find hotel similar , away Union Square area . not dangerous aggressive , not afraid , bothersome . love King George though . Lori 's restaurant right next door , great american food , nice old fashion 50 - 60 's diner , people great also . would suggest stay highly . be really lovely hotel . 
 Jul 7 2006 	 feel home 	 Needless say , great price ( pay $ 150 per night occupy 3 people ) , great location ( block away Union Square , close cable car shop ) . stay double room family three night room excellent ( price , course ) ! like window bathroom . give feel actually live apartment SF ! hotel staff always nice helpful . one negative thing bed matress bit soft ( maybe be pretty old ) . another chance travel SF , definitely stay King George . 
 Jun 20 2006 	 Location Location Location 	 can not beat location right Union square block trolley line public transportation . budget traveler place . Fairmont , easily fit within 3 star category , low $ 100s less steal half . parking expensive ( $ 26 day ) , budget price . room small comfortable , quiet , hot water , free high speed internet , friendly staff , etc . 
 May 30 2006 	 totally okay 	 tiny , tiny room , horrible breakfast - buy breakfast package , lot fun diner nearby ... , great value pay around $ 100 , decent service , quiet , clean room back , excellent location .... 's tradeoff . 
 Apr 17 2006 	 decent place great value money 	 $ 120 / night near Union Square , wans't disappoint . plus : Location , friendly staff , location , friendly bar back . room clean . oh , mention location ? minus : room tiny -- even & quot ; deluxe & quot ; room . 2 - 3 foot open space perimeter around bed . need patience shower water warm . room face sort gap adjacent building -- exactly good view . overall , would stay . 
 Apr 5 2006 	 bad hotel 	 ok -- -everyone 's right -- -the room small bathroom size postage stamp . one night stay , fine . room clean quiet staff helpful . step homeless people get one reviewer say -- -well , unfortunately step homeless people get Hyatt every hotel San Francisco . King George good location -- -- couple block cable car easy walk good restaurant ( go John 's Grill dinner ) interesting store . internet deal not car park , price , King George work well we . would consider stay . 
 Mar 9 2006 	 TERRIBLE 	 irresponsible , inattentive unreliable . overall disastrous experience . recommend . 
 Feb 23 2006 	 Small Room even 2 People 	 recently come SF long weekend decide stay give great location Union Square ( close Bart , shopping , chinatown , restaurant , car rental ) . give credit location ! room , good thing evening ( sleep ) day . room small . would say 12 x 12 . 3rd floor , much noise surprisingly . right walk bathroom right , fairly clean , old ( industrial toilet , peel wall paper ) would fit one person time . closet small not even fit roll - on suitcase . bed 5 foot entrance take space room , desk , 2 nightstand , chair tv stand basically limited walking room . strategically move around not bump . not plan hang room , good place stay give great location . 
 Nov 15 2005 	 Good Situation 	 stay hotel 7 night . find adequate , clean bedroom , good bathroom ; room little small size . very well place central San Francisco . the staff friendly helpfulWe enjoy stay hotel city ! ! 
 Oct 6 2005 	 Teeny Tiny Room 	 fair , staff courteous helpful . say , room small two people luggage not fit . spend two day trip other stuff . there one chair , someone always sit bed . window ' frosted ' open onto dirty dark air shaft . also - air conditioning - ceiling fan . night cool , fine . heat summer , would unbearable . there far well * deal * S. F. area . 
 Oct 4 2005 	 bad Advertising : King George Boutique Hotel 	 King George European hotel - nice bar small lobby . room , however , vary size - one first two day stay tiny husband could not turn around time bathroom mirror divided room side one could see couple inch front one ! ( make hard put makeup : ) move last two night ( claim full could move we early ) slightly large room . nice , international group people stay work King George - ' ve stay well small & quot ; boutique & quot ; hotels Union Square area . 
 Sep 22 2005 	 neutral 	 try book directly reservation system , screw . unsure date reservation clerk say hotel put room hold we . start read cancelation policy ! ! ! make & quot ; hold & quot ; make actual reservation . clarify position , reservation clerk still mess . arrive reservation . the front desk clerk find we room give we price break inconvenience . would rather avoid thought room . front desk clerk understanding . the hotel rather old room small . floor hotel room serious steam clean . overall room kind feel like bed breakfast room . highlight : price reasonable location . one block Union Square hotel park two foot hotel . do not expect thrill , place stay short trip . 
 Sep 21 2005 	 Umm ? ? 	 stay 3 night Sept mixed view . ( twin ) room side ( 4th floor ) one night keep awake voice lady beg money . lot begging go outside hotel . room small clean large storage area luggage . bathroom also clean great powerful shower . lobby bar area luxurious - bar lady great , really chatty full information SF . use car park opposite pay hotel Reception save couple $ . porter v helpful attentive . 3 consider use limosine around town also cheap shuttle bus airport . lot place eat nearby , v good location Union Square , shop ( Macys , Crate & amp ; Barrel , GAP etc ) , China Town cabel car stop . actually walk Pier 39 - far . - average good memory . 
 Sep 20 2005 	 good value location excellent service 	 s.f . Fringe Festival . stay 1 night . perfect location . excellent , helpful staff . room ready 11 am crowded weekend . upgrade free 2 - bed room single queen since latter unavailable , room large expect . 8th floor , view building room odd corner light air main room bathroom . free safe closet . free high speed internet room ( ethernet cable provide ) . free enthusiastic storage bag several hour checkout . parking expensive - not odd s.f . still , drive city $ 150 room become $ 180 room . 
 Sep 10 2005 	 Value money hotel SF 	 good location - close Union Square mainstreet San Francisco . first impression good arrive hotel - everything lobby floor high standard ( even restroom flashy SF ) - move floor thing & quot ; used & quot ; ..... stay 2 night room street view . bit noisy night , expect street view San Francisco ! ! ! : - ) room nice clean ! seem two street view room floor large rest ( though still small compare hotel room ) . room street view number 0 1 floor ( e.g . 700 701 ) - number 0 next elevator might well ask room number 1 fairly large room nice street view . breakfast ok , free internet ( wireless room ) , concierge service mind . 
 Aug 28 2005 	 awful ! 	 hotel awful actually cancel second night check night check . family stay Hilton choose sleep cot room instead ! lobby deceivingly nice .... get stair , feel like check college dorm . room small NY studio apartment clean . bathroom tile suppose white , . toilet equivalent gas station rest stop facility make awfully loud noise time flush . guess step homeless people go check give we first clue . 's worth pay stay San Francisco.john , nj 
 Jul 6 2005 	 Nice Service 	 love San Francisco King George Hotel great place accommodation . hotel like SF spacious nice , clean friendly helpful staff . location perfect . 's Union Square , would walk distance shop ( Nordstrom , Macy 's , etc . ) , cafe ( one literally every corner ) , bar restaurant . importantly cable car station , must SF visit . great place stay not want splurge ultra - expensive room . 
 Jun 25 2005 	 reasonable hotel 	 hotel ideal position right near Union Square also mean noisy . nice 3 star hotel stay ok couple night . 
 Mar 26 2005 	 stay location 	 good thing hotel location . block Union Square . room small - stay queen bedded room felt cramp . bathroom equally tiny . would way small two people . get hotel good rate - go location . aware undesireable Tenderloin district nearby - walk alone night plan journey via Union Square . 
 Mar 17 2005 	 good deal near Union Square 	 ' ve travel annual San Francisco convention almost every year , let us say , long care remember . must stay dozen hotel time , , near Moscone convention centre Union Square . find King George usually offer good value stay often . book hotel near Union Square , choose bustling , noisy environment - , US , mean indigent feel insecurity . want calm exterior environment , stay elsewhere ! especially since interior remodelle two three year ago , King George offer comfortable calm environment . yes , room small plumbing fitment old , spotlessly clean well serviced . , thing give King George edge mid - price hotel around Union Square management seem try really hard make feel home . free broadband access one plus , little thing jar sweet dress table , make feel really comfortable . King George also usually offer price dollar low ( also good ) Warwick Regis Maxwell , quite bit low like large Marriott , Renaissance Nikko . be mad enough bring car SF , King George offer discount rate parking garage immediately opposite . also offer discount rate nearby health club . finally , would endorse another reviewer 's recommendation diner next door , either breakfast snack . 
 Jan 12 2005 	 side ghetto 	 stay 2 night June . stepped man lie sidewalk get hotel . still hour later . clean incredibly small . begger around hotel get aggressive . next door restaurant good deal- see lot cop eat . good thing . staff try find problem internet reservation- give several call persistence . door man barely helpful- check sit next struggle bag do not even offer open door . Ill stay pay high price next time . 
 Jan 6 2005 	 Convenient 	 stay December 1 night . first room right elevator , immediately change . second room fine need : shower sleep . tastefully decorate , perhaps little cramp . friend , right next door , much big room . maybe 's woman . time , floor quiet , loud couple next door fighting add even noise , cry baby . good thing hotel location . night club go block away , Ruby Skye . diner great , allow we late night choice right near hotel . stay , would friend bring ear plugs . staff great ! 
 Jan 3 2005 	 would not recommend ... 	 stay 3 day 3 night . good thing hotel Location . one block away Union Square catch cable car fisherman 's wharf get bus Haight Asbury . bad thing hotel : 1 . room SMALL . live small junior one bedroom DC pretty much use small space maximize small room room ... would agree reviewer 's comment be almost closter phobic sleep . put much stuff room make even bad . 2 . everymorne 8.00 cleaning service knock door ask whether want room clean . ? ? ? never stay hotel wake clean room . know people like wake early vacation get city not . since hotel sound proof door hear lady say word repeatedly every door hall way . really disappointed hotel , especially read wonderful review tripadvisor . 
 Dec 27 2004 	 Good Value bring ear plug 	 agree reviewer hotel great value , must also say noisy hotel ' ve ever stay life . stay NY lot work noise level outside hotel million time bad anything ' ve ever encounter . hotel clean service good friendly . convenient location , also locate 24 hour diner may contributed noise level . family 4 room total none we sleep wink entire two night . 's much insulation window bathroom slat pane glass make sound like window open . maybe go stay back hotel bring ear plug , might okay . 
 Dec 16 2004 	 BEST value ! 	 find hotel via local friend great location , quite , nice staff CLEAN . value every hotel look twice price half nice . 
 Dec 16 2004 	 mold room . 	 enter room 300 , room smell musty , hair toilet hair bed sheet . check behind curtain , locate behind bed , mold grow wall . I call front desk lady give attitude . say , & quot ; could change room & quot ; not even apologize mold room say , & quot ; check enter ? & quot ; .The new room improvement , never stay . every time leave hotel come back , hotel staff never greet . 
 Dec 1 2004 	 great find ! 	 stay King George nearly 25 year recommend friend also enjoy hotel . yes , room small elevator bit slow add charm . much like typical european hotel . hotel always spotlessly clean staff friendly helpful . location perfect - walk distance many sight , safe , lot place eat nearby . really not think beat price hotel either ! 
 Nov 29 2004 	 great little hotel 	 excellent hotel three time , week - long stay work . recent ( ish ) addition broadband room add great value get . room maybe huge , comfortable clean , staff friendly . problem - ' ve ever one - promptly courteously sort . location also excellent ( check diner right leave hotel - 's great ! ) . will not stay anywhere else next time visit SF . 
 Nov 16 2004 	 Great Location - Good Value 	 stay Labor day weekend great time . hotel clean , friendly staff , great location 1/2 block Union Square cool little wine bar . would stay anytime . 
 Nov 15 2004 	 try someplace else 	 King George Hotel clean staff helpful ..... 's . room small .... can not stay one night . bathroom ok tight . Hallways institutional looking antisceptic . one tiny elevator come slowly .... not stay upper floor . know rate good think could find someplace well price . look consider hotel . 
 Oct 14 2004 	 great location ! 	 stay King George twice enjoy time . recent visit October 2004 . extremely well locate , quiet King size bed comfortable . the room small price . stay . 
 Oct 5 2004 	 great 	 not believe whqat read ..... King George fine hotel . close Union Square ( 2 min walk ) right heart action . stay 5 day really like . room not huge , stay hotel room day San Fran anyway ? ? ? 2 suggestion ... ask first floor room elevator slow ... get room centre hotel .. view cut noise SF loud night . 
 Sep 27 2004 	 get u pay 	 great place . small room keep fair . lot room move around . great location club , road much well accomodation dollar . not expect 4 people fit comfortably . 
 Jun 15 2004 	 great little deal 	 stay hotel April 26 - 30 , 2004 business think right . good location & amp ; reasonable . room small ( European American - sized ) , mine clean everything need . staff friendly helpful . afternoon stop bar always enjoyable lot helpful tip place go bartender . caveat ( first room size important , consider something else ) breakfast : unless be picky , go . 
 May 20 2004 	 great value location ! 	 get GREAT deal hotel , even regular rate 's steal location - even full block heart Union Square . room small , not seem like hotel area much large room either , chance area shop will not spend much time hotel anyhow ! staff sooo friendly , helpful , efficient . hotel cute , clean swear good night 's sleep life bed . yes , hear sound city , CITY ! one night man wander alley play blue harmonica ... kind nice ! room also nice big bath really clean . definitely return . 
 May 4 2004 	 Diamond City 	 Boutique hotel heart pulse city excellent location city transportation . strong emphasis cleanliness room hotel . customer service friendly professional . room bit small , air condition update stylish . great Value ! 
 May 1 2004 	 Great Location - Small Rooms 	 price pay ( $ 89 per night ) , King George provide clean room top amenity . Great Location . free Internet . Spotless Bathroom . however , 90 degree stay room air conditioning , ciele fan . adequate day , night , lot ' urban ' noise hear eigth floor . would stay get room window bathroom sleep area . 
 Apr 29 2004 	 good deal money 	 hotel clean good location . staff friendly helpful . room little small . get room next elevator . big , noisy elevator traffic . 
 Mar 31 2004 	 good ; would stay 	 wife two kid stay King George 3 night . room ( & quot ; deluxe & quot ; double ) small little funky , hey , 's old hotel , find charming . great location . free in - room Internet . complaint : get bed / breakfast combo , continental breakfast offer enough feed even 6 - year - old : single bagel muffin , small cup fruit , one glass juice . , million little cafe area . bottom line : would stay King George . 
 Mar 25 2004 	 not know King George get rave review . 	 stay King George Hotel year ago , think price extremely reasonable review place excellent . know get room two twin bed , shocked see tiny ( almost claustrophobic ) room . bad part , though , one bed lumpy . believe actually break spring ! bring attention hotel check , get kind odd response . expect shock , perhaps rebate . instead give ... apology . 
 Mar 23 2004 	 gem 	 stay King George 27 Feb 2 Mar 04 - long enough ! ! ! old worlde charm , value Money $ 94.00 website . Location Perfect ! around corner ( 1minute ) Union Square & amp ; cable car . importantly ( well ) room SPOTLESSLY CLEAN . true room small side & amp ; wall little thin . 's lovely hotel , & amp ; definetly stay . 
 Mar 20 2004 	 decent place ; recommend 	 place pretty good . 's old building , not expect much . room small , clean . bathroom also small . can not beat price location , unless want stay somewhere sketchy ( place definitely sketchy ) . not recommend diner place next door - 's way overprice not get much . would stay . 
 Mar 13 2004 	 Good price 	 disagree negative review read King George . husband visit King George July , admit , lack air conditioning concern . need concerned , even July weather night cool window open fan go spoil New Yorker able sleep like baby ! also not understand complaint bar . yes small , spend time hotel bar many fabulous place go city ! amount time spend hotel room place like San Francisco , many complaint warrant . find staff extremely friendly helpful would definitely recommend hotel anyone look affordable place stay otherwise expensive city . 
 Feb 20 2004 	 good value location 	 great location want heart tourist San Francisco , Union Square . room small modestly furnish , still clean comfortable ; staff pleasant . room overlook roof , street , quiet . $ 112 pay Saturday night February , think good value . 
 Jan 27 2004 	 good value Union Square ! 	 downtown hotel monumental value . freshly decorate room corridor , attractive quality furnishing , nicely renovate bathroom . ( be complain hotel , not travel much especially much San Francisco . ) parking breeze , value - price , highly convenient . cocktail soda readily available , psuedo honor bar room service newly - renovate charming lobby lounge area . nice quality sheet , towel , amenity , comfortable desk lounge chair room . treat warmly throughout visit . beat hotel price , location -- possible . HIGHLY RECOMMENDED ! 
 Oct 24 2003 	 well keep secret ! 	 pleasant surprise come upon hotel ! travel 30 - 45 % year see doozie ! hotel nice come home hard tradeshow day . decor awesome hotel clean ! bathroom always sparkle . location important heart Union Square beat . several wonderful little restaurant walk distance ( 5 minute away ) . will not disappoint one ! 
 Oct 17 2003 	 enjoy stay 	 find hotel major city always difficult , especially be travel budget . find King George Hotel meet expectation reasonable rate . 's location ideal not car stay San Francisco . one day take cable car Fisherman 's Wharf another walk Chinatown . many good restaurant choose around establishment staff happy recommend place try . evening enjoy drink jazz band lounge . room small uncomfortable ( expect hotel city ? ) . anyway , many thing staying room seem silly . overall , hotel charming staff friendly . definately stay go back . 
 Oct 7 2003 	 well somewhere else 	 average location overall , prime location shopper . small room ( though unusually large bathroom ) standard quality . King George Hotel nothing special ... 
 Sep 15 2003 	 not stay ! ! ! 	 stay hotel probably one bad experience travel , travel extensively . first , note air conditioning room . normally big deal San Francisco , temperature get 80 , watch . next , full service bar . instead , may wine , champagne beer , want soda , forget . convey rather rude way staff . wife 2/3 way beer order barkeep / waiter take away ; since not drink minute assume do . apolgy forthecoming . room clean first day 3 pm , becasue one party ask do . response rather lathargic , will look . hope room clean noon , look somewhere else . lastly ( probably importantly ) , lose rental car valet service . request notify 30 minute advance vehicle ready . do previous day take 45 get car , late wedding attend . next day ask car 45 minute leave catch plane , learn lesson . car not , ask counter person car . say rather sheepish voice , & quot ; not know . can not seem find it . & quot ; want hear fly home . give complete description car , eventually valet arrive ... wrong car . try give key vehicle , wrong make color . tell not vehicle leave . begin wonder car give away someone else , especially since ask receipt car try give . ask counter person update vehicle say hand valet , problem . express concern counter person , ask manager . lady stand next gentleman throughout incident sneer , & quot ; ' m manager . & quot ; watch employee run quite time never bother introduce help resolve problem ask . anything alleviate concern , rather leave , talk cell phone . , time , counter person say car still miss , could take hotel vehicle ( charge ) airport would return vehicle . hour go , think sure would never make pende flight . eventually car find , rather intense hour 15 minute . valet arrive , nerve wait tip . opinion mistake happen , know bad thing ? apology anyone staff ! one seem care , manager particular rude . ask inform friend also stay find car leave without say goodbye . friend graciouslly go parking garage look car . manager assured would tell way vehicle . turn without say another word , walk hotel . lack care sympathy mind - boggling . find late message never get deliver friend . instead , search another half hour without tell . never see poorly run , poorly operate , poorly equip poorly train staff . hotel embarassment , would recommend place . vary sad fact want quant , . want service , Motel 6 Super 8 place beat . hope sincerely owner hotel read review look his / her hotel become . 
 Sep 15 2003 	 Great Location room 	 use site pick King George get low cost rate . feel rack rate high discount heavily , give impression get bargain . location can not fault . central everything , within say , 200 metre cable car , Union square major shop Powell St . staff efficient friendly . room tiny bed chair two writing table . separate bathroom full bath . air conditioning fan . hot 3 day September wall face afternoon sun . thank goodness could open window cool . mini bar room safe . usual tv video game etc . solitary lift old building renovate take peak period . use stair ok , hang steep fit one person ! heart attack material eighth floor ! prefer Cartwright Hotel similar old world renovate style high Sutter St near Crowne Plaza Westin . overall King George great location small room . clean tidy , fine quick stopover business trip nothing write home . 
 Sep 10 2003 	 Recommend 	 stay hotel one week . could get room 85 $ per day . require , get quiet room ( end 4th floor ) . room relatively small , well equipped . think price 85 $ beat hotel around . hotel staff act professional . would go . 
 Sep 2 2003 	 Great Deal 
 Aug 30 2003 	 bad 
 Jul 26 2003 	 Great Decor Great Staff Great Value ! ! ! 
 Jul 14 2003 	 good location poor room 
 Jun 29 2003 	 Great Hotel ! 
 Jun 25 2003 	 great value ! 
 Jun 4 2003 	 Great Boutique Hotel ! 
 Apr 12 2003 	 Super location great staff ! 
 Mar 4 2003 	 Cozy 
 Nov 3 2002 	 Great Union Square Location 
 Nov 23 2009 	 Posizione strategica 
 Nov 2 2009 	 Bon Hotel bien situé 
 Sep 22 2009 	 Personnel acceuillant mais ... 
 Sep 11 2009 	 Bien ubicado confortable 
 Sep 1 2009 	 Idéalement situé 
 Mar 31 2009 	 ? ? ? ? ? 
 Feb 8 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Jan 18 2009 	 Wir waren leider gar nicht begeistert ... 
 Sep 13 2008 	 Ottima posizione per visitare la città 
 May 28 2008 	 Propre et bien situé 
 Sep 19 2007 	 Hotel bien situé 
 Sep 14 2006 	 Bel emplacement . Petit - déjeuner à éviter 
