wonderful 	 thoroughly enjoy stay Hotel Drisco . Situated Pacific Heights , hidden jewel sit among many Heritage building / home - well worth stroll see stunning architecture . room re - design update keep age character building . complimentary breakfast serve morning , well sit room enjoy read book / newspaper tea & amp ; coffee serve day . hotel quiet , comfortable staff kind helpful . look forward next trip San Francisco - Hotel Drisco hotel choice . 
 Apr 23 2008 	 Drisco Comfort Quiet Warmth 	 wife spend 3 night blissfully locate Hotel Drisco 16th 18th April . upon arrival , greet like old friend make feel welcome . room well equip comfortable , DSL include , large bed light airy bathroom . Got say complimentary cookie big hit we would gladly purchase box full . would prefer room view , sadly not get one . every member staff go way help we find place eat organise next day sightseeing event . Marti deserve special mention , recommendation invaluable empower we local knowledge . the location perfect . restaurant within short walk , amazing architecture home keep entertain along way . cab easy arrange prompt arrive nothing seem much $ 10 ride away . also manage take advantage Town Car transportation airport sadly leave . reluctant negative anything comment would somewhat agreement reviewer . wall little thin 's easy disturbed rise early get late . however think view context hotel quiet neighbourhood hardly noise emanate disturb outside . must noisy toilet flush ever hear bother anyone adjacent room . we also find breakfast little limited ate alternative . overall , would love return San Francisco would make Drisco first choice accommodation . 
 Apr 22 2008 	 Service Plus ! 	 husband stay Hotel Drisco Apr 18 - 21 , 2008 . book phone , review local hotel extensively . priority we value , tranquility , personalize service . hotel excel . moment arrive , hospitality plus extend . able check early , give advice eat neighbourhood . Marti , concierge extraordinaire , suggest shop Union Street area lunch . , extraordinary time retailer go extra mile , fall love Pacific Heights . while room ocean street view , two large set window , one open onto inner courtyard fill tropical plant . room quiet large sit area . suite conveniently locate hall dining room . visit two time daily wine taste incredible breakfast . Julio Omar , serve staff , go way welcome we make we feel like family . example , a.m. arrival , Omar stop hall ask would like pastry coffee invite take salon area main floor . 's service ! Marti , Concierge take phone reservation , remember trip honour husband 's birthday . return suite first day , find 1/2 bottle sparkle California wine chill cooler ice gracious note wish husband many happy return Staff . attention detail ! front office staff always time interest listen escapade return daily exploration SFO foot . nothing could not we . example , come back last day recount adventure Bob Bellhop / front desk staff yet mention see Haight area , quickly consult internet advise we bus could hop block away haight . if interested upscale european - style pension , place . 100 year history building , expect idiosyncracie like steam boiler bang heat come night morning . think innard would scream bit age ! 
 Apr 13 2008 	 Wonderful Pacific Heights Gem 	 stay Hotel Drisco ( sadly , one night ) ... friend ' wedding .. easily find parking spot outside arrive ( check - in time ) ... rare San Francisco ... greet hot towel , quickly show room . room beautiful , small separate sitting area . light fill space bounce crisp white linen enter bedroom . minute spend room head wedding , return , bed turn , light jazz play softly bedside alarm clock radio . also couple cookie little card tv table , indicate weather next day could prepared ( unseasonably warm , beautiful ) ... think nice touch . bathroom small , efficient , rug super plush . also bathroom amenity basket fill many thoughtful item sale , life saver guest , ' m sure ! actual bathroom amenity wonderful , well- 's nice get something Gilchrist & amp ; Soames change ! de give property one many people already know accept stay old , boutique hotels- hear everything be go neighbor room- side- ... evening luckily , tired , noticed right nodding sleep , morning , awakened morning previously set alarm clock ( 5:45am ) , guest next door we use hair dryer . partake complimentary breakfast , opt dine room , since sit area- great . food simple , hit spot . dining room area spacious , fill light , people quietly read newspaper morning coffee- mellow . can not say enough neighborhood , be nice stay San Francisco , deal crowd , haggle cab , wait valet bring car- check , leisurely walk car , agree would return soon ! 
 Apr 4 2008 	 Quiet Comfy B 	 definitely return variety good reason - location , quiet , be comfortable , amazing linen . honestly , feel hotel meet need well glitzy hotel downtown . thing would say - receive phone call everyone mention . also , loyalty club member , suppose receive half bottle wine . ask , never appear get sense inappropriate ask . breakfast nice indeed friendly young man charge . wine nice quality , serve one kind cheese one kind cracker small bowl mix olive - nice , special - man evening not offer smile welcome . feel staff pleasant not experience anything remarkable . arequ wakeup call meet warmly . however , stand front desk 5 minute early morning gentleman duty chit chat woman phone ( not sound like hotel business ) give - want know coffee could find . otherwise , not ask much perhaps , could report strongly customer service . room , would great tv channel guide well price item honor bar . pay $ 369 / night , can not call bargain reasonable . , look forward return perhaps move 5 . definitely worth stay please not misread comment something dissuade stay . say , will go back . 
 Apr 2 2008 	 absolutely Loved Hotel Drisco ! 	 lovely stay Hotel Drisco feel home minute husband two child ( 14 12 year old ) walk front door . offer hot towel refresh long drive . front desk staff nice , especially Marti , give we many idea . suite sun drench spotless nicely decorate . thrilled . could not ask well breakfast ! love location beautiful neighborhood wonderful place eat within walking distance . look forward return Hotel Drisco ! 
 Mar 28 2008 	 great hotel 	 wife stay Hotel Drisco first part honeymoon find hotel excellent . room feel modern make high standard . hotel set quiet ( obviously expensive ) part San Francisco quick , easy cheap get centre city use numerous public Muni bus depart couple block away . the little extra set hotel apart . every morning complimentary paper hanging door . free DSL internet access every room . breakfast delicious freshly press orange juice . complimentary wine cheese 5 pm 7 pm every evening excellent give we opportunity question host see . we really enjoy time Hotel Drisco , thank 
 Mar 26 2008 	 Lovely Hotel 	 Set beautiful Pacific Heights area , hotel quiet , clean , lovely , customer service top . hot towel arrival , doorman help anything , dinner reservation , name . room flat screen tv free wireless Internet . bedding towel luscious bathroom large . breakfast cold boil egg oatmeal , be complimentary . think price fair location , service , addition , like breakfast internet . parking street bad . definitely stay . 
 Mar 25 2008 	 first rate 	 wife currently stay Drisco thoroughly enjoy . hotel early 1900s elegant , locate one posh area SF high desirable hill section . mansion build Folgers coffee fame next store . President Hoover 's home block away . bit B & amp ; b feel hotel , attentive staff , wine gather early evening , good continental breakfast ( european style : meat , cheese , fresh dry fruit , cereal , yogurt , fresh squeeze orange juice , roll , etc . ) . assorted celebrity range President Eisenhower Ashley Judd stay . location bit far downtown ( 10 15 minute taxi ) , hotel free car service downtown morning . moreover , residential local make quiet relaxed feeling . even sleep window open last night . view windows skyline downtown SF . dedicated parking , parking nearby street prove issue far . also restaurant bar , apart breakfast , food available site grill sandwich . room reasonably size nicely appoint . a / C , seldom issue SF . heat also control ( on / off individual room ) , seem bit warm ( solve opening window ) . everything exceptionally clean . want glitzy edifice lobby downtown middle everything every service possible available 24/7 , Drisco might . quiet accommodate island busy metropolis , Drisco can not beat , , especially several day stay , way less expensive glitzy , impersonal competitor . 
 Mar 21 2008 	 real San Francisco experience 	 second visit San Francisco within year enjoy much first time around . rather conventional chain hotel decide try something little different Hotel Drisco could not well . locate away City Centre lovely neighbourhood , Pacific Heights , could not get San Francisco . yes little hilly really part charm . two block bus service downtown fun ride . lovely room , warm welcome round nice extra little touch . good free breakfast free glass wine early evening serve Julio charming . normally like change thing every time next visit go back Hotel Drisco . 
 Mar 15 2008 	 Superb Experience ! 	 arrive midday business trip need get work do find beautiful room amenity make & quot ; office time & quot ; great . sunny , spacious , supremely comfortable . fantastic , gracious staff ... personal ... almost feel like stay private inn B & amp ; b . wonderful neighborhood . hotel entirely change view ( literally figuratively ) SF , would stay downtown hotel past visit . I would recommend colleague , family friend ( already ! ) . definitely visit return SF . 
 Mar 13 2008 	 Hotel Drisco .. elegant experience 	 incredible service elegance beautifully restore old hotel important travel never find well place Hotel Drisco . room comfortably furnish ... area quiet we not want hear traffic noise breakfast nice plus ... rate reasonable ... importantly staff beck call moment walk thru front door ... doorman front desk never stay anywhere service beyond expectation . whether need manicure appointment dinner reservation not even think ... front desk staff take care request . also like pre - visit call see special need stay . 's little touch make Drisco elegant experience . 
 Mar 10 2008 	 wonderful experience 	 husband stay various hotel B & amp ; b 's frequent trip San Francisco . find Drisco last spring walk tour Pacific Heights Tripadvisor review encourage we stay . Marti 's helpfulness reservation phone call leave home hot towel water bottle give we check - in ( welcome long flight ) know make right choice . Elizabeth gem , help we direction restaurant suggestion give we idea thing do . the room immaculate bed comfortable . room newly renovate everything feel look fresh clean . breakfast quite good feature hot cold cereal , bagel , pastry , meat cheese delicious orange juice . other mention noisy pipe . noisy heat go , , stay , usually 7 7:30 . however another caveat- even though hotel quiet neighborhood garbage truck recycle pickup still noisy . truck come early sure interior room sound muffle . love location room would choose regardless street noise . the hotel far Fillmore Union Streets trendy boutique restaurant . also enjoy free walking tour give City Guides . ice cream fan not miss Mitchell 's near Hayes Valley Naia Castro . we look forward next stay Drisco ! 
 Mar 4 2008 	 wonderful experience ! 	 fantastic stay ! great , helpful staff . . knowledgeable city . wonderful continental breakfast morning . beautiful room exquisite toiletry . one funny story make comment feedback card suggestion bathroom general manager write personal letter back address comment . great day age service seem disappear . highly recommend quite stay San Fran . 
 Mar 1 2008 	 enjoy stay welcome 	 terrific independent hotel , recommend friend . much personal attention charm helpful staff . welcome . other comment positively location , agree . one trivial gripe : light reading bedroom could well ; big deal really . highly recommend . 
 Feb 27 2008 	 absolutely lovely 	 Hotel DriscoWe ' ve flirt idea book luxury hotel via Luxury Link ( auction nab good deal upscale accommodation ) first try three night package , suite , Hotel Drisco San Francisco . check deal -- $ 700 three night , minor extra -- susse hotel TripAdvisor time top - rate hotel San Francisco ! bad . & quot ; descended & quot ; . 4 time book ( still bad ) commit . loved . Drisco , cab driver pick we comment , & quot ; incognito & quot ; hotel . want Union Square location middle everything , not place . want heart one glamorous , beautiful neighborhood city U.S. , relatively convenient walk key city amenity like restaurant shop , be great place . feel european . Cozy . great service start call home day arrival . & quot ; want use car service airport ? & quot ; $ 15 difference hire ordinary taxi use dedicated car , bit worth . driver pull front hotel , peak crest hill overlook Bay , think private club . feel like whole time . scrupulously well - maintain ( fact upgrade room suit new carpet , flat screen dvd replace exist electronic ) . great bathroom deep soak tub . nice amenity . quiet lofty presence San Francisco ( suite , living room television , couch , cozy by - the - window chair , bedroom , working desk , free Internet , another television , great bed , bathrobe slipper ) great city view . whole feel first rate hotel like feel comfortable , even pamper , without pretension . cocktail hour wine savorie set - up , quite cozy ( even bring local friend one bat eye , wish remember name white wine crisp delicious ) . Breakfast european nature -- cold cut , yogurt , oatmeal , make - to - order coffee , croissant . include , believe , room rate ( though check ) . adore neighborhood -- multi - million dollar mansion , gorgeous greenery ( even February ) . service desk consistently excellent . ask taxi , exact color paint breakfast room ( nice yellow , be buy new - old house love yellow ) , even ask promise - in - our - deal bottle sparkle wine , not deliver , meet gracious apology fix immediately . would return Drisco , part Joie d'Vivre chain ( first experience boutique hotel group ) without qualification . qualification offer good news , bad news bit location . neighborhood gorgeous . 's good five seven block ( easy ) anything commercial . walk Fillmore Street , Pacific Heights cow hollow shop restaurant , wear comfy shoe cause be go experience hill make San Fran famous . even challenge : Marina District . 's interesting mountain slog ( ) Lombard Street point , like Chestnut Street 's restaurant shop ( use live Marina inclined head downward way ) . FYI , great time Curbside two ( , steep slog toward Presidio ) , fantastic small , provincial french bistro -- weather crystal clear blue warm weather crisp burger fry ( awesome ) glass Syrah picnic table outside . favorite off - beat place live great see . dinner A16 Chestnut Street Marina , currently hot place ; underwhelmed italian bistro . surprisingly romantic lunch Emporio Rulli Gran Caffe , remind old fashioned kind department store restaurant ( ambience , bit … old fashioned ) . food excellent wine . big surprise & quot ; strip & quot ; . ' ' get Bistro Aix ( closed night ) wish ; menu look lovely . next trip . make sure get real series workout steep , hill - climb scenario . and way : though pleasure wander bay front around Marina , never make heart San Francisco . frankly , feel like have find heart be … . 
 Feb 13 2008 	 Location Location Location 	 wife spend day shop real estate . room interesting view , nice size , clean fresh . staff helpful . love architectural detail , scale , neighborhood , nearby shop . use public transportation trip find convenient location since bus stop nearby . mostly walk around immediate area . planning move neighborhood happy decent hotel family friend use visit we . two thumb new neighbor . 
 Feb 7 2008 	 room view 	 ' ve come back home Sydney pleasant stay Hotel Drisco almost two week . 's beautiful location , see many hotel really glad not stay . bus downtown short walk hotel not matter 's right centre thing , also lot great walk around hotel Pacific Heights area , plenty great cafe & amp ; cinema etc Fillmore Street near . room basic rate , book online via Tablet hotel , turn large , light , clean , comfortable quiet , stunning view ( see photo ) , high speed internet , lot cable channel , etc . not interested anything like personalise tour , wine tasting , coffee lounge , etc etc , prefer explore city enjoy breakfast day ( plenty great place brekkie , area , especially Ella 's Presidio California , near & amp ; delicious ! ) 
 Feb 4 2008 	 wonderful hotel 	 wonderful stay hotel ; extremely comfortable , locate beautiful part San Francisco , close many delicious restaurant . the outstanding feature hotel : exceptional kindness staff . highly recommend ! 
 Jan 22 2008 	 reviewer right ! 	 always check tripadvisor stay new hotel , lately book hotel base Tripadvisor review . come stay Hotel Drisco past weekend . not want stay Union Square love location hotel super quiet ( might say way ) Pacific Heights . also prefer independent hotel , rather large chain . thing really love Hotel Drisco : love concierge email we advance stay offer service . love coffee tea service set parlor . husband love cookie . I love compact fluorescent bulb . yay conservation ! love staff bend backwards find we chinese restaurant would deliver . I love create customize guide guest . use feature husband grow SF , tempt anyway ! room well appoint . the thing so - so basement room . would definitely preferable room upper floor ( light / view , etc ) . could book 2 week prior , might travel baby . room feel little remote . oh not big deal we , cable reception terrible . receive couple channel . probably something specific tv not even worth call desk . I would definitely stay would recommend friend . 
 Jan 19 2008 	 7 10 rating 	 wife stay Drisco recently . neat room , bit small . old hotel , floor squeak . heater 1930 , ask front desk turn switch hot room . way control temperature room . open window , hear noise outside . parking sloop quite challenge ! sometimes may difficult find parking space . travel 40 country , expectation hotel may bit high other , give hotel 7 10 . 
 Jan 9 2008 	 Outstanding Hotel 	 Hotel Drisco offer charm lovely private residence . this delightful hotel offer great service superb ambience combine wonderful location excellent amenity . we love week spend Christmas holiday . 
 Dec 31 2007 	 small hotel gem Pacific Heights 	 small , historic hotel gem beautiful Pacific Heights neighborhood San Francisco . wife stay several time past 15 year always enjoy quiet comfort , good service , elegant neighborhood feature foreign embassy , delicious breakfast offer . room rate reasonable ; get good value . 
 Dec 18 2007 	 Hotel Drisco +10 ! ! ! ! 	 European Charm hotel explain word . charming parlor , room , gather room plus location , view , service , maintenance amenity phenominal . not need restaurant many charming one within walking distance . talk service - bellhop hotel go liquor store we grab bottle vodka run short time get party . service ! ! ! ! 
 Dec 8 2007 	 charming lonely 	 understand rave revue , since succumb charm . Bur choose Drisco first time need know ambience , service , maintenance , amenity especially good , fellow guest interesting amiable part glass wine . but restaurant , nothing commercial within walking distance , entertain become complex , even drug store lunch require two taxi ride . the space heater work well , sure get one . staff , particularly Bob , thoughtful helpful . find telephone recharger leave behind someone else . I like Drisco lot , may well stay , would plan meal activity differently . 
 Nov 21 2007 	 Unique experience 	 really place like Hotel Drisco experience . else wile away morning read variety newspaper offer sunny parlor ; lovely european style breakfast come free room ; enjoy gratis wine reception every evening cheese canape ? staff accommodate room beautifully appoint . well - stock mini - bar lovely selection fruit provide . be also nice open window enjoy lovely view ( ask & quot ; city view & quot ; room ) fresh air . far nicer usual over - cool stale air get typical high - rise hotel . location quite convenient Presidio , offer kind hiking option . hotel neighborhood lovely place walk around , offer many good restaurant nearby . hotel truly like home away home , will look forward next opportunity go back visit . 
 Nov 20 2007 	 unique pleasure 	 stay Hotel Drisco last three time travel San Francisco . like make long weekend city many feature hotel can not offer . location , Pacific Heights , incredible . neighbor 2 - 3 block consist elegant home city . really , mansion value $ 10 plus incredible view . drisco also within walk distance eat shopping Union Street Filmore Street . want big department store downtown , great place stay . hotel quiet , comfortable , breakfast evening wine / snack well do . can not realistically walk Union Square Wharf , $ 10- $ 12 cab ride almost anywhere city . bus system also efficient great way see new area city . 
 Nov 13 2007 	 not even bother look hotel ... 	 find hotel reading trip advisor rating comment thank thank thank everyone give place 5 . totally agree- completely lovely ... warm , invite , friendly , beautiful , immaculate delicious continental ( plus ) breakfast nice evening wine cheese . minor potential problem parking ... back mind certain time ... door man seem know meter maid come ! wait return would imagine stay elsewhere . 
 Nov 1 2007 	 Great Service . return recommend . 	 great overall stay . staff personable hospitable . aware birthday send complimentary champagne strawberry room . definitely return would recommend anyone visit San Francisco . 
 Oct 30 2007 	 favorite San Francisco hotel 	 husband recently stay Hotel Drisco third year row . usual , perfect . Marti can not nicer work hard get we Quince wedding anniversary . love location Pacific Heights . love walk Palace Fine Arts exercise morning come back fabulous breakfast hotel . regret not stay long , always way Wine Country . happy find hotel recommend everyone . hopefully , will still able get reservation . 
 Oct 23 2007 	 great staff need work ! 	 choose suite since celebrate 25th anniversary & amp ; provide we champagne bucket ice little card , thoughtful . staff pleasant & amp ; generally helpful . my gripe , though , comparison hotel ' ve stay , not measure . hotel price less , include Biltmore Millenium , Hotel del Coronado & amp ; Grande Colonial provide we daily bottled water & amp ; well quality toiletry & amp ; quieter room . continental breakfast include oatmeal , cold cereal , toast , cold hard boil egg ( peel ) , croissant , coffee , tea & amp ; juice . provide fresh fruit room , nice touch . hotel , general , need update . curtain stain & amp ; carpet start wear . wall paper thin & amp ; could hear conversation bathroom & amp ; bedroom include gentleman snore side bed ! original window , fine , 's historic building , way block outside noise . shade , rather cumbersome put & amp ; . heavy insulate curtain would block street noise & amp ; keep room warm . generally , prefer old building stay , be rethink idea ! 
 Oct 18 2007 	 Great Weekend Stay 	 propose now - fiancée Labor Day Weekend SF . would not change anything , include select Hotel Drisco accommodation . service great , provide attentive personal staff . 100 - plus year - old building offer historic charm complete perfectly romantic weekend . 
 Oct 15 2007 	 home away home 	 want drop short note express pleased stay Drisco Hotel visit daughter SF . want tell impressed warm personal service receive employee . come SF several time year plan come February course make reservation advance . also recommend hotel several friend also child live SF.We could pleased hotel look forward next stay . become home away home . 
 Oct 5 2007 	 relax stay 	 book Hotel Drisco reading review site please thank previous reviewer ! room spacious , comfortable quiet . lovely scented bathroom product Lather . wine hour also good way relax ! hotel smart part town near centre action . word , need prepared jump cab catch bus want go anywhere . 
 Sep 30 2007 	 Cozy invite relaxing 	 book hotel base solely review find TripAdvisor.com glad . one previous reviewer aptly describe Hotel Drisco & quot ; home elegance upscale amenity & quot ; . indeed feel like ' ve come stay cozy relaxing home . be well home wonderful staff take care . favorite Julio , gentleman serve wine afternoon wine reception . genuinely go way accommodate request . first night , husband ask restaurant recommendation . recommend 2 favorite provide menu , review direction ( choose Cafe Maritime ) . second night stay , decide stay . walk way Fisherman 's Wharf , Ferry Building back exhausted achy much enjoy glass two wine climb comfy bed . Julio make bowl fruit we enjoy evening snack . honestly , hotel employee ever make effort we . hope hotel management appreciate gem employee ! ' ve notice review mention make hotel 's & quot ; way location & quot ; con instead pro . . visit San Francisco long weekend every year WALK everywhere . else truly get experience abundance wonderful , diverse neighborhood ? trip enjoy two : peaceful , stately Pacific Heights magnificent view beautiful home drool cow Hollow ( Union Street ) many bar , restaurant boutique . amenity enjoy : free bottled water room , delicious cookie offer nightly turn - down service , customize tourist package , coffee tea service offer reception area additional amenity offer purchase room . would suggest wine reception hour lengthen allow traveler time check still time enjoy wonderful amenity without feeling rush . we back another relax comfort stay ! couple tourist tip : -Pier 23 Cafe great place breakfast lunch water . -the Ferry Building awfully - crowd late Saturday morning . enjoyable ! ! 
 Sep 24 2007 	 ` ` Outstanding '' 	 celebrate 25th wedding anniversary Hotel Drisco wonderful neighborhood Pacific Heights . decide away downtown area need quiet place open window night . quiet bed extremely comfortable . need hang & quot ; disturb & quot ; sign door . this hotel provide wonderful service ! ! Elizabeth quick email back ask rent vehicle ? rent one parking never problem state .... plus parking fee 's ! ! ! . Victor check we upon arrival need something stop fulfil need . Julio take care we wine reception breakfast .... first class gentleman ! minute doorman greet welcome smile .... will know .... truly home away home ! WOW .... Outstanding ! ! 
 Sep 24 2007 	 Excellent Hotel 	 San Francisco wedding Hotel Drisco recommend bride groom . though stay short sweet ( Friday Sunday ) , could comfortable Drisco . front desk accomodate everything . hotel location put many great restaurant within walking distance . room first floor still great room . check check , stay Drisco perfect . 
 Sep 13 2007 	 thrill discover hide gem 	 carefully read review Hotel Drisco , feel confident make right choice choosing & quot ; beat track & quot ; small hotel . not disappointed ! stay large , impersonal crowded hotel along waterfront Van Ness , want away tourist popular tourist area . look forward walk , 3 1/2 day San Francisco husband walk 65 km ( 40 mi . ) . bus available take wherever want go ( back towards Hotel ) tired walk back . crest hill , leave Hotel easy part - return trip challenge , always amazed steep hill . certainly burn good portion Ghirardelli chocolate way back Hotel , especially climb almost 300 step Lyon Street back Broadway ! ! want commend Julio preside evening wine aperitif make we feel like family give we great advice local restaurant sight see . also highly recommend Town car airport pick - up drop - off - expensive airport shuttle worth every penny comfort , convenience conversation Roberto . room Hotel small comfortable . fourth floor end private hallway , view harbour city . street noise carry night find varied , night quiet night much noisy . open window room become stuffy hour two . understand renovation occur shortly . furniture room show wear tear . bed comfortable ( bad back , grateful ) towel housecoat nicest hotel . continental breakfast good could use variety day day - perhaps variety pastry ( not change blueberry scone ! ) fruit salad wonderful California melon . bottom line enjoy unique charming surrounding small , out - of - the - way hotel personal service , thrill explore historic city foot , discover hidden gem restaurant shop , Hotel area . 
 Sep 7 2007 	 want leave 	 Pick hotel b / c location could happy . neighborhood beautiful quite . nice clean hotel staff OUTSTANDING . breakfast morning wonderful , standard continental breakfast . wine happy hour evening nice , put different game play sit enjoy wine . stay 4 - night leave wine country ... hate leave hotel . place stay SF ! 
 Sep 5 2007 	 nice stay 	 stay City View Suite comfortable , clean quiet . staff helpful bed fantastic . complaint breakfast ; though orange juice nice , six day stay , everyday food . would good variety choose . be important , come back Drisco Hotel next visit San Francisco . 
 Sep 4 2007 	 nice specify room choice 	 first trip San Fran wife friend live Pacific Heights recommend stay Drisco . flight delay get Oakland San Fran midnight . call front desk night accountant / assistant OUTSTANDING direction help . totally lose patient go way look various map get we hotel . eat dinner ask late night grill recommend Liverpool Lil 's block street . Grill open midnight serve terrific food . cool , irish pub . would like quick stop pint lunch / dinner , can not go wrong Liverpool Lil 's 's close hotel . check book one room first floor literally behind check - in desk . window open Pacific avenueand although room nice , sure ask upper level room something towards back hotel . hear every noise street , include conversation check - in desk someone arrive late check - in . several people stay hotel arrive 3 am morning proceed stand front right next window smoking cigarrette talk loudly . next morning get open window cool fresh air , smoker linger outside would fill room smoke / smell . room clean ( albeit little outdated old carpet ) comfortable . front desk help first class make bad room location . wife agree would stay could get different room . 
 Sep 3 2007 	 Charming quiet 	 want stay outside bustle Union Square , Hotel Drisco good choice . neighborhood 's ( Pacific Heights ) one nice city , residential plenty shop / restaurant Fillmore . get much well view city Nob Hill / Union Square area . be get around bus , take get downtown , be drive , street parking problem . respect time limit , though . be three hour one spot , will likely get ticket ( ) . hotel charming , high quality furnishing amenity room ( even quite level Ritz ) , friendly staff . breakfast fantastic . could recommend hotel highly . great value quality hotel . 
 Aug 24 2007 	 Drisco ' top ' top Pacific Heights 	 live San Francisco several year visit San Francisco often , usually stay close Union Square ( Andrews Hotel Petite Auberge ) Fisherman 's wharf ( Tuscan Inn ) . 3 night trip decide learn new neighborhood seek Drisco Pacific Heights part small hotel group Petite Auberge . locate grandest & quot ; modern & quot ; residential street city , literally top steep hill near Presidio 's east side . though bit worried would far away thing , wonderful experience make inconvenience location . good bus line 1 block away ( hill ) -we walk use bus & quot ; go & quot ; place ( especially Fillmore Street shopping / restaurant area ) - usually get cab back hotel -especially night ( theatre ) tired . climb hill not agenda , car cab necessity . other note , front desk staff FABULOUS - even loan we copy book detail interesting walking tour SF . & quot ; King & quot ; room 2nd floor overlook street , far distance could see city , Oakland bridge , bit Bay . happen look window night Barry Bonds break home run record see baseball stadium firework celebrate event - magical . room separate short hallway another ( corner ) room- want 2 room & quot ; suite & quot ; , think ( ? ) hallway door main hallway could lock . room windows face southeast , room really sunny day - bright cheerful ( white bedspread help ) . drawer clothe tv HUGE closet ( hotel ) .some review say room need renovation , think lovely . though usual snack drink sale room , complimentary bottle water- nice . extra & quot ; special & quot ; toiletry sale bit pricey , tempting ( like fizzy ball bathtub ) . room decoration traditionally elegant , tend towards restrained rather fussy , bathroom remind Restoration Hardware / Pottery Barn style . newspaper hung doorknob morning trim canvas bag - surprising little touch indicate management really try make stay pleasing . hotel steep hill , breakfast room ( like elegant dining / living room ) & quot ; basement & quot ; large window view street ... seat area addition table want coffee read paper . breakfast ( include room rate ) cereal / fruit / deli meats/ bread / drink - ample good start day . disappointment & quot ; wine & amp ; cheese & quot ; late afternoon smallish reception / living room sparsely attend stay . Petite Auberge , event always ton people visit - exchange travel & amp ; tourist hint , etc . perhaps experience happen perceive fellow guest Drisco include family child ( 8 yrs up- little child ) 35 's , baby boomer / retiree common Petite Auberge .... would not mark hotel might mix guest stay . book Joie de Vivre group website get good discount stay 3 night . photo guest give good representation hotel 's atmosphere . even think Drisco remove main tourist area , many walk take ( Union Street , Presidio , Lyon step , historic Pacific Heights , close Exploratorium Marina/ Ft . Mason / Greens Restaurant ) . soooooo relax / quiet residential location - feel part neighborhood love see ton tourist . hotel popular , one need plan ahead book want specific room date . can not wait return ! ! 
 Aug 20 2007 	 would stay 	 husband stay one night Drisco Hotel please service room . hotel quiet little gem hide residential neighborhood . detail find stay:1 . suite second floor hotel overlook road . bit nervous would bother street sound ( light sleeper ) .2 . room tastefully decorate appeared room update recently many sign wear.3 . wall ( least ) thin . could hear neighbor snore night problematic overlooking street.4 . parking : hotel park plenty street parking , however READ parking sign , street cleaning think like twice week park wrong side end ticket . 5 . breakfast : aware breakfast include . order small pot coffee toast room check - out say breakfast include . still seem bit strange worth ask about.6 . look hotel close tourist area may good choice . mind take taxi need go like quiet neighborhood . we would stay Dricso Hotel . 
 Aug 17 2007 	 extremely helpful staff lovely hotel 	 stay one night arrival San Francisco UK . arrive tired find reservation receive ( error booking operator , hotel 's fault ) . guy front desk ( think call Bobby ) incredibly helpful- phone age transfer several department sort we . thankfully get confirmation fax sheer luck still one room leave . glad did- room lovely . regret not stay long . lovely staff beautiful hotel safe area . not seem many ammenitie around not worry we . 
 Aug 13 2007 	 Little gem 	 want honest review , come right place , come England , specialise moaning , fairly sure say good , truly ! first trip SF , agonised hotel time , particularly weigh central location one . choose Drisco , doubt make absolutely right choice ( give Brits also mean , thus never spend . word , good value , requisite fund lounge Mark Hopkins ) .while could criticise Drisco little way centre , upside quiet ( give take odd dustbin lorry , sorry , garbage truck 8.00am ) , attractive ( achingly affluent ) neighbourhood . event , taxi ride simple arrange ( thank helpful staff Drisco , sometimes 3 time day ) cost modest . also get meet miriad interesting character SF offer , taxi driver mirror cosmopolitan city , many amusing charming , odd one rude mad , always different . in summary Drisco - Excellent , friendly helpful staff , comfortable clean room neat little touch detail , modestly stylish decor strike right balance neutrality warmth , good breakfast , emminently useable fitness room , place look forward come back . gripe purely quality television programme , that s hardly fault Hotel . oh , delectable free cookie would nice , that s simply greedy . and place within walking distance , provide do not mind bit uphill hike back Hotel . include number good restarant , none well Elizas California Street - Authentic chinese , possibly well ever taste , ridiculously reasonable ( frankly low we bear mind pound 's supremacy dollar present ) price . big thumb Drisco , indeed San Francisco . love week stay , back point future . 
 Aug 13 2007 	 Charming Hotel Drisco 	 one night San Francisco . not want stay chain hotel . find Hotel Drisco internet call book . excellent old hotel . comfortable . get good night 's sleep . staff exceedingly friendly helpful . breakfast excellent . will back . 
 Aug 12 2007 	 Loved Hotel Drisco 	 wonderful choice s.f . B & amp ; b . elegant decor , lovely room , accommodate staff , great breakfast . well - worth taxi ride Pacific Heights . 
 Aug 4 2007 	 lovely surprise 	 surprise . go San Francisco New Years Eve book week . hotel lovely . room beautiful immaculate . hallway little rundown , nothing concerned , elevator small . great experience . lovely breakfast morning wine cheese evening parlor . delicious . room bright beautiful view historic residential San Francisco . not lot walk distance not room service , nice snack mini bar . would eat hotel San Francisco anyway ? great value price . would definitely say 's stay ! 
 Aug 3 2007 	 tired Elegant Lady 	 stay many time quiet wonderful hotel . like amenity , room , dining room breakfast . our two room suite tired worn carpet furniture . bedroom TV snowy bath shower - tub mold grout area . it time update room . the service excellent like neighborhood location . 
