Staff 	 wait guest room become available , hotel desk housekeeping staff go & amp ; beyond duty ( expectation ) make we comfortable happy . not get service like even Ritz ! 
 great location service 	 spend one night hotel enjoy . location convenient everything . service excellent . leave bag hotel follow day explore city checkout . problem make easy convenient . the downside -- paper thin wall . not normally complain noise , able hear neighbor . compound loud group next door . commend staff complain . get group next quiet immediately . sure , much appreciated . take earplug , especially bother city noise . even 12 story , will able hear street noise . the room comfortable . nicely decorate . all good stay money . would not pay $ 300 rate give thin wall . , $ 125 , well worth . 
 Aug 3 2007 	 clean quiet central 	 know property new renovation book idea clean would . property spotless . thing give impression conversion cheap . be set old lasalle bank build 20 's think , odd end stick . , property nice . service helpful , girl front desk unfriendly ... though still helpful , make sense . this property close train anyone travel outside loop walk maximum 2 block . tip may unfamiliar city , downtown dead night look area active night life , may wrong place . look River North Lincoln Park . they complimentary wireless connection two computer lobby never difficult get online . overall find room average size , view 21fl pretty good . lcd monitor nice surprise bed comfy . would stay . 
 Jul 16 2007 	 restful home base loop 	 although property seem gear toward business traveler ( swimming pool , example ) , suit family four , three - night Chicago vacation , central location . convenient major attraction see , Hancock Observatory Navy Pier north , Museum Science Industry south , Museum Campus Grant Park / Millenium Park middle . hail taxi front door catch city bus State Street easy . stay theatre weekend ( see show like Wicked nearby Oriental High School Musical LaSalle Bank Theatre ) would ideal . the property newly - convert office tower LaSalle Bank Theatre ( formerly Schubert ) , Theatre District , smallish lobby fourth floor . street entrance small elevator lobby bellman station , feel like private stage door proximity theatre box office . several room floor , dozen . 19th floor room face office building across Monroe Street , view street thank ledge , view Lake Michigan . the high - ceiling room simply tastefully decorate , upscale Pottery Barn - like style , numerous small touch lapdesk , comfy bed pillow , complimentary weekday USA Today , hdtv , unexpected extra bath amenity like mouthwash cotton ball . desk area Ethernet port laptop connection LAN . two DELL pc lobby attach printer ( so - call & quot ; business center & quot ; ) , often occupy teen -- business traveler apparently bring laptop . WiFi connection also available . our room comfortable quiet , spite across hall soft drink machine . easy - to - use , digital thermostat . HVAC fan quiet effective . experience street noise , occasional running water noise adjacent room . the scramble - egg base hot breakfast buffet well - stock , cold item range yogurt cup cereal , bagel , bread also available , plus light dark roast coffee juice ( even pomegranate variety ) . buffet good , convenient , give we one less thing worry morning . find seat little problematic we one morning , although & quot ; grab - and - go & quot ; breakfast bag also available table turnover seem fairly continual . show early late avoid crowd . I sorry read service lapse spoil stay recount review . enjoy nothing good service thoughout stay . dining hint : walk one block north Madison Street right ( east ) Pizano 's ( 61 E. Madison , past Wabash Avenue ) to - die - for Chicago deep dish pizza quintessential , friendly Chicago venue . get early avoid line , be popular place . 
 Jul 7 2007 	 usual Hampton Inn 	 locate heart Chicago 's Loop , beautifully restore hotel typical Hampton Inn . room , 12 - foot ceiling , top - of - the - line furnishing big flat - screen HDTV 's , would place 5 star hotel . as Hampton Inn , & quot ; nickel dim & quot ; . in - room internet , breakfast local call free . warn though , stay busy period , breakfast lounge / reception area feel like crowd cruise ship restaurant ( good thing ) . find seat impossible . the fitness center painfully small , ( albeit new ) cardio machine 1 all - in - one workout contraption . all staff exceedingly friendly . whether efficient could not say problem complaint entire 5 day . 
 Jun 24 2007 	 Great experience 	 wonderful experience recent stay . staff : staff polite meet request promtly , without attitude sometimes get hotel . seem genuine though polite becasue & quot ; forced & quot ; management . room : room great hotel decorate Art Deco style seem new clean . bathroom large , tv great , bed comfortable . ammenitie : workout room fantastic , open 24 hour , great . equipment new top line gym quality . treadmill elliptical TV 's attach worrying bother user tv noise ! although gym myself . Misc . breakfast free morning great . 
 Jun 15 2007 	 Terrible Service 	 look forward stay Hampton Majestic business trip read review . flight severely delay . call ahead Hampton let know have arrive late , would still come please hold room . person phone thankedme ask call change . I arrive hotel 2:45 ( 3:45 body ) quite tired , find room available , despite fact areservation guarantee late arrival call ahead . want time get sleep quickly possible , since meet 8:30 next morning . instead , addition learn would check go bed , tell would take & quot ; & quot ; Hampton Inn . single female traveler downtown Chicago less wonderful area , imagine apprehension learn have take location familiar middle night . hotel walk distance office , top , would bring luggage office morning could move back majestic follow evening . desk clerk discussion give memoney take cab morning . finally settle hotel 3:15 am . the hotel room nice describe review , have hard press recommend hotel anyone . 
 May 29 2007 	 AMAZING HOTEL ! ! ! 's good value money ! 	 hotel amazing ! price right ! location great ! room spacious everything need . really could not believe Hampton Inn . feel like 5 - star hotel . this hotel right next two & quot ; L & quot ; subway location . red blue line . blue line take right O'Hare Airport . red line take Lakeview , Boystown , Northside . two block away Marshall Fields ( opp , mean Macy 's ) ( note : miss field ) room king - size pillow top bed 4 comfortable pillow . one morning , not want get bed ! plush bath towel . 25 & quot ; tv flat screen LCD HD . also , in - room coffee maker . lobby hotel offer free breakfast every morning . oh , . . . . telephone charge local call . staff excellent ! ! housekeeping , Bell Caption , Front desk , everyone , seem enjoy work hotel . finally , recommend hotel friend , definitely return . 
 May 23 2007 	 right Thick 
 May 13 2007 	 Great Hotel Great Location 
 May 4 2007 	 tall dark lovely ! 
 Apr 16 2007 	 Pleasant Stay 
 Apr 10 2007 	 lovely hotel 
 Mar 28 2007 	 great place stay ! 
 Mar 7 2007 	 Cool Place 
 Feb 11 2007 	 absolutely lovely ! ! 
 Jun 30 2009 	 Excellent hôtel 
 Jun 27 2009 	 Vraiment tre bien 
 Nov 30 2008 	 Perfektes Hotel 
 Sep 18 2008 	 Ottima scelta 
 Jul 7 2007 	 Coole Zimmer 
