glad 	 reading disturb review decide cancel stay even mission , 10 minute hold rude person end line finally go speak someone ! lucky escape 
 Apr 21 2008 	 histortic hotel San Francisco 	 2nd time stay Hotel Whitcomb . love charm historic hotel . step MUNI / BART bus / train . Love Sam 's Diner ( open breakfast lunch ) . , not forget ignore homeless . want train outside hotel , homeless . police need they . the room small , exclude small bathroom ( 2 foot x 6 foot ) . step bathroom change mind . ; - ) also , one outlet plug laptop , cell phone , iPod . need plug . 
 Apr 20 2008 	 Mediocre Hotel 	 stay Hotel Whitcomb & quot ; whatever & quot ; . room bit tiny , not mind price get hotwire.com reasonable . however , toilet keep make short flush sound one minute interval . not know whether room ( room # 732 ) room ' toilet make sound . not complain mostly day tired night complain . be someone get annoyed periodic sound , cautious toilet . nice Hotel Whitcomb offer free wireless internet . however , hotel staff seem know use . front desk person tell call hotel operator . hotel operator tell half information need use internet . tell need tell wireless network Hotel Whitcomb transfer hotel 's wireless company . little know hotel charging & quot ; long distance call & quot ; transfer internet service company . save money trouble tell hotel 's wireless network wanderingwi - fi . hotel operator tell username password . connect wanderingwi - fi take page blank spot email blank spot password . even though username remotely close email address put username spot password password spot . difficult time communicate front desk person . thick accent talk really fast . honestly confused , keep ask repeat say . think took personally bit rude repeat . later day , see another customer rough time communicate . oh well . overall , hotel okay . wireless internet plus location plus . like down - feather blanket rather thin sheet blanket hotel offer . reviewer complain unsafe location hotel honestly feel like want stay heart San Francisco , cope & quot ; ghettoness & quot ; hotel 's location . can not avoid . 
 Apr 20 2008 	 Grand Lobby munchkin room 	 Bid three star Hotwire , give old lady lot make . lobby truly amazing shine fall apple quickly . got 14 16 room 2 double bed , 3 5 closet 3 8 bathroom include stall shower , sink counter space . bath room accomodate one person time door open . four worn power outlet spread plug make contact . television blizzard 15 channel . two four elevator lock basement 8 pm . $ 28.00 per day parking Carpet threadbare cockroach bed bit much . not care historic building , 1 star masquerade real hotel . oh yes ... leave hotel dark unless 6 - 5 carry Glock . otherwise great stay . 
 Apr 14 2008 	 Great Boutique hotel front desk could move fast 	 gorgeous historic hotel clean , charming , well - maintain , simply overabundant character . well worth value book online discount . take little long check number guest spend far much time squabbling charge front desk checking . pre - pay hotwire additional charge , wish way expedite process ( perhaps staff desk clear explanation charge - though think guest problem , hotel ) . also read really good review restaurant online , two dish , see anything average bad . may gotten bad day . overall , incredible value beautiful place stay wonderful historic feel . recommend enough . neighborhood little & quot ; interesting & quot ; BART literally outside door , bus cab SF reasonable . 
 Apr 13 2008 	 old world charm 	 11 yr old stay 4 day March . pick location , BART station right outside door , review here . the lobby grand , like step back time . revolving front door big hit 11 yr old too . the room clean linen fresh bed comfy . room bit small , come visit city sight spend little time sleep . although encounter homeless people , never felt threaten unsafe . hour must show room card doorman nice add safety factor . the internet bit sketchy find work good window rather desk . staff gracious helpful . check hour early problem . I stay like fly weekend go Giants game . thank lovely stay . 
 Apr 7 2008 	 Great Hotel Whitcomb 	 hotel well manage . room clean , spacious cozy . newly refurbish bathroom joy shower . manager staff offer great assistance visitor . coffee tea room , unless request . visit next travel region . thank lot . 
 Apr 3 2008 	 stay 	 really ever write review , hotel . first room tiny , bathroom , well good luck one person need get ready . parking - inform pay betwen 30 - 40 night valet parking ... take forever get car . idea charge check bank statement morine 32.00 charge . 15 hour . , room musty smell , well bring drink tap water terrible vend machine water juice . good thing : nice staff , beautiful lobby . unless plan stay lobby , would reccomend stay . 
 Apr 2 2008 	 great Weeklong Stay Whitcomb 	 Booked vacation package Expedia ... get great rate week long stay end March . standard room queen bed fifth floor plenty room bathroom good size . everything clean upon arrival housekeeping staff great job keeping room clean fresh . never hear neighbor keep window open night little street noise . street car , Muni Subway , BART , many bus line right outside door ... make easy get around . easily walk bar nightlife Folsom Harrison Streets ... cheap cab ride spot Castro Mission . great ethnic food around ... get walk Larkin Jones . use urban environment involve character kind ... might want stay near Marina Fisherman 's Wharf . come San Francisco experience great theater , nightlife , restaurant , shopping ... Whitcomb perfect . ' ve stay elsewhere San Francisco pay alot feel pretty neutral accomodation . highly recommend Whitcomb young gay vacationer . 
 Apr 2 2008 	 lovely 	 hotel old , room small , truly lovely full atmosphere - nothing like new generic chain hotel . the staff helpful nice , location - although bit problematic night - overall excellent , within walk distance almost every main tourist location , public transportation right outside . I bite worried reading review , find hotel well run reliable . highly recommend limited budget . 
 Apr 1 2008 	 Location Location Location 	 book room Hotel Whitcomb five night visit family friend . book least expensive rate , small room , ' m pretty rigid budget . go room want clean , secure room bed shower ! rate book comparable nearby one star motel , felt get real bargain . and feel absolutely justified . mention review , lobby old grand - feel little shabbiness public space ( elevator interior rough shape , hallway carpet ) , overall pleasing . restaurant nice look workout room nice little facility . and cheap room , small hotel ? well , occupy time check , upgrade double / double Market Street view City Hall - bathroom window ! furnishing nice - bed linen newly appoint , crisp clean comfortable . furnishing nice , old style feel , be modern reproduction good shape . comfortable room wonderful high ceiling & amp ; nice spa soap & amp ; shampoo . consider book rock - bottom rate , great bargain . I know visitor express concern neighborhood , homeless street outside Union Square hotel downtown hotel - pay twice much chain hotel still complaint homelessness . San Francisco , 's reality City . SF native , guess not even notice . walk night club South Market back early hour not feel insecure . and need take BART Muni Metro , entrance literally outside hotel door ! could not convenient . quirk hotel ? old hotel , nearly enough electrical outlet . reason not coffee maker room - almost give day even basic motel . perhaps 's drive business convenient Starbuck 's lobby . I ' m go make hotel hotel choice - San Francisco native get back every month visit , hotel can not beat . 
 Mar 31 2008 	 Liked Whitcomb 	 reading review TA book hotel Travelocity . overall , hotel nice . location central could well ! love walk door able hop F - Train muni [ subway ] . short nice walk Union Square many touristy area . the real complaint thin wall ... every sound neighbor audible . slept door closed bathroom let fan run night cover sound . work well . thing [ minor ] concierge would print boarding pass use pay - terminal internet lounge . staff helpful front desk staff willing answer question point we right direction . would book without hesitation . 
 Mar 31 2008 	 unimpressive hotel awful neighborhood 	 booking room Hotel Whitcomb , ask one simple question - ? reason see someone choose particular hotel price . certainly would not choose property location , amenity , etc . apart reasonably price ( San Francisco ) , nothing else go it . the hotel not particularly awful - lobby quite nice . however room tiny high ceiling not quite manage compensate . onsite restaurant convenient , seriously overprice quality food . the front desk staff rude abrupt fiance go check . however , bad thing hotel neighborhood . Market Street peculiar place . 's though 's invisible curtain divide Market Street , centre along intersection Market Powell . Powell , find financial district - 's Four Seasons , various designer shop , high end eatery . cross Powell toward Civic Center ( Whitcomb locate ) , change . high end eatery replace pawn shop liquor store . unnerve people - trip , mental image one two homeless people sit building , beg spare change . - Market Street stumble drunkenly street , urine stream trail sidewalk middle afternoon . night , group down - and out slur word scream obscenity . , not pass face trash can . perhaps notable moment block futher , outside Market Street 's Warfield Theatre . attend concert , fan line see talent leave stage door . two uniformed police pull , seemingly shocked group clean - cut 30 wait around area dark . tell area - quote - & quot ; arm pit San Francisco & quot ; - probably not first place , & quot ; might okay & quot ; stick Market Street not venture beyond particular main road . the area surround Whitcomb become know & quot ; Tenderloin & quot ; local - ostensibly due fact officer patrol area one time pay add risk , could thus afford dine tenderloin . ( http : //en.wikipedia.org / wiki / tenderloin % 2c_san_francisco % 2c_california ) Whitcomb 's credit , take reasonable security measure ; dark , access elevator unless prove uniformed security guard indeed room key posession . in summary - be think booking , evaluate . 's location , would recommend choose another property Market Street , within Financial District . 's cost , likely happy low room price . aware be getting surround neighborhood . 
 Mar 29 2008 	 whitcomb great 	 great stay . upgrade us suite , lot room . clean room bathroom . location great couple know thing get around city . BART stop right outside front door . staff great question city make good food recs . 
 Mar 29 2008 	 Unique Amazing 	 stay Hotel Whitcomb late March . pick hotel appear unique history . book room directly hotel via phone pay $ 80 night king size bed . first trip SF want perfect memorable since would propose partner trip . amazing . hotel staff courteous helpful . hotel decor amazing lobby way room . can not say enough nice hotel . thing hotel could improve however around 100 year old age make memorable different hotel chain . book room phone want find smoking room . advise two 400 room tell 3 occasion could get smoking room . arrive case tell . big deal slightly disappoint mis information . check able take beauty hotel forgot whole smoking issue enjoy . ( actually smoke less ) . list bad thing hotel would say water save shower head . one suggestion make hotel would reconsider shower head many water saver head . think ! drive SF use valet parking leave car without worry 4 day . not suggest try drive city unless know well $ 28 day park public tranportation right front door hotel need drive . public transportation affordable $ 1.50 . go make sure try Hotel resturant . top notch perfect experience . also look Incredible Adventures tour Muir Woods Wine Country . affordable completely enjoyable . conclusion , hotel +4star hotel -3star price . disappoint since partner say & quot ; yes & quot ; either go back honeymoon maybe even plan wedding . either way , definately stay hotel experience think hotel would let . 
 Mar 22 2008 	 exceed expectation 	 town business host company book room . SF many time stay dozen different hotel year . TA review Whitcomb mixed , bit concerned . every part experience exceed expectation . a large group checking , go bellman check bag could spend couple hour enjoy glorious sunny afternoon arrive . friendly helpful . concierge friendly helpful . check later , front desk staff also friendly & amp ; helpful . city room old hotel often tiny , one adequate -- queen bed , table two easy chair desk chair . bathroom small staff shower , everything exceptionally clean . furnishing look like fairly new , nice curtain wallpaper art wall . return theatre , find bar closing ( bit early Friday night ! ) security guard / doorman refer we bar two block away -- good suggestion friendly . starbuck convenient building . it quick stay , place appear well maintain historic hotel . border neighborhood quite homeless street , find many homeless everywhere SF along whole Market Street corridor visit -- ' ve see . fee unsafe neighborhood , local go bar say not . the room rate , believe $ 75 , bargain SF -- may special rate business book . hear tourist district room least double rate . however , be 15 minute walk Union Square take BART -- 's station right front hotel . I probably stay again . I room near back early morning noise worker attend garage nearby office building , SF big city noise expect . 
 Mar 22 2008 	 highly recommend Hotel Whitcomb ! 	 ' ve hear term & quot ; leave heart San Francisco & quot ; well leave heart Hotel Whitcomb .... San Francisco & quot ; . soon set foot lobby door , impress beautiful decor . staff friendly helpful , yeah know be suppose friendly helpful - hospitality industry ... different ... young single female traveller often travel alone - ' m still new travel stuff ' m still learn rope ' do 's don't ' . safety always concern & quot ; going get tough & quot ; usually pack go home . well , & quot ; going get tough & quot ; time could not go home ( ' m multi destination city trip ) . whatever maybe reason , point height stress , hotel staff management look ensure problem solve ; polite , attentive , compassionate , professional could not help - ensure comfortable . ' m talk front desk , also maid service ( one lady really cool wish get name ) , bell service - Yan , Mark accounting - credit card problem - right Hotel Manager , Khazi . provide good service job hotel staff , provide excellent service make hotel staff exceptional , hotel become exceptional way handle emergency Hotel Whitcomb ! highly recommend hotel comfortable bouncy bed , free internet service , beautiful decor affordable price- ' m recommend staff service . not take word - encourage book room find ! thank Hotel Whitcomb ! ! ! cheer , Susannah 
 Mar 17 2008 	 Great Hotel Great Price 	 get great deal hotel Orbitz decide go San Francisco . first worry book quickly maybe consider option , partner convinced keep original plan . glad stay Whitcomb ! location great transit - wise - F - Line ( historic streetcar ) directly Civic Center Station BART MUNI Metro . also within walk distance downtown financial district - 's short walk , enjoyable . never feel unsafe around hotel , hotel great security . say , close Tenderloin area would recommend take precaution one would take large city , especially dark . also many homeless people , although big city . our flight come early staff friendly work we let we check around noon , well post time 3 pm . addition , quick fix break light restroom . the room actually large expect give pay ( less $ 80 / night ) location . room face Market St. hear siren streetcar rumble , problem fall asleep . the Starbucks lobby great early morning ! would recommend hotel would definitely stay return San Francisco . 
 Mar 16 2008 	 Hotel Hell ... 	 get hotel not know park , turn pay parking top car behind hotel inside alley way . continue staff inside seem nice . food amazing ! wall ! ? ! ? ! thin ! ! sleep . light sleeper recomend ! heavy sleeper still wake ! loud people check & quot ; hotel security & quot ; nothing call . hear ice machine work mile away , room small , lock bathroom door ! WTF ? ? ? pay everything even internet downstairs . take laptop . really good place stay . also read review not listen pay 100 buck would worth ! 
 Mar 16 2008 	 friendly staff affordable ! 	 grandness hotel stop lobby ( beautiful woodwork old world charm . ) hallway lead room & quot ; funky & quot ; smell ( combination hospital restaurant smell . ) carpet hallway sure need steam - clean ( obviously dirty could reason odor . ) room small . recommend guest child , get job do couple spend time outside . bathroom clean , need update repair . sink area tiny really space store toiletry stuff . location fine . close post office , pharmacy , UPS store small diner across street . BART station , electric trolley bus stop right outside hotel ( convenient feature . ) need car stroll around city . beggar and/or homeless Market street basically pose harm - annoying , yes , harmless eye . may intimidate folk small town , , scene would expect big city . the staff friendly accommodating . Kudos concierge spend time answer question provide we material need smile face . can not really comment promptness front desk service , customer around check in . overall , would recommend hotel central location price , not expect Four season Ritz accommodation . 
 Mar 16 2008 	 Pleasant Stay Hotel Whitcomb 	 husband stay Hotel Whitcomb visit daughter live San Francisco . first walk Whitcomb take aback beautiful lobby 's original historic charm . staff friendly prompt breakfast restaurant excellent . , light sleeper quite picky sleep . usually bad time sleep uncomfortable hotel bed case Hotel Whitcomb . bed well pillow comfortable . overall experience Hotel Whitcomb pleasant would stay . con would road noise room face front hotel expect stay city . have Starbucks right stair also perk ! 
 Mar 10 2008 	 Old hotel small room sketchy neighbourhood 	 stay 4 night , conference moscone . hotel old . nearly 100 year old gather . renovate one time probably one city nice hotel . close Moscone center ( 10 min walk ) , BART ( subway ) 20 foot main entrance . street car pass directly front building . the neighbourhood , major downside hotel . gather , one low income neighbourhood . many homeless mentally ill people wander night day . come across 1 - 2 beggar actively ask money . nothing threaten give idea neighbourhood . someone write baggage steal -- see happen . many homeless go throught garbage try sell stuff ( cd , dvd , cell phone etc may steal ) . constantly siren traffic noise around . parking $ 23 day ( Valet ) . lot attendant friendly enough little hard car could see . ( accelerate hard , jamming brake etc . ) 24 hour day watch car . the entrance lobby quite nice -- marble granite . wood support beam plenty brass . service pleasant fast . free wireless internet ( slow ) throughout build business center 4 - 5 computer . Starbucks restaurant ( pretty good expensive ) .In evening several staff act security check people come . inside , feel safe . the hallway huge old . 12 foot ceiling crystal chandelier ( quite dark ) . big mirror end hall slightly warp . give place old spooky feel . the room small , old clean . bathroom little big cruise ship . could barely stand without touch door sink . clean enough everything work modern mean . plug 2 prong , go look something compatible laptop . safe , although limited number small safety box front desk . so , conference & quot ; ok & quot ; . convenient location . female travel alone would advise location . market street general fairly seedy , stay area . would return hotel . 
 Mar 2 2008 	 classic style Whitcomb 	 discount website get two weekend night Whitcomb way cheap anyplace else downtown . might mean get bad room place - apart blah view ( look - monolithic Holiday Inn ! ) , room terrific : clean comfortable , little street hallway noise . not large , cozy , tasteful decor & amp ; furnishing Whitcomb 's big advantage : Character . room , hallway , invite lobby feel old - school grand still friendly . staff welcome too . as far location , nearby transit put many varied attraction within easy reach . truth tell , sketchy character drift outside Whitcomb . be also nearby public library even well - heel area like Union Square . hotel . would not want loiter outside stroll around block late night , never feel unsafe ... sensible , stay alert , enjoy . 
 Feb 25 2008 	 Whitcomb San Francisco lavish location price wow 	 choose Whitcomb due 's great price location downtown suprise beauty hotel room . hard beat ease get hotel . BART MUNI stop right front door . tired arrive due flight delay manage get early checkin . staff friendly room nice great view city hall . first time stay Whitcomb last come back March wedding . 
 Feb 24 2008 	 so - so 	 Entering hall Whitcomb remind we shine . ready kid trike come barrel hallway . aside , hotel ok . room nice , high ceiling make seem big . bathroom joke , 2.5 foot wide . shower big teeny closet low water pressure . linen like sand paper seem little funky . the location heart hobo - ville never problem . security appear check room key . plus proximity Bart Muni . staff friendly accommodate . return Whitcomb . impressed bit far action . 
 Feb 23 2008 	 Nice hotel great service great price 	 husband another couple recently stay 4 night birthday / business trip Whitcomb . anyone want budget price hotel , expect good service clean accomodation would please here . the staff excellent , friend order extra pillow deliver within minute ! ! starbuck adjoin beautiful lobby , also bar restaurant . group would go bar afternoon order expresso sambuca staff would within minute ! far location problem , see many & quot ; street people & quot ; Atlanta . yes , , problem . night must show room key get , security mind . highly recommend Whitcomb ! 
 Feb 22 2008 	 luggage steal 	 luggage steal room . hotel stuff help . ask call police promise indemnify bag . eventually visit police station get report insurance company . get compensation hotel . CAREFUL . 
 Feb 11 2008 	 expect - great $ $ $ 	 husband travel S.F . celebrate 10 year anniversary need inexpensive hotel night . trying find thing city not easy Whitcomb hotel offer . lobby stunning marble throughout wonderfully craft wood carve ceiling . room not quite charm lobby not expect much pay $ 89 room compare $ 200 + everywhere else . overall , nice wonderful 10 - yr anniversary . 
 Feb 7 2008 	 Classic Old American Hotel 	 return San Francisco enjoyable 6 night stay Whitcomb Hotel , little worried first read review site , however fear unfounded , check russian lady call Olga friendly funny instantly put ease , explain Hotels service happen around Hotel time stay , prolem parking little steep Parking San Francisco 's 3rd Industry banking tourism ! ! room clean fully modernise well equip cable TV god send ! big comfortable bed even though front traffic noise still sleep well . Joined hotel Florida Garden Restaurant food excellent good value ( Clam Chouder fantastic ) also starbucks attatche . local area suffer little see 2 3 homeless people entire stay ! maybe Hilary Clinton speak across road one night ! good hotel full history comfortable would gladly stop take family ! 
 Feb 5 2008 	 Great Timeless Hotel 	 hotel like step back time , good way . hotel 's architecture decor tasteful . travel lot , hotel look , however one stick memory . room nice huge ! staff nice friendly . would definitely recommend stay hotel stay next time San Francisco . 
 Feb 1 2008 	 stay atmosphere people 	 really bad hotel locate , smack middle downtown San Francisco . mean will encounter lot homless person , downright rude . never feel unsafe alcoholic beggar , ' m use much bad Oslo , Norway . lot , true . the hotel build nice , lot style . travel lot US , one charing hotel ' ve see style . nice stay place actual history staff not brag & quot ; column date way back 1970 & quot ; .The big asset hotel clearly staff . friendly professional . evening concierge go way help find decent chinese take place provide menu . front staff effective friendly , maid . unlike hotel US , actually follow & quot ; rack , not take back & quot ; rule leave towel reuse . the bath small clean , much new rest room nice accessory soap , shampoo etc . double queen size room small , stylish . also , something people often forget , roof tall . mean well air spaceous feeling room . after evaluate neighbourhood day observe night walk outside Market St. harass numerous beggar . see might feel uncomfortable . biggie , San Fran good public communication right outside hotel door . nice . if complain something , would say hotel room need new door . show age anything else . also , provide lot noise insulation 's noise hallway . general noise problem aside . WiFi bit flakey , parking expensive $ 28 per night plus tax . , however , include unlimited valet . 
 Jan 31 2008 	 wonderful staffcomfortable bed great rate great location 	 pay taxis $ 90 petite double room locate street . room EXTREMELY quite important . bed comfortable . staff make experience wonderful . friend set earthquake sensor elevator four get stick 45 minute . general manager treat we lunch drink . every member staff include maid service extremely accommodate friendly . pay extra buck large room . size difference huge room cozy boyfriend . need stay room much . visit SF lot location centrally locate want . bus bart take everywhere right outside door . the hotel 's security great feel safe . look great price charming , quiet , cozy , friendly place stay , place . come back regular visitor city . oh , staff lay back well . dont ring room exactly noon get . love ........ 
 Jan 23 2008 	 love hotel 	 choose Hotel Whitcomb proximity shopping entertainment . hotel near San Francisco Shopping Centre major shopping hub locate Market Street . short cab ride hotel Metreon movie theater shop . wife thrill everything area supply abundance thing . hotel room nice . one thing rate reasonable . stay great consider stay future . 
 Jan 22 2008 	 pleasant stay 	 husband spend weekend San Francisco find great deal priceline . decide book spite bad review enjoy every minute hotel . room small - furnish style taste everything excellent condition . window 8th street - enough daylight . bed comfortable , bathroom ok , heating wireless internet work room . nothing complain , check check fast . yes , homeless people street , nothing threat neither bother we . , Bart Muni Station right front hotel , Market street busy 10 - 15 minute walk Union Square . Starbucks Lobby advantage need coffee wake . 
 Jan 22 2008 	 ok price 	 hotel ok price pay . downtown close Union Square right MUNI / BART station make convienent get place . room clean however , old . like historical place will fine . not modern anything . lobby probably good part hotel . 's nice ... room ok look like haunt hotel 1920 's . overall good experience hotel even store luggage get early check flight not evening want check city . store back room . 
 Jan 21 2008 	 great hotel super rate night area much city life ( good bad ) 	 neighborhood scare , expect low - end hotel due low rate , instead get stellar hotel great room . neighborhood issue , subway 10 step front door . room nice . use service , seem elegant , describe run aspect , room everything pass great shape . great value . would stay heartbeat . 
 Jan 21 2008 	 fine overnight stay 	 stay one night job interview city next day . choose hotel location - right market ( major road ) , right front civic center BART station . get around easy hotel . arrive around midnight end exit BART station block east hotel walk get . lot panhandler people roam around , one bother . also feel strong police presence not scare , certainly not comfortable . perhaps taxi would better single woman arrive alone late night , perfectly safe . hotel , stay junior double room tiny adequate . would tight 2 people . room clean necessity . weird thing ( other note ) hallway paint strange style yes , think shine . perfect hotel quick stay . oh - internet EXPENSIVE not bring computer - $ 5 20 min . 
 Jan 15 2008 	 Hotel Whitcomb work Us 	 stay close early morning weekend wedding SF City Hall . got great rate thru trip reward website use AAA rate option . book several room – one we ( bride groom ) , one bridal party , town parent , photographer , etc … this hotel pick due proximity city hall historic background . ( serve city hall briefly ) . even consider wedding ballroom – opt city hall instead . we variety room type – queen ( 1 bed ) room – 2 double bed – king suite … .everyone satisfied accommodation . bed comfy wifi work well everyone try it . T.J , one hotel ' manager , treat we wonderfully check - in ( Thursday , January 3 ) patient – even though several reservation check people even arrive yet . even upgrade room suite find upcoming wedding . room fantastic view city hall . offer crib find one guest would bring baby . ( bring play yard - offer attention detail overlook ) Champagne ( nice candy fruit basket ) send room help we celebrate . drink , eat chocolate ! pro : good rate , good customer service , clean , decent parking rate ( valet parking $ 28 night - compare $ 40 pay Palace Hotel -- - SF hotel even – San Francisco … you pay park EVERYWHERE , plan ) con : hotel victim neighborhood somewhat – good security staff handle front door always feel safe . also , park hotel tad confusing must pull around back hotel parking . call ahead warn explain process . basically , pass hotel , ( right travel Market ) turn right light turn right next driveway – ( confuse say " public parking " ) pull tell valet hotel guest , take care , help bag , call bellman etc . my complaint : make special point stop front desk ( Friday afternoon , January 4 ) check wedding photographer ( arrive day later rest guest stay hotel ) make sure room set could pick key arrive , would away hotel , last minute wedding errand . hotel manager ( Darin ) handle . several hour later photographer arrive , lucky back , , would wait we . seem check - in process complete , even though give credit card assure set . luckily , gentleman help we cordial understanding , tired annoyed . my advice hotel restaurant - skip ! eat small rehearsal breakfast Friday morning . ( party 7 adult , 1 baby ; bill $ 125 ) food bad price fair style place . complaint service . despite two small table place , wait – everything . one guest finally give get mayo sandwich eat dry . Coffee never refill - son - in - law finally get , get coffee pot place table . Dad ' milk spoil ( get another glass- took ) drink finally serve mid meal repeat request . would hate think service would like actually busy . want decent price , good food good service – walk across street Sam ' Diner .. advice parking get around ( especially night ) : leave car park part take cab everywhere – easier usually cost effective drive area city . all , good 3 star property , standard , actually high compare 3 star property San Francisco . go expect fine . go expect 5 star place – may happy . we happy enough extend stay beyond originally plan . thank , T.J . wedding stressful , make little easy we . 
 Jan 9 2008 	 San Francisco . 	 suppose read review place , need know reviewer come . be couple early 30 look ) good price b ) clean room c ) good location . definitely get above . I read lot review place book . really though many homeless neighbourhood , ' m sure would expect central location . location pretty great see BART / muni entrance right front . within easy walk distance Union Square downtown attraction like asian American Art Museum , Yerba Buena Park , SFMOMA , Civic Center etc . be also close shop recently gentrifie Hayes Valley . be willing bit walk , Haight / Ashbury Castro totally accessible . be willing adventurous , Tenderloin close . lobby quite beautiful , though old place furniture bit worn . spend time lobby area , WiFi accessible room . however , ' ve problem many establishment range Travelodge Hyatt . hall enough lighting though sort remind shine ( mention previous reviewer ) not think 's bad thing . elevator fine , however notice elevator inspection certificate expire . ask room two double bed instead single queen find ample space . bathroom clean not find small , though really much sink counter . place , fan could cleaner well air conditioner room . however not use air conditioner , bec . winter . sheet one bed strange stain , bed fine . bed bug . course sheet not soft 600 tc egyptian cotton home , bad hotel sheet . towel also standard issue hotel towel . we huge closet iron ironing board look new . hall bite strange smell , though find case room . overall get great price room . stay 5 night comfortable . think may able find nice hotel San Francisco , price . ' m sure much bad price range . 
 Dec 23 2007 	 Decent Hotel mediocre neighborhood 	 stay Hotel Whitcomb , important understand get . hotel nice , elegant lobby friendly , helpful staff . apparently , hotel around almost century date feeling . hallway throughout hotel poorly light , keep think reminiscent ' the shining ' , particularly not guest hall . actual room hotel , somewhat dissapointe . room stay single , queen bed room little room maneuver . room strong smell disinfectant , take get use . brightside , bathroom great condition look recently remodel , although small would suit single occupant time . also worth note people not familiar San Francisco , hotel locate civic center/ downtown . mean hotel centrally locate , also mean alot homeless shady charachter around . overall , would reccomend hotel someone enjoy old , atmospheric hotel good price ( pay $ 80 one - night Saturday stay ) . prefer contemporary hotel modern atmosphere downtown area , would probably reccomend Holiday Inn 1500 Van Ness locate 10 block north ( $ 125 night single king - bed ) . 
 Dec 13 2007 	 Amazing Hotel ! ! ! ! 	 Hotel Whitcomb amazing hotel would recommend anyone want stay great part San Francisco . staff amazing nice . doorman nice helpful get taxi . room small , san francisco , good size . maid nice room always clean . hotel also great location Market Street one main street San Francisco . Starbucks lobby area nice convinent . hotel nice okay prici wise . would recommend hotel small family couple . 
 Dec 6 2007 	 pleasantly surprised 	 look hotel conveniently locate close San Francisco Opera House chance upon Hotel Whitcomb . read Tripadvisor review doubt book room hotel within walk distance Opera House . pleasantly surprised . hotel wonderful choice . staff friendly accommodate find travel companion room despite early arrival . Whitcomb clean welcoming . guest room spacious bed comfortable . bathroom small appear recently remodel . window large well light natural light . travel cab Warf airport , bellman helpful get we cab whenever want one . eat breakfast beautiful dining room nice food delicious . grant area run quite homeless , never feel unsafe -- even walk back Opera House 10:30 evening . price reasonable central city hotel . would absolutely reservation recommend hotel one visit San Francisco . delightful stay unexpected surprise . 
 Dec 4 2007 	 Convenient City Hotel 	 book hotel first hotel two week trip California . stay hotel two previous occasion year ago wife never stay . pick hotel picture review internet . disappointed . the hotel great city within 20 minute walk union square MUNI stop right outside lobby . room re - furbish since last visit adequately decorate exceptionally appoint . little attention detail bathroom would paid huge dividend walk - in wardrobe little glorified storage cupboard room service daily bed super comfortable . the location hotel leave amidst usual gathering destitute individual never harrasse tormented let us face , every major city planet suffer . never try restaurant hotel every reason believe excellent review read internet . we receive friendly efficiency greate daily smile help reception . the car parking extortionate comparison similar hotel elsewhere country typical San - Francisco . pay $ 24 per day ensure car secure phone call car ready wait we whenever need it . on whole would recommend hotel anyone wish stay good value hotel convenient city centre , public transport thereby attraction bay . 's twoo block 9th street ramp , easy get airport . would use hotel . 
 Nov 27 2007 	 Hotel fine 	 Booked Hotel United Airlines , tour California tour company , not choose read negative review , look forward stay . need worried , room big , clean , quiet comfortable queen size bed . bathroom clean , nice toiletry , soft towel plenty room . large walk closet , plenty room luggage etc , plus iron ironing board . not smell not bed bug . Bart easy find airport escalator drop we Hotel Door . tram stop outside door , easy walk distance shop Union Square , Hotel well situate . staff problem , not expect grovel every need , perhaps ' m English . eat breakfast ' Sams Diner ' face Hotel , eat evening meal Hotel restaurant , nice . threaten homeless people outside Hotel , , give impression load comment make site . homeless people everywhere go San Francisco . also walk night without hassle . 
 Nov 25 2007 	 interesting 	 hotel absolutely horrible ! always read trip advisor stay hotel . however , consider San Francisco cheer competition , think would good interest stay Whitcomb rest daughter team . could take ! check , think hotel seem bad , lobby descent . oh goodness .... go upstairs , terrible . never stay somewhere like ! room bed small , wonder 6 ' 2 & quot ; husband would fit bed . shower area disgusting ! smell undescribable , sort smell like mildew . literally begin fall nauseate . hotel need go serious renovation . recommend place anyone . stay room 2 hour go Hilton approximately 5 minute away . rate $ 20 night . well worth ! Hotel Whitcomb give new appreciation nicer hotel . website awesome source information concern hotel . 
 Nov 24 2007 	 dodgy area 	 stay week end oct 06 , hotel ok , spooky feeling , might we though . really high ceiling hall really dim lighting , bit obssession mirror aswell hall lift everywhere . also turn shower bathroom could hear water shake pipe like old spooky house not use year . bathroom really big , decor abit outdate clean . the area really dodgy , probably bad thing hotel , alot homeless people outside hang around . friend travel smoke outside non - smoking room everytime go harrasse homeless people cigarette money . there good shopping centre road Market St , can not remember name though , alot place eat too . be short bus / subway trip club castro , spend halloween San Francisco good night ' ve long time , castro area bad name halloween time previous trouble . Halloween night think 3 people get shoot might stab , luckily nowhere near not see thing always good keep eye trouble keep well away . everyone city pretty friendly , staff member hotel quite rude , not happy leave $ 100 reception check , although get back . overall standard hotel nothing great , nothing majorly wrong except dodgy area . 
