good 	 husband 2 year old son stay three night Thanksgiving weekend . get excellent rate priceline front desk staff upgrade we superior room 33rd floor . big room fantastic view hudson jersey city . small fridge room put milk yogurt son . hotel standard marriot room rather large Manhattan hotel . the 85 west restaurant decent menu bit pricy ( $ 20 burger ) . breakfast starbuck one day morning go diner block away ( Georges ) excellent . can not compalin hotel except would stay downtown sightseeing shopping . also many restaurant around . the hotel one block ground zero general lot construction area sidewalk block traffic divert . subway station close get town . 20 minute ride midtown 25 - 30 uptown / central park . , great hotel convenient location midtown sight , especially child stroller . also prefer come back hotel naps inconvenient midtown taxi ride $ 30 . plus side , ferry liberty ellis island 10 minute walk hotel . 
 Jan 27 2008 	 real ' pretty woman ' hotel ! gorgeous ! 	 first two hotel stay whilst 30th birthday celebratory trip New York . amazing feeling get walk lobby hotel ! bell staff receptionist , everyone greet big smile professional personal service - make feel like important vip world ! illusion course , wonderful fairytale ! not know , make feel like person hotel ! even call wake call , lady end say & quot ; way - happy birthday ! & quot ; spend first three day holiday New York daydream ( move hotel midtown manhattan close fifth avenue , have plan advance ) . secret hotel attention detail ... box chocolate hand gift mark 30th birthday upon check - in , complimentary cheese wine plateau deliver room last evening handwritten card thanking stay hotel , wish great rest holiday ( think special touch , add magic eveing ! ) , housekeeping manager - Larry , come check work housekeeping staff ( small ) problem bath one day - response phone call immediate , warm , kind character proffesional , housekeeping staff - room beautifully clean , always smile morning ! really add ' feel - good factor ' day . everytime request something , deal efficiently ( demand guest ! ) attention detail room amazing : beautiful array quality bath soap conditioner ( bath body work ) gorgeously decorate bathroom , course gorgeous harbour view imaginable - statue liberty , ellis island , brooklyn bridge , not enough , since upgrade corner room second window look downtown Manhattan ( see photo - unfortunately , mobile phone camera not view justice - view harbour window panoramic , one photo could not convey anything close real beauty view ) . one word warn though - bed sooooooo seriously comfortable , will not want leave ... last day , finally give , not - stay DAY ! well , sunday , hotel perfect lazy sunday feeling ... pamper cow come home hotel , need go anywhere else - 's hotel massage service , wonderful room service menu , in - room movie service ( numerous channel not enough ! ) , evening turn service ( two quality box chocolate ) , good size swimming pool luxurious gym ( free ipod loan ) , free fruit water day , plenty go hotel - magazine goody shop , starbuck , two really friendly bar / restaurant choose ( try two lovely night , single woman feel perfectly safe welcome ) ... honest , spend hour spend lie bed watch massive ship come harbour , nearly cry beauty amazing sunset harbour . truly magical view . top , get sense people work really care hotel well . feel like grand boutique hotel , chain . guy door work year great story tell . Dave great - 's one security guard , real New Yorker ! make feel right home ! every member staff make effort recognise give friendly greeting every day - say , feel like vip hotel rather another guest . breakfast good , though expensive , worth try one day hash brown poach egg ( ' m miss already ! ) , though say not like food restaurant ' roy ' evening much - 's bad , bit fancy - french style , fussy , way over - hype price . staff restaurant friendly professional , feel like pay service ambiance much food , not resent pay much . be look special , romantic memorable break New York , hotel perfect place ! really look - american style ( see believe - ' ve never experience anything like Europe . feel like real client , custom value ) . great use base visit New York well - much area , although beautiful harbour walk , soho 's close take cab . subway far away night time - even though feel like safe place night , would not venture anytime 10 pm , not taxi . hotel full cinema - type New York fantasy bring something special holiday . yes , be old , people mentionne review , currently undergo make , ' oldness ' give room charm history ' antique ' ' wear ' , ' elegant eldery gentleman ' ' tired old man ' , certainly ' nineteen fifty New York ' ' big modern pretentiously flashy ' , age add grandeur , opinion . never wait lift ( 34th floor ! ) , pay less 200 usd per night ( be cheap weekend time year , book early get pre - pay rate marriott website - still , bargain ) ! want make 30th birthday treat really special , certainly get come ! fond memory stay hotel , treasure fondly many year come . truly magical experience wonderful hotel staff really care . 
 Jan 22 2008 	 New Year New York ! 	 hotel great want - location . not want spend fortune want comfortable , clean base would situate good place could explore New York . NYC Christmas must say occassion come New Year enjoyable ! christmas shopping hectic time although still busy atmosphere great . would definitely suggest miss christmas shopping instead come sale ! ! visit tourist site busy hotel staff great recommend good deal good way avoid queue ( special offer , different combo ticket etc ) . New Years Eve amazing nothing quite like Times Square ball drop ! ! ! get engage make extra special special enough ! hotel clean , service staff good complaint . pleasant & amp ; enjoyable stay . 
 Jan 16 2008 	 's alright 	 Typical Marriott , room service good though . be work elevator , delay , much . 
 Jan 9 2008 	 bad hotel 	 start , staff welcome us door rude even attempt open car door . think payment include breakfast , guy phone hotel tell make reservation , find charce extra 30 dollar . try charge we one extra day internet do not use . although hotel ` financial district ` claim tob e suitable business , even wireless internet . want stay connected stay chair hook short cable ever see . staff front desk rude ( except lady work 7th Jan morning ) will able help direction ( give direction metro station close ) . although , check 11.00am check 4.00 pm , waken 8.00am cleaning lady want clean room . location quite far away real touristic area noisy construction everywhere . available parking hotel charge 50 dollar pay daily time take leave car ( fact tell leave day can not take back unless want buy another 50 dollar ) .finally , room one small ever see . within price range one definetely find well place stay . least one well staff . 
 Jan 4 2008 	 Good Business Hotel 	 stay Marriott Financial Center two night attend conference . nice clean room , average size . lot restaurant close hotel . check 7:00 pm long flight across county , eat hotel bar average menu . financial district be close Time Square , Broadway Rockefeller Center , 30 minute subway ride $ 20 cab ride . business financial district nice hotel , close Wall Street . ' sight see , try stay mid - town Time Square . 
 Dec 13 2007 	 Downtown Upscale 	 Reliable Marriott - quality hotel . helpful staff , inconvenient SoHo , LIttle Italy , Chinatown , etc . good pricing may offset transportation cost travel uptown , unless use public transit . good value overall . 
 Nov 27 2007 	 great view OK Location 	 stay hotel Marriott Reward Points . stay Nov. 19 - 23 , 2007 . stay midtown previous visit ( first three day visit ) , spoil convenience location . close subway hotel 2 1/2 block away . use right next door , adjustment . also , night much pedestrian traffic street , not feel comfortable walk around . able get need take subway make transfer , take little time . overall , hotel good . checkin great . arrive little 12:30 promptly check room . Marriott 's Virtual Concierge , email special request prior visit , request foam pillow refrigerator room . front desk say would , not . access Concierge Lounge nice , small compare other use . breakfast good , limited dessert item evening . elevator hotel slow arrive , fast finally . experience couple problem one get stuck floor , notify guest midst maintenance elevator . harbor view room amazing . could see Statue Liberty piece Ellis Island room . would stay point get free , pay , midtown . 
 Nov 12 2007 	 stay hotel next trip . 	 we / ve stay several area city , return Marriott Financial Center again . the area vibrant , full optimism , safe clean . the concierge ( Goeffrey ) show we use # 1 line subway zip around city easily . Sunday morning take walk Battery Park go cultural festival . tree , grass , famile , food , gorgeous view ! room 17th floor .... could see Ellis Island , ferry ... will back ! 
 Nov 12 2007 	 can not fault 	 visit NYC peak time hotel charge fortune . however Marriot cost we 2/3 star would near Times Square . although close action hotel peaceful area near Hudson River / Wall Street Ground Zero . room could see Statue Liberty . 's close tube - 6 stops/20 min Times Square , Rockefeller Center couple Central Park . walk area like SoHo Greenwich Village half hour anf hotel safe area . the hotel immaculate , room large clean area . ' roy ' downstair great breakfast staff extremely helpful book we reservation top restaurant let we late checkout extra cost . I look site booking review agree mine . could book hotel Milford Plaza , Wellington big tourist hotel however would say not risk - pay little extra guarantee perfect stay modern hotel every room perfect . especially case like we go NY one - off trip . 
 Nov 6 2007 	 nice accomodation near Ground Zero 	 stay business meeting , worried proximity Ground Zero ( 9/11 World Trade Center site ) . problem , save emotion ellicite whenever see great gape hole think life destroy . fact , location excellent : near subway , lot tourist attraction , PATH train station ( case need go NJ : $ 1.50 way Newark ) . hotel small feel , room good shape ( new , worn either ) , staff great . highly recommend place want great NYC experience without pay high price charge similar room Midtown . 
 Oct 10 2007 	 wonderful ! 	 pricey week . weekend stay good deal . room service not get order right twice . not like mistake hungary . finally , food arrive , good . wallpaper fall area room . quiet room . Locatednext grind zero , quiet place noisy city . Ground Zero twice 2002 2007 , personally still overwheme . we request view room Staute Liberty . awesome ! New Yorkers super ! 
 oct 9 2007 	 Nice Place Wonderful View 	 spend NY Marriott Financial Center couple night rush SoBe NYC Justine Timberlake concert Madison Square Garden . decide stay river South Manhattan , choice ' wrong . ' get one word critic hotel numerate positive side . staff professional friendly service good . ' well locate West Street go along Hudson River , near Battery Park , hotel get wonderful view New York Harbor Ellis Liberty island . sound good , yeah ? ' close subway station ( " Rector Street " ) Trinity Place , minute ' able get place city . ride cab hotel somewhere around 42nd street back would cost near 15 buck tip . ' walk distance ( 5 - 7 minute ) Broadway Wall Street convenient case ' business trip . neighborhood quiet overcrowded comparison city center . ' cheap Marriott hotel situate city center , provide customer service . mean hotel get appropriate price - quality ratio . finally , restaurant , indoor pool gym , starbuck café building . check take moment get standard Marriott ' room necessary amenity , traditionally comfy king bed nice view Hudson River Jersey City . besides nice buffet breakfast , accommodation plan include free cruise ticket around NY harbor stop Liberty Ellis island , two day - long subway ticket two flyer free admission museum South Manhattan - nothing special pleasant . quick check , catch cab JFK – couple minute cross East River Brooklyn Bridge rush Queens get airport quickly ( waste lot time Manhattan ' traffic jam ) . oh , JFK ! spend two hour crawl take line hundred aircraft , another story . , would not hesitate recommend anyone stay New York Marriott Financial Center . 
 Oct 8 2007 	 Amazing ! ! 	 Outstanding service ! ! girlfriend take weekend trip NYC book hotel good deal . get great deal , great room , great service ! ! concierge bell hop go way help we . front desk staff friendly ! problem , check we room someone still , room water leak bathroom . however , good point weigh problem . ' m use experience age discrimination early 20 , ever rude uncaring . customer service way ! ! room amazing view , bell hop let we eat , story work hotel many year . highly recommend , hope go back ! 
 Oct 7 2007 	 Best Hotel Money NYC 	 great place stay NYC despite out - of - the - way location . room large comfortable quiet usual Marriott amenity plus terrific view harbor statue liberty . ( although window little dingy could use cleaning ... ) comfortable bed , large bathroom great water pressure , comfortable chair reading , good desk plenty lamp read . pool great ! 's lap pool not grand , certainly large enough lap swimming . easy get mid town hop subway , short walk hotel . early check late check problem . everybody staff friendly well - inform . ' m plan stay often . 
 Sep 24 2007 	 EXCEPTIONAL Service ! ! ! 	 hello , sister recently treat mom weekend NYC celebration 50th birthday . employee NY Marriott Financial Center go beyond make weekend NYC extraordinary . bed extremely comfortable hotel clean . order pizza Saturday night hotel security escort room . definitely make we feel safe ! hotel close Rector St subway station ( two block ) . DEFINITELY recommend hotel ! ! 
 Sep 17 2007 	 Great Stay 	 great service , fantastic bed nice room . two block Rector Street subway station Battery Park . 
 Aug 24 2007 	 still LOVE hotel ! 	 ' m shock last review hotel mine 2 year ago ! well , since be , will chime . stay every year conference , get well time . ' m sure 's fact 's next door Ground Zero , give time reflect day , really like . hotel lobby classy ever , staff friendly , food restaurant good . location right heart Financial District , walk distance Village , Chinatown ( many cab ' drive Chinatown hotel grid lock ) . be also nice walk boardwalk see Statue Liberty Jersey shore . not new building way , would able see Statue room . really like area , be calm quiet NY . room huge , be big enough , bed comfortable . bathroom clean , cost , be well worth stay . never issue hotel unclean anything like . love place 's trustworthy . 
 Aug 10 2007 	 extremely comfortable ! 	 comfortable bed - probably comfortable ' ve sleep hotel . clean neat well - equip : coffeemaker , room fridge , room safe , iron ironing board . nice big clean bathroom . quiet room . nice television cable . ice bucket , hotel provide opener . excellent location . subway station right around corner . take # 1 uptown everywhere . walk block tribeca dinner tribeca Grill . Delicious . stop grocery store tribeca stock soda room . would love spend entire week hotel see lot New York . recommend anyone like relax comfort end day trek city ! 
 Aug 8 2007 	 good hotel 	 good hotel close ferry area Staten Island , Wall street Twin tower site want visit central park , Fifth Ave , Broadway museum , stay close city area far walk attraction . bus tour leave stay one night . hotel good . staff friendly helpful restaurant hotel good value . go bar area meal make well mean good pizza ever eat . room good size good view . ber fridge room go ice machine keep drink water cold , problem encounte , lot american hotel , like Australia nearly hotel inlude bar fridge . 
 Aug 6 2007 	 recharged Battery Park Marriott 	 stay three night early August . hotel perfectly locate subway , shopping , dining , historical site see financial district . room clean great view . bed comfy bathroom quite adequate / clean . book parking / breakfast include deal great value . breakfast buffet excellent quality many choice . 's nice indoor pool load kid water hot swim summer . Gym look adequate . eat dinner one night Roy 's restaurant locate downstairs hotel . food actually good although service bit expensive overall . plan stay Marriott future . 
 Jul 17 2007 	 Clean Comfortable Rooms Marriott 	 stay 1 night New York City lucke book hotel . not much time plan trip hear many horror story small room vile condition not even look forward spend night city . for family 4 , need room 2 double ( queen ) bed find hard find NYC many affordable hotel offer 2 twin 1 double - otherwise would pay 2 room . come across Marriott Financial Center Expedia.com offer internet special 2 double bed . marriott name could trust location look good book on - line . the hotel great room clean , everything look like new bed extremely comfortable . room pretty view Hudson River . Bellman friendly helpful get we cab give we information . be prepared hotel locate close & quot ; Ground Zero & quot ; . due construction , sidewalk close hotel side street walk bridge get across busy West Street . take advantage walk area along Hudson River run Battery Park , be pretty walk lot bench relax . 
 Jun 26 2007 	 comfortable 	 first time location . professional . clean . bed comfortable . GREAT view harbor . 's walk distance 2 subway line ( amazing discount dept . store , Century 21 ) . 's Roy 's restaurant Starbucks lobby . highly recommend hotel next stay NYC . drawback 's lot construction go around hotel since 9/11 . 
 Jun 14 2007 	 excellent stay awesome staff great location ! ! 	 family tad nevous visiting & quot ; big City , & quot ; Marriott Financial District excellent choice ! ! ! ! offer quiet , warm welcome evening , away busy day tour city . meet w/ candle fresh lemonade lobby staff greet , evening . great sit bar , 85 West relax drink . across street , 3 blk ahead , walk Battery Park Promanade relax cafe along waterfront watch sunset . ( also great husband run along morning ! ) excellent staff , need meet . give fabulous corner room 37th floor view Hudson River WTC . pool nice , although tad warm . great advise staff local breakfast : George 's , far excellent Tribeca Sunday breakfast : Bubby 's . dinner sunset along Promenade : steamer local deli across WTC next move , Tribute WTC9/11 Visitors center NYFD Ladder 10 .easy access subway within 2 block , Trinity Station . will definitely stay ! ! ! 
 Jun 7 2007 	 Great Location 	 third time ' ve stay property . conveniently locate close financial center . also like fact subway line anywhere city locate within four block walk . room clean comfortable bed . bathroom anything top . plenty exercise equipment ( weight machine sub - par ) pool . three block walkway along Hudson Battery Park . pleasant weather great place go unwind . good value give location . 
 May 28 2007 	 fine undistinguished 	 hotel good location- lot subway line nearby . 's close Century 21 discount department store . room large well appoint . concierge give wrong information cost cab back jfk- 's fix fee go out- query , insist . but let late check without charge good . 
 May 18 2007 	 Nice hotel nice location 	 spend Xmas New Year hotel . like room much , clean comfortable , nice smell ( important non smoker ) . heather work fine comfortable bed ever . : ) hotel nice location next subway quiet place night sleep . I dislike dirty window real pity nice view room . we another problem bill , charge meal restaurant never ! ! : ( wish would ... jajajaja instead pizza outside hotel . about renew work outside , didn´t suffer workable time hotel visit place . the bathroom clean hot water day long . courtesy ( shampoo , conditioner , cream , etc .. ) enough good quality . one nice thing find every woman hair dryer , real one dry hair feel simple breeze . the free coffee tea room nice touch , enjoy much specially winter . this hotel would go back . 
 May 4 2007 	 Great Hotel 	 stay hotel 4/19/07 - 4/23/07 . check great , arrive hotel 8 am give early check . concierge desk helpful every time question need direction . hotel restuarant ( roy 's ) good , little pricy food good drink great . hotel heart downtown financial center block ground zero . hotel close subway get around problem . also hail cab easily entrance . would much stay come back ny.hotel 20 minute ride Central Park Times Square 40 minute harlem anyplace directon . Ho village walking distance not mind walk 15 block ... great way see city . 
 Apr 17 2007 	 Marriott 's not use ... 	 December 2006 book room two bed family four Travelocity three day Easter break . upon arrive , tell hotel full room king size bed available . offer give we single rollaway bed extra bed 4th person sleep ground . indicate hotel book Travelocity , not notify request room two bed , able give refund . find ridicule give option Travelocity ' website room selection , yet Travelocity , one top travel site internet not give data hotel ? ? come ... 20 minute argue front desk staff manager , offer put we list another rollaway bed night comp'ed breakfast next day ( $ 20 buffet ? ? ny $ $ ) change room double next day . I find room less expect Marriott . room date , AC / heater require use ear plug loud , wall paper bathroom look like 1980 's peel wall place , plus nice selection mold around crown molding . price hotel nice , not think one minute ( like ) 's Marriott know be go nice . also , reviewer say one make sure call advance ensure be get room book tell & quot ; sorry & quot ; check . 
 Apr 8 2007 	 expect 	 November 2006 , book two room 2 night Easter break . book family four family three . upon arrival , inform room available 1 king bed . would add rollaway bed room , would still provide room 3 people . the front desk manager try find double bed - room different hotel ; Easter weekend , nothing available Manhattan . offer room free , want go home spoil visit family ( first visit United States ) , accept . person rollaway good night sleep , 3 other ( 1 king ! ) hardly get sleep .... exhausted ! opinion , offer room free also free stay award ! learn lesson : stay Marriott , check departure make sure get ask . 
 Mar 26 2007 	 Nice Affordable Hotel 	 return 3 - night , weekend stay Marriott Financial Center . overall , good experience family four , include two small boy age 4 & amp ; 5.we book directly Marriott ' reservation service ( participate Marriott Rewards program ) request upper floor room view Statue Liberty early check - in . check - in around noon Thursday extremely quick request accommodate . room clean decent size NYC in - room safe , mini - bar , hair dryer , clothe iron & amp ; board , small desk , comfy chair ottoman . charge internet access . two bed room double queen size , cramp share another . however , bed , pillow linen comfortable . bathroom light TERRIBLE ! toiletry plenty towel provide . problem elevator noise outside construction . housekeeping room service pleasant responsive request . however , concierge leave little desire . response inquire vague well . seem enthusiastic help we make son ' first trip NYC old son ' birthday ( celebrate stay reason trip ) memorable experience . our Sunday morning check - out go smoothly check - in . valet prompt retrieve car garage . however , 10 - 20 minute wait bell hop pick luggage room , decide make couple trip lobby luggage ourselves . we must agree location Marriot Financial Center good tourist , since cater business traveler , weekend rate reasonable . as side note , would encourage visitor NYC contact Big Apple Greeters . wonderful day one volunteer would highly recommend ! information ; [ - ] 
 Mar 1 2007 	 ok stay really need downtown 	 hotel right next World Trade Center site . room 36th floor view re - construction . advice would ask view , not want see ( honestly ) ask move . room ok ( large , average New York ) . lighting room adequate work pc . , elevator slow . workout room nothing special . stay mid - town , much well option food / service . 
 Feb 28 2007 	 Excellent Service Hotel ! 	 Excellent hotel & amp ; service . beautiful room , clean quiet . nice location . 
 Feb 18 2007 	 great experience 	 stay hotel vacation NYC . location mixed bag construction noise Ground Zero , not bother we . check ( early ) easy . room large corner room partial view Ground Zero Hudson River . bed pillow comfortable . not experience elevator problem , ' m sure full hotel . hotel convenient Wall Street Battery Park . walk well Southport one morning problem inspite hot , humid weather . nice greek restaurant couple block away irish pub good food even close . not try Roy 's price pretty high , even NYC . popular discount clothing store ( Century 21 ) five minute walk away . the theater distict $ 15 taxi ride away . problem get taxi hotel , find one show let tough . walk east westbound street theater district , catch taxi return run hotels east side town . also use taxi get to / from Canal Street , SOHO Village . access subway system one block away , although not try system . Valet parking friendly efficient . 
 Feb 15 2007 	 friendly service 	 write impressed thing handle professional friendly manner . employess long time seem dedicated comfort stay . great room overlook Hudson River depend side hotel stay far speed elevator view . room comfortable quiet . would love go back . 
 Feb 11 2007 	 Nice Hotel New York 	 stay Hotel New Years Eve & amp ; Nice Hotel ! ' ve New York & amp ; Hotel stay nothing compare one ! always feel weird sleep Hotel bed since ' m sure clean may sheet bed white , soft & amp ; comfortable , problem fall asleep . bathroom super clean . not feel uncomfortable Bathtub . service good . one nice thing Starbucks connect Hotel . great ? ! location great , since 's Block away World Trade Center site . 's also walk distance Battery Park take Ferry Statue Liberty . subway not far either case want take Times Square . price not bad either . , would definately stay Hotel . 
 Jan 20 2007 	 problem 	 go back Marriott stay year early business find clean , reliable hotel ( Marriotts ) . unfortunately trip disrupt change room 3 time . room allocate we arrive absolutely thick dust . tv , window sill , curtain absolutely grey . surely US vacuum cleaner nozzle skirt area ! give another room seem ok , albeit bit less dusty , get bed night . smell cigarettes duvet disgusting - bear mind Marriott advertise hotel US non - smoking . earth invest new bedding rule introduce ? room change day back thick dust . fair , seem great deal work happen outside hotel , scaffold etc . surely well housekeeping could compensate . use really smart hotel would avoid time work complete place clean . 
 Jan 20 2007 	 Decent Marriott Slow elevator 	 pretty decent hotel . room large Manhattan , clean comfortable . location West Street not great , be low Manhattan everything close anyway . the elevator brutally slow . wait 15 minute morning wait . 
 Jan 3 2007 	 aged wait elevator 	 book Marriott Financial Center ( ' m Marriott Card Holder ) try low Manhattan time . hotel typical Marriott , nice , clean restaurant attach , like . problem encounter elevator slow full , seriously wait 15 - 20 minute get one . not blame Marriott , Sat . morning around 9:00 people check , everyone wait elevator every floor . think Marrriott bellhop separate elevator bring luggage up / down . idea much room cart take ? ' m sure would gazillion dollar add separate elevator - hey be worth mention . both restaurant hotel pretty good , appetizer Hawaiian one one coffee dessert night . pool nice wish jacuzzi . man , want , not ? yes , would stay wanted stay low manhatttan area . although preffrence Marriott Marquis ! 
 Dec 29 2006 	 Decent Business hotel heart financial district 	 stay Marriott , New York Financial Center 8/22/06 8/25/06 . good part hotel location . right heart financial district opposite World Financial Center . room strictly okay , appear old . lobby small . starbuck hotel . cab easily available , public parking behind hotel . close Subway Station Rector St station line & quot ; 1 & quot ; . convenient subway station & quot ; R & quot ; W line station Rector St Trinity Place . station couple block rear entrance hotel . also breakfast one dinner small , charming bistro call George 's & amp ; Sons 89 Greenwich St , minute hotel close & quot ; R - W & quot ; subway station Rector St. Good cooking , prepare fresh . 
 Dec 29 2006 	 nice hotel beware drilling 	 book xmas stay base good review see . hotel nice start build work outside building . mean constant sound drill 9 - 5 . even bad arrival day water room - turn due work . staff excellent try help we move we high room , sadly next day work start high floor well . bad Marriott warn guest noise work . email warning website ( staff ask ) . check day much . fair excellent move we uptown brilliant Courtyard 3rd Ave . nice hotel staff excellent check see drilling go - noisy . 
 Dec 11 2006 	 Marriott Marriott ( course Ritz ) ! ! 	 huge fan website . surprised see reviewer compare hotel Ritz Carlton . although Marriott own Ritz Carlton style cater differ client . this Marriott Marriott ( course Ritz ) ! ! signature Marriott hotel every way . lovely new bed ! ! partner take parent early Christmas gift trip NYC . room great view Statue Liberty close several subway stop . the service great ! Roy 's wonderful breakfast also lunch . several close place grab bit corner store pick bottled water , etc . it large room ever NYC . quiet never feel crowd . my small complaint elevator slow . make another trip back near future . MichaelArlington , VA 
 Nov 26 2006 	 Nice hotel 	 Nice hotel . get corner room , really huge . staff nice facility like free room coffee maker / coffee make stay pleasant . room / bathroom neat clean . would stay . 
 Nov 1 2006 	 second fantastic stay 	 partner return second stay hotel . love every moment . staff supremely professional , courteous helpful . room 19th floor nice view Hudson River Ellis Island although Statue Liberty obscure another building . the room typical Marriott - clean spacious . bed really comfortable bathroom stock Bath & amp ; body work product . we use room service . order breakfast first morning - arrive exactly order bang time . also drink bar couple time , nice atmosphere it . the near subway station , Rector Street , around back hotel , 1 block away . make aware 1 train would running weekend enter station another block back use r W train instead . present problem whatsoever . we also advise exterior work carry building day , tourist , not see hear anything . a wonderful hotel great location - can not wait return . 
 Oct 26 2006 	 Nice hotel 	 although not please location room initially offer , polite insistence get much nice room excellent view New York harbor . room fairly small , sufficient need single business traveler . bed quite comfortable . would definitely consider stay , even come New York tourist . sure , be farth tourist attraction , still short subway ride away . although area pretty dead night , provide peace quiet hard find Manhattan . nearby Millenium Hotel look even quieter , though less scenic , location . 
 Sep 25 2006 	 Pretty nice 	 nice hotel . staff professional , actually able check - in early . room wonderful view Statue Liberty . room clean , big . bed extremely comfortable , marble bathroom quite nice . ask front desk dinner recommendation whip map mark spot try . overall , enjoy experience . 
 Sep 19 2006 	 half nice Ritz Carlton Battery Park 	 spend four night New York - two Marriott , two Ritz Carlton Battery Park street . pay rate harbor view room hotel Ritz Carlton , hand , twice nice . Marriott , livable , old hotel small room visible black mold peek behind crown moulding wallpaper . also understaffed , one bellhop handle horde arrive depart guest . Ritz Carlton , hand , new hotel beautifully appoint room outstanding service . , be look stay downtown , would recommend Marriott Ritz Carlton rate half much . anything high would suggest head Ritz far enjoyable stay ! 
 Sep 18 2006 	 unlike NYC hotel 	 large room , comfortable bed , quiet A / C unit , great view , local market & amp ; pa eatery nearby make exceptional value . negative train not run weekend local construction , hoof alittle , starbuck property not take Starbuck card . Roys Labor Day weekend ok . 
 Sep 4 2006 	 great location escape City 	 great hotel locate close Ground Zero . Marriott manage bring hotel back life offer part City lot greenery fresh air . bedroom hotel large great view Statue Liberty comfortable bed . great hotel leisure business . defintely stay . 
 Sep 3 2006 	 great new york 	 return week Marriott . hotel average service alright . a / c not work well , either always . room ok smell musty . bathroom need paint . great location good staff . quite part town . right next 9/11 sight . very close Battery Park . r , W 1 subway block away . 
 Aug 24 2006 	 Unexpectedly Terrific 	 stay 3 night Marriott Financial Center mini family vacation Aug. 18 - 21 . travel NYC times business never great experience ... room city always seem tiny , dated , poorly service over - price . , exceptionally worry trip wife kid ' standard tend somewhat high - e.g. , Orlando , family insist Loews Royal Pacific . Marriott not Royal Pacific , tell stay get top mark pretty picky bunch . first , hotel gracious accurate meeting request , rollaway already room upon check - in view Hudson River ( see photo room Ellis Island - great view wake every morning ! ) . room decent size far cramp . bedding well like . property clean immacute ... NYC musty smell fray carpet - even hair dryer top notch ( usual weakness hotel ) . Front desk professional gushingly friendly , chamber maid always ready smile pleasant & quot ; hello & quot ; . Roy 's , hotel restaurant , deliver nice $ 20 breakfast buffet $ 13 apple macadamia nut French Toast menu gigantic world ! lucke weekend package include breakfast parking , not necessarily taint view restaurant 's food quality service . finally , location ... never stay midtown . downtown location allow great night 's sleep without typical NYC street noise siren . marriott 2 short block away Rector subway station R / W , connect we easily every sight end visit . this hotel review guidebook research go unconsidered ! 
 Aug 24 2006 	 Better NY hotel bad service though 	 Stayed weekend pass generally impressed hotel - love location , bed world . however arrive 3 pm Saturday told room ready tell come back 4 pm . receptionist rude unhelpful . come back 5 pm still not ready , however another receptionist much helpful time give we room . view fantastic Hudson NJ get much feeling space stay end Manhattan . Asked Concierge book we car airport last day - advise price - keep enough cash . confirm airport , terminal airline ( flight London ) . car turn next day say La Guardia book , rather JFK go . enough cash La Guardia ! careful . room bit Laura Ashley mid 1980 's design bed simply FANTASTIC - one comfy bed would ever sleep 8 pillow . would stay . wish service would improve bit . oh , leave room 10.30am one day come back 2 pm find room still service . go come back 5 pm find maid start . bit poor opinion . Fantastic Starbucks building though ground floor ! 
 Aug 21 2006 	 Great Place Families 	 family 4 - 2 kid 12 13 . choose hotel base location ( near WTC stay 3 week 9/11 Millenium Hilton ) know business hotel would nice rate weekend . $ 225 , get beautiful room view Lady Liberty , breakfast parking . let us start room . comfortable room experience long time . bed top , top quality . mattress amazing - sink . pillow linen would buy home . enough room four we , include two bed rollaway , plus room move around . free bottled water nice touch . bathroom make wife gasp - large . breakfast buffet describe without gush . include package , almost worth $ 70 would pay separate . pastry , egg omlette style , french toast , amazing pork sausage pepper bacon , fresh fruit salad , great coffee , fresh juice ... kid make sure plenty energy leave morning . the location not central . ' ve ever stay mid - town , know 's good thing . 's quiet area weekend , easy subway ride $ 8 taxi trip 42nd St , convenient Battery Park catch ferry . Ground Zero right , well . much hallowed ground might seem somber mournful tomb , start brim new life energy . train station rebuild . new WTC grow around . construction 24/7 . police fire detail cheerful happy greet . opinion , every american visit - hole earth cover , speak . yeah , love hotel . staff professional polite , rate fair . hesitate book package deal . 
 Aug 4 2006 	 far beyond expectation ! 	 Marriott Financial term kind calm quit hideaway manhattan island . sleep comfortable bed beautiful view Hudson Ellis Island . room astonishingly clean , could feel like home use bath bed long day sightseeing shopping . Marriott locate absolutely safe quiet part downtown , peaceful undisturbed sleep night . Breakfast Roy 's good start day , someone want , could also find many quality breakfast cafe restaurant close hotel . subway station 3 min . stroll away within 15 min . lock room be right middle Time 's Square . 's time cab ride never pay 15 $ to / from uptown . many world renowm tourist ' site near hotel , like Battery Park , Ferry Statue Liberty , Wall Street , Woolworth build Pier 17 . mention Ground zero , block away mustgo remember give prayer . listen many horrible story even horrible NYC hotel friend family experience we , relieve realize Marriott Financial real 4star hotel amenity one would expect . lucky get rate kingbe room , not high rate dirty rundown 2star tourist hotelcage uptown . Marriott Financial make stay New York unforgettable nice one . highly recommend ! 
 Jul 9 2006 	 Great Hotel 	 stay weekend July parking breakfast package . room large clean . room next elevator 19th floor . quiet . breakfast Roy 's delicious . hotel couple block subway . till 11:00pm feel safe . would definately stay . 
