awkward 	 great place . August check move room 's hard - wire internet ( kind -- wireless ! ) not work . additionally air conditioning never get quite cool enough , shower / tub short , awkward nozzle not adjustable force stand drain , elevator small slow , business center tiny closet basement . though ask stay elsewhere time , be corporate room block . e - mail time hotel manager assistant manager various question . nice accommodating , staff ' ve encounter . staff wonderful - hotel need major makeover . speak , gym ( LA Fitness next door ) close renovation be buss guest another one block away . unfortunate timing . this time arrive excited get room 701 , top floor . room indicator , not room & quot ; -01 & quot ; . room awkwardly opposite elevator . door open right elevator lobby , without kind baffle foyer , people elevator , wait landing , look right room . noise ! talk / yell / whisper guest elevator notification ( & quot ; go ! & quot ; ) keep awake night . be move another room today ( additional 40 quid night ! ) hopefully well . 
 average hotel - 5 star 	 hotel situate great location - convenient Covent Garden theatre district . bed comfortable . staff friendly helpful however five star hotel . room average despite & quot ; deluxe & quot ; . look need decoration - attempt hide fact fancy light hang bed . bathroom spacious tatty - heating - supposedly hot towel rail freezing , shower lukewarm draft window . breakfast somehow manage lose hot breakfast order leave we sit 20 minute realise lose . wake drill hammer early final morning somewhere hotel - one bother warn we . check , staff never bother ask stay - seem interested get money . there plenty hotel area would advise people stay elsewhere - definitely five star hotel worth money . 
 Waldorf 	 book one night famous Waldorf Hilton Aldwych lastminute.com . know Waldorf ? rich , famous people use stay ; excellent positon near theatre museum poise edge City ; boast crown jewel ballroom , Palm Court . sound good . , fool history . Waldorf transform Hilton boring , mid range business hotel . lose every shred famous charm . , completely devoid character . still , five star rating belie poor quality service offer . I carry obviously heavy suitcase long flight stair reception , staff watch . Thirsty arrive room , invite spend GBP4 priviledge drinking bottle mineral water . room ostensibly double . two set prettily wrap bathrobe ( GBP40 buy ) lie conveniently bed . however , bed push wall like medieval box bed ; possible access second guest . desk lamp , wrong side desk read bed , work ; follow morning housekeeper confirm bulb go . even low setting , heating ventilation fiercely direct head height uncomfortable stand middle room . the tv remote menu facility , flick aimlessly around find news station want . bathroom tile floor ceiling clammy ; heating towel rail , remain cold throughout stay . bad , despite offer free wireless connection bedside literature , tell front desk way connect internet five star hotel purchase GBP15 24 - hour voucher would permit use hard wire cable desk drawer . Breakfast serve Palm Court , beautiful green palm remember film set remove . room large , cold decorate stiff , brown dry grass . food acceptable , stand middle room , , twice , attract attention staff get coffee . no Christmas decoration , warmth . luxury ? forget . advice : stay somewhere else . shame , Hilton , turn unique elegant hotel average , brown box . Mrs . Rehoboth 
 bitterly disappoint 	 book room celebrate anniversary surprise half disappointing experience ' ve long time . on check - in ( quite late , arrive around 23.15 ) wait receptionist get phone alone . get room key pretty much without one word ask breakfast ... welcome ... room disappointing - small clean 5 star standard . find tv work , call reception ( wait couple minute someone pick ) tell someone , take 15 - 20 minute . check say tv could fix would move leave . needless say one call we , call reception ( be talk well midnight stage ) tell would need contact engineer morning . say be stay night , apologise inconvenience offer we complementary breakfast . by stage really upset romantic mood completely vanish , want make fuss late work next day . oh , bed terrible , feel like spring going give way second . breakfast ask menu rather present . full English , one vegetarian oily tasteless . finish orange juice , never get refill . ask toast ... could believe 5 star hotel actually . so , awful experience . certain expectation , give name rating previous Hilton experience , would well stay home ! half say al least will definitely remember anniversary . unfortunately , memorie nothing like mind book . 
 Oct 22 2007 	 Disappointing 	 stay hotel one night birthday . disappoint stay expect far hotel . room small price pay give smoking room request non smoking . vegetarian option cook breakfast - ask vegetarian present plate sausage , bacon black pudding take , leave we egg , half tomato couple mushroom - not even bother try fill plate bit non meat stuff , bit insult really , fortunately breakfast room rate otherwise would angry pay £ 44 we receive . I aware course central London , stay much nice hotel lot less money . 
 Oct 20 2007 	 wow- Amazing 	 book room site not tell hotel be get book , spend $ 150 night room , bite hesitant cheap . all hesitation go step hotel . really beautiful great sitting area lobby , full fitness center use free , include sauna steam room pool ( almost unheard London ) room gorgeous although not view big ' ve stay NYC San Francico , Front desk concierge helpful give we direction recomendationscentral theatre district easy walk many place tube stop ( covent garden Holborn close ) downside taxi pick we outfront go home . not happy take we street Holborn station luggage trip hom . ( comment could easily afford take taxi airport pay $ 500 night hotel ) LOL little know pay less would 2 star : ) 
 Oct 11 2007 	 bad well 	 ' ve book Waldorf four night use HHonors point . hotel locate 3 minute walk Convent Garden three underground nearby - Holbourn , Temple Convent Garden . currently Convent Garden stop available boarding Temple 7 - 10 minute walk away . get day travel ticket , board bus take Holbourn station ; bus stop step Waldorf . HHonors Gold member ungrade big room access executive lounge . room size ok ; problem tint glass bathroom door . shower bit close wall , think desigh issue . hotel well another extra chair room . the executive lounge tad small much breakfast variety ; veget . one complimentary computer courner ; need get pre - pay card staff log internet . indoor swimming pool look ok area well maintain , hence interesting . will stay Waldorf use point ask pay 250 pound night stay . 
 Oct 10 2007 	 Night Club Hotel 	 stay hotel full week business . usually stay one Aldwych next door , fully book . every night hotel would huge function ball room extremely loud music blast 1 . music nuisance hotel room stay ( one first , fifth floor ) - able recognize song . ear plug help course , need wear ear plug stay 4 - star hotel ? 1 am cutoff time might big issue staying vacation , require get early next day work , unacceptable . other noise issue ( significant never stay hotel ) , hotel fine . renovation room contemporary - fairly bland unexciting , functional . room good size London standard . check - in / check - out efficient . 
 Oct 8 2007 	 Whole World Posh 	 enter Waldorf Hilton , greet doorman bowler hat suit , late night delay flight meet friendly reception staff promptly check we whilst stand elegant lounge / reception area . the deluxe room , queen size bed plasma tv , modern tangle wire light modern tea make facility . bathroom lay extras would expect 4 star hotel , towel shape size , body wash etc reasonably large size . the bathroom not amazing ( tap loose , toilet flush move tad much ( way 360 deg ) , fine . we stay breakfast ( whop 32 per person , worth book room ) show go , escort table concierge offer orange juice assortment food . buffet style service available nice choice give choice food ( mostly cheese meat ) choose from . all would say stay enjoyable one , hotel look tad date inside could review quality feature room would expect £ 250 + night hotel . 
 Sep 22 2007 	 small hotel nice staff 	 stay one night , catch flight back state London . arrive , absolutely exhausted travelling . big , heavy luggage immediately handle upon exit taxi lady front desk friendly efficient , excellent want opportunity wash change . can not say much location hotel take taxi everywhere go , since tired deal public transportation . however , see lot sight wish have opportunity explore . room not big , modern clean . bed pillow comfortable . think think put style rather functionality bathroom , be bad . oddly , t.v . face door , rather bed . assume would swing face bed , wrong . upon check next morning , nice lady check we still work take care everything quickly . staff quickly take care hail taxi we loading baggage , way . 
 Sep 6 2007 	 would not recommend 	 go hotel like Waldorf Hilton , expect treat correctly . unfortunately stay experienced several flaw way staff treat guest . positive thing room stay . book Executive Suite spacious modern . rest perfect . arrive , room not ready hour . explain dissapointement receptionist . , walk away , call something unfriendly behind back ! never treat like hotel . want fresh journey send Waldorf Gym . unfortunately , three shower wait long time turn . arrive back hotel lovely day London , want dine restaurant . book package include first night dinner . receptionist help we arrive forgot book us table wait quite . end , dinner serve around 9.45 ( 21.45 ) . food poor . one bite . waiter pick plate , notice fact would barely touch food not offer we anything else . couple next we problem food . top , waiter forgot bring we drink two time . leave hotel two day later , take cab airport . tip person hotel carry suitcase cab . tell cabdriver money good tipper . discreet ! never return . 
 Sep 4 2007 	 enjoy Waldorf 	 stay overnight . car take care luggage arrival . especially welcome 2 week luggage we . drive round couple time favorite place coach pick up . escort Exec lounge , staying point . give voucher 60 min free time computer lounge . £ 15 per 24 hour connection room , standard Hilton UK charge , think wifi common area . double edged sword mean lounge bit like someone ' office hence relax . drink escort upgrade room . good sized sit area really comfortable bed . traditional bathroom well equip . long way lift walk reward quiet location . this central location near 3 tube station bus stop taxis doorstep . staff deal polite friendly . we eat complimentary breakfast Exec lounge decent continental offering . 
 Aug 30 2007 	 great location ... 	 stay family one night follow trip see Lion King . location fabulous ; walkable Waterloo , close theatre ! inter - connecting room ( 50 % discount child 's room ) , feel quite spacious ; interesting abstract style ! bed comfortable , although duvet look little like over - size tea - bag ( be quibble - ' m sure people like look ) . second floor , back . view , mean not get street noise . unfortunately , find unable sleep well constant hum generator whatever , outside . the staff pleasant helpful . so , be good hotel , ' but ... ' ? normally would not able afford stay ( rather , justify cost husband ! ) . stay accumulate enough Tesco Clubcard point cover majority cost . know 's London ; know 's prime location , , room cost £ 243 - ish , can not simple breakfast include price ? think , irritated get ! surely not cost much offer croissant coffee , ? Breakfast include Edinburgh Aviemore , come London , ? ( say , plenty place locality breakfast , cheap hotel offer ) 
 Aug 25 2007 	 good choice 	 great location really great people . moment first arrive -- initially store bag stay w / friend , pende actual stay hotel two week later -- people outstanding . porter immediately outside handle bag , desk staff approach we help , etc . great champagne bar lobby . 's bit noise , since hotel middle busy theatre district . like London hotel , room pretty small . couple thing not work perfectly , fairly minor . 
 Aug 20 2007 	 great location bed like cloud 	 stay two night tour west country . visit London couple time year stay different hotel time . drive hotel , car luggage immediately take care . check executive lounge highly efficient friendly . one room ready 1 p.m. 3 . great location near covent garden buzzing.ate wagamamma first night hit child ( situate couple minute walk away . frosted glass ( bathroom ) bit disconcert reason shall probably stay , shame give efficiency staff extremely comfy bed guarantee good night sleep . 
 Aug 10 2007 	 highly rate 	 spend last five night ( wife daughter ) well locate hotel central London . contrary many review sight thoroughly enjoy hotel . room outstanding , people exceedingly helpful friendly hotel near many attracton vacation . agree hotel 5 star hotel , quite nice well every Hilton ever stay ( except Cavalieri Hilton Rome outstanding ) . Executive Lounge also convenient great benefit access . highly recommend hotel . 
 Aug 6 2007 	 O.K ..... great . 	 stay three day start July 31st , use Hilton point . & quot ; upgrade & quot ; executive room , Hilton Gold member . quite sure much upgrade , room ok . , however , upgrade sprinkler system stay , construction work noisy 9:00 a.m. 5:00 p.m . prohibit relax time room day . executive lounge good . bathroom fine , however , agree previous reviewer regard shower . shower head close wall , water pressure truly lacking . there little storage available unpack clothe . real storage hang - up area closet . drawer except night stand . I would never pick hotel pay , use point , o.k.the service average . go inquire construction work hall , front desk not even aware . Homage Bar hotel extremely expensive . location central , however , mid - summer crowded day night . 
 Aug 5 2007 	 Good Choice London 	 stay good location . be close Tower Bridge Hilton ... Trafalgar Square Hilton probably even well location not Executive Lounge think big perk HHonors member . upgrade available first night ( Gold Member ) put we standard room nice recently renovate . next three night much large hhonor room similar styling . able walk destination Tube station 5 - 10 min . good breakfast comfortable Exec Lounge . 
 Jul 30 2007 	 poor indeed 	 stay wife quiet weekend away kid . great location 's end ' m afraid . small bar , pokey reception , real common area , small tired room . Hilton brand clearly use . thumb ' m afraid . 
 Jul 26 2007 	 typical Hilton - clean efficient stylish 	 ' Hilton , expect staff polite , friendly efficient , room & amp ; public area clean , décor reasonably stylish . Waldorf Hilton manage these . stayed one night Superior Room , July 07 . everything want / need . decent amount lighting bedroom , though bathroom ( IMHO ) could do bit more . even bathroom ( suspect ' quite new ) show sign " grime " , reason , always manage blight even new suite top hotel around world . walk shower cubicle decent size ( annoying shower - over - bath ) , water pressure could ' well . reason ' get shower " hot " ( warm enough , hot , yes , press & amp ; turn temp . controller ) .Breakfast ok ( much well Millenium celebrity chef ) – good choice hot cold dish , full English hot & amp ; properly cook . even coffee taste quite good . location excellent - Covent Garden ( 2 minute walk ) . eye 5 minute away . the key question – would stay ? yes , probably . 
 Jul 22 2007 	 Varied Room style / size ... careful . 	 hotel nice . helpful attentive staff . stay Waldorf romantic theatre break see dirty Dancing Lord Rings . hotel ideal location theatre land . my package 2 night , executive room , queen bed , dinner 1st night , 2 breakfast' . positive point : + fast efficient check depature , although spend rather long try explain hotel facility / din etc . however guess 's well tell avoided.+attentive polite staff throughout.+breakfast wide choice . Continental include package ( £ 16 otherwise ) , hot breakfast £ 22 per person , therefore would pay £ 6 extra wished option . personally , cold breakfast wide choice happy that.+dinner excellent . , night dinner include package ( able change 1st night stay 2nd night ) . option choose set menu ( 3 course ) additional charge . à la carte , maximum spend £ 25 . therefore would asume 3 course set menu £ 25 pound per person . we set menu , À la carte . excellent . fill . Dessert 's die . recommend leave enough space dessert , ! Approx din time 90 - 105 minute ( although fairly empty sit dine 6.30pm ) .+room clean arrival clean twice daily . negative point : + room advertise executive queen bed . however , room seem large enough . plasma TV , desk area , seat either side bed , wardrobe area , small bathroom . money spend , £ 368 , bathroom small . ' queen bed ' two single bed push together . need go much detail explain romantic break enjoyable bottom bed ! however complain time stay , forward view via email.+The gym / pool free usage guest upto quality standard . gym part LA Fitness group open guest hotel pay member . gym seem small crowded equipment . pool facility dirty need attention . ' quality ' hotel , poor condition around pool area shameful . feel luxury beside pool . sign door steam room tell need repair tile work inside . steam room tiny , enough maybe 4 person , tile miss indeed make feel dirty unkept . could sit near miss tile risk injury.+the bill dinning adjust noticed charge 3 main meal , two us dinned.+The bill room adjust charge item inroom mini bar . consume anything mini bar . however everything fridge electronice sensor . lack space fridge , try squeeze free mineral water , must mislodge chargeable item inside . explain bill correct . overview : hotel clean , staff pleasent , food good quality . gym / pool area lack quality . room / bed description take pinch salt . check bill make mistake din room mini bar charge . 
 Jul 22 2007 	 nice good location nothing special 	 wife use Hilton HHonors point stay three night , follow three night Hilton London Tower Bridge Hotel . latter modern great room service , bit way people ( London like alternative South Bank Thames location ) . Hilton London Waldorf draw Waldorf name , imply . be nice , bit old strange imposition modern bathroom glass wall decoration modern lighting rather traditional room high ceiling crown molding . two different style clash . somewhat worn carpeting bed , outer room floor tile . quiet , spite busy outside location . clearly location strong suit , walk distance theatre district , Covent Gardens , SoHo , National Gallery National Portrait Gallery , British Museum spot . wonderful stay , be anything special be look value . good value use Hilton HHonors point , pay rack rate , even 50 % rack , have disappoint . one minor caution : 's ice available hotel floor , order room service , mini - bar pressure sensitive monitor even move bottle juice water , automatically charge ( easily reverse , nuisance ) . 
 Jul 17 2007 	 stylish retreat City 	 third forth time lucky enough stay Waldorf , stylish contemporary hotel fantastic location . I room vary size style , comfortable . bathroom arrangement room may everyone 's taste . room time around bath shower opposite bed separate wc ... shy people beware ! usual amenity present , plasma tv , decent toiletry , bath robe good London hot summer night ... great air - conditioning . there public area stylish quite glam include nice Patisserie turn Champagne Bar 6.00pm - expensive worth . ' m keen bar hotel , ambience lack something ... ' m sure . however , cocktail good staff charming . do not opportunity eat restaurant time around do past . ' great space spend evening good food attentive service . overall , enjoy stay Waldorf question ' worth £ 350.00 per night ? ' think , may . 
 Jul 5 2007 	 Upscale cozy ! 	 read many review think definitely give opinion Waldorf ! travel husband two teen last month . stay 3 night book two room . transfer American Airlines point husband 's silver Hilton Honors account . consider room go $ 600 per night , think trading point good value . London outrageously expensive terrible exchange rate ! hotel locate right next Aldwych theater see Dirty Dancing ( fantastic show ) ! small boutique feeling hotel seem newly refurnish . decor modern fun ! room quite large bed comfortable , although bit soft . negative room street side noisy . first night stay interior side want switch King bed next night . first night super quiet next two night . morning noisy noise street start quite early . confusion breakfast we . ask night manager complimentary continental breakfast Hilton Honors , offer we . one morning . cold buffet average fruit , pastry , cereal , etc . could order something hot menu . not bad outrageous L22 ( $ 40 ) . bring we bill sign tell complimentary . inquire front desk tell night manager new make mistake . remove charge , thank goodness ! big breakfast eater make little cafe street . hotel close tube station . 2 station , 10 minute walk . big deal unless rain . like location busy area like nearby covent garden . concierge doorman helpful friendly ! hope help ! 
 Jul 4 2007 	 good 	 book 2 free night use Hilton Honors point June 2007 . hotel really well locate tourism . give warm welcome complimentary upgrade executive suite check . nice well furnish large room ; spacious ancient looking bathroom . helpful staff , especially concierge staff . would book 
 Jul 3 2007 	 stylish central : recommend every respect 	 stay three night B & amp ; b dinner first night . a impressive grand building , steeped style history [ little tour - detail room ] central location many theatre Covent Garden . room revamp high , tasteful standard double comfortable kingsize bed usual amenity , although slightly small side . bathroom equally stylish well - appoint , although translucent glass door bit disconcerting regard total privacy ! well - staff indeed exceedingly pleasant helpful young people . food competent high standard - unusually day , cook breakfast buffet - style , much usual ' fry - up ' divine freshly - squeeze oj.overall , highly recommend thoroughly compfortable pleasant place stay central London , especially get reasonable rate . 
 Jun 23 2007 	 Excellent hotel ! 	 wife stay 3 night May 2007 . book reward stay use Hilton point ( Diamond member ) . everything excellent hotel ! allow early check - in noon , go executive lounge . nice - complimentary food drink ( include alcohol ) day long . lounge also computer free internet access , huge plus ! ( want lug laptop vacation ? ) room nice , leave one two welcome gift gourmet chocolate room , thank stay ! location convenient Covent Garden major theater ! would stay , make last day Europe perfect ! 
 Jun 15 2007 	 bit overrate 	 agree prior review hotel overrate . spend 4 night recently £ 350 per night , one definitely well . room large , comparison one Aldwych , next door , one Aldwych well atmosphere room feel cozy . Bathroom plane , shower head ( describe review ) less foot away wall , stand practically drain . sure come idea paint bathroom white . feel like hospital room . not sure room insulate could hear everything happen hallway . internet £ 15 24hrs - think probably hotel leave charge internet access . overall , & quot ; average & quot ; hotel good place stay business trip . would choose hotel leisure stay . 
 Jun 13 2007 	 Great Location ! 	 visit London , hotel perfect location . walk almost every major sight : London Eye , Big Ben , Buckingham Palace , theatre , Covent Garden , Westminster Abbey ... within 15 - 20 minute walk . the hotel staff friendly helpful . stay executive room ... huge european hotel . there early comment reviewer bathroom - door frosted glass . , see thru glass , privacy issue . shower wonderful - strong water pressure big shower head . the room well insulate ... room face main street , could hear street noise ( least bedroom , bathroom could hear street traffic ) .The breakfast good . include price free , beware pay - 22 pound / person ! Dinner also include , good . price menu dinner reasonable . service slow , find case every restaurant europe . I would stay hear ... hotel clean , room good size , staff friendly , location beat . 
 Jun 13 2007 	 excellent service 	 stay Waldorf husband 's 50 th Birthday . email advance give nice room bathrobe & amp ; slipper Birthday card cake wait us arrival ! room immaculate comfortable complaint all . Dinner include first night delicious , plenty choose from . breakfast plentiful choice bread , cereal , fruit , cold meat cheese , fruit juice , yoghurt cook breakfast well ! also give glass champagne well morning husband 's Birthday ! staff attentive helpful would certainly recommend Waldorf . 
 Jun 9 2007 	 Waldorf Hilton ... little bit Waldorf little bit UK Hilton 	 Overall , Waldorf Hilton fine place stay good hotel London . , one honeymoon special anniversary , hit mark weekend treat London . the location perfect tourist : close Covent Garden many main theatre . although be right Aldwych , seem good sound insulation . refurbish modern style might suite taste , definitely cut average Hilton . room Executive Floor excellent . spacious , 42 & quot ; plasma tv lot international channel attractive frosted glass bathroom designer fitting . fabric interior moment generally good quality . surprise much Waldorf Hilton , even shampoo room . the quality breakfast good service also fine ... staff definitely top end , other ordinary . one thing slightly disappointing anyone know hotel old Palm Court long public room -- reserve event . Shame not exploit fine feature . in conclusion ... would stay ? possibly , be much choice London would probably try somewhere new . 
 Jun 8 2007 	 Waldorf Hilton will not disappoint 	 book Londontown.com get prepay Hilton rate include breakfast one dinner . would highly recommend package buffet fresh fruit , cheese , meat , etc . quite fill day . dinner well average . the room small comfortable , importantly , quiet . Turndown service unexpected nicety . every employee helpful ... concierge even lend umbrella use sightseeing . we walk National Gallery , Churchill Museum , Somerset House . day , buy day bus pass easy use various stop close hotel . as other point , restaurant abound area . would hesitate rebook hotel future . 
 Jun 4 2007 	 Great Location Nice Hotel Prompt Service 	 spend weekend May 2007 happy room ready we arrive transatlantic flight 10:00 a.m . service always prompt polite . room small side rate decent room well appoint nice bathroom , nice bedding , nice flat - screen tv . close everything go wedding event convenient , would definitely stay ! 
 Jun 4 2007 	 historic hotel great location 	 stay Waldorf two night may one Hilton special break evening meal include price . base , accommodation general service hotel exceed expectation provide good value money . Waldorf may Hilton hotel history . lobby area little small unimpose staff efficient enough arrival . notable public area Palm Court mainly use private function . Hilton miss trick need find way get guest part hotel . main restaurant , Homage , nice room ' though . perhaps little modern arty , like complaint food . plenty much expensive restaurant nearby ' well . the bar nearby . particularly well lay fine we – reasonable buzz . the room recently refurbish fairly corporate style fashionable several large chain . complaint stand suitcase fridge ' work price , forgave lack attention detail show here . the location great Covent Garden many theatre – easy walk least 5 theatre couple block Covent Garden . walk South Bank Centre Leicester Square also minute . unfortunately , hotel sit tube station . long walk might get tired day . Main London shopping tourist area couple tube stop away . in short , well worth try get decent price – close action close ' get good night ' sleep .. 
 Jun 2 2007 	 good service staff 	 Excellant service good room ( executive ) . executive room benefit executive lounge justifie room price . modern quirky room suit everyone 's taste , like could not find mirror dry hair ! 
 May 30 2007 	 Nice slightly overate 	 hi stay hotel Bank Holiday Weekend . hotel ten minute walk Covent Garden . overall service great although £ 270.00 night spend room ( twin ) would expect slightly big room nice view . outside hotel lot building work go spoil initial impression hotel . the bed lovely comfortable though staff really friendly helpful . 
 May 18 2007 	 Service great ! 	 delight flight state hotel room ready upon arrival 8:30 A.M . front desk staff great weekend long . stay long weekend way Paris . room nice . european hotel size , ambiance good , room clean bathroom nice . towel warm great treat long day walk tired body ! tea room good . hotel elevator close every room , someone lot bag , etc . may challenge -- although staff prompt grab bag take care we . wed hotel weekend , fantastic spot ! ! Location West end . theater around . easy walk Trafalgar , Covenant Garden , etc . 
 may 4 2007 	 Nice need work 	 recently spend six night Hilton Honors ( Gold Member ) , upgrade executive level . room selection iffy . old hotel major refurb . two type room - designer ( artsy , hand - hold shower , modern ) traditional ( old decor , hand - hold shower ) . seem wide screen lcd tv . oddity like hair dryer drawer desk - hardwire use - glass bathroom door . room generally big street side ( Aldwych ) loud . traffic letup much night find disturb ( move one night ) . well closing window ( double glaze ) would help problem . many minor inconvenience attention detail would address . dry hair front bathroom mirrior mirror room convenient outlet dryer . Robe clothe hook bath would nice . light bath mirror low . wall - mount magnify mirror nice mount high far away . executive lounge nice free continental breakfast , snack , drink , happy hour . staff excellent - Robert ( bellman ) native Londoner many tip . room service limit pricey . would recommend . would stay . convenient bus line stop front hotel Temple station Tube block away . right Strand heart theater district close Covent garden . small store , bank nearby . restaurant pub close well . internet access ( wired ) room 20 pound per 24 hour outrageous . wi - fi availble Executive lounge lobby accessible BT openzone user . access T - Mobile USA customer $ 0.18 per minute roam charge . Hampton Inn offer free internet access , Hilton still charge outlandish fee ? 
 Apr 27 2007 	 can not wait go back . 	 go watch dirty dancing theatre , please find theatre next door , Booked hotel , Staff treat like film star , professional friendly , hotel room beautiful , inclusive meal restaurant amaizing . overall brilliant hotel , worth extra quid stay centre city , first hotel I ve never slight complaint upset . would highly reccomend . Mike . 
 Apr 24 2007 	 Nice Hotel good value 	 stay Waldorf Hilton one week April 2007 . hotel recently renovate room trendy flat screen tv . room face street bit noisy . hotel LA fitness basement , free guest use . fitness center not great , much nicer big normal hotel excercise room . eat restaurant one night not impress food . breakfast alright , would not eaten not include nightly rate . location close theatre district , block Covenant Gardens public transportation . erroneous charge final bill , would advise double check invoice . 
 Apr 23 2007 	 great value fabulous location love ! ! ! 	 hello , return weekend break hotel impressed . book £ 299 deal , double room 2 night breakfast meal first evening . first , location great , 3 min walk covent garden , next door aldwych theatre , short walk everywhere need go . arrive 3 pm offer choice room . room not big perfectly adequate weekend stay . build wardrobe iron , board , free safe , hot drink tray , mini bar , complimentary umbrella use stay . nice large bathroom raindrop shower large towel . comfy bed ever sleep bathrobe slipper , large flat screen tv , hair dryer , alarm clock , internet access . basically everything hotel provide welcome change . take free dinnner first night ( restaurant open 5.30pm plenty early enough go theatre ) . give choice small manu allow choose large menu £ 25 allowance per person . mix two pleased choice . service amazing , attentive staff without top . breakfast next day equally good , plenty choice continental item lovely hot menu . would definitely recommend hotel ( especially offer ) anyone want romantic weekend away , stay waldorf sure impress anyone ! ! ! 
 Apr 19 2007 	 Great Location . fantastic Staff 	 book 2 night special deal last minute . £ 300 double room include breakfast day 1 evening meal fantastic value central London . the staff attentive helpful time . husband book birthday hotel provide cake room lovely touch , also wish happy birthday arrive really make special weekend . food FANTASTIC ! room small , intimate person share frosted glass lock en suite could put ! ! would definitely recommend stay hope take Husband back birthday later year . 
 Apr 19 2007 	 totally relax experience central London 	 Stayed Waldorf 3 night . staff welcome attentive moment arrive , collect luggage door show we room soon arrive 12 although check time not officially 3 . complimentary bottle wine send room within minute arrive . staff polite friendly throughout stay , make totally pleasant relax experience . hotel build 1908 sympathetically modernise throughout . public lounge comfortable high ceiling , relax leather chair excellent supply complimentary newspaper . small luxury touch , even bathroom tissue emboss Waldorf Hilton name show hotel take real pride unique London landmark new completely modern hotel can not match . 
 Apr 10 2007 	 Fab hotel 	 3 night stay begin April . hotel great . great staff , great food , great location , great price . room not quite ready 3 pm check , give we KS bed room instead double book . room not overly large , adequate sleeping . bed really comfy linen excellent . large LCD tv wall , could want . & quot ; dread & quot ; frosted glass bathroom door ( be matter whinger complain something ) . be share bedroom somebody , frosted door problem , can not see anything anyway ( try ! ! ! ) great offer hotel , get 1st night meal part package price . food choice 3 course really good food presentation excellent . breakfast equally good , freshly squeeze orange juice enough choice keep even season whinger happy ! ! ! holiday LOT fussy 5 * hotel offer , Waldorf , complaint whatsoever . would highly recommend hotel anybody , price charge far cheap competitor 5 * category . 
 Apr 10 2007 	 Disappointed 	 Waldorf Hilton , London meet standard quality would expect name . good location , quality personnel matter , old hotel , however lot could do make overlook . let us start room : -bathtub impossibly small , average size stand bathtub foot incline side tub . uncomfortable.-Shower head close wall . 10 cm wall stand enjoy & quot ; raindrop & quot ; shower head . knee hit nozzle shower.-not enough closet space . pack two day trip barely enough closet space little droor space . 6 clotheshanger . now hotel : - & quot ; Exective Lounge & quot ; embarrasing . serious 5 star hotel ' ve discriminate lounge base status . upgrade perk one thing , exlude guest lounge executive embarrasing . although ' m Platinum Starwood , ' ve never see starwood hotel exclude guest certain location . definitely disgust this.- many room close accessible regular guest . not feel welcome privelege enough stay hotel standard , average . I will not stray Starwood friend future . 
 Apr 6 2007 	 Nice hotel 	 Nice hotel new decor large room many London hotel . half shower door bathtub bit strange tub quite narrow . good customer service responsive request . Workspace small , comparable London hotel . 
 Apr 1 2007 	 Good Hotel Business Trip 	 stay Hilton location fact get point HHonors member . hotel check breeze , number colleague stay hotel say problem room key mgmt . already aware . manager walk room make sure key work . 3rd floor room face interior basically view . room unusual shape . typical hotel room shape . bed center one wall great flat screen tv opposite wall combination closet / refrigerator / bureau / coffee maker sectional left side . desk w / internet connection end little hallway could not see t.v . anything else matter . have hear people mention frosted glass door bathroom ' ve room previous stay . not see problem door glass . room different . door glass , basically entire wall bathroom door frosted glass . could probably tell someone sit toilet business . luckily , , could tell people would uncomfortable use facility know someone could tell - even spouse . think shower great . different room ' ve . room typical rectangle shape bathtub glass partition run along half bathtub try unsuccessfully keep water . bathtub rectangular shape , circular area one end ( think whirlpool shape ) round shape glass enclose shower part . water ever escape room stand regular bathtub . like it . in previous room ' ve full sized iron board room stand . room , one college size ironing board 2 1/2 ft . long screw interior closet . difficult use , manage . the bed probably comfortable bed ' ve stay hotel . that s another reason come back hotel . comfy pillow , comfy comfortable , comfy bed help put sleep every night . I enjoy stay would recommend want central location theater be town business . 
 Mar 31 2007 	 quite deal Hotwire 	 book late Fall 2006 via Hotwire $ 145 night , seem like spectacular deal . would never able touch regular room price property poor exchange rate US dollar british pound . we arrive shortly Noon , able get room # 504 right away . nice delay overnight flight . give choice queen bed twin , since use king bed take twin ( push together anyway , work especially well ) . non - smoking request grant mention Hotwire , room pre - pay . every staff member encounter 8 day friendly , helpful attentive . the room big , tiny either . room definitely large New York City Hilton Priceline room get 2003.pros : clean room , nice bed , mattress bedding , bathrobe , slipper , 2 free bottle water day . con : hanger closet , 's place store clothe - drawer storage kind - unless want use top shelf closet . door bathroom much - talk frosted glass , could problem . Hair dryer instal desk drawer could move . I way knowing & quot ; Priceline / Hotwire & quot ; room , although suspect may . know pay going rate get room , would disappoint . however , not care frosted glass door , legacy / history hotel , tea , quality amenity clothing storage issue , effectively negative we price point $ 145 . location really good . walker although take tube lot also walk St. Paul 's , Trafalgar Sq , Piccadilly Circus , Waterloo Station Big Ben . lot eat choice close since hotel really right theater district Covent Garden 3 minute walk . Temple tube stop also close access many different Underground line . we look affordable price , central location , comfortable bed friendly staff . look 5 star luxury property , care style ambiance hotel - enjoy ambiance London itself . if need hotel London available $ 145 , would not hesitate jump . perfect need . 
 Mar 27 2007 	 great location 	 great location large room interesting decor . water hot plentiful . walk door several theater . staff friendly helpful . window view room large London standard . never ride subway since walk British Museum National Gallery doable old people . 
