great 	 travel world never stay hotel everyone sincerely nice , attentive , efficient , kind staff Hotel Chandler . room lovely comfortable people run hotel really know secret success make traveler feel comfortable cared . would never stay anywhere else positive experience . 
 first class hotel first class staff 	 wife , 2 friend stay Chandler 19/11/2009 23/11/2009 . time arrive time leave , staff friendly helpful , reception staff always hand help requirement , complete online check return flight . knowledgable New York , hand point we right direction helpful hint tip . hotel , quiet , sophisticiated feel , lack restaurant facility could see drawback , not stay New York eat hotel ! tidy little , welcoming , bar . location great turn leave walk hotel , 50 yard 5th Avenue , look right be stare Empire State . say be near perfect position explore midtown downtonw , place . room spacious plenty wardrobe space , nicely sized bathroom great walk shower . hot room , air conditioning hand , strike we odd warm November , weather whilst New York absolutely perfect , ' m sure whether Chandler take credit , want will let ! ! ! highly recommend will stay . 
 good location great room 	 eleventh visit New York first Chandler . stay many hotel city include big chain Novotel , Radisson well independent boutique . Chandler four star independent simply BEST hotel use New York . three minute walk Empire State Building Macy 's , close mid - town Manhattan pretty quiet location . room tenth floor immaculate really modern . bathroom new , contemporary spotless . bath big glass double shower cubicle . room not huge big enough plenty storage . good sized wall mount LCD tv good quality i - pod docking station . one breakfast free charge ok , usual thing - juice , cereal , bread , pastry etc . hotel provide free tea coffee make facility foyer day nice touch . we choose take breakfast morning deli around corner Park Avenue rather pay hotel price . find front desk staff really helpful , courteous polite . book request double room , non - smoking high floor exactly get upgrade without even ask pay . find hotel quiet , relax great condition throughout . genuinely feel good hotel use New York first choice ( inevitably ) return 2010 . HIGHLY RECOMMENDED.Dave Jacqui . 
 May 21 2008 	 Excellent Hotel ! ! 	 ' ve New York March 2008 four night . Hotel Chandler like pearl New York . beautifully decorate equip staff helpful professional . room great clean comfortable . room little small perfet everyone , lcd tv , mp3radio , alarm clock , safety box , refrigerator . bathroom lot accessory target Aveda linen italian Frette , shower simply fantastic . bed confortable long walk . location perfect near subway 2 block Empire State Building . the Hotel offer day coffee , tea , milk fruit . breakfast cost 16 $ outside lot shop . think go New York next time choice Hotel Chandler . Monica 
 May 20 2008 	 Hotel Chandler must ! ! ! 	 friend extremely thrilled hotel ! people work super nice , room beautiful , Aveda bath product great location fabulous ! able walk many place subway close need travel great distance . overall , experience fabulous ! ! must stay want treat , well ! ! 
 may 16 2008 	 Hotel Chandler - jewel New York 's crown 	 ' ve New York twice say ' ve disappoint hotel ' ve stay . however , time stay Hotel Chandler amaze real jewel New York . beautifully decorate equip staff helpful professional yet really friendly . room great - really clean comfortable . bed fantastic linen amazingly enough pillow ! location perfect . DEFINITELY stay Hotel Chandler go New York near future . Sharon Weigall 
 May 13 2008 	 good find 	 third visit New York Chandler Hotel good hotel ' ve stay far money pay . staff friendly helpful . room small clean . worried may far away main sight 2 block Empire State building Macys red tour bus pick outside Macys . quite nice away hustle bustle.2 great place breakfast nearby Penelopes ( 30th Lexington Ave ) Guy & amp ; Callard cafe ( 31st Park Ave South ) although breakfast Hotel pleasant . would stay . 
 May 11 2008 	 room quite modern - location ok 	 arrive particulary busy Sunday afternoon feel little bit dubious location hotel since dark unattractive street . since area quiet make feel bad . follow day thing busy do not feel bad . when arrive 1 pm tell could not check 3 pm take detail return later first room give we front hotel overlook building site low floor dark . we complain initially tell do not anything well stand little long find another room 8th floor back much well . room fine although do not put flat screen tv directly opposite bed do not know . we never eat breakfast hotel go GUY GILLARD 2 block turn right hotel . serve great breakfast even well evening meal . 
 May 5 2008 	 's well hotel 	 first time ' ve ever stay particular hotel NYC . way well hotel city . hotel dark glim . queen size bed actually 2 twin bed push together leave crack middle could not even sleep middle . would ' ve well single bed pay Queen size . ask front desk 's good menu room service , say not sure ( ' ve see bad sign ) . say hamburger smell good cook , be get . take 1 bite , patty actually bleed onto plate . burger not cook medium , hardly cook . go french fry come . bellman not actively try get cab either . 
 Apr 28 2008 	 Loved Hotel Chandler 	 room quiet comfortable . bed pillow perfect . bathroom not bath super large shower . towel luxurious . Loved Aveda product . staff super - friendly ! go 12/31 bar free glass red wine . excellent wine . great atmosphere . breakfast buffet first morning - excellent service food . tv room comfy - thank god free internet . loved bellman front desk staff . helpful . great location , close everything , subway , Empire State Building , Sex Musuem Macy 's . try restaurant & quot ; Bella Napoli & quot ; around corner , be excellent ! 
 Apr 28 2008 	 april 17th 08 visit 	 Fantastic Hotel . superbly furnish room . bar area far small . might well bother . 
 Apr 24 2008 	 Excellent Location Friendly Staff 	 stay Hotel Chandler sister . location fantastic , close Empire State Building couple block Macy 's street nice quiet . subway nearby take we fifth avenue short taxi ride away Broadway . hotel clean ( although room smell smoke little ) modern . staff could not helpful . I would definitely stay hotel would happily recommend anyone . 
 Apr 16 2008 	 Perfect NY Hotel 	 can not say enough gem hotel . small luxurious room top - of - the - line linen , Aveda product , comfy bed . staff could not nicer . great us check check . great location , literally around corner Empire State Building . lot great little restaurant shop nearby quick walk pretty much anywhere . would definitely stay recommend everyone know ! 
 Apr 15 2008 	 great little hotel NYC 	 husband along another couple stay lovey hotel weekend March 29th may say wonderful . mention outstanding rate $ 180 / night Quikbook.com . fantastic service friendly staff . room small small Hudson lot money . room clean , comfortable well appoint . lovely bathroom courtesy terrycloth robe . REALLY enjoy stay return . .... try ! Diane Philadelphia 
 Apr 5 2008 	 great hotel price ! 	 stay Chandler girlfriend ' birthday March , great love . even get free upgrade room free charge , see birthday . staff great really friendly . couple small niggle , room well away lift find door room well sound proof , could easily people conversation let room , would imagine near lift would much noise contend . also room face onto brick wall much natural light let room . apart bathroom clean nicely decorate although hotel New York room slightly small luxurious , nice big tv plenty storage cloth . bed lovely comfortable . find location mid town ideal shopping , round corner Macy 's course Empire State , subway way couple block away 2nd av deli ( highly recommend ) price would recommend hotel . 
 Apr 1 2008 	 3 star except bed bug ! 	 definitely high standard check hotel , first take Hotel Chandler decent ( company ) pay . nice decor , seemingly clean . small , cramp room bathroom , be expect NYC . bed pretty uncomfortable , pillow , tv / cable channel offer . main problem wake bug bite back ( 5 ) ! ' m pretty sure bed bug , change room . get 2 bite 4 remain night , first room stay definitely infested . could get control , would much satisfactory , still probably would not stay due uncomfortable bed . 
 Apr 1 2008 	 great careful room get ! 	 stay Chandler week ( mother holiday ) much previous review state . room small , perfectly workable , luxurious - lovely Aveda toiletry replenish every day , spotless clean throughout whole building , big flatscreen tv wall across bed , IPOD dock , work . doormen maid friendly helpful , reception staff experience . ( though arrive 1.30pm , follow long flight , warn , allow check early thus circle area couple hour check time ! - store bag though ) free internet access back bar , gym sauna sign reception though not use , free tea coffee day buffet breakfast ( part deal ) want it . all lovely wee hotel - close subway station train station couple block away , guy door trip help hail cab etc - two negative point though , one pretty major opinion - significant proportion room hotel face onto brick wall . 's , brick wall - room , therefore get natural light room would never know morning come , kind day , look window ! make room pleasant place long period , may well fine lot folk . however , advice would , give room decent view , even Empire State , check room be get arrive , cause full could not upgrade we even want to . we also problem room service first day , order breakfast room arrive 45 minute late pretty cold . say problem cooker , everyone downstairs hot breakfast go ! two point though , generally good experience . make sure get decent view , not order breakfast room ! 
 Mar 20 2008 	 generally good 	 Excellent location , comfortable ( small ) room helpful staff . gym could see though , despite advertise . would stay , although expensive book two single room instead twin disappointing . also difficult pay anything credit card bar - staff insist put everything room bill , even though request otherwise . do not seem faclitie take credit card separately . , hotel quiet despite central location . would recommend ask room away lift though , & quot ; bing & quot ; noise go day night . 
 Mar 7 2008 	 great hotel 	 stay two night January recommendation friend great . really friendly helpful staff - able check really early get room lunch . room really clean ipod dock great flatscreen tv movie . location good . would happily go back would recommend . 
 Mar 1 2008 	 rude manager 	 stay hotel mid - January find room nice manager thing nice . check take we hour lot attitude . ask could get two double bed tell rate get could not without pay additional fee . contact Travelocity contact hotel manager refuse give we room even tough not full . end rebooke travelocity get room want . manager could not ruder . many good hotel NYC would not return hotel . 
 Feb 27 2008 	 wish could move ! ! 	 love room ! sooo cute , comfortable , clean ! room hotel much well expect consider low price last minute reservation . even get upgrade deluxe king room view street late check free . room not big mean , bathroom spacious . flat screen tv ipod dock nice touch ! staff also helpful give personalize attention . ' ve stay chain hotel two three time expensive nyc- yet one favorite . definitely return ! 
 Feb 26 2008 	 kcoupletonyc 	 travel NYC 4 5 time year finally find hotel ALWAYS return . room small comfortable , attractive , clean , wonderful bed linen , top line bath soap , shampoo , huge towel .. etc . room quite , .. service fantastic ... Doormen , desk clerk , server remember name . comfortable , attractive lounge meeting relax sip tea coffee serve free 24 hour day .... wonderful winter month service . Chandler small hotel middle huge city feel welcome treat special . easy access shopping , Time Square , taxi 's many restaurant step away front door . not miss little bar inside front door visit beautiful bartender taste new specilty create drink ever night .... last visit Christmas Chandler far good bargain ... check , place winner ! ! ! can not wait return ! 
 Feb 19 2008 	 great place stay 	 stay Hotel Chandler Murray Hill New York early December . hotel excellent , tea , coffee drink free 24 hour day . room good Aveda toiletry bonus . large plasma tv room . hotel near Empire State Building Macy 's , bit walk Times Square Broadway , New York see thing foot . one good thing quite night . would recommend hotel would go lucky enough visit New York . 
 Feb 19 2008 	 Nice hotel great personel 	 stay February 16th nice stay . locate perfect location everything possible . plan stay . personel informative room nice . disappointed stay . 
 Jan 14 2008 	 perfect good value 	 perfect midtown good value mid budget option . excellent location near flat iron building . view empire state building bed extra cost . great comfy room , aveda product , lovely touch like chocolate next day weather forecast turn down . free internet , coffee n tea , cookie , fruit foyer . Nicest staff foyer . front desk beyond friendly , enquiry local restaurant event etc would meet immediately internet print out map . this hotel totally recommend without doubt 
 Jan 14 2008 	 Hotel Chandler great 	 first visit New York could not wish well hotel . room clean tidy , bed comfy especially day site seeing . safe room find extremely useful . free tea , coffee hot chocolate access internet lobby need . room bit small side however base bit piece bed sleep . good size tv also ipod docking station . recommend hotel anyone stay next time visit . all staff incredibly friendly always happy help need . 
 Jan 3 2008 	 nice ! 	 fiancee stay 2 night celebrate engagement NYC . pleasantly surprised quality little hotel . room clean well appoint . fiancee love soap , linen , robe , etc . ipod doc room nice touch well . hotel convenient everything want would not hesitate stay . problem leave hotel door guy / valet would not get cab . try 3 second advise head street ( bag , etc ) . kind annoying guy night problem run street get one we . may look like lot money , know tip loss . 
 Dec 30 2007 	 Perfect Hotel 5th Ave 	 stay Hotel Chandler December 2007 find hotel perfect location . near amazing place NYC offer far enough away keep noise level minimum . room small plenty room leave shopping bag never feel do not enough room . important thing us cleanliness hotel spot clean , maid come every day change bed clean bathroom . would recommend hotel anyone want good base clean friendly hotel , return New York 2008 certainly use hotel 
 Dec 29 2007 	 great little hotel 	 great hotel great location . room clean , tidy standard size major city world . bar & amp ; bar staff welcome great place relax long day visit amazing place New York offer . recommend hotel family , friend & amp ; work mate . definitely come back hotel ! 
 Dec 24 2007 	 small Room Big Price 	 New York many time , report one disappointing hotel . ok location round corner Empire State Building stone throw Macey 's , however room hotel tiny price , simply worth , find well . two wardrobe pack miniscule bedroom , one impossible open due location face side wardrobe right next bed . 's frill room , even coffee / tea maker site . as view , well put way not open curtain 4 day view face brick wall , natural daylight speak off . oh yes incentive advertise wine cheese party ........... not tempt ! & quot ; cheese , not offer cheese & quot ; announcement upon enquiry reception . Wine consist one small glass , yes one allow stiff bar lady ..... party turning ! stay one night , fine , UK visitor break , be hardly sumptuous hotel relax hard day shop ..... 's well value money . 
 Dec 24 2007 	 not let lobby put ... 	 find good hotel New York bit mine - field , especially want steer clear big chain . arrive Hotel Chandler quite late Thursday evening , wander reception , must admit heart sink little . 's untidy stepping wino 's get desk , whole space seem little ' tired' . the staff courteous quickly way room , good . unless want pay nose , find hotel room bit space New York easy , room well lay surprisingly spacious . although view not great . we not eat hotel , New York explore , be really surprising . leave hotel stay friend day , realise leave couple shirt behind . though difficult speak anyone weekend could help , retrned hotel , shirt pick housekeeping ready collect . I would definitely stay . 
 Dec 7 2007 	 yes definitely back ...... 	 read review little nervous stay Hotel Chandler ( business trip book we ) . however nice surprise ! ! ! ! great hotel great location . would hesitate stay . deluxe king room 4th floor . spacious , clean , large walk shower Aveda toiletry . actually hotel website justice - make look date . comfortable bed lovely linen large soft white towel bath robe . staff friendly willing help anything . eat hotel want sample many great restaurant possible New York . understand anybody could complain Hotel Chandlers location - short stroll Empire State Building Macys , mention subway load restaurant . great value money ( New York ! ! ! ) , help fact boutique hotel chain . yes definitely back ...... 
 Dec 5 2007 	 clean modern 	 stay four night 29th Nov 3rd Dec . well situated , room clean esp bathroom . free tea coffee available day free New York Times deliver door every morning nice touch . staff helpful . would recommend hotel . 
 Dec 2 2007 	 Great Hotel 	 Thought location excellent , practically underneath Empire State Building . plenty bar restaurant doorstep . room clean , warm comfortable . LOVED art - deco bathroom . helpful , friendly staff . oasis middle briiliant city . 
 Nov 27 2007 	 Fantastic Stay 	 son , mother stay 21st 26th November fantastic time . daughter ask se Choir Carnegie Hall . 44 child 10 Chaperones Scotland go New York . stay much large hotel choose stay luxury boutique hotel , Hotel Chandler . encourage read many good report tripadviser prior go . book , e - mail hotel preference see could accomodate . reply promptly make reference e - mail upon check - in even though several month since send . nothing much trouble staff everyone go way helpful ensure enjoy stay . as location , excellent Empire State Building practically doorstep . the room exceptionally clean tidy . comment size room true find adequate amount time spend room . also modern date movie available ipod docking station . overall brilliant stay hotel would highly recommend anyone want visit NYC stay . thank Hotel Chandler great stay - daughter star Carnegie Hall ! 
 Nov 13 2007 	 good ! ! 	 good hotel , perfect service , frondesk help we vi everything good location restauran . the thing surprice lobby do not represent hotel , simple , room high standard lobby , ( normally opposite nice lobby good room ) room almost 5 starcleane 5 starfrontd service 5 starlobby entrance 3 starlocation 4 starabout location , nothing wrong thea area , & quot ; little dead area & quot ; . like walk , walk centralpark soho . middle . 
 Nov 12 2007 	 Outstanding hotel 	 clean comfortable pleasant hotel . nice room , bed change daily , evening time turn bed great touch , nice small bathroom , big powerful shower always hot . lcd tv wall good . free coffee drink day , great friendly staff helpful information New York . around corner Empire state go early 9 am beat Q 's . value money outstanding . stay yes . excellent . Richard Elaine ( UK ) . 2nd time New York . 
 Oct 30 2007 	 top class hotel perfect location . Michelle Nuneaton 	 return 4 night stay chandler partner . hotel beautifully decorate staff pleasant , polite helpful . bed change daily room small comfortable . less 5 minute walk empire state building 10 minute walk time square location quiet close enough major place attraction . ever opportunity visit New York would definately return Chandler duration stay . priceless gem middle huge city ! ! ! 
 Oct 21 2007 	 really boutique hotel 	 hotel well locate , fact believe pay 300 $ /night . haven´t NY hotel think price / quality relation good.- room tiny , old fashion decorate carpet . - bathroom small well , shower bit decrepit , space leave toiletries.- hand , bed good plasma tv fine . 
 Oct 21 2007 	 Loved Chandler 	 Hotel great location . room small , clean comfortable . bed linen comfortable - bathroom great . room quiet . overall great place . 
 Oct 18 2007 	 Lovely Comfortable Hotel : Good Location 	 husband & amp ; stay 4 night september . travel Australia quite shock price upon look ' decent ' hotel New York City . expect room ' compact ' NYC , worried cleanliness security . find Hotel Chandler Trip Advisor end book Hotel website , despite couple review describe ' out way ' . pay $ 300 / night plus taxis queen room . lot $ $ $ , really lovely hotel . yes , room small , quality make . clean comfortable bed , chic furnishing , wall mount plasma tv , queit air - con , clean bathroom toiletry . thing miss bar fridge could keep stuff . one mini bar fridge fill stuff - good anything else . location great we . usual sightseeing thing : Empire State Building ( 2 block ) , Statue Liberty , Times Square , Central Park , World Trade Centre Site . really great thing find quite Hop - on - Hop - Off bus run & amp ; stop outside Empire State Building . able buy ticket sale guy street jump right near hotel / empire state building . also , subway close - maybe 4 block ? ? Madison Square . walk around near hotel quite alot night , always feel quite safe . would head ' uptown ' 31st street however , especially night . downtown 31st seem bit dead night , make feel little uneasy , problem . overall , think hotel great . sure , still expensive ( Aussie anyway ! ) great would not hesitate stay . 
 Sep 28 2007 	 good central location ; good service ... narrow room 	 stay September 17th thru 24th . since pourpose trip tourism , Hotel well locate , 31st St 5th AV close Empire State Building . reception desk staff professional kind apply rest personnel . prompt feel wellcome . the main problem Hotel relationship room dimension furnishing . since front building measure 30 yds , limited number room per floor external . room ocupie inside view ugly courtyard . least , room reasonably quiet . since narrow room dimension , be enough furniture - drawer and/ shelfs - set baggage possession , thus force acutely precise placing . bed confortable room service excellent . since not utilize stay , can not give opinion breakfast . conclude : little wide room rate would 4 * sure reason , reccomend future guest avoid book room number 30th : 830 ; 930 ; 1030 ; etc . 
 Sep 27 2007 	 First Time .... room good ..... Customer Service bad ! 	 first time stay hotel overall good . room small clean . room double twin sized bed . seem awkward first not room enough even care . bed extremely comfy . shower great pressure & amp ; hotel supply robe & amp ; overall good there . my issue dealing staff . check & amp ; instead use credit card want use cash . business travel & amp ; firm pay back immediately return use cash trip whereas , use AMEX wait almost 60 day actual bill arrive firm process . like attitude change & amp ; make leave $ 200 deposit desk . ask woman counter go give many star hotel hold & amp ; room equip thing & quot ; CASE TOOK & quot ; need replace . want remind AMEX file reserve do not bother . second incident have go dinner return around 10:00 find 2 people house keeping room . stay hotel give turn service make presence know way 10:00 . catch guard bit irritated not secure valuable . nothing miss still make uncomfortable . last incident hotel 's bar . go drink wait bar see woman cell phone sit one table . 5 minute wait , come take order . turn bartender . ok .... high maintenance let slide . get drink enjoy . come ask want order drink close soon . heck ! ! politely pay drink & amp ; hurried find another place well customer service . overall , would recommend hotel . morning staff nice & amp ; helpful . think customer service need . 
 Sep 22 2007 	 Staff need train customer service 	 hotel lady gentleman wanabe 4 star property . initially call hotel make reservation , put hold hear lot hotel hold . like thi 50 seat bistro , state art buisness center , come fall 06 . mind , stay month . niether thing exist . hmmmm . well , get room fine , little small , nice . , go bed mouse came run mini bar . tell front desk , woman desk , Adrean , think , indifferent . tell sell nothing could . ok . ' m city originally , ' ve bad apartment use live bother absolute lack guest service staff . advice , stay somewhere else . 
 Sep 13 2007 	 ok service issue 	 check September 4 September 7 . desk request quiet room away elevator bar ( explain town business quiet key ) . room 321 decent size ny - ' ve stay large , ' ve stay small . really would expect NY hotel room . room face window ( look dark alley - sunlight ) , ask quiet certainly . explain NY basic street noise really bother . want avoid neighboring room bar noise perfect that . here begin problem . room bit stuffy ask fan . woman front desk , Tina , tell hotel fan . tell know previous guest hotel one , tell would check call . course , never follow - up call . unpack , decide iron thing . minute , smoke detector go could get stop . call front desk Tina say would send maintenance . maintenance person come ( detector stop point ) , think change battery regardless . ask fan tell put AC would check fan - never happen either . soon main . man leave , detector start beep loudly every sixty second ( battery need replace ) . call , explain situation , main . man come back . tell room hot leave door open let ac kick . explain seem like old battery issue - say , could . option take detector entirely tell NY Fire Department would happy ( neither would ) . problem continue . call Tina tell beep fault room hot . tell give minute cool . give minute 10:30 pm , long flight , really lose cool ( heehee , sorry pun ) . go downstairs front desk demand either fix problem immediately would need another room . explain battery need replace would check - would accept answer . tell main . man buy fan ( funny , never see one fan never materialize ) .When main . man resurface , insist wrong battery . come room , replace battery , wow - problem solve - loud beep . entire saga go hour half , end 11:30 pm - ridiculous . yes , service Hotel Chandler leave lot desire . would like make reommendation front desk , hotel manager , like , guest call problem , reply , & quot ; problem . & quot ; clearly problem say , & quot ; problem , & quot ; repeatedly , solve matter . fact , anger guest . find interesting guest comment give free breakfast eraly wake call offer nothing - even apology . also find comment bellpeople interesting see one entire stay ( never need one wondeing guest talk ) . say , really expect much price range ny . right money pay ( $ 300.00 night ) . room decent good , bed comfortable , location central , end story . 
 Sep 11 2007 	 Nice Quiet Boutique Hotel 	 nice boutique hotel Lower Midtown around Murray Hill area . staff nice accomodate . alarm go first morning 5:30 complain desk , give we 2 free breakfast buffet . breakfast include fresh fruit , coffee , orange juice , egg , pancakes french toast , bacon sausage breakfast item . decide eat next morning also $ 16.00 each . it convenient bargain NYC nice breakfast . also small bar Happy Hour price . quiet side street two block Empire State building Macy 's . much else around though . middle action , not mind walk take cab pretty quiet hotel . no great view street like quiet . the room small bathroom not lot space toiletry , price good choice we . bathroom nicely decorate clean . get toiletry , bathrobe New York Times morning . 
 Sep 10 2007 	 London Lady 	 Brilliant Hotel . first time New York book hotel back good review website . hotel quite small nice real family feel . bellhop 's extremely helpful . reception staff lovely make we feel home straight away . room generous size New York Hotel bathroom massive . shower amazing . fabulous location Fifth Avenue one block Empire State Building . benefit stay middle Manhattan hotel little street , quiet night . read reviews tea coffee facility room true free / coffee lobby day long . library nice addition free internet access real bonus . one tip , try breakfast restaurant downstairs . chef make brilliant cooked breakfast well worth $ 16.would definately stay go back . 
 Sep 4 2007 	 hate 	 room cozy small . web site show chair room chair room . staff ok seem like bother ask question . third night sleep hear noise husband say air conditioner blow blind get bed listen come desk . husband get hit censor snack tray several mouse run box . call downstairs say room husband say staying room . room us 12th floor staff tell full size bed next night would put we regular room . 130 morning go thru luggage make sure rodent get . go 12 floor look like straight horror movie . stunk fish 1st room see door ajar handle . go room glue floor say way husband go bell hop try lock door lock door want we spend night . well luckily american airline seat open 645 flight morning ( go home 2 day early ) check hotel say waive take snack bar . say take say never mind say take said & amp ; 'S say mouse nibble move censor . originally New York first time long time come back tell family could mini vacation . travel world never come across hotel mice room 
 Aug 30 2007 	 Great Location ..... Nice room .... Noisy 	 Overall really enjoy stay Hotel , location fantastic 2minute walk Empire State building , various attraction ....... read review little way , would disagree , 2 min esb , 5 min Flatiron Building , 10 min Crysler & amp ; Rockerfellar Centre , 15 min Timesquare , 20 min walk Central Park ... room small nice bed really comfortable , bathroom nice shower great ! downside Hotel amount noise come bathroom , everytime someone flush toilet shower ( people 6.30am stay ) hear noise would last 20 minute , room 332 not know room get majority noise struggle get decent night sleep night due amount noise come tank / pipe etc etc ... window also look onto patch land cover garbage do not expect window view , do not bother we specifically want view would stayed one big hotel pay lot money .... staff really nice friendly , maid service good also nightly turn service always fresh supply fluffy towel toiletry , bath robe nice touch too . we stay Deluxe Queen Room , post photo 2 do not really room justiceI would definately recomme visit Heartland Brewery & amp ; Rotisserie inside empire state building , meal fantastic , staff really good load drink choose fromalso visit Top Rock Observation Deck , GE Building rockerfellar center , Central Park Zoo ( polar bear brilliant ) , Circle Line Harbour Cruise , Gray Line open top tour BusWe go esb buy Express Pass ticket website save we 3 hour queue , well worth extra money , do not waste time stand queue , send straight front everyline first one elevator . beware road chaos taxi driver NYC knock give half chance 
 Aug 27 2007 	 could happy ! ! ! 	 first bit worried since , lot people know , never hear Hotel Chandler , arrive satisfied . everything decor , ambience , staff cleanliness lobby room top notch . two friend look great vacation NYC , Hotel Chandler good hotel could stay . staff , especially bell staff housekeeper , exceed expectation . definitley stay hope many other well . 
 Aug 8 2007 	 Perfect Boutique Hotel ! ! ! 	 book hotel review helpful review location . hotel 4 block Madison Square Garden . 2 block Empire State Building . not know people complain way - this New York - you suppose walk place absorb city ! walk Penn Station hotel check adorable queen bed room end hallway 1 neighbor not matter not hear anything outside room . room black shade - which FABULOUS ! turn service night complimentary product Aveda . staff wonderful helpful free site internet hotel computer use . overall would definitely stay . love location great time . hotel offer complimentary tea coffee apple back bar area day bell staff phenomenal ! 
 Aug 3 2007 	 Excellent Hotel ... Little Way 	 Hotel Chandler nice , clean hotel friendly staff . arrive early check - in , luggage store charge ( rare NYC ) . free wireless internet great . turn - down service include shut blind shade . three complaint hotel . one , mini fridge never get cold even though plug , never able cold drink ice machine hotel ( definite negative summer ) . bathroom door could close way ( door literally not fit frame ) . importantly , hotel little way . major attraction close hotel Empire State Building . , long comfortable take subway everywhere , fine . majority restauarant around hotel serve sushi , thai food , curry . overall , hotel great experience , would prefer heart action . 
 Jul 28 2007 	 Better Average ! 	 stay Hotel Chandler 4 night . room small , nicely decorate quality linen , thick towel , nice bathrobe , Aveda soap , shampoo , conditioner . good water pressure - like rain shower head . one small shelf bathroom make difficult put toiletry . hang bag come handy hotel . large thin flat screen tv , AM / FM clock radio docking station IPOD . Desk & amp ; chair . 2 plush chair & amp ; small round table . large comfortable bed . iron / ironing board . Hair dryer closet . room put bathroom . small hanging closet . bottom half house honor bar . in - room safe . drawer fold clothing . room empty luggage line wall . coffee , tea , apple lobby day . NY Times newspaper door morning . show room key hotel bar 7 - 8 pm get free glass wine . hotel staff helpful map direction . ice machine , room service deliver small large bucket call . hotel conveniently locate . walk many main sight & amp ; take nearby subway Battery Park take ferry Statue Liberty & amp ; Ellis Island . enjoy Central Park , especially Tavern Green . order exotic drink ( $ 15 ) oyster half shell & amp ; shrimp cocktail ( really large shrimp ) quite expensive , unique restaurant . 
 Jul 23 2007 	 Fab Fab Fab 	 Great hotel ! arrival staff polite friendly problem reservation . room small immaculate . everything could needed supply . I would definatley recommend ! 
 Jul 14 2007 	 Loved Hotel Chandler ! 	 husband stay five night could happy experience ! First Hotel Chandler great location ... extremely convenient neighborhood visit . couple block nearest subway make get around easy ! people hotel great ! unobtrusive necessary , extremely helpful needed . example , first night arrive New York tired hungry . want find nice restaurant right hotel . help we find great place also provide we full listing restaurant immediate area . also able get direction different place forgot address place room call hotel provide we info ! extremely helpful ! yes room small beautifully appoint . love coziness color scheme bathroom adorable blue white tile ! love boutique style hotel would definitely stay next visit New York . 
 Jul 1 2007 	 definitely budget conscious ! 	 stay weekend late June . location prime , right 5th ave walking distance subway . however , room TINY , even NYC standard . decor nice room certainly clean . forewarned slamming door hear whenever someone leave room floor . 
 Jun 30 2007 	 Loved Chandler 	 return three night stay Chandler . I long go NYC stay many hotel area , loyal hotel 51st Street trip decide broaden horizon try something new different . ' m really glad ... really enjoy boutique hotel . front desk staff doorman exceptionally friendly helpful check check . room nicely decorate linen , duvet cherry wood furniture add bonus . use room bar snack ( would crazy $ $ ) room quiet secure size expect , certainly small mean . also clean top bottom maid service daily , good efficient . location a-1 Murray Hill District . bar 12:31 extremely overprice use facilty . breakfast buffet first morning good many option nearby much reasonable price . restaurant within hotel lunch dinner huge issue , much choose neighborhood elsewhere . I stay , absolutely . Thumb Chandler * * * * 
 Jun 29 2007 	 complaint hint ... 	 bullet point much easy read , not think ? well , - go : Hotel General : - clean- friendly reception staff- nice porter ( ' professional ' , nice guy ) - read room stock book computer- loan electrical adapter , et al.- free coffee / tea morning.- free newspaper every morning- conveniently locate : two block empire state , three green metro line , 33rd St. station . middle block 5th Madison , pretty quiet . the bedroom ( mine least ) : -i room 523 , close elevator ( closet room lift ) , look interior courtyard ( window looking room ) . -The bedroom small . standard New York apparently , think proper Chandler -There ironing board , iron hair dryer - lovely bed linen - a large flat screen tv - pull blind wooden levolor blind -nice radio alarm clock serve Ipod dock - easy use - lovely shower , great , love could stayed day … huge decent water pressure , amazing US - nice towel - great shower / lotion etc . stock everyday - individual , controllable heater / air conditioning - automatic , free wifiMy two cent Chandler - the bathroom almost shelf space , leave everything toiletry bag desk bedroom - water temperature leave bit desire time time , big deal.-the shower great , spout middle shower switch turn far wall , quick turn get cold water come ( like let water warm get ) -Street sound minimal , hall noise ( ask room far lift ) -Room size : friend two day bit hard navigate one side room bathroom without climb bed.-More hangar please - shut bathroom door night avoid bright street light glowimportant thing look book hotel ( stay one ) general New York comment : -business pleasure ? Chandler well young like go bar shop . LOT ' unnecessary ' walk due calm location . bar ( except one lobby ) restaurant immediate vicinity work mid - town 15 - 20 minute walk . metro good 7 min away ' worth time.-how much time really go room ? sometimes worth pay less comfort location.-individual , controllable heater / air condition important - automatic , free wifi really nice have - Don ' forget see previous tenant set alarm 5 a.m. avoid rude awakening - the view Top Rock well Empire State BuildingThere , do . think ! oh , photo accurate 
 Jun 19 2007 	 Charming hotel 	 trip , hotel good price t. agent . usual hotel ask twice usual sum night , forget it . I like area much , bit south ( stay business prefer 40th 46th area ) . appreciate room , clean , lovely bed pillow , nice bathroom . course big , otherwise would go Sheraton , hate big hotel charming . 
