overall 	 usually stay Monaco street , could not get room Saturday night . , book great deal Burnham . room cute , although really small ( NYC apartment , be say something ) . fine night , although would not suited we dog one day . , everything fine . service good , helpful accomodating . 
 Burnham kind hotel ; Chicago kind town . 	 delight stay Hotel Burnham . stay perfect check departure . Tracy Sara front desk , reggie door , Christine restaurant , go beyond make stay warm pleasant . dog Jack treat like royal pup , every effort make staff make stay good could . sleep like baby comfortable bed . room hotel spotlessly clean . restaurant food delicous not forget WINE TIME every evening lobby . perfect . can not wait get back new furniture place room . 
 Excellent stay historic landmark ! 	 stay Burnham 3 night September 2009 . hotel Priceline lucky Burnham . hotel great : incredible staff , central location , amazing building . Kimpton Group obviously great job restore historic landmark ! room small average , nicely decorate add boutique atmosphere . room top floor , overlook Chicago Theater , quite view . we dinner Atwood Café , lovely . Chicago 's major attraction within walking distance ( El , Chicago River , magnificent mile , ... ) . attraction , public transport even block away ( red blue line , course , El ) . blue line direct line O'Hare , order cab get airport . this hotel great experience . would love stay . 
 Feb 25 2007 	 great time 	 highly recommend .... beautiful hotel , great service . locate loop easy get el . room comfortable , not feel small , beutiful restoration . recommend high floor b / c room restore original design ( low floor damage fire yrs ago ) awesome view . restaurant downstair serve great breakfast . also enjoy daily wine hour 5 - 6 ! ! 
 Jan 30 2007 	 look forward fourth stay ! 	 stay Burnham twice year 2005 also October 2006 . never stay anywhere else Chicago place fabulous ! ! hotel locate Loop area block Millenium Park Geary stage ( could see window ) , near Art Institute , close major museum acquarium . , location fantastic . area town used & quot ; dead & quot ; night great people travel alone ( people grow Chicago remember ) undergo terrific change . still quieter Magnificent Mile , safe problem get around . Nordstrom Rack next door , Borders across Street , starbuck door . must admit enjoy well Marshall Fields across street -- common macy's . the hotel staff first rate helpful . moment walk door feel pampered . even honor request room face State Street . bellhop look tip genuinly kind would not let sister carry thing room ! concierge phenominal greet we name whole stay -- also help we get ticket show etc . the hotel historic building room size vary exquisitly restore . room smallish well fit typial Kimpton touch , velvet throw pillow , damask hanging , big tv , cd player , desk chair , great amenity etc . stay big suite room last year honestly , small one great two people big closet . bathroom small marble clean ! . complaint lighting bathroom . makeup magnifying mirror light bathroom mood light dark make makeup problem . atwood cafe great -- bit pricey well worth food incredible . one good meal recommend wine first rate . tip : make reservation want eat lunch -- terrifically popular lunch crowd work area . breakfast expensive order coffee pastry room . I stay many Kimpton hotel SFO , Washington D.C. , Boston , Chicago travel business . Burnham far favorite book another stay April . definately trip look forward ! 
 Jan 28 2007 	 absolutely perfect -- stay ! ! ! 	 although write review little late , seeing stay Hotel Burnham , let testimonial great , ' m still think month later . visit Chicago often , find Hotel Burnham , stay nowhere else . experience begin visit website , play great music get ready relax ! easy navigate , stay $ 159 / night book right website , Priceline could not even get we room $ 250 anywhere downtown . hotel block Michigan Ave , Marshall Fields / Millenium Park . location fabulous , take el anywhere , walk , catch cab . little nervous walk , small desk two employee , help promptly . room keys ( yes , real key ! ) ready , front desk clerk ( Carlos -- yes , still remember name month later ! ) walk we room , key deliver momentarily ( wound pick right away decide leave quickly shopping ) . room large air purifier get , remove immediately . also odd odor , room three minute Carlos come back say noticed odor offer we room freshener , overpower smell . return less hour later , room long smell . the room fabulous neat city view , great furnishing , wonderful bed ... bathroom spacious , cd player , really great . complimentary wine service evening , wine actually decent ! return late evening , turndown service provide , soft lighting , chocolate , wine hotel send complimentary birthday , cd player play relax music . phenomenal . not good experience long , long time . never see hear anyone else floor , feel guest hotel . , simply perfect stay . 
 Jan 13 2007 	 Best Hotel hand 	 husband stay hotel Feb 2006 first trip Chi Town . 3 night fabulous . email hotel ahead time get idea could close since go short trip graciously reply consider good idea even make reservation we . say room hotel great high ceiling beautiful comforatble bed . love get actual key instead card . reception every night great way meet traveler local . eat dinner first night Atwood Cafe good meal entire trip . love Starbucks lobby every morning . close enough everything walk quick cab ride get want . find will travel back Feb. regret stay hotel b / c business . can not wait go back business stay hotel . 
 Jan 5 2007 	 Cool Hip 	 place simply awesome ! stay suite overlook State Street mid - December . hand - down coolest hotel room ' ve ever . decor hotel mesmerize . enormous plush robe great room view make we want go outside . step theater right across Macy 's el train entrance . location perfect . food hotel restaurant great . be call Atwood Cafe . ' ve eat three time every time be great . hotel people want something different appreciate great attention detail . great romantic hotel . 
 Dec 31 2006 	 Excellent value 	 spend night area visit family Christmas , dog we . Kimpton group , own hotel , always pet friendly stay property , much . dog 55 lb Shepherd mix , little lap dog , not phase either . if not travel pet , however , place still gem . aside , not see anyone else pet stay , would doubt place overrun people not like animal . also we pet - friendly floor - presumably could also make sure floor without animal allergie something . pet friendly room smell wierd anything wrong , seem like room - , presumably , away people not want animal ! location fantastic - could walk great downtown spot , smack middle theatre district . room small - high ceiling practically floor ceiling window , feel much large . nicely decorate , Kimpton hotel & quot ; thing & quot ; - property funky , boutique , edgy always comfortable . great bed Burnham , luckily also stay property . not eat restaurant plan meal , always full people menu look appealing . staff friendly , even dog woofe wear hat ( be Shepherd mix , else say ? ) helpful ( direction similar ) . pay $ 152 + tax valet parking - think one good value money downtown Chicago . stay number downtown hotel year - ( without dog ) , definitely hotel would come back next time . 
 Dec 2 2006 	 pretty nice 	 stay 5 night past week . hotel nicely decorate include room , small comfortable . request king bed get queen . accord staff 13 king bed hotel , could not upgrade . huge deal . awoken 1 5 night construction noise start 11 pm . could not sleep 3 am . high floor , can not imagine quieter low . not find fitness center last day . nobody go way tell we , not see information hotel room book . free wine 5 - 6 nightly nice touch . restaurant also convenient . location excellent shopping theater . close walk art museum millenium park . train ohare 2 block away . anyway , nice hotel historic feel . room bite small side comfortable enough . would wait construction do want stay , not look far along . 
 Nov 13 2006 	 Beyond Service Hotel Burnham ! 	 good friend , Karyn spend 6 night Hotel Burnham November 4th - 10th . conference sight - see day . Paul , Concierge Front Desk staff exceptionally helpful planning go see . numerous suggestion range inexpensive pricier idea . well think fun . one favorite cheap outing supply James Head Housekeeping Hotel Burnham . take we fantastic free rooftop show we phenomenal view city ! able take panoramic shot every point interest Chicago . beautiful sunset ! doorman always wonderful happy see we safely back adventure . final day , sadly contact front desk see weigh bag ( not 50 pound airplane ) James Bellhop promptly arrive room . able reassure we bag not heavy , say would happy deliver bag lobby . check , James ask we could load bag vehicle airport . explain go take & quot ; Blue Line & quot ; train O'Hare have roll street underground train terminal . moment stunned silence , James reply & quot ; way & quot ; would allow we lug baggage far many step . ( 8 large piece we . ) James enlist help favorite doorman Shimon two , cart luggage block away , two flight stair , turnstill explain purchase ticket train . try help , insist would , Karyn carry purse carry Shimon 's hat . least could . James Shimon wish we safe trip back Washington State please come visit Chicago Hotel Burnham sometime . be happy report thank , will gladly return windy city beautiful Hotel Burnham soon rather later . sincerely , Jenny Washington State 
 Oct 21 2006 	 highly recommend Hotel Burnham 	 Excellent location Loop downtown Chicago , walk distance shop , museum , park , theatre , restaurant Magnificent Mile . love personal touch , courteous service around helpful concierge . great way unwind complimentary wine taste lobby everyday . comfortable cozy room even turn service night ( bed ready , curtain draw , ice bucket fill chocolate ) ! would recommend Atwood Restaurant find main floor hotel - rate one good place eat city . would definitely return . 
 oct 9 2006 	 Location location location ! 	 book hotel weeklong business trip . first experience boutique property ( first trip Chicago ) marvelous . hotel 's historic detail impeccable staff add a - list location . It'sh heart shopping ( across street Marshall Fields / Macys ) block Millennium Park , theater , etc . the decor absolutely gorgeous : feel like queen throne . small touch - large tv , cd player , cd , chaise lounge , luxurious decor - go long way . drawback include small bathroom ( nice ) , construction across street so - so service restaurant . still , would stay time . 
 Oct 5 2006 	 Perfect weekend getaway 	 Loved Burnham . great long weekend getaway . boutique , go expect massive cookie cutter room . charm great restoration historic part town . Room beautifully appoint . go King Bed room , elevator hear sound . upper floor give we great view City Millenium Park . Staff attentive bellhop concierge . arrive early Friday allow book early ( little persistence ) . location convenient Walgreen 's next door come handy once . only complaint Atwood Cafe breakfast . though push eat , place building . good , also run we $ 60 two , find bit much . wine , mimosas bar tab would explain high bill . 
 Sep 26 2006 	 go hill blue moon 	 hotel always receive glow review either experience rare bad day hotel begin cut cornor hire . usually read trip advisor ignore highest low rank low usually crank never happy high someone never complain even . usually easy go guy give place benefit doubt rank little high tolerance . also easy go guy like doormen porter waiter treat genuine respect , tip other , not act like well know . lucky life . maybe statistical fluke . usually one strike little count , three strike , eight strike little bit much . the room beautiful , hotel build beautiful . call ahead car cleary say 327 , repeat say 327 , confirm go 20 minute later bring car 307 valet clearly trouble english language . result late meeting throw schedule whole day . Ramada Inn would take stride pay $ 300 day suite use coupon . at dinner chair bump behind 4 time busboy never apolagize even though look chair central aisle 6 8 foot room behind . happen cornor 2 aisle cut cornor way close . understandable . 4 time absurd . especially much room behind . wife finally pick table move inward line table could not bump again . during 25 minute period 3 set plate drop crash loud make ear hurt . 3rd time everyone sit wait fourth . every business bad day even good 1 thousand horrible day sheer bad luck . perhaps happen . review like say bad luck . review like begin appear would say begin cut cornor hire practice order save money . $ 300 day not expect cornor cut not give second chance . go elsewhere future . 
 Sep 17 2006 	 pretty look 	 hotel beautiful old building great architectural element . location hotel good explore loop far Grant Park . think service average room clean decorate nicely . try get large room stay small room really small ! ! overall , enjoy stay would recommend walk eat hotel even stay great architectural element pretty look . 
 Sep 14 2006 	 nice 	 stay last weekend another couple . love everything hotel . service wonderful , friendly , helpful . room charming oh comfortable . floor 7 little nice , ask . restaurant excellent ( Pizano 's street ) nice little wine reception every night . close Millennium Park & quot ; bean & quot ; . couple block form river start magnificent mile . easy walk Sears tower . else say ! 
 Sep 7 2006 	 stylish great location excellent staff -- highly recommend 	 Loved hotel -- totally stay . staff excellent . check , get room 2nd floor smell like smoke , notice giant construction site right across street . ask change room front desk happily oblige -- question ask , attitude ! friendly , polite , helpful throughout . good service ' ve . new room 8th floor great view city , construction noise , awesome hallway . keep original door office building prior conversion -- frosted glass metal work -- really cool . room small , nicely appoint comfortable . picture kind dark hopefully get idea . location excellent -- right heart downtown , block Millenium park , el stops abound , fantastic shopping , major museum nearby . highly recommend place , would ask room high floor avoid construction noise . 
 Sep 7 2006 	 Slice heaven 	 start . begin bellmen door . smile face friendly . check - in fast , know , slightly small , tastefully decorate room . view beautiful except construction site . Chicago 's Jazz Fest full swing labor day weekend proximatey park require brief enjoyable walk . burnham 's location train could not well . redline train station outside door , blueline right around corner . staff extremely helpful go way satisfy . price pay online booking site , fully get dollar worth . would not hesitate stay . 
 Sep 6 2006 	 Great Hotel - Great Location 	 old hotel thoughtfully renovate keep look office hallway floor 8 12 . extremely clean , well maintain staff provide great customer service smile . room bay window . never mind construction take place across street , city , construction expect . close Millinium Park Art Institute reasonably price big city small almost boutique style hotel . downstair bar know white sangria little restaurant upbeat interestingly design . recommend hotel highly . instead pay $ 35.00 day though park car Chicago hotel , believe leave car overnight Millinium Park Garage $ 13.00 day . 
 Aug 29 2006 	 perfect every way 	 stay Hotel Burnham three night last week though hotel completely book , never wait anything . room service nearly instant , elevator speedy , concierge question address immediately . twice daily housekeeping never intrusive , room silent bed heavenly . upon return run shopping , doorman offer cold bottle water - treat ! food hotel 's Atwood Cafe outstanding well - price , eat every meal ( save one mistake Ritz Carlton ) . like Loop location well Mag Mile little quieter . 
 Aug 28 2006 	 Perfect Location Great Dogs 	 hotel excellent . room funky cool - although bit small side big city . everyone hotel nice go way make we feel comfortable . also bring puppy love . give lot treat , bed , bowl dog food welcome pack . treat like royalty . also , location perfect , 2 block Millennium park art institute short walk boat architecture tour . parking 38 dollar night - bit much - , Chicago . overall , love would stay chicago . 
 Aug 26 2006 	 gem heart Chicago 	 find hotel charming . even 9 - year old daughter love . staff friendly attentive , location great ( across Marshall Fields close Millenium Park Michigan Avenue ) , room beautifully restore comfortable . although 2 elevator , never wait long . definitely stay . 
 Aug 20 2006 	 Lots character 	 book hotel other full pleasantly surprised . tell old speakeasy retain charm , though hide away behind unassuming front . antique elevator add character hotel . staff attentive generally good . room small price , perhaps expect Chicago . location also great bustlng area -- across Marshall Fields , block tourist area Michigan Avenue . a bit pricey , meet expectation hotel price range . 
 Aug 18 2006 	 great hotel great locatin 	 husband stay Hotel Burnham Aug. 12 weekend . great hotel 's easy walking distance many attraction . pro : beautiful building well - appoint room . comfortable bed . amenity include iron / board , safe , daily paper , complementary wine afternoon , L'Occutane shampoo / gel / conditioner , radio / cd player , lush velvet bedding . Executive Suite ( two room king bed one room small parlor next , french door divider ) . within walking distance Ford 's Oriental Theater ( currently run Wicked -- musical good ) , Chicago theater , Millenium Park , Art Institute , shopping , restaurant , be reasonably decent shape , even walk Field Museum Chicago River ( Wendella Boat tour - highly recommend ) . excellent dinner Atwood Cafe hotel . pricey good portion . con : parking $ 35 / day pull hotel 's front ( midst traffic ) let valet take ( valet professional however ) . bathroom small ( historical building ) elevator slow 's really nothing take away all - around great hotel . no coffee maker room - Starbucks coffee lobby every morning . however , really believe guest would want see pre - coffee . even Holiday Inn express coffee room , Hotel Burnham . huge construction project across street ( 50 - story office / shopping / hotel building ) -- kill view . construction run Monday Saturday . high floor , less noise will hear . be disappoint slightly two incidence ( would keep come back ) . number one -- problem check - in . arrive early tell room not ready fully expect - tell would give we call room usual check - in time 3:00 . stayed lobby direct sight front desk wait hour . meanwhile bellman fall try please group single woman also wait room ( get drink , would like paper ) pretty much ignore . 3:20 , phone call receive , watch several people arrive we get room . go back front desk find situation . tell previous occupant still room late checkout . hotel 's credit immediately upgrade we Executive Suite not big deal already reserve Deluxe Suite ( french door , queen size bed ) . understand snafus happen , think known get room not go ready check - in time 3:00 , change room - make we wait call not come ignore we lobby almost hour half . number two -- concierge staff little underwhelming . already set ticket everything want ( Wicked , Wendella Boats , King Tut exhibition , Blue Man Group - fantastic ) . need recommendation restaurant certain area clue whatsoever . concierge could not nice , could google info print us map ( well heck could done ) . hotel caliber , concierge know city backwards / forward , know logistic main attraction , ready suggestion dining / entertainment ( least know someone ) . guess minor thing seem really glaring hotel rank high ( part 's deservedly ) review glow . really wish could give 4.9 star . little touchup check - in procedure concierge service , be easily 5 - star . we will definitely back , probably get standard room . able peek look nice suite ( small ) much less expensive ( get to save money parking ! ! ) 
 Aug 15 2006 	 Hotel Burnham ... alway treat 	 wife spend four night Hotel Burnham early August . second stay past year . hotel small boutique facility renovate 1890 's Reliance Building , design Daniel Burnham . the hotel locate heart Chicago 's Loop , across use Marshall Field 's , two block Millenium Park . while small , room comfortable well decorate . stay 14th floor , high traffic noise . hotel use much century - old wrought iron decoration , well tile work . the service wonderful . doorman concierge staff pleasant helpful . afternoon five hotel host complimentary wine taste . wine good small lobby encourage converse interesting people stay .. also note hotel 's Atwood Restaurant . name lead architect orginal building , restaurant serve excellent food fair price . our trip Chicago stay Hotel Burnham become annual event . highly recommend . book room four month advance hotel full . 
 Aug 15 2006 	 Awesome ! 	 stay : July 19th 22nd , 2006rooms : Queen bedroom gorgeous fantastic furnishing , bit small side enough space wife . bed really comfortable top incredible pillow .. aveda bath product . free internet access bring laptop ethernet cable provide room . room also feature tall ceiling huge window great view city . curtain fantastic blocking almost light need sleep also supply room terrific selection bath amenity , two plush bath robe thoughtful dimmer switch bathroom light . location : location exceed expectation . take blue transit line O'Hare arrive virtually block away Hotel . think locate one Chicago 's fine corner , right block Millennium Park , Art Institute , Marshall Fields . great term transit , near collection station bus stop . convenient safe , even late night . ( please note ' build construction block across hotel . bother we notice activity start 8:00am weekday . think last least another year however Hotel ' fault ' hold ) building : turn century art deco architectural masterpiece restore original beauty abundance modern touch . build beautiful , especially main floor elevator lobby area lot work iron marble . encounter slow elevator , fact time main floor lobby cab open door wait we . service : arrive early problem room early . concierge extremely helpful recommendation location attraction , restaurant transportation . staff knowledgeable , courteous , sincerely happy help . fact head rainy morning offer we umbrella use day . observant caring . Doorman always greet we welcome we back . each night give robe turn service chocolate pillow . stereo soft music playing come back night nice welcoming touch . overall : Hotel Burnham nothing class , wonderful alternative huge convention hotel . Burnham hotel , care people stay truly personally want make stay memorable . they " restore " art customer service . 
 Aug 9 2006 	 stunning 	 stay two night 8/1 8/2 pros- 1 . beat location see Wicked- hotel one block away could see theater room-805 . 2 . also convenient Cubs game , take red line Addison . 3 . check - in breeze , room gorgeous , comfy bed linen , bathroom provide . 4 . one surprise feel love shampoo conditioner L'Occitane - it tame unruly hair promptly buy two bottle , expensive though $ 165 . wine reception 5 - 6 good , offer one white one red , hey ' " free " . trivia game give away bottle wine winner . 6 . concierge always extremely helpful recommendation location . 7 . hotel convenient lot shopping ( old navy , H & amp ; , forever 21 , etc ) . close walk Millennium Park , Michigan Ave , Mag Mile . 8 . also , leave video Ipod safe remember get home . say kudos hotel honest maids b / c return lose find . cons- 1.they construction across street start 6 . ' m sound sleeper ' worried review mention , forewarned- loud ! would extremely upset pay full price , get room hotwire $ 100 / night . 2 . place eat area 10 , except one pizza place . however , great ! begin & quot ; P & quot ; place area open late- take right wabash walk l , be leave . garlic bread cheese die . concierge recommend know name . other reviewer problem elevators- . also like free internet access mind front desk . 
 Aug 7 2006 	 nice night Burnham 	 recently spend one night Hotel Burnham impress . get deal $ 100 / not Priceline . great location ( cheap shopping Old Navy etc . rather high - end shop Magnificent Mile ) . love room staff great . view room construction site , still ok . offer wine evening restaurant onsite great breakfast . lot traffic noise room , expect location . overly picky people , think anyone choose hotel happy . 
 Aug 3 2006 	 Location Service Style 	 Hotel Burnham sit Chicago 's fine location , right block Millenium Park , Art Institute , Marshall Fields , Financial District fame Loop . build beutiful service impecable . would recommend Hotel Burnham Four Seasons other . 
 Aug 1 2006 	 rock wind windy city 	 Hotel Burnham nothing class . young married man not care big corporate hotel not care guest need . find ally Hotel Burnham . location immediately exceed expectation . concern entrie relative construction moot stay weekend . pile driver wake ! start 8:00 Monday morning , kind loud , street room . the look feel Hotel worth money ( esp . able make deal internet travel company ) . spend around $ 110 / night . believe entry . Hotel Burnham may inaddequate people want foot kiss butt wipe , somebody not think hotel care people stay hotel want stay memorable enviornment people care ( sincerely ) guest . hotel . case point wife love . look like stud . also location good , block millenium park , block red blue line . take blue line O'Hare 45 minute . staff knowledgeable , courteous , sincerely happy help . there may legitamate criticism wait slow elevator , think whoever design lobby pay elevator engineer make slow people could enjoy lobby . immaculate . 
 Jul 22 2006 	 top Notch Nothing Class ! -however -- 	 couple negative . the hotel gorgeous , great staff , luxuriously appoint well locate . room smallish boy classy ! bed bed die . two elevator , never wait 2 minute one & amp ; hotel full ( ten room per floor ) . eighty percent room face north great view State Street , Chicago oriental theater part lower mag mile afford large window ' ve ever hotel room . window great , let ambient street noise normal . I breakfast cool invite Atwood Cafe ( small lobby ) , Eggs Benedict Starbucks coffee : $ 14.50 service food good . dinner menu appear price 25 % low premium restaurant area . wish have time try dinner . the negative paradoxically relate positive . entire city block north vacant ( allow great view ) , huge construction project begin . look like go lenghy project noise begin 7am -- pile driver start 7:30 . however , project do muffle aforementione street noise , great view long . if light sleeper hope catch snooze day- could not recommend hotel project next door complete . not bother , place truly great ! 
 Jul 14 2006 	 Caveat Emptor 	 return underwhelme experience Burnham , consider glow review usually get . pro : clean , comfortable bed , water hot enough , L'Occitane en Provence soap shampoo , air conditioning work well quiet , furniture fairly decent shape . centrally locate Loop across street Marshall Fields / Macy 's , forty bazillionth Old Navy store franchise , surround Nordstom Rack Walgreen 's . Washington Red Line Station right outside , easy walk Art Institute , Millennium Park , etc .. build interesting history restoration nicely document first floor public area . con : get room via Priceline , request non - smoking room guarantee one - good thing , stick second floor smoking room ( 202 ) . air conditioner run full blast clean air , sure stank first enter room ; otherwise , hotel sell , change possible . nudge desk / table bed , whole thing shake back forth , think going fall apart , phone not plug correctly , lamp not plug . ambient noise street might bother people . & quot ; complimentary internet service & quot ; lobby check - in desk - stand next incoming clientele - chair , sure attach printer . matter , server work evening arrive rest stay ; tell serviceman come fix day leave ; obviously priority . thank Tonya , one concierge , allow use desk 's computer print boarding pass trip home . forewarned , hotel guest priority attach Atwood Cafe - not make dinner reservation be toast . breakfast first morning - greasy egg sausage , coffee OJ $ 19.50 . elevator build make one Ambassador East seem jet - propelled . second floor advantage stair work fine . I would not ever pay advertised rate stay , get place via Priceline , have sure proactive ensure satisfaction , instead expect hotel provide outright . place serious case unwarranted smugness . boutique shmoutique ! 
 Jul 4 2006 	 Disappointing 	 clean , beautiful hotel . however , preserve historic nature building , door heavy slammed shut anyone would go room . also noisy . Guest talk hall elevator sound though room . bathroom little shelf space woman 's essential need : ) .but hate hotel findng new pair white slack steal luggage . weather cold mostly stay jean never even unpacked lighter clothing . not notice unpacked home . report hotel nothing do . 
 Jun 20 2006 	 Believe Hype ! 	 amazing hotel . wonderful location wonderful staff . feel like step turn century art deco architectural masterpiece . truly remarkable . room bite small side make fantastic furnishing decoration . Chicago will stay ! 
 Jun 18 2006 	 nice hotel Chicago 	 Burnham offer great location Chicago , half block Blue Line easily get O'Hare $ 3 , quick walk river , Mag Mile , Millennium Park , art museum , theater district . boutique hotel offer reasonable rate , gorgeously design environment friendly staff . the Burnham glorious old office building 's restore hotel use . three stay , room various size shape part charm , enjoy comfortable sheet bed , reasonably well - configure bath . my complaint ( hotel room ) bathroom light not exactly conducive expert makeup application , live it . staff pleasant helpful . doorman unfailingly polite helpful , particularly one whose name not catch exemplified idea Joy Work -- always smile enthusiastically greeting morning evening . the in - lobby restaurant great tall window ambitious breakfast - lunch - dinner menu well creative wine list . would recommend Burnham business leisure traveler enjoy special place outshine pedestrian big - chain hotel . 
 Jun 15 2006 	 Pleasant Surprise 	 be Hotel Burnham use free internet access room . room adorable ; small yet well appoint . chocolate bed , son pjs fold nicely , right alongside new Build - a - bear bear buy today sister . usually stay either Four season Holiday Inn Express , often place middle lacking , dirty , ordinary 's worth . Hotel Burnham worth . Aveda bath product , incredibly comfortable bed pillow , perfect location . get : first night go Cubs game ( lose , be new ? ) , simply walk door red line Wrigely Field . last night go see Wicked ( amazing ) , intermission run across street room use bathroom ! also yesterday go Museum Science Industry walk corner take number 10 bus , matter foot door . truly wonderful hotel someone charge tell his / her people : let us bring back art customer service . 
 Jun 5 2006 	 stay . 	 stay hotel time work , often rely friend TripAdvisor . right - on Hotel Burnham . firstly -- arrive four significant bag . bellman bring room , friendly nice . willing able answer question whatsoever . secondly , love decor hotel . lot wrought iron marble . generic cream teal hallway . Burnham must old office building hotel room door 1940s style look -- 's bookkeeper accountant behind door . give real key -- one credit card thing . must admit big fan real key . ( hopefully get back everyone upon checkout . ) thirdly -- wine lobby 5 6 really great . friend mine meeting hotel 5:30 late , quite blissfully enjoy shiraz lobby finally arrive 5:45.what else -- bed really comfortable not horrible dip be 20 millionth person sleep . stereo room really nice touch . curtain FANTASTIC ! block light would think dead night 2 afternoon . ( great jetlag . ) also , give robe turn service chocolate pillow . aveda bath product . free internet access bring laptop -- ethernet cable provide room . impressed check around 10 a.m. Friday morning come back hotel around 5 p.m. night , doorman remember welcome back . downside -- valet parking cost $ 37 day . 
 Jun 3 2006 	 great location overprice 	 husband local , live north side . stay two night birthday gift . the good ... location really beat . across street Marshall Fields -- soon Macy 's grrrr : ( , walk distance theater , Millenium Park , Art Institute more . the build Chicago landmark name Daniel Burnham , architect design city . care take re - create lobby match would look like hundred year ago . great tourist interested architecture Chicago history . the bad ... feel hotel overprice get . hotel Chicago seem give buck . the room redone modern instead vintage . extremely nice , clean , etc . , expect something historic , like Drake . the ugly ... across street room , construction begin empty lot , use city 's ice skating rank . hotel nothing , fault , construction begin early morning ... 7 am Monday - Friday ... wake . guest complain well . ( see picture hole location . ) advice , be light sleeper , wait construction do stay . $ $ want location , not worry . 
 May 30 2006 	 surprisingly good ! 	 must say surprised good hotel . located heart Chicago 's Loop , right across street Marshall Field 's flagship store ( soon Macy 's ) , one block theater district two block Millennium Park . service unbelievable . room immaculate ( small size ) decorate late ' 90 's plush whimsical style . Sony CD player room along honor bar ( obnoxious electronic mini - bar big hotel charge look ) . room also feature tall ceiling huge window great view city . also supply room terrific selection bath amenity , two plush bath robe thing impressed ... dimmer switch bathroom light . genius ! complimentary wine serve lobby evening Starbucks coffee tea set morning . I ' get chance check hotel restaurant , hear food outstanding . this boutique hotel wonderful alternative huge convention hotel populate Loop Michigan Avenue area . would highly recommend Hotel Burnham . 
 may 11 2006 	 Honeymoon Heaven 	 awful , stressful drive people carrier fall apart , Hotel Burnham Experience start go . driver stop good way Hotel Entrance , doorman see we , start walk towards we , see luggage return luggage trolley . soon whisk hotel wonderful James appear -Bell Captain ? - wait check . several hour early , problem , tell upgrade Deluxe Suite would wine reception foyer 5:00 . James take we , regaile we amusing story get we settle 15th floor room . great view along State Street Washington , Millenium Park Lake far distance . we go explore little come back find note congratulate we bottle champagne chocolate . never hear fellow guest , elevator , though away . concierge service excellent determined sample many different restaurant could , knowledge great . bed turn evening chocolate place bed , Sound System set play soothe music , Ice Bucket fill point , notice last day . everyone staff meet make point talk we , rare thing hotel . tired eat , call Cafe Foyer always meet response . well fully book Pre - theatre customer 7:30 , ask could call we table become vacant early , sit table within 15 minute occasion . food great , service superb criticism table small sofas seat , diminutive bride , mean feel like child dining table . curtain room dark , thick almost light proof . sleep without knowne 's morning . air conditioning excellent , think main worry photograph web site unfounded . look original marble floor uncover photo , fact cover carpet mimic style marble , not worry footstep guest . as British Citizen , find taxi cab America Strange . usually huge great Fords , room inside european japanese mid range car , yet partition make passenger feel like sardine . ask James arrange taxi get us luggage O'Hare , pass task one guy , Graham think , effort make ensure not get taxi partition . 
 May 8 2006 	 great fun choice chicago 	 go long & quot ; girl weekend & quot ; love hotel . 's great botique hotel sister hotel Hotel Monaco . Kimpton really seem get botique thing -- great hip decor , comfortable bed , really nice linen room accesorrie . loved 5 - 6pm free wine . ( nice wine . . . ) build historic 's architecture amazing , much preserved . great review staff true , everyone helpful friendly . H & amp ; around corner , Marshall Fields ( great food court basement ) right next door Walgreens not use mini bar ! 
 May 5 2006 	 nice great expect 	 reservation easy make ask lot question regard preference . ask quiet room , king size bed , far elevator . get discover king room next elevator housekeeping closet ! even close quiet . explain re - explaining request confirmation request prior arrival , front desk clerk find solution agreeable . however , persistant , would two night sleeplessness due noise . the room adorable , hip chic . , use Mandarin Oriental ( wish one Chicago ) Ritz Carlton , place . staff courteous pleasant room service food outstanding . plan return , know ask ! 
 May 2 2006 	 outstanding stay ... 	 outstanding stay Burnham . first , location great . lot shop immediate area , live theater , train within short block walk . front desk staff excellent . arrive around 5 pm immediately be offer take glass wine we room since wine reception lobby underway . great lobby . hotel ton history , personality character . order snack hotel restaurant price decently delicious . the room gorgeous . excellent detail design . room small cramp uncomfortable . view 6th floor fantastic ! bed linens high quality feather pillow bathroom stock Aveda product . above , bell captain fantastic . make way room ask reason Chicago . tell be memorial / burial father . offer condolence within 30 minute back room complimentary bottle wine behalf hotel . also go way get Sprite 3 year old . outstanding service must say . ... great hotel excellent rate outstanding quality . pay mid $ 200s per night room . 
 Apr 25 2006 	 Excellent 	 fortunate stay Hotel Burnham attend conference Chicago . treat owner hotel . staff friendly welcoming . good hotel experience ever . room small side great view extremely comfortable . bed ... oh bed simply well ever sleep . great experience ! 
