bad 	 first let say staff friendly , efficient pleasant . not bad word say . however - party 6 stay thistle prior conference nearby follow day . work NHS book single room save money prove vastly overpriced gastly experience . six room - one fully equip . mine , kettle work . another , hairdryer . several other either towel miss altogether one handtowel bathtowel , another shower work . lucky , two part hotel room prove nice quiet . colleague arrive later part hotel , one get decent night 's sleep . either due noise rain flat roof outside ( noisy apparently ) least one case due sound four generator outside window . say would not bad either , keep go woke . well , fact room hot stuffy . mine fan - tell ? room England fan November without ask one obvious problem . room tiny - less expect , also shabby . mine wallpaper start peel away wall dire need deep clean . one corner actually dust bunny skirt board , go bathroom still empty toiletry bottle rack bath . metal bath fitting rust stained bath , tap look ever shiny , mould grout sealant around bath . seal wall tile floor crack floor look dire need scrub around edge corner . one group evening meal hotel . far concerned fine . calf liver bacon red wine jus , follow ice cream . calf liver fine , probably little well cooked like liver pink not , nice tender . mash potato pipe hot green bean fine . thing spoil red wine jus not appear ever see grape highly salt . however enjoy liver . ice cream disappointment . 3 scoop terribly good ice cream chocolate , strawberry vanilla , sticky red sauce ( description give not like sticky red sauce ) obviously prepare put bowl long time put freezer , bowl . time ago stay Bewleys Hotel Leeds hesitation recommend hotel everybody . ice cream good quality , selection wonderful flavour , come brandy snap basket decorate fresh strawberry . contrast ! especially stay hotel leed much less expensive . overall meal Thistle certainly well , probably bad , could got Little Chef motorway service . my colleague horrendous experience little sleep leave conference early could face arrive home 9.00 p.m. get early train . this experience , experience Thistle hotel we past year , terrible instruction , whatever happen , book anyone thistle ever again . apology wonderful staff hotel . 
 4 * decent hotel 	 stay barbican 1 night meeting friend London . hotel quite big seem build business customer majority room twin . hotel spa two bar situate less 10 min walk Angel Station / Islington find lot shop , bar restaurant . river close although ' walk way ( see ' Gherkin Tower ' London Eye hotel ) . ' less 10 min walk either Angel Station Barbican . council building surround area ' make walk scary terrifying . certainly ' need take taxi , main road 2 min walk away ! fortunate enough upgrade premier room main building fab . gather main building date , friend stay annex quite ' outdated ' ' tired ' clean . breakfast nice , choice nice fry ( good quality sausage ! ) , different cereal croissant , roll bread . incredibly busy Sunday morning hotel fully book waiter seem bit overwhelmed go grab coffee instead waiting serve . overall nice hotel although maybe 4 * . would go back rate right . 
 friendly staff fantastic value 	 reading review doubious visit . book day 's leisure facility use beauty treatment two girlfriend fantstic time . special offer use facility free ( go thistle hotel website ) give deal beauty treatment group . treatment fantstic , staff could not welcome facility great - clean , perfect working order . change room lovely warm , clean . would highly reccomend . 
 May 11 2008 	 poor value money terribly comfortable 	 arrive barbican station find hotel equidistant Angel , Old Street Barbican not good start . the hotel locate rather beat - up area London , blend well equally tired - look exterior . travel friend mine , uncomfortable learn twin room booking not honour share double bed . thankfully , boyfriend not mind , not offer give discount compensation . the hotel feel tired outdate , coupled £ 120 night , extremely poor value money . breakfast excess £ 15 pastry steal - to - order bring back room save pay nose cereal toast . the room peaceful shower powerful , however ' ve stay many hotel £ 120 buy much high standard accommodation . 
 may 7 2008 	 hate Thistle - 2 star seventy luxury 	 hotel situate short walk Shoreditch . it nowhere near bus tube connection . I would advise get back hotel dark local tower block look mugger . it probably nice hotel last decorate back seventy ! food selection dreadful - first hotel encounter do not Beef , Chicken Pork menu . the bathroom cramp broken tap fitting crack toilet basin - 2 star minimalist well . the bedroom tiny , need new furniture . there air conditioning , window open 2 inch . the tv ancient 12 14 & quot ; CRT kid bedroom model . two main UK chan ITV Chan4 work . I would recommend hotel anyone 
 May 5 2008 	 lovely reception area pity room ! ! 	 book single room & quot ; 4 star & quot ; hotel expect slightly small room normal good decour & quot ; 4 star & quot ; feel . what get tiny dingy room remind Blackpool B & amp ; b - heart sank saw - every grade 4 * hotel must never see build two grotty / small room ! air conditioning window could fully open stand alone floor fan circulate hot air . bathroom tiny even full sized bath could bath - shower head also rusty could direct spray . ( even kick toilet get shower - twice ! ) stain ceiling bed tiny . also sink overflow work bathroom . Tea Coffee facilitys ! kettle look like cheap / tacky travel version ! .to sum 4 * standard room - maybe 1 * - info online travel company mislead i.e pic 's / discription . 
 May 4 2008 	 Awfull Stay Well Clear 	 stay hotel last night go watch show , anybody say hotel nice beyond ! ! ! ! ! ! ! ! ! area scary , married couple 30 , old couple mean area ruff high rise council flat surround hotel , get taxi west end cost we £ 40 anything well stay grotty dump , room dark dingy , wallpaper hanging , hair grime tap stick curtain wall blue tac . our headboard stain do nothing itch since sleep bed ( way rock solid past ) .dont get wrong reception area beautifull plush carpet corridor afraid that s stop . we stay london lot family never ever stay grot hole like b+b much well call hotel amazed rating all . we come breakfast morning end tea toast think need lesson cook breakfast consist undercooked egg ( mean undercooked ) everything else cold , normally stay london room clean tidy breakfast hot hotel unreal . I would never stay ever dump . and beware picture see profile get . 
 Apr 23 2008 	 Plesant stay 	 spend long w'end hotel ' m glad not read review book totally opposite experienced . the staff polite extremely helpful , esp concierge . the room whilst small ( show London hotel room not ) comfortable clean . the restaurant ( use buffet service ) fairly good , especially breakfast bar price ( London ) not scary . and , whilst not chance use leisure facility , look excellent . as location - people consider estate scary , must lead sheltered life ! ! close tube 10 minute walk away angel main street offer pub / restaurant slightly away . give book thro agent maybe get slightly well price , thing consider get value money . 
 Apr 22 2008 	 ok hotel grotty area 	 ugly exterior , smallish room ( upgrade ) good facility bar . expensive breakfast £ 19.50 lovely staff . easy enough get west end advise taxi , area wander round night . recommend Fish Central Restaurant opposite . we get cheap online deal overnight stay night theatre can not complain shocked see website room cost around £ 300 night - definitely well place stay London be prepared spend sort money ! 
 Apr 21 2008 	 Bit dive 	 disappointed quality hotel give much cost we ( even reduce rate laterooms.com ) . although reception give impression four star modern hotel room like 1 2 star . room small dingy horrible stain wall . bathroom tiny not look particularly clean . ' m sure find lot well hotel money convenient location . hotel quite isolated would not recommend look go central London . 
 Apr 20 2008 	 Absolute DUMP 	 unhelpful staff check - in set scene cramp , dirty joyless room view noisy air - conditioner . kettle not work , milk , shower break , patch damp ceiling mould bathroom morning find have attack bedbug . far , far would expect Barbican promise ' shuttle bus ' people carrier , cater number guest need make journey . add fact hotel rundown area , nearby restaurant ( surfeit takeaway ) really question star rating . would not recommend anyone think £ 140 price tag scandalous , central London . 
 Apr 15 2008 	 even business trip waste money ! ! ! 	 first impression , Thistle wonderful . check reception big , roomy , wonderfully clean staff really helpful . constrast distinct open bedroom door . room small , date , paper peeling , paint peel paint without sand . . . . get picture . the Thistle fantastic comitte bad crime know hotel . . . . . paper thin wall ! ! ! ! . be talk 80gsm paper , be talk rice paper . although hotel blame behaviour guest , two girl arguement room next 2 am , call concierge come promptly within 5 minute ( argue continue although volume ) , room service arrive lot & quot ; good evening madam & quot ; 's lot & quot ; yes £ 18.60 & quot ; & quot ; yes , change & quot ; & quot ; enjoy food & quot ; etc . etc . etc . blame hotel , rice paper wall . I not choose breakfast hotel local trade show rush much sleep - ' m sure would fine restaurant create atmosphere lobby . my word partner , & quot ; thank god not choose 4 star central London hotel romantic break & quot ; would tear ! ! ! ! ! 
 Apr 10 2008 	 Barbican Thistle 	 hotel dump . think get 4 star rare thing London hotels - swim pool . room small tired looking . big problem hotel actually half mile barbican middle dodgy look estate . walk first night did't like look neighbourhood , end spend quite bit taxis . official rate hotel standard totally proportion quality . , not stay Sunday night expect find anything open . whole Barbican / City / Smithfields area not Sundays . 
 Apr 6 2008 	 trap well room 	 stay go see show dissapointe mainly room dingy small 4 star hotel like 2 star room date bathroom tile crack hair around bath kettle room still full water green bottom room probley smoke point ceiling yellow , wall light hangin air con stand fan windows dirty list go , location poor walk tube estate look rather dagerous happy contact monday see say 
 Mar 23 2008 	 excellent hotel - complaint 	 stop week mid Feb 08 . little concerned read review query thing travel agent assurre they'ed complaint . room little small hey central london everything want . everything else nothing less excellent , staff pleasant helpful , restaurant top class bar price reasonable . would certainly use hotel . ! 0/10 . 
 Mar 21 2008 	 Gloomy room 4 - star hotel 	 stay 3 night early week business . allocate single room small , cramp single - bed room . room gloomy , face inward courtyard house noisy aircon unit . bathroom poorly light , two small recess light ceiling . ceiling tile brown water stain ( floor ) 3 different place . pull switch change water flow bath shower top miss . shower head cover limescale . cramp bathroom mean little space climb side bath , proximity toilet ; option climb slope end bath . anyone fully mobile would struggle . toilet always flush away fully , check shortly afterwards flush again . the lift arrival ' ping ' 4 room away , could easily hear time . the paintwork tired chip throughout hotel . breakfast buffet - style , 5 minute wait seat . waiter / waitress eventually ask whether want tea coffee toast . tea weak take last morning toast arrive leave table - even cold . check - in / check - out slick efficient . gym / pool area hotel 's redeem feature . the hotel locate unsalubrious , poorly light area not fancy walk area night . definitely worthy 4 star - need lot work ! 
 Mar 19 2008 	 surprisingly lovely ! 	 expect average tatty hotel , review other Trip Advisor . sure refurb , modern clean . staff friendly , get free upgrade check . room fantastic , comfortable clean . only criticism housekeeping staff little over - zealous one day knock door three time ! definately would stay . 
 Mar 12 2008 	 second bad hotel experience ever 	 stay hotel specify top choice conference attend London . half price , hotel would still complete ripoff . ' ve stay much well place right next airport ; hotel middle city , one far bad ' ve see . room shabby badly maintain , chip take wall paint , dusty carpet look like be 1950 , complete lack abiance charm . addition , many room feature simply not work : nonfunctional iron , in - room safe would not open , ceiling fan make high - pitch squeaking noise , fairly expensive internet service keep drop connection , air conditioner run entire time , never lower temperature . staff rude unapologetic , refuse help situation . stay -- must -- try get one room low floor . elevator open first , second , third floor , everything look much , much nice floor stay ( 5th ) -- marble wood floor rather carpet floor , bright new look . perhaps hotel partially redone point ? alas , never find ; would not pay sum money stay . zero star , could . 
 Mar 6 2008 	 Great Hotel 	 boyfriend stay get last minute & quot ; secret hotel & quot ; deal pleasantly suprise . hotel 10 - 15 min walk Old Street tube station 's easy use frequent bus service around corner easy access City / king Cross etc . room large tastefully decorate comfy double bed . despite 's central location , still easy get good night 's sleep noise not issue . bathroom spacious over - bath shower . give option upgrade double - plus room honest standard double serve purpose ! would definately recommend . 
 Feb 25 2008 	 Fantastic Hotel 	 upon arrival Thistle City Barbican check within 2 minute extremely easy . gentleman behind desk ask would like upgrade deluxe room , think would cost lot say . inform we would upgrade we anyway great ! arrive room absolutely gorgeous . stock clean , fresh towel generous selection toiletry . night quiet everybody seem settle 10.00pm ( surprisingly Saturday night ) get good night 's sleep . breakfast morning certainly not disappoint ... full English & amp ; continental fill ready day ahead . Checkout easy finish within 2 minute . hotel perfect opinion , would definitely recommend other ! 
 Feb 24 2008 	 Nice hotel 	 stay 2 night London see show . pretty good hotel , much parking space luckily manage get space ! lovely foyer area , helpful reception staff/ concierge . room little small clean tidy , good shower . room service take long time huge hotel end world . great bar , lovely decor , really large enoough amount guest hotel . food nice . nice hotel , nowhere near bad many say , would stay . 
 Feb 10 2008 	 Excellent overnight stay 	 read terrible review hotel feel must put record straight . spend one night hotel group 47 . read several review arrive serious reservation . exterior hotel great enter reception area warmly meet check - in quick efficient . room locate two building find room pleasantly surprised . room single small well equip even iron ironing board . sheet cotten , bed comfortable , towel white fluffy everything work . restaurant offer good carvery la carte bar excellent extensive bar meal menu . plenty staff duty eat place breakfast follow morning enjoy full english continental . complaint group location suit , good hotel choose . 
 Feb 9 2008 	 Hotel clean staff pleasant helpful 	 stay london weekend break visit exhibition . pleasant stay hotel . room ( 1113 ) clean fairly standard size hotel room , cramp . bar snack til late . variety breakfast good , buffet style . short walk near tube station . anxious staying read previous review need not worry , would stay . 
 Feb 9 2008 	 much well review would indicate 	 return two night stay medical conference near . hotel book company . originaly book Holiday Inn King 's Cross , vacancy . read review nervous already check expensive location nearby , think book pay difference . but say - hotel fine - upgrade double extra charge , staff extremely friendly helpful , include desk clerk bell boy , help need . book ride Heathrow , wait exact time . the room standard come expect hotel . breakfast fine , ( especially like baked bean ) although 7:55 5 - 10 minute cue seat . while honeymooner , ideal tourist since close major attraction , anyone need hotel area London feel secure barbican . 
 Feb 8 2008 	 great location 	 stay twice - friend ' engagement party wedding Clerkenwell . brilliant location we . hotel bite shabby clean well keep night bar also serve bar snack til late . lot hen stag party stay not bother . good room - make sure be main hotel annex - although annex fine , main bit well convenient . great pool decent buffet breakfast - get early though will wait table . parking limited hotel plenty road parking - car fine time . conveninent tube station walkable lot . bad price . 
 Feb 2 2008 	 terrible room Travelodge foyer nice gym 	 beware booking via website cheap deal , offer scummy , terrinle room pay £ 20 ' upgrade ' something health hazard . truly awful room . location terrible . Foyer motorway service station . nice gym spa though not water tap buy small bottle £ 1 cheap nasty . not good . 
 Feb 1 2008 	 ok business one night stay 	 have never hear hotel even though have live London long time 's probably surprising 's tuck away residential area north Old Street . say , be actually good location need City business . I bite doubtful give previous review , midweek business stay fine . check - in efficient soon room . room small definitely could redecoration . wall heat mark light definitely grubby . be also little space spare . example , move chair open wardrobe sit end bed use desk / dress table - 's room chair . that say bed firm comfortable linen clean fresh . hotel close trendy Hoxton area interesting bar restaurant - 's late open Somerfield Old Street need drink snack . breakfast disappointment . buffet pretty basic . cereal selection fine - sad look display cold meat cheese . hot selection luke warm - rubbery scramble egg flabby , fatty bacon . 's real excuse . plenty hotel manage ensure breakfast good - thing hot ! strike Thistle take low cost lazy option . Cook hot item start breakfast service , pile dish hot buffet leave fester congeal . orange juice taste weak watery may made powder . half glass enough . have annoy breakfast chargeable , include room rate not fuss . so not fancy breakfast - give miss . miss much . maybe room service continental breakfast would better option . so , hotel ok short business stay really somewhere enjoy holiday break London . 
 Jan 28 2008 	 overprice need revamp 	 stay Thistle one night business . walk hotel tube think walk unsavoury area account surround building state repair . staff really good arrival really helpful . the hotel need revamp feel little tired . room , lot hotel London , cramp fit bed . £ 120 / night bed get well value travel lodge , breakfast £ 17 top ! ! room suppose non smoking , room smell feel like & quot ; smoke hut & quot ; industrial park think furnishing clean age . the room noisy could hear & quot ; going & quot ; room , wake middle night somebody flush toilet …… think leak ! ! ! ! morning privilege cold shower , unfortunately , pleasure good night wine night , appreciate ! ! mention desk check hot water , good gentleman give discount , like say staff helpful . I sorry say one good night make embarrassed UK compare London hotel abroad . thing , seem get short change consequence would stay choice 
 Jan 25 2008 	 expensive dump 	 tired , shabby , noisy , depress hotel cost fortune get . awful , tiny , cramp room , feel like need decorate 20 year ago . could hear every word say passer - by street outside , single - pane , badly - fit slide window ( 1970s style ) . Shower plastic , hold - in - your hand affair . only London could anyone get away standard ; hotel would survive another month many place . I recommend nothing hotel , terrible room tired , grimy bathroom , location , non - descript restaurant food . I stay one night , book another hotel next could not face stay second night . avoid . 
 Jan 23 2008 	 Hotel ok 	 Hotel clean , staff friendly helpful . able check half hour early . ask quiet room ( hotel detail discuss central reservation ) , offer non - deluxe room upgrade deluxe room . take deluxe room upgrade second floor overlook side street fine . room clean . need bit tlc nothing major . Chamber maid maintenance man helpful assist we finding room . major corridor smell bit food nothing major . downstair area nice spotlessly clean . food nice , breakfast busy fine , lovely big buffet choose . overall , would recommend hotel couple night stay . bit difficult find location wise get bearing fine . suggest use barbican tube . walk back hotel 10 pm night feel perfectly safe , street well light usually plenty people around . 
 Jan 21 2008 	 absolutely awful ! 	 staff really friendly room horrendous . look though not change last 30 year . cramp , bed probably not change either judge uncomfortable . also noisy . order iron board morning burn ! staff good breakfast ok really worth room . never stay ! 
 Jan 19 2008 	 great weekend break ! 	 book stay barbican 3 friend part theatre weekend . I admit lobby give slightly false impression expect room , nowhere near bad reviewer claim . we book 2 twin room , small clean functional , bed linen clean towel change 2 - night stay , also tea coffee etc replenish . I really enjoy Continental breakfast , lovely choice , every taste , not keen cold croissant , everything else delicious . the two thing really take overall rating 3 - course & quot ; Carvery & quot ; Dinner book , roast dinner , mish - mash different food , really suit together , fact month advance , notify hotel one party nut allergy , adequately deal dinner time . none food could guarantee nut - free , try raise matter staff , although friendly attempt helpful , language barrier prove difficult cross , eventually , agree cook omelette , could not serve fry could not guarantee oil use nut - free ! ! ! bit palaver dinner tragedy making , overall pleasant stay . all say complain state room , get ! ! ! ! be London ! ! ! ! ! 
 Jan 18 2008 	 passable well option around 	 book hotel base upon website somewhat disappoint . the hotel fault upon cleanliness , room standard hotel fare London hotel , although one say bathroom appallingly small trying fit even 5 ' 6 & quot ; medium frame 4 ' long bath prove interesting experience . expect enjoy long soak end hard day . the leisure facility appear small adequate , however suprise note £ 5 charge use pool . give pretty much highlight hotel website doubt attract customer establishment find appalling cost honeytrap advertise . do eat hotel Bar . food overprice appalling . £ 12.50 small burger chip somewhat overprice could smile wry amusement 12.5 percent obligatory service charge space optional gratuity . taste food feel receive end gratuity ! area far salubrious . would recommend leave hotel night fit individual wear decent set run kit , observation area fleet getaway may need . shop pull metal shutter speak volume area . breakfast pretty appalling , particular give £ 17.50 charge ( not ask breakfast meal room put £ 5.00 tray charge bill , top 12.5 % service charge - essence would end pay £ 25.00 per person 2 sausage , piece bacon sundrie ! ! ! ) , orange juice cordial base , expression waitress face ask get coffee would assume request clean local latrine , return room much chagrin ask carry basic waitressing function : - ) passable hotel , warrant 4 * status . far well hotel , similar price , well area town need somewhere stay . hotel experience nothing well adequate . souless , overprice hotel seedy part town opt , otherwise head Tottenham Court Area plethora hotel far close delight London offer 
 Jan 13 2008 	 let Catering 	 stay Exhibition weekend break wife two son 10 12 . drive Devon visit Terracotta Warrior Exhibition British Museum Saturday afternoon Tutankhamun Exhibition O2 Sunday Morning . park easily outside hotel leave luggage Concierge go bar & quot ; quick & quot ; lunch . wait wait - eventually tell flood kitchen food would & quot ; ten minute & quot ; . fifteen minute begin panic still get British Museum time entry ticket . ask see General Manager food appear , charge drink hotel provide we taxi get museum time . we return museum check in . we book double twin room ask ajoine room . order get ( wife & amp ; ) upgrade suite . suite nice load room . lovely sitting room huge tele , mini bar want tea & amp ; coffeee facility . big double bed bedroom plenty cupboard drawer space . ensuite Bathroom shower Jacuzzi bath good grade toiletry bath robe , slipper , etc . our boy ' twin room perfectly adequate enough space , though two three night would maximum would wish size room . leisure club well run pleasent good size pool , whirlpool spa , steam room sauna . shower good good toiletry , towel etc .. Dinner Restaurant Saturday night perfectly pleasant helpful waiter , inform choice & quot ; menu & quot ; other receive food . get alternative nice . Breakfast standard Buffet affair allow people arrive big hit go day lead big queue ( especially sunday morning ) . food perfectly good . let poor organisation kitchen staff restaurant morning . the hotel bout ten minute walk either Old Street Barbicantube station . alternative restaurant immediate locale either eat hotel eat centre town . area bit run walk late night darki nervous - get taxi . hotel adequate need pleasantstay . upgrade would poor visit . would stay , purely location catering management . value money ? yes - pay get ! 
 Jan 13 2008 	 theatre break deal 	 Mum Sisters stay barbican thistle hotel theatre break deal , price reasonable include ticket see & quot ; Dirty Dancing & quot ; .We arrive check early , not problem , receptionist kind check we room early , could go show without take luggage we . the hotel need urgent re - decoration , clean enough , quite comfortable , essential need , would not fancy stay anymore one night stop 's current condition . continental breakfast include price pay also , ok . could not say bad word staff , seem efficient friendly . the hotel not set good location , suppose not far tube station , 10 minute walk . 
 Jan 4 2008 	 great holiday 	 not know bad review hotel . room good . bar brasserie look modern . staff friendly . Room always clean come back . even breakfast great . Ideler - Verfaillie , Belgium 
 Jan 2 2008 	 will not go back hurry 	 pretty un - remarkable hotel non - discript part London . be far away old street tube station fair ( 5/10 min walk ) 's much round pretty good job ! stay week business November . room functional quite reasonable size London . bathroom & amp ; shower work fine , although obviously not update quite . people mention , corridor stank cooking smell time , fire door next room sound like bomb go everytime slam shut ! staff variable , one really helpful keycard stop work , another one hopeless mess bill check charge wrong credit card . try get rectify nightmare , do account department can not daille direct never seem available . money , customer care pretty much go window score . I definately put staying hassle . 
 Dec 31 2007 	 get upgrade still good 	 hotel quite difficult find . good 10 minute walk near tube Old Street basically back street non pleasant area London . check - in quite pleasant tell room upgrade free charge really pleased look forward enjoyable stay . however upgrade room still expectation get pay mor £ 100 night . old thing wear break . furniture chip scratch , bathroom basic nothing . room large , enough room move around double bed . room service average breakfast hotel include room . I would stay unless choice sure find well Hotels London price thistle barbican charging . 
 Dec 12 2007 	 lot money poor quality room 	 stay November 2007 . call ' City barbican ' good 15 - 20 minute walk barbican complex . check area clean modern efficient . however room terrible . small cramp . décor room ' fixture fitting look like change since 1970 . paint peel place , safe fix floor fan look like bashed . room build opposite reception . breakfast bit chaotic long queue get table . cook breakfast lukewarm . cost room breakfast come £ 182 ! lot money shabby room . 
 Dec 11 2007 	 okay problem 	 London : Thristle City BarbicanDate : December 2007Reviewer TripAdvisor member Athens Greecei stay hotel one week december 2007 .I meet problem stayng . the key door operate time .So every time go reception order fix problem key . the delux room give small view rear hotel . the average price per night high room .When enter room first time cold noone tell reception order put heat . I guess .The aircondione room operate . only chance turn knob central heating room warm . flash bathroom oparate properly . however big problem hotel location . although locate quiet area however far everywhere . one take least two train one bus arrive i.e soho hotel . there shuttle bus hotel near tube station specify times.but one get tube station either walk 15 - 20 minute hotel wait bus outside tube station walk 5 minute hotel . there much choice breakfast . 4 star hotel .I dinner hotel twice .I impression food eat prepared day . the stuff hotel kind friendly listen carfully complaint guest well solve problem 
 Dec 11 2007 	 Reviews hotel justice 	 arrange stay hotel behalf friend . book check review think ' oh god do ' however , arrive hotel staff friendly check quick . go straight bar serve immediately , bar area comfortable hurried , could stay night want ! ! room number 1405 large , clean modern new furniture , fixture fitting . shower power shower massager clean . bed huge comfortable . relieve feel comment make hotel refurbish appear unfair . stay many hotel around world believe one deserve feedback give . please put old review see . 
 Dec 5 2007 	 Bad hotel 	 other say , bad location central London - 's 15 minute walk near tube , Barbican . my room small cramp . tv tiny CRT model . bathroom fairly crap - old , shower work properly . the Thistle 's bad , much well London 
 Dec 4 2007 	 try ! ! ! ! 	 nearlycancelle trip read bad report ! pleasant surpriseworst thing arrive rain walk hotel , bit think tube.concierge great check well staff , room little dark clean invite tho.bathroom spotless , shampoo , conditioner , gel even moisturiser awaiting.went straight pool area lovely travel half aday.then lovely roast beef hotel tha good soup ever life spinach green pea.next bay brekkie nice huge selection tastey ( I m fussy person th world food ) .concierge arrange cab tell go to.even 12 pm arrive back starve quickly sandwich arive room via concierge ( tis complaint 6.50 sand wich bread little stale spread bread ) 
 Nov 27 2007 	 good location 	 stay one night attend course City . close tube actually ( weather permit ) nice walk City hotel via Chiswell St , past barbican centre reasonable residential area . hotel operate mini bus station . reception area nice check staff friendly helpful . stayed get upgrade suite sadly time ! room 3rd floor suppose double de - luxe . well small whilst decor nice albeit date style , bit tired several light fitting loose . flat screen tv ! quick visit health club small swmme pool accompanie steam / sauna gym . nice quality good news central location . breakfast next morning usual buffet 
 Nov 26 2007 	 clean comfortable Hotel 	 stay Thistle Barbian attend function area . book night contact hotel directly . stay one night standard single room rate £ 79 Friday evening . hotel conveniently locate 7 minute walk Old Street tube station . know area well since work close bye . although relatively safe , hotel slightly run road . however , even walk around night feel quite safe . give pleasant greeting reception . desk assistant try make lot small talk friendly . lobby area invite actually unexpectedly smart . I arrive two hour 2 pm check time , allow access room early . the room pleasantly clean comfortable . whilst floor space limit , room size adequate . decent wardrobe set drawer hang suite unpack . also provide fold away iron board . although room warm could open window use large desk fan . bathroom clean stand bath / shower . towel soap shampoo provide . kettle tea bag , coffee biscuit provide . the dining area quite pleasant , full english / continental breakfast plentiful . complaint stain towel shower curtain find slightly uncomfotable . towel also tad moth eat . would recommend 1 2 night 's stay , particularly business . not come expect frill taste old london . bug free safe clean option couple night . 
 Nov 26 2007 	 would stop 	 stay Thistles , expect hotel standard . check fine , upon enter room , severley disapointe ! room old side building tiny , look like something would expect budget hotel . tv floor , decor old , peel generally whole room mess . upon ask could swap room , tell way could pay £ 20 , worth move room ! end new side , room much nicer , would expect . however , breakfast morning like nothing have see ! chaos - hardly warm food , people continental voucher helping cook breakfast no - one checking , fact , someone could walk street help anything ! food cold , staff around ask help , enough table , toaster break . , wait half hour get cold breakfast . also , service reception bar day terrible ! , would stay , stay much nicer well staff hotel London , cheap price ! 
 Nov 25 2007 	 dull uninspiring 	 second time , time usual hotel full . favourite - room small last time ok size time . big problem hotel City , Barbican , near many good restaurant sight , cinema . breakfast ok , check busy slow . 
 Nov 24 2007 	 archetypal bad London Hotel 	 start ! slow check - in check - out ' ve come across ; tiny claustrophobic room - though ' m small man , could not fit bath ; light bad bathroom shaving hit miss ; decor run window frame bare wood ; excessive heating ability control & amp ; window would not open ; squeaky door must wake whole floor get back late ; egg breakfast , cooking staff & quot ; busy & quot ; ; stone cold cook breakfast ( 6.45am ! ) ; disgusting mug coffee taste hot water ( time London awash quality coffee shop ) . 93gbp . bargain . 
 Nov 19 2007 	 pleasant surprise 	 upgrade pay 210 pound two night & quot ; deluxe & quot ; room . price room nice . clean , nicely furnish although bit small . good water pressure shower , always case London . impeccable service staff . nice fish restaurant call & quot ; Fish Central & quot ; around corner . expensive quality good . negative : bit far tube station . pay 10 pound extra ( per 24h ) wireless internet work one corner room . scared think small normal room . 
 Nov 19 2007 	 bad Hotel experience 	 force stay hotel study abroad program , far bad hotel ever encounter . redeem quality : awful location , cramp dirty room , completely useless staff . shower work , lift break sixth floor , concierge know absolutely nothing London get near tube station , anyone could figure . be like stay place due package / program , feel pain , choice , stay . 
 Nov 4 2007 	 would definately go back ! ! ! ! 	 recently stay thistle city barbican part theatre package , impressed ! check speedy ( need long day travel ) room nice indeed . be family 4 , recomend book 2 twin room superior room , not enough room 4 people one room . the breakfast nice , offer good selection continental cook , restaurant provide carvery style meal evening , however , bit expensive . the hotel convenient location , half mile away underground station . also , nice swimming pool , gym , jacuzzi sauna . overall , thoroughly enjoy stay hotel would definately consider stay ! 
 Oct 28 2007 	 perfectly fine experience 	 spend couple night business . group different room , no - one complain much . clean comfortable . particularly spacious , ' ve certainly much bad hotel . one colleague grim room change complain much happy . breakfast largely self service , cater taste full english fresh fruit , croissant , pastry , yoghurt cereal . not get use gym / sauna facility . big beef air conditioning not seem work - something colleague complain - enormous fan every room , able keep temperature little . staff attentive eager please . 
 Oct 22 2007 	 bad hotel 	 bad hotel one stay . would say staff good exhaust underpaid . ask one staff tell upper management bad work with.operational manager bad want leaave hotewl soon possible.it ws completely bad hotel . 
 Oct 13 2007 	 bad example London Hotel 	 pay £ 72 last Minute secret hotel stay - not value money . room dirty furnishing tired - air - conditioning unit prehistoric . smell food come stairwell kitchen remind old - folk home . 
 Oct 10 2007 	 job 's 	 stay twice hotel always please stay . not stay 2 year get really shabby time . the first room show , small stank stale smoke , despite non smoking room . call reception ask change room fine . go reception new key . new room equally small quite dark adequate rather shabby . iron board break . ask new one take 3 phone call almost 2 hour arrive ! hair dryer bathroom much use use nothing ! however , room quiet room service meal ok expensive - £ 24 fish & amp ; chip 1 glass wine ! ! room quiet speedy check service valuable . breakfast good good selection . hotel swimming pool sauna gym also good . all , ok one night busine trip cheap rate central london . 
 Oct 8 2007 	 great weekend 	 spend weekend hotel . bit worried review complimentary . arrive offer upgrade room accept . room clean comfortable . staff mostly foreign extremely helpful . leisure area great enjoy swim lovely pool . our breakfast morning good plenty staff help . overall hotel great . would certainly go back . 
 Oct 7 2007 	 okay business trip 	 stay one night part business trip . hotel small pleasant single room . area little derelict offer much choice dinner etc . good thing hotel breakfast buffet offer lot choice . 
 Sep 27 2007 	 great hotel 	 stay hotel last week read review try cancel . however do not . glad do not . room clean bathroom New . hotel excellent . health centre perfect pool sauna , steam room shower clean towel great relaxing weekend . infact go back weekend . 
 Sep 18 2007 	 total rip - off 	 wallpaper come wall . sink leak . garbage guy room still paper basket ( name Eckert could read paper ) . one light bulb read lamp not work . and room rate 239 GBP first two night 165 last . total rip - off . I arrive late first night tired ask another room change hotel . complain deduce 40 GBP bill think could foound something nicer much cheap near Paddington . 
 Sep 12 2007 	 avoid like plague 	 probably bad hotel ever encounter . room awful : small , dirty , horrible bathroom , peel paint , smelly drain , tv not work , aircon , minibar stock . , dirty linen . communal area dirty shabby peel paint filthy carpet . food inedible . truly awful . end go takeaway instead . God know anyone would stay . fit livestock . avoid place like plague . 
