excellent 	 stay hotel solo traveller , visit various friend London , location hotel excellent , right next door warren street station , & amp ; within 5 min walk Euston & amp ; Euston Square . unfortunately warren street closed maintenance weekend , Euston square 2 min walk . first impression think hotel reasonable value money . night single room small & amp ; perfectly adequate Freezing ! turn thermostat room , work , huge window blind cold draught could feel . cold could sleep properly , morning report reception seem fluster people come & amp ; go . go breakfast & amp ; wait 20min get table , lady seating say 's busy morning , realise many guest come breakfast . breakfast lovely great & amp ; prompt tea & amp ; toast . presume heating fix due card room night say problem report sort , night freezing , get kitte jumper & amp ; legging well pj thing warmer & amp ; well night sleep . also note room ask go breakfast later busy , 9 - 10am . the hotel clean & amp ; staff friendly enough , expect well service 4 star hotel . admit not complain cold room breakfast queue , get , find disappointing ' ve stay hostel , tent etc & amp ; pay well hotel treat , not help rain hard 2nd night , street flood & amp ; soooo cold , make hotel room noticable . location wise hotel fault , would stay cheap , & amp ; thermal course ! 
 Mar 13 2008 	 location hard beat 	 previous review pretty damning decide go convenient location many 4 star available midweek price - pay € 209 incl breakfast . be hope room would tiny strike lucky free upgrade superior double floor 4 back hotel . room good decor space wise - little dusty place dirty . flimsy blind 2 large window leave lot light . lot hot water pleasant marble bathroom first night lukewarm water morning 8 am . tv late model point reviewer adequate . tea coffee make facility room . location convenient - 3 stop Victoria Warren st take Gatwick Express . literally step underground hotel . nearby street restaurant bar good supermarket . shop seem mostly computer / electronic furniture far Oxford street . find staff polite efficient . breakfast ok -good choice bacon mushrooms cold buffet . overall , like place bear mind London expensive business trip , would stay . 
 Feb 28 2008 	 Cold shower cockroach 	 hotel go downhill . stay last 6 month . in last 3 week hot water morning , nice steaming shower start day question - one shower evening will fine . and top last night , cockroach room - YUK . unfortunately hotel ' great location fully book could not move - eeewwww . I will not stay time ! 
 Feb 21 2008 	 tiny freezing noisy 	 book hotel Lastminute & quot ; secret hotel & quot ; site . fair , get good deal , not expect much . it be also fair say low expectation diappointe ! room tiny , much problem . real problem traffic noise night long , cold wind blow window straight onto bed . 's bit horror story , glad leave next day . 
 Feb 11 2008 	 Four Star ? be ! 	 book Lastminute.ie one & quot ; Book secret 4 star hotel will tell ' ve pay & quot ; . find Radisson Tottenham Court Road , delighted choice Radisson 's reputation . arrive hotel 10 morning problem hold bag check later afternoon . 's tube station practically next door bus stop outside lead Camden Kings Cross . short , staff lovely . location fantastic ! get room . , maybe be someone good hotel ever , be solo traveller , think twice stay . room tiny , even London standard , reminiscent B & amp ; b hotel Earl 's Court Victoria , 4 star hotel bear Radisson brand . single bed less 3 foot gap bed desk & quot ; side & quot ; room . soundproof not great , traffic noise night . the bathroom miniscule ! shimmy sideways 10 & quot ; gap shower cubicle sink get toilet . not enough room swing towel , let alone cat ! disappointing frustrating hotel bill 4 star , yet fall massively short rating . in short , hotel solo traveller . avoid ! 
 Feb 10 2008 	 friendly helpful staff make hotel 	 arrive hotel 1.30 problem booking . receptionist move two party floor we room ready . three we share room sofa bed already make wgich make room look small . room clean neat could bit spruce . bathroom less tiny room adequate size one , suppose luck draw . say , everything need . the lift door stair key security sometimes prove hard work . breakfast , next morning , delicious staff helpful friendly . close two supermarket , pub Landmark . recommend afternoon tea enough Landmark . all enjoyable experience . 
 Feb 10 2008 	 Nice Hotel good location 	 Radisson Edwardian Grafton Hotel nice hotel London right University College London . be right next Warren Street Tube Stop London 's sight within decent walk . -My room nice , even though bit small ( expect London ) large bathroom . -Like write , location excellent . easy access London . -The area directly around hotel nice , place eat get coffee . -best thing hotel free wireless internet , save fortune . 
 Jan 26 2008 	 overall pleasant stay - beware window cleaner ! 	 enjoy stay much - room clean neat although bit small side . staff helpful buffet breakfast excellent . gripe window cleaner somehow able open window window outside come room & quot ; fill bucket & quot ; . thank goodness fully clothe time , think window clean snooping room not sit well we . not leave money / valuable lie around full view - I m say window cleaner thief day age not know . 
 Jan 26 2008 	 single room bit naff 	 stay business January 2008 . book company travel agent rate £ 122 per night . on arrival hotel say not confirmation agent want pay - despite fact hold room ? ! upon arrival room , three thing strike . 1 ) room tiny 2 ) view ... air con pipe 3 ) window would not shut draft come night . having say , room seem fairly modern positive note , free wi - fi provide throughout - decide factor choose hotel . television small portable corner , shelf half way wall . overall , hotel would return - ok - feel like B & amp ; B rather plush international hotel chain . 
 Jan 25 2008 	 Good London hotel 	 book single room + breakfast ( £ 90 ) alpha room upgrade double arrive without ask . good , contemporary feel hotel staff poilte helpful . room good size ( although would recommend ask room back avoid traffic noise ) hairdryer , iron , bathrobe good sized bathroom . bar stylish relaxed not feel uncomfortable drink good book . breakfast buffet style good selection option . location excellent - 30 second walk Warren St tube 2 stop Leicester Square . single traveller London business would definitely stay . 
 Jan 21 2008 	 Cool Radisson ! 	 husband stay hotel last weekend January 18th 20th . terrific location shopping , theatre etc . within walking distance . also locate adjacent Warren Street Tube Station . particularly convenient stansted airport Tottenham Hale stop Stansted Express make also tube line Warren Street . staff friendly helpful . breakfast nice buffet lot fresh fruit . room well design . some snag heat hotel - warm . bedroom though air- conditioning work properly . WIndows could open noise hotel equipment outside much could leave open . result sleep poorly . one morning water shower tepid rather pleasantly hot . touch up decor need area . overall good value . 
 Jan 21 2008 	 disappoint 	 stay 2 night request adjacent room teenager one . rang twice make sure could time tell sorted place . check on - line arrive confirmation on - line check adjacent room we . the staff unhelpful room poor say least would rate hotel 2star . third bed room cheap sofa bed totally uncomfortable even child . the furnishing wear view garbage area ! .The breakfast ok service poor , request table 9 person staff say could sit seperately breakfast . we return hotel raddisson hotel experience one . 
 Jan 20 2008 	 Excellent Location - Nice hotel 	 stay business one night . stay previously location ; Tottenham Court Rd , less minute walk Warren St Tube station excellent . room little small , although Central London hotel unusually , well appoint clean . bed comfortable bathroom spotless , nice fixture fitting wonderfully powerful shower complaint catch early train could take advantage breakfast - company pay . business hotel , find strange could get breakfast 7 am - catch train St Pancras 7.30 therefore could excellent breakfast know hotel provide . however , accomodation location good 
 Dec 13 2007 	 Superb Hotel 	 spend one night hotel - pity ! attend conference follow day hotel . this probably good & quot ; small & quot ; hotel stay in . everything , mean everything , absolutely superb . the staff - wow ! know mean word service seem proud practice craft . as smoker , banish top floor therefore small normal room double enough room two people . my room spotlessly clean , bed comfortable room well equip . the location perfect tourist . highly recommend . 
 Dec 6 2007 	 Nice Stay Grafton London 	 book room day travel , ' ve read mixed review site , decide give go since try expand list try - and - test hotel London visit every 6 - 8 week . check staff Louis helpful even though seem mistake pre - pay room hotel system pick pay . promise prompt refund yesterday hopefully problem take care of . from London Paddington station , take taxi 10 pound ( depend traffic route driver take , could cost less ) land right front hotel Tottenham Court Road . budget , tube station right next hotel Warren Street station , also close Euston train station come station train . Goode Street station one block away , overall , flank convenient public transportation important time year taxis hard come weekend ( Saturday , taxis non - exixtent evening ! ) .Due problem previous stay hotel chain , give upgrade King Deluxe . room attic - like adorable . 's clean spacious , bathroom heat towel rack ( good winter month ) .my issue bathroom weak shower , probably design prevent mess due half glass shower & quot ; curtain . & quot ; pay pound extra include breakfast package nice breakfast next day . restaurant staff attentive helpful - wonderful experience . the location excellent want easy access Oxford Street Covent Garden 5 - 8 block away . alternatively , tube always good alternative walk weather wet cold . walk Oxford Street take tube back hotel leg get tired . there plenty food choice , three major supermarket nearby ( Sainsbury across street , Tesco next door Marks & amp ; Spencer block away ) .Overall , would definitely go back hotel , enjoable stay ultra convenient location easy access public transportation walk around town . 
 Dec 4 2007 	 great stay nice hotel 	 back 1 night stay hotel & amp ; would definitely recommend . nice big room three air con & amp ; window open ( prefer ) . friendly staff also helpful . concierge could not enough - get taxi & amp ; give advice . breakfast room extremely busy advise - really tasty food . 
 Nov 29 2007 	 well locate city hotel 	 stop last minute hotel pick mainly convenience location . be quite expensive ; comparison london 's average . room moderate size ; bed huge comfortable ; thick dark curtain really block noise light Tottenham Court Road outside . not eat hotel ; though good room service menu restuarant facility . plenty eatery location . reception area quite odd several desk oppose one main desk . bathroom marble line though small adequate plenty towel toiletry . hotel locate right next Warren Street tube Victoria line Eustin train station 5 min walk away . well locate smart hotel ; primarily cater buisness market . 's well decorate locate would ideal buisness traveller want smart stylish london stoppover . 
 Nov 27 2007 	 great ! 	 stay one night businessgood point - location wi - fi include price . bad point - quality hotel match price point . £ 177 night expect wooden panel fall furniture room merely brush past anticipate shower handle come hand . generally feel hotel bit grubby . hotel room particularly bathroom quite unclean ( will not go detail ! ) . personal gripe - operate lift need swipe entry key . remind travelodge 4 star business hotel London ! guess would worth could get cheap price . 
 Nov 9 2007 	 bad expect 	 wife book hotel suprise treat read review dread go however review give hotel justice first check terrible describe three desk system room ready short wait along lot people room small well equipt ( room 326 ) breakfast ok crowd traveller describe overall average hotel stay well 
 Oct 29 2007 	 Better thought 	 stay Radisson Edwardian Grafton middle October 7 night . originally book online standard two twin bed room since thing available give double room second floor upon check - in . check - in take long time many people . hotel rate high due weak dollar location excellent everything plan . hotel step away near Tube station ( Warren Street ) , two market nearby ( one across street ) , lot restaurant nearby . read review afraid room would similar standard japanese - sized hotel room pleasantly surprise decent size . bathroom decent size door open outward . ' problem water leak onto floor take shower half glass tub ' time . open window frequently since heating seem higher normal even set heater low temperature . wireless Internet ' work 1.5 day allow use business center free . one ever center need use computer ( least 6 printer available ) . exchange currency hotel convenient slow times rate commission deduction terrible . ' breakfast since expensive ( 16.50 pound ) . easy pick coffee breakfast nearby coffee place ( EAT , Pret Manger , Caffe Nero ) . 
 Oct 29 2007 	 bad people make could well 	 want stay read review partner say give go get good rate . check greet pleasant reception staff give free upgrade king size room 516 . room good size small sofa . room ok however attention detail lacking , window handle break , television come apart , shelf next bed loose etc . think hotel potential really good think need good management team attention detail . enjoy stay free wireless good little stuborn . one thing safetly conscious door lift machine room always open lead roof linen door always open floor . come Raddison head office get decent attentive manager support seem nice staff . 
 Oct 25 2007 	 avoid cost ! ! 	 book hotel close meeting place near Regents Park . specifically request room large desk allocate small desk work , move considerable protesting . room service take long 40 minute arrive first night . breakfast selection mediocre , expensive poor comparison offering Hilton Marriott . request bath plug housekeeping final night advise nolonger supply guest due risk overflowing bath ? hotel clearly lack leadership avoid cost , especially want take bath ! 
 Oct 21 2007 	 expensive room facility 	 location fine right next metro , hotel expensive - even London rate - consider size room . I small room clean . 
 Oct 21 2007 	 surely well place stay amount charge 	 firstly positive . excellent location . free wifi access ( hotel still charge ) .The negative . small room uncomfortable single bed ( book ask select select twin room - really be not expect single bed otherwise would book double room ) . stay 2 night friend one night . check ask complimentary newspaper . do not realise would result one we get paper ( ! ) one ... paper sunday . breakfast ok far expensive nearly £ 17.fire alarm late saturday night early sunday morning ( 8 am ) - thankfully evacuate unnerve nevertheless . decide use gym .. l love boast fitness centre turn poky room basement old equipment ( one bike break ) .a word warn UK visitor booking via website price book dosnt include VAT think little naughty probably make feel get bargain - course mean tis hotel come search price rate really shouldn't . staff fine whole overly welcome friendly find . I wonder hotel read review act general persistent complaint . last time stay premier travel inn Euston think experience would nicer pay - wrong ! say surely somewhere well price . decidedly average 
 oct 8 2007 	 great budget business trip ! 	 read mixed review hotel , rather concerned . however , pleasantly surprised . generally : happy hotel would defietly stay . excellent central location , clean functional . would not expect spend many hour room ; , London ! detailed : ' ve return two night break ( Saturday Sunday ) Radisson Edwardian Grafton Hotel . make booking [ -- ] . label ' Top Secret Hotel ' , could not see have book have pay . pay total £ 120 one single room two night , room . though excellent value money , give 's location London . the location great . Warren Street tube station locate right next hotel . one tube stop away Euston . Warren Street tube two main line tube route , get exceptionally easy . check bit slow . majority staff appear foreign . bit surprised staff ask see passport , think foreign speaking work colleage Welsh ! ! , sure appreciate , slightly annoy they . the room small , modern practical . room 126 , first floor . room everything need : - single cupboard contain trouser press , hanger , iron , iron board- Single bed- tv selection channels- practical desk- Phone- Hair dryer- Mini Bar ( beware , charge move drink ) - Digital Safe- Tea / Coffee making facilitiesthe room also Shower Room . room compact , also functional . decent sized shower excellent water pressure . may say toilet locate position large people may difficulty reach . size 10 , 5 ' 8 & quot ; tall problem . from read information file room , note hotel offer ' Shoe Polish ' service . could place shoe appropriate bag outside room 1 am would return 6.30am polished . take advantage free service . upon leave hotel checking , able leave luggage reception ready leave train . my complaint room , locate face busy road , light sleeper , beware . road busy throughout night . colleague room fourth floor find much less noise problem . 
 Oct 6 2007 	 could not order room service ` ` chef decide leave early today '' . 	 firstly reception staff not friendly . room tiny . Carpets & amp ; bedsheet stain . could not order room service & quot ; chef decide leave early today & quot ; . will not back ! 
 Oct 4 2007 	 disappointing 	 stay conference central London . although location convenient , outside Warren Street tube station , hotel less expect . paintwork bathroom ( executive deluxe room ) yellow , desparate need new lick paint , tv tiny 16 & quot ; old CRT model , safe keep refuse open , necessitate daily trip room hotel manager duty . the food bar really nice , though . fresh smoke salmon toast bagel gym petit functional three treadmill , free weight machine function general body toner . I would stay really need stay within walk distance conference venue previously . originally want stay Mal Maison London , fully book , stay four star close venue . next time , will stick Mal Maison book early ! 
 Oct 1 2007 	 Terrible Value Money 	 hotel good location . Warren St. tube 100 m away . Euston Square Euston two minute walk ( come station , turn right , turn leave Tottenham Crt . rd ) . pharmacy , two shop McDonalds stone throw distance . my room 426 , single . small could deal . big problem bathroom tiny . must limber access toilet wedge sink . room suitable elderly anyone quite flexible . the room face street little noisy , expect . double window help . perhaps ask room upper floor back . first night , like another reviewer , find hand towel disturb stain . tell rust . thankfully replace follow day . the room quite dusty carpet not see vacuum quite time . tv small , old , channel . the second morning cleaner decide enter room 8 am . suppose put & quot ; disturb & quot ; light , though newspaper lie untouched outside door give hint not yet . Believe , breakfast include £ 80 rate . cost E24 ! ! ! 24 euro tiny bowl fruit , two slice bread coffee . criminal . make sure check bill . try charge £ 10 mini - bar never touch . also another strange charge bill marked & quot ; lounge & quot ; . separate actually spend bar , well guess stealth service fee . a two night stay end cost e380 . not care 's London , terrible value money . recommend go use company 's expense account . 
 Sep 14 2007 	 good ! 	 staff check - in desk speak poor English struggle get understand say - polite though . location great - handy Euston Station . single room tiny - beware ! family room super though , although Aircon effective side light room - main light nothing : odd ! tea / coffee offer laughable - way enough family ! corridoor narrow hotel hot despite outside temperature average . breakfast total scrum - queue unbeliveable apparently normal ! hot food poor - cold tasty . hotel room capacity far outweighs dinning capacity . drink course expensive . , bad could well ! 
 Aug 20 2007 	 Central Location 	 stay two night mid August . hotel well locate next Warren St tube station 15 min walk Oxford St. the hotel smart clean reasonably price , room overly large modern . really bad point book directly hotel , check wrong price computer . speak three different member staff none want sort , end ring hotel booking reception get clear . staff helpful quite rude reception . also loud traffic noise night . 
 Aug 19 2007 	 clean central basic complaint 	 return one night stay hotel , book superbreaks.com theatre trip . read previous mixed review , rather nervous . well travel used stay quality hotel happy pay great service extra luxury . fly visit look x - factor look peaceful stress free stay . check busy , plenty tourist clearly choose hotel location choice . modern reception rather compact . efficient staff overly friendly . break book double room , ask whether King available ( offer pay ) minute search advise King could available ( free charge ) . great thank . offer assistance luggage that s ok . find room via many corridor , pleasantly surprise clean , neutral , well equip room . iron , toiletry , mini bar , robe , hairdryer , place . unusual age . redeem feature mention , price location , be go hang around room ( hope ) . bathroom fine , clean powerful hot shower . breakfast include rate , whilst bit canteen approach ( help buffet include hot fry ) fast service friendly management hand . we look easy frill london - tourist approach , great ! lovely lounge area late night drink incline , leather chair etc . take we 10 min max walk Oxford Circus fabMinor con : - bright bedroom lighting , option dim late night reading- fairly noisy room face road , location great choose ... - concierge servive bit hit miss ... wait quite direction . not bother , other may ! , complaint & amp ; long town open mind , location key , time side - ideal ! 
 Aug 10 2007 	 rat small room dirty carpet break phone bad hotel ever stayed 	 draw hotel picture convincing , pretty good rating , price bob barker . arrive , see not ok . put room way back first floor . enter room think ' ok ' . ' the carpet little dirty . will not touch floor . towel little dingy ... room small . well , will deal . besides will not room often be two night . besides bathroom look clean ' . basically , convinced would alright . however , last night visitor . damn rat slip door 3 am computer . scream course run room immediately . hell , could not call guess ? ? ? phone work ! able switch room make give partial refund ... believe ? ? ? never encounter situation ! ! last night stay Hilton ' very ' pleasant . not stay Radisson Hotel ... HEED WARNING . wack . 
 Aug 5 2007 	 extremely hard work staff 	 husband visit hotel 2 night stay , ( Friday Saturday ) theatre / sightseeing weekend . room . oh dear , view less perfect , lst floor . could put right put full length voille curtain behind drab blind . whilst appreciate spend much time room , everyone like put foot really want unacceptable view right face . oh dear - bath . whilst request bath , pic . seem suggest room bath . amazing much foot slog weekend trip London bath chill glass wine go well walk around town masse . housekeeping . excellent . lovely fluffy bath towel . ! din room . message tv night say din room would busy 9/10 . Saturday morning go breakfast 7.45 Sunday morning 8.45 . absolutely problem . seat straight away . every member staff work fantastically hard . quality food excellent , catering . leave din area 9.30 morine ( Sunday ) . 6 people wait seat . table clear , would long . previous review seem suggest really bad problem dine . evidently . going town Saturday night want lie , room service ( seem extremely reasonable middle London ) . check 10.20 definitely guest wait breakfast . , busy hotel Staff , include Manuel ( probably underpaid ) work extremely hard please everyone . unfortunately , never possible . the hotel next tube station - 10/15 minute theatre land , etc . ( 
 Jul 27 2007 	 wonderful stay 	 Americans live Europe , mid - fifty daughter 22 . go London daugther attend conference sightseeing . hotel list close conference venue book . request non - feather pillow non - smoking room ahead time give without problem . our room spacious european standard ( standard twin pullout sofa adult daughter ) . complaint bathtub shower combination . clear glass shower side move toward tub , . make little difficult get tub . towel rack ingenious : shower run hot water , water run rack heated towel . first time see this . the breakfast buffet much adequate . coldcut , fresh can fruit , yogurt , pastry , cereal , two kind egg , three kind sausage , bacon ham , tomatoes bean .... toast coffee tea bring table . enough fortify we dinner day . Sainsbury be directly across street , kind food available sandwich , drink salad bar regular grocery store . five atm within block . macdonald two door multitude small indian restaurant , sandwich shop , pub within two block hotel . subway almost directly across street , Euston train station 10 - 15 minute walk away . , convenient . the staff exceptionally helpful -- always greet we smile , offer helpful suggestion know get anyplace want go -- prom museum Birkenstock store near Coventry Garden . seem go extra mile we -- even mail thing not want carry back home . -- store luggage 4 hour checkout . the breakfast area become lounge breakfast ; though pricey drink convenient long day museum view use book shopping . one slight inconvenience & quot ; business center . & quot ; small room flight stair -- accessible elevator , computer operational mean short wait several time . grateful computer access . all , pleasant stay would recommend hotel highly . 
 Jul 17 2007 	 not belive 	 friend book hotel read review , arrive hotel trepidation . I expect surly welcome unpleasant staff . nothing could truth . arrival breeze room adequate weekend break . check immediately go bar - pleasant waiter serve we without problem . we arrive breakfast next morning show table straight away . happen next morning . 's true queue food cause think fact dining area small large hotel . I not die starvation however . I group eight- well travelled- unanimously agree next visit London stay . oh , another thing , none we hear single siren keep we awake night ! ! 
 Jun 11 2007 	 lucky packet 	 stay hotel 2 consecutive weekend . stay request non smoking room . arrive early accom first smoking room agree try . room great , good size bathroom spacious . however , smell smoke unbearable opted move non - smoking , room fair bit small ok ... next weekend give tiny room bed completely wear even curl end ... bathroom miniscule enter exit shower toilet almost always result injury ... porter staff also great wait half hr many occasion bag bring fetched .. however complain must say staff good , leave passport room safe call ask look , informed find keep . 
 Jun 1 2007 	 room avoid hotel . 	 overall disappoint , hotel offer room London rather pleasant experience , poor compare Radisson SAS hotel , one major problem . the location hotel ok , wrong end Tottenham Court Road 15 min walk Oxford Street , next tube station get anywhere London reasonably easily . parking site , offer valet parking nearby garage £ 36 / night . good option , retrieve car within 15 min self parking near garage ( 10 min walk least ) would £ 30 / night . street parking option . check slow , 15 minute wait 10:30 evening . we stay ' King Suite ' room 501 . room reasonably large could accommodate three we quite easily , dark drab . everything function , decoration little tired .. public area hotel also little dark drab . natural light bar , quiet lacks atmosphere evening . service still slow give grudgingly without smile . like run pub suberb central London location . the hotel near hospital ambulance come siren blaze night . soundproof poor , fair manage get decent night sleep three night , other might not . the bad part stay breakfast . Sunday queue run breakfast room , lobby , half way stair first floor . wait 45 min , line 20 people long wait buffet stand . much could do avoid , long hour , coffee stand , overflow room . simply unacceptable four star hotel . not stay . can not imagine visitor form USA put this . the management site poor respond problem . staff encourage we complain head office breakfast arrangement , embarrassed . confusion manager . nobody seem charge . if ever stay Radisson Hotels surprise typical group . comparison hotel instance Radisson Portman couple mile away . want room , decent location , valet parking hotel . want anything , breakfast , drink bar , good service , nice ambiance , staff care , afraid must go elsewhere . check review , think negative review give . , go elsewhere . 
 may 25 2007 	 tiny room bed 	 check tripadvisor page book hotel room . mainly book trip short notice pleased get 4 star hotel know chain super price ( London ) : 115 GBP . guy reception not helpful thing say difficult understand . get non smoking room request , offer complimentary newspaper .. . get room almost immediately fall bed , room size . bed tiny well , like big single bed 4 star hotel , definetely bed two 4 star hotel , would reckon 120 cm wide , 140 . fact mattress extremely soft make almost roll lie close edge , not help good night 's sleep . room clean enough , bathroom also ok , even though miss normally offer toiletry like nail file , shampoo etc . thank god not go London often , yet find hotel good price / quality relationship . water soft drink bar cost 2.50 £ + service charge ... 
 May 16 2007 	 Lamb Sheeps Clothing 	 arrive find although book 5 monthe previous could not smoking room book , room pleasant albeit small well stock clean , breakfast good huge choice suit diet , handily place west end good bus tube stop directly outside . Localy array bar restaurant surround hotel good shop too . alhough offer complimentry newspapaer charge previous review say english language strong point staff , pay rather try make staff understand . avoid bar expect hotel drink little expensive .... £ 18.00 2 gin tonic Mayfair Prices . enjoy 3 day would not stay again . small hotel helpful ... 
 May 16 2007 	 impressive building small room loud shut bedroom door 	 find hotel usual standard one expect 4 star hotel , ordinary . room rather small neat clean . bathroom clean although slightly cramp . food service optional service charge add default , ask remove want pay . staff friendly professional . give hotel low rating loud shut bedroom door wake guest adjacent room . hotel insist bedroom door shut loudly ? annoying wake guest . 
 May 9 2007 	 ashamed 	 never think need write critic hotel Radisson Edwardian Grafton really deserve warn traveller . the staff extremely rude could find reservation . charge twice room still struggle refund properly . if say many night , , get bore exact breakfast everyday . extremely limit option food . the hotel ammenitie cream , conditioner , cotton , etc . room small tendency suffer claustrophobia , pick hotel . I frequent traveller tell never suffer form people rude inefficient staff Radisson hotel . 
 May 9 2007 	 unhelpful staff poor service ! 	 partner stay Radisson Grafton early year part mini break . drive Edinburgh London expect high standard cost we £ 660 three night stay . when first arrive staff idea car park hotel , ask taxi driver outside . reception staff barley understand word English totally ridiculous consider London , English speak city . good thing hotel standard king suit , lovley , really well think . however hotel across hospital get sleep good luck you . we buy ear plug first night even still noise come . God know people low floor sleep furthest away 5th floor . it be shame really whoever design room do good job rest hotel 's staff let down . staff training would must manager , clue . 
 Apr 15 2007 	 Pleasant stay close local attraction 	 pleasant place stay , food good chef special main menu available two night stay ! accomodation reasonable price , waiter staff good breakfast selection . side reception staff unable get bill sort correctly , would extra training computer otherwise reasonable place stay unable find alternative . 
 Apr 6 2007 	 like three star hotel 	 stay hotel two night part theatre break . location hotel good 's close Warren St tube station plenty bus stop vicinity . interior reception area bar restaurant nice smart . staff always friendly we stay . room bit disappointment honest , really small space cramp , double room hardly space leave move around bed , also furniture bit shabby veneer peeling , not really would expect 4 star hotel . overall ok hotel , quite overprice suppose four star hotel . 
 Apr 1 2007 	 good hotel 	 stay hotel two night . short reasonable location well finish hotel tiny room . space premium building room far small . check check take far long food good staff generally friendly . 
 Mar 28 2007 	 great hotel 	 family stay hotel 1 night , whilst site see take show . location fantastic , want see within half hour walk distance tube right outside . three double bedroom total lovely , nicely decorate , although one rather small ! great deal choice breakfast , whatever could want probably available ! service good , smiley polite waiter . overall , would recommend hotel . pleasant . 
 Mar 19 2007 	 nice location 	 nice location , next tube right outside bus stop . numrous shop , supermarket , conveinent store , cafe pub within 5 minute walking distance . Regent Park , excellent place stroll 10 minute walk . zoo ! Oxford Street prime area also far hotel , station / stop away half hour walk . however , room extremely small , particularly single room whereby toilet usable one close bathroom door ( bath , shower tiny booth ) . double room large still far large ( bath bathroom though ) . service ok breakfast average without many choice . 
 Mar 8 2007 	 Good hotel 	 brilliant hotel , clean fresh ! book deluxe room see review say room small . bed huge lovely big bath lovely seating area , problem reception telly rubbish could not harly watch ! train station 20second walk ! one night walk covent garden hotel take we around half hour ! staff lovely seeing check 11 am want go natural history museum go chinse new year allow we leave bag return late night ! thank Plesent stay ! 
 Feb 27 2007 	 Good London excellent location 	 stay Raddison Grafton twice past month . very good location , 10 minute Oxford Street foot . lot option pub , cafe , supermarket etc .. etc .. nice curry house within one minute walk hotel Tottenham Court road . room nice decor , decent sized bathroom . breakfast fine continental . full english great though coffee nice , tea . overall , decent hotel decent location bad consider location weekend price . 
 Feb 26 2007 	 excellent location nice bedroom however small bathroom 	 Radisson Edwardian Grafton excellent locaion right next Warren Street tube station . literally couple minute away Tottenham Court Road station . got hotel good price lastminute top secret hotel £ 65 . plenty place get food breakfast nearby . room comfortable modern , however drawback bathroom small even London standard . overall would stay deal come . 
 Feb 13 2007 	 comfortable stay 	 Booked hotel total price 111 pound . good stay , fairly big room ( Room 530 ) . twin room . Bathroom come bath shower . however realise dustbin empty upon arrival . bed confortable , though little big . newspaper come morning ( check 11 am ) promise . location fantastic , right NEXT Warren St tube station . sainsbury DIRECTLY opposite Tesco right next hotel . however , service always seem bit rush . ask taxi go Paddington catch heathrow express , shocked see Mercs Benz cab charge 15 pound 10 min ride . 
 Feb 12 2007 	 lovely hotel 	 stay Sat 10 Feb , nice room 3rd floor view Tottenham Court Road ( do not mind hustle bustle road - although window double glazed noise keep ) bed comfortable curtain thick keep light , check two hour early 12.00 offer late check 4 pm free charge think excellent . House keep even call room ask time planning leave rather barge room , appreciate happen previous hotel . £ 135 king delux inc breakfast , Location brill , wandered camden market Sunday morning head way Oxford street / Regent steet . breakfast good wide choice , try chicken sausage ! hmm interesting .... staff helpful although do not come across english staff stay , definately go back ! 
 Feb 9 2007 	 Chilling experience 	 often reason stay part London business trip occasionally consider hotel , although price , even online , upper end budget . however , first time actually stay , mainly room book organization want bill direct standing account arrangement . glad spend money . let us get good thing acknowledge : place clean bed , although small comfortable nice bedding . wireless internet free , still far uncommon UK , work easily efficiently . breakfast ok . however , none really make freeze cold room , due almost entirely howl gale door aircon corridor go full blast . manipulation room heating control could overcome . direct line gale - bathroom bed - thing tolerable small size room make almost inescapable . room internal step door , well mark pitch first go , draught merely chill foot hit half way body anyone type desk try watch tv . minor niggle - tv position impossible watch bed double glaze inadequate cope street noise Tottenham Court Road . frankly , possible get comfortable room Bloomsbury 50 - 60 per cent typical internet room rate not think shall switch custom anytime soon . 
 Jan 25 2007 	 tiny tiny bathroom bad breakfast service 	 5 colleague stay 24th January 1 night whilst London . make reservation travel desk work originally book Raddison Sussex Granville Place , however arrive find allocate we single room , despite confirmation double room single occupancy . know experience single room tiny one party 7 month pregnant refuse stay single room . luckily confirmation agree we transfer Grafton pay cab take we there . the Grafton not initmate Sussex . 's busy ' m sorry say level service . double room nicely decorate , comfortable bed . room busy road double glaze not deaden noise . luckily always travel earplug not problem , going stay would recommend they . the bathroom tiny mean tiny . manoeuvre awkwardly shower sink get loo sit angle . shower ( not bath ) little power take age wash . toiletry shelf space store essential . it late arrive eat restuartant . 's badly light feel like school canteen . food mediocre . in morning go breakfast . not drink tea coffee ask hot water slice lemon . ask 4 time . ask twice tea another colleague 3 time extra toast bring 2 slice four we . 's busy restaurant morning attention detail not there . I ' ve stay radisson one not cut . 
