Good 	 return 5 night stay Omni Berkshire . 3 we total . request room 2 bed however good could room 1 bed put bed . honest ' think acceptable . book beginning year really excuse . ' happy put bed – pay nice hotel expect proper bed sleep . 1st room give small – ' figure put bed would go small ask move large room – give large room impress swiftness however really arrival give originally . the concierge good thing hotel – incredibly helpful full knowledge . everyone hotel friendly . dinner restaurant – good quality . resturant manager professional friendly . the hotel room clean . location wise excellent – Cartier 5th Avenue – short walk central park – need tube station . one thing must say arrival – demand take approximately $ 50 per day charge room case charge anything room . odd . stay many many hotel ever encounter . await back card – say ' take 3 business day – shall see ! say ' charge room would pay immediately cash . the meat packing district good bar , club resturant . we dinner Plaza also different day - lunch . lovely . the hotel nice . would consider stay . 
 nice hotel 	 get stay hotel chance get deal priceline.net . arrive hotel 10 let early check . sign hotel 's membership checking , use wi - fi room free . hotel locate block Time Square close 5th Ave , find hi - end shopping retail . love ! ! ! ! 
 Nov 10 2007 	 good Bad 	 family stay Omni Berkshire Place early November . let us start good -- great location ( 52nd Madison ) room lovely - very spacious , nice bathroom nice flat screen tv . bad . person check we unbelievably rude . stay many property NYC , well verse & quot ; city attitude . & quot ; WAY beyond . greet front desk woman duty icy stare & quot ; NEXT . & quot ; welcome , nothing . tell checking said & quot ; NAME & quot ; -- not even look . 8:30 Friday night people check , not like swamp . ask whether Omni Select number include reservation , rudely bark & quot ; ' m get that . & quot ; get spend $ 800 night hotel rate 5 star ? ! ? ! seriously consider change hotel , & quot ; greeting & quot ; colored entire visit . rest staff ignore we throughout visit unless directly ask something ( ie get we cab ? ) least not outwardly rude . great experience staff four Seasons , Ritz Carlton Iroquois , give business . stay expensive hotel , want treat well respect . not hotel guest deserve ? 
 Oct 31 2007 	 great time Omni 	 stay 10/26 - 10/28 room 1710 . really love hotel . great location everything midtown close subway stop . arrive 1:00 give early checkin free room upgrade . get king bed , comfy . room large sit chair , desk armoire . come extra pillow umbrella ( come handy since rain weekend ) . bathroom ok size , great 1 traveler , would work 2 . housekeep nice room nicely clean day . room hair dryer , safe , robe . hair dryer not work . call housekeeping replace within 10 minute . ' m sure review state bad noise . room right elevator rarely hear anyone , except Sunday morning hallway traffic . eat / drink one night fireside . nice bar , good food bartender great . fantastic stay ! would definitely recommend would stay . 
 Oct 20 2007 	 good stay one problem 	 stay Omni first time four night mid - October . overall stay excellent . hotel prime location , room large ( ny standard ) well appoint . service good always professional . fitness room small equipment good condition . a tip : ) Sign Select Guest program - free get free wireless internet ( otherwise $ 9.95 / day ) free coffee deliver room morning.ii ) construction go adjacent lot . request room face 52nd street construction noise will not bother you.iii ) stay superior room - associate stay deluxe room ( deluxe low class , superior next step ) . big difference room size , location , etc . pay extra money get superior room.iv ) reason , catch cab outside hotel nearly impossible . time could get cab someone else drop hotel . not waste time wait front hotel - walk Madison catch cab ( walk Lexington take subway ! ) .there one legitimate negative stay Omni - reason rate Average Excellent . tremendous amount room noise . fully use accept street noise give NY even little bit hallway noise people constantly come go . problem extreme amount noise come adjacent room . whether thin wall , poor insulation , reason not know . however , able clearly hear conversation adjacent room hear person stay walk across floor ( ceiling ) . get bad one night around 10 pm ( desperately need get sleep ) call security ask go room next door ask guest quiet . security come proptly , person professional , people next door justifiably dumbfound basically normal conversation disturb guest ( know could hear entire conversation room ) . find whole situation bizarre . ' ve stay lot hotel NY usually be old building wall build thickly new building wall well insulated . first time ' ve experience something like . not know something specific room ( 722 ) , floor , overall problem hotel . see management respond comment site maybe address ? find noise problem annoying , would give Omni another try give positive list . 
 Oct 8 2007 	 Great Value 	 finshe fourth stay Berkshire Place think time put something write . certainly fancy hotel , Berkshire Place become reliable old friend New York . spacious clean room , courteous people , service would expect expensive hotel ( constant maid service , shoe - shine , great concierge personnel , high - quality mini - bar item ) , fantastic location , consistency service keep come back . not get wrong -- ' much & quot ; wow & quot ; factor ( be St. Regis ) , great hotel . will back . Kudos Omni Hotels Berkshire Place staff . 
 Oct 5 2007 	 great hotel lose one bag . 	 wife stay Omni recent visit Manhattan . accommodation great , staff polite . one thing put damper thing check - in , one bag deliver room , instead - inexplicably - throw away . phone charger head set , could not use phone weekend . every day promise & quot ; be look bag & quot ; can not find end day , will & quot ; make right . & quot ; promise repeat every day , new manager duty , well weekend . wound retell story nearly dozen time , waste couple hour course weekend . leave , tell will purchase send we replacement - not happen . assure buy , reimburse . , not happen right away , not fully reimburse asking be go on.the hotel great location , room nice spacious clean , lose bag , poor job & quot ; make right , & quot ; definitely sour thing bit . 
 Oct 1 2007 	 wonderful hotel 	 originally book another hotel awful find hotel . perfect . hotel clean , room bathroom large . shock big room NYC . location excellent well . able walk many sight get train easily . hope return hotel sometime soon ! 
 Oct 1 2007 	 Good Hotel 	 stay work choose good location office . hotel bit non - descript think cabbie pull wrong location realize hotel . lobby look old , bad way also elegant way either . small fairly ordinary . the elevator pretty ancient well , however room really nice . mine large , modern nicely decorate nice neutral muted tone . bed comfortable room quiet night . morning get loud enough interfere sleep annoying rattle fan do . room service fast great food . mash potato really fantastic . 
 Oct 1 2007 	 surprise ! 	 wife often stay midtown New York , know hotel expensive , small generally curt staff . berkshire quite surprise . room large use New York standard many nice service . design traveler mind certain warmth . outlet available desk area well do . bath complete obviously high quality . course , window view roof top still quiet . staff could accommodate . front desk , doorman , concierge , room service personnel ... well train anticipate need friendly manner . never felt rush . treat wife much respect helpfulness . service smile . example , way shirt encounter Starbucks coffee , exhibit shade brown hue . although laundry close , staff figure quickly deliver finely launder shirt time . cudo ! think find good place stay next visit . 
 Sep 9 2007 	 nice relax 	 Omni great , relax hotel . nice lobby , helpful front desk staff ( Maria good ) , good gym , nice array toiletry extra like chocolate bed ice cooler already fill brim : ) . room bathroom spacious NY hotel - stay king 2 double , room 2 double slightly big . also , course location great - short block St. Pats Rockefeller Center . thing issue so - call business amenity . wireless free , sign select program , free , get free wireless perk . complicated ! price business center printing fax also ridiculous . negative : continental breakfast , coffee maker room , complimentary lounge area snack drink . overall , typical upscale NYC hotel - nothing special , can not go wrong stay . 
 Sep 7 2007 	 Great Hotel 	 Berkshire well locate see site NYC shop . locate side street fashionable Madison Avenue Fifth Avenue . Central Park St Patrick 's cathedral short walk away . arrival upgrade well equip ' Executive ' room plenty space complimentary morning beverage . however can not guarantee extra bed three people hotel full could problem room two double King room leave . Labour Day weekend US open tennis tournament hotel fully book - probably indicate popular hotel . hotel Manhattan get fully book Saturday night price rise accordingly ! meet retire american multi - millionaire bar area prefer hotel visit New York glitzy expensive hotel . must see Museum Modern Art close time permit Metropolitan Museum Art also miss . staff professional concierge helpful . eat Fireside restaurant one night serve good food recently refurbish area . prefer somete cheap morning Smilers self service food outlet one block away , evening classy steak house nearby . one good hotel stay hesitation recommend Berkshire . 
 Sep 6 2007 	 Mixed Reveiw 	 girlfriend arrive Omni Thursday , August 30 5 day thoroughly excite NY first time . book hotel Expedia request room double bed follow phone call Reservation desk Omni week prior arrival . unfortunately , neither request fulfil front desk could nothing accommodate we – end share bed . upon speak manager , promise sort amenity give offer never fulfil . frustrating experience make one wonder book travel venue Expedia request give second priority ? hotel lovely although could hear everything room next us - include conversation occupant . 
 Aug 25 2007 	 5 - star stay ! 	 everything stay beyond expectation . great location , service , room , etc . , etc . moment arrive moment leave , every member hotel staff professional accommodating . visit NYC times year first stay Omni , definitely last ! ! ! 
 Aug 19 2007 	 Fabulous 	 $ 224 nigt 5 star experience . I join omni club free receive free internet access beverage morning . the room clean well appoint . bathroom roomy . check online got , 11 am room ready paperwork do . they let we check 2pm . I could go , suffice say , even double room rate , would hesitate stay . 4th time . never disappointed . it 5th Madison , exactly want eat , shopping theatre . it wonderful ! ! ! ! ! ! ! ! ! ! ! ! 
 Aug 3 2007 	 great location nice hotel 	 10 we stay 4 room July 21 - 23 . two room suppose double bed , upon arrival tell double go hotel full go cot . not much problem room kid could sleep cot adult , cot would tight . anyway , hotel really clean , great location staff helpful . room small , bathroom big . preferred Omni people take advantage free morning drink ( nonalcoholic course ) .Yes , construction go next door , 15th floor not bother we . the hotel provide fresh , free apple nice touch . the staff helpful give direction make dinner suggestion . eat hotel want experience nyc.the bed towel wonderful . hotel soap shampoo well ' ve . would gladly stay ! 
 Jul 31 2007 	 Excellent Hotel Choice 	 stay Omni Berkshire July 27 - 29 . excellent hotel choice . clean well - maintain . good service . Sign guest program receive free morning coffee newspaper . convenient location . expensive room service , plenty near hotel eat . room w/ king bed nice size . construction noise stay weekend . highly recommend hotel ! 
 Jul 30 2007 	 disorganize 	 company book business meeting Omni New York . Omni fantastic location midtown manhattan . 's boutique hotel upper price bracket rate exclusive 4 star room rate quite steep . hotel lobby clean pleasant . front office staff friendly . but hotel extremely poorly organize probably unorganized hotel ever stay at . we book double room two separate bed , share two employee . check - in bit disappointed find double bed reserve available . instead get extra bed room , option share single & quot ; kingsize & quot ; bed ( ! ) actuality look like single queensize bed . hotel organization get bad : employee arrive early allow room key . leave wait 4 hour although name add onto room reservation . needless say happy . our preparation meeting start early follow morning put notice 18 hour advance breakfast serve room since time we restaurant . Breakfast never show even pick breakfast menu hang door . actual business center thing get well organize . instruction requirement meet week prior seem ignore . everything seat number arrangement resemblence discuss hotel . go detail someone phone , give exaggerate excuse defensive put blame we ( offend we . review record prior communication everything plain clear ) . tell could make change last minute . pay several thousand dollar hall break rate beyond normal part country . finally , insistance , rearrange set - up initially request . during pre - preparation run problem confusion arrangement ; meet timing wrong announcement , equipment rent show get notify minute meeting . hall space cramp attendee could walk properly isle get hall move table although tell hall could accommodate far people meeting number ( true ) . duty staff day , polite try well help get thing sorted reason could handle situation without get angry . one hotel staff introduce we morning do preparation we , courage tell we afternoon ' leave day ' ( polite indication give tip ) , see run hotel another hour . needless say , pay lot money setup already hotel poor job justifying charge . reason last minute stress add onto we , feel inspire tip staff meeting arrangement . I feel Omni good hotel normal tourist stay , perhaps hold meeting . 4 star rating room rate seem bit steep get , hotel clean , location superb , staff general friendly helpful try correct poor management organization hotel seem suffer . room rate low would stay Omni visitor . hold future meeting ? ! 
 Jul 29 2007 	 Book Berkshire 	 Omni Berkshire excel three thing every exceptional hotel must : luxurious touch , staff truly service guest , location put heart action . hotel good value ' yet encounter Manhattan . New York , blow lot money trendy hotel claustrophobic room , sumptuous palace over - the - top comfort really ' need . stay Berkshire get lot buck feeling pamper . wife , daughter upgrade check - in suite small foyer , widescreen tv sitting room ( sofa bed ) french door lead bedroom . step Fifth Avenue , close Central Park , even within walking distance Lincoln Center . fantastic hotel destination New York include ( ) doll mecca know american Girl Place , block away . mark one task travel to - do list : book Berkshire ; hardly well Big Apple . 
 Jul 17 2007 	 Great Service 	 daughter stay Omni NY 5 night start July . originally book room Quikbook reservation despite specifically reserve twin bed room subsequently inform could guarante . contact reservation Omni initially success . brink cancelling try one last time fortunately sympathetic call operator confirm twin bed . thank . plain sailing . hotel clean modern , room comfortable ( bed would liked take home ) standard friendliness helpfulness staff exceptional . construction noise 7 - 00am outside hotel 's control certainly exceptional way spoil enjoyment stay great hotel . 
 Jul 15 2007 	 great location great staff great time 	 family return week Omni . first , book reservation expedia pay $ 199 / night plus taxis , good value New York . prior review regard construction true 30 story building construct adjacent Omni . construction begin promptly 7:00 , early riser noise not bother we . hotel fault construction noise control . management service splendid . also , make sure sign Omni Select membership club , receive morning beverages newspaper additional charge . also , will get free internet access . frequent visitor N.Y. , stay many different N.Y. hotel . hotel small room , prior review regard room size typical hotel Manhattan . hotel clean , great service , great location . fifth avenue shopping step away , central park 1/4 mile , Rockefeller Center equally close . would stay Omni . 
 Jul 13 2007 	 Fantastic experience 	 stay convention find extremely nice . staff friendly accommodate onset stay . room nice , bed comfortable bathroom well average . join Select Club stay enjoy free morning beverage , robe , internet access bed turn nightly mint . close everything Midtown , short walk Time Square . hotel choice midtown Manhattan . 
 Jul 10 2007 	 Location location location . 	 travel website belong awesome price hotel book weekend July 6 - 8 . orignally book room two double bed . upon arrive tell would upgrade room king size bed roll away bed would brough room . party 4 , need least two bed accommodate we . agree upgrade roll away bed . room 20th floor , lookig construction office building next door . construction go Saturday begin 9 , book room , please inquire upon check room locate . believe building build do June 2008 . room beautiful couch , desk king size bed . bathroom do marble travertine beautiful . complaint think regard bathroom water pressure . 's little soft taste . first night issue getting roll away bed , deliver 8 end bring . opt pull couch , bring another issue . issue handle efficiently professionally . commend Omni treat guest problem like nuisance . turn service nice touch , plate cookie juice leave first night . kid think cool , chocolate leave pillow . the hotel nice workout room treadmill , elliptical , weight medicine ball . floor exercise room nice balcony go unwind get nice view St. Patrick 's Cathedral . the hotel excellent neighborhood shopping , Park Avenue , Rockfeller Center , Radio City mere block away . everyone hotel friendly accommodating would gladly book another stay . 
 Jul 7 2007 	 ok 	 book deluxe King Omni . room tiny , mean tiny . room closet . clothing store armoire fine except door armoire open could get around bed . also , use footstool casual chair could move around room . check front desk call ask like room . tell unusually small ... tell deluxe King 's configuration oh well . stopper bathtub work , sink faucet jiggly rotate . carpet major black stain center . ' m sure going use lovely hotel . 
 Jul 6 2007 	 bad 	 choose Omni Berkshire travel 12yo son need hotel within comfortable walking distance Broadway , East Side 's museum shop , favorite restaurant well largish suite . count , hotel suit we well . trouble construction noise suite bit away site - even though suite low floor promise make reservation ( person , assistant manager ) . son especially like hot cocoa deliver room every morning ( morning beverage complimentary , always time - note hotel outsource service ) . real glitch door staff . let us say need training thing like open door general demeanor . addition , concierge less helpful other ' ve deal less ability secure desire restaurant reservation , etc . , ' ve find comparable hotel city . , enjoy stay , enough book another . 
 Jul 1 2007 	 great hotel great staff ! 	 much enjoy stay Omni would definitely stay . able get special deal Travelzoo pay $ 199 / night . also sign free Omni Select membership club give two free drink national newspaper every morning . I notice small stain white comforter , not much view , imperfection minor compare service offer hotel ( free business center hotel guest , nice gym , wonderful staff , etc . ) . hotel also step away good sight NYC include moma , Fifth Avenue shopping , ton great cafe shop . stay Omni will not disappoint ! 
 Jun 8 2007 	 Divine locationfor long weekend shopping 	 book bit trepidation , read mixed review site other . however , wonderful experience Omni already recommend everyone back office home . the building work mention review issue we , Memorial Day weekend , construction halt long weekend . room clean top tail every day , find staff friendly willing help . ate one meal restaurant , although food good , find little overprice order . especially extra charge $ 10 chicken friend 's ceasar salad ! , return Omni heartbeat next time New York . also , definitely worth become member Omni Select club , get free beverage every morning ( eg coffee , tea , orange juice ) , find lovely add extra . 
 Jun 2 2007 	 Omni Always please 	 reason visit : weekend trip attend wed Central Park . PROS : ' m frequent guest Omni Hotels usual everything nice expect . check quick . room quite spacious NYC . room even small foyer mirror standard room . furnishing nice well keep . upon arrival , staff member take duvet decorative pillow bed tuck way storage . room little seat area small round marble table . also desk chair . bathroom extras like cotton ball q - tip robe . 's office second floor equip conference room , desk chair , fax computer free internet access . con : wait get attention valet take car away . way , valet parking available $ 40 / day . room face loud construction site . luckily shortly stop work 5 pm . not expect quite room day though . other : hotel really nice restaurant . feel like cozy dining room , restaurant . chair like real dining chair leather big comfy chair would find upscale home . food good even selection organic food . atmosphere peaceful . FYI , hotel right 5th Avenue plenty shopping activity area . walk 5th Avenue Central Park . also , try Top Rock . 
 may 25 2007 	 Omni well ever 	 stay last weekend spite noise issue . speak directly hotel advance make sure get high room noise Mon . negligible . seem year ago Madison Ave . side build fifth floor awaken garbage truck middle night . hey , 's New York ... city never sleep ! everyone staff terrific welcoming . room ( 19th ) lovely spotless , hall totally quiet . food Fireside Grill wonderful . 's still good location New York , sophisticated overcrowded like large hotel near Times Square , walk away everything . I get good price speak directly hotel reservation people . never anything web close pay several month . 
 may 16 2007 	 comfortable efficient 	 think overprice , seem whole New York ! ! everything go plan , fair , issue raise sorted immediate effect . staff wonderful , friendly helpful . room immaculately clean . overall , would gladly stay price would drop . £ 1750 room , 6 night , personally think expensive . location pretty good . as regard building work , disturbance whatsoever . 
 May 2 2007 	 Unbelievable hotel suppose category 	 truly unbelievable awaken construction 7 am . as previous reviewer post outright dishonest advise guest . I spend $ 459 night tiny room , & quot ; special wake - up call & quot ; increasinlgy indifferent service . I usually stay either Omni Regency . guess business 
 Apr 29 2007 	 Loved ! 	 stay two night back December . great stay . construction going not think far along process . love Omni get great deal . really could not happy . think pay $ 199 , well worth . 
 Apr 26 2007 	 stay ! ! construction work total nightmare 	 April 26th 2007When & quot ; arrive & quot ; tell construction work . slight understatment , construction work massive ruin stay hotel . 7 am dot start , noise level huge . I initially 17th floor look work , dreadful , hte room actually feel like shake . I move look Maddison Ave , well , . would recommend hotel whilst extensive work go on . the barman rude ( everyone ) , staff breakfast great always seem get order wrong . on positive , great location shopping , room nice & amp ; spacious , although bathroom bite date . the bar area really nice . concierge helpful . once work do I m sure would great place stay . but definitely whilst work go on . Hope help 
 Apr 20 2007 	 can not wait go back 	 husband spend weekend Omni nothing good thing say hotel 's staff . stay hotel business year ago enjoy stay . uncertain quality would still . ! ! arrive early quite frazzle drive ( tunnel entrance nightmare ) check early upgrade additional cost . room beautiful staff friendly helpful ( especially Lenny doorman ) . definitely back . 
 Apr 19 2007 	 Excellent experience Omni 	 select Omni Berkshire weekend April 14 - 16 base strong Trip Advisor review , thank ! plan weekend special birthday celebration Mom , never visit NYC . ' m pleased report Omni outstanding part great weekend , Nor'easter notwithstanding ! travel hotel , call speak manager special occasion , ask nice room upper floor . arrive , upgrade junior suite 19th floor . lovely , clean , spacious , quiet . hotel also surprise we send bottle champagne birthday card Mom , thrill thoughtful gesture . dealing personnel - front desk , concierge , doorman , housekeeping staff - uniformly pleasant professional . felt & quot ; looked & quot ; time . as other comment , good deal join Omni 's free & quot ; select guest & quot ; program . result , get complementary breakfast beverages newspaper deliver door . morning order right time well - present . the location Omni could well - corner Madison E. 52nd - heart mid - town Manhattan . since weekend ( check 8 a.m. Monday morning ) experience construction noise mention many other . fact , think hotel exceptionally quiet , 19th floor location doubt help regard . I occasion check fitness business facility , comment . travel frequency business pleasure , say without doubt Omni excellent property outstanding location emphasis customer service notable day age . plan use Omni future travel NYC also try Omni city , base upon positive experience . thank everyone Omni Berkshire great weekend ! will back ! 
 Apr 17 2007 	 Great Hotel noisy ! 	 stay Easter 2007 . arrive realise left bag Super Shuttle transfer . concierge ( Randy ) Omni could not enough try get bag back . Super Shuttle hopeless interested , even hanging ' m explain situation . bag obviously steal . never use AGAIN.Anyway , Randy obtain vital medical supply help report bag NYPD . room comfortable clean . like reviewer disturb demolition build adjacent hotel . Easter Saturday Sunday abaite return vengence Easter Monday . whole hotel seem shake . shame hotel well locate would consider stay . five star forthe noise . 
 Apr 12 2007 	 Disappointed Omni 	 ' ve stay Omni Berkshire business every week 9 week ( company preferred rate ) . disappointment think share experience . big complaint front desk service concierge service . front desk staff unapproachable unfriendly . two different occassion send room clean ( bed make , one smell like armpit ) . concierge helpful . colleague ask look nearest Prada store say somewhere Fifth . direction , & quot ; check hour & quot ; , & quot ; ' Fifth somewhere & quot ; . friendly staff doorsman ( least smile ) repair guy . a major issue hotel right major construction right beside . start drill bang 8 am - not try sleep ! reserve check , ask room away construction -- help little bit . the room ok , would expect luxury hotel . room phone bad connection , electrical socket lamp break ' ve someone come fix tv twice ( nice friendy fellow ) .If choice , would stay . 
 Apr 11 2007 	 beware construction noise ! ! ! 	 husband book easter weekend break Omni Berkshireafter read great review hotel site . ofit true : location great , close shop , subway major attraction . preferred Guest perk free room service drink morning fabulous touch really appreciate . hotel clean , housekeep certainly scratch . able get late check help night flight home , Business Centre let we check flight online without charge we standard usage rate ( well - standardrate ridiculously high ! ) fireside bar / restaurant nice spot stop bite drink - rest hotel stylish 's bar . the bad stuff overshadow stay . luckily holiday weekend , mean not aware noise major construction go outside window 6.30 morning checking . noise ! always live downtown location , use bit background noise street . 14th floor noise deafen ! hotel not warn guest advance , least offer ear plug instead chocolate nightly turn service . think stuff ear chocolate wrapper ! stay mid - week construction ongoing , would request change room . construction site huge look ongoing time come , sure check ahead request room away noise , get earplug least . bad though , parent arrange champagne strawberry send room surprise sinceit wedding anniversary stay . not find surprise get home parent ask - receive . hotel appear deliver wrong room , despite mum confirm detail day check . call hotel mum tell arrangement find happen - staff phone helpful . repeat story least four differentmember staff . manager call back promise , eventually make enough follow call , get weak apology . call mum apologize . level customer service hotel seem pride , experience issue management unsatisfactory . on whole , lot positive thing say Omni Berkshire site true , still would not chooseto stay , definitely construction 53rdand Madison complete . 's lacking style , staff overlook pretty major thing stay handle problem situation badly indeed . enough good hotel NYC prevent Omni Berkshire top choice . 
 Apr 7 2007 	 Great Stay 	 get back great stay Omni Bershire . go 10 year old son see Yankees game- rain able get ticket next day 's game . first visit NYC leary trip South , however hotel great staff friendly helpful . room big expect NYC clean close walk attraction . doormen conceirge guy helpful friendly idea eat visit . first night staff bring cookie milk chocolate slipper . Isadora 's cafe across street great cheap place eat breakfast , lunch dinner . Felt safe subway also . got well rate hotels.com ( $ 300.00 per night ) . prepare spend alot everything NYC . 
 Mar 31 2007 	 another great stay Omni 	 4th stay Omni 6 year . can not beat location room comfortable . book Deluxe upgrade Superior , assume part Select Guest program . upon check , tell front desk free beverage voucher Select Guest member get would deliver room evening . never receive . grant , never inquire , would say glitch stay . also agree last review mention fantastic doorman . Lenny since start stay even really not remember we , always act like . great ! also , construction go behind building . ' m sure would room would not hear , always anxious get early anyway . usually start around 7:30 not work weekend . I ' m hope stay 4th July . can not get enough Omni . 
 Mar 30 2007 	 Loved hotel 	 Simple ... love hotel . love bar restaurant ( Fireside ) . room service great , staff friendly , location perfect ... absolutely nothing complain ! 
 Mar 27 2007 	 Downtown Manhattan -love 	 wife travel New York city little get away . stay omni hotels.com hotel perfect . turn service , great bar & amp ; restaurant . room tray ceiling terrific . shower huge comfortable . walk every where- broadway , times square , flea market weekend . great door man make hotel . never talk desk concierge , door man take care everything ! 
 Mar 20 2007 	 FRIENDLY / HELPFUL 	 nice place , stay friday 3 - 16 - 07 ( mini blizzard ) sunday 3 - 18 - 07 . town Saint Patrick 's Day parade , less block walking distance , convenient , could hear parade room , nice . close radio city rock . center walk often . spotless room , around staff friendly helpful , would definately return . 
 Mar 19 2007 	 Loved ! 	 genuinely friendly staff . clean room , nice amenity . informative AVAILABLE concierge . ( ' ve stay place could never reach concierge phone , would wait line lobby . ) great location ( near Rockefeller Plaza ) . hotel program worth join ( free breakfast beverage , free internet access , turn - down service chocolate ) . definitely stay . 
 Mar 14 2007 	 Great Stay 	 Omni comfortable clean . group 3 room , one check - in incident . request non - smoking stay smoking room one night , switch . , enjoyable stay . hotel restaraunt expensive ( $ 7 cup tea ) , however hear food good . concierge staff fantastic helpful , especially make recommendation direction . location great ; block ( 1 - 5 ) shopping , subway , Rockefeller Plaza , theatre . 
 Mar 11 2007 	 Pretty ridiculous 	 read great review hotel , decide stay past weekend . literally stay every hotel ny pretty bad . suppose superior room , due delayed flight do not check hotel 1 . sell room stick we double room . room small , could not pass somebody foot bed . smal hotel ever . fantastic view outside city worker tear building start 5 morning do not end till 9 night everyday . feel hotel give guest warning noise level outside , discount room noise . never room service can not tell . one elevator service wait minimum 10 minute floor get overly pack elevator . room key two occasion do not work , loud neighbor room next door . do not recommend hotel anyone . especially use high end hotel ! 
 Feb 27 2007 	 great ! really please change Omni ! 	 originally book Novotel , talk experienced friend , decide opt different area ! choose Omni offering stay three night get fourth free ! ! although deal attract we , later find well price -- -.com please . the hotel fantastic location , 5th Avenue Madison . walk nearly everywhere everything close . the room really clean well furnished . liitle small side , sleep end day , not matter , really comfortable . you must go toysrus see huge carousel T'rex ! ! oh recommend Bubbagump shrimp company restaurant Times Square ! ! 
 Feb 20 2007 	 Nice Accomodation Great Service 	 hotel clean furnishing nice . staff efficient friendly enough . location convenient business area necessarily main tourist area . 
 Feb 19 2007 	 Excellent weekend stay Omni Berkshire Place 	 back President 's Day weekend stay Omni Berkshire Place . generally bias chain look boutique hotel Muse ( ' ve love past ) , see extremely low rate extremely positive review TripAdvisor decide book Omni take risk stay might quite & quot ; special . & quot ; short , ' m going tell anything not cover review . join Omni frequent guest program request high room away construction . room quiet quite large New York , modern clean , luxurious overly formal , king bed plump pillow & amp ; duvet , real 3 - way light , CD / Stereo , large bathroom good lighting , plenty water pressure , 2 large cotton robe , complimentary high speed internet beverage deliver room morning Times . hotel staff well train professional , eager meet every need . short , thrilled , bargain . would stay Omni Berkshire without hesitation . 
 Feb 19 2007 	 Location location location ! ! ! 	 hotel location ... shopper , suggest stay . sandwich 5th Madison , great shopping surround . concierge fairly helpful . doorman hard time hail cab due horrific weather location side street head east bind , time hoof 5th Ave grab cab corner . cold week January big birthday . nearly freeze death Miami , thus complain . as healthy eater , not really anything around hotel , unless want go whole food cab downtown organic healthy place be . the room decent water pressure good . not eat meal hotel except tea spinach , can not really comment dining hotel . one thing stand try hook computer , tech support great , , okay , thumb ! ! also , 's location side street , room quiet , may plus traffic noise bother light sleeper . they close american girl even one front desk . unfortunately , not 9 year old would blow gasket seeing & quot ; Molly & quot ; perch desk & quot ; ! ! ! amercian girl close every little girl love place . would stay , , pick place , depend need , place great value look location , good place nice staff . I think May , would much well thing say , however busy warm scrounge food stay . 
 Feb 12 2007 	 wonderful stay Omni Berkshire 	 husband spend lovely Saturday night Omni Berkshire Place 1/27/07 . book hotel room website get great government discount . read prior review TripAdvisor regard current construction , e - mail hotel advise spend night part husband 's birthday celebration request place high level floor away construction noise . check , give rate quote online request non - smoking , king bed room . pleasantly surprised , however , enter room 19th floor . apparently all - suite floor . one consider & quot ; small & quot ; suite , could happy room . separate living area rather large , pull - out sofa , several chair , desk , flat screen t.v . , minibar , several floor ceiling window lead wrap - around balcony ( corner suite ) . bathroom luxurious , large soak tub , oversized shower , plenty counter space , fluffy towel lovely amenity . bedroom least large , large , hotel room stay past , floor ceiling window , t.v . armoire , loveseat . addition , living area bedroom digital thermostat control . would highly recommend hotel anyone look spend special evening two city . room wonderful , every member staff come contact , especially concierge , incredibly helpful . one helpful hint mention posting board - sign Select Guest program prior book room . upon check - in , give menu several beverage option , choose two deliver room time choice free charge . consider expensive room service , welcome added & quot ; bonus . & quot ; 
 Feb 11 2007 	 well - run solid four star hotel 	 return weekend Omni Berkshire pleasantly surprise hotel quality professional service . room modern , well - appionte , clean , excellent bed , public area high quality . service match quality room . particularly nice touch occur doorman kindly ask remember thing easily forget : cell phone battery charger . the good part stay Omni & quot ; Select Guest & quot ; benefit provide hotel . sign free frequent guest & quot ; Select Guest & quot ; program , hotel provide free wi - fi free morning , in - room delivery large range hot cold beverage newspaper . nice touch . in opinion , Omni Berkshire solid four star property will stay . 
 Feb 8 2007 	 Great Hotel ! Great Location ! 	 stay Omni January one night ticket broadway play . turn onto street hotel , blink , might pass . go back around . , however , bell captain valet come right we take luggage car . arrive bit early , difficulty get room right away . the room spacious 2 bed good - size bathroom . bathroom nicely appoint marble plenty toiletry extra towel ( something really cherish hotel ) . hotel wireless internet good number tv channel . the hotel locate close Times Square heart Theatre District . concierge ( ) friendly direct we wonderful restaurant nice place dessert play . specific request fulfil exactly . if join guest program , little perk like get free beverage deliver room morning . hot chocolate delicious ! nice stay . friendly , courteous staff , great location , clean room nicely stock bathroom . wonderful performance Lion King top great weekend ! 
 Feb 1 2007 	 brilliant location nice room . recommend ! 	 stay mom sister girl shopping trip November . location hotel perfect shopping Madison 5th . be really near Saks , walkable Barneys Henri Bendel short cab ride Bloomies ! room good size NYC comfortable quiet . muted colour , fairly standard 4 - 5 * hotel . bathroom spacious clean nice freebie hairdryer . not eat hotel use deli opposite great coffee bagel morning ! complaint could not get internet room work take bill invite use connection business centre v well equipped . nice hotel , lovely room , great location ! 
 Jan 19 2007 	 Great 	 Hotel great . book regular twin room upgrade 1 bedroom suite . room spacious , usually room NYC small . great amenity . join special guest program morning juice coffee deliver free room service . staff absolutly magnificent . stay every Christmas doorman remember we . would not stay anywhere else . we get really low price one discount website , call hotel book thru match price , even give we early check 11am late check 5pm . almost unheard hotel day . 
