great 	 Hotel describe whilst obvious work go hotel never hear anything . staff always polite welcome situ ideal . would recommend Old Pancake House breakfast , per trip advisor recommendation , superb quality value . 
 Oct 26 2006 	 great location so - so service 	 stay hotel one night Chicago Marathon . room nice , recently update really nice bathroom . small , bad . front desk help seem clueless marathon coffee available 7:00 ( 7:00 ) . suggest could pay breakfast buffet get coffee . find coffee shop street . ask late check tell would cost $ 50 . pretty nice hotel , can not judge completely marathon weekend , probably would stay somewhere different next time . great location complaint room , service pretty unfriendly unaccommodate . 
 Oct 25 2006 	 Service nice bed 	 also negative check - in experience , include adminshment check early , , . service continue negative factor stay . housecleaning room come back pre - theater break 4:30pm ; tub back one shower first morning take 30 min someone would even come partial job leaving & quot ; go meet . & quot ; not able check 30 minute later state time , would make much easy get train station . room make - bed comfortable , two suitcase rack , comfy terrycloth robe nice view Michigan Ave ( little Lake Michigan ) . think location perfect shopping want , walk distance two restaurant would want eat at . we tell cab driver hotel Michael Jordan use stay - maybe tell tourist , ' m pretty sure Jordan could well ( could anyone ) . 
 Oct 3 2006 	 go downhill fast ! 	 Hotel look shabby . non - smoking room smell badly cigarette smoke . leave early smoke odor , try collect cancellation fee early departure . not pay ! not back . staff helpful corridor noise horrendous . lovely old property clearly fall hard time 
 Sep 17 2006 	 quaint little oasis mist bustle Chicago 	 book room use [ -- - ] daughter stay 5 day Labor Day weekend . book hotel / air package . I call airport leave check make sure expect we talk NEGATIVE lady ! ask could queen king two double bed tell since book internet website ( arrogance voice ) would supply double ! ! short . tell fine would make , transfered front desk . tell gentleman , have call make sure room inquire bed informed way could change double queen , king two double FINE . problem . really upset lady rude . anyway , may , postive experience Whitehall . Freddie , greet we front desk PERFECT representative hotel ! ! apoligize misunderstanding tell double would fine agree have comfortable space present we king room ! say , generosity graciousness , along friendliness staff hotel strive order add extra touch often miss large nonpersonal & quot ; super - mega & quot ; hotel . we stay 8th floor . unlike previous review , not hardwood floor carpeting . bath bed spotless ! say reviews love cover comforter white bedding . know be clean bed 's little hard mask spot white linen . the furniture room bit wear tasteful hallway carpet need replace . say , need agree daughter ' m glad hotel take care important thing renovate first , like bath bed . live . ice machine hotel provide ice complimentary ( call room service ) . not use service ' m sure use , small tip would appropriate . take advantage free coffee tea lobby morning . brew perfectly . offer real cream creamer nice touch . there two elevator Labor Day weekend abundance guest wait couple time elevator full return floor within minute . location hotel one 's good selling point . be half block Michigan Avenue half block Rush Street . walk everywhere be walk , cab transportation right door . little hotel unique . hate hotel large , feel like be lose cruise ship ! hotel not everyone . be old , therefore historical another reason love . 's lush , tasteful bit european charm throw . room not memorable bed spotless clean well bathroom . sink small back problem morning everyone use plumbing eventually drain minute . could not ask well friendly staff . also , daugther man follow we hotel elevator figure , follow we elevator . moment step elevator , put together door closing tell man elevator . call security . also maid floor tell stand near door . already confront man tell need leave not guest . security within minute deal man talk we order make report . aware surrounding not realize have try touch daughter elevator ! have know , would never get would stay guest ( man wife ) report . ( safety number ) could ruin stay not handle professionally quickly feel safe stay aware rest stay . 
 Sep 9 2006 	 Location Location Location 	 love Whitehall hotel . bed comfortable difficult time get family motivated get explore . service staff excellent . would stay ! be look historic charm ( build 1928 , recently renovate ) , hotel . room hardwood floor feather bed . important , welcome 9 - yr - old . location perfect sightseeing Chicago . Hancock Observatory practically across street . famous restaurant , shopping , etc . walk distance Taxi 's line street waiting take need go . , subway two block away . go game Wrigley field easy . note : two group , would recommend take taxi airport versus shuttle . 
 Sep 3 2006 	 accomodate accomodation ! 	 call hotel stay request room high floor ( non smoking go 11th floor ) . accomodate . room 10th floor ( 1012 ) new surface entire room . yes , stain hallway carpet , place busy , bad . reservation post Wrong date & quot ; last Minute Travel & quot ; , sure print take receipt . , Freddie , front desk , great job get we , matter say computer . entire stay , Freddie wealth help , information friendly service , everyone hotel ! room view , everything else perfect , bed heavenly ! Maid service good , well . vend hotel , go small uptown grocery store quick stop near hotel drink snack . bring ice room prompt ; tip 2 dollar - very worth ! Concierge Ron find we awesome place eat special dinner , take upon tell honeymoon Spiaggia , get extra special treatment . location hotel Prime shopping , sight eatery , . ( go Sarah 's bakery Rush street , 2 block walk hotel ! : ) Doormen bellmen friendly helpful time , agree would definitely stay , encounter problem kind whitehall ; great group people go way make stay Pleasure , nice place ! 
 Aug 24 2006 	 Great Hotel great location 	 stay 5 night Whitehall Hotel little aprehensive read previous review , presently surprised . hotel great / safe location , 2 min walk Hancock Tower ( go cocktail Signature Lounge ) magnificant mile shop restaurant . room perfect need , spend little time room . spotlessly clean bed extremely comfortable . room right across lift point noise problem . all staff friendly , helpful approachable felt welcome . there free tea coffee available morning near lobby handy coffee make facility room metro stop 5 minute walk hotel travel city $ 2 trip use get airport baseball . Chicago great city would hesitation use hotel future visit . 
 Jul 25 2006 	 Welcoming 	 take 6 year old daughter Chicago 2 night stay , pick Whitehall use site review . location , mention , PERFECT shopping ( American Girl Place especially ) ! old hotel , not expect modern , not . greet warmly welcomingly time enter door . doorman open door we time , say , & quot ; welcome back . & quot ; like touch , daughter feel like princess . price can not beat location . agree ceiling bathroom little worn , not look : ) would stay ! 
 Jul 18 2006 	 can not beat location ! 	 stay Chicago 2 night mainly siteseee & amp ; relax weekend . student tight budget look hotel cheap metro area . ' ve position know hard thing find . Whitehall Hotel offer prime location 's price . heart Magnificant Mile , walk distance great store , water tower , Hancock Building even Loop . staff friendly ready help . room god bite small , not mind . big group would not recommend . bed , however , INCREDIBLE soft comfortable . loved ! view not spectacular be not stay view anyhow . think complaint would charge $ 50 fee use internet jsut & quot ; verify & quot ; credit card even though already $ 10 per 24 hour period use . question front desk say verification would not come check account , however , contact accounting office several time get resolve . fantastic stay 
 Jul 5 2006 	 wow ! place wonderful ! ! ! 	 book Whitehall Hotel July 1st -- one night stay Chicago -- go watch daughter boyfriend skydive nearby Chicagoland Skydiving Club . get FABULOUS price ( $ 128 ) via LastMinuteTravel [ -- ] , figure would get interior room low floor . however , could pleased ! ! ! ! get corner room top floor overlook Lake Michigan . huge bay window window seat one side room small window face lake Michigan Avenue side . bed like & quot ; Heavenly Beds & quot ; Westin . feather bed top mattress comforter pillow top . COMFORTABLE . decor absolutely beautiful -- rather old european style dark ornate woodwork . bathroom small impeccably clean well - decorate . & quot ; problem & quot ; want call really problem , considerate way management handle . first arrive , air conditioner working room process replace . allow we bring belonging room check - in time , want repairman 's way , daughter take shop Michigan Avenue , husband go restuarant first floor grab bite eat . finish eat , tell would charge food problem air conditioner -- pleasant surprise ! ! ! air conditioner replace run perfectly time get back room . would DEFINITELY stay ! great location , great hotel , great room , great staff . rate A+++++ . definitely top - notch . can not get much well ! ! ! 
 Jun 21 2006 	 comfortable clean 	 reading mixed review hotel , arrive trepidation , especially job involve stay lot hotel , standrad quite high . however , pleasantly surprise - maybe get lucky room . long journey London , sooo ready shower lie . staff greet pleasant helpful check fairly quickly . initial impression Reception area calm , elegant nicely decorate . the room perfect need - lovely big bed plump quilt pillow . bathroom clean shower welcoming . sleep well bed . although describe boutique hotel , not quite follow definition Europe part world , see - boutique minimalist line , neutral colour , modern / contemporary , little fuss . however , would still describe luxurious hotel , style comfortable . the location - well , be 2 min walk Magnificent Mile , nothing wrong ! 
 May 31 2006 	 little slice hell ... 	 stay Whitehall , laugh comment describe Whitehall & quot ; little slice heaven . & quot ; clearly , stay different hotel . end Whitehall thank great Priceline rate & quot ; boutique & quot ; hotel ( really , really cheap worth ) . room dirty small . carpet badly stain . room smell . shower fall apart . tv not work properly . staff snooty max . this truly bad hotel . really , really bad . location amazingly good , 's hotel 's accomplishment . 
 May 7 2006 	 poor service shabby room 	 arrive find room double request . Front desk staff rectify problem comment rudely make reservation directly hotel would run problem . room subpar well . mold grow ceiling bed water leak . bathroom crack tile , dent scuffed wood work , swivel mirror fall wall stain tub . plumbing antiquate along electrical fixture . poor lighting room bathroom . screw light bulb socket table lamp get work . curtain partially rod . rehung . furniture old laminate peeling . complaint manager via email snail mail visit deliver satisfaction . call offer free stay last hear . never receive anything mail . would recommend hotel anyone . 
 Apr 14 2006 	 White Hall Inn 	 stay White Hall Inn problem AC , plumbing issue would liken old faithful friend book king size bed get full size . breakfast , overhear several guest complain similar problem . management refuse anything comp breakfast , lot morning . 
 Apr 8 2006 	 prime location excellent price 	 stay last week Whitehall Hotel . like one refurnish bathroom room pleasant . good hotel location . right front four season hotel , 1/2 block magnificent mile , can not dream well spot price . 
 Mar 24 2006 	 smart hotel 	 arrive back five day trip Chicago , stay Whitehall . first location excellent , fifty yard Michigan Ave short walk towards Division street host pub restaurant . check Hotel greet lovely receptionist stroke luck married scotsman , therefore could understand dulcit tone . place 12th floor look East Delaware , much view spend little time room anyway . room massive huge bed , impeccably decorate lay , hallmark upmarket hotel price . also never hear sound guest room , ( maybe empty ) , also complimentary coffee morning refreshing touch . concierge go way time help we , even phone one contact get us airport , price smart car load room . sum good choice hotel excellent location great helpful staff , go back next summer , concierge tell e - mail directly see allright room rate . can not ask anything well . 
 Jan 2 2006 	 staff great property OK 	 stay whitehall new year . staff helpful friendly . Virgina Julia cheerful go way help recomedation , concierge available . unfortunately , chat front desk staff frequently interrupt ring phone . travel quite bit , never witness anything quite like . not operator employee charge answer phone ? girl desk swamp reservation call , even room service order time ! much go one get attention deserve . staff Whitehall great , understaffe put everyone , guest employee alike , poor situtation . must say aspect hotel charming could not well location , circumstance live somewhat & quot ; overly - glowing & quot ; review . treat well hotel average old . feel like celebrity ! lap Luxury ! sure tip like mad man work hotel 's sale team able write review like , event , hotel fine , good feature , staff , work appreciate . likely stay elsewhere . 
 Dec 22 2005 	 Chicago 's Pristine Gem 	 Luxury Hotel absolute understatement come little slice heaven nestle downtown heart Windy City . Whitehall Hotel gleam paragon outshine competition ease . travel agent , know look expect luxury property never fall short , always go beyond meet need visit , need every client ' ve send ... send lot client Whitehall . ground , every guest treat like Donald Trump Bill Gates . can not ask well concierge , dare anyone field find well room service . the fitness center also superb . valet curtious quick without hazard . recommend property regularly client charm consistently steadily speak . 
 Nov 21 2005 	 nice place 	 Gold Coast package include parking breakfast room 14th floor partial view lake . hotel cater business people vacation . hotel quiet bed extremely comfortable . quibble heat -- -I suspect 's control front desk even though make big deal thermostat ( never respond unless call front desk -- - November would get cold room ) . be within easy walk distance Visitor Information Center bus line . hotel staff helpful onsite restaurant / bar fine breakfast lunch . 
 Nov 21 2005 	 tired overrate 	 Whitehall advertize Chicago 's premier hotel . unfortunately , day long go . although bar lobby faintly echo lose day glory , hall dirty smell stale , room damage furniture , bathroom tiny dark . bad , manager surly person park vehicle careless item store vehicle . appear give & quot ; Ferris Bueller & quot ; treatment . stay Chicago frequently , one place revisit . 
 Nov 18 2005 	 Felt like come home 	 travel Chicago quite often business love hotel . I alwasy feel home comfortable . ask Delaware Suite great warm inviting . the bar pizza oven next door great dark wood add feel comfort . this place stay town stay high end hotel . 
 Nov 12 2005 	 classic need renovation 	 lovely old hotel , one badly need renovation regain luxury status . furniture wear , bathroom outdate . concierge knowledgeable . staff courteous . location ideal . spruce , would first - rate choice . New Yorker 
 Oct 15 2005 	 30 minute hotel enough ! 	 stay hotel last week business . stay exactly 30minute ! flight london boutique hotel , endorse lead hotel world sound great . 5 reason go Whitehall Hotel:1 . Musty , dirty hotel.2 . dirty , Bathrooms tap etc come hand.3 . Piles dirty bedsheet inthe corridor outside door.4 . wear carpet , yellow wall surface dust everywhere.5 . rude discurteous hotel manager every come accrossescaping option unlike reviewer bargin way $ 100 ! four season accross road move find incredulous fantastic , get suite $ 20 . service ! know revisit future . 
 Sep 22 2005 	 Impressed 	 Read review chose Whitehall . like anything else range excellent poor . favorably impressed . location excellent . Desk maid service excellent . hotel staff , include Concerige excellent . certainly find stay comfortable enjoyable . 
 Aug 30 2005 	 disappointed ! 	 reserve several week ahead request quiet location . place corner room large fan adjacent building side room . room sound like next freeway night . room tired appearance . safe room would close . bathroom turn need lot clean repair . shower grout black several area , ceiling part shower area peel , stopper take bath . dress mirror would stay place . location good , hotel need refurbishing , honor client request place room . we offer different room decline . cancel balance stay staff want charge we cancellation fee . manager call cancellation fee . we move lovely hotel block away simular rate . 
 Aug 29 2005 	 Great Location - need update 	 whitehall solid reputation service , location amenity . agree service - EXCELLENT , doorman front desk housekeeping . location EXCELLENT - shop nightlife within walking distance . comforter pillow nice touch . however amenity bit ragged side - room slow drain bathtub , dirty carpeting , chip worn tile bathroom , poorly light powder room , towel ring come hand towel holder , curtain rod sheer come ceiling try draw drape . yike ! updating definitely need ! ! 
 Aug 25 2005 	 Happy Happy Happy 	 Whitehall great ! ! ! ! super snooty stay home butler make coffee . I 20th Aug. old sister start Gal front d ( @ 3 pm ) say room not ready . ( Super Sweet .... say 10 - 15 Minutes would ready ) instead throw hissie fit , ask hotel bar . sat sister ask get free drink room ready yet ? TONY bar manager time say & quot ; well sure & quot ; do . and another staff lounge bar fun full info dine , lunch , dinner , shop , dance , people watch . ( Air Show go ) room go ......... wonderful ! two double bed view lake . lucke corner room ! ! ! ! staff sweet we , yes open door we . remembered name . key Hotel treat staff like would treat friend walk home . treat extra nice , . someone come home start complain thread count selection wine pick night etc , apoligize tend guest open arm . but deal ........ 20 + floor home . so think bad remark need settle bit look whitehall great hotel . Tony , Joe , Leo ..... Wonderful Bar / ReatrauantThe location wonderful ! ! ! ! doormen great . keep bag check tip top . so , yes Chicago , many hotel choose , BUTThe Whitehall wonderful job ! ! ! ! ! 
 Aug 19 2005 	 saga begin 	 upon arrival mistook young man hotel uniform someone would open door help luggage . since ' case lugged baggage unmanned front desk . staff member materialize inquire dining option . note bar would shut ' well go elsewhere order 24 hour room service menu . tired hungry ask could order send . good , ' phone room . minute later woman take order via phone sandwich couple beer , foam pillow . inform , " Dinner would way shortly , however drink order ten minute ago bartender still duty . " decide raid mini bar watch tv wait . strangely remote miss . uniformed guy reappear deliver sandwich . inquire pillow , perform enthusiastic search empty closet . conclude closet still bare , helpfully suggest pillow must remove accommodate another guest since none leave housekeeping . thing know go : -Upon request special special remote control make channel go deliver room -lingere first cup coffee frown ; refill stop 9:45.-pinnacle King Rooms average size miniature bathroom - ice precious commodity distribute room service - hail taxi reliable counting concierge remember arrange transportation , even stand right front he - the business amenity great long bring machine ' need business center - request complaint meet attitude sarcasm front deskmost importantly learn walk away sometimes good option . ten dollar per night Westin across street helpful staff , functional business center , spacious bath , plenty pillow option . special treat fully functional remote supply room . 
 Aug 16 2005 	 Nice - would go back 	 daughter spend Aug. 12 -14 Whitehall . call several day check - in request room nice view . get 17th floor look another building fine . not stay room much anyhow inorder sightsee . hotel location great ! go right block catch free trolley doubledecker bus . thing within walking distance . Hancock Observatory right street great meal Cheesecake Factory patio . also grab quick burger Johnny Rockets corner Whitehall . excellent italian restaurant call Papa Milanos couple block away . reception girl pleasant friendly Whitehall , doorman , valet . room nice double bed , new carpet , plenty lights/ lamp . furniture quaint excellent condition , bed - great sleeping . mirror plentiful - full length double slide closet door , huge mirror desk , bathroom . drape fine condition , window clean . air conditioner work great . 3 phone - one desk , one nightstand , one bathroom . bathroom large , clean , lovely tile flooring , large vanity , hairdryer . ( room also iron iron board . ) concierge excellent - Ronald Tim . not rush we need map info . get ice , call room service . bring within 5 min . adjoining lounge relax atmosphere piano player singer . not check fitness room - time . would stay . pleasant experience Whitehall Hotel . 
 Jul 29 2005 	 extreme disappointment 	 make reservation one night ( -- - ) . prepay rec would confirmation notice whitehall . drive Little Rock , AR Chicago arrive 10 pm check confirmation hand , tell McKenzie Whitehall front desk room family . guest extend stay . attempt send we 2 star hotel street drive desperation , would not let dog spend night hotel find we . therefore drive back Whitehall , tell room we , would not refund money pre pay night time manager get rude we . drive 3o minute outside Chicago find another hotel , check one finally 1:30pm . whitehall staff care pay customer . would recommend stay bad enemy . good business person would tell guest request long stay pre - pay customer check evening room need find alternate lodging , person arrive 10 pm believing room stay . 
 Jul 21 2005 	 Great Location 	 get room $ 140 hotwire one night . loved location . room nice sized bathroom . care front desk gal . , concierge helpful guide we El Cubs game . neighborhood great . 
 Jul 1 2005 	 not want believe 	 travel agent book stay we , hope would get one well room . case . $ 269 / night , show tiny , dingy , musty old room window face blank wall . furniture outdate , wallpaper try unsuccessfully mask large crack one wall . bathroom big enough two people . really old crack tile floor shower mildew beyond belief ! call desk clerk immediately simply say room unacceptable ask another . say would call back two minute . 15 minute without reply , call ; forget ! time say could move one & quot ; nice , recently refurbish room club level & quot ; get believe Whitehall not know well . room large , apparent crack , little view city around corner brick ell . however , dark granite replace old tile bathroom not quite hide mildew corner , furniture exactly first room . one good thing stand -- bed room : comfortable , luxurious fine linen . never offer club level amenity , keep we 4 night concierge staff ( Tim exceptional ! ) , location , bed ! take away three thing , $ 80 / night Best western so - so housekeeping . way , friend ' room lumpy carpeting trick negotiate walk ; show another room not much well . , however , much new , nice furniture ! 
 Jun 28 2005 	 Poor Reception 	 stay week Chicago work colleague June 05 . hotel busy split week Fairmont ( Great ! ) whitehall . whitehall originally 3 day manage get extra day complete stay . whilst stay Fairmont pop along Whitehall check hotel book twin room 4 day ok . Receptionist say fully book booking problem . but actually come book Whitehall receptionist first deny 4 day book dug paperwork prove . say would check room next day belonging check back again . then say queen bed available . want sleep another man sleep uncomfortable rollaway bed . bathroom cramp towel rack toilet pull towel facecloth fall toilet . after complain book agency tell catch manager 7 am . finally twin room we , move luggage go work . when return new key card work trail reception . reception say send another couple room complain luggage room . give we replacement card work follow day . overall hotel fine clean , doormen great reception staff need get act together . pay $ 200 per night sleep rollaway bed especially go round hotel day double check everything ok . 
 Jun 26 2005 	 Boutique cette inconnue . 	 somebody explain management establishment qualification BOUTIQUE stand & quot ; small & amp ; sofisticated & quot ; , & quot ; small , decrepit , dusty & amp ; noisy & quot ; . unfortunately , american people fascinate Europe tend accept every forgery European Establishment , whether british , Italianate even French - looking , forgive every possible drawback . in fact , hotel , way , peculiarly encompass bad european hotel ( small room , tiny bathroom , dingy hallway , crammed elevator , funny reception , pretentious common area ) bad american establishment ( noisy AC , bad food , mediocre toiletry , neighbour sex 4 a.m. rude yobs country spend W.E . Big City ) .But depress : bed extremely comfortable , room clean , doorman friendly all - black - young woman frontdesk crisp , attentive ( ) exotic . bar indeed nice . all 239 $ night . well somewhere else . 
 Jun 21 2005 	 Great Hotel Service Location 	 complete extremely pleasant stay Whitehall Hotel . hotel perfect location , room wonderful , service great . never open door walk hotel , concierge extremely friendly reservation , complimentary limo ride restaurant . excellent conversation limo driver , Colin , courteous . certainly stay whitehall near future ! ! 
 Jun 19 2005 	 wonderful Serivce 	 pleasure stay Whitehall Hotel weekend June 10th . room classically dress , clean quite large enough 2 people . bathroom roomy well . really stand we , incredible serice everyone staff give . always greet door hold open we . concierge helpful ticket museum , map specific direction L & amp ; bus . Fornetto Mei wonderful . certainly stay old gem place ! 
 Jun 19 2005 	 Great Price Great Neighborhood 	 stay Whitehall second week June . several convention town , hotel raise room rate full fare -- whitehall $ 169 night find . try stay away large corporate style hotel possible since find service personal touch small hotel friendly personal . whitehall disappoint measure . room plenty spacious clean . staff friendly accomodate . Quirky holdover day past include small elevator small hallway . ice machine , deliver bucket request within minute . grocery store , restaurant transportation within short walk . decent fitness center complimentary morning coffee / tea make altogether excellent stay . give Whitehall Hilton day . 
 Jun 6 2005 	 way overprice 	 stay Whitehall past weekend- great location , be say positive . room small dirty , staff indifferent , toilet break weekend ( report ) , amenity ( e.g . newspaper , coffee maker ) . would certainly stay . 
 may 28 2005 	 Know love Whitehall ... 	 wife spend 4 day Whitehall absolutely love ! research hotel trip advisor ahead time , review admittedly bite disconcert . read enough & quot ; line & quot ; bad review realize probably place – ! important thing know whitehall boutique hotel , " mega - tel " . small , quiet , elegant , personal . fit personality disappoint . otherwise be like find diamond ! Front Desk : counter staff superior , go way make we feel home . shift change prove service status quo every request handle impeccably . room : stay king - room Pinnacle level , fabulous . room 's furnishing attractive proper . nothing overuse worn . saw mildew , stain , peel paint , thing mention review . contrary , top notch linen exquisite . food : multiple use room service prove fare wonderful . crave home make potato chip fontina cheese fondue next time need snack . service always quick professional , need inspiration , give wonderful idea entree snack . concierge : unfortunately , we , sore spot disappointment early review . not want focus hotel review one person will spare detail , result misadventure could achieve sans $ 20 tip . plan continue use concierge service , let know misfortune . unfortunately , make attempt recover . therefore , spend $ 9.95 day internet access everything else . maybe bad day new / different concierge , aware . location : other cover , even bad review concur , will not belabor point ... perfect . whitehall could well spot dining , shopping , sight - seeing . so come want : see historical relevance charm small wood - panel elevator ( yes , wood creak ) Whitehall may place . find quality important quantity enjoy personal touch come accommodate staff , ' get place . contemplate Whitehall type hotel appeal , sure enjoy much . currently plan next visit . 
 may 24 2005 	 Great Hotel .... 	 5/24/05we return 6 night stay Whitehall Hotel . location fabulous , 1/2 block Michigan Avenue . hotel small chic property , across street Four Seasons . room club floor beautifully furnish traditional decor . room datum port , fee $ 9.95/24 hour seem reasonable big city hotel . room include breakfast , good , one cocktail evening , hors'de'ourve , serve bar . bar area relax , like library . weekend piano player vocalist , nice touch . only complaint ...... area hotel construction , affect water pressure shower .... sometimes water stop mid shower .... come back second .. annoying . all good stay , would definitely stay . staff helpful reservation recommendation . 
 Apr 11 2005 	 Travelzoo Deal over - price Over - rate 	 see new option tripadvisor.com allow add photo ! wish take picture peel paint , mildew shower curtain , water stain ceiling , grungy carpeting , dirty grout ... get picture , special place , & quot ; boutique & quot ; hotel , would like think make reservation ! 's be look , stay around corner Tremont ! yes , get bargain price $ 139 weekend Travelzoo special , plenty hotel ( even similar excellent location ) get kind price weekend Chicago . would echo early review tripadvisor.com : & quot ; whitehall list publication & quot ; Best Small Hotels World . & quot ; please . whitehall bad Chicago hotel ever misfortune stay . the location excellent - one block west Michigan Avenue . 's good news end . staff uppity . room small . hotel badly worn , need face lift . noise pipe awful . this expensive hotel . price stay wondeful Chicago hotels - Fairmont , Peninsula , Meridien , Intercontinental . do favor - avoid Whitehall . & quot ; 
 Mar 28 2005 	 Loved Whitehall 	 wife andi stay Whitehall 25th wedding anniversary . it first trip Chicago , wife mother many time stay Whitehall always nice stay . I great time . I think hotel first rate . we problem room ready , arrive take time sightsee . I find staff helpful , room clean wonderful view.the bar perfect . to people complain { may legit } top vicious . and ' m sure hotel glad people back . it make easy get next room spring . we feel Whitehall rule . 
 Mar 15 2005 	 nice old 	 stay Whitehall Hotel weekend March . hotel great location right Michigan Ave close Oak Street , badly need renovation . one elevator break entire time guest force choose one work lobby freight elevator near kitchen . room quite spacious floor noisy wall thin . , good value , could well . 
 Mar 13 2005 	 wonderful time ! 	 return trip Chicago Whitehall Hotel wonderful place we stay . staff friendly helpful . room great , wonderful furnishing , spacious , clean . consider picky come hotel would highly recommend hotel . read reviews hotel find many unfair . yes , pipe loud times- old building- give 's charm . different type room , mother 's room fancy , still nice . location can not beat . great trip would . 
 Feb 1 2005 	 Darrin 	 not know problem people write review , stay whitehall wonderful ! ! absolute delight mainly due Darrin ( front desk agent check ) Monica ( wonderful concierge ) . stay Whitehall Christmas business could not avoid & amp ; naturally depress irritable family holiday . will admit , not want actually want hate . must obvious Darrin check thoughtfully notice would holiday subtly acknowledge must easy away family . say maybe quiet room high floor view would make bit easy ! point laugh hard situation almost glad ! say least brag room phone husband , etc . darrin great obviously intuitive sense people know need -- kind face , good laugh , great room . direct Monica , great concierge ever fortunate enough . knowledgable accomodating ! expert Windy City gentle demeanor reliable friend . say , despite Monica & amp ; Darrin , entire hotel could use facelift . lobby bit dowdy heating unit loud time . could notice , also , huge difference front desk day shift front desk night shift . darrin young woman work day wonderful , night shift seem immature downright unprofessional unruly . restaurant , Fornetto Mei , alright guess ; seem try hard fumble process . obnoxiously loud , bawdy breakfast manager Fornetto Mei need tone . . .alot . early noise . would definately recommend whitehall everyone . . .and pray Darrin Monica ! 
 Nov 20 2004 	 Whitehall Real Gem 	 charming hotel make recent visit Chicago delight . decor pleasant fresh , adequate size room nice , shiny bathroom . provide terry robe eliminate need pack bulky item . light room GREAT , lot wattage reading ( unusual hotel ) . Personnel accommodate . one can not beat location , half block Michigan Avenue . would not hesitate recommend other certainly hope stay . 
 Nov 6 2004 	 whitehall bad 	 stay Whitehall 11/3 - 5 . two adjoining room adequate -- huge , fine . little nervous reading review , pleasantly surprised . get good rate Expedia , much less anywhere else close , would definitely stay . 
 Nov 1 2004 	 avoid whitehall cost ! ! ! 	 whitehall list publication & quot ; Best Small Hotels World . & quot ; please . whitehall bad Chicago hotel ever malfortune stay . the location excellent - one block west Michigan Avenue . 's good news end . staff uppity . room small . hotel badly worn , need face lift . noise pipe awful . this expensive hotel . price stay wondeful Chicago hotels - Fairmont , Peninsula , Meridien , Intercontinental . do favor - avoid Whitehall . 
 Oct 28 2004 	 gracious outstanding service 	 Whitehall Hotel excellent service . OUTSTANDING CONCIERGE . physical facility show bit wear , overall , stay Whitehall excellent experience . 
 Oct 26 2004 	 little gem - Whitehall Hotel 	 recently , spend 3 night Whitehall Hotel north downtown . lcoation excellent - 2 block Michigan Ave . & amp ; 1 mile Navy Pier . hotel staff courteous room decorate nicely terrycloth robe . book show concierge offer town car take we show -- charge ! although eat hotel , plenty restaurant within walking distance . nice place stay reasonably price downtown area . 
 Oct 6 2004 	 four star hotel book 	 moment walk door ASK bellman grab door slam suitcase , terribly disappointed . stand front desk wait check approx . 7 pm bellman go behind desk let receptionist know wait . time later appear mention & quot ; little break & quot ; ! book room hotwire two people give small room ever see full size bed ! ( remember rate 4 star luxury hotel ) . much complain , insist fully book could give we another room , order rollaway . close door room lie bed could not get stand back ! bathroom barely adequate . follow day & quot ; upgrade & quot ; king bed room & quot ; club & quot ; level . aside comforter , furnishing tired . room large bath not . nothing hotel look & quot ; rennovated & quot ; unless be refer something happen 20 year ago . hallway dingy , carpet far new bathroom tiny . spend $ 137 hotwire room two month ago spend $ 99 hotwire absolutely fabulous 4 star room Swiss Hotel . disappoint agree use hotwire sure not stay another hotel like one . 
 Aug 7 2004 	 Classic Whitehall 	 husband andi pleasure stay Whitehall Hotel late July . live Chicago area one time , know hotel history . decide pamp trip stay . location could better access shopping , museum , park , wonderful local eatery . room great view lake Michigan Avenue . Monica , Concierge , fabulous . real plan , hence reservation anything . Monica able recommend get we great table fine restaurant - last minute . take care reservation whatever else want . rest staff equally accomodating . feel welcome end exhaust day . home away home ; classic whitehall . 
 Aug 5 2004 	 great hotel - stay ! ! super service nice room fantastic location 	 stay extend good friend ' weekend . staff terrific door man make point know we assist / welcome come go . restaurant quiet , intimate , excellent food . able walk everywhere - transportation need . room nice bathrobe lovely . hotel personality oppose mega hotel structure . 
 Jul 6 2004 	 Awesome location clean room helpful service 	 suprise review post website . stay weekend Chicago July 2nd please . people front desk friendly , room clean ( although huge ) , location incredible ( near Water Tower right across street Four Seasons ) . although may qualify luxury hotel , certainly affordable great place couple , business traveler , family stay trip Chicago . 
 Jun 29 2004 	 ` ` Wish could marry Front Desk Agent ! 	 stay whitehall couple week ago fall love hotel , city Chicago , one front desk agent . lovely woman name Mackenzie extremely helpful comical make wish stay two night . hotel classic enjoy cozy elevator vintage furnishing . breakfast fabulous , although bar open til 4 spice orange juice item mini bar . ( wink * ) mackenzie kind enough help direct doorman could catch cab full day like call & quot ; smash shopping . & quot ; return shop overjoyed see Mackenzie still . ask ever go home , assure , call desk later night make sure . check next day , glad would return DC wonderful new friend Windy City . already marry wonderful man would seriously consider ask accompany . look forward see Mackenzie Whitehall next time Chicago . 
