good 	 location good , nearby many subway stop . shopping center Macy 's empire state building within walking distance . room comfortable clean , medium size fair size bathroom . give renovate room furniture bed good . room 34th floor view Manhattan incredible ! check smooth never get touch hotel staff : key room also pass hotel facility easy use . provide complimentary wireless connection room plus . try tick tock diner hotel property ` impressed service , clean standard food quality . write bill tip amount request ... needless say go . 
 Serves purpose 	 select hotel , stage grind Macy 's Day Parade . guess tourist advantage centrally locate slightly seedy part town ( especially night ) . staff accommodate , allow late check without problem . size room TINY . guess price expect something slightly big . queen size bed , 2 1/2 foot room side bed . . iron board ROOM SAFE- think odd . bed comfortable enough one night . Bathroom refurbish tiny . necessary toiletry . big complaint though noise alley way , street - 23rd floor . husband could sleep hurricane complain noise level next morning . hotel serve purpose - clean enough centrally locate thought bit expensive actually receive . 
 good hotel large room clean- shame certain unprofessional check - in staff 	 stay new yorker hotel 5 night november . on check course excited arrive NY look forward stay new yorker book 8 month advance . our excitment later turn anger way speak gentleman check we reservation department make book correctly . we book 8 month advance pay £ 100 extra double double room view- website state view city hudson river . when make booking request city view also email hotel 4 week visit request city view . on check advise view ' brick wall ' hotel full . tell person check unacceptable false advertising room state ' City view Hudson river view ' also fair concicdering book far advance request city view could not ignore . the gentleman check become rude totally unprofessional . at time apology understanding , hotel full 8 month ago book & amp ; upgrade room room view acceptable argue back customer . 20 minute fight corner finally offer 2 room , get send go view room . neither city view however one hudson view take room- could not offer first place . I think although job check resolve situation reservation do job properly first place problem would occur . request take concideration make someone booking importantly actually pay . advertise upgrade room say get view give view brick wall , ismisrepresentation , wheather hotel full customer problem sell room 8 month before . I should not argue case give room mine , pay for . our room double double room large , good wardrobe space , clean modern . the maid would come everyday keep room immaculate . the doorman lovely , friendly helpful . great job ! great see security shift 24/7 , always say hello direct area hotel ask . the tick tock diner great value lunch evening meal , porton generous staff friendly . overall happy stay new yorker , room hotel great shame do not good experience check reservation really let hotel . later speak manager apologetic greatly appreciate . would let incident stop stay new yorker future however would hope see reservation check staff improve . 
 Apr 23 2009 	 perfect hotel mini break 	 stay come New York shop take sightsIt metro line JFK right outside 34th street station wander heavy luggage . it five minute walk time square , Macys 2 minute block right centre town really handy subway linethe tick tock diner hotel handy breakfast lunch room lovely comfortable clean , giant double bed , wide screen tv , safe , massive closet shopping iron board . get great view city would stay soon 
 Apr 22 2009 	 look FORWARD NEXT VISIT 	 would recommend traveller use New Yorker Rides . book transport to / from airport hotel . well use yellow cab . Staff Reservation Desk courteous friendly . thank Tony helpful . great location . close Macy 's , Broadway , Times Square Empire State building , etc . ( not miss trip 86th Floor ! ! ) numerous place eat enjoy Tick Tock Diner . open 24 hour day . staff also friendly enjoy scottish banter . recommend New Yorker Hotel New Yorker Rides friend plan visit New York . 
 Apr 21 2009 	 Location 	 husband book 4day trip New York February . stay New Yorker hotel . lobby grand massive chandalier , strong Art Deco influence . pleasantly surprised art deco feel bathroom bedroom . particularly bathroom , rustic vintage feel ! concierge staff helpful , particularly direction recommendation restaurant place visit = ) check - in check - out staff pleasant though ! I m sure much cost visit part package deal flight - plus good exchange rate 2006 ! would recommend hotel would probably stay again . the good thing stay New Yorker location . everything need within comfortable walk distance . empire State Building 2 block away ( go top empire state building , clearly see hotel massive sign ! ) .macey shop department store 4 block away . Madison Square Garden practically across road . Korea town authentic korean bbq 10minute walk away . subway round corner - travel issue . access lot high street retailer fast food chain ( Wendys , TGI , Starbucks etc ) . internet cafe also acceessible ( time ) wireless internet access hotel room available . advice : please warn visit New York February - quite cold ! make sure take winter woolie - coat , glove , scarf ! Hope find review helpful , good luck ! = ) 
 Apr 20 2009 	 Perfect 	 city one night celebrate birthday , blast hotel perfect . it close enough everything want see . clean , quiet friendly reasonably price . 
 Apr 18 2009 	 great location 	 big hotel , suprise good service though . room small , clean , book cheap room , view limit . breakfast house diner ok , bit expensive cafe around corner . overall fab stay would certainly go back 
 Apr 16 2009 	 Excellent location value 	 stay hotel Easter weekend 3 night . despite hotel large able check - in early ( 1 hour early ) without wait . hotel clean modern looking , despite one old hotel NYC . hotel entirely smoke free issue odour . room small expect NYC . enough space keep luggage walk around bed . not spend much time room except sleep . bed comfortable clean rest room bathroom . unfortunately noisy people hall 1 night nothing hold hotel . ear plug good travel tip stay hotel . room flat panel tv station like discovery channel food network pretty big closet . iron board well . bathroom good size . shower change temperature frequently , large hotel old . also bad people say . go ice cold hot can not stand . tolerable . not think make break stay anyways . gripe room draft window see hung window . also slight whistle noise window caulking miss . the location worth every penny . step blue line ( ACE ) , well walk distance red ( 1,2,3 ) line ( walk east 34th 7th ave ) need walk Times Square ( 15 min ) catch train want . highly recommend talk subway get place walk street . really easy use 1 day pass 7.50 usd ( buy machine ) . find good map city subway map set . we use New York Airport Service get hotel ( 21 dollar + tip round trip per person LGA ) , aware expect tip . return pick hotel take directly airport . service actually early issue get airport . overall great hotel . 
 Apr 15 2009 	 excellent choice central everything 	 stay New Yorker late March 5 night , book Airmiles . arrive around 5.30pm tell room ready wait inspection senior cleaning staff . ask could another room travel day able check 3 pm , another room available give key one . room small would expect large city . the hotel excellent location everything . would recommend Bread Factory cafe nearby breakfast . pasty hot drink available reasonable price , also get salad 's , pizza , cheesecake , baguette 's , crisp , cold drink . annoying thing 's New Yorker could hear everything people room next door air vent bathroom , alarm clock , conversation , tv etc water temperature either boil hot freeze cold shower matter time day use , find partically frustrating . hotel staff helpful direction book ticket bus tour etc . basement coin laundry washer dryer ( leave fitness centre ) business centre well equip printer telephone charge internet use . 
 Apr 13 2009 	 Best NYC ! ! 	 excellent location , minute walk time sq , macys empire state building . stay past 2 year . since hotel get takenover Ramada Chain , hotel get refurbish 2007/2008 hence price go slightly . however room pretty much standard , clean aswell . hardly notice fault probably go day . also busy hotel , fit ' busy New york city ' 
 Apr 10 2009 	 great location value 	 stay New Yorker 2 night teenage son . town Spring break see sight show . location across Penn Station Madison Sq Garden excellent- convenient blue red subway line . block Times Square , Theater district , Midtown , etc . room $ 169- typical ny small double bed . nicely furnish . flat screen tv . free wireless work well . see need upgrade & quot ; fast & quot ; wireless $ 9.95 day . we arrive early Monday able put we room 12:30 instead wait 3:00 . find issue unfriendly service , though lot interaction . all , good value location NY . 
 Apr 9 2009 	 Superb fantastic highly recommend 	 nutshell amazing hotel , review say location perfect . flight cancel leave UK arrive day later , hotel do not charge we night miss give we extra night end stay . hassel whatsover . room great , yeah bathroom bit small go New York sit bathroom ? iconic hotel get real feel New York go stay , probably lot Art Deco design . room beautifully design , pay extra $ 113 upgrade New Yorker room well worth . fantastic view also two double bed room ( need one plenty room ) . you re think book hotel could not recommend ! ! 
 Apr 3 2009 	 Excellent 	 mum & amp ; arrive hotel 1 pm , check room 22nd Floor 1.20pm lovely receptionist . problem get early check - in thankfully busy & amp ; room ready . phone day early ask could arranged . we could not fault room - plenty space & amp ; even give mother extra duvet feel cold night . we eat Tick Tock diner next morning & amp ; not knock sock -- prefer breakfast either Port Authority Macys well value & amp ; well selection . when leave Friday hotel get much busy conference & amp ; leave luggage storage room - yes pay 50c per case well worth plus vacate room till 12.cleaning staff knock around 9 am see ok clean room suppose start somewhere be not much nuisance . the Hotel brilliantly locate shop especially Macys , American Eagle & amp ; forever 21 & amp ; Port Authority wish go shop Jersey Gardens . we enjoy stay New Yorker & amp ; would highly recommend hotel age group & amp ; find staff exceptional . 
 Apr 1 2009 	 Fresh Face - Cold Bones 	 stay New Yorker Hotel March ' 09 . hotel obviously remodel . lobby , bar especially room nice , clean attractive . unfortunately bathroom leave lot desire . 's old hotel crust bathroom window layer paint could live . fixture new plus . big negative water . shower water switch scald freeze multiple time . would thought law kind old school plumbing . not remember experience like since kid yell shower & quot ; be use water ! ' m shower & quot ; . needless say avoid New Yorker hear plumbing upgraded.-bob [ -- ] 
 Mar 27 2009 	 amazing location - great trip 	 husband never New York City . fly JFK , take train locate right airport Jamaica Station , way Penn Station . cheap take less 40 minute . penn station climb escalator , arrive street one block hotel . right middle everything ! empire state short walk ! good part literally right across Penn station less 2.00 round trip go everywhere fast ! stay three day , take taxi ! transfer back airport easy . hotel diner ( tick - tock ) cheap , fast good . room clean , bed comfy . view spectacular . complaint husband get warm shower different time everyday , every time get ( different time day ) water scald hot drip faucet ( literally , use sink finish ) time pressure good , cool . think good time actually morning rather night . ( also , can not leave room small compare trip city , know room NY like prepared . everything need room , still cozy . really even inconvienece ) even water problem , would stay heart beat location price . P.S city must see experience ! 
 Mar 24 2009 	 everything promise . 	 travel wife teenage daughter UK NYC March 20th . Read review T / A get bit mixed bag opinion good . attract location fact 24 hr diner witthin hotel . Booked letsgo2.com efficient . Flew Continental Manchester , every bit good . we take train Newark airport Penn Station , 5 min walk hotel . arrival meet front desk helpful Muhammed . ask extend room use 18:00 check day co - incide flight home . get free upgrade suite , sort we $ 75+tax . hotel probably build 1950 's recently full refit . room nothing short perfect . 23rd floor , overlook 8th Ave , Empire State building Madison Square Garden , complete two large flat screen tv's . with 7 elevator , get room lobby never take 5 min . Times Square ten min walk 8th Ave . room service daily , clean staff great . usual visit , good helicopter trip around Manhatten river . be cheap $ 160 inc tax fuel supp worth every penny . suprizingy , use 24 hr MacDonalds outside hotel breakfast every day . without question represent great value money , varied menu . hotel diner find little pricey altho food good . take laptop hotel provide free WiFi useful . shopping clothe , shoe , electronics great look around . store near hotel competative . nearer get Times Square however , dearer get . avoid trendy eatery Greenwich Soho , pay $ 100 diner 3 we , not much tasty MacDonalds ! ! return journey airport , opt use hotel 's transportation service . confirm flight , provide we limo $ 85 . considerably money train ( $ 15 ) much quick . use hotel , look forward go back soon . will not disappoine , less pretty hotel city . glad choose one ( thanx TripAdvisor xx 
 Mar 24 2009 	 1929 - 2009 well do 	 hotel lot history definite art deco feel . New Yorker perfect location . Madison Square Garden across street street Penn Station . walk everywhere , go Times square , Rockefeller Center , St Patrick 's Cathedral , Barking Dog Cafe ball . restaurant row several block away New Yorker find terrific little italian Trattoria . lobby lot seating staff super friendly , respectful helpful . want extra pillow get quickly . reviewer complain room small , maybe , room lack size make chic retro vibe , cleanliness quiet , kid , be quiet . be free HBO later . be stay anyway ? 's enough room comfortable . 's gym downstair check , leave bag security rest day , buck ! .. nice , convenient . , New Yorker pet friendly ... pleased would recommend New Yorker anyone . 
 Mar 12 2009 	 Great Hotel - Excellent Location 	 spend 3 night New Yorker return . really pleased choice . location excellent . close 5th Avenue Times Square . the room small , adequate . complaint drawer space item clother hang wardrobe . end keep case . bed lovely comfy trust long day grateful . find staff friendly professional . we eat Tic Tock Diner 1st morning Eggs Benedict $ 8.95 . also eat Stage Door Deli street find well value . $ 8.95 also get coffee , juice toast . Lunch usually grab hot dog one many stand around city . we dinner Hard Rock cafe , excellent last night splash go Tavern Green . really beautiful . pay equivelent £ 30 entree , prime rib . size joint beef enough feed family 4 . manage 4 mouthful lot expense eat . still lovely end trip . we fly Newark take train . $ 15 way . really easy take 20mins .. thing not bother lot luggage . penn station stair . still struggle small case wheel . result handle break . hotel right opposite station . we grayline 48hour loop sightseeing bus . excellent . hop . guide really great entertaining . other great . take Staten Island ferry free . give great view Manhatten . also get free water taxi include tour ticket . get close Statue Liberty guide staff great . Statue Liberty Sunday morning . pre - pay ticket get go straight . hear horror story qeue hour . guess lucky . love trip New York . really lucky weather . early week snow storm arrival see remnant . Saturday walk around Central Park minus jacket . really warm sun . 
 Mar 11 2009 	 worth return : comfortable great location 	 book reservation online . get pretty good rate , arrive , tell rate computer error instead $ 139 , charge we $ 199.we not happy pay room , management offer we well room : newly renovate , top floor fabulous view . surprised see living room separate bedroom . furnishing really nice Art Deco style . bed really comfortable , white duvet bed reassure clean . many pillow bed sleep , really useful reading bed . I really enjoy stay , will back ! 
 Mar 9 2009 	 appropriate inadequate management response 	 stay Hotel February 2009 six day . room although big satisfactory . benefit hotel : good location , free broadband internet , business center generally room clean . staff , generally courteous nice . problem hotel : quality Staff uniform , lack basic good manner . lack room service & quot ; & quot ; lack restaurant ( one adjacent part hotel ) whose food go atrocious banal ( unless like fast food ) .thre also incident mark stay hotel . come back room stoop security guard Hotel , lady ask room key . dozen customer time , one ask key . lodge complaint frontdesk reply nully . nobody bother even consider possibility wrongdoing apology . management system clearly inappropriate . even know ISO 9000 norm say quality ? hotel may adequate good quick stay , nevertheless price pay , strongly recommend hotel , far superior term answer customer query deliver well service . 
 Mar 6 2009 	 Great Hotel Great Location 	 Excellent room , friendly staff , everything within walking distance , subway station across street . excellect price , bit concerned hotel may like less expensive hotel NYC pleasantly surprise check room . go NYC two girl mother in - law . suite two bathroom bedroom door could put girl bed living room area , also fold bed / couch mother in - law sleep , bed comfortable . 
 Mar 2 2009 	 fantastic location 	 stay last year could well place town . dinner something else food great . room comfortable staff ready assist . would first chouice hotel NY return . 
 Mar 1 2009 	 Great Hotel – Excellent Location 	 back 4 day NY stay New Yorker Hotel ... great hotel fantastic central location , right across road Penn Station ( madison sq gardens ) Macy ' stone throw away . mere 10 min walk Times Square . nice small cosy room 26th floor spotless , modern perfect trip . bed nice cosy complaint . like clean comfortable room , would hesitation recommend hotel . also view Empire State Building nice night . package , quite reasonable hotel central one ny , include continental breakfast voucher Tick Tock Diner attach Hotel . although get tea / coffee croissant / bagel Danish voucher , could breakfast pay extra item morning . although diner expensive ' handy get breakfast start big day sightseeing shopping could ask well location everything short walking distance hotel . watch premiership football dine Tir Na Nog ' Irish Bar beside hotel , side next block great , lunch food lovely . stumble upon fabulous restaurant call ' Ruby Tuesdays ' top Times Sq start finish , food , ambience service absolutly excellent ... recommend enough lovely also reasonably price . also take Grey Line Bus Tour , include free trip yellow water taxi Statue Liberty absolutely brilliant ... host Julie great craic would definitely recommend tour . much see NY much mention fabulous time would definitely recommend New Yorker Hotel . definitely back doubt stay ! ! ! 
 Feb 28 2009 	 Great Location Spotless ! 	 arrive New Yorker impressed . downfall leave wait hour room long haul flight . room ( 2x double ) spacious , extremely clean great view city . bell boy friendly helpful staff greeting upon leave enter hotel every occassion . impressed cleanliness size . room look exactly like website . everything could possibly need get hotel , shop , diner , resturant , laundry , broadway ticket . Lot 's place eat / shop doorstep Macy be across road ! hotel security within hotel check room key one not suppose get , friendly also . fact , good can not wait go back , miss ! ! ! stay . 
 Feb 26 2009 	 ` ` New '' New Yorker INCREDIBLE ! ! 	 6th return hotel exicte see renovation . incredible . feel like transport back 1920 's art deco period walk new revolve door . be hotel Valentine 's weekend bring son 's girlfriend along never stay hotel . want give WOW factor request room great view . view great UNBELIEVABLE ! ! ! right outside suite Empire State Building Chrysler Building . could ask well ! anyone look reasonably price hotel really , really clean check New Yorker . everything doorstep - Subway , Penn Station , shopping , food , etc . locate corner 8th Ave 34th Street . try know like ! ! ! 
 Feb 25 2009 	 right spot right people 	 great location major attraction Midtown . real classic . staff friendly helpful ; room cozy , tidy clean ; overall excellent experience ! 
 Feb 24 2009 	 tiny room ! ! ! ! 	 stay hotel . preference Marriott decide try something new . New Yorker seem good review decent price NY . take two step door bed . complain state use Expedia . finally offer another room extra cost . give 2 option let see first . size ! ! ! ! difference one room two bed not feel big . hotel could great . atmosphere location staff room adequate . 
 Feb 24 2009 	 great location - would recommend 	 stay couple day vacation Dec. ' 08 . main purpose trip general sight - see great location . problem , clean good rate NYC . would stay . 
 Feb 20 2009 	 return ! 	 stay New Yorker 3 night friend think great . price really reasonable centrally locate hotel . although room small side , expect New York anyway . however , view Empire State building room make size . room clean high standard day bed sink - into comfy- need busy day night take everything New York offer . tick tock average- would recommend visit Coopers Bar cocktail ! ' ve New York , next time return New Yorker ( unless win lottery afford Plaza ! ! ! ! ) 
 Feb 19 2009 	 much well expect ! 	 decide hotel stay New York nightmare every hotel find seem negative review include one ! however , end get fed look go New Yorker . anxious arrival read negative comment really really please every aspect hotel ! room quite small end day chance go New York stay room ! concierge service fantastic , cleanliness hotel also superb location great everything want within walking distance ! would definately recommend hotel anyone go New York city break ! 
 Feb 17 2009 	 fantastic location 	 hotel art deco appearance , iconic . lobby look little tired feel though back time , atmospheric . probably see picture famous red sign illuminate New York skyline . the room spacious clean . bed comfortable . Wifi available throughout hotel . diner attach hotel great value breakfast , egg easy , BLTs etc , typical New York fayre . substantial meal also available . however , good part stay location . five minute walk Empire State Building one direction , five minute Times Square another five minute Hudson River boat trip around Manhatten . I definitely stay next time New York 
 Feb 15 2009 	 Great Value ! 	 hotel centrally locate - close everything , include subway entrance , Penn Station , garment district , theater district , even Empire State building . got great room rate ! room tuck away corner 20th floor , bit small , perfect we . bathroom sparkle , bed super comforbable , even great pillow . good , quiet ! hotel amenity include work room business center . TickTock diner next door good 24 - hour food , not expect attentive service food average good . 9try stagedoor diner block - MUCH well food service ) . drawback place ) not offer conditioner shampoo bathroom , 2 ) front desk people - be either rude unhappy , not make eye contact smile , 3 ) concierage useless . ask sport bar watch playoff game , turn one suggestion ( ESPN Zone , det ) , shrug . come one ! option NYC ? not even go online check anyone else . despite , would recommend place though definitely stay next trip ! 
 Feb 6 2009 	 Good Quality NY City 	 mate ( early 20 's ) stay December ' 08 fourth stop round world trip . happy stay New Yorker . we stay Metro Room two double bed . room small little cramp , comfortable nice warm , consider temperature outside dip -10 ° C ( 12 ° f ) stay . room include two double bed , widescreen plasma tv , work desk , chest draw , Wi Fi internet service , heater bathroom . bed comfortable bathroom adequate . say , shower weak water pressure slightly difficult control term water temperature . the location hotel fabulous , extremely close Penn Station , mean easy access JFK Newark airport . main Bus terminal also road . hotel restaurant ground floor choose ( recommend Tic Toc restaurant , though little pricey ) , walk across road satisfy inner child McDonalds . also couple cafe nearby pick relatively cheap breakfast wish . hotel within 10 - 15mins walking distance Times Square 30mins walk distance Central Park . ' want walk , catch subway island . want shop , Macy ' couple block away . want go event , Madison Square Garden one block away , Post Office directly opposite . want get view city , Empire State Building couple block away well . could ask ? staff service hotel also good . trip NY include two stay go Niagara Falls day mean would get back NY 9 am one morning sleep night . book room three night , check early one morning , book room night return . thus room night ' go New York City . thing mean possibly wait around 6 hour allow room . , lady originally check we help we put block room stay initially one could use night ' . bring bag leave luggage room ( $ 1 per bag per day ) come back next day 9 am bag room ready we . mean shower rest long bus trip grateful for . the complaint would one day , house maid seem miss room consequently , ' make bed new towel . really ' bother we much , little blemish good stay . for student try keep expense ' mind cramp slightly , want good night ' sleep , Metro Room would . old people get slightly claustrophobic , would suggest get big room . really , New York City , ' spend much time hotel anyway , really , cramp , long ' get comfortable bed decent bathroom , ' set . I ' attach couple picture help perspective guest hotel decide whether Metro Room not . so , , comfortable room , could get little well bathroom , great location , great front counter service , mean great stay New York City . ' definitely try stay New Yorker next trip New York City . 
 Jan 31 2009 	 okay Place ! 	 stay New Yorker 5 night Jaunuary 09 whole enjoy stay . room large spacious enough 3 we ( 2 x double bed ) provide comfort well enough . decorate show photo web site good standard . not tea / coffee make facility , bring mini jug well worth hassle warm drink room . coffee provide downstair , downstairs mean go get drink . would well recommend take kettle life ' little treat ! staff friendly enough helpful , especially door man pleasant . the Tick Tock Diner great breakfast eat every morning . the subway entrance almost right outside door convenient sight include Times Square , Empire State Building & amp ; Madison Square Gardens close . on whole stay pleasant one would go back find travel N.Y . 
 Jan 27 2009 	 great location small room good value off - season 	 stay recently , great pick regard location . opposite Penn Station link airport via Jamaica station . the hotel refurbish recently 's lovely art - deco environment look great . stay 2 room ( one night friend ) small , clean comfortable . a lot ny attraction within walk distance - empire State Building , Times Square , theatre district , Rockefeller Center etc . short train ride Central Park Chinatown . staff excellent . 's good diner hotel open 24 hrs get hungry . would recommend off - season 's great value , expensive ( us ) peak season . 
 Jan 19 2009 	 Good Location 	 New Yorker hotel great Location . staff friendly could reach need . price good location go renovation . room extremely small . Madison Square Garden right across street . overall good hotel money . let know question . 
 Jan 16 2009 	 Best Value Hotel ! 	 love hotel ! mother visit New York first time last December . know nothing city finally decide hotel mainly price . the good part subway 's blue line ( , C , e ) entrance directly hotel . easy hop ona dn subway never take cab . hotel staff extremely friendly accomodate , even update we high floor upon request would well view . room small ( joked say put we broom closet ) always immaculatly clean well - maintain . the Tic Tock diner hotel lobby amazing -- - great breakfast late night dinner . convenient expensive . the hotel within walking distance Times Square , 5th Ave , Macy 's etc . thing would advise always take 7th Ave Times Square oppose 8th Ave . night 7th seem much well light crowd -- feel safe . definetely great value hotel NYC ! 
 Jan 12 2009 	 good value 	 hotel great value . hotel retain Art Deco feel public area , room modern , clean , well furnished . staff friendly helpful . good coffee shop . location good , subway stop right outside . 
 Jan 7 2009 	 Great Hotel 	 Hotel easy reach central location , room bit small comfy clean . get upgrade 36th floor view stunning . tiktok expensive special … 
 Jan 7 2009 	 okay Hotel Price 	 get back 2 night New Yorker ( Jan 1st 3rd ) . hotel extremely crowd holiday ( expect ) long line check - in . since check New Year 's room , tell room would ready late afternoon . ask manager , promise well get we check - in early possible ( end 2:30pm- check - in time suppose 1:00pm ) . appreciate manager willing help we , find front desk staff rude . room pretty standard- clean , tiny view . heat not work well , would either blow really hot cold air find happen shower . overall , think get pay . pay little less $ 150 night . future , would probably spend little stay someplace nicer . 
 Jan 7 2009 	 Great Hotel Great room Great Location ! 	 stay Christmas New Years , awesome . small 's expect New York City . arrive 5:30pm , hardly line check - in . little pricey be still really happy stay . originally book stay Hotel Pennsylvania 7th Ave read horrible review online change New Yorker last minute boy glad lucky . twin room two double bed , face front hotel great view Empire State Building , look magical lit night . fantastic location , 2 minute walk Manhattan Center , 5 minute Madison Square Garden , 10 - 15 minute action Times Square . handy walk Times Square back hotel New Years Eve , go event Manhattan Center MSG , can not talk enough great location ... perfect we . 7 minute walk Port Authority Bus Station , use get NFL game New Jersey , $ 10each roundtrip , can not beat ! plenty place eat , Grand Papaya 's 5 minute walk 8th Ave , good hot Dogs NYC , good price . 's 24hr bakery 3 minute hotel , great cheese pizza even well donut . 2 donut choice $ 1.25 , beat Dunkin Donuts ! mention , White Castle , McDonalds Taco Bell minute away , really spoil choice . 's great chinese place call Fo Ling check , cheap good ! avoid Tick - Tock Diner downstairs , 's tourist trap . overprice average food , cafe34 across road cheap burger not much well . Wendy be across road , go burger ... yeah , like say , lot food option . want pizza , John 's Pizzeria times square good place go . will go back Gray 's Papaya though , trust ... mmmmm , 2 dog , mustard large Papaya drink ... awesome . try fruit drink . I would absolutely stay , want attend sporting event , concert , broadway musical near Times Square , hotel . concierge downstair helpful , help we broadway time , price , movie time , different shop location , different phone number . great . 
 Jan 5 2009 	 Good Hotel - well worth stay ... 	 return 5 night stay hotel & quot ; New Yorker & quot ; . tell lot horror story New York hotel , hotel really neat clean . room great size city break . room nicely decorate nice size lcd tv . bed comfy shower facility good also . stair also 24hr diner , food good slight pricey . good value breakfast would recommend & quot ; Rock Cafe & quot ; . full english tea / coffee $ 16 per person . pancake hotel cost almost $ 10 . recommend hotel one travel New York . ' close Time Square , 5 - 10 min walk . also Penn Station right side hotel easily travel finical district , enable see Statue Liberty.i would rate hotel 3 Star . enjoy ! ! 
 Jan 2 2009 	 Great Location Good Hotel 	 book last minute NYC choose hotel offer Expedia . we please location ( right subway ) room huge not go New York sit room . tv fine cable bathroom clean . check fast . hotel great people stay NYC shopping , sight etc . need taxis subway always outside wait . the downside wait lift / elevator morning get busy . 
 Jan 1 2009 	 Great Hotel 	 wife stay NewYorker Hotel 22/12/08 28/12/08 , would recommend Hotel everyone . reception staff good maid service equally good . although room small clean comfortable recently refurbish . room number 2927 . hotel location fantastic prove one highlight stay , everywhere accessible , Times square , Macys , Empire State building etc , walk China town Hotel Christmas day . if walk Penn Street Station minute hotel $ 4 return , could travel World trade centre . the dissapointment Tick Tock Diner attach hotel , beware 's expensive , example English Breakfast wife 3 pancake , one cup tea . cost $ 43 . Extortionate . another tip see Police Officer eat local fast food place , mean quality food good cost reasonable . we find great chinease restaurant call Golden City 's around corner hotel opposite Camera shop . although outside not look great food exceptional staff helpful . please also make sure know cost item shop go pay may find ask price depend accent . we also find cost Macys several full price item mixed item display 30 % 50 % . could mistake someone place odd full priced item beside other , perhaps ten full price item area . on whole love saty would go back NewYorker Hotel . 
 Dec 31 2008 	 art deco hotel 	 hotel gem , friendly staff , clean room , fantastic diner chic restaurant.it 1 block macey , 10 min time square , would highly recommend hotel 
 Dec 30 2008 	 great Christmas experience 	 return 6 day holiday New York WOW time have . the hotel great , perfectly position fantastic view . stay room 3724 view Empire State Building corner window could see Hudson River . I know sleep great end day look city look light wake morning see sunrise . problem check , quick , pleasant easy . staff friendly desk , doorman info . never wait long lift even though hotel full . every morning start day fetch Starbucks coffee across road 3 we . would venture heart , take max 15min slow walk Times Square 20min Central Park even well want go bit would take subway , entrance next hotel corner line , B & amp ; c next block line 1,2 & amp ; 3 . Macy 's also 1 block away , Madison Square Garden next block right hotel , movie house around corner course child hubby like mine enjoy Mac Donalds easy 24 hour one right across road next Starbucks . odd tit bit medicine , 24hour chemist corner . see everything situate around near hotel doorstep . strongly recommend & quot ; Stage Door & quot ; 1 block right , opposite Madison Square Gardens good sandwich , wrap etc . Hardrock Cafe great buffet breakfast $ 16 would also recommend Ellens Stardust Diner singing waiter , 10min away corner 50th 51st ave Broadway ( confirm address hotel ) take train New Jersey shopping spree one many mall . arrive JFK decide would try subway instead pay $ 45 taxi cost we $ 2 , take Air Train Jamaica Station take line Penn Station come back door hotel , take aprox 40 min apparently time taxi would take . time unsure need show right direction help friendly Americans , lovely people , always willing help . finanlly great thank Kristina Patricia answer email allocate fantastic room . back would recommend hotel friend family . 
 Dec 30 2008 	 New Yorker Hotel 	 New Yorker Hotel conveniently locate Penn Station Times Square . location great first time tourist , rate reasonable weekday . ' live far , take train Penn Station . ' short easy walk . room offer basic : bed , tv , bathroom , closet space . stay room two double bed . tight , enough space … especially since need sleep . overall , enjoy stay . room clean , water pressure good , thankfully iron wrinkle clothe . check - in check - out easy . part , staff helpful . really disappoint one thing … the concierge . horrible . stand line several people while … and want phone number make reservation restaurant hear . inefficient people front , ' actually give good advice Broadway play , keep mouth shut . frustrate , talk people line pass time . look time time ask group talk , continued say . wait 20 frustrating minute , get google number . suggest way search , cut saying & quot ; ' ? & quot ; shocked . merely make suggestion . frustrate clearly inefficient method , take guest ? use concierge advice … it ' worth . 
 Dec 30 2008 	 pleasantly surprised 	 mother law travel NYC first time see concert drag . read review book trip little worried . night due leave , mother law call hotel find kind restaurant immediate area . helpful , also tell mil room quite small . mil say long two bed bathroom room clean , would fine . when check hotel , desk attendant helpful . comfort find show key get elevator . tell room 40th floor . Lo behold , top floor ! walk extremely satisfied ... see one bed ! ! realize couch pullout . crisis divert . room clean , t.v . be great , view SPECTACULAR ! ! could see one window see madison square garden , sole reason . ( see NKOTB amazing , way ) oh , little worried pull - out , pretty comfortable . also , pillow WONDERFUL ! ! leave get dinner walk around bit , get back , water get one window heavy rainstorm . call front desk come pretty quickly . worried would change room , didn't . the Tick Tock Diner great breakfast , much dinner . night go service bit slow little difficult find something appealing . all staff helpful . book one double - decker tour arrange transportation back airport . everything go smoothly . I try go back NYC 30th birthday next year . regardless come back , hope stay New Yorker get kind room . hope next stay like one . 
 Dec 29 2008 	 Fab Hotel 	 long return four night stay hotel . check quick even though check system arrival . reception staff friendly . we room 37th floor . say guest room b small do not go stay hotel room . bathroom ok modern room rest hotel see . have full day ment need good breakfast . tick tock diner good reasonably price . eat coopers good aswell . hotel good location , block main attraction walk distance other . find briitish pub greenwich chat ex brit good find thing new york . think use yellow cab make sure know street avenue taxi driver idea place be . I would definatly stay hotel would definatly recome friend famiily , actually look stay hotel date next year/ 
