budget 	 hotel locate center London . allow easy access main objective , via bus via underground . we arrive late first impression lobby & quot ; frill & quot ; .Room clean keep like whole 5 day stay : 5 + star maintenance staff . furniture simple practical fit well neo style . comfortable bed , moderate size room 2 ppl maximum ( consider european standard , though american might find small , nonetheless tiny ) ; small bathroom , claustrophobic : ) . one many thing London will not spend day hotel room , feel really minor thing . great staff reception also restaurant / breakfast room . also maintenance stuff friendly great job . very good breakfast price ( enough option like : english breakfast , fruit , french croissant , cereal , several variety tea & amp ; coffee , etc ) . vegetable could add really make difference . stay 5 day enough morning option feel bored : ) really recommend hotel , first choice visit London . big price difference online lobby quote : book online , might able stay 50 % day . 
 May 22 2006 	 highly recommend budget hotel London city 	 stay one night Ibis weekend rate £ 60 ( room ) generally weekend rate chain budget hotel London . location great Aldgate station around corner Liverpool street station 10 minute walk away . also serve number bus . although stay area evening Brick Lane curry house Shoreditch / Hoxton trendy bar restaurant . hotel , reception warmly decorate service good , check swift problem . hotel car park although private car park next door , pay £ 8 pound 6pm-12am next dat stay . disdavantage special rate Ibis customer , like disuse land lock 7 pm reopen next day . car would advise use car park area lot parking restriction . room clean modern . bright large shower room , desk , small wardrobe / shelve tv port . sofa additional seating . stay room basis ( breakfast extra £ 4.95 per person ) comment food would prefer eat excellent place eat around Brick Lane , Shoreditch city area . summary would recommend hotel short stay basic , clean good value money 
 May 17 2006 	 would definitely recommend ! ! 	 nervous booking hotel online . ' m US husband never UK book hotel online go review read . make right choice ! ! wonderful stay hotel . expensive use US , really expensive compare price hotel area . husband absolutely love . staff ( french ) nice friendly helpful . room clean modern . bed comfortable . bathroom adequate size , shower quite big , everything nice clean . enjoy bar restaurant downstairs . also convenient location . underground station right around corner walking distance . say enough good thing experience . would definitely recommend anyone would definitely stay go back London . 
 May 7 2006 	 Lovely Hotel 	 pleasant surprise . nice flower lobby area give lovely first impression . staff well train always helpful . love delicious cocktail bar ambiance quite surprising range hotel . definetely come back hotel . 
 May 5 2006 	 Great Hotel 	 clean close tube . downfall breakfast buffet not buy it . room comfortable large enough price pay . friendly front desk staff . definitely would stay Ibis hotel future - especially Europe . 
 May 1 2006 	 nice new hotel 	 stay hotel Easter time 2006 . hotel quite new clean nice . location ok - near Tower 100 away underground station ( several line pass ) . room quite big ( least compare general level hotel London ) bathroom great . lock bathroom door not bother we . staff friendly helpful although difficulty try communicate not understand English ( foreigner - possibly French ) . breakfast room ( coffee / tea make facility room ) not know breakfast . computer internet connection lobby pay use it . we not find good restaurant nearby hotel ( 's business district mainly cafés / restaurant closed evening ) take underground find restaurant somewhere else . restaurant hotel menu not look tempting not try . last night find nice - look african restaurant hide nearby quiet narrow street not try though . anyway would recommend hotel 's good value money ( London standard ) . would stay . 
 Apr 29 2006 	 right 	 stay hotel two night weekend April . good value money . nice clean . 15 min tube centre town . make sure go Algate East station Aldgate ( connect ) . also leave Aldgate East & quot ; Toynbee Hall & quot ; end hotel round corner . 
 Apr 19 2006 	 good value nice room bar restaurant 	 good value hotel , situate quite central London . good facility helpful , friendly staff . nice bar restaurant . quite good business hotel . 
 Apr 14 2006 	 Great Quality 
 Mar 25 2006 	 Super 
 Mar 19 2006 	 truly hated ! ! ! 
 Feb 11 2006 	 Great Basic Hotel 
 Feb 7 2006 	 Excellent 
 Jan 1 2006 	 great base london 
 Dec 14 2005 	 Pleasant Surprise 
 Nov 22 2005 	 clean modern hotel 
 Oct 9 2005 	 nice stay 
 Aug 12 2005 	 good value 
 Nov 16 2009 	 très bon rapport qualité prix 
 Oct 13 2009 	 Davvero ottimo e PULITO ! ! ! 
 Oct 7 2009 	 -ottimo rapporto qualità - prezzo- 
 Sep 30 2009 	 Buen IBIS 
 Sep 28 2009 	 Ottimo Hotel non si trova centro 
 Sep 27 2009 	 trés correct 
 Sep 12 2009 	 Ibis London City 
 Sep 8 2009 	 Excelente 
 Sep 2 2009 	 Assolutamente da consigliare 
 Sep 1 2009 	 Ottimo rapporto qualità - prezzo 
 Aug 29 2009 	 Ottimo 
 Aug 28 2009 	 très chouette 
 Aug 26 2009 	 Ottima posizionehotel funzionale 
 Aug 25 2009 	 très bon hotel 
 Jun 27 2009 	 ottima sistermazione per qualità e prezzo 
 Jun 10 2009 	 Ottimo rapporto qualità prezzo 
 May 20 2009 	 super Hotel für London Sightseeing 
 May 13 2009 	 impeccable ! 
 May 6 2009 	 Ottimo come tutti gli Ibis 
 May 3 2009 	 ottimo direi ! 
 Feb 26 2009 	 Miglior rapporto qualita ' prezzo ! ! ! ! 
 Feb 1 2009 	 Buon Hotel ottima posizione 
 Jan 27 2009 	 Bon sejour ` ` hotel agreable et correctement place '' 
 Jan 7 2009 	 Londra partendo dalla City 
 Jan 4 2009 	 Rien à redire 
 Dec 29 2008 	 Hotel standart : ni trop ni trop peu ! 
 Dec 16 2008 	 bon rapport qualité prix 
 Dec 16 2008 	 Un'ottima scelta 
 Dec 15 2008 	 Hotel o.k . barpersonal unmöglich 
 Nov 2 2008 	 très bon rapport qualité prix pour londre 
 Oct 26 2008 	 ? ? ? ? ? ? ? 
 Oct 22 2008 	 ? ? ? ? ? ? ? ? 
 Oct 14 2008 	 Bellissimo Hotel 
 Sep 19 2008 	 Gutes Basic Hotel 
 Sep 15 2008 	 Perfekte Lage super Preis 
 Aug 23 2008 	 Bien situé standard aux ibis français 
 Jul 26 2008 	 londre es fabulosa el Ibis City está bueno 
 Jul 20 2008 	 Perfetto 
 Jul 7 2008 	 Tout ce qu'il de mieux pour un 2 * 
 Jun 10 2008 	 ottimo hotel 
 Jun 3 2008 	 ottimo e posizione eccellente 
 May 18 2008 	 Super Hotel ! 
 May 12 2008 	 Buona struttura il servizio ... 
 May 3 2008 	 Ottima sistemazione 
 Apr 23 2008 	 Hotel limpio agradable 
 Dec 16 2007 	 Bien à un petit détail près 
 Nov 21 2007 	 Excellent rapport Qualité / prix 
 Nov 4 2007 	 Un ottimo Hotel 
 Nov 1 2007 	 repetiria.- 
 Sep 30 2007 	 Genial ! ! 
 Sep 12 2007 	 Idéal 
 Aug 31 2007 	 un hotel da raccomandare 
 Feb 1 2007 	 recommander san hésiter ! 
 Dec 18 2006 	 bonne surprise 
 Sep 1 2006 	 genial 
