Great 	 two interconnect room 4 night . lovely hotel great location . room smart well appoint . room service twice day . Lobby impressive however shop lobby two basement floor niche / expensive . breakfast good restaurant nicely decorate . fortunately include package else RMB240 each . have dinner restaurant however average limited menu selection feel . swimming pool lovely always empty . temp nice warm plenty towel etc provide chair . good Wi Fi coverage room - Complimentary - wish hotel . 
 luxurious great value ! ! 	 stay Peninsula classmate sightseeing around Beijing . location amazing look night market around corner fastfood place like Mcdonalds KFC . great window shopping international brand boutique hotel lobby , amazing breakfast ! ! hotel staff good english speaker ( rare Beijing ) friendly . lot personal touch like note leave room hotel , even complimentary cake anyone celebrate birthday stay Peninsula ... would reccomend hotel anyone look amazing time Beijing ! ! 
 Sep 10 2007 	 genuinely outstanding hotel 	 stay 5 night Peninsula Beijing , feel completely home relaxed . 's fair say hotel go slightly old fashioned sense luxury , compare glass palace pop day . least surface , would think aim old - money colonial . scratch surface , will find everything could make stay comfortable convenient . will explain ; location hotel excellent . 's main shopping street , widely varied shop large indoor mall . walk Forbidden City 15 - 25 minute ( depend entrance use ) , Tienanmen Square 20 minute . go direction , will go pretty cool neighbourhood , variety boutique , uber - chic hair salon , local market hutong . room book ( grand deluxe ) amply equip , vast plasma screen bedroom , small one bathroom . also DVD player , superb bedside panel contain control TV , radio , air - conditioning , lighting , privacy signal , valet service , etc . panel door room 's main telephone even display outside temperature humidity percentage . room not massive , good size , sufficient storage 5 night stay . maid service remarkable ; fold clothe could see , keep room feel look fresh time . one day , make schoolboy error leave safe open go Great Wall . minute concern , realise thing would probably ok , consider conscientious nature hotel staff . indeed , return , room immaculate , safe push close . content safe present . phew ... drawback room safe . be big enough contain laptop . therefore , use hotel 's safety deposit box , behind reception . fine , free charge , little inconvenient . other hotel service good , . use one hotel 's recommend driver take we Mutianyu section Great Wall . price reasonable ( far less coach tour ) , driver friendly helpful . wait patiently bottom cable car , speed we home beautiful countryside ready go back . doormen hotel helpful friendly , like chat make recommendation . say concierge . also order room service ( in - room dining ) time , pleased result . unusually good food . also eat hotel 's restaurant , find food beautifully present extremely tasty . cheap , expect ? want cheap snack , walk couple hundred metre nighttime foodmarket , buy deep - fry scorpion , starfish , squid , etc . not brave enough ... third hotel use China , easily good . not flash modern other , fresh sleek , quite lot comfortable convenient . seem pay attention detail many hotel - even elevator / lift , barely wait , due ratio room lift . would love go back Beijing , would not hesitate stay Peninsula . superb hotel , superb service superb location . sad leave . 
 Aug 22 2007 	 Loved Peninsula 	 quite suprise negative review . go beijing , shanghai HK could find service like . concierge helpful , staff unobstrusive adress every need . also stay royal meridien shanghai langham place hong kong think overall experience well Pen ( upon leave china think would exactly opposite ) . room service many time day discrete way , always seem floor manager responsible managing staff . breakfast also among good find china well langham ( although still comparable hotel malaysia instance ) . stay deluxe room think room small everything need work fine / good hotel maintenance ( mp3 / mp4 player , plasma , tv bathroom , valet parking button , outside temperature indicator , dvd player free movie watch ) . hotel 3 floor overprice high - end brand like L. Vutton , Chanel , & amp ; G , Hermes product often cost 3 4 time hometown . good look nice store display though ... 
 Aug 16 2007 	 great room good location 	 also , really surprised negative comment . Peninsula Beijing great locate good area . room nice lot electronic gadget ... restaurant expensive Beijing service good . it true Lobby look like luxury mall ; go Beijing visit city , lobby ( apparently shop mall good address local people ... ) 
 Aug 8 2007 	 Business hotel international standard 	 overall feel : try hard western possible . interior lobby room could take good business hotel western world , corporate style may feel dull lifeless depend preference . service : however , deal staff clear middle Beijing . request verging outside rehease phrase throw . china afterall . waiter nervous shake serve , question request meet terrified look . fault staff hotel , cultural - type hotel feel natural frankfurt awkward Beijing . Lobby / bar / restaurant : hotel high end shopping mall global brand prada , gucci , tiffany 's , etc . guess hotel feel add glam factor shop literally lobby directly two restaurant . find gave feel shopping mall . bar totally boring sit lobby floor . view ( get much view Beijing anyways give pollution ) , character soul . have dinner Jing . also serve breakfast . totally bore even souless . Menu uninspired , steak fine . breafast standard business hotel stuff , what s offer good display difficult must get good produce China . tour : private tour Ming tomb wall arrange hotel . include car driver accompany guide . satisfactory nice helpful guide . : book airport transfer hotel , safe , clean , quick etcconclusion : certainly destination hotel , fine need bed night otherwise dull dull place . 
 Aug 6 2007 	 great time 	 check immediately upgrade we large room . learn travel throughout China soon check hotel , first thing ask upgrade room . room clean spacious . hotel central location . buffet breakfast excellent . face prblem five star hotel sttaye english staff speak understand limited . computer problem immediately send representative late night assist we . would definitely stay hotel . want buy souvenir typical tourist trap store one hotel would tell we could shop . store locate lobby hotel expensive bargain . 
 Aug 5 2007 	 great hotel 	 surprise negative review hotel . think fantastic . room clean modern flat screen tv electric control throughout . hotel lobby full high end store staff eager please . breakfast buffet amazing . would expect lox bagel China ! Beijing filthy , crowded city . hotel oasis . CNN BBC TV ( deny citizen China ) plus real internet access ( also not get ) Herald Tribune available ( also not allow read ) . not eat outdoor food vendor cart next block unless like eat shishkabob snake goat penis . real chinese fare . we book tour Pacific Delight excellent , punctual , courteous reasonably price . department store block good shopping , include sculptor onsite make bust wife wait little money . 
 Jul 20 2007 	 Excellent hotel 	 stay hotel May 2007 . outstanding service , excellent hotel , close major tourist attraction . use service whereby pick airport & amp ; take back -- kind costly earn , devote several people assist arrival , check room , departure staying luggage check airline . almost every designer clothe shop know man locate hotel well , good shopping . breakfast buffet every morning -- lavish , good food . I highly recommend hotel . 
 Jul 20 2007 	 live hype 	 want love Peninsula Beijing not . hotel western style good location many high end luxury boutique . room small side bathroom cramp . bathtub quite old dirty . aside , housekeep laundry service good . complimentary bottle wine room arrive . in - room electronic quite good . we dine Jing ( la carte , buffet ) room - service . food average slightly average . the business centre nice charge guest use internet . the pool busy appear dirty . would swim pool . gym nice clean . the concierge service appear good efficient . responsive email prior arrival helpful booking tour , theatre ticket meal . however , tour book nightmare . we pay great deal money full day tour historical site China . warn horror shop trip wrongly assume since tour book Peninsula Academy program , would fine . tour guide obviously commission certain store waste 2 hour trip try get we buy thing . pushy keep try end tour return store previously visit . course , waste much time shopping nonsense ( mention nowhere brochure provide Peninsula ) tour certain site short . complain front desk manager , appear care adjust bill . complain Peninsula head office seem concerned investigate complaint . point also take Hutong Tour arrange hotel good . we also disappoint valet put we cab metre ( big scam China ) . try point , not anything cab take . get overcharge $ 20 . 
 Jul 11 2007 	 Nice Hotel 	 stay Peninsula Sept weekend . room nice clean - nothing spectacular . restuarant hotel good well . generally nice western style hotel . 
 Jul 11 2007 	 Average Hotel - extremely poor service ! 	 airport pickup great , check great , room average 5 star hotel service ( ) bland lobby bar extremely poor . think bad foolishly decide dinner buffet resturant ( 83 year old mother choice ! ) . totally ignore staff second food visit wine ask arrive deliver . point no - one ask we drink seek person , place order . could see laugh work colleague wait . common trait hotel . dinner drink ask bill ( staff still stand around talk ) family go full 10 minute gave leave chase staff member want we sign . expect bill happy said not prepared - much like hotel . think flagship hotel Beijing Olympics Games reflect , total shamble Games ! Peninsula Group ashame . 
 Jul 4 2007 	 Nice Facility Indifferent Service 	 stay three night Peninsula late June 2007 . room Club Level . three we give we extra large room alcove desk useful son stay we 24 hour business communication US China . guest room public space Club Level , nicely decorate . pleasing high - end contemporary decor . location hotel good ... nothing Beijing really central Peninsula , could take longish walk Forbidden CIty . hotel arrange around three level mall luxury shopper 's dream every international high - end store think ( Chanel , Tiffany , Prada , Frette , new Harry Winston ) ... good browsing like sort thing . price NY London . one room service meal . come quickly good . quibble staff Club Lounge seem rather indifferent . spend week Portman Ritz Shanghai service Club Lounge extraordinary , perhaps spoil . restaurant theatre reservation make main concierge desk always wait . Club Lounge staff spotty english language skill . always ask drink coffee refill ... seem like tell ration . empty white wine bottle open bar sit unreplaced hour 6 7pm . egregious shortcoming hotel however , reason can not give five star Club Lounge shut tight 10 11 ( can not remember ) turn internet access time . make matter bad , general hotel business center shut midnight . one laptop we often tie one party 's long Skype business call . access second computer essential . someone Peninsula realize midnight Beijing , noon New York 9am California high tech business guest base . 
 Jul 2 2007 	 Phenomenal 	 one good hotel ever . service wonderful . accommodation comfortable , clean , first rate . can not say enough hotel . location fantastic well . 
 Jun 22 2007 	 Fantastic 	 would expect 5 star property . clean , excellent service , good food , nice room . concierge helpful . location property good . preferred area near Silk Market - much & quot ; times Square & quot ; look . well worth money . 
 Jun 18 2007 	 overall great experience 	 stay Beijing Peninsula three day May . overall hotel wonderful . room well appoint modern comfortable furniture . hotel lobby grand exclusive shop - Chanel , Tiffany 's etc .. stay Club floor . amenity excellent - free breakfast & amp ; paper . staff extremely helpful courteous . try cantonese restaurant basement level - fanastic . nicely decorate well . location ok - close one main shopping street , although terribly close Forbidden City , etc . overall , well recommend . 
 Jun 17 2007 	 strong superb 	 stay 5 night club level room . strong point : location ; willing service ; great club floor breakfast ; fabulous cantonese restaurant Huang Ting ; airport transfer must . weak point : weak lobby atmosphere bar ( nearby Regent well ) ; hip restaurant ( compare Redmoon make China Grand Hyatt ) ; basic gym spa ( nothing like Peninsula Hong Kong ) ; spotty room service maid service . a good rather great experience . need management Hong Kong Peninsula oversee upgrade well locate hotel . enjoyed not love . 
 Jun 17 2007 	 Nice Hotel 	 stay Penninsula 4 night , arrive find room birthday cake husband complementary red wine we . room nice , free internet useful , flat t.v . room bathroom nice , use swim pool lot , Beijing hot long day outside Great Wall , Forbbiden City etc , nice pool . the breakfast nice , cheap though . we find bar little bit boring . 
 Jun 15 2007 	 Fantastic ! great designer brand shopping ! 	 stay 4d/3n .. service excellent ! waiter polite , friendly , accomodate breakfast buffet . food good . design wise , hotel lobby beautiful compared Peninsula lobby .The room avarege 5 - star hotel . like electronic control system room , though . be right beside night table . be convenient especially be already bed , control everything inside room . also outside temperature & amp ; humidity forecast .The bathroom LCD tv innovative . love complementary hi - speed internet service . , love signature shop hotel . 's need go somewhere else designer shop Beijing ( Chanel , Louis Vuitton , Gucci , Versace , Tiffany & amp ; Co. , Dior , Hermes , & amp ; G , Prada , Burberry , much .. ) . 
 Jun 1 2007 	 Best Hotel Beijing 	 first trip China Beijing first stop . pleasantly surprise Peninsula level luxury service . location : bit main entrance Forbidden City Tiananmen Square , despite warning distance able walk several time . two block major shopping street . room : stay standard Deluxe room . fairly large bedroom area , usual 5 * amenity . wonderfully large bathroom tv sound system . separate soak tub glass shower . none busy road noise hear room . not eat hotel shop high - end western store hotel , can not comment . 
 may 18 2007 	 great location 	 stay peninsula last March . upgrade club floor fine . lounge good , good breakfast , good snack free drink early evening . worth . location great . 30 - 40 minute walk Forbidden City Tianamen ( spelling ? ) Square . however , aware , quite 20 - something people approach try make conversation , offer show around guide , ' m sure lot money . say & quot ; interested , thank & quot ; will leave alone . kind bothersome , enjoy thousand thousand asian tourist area . be always quite crowded . can not coment public transportation , escort time asian business associate . however , picture Beijing people ride bicycle main mean transportation long case . bike replace car , horrendus traffic . try typical peke duck , hopefully asian friend , explain prepare eat . Suffice say , part duck bring table eat enjoyment . take we Great Wall , close part wall Beijing , 1 - 2 hour depend traffic . be magnificent , quite steep & amp ; quite crowded , hey , be crowded Beijing ? try go another area wall , be away city 3 - 4 hour , gondola go view wall , return use gondola , sometype chair lift , not remember exactly , be suppose crowded . overall , itwa fascinating interesting trip , nice hotel stay . 
 May 10 2007 	 good great 5 star 	 first , travel China frequently home Hangzhou . typically stay Kerry Center Beijing , sell particular week decide go Peninsula . guess never Kerry Center would disappoint . Peninsula small room Kerry bar / restaurant nice Kerry . Kerry & quot ; hip & quot ; Peninsula defintely vibe old crowd . FYI , 30 's look party hotel , geratric either . Peninsula high end shop hotel like Tiffany Chanel ( really care ) important . also disappointed spa accomodating , even though seemingly always dead . need reservation massage ( unChina like ) hotel prompt we walk close massage place . want impressed Peninsula .. stay Kerry next time . 
 Apr 22 2007 	 nice cup tea 	 stay two night last week due business seminar hold situe . hotel extremely well located looking eat well walk Forbidden City . two level European Luxury shop lobby outside . say , find interesting , one ask be China . physically , relatively old hotel upgrade past couple year . room , service , restaurant , etc . high level service efficiency . room quiet internet connection , wire wireless , fast free . english speak staff plentiful truly fluent . if really want feel like be western hotel , surround Westerners , plenty , place . 's knock , 's fact . also , good value town . stay weekend , check go hotel one block away . 
 Apr 15 2007 	 great location Excellent hotel 	 return Beijing stay Peninsula . great hotel , idealy locate : within walk distance forbid city , Tianan Men square shopping district Wangfuji . the buffet breakfast incredible . chinese restaurant hotel excellent . room well appoint good size . a swim pool , excellent service well equip change room ( always clean good order ) appreciate long day walk city . overall , excellent stay , outstanding service good price get package hotel . 
 Apr 12 2007 	 Best Concierge ! ! 	 recently stay Peninsula Beijing definitely recommend everyone . especially blow away Concierge service outstanding . unexpected change itinerary able help we make alternative arrangement 6.30am ! ! restaurant recommendationswere also excellent . read unusual restaurant deep inside hutongs magazine ask concierge help we find . even make taxi driver speak restaurant staffto sure way ! use car service arrange hotel find quite expensive , contrary tell go Beijing , taxi service bad all . the breakfast extensive hotel like shangri - La , food quality top class . wedding anniversary day arrive , travel agent happen friend informed hotel , upgrade we deluxe room chill bottle champagne wait we ! ! 's call service ! 
 Apr 11 2007 	 outstanding business sightseeing 	 genuinely great luxury experience use business sightseeing . pay 1400 yuan ( $ 189 ) , pricey outrageous Beijing standard , get include buffet breakfast Jing restaurant ( excellent - real feast ) , free wireless also hardwire connection , US - compatible electric plug , unlimited pool gym . room reasonable size ( 14x22 foot , plus bathroom hall area ) reasonable view . pick airport ( good idea - PEK crazy ) wait hand foot every moment , write direction case take non - english - speak cab , coordinate business meeting , handle fax ( also , fax machine room ) set sightseeing tour private car event sight . hotel luxury class nice spa bathroom fixture ( Grohe marble room ) , surprisingly nice sound system room , two excellent restaurant luxury shopping arcade . gym real weight machine even row machine pool great , house solarium ( basement ) . even clean staff speak English . well locate short ( 5 minute ) taxi ride Tianenmen Square . short , hotel make thing easy , small thing insanity Beijing . definitely stay next time ' m Beijing . 
 Apr 10 2007 	 Lovely Room Excellent Service Ideal Location 	 stay Peninsula Beijing five night March . finding & quot ; Winter Escape Package & quot ; website , make final booking phone use toll - free Peninsula number . additional benefit , choose Club Floor could happy . arrive hotel , take upstairs immediately offer drink lounge Club Floor staff complete check - in form take bag room . although could breakfast Jing part package , find breakfast Club floor delicious , plentiful , relaxing . could say afternoon tea cocktail early evening . fact , light eater ; many day not meal . staff attentive extremely helpful . provide map , direction , wonderful sightseeing suggestion complete name chinese character taxi driver . Franco , Club Floor Concierge , wealth information recommend one highlight stay -- Sunday Jingshan Park . the room small extremely comfortable , quiet , well design roomy bathroom . Dinner Jing outstanding broad range cuisine . hotel 's location make ideal enjoy walk . 15 20 minute walk Forbidden City , 25 30 Tianamen Square , 10 minute pedestrian shopping street . although use taxis many place , thoroughly enjoy able walk place visit often . we would highly recommend Peninsula especially Club Floor excellent charming staff , personalize service , value money . 
 Apr 10 2007 	 good stay abroad ever 	 HIGHLIGHTS : truly experience , flat panel tv , tv sound system bathroom , daily maid service , excellent personnel , great food , on - premise currency exchange , fluencey English among staff , purify water in - room , remarkable room , good view ( room ) spacious hotel , room shopping area . area improvement : well label food contain fish nut . overall : first - rate hotel staple one would expect find . stay part incentive travel experience Konica - Minolta find Peninsula among premiere hotel Beijing . trip incredible , largely due accomodation receive much cultual experience around we . many american traveler encounter complain staff not understand small room stale air , spoil Peninsula . 
 Apr 3 2007 	 Outstanding ! ! ! 	 recently return 6 night stay Penn recommend property highly . as independent traveler , book hotel directly web - site respond email promptly . our winter escape package include breakfast airport transfer . after 16 hour flight , grateful meet gate acar driver whisk we hotel . although 9pm , meet door check room on - site . the room clean , comfortable except lack coffee pot , furnish high standard . all staff , particularly concierge desk , immensely helpful . breakfast bountiful , include chinese , japanese european specialty omelette make order . the location near wangfuje Daije exceptional lot see . although walk tothe Forbidden City first day , suggest cab instead . save foot . astound us - one evening return room find card birthday cake . staff discover husband ' birthday , ( assume passport ) send to - die - for chocolate mousse cake . not get well Penn . 's stay remember forever . 
 Mar 12 2007 	 Stellar 	 return six day , five night stay Beijing Peninsula . stay executive suite Winter Escapes package . pick airport old class Mercedes ( thankfully Beijing Airport zoo . ) . greet front door front desk check by - pass ( do suite . ) would recommend book least club level room give access private club room serve lite fare throughout day . staff speak English polite accomodate . hotel old suite not large clean service twice day . hotel 30 minute walk Forbidden City Tiananmen Square 90 minute drive Great Wall . also open area shopping promenade two block property . head , young Chinese try solicit money claim art student university want take art exhibition ; happen five time . aside , trip everyone need make lifetime see incredible history mainland . 
 Mar 10 2007 	 great hotel excellent location 	 stay 5 night Peninsula Beijing back May 2004 extension husband 's business trip . business Beijing central nice move middle everything ! book bed breakfast rate perfect start every day large breakfast . food delicious service friendly . complaint way separate smoker non - smoker ( China ! ) , hostess accomodate ask sit far away possible . loved wide - selection fresh fruit . the guest room clean spacious . bathroom large , expect . separate shower bath , toilet room , tv ! get one recently renovate room . the individual room A / c work really well ( LCD display ) - hotel , usually see dial temp never seem right . even fun display tell outside temp . if first time Beijing , beat location . hear St. Regis equal well hotel , locate anywhere near Peninsula . step away shop short walk Forbidden Palace . service excellent . give wrong type room check . inform , tell room quite ready ask wait minute lounge . sit , manager came offer we complimentary drink snack . probably wait 15 - 20 minute . when go , spa hotel . & quot ; hotel spa & quot ; day spa locate attach high - end shopping center . think Clarins price western rate . could , however , get massage hotel ( near gym pool area ) . mine good , ' ve well . this busy hotel . car publicity event one night , wed another night , hotel lot guest ! like walk reception get elevator - nice add measure security hotel middle major city . lastly , never dine ( except breakfast ) opt eat local food . concierge helpful assist we suggest restaurant make reservation . plus plenty dumpling place everywhere ! 
 Feb 6 2007 	 great location room 	 choose hotel location . short walk shop restaurant Wang Fu Jing , also short taxi ride many big tourist spot . the room pretty standard class hotel , high end shop restaurant low floor serve small set clientele ( read : expensive gear toward money burn ) .service generally good like many place China , occasionally show lack polish . we have happy choose Peninsula next time be beie . 
 Jan 25 2007 	 good good location 	 stay Pen first time . Beijing hotel would say hotel tie first ( St. Regis ) . like location . good walk street block away even walk Forbiden City wish . hotel room nice service classic Peninsula . staff helpfull helping find direction hire car service day business . would stay . 
 Jan 19 2007 	 yet another truly memorable Peninsula experience 	 repeatedly stay ever - flawless Peninsula Hong Kong , choose Peninsula Beijing first visit Beijing . disappointed welcome Peninsula hospitality surely make hotel stay much memorable . although beautiful grand Peninsula Hong Kong , match standard fail give guest " Pen " experience . book last minute offer Beijing Suite truly unbeatable rate . include rate roundtrip airport transfer S - Class Mercedes Benz . upon arrival hotel , accord vip greet Guest Relations representative immediately whisk suite check - in procedure complete great efficiency , bypass normal check - in counter . treatment give guest stay premium suit Peninsula Hong Kong , although privilege lead 5 - star hotel . another little thing impress we add memorable stay . the suite perfect . double door entry foyer feature unique display lovely glass sculpture , separate entrance living room dining area create lovely overall ambiance . suite large featured luxury amenity include large flat wide - screen plasma television ( living room bedroom ) , small office area , two bathroom , etc . although visit Beijing sightseeing , hotel also extremely well suited business trip . location superb especially sightseeing , within walk distance Forbidden City main shopping street . delight stay pamper ' Peninsula Style ' . highly recommend lovely hotel anyone visit Beijing definitely return travel bring we back fascinating city . 
 Jan 8 2007 	 great business 	 room gorgeous , service impeccable general staff catering staff . look meeting venue , strongly consider Peninsula Beijing . main ballroom fit 400 people . breakout room fantastic staff willing help . great place . 
 Jan 4 2007 	 good hotel 	 excellent hotel certainly live Peninsula name . book part weekend package brother two niece . great experience check - in check - out . Hotel conveniently locate -- short cab ride major sight near shopping restaurant . hotel also great gym pool -- perfect place relax family . niece enjoy much rest Beijing . room nice , well - decorate extremely comfortable . floor quiet hotel staff extremely helpful . breakfast include room wonderful , particularly child picky eater . fact , breakfast enough last dinner . also drink dinner one restaurant . beautiful sculpture / fountain low level lobby area . the criticism lobby . dark seem 1/2 hotel lobby , 1/2 high - end shopping mall . strange mix . overall , hotel great . 
 Dec 23 2006 	 impeccable 	 friendly helpful staff , comfortable room great food ( western traditional chinese ) hotel hold Peninsula 's quality service . breakfast buffet fill enough take day nothing light snack mid - afternoon . staff organize ship souvenir . would stay . 
 Dec 17 2006 	 wonderful start finish 	 spend week Peninsula Palace feel reccomend anyone . I stay Club grand deluxe room . find room bathroom generous size . Breakfast Club floor good not miss breakfast Jing . worth try ! staff highly attentive concierge prepare friendly . hotel ideally locate walk Tiananmen square 20 minute . can not think negative . 
 Dec 14 2006 	 Flawless Hotel ! 	 husband arrive Beijing fly nearly 40 hour U.S. second flight terrible ( 15 hour , last row seat plane , next bathroom , could not recline , flight entertainment , horrible smell fish cook behind we dinner ... get point ) . could say not exactly chipper get hotel . first moment arrive check desk , last second depart people Peninsula put smile face . find upon arrive upgrade Executive Suite . room phenomenal . bascially apartment complete living room , dining room , powder room , large closet space , large bedroom , bathroom make want back Beijing right ! room & quot ; mood lighting & quot ; get kick . concierge wonderful deal . able book us dinner Courtyard ( fine dining asian fusion ) , dinner Da Dong ( good peking duck find ) . outstanding . book car service go great Wall Simatai rate much well hotel , expect . be eager go back , try Peninsula Hong Kong Bangkok next year . 
 Dec 11 2006 	 Sanctuary Crazy Beijing 	 hotel FABULOUS ! Beijing busy , crowded city Peninsula wonderful retreat noise city . every employee work true professional ... doorman concierge , absolutely good ! concierge extremely knowledgeable speak good english anyone encountererd Beijing ! turn service nice touch ... mood lighting , soft music fresh pair slipper linen next bed .... Heaven ! Mercedes airport pick service much appreciate long flight ! want first class place stay Beijing ... Peninsula ! 
 Dec 8 2006 	 good option 	 Sevice airport pick excellent . nice experience however room little small . bathroom small . hotel good choice space big . look roomy hotel one . nice boutique lobby good breakfast . good choice centric good Hotel strip hotel . 
 Dec 2 2006 	 Concierge could successfully negotiate world peace 	 really place stay Beijing . location , location , location , concierge desk simply one good world . ask , people could negotiate world peace . hotel within walk distance number major attraction . give copy LUXE city guide Beijing depart Hong Kong . stay hotel use well write hysterically funny guide city will experience well good . & quot ; Green Tea House & quot ; restaurant stop . 's expensive eclectic , good . must order chocolate dessert warm oozy serve bowl dry ice effect . wild ! short drive hotel . not walk , far . negotiate driver hotel slightly overcharge . let conierge desk know information big deal . within minute unrequeste difference cash envelope slip door . imagine happen U.S. Canadian Hotel ? Asia service China specifically & quot ; save face & quot ; . people welcome . the Club floor excellent . arrive , not put outside appearance . 's 's inside work work nicely . hotel run & quot ; Jing & quot ; restaurant beautiful , overpriced like place Beijing , be okay smoke other dine . oh , & quot ; make China & quot ; good restaurant Hyatt hotel , short walk Peninsula . reservation must , make sure tell want order Peking Duck Beggars Chicken , , land origin . get hotel organize car driver along english speaking guide go Great Wall . spend 9 hour guy cost $ 180.00 U.S. one note , include lunch . lunch stop government run gift store . will not eat food , unless fast 37 day . tell pass lunch - stop figure food , driver guide . nice touch & quot ; turn - down & quot ; service room night . 
 Nov 8 2006 	 Palace indeed 	 Peninsula Palace great , great hotel . lobby bar one fantastic melting pot meet place young , hip , rich Beijingers load shopping bag hotel 's high end designer shop rub shoulder foreign journos , expat chinese business people . real international hotel feel . the room , everyone say , supremely comfortable staff accommodate , friendly highly professional . find bed bit hard get use it . the pool massage facility great . Brenda 's foot massage rock ! breakfast Jing surpass brilliant buffet dinner . great value amazing food , run gamut east west delicious style . after day 's sightseeing shop mad , frenetic , exciting , wonderful Beijing , Peninsua Palace truly relax home away home refresh ready go next day . we four night sino - african summit president Egypt Guinea entourage in - house . way hotel handle extra security associate busy - ness bode well 2008 Olympics . 
 Nov 3 2006 	 treat like queen 	 arrive hotel late day , tired long flight . room ready luggage room be . Bed turn mint pillow . two bottle water furnish every day hotel , save us purchase . Buffet breakfast good mix western asian food . good COFFEE ! pass hotel emplyee 's , always smile hello , door open whenever went return . mattress good trip . for change back not kill get up . Wished know brand , would buy one bed home . thank staff Palace make start China vacation great . 
 Oct 31 2006 	 extremely pleased 	 reserve two Grand Deluxe room week Peninsula Palace Beijing August 2006 . extremely pleased . exterior lobby austere clean . check - in easy . room sharp , clean nicely appoint . even corridor spotless , hotel open . bit concerned room photo TripAdvisor , site , make look rather spartan . soon settle , though , realize reason room look unassuming place everything everything place . room design well think . always pleasure come back day sightseeing Beijing . breakfast buffet Jing restaurant outstanding many choice . entire restaurant sparkle clean . open kitchen immaculate . pleasure wake delicious breakfast every morning . eat Huang Ting restaurant find delicious . staff attentive , courteous professional . speak English eager good help . morning check , forget password room safe someone room help open less 5 minute . think two thing complain . first , find bed bit hard side . second , room rate pricey . say , however , enough make go back Peninsula . fact , late October 2006 . show without reservation able accommodate immediately . feel like go home even though night time . 
 Oct 31 2006 	 Great Stay 	 spend three night Peninsula , please . we stay executive club room reasonable price . the 5 star rating deserve . hotel car pick we pull hotel concierge meet we curb take we directly room check we . fresh fruit chocolate wait we . room spacious attractive , large plasma screen wall bedroom / sitting room plus another small one wall bathroom . could sit bathtub work wall control button tv , radio speaker phone . like hotel , makeup lighting bathroom poor . call valet look three common room amentie could not find - tastefully sight expect . club room amentie good , however arrange tour concierge desk lobby book tour guide . every concierge wait we excellent job private guide get we excellent . would definitely book hotel return Beijing . 
 Oct 5 2006 	 Pampered Peninsula 	 spend four night Peninsula Palace September . bedroom one executive club floor terrific - huge bed , internet conection , air con obey we , flat screen tv even second tv bathroom ! Executive Club room could fault speedy check - in check - out , great breakfast splendid happy hour . hotel ideal situation near Beijing 's main sight shopping area . restaurant fine 
 Oct 3 2006 	 's cheap nice 	 stay club level 2 night business . service flawless location excellent . think may expect luxurious stay amount money , courteous attentive staff compensate . 
 Sep 12 2006 	 overrate 	 hotel rate . plan stay Peninsula seven day ; first two day standard room re - check 4 day later club level room . hotel lobby would expect & quot ; 5 & quot ; star hotel , however , room size standard room small unimpressive bathroom room get close needing refurbish . definetly room expect . sure could stayed hotel comparable room 1/3 cost . the room rate include wonderful breakfast dinner Jing restaurant excellent . the hotel well locate close main shopping area many important sight Beijing . way Forbidden City walk Raffles Hotel re - open stay balance trip outstanding stay less money Peninsula . 
 Sep 4 2006 	 Outstanding 	 recently spend three night Beijing Peninsula . pick - up Airport check - in room club level Tea Fruits Snacks , hotel service outstanding . walk distance Forbidden City , Shopping , Tianmen Square . Booked tour hotel perfect , book group tour noone else sign private tour Great Wall , forbidden city etc .. hotel club level lounge wonderful breakfast evening appetizer drink . room outstanding short - coming . 
 Sep 2 2006 	 great experience ; highly recommend 	 stay Peninsula Beijing Aug. 25 - 29 , 2006 . business trip , parent join China week - long vacation stay hotel two separate room . I please hotel . service excellent , location central , room exceptionally nice . ( photo not really justice . ) fitness center pretty good , pool nice crowd visit . housekeep exceptional -- several time visit room notice spot clean refresh towel , make bed , etc . hotel well - staff , every person meet speak basic English . front desk staff speak excellent English , notice many manager European . I not think outside hotel terribly attractive , inside make . ( say , mom love outside . ) ' ve stay Grand Hyatt ( twice ) Novotel Beijing , overall prefer Peninsula would definitely stay . Grand Hyatt nice ( also nearby ) well fitness center , Hyatt usually expensive think service Peninsula friendly less chain - like . room service dinner excellent . breakfast buffet hotel , okay great . FYI , recent renovation hotel & quot ; Peninsula Beijing & quot ; -- be call Peninsula Palace anymore 's hotel . 
 Sep 1 2006 	 Disappointing Peninsula 	 book non - smoking , deluxe king room club floor supposedly good hotel Beijing . disappointing . first , give we smoking room - way make non - smoking remove ashtray point bellman appear smoking room . second room quite small . crowded two people . bathroom really substandard . tub shower leak everywhere . plan check first night move Grand Hyatt . however Club Floor manager find plan offer we bi - level suite ( increase rate ) nice , still level 5 star hotel . stay lot 5 star hotel not par . lobby restaurant excellent hotel . definitely worth trip Jing Huang Ting dinner , stay elsewhere . 
 Aug 24 2006 	 like ! 	 stay hotel begin August book directly hotel website find valuable package include round trip transfer Airport . the hotel elegant much opulent ( not like ) . lobby may find arcade well known fashion brand , , not know , 20 % expensive Italy . the room nice clean ; undestand tha hotel new . big flat tv interesting control board light bed table . bathroom big , also flat tv ( never see something like ) .The location ideal ; clean safe area walk distance shopping area close well forbidden city market . I would stay without doubt future . 
