Location 	 great location great service comfortable bed ever . stay hotel 2 night August great hotel . staff helpful attentive . dine restaurant dinner breakfast could fault either occasion . would recommend hotel family friend . 
 Nov 20 2007 	 wonderful hotel 	 go New York October 2007 , decide stay different hotel usually . choose Essex House stay fantastic ! room perfect -- extremely update high - tech -- staff pleasant ( except one person check ) . flight Midwest cancel Friday night -- call hotel -- charge , even though already 9:30 pm night check ! ! ! surprised ! totally wonderful , say fault . check Saturday morning could get flight . go check Sun . ( able get 2 pm late check ) one nasty young lady tell we 2 night pay . talk manager , fix pay one night , save we $ 500 . later , get home realize leave handheld video game system game inside room safe . call , problem . security front desk work we return item via courier . Jeffrey Security especially wonderful hold item send . sure would never see item , get back . honest crew ! defintely stay get back New York -- go 3 - 4 time per year ! can not say enough wonderful thing hotel ! ! ! ! 
 Nov 18 2007 	 service issue overall great hotel ... 	 stay JEH 6 night early november . rate not great ... pay 679 even parkview november rate roof hotel well . third visit hotel . frankly , remodel , drop - dead location park friendly staffing , not want stay anywhere else . go new york hit theatre heavily . hotel enable walk comfortable 20 minute walk ... nice battle find cab . cab pretty busy central park south . issue hotel high tech 's good . tv mysteriously come every hour night great difficulty turn ... finally unplug . lighting room tricky figure , high tech phone confuse calk sloppily cake around grout line tub toilet run lot . engineer plumber call tv toilet issue not succeed fix . ' m picky person unplug tv night close door bathroom would not hear toilet run , o.k . slight annoyance . not want move room point never ask option . use complimentary bike ride park lovely greatly enjoy restaurant ... beautiful little place breakfast dinner ... great food way . , figure problem mention , hotel perfect . 
 Nov 17 2007 	 dissapointe 	 finish holiday States book two night Central Park view telescope . give room third floor course telescope complete waste time . really look forward view central park ( like see film ) phone straight away ask another room tell full ! ! ! room quite small expect New York . everything brand new pristine fancy good - tv connect sort strange set impossible change channel - really weird ! ! light control screen difficult use light come bedside table . high tec thing drive we mad ! ! ! next day check could bear think spending half hour get light turn ! ! ! 
 Nov 12 2007 	 Essex girl 	 stay Essex House wonderful room overlook park - definitely worth splash bit extra view . can not wait go back snow ground . park view room come equipped telescope see what s go park , mugging , stabbing , rape ... kidding , feel surprisingly safe walk around shopping sightseeing walk across park couple time . the Essex House lovely art - deco relic bygone era . slightly reminiscent Claridges London . staff unfailingly polite nothing much trouble . the room little bit small side premium real - estate expect , not order room service quite cramp . also chaise longue room . comfort make diminutive square footage . incredibly soft duvet 's good ever sleep silky egyptian cotton sheet , good whenever step bed little multicolore light come bedside cabinet , switch automatically minute . beautiful ! usual flat screen tv , bar , bathrobe , decent toiletry , etc make comfortable experience . eat walk distance Tavern Green , must , must book get ! particularly Sunday . also Cipriani close . eat Helmsley road , slightly cheap restaurant also great view . budget come hotel turn leave immediately leave find reasonably price cafe 's get breakfast $ 7 oppose $ 25 Essex . you can not beat location Essex bus tour across road , well horse draw carriage . Lexington Madison Ave shop Metropolitan Museum Art good 30minute stroll East Side hte Park full unexpected surprise . this first time 20 yearssince first trip NY stay Chelsea - completely different experience . leave happy camper determined return . 
 Nov 9 2007 	 Nice Location Terrible Service 	 live New York 4 year stay LOT hotel last 26 year . not stay Essex House work film press junket . mother meet NY need place stay decide give eh try . location great easy access east west side transportation , service severely lacking . atrocious . first , tv nightmare . never allow we pick channel . would press one button would start wildly flip channel , finally stop ( 2 - 3 min ) whatever want we watch . call someone service send phone tech ( 1 hour call ) . sure send . not sure either . next day call tv 2 hour later someone came , looked say & quot ; be new technology , kink not work yet . & quot ; ' m pretty sure plasma tv not new enough technology kink not work . mean , capable watch mine home . Hmmm . on another occasion call ordered bucket ice around breakfast time ( would say breakfast room service rush though ) ... two hour later arrive . one phone tech guy call say wait hour ice . apology . except phone tech guy . nice . , $ 600 night think lot well . LOT BETTER . good location not make really awful service . many great hotel NY , Essex House really need get 's act together . oh , pay high floor park view room telescope . get not telescope 3rd floor . bring telescope , point ? nothing see 3rd floor . 
 Nov 2 2007 	 solid hotel 	 Room nice update . great location . check - in bit slow , terrible . ask doorman hail taxi short ride business meeting , upon find destination , offer ride hotel 's car service , great . 
 Oct 29 2007 	 Awesome experience 	 use trip advisor many time find hotel travel , 1st time feel obligate send review . wife spend weekend Jumeriah Essex House love every minute . staff courteous always available . room wonderful , comfortable bed ever sleep . location could fantastic . fabulous experience wound highly reccommend hotel anyone future visit New York . 
 Oct 27 2007 	 Short Sweet Stay 	 recommend hotel friend ... dissapointe . when arrive hotel greet happy smiling face lovely lively music ! ! problem encounter delay room ready - happen day ... room worth wait ... book junior suite beautful suite get .... 31st floor .... obviously recently refurbish . the atmosphere hotel wonderful - happy spend small amount time hotel foyer watch world go ..... breakfast hotel dissapoint either . the position perfect also - across road Central Park like shopping shop til drop walk distance . I can not wait return ...... 
 Oct 27 2007 	 worth price 	 wife check 5:00 p.m. , yet , room available . sit lobby bar 45 minute , invite place , order $ 18 glass wine $ 20 cocktail - welcome New York City ! take time order drink get serve . defense , server require walk length hotel restaurant bar retrieve drink make return trip serve . improve refurbishment complete , space still cold uninviting . our room quite small , uncomfortable . furnishing pre - fab , modular look feel . bad , one would expect price . bath tiny difficult two people share , although fixture nice . coffee serve lobby morning , 7:30 a.m. one could walk street Ritz Carlton lobby get coffee morning . one expect bit well price . all , stay elsewhere next trip . bad hotel , simply worth price live billing luxury hotel . 
 Oct 19 2007 	 stay 	 dislike hotel much many bad experience even want go . use trip advisor time feel like post kind warn people . one people never happy . write lot glow review website . stay . staff really incompetent must managerial oversight . ony good thing place location NYC easy get around favor stay Sofitel W . 
 Oct 3 2007 	 Staff live rude NY reputation ! 	 great location beautiful hotel - air con fab hotter day ! concierge however pretty useless give BASIC help staff , particularly check - in departure , rude short - please , thank certainly & quot ; nice day & quot ; ! ! ! great people baby either . food great ( tolerate 50 % rude staff chip shoulder ) ! ! would stay ? yes go NY find 99 % people outside hotel rude true ( hotel staff not make diff ) probably enter NY probably punch someone ............... 
 Sep 29 2007 	 well hotel price 	 stay one refurbish room rear outlook . room beautifully appoint luxurious - love lighting decor . lack view compensate room quiethowever , positive outweigh negative associate othe aspect hotel . 1 . bathroom keep quality bedroom - tap hang wall shower head pretty old ineffective.2 . food lobby awful - omlette bad ' ve ever eaten3 . apart lobby - bar enjoy relax drink - personal preference sit lobby drink appeal4 . housekeeping room pretty poor - little effort tidy thing - plus turn service5 . staff ground floor distinctly unhelpfuli know may sound picky - pay $ 400 + room - thing do matter course service . I think well place stay money 
 Sep 23 2007 	 Suffering New York Hotel problem 	 come New York Fashion Week , price inflate beyond belief ( shortage room city , give hotelier license print money - thing ' value money ' - matter price tag ... ) . manage get good rate Jumeirah Essex House . I keen see hotel , see extensive refurbishment ( close completion ) Jumeirah 's first hotel USA , sure want make splash . the hotel great location opposite Central Park . lobby impressive ( especially art deco fan ) . disappointment come away public area . room renovation half bake . new room well lay , certainly nothing impressive . also touch , new sink wallpaper bathroom , old plumbing showerhead . hotelier distinguish full soft refurbishment . also listen market 's demand regard technology entertainment instal sized flat screen tv 's - problem big room . phone also nightmare use - complex instruction - impossible use . one number service hotel standard . not want remain negative - nice touch room . like soft lighting bed headboard , good bed linen also easy use alarm clock ( Hotel Managers reading - ditch complicated clock / radio / cd ) .You tell Unions strangle hold hotel . staff much job offer service guest . constantly wait elevator full staff ( contractor ) go guest floor . customer seem focus rarely see management presence . one final point - bathroom ammenitie scent . definately right male guest . I feel Essex House reflective probably hotel New York . tell Accountants Unions upper hand . look tired , badly refurbish lack passion . realise money make - every price tag must reflect value end day ... 
 Sep 18 2007 	 absolutely fabulous 	 place dream ! treat like GODS ! really know lux - mean , HIGHLY reccomend stay - will not dissapointe ! ! ! 
 Sep 17 2007 	 good location service could better 	 first experience queue check , room ready even though 2.30pm . least would expect offer free drink quiet place wait , happen . luggage / bellman service completely chaotic . the good thing hotel location right Central Park , also concierge service efficient helpful . the room quite small , ask get one face quiet street good . 
 Sep 8 2007 	 Fantastic Hotel 	 Fantastic hotel excellent location . service superb champagne chocolate strawberry arrival . we book tour state Trailfinders bargain ! room beautifully decorate contemporary feel , LCD tv 's , quality furniture fitting important amazing view central park . 8th floor . highly recommend ! ! ! ! 
 Sep 4 2007 	 Jumeirah Jolly good 	 spend 6 night Jumeirah NYC end August great stay . upgrade Central Park suite $ 569 per night perhaps sway consider good choice top end New York hotel moment . investment Jumeirah group obvious service quality location excellent . 
 Sep 2 2007 	 Fabulous hotel ! 	 hotel really first rate ! recently redone room hallway lobby shine ! stay suite collasal ( especially NYC ) . amenite wonderful bed linen comfy . suite cost $ 450.00 would surprise could sell suite $ 1000.00 . amazing value . conceirge excellent front desk ( Patrick ) efficient friendly . location great ! also offer free limo drive within ten block area around hotel . 2007 Mercedes driver open door car ! ! ! ! head turn whenever get car ! downside hotel restaurant grossly overprice food okay . I recommend hotel . absolutely look stay gem ! ENJOY ! 
 Aug 28 2007 	 well do ! 	 wife recently spend 1 night JEH - newly refurbish suite 30th floor lovely - great view Central Park uptown Manhattan , 2 42 inch plasma 's , etc ... ' ve put alot money hotel show . our room ready check - in give we voucher cocktails lobby lounge , pleasant . staff friendly enough - complaint . would aboslutely stay relative & quot ; bargain & quot ; Central Park South . 
 Aug 28 2007 	 superb stay family toddler 	 perfect stay . everyone nice friendly we 2.5 year old son . nice quiet room 6th floor . view great , room quiet . great location -walk across street c. park 
 Aug 18 2007 	 Okay 	 return 2 night stay hotel - deluxe king smallish , bed towel high quality . warning ! request room face 58th street , unless wish awaken construction 7:30am ! 
 Aug 3 2007 	 Good experience 	 book weekend city Amex . rate good , well website use point . stay one remodel room 4th floor ( sure room redone yet ) nicely do , classy without boring -- huge improvement old Essex House . sure would give room view consider pay , never ask . bit surprised standard room queen size bed instead king . room quiet , sound anything could hear . hung & quot ; disturb & quot ; sign housekeeping stay away . breakfast restaurant . south side hotel whereas old Cafe Botanica use face park . view less attractive ( non - existent ) , space beautifully do service much improve . food excellent , basic breakfast menu do flair . service excellent . not know plan move restaurant back front renovation complete . note renovation : think mostly do room renovation . front hotel restaurant use board not know become retail reopen part hotel . important note ongoing work intrusive , fact barely noticed . front desk bit slow . not know two staff people punch much stuff computer simple check - out need expedite . & quot ; Express Check - Out & quot ; box near front desk porter 's desk never receive bill door not option . new ownership dump lot money place show . think need resolve service issue otherwise provide pleasant weekend getaway good discount truly high end hotel like St. Regis , Pierre , etc . 
 Jul 30 2007 	 surpass expectation 	 daughter stay Jumeirah Essex extended weekend ( Thursday - Sunday ) could not pleased satisfied . Whomever oversee staff training commend ; everyone friendly , attentive , helpful polite . Junior Suite gorgeous ; large ( include bathroom ) bed comfortable sleep soundly throughout night . overall , hotel lovely - especially area renovation complete . lounge lobby especially pleasant interesting place people watch enjoy cocktail . food beverage price restaurant high , typical fine hotel anywhere . dining option area , include Cafe Europa , street . yes , pricey , feel get pay , - pleasant surprise ! 
 Jul 29 2007 	 Friendliest staff 	 stay lot hotel , can not think staff proactively friendly hotel . smile say hello , learn name , use . 
 Jul 16 2007 	 Great experience ! Great Location 	 enjoy week Essex House . new renovation lovely lot interesting little touch include motion activitate night light . comfortable room friendly staff . great central location - perfect business pleasure . 
 Jul 14 2007 	 memorable stay 	 huband stay Essex House celebration 40th birthday could not pleased . everything hotel perfect checking check out . our newly refurbish room beautiful fantastic lighting system , flat screen tv , marble bathroom , luxurious bed , fluffy towel , robe slipper . the hotel staff friendly professional treat we like old friend . we would certainly return hotel wonderful location hesitate recommend . 
 Jul 14 2007 	 New York hotel 	 stay number 5 star hotel New York include Carlye - Jumeirah beat all . I room look inside block , view non existant noise therefore definate plus . staff friendly helpful , even check mid night . concerned read previous review refurbishment - suspect result late check upgrade room modern massive tv unusually large bathroom . think refurbishment complete . the location fine , 2 block 5th Avenue walk Times square take 15mins . breakfast expensive reflect 5 star NY hotel , plenty option close by . and good thing Jumeirah ? bed - comfortable like sleep bed . 
 Jul 9 2007 	 horrible ! stay elsewhere work kink 	 letter finish composing management . bottom line ... lot kink need work get hotel first class league . fluff substance point . location great though . Customer Satisfaction : area poor . request room high floor , get room floor 3 . make matter bad , air conditioning set 57 degree arrive broken . tv also not work . engineer arrive room claim fix everything , yet 2 hour later sit cold hotel room , clearly still break . engineer come second time . time state could not fix problem . therefore , request another room . arrive room # 2 , dreadfully small less quality room # 1 . frustrated , ask moved room similar quality deluxe king room book . request grant , quite furious point , nothing do appease we make stay well inconvenience cause we . secondly , check - in check - out 30 minute experience end . people work desk painfully slow . express check - out evident we upon departure , bill put door . lastly , set & quot ; disturb & quot ; light door retire evening . every morning 8:30am , housekeeping knock door clean room , disrespect wish disturbance . one particular day , housekeeping even come back second time within 2 hour period even though & quot ; disturb & quot ; light . disrespectful . we receive turn service . would assume hotel want league & quot ; first class & quot ; . would suggest add service guest hotel . although appear crucial effort need make area first . 
 Jun 4 2007 	 nicely Redone room 	 third stay property , second stay since become Jumeirah own property . invest considerable resource turn hotel top - tier choice . we stay one newly renovate king room . new design feel homey chic enough . 42 inch wall hung plasma nice ambient lighting feature . phone system new quite advanced . bed comfortable , four pillow seem relatively new sheeting . the bathroom partially redone , new vanity ( small particular line room ) new shelving . tub / shower combo carry - over , mind , represent big stumbling block hotel compete big boy . tub / shower combo not really cut day -- instal nice stand - up shower stall ( separate tub / shower would not fit ) . newly do lobby nice , though check - in / out take , give two desk clerk work . bell staff fantastic -- courteous quick . housekeeping also job well . gym redone , temporary facility conference room . serviceable , though nothing write home . imagine new facility nice . one thing never change hotel prime central location Central Park . fantastic location tourist NYC first time local look respite alike . 
 Apr 25 2007 	 Excellent hotel excellent value 	 stay twice past two month ( first time many year ) . occasion stay excellent . room comfortable , well furnished good value . room service excellent . service throughout hotel attentive . 
 Apr 17 2007 	 Lovely Hotel 	 spend two night Jumeirah Essex House Hotel recent trip . read several so - so review bit hesitant decide give try location . terrific place ! lot old world charm lobby room . hotel locate right Central Park beautiful view . roomwa large ( junior suite ) sit area desk , comfortable bed , spacious bathroom soak tub stand shower . bath product nice towel fluffy . make two small request staff professional accomodate we . can not comment food noteat restaurant order room service enjoy glass wine lobby bar service ambiance lovely . stay Essex House would certainly recommend . 
 Mar 13 2007 	 fabulous location large professional staff 	 doubt hotel offer location , location , location . suite lovely spacious feature quite luxurious bathroom . unfortunately , spa fully operational , undergo renovation . I find marketing concept Jumeriah alluring -- -we respect guest individual feature lovely scene Jumeriah 's fabulous Dubai property . it opinion property judge build moreover staff . find concierge reception extremely professional courteous . doorman accommodate exception one name Luiz , seem bad day 5 day stay problem share fact every time bad fortune come contact . unprofessional , rude , eye , poor reflection facility whole . otherwise , find fault Essex House . look forward visit near future . disappointed . 
 Feb 24 2007 	 Wonderful Place 	 stressful time work , want book getaway could rest want rest , eat great food entertain bored . New York fit bill . go Travelocity book last - minute getaway . intrigue small fee able upgrade suite butler service Essex House . suite big first apartment . good sized living area tv , sofa , chair , desk cozy , fax machine . bedroom house king - sized bed lot furniture store clothe . iron ironing board live closet covet , complete padded silk hanger , heavy wooden hanger safe . the decor old - fashioned hotel luxurious . adoarable side table , crystal bowl , bar set silver ice bucket , tray goblet . stock bathroom Penhailigon toiletry , smell yummy . view not great . be north side building window face west . see small bit Central Park , decent portion west side entirety brick building obstruct view . 's pretty night , lot twinkle light . there ton people work make stay pleasant . everyone friendly , say hello . call consierge yield recommendation neighborhood pizza place , Bella Vita . highly recommend za amazing canolli ( leave gun ... ) Sarabeth 's , block half street , great place breakfast , bit pricy , English muffin delicious meal . internet available . give choice three speed , vary price . pick 512 k $ 7.95 per day 's fine small bit computer stuff want do . the hotel car take anywhere within 10 block radius , although be subway stop south end park 's pretty good too . what really shock quiet 33rd floor . street noise , noise . 6 room , probably something . yes , be cold , 's cold Atlanta . deal good pass . suite usually go $ 1000 per night ( ! ) get $ 300 per night . 's outrageous standard miracle New York . I recommend go Duane Reade street soda , snack whatnot since minibar rate painful . mean , might live like sultan , not bankroll one . husband turn dinner last night say , & quot ; come across another deal like , take it . & quot ; Word . 
 Feb 6 2007 	 Wonderful hotel 	 read negative review , optimistic would find expensive NYC hotel . I will caveat say give free upgrade junior suite high floor ... find every aspect hotel wonderful . room large , elegant clean . bed extremely comfortable . desk area efficient . bathroom gorgious . service exceptionally friendly proactive . location great , nice view Park . that say , expensive ... keep try nickel - and - dime everything be ( e.g. , $ 16 internet connection ; insane mini - bar price ; room service ) . even NYC standard , place expensive . I would certainly stay next business trip NYC . 
 Feb 3 2007 	 nice 5 star 	 room huge . good perfect condition . price , hotel good excellent . 
 Jan 22 2007 	 shocking ! 	 nice appearence - step corridor leading room ! hole roof sprinkler system upgrade be not problem - worker fail clear mess 3 day - problem . the staff particulary freindly , infact cleaner ignore door sign ' privacy please ' ignore ' make room ' sign - infact 3 5 day stay , house keeping call supply towel room - supply enough 1 person even though 2 one KIng bed room . housekeeping also twice supply new battery smoke alarm - safety something chase ! bathroom appaule - mould wall wall paper peel off . definately worth $ 450 + night . on side - location great forget bed size etc - would well secure park veiw . 
 Jan 15 2007 	 Great Hotel 	 Essex House Hotel great hotel great location . close proximity everywhere need town business . ' ve stay plenty Manhattan hotels Essex House far good . luxurious staff attentive , polite , cordial . everyone doorman elevator man friendly . Peter , one concierge staff , extremely helpful question hotel service . room little date still luxurious . furniture seem bit worn still elegant . reviewer seem little hard please , Essex House luxury hotel , also one old luxury hotels city believe age well . room Waldorf - Astoria , renowned name location New York City , equally date Essex House . however , sure renovation Essex House , hotel even amazing already . bathroom room awesome . incredibly large marble . thoroughly enjoy two night stay Essex House definitely stay . 
 Dec 23 2006 	 beware ny super sized roach ! 	 book one night stay Essex House husband . live Long Island , wanted & quot ; tourist & quot ; city . hotel excellent location . far desire location one would like see NY . be directly across Central Park . not get park view room , book King bed high floor . check quick , front desk extremely pleasant . give room 16th floor . not surprise booking . give King bed marble bath describe booking . room comfortable . not & quot ; wowed & quot ; room . upset next morning , find LARGEST roach could imagine & quot ; hanging & quot ; one corner room ! ! ! ! soo happy way notice ! ! ! listen , know NY ... bear raise see lot , & quot ; bugger & quot ; show 16th floor room .... ? ? ? unfortunately , memory Essex House .... bug . however , lucky enough encounter bug , 's bad place stay . morning check , still plan sightseeing able store luggage hotel return without hassle . staff definitely accommodate . 
 Dec 23 2006 	 Fantastic 	 spend four night honeymoon beautiful hotel . executive room 33rd floor amazing view central park . staff friendly attentive make we feel extremely welcome , particularly Patrick reception . room large clean . obviously moment hotel undergo change take Jumeriah group . spa shut renovation one restaurant not effect stay . the location perfect . would recommend anyone . 
 Dec 17 2006 	 wonderful Christmas visit 	 wonderful time return trip ! Jumeirah take management hotel since last visit pleased see many staff last year . lobby bellstaff warm welcoming even busy weekend . concierge staff helpful show restaurant suggestion / reservation . room need little TLC expect come new ownership . breakfast lobby restaurant lovely day . location great , right Central Park South . 
 Dec 14 2006 	 Welcome Hotel Garbage 	 ' m sure understand people write Essex House , let tell truth . the Essex House , be great location , pathetic excuse hotel . checking , woman total wench - cold . when get room , suppose suite , consist one room ( include bathroom ) tiny worn . furniture chip old ; window treatment wear ; floor tired old ; window tiny , list go on . now , realize NYC hotel normally small , ridiculous . pay around $ 800 tiny . not worth stay mean . on positive note , staff pretty nice , foreign . 
 Dec 11 2006 	 great Time NYC ! 	 location wonderful ! ! ! ! ! ! ! ! ! ! ! ! able walk show Broadway concert Lincoln Center . room , overlook park , could leave window open hear clip clop horse draw carriage . we nice luncheon restaurant . ongoing issue try get ice room . ice machine individual floor take numerous phone call several day ( first day , give go ) get ice room . the decor room tired need update ( ' m sure 's planning ) , hey , able sit window glass brandy gaze park sun set , heavenly . 's kind place , sit back ( preferably drink think pack ice ) enjoy without look closely finish work , love . 
 Dec 7 2006 	 Essex House - Ghost Old New York 	 come New York see show shop . since last minute everything book . suspect something easily able book room Essex House . public area , restaurant bar nice . leave go first floor . $ 700 + night room size closet , not update spruce least 30 year . carpet stain worn , furniture bang doubt Salvation Army would take bathroom joke . turn shower water spurt bathroom pipe connection wall . cold water faucet emit tiny trickle water . far luxury hotel sense word . feel like take advantage of . it be great location , right across park , can not recommend anyone . 
 Nov 24 2006 	 amazing experience 	 husband book hotel celebrate 15th anniversary treat amazing experience . contact hotel directly 3 week prior arrival question etc .. time deal warm , professional helpful manner . arrived upgrade , nominal fee , suite greet chill champagne , fruit chocolate anniversary gift hotel . concierge helpful recommend local restaurant staff member come across greet we smile say hello . location good New York easily walk destination . suite beautifully decorate elegant furnishing , huge marble bathroom lovely toilettrie . bed incredibly comfortable undoubtedly good hotel sleep ever experience ! view onto Central Park beautiful , we , worth extra expense Park View room . this first trip New York base upon excellent experience Essex would definitely return . spend three night therefore could judge service consistently wonderful ! ! ! ! ! 
 Nov 22 2006 	 amazing trip 	 little concerned many bad review place great . book park view suite amazing view . large room ever stay New York . bed really amazing . staff great friendly location incredible . highly recommend ! 
 Nov 17 2006 	 Surpised ! ! ! 	 surprised ! ! ! ... bad review ! little dubious prior visit hotel let follow number poor review site . yes renovation go , inside room not notice they . we get lucky free upgrade park view room 8th floor . plastic hallway renovation 8th floor , not go spoil stay . room beautifully appoint , clean great view central park . bed amazingly comfortable , probably good bed ' ve sleep bed . not really use hotel facility far much go ny sit hotel . I would much recommend hotel anybody visit ny , yes rennovation progress point upset stay ! 
 Nov 14 2006 	 lacked attention detail charge 	 whilst plush trapping de luxe property , lack attention detail room level fail give overall good impression . broken light fit closet remain shelf bit duration 3 - night stay ; safe unplugged root behind furniture reset ; tv armoire would close door break ; breakfast order form already use another guest another room never replace duration stay . plus side duty manager apologetic make we concierge , Ken Christine , warrant mention extremely helpful complicated restaurant reservation , get train time organisation travel requirement . shame first stay Essex House mar lack attention detail . interestingly , much do remind guest Jumeirah hotel , many staff still see Westin brand name badge . overall tired hotel , superbly locate . 
 Nov 14 2006 	 Marathon Runaround 	 preparation participation New York marathon , room reserve 8 month Essex House . book sporting agent confirm write park view room would available marathon runner . arrive midnight , direct 8th floor renovate ( plastic sheeting everywhere ) room locate far corner hotel grey , marked wall , dirty beige carpet small window look office . ask reception move we agree vacate room follow day . course , time , ' all room fully book ' excuse come new room , although 16th floor , exact poor decor view look brick wall . marathon loom patience limit , decide focus race . shame hotel management could accommodate welcome have travel UK purpose enjoy one good event New York offer . one free breakfast compensation make . would prefer comfortable room view .... afterall , book 8 month . 
 Nov 10 2006 	 Tired Overpriced OLD Hotel - Avoid cost . 	 give room compensation speak engagement NYC two night , even pay room ... say , definitely one bad & quot ; high end & quot ; hotel NYC ever stay , frequent business pleasure visitor nyc.although lobby area grand ornate , beauty hotel stop ground floor . even go ongoing construction apartment build ugly exterior entrance . the hotel room look though touch since 60 's 70 's ( bolster claim , look 70 's era touch tone phone bathroom 60 's era dial phone floor lobby ) . Furrniture , fixture carpet shabby 4 + star hotel , especially one charge host $ 600 per night privilage . room extremely small - much feel like typically & quot ; Holiday Inn & quot ; experience , without ice drink machine floor ( need call everything take forever ) .although bell , housekeeping , door security staff pleasant helpful , translate reception , conceirge room service area . phone call reception take age , everything drink roqm service menu terribly overprice , even NYC standard . request pack smoke guest deliver room gift shop ( $ 8 ) tell upon delivery charge $ 28 ! check room call front desk complain room condition ask another room available , hold 20 + min , tell nothing could .. 
 Oct 30 2006 	 could not ask 	 enjoyable weekend stay NY Essex House Central Park South . staff friendly helpful . little concerned renovation , however , notice anything inside ( exterior scaffolding ) . room 4th floor city view , $ 300 / night expedia , great value . imagine high floor park view must amazing . comfy pillow top bed , issue heat able solve opening window bit . ask well location . go shopping 5th ave ( 1.5 block ) , central park walk ( across street ) , MOMA ( 4 block ) , , dine within 1 block amazing . per se ultimate dining experience , imho , food , service , ambiance - 1 block away time warner center . rate # 8 world good reason . Alan Ducasse hotel great ( top 40 US ) , per se level . get visit kitchen per se , even tv feed directly French Laundry ( chef Keller run ) . rue 57 ( 2 block away ) nice lunch spot , $ 15 salad . not sure change store next year new mgmt , really enjoy stay ! 
 Oct 30 2006 	 overprice overrated 	 stay conference group mid September find average . yes ornate entry Grand etc find room cost , $ 1,000 per night ( not actually pay part conference qualification ) nearly pass . say worth half money exaggeration . quite possibly small hotel room ever point cupboard door open fully hit bed ! also find conceirge generally aloof unhelpful day departure stuff luggage mammoth proportion . sorry unacceptable suppose world class hotel . move Marriott Marquis conference find far superior hotel almost half price . would never stay . 
 Oct 11 2006 	 Great Hotel ... even Better Location ! ! ! 	 wife stay Jumeirah Essex House Thanksgiving long weekend ( Columbus Day US ) . already plan next trip back ny without question , stay Essex House again . from moment pull cab , someone take bag , hold door check - in , take room . staff courteous ; everyone say ' hello ' ask enjoy stay . concierge great resource recommend truly great dining . the room nice ( standard room ) bed despite queen , comfortable . bathroom fabulous ! multiple shower head make sure every morning start right . also enjoy nice hair dryer , rather small one find hotel . view great , next time will pay extra get park view room . the location hotel ideal . 13 block Times Square , 1 1/2 5th Avenue shopping , across street central park , 10 block Upper West side . subway close get taxi easy ( cheap ) .Great hotel ... Great Location ... will not disapointe . 
 Oct 6 2006 	 great hotel stay ! 	 great hotel stunning location feel spoil three day . complaint stain bedskirt . do not report see would change . . hotel room beautifully appoint clean . staff efficient courteous . plan stay future trip two three time year . 
 Oct 4 2006 	 Essex House Good Place DEC ' 05 	 wife visit NYC first time ever last Christmas & amp ; New Years -2005 . insist stay hotel across Central Park FACED Central Park . Essex house one dwindling seem . SPLIT separate & quot ; hotel & quot ; sort . one start 26th there - abouts floor former Essex House floor . warning : sure check - in early ASK room floor 8 ! ! ! ! ! ! ! ! otherwise will alot street noise ( seem cab never stop honk ) cause busy location Central Park South . IMPORTANTLY VIEW PARK ! ! ! ! ! ! want tree - line.at time , Jumeria , reasonably price , comparatively speak , NYC hotel stature location . $ 350 - 500 / night . new price MUCH higher now . the room adequate small ( queen bed room 2 , 3 4 foot leave around bed , enough closet space large bath . ) , spend little time there . I mean really ! ! ! ! 's NYC . til * * 2am * * often , sometimes walk around TIMES SQUARE . eat late meal DELI 's .... especially artie Upper West Side . so LOCATION IMPORTANT . even though room alot , enough time appreciate location across view Park . worth extra $ $ $ . IMHOThe staff ok , bar ok , Door 58th lock early . cab plentiful front . accomodate request high floor next day . if price change stay year . 
 Sep 16 2006 	 wait completion renovation .... 	 new owner attempt restore classic hotel former glory ; doubt succeed , take time . location excellent ; southern end Park . suite quite nice . however , massive amount renovation work add noise dust . , staff , quite pleasant , edge , possibly turnover demand new owner . would give year complete transition book another visit . 
 Sep 13 2006 	 Disappointing Stay 	 stay Essex House evening September 11 corporate travel agent praise property lavish room , wonderful view great service . sadly , experience disappointing , especially give price ( $ 379 ) ( enjoy wonderful stay Ritz Hilton past 10 day ) .I stay room 531 ( spacious NYC standard clean ) look directly window another room ( much view ! ) boast bathroom break sink fixture rusty , mismatch shower fixture . overall room look shabby depressing . I order dinner room service come back business meeting 10:30 evening food good , arrive quickly presentation great . next morning get 6:30 get breakfast check 8:30 find room miss breakfast menu breakfast choice include room dine brochure room . call room service ( ) manager ( 3 time ) 6:45 7:45 plead menu order avail . menu arrive 8:05 headed check . must say go much trouble order spend money hotel . employee speak unacceptable treatment apologize obvious genuinely care happen . afternoon contact hotel another apology ( offer monetary compensation , case wonder , fine since business trip ) request take hotel list hotel stay NYC . give choice hotel NYC , simply see reason return ! , overall , experience dumpy room bad service reputedly good hotel . base experience , would recommend people stay elsewhere ( , New York full wonderful hotel ) choose stay Essex House make sure arrive guarantee room decent view prepare unpredictable service . 
