always 	 second stay London Elizabeth definitely look stay . deny tired shabby place chip crack . clean comfortable character . first room quite small must happy book next London trip room last weekend spacious two armchair , fireplace , desk wardrobe . street noise time not really bother we . room warm hotel ( air conditioning not turn ) . tea coffee facility take travel kettle etc , fridge find ledge outside window put milk . location brilliant , ( google , street view ) , bus stop outside , second away Lancaster Gate tube minute walk Kensington Gardens , minute Hyde Park . ( mid fifty ) easily walk back Royal Albert Hall ( take fifteen - twenty minute ) . staff meet friendly , check staff brilliant helpful . lovely pub around corner call Swan . Breakfast come room occasion bread roll stale , cereal , tin fruit , yoghurt fresh blueberry muffin . croissant , pastry brioche not ' comment freshness . add breakfast last time ( end June ) much well . time though , two we , breakfast not cost £ 80 everything price ( London ) bargain . afford pay , maybe , budget , would definitely try . 
 Jun 8 2006 	 ideal location 	 recently stay london elizabeth hotel third visit , would regard hotel family home home feel . find staff helpful friendly especially guest manager Trish real credit operation hotel . restaurant food excellent staff accomodate , traditional english hotel quaint right th heart london highly recomende every time go back london stay . 
 Jun 8 2006 	 great location good value 	 first pick London Elizabeth Hotel ( LEH ) 7 year ago . five minute walk Paddington perfect arrive London Heathrow . LEH also stone 's throw Hyde Park Lancaster Gate Underground . I ' ve consistently come back LEH year always receive great service staff good value ' ve find London . front desk usually provide discount rack rate , unless be almost fully book . room mostly renovate good size . conservatory Suite fantastic quiet . Breakfast include full english breakfast extra four quid . elevator minute , kind quaint ; not try get two people elevator along luggage - will get stick ! thankfully , also free wireless internet , work admirably . 
 Jun 7 2006 	 charming little hotel 	 celibrate mother 75th birthday family make trip London . stay London Elizabeth Hotel , shoose read lot good review . like hotel . really close Paddington staion ( 5 min walking ) arrive Heathrow express . get warm friendly welcome reception . room cute nice , mabye bit small . also bit warm get ok open window . lot traffic outside hotel i´m person like buzy city sound sleep good . extra plus two pillow get bed . room clean also bathroom . nothing wrong towel . the breakfast buffé small i´m breakfast person everything want buffé . the location hotel really great . it´s short walk Oxford Streed , Queensway Hyde Park side streed . also subway around corner busstaion rihgt outside hotel . couldn´t bee well ! alos like hotel it´s big , around 40 room . build it´s victorian style itselfe lovely . all , London Elizabeth nice hotel reccomend it´s warmness great location . it´s luxury good middleclass hotel . mat , Sweden 
 Jun 3 2006 	 be fan Fawlty Towers place ! 	 London Elizabeth recommend friend stay many year ago , also get good review tour book . one mention would like live Fawlty Towers , John Cleese never show . nothing work way suppose staff become befuddle request . example , third day finally receive tv remote control operable , point door ( instead tv ) use volume button change channel . 7:30 wake call come 7:42 . bartender & quot ; lounge & quot ; ( customer besides we seem staff shift ) know make drink , although nice boy Poland . request information front desk unfulfille , & quot ; call right back ? & quot ; ' m still wait call . unable locate thermostat room turn heat , tell heat whole building , able change , open window . friend want change room , take front desk four hour figure room available . friend place one room , luggage another , correct room actually third . many room either basement / ground level ( think dark mysterious ) small , worn , fill street noise . quirk top wear mismatched furniture , wear carpet , shabby towel . hotel & quot ; charming & quot ; way , furniture old , elevator could hold two people without luggage , decorate english garden style ( think ) . 's location near Hyde Park tube station plus well . room convert conservatory , although decorate quite strangely . ' ve since tell simiilarly price new , modern hotel close . 
 Jun 2 2006 	 Great Location 	 Location London Elizabeth excellent fly Heathrow . take Heathrow express Paddington walk ( 8mins ) hotel Paddington . across street hotel Lancaster Gate tube stop central line . , explore London great . note , Lancaster Tube stop close July - October 2006 . mean would walk Queensway Marble Arch tube station take ten minute . hotel old well keep room clean . bathroom average size London . room quite noisy stuffy , safe box wardrobe . continental breakfast avearge pay extra poor english breakfast . hotel staff will not give hotel high rating . maybe one two people staff bit friendly rest unpleasant rude . beleive price pay staff unpleasant uninformed . end great location , clean stuffy room , average facility breakfast , terrible staff . 
 May 28 2006 	 really depend Room 	 stay London Elizabeth read many positive review . look inexpensive ( & lt ; $ 200 / night ) hotel broadband internet service close Hyde Park ( could go run ) . yes , be inexpensive ( current London standard ) ; yes , wireless internet service ( advertised lobby - only , reach room ) ; yes , literally across street Hyde Park . review note , yes , taxi go fairly frequently ( never wait five minute ) ; yes , simple breakfast include room rate ; yes , shower good ; yes , Tube station across street . so give one star ? noise ventilation . London Elizabeth extremely busy intersection -- say busy , mean busy time day night . give interior courtyard room ( presume exist ) , might fine , second floor ( third floor Americans ) room overlook street . window open , impossible sleep . instal double window deal problem , work reasonably well , room get ventilation . many people not problem , need either fresh air night -- either outside air conditioner . outside air not option , air conditioning . bad , one two heater room would not turn completely , wake middle night ( not jet lag ? ) , room hot stuffy . bad make arrangement check two night early . there issue aware , minor . elevator two - person one - person - with - bag type , common Europe , aware be go take family luggage one go . tube stop across street , Lancaster Gate , deep ground elevator stair , escalator -- elevator back seriously peak period . prepared climb wait . 
 May 26 2006 	 Superb Excellent 	 go London 5day long weekend . Hotel London Elizabeth Hyde Park . friendly greeting arrive check quick show room . room nice & amp ; clean amenity would expect hotel room . find staff courtious friendly , first night dine evening meal superb , food cook order taste delicious . day tour London come long tiring , back Hotel either go bar order tea come serve tray lounge . outside Hotel Hyde Park , Bus Stops take place , taxi cabspass Hotel quite frequently . trish manager helpful every way possible nothing seem much trouble she . we would definitely go back London Elizabeth Hotel , informed friend go London give one try . we say thumb one . 
 May 5 2006 	 victorian Jewel 	 love little victorian jewel . smart service . mgr . trisha top guest care . aptly situate across Hyde Park . amidst everyday multi - cultural venue . bus tube front . Bed Breakfast / Dinner fare comfortable hearty . 
 May 2 2006 	 good basic hotel 	 stay 4th floor single 75 GBP night . hotel bit tired ; paint chip bit , floor bathroom minor slant , etc , pretty standard London . include breakfast buffet , & quot ; full English & quot ; cost additional 4 GBP . elevator , although tiny . room clean bed comfortable . small tv afterthought get channel , not bother use weather report . bathroom good size , bathtub , water pressure temperature excellent . location good , directly across street italian fountain Hyde Park ; Lancaster Gate tube station right across street , central line quite convenient . location good access park , Oxford Knightsbridge Mayfair shop , less theater around Shaftesbury Covent Garden . unlike converted town house hotels common hotel amenity , room service common area . always fire go lobby fireplace small bar good selection , although bar staff not entirely familiar . find London Elizabeth pleasant comfortable place stay reasonable price 
 Apr 21 2006 	 charming eccentric wonderful hotel 	 grand townhouse somewhat offbeat central London hotel . location great , safe , efficient bus service right outside front door Kensington Palace across street . room eccentric - cookie cutter hotel room - clean , vary size , comfortable homey way . service EXCELLENT - warm , personal , abundant . good room service . grand , cozy genteel way . want glossy 5 star hotel mega - service , not , want good service , amusing old - world atmosphere ton personality , place . stay London Elizabeth . 
 Apr 20 2006 	 great Time London Elizabeth 	 good hotel London . fantastic staff management , great food , wonderful room location die for . if want hotel everything expect stay away home place go . have great time , ! ! 
 Apr 20 2006 	 Terrible Place 	 stay student daughter begin April . find staff unfriendly uninformed ( exception two people ) . although request room view upper floor , place small cramp room ground floor . outside room bus stop stop sign hear kind noise early people argue horn blow car screech . include room rate continental breakfast , breakfast staffwere rude , rude , rude . make we feel unwelcome , awkward uncomfortable . would never even contemplate stay advice anyone read not either . 
 Apr 5 2006 	 mother daughter trip 	 many , spend month trip look accommodation . far good choice cost . arrive early room available . it one small room two bed push together , bathroom standup shower . mother / daughter team great . location , location , location ! ! ! ! airport purchase 7day train / bus / subway transportation card zone 1 2 . right outside hotel Lancaster Gate , central line , CENTRAL ! rarely switch train , nice show theater district . usually 10:30pm everyone walk subway take train home , ! safe , two we never experience problem . the morning buffet sufficient , eat lot , food expensive London . pub food , eat ethnic rest time , cheap tastier . take leave outside hotel , follow sidewalk around back take another main left , first street store . find indian restaurant die ! ! ! ! internet cafe 1GBP 30 min small grocery store fresh baguette cheese 10:00pm ( far cheap way eat ) room clean daily fresh towel , staff always nice , not seem know much different museum etc , always direct we weekly magazine information . as last post note say , Lancaster Gate station close several month summer , one main attraction . please enjoy walk Hyde park , every morning take stroll , often dusk well . a safe area , would definitely go again.side note : hotel house school group , prove good thing ! overhear many tourist complain & quot ; nosily , school group , infested & quot ; hotel , ! cheer , great visit London 
 Apr 3 2006 	 pretty good ! 	 husband stay London Elizabeth 4 day March 2006 . find pretty good deal Lastminute ( -- ) ( 75 GBP per night deluxe room include taxis b / fast ) - make hotel even appeal . not know would ' ve think good value money pay full 180GBP per room / per night rate advertise hotel lobby . , London , be cheap city ! ! pleased see give deluxe room depict photo hotel website - almost never happen . , definitely case & quot ; see get & quot ; .if go , think might opt cheap standard room , peek one clean see perfectly fine . I think staff could ' ve friendly , would not say rude either . you tell 's old hotel , wear carpet , peel paint , overly obvious . fact , add character . room however clean . problem hot water bathroom . way could take hot shower let water run 10 minute get hot . the buffet breakfast ok , pay 4 GBP extra want full English Breakfast . another fantastic factor hotel location . be directly opposite Lancaster Gate underground bus go Oxford St tourist site stop right outside hotel . consider bus much cheap , preferred underground . bottom line : would definitely stay again . Hope ' ve help ! 
 Mar 20 2006 	 good great like first time 	 stay approx year ago wow factor . single room large double bed plenty space move around . sure , agree lift small , could not really fault place . fast forward last weekend . staff still helpful , location still great , room still clean . difference room much , much small . first time Iw first floor , time second . one twin bed push together bathroom walk shower bath shower . could see reviewer pov , two room large amount luggage would space . still , place still comfortable , clean staff helpful . point note though , Lancaster Gate tube close month summer refit . might worth check book major advantage hotel safety proximity tube . would still return , aware room even remotely alike . 
 Mar 15 2006 	 Cozy 	 great hotel stay want authentic british style London . great service price include breakfast . however elevator big enough 2 people less 6 foot tall . great public transportation available right outside . 
 Mar 7 2006 	 Great Hotel ! 	 return 5 night trip London family . agree London Elizabeth great place stay . hotel not sacrifice comfort cleanliness sake save money . furthermore , hotel could not perfectly situate , Lancaster Gate tube station across street Paddington Station five minute walk . Hyde Park across street well , traverse half hour . room : room clean comfortable , maid service thorough . fresh towel every day . please advise smoking not carry quite stigma States welcome unless othewise specify . not smoke , make sure ask non - smoking room . room relatively compact , intend single . plenty storage clothing suitcase . also , room heat radiator , control . room stay warm want ( good thing March ) , get warm , able open window let fresh air . STAFF : staff helpful stay , someone always hand answer question , offer direction , offer local advice various attraction , etc . waitstaff Rose Garden Restaurant also excellent , look we well . food / restaurant : price room include buffet breakfast every morning . Rose Garden room bright cheery , breakfast serve two way : buffet make order . would like something make order , need alert waiter / waitress . otherwise , assume buffet . breakfast standard continental fare ( boil egg , croissant , yogurt , fruit ) good . room service couple time well . hotel offer 24 hour room service ; matter time day order , order always come we HOT . sure try apple tartlet custard . lastly , restaurant short walk away hotel , well couple bar . like reviewer , enjoy Mitre pub . miss . order food , order bar ( food excellent ! rarity pub sometimes ) . stay away Pride Paddington Swan look quiet pub experience . quite pub previous life , say Mitre & quot ; real deal & quot ; . 
 Mar 6 2006 	 Great Service ! Adequent room 	 arrive London Elizabeth around 12 am March 1st . classic double room large enough 2 people , beware street noise . lucky , live busy street Chicago use noise ( fact like ) , hear complaint breakfast next day . complementary breakfast , good try English breakfast one morning tasty well . hotel great position next Hyde Park close tube stop . never London , intemidate tube service , amazingly easy . the hotel overall great value . although room little date , service wonderful location perfect . definatly back London Elizabeth soon 
 Mar 5 2006 	 good price 	 book hotel part package travelocity , pay $ 70 per night twin room ( two single bed ) . stay basic room - upgrade deluxe option , $ 10 per person - clean quite large London hotel room . the location hotel excellent . central line tube station across street 's one busy stop ( nice be learn rope , would think ) . be also 5 - minute walk Paddington tube & amp ; rail station -- three main tube line well Heathrow Express . hotel bar nice quick drink bed , be also decent pub around block ( Miter ) : take right hotel , right onto main road ( bayswater ) , right onto first small street ( Craven ? ) -- pub far , leave . our major issue shower . first think not hot water leave , reception send someone ( , immediately ) turn need leave shower run 5 - 7 minute hot water kick . handyman say first time room ( # 336 ) use since renovation , issue resolve leave . I would stay , would probably upgrade deluxe room . 
 Mar 5 2006 	 good value 	 find decent hotel room £ 70 central London not easy . London Elizabeth good location , 50 foot tube station across Hyde Park . room pleasant , clean relatively spacious , staff friendly efficient breakfast well average . one warning though ; light sleeper will not enjoy room front hotel single pane window not stop heavy traffic noise Lancaster Terrace . 
 Mar 4 2006 	 Good Recommendation 	 friend stay London Elizabeth last year recommend we hear go London 15 year old grandson . time go , hotel & quot ; great deal & quot ; . convert pound dollar equally save approximately 40 % normal rate room . make reservation Deluxe Triple give we Lancaster Suite lot room we include alcove area husband . fault find room rough unfinished plaster one wall , probably previous repair basement would prefer high floor know hotel many room accommodate & quot ; triple & quot ; easily suite probably good we . hotel room clean breakfast room bright cheerful . staff pleasant helpful . fault smoking permit lobby make difficult we sit time , especially husband stay hotel day . location great , across street Tube take London . would definitely recommend London Elizabeth would stay . 
 Mar 3 2006 	 great location great family deal 	 book direct hotel , take advantage family fun offer . parking facilite great , lovely bar lounge area friendly staff . bedroom clean tired . also connect room ajoined family baby ( wake alot ) .... door thin sure quiet early -have teenager 's camp bed collapse sit . continental breakfast delightful probably worth pay extra minimal English . evening meal satisfactory , alot item menu unavaliable . would stay ... yes great view Hyde park , lovely staff great location 
 Feb 15 2006 	 London hotel ! ! ! ! A+ 	 great place ! sure paint 's little chip , 's clean room nicely decorate , breakfast room lovely , staff . location perfect . London full hotel not seem care much , hotel obviously , far cry would find price range . 
 Jan 30 2006 	 Great Location 	 be look great location cozy room spend little time , hotel perfect ! mother would absolutely stay ! recommendation site , book 3 night stay Jan 26 - 29 . 10 minute walk Marble Arch Oxford Circus ( fabulous shopping ) , pleasantly surprised find 20 minute walk Hyde Park Royal Albert Hall , Natural History Museum , Harrods . room 331 street noise throughout night , truly reasonable amount major street ( Bayswater / Hyde Park Road ) . 
 Jan 29 2006 	 good staff ever 	 go lady trip london May . originally book hotel road , extremely diasappointe arrive . sister - in law , neice decide go walk hyde park happen accross london elizabeth hotel . go immediately like place . lobby warm welcoming , staff amazing . managed come two room six us spot , reduce price normal rate . room clean & quot ; english & quot ; . staff always willing whip something eat , even kitchen staff go home already . many fun evening sit lounge drink guest , sit lobby tea fellow guest . breakfast expectation , could happy accomodation . also , fact tube step away hotel add bonus , mention Hyde park accross street . exceptional restaurant close , pub around corner . could ask . six us lady want return trip london , time spouse , would not stay anywhere else london elizabeth hotel . 
 Jan 17 2006 	 good value 	 stay normal double room ( book net ) 3 night . the hotel clean , breakfast good , tube 50 meter away many highlight walk distance . room size average stuff friendly . on hand , carpet , wall bathroom show age . however , difficult find brand new hotel center London , especially price . moreover , noise street room exist , case annoying . as conclusion , overall impression positive would definitely stay London Elizabeth . 
 Jan 14 2006 	 Regular Visitor FABULOUS HOTEL 	 regular visitor hotel , feel compel write review sorry take long find site ! aunt originally recommend London Elizabeth we nearly ten year ago sister , along numerous pal across globe , stay twice year ever since ! many staff long time - always good sign . manageress , Trish , true star alwasy willing help way . stay many different room suit basic accomodation extremely clean comfortable . location excellent central , right opposite Hyde Park . enjoy many regular jaunt breakfast ! also walk Knightsbridge Kensington Hyde Park certainly healthy option take tube - although underground station close . highly recommend hotel . friendly staff , old worlde atmosphere , good location , great service good value money ! course .. back ! Fiona 
 Jan 13 2006 	 Charming hotel . friendly staff . 	 stay Victoria Room . comfortable , well equip , clean . location Hyde Park ( right opposite Lancaster Gate tube station ) excellent . the staff helpful friendly . restaurant simple , good value . would happily stay . 
 Dec 10 2005 	 friendly fabulous 	 not stay yet .... arrive London next week stay London Elizabeth Hotel . thousand question update booking last minute nothing problem . service outstanding . person deal Kate fast helpful reply information . decide hotel reading review Tripadvisor know ' ve make right decision . will put review hotel tripadvisor stay , ' ve experience far , doubt be go wonderful . 
 Dec 10 2005 	 dissapointing ! 	 book hotel internet base review publish , want typical british hotel . stay 8 night , visit son work London , book several week , arrive receptionist surprised reservation onlinebookings.com , never give we smile welcome , reservation obviously take surprise , ( deluxe double room ) put we one underground suite , nicely decorate small lounge , ( rate ) appreciate , bed ! 2 adult ? quite small , husband nearly fall twice sleep , maid arrive morning pass underground door front , noisy , lobby situate top suite , wooden floor , imagine ! : - ) half staff nice helping , half not even work hotel , need go formation hotel business , also fact smoking allow lobby disgusting ! not mind allow bar , 's choice go not . anyway , come far away , mainly son visit London first time , put negative point look positive one . well situated indeed , across Hyde Park Kensington Gardens , Lancaster Gate Metro Station , well near bus stop tour . this definitely four star hotel advertise website . 
 Oct 27 2005 	 love hotel personality place ! 	 great hotel great location . take Heathrow Express airport will door - to - door 30 minute ( 20 min train Paddington easy 10 minute walk hotel ) . Lancaster Gate tube station across street Paddington mention above . like many hotel not build cookie - cutter , room selection vary greatly . homework : study website hotel brochure call necessary . chance room seem cheap be probably first floor face street hot August night air conditioning . we put 3 people Conservatory Suite comfortable . air - condition , quiet location rear wraparound window lovely terrace . small bathroom clean everything work . nice breakfast , helpful staff . cheap ( anything London ? ) . 
 Oct 10 2005 	 absolutely fantastic ! ! ! 	 glow comment could write would understatement , will try anyway . United States Navy , move London three half year ago . live London Elizabeth six week look apartment live . first impression life London come six week . room elegant , location could not convenient , staff go beyond expection . speak staff , advice extremely competent staff able get front row seat play star Matt Damon , Casey Affleck Summer Phoenix ; tell opportunity see Queen unveil statue end 7 foot away ; see sights tourist would expect see also get insight lead we see thing tourst never get see ; get valuable insight value various area search apartment , eventually move one energetic vibrant neighborhood London recommentation , also happen convenient would station without actually require live near base ; treat utmost respect courtesy , end initial stay indeed feel like leave family behind move apartment next three half year . flash forward present . good experience London Elizabeth first move London decide stay way back state , time one suite . would not know within hour return , reunite three member staff remember we first time stay ! , mind , cement status staff good , warm decidedly devoted staff ' ve ever come across hotel travel around world . may read posting room small noisy ... tell yes , room small , also room ... mind , stay one small room first move still quite comfortable . would kind expect small room Europe begin , would especially expect room slightly small hotel old ( well maintain , mind ) much history one . fact , busy getting know London go sightseeing room really least concern . need space , plenty communal room resort , like pub , sit room , board room ... available 24 hour day . clean lady loud , would ask claim still bed hour much London see room ! recent stay necessitate cot infant son , room adequate size , fact , also able stage several gathering friend right room ! one thing , food room service menu superb . must change chef last three half year , would remember ! mention fact cost food actually well value money would find nearby restaurant ( could not get well inform recommendation anyone staff want change pace ) ... rate , everyone entitle opinion , 's mine . London Elizabeth Hotel one style , charm , decadence , history , fine service ever receive . always fond memory stay , always stay whenever return . 
 oct 2 2005 	 Samll room noisy 	 friend stay London Elizabeth 2 night disappointed . room small bed uncomfortable . room sound - proof . everything go outside door could hear clearly , loud maid not help situation either . positive thing hotel proximity metro accommodate staff . know arrive early morning email hotel arrange early check . get , front desk know room ready we . probably good hotel budget traveler sleep anywhere anything . 's likely stay . 
 Sep 8 2005 	 good find 	 good hotel family four . clean room , great location , pleasant staff nice breakfast . good value London room . great pub around corner near Paddington Station call Pride Paddington . easy access everything , avoid tube use bus taxi . especially nice want stroll Hyde Park- across street . 
 Sep 2 2005 	 beyound service 	 party stay London Elizabeth Hotel , near Hyde Park , 5 night August 2005 . hotel condition good , location also , Staff set 's Hotel apart rest . enjoy pleasant conversation nearly staff , day night , go way friendly helpful .. -on day departure , arrive airport , discover passport Missing ! , become somewhat frantic ... well , trish hotel help trace ( fall bag , lodge behind night table ) , , run Heathrow Express , deliver we time make flight ! -I never encounter kind & quot ; beyound & quot ; service , ever , stay hundred hotel business travel .. Great Service ! 
 Aug 14 2005 	 great find ! 	 stay London Elizabeth 6 day , find thoroughly enjoyable great location . half block Lancaster Gate tube stop ( Central Line & amp ; convenient ) right across Hyde Park / Kensington Gardens . not new ( big part charm ) , clean comfortable ( opt deluxe A / c room ) . charming , traditional appearance . look like photo post . staff friendly , helpful . drawback would advertise internet service . mean one computer & quot ; Board Room & quot ; guest share . though laptop , hotel wireless service , tell internet available room dialup , charge per minute use . yike ! ! people take turn wait line computer available . good kid play game ! otherwise great find would return . 
 Aug 8 2005 	 unexpected deal 	 want stay hotel age could never afford 165 GBP cost . find online offer 115 GBP per night include buffet breakfast reserve two room ... delux double . arrive give price 97 GBP real deal summer London . yes , carpet stair wear , room beautiful . nice lotion , shampoo , etc . include buffet breakfast include bread , boil egg , fresh fruit , juice , yogurt , cereal . full engolish breakfast could add additional 4 GBP . bar nice , garden ( rose herb ) beautiful room service reasonable extensive . the staff help question - many since right second bombing uncertain use tube . hotel offer free email access private room room small fridge . , lift work every time - small elevator get luggage . 2 delux double room large keep clean . I recommend hotel we think pay $ 200 per night per room stretch . location special - right across street fountain entrance Hyde Park Lancaster Gate tube station . 
 Aug 2 2005 	 London Elizabeth 	 family four quad room . room good size . four single . good location near lancaster gate tube . recommend London Elizabeth . Ian 
 Jun 30 2005 	 good staff planet 	 London Elizabeth Hotel friendly , helpful staff hotel ever visit ! arrive , problem reservation , apparently travel agent cancel accident . brief vision vacation ruin , concierge sit , give beer , give room faith everything would straightened out . the entire hotel charming victorian style , room comfortable , continental breakfast nice . internet access free , hotel conveniently locate near Hyde Park Paddington Station . but good thing hotel staff . helpful , week stay , take trouble get know . multiple people recognize remember conversation . gather great information area , also get insight life live , book read , view politic . feel welcome like really belong there . any hotel give three hot cot , rare place let stay home , even be half world away . I highly recommend London Elizabeth Hotel . cheer , -tom 
 Jun 29 2005 	 stay Hyde Park Suite ... tremendous . 	 pleasure stay lovely establishment 6 day . first 4 standard room . yes , small A / C , hey Europe , far tell A / C often find anywhere . last two night upgrade Hyde Park Suite . stunning accomodation do justice promotional picture . afford , couple night suite cap visit quite memorably indeed . breakfast top notch , eat delicious reasonably price supper terrace rise garden , serve gracious friendly staff . stay many place London enjoy hotel . 
 Jun 27 2005 	 be like ? 	 first book ' ve make base review site . look hotel base rate cross - reference review . bit nerous have get really good rate cheap hotel London not ususally go together . need not worried , lovely . room view large , bathroom spacious lot towel , nice Neutrogena shampoos gel etc . there Casablanca fan roof , not feel need air - conditioning . lift indeed small . luckily first floor therefore not use much , see somebody lot luggage might difficulty . my minor gripe tea / coffee make facility room . compensate fact choice tea bring room nice china teapot piece cake room service . friendly staff place real character . chance will back . thank Tripadvisor reviewer point direction London Elizabeth . 
 Jun 21 2005 	 Magnificent Ambience ! 	 stay London Elizabeth Hotel 2nd June 4th June . although passage & amp ; lift small , room truly beautiful . look victorian . pretty crystal lighting , huge fireplace wonderful view street . close Lancaster Gate underground . bus stop outside convenient . direct bus Westminister Bridge . rise garden serve good breakfast . , staff polite attentive . booked & quot ; Family Fun Break & quot ; package really enjoy whole experience . surely back whenever return London . 
 Jun 2 2005 	 beware ! 	 picture ad lovely reality shocker ! know room small London closet ! luggage room climb carry - ons get bed . room call & quot ; standard room & quot ; , mean air conditioning attic ! imagine hot . room show internet identify deluxe room . feel & quot ; standard & quot ; pretty low . bed lumpy mattress floor even queen size . towel scratchy , thin smell funny . the hotel pretty , old building beautiful setting , right across Hyde Park . staff patient informative , get lot praise we help we time get place need go . use hotel ask lot question try get & quot ; deluxe & quot ; room first second floor . chance get old place catch fire third fourth floor would pretty slim . 
 Jun 2 2005 	 Great Location Good Value 	 wife stay London Elizabeth 12 night early Mid May 2005 . Elizabeth nice European feel charm . small , traditional , old fashion ambience . small pleasant lobby , attentive staff , clean well kempt throughout . room small nice certainly adequate 2 we . book budget site online , large , expensive room suite . continental breakfast include . extensive , certainly quite adequate . breakfast room pleasant staff good . we think location great . right across Lancaster Gate Hyde Park , Elizabeth bus stop right front serve 4 useful bus route , 50 yard away Lancaster Gate Tube stop Central Line . within easy walk distance Paddington Station , 's immediate neighborhood pleasant residential area . love step away Hyde Park offer . 
 May 25 2005 	 Home Away home 	 London Elizabeth Hotel make London experience amazing . 's location across Hyde Park close tube bus station many feature make stay pleasurable . good part hotel staff . knowledgable extremely friendly welcoming - every guest make feel like home , part family . accomodation experience North America , room extremely clean comfortable . nice start day enjoyable continental breakfast return & quot ; home & quot ; end long day walk sit fire pot coffee tea serve true english style . hotel offer restaurant lunch dinner , outstanding room service available 24 hour day could serve various area hotel . question concern approach staff respond promptly effectively . bunch canadian girl travel half way around world London Elizabeth Hotel become home away home . 
 May 14 2005 	 Honeymoon London 	 pleasant 6 night . hotel helpful friendly staff , expect standard accommodation States . book double room upgrade Montague Suite feel double room dingy . Suite much well , bathroom good size , although street real noisy . would matter noisy outside sightseeing 8 am return room 11 pm dead tired . always lovely return suite . nice breakfast include morning far good quality hotel location ! ! ! situate right across beautiful Hyde Park , far Kensington Palace / Park , Victoria / Albert Museum , directly across street Underground ! fantastic perk Underground close use everyday . Underground London suburb , easy navigate , excellent way get around London ! ! bottom line … . London , expensive city ( travel world ) London Elizabeth value dollar . 
 May 13 2005 	 Great Place ! 	 return week hotel . staff accomodate helpful . although kitchen wait staff seem grumpy -- outwardly , get vibe hate job ! split stay . first part , first floor however room little ' tired ' bit stuffy , completely adequate . would also say standard size Europe , bit cosy side . noise first floor not bother , be light sleeper , bring earplug . would avoid 1st floor room summer window open ( double glazed assume cut traffic noise ) willing move we next day decide stay . our return land we 3rd floor much nice room 1st floor , however shower , bath . its proximity Lancaster Gate tube stop fantastic , literally 30 second walk . the morning breakfast completely adequate , not know would want . end skip lunch couple day . full English cost extra 's cereal , yoghurt , fruit , juice , assorted roll , etc . I think rate much high room worth U.S. , London standard seem dumpiest place $ 100 . 
 May 11 2005 	 good ( ) 	 travel London one week every month stay 2 - 3 star hotel £ 60 - 80 category . book London Elizabeth £ 65 worth , would stay more . I stay hotel week April business mix feeling . immediate feeling upon enter hotel great , lift friendly receptionist . entrance busy street lobby cozy . get room might problem anyone fit ( elevator fill 2 people slow ) . single room ( give standard London ) quite pleasant , however bed - cover quite seedy yellow blanket likewise . bathroom small tidy seem newly re - decorate ( big plus ) . , give standard London , bathroom good ! breakfast sufficient , area Westminster Hotel Best Western Mornington far well , breakfast important . all - in - all general review stay GOOD.Other hotel area may want check , get £ 60 - 75 / night interval , comparison Elizabeth : Best western Mornington : + bed breakfast , - bathroomwestminster Hotel : + breakfast , - bathroomCorus Hotel Hyde Park : + design amenity ( new room ) , = breakfast , - room sizehope help , enjoy trip London ! 
 Apr 27 2005 	 traditional English Style 	 sister stay London Elizabeth Hotel delighted style hotel . we book twin room internet , however get hotel , twin room available . brightside however , give Montague Suite . double bed , sit area couch pretend fire place set . bathroom quite large hairdryer . the negative point suite location building . basement , view window , apart leg people walk by . the continental breakfast adequate croissant , pastry , yogurt cereal available . hotel location wonderful . directly across Hyde Park , across road Lancaster Gate underground station . short 5 minute walk road Marble Arch , many shop tour bus go around . 
 Apr 10 2005 	 great 	 stay London Elizabeth 2002 friend . upon arrive room , meet horrible smell come bathroom vent floor . hotel staff change room immediately . new room large , noisy night due traffic outside street . close Kensington Park , good part stay . hotel lift small , check one person could ride luggage one use stair . Hallways small serious level change ( uphill / downhill ) corridor . breakfast ok . hope something little nicer look room website . perhaps hotel refurbish since 2002 .... 
 Apr 10 2005 	 Spectacular ( lucky ... ) 	 stay London Elizabeth Hotel Hyde Park Suite . huge ! ! large sit area grand sleeping area separate fold leaded glass door - lot dark & quot ; antique & quot ; furniture , period detail funky add touch . bathroom marble 14 & quot ; shower head ceiling . ( Neutrogena toiletry ) . front back baclony . upgrade ( free ) standard room , appear much small much less elegant . breakfast fine - nothing grand . room service speedy reasonable . location great - easy walk Paddington , right Hyde Park / Kennsington Gardens foot tube stop ( Lancaster Gate ) . neighborhood pretty safe . hotel quite busy street trafic noise could troublesome . 
 Apr 6 2005 	 Loved London Elizabeth 	 get good price standard single room London Elizabeth hotel Easter week read review . room ground floor , double window quiet despite busy street outside . room nice large London hotel room . bath good size tub shower heat towel rack . room keep nice temperature enclose radiator window . room include two twin bed , two night stand , desk , table 2 chair , tv cabinet contain medium sized tv , adequate closet entry hall . everything well keep clean . staff friendly available 24 hour day . breakfast nice . include breakfast consist several kind bread pastry , fruit salad , boil egg , several kind cereal , yogurt , juice milk , coffee tea . could order full english breakfast extra cost . computer internet service available Boardroom guest use . find London Elizabeth outstanding value London stay . 
