refuge 	 stay hotel reason lot traveller - conveniently locate train station . hotle moderately price , seem even bargain pay New York . our room recently refurbish lovely . bed spectacularly comfortable good sleep whole trip . unlike other , think room definitely large enough . view nice . room service ok , drink lounge downstair good quality , reasonably price accompany great service snack . surprise free wifi , pay , whereas 2 * hotel New York able provide it . the location ok , able find good restaurant use metro system ease . would definitely recommend . 
 Dec 16 2007 	 convenient stay 	 stay recently six night since husband conference premise . say conference facility good . check friendly efficient . they give we room criterion request , however not realize small . one not mind cozy room would fine . husband claustrophobia suitable length time have stay . ( must admit even small room ' ve stay travel Europe ) request switch large room . fortunately one available , gladly switch we . happy spacious comfortable large room top floor nice view . restroom small side adequate enough . member Fairmont club also charge internet connection free local phone call newspaper deliver . consult concierge restaurant suggestion / booking stay professional helpful . eat Montrealis ( one hotel restaurant ) couple time stay satisfied . great salad dessert bar . also five star restaurant hotel consider , however try . low level health club date exercise equipment , spa indoor pool . use couple time glad . gift shop lobby also get beverage yummy pastry . one big advantage hotel location . underground city right hotel food court , boutique , etc . convenient go outside winter . like option grab reasonable breakfast instead eat expensive hotel restaurant every day . hotel also train station . stay summer pleasant walk outside could walk Old Montreal , site downtown . finally check quick efficient . would not hesitate stay , long could assure would get sized room . 
 Nov 26 2007 	 Bang Buck 	 hotel one save grace : location . first arrive hotel group hotel butcher reservation . total three room , two occupy day two friend arrive . hotel list reservation start previous day list no - show . friend ' reservation correct reservation third room begin day list . 45 minute try explain situation show confirmation room one two room . two friend wait room . actual room tiny . bed wear not - luxurious . internet use cost 16 dollar day top 200 dollar room charge . also charge 1.50 make call restaurant 6 block away . mattress hard linen one would expect Army barrack . bathroom another story . small cramp . toilet one inch vanity making use unpractical . request another room problem . tub crack chip around drain function properly . bathroom also ventilation . Beaver Club nice restaurant apparently serve shrimp rare shrimp cocktail . gooey shrimp idea fine dining . bar attach restaurant actually good . Daniel bartender quite expert Quebec beer make night enjoyable . find another place stay Montreal . 
 Nov 26 2007 	 Room Service Forgot Us ! 	 feel must state time trip , work sister company Fairmont book hotel employee rate approximately $ 59 . normally would not matter , Fairmont Queen Elizabeth make feel like not worthy stay hotel rate pay work . say , will give quick recap trip . my husband take train Toronto weekend December 15 , 2005 , celebrate anniversary . location hotel absolutely perfect travel train . train arrive around midnight great go upstairs lobby . check - in bit slow , quite people check time 's understandable . get room not overly impressed unimpressed . room . agree bathroom little tight not really bother we much . when get check get settle , call room service see still open taking order . place order . 5 + hour train without decent meal , quite hungry ! tell would 45 minute wait quite busy . problem , be long take pizza get delievere wait . hour go make call see much long will . get snap phone busy would soon . wait another hour ( ! ! ! ) , gave go bed , tired really care point . the next morning , go front desk complain . must say , normally complainer hotel restaurant ( probably count one hand amount time ' ve & quot ; complained & quot ; something ) feel staff need know oversite . work hotel , know hate get comment card back people complaint say anything front desk order get complaint rectify compensate . mention girl desk , bring reservation make face . say , & quot ; well work hotel . know be . & quot ; could not believe would say ! would never , ever say guest pay employee rate . yes , & quot ; know & quot ; . understand room service get busy , not even bother come , call we let we know have come . talk , manage get free breakfast morning husband still impressed way handle issue . the rest stay nice . love location hotel . December , cold snowy nice walk around shop underground . explore bit , go back hotel drop coat went shop without , nice . we not eat dinner restaurant , dinner local friend 's house can not comment . breakfast fine . all , decent time Montreal . would love go back ( preferably summer month ! ) stay long ( two night not cut arrive 12 am first night leave 7 am last day ) , would stay Fairmont Queen Elizabeth ? would not . maybe pay full rate , would ' ve treat like actual guest , believe hotel treat guest equally , regardless much paying per night . 
 Nov 8 2007 	 Amazing Hotel ! 	 recently stay romantic 3 day getaway wife . stay amazing , hotel beautiful service top notch , book online use restomontreal.ca deal impressive ! fyi : [ -- ] 
 Nov 6 2007 	 worthy Fairmont name 	 ' ve stay fairmont around world come find nice general , result , expect certain degree service amenity hotel . disappoint . first problem least 20 people line check arrive . realize Fairmont large , line length Fairmont not acceptable . next ( main ) problem room drab , tiny depressing . ' ve stay small hotel room , hotel manage make luxurious linen really nice room -- concept catch Fairmont Queen Elizabeth . bed extremely uncomfortable thin sheet ' ve ever encounter . furniture date well sink bathroom badly scratch . room also strange unidentifiable smell . also , housekeep good cleaning room , find extra keycard room ( husband ) hallway . ' m assume leave behind previous guest . disturb part keycard still work hallway outside door night . good part bar downstairs offer wide range tasty cocktail enjoy listen piano player . never stay hotel recommend avoid possible . 
 Nov 6 2007 	 Beware Valet Service 	 stay Hotel October 5 night disappointed aspect stay . first room old renovate . bedspread mattress old , carpet soil bathroom dreadful . top , park car use hotel valet service discover Ipod miss vehicle . report incident hotel quick brush responsibility hotel parking lot lease holder . extremely disappoint way hotel management handle entire situation . bottom line not care make matter worst . if travel Montreal strongly suggest stay elsewhere . 
 Oct 31 2007 	 expect 	 stay hotel hope typical Fairmont stay . usually good . time unfortunately , disappointed . common area hotel beautiful room put date need renovation . stay one convention hotel . carpet old particularly clean , room small , noise next door come loud clear . hand restaurant Montrealais wonderful would highly recommend anyone seek great restaurant experience Montreal . three us rack lamb disappoint . dollar salad bar , dessert bar coffee . 
 Oct 31 2007 	 get update room ! 	 definite plus hotel , outweigh depressing room need renovation . pay , include taxis $ 297 per night get we room 16th floor . request high floor view cathedral get . 16th floor one floor redone ask move ! sink crack , carpet floor look worn , great way start vacation .... even 1606 , room number , crooked door ! notice elevator would stop different floor , look quite nice ( good review read probably floor ! ) reason stay go take train Quebec wonderful feature . simply take elevator level . also access subway hotel along lot food court shopping . enjoy , also good location shopping downtown great walk ( close either ) old section Montreal . we eat dinner old section Cafe Bonaparte would recommend highly . chat couple stay hotel Auberge Bonaparte , happy choice . go back , property iwould choose . go Queen Elizabeth , sure get update room think enjoy stay ! 
 Oct 30 2007 	 Lennon Suite Blast 	 stay John Lennon Suite take entire package include : pyjama , music , menus , limo rise petal . example room cost dollar experience match price . the room exciting service receive stay exceptional . real moment able spend night room Lennon record ' give Peace Chance'Overall , pleased . 
 Oct 16 2007 	 4 - start hotel ? 	 shock see many room hotel still rennovate nearly 3 year ( last time stay ... rennovating ) . lobby quite deceive 4 even 5 - star caliber . room , however , quite date desparately need address . work , long hotel take ? positive side , staff friendly . 
 Sep 21 2007 	 Great Location ! 	 Queen Liz comfortable stay get resonable rate . book expedia give nice discount . close ( St. Catherines St. / Peel Street ) sit atop Montreal train station also mall shop lot breakfast / coffee option . service hotel top notch friendly ! Valet parking quick find back hotel resonable rate $ 26 canadian day . would stay ! 
 Sep 20 2007 	 great position overall disappointing 	 fairmont definetely great position , right heart downtown Montreal . underground access shopping center , subway train station . overall , not think hotel really upto cost . room large particularly clean ( carpet patch stain furniture cover dust ) bathroom pretty worn , broken marble tile old shower . service high quality , really can not justify 4 star hotel ask extra 3 dollar payment check - out luggage storage , include 4 star service . 
 Sep 15 2007 	 great location nice hotel 	 book within 2 week trip could not get one ' romantic ' hotel , fine . clean , helpful , small room bath . centrally locate . 10 - 15 minute walk old city , 5 minute shop Rue St Catherine 15 minute museum Sherbrook . someone gym explain equipment great help concierge . beware breakfast expensive . take one look price , go train station food court good hot breakfast 2 $ 10 . also 's coffee shop almost every corner many cafe . enjoy , clean , friendly hotel clean , friendly city . 
 Sep 5 2007 	 Service exist reasonable cost ! 	 Fairmont hotel always impeccable service , premium cost . Queen Elizabeth downtown Montreal break tradition . recent stay expect - detail small , price well norm area . I standard room & quot ; refurbish & quot ; category . cozy , bright color furnishing well suited room make seem large be . the service could well . fact , need quick beard trim keep look like goat . trimer dead , go ask belman could get couple battery 6 am . tell wait minute , pick phone . surprised , 2 minute later another bellman show battery - charge ! yes , ' m go back Montreal , yes , return te Fairmont . 
 Sep 4 2007 	 wonderful stay 	 arrive Fairmont exhaust full day work travel . agent desk extremely helpful accommodate request . couple minute wait accomodate request , felt delay we offer we complimentary breakfast ! ! welcome . the hotel classy clean , staff wonderful friendly . stay holiday weekend maybe hectic convention . underground nice even though closed Labor day . convenient metro . our visit Montreal superb , highlight wonderful place come back everynight rest . also take advantage well - equip gym , see many people enjoy pool . 
 Aug 29 2007 	 Queen Elizabeth great ! ! 	 good hotel , room excellent . large window room provide excellent view good lightingWe two room overlook city afternoon start snow , view awesome ! ! ! ! restaurant hotel bit expensive quality food provide ! ! Breakfast include room good although selection bit dissappointe compare Fairmont Hotels stay ! overall would recommend hotel dinner place ! ! room clean , service excellent staff friendly ! ! 
 Aug 28 2007 	 Wonderful Hotel stay Gold floor 	 stay Omni horrible- preview king room Gold floor ( 19 ) decide move- rate $ 289 per night well worth it- wonderful service- large daily breakfast evening snacks- view room perfect- think room almost double size standard room- foyer- bar nice large marble bath- desk two chairs- two club chair ottomans comfortable king bed- work luxury hotel 10 years- picky regard cleanliness staff attentiveness wonderful- restaurant also good- pool nice jacuzzi steam room good well- nice gym- weight seem liitle worn side- place clean . want leave Hotel- great stay ! 
 Aug 27 2007 	 Better Times Queen Elizabeth 	 wife wonderful stay Queen Elizabeth Montreal . stay 21st floor ( top floor ) descent size room king bed . city view nice , service excellent . overall , well stay experience Queen Liz Square Phillipe ; although Square Phillipe also blast . make sure check picture square phillipe . love , Mud Masked Couple 
 Aug 18 2007 	 Fairmont Great Choice 	 start finish wonderful experience . although exterior hotel could use update , interior well maintain . front desk staff helpful friendly . elevator quick efficient . room bit small side , two double bed , huge armoire table one chair , still enough room move around room . bathroom clean hotel supply amenity excellent . location hotel could well . situate directly Via Rail Station part Underground City , make hotel excellent choice ! 
 Aug 13 2007 	 NIce Hotel Great Location 	 nice hotel great location . ask room high floor possible ( personal preference ) king bed , request meet . friendly , knowledgeble staff . walk shopping restaurant . hotel main train station access elevator esclator shop restaurant . good option quick bite eat transportation . easy access Montreal Metro ; close station Bonaventure . access Metro without go outside . nice cold raining . 
 Aug 10 2007 	 would expect 	 's Fairmont , spectacular building chain , luxury comfort would expect . great cental location , link underground network . tourist town day , think could get much well value elsewhere sight seeing day , good choice want touch luxury . bar , restaurant room service expensive . 
 Jul 29 2007 	 Amazing Hotel 	 wife stay Fairmont Queen elizabeth 4 day , first always think 's funny two seperate people go hotel completly different view hotel . first regular room 17th floor Amazing View . buffet breakfest wife twice could not well , cook egg right infront exactly way ask , food amazing hotel . as far crowded , never really notice . people hotel could not nicer help we direction , draw back price parking $ 26 $ day . oh well , place great can not wait go back 
 Jul 23 2007 	 typical Fairmont hotel 	 husband come back Montreal Fairmont turn big disappoinment . since part Fairmont president 's club , decide stay Queen Elizabeth without much research . know many conference go hotel give time not realize bad . lobby always crowd tour group block entrance . elevator always pack guest . 1000 room 2 concierge work always 20 minute wait . room equip safe deposit box , umbrella mend kit . ask borrow umbrella hotel , tell we go mall buy one since . ever , order room service . japanese breakfast order contain rice 's even do tofu 's rubbery eat . regular breakfast sit around scrambled egg sausage dry . recommend go downstair breakfast buffet . pass Ritz Carleton dine Bronte ( recommend Toque Bronte highly ) Meridien well look 5 star service . lobby two hotel crowd . will not get service attention Fairmont Queen Elizabeth many people stay . 
 Jul 17 2007 	 OK 	 stay 13 year ago convention stay convention . room probably small room ever stay . staff wonderful room clean maintain well . probably would stay pay room small . 
 Jul 6 2007 	 great service location 	 can not beat Queen Elizabeth convenience , great staff overall service . room fine -- clean comfortable . yes , small side old decor 's big deal -- old hotel . food beverage pricy take escalator concourse many shop cafe get reasonable breakfast and/or lunch . 's conveniently centrally locate . staff superior well train . can not go wrong . 
 Jul 2 2007 	 Great Hotel central location 	 Booked hotel expedia & quot ; moderate room & quot ; . room nice , comfortable bed , clean , excellent service . hotel right downtown connect Central Train station , underground shopping , etc . go wrong Queen e ... remember , John Yoko & quot ; bed - in & quot ; Queen e .. Instant Karma 
 Jul 1 2007 	 great location Montreal ok room 	 get special deal internet 4 star hotel . quite excited rave review quite posh hotel . get see lobby fancy doorman wear white glove , etc . check go room . think get room go along special internet pricing room exciting . couch , queen size bed tv . nothing special , stay well room less - well review hotel . nothing wrong bad expect . feel pay full room price would get nice room . average clientele see walk around definately people money assume nicer room we . the staff nice we helpful question . hotel prime spot Montreal . train station / Metro station right . right train station several small resteraunt want get coffee , breakfast , quick bite eat . entrance Underground City right across block straight hotel resteraunt shopping area . also fancy resteraunt right hotel go . thing stink hotel pay $ 24 day parking valet . parking bit confusing . end parking wrong garage . 
 Jun 26 2007 	 Nice Hotel 	 nice stay . upgrade gold level , well worth $ 50 additional charge . staff friendly helpful room luxurious comfortable . hotel 's cental location excellent , convenient historical & quot ; old town & quot ; well area interest . fitness center well - equip available additional charge . 
 Jun 26 2007 	 good previous stay 	 stay one night recently , 2nd stay within half - year . love get train take escalator directly hotel . I give Fairmont 3rd floor room overlook construction area , scaffold platform lift rest outside window . well , empty pop bottle water bottle , dirty work glove sock ( ! ) sit thick pile dirt dust , litter terrace area outside window . ask room could open window without get dust blow room , courteously move . still , amazed room even offer guest C $ 291 / night . new room , unable set alarm clock ( alarm hour button not work , minute button , could choose time 12:00 12:59 wake - up time ) wake - up call prompt . breakfast excellent room service fine . shoe deliver 7 am indicate . wait awhile call around 7:45 . shoe arrive around 8 am . , experience adequate , good have hope . love location , food good , ' m seriously consider go back Westin . Sigh ! 
 Jun 24 2007 	 well do ! 	 excellent location visitor city hotel frequent business trip . rate average probably fair comparison hotel size . give Queen Elizabeth 's number room service personalise possible . kudo one two check staff recognise return stay make feel extra welcome ! pool workout facility great city hotel . room bite small side , well decorate . great shopping nearby fantastic walk concierge help . recommend either go towards Mount Royal McGill University campus head south Old Montreal Old Port . great city explore , lot good museum - qe good base operation . the food lobby lounge well one might expect service prompt courteous . would love try well review fine dining restaraunt Beaver club , yet opportunity ( would note frequently close weekend evening ... probably thank great restaraunt Montreal ) . 
 Jun 15 2007 	 Great Location Service 	 boyfriend stay Queen Elizabeth group rate Mondial de la Biere festival . say , drink quite enough forget hotel like ! luckily , quite nice . small error upon check - reserve extend King room ( think 's be call ) two reservation name computer get - one normal King one extend queen high floor . end take normal king since not extend king available . lady check extremely attentive . we get room , 17th floor , rather nice view . window could open bit , nice check weather like go morning . other mention , tv standard , old tv , would nice plasma something along line , not really spend enough time room use much . bathroom bite small , space utilize quite well . complaint shower not quite luxurious ' m use hotel calibre . disappointed see bed fluffy duvet featherbe anything sort , bed actually , , comfortable , complaint ! doorman also great , willing give we direction wherever go . valet also incredibly fast . would call downstairs right leave , couple minute later , would already . good valet service ' ve see hotel . another advantage hotel connect underground Place Ville Marie , large food court serve plenty breakfast item . one favorite deli serve smoke meat sandwich . go Montreal smoke meat ? ( unless not eat meat ... case , suppose pass ! ) one note Americans make travel Canada long reclaim taxis hotel . not realize expect get money back leave , stay little expensive originally anticipate . also , one note Montreal , like beer , sure visit Dieu du Ciel brewpub . 's corner St. Laurent Laurier , $ 11 cab ride hotel . beer OUTSTANDING , service great , brewer extremely friendly willing talk brew . 
 Jun 11 2007 	 wonderful weekend QE 	 husband take parent Montreal long weekend . choose Queen Elizabeth good rate travel agent . standard room 6th floor nice . like able come go car - olympic stadium tower top Mount Royal . also enjoy explore downtown foot - especially choice restaurant . not miss sculpture McGill street right come garage - & quot ; Illuminated Crowd & quot ; . 
 Jun 1 2007 	 great location room first class 	 hotel great location train station directly connect underground system metro . rate hotels.com half list price well worth . although hotel quite nice overall , floor ( 16th 17th ) seem overdue renovation . wallpaper pealing carpet wear 16th floor room . room small today 's standard . bed linen fine . furnishing adequate . view nice floor relatively quiet . service pleasant . 
 May 22 2007 	 family spot 	 although beautiful hotel location shopping perfect , nothing family rainy day . we ' ve montreal countless time thought would outdo location . wrong . gear toward conference . pool simple pool , whirlpool working , hot tub hot . the room clean ( sure reserve one renovate ) staff friendly . food pricey location underground fine eating . no simple nightlife accompany 12 year old . often travel together sit enjoy drink music entertainment ( even people watch ) discussion people possible Fairmont . nothing see . piano bar - start later evening - sure child allow lounge anyhow . 
 May 21 2007 	 Gold floor absolutely wonderful ! ! ! ! ! 	 wife return spend Victoria Day weekend Fairmont Queen Elizabeth Hotel Montreal . good hotel experience live . stay two night one Gold room 18th floor . room beautifully decorate , wonderful view cathedral surround downtown . arrive train great ! simply take escalator panoramic elevator Reception desk . complementary breakfast , beverage throughout day , evening hor d'oeuvre Gold Lounge wonderful . concierge staff friendly thoughtful ; dinner Beaver Club exquisite . maitre have standard other measure . shop great , nearby Old Montreal City Underground ( link hotel ) . 
 May 11 2007 	 Avoiding convention delegate 	 spend week 10th wedding anniversary . celebration dinner Beaver Club excellent - nice cake make we , well souvenir photo . staff great throughout stay . room well design comfortable . location superb , guest write - definitely eschew hotel breakfast fantastic & quot ; Deli Planet & quot ; food hall hotel . day trip Quebec good , come ' home ' train , walk step lift back hotel relaxed end day . but , hotel take thousand convention delegate , say : pretty obnoxious . want patronise bar singer / guitarist - excellent , drown boorish delegate , monopolise lobby , bar , etc . hotel management might want think put discreet , polite [ i.e . canadian ! ] notice lift , remind guest respect guest ' desire sleep . wake several timesby delegate shout along corridor , put tv full blast 5.45am , generally behave though entire building ' their ' conference . 
 Apr 30 2007 	 fairmont - fair deal 	 Booked hotel ' airmile ' UK offer good rate time reservation . our stay co - incided extremely cold snap weather much slushy snow etc street . thus pleased find hotel warm . staff deal friendly helpful - especially concierge help sort excursion Quebec city etc ( day trip well worth ! ! ) room standard size face Mont Royal . agree trip advisor comment upper scale hotel fairmont flat screen hd tvs room . comment room extractor fan bathroom - thus steeme easily . travel without laptop used business centre internet access - charge $ 4.00 plus tax per 15 minute . hour access gain collect key reception . the location railway station link ' underground ' city excellent , make easy get around especially bad weather . certainly lunchtime area pack office worker go lunch - quiet time . extensive food court rail station offer incredible selection eatery taste . overall good experience . 
 Apr 23 2007 	 Beautiful Hotel Outstanding Service 	 spend two day weekend night hotel two adult two young child . the room clean furnish contemporary show wear . complaint room stay ( Fairmont Room ) small , although know go due hotel website display square footage room category online . large room option available . high speed internet direct connect ( plug already provide room ) . travel alone business ( likely spend hour laptop ) , would prefer wireless available . tv 27 inch picture tube variety . know traveler become accustomed large Plasma / LCD HD TV 's high end hotel . location great , easy access Underground City Metro . ( fortunately , warm weather get spend time outside ) . hotel main railroad station Montreal , surprisingly strong reasonably price food option Les Halles de la Gare , collection food vendor . Les Halles two elevator side away room ( one go room lobby , switch 2nd elevator locate elevator band go Les Halles ) . , could room Les Halles 3 minute . service consistently excellent : concierge helpful attempt locate couple item forget home . upon departure , bellhop door within 2 minute ring assistance . housekeeping solid , although replace towel even though hang couple re - use . since travel young child want take cab ( car seat ! ) , use valet parking frequently . consistently car we second , always polite ask need direction . late night room service solid , unexceptional . order late night table d'hote ( sandwich , cup soup , ice cream bar ) c $ 19 quite reasonable . side cake additional C $ 8 . 
 Mar 28 2007 	 Outstanding ! Great Location ! ! 	 wonderful experience ! friendly , helpful staff . great safe location short walk nearby shopping district . room spotlessly clean up - to - date . highly recommend ! ! ! 
 Mar 23 2007 	 long time ago love 	 visit hotel family year ago . father plan vacation , not know rate detail . however , family 6 , hotel accomodate . location great , arrive train . easy find , consider 's right train station . room spacious clean , like rest Montreal . staff friendly . sibling much enjoy pool . also , restaurant attach good food , enjoy authentic crepe . would recommend hotel anyone . 
 Mar 13 2007 	 try avoid - many well choice Montreal 	 check room poor condition disturb untill late night drunk teen party . report noise situation , inform hotel manager poor condition room , nothing do rectify situation compensate we disturbance . actually tell management apologize inconvenience , , fact , fault , busy weekend , give fact hotel lot corridor 20 story , accordingly difficult monitor property properly , call front desk next time disturb middle night . complain overall experience check - out , front desk attendant offer we free night stay avoid embarrassment crowd lobby customer . will guess offer valid anymore leave promise . 
 Mar 9 2007 	 great Stay Fairmont ! 	 stay Montreal 5 day , 2 Le Sheraton 3 Fairmont Queen Elizabeth . queen definitely well two downtown Montreal hotel . I arrive early ( 12 pm ) 3 pm check ... nice accomodate get room early . great view window cathedral . view hotel Mont Royal , do not option since check early . the room nicely design ... lack one thing ... flat screen ... amaze many upscale hotel still offer subpar entertainment guest . stay hotel lcd tv really add room . entire room ( bed , pillow , blanket , desk , et center , lamp , curtain , bathroom ) top notch , tv stick early 90 . ok enough tv ... bed comfy ... yet small ... say queen size ... queen size bed home either full queen size Queen Liz define differently Montreal . the high speed internet $ 15 24 hour ... that s average price internet room ok . the bathroom small , nice black tile nice wood tone . toiletry nice shampoo , conditioner , body lotion , shower cap shoe shiner ( need venture Montreal 's slushy dirty street ) .I eat one fine restaurant , Le Montréalais , lunch one day mexican sandwich , extremely good . reasonable price stuffy crod people eat around we . I get two word ... creme brulee ... room service 2 night row damn good ... arrive promptly ( 20 - 25 minute ) show alot goody ... get alot money , spend money ... fiance spend roughly $ 75cad- $ 80cad dinner ... include tip taxis . creme brulee I m desert nut ... say good haha . also try hen menu ... pretty good bbq sauce great choice side . the lobby elegant welcoming ... lobby area fireplace , comfy couch , seat read people watch 2:30pm-6pm daily & quot ; Afternoon tea & quot ; . include tea china set , finger sandwich , desert etc . do not get tea look nice . another convenience hotel connect train station ... leave lobby take escalator downstairs Montreal 's major hub ... connect dozen store , restaurant passageway part Montreal 's undergound city . able go shop Eaton Centre without bring jacket early March one day -25f . warning : dont VENTURE UNDERGOUND CITY 11:30am-1:30pm WEEKDAYS VEEEEERY CROWDED BUSY ! would definitely stay ... recommend visit Montreal want splurge . that s expect stay Fairmont chain . staff friendly helpful need something ( towel , toothepaste etc ) . merci ! 
 Mar 2 2007 	 convenient business trip nothing special 	 Fairmont Queen Elizabeth convenient location business trip . business district , major road train subway station , well huge shopping mall , connect underground . the one advantage chain hotel idea get ever arrive . stay Fairmont chain hotel one different . hotel quite large plush rather old fashioned luxury hotel type way . enter either door , reception area immediately within view , doormen porter quickly direct reception desk . Montreal , staff first greet French , bilingual . french must obvious English accent since many staff switch speak English hear speak . I room king bed . special rate receive $ 165 week night $ 185 weekend . room reasonably spacious room tv mini bar cabinet , desk , chair , large armchair ottoman space leave set luggage stand . bathroom rather tiny . find hotel give much shelf counter space bathroom exception . nice smell shampoo , conditioner , bath gel lotion provide . hairdryer , bathrobe slipper . the bed comfortable room clean . request turn service evening . room away elevator , middle long hallway face main street . prove quiet room . be business mean get much opportunity explore hotel . spa , pool gym use . late meal bistro , Montreal , lunch Voyageur bar . meal fairly good cheap . soup $ 7 sandwich $ 14 Voyageur . top end restaurant , Beaver Club , locate ground floor . the hotel room set Internet , use business centre locate low lobby . cost $ 4 15 minute internet , take full 15 minute , waive charge . the staff good anticipating need . Taxis hail even ask , check , someone immediately hand see want store luggage later . the hotel also mid - distance , 5 block , edge Vieux Montreal 5 block way Sherbrooke Street , place interest high end shopping area . I would recommend business traveler , pleasure , prefer Vieux Montreal boutique hotel . 
 Jan 24 2007 	 Excellent Fairmont Property 	 Excellent property . great location arrive train literally top train station . historic hotel ( despite fairly modern design ) site John Lennon 's famous bed - in . all - around beautiful property top - notch staff . hotel undergo major renovation recent year common area , room well update . Cool classy . great restaurant site sure leave hotel eat city compete Montreal 's restaurant scene . excellent business hotel , great visit city . room small side perhaps well suited couple , single , business traveler . strongly recommend . 
 Jan 14 2007 	 Reliable 	 will not bother hotel review comment accurate agree . love place food . travel around world many time believe hotel one good dining experience affordable price experience . Montrealais & quot ; coffee shop & quot ; would put many high end european restaurant shame . great breakfast par fine hotel US significantly less . will not even bother compare th crud pass breakfast London Paris . like Montrealais much even try business lunch . good salad & quot ; bar & quot ; ever sample . ( salad bar poor description offer , quality selection great . ) staff quality , superivison attentiveness par deluxe asian hotel . bottom line great value buck . 
 Jan 12 2007 	 staff good ! 	 would highly recommend hotel . beautiful decor , great location , clean room . room small use , think that s european influence . location can not beat underground shopping right escalator , walk distance Old Montreal 10minute cab ride Casino . the good part hotel staff ! check - in check - out , friendly , cheerful , helpful staff ever . New Year 's weekend concierge great . hotel full , many people ask help , patient accomodating . need assistance time time walk away smile . recommend make reservation Thai restaurant , Chao Praya - great ! recommend restaurant , well . 
 Jan 3 2007 	 nice hotel / Great Location 	 stay New Years Eve Weekend . book tourisme-montreal.com Sweet Deals special ( pay full price one night get 2nd night 50 % ) . Queen Elizabeth one honor special rate holiday weekend . we standard room , King size bed . fiance think room small nice clean ( important we ) .they also provide good information Montreal room . tourism book great map city street handy . staff nice professional would certainly stay hotel . 
 Dec 30 2006 	 can not beat Location Service 	 hotel shine since takeover Fairmont year ago . fairmont stress customer service , always strong point hotel size , staff can not wait rush room towel , bottled water , whatever . concierge , front desk staff , bellman equally happy give endless suggestion go , eat , get , . ' m crazy redone lobby design , since retro charm 50 's original obliterate . expect bathroom small ( think 50 's ) , room comfortable well - equip . central location view unbeatable Montreal . lobby bar , adjacent renowned Beaver Club restaurant , reputation mix great drink many year . agree previous poster $ 24 parking cramp little garage , people wait forever car bring , silly . park $ 15 Central Station garage across street ( Belmont , back hotel ) . 
 Dec 19 2006 	 stay Gold Floors 	 Husband meet sister daughter ( 10 ) hotel central Montreal . hotel sit top train station elevator service station shop . addition , easy access Montreal include underground part city . extra dollar , stay Gold Floors hotel within hotel . complimentary lovely breakfast serve daily snack buffet evening guest lounge . concierge go way help . hotel ADA room truly accessible . indoor pool health club . hotel parking garage . overall , great place stay city full fun . although restaurant City pricey kid friendly . city wheelchair accessible van take place need . though ask price order cab . hotel AAA discount - Canada CAA . 
 Dec 11 2006 	 another fantastic Fairmont Experience 	 large hotel , blow away . stay Fairmonts coast coast well Hawai ' , never seem disappoint . Montreal Fairmont Queen Elizabeth . service excellent , excellent . positive reviews bang money . some back story : wife want get away anniversary . take VIA RAIL Toronto Montreal . 's great set walk underground train lobby hotel without go outside . time leave train check room could 7 8 minute . the hotel centrally locate downtown Montreal . hundred shop , restaurant , boutique stone 's throw away . 's 10 - 15 minute walk old Montreal . subway , maybe 10 minute . perfect . the room great . comfy . Feather pillow , comfortable bed , well maintain room . eat hotel ( be many place Montreal ) plan give hotel 's 5 star Beaver Club chance next time go ( look wonderful ) . hotel also family restaurant bar , plus another bar next Beaver Club . full work room small pool hot tub ( could not get pool , many people , hot tub great ) .some downside : change room health club need serious upgrade ( need update antiquated locker ) . steam room hot enough , control adjust . room 's bathroom tad small side , much place put stuff ... nothing would keep away , pretty minor observation . tv work great , fully stock mini - bar ( complimentary water turndown , coffee & amp ; tea ) , check smooth , daily paper delivery . concierge helpful . highly recommend . would stay without question . 
 Dec 10 2006 	 hotel genuine class 	 not put Fairmont 's considrable size - gorgeous hotel manage feel much small actually ( good thing ) . quality service good ' ve ever experience staff ( ) genuinely friendly ( oppose fake - friendly ) . one clearly see hotel management take staff training seriously indeed . the decor throughout carefully think - out beautifully understate , bed comfortable , bathroom well appoint ( although shower little lacking ) . complaint bedide lamp dim read immediately address . finally , Queen Elizabeth ooze character , possibly score world dignitary stay , include Queen Mother . good enough be good enough I . highly recommend would not want stay anywhere else go back Montreal . 
