San 	 average overall fine need . Thought would japanese hotel really refurbish hotel 80 's japanese decor . still , staff pleasant . room good size great big bath - probably good thing room ) twin room plenty space . 10 min cab Union Square 20 min bus ride outside . room idea restaurant like . Filmore St min walk roab interesting shop + restaurant . 
 Aug 28 2008 	 not worth price ! ! ! 	 stay three night Kabuki Hotel . room would expect 270 $ / night . window old not close properly room noisy . balcony share floor even sticky window say safe left window open . the first day begin clean room forgot finish . leave wet dirty towel bed , did'nt clean room . also ask hight floor view three month arrival ( avoid street noise ) ' ve get second floor room . I pay supplement & quot ; citi view & quot ; therefore expect nice room tower ' ve get second floor view secondary street . I find lot Motels , even San Francisco , well room , well service less 1/3 price . 
 Aug 23 2008 	 Lousy 	 expect quality hotel excellent service . sorry say stay worth money , service one word : lousy . even meet service 1 star hotel . Joie de Vivre story experience bla bla even achieve basic standard service . 
 Aug 21 2008 	 Excellent bed well stay Union Square 	 stay 4 night end july like japanese stuff really japanese , picture decoration . excellent bed bathroom , clean near Japantown shopping mall restaurant Fillmore restaurant walking distance . take bus 3 different bus Union Square , bus stop really near 's 8 minute . cold welcome behaviour receptionist . Part Joy de Vivre Hotels , really lovely recommend . 
 Aug 17 2008 	 enough 	 good location , comfortable bed , good restaurant breakfast , mostly courteous staff , beautiful garden ; however , room hot ( air conditioning ) , charge internet use business center , television channel , bathroom area private enough . glad stay , . 
 Jul 28 2008 	 Style Limited Substance 	 ' m impressed Hotel Kabuki wrap four - night stay recently renovate room . longtime resident San Francisco move abroad , hear good thing hotel know Miyako . seem quality compromise since . know hotel 's location good one . edge SF 's small charming Japantown , close major bus line Geary Boulevard Van Ness Avenue . smartly appoint hotel lobby courteous Front Desk staff provide great first impression . room also nicely decorate gave feel bonafide boutique hotel . problem crop almost immediately . toilet clean , basic complimentary amenity miss ( remain miss well housekeeping pass next morning ; secure amenity ask directly ) , guest robe hang closet fresh make - up stain inside previous guest . television remote control miss , call get replacement grill Front Desk agent whether do thorough search room remote control rather tell another would send straightaway . hallway prove noisy evening , neighbor 's half - eat dinner order Room Service remain hallway floor well twelve hour . otherwise , one two doorman seem everything possible make eye contact enter exiting guest . exactly hospitality action . isolation , one problem seem minor . together , point fact Hotel Kabuki style substance ... especially give price . 
 Jul 23 2008 	 Taste Japan 	 stay Kabuki first choice not available ... luckily ! really like Kabuki . reception fast , helpful , friendly , professional . place calm peaceful well appoint . room , corner room ( 1111 ) small perfect . view city , small balcony , nice japanese tub bathroom comfortable bed . able easily use internet room . drink h'or d'ouevre downstairs , delicious . eat dinner across street bushi - tei , also delicious . whole experience enjoyable , begin end . like towel much , buy two take home ! ! 
 Jul 18 2008 	 well place spend money 	 stay three day ago one night vow never go back . we look forward stay choose place spend last night trip San Francisco . the welcome tea ceremony promised never take place . room smelly go wash face see finger nail basin . Yuk . the internet connection bad . take 10 min open webpage . need connect reconnect repeatedly . then next morning go breakfast hotel 's restaurant take 10 min someone take order . voice displeasure might take 20 min . see family whose father also lose patience becasue issue . there many well place San Francisco stay , definitely one . regret make decision decide pst message people go experienced . 
 Jul 17 2008 	 Loved Hotel 	 friend attend wedding SF find quite challenge find reasonable hotel . , search , find Hotel Kabuki . man especially adventurous wonder japanese hotel would different . well , book happy . parking easy ( though use valet parking ) , room clean , japanese decor strike staff nice be . the sheet soft pillow great also . bathroom way standard bath include entrance shower tub . bath salt include direction take traditional japanese bath . return dinner enter room , guest break rule smoke somewhere drift room . call desk move we without delay give we $ 15 dollar credit breakfast . restaurant hotel exceedingly expensive food good . cod get taste like wonder bread ( still figure ) , hamburger great , drink also grossly overprice , morning coffee go $ 3.00 could obtain across street $ 1.75 ( mall ) omlette overcooked dry . room free instant coffee . husband would eat restaurant again . but hotel - would go heartbeat . experience great fun . good time ! 
 Jun 29 2008 	 could special place improvement 	 Joie de Vivre hotel group , Hotel Kabuki belong , impress we greatly stay Domain Hotel Sunnyvale . hotel bright , new modern . Kabuki Japantown quality , although japanese style decor . lobby pretty impressive , staff polite . Deluxe Corner room 15th floor , take advantage bird's - eye view balcony . enjoy view , lucky witness & quot ; Critical Mass & quot ; demonstration / celebration ( depend view ) take place right window . elevator lightning fast , ride smooth . slide screen window / balcony door room japanese illustration , black framed furniture japanese - style fabric give room distinct feel . traditional soak tub well , although use way time ( preferred shower ) . bed , pillowtop surface , comfortable . usual amenity -- hairdryer , safe , refrigerator , shampoo conditioner . kimono - style robe nice touch , though robe seem bit old . style have hope , room bit worn need remodeling . hot pot room boiling water tea , set tea cup small tea pot . provide two tea bag seem bit stingy , though . coffee maker however , disappointing husband . even though heart Japantown , Americans still like coffee room . tiny frig full honor bar drink , room leftover food bring room . one thing wish room door bathroom sink area . toilet room lock door , wall separate bathroom / toilet area main room , shower stall door clear glass , lack another door take away privacy , especially want shower wash sink someone visit room . door area would also minimize noise someone use sink shower might disturb someone else sleep bed . hotel need improve concierge service . staff direct guest doorman duty , doorman not seem know much . ask get Golden Gate Park park , doorman neglect tell we no - leave turn street many one - way street . also leave fact Asian Art Museum Park huge parking lot , instead tell we park one street south park . drive frustrating . next day , ask doorman ( different one ) get Point Reyes north , idea get without look map . map give we . even hotel may cater business people , know advise guest tourist activity . book room call hotel directly , get great deal $ 150 avg . per night ( June 2008 ) . relative stay hotel pay almost much Expedia small , less interesting room . parking nearby municipal garage $ 15 per day , $ 10 less hotel 's garage rate , $ 20 less Fisherman 's Wharf area . hotel nice area -- especially Fillmore St. , many small shop restaurant . lack japanese restaurant neighborhood . also like Soko Hardware Store across street Post , Ichiban ( Dollar Store - like ) store attach mall . remodel , upgrade amenity , improve concierge service , hotel quite wonderful . 
 Jun 24 2008 	 treat ! 	 daughter read hotel site talk usinto stay . great experiance ... beautiful area ( would never Japantown really enjoy ) thehotel beautiful room heavenly . Komono robeswere surprise not expect . also check inthe front desk call ask everything neededand tell we evening tea ... call front deskif would like complimentary tea 6 9 . wonderful loose leaf tea serve usin little tea pot glass honey lemon . the room beautiful view Japantown , beautiful rice shoju screen paint japanesewoman wooden screen . 's family favorite .. one slight complaint would shower set upcould tad private . will definitly back ! ! ! 
 Jun 19 2008 	 Weekend trip 	 go SF weekend , stay 2 night Hotel Kabuki . beautiful hotel . bed nice . however call ahead time tell room would double double view balcony tower part hotel like reserve online . arrive tell change family suite ( upgrade ) garden part hotel first floor view pass car balcony outside air . ask change room woman front desk stammer stare monitor . air conditioner not work hot room . Valet parking joke , $ 25.00 night tell second night could not park even though empty place . find staff friendly never say thank look we eye . pay lot money room not want upset whole time . 
 Jun 2 2008 	 Cool Hotel Unique SF Experience 	 family ( 2 adult , 2 teenager ) stay Hotel Kabuki one night April , 2008 order get & quot ; ordinary & quot ; experience give kid taste japanese hotel like . hotel quite nicely decorate , conveniently connect japanese mall full japanese store & amp ; restaurant , soak tub bathroom nice plus ! kid stay queen size bed living room wife & amp ; share large futon tatami bedroom . nicely appoint , tatami room remind hotel stay Japan - authentic comfortable . even find sauna bathroom check - bad not know soon ! not eat hotel feel breakfast somewhat overprice ( business might eaten hotel ) , decent dinner one many japanese restaurant one adjacent shopping center , breakfast one coffee shop mall well . add plus , take advantage free use Kabuki Spa checking . wonderful experience , variety tub great steam room relax japanese music . hour , could stay least one . hotel expensive side , San Francisco , sprung suite tatami room - conventional room 2 bed would less expensive . tatami bedroom cool 
 Jun 2 2008 	 great place stay central everything . 	 hotel came highly recommend we . want stay day Japan Town area San Francisco day holiday . property recently undergo renovation nicely do . room still tiny bit date , product room , especially bed ( king bed , feather duvet , amazing egyptian linen ) restaurant site ( japanese western style food ) must experience , server dining room go way service . ton restaurant shop right across street close walking distance hotel . the wharf , pier 39 , shop close , hop trolley 10 minute hotel head attraction wharf . would sure recommend hotel place stay San Francisco . 
 May 29 2008 	 Beware Room 411 	 overall , nice stay . get good deal Travelocity airfare / hotel package Hotel Kabuki . check Wednesday afternoon , give key room 411 . first glance , room look ok ; open curtain look window . could see cement wall restaurant exhaust system - ugly , rusty sight . look straight , see tiny bit sky . I go back front desk politely ask could change room one could actually see something window . hostess ask need king bed japanese tub . tell could queen bed japanese tub unnecessary . say would upgrade we cost King room concierge floor jet tub . check room 2504 . pretty big , wide window rice paper screen open reveal view city direction hotel Japanese Garden . jet tub large deep . concierge floor mean complimentory continental breakfast . Thursday morning 7:30 set coffee , fresh fruit , large sweet roll , cereal , milk , juice . Friday morning - continental breakfast , even coffee . hurry go sight seeing not bother ask . Saturday , Sunday , Monday , leave sign breakfast area say would continental breakfast could pick voucher front desk use hotel restaurant . voucher worth $ 12 pp apply restaurant bill . breakfast food good . one day service slow next day fast . we enjoy room hotel . love japanese decor , modern lobby , japanese Garden . japantown little bit way tourist attraction main bus line transportation easy convenient . enjoy serenity Japantown fast pace downtown . area clean malls store fun interesting . 
 May 26 2008 	 Delightful Oasis Japantown 	 arrive hotel late flight , inform check - in not reservation ( thank administrative assistant forgot ) . nonetheless , front desk person , Sherman , helpful . lobby beautiful room oasis hustle city . conference facility excellent . bar restaurant exceptional . would highly recommend hotel . 
 May 24 2008 	 Wonderful Hotel 	 Booking : contact hotel direct make reservation . turn less website . pay $ 112 room night , however , weekday . check : arrive hour early surprise room ready immediately , nice since travel day . Interior : love japanese theme hotel yet still remain western enough feel like board . simple elegant . RoomsKing Room : nice clean . thing bit small visitor , perfectly fine two people . Deluxe Double Room : nice clean . love little sit area . since 7 people travel ( 4 stay hotel ) , use room hang place time . service : front desk accommodate answer question . housekeeping always wonderful job room . Valet however always available parking easy . amenity Dining : since hotel day often , review amenity restaurant . wish could taken advantage hotel offer much SF . love little mini mall attach hotel especially Ichiban USA . wonderful place buy little snack souvenirs friends family . inexpensive fun . place go SF : -check Coit Tower night day time.-We dinner North Beach one night , highly recommended.-one favorite activity take small road trip Stinson Beach . San Francisco cross Golden Gate Bridge , take Hwy . 101 North approximately three mile & quot ; Hwy . one , Stinson Beach & quot ; exit . follow sign enjoy drive one scenic highway nation . Stinson Beach approximately 20 mile San Francisco . make sure stop Muir Beach Outlook , will not disappoint . 
 may 19 2008 	 Hotel Kabuki- Exceptional 	 would like commend wonderful staff Kabuki . w/ , ' also get client colleague stay & amp ; praise guy . ' stay establishment couple time must say , raise bar time - especially front desk team , namely Mr. Reyes . know , warmth fine customer service part industry definitely add personal value , & amp ; separate guy cliché . ' one thing get aesthetic quality cover ' definitely another combine perfectly w/ exceptional service . keep good work look forward another hassle free stay H.K ! 
 May 8 2008 	 Kabuki Right 	 stay Kabuki one night way New Zealand wish could stay long . staff encounter friendly , courteous hospitable true japanese style . room comfortable ; hotel quiet ; general ambience one peace relaxation . also appreciate Japanese Garden . kind hotel . hope stay would like try & quot ; Joie de Vivre & quot ; Hotels future standard Kabuki . 
 Apr 17 2008 	 nice fair price 	 nice hotel . japanese area city staff accomodate . king room view view worth . overlook TransAmerica building leave bay right . truly breath take . price online hotel website reasonable could find hotel cost area . since business trip limit time able travel off - site bath house however soak tub room amazing . thiink hotel would comfortable japanese visitor well . menu contain half american dish half japanese dish . nearby dining option neither suit . 2 thing unsure whether receive club point Joie de Vivre membership get right booking trip whether someone come room tea service ( since impression pre - stay email hotel ) . neither factor affect feeling stay whatsoever . 
 Apr 6 2008 	 really nice alternative . 	 week San Francisco convention decide take two kid . mean look suite , could put kid bed one room still stay watch tv visit friend . kabuki variety reasonably - price suite fit bill , bit regular double room big - name convention hotel . ( note : Kabuki 's ' East - West ' suite , one western bedroom one japanese tatami room , adequately isolate one room 's sound . ) ' Junior Suite ' great purpose . kid big bed room foldaway futon our . the hotel newly remodel ( Miyako live ) , comfortable . staff seem change constantly , hard find regular , ' go - to ' person ; however , everyone professional pleasant enough . japantown nice part city , plenty ( mostly asian ) dining option close hotel . find could walk pretty much everywhere want go ( make obligatory tourist trek Hyde Street Fisherman 's Wharf even walk Tea Garden Golden Gate Park ) . need cab , easy find . the drawback think lack sort bathrobe room -- bite odd japanese - style hotel -- rather slow wireless internet . also , refrigerator suite would nice ( idiotic mini - bar -- anyone actually buy overpriced crap ? ) however , , would gladly go back , glad opt Kabuki mega - chain conference hotel . 
 Apr 5 2008 	 Nice Hotel good location Japantown 	 recently spend 3 night recently renovate rename hotel Japantown . second stay time get nice & quot ; view room & quot ; lot room , good view San Francisco , japanese bath . staff friendly . time enjoy promotional rate good San Francisco . time service somewhat lacking -- not get complimentary welcome wine daily newspaper . also couple item miss room clean one day . breakfast service bar slow ( expensive ) time try . overall pleasant stay good price . 
 Apr 5 2008 	 four - star price without four - star service 	 recently stay Hotel Kabuki find , word , disappointing . hotel nice , much certain , patron offer four - star caliber service match hotel 's four - star price . upon arrival , expect receive help two large suitcase three personal bag , one find door -- -no doorman , bell hop , nothing . tow luggage front desk , check - in swift , offer assistance bag . worse , give insufficient direction room & quot ; Garden Wing & quot ; find lose within five minute check property . return front desk give well direction different attendant . saddle many bag , episode might even register negative ... , time get room annoy fatigued . first impression : room bill & quot ; Executive Sauna Suite . & quot ; consist two large room : sit / work area bedroom attach bath sauna . though room recently remodel , damage already set - in make part room look dingy . paper shoji screen rip several place , scuff mark dot wall , ceiling look like repaired repaint several time . obvious many flat surface bathroom somewhat shoddily re - faced granite , rather entirely replace . short , room nice , far perfect . detail : Ipod dock nice , dearth convenient outlet charge laptop , phone , camera . adequate , comfortable bedding appreciated . toiletry okay , towel fluffy bore stain previous user . two flat - screen television set feature small number station choose . drape open , room nice bright . evening hour , even lamp , room annoyingly dim . light bathroom worst see time . four - star hotel provide occupant kind light magnifying mirror grooming , Hotel Kabuki . result , morning task difficult tiresome need . overall , hotel quiet . hear neighbor time . free wi - fi nice work . Special Bathroom Note : bath area separate sink area , also separate toilet . door separate bedroom . area door , privacy never concern . Room Service : avoid hotel 's room service cost . overprice , course , exceedingly poor quality . order dinner , mediocre , , day check - out , order scrambled egg breakfast inedible . egg sulfurous undercooked , sausage disgusting , pastry lack , coffee bitter . worse , deliver hasty staff interested presenting meal collect tip . art room service hotel master . assume Denny be across street would well bet food service . housekeeping : housekeeping efficient adequate . complaint . ( interruption . ) Business Center : find annoying business center ; computer free use . printing network look hassle , take laptop room write information longhand . the day check , bellman available help bag make first contact driver . improvement . I doubt would stay ... unless significant discount . Kabuki want four - star hotel , master art hospitality true service , deserve rank . 
 Mar 30 2008 	 Nice Room Poor Service 	 get executive suite sauna really good price middle week . room great , minor detail miss . bath could use new caulking dry sauna not get hot ( need steam make hot ) . phone not work bedroom telling , one come fix . get service ... check , tell go different elevator lobby , annoying . offer tea service . club floor free breakfast . coffee empty ask front , never bring ( even 45 minute later ! ) . location great room quiet . cheap room , would probably stay , time will not expect 4 star service go four star room . 
 Mar 26 2008 	 4 Star plus book ! 	 nice hotel rate 4 star . staff friendly free wine reception evening lobby . room extra nice 5th floor club level . breakfast include floor also . Location Japantown nice unique . also bum lay sidewalk begging like see downtown hotel . cab Union Square $ 8 Muni bus run every 5 minute past hotel Geary cost $ 1.50 . sure return Hotel Kabuki next time San Francisco . 
 Mar 22 2008 	 great location will stay 	 friend recommend hotel dissappointe . great location easy access public transportation . room great view , spacious , bed comfortable , japanese style bathtub fantastic soak day climb hill . attach restaurant pricey breakfast good . complaint minor one : arrive one seem interested help we baggage room decor seem stranage mishmash asian western style decor , be picky . try get room view , take advanatage deep japanese style soak tub . 
 Mar 21 2008 	 good option 	 good value money city hotel . access city via public transport little difficulty use local bus route map . Althought & quot ; town & quot ; give option get part city . japantown area really good thing . good restaurant explore good area within easy walk . good eat drinking find within easy reach . hotel comfrtable fault . bar excellent . would recommend , yes would . base see SF good bet sort local transport , mean get bus map , simple . 
 Mar 18 2008 	 ideal place stay relax 	 stay Kabubi Hotel ( Used call Miyako ) many time . rate anything great place stay relax . service great every one extremely friendly competent . rate reasonable room extremely clean quiet . always try plan trip far enough advance able stay . recommend enough . Frank Butterfield 
 Mar 11 2008 	 great place beat path 	 stay Hotel Kabuki convention could not happy . check , give upgrade & quot ; club & quot ; level . large room , one wonderful soaking tub ( whirlpool jet ! ) free continental breakfast every morning . room wonderful . king Sleep Number bed , IPOD dock alarm , plenty room . Loved free wi - fi . staff polite , helpful attentive . catch cab extremely easy ... never wait 5 minute ! absolutely stay ... 
 Mar 3 2008 	 Alright casual trip go elsewhere want special ! 	 husband decide stay brief honeymoon . bad impressed service - ' ve get well Motel 6 ! bride tell hotel love honeymooner ( get anniversary business , right ? ) . well , mention go honeymoon book room . reply email confirmation state honeymoon ( get # guest wrong ) . even mention front desk check . not expect extra anthing , already expensive room , Congratulations would nice . ( private ceremony , really tired hearing ) .nope , congratulation . fact , get & quot ; call front desk want welcome tea & quot ; , walk away . Gee , thank , feel welcome already ! case , decide call front desk hour later . say , & quot ; question welcome tea . & quot ; Response & quot ; fine , someone tea 15 minute & quot ; hung , & quot ; & quot ; even let say thank not want . well , husband room another hour . tea arrive . finally decide go dinner . leave , joke around , kneel close door behind we , etc . ( stay japanese suite , slide door entry way seat area , door raise sleeping area ) . , be POSTIVE close door . return hour later , door seat area sleep open . course , call front desk , husband look see anything missing ( add ) . front desk say & quot ; one would enter room , must remember leave door open . & quot ; course , say sure closed . reply , & quot ; one would enter , thank & quot ; hang . yeeeaaa ... point , decide stop deal people hotel , enjoy Japantown . too bad 9 am , bang door housekeeping . apparently decide ignore & quot ; Disturb & quot ; sign door . open door make sure still . yes , hang nicely door handle . dirty look get point , state would not room least 11:30.the room lovely , though . thoroughly approve bath product place room , quality excellent . hotel look well last time stay , get engage . we celebrate get engage . go brief honeymoon . intention go back every year anniversary ... think miss repeat business . recommend ? want anything resemble courtesy . do not care people polite , go ! 
 Mar 1 2008 	 can not wait return ! ! ! 	 never stay Japantown must say great location . able take bus everywhere . hotel wonderfully clean , friendly staff ( especially day doorman ) fun bar . go back ! 
 Feb 29 2008 	 Loved everyone 	 really love stay Hotel Kabuki , ' hotel everyone . ' elaborate below . the Room : spend extra corner king room , glad . room 14th floor , view spectacular ! slide glass door 2 wall cover slide shoji screen step onto narrow balcony run around whole corner room . room small entry hallway one closet . half closet , though , fill large bookcase hold minibar , coffee maker , coffee service , safe , tray minibar snack . tuck open side closet two fold luggage stand . room large contain chaise , glass - top desk tv , desk chair , low glass table , second chair . bed unfortunately one almost - a - king bed husband ' foot stuck end . bed comfy warm duvet fluffy pillow . either side bed endtable . ' note never say " dresser . " room half closet two small drawer endtable . come week , like unpack fully , ' find living suitcase . tv low - end flat screen , wiggle cable get good picture . arrangement room , also pull desk middle room see tv bed . one endtable clock / radio also iPod dock , favorite music leave charger home . heat / AC old control , strangely noisy middle fan setting , low high . room pretty good shape , although wallpaper peel back one shoji screen rub it . the Bathroom : bathroom 3 section , toilet closet solid door , sink area , shower / tub separate glass door . room come japanese bath . ' never see one , imagine two tub side - by - side . take one tub , leave faucet handle tile floor . make 2nd tub narrow pull side knee height . 1st tub low wooden stool small bucket use soap rinse , get 2nd tub soaking . also fit showerhead , we Americans , ' tall 5 ' 2 " ' need bend rinse hair . water pressure great water always nice hot . bathroom come exfoliate soap scrub , bath salt soak , well usual shampoo , conditioner , lotion , hairdryer . toilet closet quite spacious , even large guy ' feel cramp . service : check - in & amp ; check - out quick pleasant . settle room , call complimentary hot tea service . serve great iron teapot . doorman – happy Buddha - shape guy – recommend chinese restaurant across street good Chinese ' ever ( San Wang Restaurant ) . room always clean . call extra towel one night take japanese bath , although take long time come , get huge stack towel , two extra bath salt , roll tp , box tissue . we cover ! every night 5 - 6:00 free wine sake lobby . also get free breakfast 2 - for-1 drank coupon hotel ' restaurant . breakfast usual american buffet , service fast attentive . also could go free Kabuki Springs & amp ; spa block away , ' time . room free wifi , could never get signal – even lobby . cab stand right outside hotel , bus stop ½ block away . 3 - day Passport great deal $ 18 , consider ' $ 5 ride cable car . bus service fast , efficient run 24 - hour . overall : great , fun hotel . husband love japanese theme . location right next Japan Center give we ton eat ton shop . downside short bed , lack wifi , poor tv , lack dresser , short shower . 
 Feb 25 2008 	 truly unique boutique hotel 	 check Hotel Kabuki simply attend conference - expectation quality personality hotel . I pleasantly surprise unique hotel edge San Francisco 's fame Japan Town . recently refurbish ( substantially , understand ) tasteful . be quiet private , staff understate eager serve . greet lobby sake tasting ; perfect introduction . my room , king room corner 12th floor , terrific . japanese theme hold guest room ; mine additional bonus corner room small balcony overlook Japan Town west Cathedral Hill south . highlight , though , japanese bath . . . deep tub meant soak aromatic bath salt . outside tub separate faucet stool mean use washing enter tub . quite experience ! conference center well - appoint , staff courteous efficient . food conference unique good - spectacular . 
 Feb 12 2008 	 terrific Time ! 	 husband celebrate 24th anniversary Hotel Kabuki , amazing time ! arrive pour rain pleasantly greet sake wine taste even get front desk check - in . check Michael front desk , upgrade room find celebrate anniversary . tomo refill glass sake invite we take glass we room . later evening , Michael deliver yummy sake delightful , tasty snack nice anniversary treat . jump enjoyable soak wonderful tub -- sake great complement bath ! enjoy light San Francisco corner room . room nicely furnish , lather bath product nice touch . morn , awake beautiful sunrise sneak building horizon . weekend plan take Michael offer help we anything need -- want take bottle yummy sake home we . Michael get we bottle . would highly recommend Hotel Kabuki . price right , room great , staff awesome . park good large city : park underground lot next hotel -- easy access continuous rain . not spend near enough time hotel . , not take time enjoy Kabuki Spa , hear great . Guess will plan next visit SanFrancisco -- will definitely stay Hotel Kabuki ! 
 Feb 9 2008 	 great value lux - light hotel 	 husband stay KH 11 day , combine business pleasure . request Executive Suite overall outstanding value , large comfortable long stay . request quiet location , honor . executive suit lovely comfortable , light ideal actually work room lamp provide quite dim . however , lovely desk comfortable office chair , copious / convenient electrical outlet free WIFI seamless . also in - room safe accomodate laptop . add bonus room sauna bathroom . Constructive criticism : inconsistent housekeeping , particularly noticeable weekend . room always clean , removal dirty glass variable , request wineglass daily front desk , outside carpet need vacuuming . front desk staff extremely responsive commended customer service approach . restaurant joke compare copious excellent option immediate area . familiar SF , hotel & quot ; thick thing & quot ; San Francisco Japantown actually want . breakfast , head Filmore ( 4 block away ) one boulangerie . overall great stay , Peninsula , outstanding value wonderful customer service . skip restaurant . 
 Feb 3 2008 	 Great Hotel ! ! 	 wow . great hotel ! hospitality great accommodating . access Miyako mall Japan town great ( not even get wet ) . king suit spacious japanese style bath great soaking . arrive , we western style room ( still spacious ) want japanese style room . front desk fix flash give new room . king bed sleep number comfortable linen soft . bath even small sauna ( great dry wet clothe rain ) . downside place difficulty get taxi far attraction city . still $ 7- $ 10 taxi ride anywhere would want go ( straight Post street ) . Public Transportation also convenient . enjoy Nissei culture , place stay ! 
 Feb 1 2008 	 Fabulous Stay Kabuki ! 	 husband come back 5 night stay Kabuki . wonderful hotel ever stay . stay nice hotel San Francisco city one good . staff ever courteous accommodate . first give small king bedroom 16th floor quite nice book ( book large renovate King corner room sit area 2 glass door / window balcony ) . bring attention , immediately move we 15th floor corner King room offer move belonging . sure mix take care promptly graciously . room clean well take care nice japanese decor . spaciousness comfort sit area chaise lounge , chair glass coffee table welcome treat walk street S.F . deep japanese tub soothe muscle mind -- need hot tub spa ! especially love open soji screen morning look city mountain . also pretty night city light . cover though narrow balcony step feel fresh air nice even rain . housekeep exceptional . staff accommodation / kindness : one evening inquire buy bottle wine . front desk staff say would quite walk raining , produce bottle we , charge ! 3 minor area would enhance room : 1 . put slide door close bathroom 2 . chest drawer clothing 3 . offer black green tea in - room coffee set . check special price vary . cost $ 125 2 week later see $ 179 . would worth room also would beyond budget . 
 Jan 29 2008 	 nice place 	 wife live Bay Area want get away couple night alone ( kid ) . wife insist wherever stay , good sized tub . think room deep japanese soaking tub , pleased . bed quite comfortable . I agree review , room small size , standard SF . staff really terrific restaurant soooo nice . bday , compe we entire dessert bill , include drink ! nice feature 's attach Japan Town Mall , totally enclose nice selection restaurant choose . 
 Jan 17 2008 	 Heavenly Kimono Robes 	 stay corner room 16th floor . room extra large compare San Francisco property . decor nice blend japanese traditional contemporary touch . Shoji screen cover floor - to - ceiling window , small lovely balcony , japanese soak tub , chaise relaxing reading , plasma television , IPOD docking station heavenly Spa robe make stay extraordinary . bathroom separate vanity granite counter lot space toiletry , towel soft wonderful commode totally separate traditional japanese bathing area . tall people may find show experience bit problematic . 5.4 showerhead one inch away crown head . floor room cover carpet design mimic tatami mat , closet large feature safe refrigerator . not count coffee tea buttler stock Folgers instant coffee Lipton tea ( fun ! ) . bed dress high count egyptian cotton linen super soft comforter . fan pillow . thick taste . public area . hotel heart Japantown . food lovely , people nice neighborhood sooooo clean . hotel 5 block away wonderful shop Fillmore street . hotel offer daily wine sake reception complimentary guest . avoid fitness facility . small update . instead go walk run . 
 Jan 17 2008 	 Japan 	 visit Japan couple year ago enjoy stay hotel Hakone region . hotel gear domestic japanese tourist stay tatami room . tatami room Kabuki fairly authentic except not Toto toilet smell musty . like hotel Japan light futon bed floor get middle night go bathroom , could not turn light get bathroom . fortunately enough light light outside street shine shoji screen see . guest offer tea service deliver room . want light tea serve airpot tea steep long bitter . the employee courteous helpful . tv remote not work , husband call front desk employee come promptly room give we replacement . 
 Jan 13 2008 	 Loved Kabuiki 	 Exceptional service ! Kabuki conveniently locate newly remodel . room nicely appoint comfortable . restaurant surprisingly good breakfast dinner . make property stand truly exceptional service ! every single staff person come contact delight - helpful , knowledgeable , nice . hotel strong recommendation . 
 Jan 12 2008 	 Friendly Staff 	 good remodel Miyako . every staff member exceedingly friendly . room offer tight quarter desk bed , may good heavy business . hotel restaurant good plenty room . quiet area . noise come loud door latch hallway . well soundproof around door would help . Taxis call none wait . eat florio - 5 block away great food . 
 Jan 12 2008 	 Hotel restaurant good 	 eat breakfast & amp ; dinner hotel restaurant , Izekaya Lounge & amp ; everything awersome experience . food great & amp ; also service staff . 
 Jan 11 2008 	 pretty nice 	 husband get back 6 - night stay Hotel Kabuki , part , enjoy stay . reserve present renovated deluxe king room , disappoint ! although 16th floor , room tiny bit outdated . room clean , smell smoke . bed not king , view room average . staff nice enough relocate we . settle type room side floor , slightly large king - sized bed . view city spectacular . although wall paper thin , find 16th floor quiet . we LOVED soak tub , cozy bed , free internet , festive decor . also appreciate wine hour , great martinis bar , front desk , literally japantown . highly recommend parking underground half cost valet , reserve room high possible good night 's sleep . front desk even give we half bottle cabernet reason - what nice touch ! always find room neat pin return back afternoon . we like lack storage space room ( put clothe ? ) , desk chair inch away bed - I climb bed get side room husband working desk . also appreciate inappropriate conversation make bellman upon arrival . give tea service promise , maybe busy ? room tiny , would probably opt corner room return . overall , feel stay great value , yet present awkward moment . staff make valiant effort accommodate guest , leave content experience . 
 Jan 10 2008 	 excellent -- sleep intermittent thunderous traffic 	 room pleasant , extremely clean , really like comfortable bed selection pillow . japanese touch room , especially bathroom , fun . staff efficient friendly location good . room rate reasonable free Internet nice perk . -- room , five night , face Post street . every minute , could hear loud thunderous roar cause truck strain way uphill . noise especially bothersome 5 morning . not understand not instal soundproof window . loud noises mar otherwise wonderful stay . there restaurant inside seem good not chance eat . also exercise room . handle public transportation ( , San Francisco ) , bus cost $ 1.50 run Geary frequently ( right behind hotel ) . avoid take taxis many simple trip , especially work hour . a variety fine not - so - fine japanese asian restaurant nearby . starbuck similar cafe visible within walk distance . amusing see Denny 's Japantown , two block hotel . last day , notice Peet 's Coffee sign themovie theater window couple block away . aside disturb intermittent traffic noise , Hotel Kabuki seem fine place . would definitely stay renovate window ( get efficient earplug ) . 
 Jan 9 2008 	 good room experience 	 like room get . payed $ 199 dollar . receive corner room . 6 inch room get inside room bed dresser entrance way next bed . bed face window . bad feng shui chinese people . bathroom good . terrible room layout . could not get luggage entrance pick would not hit dresser luggage . never sleep place especially rate pay . stay Clarion near airport ' ve stayed pay half price receive large room . customer service okay . nothing special . 
