beat 	 terrible 's nice hotel casino sleep night town . stay many other strip busy day traffic unbearable . terrible 's short drive strip walk athletic . room luxurious go vegas locked room , long somewhere crash that s sleazy smelly terrible 's make cut . 
 May 17 2007 	 Terrible 's great value money . 	 stay Terrible 's week , May 2 - 9 , sorry leave . New Tower room really nice . clean , view pool , huge tv wall . food restaurant good cheap . sure buffet - try couple time ok great . stay , make sure sign Player 's Club - point collect use slot use pay food , drink , stuff gift shop , name . hardly spend anything apart Casino . casino huge , good range slot table . cocktail waitress friendly come round quite often . 's great place stay want near Strip , 15 minute walk away ( be bus stop right outside ) , pay Strip price . 
 May 16 2007 	 nice little gem off - strip 	 stay Terribles April 24 26 . wonderful stay overall , would definitely consider stay . room : tower room - new redecorate . ' ve attach picture bathroom . quality room great - much well & quot ; basic & quot ; room flamingo sahara ( hotel stay ) . Plasma TV ! marble bathroom counter new fixture . beautiful ! ! couple minor complaint : ice machine Tower ! walk casino gift shop fill bucket ice , little annoying . also find a / c unit quite loud , constantly turn night , make difficult sleep time . sure room , be general a / c problem . eat buffet breakfast one . small , decent food . $ 5 / pp , ample 241 coupon available . great value ! cafe good food , great price & amp ; service . amazing graveyard special ! would recommend rent car , stay plan visit strip , definitely nice change pace . pleasant surprise ! 
 May 10 2007 	 Resturant Buffet Food Worst Food ever 	 want make sure warn everyone badthe buffet . brunch buffet Saturday April 2007and bad buffet food ever eat . ateat buffet least four time food wasvery bad timeand wait staff terrible . please skip . 
 Apr 10 2007 	 anything ' terrible ' 	 return 10 day stay , beat many Strip hotel value & amp ; facility . room clean , comfortable , coffee make facility large flat - screen tv . Maid service every day leave plenty coffee , soap & amp ; shampoo ( whether need ) .Signed casino 's player club get freebie ( t / shirt , cap ) , free / half price meal perks.2 restaurant premise , one serve variety buffet day & amp ; evening ( great value compare Strip hotel ) another general restaurant meal , burger etc . expect US , portion big enough . also small shop casino floor level serve food , drink clothe , etc , far Strip hotel price . it be mile Strip , be 20 minute walk ( 2 main bus route ) not problem . overall , excellant hotel , great value , would recommend anyone . 
 Apr 4 2007 	 Great Hotel . good position 	 hotel situate junction Flamingo & amp ; Paradise , opposite Hard Rock Hotel . room new Tower block . room good size decorate nicely 42 in Plasma TV & gt ; bathroom good size . overall room good feel it . there 2 restaurant , Buffet & amp ; Waiter . excellant value money . eat could not believe cheap buffet . People que biffet dinner , show good be . the casino small , like , especially travel group , can not get lose . table $ 5 minimum bet , great beginner . the hotel 's courtesey bus airport , also bright red stretch Escalade . reception arrange we ride along strip great fun . do not go hotel want large themed hotel strip . stay terrible want good value accommodation everything need right door step . 
 Mar 27 2007 	 terrible 	 husband first stay Terrible 's part free promotion . stay several occasion since , find good deal price Vegas . pay little $ 19 / night , never $ 75 August weekend everything else outrageous . room always clean decor contemporary - well high price place Strip . buffet worth , everything taste . pool attractive staff friendly . like gaming table - casino small table limit low Strip casino . , 's center Vegas action , stay hotel Vegas ? 
 Mar 27 2007 	 nice quiet home base 	 stay Terrible 's March 14th - 19th March Madness . staff helpful check - in breeze . stay new Tower section recommend choice make , walk old room area need remodeling . tower room 40 & quot ; Plasma 's overlook relax pool area versus parking lot non Tower room overlook ! central location corner Paradise Flamingo terrific . Hard Rock street recommend go Hofbrauhaus German Beer Hall across street . recommendation Del Frisco 's amazing steak- firefly well - ever tapas- Rosemary 's hand - down deal week 3 - course Gourmet Lunch Prix Fixe $ 20 . ! ! ! peppermill gigantic high quality breakfast Dona Maria Tamale authentic mexican food ample tequila . 
 Feb 24 2007 	 stay 	 unfortunately flight Las Vegas delay airline assign night . would recommend place budget lodging . room dark , dingy altogether unappeale . food terrible . shuttle to / from airport run one time / hour . 
 Feb 17 2007 	 Terribles - trip report 	 Stayed Terribles call directly get great room rate . check fine . cansino small smokey small casino . room locate 5th floor new tower . room bathroom nice size . AC / Heater extremely loud kick way adjust blower speed - full blast ever turn . bed seem worn ( low spot ) .casine cater local Friday evening weekend could really tell . little seedy know mean . the walk strip bad 25 minute . see Titantic expo - interesting . also see LOVE music great . show much . 
 Feb 11 2007 	 terrible not terrible ! 	 couple friend decide head Las Vegas back August 06 . well , not good time year go , make . staff terrible accommodate kind . room okay , walk get front counter long one , main floor eventually find short cut , work . definitely hotel budget . be look inexpensive place sleep . enjoy restaurant buffet . portion restaurant huge ! first night , two we decide prime rib dinner two . come enormous caesar salad , baked potato , garlic bread , glass merlot . use & quot ; Player 's Club & quot ; coupon book end cost we 5.00 . incredible ! remember sign Player 's Club card soon register . be worth ! would definitely stay terrible ! 
 Jan 16 2007 	 pleasantly surprised ! 	 stay Terrible 's one night miss connection back UK thank America west airline . when airline tell we name hotel bit scared would get actually , terrible quite good ! have stay Bellagio week huge contrast , not cost hundred $ $ $ $ 's room Terribles . the staff friendly helpful cocktail waitress quick ask want drink . the corridor communual area old tired carpet grubby , hey , be walk right ? room really big clean wall mount flat screen tv . good vanity area toilet tiny half bath shower over . there coffee make facility though get Bellagio ! ! ! dinner restaurant upstairs ( buffett ) airline give we 2 x $ 10 meal voucher determine use . you belive far 20 buck go hotel ! ! ! portion massive ! ! ! could not eat even though food great . we still change even wine ! ! service good too . the hotel brisk 15 minute walk strip . to sum , be look cheap cheerful place stay frill go terrible . if be speacial occasion want pamper , stay somewhere strip . terrible really bad ! ! 
 Dec 16 2006 	 terrible'sis anything terrible ! 	 Terrible's - where food , staff , comp , anything else important customer satisfaction- anything terrible ! pleasant 2 day spend well ever encounter trip Las Vegas . ' m sorry discover soon , shall return soon hidden treasure ! bravo they - and thank . 
 Dec 6 2006 	 great consider price 	 stay one night . rate $ 53 , consider location free parking -- bad ! not know & quot ; newer & quot ; section hotel , definitely old part .... date decor faint smell smoke giveaway . see instal LCD tv room hall , however , maybe upgrade bit bit ? anyway , hotel across street PF Chang 's near McCormick Schmick 's , Ruth 's Chris restaurant . not feel like deal Strip want low - cost way experience Vegas , Terrible 's not terrible . 
 Dec 6 2006 	 Great Deal price 	 stay Terrible 's time . hotel old , room always clean . Kingsize bed comfortable find room big roomy . read complaint food . find Breakfast Buffet good deal especially 2 1 coupon ( $ 2.50 per person ) . make omlette scratch . eat nothing else , fresh , make . coffee tea juice fantastic bargain course food choose . care lunch dinner buffet restaurant good . chinese food good go Chinatown NYC time , plus Chinatown San Francisco . excellent Mexican Food . chicken dinner serve $ 4.95 either come mexcian style corn refrie bean bake potato vegetable , also come large fresh salad . think anyone complain restaurant either fussy eater snob need go fancy restaurant especiall vacation . food inexpensive not mean bad fact quite good . in conclusion like Terrible 's . big , fancy . iscomfortable friendly . certainly go back . 
 Nov 9 2006 	 pleasure 	 absolute dream . ok par magnificence strip price bracket . I stay friend recommend place say right . on strip piece meat pass , Terribles treat person staff remember , friendly helpful people , price . we find everything reasonably price food excellent . local people use place regularly bad . room small America , especially bathroom , compare UK , huge . ok little dark side passageway carpet bit grubby , clean twice week , constant battle . all go Vegas check availability one hotel , Terribles . 
 Nov 7 2006 	 Unbelievable 	 spend 5 night Terrible 's hotel come air package . say certainly live name ! bathroom extremely small , carpet hall dirty , toilet break give non smoking room request smoking room go inconvenience take luggage go back desk room change . second night barely get bed 2:00 fire alarm sound 3:00 ..... every one scrambling get outside parking lot . however , staff give instruction anyone alarm keep screech 5:30 one know shut false alarm . nice false alarm , however stand parking lot hour half enjoyable say least . could return room alarm deafen . finally , allow we go casino area hour half parking lot ... one offer type apology even cup coffee . on fourth morning approximately around 11:00 fire alarm go ......... time prepare leave room leave property together . the breakfast buffet fair , positive note Bourganvilla restaurant good . we go Vegas 1 - 2 time year never stay terrible . 
 Nov 2 2006 	 first time stay ; last time stay .. 	 never stayed decide try strip hotel ; first , do not stay old part hotel ; old , rundown section hotel ; dingy hallway , dirty . book room new part live learn . 95 % employee walk around dour look face do not sense friendly staff claim . start shuttle driver pick airport 11:30 pm . seem either uninterested upset make journey airport pick . hard time loading luggage van back problem either oblivious problem do not care . one nice touch room coffee maker do not trek downstairs cup coffee . soon coffee finish onto another hotel . restaurant upstairs good staff pleasant friendly , even 2 am . 
 Oct 31 2006 	 Crapped Terribles 	 stay Terribles hotel last weekend October 2006 . indeed confirm Terribles not terrible . however not much simply adequate . experience hotel clearly defy many way positive review TripAdvisor . pro : affordable budget hotel good location . plentiful parking . safe convenient . on - site convenience store gambling . lot restaurant retail establishment around . staff generally professional polite . con : room old tired . tight vanity area super - small unappealing bathroom . malfunction shower head smear gnat ceiling . smell old smoke . tv channel snowy picture . Cafe hit miss . Buffet absolutely awful breakfast dinner . internet service ( wireless tell hotel provide computer access ) .advice : call hotel advance booking room ensure lock non - smoking room . request new part hotel . inspect room arrival . smell smoke ? see dead / live bug ? bathroom clean functioning ? avoid buffet temper expectation cafe . book hotel rate love , follow advice , make good choice choose Terribles . our story : call hotel advance confirm reservation notify would arrive late due flight . Terrible 's employee verify info make note would check late . also wish verify non - smoking room . employee inform we hand room time check - in guarantee could make . disappointing hear book room online non - smoking room . use travel website , perhaps terrible not much blame confusion . ultimately , indeed non - smoking room available we even arrive midnight . useful info though would hesitant book stay hotel not guarantee non - smoking room . after check - in elevator whip we third floor find room problem . adequate size outside tiny bathroom ( issue though besides cramp . ) bathroom not appear clean , may 's age fault maid . shower head also malfunction , deal . find live ant two bathroom well . great wonder dozen crush gnat ceiling . since not notice near end stay decide mention . ( perhaps fail civic duty report issue , not feel like conversation management . ) vanity area also pretty tight make storage toiletry little bit challenge . plus side room come ( much surprise ) notice nice big flat panel tv wall . however channel watch half snowy . bed decent though nothing . room face parking lot , not much noise issue keep fan / AC run . although receive non - smoking room , wife notice smell old smoke respiratory issue wonder room play role . retrospect complain room , not notice issue . build time resign deal hand deal . appear old portion hotel , might explain many issue . perhaps would behoove ensure not wind . first morning , try cafe breakfast . pancake blueberrie good . fruit cup also fine . meal decent value feel healthiest thing menu . service good morning . try rotisserie chicken dinner next night . laugher ... especially happen catch ad elevator hotel 's tv channel . course look great ad . $ 4.99 would not least give shot ? find chicken extremely bland boring . also come tasteless corn , rice , & amp ; refrie bean . complimentary stale bread round meal . good dining experience . certainly retaught lesson get one pay . consider fact , not hold meal . big enough two cheap . service slow unattentive , 10:00 night busy . we try buffet breakfast dinner separate day . like reviewer say 2 - 1 coupon plenty . end pay full price get bum deal . fact , find buffet ripoff even discount . overall food disgusting delicious . though big fan buffet find one bad two time try . like chicken , be great value ( w/ coupon ) risk sacrifice quality taste . positive stay terrible . plenty parking . hotel nice location . traffic nightmare peak time , find breeze otherwise . road construction go south hotel may wish add another 5 minute travel time estimate go & amp ; fro . strip good walk away decide drive free parking lot ( believe convention center next Tropicana ) . lot south end strip may good idea park business pleasure noth . hotel nice little convenience store inside find price reasonable . also grocery store , drug store , restaurant , retail establishment nearby case additional need . Vegas Vegoose concert Sam Boyd stadium . take we 20 - 25 minute get stadium weekend . before book another stay Terribles hotel would likely exhaust suitable option . end come back would not strike fear we , would certainly keep expectation low . decent budget hotel , stay find nothing . 
 Oct 24 2006 	 Terrible 's terrible 	 first stay new place frightening terrible . however Terrible 's neighter frightening terrible . check painless , especially since check noon instead post 3 . one old garden room face pool first floor . thing say bad room wall paper need restuck . paper like house . bathroom tub shower combo . could ask anything . cheap room sleep 6 hour . the game selection lack FPDW , least hide well , never find . settle spin poker penny slot . drink service midnight lack too . we eat breakfast buffet swore rest trip . old stale food . enjoy café . eat breakfast dinner 3 time . good t - bone special . but would definitely stay recommend friend . 
 Oct 7 2006 	 terrible 	 stay Terribles one night October positive place . easy locate easy access airport . registration desk bit tricky find . casino small fun . coffee shop morning HOT cup fresh coffee $ 1.07 ! ! ! wow ! ! ! room clean comfortable quiet . come back . 
 Sep 27 2006 	 Loved Terrible 's ... return ! 	 ' ve travel Las Vegas twice always stay strip . time want stay strip , look Terribles . cost , great stay . front desk helpful room clean . terrible ! ! 
 Sep 27 2006 	 terrible .... 	 stay Terribles bf see show Hard Rock . airport shuttle convenient - driver even wait we get luggage ! hotel so - so . room new one light make impossible read , see , etc fan a / c unit loud . buffet awful - lot & quot ; mystery meat & quot ; unruly kid put whip cream canister mouth ... ew , gross . cafe though surprisingly good hit spot hour gambling . decent drink service VP machine near bar - table . friendly dealer . terrible work well hour . able walk Hard Rock show overall good trip . would stay overnight . prefer close strip . 
 Sep 23 2006 	 Good Value Taj Mahal 	 reading review decide take chance . good decision . check orgainized room clean comfortable . five star hotel feel good value return . the pool area quite nice set center courtyard hotel lot towel plenty lounger . secure area fence require room card enter . hour also reasonable Vegas standard 8am til 10PM . close airport could watch jet coming land cook desert sun . I find good price beer wine small convenience store adjacent casino ( pool ) . well price Wal Mart Schlitz beer believe ! bottle Yellow Tail merlet $ 7 . Albertson 's street Flamingo essential site store . the cafe upstairs great deal food 11 pm despite low price food really good ( much surprise ) . buffet however quite limited even compare say golden nugget downtown still basic . quite deal use 2 1 coupon easy come by . on side , notice elevator hallway look tired need new carpet fresh coast paint renovation underway may include item . cleanliness overall par hotel , course everpresent cigarette smoke , guest 's inconsiderately smoke everywhere , even elevator ! seem common Vegas really knock Terrible'sThe location convenient 10 minute away airport 5 minute away US car rental agency office Paradise - rent car good deal could find . strip mile away look deceivingly close . however , would fair hike foot . all last vist change preferred hotel Golden Nugget Terribles , least nugget finish renos see rate . 
 Sep 20 2006 	 terrible 	 one night kill en route UK plump Terribles , tempt name price . check quick efficient friendly . room ground floor , bit hike , 's big area . coffee room ( unlike Circus Circus ) . tv waste time . shop coffee place near check . go seafood buffet reasonably price ( crab leg could carry ) . waitress service drink superb . check fast friendly . shuttle airport likewise excellent . worth go . not try get strip night knackere , tell easy cheap . go ! 
 Sep 19 2006 	 Fun Terribles 	 Las Vegas : Teribbles Hotel & amp ; CasinoDate : August 31 , 2006we great time terrible . check 2:00 p.m. room clean . buffet fairly good . service excellent . employee 's nice friendly . room large size . generous 2 1 Buffet coupon . great time . 
 Sep 9 2006 	 terrible ! 	 exchange volunteering miss overbooke flight , US Airways put we Terribles hotel . bit scared hear name place , turn nice stay . we spacious room , 2 bedroom , small bathroom , nice pool . room bit tricky find go back ask person desk . give we series instruction involve several left turn . we eat breakfast Terribles cafe really good . chicken steak great . the Hard Rock hotel within walk distance pharmacy . strip bite far though , take cab Venetian $ 7 . 
 Jul 12 2006 	 Recommend ! 	 use Terribles jumping point trip Utah . gambler want reasonable place stay Vegas . stayed night arrive night depart ten day later . easy find come airport rental car . quick service . nice , clean room . like non - smoking room smoke - free floor . food average - expect . excelllent price ! not really care smoke restaraunt ( even though sit non - smoking section - still smoky ) think 's Vegas you . enjoy pool . 1 - year old daughter we . nice crib provide . would stay . 
 Jul 5 2006 	 Terribles Hotel 	 Terrible 's Hotel & amp ; Casino currently undergo remodeling excuse terrible service . wait 45 minute attendant give service slot machine . repeatly call waistress security staff assistance . problem expect long , long wait service ! terrible grow pain . 
 Jun 28 2006 	 nothing terrible ` ` Terribles '' ! ! ! 	 husband stay & quot ; Terribles & quot ; 3 night last January month long viist relative Arizona . heard & quot ; Terribles & quot ; radio pick rental car Vegas airport . discuss , flight , stay Vegas head Arizona . since not reservation Vegas think would give try even name kinda surprise we . park great check - in fast . delighted find room really nice fantastic view pretty courtyard pool area . could not believe large room price ! ! husband really picky still talk much like staying & quot ; Terribles & quot ; . food fantastic price low could hardly believe . sure check breakfast buffet . recommend & quot ; Terribles & quot ; everyone one know . like much reason web site book another trip & quot ; Terribles & quot ; anniversary September . can not wait visit little casino area place actually money Vegas ! gift shop / store handy get latte krispy cream every evening late night snack could not resist terrible t - shirt gift . really fun vacation thank & quot ; Terribles & quot ; ... 
 Jun 24 2006 	 always Great Place Stay ! 	 3rd time Terrible 's certainly last ! stay Strip much high price hotel fun Terrible 's . front desk , bar , waitstaff much fun personable large hotel . room nothing fancy , clean . housekeeping staff show quite early not mind come back sleep ! offer basic toiletry ( nme brand ) hair dryer . iron available upon request . sign new Players Cards receive t - shirt free breakfast buffet . coupon book give we 2 1 buffet , free bottle wine , 2 1 drink lot point offer . eat next nothing . also graveyard special menu . 2 egg , 2 pancake , 2 bacon $ 2.99 . will not find deal like many place ! bar also special burger , hot dog , etc , wait 25 minute . oh well , bartender make sure wait go quickly- keep plug video poker drink free ! offer airport shuttle always rent car . may say one block off - strip , looooong block ! guess drawback location , not mind drive use free parking strip hotel . pool area small , nice . mostly family - & quot ; scenery & quot ; guy usually look ! also small gym one computer use print airline boarding pass . remodel add tower large casino . if want inexpensive , clean , friendly place not mind little Strip- Terrible 's place . 
 Jun 1 2006 	 good far terrible 	 unpretentious hotel . room comfortable , although bathroom quite small . good value overall , especially Bougainvillea Room restaurant offer low - cost special taste lot well expect . friendly efficient service seemingly fair slot machine make stay good one . 
 may 16 2006 	 Terribles terrific 	 stay Terribles week ealy May 2006 find nice clean hotel , especially inexpensive place stay Las Vegas . read review say clean find clean neat . true , carpet fade need replace , not expensive hotel strip ; like regular hotel . new tower construction , new room available month . old area 10 year old . pool area nice , hot tub not hot bubble . good half hour walk Strip , car time outdoor parking easy hotel . locate intersection Paradise Flamingo , two big street , close airport . room - room large , 2 queen bed , tv dresser , alcove hang clothe , 2 arm chair small table . bed quite comfortable . tv 12 station include sport , news , entertainment channel . maid service good replace shampoo bottle use ( sometimes even expensive hotel will not ) .food - breakfast buffet really good . $ 5 person surprisinly large omlette bar , real ham bone ( lunchmeat ham ) , pastry , juice , coffee item would expect breakfast bar . eat every morning . get two - for - one ticket buffet ( except seafood Thursday night ) join player club . eat buffet supper one night regular buffet not cost much either . eat Bouginvilla Cafe twice service extremely slow time , food fairly good . like chicken friend steak . gambling -comp seem good , confusing . pretty much local place comp complicated . design keep come back check special . find confusing player club staff not forthcome various system work , get comp anyway , include $ 5 free gas . point restrict ( must use within one week , not wait long go check redeem ) anytime point . point card reflect way point award day week matter , go check . also check everyday special miss . hotel need print policy , probably not local learn interim visitor not know take advantage they . in general , enjoy stay feel like could thing cost room reasonable . go see , Penn & amp ; Teller Buck Wild , be another review ! 
 Apr 30 2006 	 Great Value 	 stay Terrible 's many time , mostly WSOP . live LA drive Las Vegas . not care pay nose room basically occupy 20 % time . always find room reasonably clean comfortable . nothing fancy , pretty basic . average daily room rate ' ve pay $ 35.00 . , not expect much . however , feel really come value . one good feature property breakfast buffet $ 3.00 coupon second person . fabulous value . good food , great selection , decent service . during warm month , pool , though exciting , quiet relaxing . imagine child would , however , get bored restless . 's good place spend hour read good book . the gambling average . would nice $ 1.00 blackjack table . seem almost extinct Las Vegas . seem like atmosphere friendly cozy casino . maybe , be not huge like strip propetie . if accomodation seem less festive , keep mind free roam Las Vegas time spend room . resort not charge resort price . use extra money spending room food , gambling , attraction , fun stuff . enjoy ! ! ! ! 
 Apr 30 2006 	 Fab place 	 hotel really close strip ( maybe 15mins walk ) , pool , shop , & amp ; big car park , room large & amp ; everything need , buffet hotel excellent value ( especially 2 1 offer coupon ) happy hour drink bar $ 1 beer , staff really friendly helpful . hotel offer excellent budget accomodation & amp ; actually really nice strip load good restaurant nearby ( include favourite Bahama Breeze ) construction go moment not cause problem . really easy get around & amp ; hotel central everything . would definately stay & amp ; would recommend anyone not want spend fortune place sleep . go & amp ; visit expensive themed hotel , , go back nice cheap hotel ! 
 Apr 29 2006 	 amazing BARGAIN 	 say ? ? ? terrible anything . four we go convention Vegas stay . room spacious clean , SPOTLESS WAY bargain expect . Daily would drive MGM Grand back buffet eat . chef local country club we could not believe inexpensive TOTALLY GOURMET food ( coupon would blind find around somewhere ) . staff courteous . distance strip bearable . 's month still talk . ' ve even book quite people convention stay next year . budget , WORRY choice ! ! ! ! 
 Apr 22 2006 	 decent room $ 45.00 	 front desk courteous know flight probably delay . parking lot space park . room serve purpose since need sleep Grand Canyon . 
 Apr 14 2006 	 little scary ... 	 stay hrs miss flight home can not say much . but 2 am walk casino / restaurant dimly light hall room back alone female bit scary . I see picture lovely pool , restaurant good steak egg believe 4.95 room clean decent , must say need well hall lighting , long wind walk room look shoulder ! 
 Apr 11 2006 	 Good Value 	 first stay hotel 4th July extended weekend 2001 . room spacious , decor old . window partially open , provide fresh air . since window open inch , belonging safe intruder . play slot table game one hundred casino . Terrible 's one strange player reward system . must provide major play receive significant reward . reason , recommend moderate play . Terrible 's penny nickel slot Vegas casino . play quite time minimal investment . hotel small adequate swimming pool , provide beverage service pool . buffet provide variety value , coffee shop . get good meal Terrible 's cheap coffee shop along Fremont street ( downtown Vegas ) . stay suburban Chicago motel early week , work City Chicago . walk 12 block east Flamingo self - service laundry Vegas . strip seven fifteen minute walk west , depend upon walk speed . Hard Rock Casino three minute walk south Terrible 's . third stay hotel . 
 Apr 5 2006 	 would definately stay ! 	 stay March 28th April 4th . $ 504 CAD week . great little hotel . construction go Monday Friday start 6 am . light sleeper try get room face court yard / pool area . room face court yard seven day , hear hammer twice . overhear guest complain . Buffet Restaurant great value . 2 1 buffet coupon magazine leave room coupon book give sign player club . canadian appreciate $ 2 domestic bottled beer . ( $ 1.50 happy hour ) .it 20 minute walk strip . cab ride Balley 's $ 8 include tip . go go strip day , buy $ 5 day pass bus . double decker 's run entire length strip way downtown . bottom line ... price hotel food discount offer , great destination budget mind traveller . look 5 star could always stay Wynn . 
 Mar 18 2006 	 great price room Vegas 	 stay March 12 - 17 , 2006 $ 45 night . clean , well worn room . ( wallpaper fall bathroom carpet dirty . ) request king smoking , receive two queen smoking check early around 10 . mix give room back hotel near construction . normal sleeping hour , relatively quiet , morning could hear construction . bed firm , sheet bit rough . dozen channel TV . maid service great thorough . food cheap decent . staff friendly . small casino / hotel , many feature large one like restaurant , gift shop , player club , etc . would stay want stay strip , inexpensive clean . 
 Mar 16 2006 	 not plan get good night sleep 	 consistant pound 5 a.m. addtion construction . think early start , like 7 a.m. later . pay $ 40.00 room $ 20.00 much . good thing food . buffet good resonably price resturant . not think go back sleep time soon , would go eat . 
 Mar 8 2006 	 great price 	 choose hotel cheap hotel weekend night ( $ 100 ) somewhat close strip ( be mile away Bally 's ) . book 3 room 6 people . unable get we close together , hotel put we groud floor . room clean large expect . reasonably price & quot ; convenience store & quot ; hall room ( next player 's club area , accessible pool area also ) nice able get snack drink without pay nose them.we eat bouganvillea cafe ; food atmosphere nice reasonably price well convenient . I would recommend hotel access car Vegas , since be quite walk strip ( although catch tram Bally 's ) . 
 Jan 29 2006 	 great price 	 room clean , everything anyone could want basic room . bed comfortable . food restaurant average . check slow even though one person ahead . complaint room location . third floor directly beside entrence casino . noisy . even bad rodeo final van bus take people event start early morning . even noise would stay . rate friday $ 75 buy one night get one free coupon . 
 Jan 20 2006 	 back ! 	 admit skeptical read review , glad stay Terribles . short skinny one night stay . Got early hold bag check , fast friendly . get king non - smoking $ 40 , clean quite comfortable . also , free shuttle airport . Con ; recieve wrong room key , go back get correct . time , tell go power outtage due construction , could affect room morning , never . construction also wake cause disruption . Con ; affect cafe buffet , offer limited buffet , ( letter room notification ) , half price . even though go one night , sign player club , Thursdays get 5x point . upon sign , get pick t - shirt hat ... yes , shirt ugly , pick hat . beer drinker , 2 dollar beer could not beat . 4 7 go buck fifty bottle , take full advantage . casino small , go stay , prepared see within 15 minute . problem Hard Rock 5 minute walk street . also , plenty nice eat within walking distance , PF Changs , Morton Steak House , Buco 's . strip 1.5 mile , ya walk , healthy . bus stop right outside hotel , cheap cab , suggest want hit strip . speak strip , strip club 5 minute away fancy . , terrible find go weekend , long would long oppinion . terrible ; cheap , clean friendly will back . 
 Jan 19 2006 	 budget end Vegas 	 like walk visit spend less food room , REALLY like TERRIBLE 's HOTEL CASINO . rate great $ 29.00- $ 40 per night , free transfer airport hotel also return trip home . player 's card 1 good Vegas Sun . thur . slot pay 5 time pt . play time . room fairly large clean , pool small clean lined palm tree , also hot tub . towel free pool . I neverpay food las vegas either . buffet breakfast 500pts lunch 750pt dinner 1000pt buffet . 15min walk strip near CSZAR PALACE , BALLEY 'S , FLAMINGO corner strip . I Vegas almost 30 time stay place strip strip money Terrible 's fit . must like walk cat bus across street get strip $ 1.50 1 street east get cat bus downtown $ 1.50 . 3 - 4 min walk s.w . hard rock CASINO HOTEL.nOW want UPCLASS HOTEL -- -- -- TUSCANY , IMPERIAL PALACE , FRONTIER , HARRAH 's STRIP CLOSER good price . 
 Jan 10 2006 	 great save money ..... 	 normal room , clean well cheap . spend $ 40 per night , good value money . able walk strip - nice 10 - 15 min . walk , bad money save . also , shuttle hotel . 
 Dec 6 2005 	 everyone 	 terrible ' everyone . locate neither Downtown Strip advertising shuttle either , suitable first - time visitor Las Vegas . ' budget - price hotel , ' suitable value décor important part stay . security appear lax . anyone enter hotel area casino . also , door parking lot enter directly hotel corridor . need room - key activate door , certainly someone look like guest follow legitimate guest warm smile " thank " . hallway security camera parking lot patrol security vehicle . Terrible 's three - story hotel , room face parking lot subject noise expect parking lot , horn , chatter , door close , etc . solve problem turn ventilation fan heater / air conditioner night . guess pool - view room quiet . the following might situation unique room , ' mention anyway . shower flow weak . ' kind person whose day ruin bad shower , might problem . my room clean serviced day . room comfortable ample drawer furnishing . tv new large screen . casino well ventilate . casino well attend local -- good sign , local know go loose slot , full pay video poker , reasonable minimum table game . terrible ' good choice veteran visitor car want economical base operation want avoid crowd , gawk first - time tourist , high minimum , tight slot typical Strip . proximity airport make convenient budget - minded traveler one - night layover Las Vegas want cheap place stay quick trip airport . 
 Nov 17 2005 	 enjoy front desk ! 	 arrive 11 - 10 . front desk help stand . bad checkin ever . go Air Show Neil Airforce Base . since first time Vegas , ask public transportation base . reply public trancportation . find heplful bartenter bus run 24 - 7 stop right . get 30 day pass plan ride bus . cover bus . well $ 1.25 $ 2.00 everytime get on . room fine price . not use pool , look nice . spend $ 50.00 gambling . not go gamble . food . never eat buffet . eat meal resturant . oh ! great food . lot . several time get one split still full . never meal $ 14.00.had great time . front deck , bad part . nedd fire ! 
 Oct 31 2005 	 great time ! 	 Group 8 , Oc 27 - 30 2005.hotel fine , great value , clean room . hallway could use new carpeting overall anticipate . would definetly stay again . have lot fun dealer pit crew . group receive several comp food , ect . expect Ceasars happy , hotel comparable local Super 8 . remember .. vacation make . 
 Oct 21 2005 	 name say 	 Sayed Terribles first open . ( see get name ) .Our room dull color , be not alot place eat , pool small . budget traveler would stay , close friend house , good choice . thing good Terribles public bathroom , clean seem safe . stay want close restaurant , go Mortons Chicago grille Buka Di Peppo . across street . 
 Oct 20 2005 	 pleasingly surprised stay 	 friend stay Terrible 's 5 night mid - October . room large clean . housekeeping staff nice supply we extra shampoo , iron , etc . the slot loose monthly drink special also great . can not beat price food get huge portion , way much eat one sitting . cost we $ 5.00 cab strip shuttle us airport . would highly recommend hotel anyone look place stay spend money room . 
 Oct 20 2005 	 ok Welsh Contigency 	 Hubby book hotel one week September trip US . yes cheap $ 390/£222 p.w . ( average $ 55/£31 per night ) , admittedly , expect swanky strip hotel . however , read utterly negative review , utterly dread . ' make sound like cross Bates Motel Victorian Prison . idea creepy crawlie room something relish . ( see none way ) .There guy altercation desk clerk arrive , think , bode well . manager step , deal we check - in go smoothly . ask smoking room ( ground floor ) courtyard view oblige . usually lodge best western tour US room par – basic , clean accommodation . room farth side casino , adjacent fire station , never hear . be / be major construction work go hotel ( ' LV ) experience noise disturbance , certainly never early morning . pool area lovely . grant , pool furniture dusty due construction work , plenty towel available lie wipe lounger ( perhaps people ’ demean menial task ) .with regard food , could fault Bougainvillea Café . chinese lunch special ( Hong Kong Chow Mien ) superb , hubby ' chimichangas . two occasion eat able take food away we ( could eat Wales ) . try buffet also find , price , good many other eat lv.there plenty offer 2 1 buffet join player club ( ' ) .regarding location ( off - strip ) , bus stop right outside Flamingo Road service run every 20 minute strip . get 24 hour pass $ 5.00 use take anywhere extensive transit bus system ( lot ) .In conclusion say week terrible ' fine , irrespective negative nellie post , price pay , would hesitation stay . 
 Oct 20 2005 	 leave see roach bathtub 	 word caution , accept roach room like place . 
