nice 	 hotel nice spend much time , chop room , double bed barely fit room , standard not bath small shower , bathroom tiny , unless pay suite , would not u would stay 4 star hotel , u will not wireless room , iron board , aircon ( hotel hot ) buy eye drop nose bleed hot night . rest hotel nice would recommend stay room awful try make much money possible we make room small get u get nothing , u even pay use hotel pool ! ? . 
 Excellent Location Noisy though . 	 Partner Stayed hotel 24th November 1 night see Lion King . arrive early get hotel go midday hotel staff could still check we although read normal check not 2.30pm . bonus ! Conceirge happy hold bag not possible though do not keep we . room 1st floor front hotel bit quieter other still noisy enough partner find hard get sleep . bed uncomfortable also do not help . extremely hard ! bathroom tiny ! excellent location tube 2 minute walk road Oxford street next street , perfect Christmas shopping explore London . would stay location 1 night ! 
 definitely will not go back 	 stay hotel 2 night , never go back . price cheap , read review still try b / c think London 's hotel like , small expensive . goodness , sleep one night , leg red dot , see nanny work hotel , therefore room clean . not feel comfortable hotel even though location great . receptionist lobby trainee , think tired job , can not hear say , talk nose . look sleepy . busy hotel , check , elevator working , end need walk ground floor , outdated hotel . walk distance British Museum . 
 Excellent - go suite include fab breakfast . great location comfortable room 	 thoroughly enjoy stay , seasoned traveller know like . excellent location theatre , good restaurant Oxford Street . good transport link , bus straight Victoria , Tottenham Court Road tube round corner . British Museum round corner . staff friendly helpful . choose top range suite excellent include luxury breakfast real term pay £ 149 ( £ 169 minus 2 x £ 10 breakfast ) air condition 7th floor noise . worth every penny . hotel full busy everyone keep smile ( except barmaid 11.00 night obviously long day ! ) concierge desk excellent help use London . plan make base next trip . 
 Jul 1 2008 	 great location good value 	 fear book hotel , due recent review . however , location look excellent would spend lot time hotel anyway . book breakfast , comment quality service this . the service staff generally helpful good . the room small , clean bed comfortable . hot , fan need . would great could get air con hotel . the lift slow , often full . however , hotel practical reasonably price one central London . 
 Jun 29 2008 	 okay short stay 	 arrive Friday afternoon chck - in take around 30 minute . allocate room 3rd floor , reasonable size London basic furnishing . room warm night , open window woken 7 am lot bang crash come road . bar nice good , restaurant look okay although eat . overall , reasonablevalue money would like stay 1 - 2 day . 
 Jun 25 2008 	 can not beat location ! 	 bring daughter London 18th birthday present booked St Giles 2 day accord map close proximity shop . pleasantly surprised come Tottenham Court tube could see hotel sign close . like place can not check til afternoon able leave luggage day whilst shopped last day check - leave luggage secure day til ready catch train home . we never breakfast due we want eat . hotel perfectly place shop sight fancy stroll . 2 min away close tube station afield place visit.you beat location london . yes , room fairly small twin perfect couple night . large industrial fan outside window yet able sleep window open night . good shower , clean towel , everything work room . honest use work top London hotel critical surrounding please St Giles deffinately stay . infact back week book room - hence remember review ! 
 Jun 23 2008 	 simple cheap honest perfect location - everything want 	 hear positive thing hotel November stay ( work conference ) - pleased place book weekend trip May shopping trip friend . this hotel perfect need . like thing simple , yet clean , place trust reasonably price . cheap ( London ) normally mean dingy far west - end . hotel perfect . Oxford street - walk distance theatre , attraction shopping - hop bus / tube whereever . the hotel old YMCA refurbish - give idea expect . entrance hall grand give wrong impression - room let comparison yet still think well worth money . check go smoothly unlucky waiting queue . staff pleasant , mostly foreign , english second language - goodwill patience virtue . room November second floor May third - times " corner " room . maybe lucky . could use stair - queue lift , beware second floor really second floor . room pleasant temperature ( like cold night ) - turn heating arrival open window . hear people complain room hot - don´t know thermostat break . yes , room small bathroom small could - friend didn´t need - sleep shower . .. shoppedthe evening quiet - wall side thin - hear noise . morning noisy - light sleeper want sleep recommend ear plug early hour . hotel leave " welcome letter " advise time go breakfast . go " wrong " time expect bit wait . breakfast fine include room fee - eat light eat day . strictly english breakfast " continental " either - seem try cater ( european ) taste - maybe bit pricey pay extra ( think 7 pound ) - seven pound bad London . starbuck far away brilliant tiny tiny shop road sell wonderful coffee fairtrade chocolate . problem : book time direct hotel , first time group book phone , second time use website . first booking seem lose booking ( rest group ) - hotel full yet helpful find we room ( don´t know kick ) - everything take bit time well . second booking , internet , go well . receive book nr e mail confirmation . rang hotel confirm booking book everything fine- internet system work email confirmation fail . time book 3 month ahead pay 98 pound night - excellent London , location quality . familiar area want stay Bloomsbury area weekend . St Giles place whenever return -especially friend husband . would probably take kid - take kid London would probably stay Hamstead Health way Holland park ( residential ) . 
 Jun 15 2008 	 sadly keep review 	 want somewhere central booking see review obviously quite worried . sadly hotel keep people say . yes brilliantly locate yes eat big breakfast get busy . request quiet room room get would impossible slept window open . shower room ridiculously small generally room small comfortable . think though would serve one night place need somewhere sleep fussy . think saddest thing lack smile staff . 
 Jun 12 2008 	 room warm small noisey 	 11th floor , room warm could open window slightly , blind do not shut completely keep light morning . shower trickle particular temperature setting . noise outside night morning , build work close start 7:30 am.fire alarm keep go one morning , tell later test be not warn hand . 
 Jun 11 2008 	 us travel lodge inste 	 small room tatty , noisy room , bathroom old tired , hot water , lift slow , room far hot , tv picture awful.go stay travel lodge standard far far high . 
 Jun 8 2008 	 Great Location ... good night 's sleep 	 bit concerned read review , also aware people different standard expectation hotel . could got much well location price , come Tottenham Court Tube station could see sign straight away . check problem go room 7th floor . room small centre London extent not suprise . bathroom extremely small barely enough room turn around . one main problem heat . room bake hot , air con fan every night ( not even proper summer yet ! ) bed small tv , not spend lot time room not major issue . drink bar downstairs , Lazy Dog , London price nice bar . not breakfast hotel even think include , eat London want go out . we find useful get 3 day tube ticket , could not believe fourth day pay nearly amount day three day ticket single trip king Cross . overall bad hotel definitely well big ! 
 Jun 8 2008 	 great location .... 	 book hotel part theatre / hotel package birthday surprise husband . great location , double room , although clean , tiny need up - date ! curtain window , blind keep early morning light room . the bathroom dire need make - over , small shower , tile look old date . toilet seat match rest sanitary - ware . hair - dryer look like something 1930 's ! ! ! although room overlook side street , traffic noise Tottenham Court Road night awful - could do sound proof . air - con large noisy fan ! ! ! ! tv dreadful reception . on plus side , apart location , check - in staff polite helpful . full english breakfast good . the brilliance ' the Jersey Boys ' make hotel room . however , glad stay one night . feel get value money stay fairly standard hotel USA far far well facility . 
 Jun 6 2008 	 good location - small room 	 stay St Giles hotel one night last week . choose location , ideal , literally second away Oxford Street ... however , location good point really think . room small need updating ... bathroom okay recently redone , bedroom old , date tiny ! staff reception polite helpful , staff bar . however , big deception breakfast . breakfast room like canteen . pick tray help food . food quality choice not great staff walk around look really miserable one person say hello ... , good location , not think stay ... 
 Jun 4 2008 	 glad do not listen bad review . 	 stay 2 night end may 2008 . 3 couple party agree would stay st gile next visit london . central easy get . go theatre london able walk back hotel . room small everything need . please pleasant staff . breakfast wonderful . glad do not listen bad review . 
 May 28 2008 	 anywhere well 	 return today St gile . read review open - minded - 1 night afterall . read size room , book 2 mini - suites - big . god -what dreadful place . suite tiny , settee room look come hostel , absolutely space round bed , drawer put clothe - open shelving . little realise good yet come . breakfast - queue outside 15 minute enter breakfast room meet canteen atmosphere . proper seating arrangement , table absolutely filthy whole experience one cattle market . one huge line people , approximately 15 minute wait , get five tray warm cook food . 3 bowl fruit offer go cereal fit use pie filling . sub - standard . though St Giles cheap hotel would say people . either spend little well hotel choose travel - lodge . ` go ! ! ! ! 
 May 24 2008 	 Ideal Location Need updating 	 stay hotel one night friend fine . staff friendly , breakfast plentiful great atmosphere . agree money , quality room poor . room small ( noisy open window due position hotel busy road ) . book twin room receive one set towel . bathroom clean shower hot . overnighter think hotel adequate . maybe slightly pricey accomodation get , nicely situate heart city . 
 May 24 2008 	 stay 3 week survive ! 	 work pay hotel , maybe not like ! think good point raise along bad add stay 11th floor - hot water never seem reach bathroom shower ghost lift night ! , 4th floor - noisy think may quiter sleep lift ! favourite floor far 7th - room 714 small double spacious single bod , shower work perfectly clean room . telly high chance turn telly foot ' m afraid . also vend machine lift area floor , chocolate , crisp soft drink lager . lager could help wish sleep ! People mention chinese hotel , never try turn right Tottenham Court Road cross road , take 2nd leave start whole array restaurant quite resonable . head Googe street several italian restaurant pizza pasta ! rise Sun Jack Horner Pubs also serve resonable food real ale . I another 2 week hotel - let see floor get to . ! ' ve stop wait lift morning quick stair . breakfast describe coffee good restriction many time go small hot buffet cold selection ! wuld however suggest either get 8 am 9 am always appear busy time . 
 May 23 2008 	 Appalling - Avoid cost 	 ok hotel good location many hotel London reasonably price treat customer like . check - in confusing draw , room tiny , disrepair unclean . heating aircon room cold smelly , shower work , blind close , safe work reception answer phonecall . also average wait lift 10 minute . breakfast , note customer , canteen - style buffet queue someone else decide much food receive . even dining room filthy . intend complain queue reception big not want arrive business meeting late ( addition properly clean rest ) . put write hotel . experience wholly completely unacceptable could easily avoid little care attention . 
 may 16 2008 	 terrible terrible hotel 	 stay St Giles one night May 2008 - ' double ' room tiny - could touch wall arm outstretche . bathroom small unclean . I air - con open window - big mistake - major road - get less 3hrs kip ( good prep meeting next morning ) .But bad reception - new start work first shift manager ( senior person ) , Mark , keep shout put front guest make error ( really small thing ) - feel really sorry she . food ok - ate chinese restaurant . my company pay £ 99 hole - hey 's London get away - city UK would business month . Tip anyone think go overseas- get train York / Manchester / Leeds / Newcastle / Durham stay proper nice hotel nice part world . 
 May 12 2008 	 Tomb View revisit 	 soon arrive St. Giles , informed thatwa available & quot ; blah blah blah ... would like upgrade ? & quot ; upgrade . first impression : previous guest must bad night . entry door work heavy sharp implement destruction . I wonder & quot ; Shining & quot ; film hotel room . we elect upgrade & quot ; suite & quot ; god - only - know - what . bedroom ( one allege & quot ; double & quot ; bed ) small icould stand bed touch oppose wall fingertip . I could ( ) change tv channel foot . room number 2 & quot ; suite & quot ; would well describe crypt , single bed gurney . small table room well wooden stool . hotel nice enough leave stationary pen table . previous guest apparently write heavy - handed note stack stationary , although original letter long , impression despondent writer 's last word remain remain leave . short , poor man happy camper either . one hope grant final request . wife check closet body GUESS ! & quot ; closet & quot ; would not hold body , much less clothing and/or suitcase . the & quot ; bathroom & quot ; ? small bathroom door cut - out could swing inwardly bypass sink . wish wall opposite toilet similar accommodation knee . small airplane whose lavatory luxurious comparison . let us put way : would easy mistake shower curtain toilet paper . ( okay , maybe , shower curtain much easy reach toilet paper ) .The shower ? must nozzle project wall toilet . overhead bidet perhaps ? ' splain , Lucy . . wait . not tell . not want know ... much bright side . bad news . if live UK ever urge visit Rio , Carnival , stifle . save ton money stay Rio London 's St. Giles Hotel . wait Carnival ? 24/7/365 St. Giles ! ( whether like ) .At night , street : freak , goon , street performer sort stripe , public debauchery , NOISE . Virgin Records stage promotion attract gaily - clothe lad lasse sport brand new dermagraphic various part body . oh , will move tear -- - literally -- - morose , multiply- pierced - dress - in - mourning goth . somebody please safely store sharp pointed object ! concierge ? well , let us say understand one thing . never determine one thing , be probably word speak language unknown live - bear world . and pizzeria right hotel ! hey , would nice cheese cardboard hubcap . & quot ; bottled & quot ; water disturb sunny look ? not open table ? not restaurant another , UNOPENED bottle water we ask one ? breakfast experience lifetime ( provide , course , survive overnight stay ) . fare interesting . Breakfast come various shade yellow , brown , gray , much taste texture food . correctional - facility buffet - style breakfast without frill like fork , spoon , napkin , elbow room . the lift : time arrive fourth floor , feel age considerably . the front desk help : see concierge . concierge : see front desk . h * everyone go ? . Ta ta ! Bloo Dog 
 May 1 2008 	 mixed feeling St. Giles Hotel 	 good – location ( near Oxford St ) rich buffet breakfast , clean room , moderate pricingThe bad – Shabby , wear hotel . small room , lousy bed ( mattress probably Queen Victoria era ) , noisy & amp ; busy , bad internet ( non - inroom , ' elaborate : hotel locate near east end Oxford St , nearby Tottenham Court Road associate tube station , within 3 minute walk . Heathrow take tube ( underground ) Piccadilly line change Leicester Sq Northern line go north one station . hotel hold hundred ( 600 ? ) room make quite busy hive peak season . well noticed breakfast , check - in , check - out , store luggage elevator ride . moderate condition lobby conceal wear condition guest room . room small clean furniture condition quite bad shape . bed , example , inconvenient sleep probably due mattress manufacture late 80 ( 19th Century ) . room basic equipment like safe , hair drier , electric kettle ( coffee tea supply ) .The room may become noisy due location hotel also room density ( narrow corridor number room per wing per floor ) . trouble sleep ( due mattress … ) .The hotel supply good breakfast , buffet style – item include : cereal variety , egg , ham , sausage , cheese , european coffee machine , juice etc . manage book hotel 100 GBP per night couple include breakfast . ' stay hotel ( even bad ) charge double . the business facility hotel unnoticeable . example - first obstacle get fax find hotel fax number main one go concierge typically busy handle stuff . internet – none room yet lobby 2 option – coin internet machine WiFi daily / weekly subscription . wireless option unreliable , stable bottom line usable . refund question . so ' bottom line ? depend stay business pleasure value location breakfast busy noise . I personally ' stay hotel . 
 Apr 29 2008 	 Nice Hotel 	 thought would come onto website review St Giles review almost make cancel book another hotel really necessary ! stay hen group friend , hotel staff nice helpful . breakfast really nice good choice . room small adequate . book event company problem book 4 twin room one triple . arrive room ready leave luggage one room hit shop . time return check run twin room one leave - could problem other . double give we Deluxe much nice anyway . believe problem hotel company make booking , book room available . that aside hotel great location comfprtable clean . get pay ! ! 
 Apr 26 2008 	 pleasantly surprise 	 recently stay two night business . be slightly worried negative review reality stay pleasant . staff helpful polite , room clean comfortable ( second floor ) even window open not experience & quot ; unacceptably noisy & quot ; reviewer suggest . vend machine snack drink Ice dispenser ground floor useful additional facility . breakfast bit & quot ; hectic & quot ; busy hotel right heart City would go considerably & quot ; market & quot ; get genteel breakfast experience ! overall pleasant surprise compare many similarly price city centre venue . I would use hotel business leisure . thank staff ! 
 Apr 24 2008 	 good Location 	 reading review worried go hotel . plan 4 night stay . when arrive hotel look HUGH fancy reception . arrive 11 , check till 2 problem check we straight away . room 307 . fiance bit take back room . small enough room side bed . sleep , fine . bathroom bite small side grand . warning room stuffy sleep first night window open little . next more ask concerge fan bring straight away , good idea keep rest night . the hotel perfect location get tube everywhere . lazy dog bar nice comfy , eat chinese smell nice : ) overall hotel nice use sleep ( do not forget ask fan ) oh go see mama Mia FABHope help : ) 
 Apr 19 2008 	 Excellent Location 	 Booked hotel go theatre want somewhere pretty central .. diddnt want pay muchWe pay 80 pound night quite reasonable hotel locate oxford street half minute walk tottenham court tube stationthe room clean everything need i.e tv , tea coffee make facilitiesthe breakfast excellent help whatever want egg , bacon , sausage ectwe drink bar locate hotel price bad ( london price ) also meal chinese restaurant ( also locate hotel ) be not bad reasonably pricedthe concierge also look bag ( extra cost ) afternoon leave till eveningThe doorman pleasant could enough help we direction ectoverall enjoy stay would stay 
 Apr 14 2008 	 Ignore poor comment ........ 	 wife spend enjoyable night St. Giles . also little worried previous comment negative , thought would take chance .......... glad put , De luxe Double , en - suite delight everything . able check 11.30 a.m. find room clean tidy quite o.k . London theatre break . staff friendly late night bar expensive compare pub around area . well do St. Giles ..... would recomend friend also use . 
 Apr 10 2008 	 great hotel 	 husband return short break london book travel agent see joseph ( fantastic ) recomende st gile good price take . get home check review start panic good pleasently surprised arrive ok room overly spacious hey need somewhere sleep ! clean staff helpful also meal hotel show delicous well price . stay hotel great , location fantastic everything walk distance would definately use hotel would highly recomend friend ! 
 Apr 9 2008 	 great stay great location 	 stay one night St Giles , great . location excellent , central visit British Museum 5 minute walk away . the reception/ lobby impressive plenty staff hand help , check quick efficient.we stay 7th floor back , quiet room lovely , clean comfy clean bed crisp white sheet . room hotel lovely warm icy cold weekend London . tea coffee making available . bathroom small perfectly adequate , plenty toiletry . go lazy dog bar nightcap walk round Covent Garden ( 15 min walkaway , ) bad london price , £ 2.50 small beer . breakfast room nice , somewhat canteen looking , plenty food available nice cup tea / coffee . plenty food available hot cold buffet , bacon egg , sausage etc juice cereal croissant , also continental ham cheese , plenty fruit . complaint food bit warm side , pipe hot . also toast available ( petty know Brits love bit toast breckie ) also teaspoon coffee , small plate croissant . major catastrophe LOL little detail make difference . I would certainly stay recommend , pay £ 80 per night , ( though Newmarket Holidays , visit Terracotta warrior King Tutankhamun exhibition ) think fantastic value . wish could stayed long . 
 Apr 7 2008 	 do not put 	 friend stay 28/3/08 , read reviewson trip advisor , think oh well one night.we pleasantly surprised , staff friendly , even busy friday night . the room , back first floor , nice , plenty room , clean , noisy , except 6 am dustbin man come round.breakfast fine plenty .The location could not well , get tubewe could not see , already . we would definately stay . 
 Apr 4 2008 	 glad ignore right up leave 	 stay hotel 5 day wife . want hotel centrally locate could get around access ymca pool facility . room expect small clean 's bathroom . new previous vacation Europe hotel fancy ( even five star ) expect bad hoping well . staff excellent , breakfast good . think people write negative review expect way much $ 200.00 . would use hotel . 
 Apr 1 2008 	 Great Weekend 	 well , I m glad not read review like friend . dread .. hotel nice arrive . bright clean friendly . room clean , smell nice decorate . nice wood efect furniture . athough slightly small expect , cozy . Bathroom ok although could slightly wide . hot water constant never run . tea coffer room good day town . italian Restaurant serve good food reasonable London .. breakfast good choice full Englich Continental . could want fresh fruit avaliable well . realy think good price location , good time stay trip 
 Mar 30 2008 	 do not go 	 central hotel ideal , within short distance good restaurant theatre , hotel bar evening lively bar staff helpful friendly . hotel , would not stay . room adequate 3 * hotel small , linen clean room bathroom poky . mistake make ( hotel ) book daughter belonging pack move housekeeping department embarrassing daughter , minimum apology give . book hotel parking hotel , find stay find car window smash . 
 Mar 27 2008 	 Favorite 	 12th floor elevator go 11th . lobby nice concierge wonderful help book West end seat , breakfast bit cold continually run room , floor stain , wet , odor , room heat 1 available outlet , thump club music play night night long . think window open , loud cold . leak ceiling bucket underneath open electrical panel . would not return ( thank concierge ! ) . 
 Mar 24 2008 	 well expect 	 surprised good hotel . other think packed . staff friendly efficient lot . good desk give map tell get anywhere . patient . tourist Canada hotel fit bill . close subway extremely easy use , cab St Pancreas cost 8 pound cheap subway 3 you . we go theatre least dozen within easy walk distance . although room little small adequate . large hotel lift well mark could get lose . breakfast busy find go 9.00 9.30 avoid long line . lots food , theatre would stay give location helpful friendly staff . 
 Mar 23 2008 	 Location Location Location ! 	 husband recently surprised trip London 30th birthday . excited log tripadvisor check St Giles Hotel book 2 night stay . almost review hotel really negative & amp ; fear bad . want let people know experience St Giles mostly positive . yes room ( & amp ; bed ) small use bathroom tinchy - right MIDDLE LONDON ! expect ? room small perfectly form & amp ; everything need base stay . perfectly clean . hotel slap bang wallop middle London city , shop , restaurant , bar door . ten minute walk west end ( sawphantom - outstanding ) . somehow , room noisy night , fact leave window open first night room warm & amp ; noise street perectly bearable . lot review complain breakfast set & quot ; canteen - like & quot ; grand . estimate 300 people eat breakfast time we . buffet style breakfast room queue litte well set , well stock & amp ; huge choice food cater nationality . go English breakfast route & amp ; yum . also nice bar attach hotel & amp ; 2 restaurant , Italian & amp ; Chinese , not eat look good . negative , pool order stay & amp ; lot reviewer complain must close frequently . prob would not get around use honest . main complaint would staff , perfectly efficient plentiful unfriendly , unwelcoming & amp ; rude . mind , find almost Londoners encounterd probably hotel . , though perfect hotel , find pretty perfect ideal location base busy city really want somewhere store shopping , get good sleep , hot shower & amp ; full belly head city 's attraction . 
 Mar 23 2008 	 Fine - know expect 	 shocking review hotel ... read - up beforehand , know expect , really fine . we want somewhere sleep explore London Easter weekend . I find rate website £ 80 ... bad travellodge quote £ 120.The location excellent , big strength . literally 1 minute 's walk permanently busy Tottenham Court Road tube . check speedy reasonably friendly - although 9pm . the reception look nice , marble , corridor could really use re - fit . creased carpet , scuffed wall sofas hallway look quite scruffy . bedroom adequitely size ... problem lack space . be big mean , ' ve stay small room central london before . the design guest room mean small window corner ... feel little gloomy , hotel can not really much design . cleanliness ok - although dust corner , nasty mould ciele window , trace shower . could easily ignore single night however . we eat chinese restaurant on - site ... look quite new , nicely decorate . food great , host polite pleasant . nice little bar immediately next , enjoy drink . bed cumfortable sleep well . quite hot though , even think snow outside ! last time stay , breakfast crowd unpleasant - not space accommodate everyone . - take friend Tavistock square , 5 min walk away , 's wonderful cafe green . egg hot chocolate , watch squirrel jump around outside . pleasant , also cheap hotel ! nice old building around , like bma house . check speedy efficient . concierge store bag free explore London travel home . myself friend quite enjoy - quite good value non - pretentious hotel , great location ... overlook shortcoming will fine ! 
 Mar 21 2008 	 love 	 partner go White City BBC tv studio watch programme recording . want overnight accommodation , cheap near Central Line tube . good could find . £ 58 night breakfast - book via Superbreak . double room shower . room could big , stay one night might hard , room adequate . bathroom small , shower work selection food offer breakfast , cater every taste . cheese ham , bacon egg . not see anywhere make toast ( vision queue toast machine hotel abroad - always get Brits queue ) , roll , croissant cereal . think really good value booking , via Superbreak . train fare Swindon £ 33 return ( part deal ) compare £ 38.50 use railcare . 
 Mar 19 2008 	 stay 4 night fine ... 	 husband decide take day away London . booked hotel line 4 night Friday - Tuesday . the hotel central , close underground station . check quick easy , much information give though , ask basic information . dissappointe breakfeast include rate , 9pound per person extra breakfeast , find pub 5 - 10 min walk away , Camebridge , breakfeast work less 10pounds we lovely ! not bother hotel one . room good view consider . room quite cold come evening time noise obvious , though city centre can not help noise . jaded evening time get back hotel decide get pay per view movie not see much tv , pay per view would not work , rang reception tell would check would ring back , call let know either way . next night rang reception , pay per view fix within minute , pay find none movie advertise , movie like bad pirate video 80 's , sound etc diabolical movie come clear Porn ! typical ! room small fine need , bathroom tiny , cheap shower gel / shampoo - bring ! behind bathroom door not seem clean behind properly , ledge room dusty room clean enough , tea spoon though ! ? . porter helpful , one good contact always welcome . leave bag last morning come back collect afternoon handy . drink snack chineese restaurant leave , waiter seem agitated not order 3 course meal ! price quite high comparison rest area . check fine , male receptionist quite nice , make good eye contact etc obviously lack customer interaction lie standard operation lack .... not bad hotel standard consider check check quiet time guest wait . ymca leisure club easy access lift not even get look around ' m afraid ! 
 Mar 19 2008 	 Poor Guest Service 	 Hotel fantastic location great potential , hotel 3 time , every year November part group . look good first go , room small would expect city centre hotel , clean acceptable . breakfast dreadful , mass buffet style poor quaility , bacon dry fatty , like bad motorway style , breakfast staff look missrible do not want , staff encounter whole unhelpful , evasive sometimes even rude . word advice would go Macdonalds road breakfast , even though generally hate Macdonalds , much well . go back year bad , shame hotel potential manage way . need Northern TLC staff want , many forign staff little knoledge English , communicate difficult say least . 
 Mar 19 2008 	 need refurbishment 	 hotel hold great location next underground station . unfortunately hotel standard really bad even compare London standard ... room dirty , crack tile bathroom room strange smell etc . book triple room ( 3 guy ) imagine face see 2 bed ( 1 sixe 120 cm extra bed 90 cm ) . hotel say standard room large bed . complain quite finally find room king size bed 90 cm bed ( day 2 first night share : - ) .the breakfast ok ( UK wise ) staff friendly . the hotel problem & quot ; software & quot ; & quot ; hardware & quot ; really need & quot ; upgrade & quot ; ... 
 Mar 10 2008 	 not bother 	 Booked internet several week ago , confirmation say non smoking room . arrival wait age book , go room straight away notice stale smoke smell , although think someone smoke , not . leave next morning notice & quot ; Designated Smoking Room & quot ; sign door second floor . ask Reception apparently even smoke ban designate room smoker long smoke bedroom . want room smell like dirty ashtray would ask one . queue 15 minute get breakfast room chase staff tray cutlery , although breakfast quite adequate . please ensure go hotel non - smoker not get room second floor . 
 Mar 10 2008 	 ok night 	 stay St Giles one night trip theatre reading review , worried ! ! check problem , reception guy polite swift , less . lobby look quite nice . get lift 6th floor room . hallway bit tired hey hallway ! room tiny . enough room side bed get bed . suitcase two , would room move . quite noisy , bad review mention , central london ! bathroom small . square loo , basin shower gap get shower curtain stuck showered - uugghh ! everything clean , bit old tired smelled bit fousty . it ok one night , ! ! ! Breakfast ok , nothing fantastic . croissant , cerial , bread roll , cheese , ham cook item . juice , tea coffee . the location excellent Dominion Theatre show , good Oxford street etc . this hotel ok . like hostel / cheap B & amp ; b hotel . I would not want stay night . 
 Mar 10 2008 	 Good Location Everything Average 	 stay St Giles one night , location hotel good , close theatre , museum shop . room disapointing , tired , smell smokey , noisey night , sound like air conditioning unit come top building nearby . breakfast like canteen , tea & amp ; coffee self service , minimal cooked breakfast , include mushroom , fried bread , tomatoe even fry egg . carpark hotel quite scary . narrow approach , lift order , stair dirty smelly , people actually sleep stair . worth note hotel adjust park ticket half price ask help . glad stay long . note : drink bar serve load ice unless state otherwise . mean actual drink glass minimal ! ! lovely meal Pizza Express Coptic Street near hotel . 
 Mar 9 2008 	 Value money 	 hotel quite basic , rather small room . good size bathroom though . would surely recommend people visit London use hotel place sleep breakfast . location great : central London , corner Oxford Street 10 minute walk Piccadilly Circus Leicester Square . underground station Tottenham Court Road ( Central Northeren Line ) one minute walk . think hotel great value money . 
 Mar 4 2008 	 great location 	 arrive busy time check plenty check staff duty take long . concierge staff helpful bring luggage room we quickly , , that s good get . room basic bathroom . whole place need upgrade emphasis soundproof bedroom window . know hotel situate junction Tottenham Court road/ Charing Cross road/ Oxford street busy , , noise carry night . neither wife lot sleep . book online breakfast include , think price pay would got breakfast . therefore check early concierge staff take luggage come back later day continue journey . overall , quite disappointed standard hotel ' m afraid look elsewhere next stay London . 
 Mar 2 2008 	 Great Value Great Location 	 stay St. Giles seven night April 2007 although room small , clean service outstanding . staff polite quick attend need . concierge service wonderful location well . highly recommend hotel anyone want clean room , great location friendly service . 
 Feb 29 2008 	 St. Giles bad 	 going trip , read pretty bad review internet prepare bad . experience St. Giles bad review say . stay 3 night one room come back London day later stay 1 night different room . true one side hotel nosier another . bathroom fine shower relatively small , ' ve hotel small shower . room perfectly acceptable comfortable . breakfast pretty good , hot food selection cereal fruit . would stay . advice , check , might tell want non - smoking room . 
 Feb 29 2008 	 absolutely awful - less ymca standard ! noisy tiny lumpy bed - horrible ! 	 give hotel wide berth ! absolute nightmare ! double bed pathetic size ! two average sized adult could lie straight ! triple & quot ; bed & quot ; 2 ' 6 & quot ; pull - out thing skinney 12 yr old son could hang foot . emergency vehicle fly past ( full siren ) night long ...... couple fire alarm 5 am , manage 2 hour sleep wrecked time London ! follow room change request , get change another room could & quot ; swing cat & quot ; ! ! ! breakfast 20 minute queue & quot ; bun fight & quot ; describe canteen ! ! ! way deserve 3 * status .... absolute joke £ 125 per night . please pay little extra manage sleep ! Ally 
 Feb 28 2008 	 dont GO 	 stay hotel two night break . first room stank stale smoke sheet stain pubic hair . move room much well . never room small . main overhead light , cheap ikea bedside lamp . bathroom dirty mould grow shower , disgusting . extractor fan work everything steam up . this hotel cheap , honest would stay even room free . 
 Feb 28 2008 	 birthday theatre break daughter 	 seem hard believe review read hotel . daughter stay 2 night 17th & amp ; 18th February . hotel clean , staff helpful . room bathroom large perfectly adequate , consider super location price . breakfast fine cereal [ cook breakfast could well , ] juice , mug tea coffee . would nice toast croissant make nice change . not get breakfast 9.30 encounter queue . table could do wipe . second time stay hotel would stay recomend . easy get central almost top Leicester Square . also swim pool never time try . 
 Feb 27 2008 	 avoid claustrophobic 	 pick hotel reasonably cheap close Oxford Street . give tiny double room face Tottenham Court Road since stay weekend noisy . bathroom small could not even accomodate 2 people time . wardrobe , shelf headboard . crib baby put room , fold able move around . it like cubicle.breakfast extra charge £ 7 per person . not worth it . the hotel huge always load guest . I like gym swimming pool , not time take advantage 
 Feb 25 2008 	 disapointing 	 decide stay St Giles Hotel London due fantastic location , however fantastic hotel . first arrive feel like walk youth hostel due shere amout teenager stay hotel . would not usually bother stay hotel reason London University interview therefore need good night sleep , could manage kid feel need press lift button seem like night long . finally get night , decide shower 1 2 metre bathroom . need interview 10 am really need everything run smoothly , water shower do not hot water run untill leave run 25mins . then shower need dry hair find hair dryer room do not work do not even think provide new one . ( something think automaticly do something like be not work , use clean hotel , somthe check every day ) IMPRESSED ! luckily parent come could borrow hair dryer room work thankfully . finallt manage get ready , go breakfast , find massive queue breackfast nothing canteen . food be not bad must say expect well . if be not enought , next night , fire alarm go 3 time night , first time 2 am however last 2 min one even leave room information give guest staff . 6.30am alarm go 45 min . people think leave thi room head fire escape . get fire assembly point outside building , alrm stop . dad go reception find safe we go back building staff look 2 head . point thing get beyond joke none gue know . 7.30 finally get back room back sleep woken alarm 8.00 . tell nothing previously one guest take alarm seriously , could extreemly dangerous fire.overall could not wait leave , good thing say hotel would concerge could not helpful . actually member staff give customer time day . do stay HOTEL ! ! 
