Excellent 	 wife recently stay property one year old . say enough wonderful service . hotel well manage , staff extremely pleasant professional . could get within 15 ft stair someone help we stroller . area close 2 large park adjacent metro stop . grocery across street several restaurant close . arrive early staff take we lounge brief stay room ready . regular marriott business traveler , use lounge . one nice compare . room clean well appoint . would definitely stay . 
 Terrific Service Interesting Neighbourhood 	 move hotel 3 night October 2009 stay London , attend business meeting . use Marylebone Station hotel put within walking distance early morning start . also business account , budget increase personal one . moment enter lobby , apparent enter luxury hotel . ratio staff clientele increase three - fold previous & quot ; leisure & quot ; hotel . decor beautiful service warm inviting . give early access room , even though expect store luggage . room clean , stylish comfortable , seat room previous hotel . I use business centre daily find quiet . question download view file , always helpful staff member nearby find answer ( not make feel silly asking ) .The neighbourhood interesting , lot arabic restaurant shop . coffee shop across corner , case want venture hotel 's restaurant . also particularly good restaurant call Beirut Express around corner , phenomenal food . course , Oxford street two block away , load shop fast - food place . near tube station within two block hotel well - locate lot interesting walk nearby . 
 Nice Hotel easy taxi ride airport Heathrow . 	 get taxi Heathrow Marriott £ 38 www.heathrowminicabs.com Tel [ -- ] get easy walk many tourist spot London 
 Mar 7 2005 	 Area Safe 	 want address point raise regard area around Marble Arch . true say Edgware Road ( one side hotel ) centre lebanese restaurant true give impression sort sinister area full threaten Arabs . restaurant top range area lively perfectly safe male female visitor . dangerous Chinatown ! ! ! would think unused see lebanese middle Eastern restaurant concentrated area find restaurant somehow inherently threaten . please , not worry take opportunity eat one . cuisine superb welcome friendly people offer course course delicious food . would sad miss dining reason fear area . 
 Mar 2 2005 	 excellent comfortable friendly - great value ! 	 never stay Marble Arch area . go back London , stay hotel ! area rich Middle Eastern culture - food fantastic healthy ! Green Valley store one block hotel terrific pastry food . hotel far underground station absolutely great shape inside . impressed . negative ( might characteristic european hotel ! ) minute touch something mini - bar room , sensor pick movement charge room product . almost 55 pound worth material waive - look we like seven head . word , hard time see would touch anyway - meaning , could not see difference admire potential intent consume consumption . ask desk representative - & quot ; shop ? like look thing decide get , right ? & quot ; look waive charge . terrific time ( fourth time London ) highly recommend hotel . please , please ignore ignorant view post comment . find area London warm , safe even 2am ! everything possibly want right ! access safe atm / cash dispenser , plentiful grocery shop , different kind restaurant include american - menu , transportation accessibility . truly impressed ! 
 Jan 23 2005 	 Fantastic 	 would definately book th hotel service staff fantastic , short walk away great shopping oxford street close major tourist attraction . would totally recommend room high floor view fantastic . room clean decor lovely , comforable & amp ; pleasureable stay . well do staff involve stay . girlfirend tremendous birthday . thank ! ! ! ! 
 Aug 16 2004 	 ok 	 nice place . bit far near tube station . nice . try slot parlor block . pay every day stop . 
 Aug 2 2004 	 great hotel great food close shop bad surround area 	 stay hotel one day , urgently feel like leave moment arrive .... disadvantage . room service fast food delicious . hotel clean good shape , though bed bit worn . decoration isn´t 4 star , it´s allright . the annoying hotel it´s surround . it´s completely arab - dominate area , there´s diversity food woman could feel slightly intimidate man - dominate area . hardly ever see woman street evening ... recommend short - stay weekend rate allright ( staff isn´t ... ) food excellent . 
 Jul 16 2004 	 nice indeed ! 	 stay Marriott Marble Arch July 2004 brilliant time . initially plan stay ( expensive ) Marriott Park Lane , book , rate available quite extortionate , choose Marriott Marble Arch instead . ' m really glad ! outside , hotel look big impersonal , inside be lovely . recently refurbish well look . executive room 10th floor . compare London hotel , room positively big - king size bed , three - seater sofa , large coffee table , tub chair , desk & amp ; chair , still plenty room move around . room bright even cloudy day , due huge window along one wall , bed comfortable . thick curtain provide total blackout double glazing mean disturbed , day night . bathroom small , bath decent size . staff friendly breakfast top quality - even fry egg spot exact specification ! executive lounge ok , selection snack drink poor , spend time hotel bar . hotel leisurly 10 minute walk top Oxford Street ( Hyde Park / Marble Arch end ) nearest tube station ( Marble Arch Central Line ) . 's pleasant walk , lot shop , cafe eat place along way , 2 bank ( HSBC NatWest ) nearby . not fancy walking , catch bus practically outside hotel also see plenty taxis . it be true hotel situate heart London 's & quot ; arab - land & quot ; , fact several guest arab . obviously bother see shop sign write arabic , may enjoy staying area , be perfectly safe ( know fact use work nearby couple year ago , always go local restaurant cafe work ) . anything , area 's safe area London 's always busy late . husband walk back Hyde Park 11:30 night feel perfectly safe . all , friendly comfortable hotel offer high standard moderate rate ( part London ) . plush Park Lane hotel , highly recommend anyone not mind pay less & quot ; misfortune & quot ; walk extra 10 minute get hotel . 
 Jun 22 2004 	 good hotel will not go back ... 
 may 22 2004 	 great time 
 Jan 5 2004 	 Liked hotel neighborhood 
 Dec 12 2003 	 nice boutique type hotel 
 Oct 17 2003 	 Nice hotel strange location 
 Jun 25 2003 	 interesting part town 
 Jun 12 2003 	 Prett good hotel 
 Mar 12 2003 	 great deal Priceline 
 Feb 11 2003 	 Pleased Hotel 
 Dec 7 2002 	 great staff make stay special 
 Nov 17 2009 	 Marble Arch 
 Sep 5 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Apr 28 2009 	 Ottimo 
 Apr 13 2009 	 parfait 
 Feb 10 2009 	 Marriot hotel nuovo e pulito 
 Nov 20 2007 	 Calidad correcta 
 Nov 6 2007 	 hotel da consigliare 
 Nov 14 2006 	 Abbiamo risocntrato quello che ci aspettavamo 
