consistently 	 stay Hotel several time , use call Royal Lancaster , every time without fail make feel welcome . carefully rehearse corporate greeting chant every client genuine personal professional interest Guest right time arrival eventual departure . if lucky enough get room overlook Hyde Park view across London spectacular , especially night . the location central one tube station within yard / metre hotel entrance . also nice able walk Park Oxford St Knightsbridge shop , even Royal Albert Hall . also livery stable yard close wish ride Park . I would choose Nipa Restaurant alone ! 
 bad value money 	 small bathroom , small superior room , poor continental breakfast ! ! ! 
 good stay 	 stay one night happy . room smal clean good view 10th floor . staff friendly helpful . a good base sighseeing walk Oxford Street Hyde Park Harrods . intend see Winterwonderland tell tacky not go end . room breakfast charge high £ 24 head walk Jarvis Ramada 20 minute walk pay well rate £ 15.50 each . we park opposite Ramada Euro car park . £ 15 24 hour Sunday morning pay £ 10 twelve hour . I recommend stay Lancaster London . 
 Oct 14 2008 	 Poor Service 	 stay Royal Lancaster recently disappoint service receive . part group hotel want everyone fill form personal detail would allocate we room key . take hour check . form could sent we advance make check easy . staff reception seem inconvenience group fill lobby whilst fill form . group leader offer fill form group sign allow everyone get room long journey refuse sometime later key eventually pass we helpful receptionist say long form complete hand 10 pm could go room . the room check deluxe city view room 16th floor superb view across city . bed huge comfortable adequate supply tea / coffee Gilchrist Soames toiletry . room seem clean apart dubious white stain chair . the hotel excellent location tube station next door Hyde Park across road . also far walk get Oxford Street shopping . a word warning , pay breakfast . stay many hotel London bad breakfast ever . reason , room one breakfast include rate . go get breakfast show table buffet full english breakfast , go get , leave sausage scramble egg . not toast , bacon , bean etc . continental breakfast sparse offer small cup cold coffee . start eat , tell one breakfast pay rate . request rest charge room tell fine . finish eat leave chase breakfast room waitress bill , tell could not add room . embarrassing tell cash card front pack breakfast room . pay £ 22 breakfast one person . next day hurry , decide breakfast freshly prepare buffet . cook we high expectation day . show table tell waitress would take order . wait 30 minute someone take order 30 minute food arrive , sit hotplate skin . disgust eatable . eat well budget hotel well service . probably realise room service hotel usually inflate price Royal Lancaster take biscuit charge £ 6.00 litre mineral water , £ 8.00 pot coffee £ 4.50 yoghurt . internet access £ 17 one group get catch charge clear . if want nice room night hotel ok want use dining facility , forget . complete rip standard expect four star hotel . 
 Oct 12 2008 	 Loved Royal Lancaster London 	 recently arrive London long flight LA . book hotel early recommend time immediately show room . clean comfortable , spacious great view . service great . dine restaurant find good value money food Thai restaurant superb . would recommend hotel traveller London good location tube etc . Anne Bernie New Zealand 
 Sep 24 2008 	 well worth 	 check hotel net see good review . pay GB 115 advance travel agent four night prior travel . check efficient lobby clean reassuring .The room clean tastefully decorate light beige colour . ample supply coffee , tea biscuit tea maker . the linen clean new . the tv work well . the bathroom fully equip Gilchrist Soames toiletry . the ' power ' breakfast wasa good continental one cheeze , ham turkey besides usual juice cereal . it good . the staff restaurant courteous warm . the location terrific , tube precisely three minute away beautiful Hyde Park across road . the comfort location hotel really make trip London enjoyable . great value money . would definitely stay would advise friend . 
 Sep 19 2008 	 Nice Hotel 	 nice option lovely Hyde Park area london . small room expect London hotel . budget rate proper hotel restaurant nice perhaps bit dead hotel bar . nice pub around corner hotel though right top bayswater tube station . bed comfortable overall can not say anything bad hotel 
 Sep 17 2008 	 Nice Hotel .. 	 think Royal Lancaster good hotel great location . the view room amazing impressed level cleanliness . bed exceptionally comfortable massive tv probably good selection channel come across hotel . the let long wait check one person reception . negative first impression . however , would stay without hesitation . 
 Sep 11 2008 	 Average .... 	 stay hotel attend function . large hotel good location . room 8th floor , room bathroom small compact . docor average reasonably clean . stay one night breakfast morning . breakfast poor average . toast fry egg order nobody tell time egg come breakfast either cold already eat without they . overall average central london hotel , pay £ 170 B & amp ; b . although hotel good location think expensive . 
 Aug 1 2008 	 list good good service reference 	 come back london stay Royal Lancaster nearly 1 week . list + - . hope helpful you . Good Services:1 . good doctor sprain ankel came treat . able walk even without clutch . absolutely GOOD.2 . room service really excellent - could walk , order food ice room service . food ' yummy ' .... try smoke chicken sandwich ... good ! 3 . friendly service restaurant ... really worthwhile give tip ! ! ! 4 . good reception desk service - answer answers.5 . reasonable understanding check service . calculate bill wrongly tell . reception immediately make amendment ... good ! 6 . room - comfortable high park view . like clean towel . also like big bed ... 1 person give big bed ! 7 . lcd tv - model ! ! ! come list ( - ) ... wait improved:1 . though LCD tv , many english channel . almost middle east language . CNN National Geographic , Geographic Animal Planet science channel English . BBC enough ! press tv guide , info ... ! 2 . room quite clean - tea mark plate , pillow case kind mouldy ... ( reason : old case ) . floor carpet clean ... dirt make ( bread crumb ) remove . 3 . bath tub high water really good temperature control.4 . conceige dept ... - communication require . tell could book dot dot service 24 hrs . advance e.g . 30 hrs advance . 5 . bedding , open quilt put end bed front bed guest body contact inside hygenic . 6 . safety box useful room ... recommend try time first really put jewel / passport . door - need know trick . also , button sensitive - really press hard ... anyway .. open close time day get use find useful ... remember ... trial error first ...... 7 . hanger ... hanger dress trouser . expect clothe shirt ! ! ! 8 . cookie really tasty tea - bag ! ! 9 . air- condition great ... trouble switch lighting .... never figure ' trick ' . never know central flow .... quite interesting electrical arrangement control.10 . last least ... hotel basically quiet nice .. guest .... middle east woman run around yell corridor child .... scream .... morning night ... bad ... child play fire alarm system . fire alarm system .. suddenly scared - fault hotel .... child think kind ' play ' fun ... well ... false alarm .... really fire ! ! ! overall rating Royal Lancaster : 7/10 good 3 Star average 4 Star hotel 
 Jul 29 2008 	 well locate good hotel 	 wife stay 3 night late July . fly Heathrow , hotel access Heathrow express paddington much cheap option take , tube Lancater gate ( change earl court Notting Hill gate ) 3 day tube travelcard £ 20The hotel 1 minute walk station arrival staff friendly helpful . room 3rd floor despite Hyde park view , know booking could opt pay more . the room medium size good big city , trade good location . room clean tidy importantly air condition . the breakfast include deal get ebookers.ie include continental breakfast upgrade include hot breakfast £ 2 extra . say , continental breakfast substantial enough include buffet brad , pastry , cereal , youghurt cheese . the Swan mention time would agree positive comment , really nice pub good quality food . hotel bar worth mention . lobby area across Nipa call bar void atmosphere provide negative hotel . we eat Island restaurant hotel ( 1 2 Nipa Thai restaurant ) . food european style quality excellent . service good nice relaxed atmosphere . overall , fine hotel good service good food . lack bar pub across road . accesible Hyde Park across road offer nice area walk relax . 
 Jul 24 2008 	 well locate hotel 	 return 2 day stay Royal Lancaster , enjoyable time . & quot ; superior & quot ; room 16th floor give good view Hyde Park . hotel well place get around London couple minute tube . the room well decorate , need include free safe , tea & amp ; coffee making , bottled water good selection tv channel . breakfast serve room overlook italian Garden Hyde Park nice setting . continental breakfast include fine , would concerned pay going rate £ 17.50 this . overall nice experience , quality hotel nice friendly staff . we would stay . 
 Jul 14 2008 	 great view central London 	 Great view central London ! convenient location . comfortable room . sadly Breakfast service chaotic . receptionist pass booking make Nipa Thai Restaurant , check restaurant manager smoothed situation make we feel welcome . food Nipa delicious service first - rate . 
 Jun 26 2008 	 Bland blaise - much write ... 	 company book conference find back hotel . ' ve stay ( ) equally boring last time . excitement always happen trip 8am housekeep BANGING door say sorry open . bar 1st floor ( 2nd floor be american ) one bore little afffair might suit pace oap ( old age pensioner ) .The amazing thing observe cancellation room reservation hotel member company HOSTING CONFERENCE 500 + room cater book 4 day . tell management bit lax moment ( say least ) .otherwise , basic nice restaurant ( v. good Thai nice , rarely second time ) , morning buffet / english fry - up basic room stock neutral one get trade . the local area not fare much well neighbourhood somewhat residential . 
 May 28 2008 	 Fantastic Hotel Great Location ! 	 stay Royal Lancaster original hotel overbooked - go back , would hotel choice ! room 10th floor stunning view Hyde Park city . room perfect . new appliance , nice granite countertop bathroom , large flat screen LCD tv SKY cable , comfortable bed comforter cozy want bring home ! extra service hotel room service , internet like pricey side - expect four - star hotel . free breakfast fine , pastry , muffin , cereal , toast , juice / coffee include could pay extra egg , sausage , bacon , etc . tube ( subway station ) directly around corner ( Lancaster Gate stop ) provide excellent mean transportation major tourist site . taxi lane also directly outside hotel main entrance convenience ( ask concierge doorman one pull underneath hotel overhang not want walk extra step , 's raining ) . fantastic pub around corner call Swan . sit directly across Hyde Park great english staple Shepards Pie , Fish & amp ; Chips , Sausages & amp ; Mashed Potatoes , well wonderful atmosphere . staff friendly funny ended spend many night dine lively crowd . hotel excellent location near heart downtown London everything could need within walking distance . would highly recommend hotel anyone consider stay London ... not think regret . 
 May 26 2008 	 average negative know 	 upon walk Lancaster immediately appear one nice hotel ' ve ever stay . would not live initial impression definetly still nice . first , positive . 's great location Underground ( subway ) right across beautiful Hyde Park . breakfast area glass wall overlook park wonderful service , since price simply tack onto room book not realize pay 18 pound ( 36 US dollar ! ) per person cereal , bread , fruit . hardly bargain . the room good size keep well . towel rack bathroom heat keep towel warm , careful grabbed brush numerous time . be right next door awkward position . problem A / c evidence previous reviewer , almost staff seem absolutely wonderful willing help anything . arrive early check cheerfully stow baggage without problem . Most staff helpful , however conceirge terrible . first time go ask direction famous tourist destination first google , try look map clueless . finally get help another conceirge , must new . time go give either half information practically pull tooth get complete answer brush aside question . however , doorman Sebastin make excellent . basically become conceirge , tell we restaurant , get discount get around , cheerful always willing volunteer information could possibly helpful . save we 50 pound get airport conceirge could not care less . overall , nice hotel , advise probably overprice . would recommend . 
 may 20 2008 	 lovely 	 stay one night . room lovely . good location Hyde Park . many restaurant nearby , go nice italian ( hotel , turn leave road right ) . could not get hotel restaurant 5.30pm , say full , think jean . could not get cold water bathroom ! good selection film £ 10 . would definately stay . 
 May 19 2008 	 good bad 	 stay Royal Lancaster Hotel two night May conference . what good hotel friendliness staff , location outside Hyde Park nice like take stroll beautiful park , Lancaster tube station ( subway ) 1 minute walk away room clean . what bad sound insulation practically nonexistent noise A / c system loud keep turn night . could hear everything go next room hallway could sleep find earplug . and take consideration price pr . night bit high , think recommend stay hotel . least going go London . 
 May 18 2008 	 need overhaul update 	 book last minute deal via wotif.com 100 pound night . Website decribe room stunning view Hyde Park , main reason booking . room actually overlook carpark 3rd floor scaffold cover side building . tell pay extra 80 pound get parkview room . room ok , reasonable size comfy bed big tv . couple thing wotif.com website hotel website say provide , like hairdryer bathrobe , little thing , expect night little bit luxury 's bit let . staff pleasant hotel location great . tip - road London House Hotel 65 pound / night , luxurious hotel , much well option area budget conscious traveller . 
 May 10 2008 	 Overpriced hotel 	 stay hotel attend 3 day conference also take place hotel . look convenient stay hotel conference . , stay 2 night pay 500 € . colleague ( book room time via hotel website ) another price , room . ask front - desk said could not anything book online . think explanation helpful book théir hotel site ... modern time , 's thát exceptional book hotel online , answer quite unacceptable imo ... room dissapointe : small look old . also , quite noisy , good thing take earplug . if want room view park , pay extra . restaurant ( Nipa ) good conference facility also good . 
 May 4 2008 	 really nice Hotel 	 recently spend 3 night wonderful hotel . hotel site approx 30 % dearer rate get travel site , worth brouse net well deal . the Hotel location superb explore London Hyde Park minute walk room . the bedroom well furnish reasonable size , although bathroom small side . be warn decide stay hotel drink , pay $ 39 dollar two Kalua Liquers . the Hotel 's Thai restaurant busy , prepared wait , wonderful experience . thai food really good worth wait for . across Hotel nice indian restaurant , reasonably price , actually cheap local indian restaurant . its worth take walk surround area explore quite local coffee shop . 
 Apr 13 2008 	 Loved hotel - stay . 	 stay 8 night package British Airways include wonderful continental breakfast . well - outstanding food include fresh fruit , juice , yogurt , cheese , meat , cereal , lot danish pastry , coffee , etc . 2 pound one could upgrade full english breakfast - real deal England . room wonderful view Hyde Park , 8th floor , super quiet , excellent maid service , lovely towel , toiletry , bathrobe , comfortable bed . complaint unable control temperature room - either cold hot ' ve problem lot time elsewhere . eat Thai restaurant site twice really like , also lobby bar ( second floor , lobby ) sandwich ( excellent ) drink several time . also use business service center find helpful . , hotel staff gracious , cheerful . definitely stay next time London . 
 Apr 1 2008 	 great Stay Royal Lancaster 	 let last moment another hotel book deluxe room hotel . lobby lovely , staff great . 15th floor fantastic view London skyline , include Big Ben , London eye etc . eat restaurant , however look lovely . bed huge comfortable . location great rhe tube right opposite Hyde Park . little grumble give smoking room , not ask reception would prefer , however view room great , not want take risk move another room incase view be not spectacular . definetly would recommend . 
 Mar 31 2008 	 Satisfying stay Royal Lancaster 	 stay Royal Lancaster Easter weekend 3 night Standard double room . hotel quite large situated along Hyde Park ( lovely place walk ) . 's seem like residential area , not much choice shop , pub restaurant within easy walk distance , although Hotel ' Island ' restaurant quite nice . one meal lovely , little pricey . food general Hotel expensive . one 2 tiny corner shop pick food not want pay extortionate breakfast price . there tube station directly beneath hotel convienent access city . 's 10 min walk end Oxford street ( near Marble Arch ) .The room bit small comfortable clean . room look bit date . good tea & amp ; coffee facility nice biscuit ( not get last day ) , big ( ~ 32 & quot ; ) LCD tv good range channel include Sky Sports . ensuite bath power shower . I find staff helpful , get good information concierge get around place go . overall stay satisfactory fabulous , use Hotel base see London serve purpose fairly well . 
 Mar 7 2008 	 give miss 	 conference facility hotel good . hotel location good . directly opposite Hyde Park , 30 sec walk Lancaster Gate Tube station 10 min walk Paddington Heathrow express . downside location hotel road 3 side , bit noisy . pick room fairly high will not hear anything . onto room . pay £ 180 thoroughly disappointing . room small , shabby hot . turn A / C come tepid air . window not open get hot . must say , well value hotel London will not stay Royal Lancaster unless ' m really desperate ! 
 Feb 12 2008 	 Great Hotel Great Location 	 return weekend stay hotel , want let traveller London know good think Royal Lancaster . travel companion attend trade show Olympia Kensington weekend arrive London early Saturday morning . get tube Lancaster Gate hotel quite literally two minute walk around corner tube station - perfect pull heavy suitcase ! although arrive hotel noon , two hour checkin time , check immediately show room 12th floor amazing view city . room medium size although bathroom small , perfect need . enough towel toiletry change every day . continental breakfast include stay would expect decide full english one morning subsequently charge £ 2 extra . pay full breakfast would cost £ 16 continental £ 19 full english . expensive actually seem norm hotel nowadays . the staff friendly especially doorman . reception staff helpful courteous time . hotel even fast - track checkout system whereby long happy extra charge , need leave card key room close door behind . extras charge credit card . leave luggage doorman check 10 flight not til 7 pm problem . allow we freedom return trade show without bother suitcase drag behind we . I love hotel location - around corner tube station make everywhere London accessible within walk distance Oxford Street lovely shop ( walk heel ! ! ) . also great pub close hotel call Swan - serve great food great price . eat day stay . stay hotel really must visit pub . sum review almost turn novel , would recommend Royal Lancaster stay London without hesitation . 
 Jan 16 2008 	 expect 	 would expect 4 Star Hotel area London . location excellent . hotel staff friendly . room fine bed comfortable . drainage bathroom good . Shower sink fill tap . disgusting ! ! breakfast lovely , overlook park . hotel Bar poor , like Hotel Reception area . nice Pub around corner hotel . plenty taxi outside Oxford Street short stroll away . 
 Jan 10 2008 	 Loved ! 	 hotel conveniently locate local landmark Royal Albert Hall , overlook Hyde Park right next Lancaster Gate tube station . the room clean tastefully furnish . the breakfast delicious - slightly negative comment air conditioning full blast dining room - December ... brrr . apart minor thing , enjoyable stay would definitely recommend hotel other . 
 Jan 6 2008 	 royal lancaster hotel estimate ! 	 ' ve stay royal lancaster hotel January 2008 reading review site ROYAL , well ... ! book standard room , think standard . tv tiny poor selection channel , room noisy , could hear every thing go floor include go elevator , couple sex next room ! hot water bathroom ask fix problem , , day ! next day hot water , . plump bathroom poor , sink bathtub take age drain water end sticky dirt every ( yucki ! ) . house keeping serve also poor , not empty trash pin daily ! want cup tea morning use water boiler provide room , thank god open boiler look inside , terribly disgusting lose interest drinking thing ! ! advice traveller check inside boiler use , never know find . , hotel definitly 4 star . 
 Jan 2 2008 	 gorgeous hotel well excellent service ! 	 mum go London two day sightseeing brother ( also book hotel company ) work London . get tube station near stop ( Lancaster Gate ) literally two minute walk around corner . excellent service checking manage put we room one door away brother . take ill management excellent call ambulance immediately , wait we ! could find fault hotel . room , staff , breakfast , location excellent ! ! plus get special rate room ( £ 80 two us ) phone hotel direct , quite last minute . would recommend hotel anybody ! also , checkout lunchtime not leave London 5 pm room leave luggage give receipt collect luggage convenience . 
 Jan 2 2008 	 Perfect Hotel 	 return 5 day stay Royal Lancaster friend . pleased room , staff overall excellent service . recommend hotel ! 
 Dec 19 2007 	 whole pretty good 	 book hotel on - line e - booker whole happy stay . staff welcome helpful general level decor good standard . minor gripe ; plug bath reluctant open drain water away , slightly annoying show bath fill water ; not hairdryer room either slight inconvenience not time phone ask one bring ; room stay close lift wake times bing - bong lift arrive ( be week Christmas though guess expect bit ' traffic ' usual party people return night ! ) despite point , good stay think great value money consider London price . fair , mention thing staff check something rush . breakfast good ! 
 Dec 18 2007 	 nice indeed 	 experience London hotel either astronomically expensive hit miss quality . one reasonably price , less £ 150 corporate rate , excellent value . attend black tie function conference centre hence rate , function excellent attentive staff good food . room 14th floor spacious city hotel , clean , brilliant bed , lovely bathroom everything work ! electric , mini bar , hot water name , rarity . also love position Royal Lancaster , right behind Lancaster Gate tube station opposite Hyde Park , must lovely summer . area quite smart shop , pub hotel around . staff attentive polite . drawback breakfast start 06.45 06.30 , pity , tell good . like big hotel afford worth consider . 
 Dec 3 2007 	 royal time Lancaster Royal 	 return 2 night stay Lancaster Royal felt compel write review excellent stay . hotel book part package , read previous review website , little concerned review not favourable . however experience could not well . find staff extremely pleasant , friendly helpful . room lovely bathrobe smellie supply , breakfast fantastic , location ideal , oxford street , notte hill harrod within walking distance , not great walker , hotel right next tube station . great hotel would definately recommend ! 
 Nov 26 2007 	 Excellent hotel staff worth every penny ! 	 Couple Wirral . our stay book via theatre break company together ticket Les Miserables cost £ 129 per person . theatre seat great hotel lovely . the hotel staff polite , helpful courteous , despite none English . upgrade superior room free charge think difference standard room view Hyde Park , lovely ! room quite small enough two people spend one night . everywhere spotless , plenty bathroom towel complimentary shower gel etc . bed really comfortable room exactly right temperature overnight . the hotel Concierge helpful , forgot toothbrush take we outside 1:30am show we local 24 hour shop ! also give we information show , tour etc . parking onsight cost £ 30 overnight , 24 hour pay hotel , otherwise be £ 35.food hotel 's restaurant Island world definitely miss ! recommend Wild Pink Sea Bream Rack Lamb , follow Hazelnut Parfait Sticky Toffee Pudding Stem Ginger Ice Cream . staff extremely efficient polite . bill come £ 50.00 two us course bottle sparkle water , although include service charge . drink bar expensive , £ 15 glass beer Bacardi coke beware one . Breakfast delicious . vitality Breakfast consist ceral , fruit juice , bread roll , cold meat cheese , fresh fruit salad , yoghurt tea coffee . fresh tasty . thing not like put six seater table guest . our gripe , be minor one , not enough tea bag room . two ' normal ' one would prefer could one drink first arrive ( long drive ) , one go bed , come late west end , one morning . otherwise fantastic stay would definitely recommend hotel anyone . 
 Nov 4 2007 	 Handy Heathrow Express ! ! 	 wife book 2nt break TA - must say not expect much read review - surprise great stay Royal Lancaster - check 11 am room ready ! ! complaint room . Cont Breaking include rate average would say . not eat dinner hotel - little jewel Restaurant call Pere Michel across road - eat night - food 1st class wine : - ) service good . the hotel 10min walk Paddington Train Station handy use Heathrow Express arrive there.jj ...... 
 Oct 16 2007 	 Royal Experience 	 Husband stay Royal Lancaster hotel one night , reason stay connected business . Convention ( daytime ) black tie event evening , hold Royal Lancaster also . we delight room , top floor ( 18 ) withabsolutely amazing view right across London . maybe fraction date , could not moan room upgrade suite , comfortable , huge bed , mini bar , tv , tea / coffee make facility , trouser press , room safe , good bathroom , bathrobe slipper provide , lot space . the Royal Lancaster situate right next Hyde Park , great location , Lancaster Gate tube station close , travel underground , literally right next hotel . we visit hotel bar dinner , not impressed service . suppose waiter service , end bar slow . the evening event go well , enjoyable , food quite good , service ok there . breakfast hotel self service , choice cereal , pastry , meat , fruit , cook breakfast ( bacon , sausage , scrambledeggs , hash brown , tomato , mushroom ) , tea , coffee fruit juice . only one gripe , hotel tower block need use elevator , get pretty busy breakfast time ! , lovely stay , enjoy much , shame not long visit , maybe one day return . 
 Oct 10 2007 	 Central Nice Staff 	 book direct hotel last minute . polite efficient guy reservation , ok price - £ 130.The doorman see struggle street bag come take , nice welcoming . check quick -although queue ( 6 pm busy time ) deal quickly courteous australian guy - overall good impression far . although book standard room , ' m pretty sure upgradedas 17th floor , great view . room one small floor plan back door , perfectlywell size one person , nicely decorate , clean well appoint . Smart , small marble bathroom , turn service , comfy bed , complimentary water coffee . strange pay movie channel , overall acceptable . the renovation complete , disruption . hotel tower monumentally ugly , street level impression different - smart , welcoming . not negative experience people review really like fact manager respond negative criticism last reviewer . large London property , good value , almost Marriott standard half price definately stay , well future use business meeting arrange . 
 Sep 26 2007 	 Royal Lancaster soo Royal ! 	 stay Royal Lancaster Hotel 3 day Sept 2007 Holiday friend . fabulous ! 24 hour room service awesome ! ! staff soo nice - put 3rd floor ask view move 10th floor ihad beautiful view hyde park could see london eye , gurkin , cool place ! definitely recommend stay ! plus awesome marble bath / shower ! however , wireless internet room , ethernet cable . great location , 30 sec walk Lancaster gate tube stop hyde park across street ! ; ) 
 Sep 17 2007 	 delight 	 stay Royal Lancaster whilst London day ... like great location , minute Hyde Park far Paddington , easy access Heathrow Airport . overall , everything go smoothly . spite centrally locate , room quiet , great view Park . eveythe clean . the concierge helpful , make feel welcome . overall staff good . I would certainly consider another stay London next . 
 Sep 8 2007 	 Place over - rate Dump 	 apart rare staff member good would expect hotel standard , everything hotel lousy . seriously overprice . book get deal one standard room , put hotel price 4 star place staid , room awful , small , generally poor condition , bed bedding disgrace -- cheap material , uneven mattress . tv tiny , programme selection poor . we book smoking room give one despite confirm one ... hotel full , despite poor rating get . result location , , adjacent Hyde Park , first class . hotel cater mainly middle eastern clientele , tube station , lobby nice looking . after horrified shabby quality room , ask upgrade suite , another £ 250 . put we room business letting . hotel undergo work , room right next keep new window . worker window , able see right ( include bathroom , curtain ) -- problem stare we go business instead go . photo include . the room internet service , feature hotel make fuss literature ( & quot ; every room high speed internet & quot ; ) ... ask speak GM , response absolutely dumbfound , & quot ; make think internet room & quot ; ? ! nearly fall chair . there never apology forthcoming ... guess hotel use get complaint -- not care ... , stay full even provide horrendous service , lucky hotel indeed . the bill checkout & quot ; extras & quot ; add remove , do odd way , make we think deliberately overcharge guest . I one never stay . 
 Sep 3 2007 	 not recommend hotel 	 stay week hotel June 2007 would recommend hotel . although good location , advertise much well hotel actually be . the check - in slow . ask room low level floor possible , one we not like height . give room 2 double bed squeeze , almost sidestep around room . our view scaffold builder foot . noise morning loud , aware builder directly outside window open curtain quickly shut ! warn we this . the builder could see directly bathroom unless curtain pull spent weekend light curtain pull . we book hotel management directly , ask breakfast include . first morning breakfast , ( quite abruptly ) move one breakfast room another one ( different one depend room stay ) . lady desk infront room not good mood , get impression one slip free breakfast . we tell breakfast be not indluced stay . although already pay . let go anyway , decide deal bill check . service breakfast poor , staff daze another reviewer say do not listen order . ask pot hot water ( do not like strong tea ) get milk jug hot water , pot . go theatre ask concierge taxi etc . say ther need order one always taxis wait front door . tell we go front door 7 would get plenty time theatre . decide eat restaurant hotel , small one near front , can not remember name . arrive 6 pm , order 6.10 . ask staff would serve 6.30 go theatre . long story cut short , order never get kitchen , restaurant see waiter hand order chef . apologetic do not ' offer take wine start bill . walk , expect call we back apoligie nothing . get front door queue people wait taxi . still wait 7.15 . end late theatre apology acknowledgement staff . overall fine short stay worth money charge . need refurbishment , carpet lobby stain etc . 
 Aug 15 2007 	 unimpressed 	 Stayed business / leisure trip August choose hotel proximity heathrow train connection rest UK . upon arrival afternoon tell room ready would wait 2 hour . request double room tell none clean would wait . staff rude unapolagetic . instead give room 2 single bed ready straight away , across hall elevator extremely noisy . request move give another room later day somehwat quieter . hotel mean deserve 4 star . building look like ugly old ex - council property eyesore among old building surround . room clean basic , like travel lodge nice hotel . lobby dirty carpet concierge staff greet we one single time stay . service elevator frequently share lift staff carry pile dirty laundry . one day vacuum clean bag leave sit outside room morning . rude . for first time visitor London , expect area representative typical London life . nice part capital would recommend travel leisure . Windows currently replace construction noise occur daily . we check early complain staff , offer refund swallow overprice rate night use . do stay hotel ! 
 Aug 10 2007 	 Nice Hotel .. Glitches 	 stay week hotel 28 July 4 August 2007 . nice hotel overall , close tube ( Lancaster Gate station ) , clean major problem . check slow room ready even 4PM . try give we room 2 twin bed ( couple ) insist double bed room ( make book 5 week advance ) . finally get double room complimentary bottle wine ( wait .. [ -- ] ) .the room tight ok ( London ) . hand towel rack bathroom next sink . walk bathtub get hand towel . enough space put towel bar sink side wall ? ? really noisy morning . renovation work go start early like . ' ve put anybody floor work go . Greed ? breakfast buffet good ( toast bread though ) . service staff buffet walk around daze , attentive customer . practically beg refill coffee . overall nice hotel brief visit London . 
 Aug 9 2007 	 parking main suprise 	 parking limit unlucky left park site vague direction quite way . plus stay £ 28 per 24 hour stay . I also find dorrman quite rude want help direction ' overflow ' car park . experiance hopefully everyone else . I personally think hotel keep star status room decor sate , due location hold . hopefully change since stay . room need update clean , overall price ok stay . 
 Aug 8 2007 	 Lacking Customer Care 	 stay one night total suprise partner Birthday mean relax weekend .... untill apprache checkin desk reception . person check we dissmisive unhelpfull , detect tone manner . make feel unwelcome feel totally place . finally get help we feel wished have not bother still make enquiry sure ask do , sort thing customer . Breakfast come fry egg undercooked . ask could cook little . 10 minute , partner finish , breakfast return burn food food dry bean overcooked egg , due whole plate put grill cook egg ... worth £ 19 ... eat get chance Bed basis ... take ! ! ! check speak duty manager stay . fairness do not raise issue awfull breakfast quite joke think chef 4 * star hotel produce food low standard . talk attitude reception checkin staff go back forth time realise mentality . offer look we next time stay Royal Lancaster , fortunate we ... will not next time . overal room ok , clean , tidy , basic comfortable bed .. nothing special . 
 Aug 7 2007 	 look deceive ! 	 looks deceive see photo internet . think would great view overlook Hyde Park . instead park lot building across hotel . view expect . sister tell would 3 people give 1 queen size bed . room extremely small price . motel 6 would well . not see hotel 4 5 Star Hotel , maybe UK U.S . satisfy neither mom . the noise air condition keep we awake night . sound like someone pound pipe . tub clogged take shower toilet something toilet keep make noise well . however , location great close lot thing . take tube get around way also ride Double Decker bus . say people england friendly upset . Diana Corpus Christi , TX 
 Jul 24 2007 	 good experience good value 	 Booking last minute London always expensive business - least weekday - find Royal Lancaster Expedia good rate . the room fine , slightly show age , great view top floor . eat Island Restaurant excellent expensive breakfast , good cost £ 16 . agree person say hotel lack bar . island bar make feel sit restaurant lounge stuffy formal . staff friendly helpful . location good , beside Lancaster Gate tube station Kensington Gardens , road , charming great place evening stroll . definitely use Royal Lancaster . 
 Jul 24 2007 	 Construction zone 	 stay hotel 1 night ( Saturday ) end wish . first night go really well , room clean , fully function quiet . experience , decide extend stay next accommodation fall ; go wrong . book hotelsclick.com , hotel never receive booking day Sunday , wife turn day sightseeing hotel reference booking , unable check . look problem . luckily ready access internet able forward book confirmation hotel follow phone call , assure would take care , hour later wife able check hotel . the shower particular room work properly , unable adjust heat water result end scald experience . ensure unpleasant possible , drain also function properly leave stand 2 " 5 cm scald water . end least concern . as tourist , see sight day want quiet room night ; unfortunately build site outside window allow . like post , awoken 07:20 construction team . complain Duty Manager , assure people also complain would happen , unsure request room change deny . thing happen morning . I never stay date , price , build site . 
 Jul 12 2007 	 Nice People Poor Experience 	 book two room six week advance . tell would arrive late . check - in give we two room floor . go sleep 2 awaken 7am construction . one room middle renovation zone . also watch price quote . cost rise steeply first night nickle dime use internet breakfast . on plus side location overlook park food service bar quite late night . 
 Jul 8 2007 	 hotel nearly everything 	 hotel modern , clean friendly efficient staff . location easy get will find central London ... be literally 5 minute walk Paddington Station Lancaster Gate tube stop Central Line get around cinch . be room high floor south side will magnificent view Hyde Park ... will never wait long one 4 elevator super fast . side fact 's proper bar place much around hotel . be look late drink good offer & quot ; lounge & quot ; couch infrequent expensive drink service ... certainly will not get anything approach pint traditional english bitter . Breakfast include also pricey £ 16.50 continental 's expect hotel like . overall would thoroughly recommend . 
 Jun 25 2007 	 great . job 	 purpose stay concert Hyde Park . research read review really pay time . location perfect , literally come Lancaster Gate tube Station hotel . stroll concert back , notice indian restaurant oppossit hotel late meal great handy ! ! hotel decor grand clean . happy standard room , big london hotel standard room , 12th floor , look onto park london skyline.we problem staff , check in/ checkout . thank read someone review know swan inn nearby , great bar menu good atmospheric london pub . drink bar hotel little pricey-£14 2 single bailey ! ! ! would def use hotel price pay £ 90 . 
