FAB 	 Excellent value hotel great location . call negotiate great rate bed breakfast . good size room ( studio ) large bathroom . clean comfortable . good food especially room service curry ! ! staff come contact helpful , efficient friendly . take 15 minute walk Eye along river pass Houses Parliament great location . pleased hotel would stay . 
 Nov 5 2007 	 good mid - range hotel little variable 	 ' ve stay Riverbank quite time work overall say ' m pretty pleased . room reasonable size , bed comfortable food not bad either ... ' ve also mix experience room , mix - up reservation mis - billing prevent lavish high praise hotel . the good advice give anyone check Park Plaza ensure ask & quot ; quiet location & quot ; room room next railway intolerably noisy , train run Waterloo every minute early hour . on whole many bad place could stay London , hotel house Parliament , London Eye Waterloo Station within walking distance . 
 Oct 24 2007 	 lovely hotelexcellent stay ! ! ! 	 get great deal park Plaza Riverbank lastminute.com £ 79.we arrive hotel afternoon check smooth . the receptionist offer we Executive package £ 35 get Executive room bathrobe , slipper , fruit , water extra toiletry . also complimentry pre - dinner drink executive Lounge . we dinner Chino Latino restaurant delicious . I must say everyone deal welcoming , friendly professional . our room clean spacious . excellent stay would recommend park Plaza Riverbank friend family definitely visit hotel next time ' m London well . 
 Oct 11 2007 	 Hot Water 	 would recommend hotel . on arrival upgrade 1 - bedroom suite . room offer privacy office building overlook . look left view railway line noisy whilst train run seem night . crane neck right could see Thames . room clean modern . 9 am attempt shower unable get hot water . front desk advise problem boiler overnight fix . suggest go work go , otherwise could try later would take time hot water get 8th floor . time check still hot water . front desk kindly offer waive charge incur . incur charge unable explain charge book room . the hotel close St Thomas hospital nothing else , pub restaurant nearby . near tube stop consider within walking distance anywhere somebody stay 5 star hotel would wish go . 
 Oct 3 2007 	 Time unwind busy day London 	 arrive London early morning struggle Luggage make way hotel , greet door man able leave luggage ten ` clock . hotel front house staff helpfull friendly . appearance hotel excellent . want assistance travell concierge staff knowledgeable advise good form transport use able tell site London . room comfortable room service always hand . outstanding thing us bar restaurant . atmosphere realaxe bar . restuarant something experience , hard describe word come mind & quot ; OUTSTANDING & quot ; . sure order , staff explain everything need know , able tell we dish . rush way service hand need . wine waiter knowledgeable . enjoyed stay return . Jay Amanda Drake 
 Sep 23 2007 	 need Get Act Together 	 hotel well locate along Thames however get either tube station – Vauxhall Waterloo – bit hike , ten minute walk . rain heavily might consider taxi especially luggage time . attend hotel conference hold hotel . check check efficient , although check bit slow , trainee ( say name tag ) . room bathroom good shape clean . daily room service spotty . sometimes toiletry replace bathroom , sometimes . breakfast include room rate ok hot cold food . however , restaurant staff rush discourage second helping almost immediately remove plate utensil take last bite . one time go back second receive evil eye staff . the hotel restaurant , Chino Latino , excellent . good service food . apparently build problem exterior ceiling . front entrance close mist time , cause guest make circuitous exit entrance hotel . block front entrance well mark . business service abominable . voice mail room work . call front desk advise , respond say would send concierge room pass handwritten note colleague another room . pay wireless internet access hardly ever get connection . even hotel staff try make connection work laptop , could . explanation hotel full internet system could handle internet traffic . think correct twice able get brief internet connection 1 am . today ' world , response unacceptable . ( good ) response problem , hotel give free access business center computer recharge internet access additional 24 hour . sure would stay unless hotel ' business service bring 21st century . way , hotel open two year ago . 
 Sep 17 2007 	 modern stylish hotel friendly staff 	 book hotel base review site location . go London see Brian Wilson Royal Festival Hall - concert fantastic short stroll hotel great . prior check - in request quiet room , read review room back hotel noisy due railway line . day went call hotel enquire whether smoke room , . allocate quiet smoking room happy - even partial river view . arrival request late check also ' no problem' . the Riverbank Park Plaza extremely smart modern find staff friendly helpful . book online Executive package give Exec room ( obviously ! ) extras fruit , mineral water , bathrobe , slipper , extra toiletry etc use Executive Lounge 11th floor . lounge serve hot drink 24 hour day 6 - 8pm 's free wine / beer soft drink plus crudités snack hummus , guacamole dim sum . 's also breakfast serve although eat main restaurant good choice although Eggs Benedict sadly . we room service need eat early whilst get ready order pizza garlic bread . classy ! arrive late hot , fresh tasty . garlic bread ( delicious like strong certainly ! ) arrive 10 minute later genuine apology not think not charge . also , stay many London hotel work , price room service menu reasonable . highly recommend cocktail although £ 7.50/£9.50 not cheap . luckily get scratch card check - in freebie ( although suspect ' everyone 's winner ' ) . enjoy Raspberry & amp ; Mint Margarita ( delicious ) fiancé Dusty Mexican ( tequila Mexican orange liqueur dark chocolate ) . like we , usually opt cheap hotel London fancy splashing treating , would definitely recommend Riverbank Park Plaza . may little way love Thames . 
 Sep 16 2007 	 train keep sleep 	 book hotel Trafalgar Tours extend stay UK complete one tour . for rate $ 395 australian dollar per night assume would treat something special . obviously everyone go lucky enough get Thames river view House Parliament not mention anywhere Park Plaza website room leave hand side build 15 metre main railway track . train rumble every minute feel vibration well hear they . in premium hotel ' ve also become acustome broadband internet free , company website tout availability broadband not mention cost 9.95 pound per day . not even pay much Moscow one expensive city world . it also quite surprising bathroom shower facility , bath . 
 Sep 10 2007 	 love park plaza 	 book hotel Travelzoo promotion , upgrade executive package would thoroughly recommend . previous post suggest town find short walk along Embankment Westminster take minute fact not use tube weekend . easy drive car speedily valet park little expensive £ 26 night . room great although river view little exaggerated ( tiptoe peer sideways ) . use Exec . lounge drink nibble ( limited ) use 50 % voucher eat Chino Latino evening . disappointment toiletry - conditioner ! lovely stay would use hotel . 
 Sep 8 2007 	 amazing view overlook Thames Parliament Big Ben London Eye ..... 	 stay twice August . first 2 night , travel Oxford Bath , come back 4 night . if sort bad experience , would cancel second stay . enquire airport pick - up service concierge helpful describe various alternative mean airport transportation make arrangement decide car service . driver ( Bob ) meet we soooooo pleasant , informative , interesting talk . ( request trip back LHR end trip . ) , auspicious start doubt take trip , terrible exchange rate usd , recent terrorism UK , record flood Oxford area . cheerfully welcome Bob , relief . anyway , bellman hotel efficient hotel check - in easy , room pretty quickly . room huge fantastic view . ' m picky important CLEAN room . thrill clean . , two thumb cleanliness factor . what like hotel quiet area , still really conveniently locate . public bus stop literally outside door . original London Sightseeing Bus stop right Lambeth Bridge , couple short block ' walk . tube , find Vauxhall ( Victoria Line ) quick walk to / from Park Plaza Riverbank , son tired , take bus 1 stop directly back hotel . well yet , right Vauxhall tube stop ( lot bus , like mini terminal ) , Starbucks . also , pleasant bus info center aboveground inside tube station , ubiquitous info window always helpful . next door hotel convenience store , pub block away ( not eat , look decent ) , directly across river Pizza Express restaurant . breakfast dining room . day breakfast buffet load variety day order entrée menu . host / manager greet every day always go , look everything try make sure everyone take care . also room service besides usual expensiveness room service , everything fine food deliver quickly taste fine . every time would leave hotel , would see doorman . omnipresent . always smile . would categorize & quot ; jaunty & quot ; purple uniform top hat quite & quot ; Willy Wonka - ish & quot ; -- - ( Johnny Depp one ) -- mean compliment ! always hail cab us open taxi door . know 's plenty ' m forget include , highlight . oh , know . husband use business centre also hi - speed internet access room . in - room safe ( big enough laptop valuable ) useful , too . bathroom large . would definitely stay again . when get picture organize , will try add photo . 
 Sep 3 2007 	 Hotel ok service could well 	 stay hotel evening 1st September book Travelzoo special deal . deal include 2 free drink hotel bar + 50 % cost food Chino latino restaraunt . check little slow & amp ; tell voucher drink & amp ; food would sent room ready we collect reception fair enough . room fine clean & amp ; noisy . come back early evening expect ticket room ring & amp ; remind . good job hurry arrive approx 30 minute later . Sunday morning start little early expect due early morning alarm call 5.30am ( book ) explain reception request early morning call refuse listen . 2 minute later receive another early morning call imagine pleased get 2nd one , decide take phone hook disturb anymore . overall experience hotel good location , clean & amp ; modern little niggle tarnish fabulous experience . 
 Sep 2 2007 	 fabulous hotel 	 stunning hotel . although centre like 10 min walk london eye , westminster easy get around.the room gorgeous lovely clean even though room waterloo station noisy really . think london really expect peace quiet ? ? ? ? defo stay . stay victoria plaza would say slightly well although Victoria one nearer attraction . 
 Aug 24 2007 	 Genuine service 	 stay hotel 30 time visit London business . although little centre really handy tube station , pleasant stroll hotel along river Lambeth Bridge Houses Parliament along Albert Embankment attraction South Bank ( theatre , restaurant , London Eye etc ) .forget poor food might normally expect british hotel , Park Plaza 's food restaurant quality ( fillet steak £ 19 Club Lounge superb ) Chino Latino restaurant ( East - West fusion ) hotel , next bar , destination right . avoid room whose number end 24 ( 124 , 224 etc ) , wall adjacent lift will hear rumble past room . room 1124 bad 's next motors top hotel . even - number room back hotel low floor may trouble noise train pass soon get use . room face rather always pretty quiet . the room purpose design , double - sized , modern comfortable decent flat - screen tv dvd , glass desk minibar small shelf specially stash . wide bathroom polished black granite separate bath shower plenty space . ground floor , cool , modern spacious bar . so , London , face choice checking cramp convert victorian building room shoe - horn midst honk traffic rev bus ... pleasant , purpose - build , spacious relax modern place stay ... go latter , Park Plaza Albert Embankment . cricket team visit nearby Oval . 
 Aug 19 2007 	 clean modern hotel 	 book lastminute.com want fairly central hotel reasonable price . stay Fri - Mon book executive room London husband 's 40th birthday want make bit special . aware , due review , may allocate room view railway track neither we particularly bother noise happy enough . check swift curteous arrive early room not ready , expect . , however , tell lovely room partial river view . return hotel later pick room key ( service fast ) thrilled room . could see Thames parliament train see . would nice view bed unfortunately bed view building . never mind , London all . the robe , slipper , fruit water include package expect . plenty toiletry repenishe need . although tea coffee make facilite room not use , pop exectutive lounge hot chocolate early hour . room clean well maintain . minor negative scorch mark iron carpet toilet cistern sometimes keep run flush , audible bedroom . water pressure shower not great , hotel . good seperate shower cubicle rather shower bath . it pleasant 10 minute walk along Thames Vauxhall tube station , however Saturday whole Victoria line close , little inconvinent , be one thing accept visit London weekend . be far walk London Eye great selection restaurant south bank . breakfast first morning , husband breakfast three day . eat executive lounge pretty standard fare , ok . two three evening go lounge drink snack . evening drink snack serve 6 - 8pm . red white wine beer well soft drink , along selection dim sum , cheese , cracker , crisp olive . lounge adequately replenish unfortunately drink fridge not work , stick red wine . also drink machine provide hot drink 24 hour day well computer free internet access . give breakfast include would say executive rate worth extra cost . we not use bar restaurant , look lovely . contrary previous review find service friendly efficient visit lift work order wait . like hotel would stay price right . 
 Aug 18 2007 	 Great experience Park Plaza Riverbank 	 Travel Agent recommend adore hotel . brand new , room quiet great view big ben . concierge excellent . want quiet hotel not lot hustle bustle would feel safe . ideal come state need adjust time zone . would not stay anywhere else next time visit London . 
 Aug 17 2007 	 ten Cheers Park Plaza 	 seventh floor London flat flood ( burst pipe ) uninhabitable month , move local Park Plaza Riverside duration . turn good thing could done ourselves . Albert van der Westhuizen , Senior Guest Relations Manager , show great sensitivity unhappy situation , help we considerably move we lovely suite river view . front desk staff also pleasant helpful ; add week day , deadline move back home keep change . we will never forget kindness . Park Plaza lucky great crew . recommend everyone know . Christine Jean - Michel 
 Aug 16 2007 	 maybe lottery room ? 	 stay recently subsequently read back review ; think maybe room location much one enjoy experience . the hotel 's location great - doubt . comfortable walk many attraction south bank . think service excellent throughout one could fault room term comfort cleanliness . reception check professional friendly . bar impressive , , waiter service prompt courteous . so , maybe room overlook railway avoid can not guarantee - think booking . overall think excellent hotel would stay . 
 Aug 11 2007 	 Disappointing 	 disappointing start finish . hotel location , near London Eye , Downing Street ( side Thames ) , not much around hotel . check - in check - out icy . first glance room appear tidy , however , carpet stain , bed sheet tear , wall scuff . fact , request slipper floor dirty remain barefoot . room absolutely view . must stay , book room view Thames , otherwise view hotel well train track . housekeeping never seem get quite right consistently late service . tissue paper apparently premium , request another roll ( rather replenish daily service ) . phone work without interference , despite replace . tv nice require work knowledge electrical engineering , sole clock internet work . least one elevator always , often wait 5 minute . restaurant understaffed , like room , nothing special disappointing . even good cup coffee , something look forward Europe . travel business ( compel stay ) , would absolutely reason would stay hotel . hotel may look nice , website picture tell whole ( unfortunate ) story . annoyance annoyance . London spectacular city , enjoy evening elsewhere . 
 Aug 10 2007 	 Comfort Joy 	 direct hotel via weekly newsletter receive : ~travelzoo . excellent deal offer turn perfect location desire activity ( Tate Britain , Modern Hayward ) . walk along river destination stunning ( weather good thankfully ) catch Tate boat two gallery . would recommend this . from moment arrive hotel , service excellent . member staff consult time stay could helpful . room without view , result , wonderfully peaceful . spacious , clean well equip . avail room service breakfast excellent . I would stay anytime particulary want part London . 
 Aug 7 2007 	 Superb location business pleasure ! 	 lovely modern hotel efficiently run . friendly staff , eager please . room comfortable , clean well appoint . Plasma TV / DVD / IT access standard . large bathroom full size bath / shower PLUS level access walk shower . we book ' executive room ' without know benefit . MIneral water , fresh fruit , biscuit , day refreshment executive lounge , drink & amp ; canape 6pm-8pm quiet breakfast room . throughly recommend everyone ! ! fantastic cocktail serve variety complimentary nibble - olive , chilli cracker , mixed nut & amp ; savoury biscuit . restaurant look lovely . unfortunately try ' Chino Latino ' look fab people wait open ! eat restaurant ( remember name right ) three different meal , impressive reasonably price . 
 Aug 7 2007 	 great trainspotter 	 book hotel need give presentation nearby early next morning . arrive late & quot ; upgrade & quot ; suite ( Rm 303 ) . guess well girlfriend ask , phone home , & quot ; 's noise ? & quot ; train noise stop 00:40 morning - start 04:40 . look morning able see earwax traindriver use seven track railway outside window . the conclusion tale half hotel call Riverside side Trackside . oh yes iron room . 
 Aug 2 2007 	 comfy peaceful 	 stay executive room via special offer Travelzoo , able check arrival 9.30am room ready find room comfy dress gown / slipper , fruit , vanity item , water , coffee etc . air con lovely weather hot great cool sticky day cricket . bar trendy attentive staff , great night sleep cool room air con quiet , hear nothing night light sleeper . give choice breakfast Executive suite continental restaurant downstairs la carte also include package eat downstairs , breakfast lovely really set we day . Vauxhall tube 5 min walk take 15 min central London . 
 Jul 24 2007 	 Pleasant stay 	 organise special trip plaza husband 40th birthday surprise . booked executive package trimming . river view room fantastic look Thames . room spacious comfortable room service food wonderful price . niggle like second day could get room go get key card change coffee etc wasnot refill room clean newspaper etc small complaint four star hotel really get right . staff polite . enjoyable stay 
 Jul 11 2007 	 ok poor sound proof 	 overall pleasant stay , executive room , ask River Railtrack view , £ 25 per night upgrade River view worth . one problem , poor sound proof room , could hear upper floor talk etc night next door tv 6.30am morning . poor sleeper , would recommend hotel good location attraction , London Eye etc . 
 Jul 7 2007 	 wonderful find ! 	 terrific location near London 's Waterloo Station , across river Parlament , Big Ben , etc . also near London Eye Tates . new facility , comfortable room , nicely appoint . 
 Jun 30 2007 	 great room terrible breakfast ! 	 stay hotel one night June 2007 . upon check - in ask would like upgrade room view extra £ 50 . upgrade include breakfast serve Executive Lounge top floor . think sound like good deal upgrade . the view room amazing - look Thames could see Houses Parliament really clearly window . friend room face opposite side hotel look onto train track keep awake night noise train . the room large London hotel bathroom enormous ! decor modern room clean . the bad thing stay breakfast Executive Lounge bad ' ve ever hotel . hot food available arrive , burn look baked potato ! ? cold selection food extremely limit seem run juice completely . eventually Eggs Benedict arrive put buffet . unfortunately stone cold simply place small flame attempt heat ! disappointing feel bit cheat . friend breakfast main restaurant sound great - warn , package include breakfast , see eat restaurant rather Executive Lounge ! 
 Jun 27 2007 	 Shame view 	 stay hotel June 2007 . be quite modern establishment definitely tone ' Hotel Babylon ' , especially bar . staff courteous friendly . room fine - lovely bathroom . one drawback view 12 railway . soundproof good though . little disappointed blurb boast view - river Big Ben . public transport little iffy . 
 Jun 25 2007 	 iffy 	 Booked hotel top secret choice last minute , get good enough deal quite pleased hear check upgrade suite . kind wish not bother .. get room mini bar lock ( stay locked stay , not stop try charge we number item ) . mould dampness main wardrobe , skirt crumble smell awful stay closed stay . mention previous review bathroom light not switch also find alternative use ( single ) complementary robe . despite lack AC bedroom hot weather weekend , windows bedroom lock make frustrating presence balcony , also previous reviewer sleep door lounge open . house keep room poor- previous guest 's choclate wrapper bed side locker , red wine splash across living room wall . plus side quality breakfast good , reception staff good design hotel good . strangely despite criticism would consider stay proce right hope ahd give poorly maintain room . Riverbank Palza read really take look wardrobe room 1021 problem really occur relatively new building . 
 Jun 24 2007 	 confortable 	 Hotel book Trafalgar tour . very clean , comfortable bed , modern room . view train rail , nice room sleep sleep well . even could still hear bit train pass . not mind , help we go sleep , go figure . a lot amenity , tea , coffee , full bathroom product , modern audio / video system . nice restaurant . close parliament , metro ( underground ) London eye . not try exchange money early morning , not exchange rate send ATM outside . concierge helpful know good pub . 
 Jun 24 2007 	 lovely hotel great location 	 stay 4 night hotel June 2007.our room modern spacious bathroom amenity TV / DVD , tea / coffee , safe , iron etc . staff friendly approachable . continental breakfast okay , feel let limited choice poor quality ingredient eg dilute orange juice cheap cereal . gripe bed one pillow bed hard find difficult sleep . overall though would definitely stay would recommend hotel everyone . 
 Jun 17 2007 	 Perfect weekend traveler . 	 arrive stay Riverbank Park Plaza , London . fantastic hotel River Thems . far london eye many attraction . take we 10 minute walk London eye . nice room , light color modern furniture . bathroom & quot ; wow & quot ; black white . the resturant Chino latino delicous food . everyone staf serviceminde helpsam . this hotel come back . 
 Jun 17 2007 	 enjoyable stay 	 book 4 - night stay Lastminute.com 's Top Secret Hotels , decide plump executive package , , include breakfast , cost hotel 's web rate standard room . check - in receive surprise : upgrade suite ! suite consist lounge desk chair , sofabe two comfy chair , large cabinet minibar flatscreen tv . bedroom comfortable double bed , clearly suppose tv , take away repair . bathroom modern , dimly light , shower good pressure separate bathtub . light bathtub would not switch , despite call housekeeping nothing do . solve situation place complimentary robe across door opening , block light . the complimentary mineral water fruit come package not room arrive , call ask , arrive quickly . find housekeeping diligent , except bathroom light . call ask tv situation bedroom , keep insist would happy come move tv lounge , even though say inquire situation . bathroom sink leak , also deal . not experience problem lighting bedroom read previous review , trouble read bed . one minor gripe air conditioning bedroom . solve sleep bedroom door open . otherwise , air conditioning work well . unfortunately bad fear read review come true . give room face train track . luckily suite 11th floor , not noisy enought problem awake . unfortunately ' m light sleeper , wake train rumble 4 , manage fall asleep again . breakfast executive lounge excellent . week , breakfast fancy : Eggs Benedict , sausage bacon roll around , potato , traditional component full english buffet . weekend , yummy scramble egg replace Eggs Benedict . make early evening wine canape evening , serve lovely dim sum Chino Latino restaurant . we one meal Chino Latino . mix experience . food excellent - especially plum tatin dessert . unfortunately one starter cold middle . take back , 15 minute receive new starter - half size original . complain , end get full starter together main course . apology , hand senior server , possibly even maitre have , complimentary drink dessert , despite delay meal half hour . I choose express checkout , go smoothly . , call reception ask bill not slip door . all , price pay , would definitely stay could sure room not face train track . ' ve discover hotel advertise riverview rate web site , might consider future . except bathroom light , query housekeeping deal quickly . location excellent ! 's bus stop right front hotel , handy travel to / from Waterloo . Lambeth Bridge practically next hotel , bus stop take right Regent Street . 
 Jun 13 2007 	 extraordinary ! 	 hello ! strongly recommend hotel ! Easter spend three night luxurious hotel . well treat . staff helpful friendly . example , help we busticket son´s birthday celebration , early morning ! room spacious stylish equip . we also strongly recommend restaurant . , Chino Latino Brasserie ! extraordinary experience , food well staff . nice treat we gla champagne wedding anniversary 50th - birthday . Håkan Birgitta Arin child , Matilda , Nils , Amanda och Anton , Strandv . 8 , 571 38 , Nässjö , Sweden 
 Jun 11 2007 	 Great Weekend 	 great long weekend begin june hotel contribute . upon check staff helpful efficient . room within 5 minute . hotel sleek modern welcome atmosphere . we stay superior room complaint , plenty room 2 people , comfy bed LCD television plenty channel . iron ironing board provide prove useful . also safe provide within room free charge bonus . bathroom nice seperate bath nice powerfull shower , importantly nice clean ! ! ! room clean fresh , housekeeping come every day always come back welcoming room . we order room sevice food come within state 25 minute , staff friendly food nice reasonable price . the location hotel great lovely view . short walk away many local attraction around 5 - 10 minute near tube . check quick easy . hotel happy hold luggage go morning collect afternoon due catch train . would reccomend hotel would return hotel . 
 Jun 5 2007 	 gorgeous hotel ! 	 return three night break Riverbank Park Plaza . like many other , book via lastminute.com 's ' top secret hotel ' get fantastic rate stay . first impression good , friendly staff beautiful decor . room perfect - big comfy bed spotless bathroom . unfortunately room view Thames - available via upgrade , would double holiday price decide ! overlook office block , although not bother we not room much , close proximity train track noisy day , luckily not keep we awake night . the hotel five / ten minute walk Vauxhall tube station Victoria line , twenty minute Waterloo station . small off - licence close hotel incase emergency ! leisurely walk hotel along Thames bring London Eye Aquarium , beautiful view Houses Parliament way . we would definitely stay hotel - would recommend anyone would like base set back general hustle bustle central London , want ease access centre . 
 Jun 2 2007 	 good ; 0 ) 	 ABSOLUTELY stunning - friend & amp ; book 2 room Park Plaza riverbank hotel last - Adrien ( 10 ) & amp ; Noé ( 9 ) - warm welcome ever , staff absolutely lovely , room view 7th floor adventure kid ... & amp ; mum ( come back home drawing London Eye , Big Ben , Thames & amp ; fish , fire station next door ... :0 ) room impress Star Wars exhibition , wasa terrific experience , well London Eye ride . appreciate late check MUCH especially since pour rain & amp ; could see Big Ben get wet watch dvd room , lie comfortable & amp ; thickest mattress ' ve ever see . bathroom real pleasure : massage shower , big bathtub , stunning deco . welcome fruit quite ... welcome . bar tender Cafe Latino nice & amp ; handsome ! serve good cafe Latte . bar ' branché ' & amp ; view fromthe Thames room , indian wedding go wonder eye ( lucky see glittery & amp ; elegant outfit & amp ; dress wait check - in upon take lift ) 25 ' walk Waterloo station ( 7.50 £ taxi ) real handymost ' thing see ' walk distance . grocery store nextdoor everything need & amp ; tenant really kind . fire station also nextdoor 3rd busy Europe - & amp ; although ddid not hear alarm , get visit kid thank kindness great fire fighter . would like thank ALBERT , Senior Guest Relations Manager , warmth , kindness , attention , great service & amp ; good humour receive short stay . thank make happen : WONDERFUL rainy amazing hotel . come back sure ... without kid ; 0 ) MERCI BelgiumValy & amp ; AdrienVirginie & amp ; Noé 
 May 29 2007 	 good London Hotel South Bank 	 husband , parent return two night Riverbank Park Plaza London . book two room LastMinute.com get fantastic room rate holiday weekend . hotel locate South Bank Thames , one block southwest Lambuth bridge , within site London Eye Westminster . hotel comtemporary ' trendy ' upscale modern - asian fusion influence . room nicely equip large comfortable bed , flat screen tv DVD player , computer desk internet access , minibar coffee / tea facilite room . bathroom fabulous - large separate modern shower tub marble & amp ; chrome decor . light room nice - automatic light closet personal safe , recess amber lighting window , light block drapery . pay extra breakfast special weekend rate ( $ 25 per couple per day ) disappoint . variety cereal , pastry , fruit full english breakfast fare offer , food well prepare - scramble egg watery cold , pastry stale , service slow . two restaurant available lunch / dinner - one Club Lounge offer traditional food unfortunately open Sunday Monday stay , Monday bank holiday . restaurant Chino Latino Brassiere , upscale restaurant offer Asian - Mediterranean food contemporary fusion decor . unfortunately , restaurant immediate vicinity hotel - either eat prepared walk least two block take taxi . order room service first night - deliver within quote 30 minute food good . would return hotel could get another great deal room rate ; otherwise , would look hotel close restaurant / pub , etc . 
 May 27 2007 	 Riverbank Plaza Hotel 	 stay single night Friday go gig London . fault could find queue check outon Saturday morning 11:30 . everything else excellent . book lastminute.com get excellent deal . gig could not find decent food , room service , well afterthe main restaurant close . serve 30 minute , nice meal , reasonably price . 
 May 21 2007 	 Stylish Hotel lack attention detail hole sheet ! 	 take boyrfiend stay one night may . got secret hotel last minute , guess hotel description . get executive room breakfast £ 124 . first hotel look great , really stylish reception staff helpful , however get room problem begin arise ..... arrive late afternoon dinner reservation get ready quite rush , bath hold water ! call housekeeping , rude 25 min later shower ! get back htoel find SERVERAL hole sheet like mouse , wake next morning key card would let we go executive lounge ( small dingey ) , hotel hassle ! advice pay extra £ 40 go 5 star , london difference really noticeable ! 
 May 18 2007 	 excellent riverbank 	 dream room . fantastic view Thames . clean room . experience stay Hotel excellent luxury . hospitality outstanding example be . when question staff help quick reactive . next time stay London definitely try book room Park Plaza Riverbank London . would recommed hotel everyone ! ! 
 May 5 2007 	 Excellent value 	 stay Riverbank plaza one night may ( night get engage ) happy aspect . excellent value money , top class room clean . staff helpfull polite . would recomend hotel anyone . 
 May 3 2007 	 Park Plaza Riverside London- positive experience 	 look quite long time find high quality hotel resonable pricing . end find Park Plaza Riverside , good choice . location good superb view . room clean staff helpful friendly . definitively one highlight bar stylish restaurant lobby . enjoy beee . 
 Apr 29 2007 	 Connecticut 's Family Great Experience ! ! ! 	 Riverbank Plaza everything would expect first class hotel . room face river Thames beautiful view westminister , Houses Parliament Big Ben . evening illuminate reflection river gorgeous . not plan sightseeing could stay room drink panoramic view . the hotel convenient London Eye , short walk Thames , Waterloo Station another short walk could stroll across one bridge west end Big Ben 15 minute . walk along Thames fabulous , actually walk way London Bridge one side back side . hotel quiet area peaceful come back . 's small grocery store step away pick wine , fruit etc . the staff go way make we feel comfortable buffet breakfast adequate good selection hot cold food . the concierge helpful question have . we would without question stay . wonderful ! 
 Apr 26 2007 	 exceed expectation 	 overall , extremely pleasant experience Riverbank Park Plaza . get weekend special 76 GBP include breakfast . althought travel alone , double room ( view ) get & quot ; railroad & quot ; view other complain . fact , view interior building . however , London , stay room ? event , room high - tech -- dvd , plasma tv , internet , room light work unless insert room key card special slot @ door . room decorate modern , clean line leather black paint wood furniture . bathroom separate shower , & quot ; huge & quot ; tub new chrome faucet granite floor countertop . complain close sight , find could walk across river Houses Parliament five minute . London Eye / County Hall ten minute walk Thames river literally right outside front door hotel . be London budget , be small grocery store adjacent hotel sell wine , liquor grocery item . finally , want go sightseeing , local sightseeing company stop 1 block hotel carry London 22 GBP . sightseeing pass good 24 hour allow use two different day . definitely go return Riverbank . great stay London . 
 Apr 21 2007 	 Modern Feel 	 go Hotel Easter weekend part theatre package wityh Last Minute.com . Hotel actually name lm.com bit research easy find might stay . overall feel good deal . hotel 15 min walk Waterloo Pimilco tube station 10 minute Vauxhall Tube South Bank opposite Tate Britain , easy find build hotel type frontage . hotel also appear form part apartment block long term resident though entrance . customer service good reception , bag look pre - check could see matinee show . number weekend offer available check - in would allow we free first drink though difficult completely understand receptionist accent strong . good service though . we locate 9th floor room give glimpse River . room comfortable size compare London hotel room , high standard fitting , large lcd Tv DVD player , internet acccess . go pre meal drink cocktail bar . price would expect though feel strange seeing cocktail make front house . make behind stain glass window highlighting drink . go get meal lounge downstairs , however fully book , warn . decide give house Chino Latino restaurant go . food would say terrific value give standard , sushi/ sea food orientate . service good . comment breakfast feel £ 17.50 much breakfast not eat much . good base weekend London like modern hotel . 
 Apr 20 2007 	 one good .... 	 Park Plaza Riverbank , London ! Great Hotel ! good location ! excellent staff ! easy find ! restaurant excellent ! fantastic room ! overall fantstic experience one good hotel visit ! 
 Apr 15 2007 	 fabulous hotel 	 stay husband two child 3 night 10th 13th April . husband business think school holiday would make join . hotel great ... spotlessly clean , staff friendly helpful breakfast great . location overlook Houses Parliament Big Ben perfect . great walk along Thames London Eye 15 minute . nearest tube station Vauxhall Victoria line 5 min walk . we interconnect room kid room . room clean high standard day although little warm side . breakfast great , buffet style hot cold choice . all wonderful time would hesitate recommend hotel other . 
 Apr 3 2007 	 stunning view Fabulous Food 	 Riverbank Park Plaza really stylish , chic property despite almost 400 room . our bedroom comfortable absolutely stunning view overlook House Commons , Big Ben River Thames . room well lay , everything need include iron ironing board godsend anything like - pack last minute time iron anything ! bathroom spacious seperate bath shower decent selection toiletry . overall , bad all . have diiner hotel restaurant ' Chino Latino ' really excellent . several different starter share include Tempura Prawns fantastic . Black Cod die , well Nobu surprising consider hotel poach chef ! ( padon pun ) really , try go evening , will not sorry . bar area pack , unpleasantly , plenty seat attentive service . recommend Watermelon Martinis . overall , large corporate hotel go , Riverbank Park Plaza pleasant surprise . location could well , great place spend evening . 
 Apr 3 2007 	 Great Hotel Standard Service 	 great look hotel , wonderful room facility inside , executive upgrade well worth drink canape lounge evening relaxed breakfast experience . location wise hotel good especially happy roaming along southbank adverse little bit walk rather immediate access underground network - although still 5 min away . the downside - service slow particularly welcome . many mistake make room , bill , mistake deal etc . restaurant staff club lounge really friendly beat though . all would recommend hotel long weekend prepare slightly average service ! 
