glorious 	 stay Claridge 's weekend November suite , tell recently ' refurbish ' . bedroom living room , although large central London , rather worn vintage curtain chip paint tired carpet - fine generally , £ 1,200 per night ! service standard good , probably amongst good town , lobby one glamorous . we , though , room big let - down . brown furniture , cheap picture old fashioned light . remind chic Connaught , albeit room fraction size . 
 May 24 2007 	 Claridge 's bit mixed bag ... 	 significant recently spend four night Claridge 's . mixed review Trip Advisor would certainly reflect experience august institution . upon check inform lucky give renovated room top floor ... desk clerk ask have stay hotel say proceed give we lengthy description service ... transatlantic flight bit irritate want settle get ready dinner , tell even not . room nice enough , warn ceiling low top floor room little character . ask move , hotel full night ... show room next day un - renovated follow day first floor ( really second floor ) high ceiling , great art deco detail new bed / bathroom . perfect . bathroom , way , amazing ... fantastic rain shower head make feel like be stand waterfall ! say , Claridge 's & quot ; busy & quot ; hotel ... lot 's bustling lobby open right main loung / restaurant . unlike many London hotel doorman run open taxicab door give warm greeting , will not find Claridge 's ... ask taxi sometimes find nobody man door fend ! feel personal service ' ve receive hotel like Connaught Berkeley lack . previous reviewer mention nickel dim ... yes , be be careful avoid . perplex discretionary 5 % service charge tack onto bill ... ask say covered staff divide front back house ... say quit tipping people consider help w / luggage ask concierge something you . not sure will stay ... plenty great hotel neighborhood ... 
 May 2 2007 	 Second Time around perfect . 	 stay Claridges back April 2005 , nightmare stay . bag take 90 minute arrive , smoke blow non smoking room throught air con , also take £ 450 card without tell we . leave we stick London money ! write strong letter complaint , invite back guest . room upgrade staff helpull . service divine , Breakfast fantastic . hotel old fashion , pay service English refinement . recommend treat . good thing Claridges Gordon Ramsays restaurant . Book early fantastic dining experience . 
 Apr 28 2007 	 Run Nickel Dime 	 aggravating .... first good thing .. great location , concierge wonderful helpful , room size quite good gym good London hotel . bad ... room bad shape , carpet threadbare . seem fray , stain everywhere , feel need slipper room . furniture beat antique sort way . tired run . Management say renovate room would give we schedule date fix 20 room . awful .. nickel dime . infuriate . know London world 's expensive city Americans currency . fine pay $ 600 $ 1000 per room seem market . hotel charge $ 5.50 per 800 call . hotel . mean everytime want access call card get wacked.1 minute local call least $ 6 dollar . bad puny business center .. want check email cost $ 40 dollar 20 minute . $ 100 one hour computer usage . not seem fair pay thousand dollar stay hotel nickel dime item include stay . find different hotel . 
 Apr 16 2007 	 good grand hotel London 	 Stayed Claridge 's recently weekend . favourite hotel London . probably good location hotel London - tourist - right next Bond Street Oxford Street within 5 minute underground station . service reception throughout hotel courteous faultless . the room large London standard , clean . furniture classical style , generally restrained . bed comfortable . internet access - wire wireless - available room . Wall socket variety plugs voltage welcome detail overseas business traveller . afternoon tea Claridge 's institution miss . thankfully , Claridge 's enforce strict dress code , unlike London hotel . clot cream serve scone sinfully delicious ( far know ) find UK . Gordon Ramsay restaurant - 's good original Chelsea lot well ! fitness centre well equip Technogym machine . jogger , Hyde Park 10 - minute run away beautiful springtime . one quirk service : staff regularly check room cleaning , restock minibar , etc knock check anyone inside . however , seem wait long open door ! privacy require , privacy switch use ! 
 Apr 14 2007 	 expect well ... 	 husband stay seven night Claridge 's . booked & quot ; Thumper Package , & quot ; Easter special , arrange hotel pick we airport . send Mercedes say would cost 97 pound , later try charge 220 pound & quot ; bank holiday . & quot ; arrive , give we room size standard room cruise ship . could barely move around bed without trip luggage . drawer could open bathroom door without remove bath mat . arrive late direct & quot ; foyer & quot ; ridiculously expensive ham cheese sandwich . beware foyer bar music playing , cover charge ! even guest ! ask move large room . much well . basically , expect well service hotel less & quot ; nickel dim . & quot ; charge everything . concierge assistance unless wanted eat NY restaurant $ $ $ $ restaurant , could recommend local pub like place watch football ( soccer ) game . unless business pay , go somewhere else . 
 Apr 9 2007 	 step back Time .... 	 Claridges list hotel stay time -- delighted chance sail Queen Mary 2 spring . hotel superb location Mayfair , close Bond Street Shops also Oxford Street well . room large oversized bathroom lot storage space deep closet -- ideal 7 piece luggage upcoming crossing . decor room Art Deco seem room bit fashion -- comfortable . service hotel friendly Gordon Ramsay Restuarant serve one good meal ever London . room service prompt acurate hotel fitness center well equipt . anyone look traditional experience London luxury -- claridge live sound reputation . 
 Mar 24 2007 	 seriously worth money ! 	 spend one night Claridges year ago could not remember much thought would give another go . must forget not return soon , will not make mistake again . the overall experience disappointing . room dark , dingy tired , toilet not flush fully bath water green ! staff border unfriendly definitely disdainful . we charge £ 70 full veggie breakfast could descibe awful ( burn toast , uanppealing sausage plain tiny ) .To top inform parking £ 50 night ( horrendous amount anyway ) , upon check - out invoice £ 70 query extra £ 20 remove . receive letter Claridges ( 6 week since stay ) inform we take £ 20 card ' late charge ' ! honest yet stay London hotel tick box , worst far . overall cost £ 700 one night one expensive learning experience ! return Burj Dubai see excellent hotel wish hotel would make effort . 
 Feb 27 2007 	 beware hotel 	 unfortunately bad experience Claridige´s . check 300 £ per night single room hotel give tour show restaurant . despite fact dinner appointment time still expect take tour . room full cigarette smoke three air purifier run , open window airconditioner run full speed . front office manager later explain allow guest smoke room try clean afterwards . however nice thing come room full cigarette smoke . room ok , airconditioner noisy . funny thing heat room use radiator , much airconditioner need cool . breakfast 30 £ ok , slow service . sign bill , case make another person charge take staff 20 minute sort . leave hotel charge 62 £ minibar , despite even open ( likely party ) . also take lot time sort . travel quite lot unfortunately bad experience even compare 3 star hotel . stay . 
 Feb 25 2007 	 stay ! 	 need stay anywhere London please stay Claridges . I arrange girlfriend ( fiance ) pick Heathrow drive straight upon propose balcony look foyer . art Deco room fantastic authentic . staff could helpful attentive without get foot . could wished treat well . it little expensive side totally worth . 
 Feb 8 2007 	 good ! ! ! 	 okay expensive hey great hotel worth every cent special occasion ! ! special treat family five take advantage hotel 's pre Christmas offer two room price one . arrived upgrade suite room - two large bedroom large siiting / lounge / dining room . first feel little embarrassed quickly get mood make . room spotless wonderful bathroom . bathroom size bedroom stay european hotel . general decor olde world way ! ! love it . the location great staff excellent . one shirt disappear room ( probably pick cleaning staff mistake dirty linen ) hotel hesitaion reimburse cost . two minor problem hotel:1- bar small full cigarette smoke . impossible stay leave straightaway . assure manager non smoking time year new law come in.2- cost high tea high ! ! try experience enjoy . three hungry child problem give extra sandwich / cake . Marco Polo jam tea fantastic . the waitresse be great friendly . it holiday experience family remember wife wait get back ( without kid ) . 
 Dec 11 2006 	 Superb - perfect 	 hotel create excellent first impression , door staff porter friendly could helpful . luggage take car arrive room quickly minimum fuss . room excellent , spacious , comfortable well appoint . read criticism site room corridor date ! miss point . charm hotel reminder elegant age . certain thing develop patina age bad . want modern minute hotel not go clarige . want see old fashioned style , courtesy luxury place . it often difficult get seat either Fumoir bar popular non - resident annoying , staff good accomodate can . I eat Gordon Ramsay impressed , cold , solid rather tasteless block masquerade foie gra , impossibly pompous waiter explain eat cheese - £ 370 two eat like ! great meal ( slightly ) reasonable price try read room - prefer Ramsay may presonal taste . I would advise anyone go , try try think bill - superb hotel round 
 Nov 19 2006 	 Quality Option 	 pay nose stay whether be mint squid spare , London choice . quality service word go quality food . may need bit pre - planning though get table Ramsay 's although pretty much always last - minute spare table . contact hotel directly ask deal - may pleasantly surprise ......... Quality 
 Nov 18 2006 	 make smile day long 	 Loved ! ! ! minute walk , see room , Superior King huge bedroom , huge bathroom 6ft+ long bath , separate dressing room , art deco surrounding , sumptious towel everywhere , wonderful bathrobe ... ooo could take home ? put huge smile face . evening dinner Gordon Ramsey 's superb . check review Tripadvisor several London hotel booking plump Claridges want dinner GR 's . advice ; book , will not regret . loved & amp ; can not wait go back . inform , hotel price not include VAT service chg , valet parking simple , friendly & amp ; convenient £ 50pn , congestion chg kick 6.30 , internet £ 20 pd . Maids amazing , tidied room even dinner & amp ; fold , put everything away we ... mad dash . check - in staff excellent . summary : - faultless , wonderful , want live claridge ! 
 Nov 9 2006 	 good good 	 Claridge 's rank alongside London 5 - star hotel care name , really good ? arrive 2.45 pm room go ready hour . point booked afternoon tea 3.30 want change , offer free upgrade 15 minute wait , accept . really enough seat smallish foyer wait . the doorman concierge staff excellent . the room bathroom excellent , wall adjoining room paper thin woken 6.30am next door run shower . tea Reading Room flawess . on return show think would late drink . Claridge 's bar small , crowded , noisy , dark smokey . walk straight -- nobody welcome we approach we . awful bar . sit foyer lounge 7/8 minute hope serve drink , although staff buzzing tray nobody come serve we give up . room service breakfast expensive excellent . check okay computer could provide copy bill ( send ) .Altogether nice stay genuine 5 star hotel . service bit patchy , always particularly friendly . view , Savoy Dorchester edge Claridges . 
 Oct 26 2006 	 amazing experience 	 stay Claridges first night honeymoon Claridges & quot ; Honeymoon Package & quot ; .From first moment arrive hotel experience fantastic service . bag take we get cab take directly room whilst check . check - in relaxed give upgrade celebrate honeymoon wonderful surprise ( especially Saturday night ) . gentleman check we take we room via comfortable trip lift sofa accompany attendant . the room spacious could describe ' oldy worldy ' . explain us famous people stay claridge tend say traditional room rather art deco room , enquire about . the room full antique furniture , quirky ornament certainly feel live . almost like stay someone house , trophy cabinet crest wall ! book honeymoon package , arrive beautiful arrangement red rose , delicious chocolate , fresh fruit chill champagne . also give two fluffy comfortable Claridges robe take home . ( way Mauritius travel 12,000 mile round trip we ! ) book dinner Gordon Ramsays restaurant drink small bar eat . find relaxed comfortable area pre - dinner drink . dinner world make enjoyable appearance Mr Ramsay restaurant . service second none really make night one remember . dinner present plate word ' Congratulations ' write chocolate sorbet adorn candle ... lovely touch . breakfast enjoyable experience , take true splendor hotel entrance . conduct traditionally english way ... ! would recommend Claridges anyone special treat hope visit soon . 
 Oct 18 2006 	 good 	 stay Claridge 's end September 2 night . year since last visit . forget magical . soon arrive , everything take charge . staff without parallel - friendly efficient completely understate way . reception manager ( really exceptional ) make feel like long lose friend . upgrade stunning art deco suite . not stay suite savour unique atmosphere . experience , room stylish quite individual . food delicious location perfect . be somewhere will want return - . 
 Oct 17 2006 	 Amazing Hotel good location London 	 every year go London stay claridge . bed beautiful shower spectacular . see staff welcoming . always get reservation want arrive good theatre seat . choice always hotel . expensive something special sit bar sip glass champagne . shop amazing Bond St Regent within walking distance . alot hotel one special . 
 Oct 10 2006 	 good hotel world ! 	 ever get chance , please please please go claridge ! go recently silver wedding anniversary moment walk , think have die go heaven . upgrade beautiful one - bedroom suite , good ' ve ever see . vast bedroom , huge sitting room , separate dressing room , massive marble bathroom second , separate loo . every single member staff welcoming make stay special , particularly Keith reception . bit nervous advance might snobby , obviously ' out - of - towner ' special occasion , bit . never feel pampered life . review say date wrong ; old - fashioned , yes , grand , luxurious type way , still modern enough flat screen tv etc . service world . eat Gordon Ramsay 's , , , superb , experience itself . if ever get chance go , even , grab hand , good weekend live ! 
 oct 9 2006 	 wonderful experience 	 stay 5 star hotel , Claridges beat . one - bedroome suite large extremely comfortable , service department fast efficient , check - in departure . make feel welcome special . atmosphere hotel tranquil , relax snobbish . delightful experience start finish one hope repeat near future . 
 Sep 20 2006 	 Best Scones Jam taste ! 	 Review afternoon tea .... claridge nice . décor impressive black marble floor sweep staircase entrance . also good Foyer directly ahead getting lose . toilet also good woman pour water bowl handing towel . go birthday - group 6 lady 3 pm 16th September . let say large table 6 , ' book table 6 online end book 2 table , say ' split group guarantee table near ( even though ask several time ) . however , reach accommodate transfer we large table ( fit 8 ) think nice cancel 2nd table . sandwich finger sized could ask much want . enough variety satisfy person . dessert delicious - scone arrive warm jam world ! choose selection 14 different tea . ask second ! amazing get full tea cake . everyone enjoy nice time matter ! would definitely come back - someone else pay ! claridge recently increase price £ 28.50 £ 30.50 plus 10 % service charge 3 pm . would say service charge waive time since cost tea expensive . 
 Sep 11 2006 	 Disappointing 	 first impression good : uniformed doorman , splendid ground floor ( Foyer , Reading Room , Gordon Ramsay , bar ) .The hallway bedroom ( Deluxe , face ugly courtyard ) date , thing like superior towel bathrobe make . breakfast basic poor value money . the spa adequate ( good fitness machine , sauna ) , , date decor . the level service good nothing special particularly welcome . my overall impression hotel resting reputation get away high price reason . recently read Connaught Savoy close major renovation . perhaps Claridge 's consider bring build five star . 
 Aug 24 2006 	 Wonderful Hotel ! 	 stay Claridges July 23 July 26 . get upgrade we junior suite ! surprise treat ! room huge ( see picture ) ! service fine . ask help downstair internet ( be cheap room way cheap elsewhere ) . bowl fruit room resupplie least stay . tea wonderful give second ( unlike Palace Hotel Tea S.F. ) . go bar time go restaurant tea . beware bathtub fill fast . overflow ! Whoops . smoke come non - smoking room last night . not know come window close . mention desk future visitor run late . hotel wonderful start 25 day Europe trip . 
 Aug 18 2006 	 update review date 6 Aug 2006 	 update review write 6 August 2006 ( title & quot ; Appalling customer service & quot ; ) write Claridges complain , receive sincere apology . Manager Claridges ask parent return Claridges order allow make amend . I feel complaint take seriously management endeavour ensure experience repeat . clearly reputation hotel important . 
 Aug 16 2006 	 one favorite 	 one favorite hotel world . stay whenever London . service , standard upkeep , room compare everyone else . yes , Ritz street wonderful . George V Paris another great hotel ... claridge Claridges . breakfast , tea , cocktail , Clardidges Bar Macanudo Bar dinner wondeful experience . sister hotel ( Connaught Savoy ) great also , room small hotel busy , like Ritz . if afford , stay least . 
 Jul 29 2006 	 die want go Claridge 's ! 	 WOW ! start ? book room Claridge 's website , arrive upgrade one bedroom suite ! enormous -- good birthday present could ask for . the staff pleasant well train . food downstairs bar delicious room service excellent . also get see Elvis Costello Diana Krall walk around , also news anchor man CNN crack joke inside elevator . amazing experience ! 
 Jun 19 2006 	 lovely stay 	 beautiful hotel ! location perfect ... within walking distance oxford st . amidst chaos . service great , although quite overwhelmed stay ... nevertheless friendly . however one exception ... concierge ! rude , condescend , seem reluctant even try accomodate . disappoint , especially fine establishment.their reservation staff , however , accomodate process fulfil request graciously.housekeepe impeccable friendly.my suite lovely , incredibly spacious , well keep , although television could improve upon ( hardly channel fuzzy ) .room service delicious though ... definitely worth try afford , .and ABSOLUTELY go afternoon tea ! service absolutely flawless food amazing ... salon gorgeous real treat exhaust day shopping ! 
 Mar 8 2006 	 absolutely wonderful 	 get back 4 night stay Claridges . love hotel - absolutely beautiful impeccable service . staff enough . definitely back ! ! ! 
 Feb 13 2006 	 Unsurpassable Service 	 wife spend night Claridges celebrate wedding anniversary lunch Gordon Ramseys restaurant - wonderful . love friendleness staff , service second none . beautiful superior king room spacious quiet , large bathroom , deepest bath ever , shower rise size dinner plate ! well worth every penny . 
 Jan 26 2006 	 Lovely Hotel ! 	 lovely hotel ! room picture website . extremely clean , fabulous bathroom roomy . champagne fruit plate waiting room upon arrival fruit plate replenish day 3 . sure standard . service friendly , although prepared spend money ; London inexpensive ! find delicious cafe around corner ( turn right exit hotel , take first alley right ) eat breakfast instead hotel . bar great atmosphere , restaurant good . ( not try Gordon Ramsey 's prefer menu . ) close Bond St. shopping well Bond St. tube . 
 Jan 21 2006 	 nearly Perfect 	 Claridge 's Hotel one favorite hotel world . walk wonderful lobby like walk Fred Astaire film -- -black white marble tile , sweeping staircase , giant fireplace always light . location hotel wonderful short walk away good museum great store . staff almost always friendly efficient . want go theater , find ticket . room hit miss . not shy asking see another room upon check - in . victorian style suite age much well art deco one , often seem raffish even cheap . 
 Jan 8 2006 	 lustrous splendour Mayfair 	 describe hotel term feature amenity ' capture experience stay . ' bit like staying movie swirl around . public area combination Art Deco Georgian country house work beautifully . drink watch procession great good Gordon Ramsay , drop dead gorgeous room . bar Deco gem remarkably popular pretty people work . walk hotel evening look line Bentleys Rolls Royces attendance function one ballroom . have seat sofa elevator attendant whisk floor . , ascend famous staircase seem like another world . swirl public area leave behind suddenly wall colour light butter , hallway width interstate . hush quiet . room , cheap house , exactly appear hotel ' website year ago : first rate linen , superbly comfortable mattress , surprisingly bright consider faced courtyard , drapery would fit elegant home , desk armoire want spirit hotel . bathroom approximately 100 square foot outfit appear entire quarry Carrera marble light few eight halogen spotlight . Floris soap toiletry sufficient size quantity could make great souvenir . closet space generous well lit . and service ! silken , friendly discreet , akin private club hotel . run make reservation , bear mind property perfect . ' clear air conditioning room actually work . two instance silken service less silken abrupt border rude . discrepancy price room reserve tablethotel record hotel receive . luggage misplace check - in checkout . dissuade stay , well , mean room next visit . 
 Jan 4 2006 	 expect - Avg . beautiful lobby 	 stay Claridges Dec. 11 - 16 , 2006 . room ( change room stay extended stay 2 night original room available entire stay ) nice , bit & quot ; date & quot ; great like & quot ; old stuffy grandma & quot ; look . personally , prefer modern type surrounding , work certainly nothing complain . shower rainhead INCREDIBLE bathroom . king bed typical 2 european twin push together crack middle bit bothersome manage fall constantly like . tv small view room center courtyard hotel street view ... inner wall hotel . dinner Gordon Ramseys .... $ 400 2 bottle wine . would .... classy overrate . food lobby restaurant good . lobby general public area spotles absolutely beautiful . chandelier restaurant stunning unique . , overall complaint next time would try something & quot ; modern & quot ; ( Four Seasons / Sanderson , etc . ) .. 5 night Claridges feel old ready checkout get back excitement , 44 .... young people would definitely thrill . oh , expensive .... , prepare . 
 Dec 4 2005 	 grand dame London 	 get back Thanksgiving London , travel wife 3 year old . exchange rate lousy , Claridge 's certainly not ! truly fabulous old - school hotel . furnishing actual elevator operator , like blast past . ( fact , whole experience remind St. Regis NYC ) room outstanding . book deluxe king , show son , give we & quot ; family accomidation & quot ; extra cost . give son separate bedroom , great . bathroom traditional - upscale 1940 's ... fabulous . service outstanding , complaint . breakfast tea superb . pleasantly surprised find meal London excellent . fact , one not like much Gordon Ramsey 's ( hotel ) .The service presentation good , not care actual food . also not appreciate 38 ( ? ) pound seating charge 3 year old . appetizer , still charge difference ... not mention menu , deal it . beyond call duty : wife leave passport locked room safe , Claridge 's put Taxi send airport we . we stay . 
 Nov 6 2005 	 Super service 	 dinner last night . extremely late arrive last order due cab West End half hour . staff make fuss give we tremendous meal , even unexpectedly bring birthday cake singe happy birthday upon find occasion . photo Winston Queen foyer sum place . 
 Oct 18 2005 	 great start GREAT finish 	 arrive 4:30pm room . book superior room . information say room ready 4.room ready . would like go town , take walk , wait ? wait fine . my tired bride , tired . find small sofa , order glass champagne , wait . wait . wife , sleep . another glass , another . check staff . try good room . response , & quot ; wife ( still hard say husband wife ) look fine . please , take time , ready we . & quot ; ( hear upset angry word come check area multiple people . one come unhinge , one else lose grip . ) check , wife still asleep . & quot ; moment . & quot ; say . & quot ; sound lot hand , please take time . fine . & quot ; say . wife head lap . sound asleep . ' m close . great , long day . ponder ask manager , feel pass . good would ? finally 2 3 hour , 3 4 drink , gentleman ask would like wake wife go room . room ? ? well say bride tears eye site room would true . say , would close . apartment . private interior hallway , bedroom die , bathroom still etch memory . sit room , oh marvelous . could wait room service . the fine staff challenge issue & quot ; Marquis & quot ; retinue . state upgrade fitting patience staff . five night . perfect everyway . tip : kind . dress nicely . drink Champagne hotel lobby . never ever come unhinged , lose grip . 
 Sep 7 2005 	 Excellent hotel wonderful location 	 husband recently stay Claridge 's 5 night . love hotel . upgrade suite nice size well appoint . service excellent , departure . book room on - line great rate confirm via email hotel prior arrival check - in . however , upon departure , hotel attempt charge we high rate confirm rate , treat we though we favor honor confirm rate . fact , produce print - out confirmation , refuse honor rate . eventually agree correct rate experience taint otherwise wonderful stay Claridge 's . book on - line , make sure print confirmation take . 
 Aug 14 2005 	 anything like sir ? ! 	 FABULOUS . good 5 star hotel ever . fault anything . arrive leave . art deco build beautiful . staff wonderful . nothing much trouble . perfection well . 
 Jul 27 2005 	 Total Perfection 	 stay Claridge 's five night July least day comment perfect everything . art deco design decor build stunning way stuffy old fashioned . service moment pull hotel flawless ( doorman , member staff , know name , never forget ) .this second stay time room face street . ask possible get room face street immediately whisk street - face room perfect - spacious bath huge rain showerhead extra - long tub , large , comfy bed pristine linen , lot closet space overall welcome feeling . the food incredible whether breakfast room service lunch bar ( ' fish finger chip ' beautifully present , long piece salmon white fish airy tempura batter serve traditional ' chip ' ) . Gordon Ramsay Claridge 's take dining whole new level - flawless , unobtrusive server knowledgeable , friendly helpful . food superb formal , atmosphere lively , fun comfortable - perfect combination . the bar always busy fun - great people watch . concierge service excellent - secure front row ticket ' as like ' hour performance third row centre ' the Home Place ' day 's notice . location can not beat shopping get around . Claridge 's live incredible reputation one magical hotel world already look forward next visit . 
 Jul 11 2005 	 Pure Opulence 	 often use term perfect case word . claridge make feel person stay hotel treat respect loyalty regardless come manage make leave feel really special . I often feel quite guilty pampered look 's sort experience would want receive everyday thought let enjoy , relax appreciate grandness opulence Claridges deliver level . it easy get catch history elegance believe 1920 's art deco ambience , could easily imagine famous face grace Claridges year walk wonderful swing door . aristocracy unwind smoking room , wild sophisticated party Claridges Bar grand entrance make rich famous allow totally awe hotel . we lucky enough reserve table Mr Ramsey 's , finish stay spectacular fashion . service impeccable food die , although sit 9.15pm , complimentary champagne start we treat , maybe bit well . I say although perfection come price tag , staff still genuine eagerness satisfy every need , exceed everytime . 
 Jul 9 2005 	 overrate long shot 	 12 - night business stay book Claridge 's check first night move another hotel . would not say anything especially wrong room , small , cold , fill rickety old furniture wobble every time touch anything . sure , may authentic 19th century blah - blah - blah piece , frankly be try work table wobble every time touch , 's point ? furniture find room bit dingy , furnishing ( drape , wallpaper , bedding ) would expect 5 - star hotel . get distinct feel Claridge 's rest laurels grand hotel day go . plus side , eerie sense minute two little girl tricycle shine go ride around corner minute ! 's bit old creepy way , personally like . not like small poorly appoint room . I tell colleague distinct area hotel ( perhaps floor wing ? ) much nice other . whatever reason despite book stay almost two week put dumpy room . thank goodness Berkeley space ! also area decidedly dead weekend evening . be quite near New Bond Street plenty good shopping business hour , hour 's bit desolate . stay close Park Lane Picadilly Knighstbridge might fun leisure traveller . 
 Jun 25 2005 	 Superb 	 stay wonderful hotel three night May . pricey worth . deluxe bedroom furnish art deco style trace fade grandeur . bathroom excellent great shower deep bath . communal area great late night cigar brandy Macanudo fumoir perfect end good evening . 
 Jun 6 2005 	 Juist fe slip good 	 stay one night Deluxe room birthday treat . main reason syate hotel desire dine Gordon Ramsays Claridges despite atempte book table 7 week advance , dining time offer we 1045 pm . suggest late look forward experience dining staying hotel . person take reastaurant booking say resident , could offer choose time ( 7.30pm ) . ! ! ! ! room spacious beautiful old world art deco fitting even bed spread colour clashed decor look rather chintzy . generally service good . let down werecalle trouser press valet arriveNo trouser press roomin room brochure refer steam room spa exist go freshen up . all tell offer pay appropriate feel well look . however , slippage result 4 5 mark 
 Apr 27 2005 	 home away Home London 	 always consistent , stuffy , yet perfect . lovely room die bath shower . friendly staff always remeber small detail . stuffy , ' ve walk lobby work clothe run welcome Prince Charles . bar great food . well London ! 
 Mar 19 2005 	 art deco gem 	 stay Claridge 's 50th birthday 2003 . high expectation disappoint . thrill lifetime . staff courteous attentive point unobtrusive . Savoy group either maintain bring room back art deco splendour . shower die . worth every penny . rave round . 
 Nov 7 2004 	 say tamato say tomato 	 always find unusual read differ view hotel like . say , stay 5 star hotel rave review site do not get it.howevr occasion return three night stay Claridges find superb . thought get balance right . staff neither snobby grovel , straigt deal polietly request . room quiet , large well kitte . really fault . 
 Oct 25 2004 	 Afternoon tea 	 afternoon tea Claridges Saturday friend . read review sure would live expectation totally surpass . food excellent , delicious sandwich replenish scoff ! freshly bake scone jam clot cream prettiest cake ever see , present silver cake stand . selection tea amazing waiter happy advise bit much we ! amount food surprised . generous unable finish everything give we . service superb , attentive yet relaxing . whole experience surprisingly lay back - little nervous use posh place whole thing design put ease - snobbery ! unlike another reviewer happy relaxed dress code . although see one wear jean everyone fairly casually dress opinion add relaxed atmosphere . would thoroughly recommend anyone want bit affordable luxury London . find excellent value money ( £ 35 tea champagne ) . 
 Oct 13 2004 	 treat like royalty royalty 
 Sep 17 2004 	 Service Smile 
 Aug 30 2004 	 Outstanding Service Claridge 's 
 Aug 1 2004 	 wonderful 
 Apr 19 2004 	 Afternoon tea ... wonderful delightful 
 Nov 21 2003 	 Afternoon tea 
 Nov 11 2003 	 mighty fall 
 Oct 16 2003 	 Wonderful 
 Sep 3 2003 	 Claridges - English tradition 
 May 5 2003 	 Grand London Hotel 
 Oct 22 2009 	 Semplicemente il migliore ! 
 Aug 12 2009 	 ? ? ? ? ? ? ? ? ? ? ? 
 Apr 12 2009 	 demasiado lujoso 
 Feb 5 2009 	 ? ? ? ? ? ? 
 Jan 16 2009 	 Delusione Quasi Totale 
 Sep 9 2008 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
