wow 	 girlfriend spend 9 wonderful night hotel must say one good hotel every in . very close union square view 10th floor beautiful staff friendly try cater ur every need . room clear neat bed big soft comfort level die coffee maker fast . tea sherry afternoon lobby great long day out . the problem leak bathroom sort pretty quickly . resturant diner stone throw away food great , shopping u want designer store macey square . 
 Aug 15 2005 	 decent clean little hotel 	 never stay boutique hotel . stay Grand Hyatt Union Sq previous trip . last visit though , think have interesting try something different . admittedly , hesitant research several boutique hotel tripadvisor.com ; Kensington Park look promise . their low package price long available website call request anyway . nice enough let we low rate . child 13 stay free ; additional guest 13 $ 10 per night . valet parking w / in privilege $ 30 / day ; , leave car home . stay garage 3 day without we use ( use Union Sq garage locate Square ) . awful expensive , yes , expect sf.the hotel Union Square . disney store end block Borders around corner . 's awesome location . Chinatown within walking distance . be young fit , North Beach far either . get lot walk SF . hotel decent enough . old building elevator kinda creak like 's strain ; be nice room clean . room stay much small one Grand Hyatt . stay 11th floor . 's air conditioning 's ceiling fan . leave window open day . not get hot ; get kinda cold night . 's coffee OJ morning 7 - 10 . get sherry tea lobby 4 - 6pm . 's dude come time play piano . sure be regular dude wear hooded sweater backpack back ; be wonderful piano player . Tip well . 's computer 5th Floor use free access internet ; get 30 minute time ( get key front desk ) . tv not big , be get like basic cable channel , HBO premium channel ; not matter really , want watch tv vacation SF anyway ? one problem first check . reserve non - smoking room two double bed request floor high 6th . even confirm via email two day . however , get , going give we smoking room . protested say reserve non - smoking room . not computer show email response confirm reservation non - smoking two double bed room low floor . ... tell not anymore non - smoking room two double bed ; offered put we room King - size bed . ok ... suppose put kid ? minute look computer , guy say could upgrade we royal court room rate would 11th floor . much choice leave , take offer . ( kinda scare first day 11th Floor , kinda get use . little kid , might want high floor since window open -- even be like six inch high ) .Bottom line : make sure get something writing go . way , anything go wrong , will word ! will probably stay future . 
 Jul 28 2005 	 Perfect Spot ! 	 daughter enjoy delightful stay wonderful hotel San Francisco . one week . little concerned would air conditioner ( Florida ! ) turn problem . weather outside cool ( visit late July ) , window open . keep closed night cold outside ! room adequate two we , quiet evening , bed extremely comfortable . stay many hotel , one far CLEANEST . bathroom keep spotless every day , request toilet paper honor IMMEDIATELY service front desk top notch . Bob , concierge , quite helpful renting vehicle we help we trip Napa Valley . the hotel convenient ... big plus visit terrific city . right Union Square , couple block cable car turn around . within walking distance Chinatown Japan Center . trolley stop nearby , make trip Fisherman 's Wharf breeze . take advantage tea sherry late afternoon ... delightful ! Napa Valley 1 1/2 hrs away , even visit Petrified Forest Old Faithful . Carmel 2 hrs away .... drive magnificent . see seal sun rock . truly memorable ride . all ... Kensington Park Hotel help make stay San Francisco one always remember . highly recommend , would love stay ! 
 Jun 9 2005 	 look Kensington Park ! 	 check Kensington Park May 31 2 day . easy find west Union Square . easy access cable car Powell BART system street , mention bus , streetcar etc . Vincent duty day proficient make helpful suggestion nice pizza place street , we weary traveler ! room big average San Francisco . clean comfortable . book early airline 's website save substantial amount money . there coffee one floor - think suppose 24hr . first night evening second night not - possible change time . also , hotel offer free hi - speed internet access ( wireless lobby , wire room ) useful , even not computer since one room set aside computer printer - & quot ; complimentary & quot ; . useful check online fly , look BART ( Bay Area Rapid Transit ) timetable - useful travel Oakland Airport . also information city - priceless . we request room back side hotel - nothing much view , even though 8th floor appreciate quietness . weary day 's sightseeing , want good night 's rest . pianist lobby entertain return one evening around 9:30pm - apparently since late afternoon ! theater locate hotel lobby room actually start floor 5 . problem noise notice . we would happy return hotel future visit . 
 May 29 2005 	 cute button ! ! ! 	 cut hotel ever stay . room 11th floor , room 79 . city view beautiful . room decorate earth tone burgundy accent . bed comfortable . review note , air conditioning unit really not need one due weather cool San Francisco . want dress warm go city . staff nice helpful . stay nothing great . go back , stay . hardly wait ! ! ! 
 May 28 2005 	 wonderful hotel great location 	 family stay Kensington Park Hotel San Francisco May 8 May 13 . pay $ 110 / per night first 4 night book discount travel website . decide stay extra night see San Francisco . hotel staff add extra night $ 149 , hotel 's current room price time . feel extra night city well worth money staff make book change quickly . hotel great location . less block away shop Union Square . plenty diner restaurant easy walk . especially enjoy food Cafe Mason locate corner Mason O'Farrell . stay , walk hotel Chinatown , Union Square , San Francisco Shopping Center , Disney Store ( great kid Disney lover 's practically next door ! ) , Market Street , Cable Car turnaround , nearby store . also feel location Kensington Park Hotel safe room secure . our room 2 double bed , clean . nicely decorate , spacious ( San Francisco , spacious ) , comfortable bed , pleasant overall . bathroom sink counter space , hairdryer , toilet , shower / tub combo . shower great water pressure nice long day walk . room also iron iron board , closet hanger , tv cable channel , armoire ( hold tv 3 drawer ) , desk chair , live chair , nightstand phone . local call cost $ .75 . also wireless internet room . the hotel staff helpful friendly . housekeeping service wonderful . every day come back room find bed make , fresh towel , everything place . also afternoon tea sherry available lobby , . mostly travel 9th floor free coffee . coffee , ice machine , vend machine 9th 12th floor . room 7th floor , quick elevator ride coffee . overall , enjoy stay much would stay . * * * would also like add careful leaving car unattended downtown . certain times okay park car meter certain street . car tow away restrict hour times street cleaning . Tow truck everywhere downtown . please look sign post restricted hour whenever park downtown . be well safe sorry . great trip ! 
 Apr 28 2005 	 great location good value small clean room 	 good location Union Square . need get Moscone center 's 10 minute walk downtown . room small old , everything clean functional . staff helpful . 
 Apr 27 2005 	 lovet ! ! ! 	 family stay Kensington two room two night . hotel really nice excellent location touch class elegance . the room nicely decorate well equip . would recommend Kensington anytime . 
 Mar 31 2005 	 Great Little Hotel 	 see hotel internet sure . booked travel agent recommend hotel . arrive San Francisco Feb 27/05 March 4/05 . great little hotel , half block Union Square cable car . excellent staff , helpful , clean , & quot ; chain type & quot ; hotel excellent value , sherry & amp ; tea afternoon nice touch . suggest book line . Agent charge $ 129 per night Cdn $ 100 us.upon check discover rate would 70u plus tax $ 80.00 per night . BOOK LINE . breakfast turn leave hotel go corner turn right , go one block turn right look O'Doull 's pub , good place around breakfast . 
 Mar 30 2005 	 never go back 	 not know begin ... book double / double month advance , pay extra Royal Court ' extra . ' check , tell ' upgrade ' Royal Court ( already pay ' upgrade ' ) , tell overbooke . offer ' suite ' one ' sister hotel ' ( Hotel Diva ) ' regular ' double - double less money . never offer upgrade we suite 2 - queen king room ( despite available ) . take offer suite Diva , find microscopic room , microscopic bathroom , unsafe location San Fran murphy bed ' second ' double . say acceptable take downgrade room , close Square . never apologize error , ( blame new computer system ) , offer true upgrade error . wage complaint , see another group complain room separate group complain overcharged parking . hotel compete one business , would expect well customer service . never stay . 
 Mar 22 2005 	 Great Place / Good Prices 	 frequently stay Kensington SF . great hotel great price . usually park package great deal . convenient everything need . travel child , able get room next exterior door close two room ! , 8 year old daughter love stay hotel . 
 Mar 17 2005 	 utterly fabulous ! 	 partner spend nine night Kensington Park Hotel 4th 13th March 2005 . change book thank read great review tripadvisor.com . glad book last minute type site get fantastic deal ( US $ 86 + 14 % room tax ) . hotel delight . 's brilliantly situate - one minute Union Square right near everything could possibly want . plane arrive early 11.15am room ready straight away . room lovely . reasonably small charming , comfortable bed , small walk robe television , desk spare chair well bedside table light . joy joys - window actually open . often get hotel day ? bathroom small everything room bathroom spotlessly clean . there tea coffee make facility room 9th floor floor hassle bring cup tea bed come home end night . also free internet computer business room useful too . the hotel use private club lobby area stunning . take photo ever figure download camera upload ! staff fantastic - include Bob concierge . slight mix payment fix immediately without problem . we also go theatre adjacent hotel great too . overall rate Kensington Park Hotel tripadvisor.com highly enough . thank ! would definitely stay go back San Fran never book hotel without check tripadvisor.com first . 
 Feb 16 2005 	 Perfect Stay Excellent Location Money ... 	 surprised find hotel outdid review read . staff helpful & amp ; nice ever . accommodation wonderful . look stay union square area , Safe , Pleasant , Comfortable , helpful , Real SAN FRANCISCO Charm ... could go & amp ; & amp ; . Feb. 2005 stay & amp ; certainly return stay & amp ; & amp ; . also tell friend & amp ; family wonderful experience . ENJOY ! ! ! 
 Jan 28 2005 	 affordable great location 	 guest hotel many time year always find pleasurable stay great value . location unbeatable . block Union Square , within walk distance shopping , well - know restaurant , theater , Bart cable car . the room eleventh floor little bit expensive come extra amenity ( like bathrobe , cd player continental breakfast nearby cafe ) . Bob , concierge character always willing help . stay room back hotel quieter get fabulous view city . , modern hotel City , however , update , clean , wonderful theater adjacent Farallon Restaurant one good SF . 
 Jan 11 2005 	 great location ... 	 location GREAT ! unfortunately , upon arrival two deluxe standard room reserve register . however , several call , room find we . thought could little apologetic confusion . 's good customer service . bed room worst ever . back sore first night 's stay draft come bathroom door actually make bath mat floor flap . honest ! however , mother - in - law problem complaint room . the concierge service / gentleman , well say least , little strange helpful . the advertisement hotel continental breakfast every floor , none provide . good thing go hotel location room average size , although bathroom tiny . 
 Dec 8 2004 	 probably value money hotel ' ve stay 	 well stay 3 year ago nothing impress place . location unbeatable , price fab . think pay $ 100 clean cozy room , SF bargain . rest hotel , agree reviewer say - 's classy , San Fransisco staff friendly helpfull . special note Bob Concierge , still remember visit . would stay heartbeat . 
 Oct 25 2004 	 charming place stay . 	 hotel charming - another reviewer say shabby chic fitting description . , old building keep . want new , modern , homogenized , stay name brand hotel prepare spend substantially . want cozy hotel thoughtful service ( Bob , concierge well ) wonderful place within walking distance everything . 
 Aug 30 2004 	 ok . 	 stay 6 day hotel fine . find room clean age hotel fine . be Elk 's member get special rate half price area hotel . plus Elks lodge wonderful great bar well average restuarant . hotel locate within walking distance Union Square 300 foot , China town 1/4 mile . start one cable car , Bart , 3 block . Taxi 's cost $ 9 get fisherman warf , Peir 39 ferry . great expierence concierge Bob great help employee 's . prepare wait room though take 1 hr ( 4:30pm ) not worry 's place stow luggage plenty due right around hotel . 
 Aug 18 2004 	 can not imagine would call place ` ` filthy '' 	 review like previous one trash hotel supposedly & quot ; filthy & quot ; make website suspect . return 3 night stay . 's charming little jewel box place . Royal Court floor room ( 11th floor- upgrade ) adorable , clean , roomy rest european style hotel Union Square . like well Diva well previous fave , Warwick Regis . location phenomenal bed comfortable may never venture ! really wonder someone would trash lovely little hotel call & quot ; filthy & quot ; & quot ; dark . & quot ; ' m suspect disgruntle former employee ? ? ? ? pay $ 135 night buy 2 night , get 3rd free . mean not get much well . 
 Jul 27 2004 	 Filthy Filthy Yuck ! 
 Jun 27 2004 	 Loved ! ! charming 
 Apr 9 2004 	 great stay 
 Feb 6 2004 	 Wonderful Hotel Heart Union Square San Francisco 
 Jan 27 2004 	 must well .... 
 Oct 2 2003 	 good ! 
 Sep 30 2003 	 would not stay . 
 Aug 11 2003 	 . . . genuine gem ! ! 
 May 15 2003 	 well - position Union Square .... 
 Sep 20 2009 	 Buena ubicación buena calidad 
 Aug 1 2009 	 très jolie chambre- demandez la vue sur union square ! 
 Jul 7 2009 	 très bon hôtel . bien situé . bon rapport qualité / prix 
 Jul 5 2009 	 Parfait pour quelque jour de vacance 
 Jul 17 2008 	 Hotel di classe e ottima posizione 
 Aug 24 2007 	 Von ` ` Hotel mit Persönlichkeit '' keine Rede 
