excellent 	 stay Wolcott , would recommend anyone . room large clean . Maid service everyday . staff friendly . locate 2 block away Empire State Building , conviniently place . bathroom little small side . otherwise room clean . the entrance foyer particularily impressive budget hotel . complimentary coffee muffin breakfast well . this hotel make great base explore Manhattan . far Macy 's , Herald Square . 
 locationlocationlocation great price 	 location important be try impress anyone stay interested see site spend hard earn cash enjoy rather swish hotel , place need . quite low expectation read review , fine . old school hotel - like bit character . staff friendly helpful - location make - price , not think could well - literally around corner Macys , Empire State , Madison Sq Garden , Jack Demsey 's pub ( man watch english soccer match . live ) couple block Time Square subway close travel afield . hotel also locker available 50 cent store luggage last day late flight . make criticism small bathroom - cares - New York ! 
 Trustworthy hotel good price 	 new york - hotel - research internet find one . first trip Big Apple expectation , price seem extremly reasonable consider location hotel go . experience nut shell positive . tidy look lobby corridor sympathetic room everything basic visitor need . & quot ; life & quot ; hotel room anyway ? next line som + - : + nice tidy look interior+ enough fresh - look room ( corridor smell like 5 - star hotel ; ) ) + tv + safe+ price easy payment methods+ Location- staff seem bit bored way rude ( don´t let affect stay ) give hotel 8 10 . 
 Great Location 	 hotel suit need perfectly . book twin room ideal need ( spend sleep time ) . bathroom large , clean tidy yes shower work perfectly . ideally situate staff helpful pleasant . complaint whatsoever would use . 
 Jul 29 2007 	 nice great value good location 	 stay Wolcott party 3 room great good . 3 work five Star Hotel kind picky ..... think good way make comment : location : perfect : right Broadway ( 31st Street ) 3 block next Subway . 2 Blocks Empire State Building . room : clean , good service ( 2 tv 's , iron+irone Board , Safe ) AC pritty loud since sun room not need night . maybe ask room high floor ! safe Room free charge good help . Service / staff : Complimantery Breakfast Lobby ( Coffee , tea & amp ; muffin ) .housekeepe friendly good job , reception friendly always help= quick check & amp ; check smile face ! ! well do . overall : Book Wolcott want nice Hotel nothing average . really worth price pay dissapointe . would always go back ! like feel go home . : - ) comment help hotel improve : like say AC loud , hanger Bathroom would perfect ( hang towel clothe ) , take away & quot ; Airport line band & quot ; reception = look cheezy nice lobby guy . think people 20th century know stand line , make concierge desk look nice ! match nice lobby . proud lobby = show it . well regardsmike 
 Jul 27 2007 	 Affordable Little Jewel 	 people know , hotel NYC incredibly pricey . friend NYC long weekend not want break bank . find hidden hotel Broadway 39th 38th Street . walk think , lobby look like belong hotel 5th Avenue . great meeting place desk tourism info would ever need . room spacious NYC , totally affordable . fact , two we , end three bed room . opening curtain , Empire State Building rise block away . hotel also agreement nearby garage insure drive city will not cost arm leg . easy walk distance Times Square , many theatre well easy access subway . highly recommend . 
 Jul 26 2007 	 dump ! 	 fly San Francisco Philadelphia January go train New York , walk Penn Station Wolcott Hotel . stay friend mine Osaka Japan art gallery show promise new artist . japanese interpreter 9 people go gallery gallery work . select Wolcott many young Japanese , know well recommend place . room , twin bedded room 2 chair . friend one man artist upper floor also twin bedded room . first incident go room- chair . call front desk ask chair . several hour later , disgruntled worker come 1 chair say good could . go downstairs bring second chair room . one afternoon ( stay 4 day ) go upon come back , japanese friend ask room key left front desk ( mine- always carry room key ) first thing snotty clerk 's mouth can not 3 people room . 2 people book room . Philadelphia snottily reply room , key snot - nose . comment make except friend 's key slammed desk . find hotel dump , full foreign traveller not know well could much well place stay do searching price . often time , recommendation , evidence spotty . one think place fabulous , other think horrible . think Wolcott dumpy place money . good part though location , close everything New York lot reasonable place nieghborhood eat include korean restaurant . snow clothe get wet sleet . nice thing could put everything dryer basement clean clothing snow sleet . find day time clerk indifferent , night time clerk really non - caring . would not stay . pay get . believe . 
 Jul 26 2007 	 great value hotel 	 stay Wolcott 6 night July 2007 . read review site quite nervous hotel would like ! arrive really pleased hotel . recently refurbish . stay room 319 happy . bay window look street Empire State Building . hotel great location- pick one red sightseeing bus round corner , within walk distance many subway line , Macy 's , Flatiron Building , Empire State , Times Square , etc ! stay upper west side last time NY much handy . room recently get new carpet wallpaper , bed comfortable , air conditioning work great , room clean well every day . good sized room . light sleeper pleasantly surprise well sleep ( although noise people outside slightly bad weekend ) . never hear noise room , benefit old build thick wall , maybe . coffee muffin great too . I would definately stay . 
 Jul 3 2007 	 Great Hotel Great City ! 	 second time stay Wolcott impressed . the hotel great location W. 31st right near Herald Square ( home Macy 's ) , numerous subway line 9 block south Times Square . walk right hotel entrance inthe hustle bustle Manhattan hop subway bus SoHo , Chinatown , Battery Park , Central Park , Museum Mile within minute . the hotel historic hotel renovate must also take note old hotel .... cookie cutter Best Western . architecture throughout hotel ( include guest room truly amazing ) . example though one elevator lobby work make gentleman behind front desk let we use one staff elevator . the room time consist two huge room . one room two twin bed TV , desk closet , room another twin bed another tv safe well bathroom . view big room Manhattan big city thatmatter . do not view either time ... do not know get room view do not complain , could walk right look city myself . the hotel concierge help make reservation get airport go Statue Liberty something . lobbyalso feature small convenience store . also something helpful family hotel parking agreement garage W. 32nd St ( right around corner ) able leave car 3 day worry ) .Overall would highly recommend hotel someone want visit Manhattan , pay much middle . 
 Jun 25 2007 	 Location Location Location 	 stay Wolcott Saturday night end June , think perfect . pay $ 80 / night / person twin room bathroom . room 315 , randomly bathroom quite spacious -- friend stay say booked suite previous trip room huge bathroom tiny . anyway -- lobby truly spectacular , make nice start trip stay place little old - school glamour . grant , glamour extend room honestly expect . travel agent , know glamourous room New York cost fortune . not plan spend time room , happy adequate . room * fine . * bed comfy shower good water pressure . everything clean . decor bit fade room not bright , like say -- want New York , room . breakfast minimilistic -- coffee muffin , free free quite pleasant eat gorgeous lobby . lobby amenity : computer pay - to - use internet , day locker $ 1 quarter , little shop postcard snack , fitness room ( although never look fitness room , honest ) . one elevator break stay , vend machine . might annoy stay long , think would mention . also view side building , far literally could not see sunlight . chance could get good view -- tall build many room face , forewarn may get view fire escape brick wall . I definitely go stay Wolcott next time go New York , pleasant place stay location can not beat . 's three block Empire State Building subway stop biggie would want see . 's clean , inexpensive hotel free breakfast right midtown -- alone make perfect place stay want spend money sight , hotel . 
 Jun 20 2007 	 go Wolcott 	 terrible experience Management . mouse room , assistant manager resolve issue . result , state would credit we stay . upon return home , credit make . call hotel discuss . Hotel basically say liar never agree credit stay . completely disappointing . 
 Jun 7 2007 	 clean Close site 	 wolcott nice hotel update clean close site . grand lobby staircase high ceiling chandelier help envision grandness Hotel date back early 1900' . the room clean , price reasonable staff helpful . the hotel luggage locker room arrive early check want see sight day departure . believe , not want cart luggage street NY onto subway . 
 Jun 4 2007 	 nice ! 	 room bathroom large nice , clean currently redecorate ( 11 th already redecorate ) . complimentary breakfast coffee muffin good good start day ( also newspaper available ) .Our room safe ok . also good locate Empire State Building , Macy 's , Times Square metro station . 
 may 31 2007 	 Nice Place 	 Wolcott nice place . clean room , TimeOut magazine every week , nice staff , great location , big tv set . the thing dislike hot water . sometimes not enough . not big deal . 
 May 20 2007 	 nice hotel 	 nice hotel close broadway . hotel great budget , little & quot ; floral & quot ; decor want stay room NYC ? ? ? ? 10 block time square ten minute walk depend many starbuck stop ! also back onto 5th Avenue , 20 minute walk main shopping area , rockafella centre etc . go Sex City tour ace big fan show must . also tkts move Marriott Hotel across original stand Times Square must discount theatre ticket . get 2 pm there s much queue . 
 May 19 2007 	 great hotel Friendly Staff Fantastic location . 	 quirky hotel . staff helpful friendy . room large currently redecorate floor floor . new decor bit old fashioned suppose mean hark back Belle Epoch era lobby ballroom stunning original . complimentary breakfast coffee muffin good , popular . the shower good clean . room safe would not lock , could use security box reception . toilet break early one evening , pair maintenance man appear within 10 minute , complete spare part fix . heating air conditioning work effectively . thankfully aircon work quickly , noisy keep night . enjoy stay appear typical old New York hotel would book . lot thing within easy walk distance , Empire State Building , Macy 's , Times Square , Penn Station etc . 
 May 13 2007 	 love New York Wolcott 	 stay Wolcott , meet parent Europe . New York tour group stay Wolcott . know much hotel City , decide well stay hotel . we stay 12th floor , room face dirty brick wall . room seem sort smelly could little clean . the decor outdate , room noisy mattress seem ok . take shower hit miss , either water pressure , hot water water hot , difficult take shower adjust water temperature . times water would turn cold middle shower would end standing drop water . the staff helpful friendly hotel centrally locate . next time stay different hotel . 
 May 3 2007 	 fantastic location 	 can not fault location .. right middle Manhattan .. great forexploring , Times Square , Empire State Building doorstep etc . reception grand . good value money .. well , NYC ! 
 Apr 12 2007 	 Honeymoon Wolcott 	 know review may helpful consider husband year half ago honeymoon , someone ask name hotel tonight dismay see poor review first one come up . my husband avid part - time New Yorkers usually stay friend ( even engaged ) -- want nice hotel would not hurt wedding budget honeymoon . we could ask anything quaint lovely Wolcott neighborhood ! yes , room small , bathroom old - seem , seem quite european cute . would rather old tile bathroom plastic prefab Holiday Inn . clean find electronic safe quite helpful securing valuable . negative aspect hotel lift / elevator ancient often repair , & quot ; back & quot ; elevator . but real gem stay neighborhood -- arrive , polish parade occur 5th . Magica ! attach bodega hotel crucial come little cold . close , authentic New York cuisine nearby : Joe 's Pizza , Pho32 Korean District one two street unbelievable pho shop . opposeite corner fifth block , bodega / breakfast / sandwich shop window face fifth -- lovely way start day . next parallel street , little hotel - top bar beautiful view Empire State building . wonderful . amazing . satisfied customer ! would recommend anyone stay every not friend town ! 
 Apr 8 2007 	 Great Hotel Fantastic Midtown location . 	 return Scotland week New York . ( 4 we ) stay Walcott Hotel 0n West 31st Street . read pretty negative comment hotel honestly say experience 100 % positive . the reception staff friendly , polite helpful informative . we book ride back Newark shuttle van cheap taxi ride New York . ! twin room exactly describe . small , clean bed comfy . bathroom big expected hand hold hairdyer real plus , much well usual fix wall one power ! unlimited free coffee muffin morning nice start day . location hotel could well . literally step away 5th Avenue . Penn Station Subway Empire State Building Macys close also clear close view Flatiron Building 5thAvenue , perfect location ! would hesitate recommend hotel value money location friend travel New York would stay . 
 Apr 2 2007 	 bad Hotel experience life 	 still nightmare Hotel Wolcott . impressive look foyer belie actual condition room . fair budget hotel . fair first trip America , know well , love idea around corner Empire State . God room awful - musty smelly , shower disgrace , air condition barely work . television old good repair - picture terrible . spend entire time sleep top sheet warm room . lock not feel safe door , safe electronically locked could not open . needless say safety deposit box available . hotel make hate whole experience New York , could not wait move onto trip Boston . needless say return two year later vastly enjoy stay much upmarket hotel Time Square . avoid , avoid , avoid - can not find anything bar location reccomend awful sweaty hotel . 
 Mar 30 2007 	 good budget hotel great location 	 return 3 night stay Wolcott , book junior suite ( $ 20 night ) serve stay perfectly . previous report yes shower tempermental useable , room hot open window turn A / C , lift maybe small size hotel try stay France want know small lift ! staff helpful , room clean coffee muffin great morning . a great little bar , O'Reilleys , 250 m west hotel serve good beer food . overall hotel perfect need perfectly locate , hardly use taxis subway everthing within walk distance 
 Mar 26 2007 	 see get 	 stay Wolcott 3 time everytime could not fault hotel pay . the staff friendly , room clean , good amenity room bathroom , include internet access TV safeThe room dark do not view worried spending time hotel room New York . set place apart rest apart cheap rate LOCATION . set 100 foot away 5th avenue 2 block empire State Buliding , location beat . you can not fault hotel pay , yes plush stay , base ease get site , fault 
 Mar 22 2007 	 Decent budget hotel 	 husband stay hotel 6 night visit New York November . basically budget , know would spend absolute fortune , not want spend much accommodation . lobby reception area look great , go first floor ( room ) basic , dirty anything , maybe need wee lick paint ! room fine , view anything clean , tidy serve purpose . New York , hardly room , basically bed night . free coffee muffin morning good , right start day . hotel not restaurant , culinary capital world , probably would not eaten . good thing Wolcott location , right 34th 5th , three street Empire State Building , 5 minute walk away Macy 's Madison Square Garden , near subway station . really could not get well location . sum , be use luxury , wolcott big disappointment , be look budget hotel close main attraction , perfect . would definitely stay . 
 Mar 21 2007 	 central location 	 Nice hotel central locationwe stay Wolcott March year . hotel lovely , clean central everything , could not fault . unfortunately female reception staff let hotel . rude , unhelpful felt should not ask anything would get rude reply . so want somewhere reasonably price , central location , clean tidy , stay Wolcott . want friendly greeting do not bother would really disappoint . do not cost anything polite people girl need realise . also , people do not stay Wolcott would not job 
 Mar 15 2007 	 definately budget hotel ! 	 describe budget hotel Times definately budget . four nights- serve purpose base . think go day evenign ideal brilliant friend want . f want relax hotel think would dissapointed . cheap get choice muffin breakfast every morning wnate . smell one floor disgusting would recommend low floor possible . location great touristy thing . room ok massive triple room . Decor definately date furtniture old . however bother frind find serve purpose . 
 Mar 13 2007 	 adequate consider Price . 	 ideally situate cheap . pleased stay Wolcott , hotel clean , room large large tv internet Nintendo gaming , room safe , bathroom tub & amp ; shower . everything work perfectly , bed clean comfortable . room temperature perfect despite sub zero temperature outside . House keep staff friendly helpfull . free tea coffe fresh muffin morning godsend . hotel lobby / reception area quite spectactular . hotel seperatedesk tour , advice airport transfer open 12 hour per day 7 day per week . also vend machine , ATM , guest laundry , internet connection CD - Writer , printer , smart card reader , luggage locker . I could not fault hotel , excellent stay . lack bar resturant . I would use would recommend friend family . 
 Mar 10 2007 	 Stinky 	 husband stay hotel honeymoon . after arrive late fly day , give room 9th floor , great view Empire State building , strong smell cigarette quickly change mind . offer another room 4th floor face brick wall , decide try smokey room 1 night . expect small pokey room , would got not shower .... take approx 5 min hot water , arrive scold . ( ' m sure people next room could hear husband profanity shower time ) , Air Conditioning 1970 .... break half first night . elevator pre - historic , take several minute . front desk staff helpful , try stay room . would never stay hotel ... 
 Mar 6 2007 	 really Basic 	 recently stay Wolcott Hotel first time , four night , base largely review read TripAdvisor . neighborhood great , interesting restaurant one block away Koreatown , hotel basic . Red Roof La Quinta neighborhood much nice price range , slightly high . lobby beautiful , room basic . work ice machine building . hot water shower became scald hot one night middle shower . bad issue window poor quality hear every street sound cold air leak room create draft . stuff towel cracks 20 degree weather . bed comfortable , room clean enough closet bureau space . staff courteous . ' m picky , would stay hotel . 
 Mar 6 2007 	 love 	 daughter stay Wolcott renovation do apt . rroom great staff hospitable , highy recommend anyone 
 Mar 6 2007 	 ok would prefer stay 	 stay weekend two friend triple room , nice bed . hotel really great location able walk pretty much everywhere want go ( Times Square , Broadway , shopping , dinner , Rockefeller Center , etc . ) . storage locker lobby also nice want keep luggage day check . little annoying pay locker hotel store luggage free , nice security knowing lock away . room hotel need improvement , however . would recommend stay light sleeper , room make lot noise night . heater noisy ( old heater - typical noise ) ; clock radio pick interference something make loud noise pretty much every hour way fix unplug . first night sleep bad sleep get long time , wake 20 time noise . not city noise expect .. room . also , bathroom small , zero counter space . shower also temperamental ; take shower sudden water turn burn hot jump , difficulty get water get hot . finally , maid service little odd . maid come walk room without even knock , scare not expect anyone . said & quot ; room check & quot ; leave . ( room check ? ? summer camp ? ) would recommend hotel someone look good location deal annoyance involve . personally , think next time come New York get slightly nice hotel . hotel really potential charming old hotel ... desperately need work . 
 Mar 1 2007 	 Good price central Hotel 	 looking room three people accompany 15 year old daughter , Wolcott fit bill & quot ; suit & quot ; room . stay NY many time view brick wall , hiss radiator old fasione lift good hotel not expect anything special clean good value . get , complaint . coffee Muffins fine . hotel excellently place shopping , in - house shop touch expensive , although not bar , shop charge almost bar price beer & amp ; cola save carry beer around shopping . we check leave baggage room behind reception leave airport , crime use big area bar something . staff not helpful ask question seem bit reluctant help not really need , could problem first time visitor though . say would certianly stay . 
 Feb 28 2007 	 absolute bad safety customer service 	 dispute entire charge structural formation hotel safe . 4 night stay ceiling actually fall large chunk drywall ? fall foot bed . also contact Building Inspector New York City ( hotel locate ) well Better Business Bureau Manhattan alert serious situation . manager , Ricardo , state thing happen time old building would give financial satisfaction - therefore dispute entire charge material fall ceiling analyze laboratorie mold content . photograph entire fiasco well . please contact would like send you . do stay build structurally unsafe . 9th floor ! please contact via email photo difficulty upload . Kuty927 @ aol.com 
 Feb 27 2007 	 Perfect weekend 	 hotel perfect weekend NYC . stay second floor triple room . great . room clean , bathroom average size shower amazing . never feel well water pressure . our room face 31st street look could see Empire State Building . beautiful , especially night . hotel perfect location easy access subway . I see evidence bug staff friendly . would stay hotel New York Minute . 
 Feb 25 2007 	 Frills Good Location 	 ' ve ( two friend ) return trip New York stay hotel . title say , & quot ; frill & quot ; , definately case . however , dedcide want hotel clean , practical good loaction . base , get want ! yes , hotel room date , 's note paint change carpet could not solve . room , bathroom bed clean , Empire State building 2 block away ; sadly not view ( large brick wall greate we morning ! ) Times Square also within walk distance . despite we temperature barely reach freezing daytime , find heating room complete opposite ! bake ! tell heating control individual room , could open window let air ! needless say ! thing aware : distinct unattractive smell food ( particularly floor , 11 ) also , aware radiator make bizzare hiss noise give moment time ... however , disturb we night . as three we trying find hotel NY three separate bed one room . basis Wolcott prove hit . main part room two single bed annex another . room TV , clock closet . room quite spacious never feel clostrophobic . the free coffee muffin helped start day also wash machine dryer guest could use ( oppose laundry service ) .if be look sophistication , glitz indulgance trip NY , hotel probably . however , like we not intend spend much time hotel room , simply look clean comfortable place stay , Wolcott Hotel probably suit need . 
 Feb 17 2007 	 great little place muffin 	 great location , use empire state beacon get back ! room really clean & amp ; clean every day ! muffin & amp ; coffee hotel every morning great starter.the hotel upgrade moment floor ready.our floor 11 complete.nice place stay new york go good price.andy , dublin . 
 Feb 11 2007 	 terrible ! 	 first room large steam leackage . second room frigidaire ! always asand indian cousine smell background .... location good hotel . 
 Jan 18 2007 	 Basic amenity great location 	 slightly apprenhensive read previous mixed review , suit we fine . triple room real bonus get 3 single bed good sized room . I bed slightly separate bit room , tv phone , ideal someone want go bed early etc . yes , hotel bit shabby need good coat paint corridor not welcome bathroom small room clean , warm probably comfortable bed ' ve sleep . problem regulate shower big deal we . find reception staff helpful ( honest man helpful woman . sure ! ) would like stay grander hotel doorman etc , yes course would , tight budget excite New York Christmas not matter . the location price important we , take 4 child we . 5 day , location really important want able walk place , get 4 night plus flight Virgin ( book separately ) less price flight book directly Virgin , complaint . if use certain class hotel , will not , happy clean warm room central quiet location fine . we notice one day lift stop several floor way corridor floor 9 , 10 , 11 renovate . freshly paint bright cheerful carpet maybe work way hotel ! fabulous time New York would certainly consider stay ever fortunate enough get another opportunity . 
 Jan 1 2007 	 great location ! exactly look 	 great experience Wolcott . room ready check early , wait elevator . room nice size NYC hotel clean . staff friendly helpful . room hot , open window , cool nicely . I definitely stay Wolcott . kind people sit room day night Wolcott fit need exactly . plus , beat hotel put right shopping district ? ? 
 Dec 25 2006 	 Big Apple Disappointment 	 return annual family pre - holiday trip NYC . make trip DC see beautifully dress window 5th Ave , skate Central Park , take Broadway show enjoy holiday sparkle Big Apple . know city crowd expensive , really always expect . however , not expect hotel room would hot middle December would sleep night window open AC run . mention heat front desk send someone three different occasion ( try ) make matter worst ... clanging start . AC drown clang second night , needless say , spend two uncomfortable night mediocre hotel . lobby pretty water pressure shower good . staff not helpful friendly . read good review hotel , sadden experience . go back ! 
 Dec 25 2006 	 highly Recommend 	 Hotel Wolcott perfect family three . stay triple room three single bed - one privately seclude main room ( great put child bed quiet area ) . room exceed expectation . staff kind courteous muffin & amp ; coffee morning nice touch . location ideal - right 5th 31st . hop Macy 's 34th street shopping . good part fantastic restaurant right outside door . love indian restaurant ( go left front door Wolcott 50 yard ) eat lunch buffet provide $ 8.95 ! would highly recommend hotel anyone travel NYC ! great hotel come & quot ; home & quot ; long day walk street Manhattan . 
 Dec 21 2006 	 great location 	 stay hotel 9th - 12th Dec 2006 second time stay . staff friendly helpful room clean , even get upgrade junior suite arrival give we extra room store suitcase ! ! . free coffee & amp ; muffin provide kick start morning . the location brilliant , 5 min Empire State Building & amp ; 5th Ave . would definitely stay . 
 Dec 19 2006 	 never ... 	 arrival find hotel receptionist unhelpful , point rude . wait two day speak Hotel Manager equally unhelpful basically go motion listen we , leave doubt rude receptionist going speak to . the room however good size comparison New York hotel room , warm clean bed comfortable . on last day mislay two diamond ring room , leave edge bed never recover . ! ! ! ! first experience New York hospitality would never return , fact forth visit , aware New Yorkers rude , return definately Wolcott . 
 Dec 15 2006 	 Wonderful hotel 	 despite couple bad review , son stay Macy 's Thanksgiving Day parade . great hotel . arrive day could watch giant balloon blow Central Park . room ready check early ( 11:00am ) . everyone nice . room cute clean . bed comfy , want take home . location great . bad thing , weather horrible parade . parade check able use storage locker leave 5:30pm . definitely stay . 
 Dec 13 2006 	 great hotrel 	 Location Location 's . walk much fast cab . Book on / off tour hotel store next door . see lot manhattan . hotel convenient area . junior suite . staff excellent room clean . would stay . 
 Dec 7 2006 	 great location 	 stay Wolcott 7 night November . room small do not stay room much anyway . first 2 night heating come 6 am pipe make racket sound though train go room . report reception first morning tell one else hear anything basically imagine . 2nd morning ask move room could not cope get 6 am everyday tell room available next door . end get engineer send manage fix already 2 night much sleep . the shower horrendous . would go normal scald hot second . actually burn foot go hot quick could get show time . flip side would also go ice cold second . quickly learn 1 minute shower . location excellent room clean . would consider stay could not find anything else price would look else first . 
 Dec 6 2006 	 great location excellent price amazing view ! 	 stay Hotel Wolcott Dec 3rd - 6th ( get back today ) take part xmas shopping . we find hotel great . really central location plenty shop surround hotel , include Dunkin Donuts corner St. open til 10.30pm great get tea coffee . also 24 hour Mc Donald 's around corner small shop next door hotel sell beer , cigarette , refreshment etc . the room great , large 2 good , firm , clean single bed . area upon entrance space suitcase etc large closet free safe . also cable t.v , hairdryer etc . upon open curtain moon see main view Empire State Building 's glory - wow view ! ! ! ! ! attach picture review see good view . literally take we 3 minute walk esb convenient . * * note esb open til 11 pm every day Thursday , Friday & amp ; Saturday open 2 am ! * * hotel offer free coffee , tea & amp ; muffin reception morning really nice atmosphere lot people different part World sit round talk . staff pleasant helpful . overall good experience would recommend hotel budget want safe , clean , friendly , centrally locate hotel . hotel lot history ( build 1904 ) room unusually shape ornate reception , add essence hotel . I would definately stay hotel would feel perfectly safe walk around surround area own . have fab time NYC - go xmas go amazed ! ! make sure check Rockefeller Centre 's xmas tree ! ! : - ) 
 Dec 4 2006 	 absolutely Fab 	 wonderful hotel , clean , bright , warm welcoming . brilliant location 31st street corner 5th Avenue . central . near shop 34thst middle Manhattan . room spacious big . triple room three bed really comfy . would def recommend . 
 Nov 27 2006 	 pleasant stay 	 stay September one week . first give we wrong kind room ( book junior suite two bedroom , none available ! ) . give standard room extra bed ( separately request least three time ... ) one night give another room really tiny . AC not work ask repair . bed bedbugs full red , itching bite . reception staff quite unfriendly seem bit fed job . the location great 's . 
 Nov 20 2006 	 Fun 	 large room two twin bed face backside hotel ( 30th st ) ... large window .. ton space . wonderful bathroom ... $ 200 amazing value ... would suggest hotel anyone budget ! ! ! 
 Nov 17 2006 		 Central . clean . courtious . could ask good return ... Gill & amp ; Tony Cure England 
 Nov 11 2006 	 worth 	 room tiny ( really , really tiny ) , closet not big enough fit clothing without wrinkle . otherwise , find redeem factor . hotel staff , politely email ask account bedbug , tell we bedbugs fault , customer 's fault , do anything . alarm clock also defunct , ask wakeup call , apparently enter wrong time , call we half hour early ask . not horrible experience , certainly not worth money spend . 
 Nov 10 2006 	 terrific budget hotel ! 	 get great last minute deal hotel , think stay even not cheap next time . room small , small NYC , clean , new - look furniture . nice big bathroom , great condition . ' ve stay low - cost hotel New York , one far well . drawback see elevator small slow , really problem morning , allow extra minute get downstair deadline somewhere . free continental breakfast lobby , coffee , assortment tea , muffin . 
 Nov 8 2006 	 great pice 	 book hotel read traveller review webiste . say price , location room great deal . walk many main attraction . metro really close get anywhere . rode metro daily suggest metro card daily pass $ 7USD going use alot 24 hr period . way less cab fare around city plus buy day need . even take metro Laguardia airport pretty simple fast . alot cheap cab pay toll fee . room clean , service good nice coffee muffin morning start day . guy fruit stand within block pick banana whatever set lunch . saving . do alot travel New York definitely one good place world ! must see traveller . use travel Europe stay small hotel place . basic . sit area much keep busy New York , need ! ! ! 
 Nov 4 2006 	 great budget hotel 	 stay Wolcott six night , triple room sixth floor . room well equip three single bed , two T.V , clean bathroom safe . research hotel read review go pleasantly surprised experience . room clean clean daily , evidence bug particularly bed bug ! ! . hotel extremely central , minute walk Macys Penn Station . lift work promptly without fail , breakfast welcome coffee muffin . internet facility room difficult work use computer lobby cost 20cent minute . positive stay certain return . would unequivocally recommend hotel budget traveller want good quality clean room affordable price . total bill come $ 1440 three adult six night . 
 Nov 3 2006 	 great location good price 	 friend book trip NY last month . late book accomodation trouble get reservation , last resort choice . , however , quite pleased result . the Wolcott locate literally two block Empire State Building , corner 31st 5th avenue . walk everywhere . lobby impressive , keep 's 1920 's charm , even rest hotel keep nothing era . newly refurbish elevator fast work great . room small ( two single bed ) clean , bathroom spotless temprature right . find also quiet night ; stay many budget hotel Europe , luxury . quite satisfied book next time visit nyc.the staff helpful : website make reservation make mistake book we single , staff quite gladly help we moment 's notice , even busy weekend . guy tend little shop friendly too . so short , clean , warm , quiet , bug , excellent location , warm water , cable tv ( great day walk 10 hour , need rest ) friendly staff . we leave smirnoff ice toilet tank , shall ever stay room 515 ... 
 Oct 30 2006 	 expect something well ....... 	 expect something well cheap hotel disappoint . the room rate cheap apart entrance hall everything else hotel cheap . get pay world case Wolcott . hotel 's website suggest something well definitely case . junior suite , suggest something much well bad state repair major need refurbishment . cheap yes ; nothing well cheap hotel depress street near Empire State building . 
 Oct 30 2006 	 love hotel ! 	 return three day stay Hotel Wolcott , agree previous poster advise ignore bad review . excellent value location . check check painless never wait 20 second elevator -- even though hotel full . room -- one two - room mini - suites , ninth floor . quiet , clean , comfortable , bathroom modern , reasonably large absolutely immaculate . lot fluffy towel ask washcloth , arrive promptly bed ( one queen one trundle daybe ) fairly new comfortable , plenty good quality pillow blanket . suite two tv two phone , good working order . in - room safe work fine study direction , large enough hold laptop computer . fridge , probably good policy discourage people leave food around , draw bug . ( see evidence bug problem , way . ) light okay -- not - too - ugly overhead light room , plus bedside lamp queen bed , desk lamp daybe . Decor room fine though deluxe -- nice wallpaper bedspread , though carpet bit worn . would nice window sheer curtain addition drape , could let light without give privacy . hallway attractive -- freshly paint paper reportedly receive new carpet , yet arrive . appear hallway low floor yet re - do . problem hot water shower , though notice hotel seem run hot water short time peak usage period -- be possible , plan accordingly . room get bit warm taste building 's heat crank easily remedied opening window time . two fairly new AC unit ( one room ) use except test confirm work unusually noisy . room back , view airshaft , make quiet even window open . other note , lobby breakfast consist coffee assortment muffin 's free , good quality , plentiful . wi - fi access free work well , charge ( $ 9.95 24 hrs . ) worth convenience use dialup go cafe . hotel clean , comfortable , attractive , great bargain area , be interesting cookie - cutter chain . , one people cope slight quirk glitch , go elsewhere , plan pay least twice much . 
 Oct 27 2006 	 ignore bad review ! 	 book stay Wolcott year ago since see lot bad review site . let tell - IGNORE ! people write must expect 5star hotel without want pay ! be not Mandarin Oriental hey , be pay $ 1100 per night ! ! get real guy - hotel ) clean b ) superb location c ) that s need NYC - restaurant / service nearby would want spend lot time room whole city wait ? ? ! ! lift fine - ok do not work quick Empire State Buildings lift do not 100 + floor ! think hotel great price would definitely stay again . last thing , stay room 518 spectacular view Empire State Building window could not really ask ! 
 Oct 24 2006 	 reasonable accomodation 	 daughter stay Wolcott . price reasonable location , 31st street 5th avenue . hotel bit old , room clean . notice process renovation . front desk altogether helpful , allow we check early . also pay storage locker checkout . would stay . 
 Oct 21 2006 	 Centre metropolis 	 Hotel Wolcott great location . our room view Empire State Building . Close Herald Square Times Square , great shopping . Old Navy , Modells Sports , Macys yard away . hotel basic clean , comfortable bed tv get second . Muffins tea / coffee foyer great deli around corner Dunkin ' donut corner . ice downstair drawback . great position Midtown , much see . 
 Oct 18 2006 	 Excellent value money 	 stay Wolcott Oct 12 - 16 . excellent value money : 160 usd per night twin room CarlsonWagonlit Travel . location excellent , right 5th avenue near empire state building . beautiful lobby , decent room ( super modern clean big , clean bathroom ) . check -- -.french visitor NYC 
 Oct 16 2006 	 situate good area 	 room hotel magnificent comfortable enough . good point include : big tv , spacious bed ( stay double ) situate Empire State Building . believe muffins coffee also serve morning , one full day NY want try bagel shop across street ! staff friendly enough . bad point : stay honeymoon would not reccommend purpose , unless budget . even , honeymoon would pick somewhere else . also , generator outside make alot noise throughout night . Overall- bad 's NYC baby ! - treat somewhere nice . 
