really 	 room spacious although feel bit impersonal 'cause be big , staff make really friendly helpful . desk staff excellent move we room look across hudson ( ? ) river . the location poor , get pricey cab subway times square ( rubbish ) central park ( nice ) area . got good deal hotwire feel decent value choice . 
 Bad 	 family - wife , three boy ( 11 , 8 & amp ; 5 ) - New York Thanksgiving . choose Embassy Suites familiar chain ( ' ve stay hotel Washington DC Monteray Bay ) , frankly , not many hotel comfortably accommodate family five one room . the NYC version Embassy Suites pretty hope . familiar brand , know gig . big room ( well , two actually ) , decent breakfast , free drink evening . promise . on hotel particular , not find room especially date , comment review . find matress bit soft - design simply age ' m sure . not make great night 's sleep . as location , think fine . 's good base Brooklyn ferry south island . 's brisk five minute walk underground , rapid transit midtown attraction . not lazy - need five minute walk comprehensive breakfast ! 
 far can not deliver promise room 	 main reason stay Embassy Suites allegedly offer suite two double bed , mean family two teen fit - save price second room . ( otherwise , hotel end Manhattan , be 25 dollar taxi fare mid - town ) .However , work we first two time stay Embassy Suites Manhattan , past two stay two - bed reservation turn King size bed cot - & quot ; go somewhere else be happy . & quot ; , cot freeze cold flimsy blanket , especially place next window . breakfast buffet ok mob . stand line food , fight table . even table , hostess may try remove chair get coffee , happen we - even though daughter still table . protest , however mildly , might invite torrent sarcasm , protest ( & quot ; Excuse , chair & quot ; ) . much hospitality - problem ? ? ? ? business center : two day row , wait behind bunch kid work .... ' m sure business work . lots kid though , ' ve got wait . suite need work - lamp without knob turn , mildew bathtub , bent towel rack hide towel fall toilet reach , rack bent ..... , get two bed desk , might worth . bring lot patience buffet business center . otherwise , look mid - town . . 
 Jul 8 2007 	 Excellent ! 	 modern fresh hotel locate downtown . location , albeit far midtown , accessible subway . subway station far ( contrary review ) - five minute walk alongside Ground Zero Vesey / Chambers Street station . , $ 2 get anywhere New York ! breakfast however need big overhaul . 400 room hotel lead huge queue breakfast . something needs do try alleviate queue selection food excellent ... 's queue problem . area use breakfast Manager 's Reception little small side . there pool hotel , although large gym use hotel guest . plenty computer lobby business centre internet access etc . room airy refreshing , although fridge food item hotel minibar take space . minibar way complex ( will see get ! ! ) safe little small awkward get ( underneath fridge ) .Overall though , pleased hotel would recommend ! 
 Jul 5 2007 	 highly recommend even bit walk subway 	 really research hotel , rely site lot ! never write review though Embassy deserve lot good press ! stay Embassy 's , great family thiswa well , term service location . quiet , even inNYC , right near WTC site , mean little long subway stop still , hotel Manhattan , worth 5 - 10 minute walk subway . Taxi 's always , , use airport theatre night . free breakfast big saving , esp . NYC , manager 's reception really nice long day tourism go back fordinner show . actually welcome away hustle Time Square , etc , time return beautiful view ofthe Hudson River . doubt many leave , build across hotel , ask one recievedthe upgrade , extra charge . give kind service fromeveryone , yes , line freebie , whatdoyouexpect free ? figure good time go breakfast drink able take advantage frequently . Airweb site get eticket leave concierge service early check , bag storage ! room fine , even sofabe comfortable . complaint charge bill minibar not use anything , tell happen movement ? promise remove will see . overall , highly recommend property ! even get see firework fourth ! 
 Jul 1 2007 	 hotel good family teen 	 two teen boy stay hotel end June , 07 . hotel room big , 2 bed 1 sofa bed good enough we . full breakfast bargain grow - up boy . breakfast wait line long , boy take order whole familiy line , bad . trip tip : want guide tour inside Statue Liberty , reserve ferry ticket & amp ; Monument access online must ( circlelinedowntown.com ) . want save money time , wear sneaker , hat bring water bottel , & quot ; walk NYC & quot ; . hotel far away subway station . 
 Jun 26 2007 	 nice ! 	 everything nice . hotel great part city . nice view Hudson -- could even see Ellis Island Statue Liberty . be great run track across street extend several mile along river . staff courteous attentive . room spacious , clean , well - appoint . will definitely stay . 
 Jun 26 2007 	 Mixed Review 	 Service hotel excellent ! tia check - wonderful helpful . soon get room , call come guest service see room everything expect . hour later , complementary bottle water deliver . day 2 food beverage manager call blue , see anything could . every person associate hotel professional , friendly , helpful , etc . room clean , bathroom large NYC standard , great separate roomfor son ... ( choose hotel know take chance try area not familiar ) problem location - might well New Jersey instead look across Hudson ! ( spoil convienence everything mid town location - subway every corner , close theater , food ) . nearest subway good 10 - 15 minute walk ! ( fast hoofer ) . not many subway stop general either area . never feel like could get grip get subway go . ( thought know sub system well trip ) . close subway important , hotel . can not imagine winter rain - would make one miserable trip . want peace quiet , neighborhood setting , impecable service , not mind far away - would love hotel . guess new experience get comfort zone try something diffferent next time back mid - town ! ! ! ! ! ! 
 Jun 26 2007 	 fantastic place stay 	 can not say enough great thing hotel . wonderful stay , room fantastic , service fantastic staff wonderful . make trip New York fantastic . highly recommend . 
 Jun 25 2007 	 reliable practical clean 	 stay 5 night end May / early June 2007 . 5th stay last 5 year . stay husband , accompany business trip admit not pay hotel bill , , stay NYC hotel year , would happily pay money . good feature good location need business district , fine public transport . subway connection improve soon gradually open closed subway line Chambers St / WTC station close owe 9/11 . however , want visit tribeca , Chelsea , Times Sq / theatreland towards upper w side , use M20 bus outside door ! also use free downtown alliance minibus Staten ferry ( also free ) street seaport area . the well feature hotel include relatively quiet location , especially evening , well free breakfast city FREE cocktail ' hour ' , good selection convenient family / chain eatery around hotel across street WFC complex , pleasant helpful check - in / concierge / bell staff ( rare NYC ) surprisingly large room . the less ideal feature include noise nowadays day building work go side room kit need upgrading - showerhead need descaling replace , lamp not always work bit look tired . sad feature disappear view . first visit , hotel surround open space give far well view , depend way room face Hudson river Ground Zero . go ever ! still good base see city . 
 Jun 25 2007 	 2 year - old love ! 	 stay 3 night Embassy Suites love ! 2 year - old skeptical take Big City , butwe excited find 2 really nice , new playground within walk distance hotel - complete toy , sand , climb structure sprinkler . view river harbor wereawesome Statue Liberty distance . World Financial Center ( across street ) several restaurant inside along waterfront great sunset dining . be also Eckerds inside WFC need anything . Bagel shop justdownstair excellent sandwich well . walk tribeca easy always find family friendly restaurant like Kichenette Diner . part town become place live withkid . find subway ride Rockefeller / Theater district pretty easy . taxi back downtown take long time rush hour subway fast . Saturday walk way Canal Street back hotel . hotel lose lot riverview new condo go across street that'sok . hotel view NYC usually alley way anyway don'tspend much time room except shower sleep hotel also good . comfy bed pillow low street noise . almost honking area - ha ! far breakfast go ... not problem . 7:30amand Sunday morning line leave 8:30am . early riser kid not problem . another writer state , always grab breakfast Bagel shop downstairs not like crowd . bowl apple lobby hit kid ! can not wait come back ! Tina Dallas 
 Jun 24 2007 	 fantastic experience 	 long 7 hour trip ( seatback tvs ! ) happy soon check lead room straight away . this second time daughter hotel aboslutely love it . the room spacious ( be two room suite modern well equip bathroom ) everything work . problem room . bedroom two double bed big tv along large wardrobe nice dressing table . living room also consist big tv along one comfortable sofa double sofa bed . dining table , armchair small kitchen counter sink , microwave mini fridge ( free ! ) one word advice , take anything mini fridge even look . sensor automatically send reception telling ' ve purchase . make mistake twice ! ring reception take bill question ask . room cleaning come every day towel floor mean want change . still hanging mean could use another day . one thing say really enjoy hotel breakfast . bed breakfast meal serve free . wide range choice really set we long day shopping . include make order pancake omlette range filling , cereal , fruit , continental breakfast , yogurt hot food egg , bacon , grit etc . as well delicious breakfast ' also manager special every evening 6 - 8 serve free snack free drink bar . snack range nachos popcorn mini pretzal . the hotel quite far away local shop around manhatten always taxis outside ready take around . nearest subway 10 - 20 minute walk away - last thing want long day shopping load bag ! taxi 's come handy . however work quite expensive . the hotel right next Ground Zero , something pass want visit Century 21 . 's emotional walking see empty space building use be . Embassy Suites locate financial district right opposite Hudson river . beautiful view one window . below hotel restaurant eat also cinema want night time entertainment . however , try go bit restaurant . first night go restaurant quite press outside . turn Angelina Jolie hold birthday party next door . see quite celebs go night ! would recommend go Canal street good bag accessory . also Century 21 , take excursion outlet New Jersey . well worth it . one bad thing hotel would say 12 pm check . night flight room 12 find something rest day flight . however , keep bag safe upon return . this hotel clean , beautiful free internet reception . really enjoy stay definitely return ! ! 
 Jun 22 2007 	 peaceful 	 Nice hotel . room spacious extremely quiet high floor . check - in litte slow could improve . 
 Jun 2 2007 	 great family 	 stay Embassy Suite Hotel 13 year old daughter friend . room clean good size plenty storage clothe etc . subway 10 minute walk hotel , take 15 minute get Times Square etc . taxi available time outside hotel . variety good place eat within couple minute walk . hotel staff friendly helpful . beware long queue breakfast unless arrive early - well worth look notice post around hotel give great advice . daily complimentary ' cocktail ' ' nibble ' nice touch , also soft drink available kid . we find great away hustle bustle Times Square night be busy night life may right hotel you . we would definitely recommend hotel family kid age would return without hesitation even not children we . ask room harbour view - something special able see Statue Liberty hotel window ! 
 May 31 2007 	 treat like Queens 	 go New York girl weekend May 17th 21st . get room 2 double . 2 girl sleep bedroom one bed 2 sleep pull sleeper sofa queen size . room clean cleaning staff great job everyday leave extra towel request . thank keni great check process , kindest helpful need , go get . 3 we New York stay Midtown really enjoy location time . 's alot quieter water relax . unusal look beautilful garden across street . room look Vessy St 10th floor . not hear traffic noise kind . breakfast great never problem , busy line move fast never problem get table sit . happy hour great , make kind drink munchie great . run coupon drink sweet talk check desk ' m sure will get without problem . actually save alot money eat drink hotel . marion work happy hour helpful us 2 we go see could get tray take drink food back room get ready go see & quot ; RENT & quot ; . next day even come ask play . take subway day problem , really far walk take cab night . cab ride Times Square $ 15.00 tip . night leave ask get airport , Keni desk clerk ask leave flight not till supper time give we late check not rush room noon . next day get we black SUV airport $ 60.00 thought not bad cab would least $ 50.00 need extra room luggage alot shopping . great time would without doubt stay ... Thank Embassy Suites great holiday ... 
 May 29 2007 	 BEST HOTEL NEW YORK 	 travel New York , first decission make stay . second trip New York , answer easy , Embassy Suites , New York financial district . list follow highlights:1 . location . get Times Square three option . Taxi , $ 15.00 , bus subway , $ 7.00 day . day travel times square play shopping . number 20 bus stop door hotel twenty minute ride thru tribecca . play , catch 20 bus time square safe easy ride back . get door hotel . subway little hard 10 minute walk subway station . buy pass multi day need . 2 . hotel hotel excellent . quiet , clean breakfast good . expect line later eat , remember , free , get upset . bellman hotel good . transportation airport cruise dock , let know one hour advance limo price cab . check fine delivery luggage room prompt . construction around hotel , wake needed get . mexican restraunt hotel good . also bakery late night snack . in conclusion , hotel nice look stay nice trip . 
 May 29 2007 	 Fantastic Hotel 	 boyfriend stay Embassy Suites New York five night December 2006 . totally recommend hotel anyone , fabulous . visit particulary special boyfriend pop question accept ! moment arrive love . arrive quite late hotel even get cab bag take hotel ! check efficient friendly . the suite lovely spacious . 7th floor view Hudson . yes view somewhat obstruct building go opposite hotel , still great view . get great pic hudson window . Breakfast include excellent . many option choose . queue long day not matter move fairly quickly . also get drink voucher manager 's reception evening snack munch another add bonus . manager 's reception around 7 pm bar close , pity drink want stay ! another bar though ( Chevys ) .We little concerned Embassy Suites far away main busy area Times Square , fact way well stay busy place . subway less 10 minute walk hotel get metrocards great saver , highly recommend ! plenty shop restuarant near Embassy Suites check ( Century 21 particular ! ) . go Little Italy totally agree previous posting tacky totally honest dodgy ! also recommend take horse draw carriage ride around central park , get see main part not take long short time . overall , find hotel brilliant would highly recommend future vistor . 
 May 21 2007 	 Great Family Hotel NYC 	 former New York City resident actually live Battery Park City . know love area New York City . Battery Park City locate low tip Manhattan close financial district actually seperate West Side Highway . residential area sort & quot ; secluded & quot ; 's location not invite many people live area . now , plus minus , depend perspective . we , be big plus . stay BPC , probably need take cab ride destination , although anywhere NYC , opt public transportation . this contrast option staying say , hotel locate Midtown , literally walk hotel major sightseeing , shop dining . the tradeoff two sort peaceful seclusion ( , far anyplace NYC consider secluded ) convenient location albeit sort hustle bustle atmosphere . Embassy Suites Hotel excellent choice think would prefer sort & quot ; peaceful & quot ; choice , not mind bit away action . hotel clean room extremely large . travel two boy perfect we . sit area couch fold sleep two . hotel serve buffet breakfast really great spread boy look forward stay . also mexican chain restaurant locate hotel , never eat . movie theatre ( clean modern ) right outside hotel . there also several restaurant locate close also World FInancial Center ( walk distance ) . hotel also across street World Trade Center site . downtown Manhattan , walk financial district well myriad small museum place interest . although many great store place shop , downtown place shop NYC . one negative , always , poor job valet parking . anyone stay , use valet reading review shake head say & quot ; Yep , know exactly talking & quot ; . take forever get car stay many year still can not get right . overall , would highly recommend hotel family visit New York City . think size room , rate , great area offset downside experience Midtown . 
 May 19 2007 	 Great Hotel 	 return holiday Embassy Suites think wonderful . time check , friendly check ever come across New York , thank Tia . explain want smoking room none available sea view offer we non smoking sea view want . yes build work around bother we get wonderful view go lift 15th floor . suppose building work , would see difference fine . long spend anyway look hotel window ? staff excellent door man cleaner , room spotless lounge make difference . we problem room safe fix even send bottle wine problem . problem let know fix it . breakfast amazing yes busy weekend problem get exactly want . no problem get subway free bus Pier 17 . staff happy answer question subway 10 minute away . Loads downtown lovely walk along river . thank Embassy Suites . 
 may 16 2007 	 Embassy Suites - great business location Downtown 	 one night stay Embassy Suites location - business downtown World Financial Centre downtown location , choose property due 's location nice room spread in . I receive corner king bed suite - large spacious . full dining table 6 , couch , sit chair , sink , microwave oven , large bedroom king size bed . I think bathroom decor fixture could fancier - clean decent - expect high level furnishing . the bed comfortable couch . storage / closet / clothing space good would adequate extended trip even family four . the room open walkway concept tall atrium hotel feel open invite nice view Hudson River front atrium . Vesey Street side property construction noise 6 am ( hotel 's fault ) .I would stay property especially downtown business purpose . think would work great tourist unless keen near River Promenade , 1/2/3 subway line west side downtown attraction . 
 May 13 2007 	 New York Gem 	 return second stay ES NYC . 's great hotel great location river away frenetic atmosphere uptown . suite overlook Hudson - Room 726 - great view , although be narrow since last visit due building site opposite . one behind well would ask front view room site nearly finish . Decor cleanliness spot bed sooo comfortable . breakfast evening reception great ever real queue speak . staff ES excellent could really single anyone particular helpful . area roundabout safe many cop duty ( unlike London ) . good eat place Applebee 's ( downstairs ) Heartland Brewery South Street Seaport - excellent house beer NY Steak world ! advice avoid Little Italy tacky rip . not see Mamma Mia - get ticket go ! also get metrocard excellent value . finally New Yorkers amongst friendliest people States ... town ! 
 may 9 2007 	 Great City 	 love getting go big Apple . although business trip give enough time see favorite stop . driver pick LGR , bear Alabama , . said bear 1940 leave NYC boy , bring smile talk someone remind childhood . upon arrival early arrival , 1:30pm . receptionist inform room not ready . not eat lunch . quick check bag . tell Chevy 's ( texmex ) , get great lunch couple beer . upon completion meal , room ready . room riverview , also room large expect . able seperate bedroom sit room bathroom . like , especially someone maybe work watch another show tv . room decor expect , ritzy , stylish . great water pressure accomidate bathroom . bed FANTASTIC . come 90 degree weather upper 40 's feel great night . love sleep window open , window small fold bottom . cool weather sound city make nite wonderful . note review long way traditional travel spot NYC . area make comeback , tribeca ( sp ) film festival go area . Freedom Towers get start complete . hotel along New York Marriott Finacial Center Hotel ( nice hotel , ) imagine stay book . 
 may 7 2007 	 welcome home ! 	 first trip back New York since leave States 2005 - birthday weekend , lot live to . Picked Embassy Suites different kind New York experience - absolutely need get suck tourist trap Times Square & amp ; Midtown . quite happy close water - front , shop mecca Century 21.reception Embassy Suites welcome , especially discover ex - new Yorkers . suite suitably large , king bedroom separate sitting room , plenty space spread luggage , make right home . with plenty see NYC , not time avail manager 's drink evening , manage fit all - you - can - eat breakfast morning . day fight beat queue , work good time go , not problem . with free internet lobby , efficient concierge service , could fault amenity . suppose location may problem ( bit walk nearest subway , construction zone downtown Manhattan post-9/11 ) , know way around NYC , be issue all . and , yes , great back City never Sleeps ! 
 May 6 2007 	 Heaven ! 	 ' m almost afraid say incredibly fabulous hotel , want give staff due . wonderful , wonderful desk staff , fantastically clean room , amazing view , one good breakfast ' ve anywhere . if be interested mid - town fun , long , long way . easy metro prefer cab , will cost fifteen buck Chelsea Union Square . but love . 
 Apr 22 2007 	 Family 4 spoil Rotten ES ! 	 Family four stay Embassy Suites , NYC April 14 - 20 King suite ; boy sleep sleeper sofa living room . great hotel -- suite arrangement , free breakfast , free happy hour / drink / snack , free internet downstairs pc lobby . linen clean crisp ; pillow & amp ; towel plentiful ; decor contemporary tasteful ; room comfortable fresh . bathroom large nice amenity . Vanity table / mirror bedroom make easy mom dry hair morning someone else use bathroom . likewise , & quot ; bar & quot ; sink little kitchen area great place one kid brush tooth bathroom use . request empty refrigerator room know would food put know mini - bar would fully stock empty room . arrive day & quot ; storm season & quot ; hit nice find full - size umbrella room . 7th floor , directly -- mean DIRECTLY ! -- across construction site , fun ! noise not bother we , hotel must well insulate . interesting wake morning see work happen 7th floor building across street . take lot photo construction worker ( nerve steel ! ) -- even pose we . come back room end day could see progress make . breakfast ok -- crowd Sunday , manageable week . would help provide cafeteria - style tray carry plate , silverware , coffee cup rather make multiple trip to / from table food area . menu every morning : make - to - order omelet , pancake ( choc chip & amp ; regular ) ; scramble egg , bacon , sausage warming tray ; toast , english muffin , bagel , muffin , sweet roll , cereal ( though granola high - fiber selection ) , yogurt , melon slice , grape , apple , banana , juice ( orange , cranberry , grapefruit ) , coffee , tea , milk , hot chocolate . one day scramble egg warming tray not look good , omelet cook make fresh . can not beat price , though : free . figured would pay $ 50 + four we comporable breakfast every morning diner , alone make Embassy Suites great value . Free Happy Hour / Manager 's Reception : drink ( drink coupon indicate beer & amp ; wine , seem entire selection liquor could make almost anything , include Manhattans , tequila sunrise , margarita , cosmopolitan ) , soft drink & amp ; juice , nachos , cheese square , carrot , celery , tortilla chip , party snack mix , popcorn . our room quite far bank elevator , request room close elevator not want walk . not notice noise guest ; lot family lot business traveler . staff pleasant helpful ; housekeeper greet we smile good morning pass hallway . hotel 10 - minute walk subway stop ; walk past WTC site every day . though concerned remote location night , not bad . across street World Financial Center shop , restaurant , drug store , office . 's Chevy 's restaurant accessible inside Embassy Suites , bagel place good pizza place part build Embassy Suites , go outside around corner get . area large interesting mix business new residential . close Tribeca , seem upscale neighborhood professional people young family . see lot kid stroller even group old boy play baseball neighborhood ballpark . several & quot ; park & quot ; -- green area flower , play look . two child 's playground along waterfront , also pretty walk nice path . feel safe secure entire time -- never felt threaten worried safety . lot people walk around dark . Embassy Suites not disappoint . sad leave -- spend last night vacation another suite - brand hotel Long Island visit family . definitely spoil time Embassy Suites ; nothing wrong Long Island hotel , follow stay ES , pale comparison . will stay Embassy Suites return city kid . 
 Apr 18 2007 	 horrible Customer Service - Please read 	 hotel nice great location . stay average business trip . room nice size keep well . on - site restaurant vary generally good . say , customer service front desk totally sully experience prevent ever book room . company twice send correct paperwork Embassy Suites prepay room . check , ask see ID major credit card . think case add bill ( movie , room service , etc . ) . check , clerk ask credit card put charge . asking & quot ; credit card & quot ; indicate two credit card file . question room pay say indication prior arrangement make . tell charge let make phone call . say : late . charge credit card xxxx last four digit . & quot ; personal credit card . ask reverse charge let make call . say could not say would fill form get transaction reverse . ask manager duty . even less helpful . long story short , Embassy Suites charge company . double CHARGED ! ! ! since straighten American Express company . avoid cost ... double - cost . : ) 
 Apr 15 2007 	 nice hotel 	 first timer New York find people rude unhelpful . first walk Embassy Suites fairly impressed . people front desk friendly service bit unorganised . book suite 4 night arrival tell would move room 1 night another suite due renovation top floor . not move immediately not tell . make however bottle champagne fruit basket , especially bag move promise . rest hotel nice . breakfast include free drink voucher night go well . mexican restaurant attach hotel good . hotel situate next Ground Zero water front . finally , want nice big Sudan car drive , ask guy door Concierge , quite difference price ! 
 Apr 14 2007 	 nickel - and - Dime web site misleading 	 hotel ok . , BEWARE , nickel dime death web site mislead , edge outright lie fee . we charge $ 55 valet parking start , may make sense NYC seem awfully steep we . then , charge we $ 75 NON - refundable fee dog , web site state $ 75 & quot ; deposit & quot ; . rediculous , consider dog weigh 14 pound could not $ 75 worth damage want to . then , charge we $ 10 / day internet , though web site imply include room . needless say , avoid Embassy Suites . stay normal hotel forgone suite , would cost we $ 200 versus $ 500 one night . 
 Apr 10 2007 	 Perfect Shopping Trip / Birthday Doo 	 Tia , Hotel receptionist warm & amp ; friendly greet we arrival . give we good start shopping / birthday celebration adventure possible . tia preview standard care & amp ; attention would receive WHOLE stay . Adam Concierge book Helicopter flight , Sex & amp ; City Tour & amp ; Woodbury Common Shopping Outlet trip , Donald Barman mixed margaritas night Managers Reception ( free drink ) perfect HOTEL . room viewto eat , could want breakfast DSW ( Discount Shoe Warehouse locate within Hotel Ladies ! ! ! ) along cinema & amp ; various eatery & amp ; bar wonder leave hotel go shopping . shop via hop e train subway mere 5 - 10 minute walk ( 2 block ) safe & amp ; easy navigate reception give simple map arrival . 10 minute ride later disembark 5th Avenue ( perfect ) . Shopped till drop take cab back ( $ 15 average one time ) . shopping manage squeeze & amp ; TC Tour , Helicopter flight trip Woodbury Common miss . already plan return , afraid book another hotel case not live high standard experience Embassy Suites . thank Manchester UK 
 Apr 7 2007 	 hotel still fantastic .... 	 stay Embassy five night March , come St Paddy ' day second time stay , previous 2005 . place ' change , still excellent . stay add bonus foot snow make whole area absolutory beautiful , also demonstrate road sidewalk manage even bad storm . within hour path clear Embassy staff clear road outside . change since last stay , mainly construction large building right front hotel . shame view describe panoramic beauty ( see last post photo ) , however request river view room exactly get room front irish memorial still enjoy fantastic view Hudson . ' know view would think fabulous , course be … change other mention breakfast manager reception do voucher basis , guest two drink per night breakfast voucher per night stay . first disappoint however will not hotel every night honest ' get . soft drink snack free voucher require . the hotel Applebee ' Chevy ' site eat , Applebee ' ok , nothing special – normal fare think little pricey . love Chevy ' food excellent lady huge frozen margarita must . ' good big one Time Square convenience room match . also hotel massive DSW ( Designer Shoe Warehouse ) , place great . manage buy three pair Sketchers fifth UK price , lose track many pair shoe wife buy … ! place complex hotel ( literally house , escalator hotel foyer ) add benefit stay here . there also bagel place site , maybe day buy couple wrap describe disgusting , shame really bad food entire stay look like go great . as far get Embassy arrive JFK take cab - fare set $ 45 plus toll tip ' cost $ 60 generous tip . organise return car concierge . ' guy help mate hotel arrangement good company provide fix rate service . horrendous experience get airport last time company great cost $ 70 in . the concierge extremely helpful staff , question ask . six pc ' lobby also little shop price well , especially compare minibar ! tip – vend machine can soda etc every floor .. $ 1.25 machine $ 2.50 minibar . there several subway station within easy walk , would say people would take 10 minute reach benefit stay downtown great night sleep away noise city . be careful cab , especially USA , honest ok fair try take roundabout tour city , go Chambers street 7th fare cost around $ 11 get Times Square – guy try take we East river drive trying charge $ 20 plus . also ' expect driver know go , New York unlike London cabby ' pass knowledge first . ' know location want get , ask doorman concierge first . as probably tell , love hotel .. clean , friendly , room huge modern , bed massive comfortable , get nice touch robe , toiletry free paper every day … ' wait come back great hotel New York , good city world . 
 Apr 2 2007 	 overall great stay couple thing note 	 stay Embassy Suites New York three night March 10 - March 13 two daughter ( 11 14 ) . overall wonderful stay . staff friendly provide excellent service . hotel aesthetically appealing . wonderful public space include lobby area breakfast evening cocktail serve . room comfortable contemporary furnishing . originally assign small suite river side move corner suite could accommodate rollaway . front desk helpful . room look construction also upclose view former world trade center site . many positive hotel outweigh slight negative try list here.positive : decor appeal contemporary feel , bed comfortable , buffet breakfast ( include rate ) good ( although crowded little chaotic 9 a.m. ) , also good option across street , evening cocktail reception - also complimentary well expect , nibble good , stunning view main hallway , close subway ( 5 minute walk ) pretty accessible get SOHO , East Village , Greenwich Village Union Square ( trip end go far 34th ) , walk along promenade breathtake wonderful place run . Financial Trade Center building next door interesting place grab quick bite closed weekend . neighborhood fairly quiet night good bad . movie theatre attach , convenient . gym New York Sports Club far exceed expectation - wonderful access actual gym without additional fee . negative : refrigerator minibar , park extremely pricey ( $ 55 per night . ) maybe expect nyc ? , concierge desk always crowd , although overall hotel quiet ( especially vault atrium ) , neighbor alarm wake we 7 a.m. two morning could also hear neighbor shower toilet quite clearly , hear voice television . problem construction noise . really love area hotel comfortable . would definitely return . interested Battery park area wonderful place stay . feel different nyc visit stay upper east side mid - town . definitely travel neighborhood evening dinner quick subway ride $ 7 - $ 10 cab ride . 
 Apr 2 2007 	 hotel SOLID 5 ! 	 & quot ; girl & quot ; weekend past weekend . hotel awesome ! great bargain , everything get . mention , clean decorate nicely ! entire staff friendly / helpful / professional . room large New York standard . breakfast buffet complimentary cocktail , good value . close Statue Liberty nice beat path ! can not wait stay ! 
 Mar 29 2007 	 Great Hotel 	 stay Embassy 4 night Feb 2007 . suite good size , bedroom , seperate lounge sofa bed , dining table chair . furnishing good quality modern . free breakfast nice touch actually ok - go pancake make fresh wait ! free internet lobby excellent - not need queue 6 terminal . hotel modern , large quiet area . not notice noise construction work nearby . lovely view Hudson & amp ; Jersey skyline real retreat hustle bustle midtown . 5 minute walk subway , Century 21 & amp ; Ground Zero approx $ 12 cab fare Times Square . walk distance tribeca . we can not fault Embassy would hesitate stay visit next year ! 
 Mar 26 2007 	 Free Breakfast drink House ! 	 stay several day February 2007 Queen Bed Suite SE corner building . couple thing know place . there construction project right next door east side building right . morning rough plan sleep . be weekday , might want ask move another side building . early bird not much issue , could imagine bother people enough wake up . Travelers TripAdvisor also state long ocean view room . not one room , say make sense . many tall building right next , not think 's worth extra money get room . despite , suite , pretty hard come NYC , especially price offering . party 4 give 4 voucher per day stay , voucher 3 coupon , 2 alcoholic drink 1 free breakfast . evening reception ( free drink ) quite busy , know might line . still , be free nothing beat free drink . if luggage NY Penn Station anywhere else , consider take taxi instead subway form mass transportation . walk Subway station hotel hassle , even bad heavy bag carry around . sure ask concierge Manhattan Bus Subway map . # 20 bus run right front hotel take quite often Time Square area . hope information help . great time NYC ! 
 Mar 25 2007 	 good buy NY 	 hotel great . huge room , free evening cocktail good breakfast NY . 's good location walk place not know city rely subway taxi . staff friendly . price reasonable NY . 
 Mar 24 2007 	 Pretty Nice Place Stay - would stay 	 stay hotel unexpectedly flight New York cancel due snow unable get room Millenium Hilton . hotel quite new decor furnishing new good shape . room present typical Embassy Suites set - up sitting room divide kitchen bathroom bedroom . window bedroom , unlike old Embassy Suites hotel , wall bedroom living room make glass , light outside actually make way living room . bedroom furniture actually pretty unique ( good way ) , overall , really pleasant place stay night . give almost half price Millenium Hilton street , might worth return visit . problem hotel noise room next door . sound group teenager room next door go bed night . wall must well insulate , could hear talk carry even watch television . want go sleep , noise get little annoying . one thing - hotel little beat path 's much around . 
 Mar 20 2007 	 48 hour NYC 	 spend 48 hour NYC return home yesterday . Embassy Suites lovely hotel . breakfast , manager reception , suite .. everything fantastic . concierge accomodate info give quite accurate . downside stay hotel distance Broadway . NYC see 3 Broadway show spend lot money time taxis . subway good 10 minute walk hotel . area seem lonely night time take taxi back show time . 
 Mar 5 2007 	 CLEAN Beautiful 	 stay hotel March 3 one night wish could stay long . room beautiful , importantly CLEAN ! ' m hestitant staying hotel NYC due cleanliness , hotel amazing . could get clean , fresh , beautiful everything . HIGHLY RECOMMEND HOTEL . 
 Feb 26 2007 	 Great Stay 	 great stay 8 night span 5th anniversary 9/11 . imagine hotel surrounding move actual day . hotel great - agree positive review . can not help feel place lose popularity condo construction block view.of river - love . staff friendly helpful efficient . flaw leave sit wait Limo sit along street - have direct concierge - not come tell we despite fact tell inside company pick we . not suppose not book thru ? ! really enjoy come back busy day get vacation feel sit one restaurant around nearby Marina . if like wee friendly Bar try 17 Murray Murray St - way back subway ! 
