great 	 arrive Hotel early afternoon decide move previously book Hotel . staff great find we room 19th Floor view Nob Hill partly Bay . rate good value include Executive Lounge access 2 day . the public area ground floor large well furnished . our room King large certainly adequate , view mention quite good downtown San Francisco . room well furnish , almost new , clean smallish bathroom . suffer somewhat noise room , bathroom anything go bedroom . the whole Hotel seem well adapt 4 star accomodation . every member Staff come across warm helpful , Bar Staff , Door Staff Reception Staff . the Hotel 5 min walk Union Square , one block away corner Powell Street , therefore easy access Cable Cars . could walk Market Street Trolley bus 15 min easy . never use Bart say far be . we dinner Hotel , try breakfast Executive lounge find Lori 's Diner opposite side Powell Street preferred choice . I know not pay Exec Lounge , probably good job , stay many similar Hotels Marriott chain chain , find Executive lounge poor value . open breakfast evening , yes get access computer internet free ( internet otherwise quite expensive ) , breakfast complimentry wonderful selection available , evening snack small size small quantity yes could free soft drink coffee glass wine come cost $ 8 per glass . we use bar evening , quite unusually , seem relax great attentive staff . there parking valet parking available hotel not use , not know cost . overall , excellant , 4 star accommodation good rate close popular part San Francisco . to get airport end stay , private limo hire ( Town Car , call ) $ 38 plus tip . take 30 min . 
 Jan 20 2008 	 New Name New Ownership New Issues ... 	 Crowne Plaza sell hotel know & quot ; Hotel 480 & quot ; . stay change 5 day change , comparison favorable new ownership . location LOCATION LOCATIONBefore go let us state obvious . beat location hotel , regardless own name paint outside . locate one block north Union Square , right cable car line ample public ( read - much cheap hotel parking ) within block - visitor city appreciate central location . park car arrival absolutely need use whole week departure . now good news . , , Hopefully 's pain transition cause service issue say majority negative stay associated service . trouble housekeep open door clearly identify & quot ; Disturb & quot ; , phone call engineer 6 am problem never report , etc . MacWorld select hotel claim free internet access conference attendee - . may problem MacWorld folk though . connect internet & quot ; broadband & quot ; - be well take chance modem . internet access terrible tremendous need upgrade . onsite restaurant outrageously overprice even Union Square . recommend Lori 's across street reasonable ( although gourmet still good ) breakfast lunch . be hope sad state hallway 9th floor due intend / schedule remodeling - condition floor anything $ 199 night hotel proud regardless 's location . minor issue like tv continually shut overlook not $ 199 night price . speak tv - small tv provide kind strange consider major hotel upgrade flat screen large model . having say - hope hotel get together may try one two night stay future see thing improve . would waste hotel great location enthusiastic staff hamper lack infrastructure maintenance management . so have interested see future review Trip Advisor folk state hotel transition . 
 Jan 20 2008 	 Hotel 480 - Great Union Square Location 	 stay Hotel 480 late December booking overnight stay use Priceline . think use Crowne Plaza banner say Hotel 480 . get impression be still undergo remodel , sure . first , location great . right across Sir Francis Drake , Disney Store Borders . lobby nice clean look like be go recent transformation . step elevator onto floor , tell upper floor remodel . decor halls room expect lobby . assume still renovate . mostly clean comfortable appropriate need place sleep . staff nice one big drawback parking . valet have check Sunday wait 45 minute get car . try call valet desk advance could not get , go . obvious short staff , kind disorganized aplogetic . somewhat frustrating appear people turn ticket get car mine . one gentleman wait much long though . this could go holiday weekend though . 
 Jan 19 2008 	 convenient location great customer service 	 book hotel priceline . little wary first since could find review hotel , later realize call Hotel 480 actually former Crowne Plaza Union Square . first , hotel clean staff pleasant . even call beforehand confirm reservation , front desk helpful willing note room preference . usually , book hotel use Priceline , get lot & quot ; leave get & quot ; type response , hotel . pleasant , efficient service continue check person . guest even automatically ask name , case lose key need get in . room - honor request put we 20th floor nice view . window span wall give expansive , airy feel . room cozy , clean tastefully decorate . get king bed rather comfortable - not good bed ' ve sleep , bad . there couple annoyance , however . first , valet parking $ 43 + 14 % tax ( almost 50 ! ) absurd . second night , find local garage park $ 26 overnight . secondly , internet service room restrict wire . normally would fine , gf work use separate computer . without wireless , could not time . all , hotel great , beat many 4 star ' ve stay , well worth ( especially give low fare find use priceline ) . definitely recommend . 
 Nov 24 2007 	 Great Union Square Hotel Choice 	 Crowne Plaza , Union Square , San Francisco . extremely pleased recent two night stay . Room nicely appoint , well maintain , clean . directly Powell Street Cable Car line - rather steep two block walk California Street Cable line . walk everything Union Square- well Moscone . be block fron Chinatown Gate Grant St. Pricey breakfast buffet well worth expense- top good everything : fruit , pastry , yogurt , artisan cheese , cake , breads- mention cook order item . service nothing short exceptional . evening walk nearby pub enjoy drink two . still need mindful & quot ; street people & quot ; neighborhood , especially night , overall- will not go wrong . 
 Nov 23 2007 	 excellent - great location 	 really happy stay , want stay another night ! great location , step hotel block away union square . definately stay 
 Nov 20 2007 	 enjoy stay 	 stay one night staff nice room nice clean . bed comfortable front desk helpful direction . close everything downtown . would definately stay . 
 Nov 15 2007 	 great place stay 	 stay four night trip USA . reiterate other ' comment . great location next Union Square great place base trip San Fran . good rate room exec floor breakfast . huge room extremely comfortable bed . very good value money ! 
 Oct 30 2007 	 private yet stone throw Union Square 	 small hotel , room great seo close Union Square ! ball 2 room Hotwire $ 55 night taxis . would stay minute ! 
 Oct 16 2007 	 great hotel great location 	 stay Crowne Plaza 5 night September part 2 week holiday America . hotel great location near Union Square able walk place really enjoy . get BART airport hotel – shortish walk station find hotel easily . book hotel priority point think may got upgrade . room large beautiful view Nob hill cable car run . bed huge comfortable . noise night could hear cable car go sometimes think expect big city ! wonderful time San Francisco – end walk nearly everywhere queue cable car ridiculous . many nice restaurant choose , spoilt choice . eat Lori ' diner first night next hotel great burger shake ! breakfast Sears fine food one morning early really good , thankfully queue one every morning . venture Chinatown , North Beach etc find great place . I would definitely recommend Crowne Plaza anyone , great location wonderful city . 
 Sep 25 2007 	 overall pretty good ... 	 Crowne book we husband work . one hotel still available vmworld conference , take rate $ 210 night . arrive , find parking garage pull . quickly tell ' get help bag stay parking garage , nice man offer bring car around front we could go check get bag . greatly appreciate nerve wracking trip South Bay city . ( stay previous two night south bay visit friend ) . husband gather item want keep we time , walk steep ( slippery , CAREFUL ! ) garage area stair outside enter hotel . arrive inside lobby see lobby pack airline employee wait check . probably 50 - 75 people ahead us line . husband sit bench item wait outside car . car arrive 15 minute later airline employee boarding bus apparently go work . help bellman unload car , husband call let know check ready go . Crowne upgrade we junior suite 23rd floor . view room absolutely spectacular , sleep curtain open every night could see beautiful city light . room quite nice spacious . bathroom back wall , next small table chair eat playing card . rather large living room area sofa , coffee table , chair television cabinet drawer refrigerator . beyond half wall separate living area sleep area . directly front bed desk light outlet ready laptop . room clean , bed extremely comfortable plenty blanket pillow . internet include price room . $ 10 day internet access , $ 35 week . understand typical upscale hotel , even though frustrate . say , pay internet access hotel , expect enough bandwidth able conduct business ( vpn access ) . download speed frequently less 200kbps , totally unacceptable . one recommend hotel VMWorld conference , computer - relate convention . hotel expect high internet usage participant hotel high - tech conference , prepared handle . even Thursday night , conference participant leave , bandwidth still ' exceed 310kbps . expectation $ 10 / day internet access much high free WiFi non - premium hotel , unfortunately Crowne Plaza ' come close meeting expectation . we opt use room service available , since cheap thing menu $ 22 hamburger ' seem special description menu . morning pot coffee $ 7 , basic breakfast $ 15 . instead go grocery store buy staple item frequent restaurant area . staff member run polite friendly , especially housekeeping staff . parking somewhat fiasco . take minimum 15 minute every time need car , sometimes close half hour . one point one door man get rather testy tell call car go downstairs , otherwise go garage get car . ( fine , less tipping ! ) expect tip every time get car , park $ 60 day . ( yes , say $ 60 day ) . understand real estate premium SF , $ 60 day ? ! ? ! ? , choice pay . go check husband mention problem internet , important internet access , meet snide " sorry " , hand receipt . overall room lovely staff polite helpful . would stay ? maybe . surely ' first choice stretch . ' important computer people reliable internet access . free , ' complain , consider less expensive hotel well internet access big disappointment . room service menu highly price also put we little . parking , well honestly kind disastrous we . pinch would stay . 
 Sep 13 2007 	 decent hotel perfect location 	 first thing first : location hotel perfect : cable car outside , Chinatown , Union Square shopping restaurant close . not eat hotel -- full breakfast $ 23 . nice breakfast across street Sears -- San Francisco institution -- $ 10 less . room standard king fairly small , coffeemaker refrigerator comfortable bed . bathroom unremarkable sufficient . hotel staff nice ; doorman especially . huge number airline crew stay . lobby relatively small -- consider 's 30 story hotel -- limited seating be type like lounge around watch world go . spend entire week hotel also Grand Hyatt ( previous stay ) , block away . be matter night two , probably not make much difference , extend stay , would choose Grand Hyatt -- much well view , nice room decor upscale ambiance . 
 Sep 6 2007 	 good hotel . would recommend stay . 	 nice hotel . located block north Union Square . 's easy walk Chinatown , subway dining shopping area . bid hotel Priceline get $ 77 ( pre tax ) Labor Day weekend ( Sept 1 - 3 , 2007 ) bad deal . room 806 , corner room . large hotel room , though 2 queen bed , king . welcome packet bed linen spray , eye patch ear plugs good night 's rest . Staff seem friendly , though deal much . hotel usual : soda machine , free ice machine , toiletry include shampoo , conditioner , body lotion , bar soap shower cap . small coffee maker room . nice little cafe right across street coffee , pasty quick glass wine . 's Walgreens pharmacy kitty - corner hotel need stock supply . dottie ( 522 Jones ) good brekfast joint ever ! prepare wait line hour , be almost worth . place tiny . 
 Sep 3 2007 	 Suberb Hotel good location 	 3 we share quad room 5 night whilst sightseeing . arrive go midnight miss luggage due flight delay , Porter duty able run around get we toiletry Robes need relieve effect travel 36 hour . our room spacious look Sutter Street , suspect may disabled room wetroom rail , instead bath . issue cleanliness bed comfy indeed . would certainly stay . 
 Jul 22 2007 	 Good Location 	 book family holiday West Coast US stay Crowne Plaza Garden Grove , Caesars Las Vegas , Crowne Plaza Union Square San Francisco Crowne Plaza Redondo Beach LA . Priority Club member preference Crowne Plaza . 7 we two room hotel . the Crowne Plaza Union Square great location cable car stop outside ( Powell Street ) close great shop . run bay not bad . hotel little old could refurb . book 4 month advance ask adjoining room end seperate floor . ok would not stay . 
 Jul 18 2007 	 impressed 	 bussiness trip , stay one night . really impressed hotel . close Cable car line , , really good location . lobby dark , colorful welcoming . staff friendly practically force use bellhop one bag . think find way room , thank . elevator quick always available , need update . many button ' light , floor number legible . room , , ok great . furnishing old , dark , update . view ' great . bathroom also need update everything seem old . bed ok , comfy , alarm clock kind crazy thing play different nature sound chime bell alarm . really , need simple use alarm clockI ' m really big fan Holiday - Inn own property , price hotel would rather stay Hyatt , Marriott . 
 Jul 18 2007 	 local take ... 	 every awhile , take & quot ; getaway & quot ; East Bay home great city country , San Francisco . try different hotel restaurant shop til drop . last trip truly pleasant surprise , find jewel hotel Crowne Plaza Union Square . this hotel price right give we everything look . much stay extra night ! hotel check - in staff courteous , helpful friendly , breakfast restaurant staff . we Executive & quot ; club & quot ; room access lounge . ( & quot ; club / lounge & quot ; actually big suite tv service . nice hang be early riser not want disturb roommate ) . Breakfast include great . we near top hotel great view bay . appreciated & quot ; quiet zone & quot ; kid allow section . nice quiet ! room clean well appoint . bathroom small , nice amenity . I must say like new focus sleep soundly . scented spray sleep - sound cd nice touch . the hotel centrally locate close everything . while may continue experience SF hotel , definetly return Crowne Plaza Union Square distant future recommend out - of - town friend . 
 Jul 5 2007 	 would stay heartbeat . 	 stay Crowne Plaza three night . upon check room ready offer we $ 40 night upgrade executive level room . well worth since include breakfast morning , free internet access room drink coupon . room clean well quiet . quiet ! bathroom little small side could deal . espically since , clean . love hotel actually clean grout shower ! staff friendly helpful . even bellhop willing give direction pointer good place eat visit . location great right outside cable car stop 5 minute walk Union Square . Sear 's Fine Food Lori 's diner right accross street wonderful quick lunch . would stay heartbeat ! 
 Jun 29 2007 	 good location lovely breakfest ..... 	 stay couple night Crown Plaza , pleasant stay . staff behind reception , important people arrive , first impression , helpfull . information good , welwilling . staff offer 11 % discount card Macy 's store , ask . forgot keycard , problem new one make without question . compliment . the room good . 17th floor . specially dream - and sleep comfortbag . know people Europe jet - lag problem . there cd - player room , excersise relax nice music . eyecover , pillow - perfume . 's people call : custumor service . the breakfest : nice charming atmosphere . plenty choice buffet menu . helpfull staff , friendly . 's something people want need morning 11 hour flight . location al great , nearby Union Square al shop cablecar front . my stay : short , pleasant stay San Francisco . Crown Plaze take care . course . yes : hotel recommand . 
 Jun 27 2007 	 Great Stay 	 good - sized room w new bed ( 7 layer comfort ) . clean , well - appoint bathroom , quite small . amenity kit linen spray room . great downtown location , $ 9 cab ride Pier 39 . restaurant v expensive - $ 22 egg bacon . Front desk outstanding , concierge helpful . 
 Jun 25 2007 	 Love Crowne Plaza Union Square 	 second time stay Crowne Plaza . staff great , enough make trip great ! concierge housekeep everyone great . room CLEANED every day , mean clean ! upgrade & quot ; family room & quot ; 2 double queen sleeper dollar well worth ! ! location well . half block Union Sq . foot cable car stop . need car city ! would stay ' m every able get oppostie coast : ) 
 Jun 20 2007 	 great hotel great location 	 think hotel good cost / benefit relation San Francisco ! locate Union Square , great place , walk late night . I book standard room offer upgrade $ 35 get internet access , complimentary drink every night free america breakfast ( wonderful ) . highly reccomend ! ! ! ! 
 Jun 2 2007 	 one good stay San Francisco ! ever ! 	 read review know hotel convenient , idea exceptionally close hotel shopping , dining , transportation , everything , get . easy walk whatever want : example , one night peek Farallon , decide would not fit ; strolled Kuleto 's , packed ; come back Scala 's Bistro . within minute . ' m still amazed close everything . the service excellent . front desk always courteous thorough . bellman beyond - the - call helpful . not know poster , find bed comfortable . 's Westin 's & quot ; Heavenly Bed , & quot ; every night head hit four pillow , would like light .... get truly chore . use aromatherapy spray relaxation CD , too . the shower massage six setting , find novel . handicap bar shower seem awkward place bump constantly . like housekeeper replenish toiletry every day . ( hey , would think basic 4 * , not always happen ! ) workout room little cramp , ok people use . finish treadmill , 3 people guy elliptical machine stop pedal could squeeze past ! 's nice workout room hotel , though . machine newish clean ; water dispenser ; 's tv , hog . little bum internet service business area expensive , fortunately not use much . overall , enjoyable stay . kudo staff , warm welcoming . hope get stay ! ' ve tell friend ! 
 May 29 2007 	 great location big room simple amenity . 	 great location , north Union Square . staff let we check - in early . big room , clean great water pressure bathroom . drawback - basic amenity , bed particularly comfy . also , hotel begin show age . overall , though , happy stay value money . 
 May 23 2007 	 like location 	 stay Crowne Plaza 3 night honeymoon . pay executive room get suite large quiet . decor perhaps little tired bath small . Wi Fi free issue we . Breakfast include expensive , public area hotel could update . service fine . good thing hotel location Union square handy everywhere . try get Mark Hopkins initially go wonderful bar whilst san francisco , mark hopkin appear high standard steep hill . 
 Mar 16 2007 	 Perfect location 	 spend weekend . need car , anything else great time . easy walk train station hotel . right center everything Union Square theater district , easy walk . trolly car stop right outside th door . Wallgreens type drug store across street . endless restaurant , shopping , theatre around . Quick trolly ride Fisherman , Warf . bicycle ride Golden Gate Bridge . without ever use taxi car . hotel clean , spacious well appoint room new look condition . room nice city bay view . reasonable rate . quick check . absolutely nothing complain trip hotel . 2 block Union Square park spend hour sit , sip beer , read people watch center art exhibit . great ! 75 degree sunny weather help alot . need female companion make perfect . lot attractive people . time could fallen love . photo bicycle trip around bay . 8 mile bike ferry ride back . 
 Mar 10 2007 	 great location ... 	 Location Union Square great . & amp ; idea hotel get 4 * * * * ... 's nothing else special , . perfectly , polite staff quick check ( could teach other ! ) . room clean , freshly decorate - ie shower rail third one top fit - see fill - in fixing tile . there not wifi room , lobby , be free , claim . wire internet room charge too . I would stay , not somewhere else nearby try . 
 Mar 7 2007 	 great stay 	 hotel clean room spacious date . bed comfortable , bathroom nice update , like CD player / alarm clock nightstand . hotel great location corner Sutter Powell walk distance restaurant store . cable car stop right corner hotel . staff friendly helpful . concierge , Cathy , knowledgeable , helpful , always happy help . Downside -- refrigerator room , pay $ 10 per day internet access . also , breakfast include . 
 Mar 1 2007 	 Location a+++ please 	 stay Crown Plaza Union Square conference five day end February , 2007 . hotel predetermine , still apprehensive reading review . arrival east coast early flight , greet front desk Jeff . pleasant efficient , way room minute . room 16th floor , although would prefer high , available . floor , addition room along main corridor , five six alcove , additional room . get room , take right , right another right elevator . layout really cut corridor traffic noise , room back noisy elevator shaft . the room king room , small , dominate bed . also chair ottoman , large bureau , desk , closet . bathroom small efficiently lay & gt ; & gt ; wife , would turf war bathroom size . the large window look Powell St , side window open , let fresh air . street noise hear , even window close , intrusive always present elevator noise . room immaculate ... bed , behind endtable , everywhere . possibly clean hotel room ever in . back bathroom minute . nice toiletry , plenty clean , fluffy towel , great water pressure . tub / shower narrow , water get floor shower . maybe addition curve shower curtain rod would diminish cramp feel . the bed really trumpet , website ad around hotel . comfortable , not find warrant bragging . lobby functional clean , several group use concierge , find helpful . as far location , convenient everywhere . Union Square one block awayand Fishermans Wharf / Pier 39 , etc ride away famous cablecar go right front hotel . I use room service , restaurant hotel , note food provide hotel part conference good . decide attack debate breakfast restaurant read SF forum . go Lori 's Diner across street first morning . food excellent , plentiful , waitstaff extremely friendly helpful . walk around area breakfast , notice 20 - 25 people stand line front Sears Fine Foods one block away . next two morning , go Sears breakfast , not wait , food service exceptional . price comparable . vote debate would Sears , can not go wrong either . bottom line , hotel everything present website hotel literature . regret stay , would stay ever back San Francisco . 
 Feb 14 2007 	 great location 	 first time San Francisco find whole week enjoyable . hotel great location shop local transport . hotel service find good good room size comfortable bed . eat hotel plenty place . go Sears across road breakfast morning ( opposite Francis Drake hotel , ) exceptional breakfast good value . we city tour napa valley hotel . concierge arrange we Pacific Tours . tour company use small 12 seater minibus great getting know fellow tourist , Geordie good guide driver . we would definetely consider hotel go back 
 Feb 3 2007 	 good location hotel 	 Crowne Plaze block Union Square , location central , be probably good thing go it . I stay King room executive floor , could not really tell & quot ; executive & quot ; . decor average would expect $ 250 night . my rate include continental breakfast , serve cafe downstairs . food pretty uninspired , wide selection option . good free - pay $ 19 fee meal would disappoint . interesting feature worth note : -there mini bar room , small fridge empty . be extend stay want buy thing instead pay sky high rate snack drink , could helpful.-if computer need print document , nice service not see could upload document website print deliver room pick front desk . 
 Feb 2 2007 	 Housekeeping shocking 	 hotel ok overall mine gripe housekeeping . room clean look see maid rush large Macy 's bag . explain bag not rubbish expensive good . rudely tell not could not get bag back ' take ' . say would try retrieve would return room later day . come back room evening , sign bag call front desk investigate incident . receive compensation advise take matter seriously . maid question deny even touching bag say lie . short , return hotel ! 
 Jan 16 2007 	 pretty good . 	 stay hotel 2 night part tour Los Angeles San Francisco , really choice stay . the room clean , bed comfortable . the downfall get smoking room , pleasant . fault hotel management room allocate we tour guide . I able use free wireless internet lobby hotel . other , find hotel pretty good ... 
 Dec 30 2006 	 wonderful Unpretentious Hotel 	 wife stay 5 night experience delightful . staff could not helpful . room spacious great view Powell west Ocean Beach . 3rd stay SF without doubt good hotel expensive ' ve stay . 1 block Union square cable car go past hotel , ideal shopping access excellent public transport system . would recommend hotel business vacation , unpretentious effort therefore put make guest stay hassel free . 
 Dec 1 2006 	 Great Hotel 	 great hotel stay . town less fun reason ( father surgery ) nice retreat wonderful . room large clean . bed bed cozy . dinner end day restaurant site delicious dinner . location good , close Union Square theater . staff nice . free internet would welcome improvement , though . 
 Nov 21 2006 	 great stay ! 	 wife get back spend 4 night Crowne Plaza . good : staff- staff one highlight hotel . every employee say hello ask whether doorman one maid . Location- right want . one block away Union Square , cable car stop across street , within walk distance many great restaurant . bad : negative see room little small , bed make , comfortable . 
 Nov 18 2006 	 pleased hotel 	 arrive early able check get room . large room clean well appoint . hotel locate great area tourist beware , homeless everywhere Union Square area San Fran . -- day night . never feel uncomfortable near hotel , though . union square block away . chinatown start 4 block away . great shopping everywhere . short walk Bart . bus around . trolley right outside front door . touristy ' first time SF , need take . take Fisherman ' wharf trolley . bad walk convention center planning come back bag stuff trade show , try Pickwick hotel block convention center instead . ' boutique hotel vibe different ' cheap . positive : nice little goody room ( soap , eyeshade , clip hold drape close , , etc ) . large room . nice pillow / duvet . good sized bathroom ( big tiny ) . excellent pressure / heat shower . very quiet ( hear cable car bell day ) 11th floor Powell St sidethey try make stay comfortable relaxation CD 's speak word thing rather annoying . cd player bedsidenegative : suppose luxurious soft pillow - top bed wonder room miss . bed hard pillow - top . complain check never hear back . need replace straight shower rod curve one . Shower feels cramp ( consider location grab bar tub ) . $ 40 / day valet park car . suppose $ 30 lot street arrive terrible traffic , take 45 minute go 3 block due parade , pull valet since find first . cd player / clock bedside bright light room night . restaurant hotel expensive . $ 21 Sunday breakfast . across street average faux 50 ' diner ( Lori 's ) overprice : $ 9 plain omelet . street storefront good look restaurant ( Sears Fine Food ) small line 7 am Sunday . go eat 9 am line block . not time ( patience wait ) guess food excellent . price great . Menu list swedish pancake , french toast , etc . find hotel next door Sears ( Chancellor ? ) breakfast menu post outside . $ 12 excellent omelet fresh vegetable / nice meat real potato ( frozen ) excellent coffee nice environment . Powell 1/2 block japanese place excellent lunch . overall hotel nice ' stay price right still , like Pickwick Hotel well . 
 Nov 14 2006 	 Good Hotel 	 sister take mother S.F . celebrate 80th birthday . read many hotel review decide Crown Plaza disappoint . stay 19th floor Jr. Suite room large terrific view city . bathroom large enough meet need wish exhaust fan . small refrigerator use bottled water yogurt . hotel staff pleasant helpful . especially grateful door man always ready give we direction smile . hotel centrally locate would definite recommend . also , across street terrific place breakfast call Sears . not get early , line , move quickly worth short wait . also dinner Sears one evening match wonderful breakfast . 
 Nov 10 2006 	 bad 	 generally , dislike almost everything Crowne Plaza hotel . be definitely least favorite & quot ; mid - scale & quot ; hotel brand . pleasantly surprise Crowne Plaza - Union Square San Francisco . , property bad . for starter , room relatively spacious , least San Francisco standard . location excellent . rate relatively inexpensive San Francisco standard . ( fortunate enough qualify corporate rate 40 % less hotel 's standard rack rate . ) top , view room 23rd floor outstanding . ( room upper level floor view San Francisco Bay command slight rack rate surcharge . surcharge apparently waive corporate - rate guest . ) dislike hotel : bland , uninspire decorate scheme , seem highly typical Crowne Plaza location . inadequate air conditioning lobby , elevator , hallway common area . ( weather unusually warm stay , temperature mid 70 . ) somewhat wear outdated room furnishing carpente . would stay ? yes , price right . would stay pay anything close rack rate ? definitely . 
 Oct 24 2006 	 pleasantly surprised Crowne 	 although check - in slow wonky , expect huge convention weekend stay ( 10/20/06 ) . beyond central location comfortable room , notable unexpected bonus : excellent , restful bedding ( critical cross - country flight ) ; friendly , accommodate staff ; insulation street noise superior area hotel , absolutely breathtake view upper floor . oh , not go smoke - free accept smoking reservation ( hear , Marriott ? ) complaint indifferent concierge tiny ( place size ) lobby . overall , solid , reliable choice Union Square . 
 Oct 8 2006 	 Good Option SFO 	 good locate friendly people , hotel good option san francisco.we arrive 23 sept via dallas argentina stay 5 nights.check - in fast without problems.i find room small confortable cleannegative : safety box mini - bar room.all fine.the relation hotel - price good recommend make reservation breakfast.very good location nice city . 
 Sep 15 2006 	 nice hotel 	 enjoy Crown Plaza - pleasant staff , clean room , good location . I use Hotwire - $ 89 + tax = $ 101 per night . desk clerk say contract Hotwire smoking room . hotel seem give bad room Hotwire & amp ; Priceline customer . must lot available room , give room say no - smoking . room low floor ( 5th ) . positive - -close many restaurant . try nearby Café Espresso Sears Fine Foods breakfast . food court low level Macy ' nice quick lunch.-close cable car & amp ; public transportation line . $ 24 weekly pass good deal . pass cover cable car , bus & amp ; trolley , BART.-The hotel staff helpful & amp ; pleasant . -The hotel clean & amp ; well run . bed especially comfortable . negative – -a lot noise , especially night . first night empty nearby dumpster least three occasion night . room high floor might little quieter.-the area immediately around hotel Union Square appear safe . however , block two west Union Square notoriously dangerous Tenderloin District . -some furniture overdue replacement , overall quality ok . 
 Aug 16 2006 	 great location great service 	 spend 2 night standard king room , 21st floor , offer nice view Nob Hill . room terribly small , cozy , fresh look clean . bed amazingly comfortable ... nice Crowne amenity provide ensure restful sleep . great shower , clean small bathroom . room quiet , window keep street noise . small clean lobby , nice little bar . service friendly top notch . internet access ( $ 10 / day , $ 5 / hr ) reliable , wireless available lobby area well . valet parking quite expensive ( $ 40 / day ) , however opt park 2 door Sutter St garage $ 27 / day ( $ 30 / day in / out ) .Great location shopping , stroll around Union Square , art gallery , museum & amp ; . fine restaurant aplenty immediate area , chinatown pretty close well . Cablecar Wharf stop right across street ( usually quite full passenger start ride Union Square , may wait car go find room one ) .Despite smallish room , good value location level service . would gladly stay . 
 Aug 14 2006 	 Great Rooms Good Service 	 stay 5 night . room large nicely furnish - one high floor ( 25th ) . deli next door good breakfast , diner adjacent french cafe opposite . bar restaurant lack soul , plenty place close mean not eat . perfect location thing downtown . 
 Aug 9 2006 	 great start finish 	 arrive hotel 1st 4 night 2 week holiday celebrate 25th anniversary immediately impress hotel staff . show room lovely bell - boy pleased - 22nd floor great view ! room large , 2 double bed , comfy armchair footstool window , work desk , tv etc , large bathroom although sure wallpaper ! -the rest room plainer , plenty hang space . bed comfy , air con opening window . clean , plenty space , location ! cable car stop right outside { although always full ] } , shop , restaurant , china town doorstep walk pretty much everywhere , even fisherman wharf , coit tower , lombard street etc- good exercise , nice get & quot ; feel & quot ; city , could enjoy great food knowing ; earn ! hotel heart san fran brilliant - ; try restaurant although smell good walk lobby ! use lori ; diner across road breakfast - lovely retro - eat every night . great end long day relax glass wine look view night nightcap look light . 
 Jul 21 2006 	 crowne plaza union square GREAT 	 husband , 2 teenage kid return 5 day SF . stay Crowne Plaza Union Square large beautiful room wonderful view , generous breakfast ( $ 10 regular room rate 2 breakfast ) . hotel great locaton ( Sutter Powell ) 1 block Union Square . room quiet , air conditioning , ( need due heat wave ) can not think anything wrong hotel , staff , etc . check hour early without problem . would definately stay ! 
 Jun 5 2006 	 great location 	 enjoy everything stay Crowne Plaza . location great ; near Union square shop , handy cable car ( like form transport - prefer foot ) . food conference attend excellent . internet connection could cheap though - like free . ' ve stay cheap hotel 's free . relaxation pack provide bit gimmick , nice try . staff friendly courteous . overall enjoyable , would stay . 
 May 23 2006 	 wonderful everything ! 	 San Fran first port call month long trip . arrive checkin time allow we check straight . service second none , everyone front desk concierge bartender / room service ( special mention Tom ) totally professional , courteous friendly . room well appoint , well service large . like much rebooke return San Fran flyng home Australia . 's handy shop , restaurant local attraction . cable car Fishermans wharf run alongside hotel Chinatown around corner . 's tad expensive definitely get pay . 
 May 10 2006 	 great Stay Crowne 	 come San Francisco family holiday greatly surprise pleased stay service staff hotel . conceirge door staff knowledgable assist every opportunity . front desk staff really pleasant helpful well . bed outstanding great fall end day . do opportunity eat hotel many option nearby take advantage - guide door man . will definitely stay , great hotel safe area outstanding service . 
 May 4 2006 	 average 	 poor customer service front desk . friendly , helpful . old type hotel , look bit run . need makeover bring mark . 4 outta 10 . 
 Apr 30 2006 	 nice great location 	 great location great access public transportation . jump cable car take we everywhere . close chinatown walking distance many retail shop . hotel somewhat pricey clean . 
 Apr 16 2006 	 Good Choice 	 stay easter week . loved location , close Union Square shopping location well cable car turnaround . staff particulary friendly attentive ; Room conveniently size ; bed excellent . breakfast buffet offer everything need start day . the thing would definitely recommend food streetside Cafe Fresco belong hotel . would rank serve ( low cost course ) close bad food world . anyway , ever return San Francisco , choose Crowne Plaza Union Square . 
 Apr 11 2006 	 pleasant stay 	 book hotwire get great deal . staff friendly helpful , particularly porter . room large extremely comfortable bed . furnishing bland nice enough . fantastic location right Union Square , close numerous shop restaurant couple block chinatown . 
 Mar 13 2006 	 Loved Crowne Plaza 	 Brilliant hotel , wonderful stay first trip States . location good walk China Town , shop get cable car . room big , airy clean . would definitely return recommend . 
 Mar 3 2006 	 Thanks Crowne Plaza 	 stay Feb 12 - 19 2006 . love hotel . oversized junior suite corner room spacious sit area . staff hotel pleasant . every single one . the hotel convenient central . not far anywhere . conference Moscone Center pleasant 5 - 10 min . walk . when leave forget sentimental blanket baby 's crib . forgot call back 2 week surprise , find keep blanket . mail us expense . 's call service . thank Crowne Plaza San Francisco wonderful stay . 
 Feb 14 2006 	 great value 	 stay hotel overnight business trip . stay quite year ago , recall pretty nice , sure expect time . pleasantly surprised . front desk helpful ( print boarding pass next day 's flight ) upgrade without ask junior suite . room huge , king - sized bed separate sofa / sit area low wall . corner room , bay window two wall . bed comfortable , like relaxation cd provide . bathroom pretty tiny , good shower fluffy towel . dinner breakfast room service , prompt , food good . 
 Jan 31 2006 	 Crown Plaza - Great location 	 stay 7 night first Jan. 06 . location perfect , could find well place . cable car foot door , area flat ( SF ) , close shopping ; restaurant . couple block China Town . first trip SF not think could find well location . room quiet , , clean , staff helpful . problem whatsoever . would definitely stay exact location . 
