Marriott 	 get back hotel . disappointment . Website represent 5 star hotel , claim robe slipper room , turn service daily newspaper . none prove true . website feature hotel look contemporary well keep . room assign small ( web say spacious ) need renovation . carpet almost bare , wallpaper dirty wood work bang . bathroom small door could even open wide would hit toilet 1/2 open . service spotty . several time come back room still dirty glass replace . we charge 3 pound print boarding pass . never hear ! good thing hotel location fabulous . neighborhod great walk around . one friend employee Marriott subsidiary . ask pay upgrade partner celebrate birthday . tell hotel room available - right ! not even offer complimentary breakfast . glad not work Marriott chain ! not go unless not intend spend time room . 
 great reliable hotel experience . 	 travel often business enjoy Marriott London Grosvenor Square . hotel comfortable nearly standard amenity . hotel gym small pool surround area safe outdoor cardio easy . hotel also convenient lot restaurant , shopping , tube ' m work . criticism wireless internet connection flaky hotel restaurant / bar easily accessible . want get drink nosh hotel bar long day , likely find pub restaurant ( Maize ) book , even bar stool . 
 May 4 2005 	 great value price 	 stay hotel 2 different time April 2005 - regardless tell Marriott 800 - line , hotel undergo renovation , expect last July 2005 accord sign lobby . low - floor room time , lot construction noise 9 - 5 pm . spite , hotel quite nice , compare rate Marriott hotels area think GREAT value . rate include full english breakfast 2 - menu restaurant 23 GBP per person - yike ! can not imagine spend $ 45 usd per person breakfast , choice hot entree , fruit , yogurt , cold cut , bread , juice beverage start day well - generally not hungry dinner , exchange rate british pound US dollar 's good thing ! ask newly renovate room - bathroom big - case find room size generous , staff friendly ( especially Claudia restaurant every morning ! ) , location convenient . would definately stay hotel . 
 Apr 27 2005 	 Great Location Wonderful Hotel ! 	 stay Grosvenor early April 6 night . find front staff helpful . husband want watch NCAA tournament , research chanel , make sure could get room . Gold Marriot reward member , able eat breakfast member room every day , along snack , dessert later evening . always well keep , fresh fruit , etc . close convenient Bond St. Tube stop . mini grocery across street water drink . Gros Park across street nice place take sandwich feed bird . U.S. Embassy right across street . beautiful neighborhood lot italian restaurant close . lot shop two block away . within block Hyde Park . hotel renovate , lucky get room do . nice . spacious room . great towel shower ! read lot review poor quality room London , size , cleanliness etc . decide save hotel , go safe route . well worth price . would definately recommend stay ! 
 Mar 15 2005 	 Good Hotel Great Location 	 stay Marriott Gosvenor Square three night Marriott Rewards certificate March 9 - 11 , 2005 . seventh stay hotel ... easily favorite city . the hotel outstanding property right , friendly , accomodate staff go way treat return guest like family . spend 100 night year hotel can not think single one consistently feel home . reason enough keep come back , real clincher us location . hotel well - heeled , quiet residential Mayfair neighborhood , five minute walk Oxford Street shopping , Bond Street tube station .... handy connection major tourist attraction . practically anywhere Central London within 20 minute . needless say , plenty excellent restaurant pub within minute walk .... everything upscale neighborhood hangout . 's handy convenience store one corner across hotel entrance , dry cleaner another corner , neighborhood pub third . lot basic need right hand ! hotel , room clean well - appoint . traveler use american hotel room warn standard room & quot ; standard & quot ; european sense , thus quite small . want need space , ask executive room . much large include sleeper sofa along generous seating area . case , however , bathroom medium - to - large sized well appoint . bed extremely comfortable soundproof adequate . because small standard room lack swim pool , probably would not good choice family travel small child limited budget . likewise , look & quot ; round clock excitement & quot ; might find residential surrounding bit quiet . when stay hotel , extensive remodeling project progress . might good idea inquire status booking room . number room redone 's also remodel take place lobby restaurant . try see get room away noise ... generally go 8:30am-5:30pm M - F . otherwise , ' ve settle type room want , ask one room overlook Gosvenor Square ( open window & quot ; say good morning & quot ; Ike FDR ) .This bring on - premise food beverage service . excellent on - premise restaurant , & quot ; Diplomat & quot ; go . replacement something call & quot ; Cobalt & quot ; . can not comment new incarnation visit stay . Diplomat blend beautifully hotel neighborhood surrounding know excellent dining .... especially outstanding ( expensive ) breakfast fare . hard imagine improve upon , perhaps reviewer comment & quot ; Cobalt & quot ; do . hand , bar attach Diplomat overprice boring , would not take much improve upon ! familiar Marriott conceirge lounge find good one . be Marriott member entitle free access , might worth extra pound upgrade order get contiental breakfast evening snack . especially true two party . finally , word concierge . hotel good business . good ' ve encounter 25 year business personal travel . be friendly , be responsive , be experience , really know stuff . huge plus first time visitor look & quot ; learn rope & quot ; .If be look pure luxury non - stop excitement , go elsewhere . be look nice hotel nice neighborhood explore experience London , place ! 
 Jan 21 2005 	 good service Great Location Top Breakfast 	 stay first time Marriot disappoint price Marriot web site . initially get smoking room , even though ask non smoking , change deliberation get excellent Exec room recently renovate . anniversary wife , complimentary bottle bubbly provide hotel ( happen mention booking ! ) . overall excellent stay , great breakfast part package . 
 Jan 8 2005 	 Great Location good place family need smile ... 	 be family 4 stay one Executive room quite spacious London standard . double sofa bed plus king size bed . location perfect shopping 4 block Bond Street Underground station . Breakfast ok , serve cramp & quot ; Club Lounge & quot ; could get quite noisy full american tourist . complaint snooty reception desk clerk find quite unfriendly make bad first impression hotel . ask rollaway bed child like share bed , told & quot ; rollaways hotel & quot ; . surely another polite sentence & quot ; ' m sorry & quot ; add would hurt say ! case , request rollaway Marriot reservation website & quot ; special request & quot ; box . someone reply early inform we non - existence rollaway bed hotel . overall , hotel good place family need re - train particular check - in clerk least smile little bit . 
 Dec 30 2004 	 still great hotel happen breakfast ? ? ? ? 	 ' ve stay and/or eat Marriott Grosvenor Square many time year 's always one favourite . fantastic location yard shop Oxford Street , quiet nice view Square . comfortable , beautifully decorate room , professional efficient , still friendly , staff . however , fan fabulous breakfast Diplomat warn ! Diplomat restaurant close , breakfast serve bar area . queue , cramp , hot buffet , 50 % expensive . really disappointing , long , leisurely breakfast much - large Diplomat always highlight , perfect preparation hit shop . additionally , old Regency Bar refurbish . be still nice , bar price expensive location - Mandarin Bar Mandarin Bar , Library Lanesborough , much tony , little difference price ( especially service include Lanesborough . ) say , breakfast bar big thing , would still recommend Marriott strength 's room , location staff . 
 Dec 2 2004 	 really nice place .... 	 really nice place stay definitely cut Marriott hotel . location Mayfair can not beat . front desk people concierge helpful . room bit small fact renovate marble bath make . breakfast serve small dining room , although expensive , exceptionally good . would definitely come back hotel . 
 Aug 19 2004 	 perfect place stay 	 family stay July . wonderful , perfect hotel . unanimously agree comfortable bed bed ever . neighborhood perfect . could easily safely walk everywhere , time day . beautiful park embassy district one side hotel great restaurant tube station side hotel . window box pot full flower everywhere . front desk helpful & quot ; tourist - y & quot ; question . impeccably clean beautifully decorate hotel . feel pamper ! like vacation ! 
 Aug 6 2004 	 expensive superb 	 stay Marriott Grosvenor Square January 2004 4 night . travel 3 friend , book suite king bed , pull - out sofa , two full bathroom . room enormous british american standard ; perhaps four six time average room London hotel . two bathroom ideal 4 woman . room expensive ( around $ 700 - 800 / night ) ; get pay , especially London . room bathroom immaculate tastefully furnish . service excellent , respond promptly request extra towel , etc . arrive early flight Boston , staff nice enough give we another room freshen - up suite ready . London hotel , drop luggage official check - in time ; however , especially accomodate room use overnight flight . one standard judge british hotel breakfast , Marriott 's breakfast fabulous . quickly greet pot tea , enjoy buffet egg , sausage , toast , pastry , yogurt , cereal , fresh dry fruit , waffle make order . selection morning 's breakfast could different . as location , ideal . hotel quiet street , perhaps 5 minute walk Oxford Street tube . pub small grocery nearby . area perfectly safe . of course Marriott not hotel british charm , want want stay & quot ; american quality & quot ; room excellent location , may ideal . 
 Jul 21 2004 	 Mariott Grosvenor Square 	 recently spend weekend Mariott Grosvenor Square . arrive daughter taxi , doormen porter , fail open door , assist luggage , ( travel alone daughter , struggle ) . check - in slow , reception chaos . room general quite pleasant , Air Con noisy in - efficient . breakfast good . location fantastic , reason choice , hotel . check - out , porter do not assist luggage open Taxi door . Poor Show . stick Dorchester next time ! ! ! ! ! ! 
 Jun 24 2004 	 Great Location Beautiful hotel 
 Jun 14 2004 	 Upscale - Excellent every way 
 Mar 23 2004 	 Excellent property 
 Jan 15 2004 	 really Superb Room ! 
 Dec 18 2003 	 Great Hotel 
 Oct 18 2003 	 Loved hotel 
 Oct 17 2003 	 Pleasnt hotel near High Street Shopping 
 Jun 29 2003 	 well review 
 Aug 22 2002 	 good quality $ 350 per night 
 Nov 21 2009 	 super hotel 
